'tamo'	t a m o
acostumbramiento	a k o s t u m b ɾ a m j e n t o
acostumbraos	a k o s t u m b ɾ a o s
acostúmbrale	a k o s t u m b ɾ a l e
acostúmbrales	a k o s t u m b ɾ a l e s
acostúmbrame	a k o s t u m b ɾ a m e
acostúmbranos	a k o s t u m b ɾ a n o s
acostúmbrele	a k o s t u m b ɾ e l e
acostúmbreles	a k o s t u m b ɾ e l e s
acostúmbreme	a k o s t u m b ɾ e m e
acostúmbrenle	a k o s t u m b ɾ e n l e
acostúmbrenles	a k o s t u m b ɾ e n l e s
acostúmbrenme	a k o s t u m b ɾ e m m e
acostúmbrennos	a k o s t u m b ɾ e n n o s
acostúmbrenos	a k o s t u m b ɾ e n o s
acostúmbrense	a k o s t u m b ɾ e n s e
acostúmbrese	a k o s t u m b ɾ e s e
acosá	a k o s a
acosáis	a k o s a i s
acosás	a k o s a s
acoséis	a k o s e i s
acosés	a k o s e s
acotación	a k o t a θ j o n
acotamiento	a k o t a m j e n t o
acotejada	a k o t e x a d a
acotejadas	a k o t e x a d a s
acotejado	a k o t e x a d o
acotejados	a k o t e x a d o s
acotejar	a k o t e x a ɾ
acotolada	a k o t o l a d a
acotoladas	a k o t o l a d a s
acotolado	a k o t o l a d o
acotolados	a k o t o l a d o s
acotolar	a k o t o l a ɾ
acovachar	a k o b a t͡ʃ a ɾ
acra	a k ɾ a
acracia	a k ɾ a θ j a
acrasia	a k ɾ a s j a
acrecencia	a k ɾ e θ e n θ j a
acrecentamiento	a k ɾ e θ e n t a m j e n t o
acrecerse	a k ɾ e θ e ɾ s e
acrecimiento	a k ɾ e θ i m j e n t o
acreción	a k ɾ e θ j o n
acreditable	a k ɾ e d i t a b l e
acreditaciones	a k ɾ e d i t a θ j o n e s
acreditación	a k ɾ e d i t a θ j o n
acreditante	a k ɾ e d i t a n t e
acreditantes	a k ɾ e d i t a n t e s
acreditareis	a k ɾ e d i t a ɾ e i s
acreencia	a k ɾ e e n θ j a
acremada	a k ɾ e m a d a
acremadas	a k ɾ e m a d a s
acremado	a k ɾ e m a d o
acremados	a k ɾ e m a d o s
acremar	a k ɾ e m a ɾ
acremarán	a k ɾ e m a ɾ a n
acremente	a k ɾ e m e n t e
acrense	a k ɾ e n s e
acretinado	a k ɾ e t i n a d o
acreída	a k ɾ e i d a
acreídas	a k ɾ e i d a s
acreído	a k ɾ e i d o
acreídos	a k ɾ e i d o s
acrianzada	a k ɾ j a n θ a d a
acrianzadas	a k ɾ j a n θ a d a s
acrianzado	a k ɾ j a n θ a d o
acrianzados	a k ɾ j a n θ a d o s
acrianzar	a k ɾ j a n θ a ɾ
acribillamiento	a k ɾ i b i ʎ a m j e n t o
acrilato	a k ɾ i l a t o
acriminada	a k ɾ i m i n a d a
acriminadas	a k ɾ i m i n a d a s
acriminado	a k ɾ i m i n a d o
acriminados	a k ɾ i m i n a d o s
acriminar	a k ɾ i m i n a ɾ
acrimonia	a k ɾ i m o n j a
acristalamiento	a k ɾ i s t a l a m j e n t o
acroamático	a k ɾ o a m a t i k o
acrobacia	a k ɾ o b a θ j a
acrobáticamente	a k ɾ o b a t i k a m e n t e
acrocianosis	a k ɾ o θ j a n o s i s
acrocéntrico	a k ɾ o θ e n t ɾ i k o
acrolecto	a k ɾ o l e ɡ t o
acromatopsia	a k ɾ o m a t o b s j a
acromegalia	a k ɾ o m e ɡ a l j a
acromegálico	a k ɾ o m e ɡ a l i k o
acromial	a k ɾ o m j a l
acromiano	a k ɾ o m j a n o
acromion	a k ɾ o m j o n
acronimia	a k ɾ o n i m j a
acropaquia	a k ɾ o p a k j a
acrosina	a k ɾ o s i n a
acrosoma	a k ɾ o s o m a
acrosómico	a k ɾ o s o m i k o
acríticamente	a k ɾ i t i k a m e n t e
acta	a ɡ t a
actante	a ɡ t a n t e
actina	a ɡ t i n a
actinio	a ɡ t i n j o
actinobacteria	a ɡ t i n o b a ɡ t e ɾ j a
actinodura	a ɡ t i n o d u ɾ a
actinomicosis	a ɡ t i n o m i k o s i s
actinomorfa	a ɡ t i n o m o ɾ f a
actinomorfas	a ɡ t i n o m o ɾ f a s
actinomorfo	a ɡ t i n o m o ɾ f o
actinomorfos	a ɡ t i n o m o ɾ f o s
actinométrica	a ɡ t i n o m e t ɾ i k a
actinométricas	a ɡ t i n o m e t ɾ i k a s
actinométrico	a ɡ t i n o m e t ɾ i k o
actinométricos	a ɡ t i n o m e t ɾ i k o s
actinopeterigios	a ɡ t i n o p e t e ɾ i x j o s
actinopterigios	a ɡ t i n o b t e ɾ i x j o s
actinostela	a ɡ t i n o s t e l a
actinómetro	a ɡ t i n o m e t ɾ o
actinómetros	a ɡ t i n o m e t ɾ o s
actitud	a ɡ t i t u d
actitudinal	a ɡ t i t u d i n a l
activa	a ɡ t i b a
activable	a ɡ t i b a b l e
activación	a ɡ t i b a θ j o n
activada	a ɡ t i b a d a
activadas	a ɡ t i b a d a s
activado	a ɡ t i b a d o
activador	a ɡ t i b a d o ɾ
activadora	a ɡ t i b a d o ɾ a
activados	a ɡ t i b a d o s
activamente	a ɡ t i b a m e n t e
activamos	a ɡ t i b a m o s
activante	a ɡ t i b a n t e
activar	a ɡ t i b a ɾ
activas	a ɡ t i b a s
actividad	a ɡ t i b i d a d
actividades	a ɡ t i b i d a d e s
activina	a ɡ t i b i n a
activismo	a ɡ t i b i s m o
activista	a ɡ t i b i s t a
activistas	a ɡ t i b i s t a s
activo	a ɡ t i b o
activos	a ɡ t i b o s
activísimo	a ɡ t i b i s i m o
acto	a ɡ t o
actor	a ɡ t o ɾ
actora	a ɡ t o ɾ a
actoral	a ɡ t o ɾ a l
actoralmente	a ɡ t o ɾ a l m e n t e
actoría	a ɡ t o ɾ i a
actos	a ɡ t o s
actriz	a ɡ t ɾ i θ
actrizones	a ɡ t ɾ i θ o n e s
actrizón	a ɡ t ɾ i θ o n
actuaciones	a ɡ t w a θ j o n e s
actuación	a ɡ t w a θ j o n
actuad	a ɡ t w a d
actuada	a ɡ t w a d a
actuadas	a ɡ t w a d a s
actuado	a ɡ t w a d o
actuados	a ɡ t w a d o s
actual	a ɡ t w a l
actuales	a ɡ t w a l e s
actualice	a ɡ t w a l i θ e
actualicemos	a ɡ t w a l i θ e m o s
actualices	a ɡ t w a l i θ e s
actualicéis	a ɡ t w a l i θ e i s
actualidad	a ɡ t w a l i d a d
actualiza	a ɡ t w a l i θ a
actualizaciones	a ɡ t w a l i θ a θ j o n e s
actualización	a ɡ t w a l i θ a θ j o n
actualizada	a ɡ t w a l i θ a d a
actualizadas	a ɡ t w a l i θ a d a s
actualizado	a ɡ t w a l i θ a d o
actualizador	a ɡ t w a l i θ a d o ɾ
actualizadora	a ɡ t w a l i θ a d o ɾ a
actualizados	a ɡ t w a l i θ a d o s
actualizamos	a ɡ t w a l i θ a m o s
actualizando	a ɡ t w a l i θ a n d o
actualizar	a ɡ t w a l i θ a ɾ
actualizara	a ɡ t w a l i θ a ɾ a
actualizaras	a ɡ t w a l i θ a ɾ a s
actualizareis	a ɡ t w a l i θ a ɾ e i s
actualizaremos	a ɡ t w a l i θ a ɾ e m o s
actualizares	a ɡ t w a l i θ a ɾ e s
actualizará	a ɡ t w a l i θ a ɾ a
actualizarás	a ɡ t w a l i θ a ɾ a s
actualizaríamos	a ɡ t w a l i θ a ɾ i a m o s
actualizas	a ɡ t w a l i θ a s
actualizase	a ɡ t w a l i θ a s e
actualizaseis	a ɡ t w a l i θ a s e i s
actualizases	a ɡ t w a l i θ a s e s
actualizaste	a ɡ t w a l i θ a s t e
actualizo	a ɡ t w a l i θ o
actualizáramos	a ɡ t w a l i θ a ɾ a m o s
actualizásemos	a ɡ t w a l i θ a s e m o s
actualmente	a ɡ t w a l m e n t e
actuamos	a ɡ t w a m o s
actuando	a ɡ t w a n d o
actuante	a ɡ t w a n t e
actuar	a ɡ t w a ɾ
actuara	a ɡ t w a ɾ a
actuaras	a ɡ t w a ɾ a s
actuareis	a ɡ t w a ɾ e i s
actuaremos	a ɡ t w a ɾ e m o s
actuares	a ɡ t w a ɾ e s
actuaria	a ɡ t w a ɾ j a
actuarial	a ɡ t w a ɾ j a l
actuarialmente	a ɡ t w a ɾ j a l m e n t e
actuarias	a ɡ t w a ɾ j a s
actuario	a ɡ t w a ɾ j o
actuará	a ɡ t w a ɾ a
actuarás	a ɡ t w a ɾ a s
actuaríamos	a ɡ t w a ɾ i a m o s
actuaste	a ɡ t w a s t e
actuemos	a ɡ t w e m o s
actuáramos	a ɡ t w a ɾ a m o s
actué	a ɡ t w e
actínico	a ɡ t i n i k o
actínido	a ɡ t i n i d o
actúo	a ɡ t u o
acuache	a k w a t͡ʃ e
acuanauta	a k w a n a u t a
acuanautas	a k w a n a u t a s
acuantiada	a k w a n t j a d a
acuantiadas	a k w a n t j a d a s
acuantiado	a k w a n t j a d o
acuantiados	a k w a n t j a d o s
acuantiar	a k w a n t j a ɾ
acuaporina	a k w a p o ɾ i n a
acuarela	a k w a ɾ e l a
acuarelada	a k w a ɾ e l a d a
acuareladas	a k w a ɾ e l a d a s
acuarelado	a k w a ɾ e l a d o
acuarelados	a k w a ɾ e l a d o s
acuarelar	a k w a ɾ e l a ɾ
acuarelista	a k w a ɾ e l i s t a
acuario	a k w a ɾ j o
acuariofilia	a k w a ɾ j o f i l j a
acuariología	a k w a ɾ j o l o x i a
acuarios	a k w a ɾ j o s
acuarismo	a k w a ɾ i s m o
acuarista	a k w a ɾ i s t a
acuariófilo	a k w a ɾ j o f i l o
acuartelada	a k w a ɾ t e l a d a
acuarteladas	a k w a ɾ t e l a d a s
acuartelado	a k w a ɾ t e l a d o
acuartelados	a k w a ɾ t e l a d o s
acuartelamiento	a k w a ɾ t e l a m j e n t o
acuartelar	a k w a ɾ t e l a ɾ
acuatizada	a k w a t i θ a d a
acuatizadas	a k w a t i θ a d a s
acuatizado	a k w a t i θ a d o
acuatizados	a k w a t i θ a d o s
acuatizaje	a k w a t i θ a x e
acuatizar	a k w a t i θ a ɾ
acuatlón	a k w a t l o n
acuatorio	a k w a t o ɾ j o
acuchillamiento	a k u t͡ʃ i ʎ a m j e n t o
acuchillamientos	a k u t͡ʃ i ʎ a m j e n t o s
acucia	a k u θ j a
acuciada	a k u θ j a d a
acuciadas	a k u θ j a d a s
acuciado	a k u θ j a d o
acuciados	a k u θ j a d o s
acuciante	a k u θ j a n t e
acuciar	a k u θ j a ɾ
acuciosa	a k u θ j o s a
acuciosamente	a k u θ j o s a m e n t e
acuciosidad	a k u θ j o s i d a d
acucioso	a k u θ j o s o
acudiente	a k u d j e n t e
acudimiento	a k u d i m j e n t o
acueducto	a k w e d u ɡ t o
acuerdo	a k w e ɾ d o
acuerpada	a k w e ɾ p a d a
acuerpadas	a k w e ɾ p a d a s
acuerpado	a k w e ɾ p a d o
acuerpados	a k w e ɾ p a d o s
acuerpar	a k w e ɾ p a ɾ
acuesto	a k w e s t o
acufenometría	a k u f e n o m e t ɾ i a
acuicultor	a k w i k u l t o ɾ
acuicultora	a k w i k u l t o ɾ a
acuicultura	a k w i k u l t u ɾ a
acuidad	a k w i d a d
acuitada	a k w i t a d a
acuitadas	a k w i t a d a s
acuitado	a k w i t a d o
acuitados	a k w i t a d o s
acuitar	a k w i t a ɾ
aculebrada	a k u l e b ɾ a d a
aculebradas	a k u l e b ɾ a d a s
aculebrado	a k u l e b ɾ a d o
aculebrados	a k u l e b ɾ a d o s
aculebrar	a k u l e b ɾ a ɾ
aculebrasteis	a k u l e b ɾ a s t e i s
acullico	a k u ʎ i k o
aculturación	a k u l t u ɾ a θ j o n
aculturada	a k u l t u ɾ a d a
aculturadas	a k u l t u ɾ a d a s
aculturado	a k u l t u ɾ a d o
aculturados	a k u l t u ɾ a d o s
aculturan	a k u l t u ɾ a n
aculturar	a k u l t u ɾ a ɾ
acumen	a k u m e n
acuminada	a k u m i n a d a
acuminadas	a k u m i n a d a s
acuminado	a k u m i n a d o
acuminados	a k u m i n a d o s
acumulación	a k u m u l a θ j o n
acumulamiento	a k u m u l a m j e n t o
acuoso	a k w o s o
acuotubular	a k w o t u b u l a ɾ
acuotubulares	a k w o t u b u l a ɾ e s
acupresión	a k u p ɾ e s j o n
acupuntor	a k u p u n t o ɾ
acupuntora	a k u p u n t o ɾ a
acupuntural	a k u p u n t u ɾ a l
acupunturista	a k u p u n t u ɾ i s t a
acurcuchar	a k u ɾ k u t͡ʃ a ɾ
acurcucharse	a k u ɾ k u t͡ʃ a ɾ s e
acusación	a k u s a θ j o n
acusadamente	a k u s a d a m e n t e
acusante	a k u s a n t e
acusantes	a k u s a n t e s
acusareis	a k u s a ɾ e i s
acusatoria	a k u s a t o ɾ j a
acusatorias	a k u s a t o ɾ j a s
acusatorio	a k u s a t o ɾ j o
acusatorios	a k u s a t o ɾ j o s
acuseta	a k u s e t a
acusetas	a k u s e t a s
acusmático	a k u s m a t i k o
acusándosele	a k u s a n d o s e l e
acutángula	a k u t a n ɡ u l a
acutángulas	a k u t a n ɡ u l a s
acutángulo	a k u t a n ɡ u l o
acutángulos	a k u t a n ɡ u l o s
acutísimo	a k u t i s i m o
acuyo	a k u ʝ o
acuárium	a k w a ɾ j u m
acuático	a k w a t i k o
acuéstalas	a k w e s t a l a s
acuéstale	a k w e s t a l e
acuéstales	a k w e s t a l e s
acuéstalo	a k w e s t a l o
acuéstalos	a k w e s t a l o s
acuéstate	a k w e s t a t e
acuícola	a k w i k o l a
acuífero	a k w i f e ɾ o
acuñación	a k u ɲ a θ j o n
acuñamiento	a k u ɲ a m j e n t o
acuñista	a k u ɲ i s t a
acábala	a k a b a l a
acábalas	a k a b a l a s
acábale	a k a b a l e
acábales	a k a b a l e s
acábalo	a k a b a l o
acábalos	a k a b a l o s
acábame	a k a b a m e
acábanos	a k a b a n o s
acábate	a k a b a t e
acábela	a k a b e l a
acábelas	a k a b e l a s
acábele	a k a b e l e
acábeles	a k a b e l e s
acábelo	a k a b e l o
acábelos	a k a b e l o s
acábeme	a k a b e m e
acábenla	a k a b e n l a
acábenlas	a k a b e n l a s
acábenle	a k a b e n l e
acábenles	a k a b e n l e s
acábenlo	a k a b e n l o
acábenlos	a k a b e n l o s
acábenme	a k a b e m m e
acábennos	a k a b e n n o s
acábenos	a k a b e n o s
acábense	a k a b e n s e
acábese	a k a b e s e
acápite	a k a p i t e
acéptame	a θ e b t a m e
acéptanos	a θ e b t a n o s
acéptate	a θ e b t a t e
acéptela	a θ e b t e l a
acéptelas	a θ e b t e l a s
acéptele	a θ e b t e l e
acépteles	a θ e b t e l e s
acéptelo	a θ e b t e l o
acéptelos	a θ e b t e l o s
acépteme	a θ e b t e m e
acéptenla	a θ e b t e n l a
acéptenlas	a θ e b t e n l a s
acéptenle	a θ e b t e n l e
acéptenles	a θ e b t e n l e s
acéptenlo	a θ e b t e n l o
acéptenlos	a θ e b t e n l o s
acéptenme	a θ e b t e m m e
acéptennos	a θ e b t e n n o s
acéptenos	a θ e b t e n o s
acéptense	a θ e b t e n s e
acéptese	a θ e b t e s e
acércala	a θ e ɾ k a l a
acércalas	a θ e ɾ k a l a s
acércale	a θ e ɾ k a l e
acércales	a θ e ɾ k a l e s
acércalos	a θ e ɾ k a l o s
acércame	a θ e ɾ k a m e
acérquela	a θ e ɾ k e l a
acérquelas	a θ e ɾ k e l a s
acérquele	a θ e ɾ k e l e
acérqueles	a θ e ɾ k e l e s
acérquelo	a θ e ɾ k e l o
acérquelos	a θ e ɾ k e l o s
acérqueme	a θ e ɾ k e m e
acérquenla	a θ e ɾ k e n l a
acérquenlas	a θ e ɾ k e n l a s
acérquenle	a θ e ɾ k e n l e
acérquenles	a θ e ɾ k e n l e s
acérquenlo	a θ e ɾ k e n l o
acérquenlos	a θ e ɾ k e n l o s
acérquenme	a θ e ɾ k e m m e
acérquennos	a θ e ɾ k e n n o s
acérquenos	a θ e ɾ k e n o s
acícula	a θ i k u l a
acídico	a θ i d i k o
acúfeno	a k u f e n o
acúfenos	a k u f e n o s
acúmulo	a k u m u l o
acústicamente	a k u s t i k a m e n t e
adagio	a d a x j o
adalberto	a d a l b e ɾ t o
adam	a d a m
adamantano	a d a m a n t a n o
adanista	a d a n i s t a
adapiforme	a d a p i f o ɾ m e
adaptabilidad	a d a b t a b i l i d a d
adaptable	a d a b t a b l e
adaptables	a d a b t a b l e s
adaptación	a d a b t a θ j o n
adaptada	a d a b t a d a
adaptadas	a d a b t a d a s
adaptado	a d a b t a d o
adaptador	a d a b t a d o ɾ
adaptadora	a d a b t a d o ɾ a
adaptados	a d a b t a d o s
adaptamos	a d a b t a m o s
adaptando	a d a b t a n d o
adaptar	a d a b t a ɾ
adaptativamente	a d a b t a t i b a m e n t e
adaptativo	a d a b t a t i b o
adaptivo	a d a b t i b o
adapto	a d a b t o
adarga	a d a ɾ ɡ a
adaxial	a d a ɡ s j a l
adaxialmente	a d a ɡ s j a l m e n t e
addisoniano	a d i s o n j a n o
adeca	a d e k a
adecentamiento	a d e θ e n t a m j e n t o
adeco	a d e k o
adecuación	a d e k w a θ j o n
adecuada	a d e k w a d a
adecuadamente	a d e k w a d a m e n t e
adecuadas	a d e k w a d a s
adecuado	a d e k w a d o
adecuados	a d e k w a d o s
adecuamiento	a d e k w a m j e n t o
adecuar	a d e k w a ɾ
adefera	a d e f e ɾ a
adefesio	a d e f e s j o
adehesada	a d e e s a d a
adehesadas	a d e e s a d a s
adehesado	a d e e s a d o
adehesados	a d e e s a d o s
adehesar	a d e e s a ɾ
adela	a d e l a
adelaida	a d e l a i d a
adelaidana	a d e l a i d a n a
adelaidano	a d e l a i d a n o
adelantadamente	a d e l a n t a d a m e n t e
adelantamiento	a d e l a n t a m j e n t o
adelantón	a d e l a n t o n
adelardo	a d e l a ɾ d o
adelgace	a d e l ɡ a θ e
adelgacé	a d e l ɡ a θ e
adelgazada	a d e l ɡ a θ a d a
adelgazadas	a d e l ɡ a θ a d a s
adelgazado	a d e l ɡ a θ a d o
adelgazados	a d e l ɡ a θ a d o s
adelgazamiento	a d e l ɡ a θ a m j e n t o
adelgazante	a d e l ɡ a θ a n t e
adelgazar	a d e l ɡ a θ a ɾ
adelgazo	a d e l ɡ a θ o
adelgazó	a d e l ɡ a θ o
adelia	a d e l j a
adelina	a d e l i n a
adelio	a d e l j o
adelita	a d e l i t a
adelitas	a d e l i t a s
adeliñar	a d e l i ɲ a ɾ
adelomorfa	a d e l o m o ɾ f a
adelomorfas	a d e l o m o ɾ f a s
adelomorfo	a d e l o m o ɾ f o
adelomorfos	a d e l o m o ɾ f o s
adema	a d e m a
ademada	a d e m a d a
ademadas	a d e m a d a s
ademado	a d e m a d o
ademados	a d e m a d o s
ademar	a d e m a ɾ
adenda	a d e n d a
adenil	a d e n i l
adenilación	a d e n i l a θ j o n
adenilato	a d e n i l a t o
adenilil	a d e n i l i l
adenililo	a d e n i l i l o
adenilo	a d e n i l o
adenina	a d e n i n a
adenocarcinoma	a d e n o k a ɾ θ i n o m a
adenohipófisis	a d e n o i p o f i s i s
adenoide	a d e n o i d e
adenoides	a d e n o i d e s
adenomatosa	a d e n o m a t o s a
adenomatosas	a d e n o m a t o s a s
adenomatoso	a d e n o m a t o s o
adenomatosos	a d e n o m a t o s o s
adenomiosis	a d e n o m j o s i s
adenosina	a d e n o s i n a
adentrate	a d e n t ɾ a t e
adentrá	a d e n t ɾ a
adenín	a d e n i n
adepta	a d e b t a
adepto	a d e b t o
adequada	a d e k w a d a
adequadas	a d e k w a d a s
adequado	a d e k w a d o
adequados	a d e k w a d o s
adereçada	a d e ɾ e θ a d a
adereçadas	a d e ɾ e θ a d a s
adereçado	a d e ɾ e θ a d o
adereçados	a d e ɾ e θ a d o s
adereçar	a d e ɾ e θ a ɾ
aderno	a d e ɾ n o
adesivo	a d e s i b o
adestrada	a d e s t ɾ a d a
adestradas	a d e s t ɾ a d a s
adestrado	a d e s t ɾ a d o
adestrados	a d e s t ɾ a d o s
adestramos	a d e s t ɾ a m o s
adestrando	a d e s t ɾ a n d o
adestrar	a d e s t ɾ a ɾ
adestrara	a d e s t ɾ a ɾ a
adestraras	a d e s t ɾ a ɾ a s
adestrareis	a d e s t ɾ a ɾ e i s
adestraremos	a d e s t ɾ a ɾ e m o s
adestrares	a d e s t ɾ a ɾ e s
adestrará	a d e s t ɾ a ɾ a
adestrarás	a d e s t ɾ a ɾ a s
adestraríamos	a d e s t ɾ a ɾ i a m o s
adestraste	a d e s t ɾ a s t e
adestremos	a d e s t ɾ e m o s
adestráramos	a d e s t ɾ a ɾ a m o s
adeudada	a d e u d a d a
adeudadas	a d e u d a d a s
adeudado	a d e u d a d o
adeudados	a d e u d a d o s
adeudar	a d e u d a ɾ
adeudo	a d e u d o
adherencia	a d e ɾ e n θ j a
adherible	a d e ɾ i b l e
adhesina	a d e s i n a
adhesión	a d e s j o n
adhocracia	a d o k ɾ a θ j a
adiabáticamente	a d j a b a t i k a m e n t e
adiabático	a d j a b a t i k o
adiada	a d j a d a
adiadas	a d j a d a s
adiado	a d j a d o
adiados	a d j a d o s
adiafa	a d j a f a
adiamos	a d j a m o s
adiando	a d j a n d o
adiar	a d j a ɾ
adiara	a d j a ɾ a
adiaras	a d j a ɾ a s
adiareis	a d j a ɾ e i s
adiaremos	a d j a ɾ e m o s
adiares	a d j a ɾ e s
adiará	a d j a ɾ a
adiarás	a d j a ɾ a s
adiaríamos	a d j a ɾ i a m o s
adiaste	a d j a s t e
adicción	a d i ɡ θ j o n
adiciona	a d i θ j o n a
adicionada	a d i θ j o n a d a
adicionadas	a d i θ j o n a d a s
adicionado	a d i θ j o n a d o
adicionados	a d i θ j o n a d o s
adicional	a d i θ j o n a l
adicionalidad	a d i θ j o n a l i d a d
adicionalmente	a d i θ j o n a l m e n t e
adicionamos	a d i θ j o n a m o s
adicionando	a d i θ j o n a n d o
adicionar	a d i θ j o n a ɾ
adicionara	a d i θ j o n a ɾ a
adicionaras	a d i θ j o n a ɾ a s
adicionareis	a d i θ j o n a ɾ e i s
adicionaremos	a d i θ j o n a ɾ e m o s
adicionares	a d i θ j o n a ɾ e s
adicionarás	a d i θ j o n a ɾ a s
adicionaríamos	a d i θ j o n a ɾ i a m o s
adicionas	a d i θ j o n a s
adicionaste	a d i θ j o n a s t e
adicione	a d i θ j o n e
adicionemos	a d i θ j o n e m o s
adiciones	a d i θ j o n e s
adiciono	a d i θ j o n o
adicionáramos	a d i θ j o n a ɾ a m o s
adición	a d i θ j o n
adicta	a d i ɡ t a
adictivamente	a d i ɡ t i b a m e n t e
adictivo	a d i ɡ t i b o
adicto	a d i ɡ t o
adiel	a d j e l
adiemos	a d j e m o s
adiestrable	a d j e s t ɾ a b l e
adiestrada	a d j e s t ɾ a d a
adiestradas	a d j e s t ɾ a d a s
adiestrado	a d j e s t ɾ a d o
adiestrador	a d j e s t ɾ a d o ɾ
adiestradora	a d j e s t ɾ a d o ɾ a
adiestrados	a d j e s t ɾ a d o s
adiestramiento	a d j e s t ɾ a m j e n t o
adiestrar	a d j e s t ɾ a ɾ
adiestro	a d j e s t ɾ o
adietada	a d j e t a d a
adietadas	a d j e t a d a s
adietado	a d j e t a d o
adietados	a d j e t a d o s
adietar	a d j e t a ɾ
adif	a d i f
adigio	a d i x j o
adiguesa	a d i ɡ e s a
adiguesia	a d i ɡ e s j a
adigué	a d i ɡ e
adigués	a d i ɡ e s
adimensional	a d i m e n s j o n a l
adinamia	a d i n a m j a
adinerarse	a d i n e ɾ a ɾ s e
adinerá	a d i n e ɾ a
adios	a d j o s
adiosito	a d j o s i t o
adir	a d i ɾ
adisoda	a d i s o d a
adisoniano	a d i s o n j a n o
aditamentar	a d i t a m e n t a ɾ
aditamento	a d i t a m e n t o
aditar	a d i t a ɾ
aditividad	a d i t i b i d a d
adive	a d i b e
adivinaciones	a d i b i n a θ j o n e s
adivinación	a d i b i n a θ j o n
adivinatorio	a d i b i n a t o ɾ j o
adivinico	a d i b i n i k o
adiáramos	a d j a ɾ a m o s
adiós	a d j o s
adjetivación	a d x e t i b a θ j o n
adjetivadamente	a d x e t i b a d a m e n t e
adjudicación	a d x u d i k a θ j o n
adjudicareis	a d x u d i k a ɾ e i s
adjudicataria	a d x u d i k a t a ɾ j a
adjudicatario	a d x u d i k a t a ɾ j o
adjudicativo	a d x u d i k a t i b o
adjunción	a d x u n θ j o n
adjurado	a d x u ɾ a d o
adlátere	a d l a t e ɾ e
admin	a d m i n
administración	a d m i n i s t ɾ a θ j o n
administrareis	a d m i n i s t ɾ a ɾ e i s
admiraciones	a d m i ɾ a θ j o n e s
admiración	a d m i ɾ a θ j o n
admiradísima	a d m i ɾ a d i s i m a
admiradísimas	a d m i ɾ a d i s i m a s
admiradísimo	a d m i ɾ a d i s i m o
admiradísimos	a d m i ɾ a d i s i m o s
admirareis	a d m i ɾ a ɾ e i s
admirativamente	a d m i ɾ a t i b a m e n t e
admisión	a d m i s j o n
admitancia	a d m i t a n θ j a
admonición	a d m o n i θ j o n
admonitorio	a d m o n i t o ɾ j o
adnación	a d n a θ j o n
adnado	a d n a d o
adnato	a d n a t o
adobones	a d o b o n e s
adobón	a d o b o n
adocenamiento	a d o θ e n a m j e n t o
adoctrinada	a d o ɡ t ɾ i n a d a
adoctrinadas	a d o ɡ t ɾ i n a d a s
adoctrinado	a d o ɡ t ɾ i n a d o
adoctrinados	a d o ɡ t ɾ i n a d o s
adoctrinamiento	a d o ɡ t ɾ i n a m j e n t o
adoctrinar	a d o ɡ t ɾ i n a ɾ
adolecieses	a d o l e θ j e s e s
adolescencia	a d o l e s θ e n θ j a
adolfito	a d o l f i t o
adolfo	a d o l f o
adolorido	a d o l o ɾ i d o
adolpho	a d o l f o
adonai	a d o n a i
adondequiera	a d o n d e k j e ɾ a
adopcionista	a d o b θ j o n i s t a
adopción	a d o b θ j o n
adopta	a d o b t a
adoptable	a d o b t a b l e
adoptada	a d o b t a d a
adoptadas	a d o b t a d a s
adoptado	a d o b t a d o
adoptador	a d o b t a d o ɾ
adoptados	a d o b t a d o s
adoptamos	a d o b t a m o s
adoptanda	a d o b t a n d a
adoptando	a d o b t a n d o
adoptante	a d o b t a n t e
adoptar	a d o b t a ɾ
adoptara	a d o b t a ɾ a
adoptaras	a d o b t a ɾ a s
adoptareis	a d o b t a ɾ e i s
adoptaremos	a d o b t a ɾ e m o s
adoptares	a d o b t a ɾ e s
adoptará	a d o b t a ɾ a
adoptarás	a d o b t a ɾ a s
adoptaríamos	a d o b t a ɾ i a m o s
adoptas	a d o b t a s
adoptaste	a d o b t a s t e
adopte	a d o b t e
adoptemos	a d o b t e m o s
adoptes	a d o b t e s
adoptiva	a d o b t i b a
adoptivas	a d o b t i b a s
adoptivo	a d o b t i b o
adoptivos	a d o b t i b o s
adopto	a d o b t o
adoptáramos	a d o b t a ɾ a m o s
adoquinamiento	a d o k i n a m j e n t o
ador	a d o ɾ
adoración	a d o ɾ a θ j o n
adoradísima	a d o ɾ a d i s i m a
adoradísimas	a d o ɾ a d i s i m a s
adoradísimo	a d o ɾ a d i s i m o
adoradísimos	a d o ɾ a d i s i m o s
adorante	a d o ɾ a n t e
adorareis	a d o ɾ a ɾ e i s
adoratorio	a d o ɾ a t o ɾ j o
adormecimiento	a d o ɾ m e θ i m j e n t o
adormilamiento	a d o ɾ m i l a m j e n t o
adormilaos	a d o ɾ m i l a o s
adormilá	a d o ɾ m i l a
adormimiento	a d o ɾ m i m j e n t o
adormílate	a d o ɾ m i l a t e
adormílense	a d o ɾ m i l e n s e
adormílese	a d o ɾ m i l e s e
adornito	a d o ɾ n i t o
adosamiento	a d o s a m j e n t o
adovelado	a d o b e l a d o
adposición	a d p o s i θ j o n
adquiero	a d k j e ɾ o
adquiriente	a d k i ɾ j e n t e
adquisición	a d k i s i θ j o n
