'cha	t͡ʃ aː
maghogès	m a ɡ ɔ ɡ z
mai't	m a i̯ t
malaunchly	m a l ɑ n k l iː
malcheen	m a l k iː n
maleet	m a l ɛː t
man	m a n
managh	m a n ə x
manish	m a n ɪ ʃ
mannes	m a n z
many	m a n iː
maree	m a r iː
margraate	m a r ɡ r aː t
marreet	m a r iː t
marrough	m a r ə ʊ x
marteen	m a r t iː n
masled	m a s l d
mattoke	m a t ɔː k
mault	m ɑ l t
mawen	m ɔː n
mead	m ɛː d
meale	m eː l
meales	m ɛː l z
meany	m ɛː n iː
measkeen	m ɛ s k iː n
mee	m iː
meelough	m iː l ə x
meezil	m iː z ɪ l
meigh	m iː x
meines	m eː n z
melchere	m ɛ l t͡ʃ ɛː r
mele	m ɛ l
mell	m ɛ l
mend	m e̞ n d
meouth	m uː θ
messe	m ɛ s
meyen	m eː n
meyleare	m a i̯ l ɛː r
mhyne	m a i̯ n
michaulmas	m ɪ x ɑː l m a s
michel	m a i̯ t͡ʃ ə l
michty	m ɪ x t iː
milchare	m ɪ l t͡ʃ aː r
mile	m iː l
mileare	m iː l ɛː r
milonach	m iː l ə n ə x
minigower	m ɪ n iː ɡ a u r
minymay	m ɪ n iː m eː
miraam	m ə r aː m
miseree	m ɪ z ə r iː
misteare	m ɪ s t ɛː r
mistern	m ɪ s t ɛ r n
mistrace	m a i̯ s t r aː s
mithel	m ɛ t̪ ə l
mize	m a i̯ z
mizen	m ɪ z ə n
mizleare	m ɪ z l ɛː r
mizleen	m ɪ z l iː n
mizluck	m ɪ z l ʊ k
moake	m ɔː k
moan	m ɔː n
moans	m ɔː n z
moile	m ɔ ɪ l
moll	m ɔ l
mondei	m ʊ n d ə i̯
monie	m ʊ n a i̯
moodher	m uː d̪ ə r
moolyogue	m uː l j oː ɡ
moone	m oː n ə
mope	m ɔː p
mor	m ʊ r
more	m ɔː
morning	m ɑː r n ɪ ŋ
mossaale	m ɔ s aː l
mosth	m oː s t̪
mot	m ʊ t
mothe	m ɔː t̪
mothee	m ɔː t̪ iː
mothès	m ɔː t̪ s
moude	m ɑː d
mougheare	m ə ʊ x ɛː r
mought	m uː x t
moulteen	m uː t̪ iː n
mucha	m ʊ t͡ʃ
mugges	m ʊ ɡ z
mulk	m ʊ l k
mulke	m ɛ l k
multh	m ʊ l t̪
mureesh	m ʊ r iː ʃ
murreen	m ʊ r ɛː n
mushtoun	m ʊ ʃ t uː n
muskawn	m ʊ s k ɑː n
muthon	m ʊ t̪ uː n
myche	m iː t͡ʃ
mycheare	m iː t͡ʃ ɛː r
mydes	m a i̯ d z
mydhe	m a i̯ d
mydhen	m a i̯ d̪ ə n
mye	m a i̯
mythens	m a i̯ t̪ ə n z
na	n aː
naab	n aː b
naaghen	n aː x ə n
naame	n aː m
naate	n aː t
naatur	n aː t ə r
naay	n a i̯
nad	n a d
naesth	n eː s t̪
naneen	n a n iː n
nappe	n a p
narrowe	n a r ə ʊ
nat	n a t
nawlee	n ɑː l iː
neal	n ɛː l
neape	n aː p
neapès	n ɛː p s
near	n aː r
neatt	n ɛː t
neckarès	n ɛ k aː r z
needeth	n iː d ə t̪
neeghe	n iː x
neeght	n iː x t
neem	n iː m
neemest	n iː m ɛ s t
neen	n iː n
neenteen	n iː n t iː n
neeshte	n iː ʃ t
neicher	n iː x ə r
neileare	n eː l ɛː r
neleen	n ɛ l iː n
neow	n uː
nether	n ɛ ð ə r
nettles	n ɛ t l z
nicest	n iː s ɛ s t
nickht	n ɪ k t
niclase	n ɪ k l aː s
niel	n a i̯ l
nieleare	n a i̯ l ɛː r
niether	n a i̯ ð ə r
nipple	n ɪ p ə l
nitheen	n ɪ t̪ iː n
nize	n ɪ z
nizterels	n ɪ z t r ə l z
no	n aː
nodhing	n ɔː d̪ ɪ ŋ
noggens	n ɔ ɡ ə n z
noll	n ɔ l
nollès	n ɔ l z
nonteet	n ʊ n t iː t
noor	n oː ð ə r
nordh	n ɔ r d̪
nore	n a r
norstrum	n o r s t̪ r ə m
note	n ɔː t
noucht	n ə ʊ x t
noughel	n uː x ə l
nouth	n ə ʊ θ
nowd	n uː d
nuggeen	n ɔ ɡ iː n
nypore	n a i̯ p oː r
nyporès	n a i̯ p oː r z
o'	ɔ
o'nile	oː n iː l
o'noghanes	ɔ n ɔ x aː n z
oan	aː n
oananooree	uː n ə n oː r iː
oanes	ɔː n s
oanès	ɔː n z
oaskean	ɔː s k ɛː n
oathès	ɔː t̪ s
ochone	ɔ x oː n
on	a n
oor	uː r
ooree	oː r iː
oother	oː ð ə r
ourzels	uː r z ɛ l z
ouse	uː z
ov	a v
ower	uː r
owze	ə ʊ z
paaced	p aː s t
paait	p a i̯ t
paare	p aː r
paarl	p aː r l
paay	p a i̯
pace	p aː s
palisceare	p a l ɪ s ɛː r
palloake	p a l ɔː k
palske	p a l s k
palskès	p a l s k s
pappee	p a p iː
parboles	p a r b oː l z
parcheka	p a r k ə k ə
parick	p a r ɪ k
parieshe	p a r iː ʃ
park	p a r k
parshagh	p a r ʃ ə x
part	p a r t
parthed	p a r t̪ ə d
patch	p a t͡ʃ
patroon	p a t r uː n
paudeen	p ɑː d iː n
paug	p ɔː ɡ
peacawn	p eː k aː n
peadher	p ɛ d̪ ə r
peale	p ɛː l
pealt	p ɛ l t
pee	p iː
peece	p ɛː s
peeougheen	p iː uː iː n
peepeare	p iː p ɛː r
peeps	p iː p s
peg	p ɛ ɡ
phielim	f iː l ɪ m
pick	p ɪ k
pideff	p ɪ d ɛ f
pidh	p ɪ d̪
piff	p ɪ f
piggès	p ɪ ɡ z
pikkès	p ɪ k s
pile	p iː l
pilleen	p ɪ l iː n
pint	p iː n t
pipper	p ɪ p ə r
pitcht	p ɪ t͡ʃ t
pitheye	p ɛ t̪ iː
piz	p ɪ z
pizzen	p ɪ z iː n
plaague	p l aː ɡ
plaase	p l aː z
plaine	p l eː n
plathearès	p l a t̪ ɛː r z
pleast	p l ɛː z t
pleough	p l uː
pleoughès	p l ə ʊ x z
plesant	p l ɛ z a n t
pley	p l eː
plowere	p l uː ɛː r
poage	p ɔː ɡ
poake	p ɔː k
pocket	p ɔ k ə t
polm	p ɔ l m
poloodrum	p ə l uː d̪ ə r ə m
polths	p ɑ l t z
pomeale	p ʊ m ɛ l
pooked	p ɔː k t
poplare	p ɔ p l aː r
porachès	p ɔ r ə t͡ʃ z
portheare	p ɔ r t̪ ɛː r
porther	p ɔ r t̪ ə r
portion	p ɔ r ʃ ə n
potteen	p ə t iː n
potteran	p ɔ t ə r ə n
poulee	p ʊ l iː
poumgaam	p uː ŋ aː n
poustee	p uː s t iː
praachin	p r aː t͡ʃ ɪ n
praate	p r aː t
prasaugh	p r a s ɔː
praunyuk	p r ɑː n j ə k
preengaas	p r ɛː ŋ ɡ aː s
preest	p r iː s t
priesth	p r iː s t̪
proo'th	p r uː θ
prosperitee	p r ɔ s p ɛ r ɪ t iː
proud	p r uː d
pry	p r a i̯
pryet	p r a i̯ t
puckawne	p ʊ k aː n
puddeen	p ʊ d iː n
pul	p ʊ l
pulleentown	p ʊ l iː n t uː n
pulmere	p ʊ l m eː r
pultry	p ʊ l t r iː
punaan	p ʊ n aː n
pussoate	p ʊ s ɔː t
pussough	p ʊ s uː x
pyle	p a i̯ l
pylès	p a i̯ l z
qougeely	k uː ɡ iː l iː
queen	k w iː n
querne	k w ɛ r n
quile	k w a i̯ l
raacoons	r aː k uː n z
raaison	r a i̯ z ə n
raak	r aː k
raamaash	r aː m aː ʃ
raan	r aː n
raaney	r aː n iː
raanyuck	r aː n j ə x
raaye	r a i̯
ractzom	r a k t z ə m
rade	r aː d
randyboo	r a n d iː b uː
rapple	r a p ə l
rare	r aː r
raree	r aː r iː
raskail	r a s k eː l
raskailès	r a s k eː l z
rasth	r a s t
rastoon	r a s t uː n
rayship	r eː ʃ ə p
reade	r ɛː d
readeare	r ɛː d ɛː r
rebine	r ɛ b iː n
recoardhed	r ɛ k ɔː r d̪ ə d
red	r ɛ d
redaughe	r ɔː
redress	r ɛ d r ɛ s
ree	r iː
reeche	r iː t͡ʃ
reeches	r iː t͡ʃ ə z
reed	r ɛː d
reedforth	r ɛː d f ɔ r t̪
reeke	r ɛː k
reem	r a i̯ m
reeshp	r iː ʃ p
reicht	r iː x t
reights	r iː x t s
remoon	r ə m uː n
rent	r ɛ n t
reoue	r uː
rether	r ɛ ð ə r
returnth	r ɛ t ʊ r n t̪
rhin	r ɪ n
rhyne	r a i̯ n
ring	r ɪ ŋ
riseth	r iː z ɛ θ
risheen	r ɪ ʃ iː n
risheeneare	r ɪ ʃ iː n ɛː r
risheenearès	r ɪ ʃ iː n ɛː r z
rivery	r a i̯ v ə r iː
rize	r iː z
robart	r ɔ b a r t
robunkshough	r ɔː b ʊ ŋ k ʃ uː x
rochfort	r ɔ t͡ʃ f ɔ r t
rocke	r ɔ k
ronaan	r oː n aː n
rookeen	r uː k iː n
roostha	r uː s t aː
rooze	r uː z
ropeare	r oː p ɛː r
rothed	r ɔ t̪ ə d
roue	r ə ʊ
roughel	r ʊ x ə l
rowse	r ə ʊ z
rub	r ʊ b
rubbeen	r ʊ b iː n
rubbès	r ʊ b z
ruck	r ʊ k
rugh	r ʊ x
rumcht	r ʊ m t͡ʃ t
runt	iː r ɛ n t
ruppere	r ʊ p ɛː r
russel	r ʊ s ɛ l
saalvache	s aː l v ə x
saareth	s a r t̪
saasty	s aː s t iː
saaughe	s aː x
sangle	s a n ɡ ə l
sankt	s a ŋ k
sankts	s a n k t s
sarree	s ə r iː
sau	s ɑː
scalaane	s k a l aː n
scaul	s k a l t
scholleare	s k ɔ l ɛː r
schoolune	s k uː l j uː n
score	s k ɔː r
scoth	s k ɔ h
scraaped	s k r aː p t
scrawb	s k r ɑː b
scribs	s k r ɪ b z
scrimsher	s k r ɪ m ʃ ə r
scrooge	s k r uː d͡ʒ
scuddeen	s k ʊ d iː n
scunse	s k ʊ n s
secun	s ɛ k ə n
sel	s e̞ l
shaade	ʃ aː d
shaadh	ʃ aː d̪
shaamfast	ʃ aː m f a s t
shaar	ʃ aː r
shaaumeless	ʃ ɑː m l ɛ s
shad	ʃ a d
shalee	ʃ a l iː
shanaan	ʃ a n aː n
shaneen	ʃ aː n iː n
sharoos	ʃ a r uː s
shaure	ʃ ɑː r
shawl	ʃ ɑː l
shea's	ʃ iː z
sheakeare	ʃ ɛ k ɛː r
sheardhe	ʃ a r d
sheare	ʃ ɛː r
sheck	ʃ ɛ k
shederow	ʃ iː d r ə ʊ
shell	ʃ a l
sherogany	ʃ ə r ɑ ɡ ə n iː
sherwaune	ʃ ɛ r w ɑː n
shet	ʃ ɛ t
shilleen	ʃ ɪ l iː n
shilleenès	ʃ ɪ l iː n z
shimmer	ʃ ɪ m ə r
shimmereen	ʃ ɪ m ə r iː m
shinamon	ʃ ɪ n ə m ə n
shinna	ʃ ɪ n ə
shinnocks	ʃ ɪ n ə k s
shipeen	ʃ a i̯ p iː n
shives	ʃ iː v z
shoo	ʃ
shooemaakear	ʃ uː m aː k ɛː r
shoone	ʃ uː n
shoordaane	ʃ uː r d aː n
shoorth	s k uː r t
shoosh	ʃ uː ʃ
shor	ʃ a r
shorne	ʃ ɔ r n
shoulde	ʃ uː l d
shraanes	ʃ r aː n z
shrude	ʃ r uː d
shrump	ʃ r ʊ m p
shud	ʃ ʊ d
shudled	ʃ ʊ d l d
shule	ʃ uː l
shuller	ʃ ʊ l ə r
shullereen	ʃ ʊ l ə r iː n
sigeen	s ɪ ɡ iː n
siggins	s ɪ ɡ ɪ n s
sippeare	s ɛ p ɛː r
skaulès	s k ɑː l z
skee	s k iː
skeine	s k a i̯ n
skelpearès	s k ɛ l p ɛː r z
skien	s k iː n
skir	s k ɪ r
skleat	s k l ɛː t
skudhelès	s k ʊ d̪ ə l z
skunnaan	s k ʊ n aː n
slavaak	s l a v aː k
slaych	s l eː t͡ʃ
sleedaugh	s l iː d ɔː
sleeveen	s l iː v iː n
sleight	s l iː x t
slendeare	s l ɛ n d ɛː r
slepe	s l iː p
slider	s l ɪ d ə r
slipper	s l ɪ p ə r
slougherdhès	s l uː ɡ ɛ r d̪ z
slouk	s l uː k
slouveen	s l ʊ v ɛː n
slug	s l ʊ ɡ
slut	s l ʊ t
smaale	s m a l
smack	s m a k
smaddereen	s m a d ə r iː n
smele	s m ɛː l
smill	s m ɪ l
smithered	s m ɪ t̪ ɛː r d
smock	s m ɔ k
smockeen	s m ɔ k iː n
smolke	s m ɔ l k
smoo	s m uː
smore	s m ɔː r
smort	s m ɔː r t
smote	s m ɔː t
smugal	s m ʊ ɡ ə l
sned	s n ɛ d
sneesheen	s n iː ʃ iː n
sneew	s n uː
snite	s n iː t
sooney	s uː n iː
sorry	s ɔ r iː
soumissive	s ʊ m ɪ s ɪ v
soustrum	s ə ʊ s t r ə m
spaade	s p aː d
spagh	s p a x
spakeen	s p aː k iː n
spall	s p ɑː l
sparroon	s p a r uː n
sparrowe	s p a r ə ʊ
speale	s p ɛː l
speate	s p ɛː t
speen	s p ɛː n
spiritogue	s p ɪ r ə t oː ɡ
spone	s p oː n
spourr	s p uː r
spraay	s p r a i̯
sprays	s p r eː z
spree	s p r iː
sproch	s p r ɑ x
spud	s p ʊ d
staag	s t aː ɡ
staamer	s t aː m ə r
staff	s t a f
staffort	s t a f ɔ r t
stalket	s t a l k t
stampe	s t a m p
starr	s t a r
starrès	s t a r z
starth	s t a r t̪
state	s t aː t
statesman	s t aː t s m a n
steout	s t ə ʊ t
stevin	s t ɛ v ɪ n
sthall	s t̪ a l
stharm	s t a r m
stheel	s t̪ iː l
stheeves	s t̪ ɛː v z
sthiers	s t̪ a i̯ r z
sthill	s t ɛ l
sthit	s t̪ ɪ t
sthoan	s t̪ ɔː n
sthoane	s t ɔː n
sthole	s t̪ ɔː l
stholk	s t̪ ɔ l k
sthraught	s t̪ r ɑː x t
sthroane	s t r ɔː n d
stiff	s t ɪ f
stir	s t o r
stob	s t ɑ b
stocker	s t ɑ k ə r
stondeth	s t ɔ n d ɛ θ
stouck	s t ʊ k
straayd	s t r a i̯ d
straayeare	s t r a i̯ a r t
strabut	s t r ə b ʊ t
strahanshair	s t̪ r a h ə n ʃ eː r
straps	s t r a p s
strat	s t r a t
straukaun	s t̪ r ɑ k ɑː n
straung	s t r ɔː ŋ
stre	s t r iː
streel	s t̪ r iː l
streem	s t r ɛː m
streigkt	s t r eː k t
streu	s t r uː
strippeare	s t r ɪ p ɛː r
stroke	s t r ɔː k
strollyaun	s t̪ r oː l j ɑː n
strollyaunin	s t̪ r oː l j ɑː n ə n
strooke	s t r uː k
stuckeen	s t ʊ k iː n
stuckeenès	s t ʊ k iː n z
stuggoone	s t ə ɡ uː n
sturdy	s t ʊ r d iː
surchte	s ʊ r x t
sweet	s w iː t
sweethearth	s w iː t h ɛ r t̪
swingale	s w ɪ ŋ ɡ aː l
swinged	s w ɪ n d͡ʒ d
synnott	s ɪ n ɔ t
t'avance	t ə v a n s
t'year	t j ɛː r
ta	t
taake	t aː k
taale	t aː l
taape	t aː p
taaste	t aː s t
tah	t aː
talke	t a l k
tallyour	t a l j uː r
tam	t a m
tan	t a n
tar	t a r
taullee	t ɑː l iː
teach	t ɛː t͡ʃ
teap	t aː p
teight	t eː k
teil	t eː l
tellgence	t a l ɪ d͡ʒ ɛ n s
teoune	t ə ʊ n
teouns	t ə ʊ n z
th'art	ð a r t
th'ast	ð a s t
than	ð a n
thar	t̪ a r
tharvizeen	t a r v ɪ z iː n
thaugkt	θ ɑː k t
thee	ð iː
theezil	ð iː z ɪ l
themost	ð iː m ɔː s t
thieg	t̪ a i̯ ɡ
thif	θ ɪ f
thiffin	θ ɪ f ɪ n
this	ð ɪ s
thokeawn	t oː k j aː n
thommeen	t ɔ m iː n
thoome	θ uː m
thooree	ð uː r iː
thoornes	θ uː r n z
thorelucke	θ ʊ r l ə k
thorsdei	θ ʊ r z d ə i̯
thou	ð
thraame	t̪ r aː m
thraamès	t̪ r aː m z
threesh	t r ɛː ʃ
threeve	θ r iː v
thrist	t̪ r ɪ s t
thrive	t̪ r ɪ v
thugerleen	t̪ uː x ə r l iː n
thye	aː
tib	t ɪ b
tibbès	t ɪ b z
tilly	t ɪ l iː
tine	t iː n
tis	t ɪ z
titch	t ɪ k
to's	t ə z
toan	t ɔː n
tolth	t ɔː l d
tomaulschuch	t ə m ɑː l ʃ ə x
too	t uː
took	t uː k
toowards	t uː w a r d z
torches	t ɔ r t͡ʃ z
toweare	t uː ɛː r
toweares	t uː ɛː r z
traans	t̪ r aː n z
traapeen	t̪ r aː p iː n
traaps	t̪ r aː p s
trad	t r a d
trameal	t r a m ɛː l
treblere	t r ɛ b l ɛː r
tren	t r iː n
trenshoorès	t r ɛ n ʃ uː r z
treshpass	t r ɛ ʃ p a s
trieshon	t r a i̯ ʃ ə n
trippeathès	t r ɪ p ɛː t̪ s
troll	t r ɔ l
trolleen	t r ɔ l iː n
truckle	t r ʊ k l
trugh	d r ɔː
tumlin	t o m l ə n
tusedei	t j uː z d ə i̯
twine	t w a i̯ n
twish	t w ɪ ʃ
twy	t w a i̯
ty	t iː
tyel	t a i̯ l
tyght	t ɪ x t
tyshe	t ɪ ʃ
udh	uː t
udho	ʊ d̪ ɔ
ug	ʊ ɡ
umost	uː m ɔː s t
uncouth	ʊ n k uː θ
understhoane	ʊ n d ə r s t̪ ɔː n
ung	ʊ ŋ
unket	ʊ n k ɛ t
unnere	ʊ n ɛː r
usquebaugh	ʊ s b ɑː x
vaaper	v aː p ə r
vaapereen	v a p ə r iː n
vaarin	v aː r ɪ n
vaat	v aː t
vall	v a l
valleat	v a l ɛː t
valler	v a l ə r
vallert	v a l ɛ r t
valse	f ɑ l s
vamilee	v a m ɪ l iː
vanged	v a ŋ d
var	v a r
vargee	v a r ɡ iː
varreen	v a r iː n
varreet	f a r j ɛː t
varteean	v a r t ɛː n
vartful	v a r t f ʊ l
vartue	v a r t j uː
vassale	v a s aː l
vassalès	v a s aː l z
vaste	v a s t
vat	v a t
vather	v a ð ə r
vatherless	v a ð ə r l ɛ s
vear	v ɛː r
vear'd	v ɛː r d
vearne	f ɛː r n
vearnee	f ɛː r n iː
veeleen	f iː l iː n
veeve	v iː v
veezer	v iː z ə r
vele	v ɛ l
vellas	v ɛ l ə s
ven	v ɛ n
vengem	v ɛ ŋ ə m
vengence	v ɛ ŋ ɛ n s
venie	v ɛ n iː
veree	v ɛ r iː
verilie	v ɛ r ɪ l iː
veseal	v ɛ s ɛː l
vetch	v ɛ t͡ʃ
vethers	v ɛ ð ə r z
vew	v j uː
vezeeen	v ɛ z iː n
vice	v a i̯ s
videl	v ɪ d ə l
vidler	v ɪ d l ə r
vier	v a i̯ r
vifteen	v ɪ f t iː n
vigere	v ɪ ɡ ɛː r
vill	v ɪ l
villent	v ɪ l ɛ n t
vinger	v ɪ ŋ ɡ ə r
vinteen	v ɪ n t ɛː n
vire	v iː r
vish	v ɪ ʃ
vlat	v l a t
vlaxen	v l a k s ə n
vleal	v l ɛː l
vlealès	v l ɛː l z
vleash	v l ɛ ʃ
vlee	v l iː
vlew	v l uː
vlock	v l ɔ k
vlynch	v l ɪ n t͡ʃ
voal	v ɔː l
voote	v uː t
vooted	v uː t ə d
vor	v a r
vork	v ɔ r k
vorreat	v ɔ r ɛː t
vorty	v a r t iː
vour	v ə ʊ r
vourteen	v ə ʊ r t iː n
vourthe	v ə ʊ r t̪
voxe	v ɔ k s
vreedie	v r iː d a i̯
vrem	v r ɔ m
vresh	v r ɛ ʃ
vriene	f r iː n d
vrienes	v r iː n z
vrosth	v r a s t
vull	v ʊ l
vurlonge	v ʊ r l ɔ ŋ
vursth	v r ɪ s t
w'aam	w aː m
w'aare	w a r
w'all	w a l
w'eeme	w iː m
w'ous	w uː z
waad	w a d
waafur	w aː f ə r
waaight	w a i̯ x t
waaite	w a i̯ t
waal	v ɛ l ə
waant	w aː n t
waare	w aː r
waas	a z
wad	w a d
waithed	w eː t̪ ə d
wake	w aː k
walles	w a l z
war	w a r
wasth	w a s t̪
wathere	w a t̪ ɛː r
waudher	w aː d̪ ə r
waunt	w a n t
waur	w ɑː r
wauscoat	w a z k ɔː t
wauste	w ɑː s t
weate	w ɛː t
weddeen	w a d iː n
wee	w
weeireth	w eː r ɛ θ
weekeen	w iː k ɛː n
weend	w iː n
weeneen	w iː n iː n
weepeen	w iː p iː n
weery	w iː r iː
weft	w ɛ f t
wefty	w ɛ f t iː
weisforthe	w eː s f ɔ r d
weithest	w eː t̪ ɛ s t
welkome	w ɛ l k ʊ m
well	w ɛ l
wennesdei	w ɛ n z d ə i̯
were	w ɛ r
westan	w ɛ s t ə n
weveare	w ɛ v ɛː r
what	h w a t
whauteen	h w aː t iː n
whaze	h w eː z
wheel	h w iː l
whet	h w ɛ t
whick	h w ɪ k
whil	h w ɪ l
while	h w iː l
whileen	h w ɪ l iː n
whinnard	h w ɪ n ə r d
whit	h w ɪ t
whiter	h w ɪ t ə r
whithel	h w ɪ t̪ ə l
whithele	h w ɪ t h iː l
wi'oute	w ɪ uː t
wich	h w ɪ l k
wick	w ɪ k
wicked	w ɪ k ə d
wiethe	w a i̯ t̪
wiethed	w a i̯ t̪ ə d
wiethest	w a i̯ t̪ ɛ s t
wimble	w ɪ m b ə l
wing	w ɪ ŋ
wingeen	w ɪ ŋ iː n
winnooween	w ɪ n oː ɪ n
wish	w ɪ ʃ
wiveare	w iː v ɛː r
wonderfullee	w ʊ n d ə r f ʊ l iː
wonter	w ʊ n t ə r
woode	uː d
wooden	w uː d ə n
woork	w uː r k
woorkt	w uː r k t
wooveless	w uː v l ɛ s
wore	w ɔː r
wou'll	w uː l
wough	w
woul	w uː l
wourlok	w ʊ r l ɔ k
wourlok'd	w ʊ r l ɔ k t
wrasth	w r a s t
wuf	w ʊ f
wul	v a l
wullow	w ʊ l ɑː
wullès	w ʊ l z
wurgheere	w ʊ r ɡ ɛː r
wut	w ʊ t
wyddeer	w ɪ d ɛː r
wye	w a i̯
wyllhaume	w ɪ l j aː m
wyse	w a i̯ z
wytheen	w a i̯ t̪ iː n
y'ast	j a s t
ya	j aː
yaate	j aː t
yalpeen	j a l p iː n
yark	j a r k
yarth	j a r t
yartha	j a r
ye	j iː
yee	j ɛː
yeeit	j eː t
yeeoure	j iː uː r
yer	j ɛ r
yersthei	j ɛ r s t eː
yerzel	j ɛ r z ɛ l
yew	j uː
yie	j iː
yith	j ɪ θ
yola	j ɔː l aː
yole	j ɔː l
yowe	j ə ʊ
yullou	j ɛ l ə ʊ
yux	j ʊ k s
zaawe	z ɑː
zaft	z a f t
zailee	z a l iː
zall	z a l
zamoon	z aː m uː n
zang	z a ŋ
zap	z a p
zarth	z a r t̪
zarve	z a r
zathardei	z a t̪ ə r d ə i̯
zea	z ɛː
zeade	z ɛː d
zed	z ɛ d
zee	z eː
zeek	z iː k
zeen	z iː n
zeene	z iː n
zeese	z iː s
zeeth	z iː θ
zeide	z iː d
zense	z ɛ n s
zet	s ɛ t
zetteen	z ɛ t iː n
zeven	z ɛ v ə n
zeventeen	z ɛ v ə n t iː n
zey	z eː
zheep	ʃ iː p
zhip	ʒ ɪ p
zhiprocke	ʒ ɪ p r ɔ k
zhoult	ʒ uː l t
zide	z a i̯ d
zien	z a i̯ ə n
zil	z ɪ l
zim	s o m
zimmer	z ɪ m ə r
zimoon	z ɪ m aː n
zin	z ɪ n
zince	z ɪ n s
zindei	z ɪ n d ə i̯
zing	z ɪ ŋ
zins	z ɪ n z
zippeen	s ɪ p iː n
zister	z ɪ s t ə r
zit	z ɪ t
zitch	z ɛ t͡ʃ
zitheen	z ɪ t̪ iː n
zlaves	z l aː v z
zo	s eː
zoane	z ɔː n
zong	z ɔ ŋ
zoon	s uː n
zoot	z uː t
zough	z uː x
zound	z uː n d
zour	z uː r
zouth	z uː θ
zouvereine	z ɔ v r eː n
zoweare	s ə ʊ ɛː r
zoween	s ə ʊ iː n
zpeed	z p iː d
zpeen	s p iː n
ztaared	z t aː r d
ztudied	z t ʊ d iː d
zumthin'	z ʊ m θ ɪ n
zung	z ʊ ŋ
zunk	z ʊ ŋ k
zwae	s w eː d
zweal	z w ɛː l
zweatheen	z w ɛː t̪ iː n
