־אי	a i
חזרה	χ a z a ʁ a
חח	ħ aː ħ
חחח	χ a χ a χ a
חטוף	χ a t u f
חטיבה	χ a t i v a
חטיף	χ a t i f
חטף	χ a t a f
חי	ħ a j
חיבוק	χ i b u k
חיבל	χ i b e l
חיה	ħ a j j a
חיובי	χ i j u v i
חיות	χ i j j u t
חיזר	χ i z e r
חיטה	χ i t a
חייט	χ a j a t
חייך	χ i j e χ
חיים	ħ a i m
חילדון	χ i l a d o n
חימום	χ i m u m
חימם	χ i m e m
חימש	ħ i m m eː ʃ
חינך	χ i n e χ
חינם	χ i n a m
חיפה	χ a j f a
חיקה	χ i k a
חירף	χ e ʁ e f
חיתן	χ i t e n
חכליל	ħ a k l iː l
חכלילות	ħ a k l iː l uː t
חכלילית	χ a χ l i l i t
חכם	x u x u m
חל	ħ aː l
חלאה	χ e l a
חלב	ħ a l a b
חלבנה	ħ æ l b æ n ɔː
חלום	χ a l o m
חלומות	χ a l o m o t
חלון	χ a l o n
חלוץ	ħ aː l uː sˤ
חלוק	ħ ɔ l u q
חלזון	ħ i l l ɔ z oː n
חלל	χ a l a l
חלם	χ a l a m
חלק	χ a l a k
חלקית	χ e l k i t
חלקלק	χ a l a k l a k
חלש	χ a l a ʃ
חם	h a m
חמאה	χ e m a
חמאס	χ a m a s
חמאסניק	χ a m a s n i k
חמאר	χ m a ʁ
חמה	χ a m a
חמוץ	χ a m u t͡s
חמוצית	χ a m u t͡s i t
חמור	χ a m o ʁ
חמוש	χ a m u ʃ
חמים	χ a m i m
חמישה	e m i ʃ ʃ a
חמישי	χ a m i ʃ i
חמץ	ħ a m e sˤ
חמצוואר	χ a m t͡s a v a ʁ
חמר	χ e m e ʁ
חמש	h ɒ m e ʃ
חמשיר	χ a m ʃ i ʁ
חנוכה	ħ a n u k k aː
חנוכייה	χ a n u k i j a
חנון	χ n u n
חנונית	χ n u n i t
חנות	ħ aː n uː t
חנייה	χ a n a j a
חנית	χ a n i t
חנק	χ a n a k
חנ״ג	χ a n a ɡ
חסד	ħ e s e d
חסון	ħ a s o n
חסיד	χ a s i d
חסקה	ħ a s a k e
חפירה	ħ a f i r ɔ
חפלה	χ a f l a
חפצי־בה	x ɛ f t͡s i v ɔ
חפר	χ a f a ʁ
חפרע	ħ ɔ f r a ʕ
חפרפרת	ħ a f a r pʰ ɛ r ɛ θ
חץ	ħ e sˤ
חצאית	χ a t͡s a i t
חצות	χ a t͡s o t
חצי	χ a t͡s i
חצר	χ a t͡s e ʁ
חקלאות	χ a k l a u t
חקלאי	χ a k l a i
חרא	χ a ʁ a
חרב	χ e ʁ e v
חרבן	χ i ʁ b e n
חרדי	χ a ʁ e d i
חרדיים	χ a ʁ e d i i m
חרדים	χ a ʁ e d i m
חרדית	χ a ʁ ɛ d i t
חרה	χ a ʁ a
חרוב	χ a ʁ u v
חרוסת	ħ ă ʁ o s ɛ θ
חרטה	χ a ʁ a t a
חריג	χ a ʁ i ɡ
חריף	χ a ʁ i f
חריפות	χ a ʁ i f u t
חרמן	χ a ʁ m a n
חרפה	χ e ʁ p a
חרק	χ a ʁ a k
חרת	ħ aː r a θ
חש	χ a ʃ
חשב	χ a ʃ a v
חשבון	ħ e ʃ b o n
חשוב	ħ a ʃ u b
חשיבה	χ a ʃ i v a
חשמול	χ i ʃ m u l
חשמל	χ a ʃ m a l
חשף	χ a s a f
חשש	χ a ʃ a ʃ
חתול	ħ a t u l
חתולה	ħ ă θ u l l ɔ
חתונה	χ a t u n a
חתיכה	χ a t i χ a
חתלתול	χ a t a l t u l
חתן	χ a t a n
טבול	t e v u l
טביליסי	t b i l i s i
טבלן	t a v l a n
טבע	t a v a
טבעי	t i v i
טג׳יקי	t a d͡ʒ i k i
טג׳יקיסטן	t a d͡ʒ i k i s t a n
טוב	t e j v
טובאלו	t u v a l u
טווס	t a v a s
טווסון	t a v a s o n
טומטום	t u m t u m
טונגה	t o n ɡ a
טוס	t a v a s
טופו	t o f u
טורסו	t o ʁ s o
טורף	t o ʁ e f
טיבט	t i b e t
טיוב	t i j u v
טיטניום	t i t a n j u m
טייח	t i j e a χ
טייס	t a j a s
טיל	t i l
טיסה	t i s a
טיפה	t i p a
טיפל	t i p e l
טיפש	t i p e ʃ
טיפשות	t i p ʃ u t
טירונות	t i r o n u t
טכנולוגי	t e χ n o l o ɡ i
טל	t a l
טלה	t a l e
טלית	t a l e t
טלפון	t e l e f o n
טלפן	t i l f e n
טמבל	t e m b e l
טמפורה	t a m p u ʁ a
טמפרטורה	t e m p e ʁ a t u ʁ a
טמרה	t a m ʁ a
טס	t a s
טעות	t a u t
טעם	t a a m
טף	t a f
טפו	t f u
טפטוף	t i f t u f
טקסס	t e k s a s
טראומה	t ʁ a w m a
טרול	t ʁ o l
טרומפלדור	t ʁ u m p e l d o ʁ
טרוריסט	t e ʁ o ʁ i s t
טריגונומטריה	t ʁ i ɡ o n o m e t ʁ i j a
טריז	t r i z
טרנסניסטריה	t ʁ a n s n i s t ʁ i j a
טרפנטין	tˤ ɛ ʀ p ɛ n tˤ i n
טשטש	t i ʃ t e ʃ
י־	j a
יא	j a
יאור	j e o ʁ
יאזניה	j a a z a n j a
יאכטה	j a χ t a
יבול	j e v u l
יבוס	j a b uː s
יבוק	j a b b oː q
יבניה	j i v n e j a
יברכיהו	j e v e ʁ e χ j a h u
יבש	j a v e ʃ
יד	j a d
ידה	j a d a
ידיד	j a d i d
ידע	j a d a
יה	j a
יהדות	j a h a d u t
יהודה	j a h uː d aː h
יהודי	j e h u d i
יהודית	j e h u d i t
יהוה	j e h o v a
יהונתן	j a h oː w n aː t aː n
יהושע	j e h o ʃ u a
יהי	j e h i
יובל	j o v e l
יוגוסלביה	j u ɡ o s l a v j a
יוגורט	j o ɡ u ʁ t
יוד	j o d
יווני	j e v a n i
יוחם	j u χ a m
יוחנן	j o j χ ɔ n ɔ n
יוטה	j u t a
יוכבד	j o χ e v e d
יום	j e j m
יומולדת	j o m u l e d e t
יומון	j o m o n
יומיומי	j o m j o m i
יון	j a v a n
יונה	j o n a
יונתן	j o n a t a n
יוסף	j o s e f
יותר	j o t e ʁ
יותרת	j o t e ʁ e t
יזיז	j a z i z
יזעת	j a z a a t
יחזקאל	j e χ e s k e l
יחי	j e χ i
יחידה	j e χ i d a
יחידות	j e h i d u t
יחמור	j a ħ m u ʀ
יחס	j a ħ a s
יחף	j a χ e f
ייאש	j e e ʃ
ייבא	j i b e
ייבוא	j i b u
ייוון	j i v e n
ייחודי	j i χ u d i
ייחס	j i ħ e s
יין	j a i n
ייער	j i e ʁ
ייצא	j i t͡s e
יכול	j a χ o l
יכולת	j χ o l e t
ילד	j a l a d
ים	j a m
ימין	j ɔː m iː n
ינקות	j a n k u t
ינשוף	j a n ʃ u f
יסוד	j e s o d
יסכה	j i s k a
יעד	j a a d
יעל	j a e l
יעקב	j a a k o v
יער	j a a ʁ
יערות	j e a ʁ o t
יערן	j a a ʁ a n
יפה	j a f a
יפנית	j a p a n i t
יפת	j e f e t
יצא	j a t͡s a
יצחק	i t͡s χ a k
יציבות	j a t͡s i v u t
יציר	j e t͡s i ʁ
יצר	j a t͡s a ʁ
יקותיאל	j a q uː tʰ iː ʔ i l
יקטן	j o k t a n
יקע	j a k a
יקר	j a k a ʁ
ירא	j a ʁ e
יראה	j i r ʔ aː
ירד	j a r a d
ירדן	j a ʁ d e n
ירה	j a ʁ a
ירוק	j a ʁ o k
ירושה	j e ʁ u ʃ a
ירושלים	j a r uː ʃ aː l a j m
ירח	j a r a ħ
ירחמאל	j e ʁ a χ m e e l
ירי	j e ʁ i
יריחו	j e ʁ i χ o
יריעה	j e ʁ i ʔ a
ירך	j a ʁ e χ
ירמיה	j i ʁ m j a
יש	j e ʃ
ישב	j a ʃ a v
ישו	j e ʃ u
ישוע	j e ʃ u a
ישורון	j e ʃ u ʁ u n
ישחק	i s χ a k
ישיבה	j e ʃ i v a
ישימון	j e ʃ i m o n
ישמעאל	i ʃ m a e l
ישעיהו	j e ʃ a j a h u
ישראל	i s ʁ a e l
ישראלי	i s ʀ e e l i
יתוש	j a t u ʃ
יתרו	j i t ʁ̟ o
כאחד	k e e χ a d
כאילו	k e i l u
כאן	k a n
כאשר	k a a ʃ e ʁ
כבאי	k a b a j
כבד	k a v e d
כבוד	k a b o d
כבר	k v a ʁ
כבש	k a v a s
כדאי	k e d a j
כדור	k a d u ʁ
כדורגל	k a d u ʁ e ɡ e l
כדורעף	k a d u ʁ a f
כדי	k e d e j
כהניזם	k a h a n i z e m
כובע	k o v a
כוהן	k o e n
כוח	k o a χ
כולה	k u l a
כולו	k u l o
כולם	k u l a m
כולנו	k u l a n u
כומז	k u m a z
כוסברה	k u s b a ʁ a
כור	k o r
כורכום	k u ʁ k u m
כורסה	k u ʀ s a
כורש	k o ʁ e ʃ
כוש	k u ʃ
כותב	k e ɪ̯ s e ɪ̯ v
כותנה	k u t n a
כחול	k a χ o l
כחוש	k a χ u ʃ
כחל	k a χ a l
כיבוש	k i b u ʃ
כיוון	k i v e n
כיום	k a j o m
כיון	k i j j uː n
כיזב	k i z e v
כיחד	k i χ e d
כיסא	k i s e
כיף	k e f
כיפה	k i p p ɔ
כיפור	k i p p u r
כיצד	k e t͡s a d
כך	k a χ
ככה	k a χ a
כל	k e l
כלב	k a l a v
כלבה	k a l b a
כלבות	k a l aː b oː t
כלבים	k a l aː b iː m
כלבלב	k l a v l a v
כלבת	k a l l ɛ v ɛ θ
כלה	k a l a
כלום	k l u m
כלומר	k l o m a ʁ
כליה	k i l j a
כלך	k e l e χ
כלל	k a l a l
כמו	k e m o
כמוש	k m o ʃ
כמות	k a m m u t
כמעט	k i m a t
כן	k a n
כניעה	k n i a
כנס	k e n e s
כנסיה	k e n e s i j a
כנסת	k n e s e t
כנען	k e n a ʔ a n
כנף	k a n a f
כנראה	k a n i ʁ e
כסף	k e s e f
כספית	k a s p i t
כסת״ח	k a s t a χ
כעס	k a a s
כף	k a f
כפור	k e f o r
כפייה	k f i j a
כפל	k a f a l
כפפה	k f a f a
כרגיל	k a ʁ a ɡ i l
כרה	k a ʁ a
כרוב	k a r uː b
כריסטמס	k ʁ i s m e s
כרית	k a ʁ i t
כרם	k a r m
כרע	k a r a
כרפס	k a r p a s
כרתים	k ʁ e t i m
כתב	k a t a b
כתוב	k a t u b
כתובת	k t o v e t
כתיב	k s iː v
כתיבה	k e t i v a
כתית	k a t i t
כתיתה	k t i t a
כתף	k a t e f
כתר	k e t e ʁ
ל	l a m e d
ל־	l a
לא	l o
לאוס	l a ʔ o s
לאכול	l e e χ o l
לב	l e v
לבב	l e v a v
לבוש	l a v u ʃ
לביא	l a v i
לביבה	l e v i v a
לבירינת	l a b i ʁ i n t
לבן	l a b a n
לבש	l a v a ʃ
לגם	l a ɡ a m
לגמרי	l e ɡ a m r e
לגשת	l a ɡ e ʃ e t
לדינו	l a d i n o
לדפוק	l i d f o k
לדרוש	l i d ʁ o ʃ
לה	l a
להג	l a h a ɡ
להגמר	l e h i ɡ a m e ʁ
להה	l a h a
להוט	l a h u t
להיט	l a h i t
להפך	l e e f e χ
להקה	l a a k a
להתראות	l e h i t ʁ a o t
לו	l o
לובן	l e j v ɛ n
לובסטר	l o b s t e ʁ
לווייתן	l i v j a t a n
לוח	l u a χ
לוין	l a v j a n
לוקק	l u k a k
לח	l a χ
לחי	l e χ i
לחייך	l e χ a j e χ
לחיים	l e ħ a j i m
לחם	l a ħ a m
לחץ	l a χ a t͡s
לחש	l a χ a ʃ
ליבי	l i b i
ליבן	l i b b e n
ליד	l e j a d
לידה	l e d a
לילה	l a j l a
לימד	l i m e d
לימוד	l i m m u d
לימודים	l i m m u d i m
לימונדה	l i m o n a d a
לינוק	l i n o k
ליסבון	l i s b o n
ליצן	l e j t͡s a n
ליצ׳י	l i t͡ʃ i
ליצ׳ים	l i t͡ʃ i m
ליקט	l i k e t
ליקק	l i k e k
ליש	l a j i ʃ
לישון	l i ʃ o n
לכאורה	l i x e̞ ʔ oː r aː
לכאן	l e k a n
לכתוב	l i χ t o v
ללמוד	l i l m o d
למד	l a m a d
למה	l a m a
למוד	l a m u d
למור	l a m u r
למטה	l e m a t a
למידה	l e m i d a
למעלה	l e m a l a
לנשוב	l i n ʃ o v
לספר	l ə s a p e ʁ
לעזאזל	l a ʔ a z a z e l
לעטון	l a a t o n
לפה	l e f o
לפיכך	l e f i χ a χ
לק	l e k
לקוח	l a k o a χ
לקח	l a k a χ
לקנות	l i k n o t
לקק	l a k a k
לקקן	l a k e k a n
לקראת	l i k ʁ a t
לקרוא	l i k r o
לרוב	l a ʁ o v
לשון	l a ʃ o n
לשוני	l e ʃ o n i
לשים	l a s i m
לשמוע	l i ʃ m o a
לשמור	l i ʃ m o ʁ
לשתות	l i ʃ t o t
לתמוך	l i t m o χ
לתפור	l i t f o r
ל״י	l a j
מ	m e m
מ־	m i
מאבק	m a a v a k
מאה	m e a
מאוד	m e o d
מאוחר	m e u χ a ʁ
מאוכזב	m e u χ z a v
מאות	m e o t
מאחורי	m e a ħ o r e j
מאכל	m a a χ a l
מאפיין	m e a f j e n
מארב	m a a ʁ a v
מאתיים	m a a t a j i m
מבואר	m e v o a ʁ
מבולבל	m e v u l b a l
מביך	m e v i χ
מבצר	m i v t͡s a ʁ
מברג	m a v ʁ e ɡ
מברוק	m a b ʁ u k
מברשת	m i v ʁ e ʃ e t
מגבון	m a ɡ v o n
מגבת	m a ɡ e v e t
מגדל	m i ɡ d a l
מגדלור	m i ɡ d a l o ʁ
מגהץ	m a ɡ e t͡s
מגוג	m a ɡ o ɡ
מגוחך	m e ɡ u χ a χ
מגזר	m i ɡ z ɔ ʀ
מגן	m a ɡ e n
מגנזיום	m a ɡ n e z j u m
מגנט	m a ɡ n e t
מגעיל	m a ɡ i l
מג׳נון	m a d͡ʒ n u n
מג׳נטה	m a d͡ʒ e n t a
מג״ב	m a ɡ a v
מדבקה	m a d b e k a
מדין	m i d j a n
מדינה	m a d iː n aː
מדע	m a d a
מדפסת	m a d p e s e t
מדרגה	m a d ʁ e ɡ a
מדרגות	m a d ʁ e ɡ o t
מדריך	m a d ʁ i χ
מדרכה	m i d ʁ a χ a
מדרשים	m i d r a ʃ i m
מדשאה	m i d ʃ a a
מד״א	m a d a
מה	m a
מהגר	m e a ɡ e ʁ
מהול	m a h u l
מהיטבאל	m e h e t a v e l
מהילה	m e h i l a
מהיר	m a h i ʁ
מהל	m a a l
מהנדס	m e a n d e s
מהפך	m a a p a χ
מהפכה	m a a p e χ a
מהר	m a a ʁ
מואב	m o a v
מוגבל	m u ɡ b a l
מוגדל	m u ɡ d a l
מוגלה	m u ɡ l a
מודע	m u d a
מוהל	m o e l
מוהר	m o a ʁ
מוות	m a v e t
מוזיאון	m u z e o n
מוזיקה	m u z i k a
מוזר	m u z a ʁ
מוח	m o a χ
מוט	m o t
מוכן	m u χ a n
מולדת	m o l e d e t
מום	m u m
מונגוליה	m o n ɡ o l j a
מוסיקה	m u s i k a
מועד	m o e d
מועסק	m o a s a k
מוצא	m o t͡s a
מוקדון	m o k d o n
מושג	m u s a ɡ
מושלם	m u ʃ l a m
מושלמת	m u ʃ l ɛ m ɛ t
מושקע	m u ʃ k a
מות	m u s
מותן	m o t e n
מזבח	m i z b e a χ
מזג	m a z a ɡ
מזגן	m a z ɡ a n
מזדיין	m i z d a j e n
מזח	m e j z a χ
מזחלת	m i z χ e l e t
מזיח	m e z i a χ
מזיק	m a z i k
מזכרת	m a z k e ʁ e t
מזל	m a z a l
מזלג	m a z l e ɡ
מזרון	m i z ʁ o n
מזרח	m i z r ɔː ħ
מזרן	m i z ʁ a n
מזרק	m a z ʁ e k
מזרקה	m i z ʁ a k a
מחבואים	m a χ b o i m
מחבל	m e χ a b e l
מחבת	m a χ a v a t
מחדד	m e χ a d e d
מחדל	m e χ d a l
מחוז	m a χ o z
מחזור	m a χ a z o ʁ
מחלה	m a χ a l a
מחלף	m e χ l a f
מחנה	m a χ a n e
מחסנית	m a χ s a n i t
מחץ	m a χ a t͡s
מחצבה	m a χ t͡s a v a
מחק	m a χ a k
מחקים	m e χ a k i m
מחר	m a χ a r
מחרתיים	m a ħ o r a t a j i m
מחשב	m a ħ ʃ e v
מחשבה	m a χ ʃ a v a
מחשבון	m a χ ʃ e v o n
מטאטא	m a t a t e
מטבע	m a t b e a
מטוס	m a t o s
מטורף	m e t o ʁ a f
מטושטש	m e t u ʃ t a ʃ
מטטרון	m e t a t ʁ o n
מטר	m a t a ʁ
מטרה	m a t a r a
מטריה	m i t ʁ i j a
מידה	m i d a
מידע	m e d a
מיוער	m e j u a ʁ
מיזם	m e j z a m
מיטה	m i t a
מייבש	m e j a b e ʃ
מיינץ	m a j n t͡s
מיכאל	m i χ a e l
מיכה	m i x ɔ
מילה	m i l a
מילון	m i l o n
מילניום	m i l e n j u m
מים	m a j i m
מימון	m a j m o n
מימונה	m i m u n a
מימוש	m i m u ʃ
מין	m i n
מיני	m i n i
מיעוט	m i u t
מיקוח	m i k u a χ
מיקרופון	m i k ʁ o f o n
מישהו	m i ʃ e h u
מישהי	m i ʃ e h i
מישור	m i ʃ o r
מיתה	m i s ɔ
מכבי	m a k a b i
מכוסה	m e χ u s e
מכורה	m e χ o ʁ a
מכחול	m i k χ o l
מכיר	m a k i ʁ
מכנסיים	m i χ n a s a i m
מכפלה	m a χ p e l a
מכשפה	m a χ ʃ e f a
מכתב	m i k t aː b
מכתוב	m a k t u b
מלאך	m a l a χ
מלוח	m a l u a χ
מלוכלך	m e l u χ l a χ
מלון	m a l o n
מלח	m a l a ħ
מלחין	m a l χ i n
מלחמה	m i l ħ aː m aː
מלית	m i l i t
מלך	m a l a χ
מלכה	m a l k a
מלכות	m a l χ u t
מלכים	m l a χ i m
מלפפון	m e l a f e f o n
מלצר	m e l t͡s a ʁ
מלקוש	m a l k o j ʃ
ממלכה	m a m l a χ a
ממש	m a m a ʃ
ממתק	m a m t a k
מנדרינה	m a n d a ʁ i n a
מנדרינות	m a n d a ʁ i n o t
מנהרה	m i n h a r a
מנוחה	m e n u χ a
מנומס	m e n u m a s
מנורה	m e n o ʁ a
מנזר	m i n z a ʁ
מניה	m n a j a
מניין	m i n j a n
מנסרה	m i n s a ʁ a
מנשה	m e n a ʃ e
מס	m a s
מסגד	m i s ɡ a d
מסדרון	m i s d a ʁ o n
מסוכן	m e s u k a n
מסורת	m a s o ʁ e t
מסך	m a s a χ
מסכת	m a s e χ e t
מסכתות	m a s e χ t o t
מסנן	m a s n e n
מסעדה	m i s a d a
מספיק	m a s p i k
מספריים	m i s p a ʁ a i m
מסקנה	m a s k a n a
מסרק	m a s ʁ e k
מעד	m a a d
מעונן	m e u n a n
מעיל	m e i l
מעל	m e a l
מעלה	m a a l a
מעליב	m a ʔ a l i v
מעניין	m e a n j e n
מערב	m a a ʁ a v
מערה	m e a ʁ a
מערך	m a ʔ a ʁ a χ
מפיבשת	m e f i b o ʃ e t
מפל	m a p a l
מפלגה	m i f l a ɡ a
מפלט	m i f l a t
מפסידן	m a f s i d a n
מפעל	m i f ʔ a l
מפקד	m e f a k e d
מפקדה	m i f k a d a
מפתח	m a f t e a ħ
מצא	m a t͡s a
מצב	m a t͡s a v
מצבה	m a t͡s e v a
מצגת	m a t͡s e ɡ e t
מצה	m a t͡s a
מצותיו	m i t͡s v o t a v
מצח	m e sˤ a ħ
מצחיק	m a sˤ ħ i q
מצחף	m i t͡s χ a f
מציצה	m e t͡s i t͡s a
מצית	m a t͡s i t
מצלמה	m a t͡s l e m a
מצנח	m a t͡s n e a χ
מצנפת	m i t͡s n e f e t
מצץ	m a t͡s a t͡s
מצרים	m i t͡s ʁ a j i m
מקולקל	m e k u l k a l
מקום	m a k o m
מקורזל	m e k u ʁ z a l
מקלדת	m i k l e d e t
מקלחת	m i k l a χ a t
מקסיקו	m e k s i k o
מקפצה	m a k p e t͡s a
מקצוע	m i k t͡s o a
מקרא	m i k ʁ a
מר	m a ʁ
מראה	m a ʁ a
מרב	m e ʁ a v
מרבד	m a ʁ v a d
מרגלות	m a r ɡ ə l o j s
מרגמה	m a ʁ ɡ e m a
מרדכי	m o ʁ d e χ a j
מרוץ	m e ʁ o t͡s
מרור	m a ʁ o ʁ
מרח	m a ʁ a χ
מריחואנה	m a ʁ i χ w a n a
מרים	m i ʁ j a m
מריצה	m e ʁ i t͡s a
מרכבה	m e ʁ k a v a
מרכול	m a ʁ k o l
מרפסת	m i ʁ p e s e t
מרפק	m a ʁ p e k
מרק	m a ʁ a k
מרשתת	m i r ʃ e t e t
מרתף	m a ʁ t e f
משאב	m a ʃ a v
משאבה	m a ʃ e v a
משאית	m a s a i t
משאלה	m i ʃ a l a
משה	m o ʃ e
משהו	m a ʃ e h u
משוגע	m e ʃ u ɡ a
משומד	m e ʃ u m a d
משורר	m e ʃ o ʁ e ʁ
משוש	m a s o s
משותף	m e ʃ u t a f
משחית	m a ʃ ħ iː tʰ
משחק	m i s χ a k
משטר	m i ʃ t a r
משטרה	m i ʃ t a ʁ a
משיח	m a ʃ i a χ
משכן	m i ʃ k a n
משכנתה	m a ʃ k a n t a
משל	m a ʃ a l
משמעותי	m a ʃ m a u t i
משמש	m i ʃ m e ʃ
משמשים	m i ʃ m e ʃ i m
משנה	m i ʃ n a
משפחה	m i ʃ p a χ a
משפט	m i ʃ p a t
משק	m e ʃ e k
משקה	m a ʃ k e
משקל	m i ʃ k a l
משתה	m i ʃ t e
משתלה	m a ʃ t e l a
מת	m e j s
מתודה	m e t o d a
מתווה	m i t v a
מתוכנן	m e t u χ n a n
מתולתל	m e t u l t a l
מתוק	m a t o k
מתי	m a t a j
מתיהד	m i s y a h e j d
מתמטיקה	m a t e m a t i k a
מתנה	m a t a n a
מתקדם	m i t k a d e m
מתתיהו	m a t a t j aː h uː
מ״צ	m e m ‿ t͡s a d i
נאבד	n e e v a d
נאבק	n e e v a k
נאורו	n a u ʁ u
נאות	n a o t
נאט״ו	n a t o
נאף	n a a f
נאץ	n a a t͡s
נאצל	n e e t͡s a l
נבהל	n i v h a l
נבוכדנאצר	n e v u χ a d n e t͡s a ʁ
נבח	n a v a χ
נביחה	n e v i χ a
נבעת	n i v a s
נגב	n e ɡ e v
נגח	n a ɡ a χ
נגיעה	n e ɡ i a
נגיש	n a ɡ i ʃ
נגמר	n i ɡ m a ʁ
נגע	n a ɡ a
נגעל	n i ɡ a l
נד	n a d
נדב	n a d a v
נדם	n a d a m
נדן	n a d a n
נדקר	n i d k a ʁ
נהג	n a h a ɡ
נהוראי	n e h o ʁ a j
נהק	n a a k
נהר	n a a ʁ
נהריה	n a h a ʁ i j a
נוד	n o d
נווד	n a v a d
נווה	n a v e
נוכחות	n o χ e χ u t
נוסף	n o s a f
נוף	n o f
נוצה	n o t͡s a
נוקד	n o k e d
נורא	n o ʁ a
נוראי	n o ʁ a i
נורמלי	n o ʁ m a l i
נורמליזציה	n o ʁ m a l i z a t͡s j a
נותן	n o t e n
נזום	n i z u m
נזיר	n a z i r
נזם	n e z e m
נחושת	n e χ o ʃ e t
נחלה	n a ħ ə l aː
נחלץ	n e χ e l a t͡s
נחנו	n a ħ n uː
נחנק	n e χ e n a k
נחס	n a χ s
נחש	n a ħ a ʃ
נחשתן	n e h u ʃ t ɒ n
נטל	n a t a l
נטמע	n i t m a
ניאון	n e ʔ o n
ניאץ	n i e t͡s
ניב	n i v
ניבול	n i b b uː l
ניהל	n i e l
ניואה	n i j u e
ניזום	n i z u m
ניחוח	n i h o æ
ניחוחי	n i h o h i
נייר	n e j a r
נילוס	n i l u s
ניצח	n i sˤ e j j a ħ
ניקוד	n i k u d
ניקל	n i k e l
ניקרגואה	n i k a ʁ a ɡ u a
נישא	n i s a
נישה	n i ʃ a
ניתוח	n i t u a χ
ניתק	n i t e k
נכון	n a χ o n
נכנע	n i χ n a
נכס	n a χ a s
נכתב	n i χ t a v
נלחם	n i l χ a m
נם	n a m
נמאס	n i m a s
נמהל	n i m a l
נמוך	n a m u χ
נמל	n a m a l
נמלה	n e m a l a
נמלט	n i m l a t
נמצא	n i m t͡s a
נעה	n o a
נעמי	n o m i
נער	n a a ʁ
נפוטיזם	n e p o t i z e m
נפח	n a f a χ
נפטר	n i f t a ʁ
נפל	n a f a l
נפש	n a f a ʃ
נפשות	n e f a ʃ o t
נפשט	n i f ʃ a t
נצח	n a sˤ a ħ
נצעק	n i t͡s a k
נקבה	n a q eː v ɔː
נקי	n a k i
נקם	n a k a m
נקמה	n e k a m a
נקע	n a k a
נקר	n a k a ʁ
נרדם	n i ʁ d a m
נרטב	n i ʁ t a v
נרמל	n i ʁ m e l
נשב	n a ʃ a v
נשבה	n i ʃ b a
נשבע	n i ʃ b a
נשבר	n i ʃ b a ʁ
נשוי	n a s u j
נשיא	n a s i
נשימה	n e ʃ i m a
נשכח	n i ʃ k a χ
נשכר	n i s k a ʁ
נשמה	n a ʃ m a
נשק	n a ʃ a k
נתאכם	n i t a k e m
נתון	n a t u n
נתניה	n a t a n j a
נתפס	n i t f a s
נתקל	n i t k a l
סאה	s a ʔ aː
סאקורה	s a k u ʁ a
סבא	s a b a
סבון	s a b o n
סביבון	s e v i v o n
סבלנות	s a v l a n u t
סגד	s a ɡ a d
סגידה	s ɡ i d a
סגריר	s a ɡ r i r
סדום	s d e i m
סדין	s a d i n
סדן	s a d a n
סדר	s e d e ʁ
סהר	s a a r
סהרה	s a a r a
סובב	s o v e v
סוד	s o d
סוודר	s v e d e ʁ
סוללה	s o l e l a
סומליה	s o m a l j a
סונכרן	s u n k r a n
סוס	s u s
סוף	s o f
סופגנייה	s u f ɡ a n i j a
סופ״ש	s o f a ʃ
סוציאליזם	s o t͡s j a l i z e m
סורינאם	s u ʁ i n a m
סחבק	s a χ b a k
סחרחורת	s e χ a ʁ χ o ʁ e t
סטוץ	s t u t͡s
סיב	s i v
סיבה	s i b a
סיבוך	s i b u χ
סיבי	s i v i
סיגל	s i ɡ e l
סידן	s i d a n
סידר	s i d e ʁ
סיוט	s i j u t
סינוף	s i n u f
סינכרן	s i n k r e n
סינף	s a n a f
סיסרא	s i s r ɔ
סיף	s a j i f
סיפק	s i p e k
סיפר	s i p e ʁ
סירב	s e ʁ e v
סכו״ם	s a k u m
סלולר	s e l u l a ʁ
סלולרי	s e l u l a ʁ i
סלמון	s a l m o n
סלניום	s e l e n j u m
סלע	s e l a
סם	s a m
סמואה	s a m o a
סמוך	s a m u χ
סמיכות	s m i χ u t
סמך	s a m a χ
סמכות	s a m χ u t
סמכותי	s a m χ u t i
סמל	s a m a l
סנאי	s n a i
סנדוויץ׳	s e n d v i t͡ʃ
סנה	s n e
סנטר	s a n t e ʁ
סניף	s n i f
סנסן	s a n s a n
סנפיר	s n a p i ʁ
סעודה	s e u d a
סערה	s e a r a
סף	s a f
ספח	s a f a x
ספטמבר	s e p t e m b e ʁ
ספינה	s f i n a
ספציפית	s p e t͡s i f i t
ספר	s a f a r
ספרד	s f a ʁ a d
ספרדית	s f a ʁ a d i t
ספרות	s i f ʁ u t
ספרייה	s i f r i j a
סקוטיה	s k o t i j a
סקוטלנד	s k o t l a n d
סקנדיום	s k a n d j u m
סקסי	s e k s i
סקרנות	s a k ʁ a n u t
סרטון	s i ʁ t o n
סריס	s a ʁ i s
סרר	s a ʁ a ʁ
סתירה	s t i ʁ a
סתם	s t a m
עבד	e v e d
עבדקן	a v d e k a n
עבודה	a v oː d ɔ
עברות	ʔ i v ʁ u t
עברי	i v ʁ i
עברית	i v r i s
עגבנייה	a ɡ v a n i j a
עגבת	a ɡ e v e t
עד	a d
עדה	a d a
עדוי	a d u y
עדי	a d i
עדיאל	a d i e l
עדכון	i d k u n
עדלם	a d u l a m
עדן	a d e n
עדשה	a d a ʃ a
עובדיה	o v a d j a
