aachen	aː χ ə n
begnügst	b ə g n ʏ k s t
begnügt	b ə g n ʏ k t
begnügte	b ə g n ʏ k t ə
begnügtem	b ə g n ʏ k t ə m
begnügten	b ə g n ʏ k t ə n
begnügter	b ə g n ʏ k t ɐ
begnügtes	b ə g n ʏ k t ə s
begnügtest	b ə g n ʏ k t ɛ s t
begnügtet	b ə g n ʏ k t ə t
begonien	b ə g oː n iː ə n
begonnen	b ə g ɔ n ə n
begonnene	b ə g ɔ n n ə n ə
begonnenem	b ə g ɔ n n ə n ə m
begonnenen	b ə g ɔ n n ə n ə n
begonnener	b ə g ɔ n n ə n ɐ
begonnenes	b ə g ɔ n n ə n ə s
begoss	b ə g ɔ s s
begossen	b ə g ɔ s z ə n
begossene	b ə g ɔ s z ə n ə
begossenem	b ə g ɔ s z ə n ə m
begossenen	b ə g ɔ s z ə n ə n
begossener	b ə g ɔ s z ə n ɐ
begossenes	b ə g ɔ s z ə n ə s
begossest	b ə g ɔ s z ɛ s t
begosst	b ə g ɔ s s t
begrabe	b ə g ʁ aː b ə
begraben	b ə g ʁ aː b m
begrabene	b ə g ʁ aː b ə n ə
begrabenem	b ə g ʁ aː b ə n ə m
begrabenen	b ə g ʁ aː b ə n ə n
begrabener	b ə g ʁ aː b ə n ɐ
begrabenes	b ə g ʁ aː b ə n ə s
begrabt	b ə g ʁ a p t
begradigt	b ə g ʁ aː d ɪ k t
begradigte	b ə g ʁ aː d ɪ k t ə
begradigtem	b ə g ʁ aː d ɪ k t ə m
begradigten	b ə g ʁ aː d ɪ k t ə n
begradigter	b ə g ʁ aː d ɪ k t ɐ
begradigtes	b ə g ʁ aː d ɪ k t ə s
begradigung	b ə g ʁ aː d ɪ g ʊ ŋ
begreifbar	b ə g ʁ a eː f b a ʁ
begreifbare	b ə g ʁ a eː f b a ʁ ə
begreifbarem	b ə g ʁ a eː f b a ʁ ə m
begreifbaren	b ə g ʁ a eː f b a ʁ ə n
begreifbarer	b ə g ʁ a eː f b a ʁ ɐ
begreifbares	b ə g ʁ a eː f b a ʁ ə s
begreife	b ə g ʁ a eː f ə
begreifen	b ə g ʁ a eː f ə n
begreifend	b ə g ʁ a eː f ɛ n t
begreifende	b ə g ʁ a eː f ɛ n d ə
begreifendem	b ə g ʁ a eː f ɛ n d ə m
begreifenden	b ə g ʁ a eː f ɛ n d ə n
begreifender	b ə g ʁ a eː f ɛ n d ɐ
begreifendes	b ə g ʁ a eː f ɛ n d ə s
begreiflich	b ə g ʁ a eː f l ɪ ç
begreifliche	b ə g ʁ a eː f l ɪ ç ə
begreiflichem	b ə g ʁ a eː f l ɪ ç ə m
begreiflichen	b ə g ʁ a eː f l ɪ ç ə n
begreiflicher	b ə g ʁ a eː f l ɪ ç ɐ
begreiflichere	b ə g ʁ a eː f l ɪ ç ɐ ə
begreiflicherem	b ə g ʁ a eː f l ɪ ç ɐ ə m
begreiflicheren	b ə g ʁ a eː f l ɪ ç ɐ ə n
begreiflicherer	b ə g ʁ a eː f l ɪ ç ɐ ɐ
begreiflicheres	b ə g ʁ a eː f l ɪ ç ɐ ə s
begreiflicherweise	b ə g ʁ a eː f l ɪ ç ɛ ʁ v a eː z ə
begreifliches	b ə g ʁ a eː f l ɪ ç ə s
begreiflichste	b ə g ʁ a eː f l ɪ ç s t ə
begreiflichstem	b ə g ʁ a eː f l ɪ ç s t ə m
begreiflichsten	b ə g ʁ a eː f l ɪ ç s t ə n
begreiflichster	b ə g ʁ a eː f l ɪ ç s t ɐ
begreiflichstes	b ə g ʁ a eː f l ɪ ç s t ə s
begreifst	b ə g ʁ a eː f s t
begreift	b ə g ʁ a eː f t
begrenze	b ə g ʁ eː n t s ə
begrenzen	b ə g ʁ ɛ n t s n
begrenzend	b ə g ʁ ɛ n t s ɛ n t
begrenzende	b ə g ʁ ɛ n t s ɛ n d ə
begrenzendem	b ə g ʁ ɛ n t s ɛ n d ə m
begrenzenden	b ə g ʁ ɛ n t s ɛ n d ə n
begrenzender	b ə g ʁ ɛ n t s ɛ n d ɐ
begrenzendes	b ə g ʁ ɛ n t s ɛ n d ə s
begrenzest	b ə g ʁ ɛ n t s ɛ s t
begrenzt	b ə g ʁ ɛ n t s t
begrenzte	b ə g ʁ ɛ n t s t ə
begrenztem	b ə g ʁ ɛ n t s t ə m
begrenzten	b ə g ʁ ɛ n t s t ə n
begrenzter	b ə g ʁ ɛ n t s t ɐ
begrenztes	b ə g ʁ ɛ n t s t ə s
begrenztest	b ə g ʁ ɛ n t s t ɛ s t
begrenztet	b ə g ʁ ɛ n t s t ə t
begrenztheit	b ə g ʁ ɛ n t s t ə iː t
begrenzung	b ə g ʁ eː n t s ʊ ŋ
begrenzungen	b ə g ʁ eː n t s ʊ ŋ ə n
begrenzungslinie	b ə g ʁ ɛ n t s ʊ ŋ s l ɪ n iː j ə
begrenzungslinien	b ə g ʁ ɛ n t s ʊ ŋ s l ɪ n iː ə n
begrenzungsmauer	b ə g ʁ ɛ n t s ʊ ŋ s m a oː ɐ
begrenzungswarnung	b ə g ʁ ɛ n t s ʊ ŋ s v a ʁ n ʊ ŋ
begriff	b ə g ʁ ɪ f
begriffe	b ə g ʁ ɪ f ə
begriffen	b ə g ʁ ɪ f f ə n
begriffene	b ə g ʁ ɪ f f ə n ə
begriffenem	b ə g ʁ ɪ f f ə n ə m
begriffenen	b ə g ʁ ɪ f f ə n ə n
begriffener	b ə g ʁ ɪ f f ə n ɐ
begriffenes	b ə g ʁ ɪ f f ə n ə s
begriffes	b ə g ʁ ɪ f f ə s
begrifflich	b ə g ʁ ɪ f f l ɪ ç
begriffliche	b ə g ʁ ɪ f f l ɪ ç ə
begrifflichem	b ə g ʁ ɪ f f l ɪ ç ə m
begrifflichen	b ə g ʁ ɪ f f l ɪ ç ə n
begrifflicher	b ə g ʁ ɪ f f l ɪ ç ɐ
begriffliches	b ə g ʁ ɪ f f l ɪ ç ə s
begriffs	b ə g ʁ ɪ f s
begriffsbestimmung	b ə g ʁ ɪ f f s b ɛ s t ɪ m m ʊ ŋ
begriffsbestimmungen	b ə g ʁ ɪ f f s b ɛ s t ɪ m m ʊ ŋ ə n
begriffsbildung	b ə g ʁ ɪ f f s b ɪ l d ʊ ŋ
begriffsbildungen	b ə g ʁ ɪ f f s b ɪ l d ʊ ŋ ə n
begriffsebene	b ə g ʁ ɪ f f z eː b ə n ə
begriffsebenen	b ə g ʁ ɪ f f z eː b ə n ə n
begriffserklärung	b ə g ʁ ɪ f f z ɛ ʁ k l ɛ ʁ ʊ ŋ
begriffserklärungen	b ə g ʁ ɪ f f z ɛ ʁ k l ɛ ʁ ʊ ŋ ə n
begriffsstutzig	b ə g ʁ ɪ f f z s t ʊ t s ɪ ç
begriffsstutzige	b ə g ʁ ɪ f f z s t ʊ t s ɪ g ə
begriffsstutzigem	b ə g ʁ ɪ f f z s t ʊ t s ɪ g ə m
begriffsstutzigen	b ə g ʁ ɪ f f z s t ʊ t s ɪ g ə n
begriffsstutziger	b ə g ʁ ɪ f f z s t ʊ t s ɪ g ɐ
begriffsstutziges	b ə g ʁ ɪ f f z s t ʊ t s ɪ g ə s
begriffst	b ə g ʁ ɪ f f s t
begriffsvermögen	b ə g ʁ ɪ f f s v ɛ ʁ m ɔʏ̯ g ə n
begriffsvermögens	b ə g ʁ ɪ f f s v ɛ ʁ m ɔʏ̯ g ɛ n s
begriffsverwirrung	b ə g ʁ ɪ f f s v ɛ ʁ v ɪ ʁ ʁ ʊ ŋ
begriffsverwirrungen	b ə g ʁ ɪ f f s v ɛ ʁ v ɪ ʁ ʁ ʊ ŋ ə n
begriffswörterbuch	b ə g ʁ ɪ f f s v œ ʁ t ɛ ʁ b ʊ x
begrifft	b ə g ʁ ɪ f f t
begrub	b ə g ʁ uː p
begruben	b ə g ʁ uː b ə n
begrubst	b ə g ʁ ʊ p s t
begrubt	b ə g ʁ ʊ p t
begräbnis	b ə g ʁ ɛː p n ɪ s
begräbnisse	b ə g ʁ ɛː p n ɪ s ə
begräbnissen	b ə g ʁ ɛ b n ɪ s z ə n
begräbnisses	b ə g ʁ ɛː p n ɪ s ə s
begräbst	b ə g ʁ ɛ p s t
begräbt	b ə g ʁ ɛ p t
begründbar	b ə g ʁ ʏ n t b a ʁ
begründbare	b ə g ʁ ʏ n t b a ʁ ə
begründbarem	b ə g ʁ ʏ n t b a ʁ ə m
begründbaren	b ə g ʁ ʏ n t b a ʁ ə n
begründbarer	b ə g ʁ ʏ n t b a ʁ ɐ
begründbares	b ə g ʁ ʏ n t b a ʁ ə s
begründe	b ə g ʁ ʏ n d ə
begründen	b ə g ʁ ʏ n d ə n
begründend	b ə g ʁ ʏ n d ɛ n t
begründende	b ə g ʁ ʏ n d ɛ n d ə
begründendem	b ə g ʁ ʏ n d ɛ n d ə m
begründenden	b ə g ʁ ʏ n d ɛ n d ə n
begründender	b ə g ʁ ʏ n d ɛ n d ɐ
begründendes	b ə g ʁ ʏ n d ɛ n d ə s
begründer	b ə g ʁ ʏ n d ɐ
begründerin	b ə g ʁ ʏ n d ɐ ɪ n
begründerinnen	b ə g ʁ ʏ n d eː ʁ ɪ n n ə n
begründern	b ə g ʁ ʏ n d ɛ ʁ n
begründers	b ə g ʁ ʏ n d ɛ ʁ s
begründest	b ə g ʁ ʏ n d ɛ s t
begründet	b ə g ʁ ʏ n d ə t
begründete	b ə g ʁ ʏ n d ə t ə
begründetem	b ə g ʁ ʏ n d ə t ə m
begründeten	b ə g ʁ ʏ n d ə t ə n
begründeter	b ə g ʁ ʏ n d ə t ɐ
begründetes	b ə g ʁ ʏ n d ə t ə s
begründetest	b ə g ʁ ʏ n d eː t ɛ s t
begründetet	b ə g ʁ ʏ n d ə t ə t
begründung	b ə g ʁ ʏ n d ʊ ŋ
begründungen	b ə g ʁ ʏ n d ʊ ŋ ə n
begründungsschritt	b ə g ʁ ʏ n d ʊ ŋ s s t s ʁ ɪ t
begründungsschritte	b ə g ʁ ʏ n d ʊ ŋ s s t s ʁ ɪ t ə
begründungsschritten	b ə g ʁ ʏ n d ʊ ŋ s s t s ʁ ɪ t ə n
begründungsschritts	b ə g ʁ ʏ n d ʊ ŋ s s t s ʁ ɪ t t s
begutachtbar	b ə g uː t a x t b a ʁ
begutachtbare	b ə g uː t a x t b a ʁ ə
begutachtbarem	b ə g uː t a x t b a ʁ ə m
begutachtbaren	b ə g uː t a x t b a ʁ ə n
begutachtbarer	b ə g uː t a x t b a ʁ ɐ
begutachtbares	b ə g uː t a x t b a ʁ ə s
begutachte	b ə g uː t a x t ə
begutachten	b ə g uː t a x t ə n
begutachtend	b ə g uː t a x t ɛ n t
begutachtende	b ə g uː t a x t ɛ n d ə
begutachtendem	b ə g uː t a x t ɛ n d ə m
begutachtenden	b ə g uː t a x t ɛ n d ə n
begutachtender	b ə g uː t a x t ɛ n d ɐ
begutachtendes	b ə g uː t a x t ɛ n d ə s
begutachtest	b ə g uː t a x t ɛ s t
begutachtet	b ə g uː t a x t ə t
begutachtete	b ə g uː t a x t ə t ə
begutachtetem	b ə g uː t a x t ə t ə m
begutachteten	b ə g uː t a x t ə t ə n
begutachteter	b ə g uː t a x t ə t ɐ
begutachtetes	b ə g uː t a x t ə t ə s
begutachtetest	b ə g uː t a x t eː t ɛ s t
begutachtetet	b ə g uː t a x t ə t ə t
begutachtung	b ə g uː t a x t ʊ ŋ
begutachtungen	b ə g uː t a x t ʊ ŋ ə n
begünstige	b ə g ʏ n s t ɪ g ə
begünstigen	b ə g ʏ n s t ɪ g ə n
begünstigend	b ə g ʏ n s t iː g ɛ n t
begünstigende	b ə g ʏ n s t iː g ɛ n d ə
begünstigendem	b ə g ʏ n s t iː g ɛ n d ə m
begünstigenden	b ə g ʏ n s t iː g ɛ n d ə n
begünstigender	b ə g ʏ n s t iː g ɛ n d ɐ
begünstigendes	b ə g ʏ n s t iː g ɛ n d ə s
begünstigst	b ə g ʏ n s t ɪ k s t
begünstigt	b ə g ʏ n s t ɪ k t
begünstigte	b ə g ʏ n s t ɪ k t ə
begünstigtem	b ə g ʏ n s t ɪ k t ə m
begünstigten	b ə g ʏ n s t ɪ k t ə n
begünstigter	b ə g ʏ n s t ɪ k t ɐ
begünstigtes	b ə g ʏ n s t ɪ k t ə s
begünstigtest	b ə g ʏ n s t ɪ k t ɛ s t
begünstigtet	b ə g ʏ n s t ɪ k t ə t
begünstigung	b ə g ʏ n s t ɪ g ʊ ŋ
begünstigungen	b ə g ʏ n s t ɪ g ʊ ŋ ə n
begütert	b ə g yː t ɛ ʁ t
begüterte	b ə g yː t ɛ ʁ t ə
begütertem	b ə g yː t ɛ ʁ t ə m
begüterten	b ə g yː t ɛ ʁ t ə n
begüterter	b ə g yː t ɛ ʁ t ɐ
begütertere	b ə g yː t ɛ ʁ t ɐ ə
begüterterem	b ə g yː t ɛ ʁ t ɐ ə m
begüterteren	b ə g yː t ɛ ʁ t ɐ ə n
begüterterer	b ə g yː t ɛ ʁ t ɐ ɐ
begüterteres	b ə g yː t ɛ ʁ t ɐ ə s
begütertes	b ə g yː t ɛ ʁ t ə s
begüterteste	b ə g yː t ɛ ʁ t ɛ s t ə
begütertestem	b ə g yː t ɛ ʁ t ɛ s t ə m
begütertesten	b ə g yː t ɛ ʁ t ɛ s t ə n
begütertester	b ə g yː t ɛ ʁ t ɛ s t ɐ
begütertestes	b ə g yː t ɛ ʁ t ɛ s t ə s
begütige	b ə g yː t ɪ g ə
begütigen	b ə g yː t ɪ g ə n
begütigend	b ə g yː t iː g ɛ n t
begütigende	b ə g yː t iː g ɛ n d ə
begütigendem	b ə g yː t iː g ɛ n d ə m
begütigenden	b ə g yː t iː g ɛ n d ə n
begütigender	b ə g yː t iː g ɛ n d ɐ
begütigendes	b ə g yː t iː g ɛ n d ə s
begütigst	b ə g yː t ɪ k s t
begütigt	b ə g yː t ɪ k t
begütigte	b ə g yː t ɪ k t ə
begütigtem	b ə g yː t ɪ k t ə m
begütigten	b ə g yː t ɪ k t ə n
begütigter	b ə g yː t ɪ k t ɐ
begütigtes	b ə g yː t ɪ k t ə s
begütigtest	b ə g yː t ɪ k t ɛ s t
begütigtet	b ə g yː t ɪ k t ə t
behaart	b ə h aː ʁ t
behaarte	b ə h aː ʁ t ə
behaartem	b ə h aː ʁ t ə m
behaarten	b ə h aː ʁ t ə n
behaarter	b ə h aː ʁ t ɐ
behaartes	b ə h aː ʁ t ə s
behaftet	b ə h a f t ə t
behaftete	b ə h a f t ə t ə
behaftetem	b ə h a f t ə t ə m
behafteten	b ə h a f t ə t ə n
behafteter	b ə h a f t ə t ɐ
behaftetes	b ə h a f t ə t ə s
behage	b ə h aː g ə
behagen	b ə h aː g ə n
behagend	b ə h aː g ɛ n t
behagende	b ə h aː g ɛ n d ə
behagendem	b ə h aː g ɛ n d ə m
behagenden	b ə h aː g ɛ n d ə n
behagender	b ə h aː g ɛ n d ɐ
behagendes	b ə h aː g ɛ n d ə s
behaglich	b ə h aː g l ɪ ç
behagliche	b ə h aː k l ɪ ç ə
behaglichem	b ə h aː k l ɪ ç ə m
behaglichen	b ə h aː k l ɪ ç ə n
behaglicher	b ə h aː g l ɪ ç ɐ
behaglichere	b ə h aː k l ɪ ç ɐ ə
behaglicherem	b ə h aː k l ɪ ç ɐ ə m
behaglicheren	b ə h aː k l ɪ ç ɐ ə n
behaglicherer	b ə h aː k l ɪ ç ɐ ɐ
behaglicheres	b ə h aː k l ɪ ç ɐ ə s
behagliches	b ə h aː k l ɪ ç ə s
behaglichkeit	b ə h aː g l ɪ ç k aɪ̯ t
behaglichste	b ə h a g l ɪ ç s t ə
behaglichstem	b ə h a g l ɪ ç s t ə m
behaglichsten	b ə h aː g l ɪ ç s t n
behaglichster	b ə h a g l ɪ ç s t ɐ
behaglichstes	b ə h a g l ɪ ç s t ə s
behagst	b ə h a k s t
behagt	b ə h a k t
behagte	b ə h a k t ə
behagten	b ə h a k t ə n
behagtest	b ə h a k t ɛ s t
behagtet	b ə h a k t ə t
behalf	b ə h a l f
behalfen	b ə h a l f ə n
behalfest	b ə h a l f ɛ s t
behalfst	b ə h a l f s t
behalft	b ə h a l f t
behalte	b ə h a l t ə
behalten	b ə h a l t ə n
behaltend	b ə h a l t ɛ n t
behaltende	b ə h a l t ɛ n d ə
behaltendem	b ə h a l t ɛ n d ə m
behaltenden	b ə h a l t ɛ n d ə n
behaltender	b ə h a l t ɛ n d ɐ
behaltendes	b ə h a l t ɛ n d ə s
behaltene	b ə h a l t ə n ə
behaltenem	b ə h a l t ə n ə m
behaltenen	b ə h a l t ə n ə n
behaltener	b ə h a l t ə n ɐ
behaltenes	b ə h a l t ə n ə s
behaltet	b ə h a l t ə t
behandelbar	b ə h a n d ɛ l b a ʁ
behandelbare	b ə h a n d ɛ l b a ʁ ə
behandelbarem	b ə h a n d ɛ l b a ʁ ə m
behandelbaren	b ə h a n d ɛ l b a ʁ ə n
behandelbarer	b ə h a n d ɛ l b a ʁ ɐ
behandelbares	b ə h a n d ɛ l b a ʁ ə s
behandele	b ə h a n d eː l ə
behandeln	b ə h a n d ɛ l n
behandelnd	b ə h a n d ɛ l n t
behandelnde	b ə h a n d ɛ l n d ə
behandelndem	b ə h a n d ɛ l n d ə m
behandelnden	b ə h a n d ɛ l n d ə n
behandelnder	b ə h a n d ɛ l n d ɐ
behandelndes	b ə h a n d ɛ l n d ə s
behandelst	b ə h a n d ɛ l s t
behandelt	b ə h a n d ɛ l t
behandelte	b ə h a n d ɛ l t ə
behandeltem	b ə h a n d ɛ l t ə m
behandelten	b ə h a n d ɛ l t ə n
behandelter	b ə h a n d ɛ l t ɐ
behandeltes	b ə h a n d ɛ l t ə s
behandeltest	b ə h a n d ɛ l t ɛ s t
behandeltet	b ə h a n d ɛ l t ə t
behandle	b ə h a n d l ə
behandlung	b ə h a n d l ʊ ŋ
behandlungen	b ə h a n d l ʊ ŋ ə n
behandlungserfolge	b ə h a n d l ʊ ŋ z ɛ ʁ f ɔ l g ə
behandlungserfolgen	b ə h a n d l ʊ ŋ z ɛ ʁ f ɔ l g ə n
behandlungsgerät	b ə h a n d l ʊ ŋ s g eː ʁ ɛ t
behandlungsmethode	b ə h a n d l ʊ ŋ s m ɛ t oː d ə
behandlungsmethoden	b ə h a n d l ʊ ŋ s m ɛ t oː d ə n
behandschuht	b ə h a n t ʃ uː t
behandschuhte	b ə h a n t ʃ uː t ə
behandschuhtem	b ə h a n t ʃ uː t ə m
behandschuhten	b ə h a n t ʃ uː t ə n
behandschuhter	b ə h a n t ʃ uː t ɐ
behandschuhtes	b ə h a n t ʃ uː t ə s
behang	b ə h a ŋ
behangen	b ə h a ŋ ə n
behangene	b ə h a ŋ ə n ə
behangenem	b ə h a ŋ ə n ə m
behangenen	b ə h a ŋ ə n ə n
behangener	b ə h a ŋ ə n ɐ
behangenes	b ə h a ŋ ə n ə s
behanges	b ə h a ŋ ə s
behangs	b ə h a ŋ s
beharre	b ə h a ʁ ʁ ə
beharren	b ə h a ʁ ʁ ə n
beharrend	b ə h a ʁ ʁ ɛ n t
beharrende	b ə h a ʁ ʁ ɛ n d ə
beharrendem	b ə h a ʁ ʁ ɛ n d ə m
beharrenden	b ə h a ʁ ʁ ɛ n d ə n
beharrender	b ə h a ʁ ʁ ɛ n d ɐ
beharrendes	b ə h a ʁ ʁ ɛ n d ə s
beharrlich	b ə h a ʁ l ɪ ç
beharrliche	b ə h a ʁ ʁ l ɪ ç ə
beharrlichem	b ə h a ʁ ʁ l ɪ ç ə m
beharrlichen	b ə h a ʁ ʁ l ɪ ç ə n
beharrlicher	b ə h a ʁ ʁ l ɪ ç ɐ
beharrliches	b ə h a ʁ ʁ l ɪ ç ə s
beharrlichkeit	b ə h a ʁ ʁ l ɪ ç k ə iː t
beharrst	b ə h a ʁ ʁ s t
beharrt	b ə h a ʁ ʁ t
beharrte	b ə h a ʁ ʁ t ə
beharrten	b ə h a ʁ ʁ t ə n
beharrtest	b ə h a ʁ ʁ t ɛ s t
beharrtet	b ə h a ʁ ʁ t ə t
behaue	b ə h a oː ə
behauen	b ə h a oː ə n
behauene	b ə h a oː ə n ə
behauenem	b ə h a oː ə n ə m
behauenen	b ə h a oː ə n ə n
behauener	b ə h a oː ə n ɐ
behauenes	b ə h a oː ə n ə s
behaupte	b ə h a oː p t ə
behaupten	b ə h aʊ̯ p t ə n
behauptend	b ə h a oː p t ɛ n t
behauptende	b ə h a oː p t ɛ n d ə
behauptendem	b ə h a oː p t ɛ n d ə m
behauptenden	b ə h a oː p t ɛ n d ə n
behauptender	b ə h a oː p t ɛ n d ɐ
behauptendes	b ə h a oː p t ɛ n d ə s
behauptest	b ə h a oː p t ɛ s t
behauptet	b ə h a oː p t ə t
behauptete	b ə h a oː p t ə t ə
behauptetem	b ə h a oː p t ə t ə m
behaupteten	b ə h a oː p t ə t ə n
behaupteter	b ə h a oː p t ə t ɐ
behauptetes	b ə h a oː p t ə t ə s
behauptetest	b ə h a oː p t eː t ɛ s t
behauptetet	b ə h a oː p t ə t ə t
behauptung	b ə h a oː p t ʊ ŋ
behauptungen	b ə h a oː p t ʊ ŋ ə n
behause	b ə h a oː z ə
behausen	b ə h a oː z ə n
behausend	b ə h a oː z ɛ n t
behausende	b ə h a oː z ɛ n d ə
behausendem	b ə h a oː z ɛ n d ə m
behausenden	b ə h a oː z ɛ n d ə n
behausender	b ə h a oː z ɛ n d ɐ
behausendes	b ə h a oː z ɛ n d ə s
behausest	b ə h a oː z ɛ s t
behaust	b ə h a oː s t
behauste	b ə h a oː s t ə
behausten	b ə h a oː s t ə n
behaustest	b ə h a oː s t ɛ s t
behaustet	b ə h a oː s t ə t
behausung	b ə h a oː z ʊ ŋ
behausungen	b ə h a oː z ʊ ŋ ə n
behaut	b ə h a oː t
behaute	b ə h a oː t ə
behautem	b ə h a oː t ə m
behauten	b ə h a oː t ə n
behauter	b ə h a oː t ɐ
behautes	b ə h a oː t ə s
behautest	b ə h a oː t ɛ s t
behautet	b ə h a oː t ə t
behebbar	b ə h ɛ b a ʁ
behebbare	b ə h ɛ b a ʁ ə
behebbarem	b ə h ɛ b a ʁ ə m
behebbaren	b ə h ɛ b a ʁ ə n
behebbarer	b ə h ɛ b a ʁ ɐ
behebbares	b ə h ɛ b a ʁ ə s
behebe	b ə h eː b ə
beheben	b ə h eː b ə n
behebend	b ə h eː b ɛ n t
behebende	b ə h eː b ɛ n d ə
behebendem	b ə h eː b ɛ n d ə m
behebenden	b ə h eː b ɛ n d ə n
behebender	b ə h eː b ɛ n d ɐ
behebendes	b ə h eː b ɛ n d ə s
behebst	b ə h ɛ p s t
behebt	b ə h ɛ p t
behebung	b ə h eː b ʊ ŋ
behebungsversuch	b ə h eː b ʊ ŋ s v ɛ ʁ z ʊ x
behebungsversuche	b ə h eː b ʊ ŋ s v ɛ ʁ z ʊ x ə
behebungsversuchen	b ə h eː b ʊ ŋ s v ɛ ʁ z ʊ x ə n
behebungsversuchs	b ə h eː b ʊ ŋ s v ɛ ʁ z ʊ k s
beheimatet	b ə h a eː m a t ə t
beheimatete	b ə h a eː m a t ə t ə
beheimatetem	b ə h a eː m a t ə t ə m
beheimateten	b ə h a eː m a t ə t ə n
beheimateter	b ə h a eː m a t ə t ɐ
beheimatetes	b ə h a eː m a t ə t ə s
beheizbar	b ə h a eː t s b a ʁ
beheizbare	b ə h a eː t s b a ʁ ə
beheizbarem	b ə h a eː t s b a ʁ ə m
beheizbaren	b ə h a eː t s b a ʁ ə n
beheizbarer	b ə h a eː t s b a ʁ ɐ
beheizbares	b ə h a eː t s b a ʁ ə s
beheize	b ə h a eː t s ə
beheizen	b ə h aɪ̯ t s ə n
beheizend	b ə h a eː t s ɛ n t
beheizende	b ə h a eː t s ɛ n d ə
beheizendem	b ə h a eː t s ɛ n d ə m
beheizenden	b ə h a eː t s ɛ n d ə n
beheizender	b ə h a eː t s ɛ n d ɐ
beheizendes	b ə h a eː t s ɛ n d ə s
beheizest	b ə h a eː t s ɛ s t
beheizt	b ə h a eː t s t
beheizte	b ə h a eː t s t ə
beheiztem	b ə h a eː t s t ə m
beheizten	b ə h a eː t s t ə n
beheizter	b ə h a eː t s t ɐ
beheiztes	b ə h a eː t s t ə s
beheiztest	b ə h a eː t s t ɛ s t
beheiztet	b ə h a eː t s t ə t
beheizung	b ə h a eː t s ʊ ŋ
behelf	b ə h ɛ l f
behelfe	b ə h ɛ l f ə
behelfen	b ə h ɛ l f ə n
behelfend	b ə h ɛ l f ɛ n t
behelfende	b ə h ɛ l f ʔ ɛ n d eː
behelfendem	b ə h ɛ l f ɛ n d ə m
behelfenden	b ə h ɛ l f ʔ ɛ n d ə n
behelfender	b ə h ɛ l f ɛ n d ɐ
behelfendes	b ə h ɛ l f ʔ ɛ n d ə s
behelfes	b ə h ɛ l f ə s
behelfs	b ə h ɛ l f s
behelft	b ə h ɛ l f t
behellige	b ə h ɛ l l ɪ g ə
behelligen	b ə h ɛ l l ɪ g ə n
behelligend	b ə h ɛ l l iː g ɛ n t
behelligende	b ə h ɛ l l iː g ɛ n d ə
behelligendem	b ə h ɛ l l iː g ɛ n d ə m
behelligenden	b ə h ɛ l l iː g ɛ n d ə n
behelligender	b ə h ɛ l l iː g ɛ n d ɐ
behelligendes	b ə h ɛ l l iː g ɛ n d ə s
behelligst	b ə h ɛ l l ɪ k s t
behelligt	b ə h ɛ l l ɪ k t
behelligte	b ə h ɛ l l ɪ k t ə
behelligtem	b ə h ɛ l l ɪ k t ə m
behelligten	b ə h ɛ l l ɪ k t ə n
behelligter	b ə h ɛ l l ɪ k t ɐ
behelligtes	b ə h ɛ l l ɪ k t ə s
behelligtest	b ə h ɛ l l ɪ k t ɛ s t
behelligtet	b ə h ɛ l l ɪ k t ə t
behelligung	b ə h ɛ l l ɪ g ʊ ŋ
behelligungen	b ə h ɛ l l ɪ g ʊ ŋ ə n
beherberge	b ə h eː ɐ b ə ʁ g ə
beherbergen	b ə h eː ɐ b ə ʁ g ə n
beherbergend	b ə h eː ɐ b ə ʁ g ɛ n t
beherbergende	b ə h eː ɐ b ə ʁ g ɛ n d ə
beherbergendem	b ə h eː ɐ b ə ʁ g ɛ n d ə m
beherbergenden	b ə h eː ɐ b ə ʁ g ɛ n d ə n
beherbergender	b ə h eː ɐ b ə ʁ g ɛ n d ɐ
beherbergendes	b ə h eː ɐ b ə ʁ g ɛ n d ə s
beherbergst	b ə h eː ɐ b ə ʁ k ʃ t
beherbergt	b ə h eː ɐ b ə ʁ k t
beherbergte	b ə h eː ɐ b ə ʁ k t ə
beherbergtem	b ə h eː ɐ b ə ʁ k t ə m
beherbergten	b ə h eː ɐ b ə ʁ k t ə n
beherbergter	b ə h eː ɐ b ə ʁ k t ɐ
beherbergtes	b ə h eː ɐ b ə ʁ k t ə s
beherbergtest	b ə h eː ɐ b ə ʁ k t ɛ s t
beherbergtet	b ə h eː ɐ b ə ʁ k t ə t
beherrschbar	b ə h eː ɐ ʁ s t s h b a ʁ
beherrschbare	b ə h eː ɐ ʁ s t s h b a ʁ ə
beherrschbarem	b ə h eː ɐ ʁ s t s h b a ʁ ə m
beherrschbaren	b ə h eː ɐ ʁ s t s h b a ʁ ə n
beherrschbarer	b ə h eː ɐ ʁ s t s h b a ʁ ɐ
beherrschbares	b ə h eː ɐ ʁ s t s h b a ʁ ə s
beherrsche	b ə h eː ɐ ʁ ʃ ə
beherrschen	b ə h eː ɐ ʁ ʃ ə n
beherrschend	b ə h eː ɐ ʁ ʃ ɛ n t
beherrschende	b ə h eː ɐ ʁ ʃ ɛ n d ə
beherrschendem	b ə h eː ɐ ʁ ʃ ɛ n d ə m
beherrschenden	b ə h eː ɐ ʁ ʃ ɛ n d ə n
beherrschender	b ə h eː ɐ ʁ ʃ ɛ n d ɐ
