'n	m
giraffe	ɡ i ʁ a f ə
girl	ɡ œ ʁ l
girlande	ɡ ɪ ʁ l a n d ə
girokonto	ʒ iː ʁ o k ɔ n t o
gis	ɡ ɪ s
gischt	ɡ ɪ ʃ t
gitarren	ɡ i t a ʁ ə n
gitarrenakkord	ɡ i t a ʁ ə n a k ɔ ʁ t
gitarrenhals	ɡ i t a ʁ ə n h a l s
gitarrenhalses	ɡ i t a ʁ ə n h a l z ə s
gitarrenhälse	ɡ i t a ʁ ə n h ɛ l z ə
gitarrenklang	ɡ i t a ʁ ə n k l a ŋ
gitarrenkoffer	ɡ i t a ʁ n̩ k ɔ f ɐ
gitarrennoten	ɡ i t a ʁ ə n n oː t n̩
gitarrenspieler	ɡ i t a ʁ ə n ʃ p iː l ɐ
gitarrenspielerin	ɡ i t a ʁ ə n ʃ p iː l ə ʁ ɪ n
gitarrespielen	ɡ i t a ʁ ə ʃ p iː l ə n
gitarrist	ɡ i t a r ɪ s t
gitarristen	ɡ i t a ʁ ɪ s t n̩
gitter	ɡ ɪ t ɐ
gitterrost	ɡ ɪ t ɐ r ɔ s t
gizeh	ɡ iː z eː
glace	ɡ l a s ə
gladbach	ɡ l a t b a x
gladbachs	ɡ l a t b a x s
gladbeck	ɡ l a t b ɛ k
gladbecks	ɡ l a t b ɛ k s
gladiator	ɡ l a d i̯ aː t oː ɐ̯
gladiole	ɡ l a d i̯ oː l ə
glanz	ɡ l a n t s
glanzleder	ɡ l a n t s l eː d ɐ
glanzleistung	ɡ l a n t s l a ɪ̯ s t ʊ ŋ
glanztat	ɡ l a n t s t aː t
glanzzeit	ɡ l a n t͡s t͡s a ɪ̯ t
glarus	ɡ l aː ʁ ʊ s
glas	ɡ l a s
glasaal	ɡ l aː s ʔ aː l
glasauge	ɡ l aː s ʔ a ʊ̯ ɡ ə
glasblasen	ɡ l aː s b l aː z n̩
glasblasens	ɡ l aː s b l aː z n̩ s
glasblumenstraußes	ɡ l aː s b l uː m ə n ʃ t r a ʊ̯ s ə s
glasblumensträußchen	ɡ l aː s b l uː m ə n ʃ t r ɔ ɪ̯ s ç ə n
glasblumensträuße	ɡ l aː s b l uː m ə n ʃ t r ɔ ɪ̯ s ə
glasbläser	ɡ l aː s b l ɛː z ɐ
glasbläserei	ɡ l aː s b l ɛː z ə ʁ a ɪ̯
glasbläserin	ɡ l aː s b l ɛː z ɐ ʁ ɪ n
glasbläsers	ɡ l aː s b l ɛː z ɐ s
glasdeckel	ɡ l aː s d ɛ k l̩
glases	ɡ l aː z ə s
glasfaser	ɡ l aː s f aː z ɐ
glasfasern	ɡ l aː s f aː z ɐ n
glasflasche	ɡ l aː s f l a ʃ ə
glasflaschen	ɡ l aː s f l a ʃ n̩
glasgebäude	ɡ l aː s ɡ ə b ɔ ʏ̯ d ə
glasgefäß	ɡ l aː s ɡ ə f ɛː s
glasgefäße	ɡ l aː s ɡ ə f ɛː s ə
glasgefäßes	ɡ l aː s ɡ ə f ɛː s ə s
glasgow	ɡ l aː s ɡ o
glasgower	ɡ l aː s ɡ oː ɐ
glasgowerin	ɡ l aː s ɡ o ə ʁ ɪ n
glashaus	ɡ l aː s h a ʊ̯ s
glashütte	ɡ l aː s h ʏ t ə
glaskugel	ɡ l aː s k uː ɡ l̩
glasnost	ɡ l a s n ɔ s t
glasnudel	ɡ l aː s n uː d l̩
glasscheibe	ɡ l aː s ʃ a ɪ̯ b ə
glasscherbe	ɡ l aː s ʃ ɛ ʁ b ə
glastür	ɡ l aː s t yː ɐ̯
glasur	ɡ l a z uː ɐ̯
glasvase	ɡ l aː s v aː z ə
glasvasen	ɡ l aː s v aː z ə n
glaswaren	ɡ l aː s v aː ʁ ə n
glatteis	ɡ l a t ʔ a ɪ̯ s
glatzköpfigkeit	ɡ l a t͡s k œ p͡f ɪ ç k a ɪ̯ t
glaube	ɡ l a ʊ̯ b ə
glaubens	ɡ l a ʊ̯ b ə n s
glaubensartikel	ɡ l a ʊ̯ b n̩ s ʔ a ʁ t iː k l̩
glaubensbruder	ɡ l a ʊ̯ b n̩ s b ʁ uː d ɐ
glaubensgemeinschaft	ɡ l a ʊ̯ b n̩ s ɡ ə m a ɪ̯ n ʃ a f t
glaubenssatz	ɡ l a ʊ̯ b m̩̩ s z a t͡s
glaubensschwester	ɡ l a ʊ̯ b n̩ s ʃ v ɛ s t ɐ
glaubersalz	ɡ l a ʊ̯ b ɐ z a l t͡s
glaubhaftigkeit	ɡ l a ʊ̯ p h a f t ɪ ç k a ɪ̯ t
glaubwürdigkeit	ɡ l a ʊ̯ p v ʏ ʁ d ɪ ç k a ɪ̯ t
glazial	ɡ l a t͡s i̯ aː l
glaziologe	ɡ l a t͡s i̯ o l oː ɡ ə
glefe	ɡ l eː f ə
glefen	ɡ l eː f ə n
glefenrad	ɡ l eː f ə n ʁ aː t
gleichbehandlung	ɡ l a ɪ̯ ç b ə h a n d l ʊ ŋ
gleichberechtigung	ɡ l a ɪ̯ ç b ə ʁ ɛ ç t ɪ ɡ ʊ ŋ
gleiche	ɡ l a ɪ̯ ç ə
gleichgewicht	ɡ l a ɪ̯ ç ɡ ə v ɪ ç t
gleichgewichtssinn	ɡ l a ɪ̯ ç ɡ ə v ɪ ç t s z ɪ n
gleichgültigkeit	ɡ l a ɪ̯ ç ɡ ʏ l t ɪ ç k a ɪ̯ t
gleichheit	ɡ l a ɪ̯ ç h a ɪ̯ t
gleichheitsrecht	ɡ l a ɪ̯ ç h a ɪ̯ t͡s ʁ ɛ ç t
gleichheitszeichen	ɡ l a ɪ̯ ç h a ɪ̯ t s t s a ɪ̯ ç ə n
gleichmaß	ɡ l a ɪ̯ ç m aː s
gleichmäßigkeit	ɡ l a ɪ̯ ç m ɛː s ɪ k k a ɪ̯ t
gleichrichter	ɡ l a ɪ̯ ç r ɪ ç t ɐ
gleichschaltung	ɡ l a ɪ ç ʃ a l t ʊ ŋ
gleichstellung	ɡ l a ɪ̯ ç ʃ t ɛ l ʊ ŋ
gleichstrom	ɡ l a ɪ̯ ç ʃ t ʁ oː m
gleichung	ɡ l a ɪ̯ ç ʊ ŋ
gleichwertigkeit	ɡ l a ɪ̯ ç v eː ɐ̯ t ɪ ç k a ɪ̯ t
gleichzeitigkeit	ɡ l a ɪ̯ ç t͡s a ɪ̯ t ɪ ç k a ɪ̯ t
gleis	ɡ l a ɪ̯ s
gleisbett	ɡ l a ɪ̯ s b ɛ t
gleisänderung	ɡ l a ɪ̯ s ɛ n d ə ʁ ʊ ŋ
gleitbombe	ɡ l a ɪ̯ t b ɔ m b ə
gleitcreme	ɡ l a ɪ̯ t k ʁ ɛː m
gleiter	ɡ l a ɪ̯ t ɐ
gleitlager	ɡ l a ɪ̯ t l aː ɡ ɐ
gleitlaut	ɡ l a ɪ̯ t l a ʊ̯ t
gleitschirmfliegen	ɡ l a ɪ̯ t ʃ ɪ ʁ m f l iː ɡ ə n
gleitzeit	ɡ l a ɪ̯ t t s a ɪ̯ t
glencheck	ɡ l ɛ n t͡ʃ ɛ k
gletscher	ɡ l ɛ t ʃ ɐ
gletscherabbruch	ɡ l ɛ t ʃ ɐ ʔ a p b ʁ ʊ χ
gletscherabbruches	ɡ l ɛ t ʃ ɐ ʔ a p b ʁ ʊ χ ə s
gletscherabbruchs	ɡ l ɛ t ʃ ɐ ʔ a p b ʁ ʊ χ s
gletscherabbrüche	ɡ l ɛ t ʃ ɐ ʔ a p b ʁ ʏ ç ə
gletschereis	ɡ l ɛ t͡ʃ ɐ ʔ a ɪ̯ s
glevenrad	ɡ l eː f ə n ʁ aː t
glied	ɡ l iː t
gliederfüßer	ɡ l iː d ɐ f yː s ɐ
gliederung	ɡ l iː d ə ʁ ʊ ŋ
gliedmaße	ɡ l iː t m aː s ə
gliedsatz	ɡ l iː t z a t͡s
gliese	ɡ l iː z ə
glimmer	ɡ l ɪ m ɐ
glimpf	ɡ l ɪ m p͡f
glioblastom	ɡ l i o b l a s t oː m
gliom	ɡ l i oː m
glitzer	ɡ l ɪ t͡s ɐ
globalisierungsgegner	ɡ l o b a l i z iː ʁ ʊ ŋ s ɡ eː ɡ n ɐ
globalisierungsgegnerin	ɡ l o b a l i z iː ʁ ʊ ŋ s ɡ eː ɡ n ɐ ʁ ɪ n
globalisierungsgegners	ɡ l o b a l i z iː ʁ ʊ ŋ s ɡ eː ɡ n ɐ s
globalismus	ɡ l oː b a l ɪ s m ʊ s
glocke	ɡ l ɔ k ə
glockenbecher	ɡ l ɔ k ə n b ɛ ç ɐ
glockenblume	ɡ l ɔ k n̩ b l uː m ə
glockenguß	ɡ l ɔ k ŋ̩ ɡ ʊ s
glockenläuten	ɡ l ɔ k n̩ l ɔ ʏ̯ t n̩
glockenschlag	ɡ l ɔ k n̩ ʃ l aː k
glockenspieler	ɡ l ɔ k ŋ̩ ʃ p iː l ɐ
glockenspielers	ɡ l ɔ k ŋ̩ ʃ p iː l ɐ s
glockenstube	ɡ l ɔ k n̩ ʃ t uː b ə
glockenturm	ɡ l ɔ k ŋ̩ t ʊ ʁ m
glosse	ɡ l oː s ə
glossem	ɡ l ɔ s eː m
glottal	ɡ l ɔ t aː l
glottes	ɡ l ɔ t eː s
glottides	ɡ l ɔ t i d eː s
glottis	ɡ l ɔ t ɪ s
glottisschlag	ɡ l ɔ t ɪ s ʃ l aː k
glotze	ɡ l ɔ t s ə
glucke	ɡ l ʊ k ə
gluckhenne	ɡ l ʊ k h ɛ n ə
gluconsäure	ɡ l u k oː n z ɔ ɪ̯ ʁ ə
glumpert	ɡ l ʊ m p ɐ t
glut	ɡ l uː t
gluten	ɡ l u t eː n
glycin	ɡ l y t s iː n
glykol	ɡ l y k oː l
glyphosat	ɡ l y f o z aː t
gläschen	ɡ l ɛː s ç ə n
gläser	ɡ l eː s ɐ
gläserklirren	ɡ l ɛː z ɐ k l ɪ ʁ ə n
glätte	ɡ l ɛ t ə
glätteisen	ɡ l ɛ t ʔ a ɪ̯ z n̩
gläubiger	ɡ l ɔ ʏ̯ b ɪ ɡ ɐ
glöckchen	ɡ l œ k ç ə n
glöckchens	ɡ l œ k ç ə n s
glöcklein	ɡ l œ k l a ɪ̯ n
glöckner	ɡ l œ k n ɐ
glück	ɡ l ʏ k
glückauf	ɡ l ʏ k ʔ a ʊ̯ f
glücklichkeit	ɡ l ʏ k l ɪ ç k a ɪ̯ t
glücksbringer	ɡ l ʏ k s b ʁ ɪ ŋ ɐ
glücksfall	ɡ l ʏ k s f a l
glücksgefühl	ɡ l ʏ k s ɡ ə f yː l
glücksgriff	ɡ l ʏ k s ɡ ʁ ɪ f
glückshaube	ɡ l ʏ k s h a ʊ̯ b ə
glückskeks	ɡ l ʏ k s k eː k s
glückskind	ɡ l ʏ k s k ɪ n t
glückspilz	ɡ l ʏ k s p ɪ l t s
glücksrad	ɡ l ʏ k s ʁ aː t
glückssache	ɡ l ʏ k s z a x ə
glücksspiel	ɡ l ʏ k s ʃ p iː l
glücksspiele	ɡ l ʏ k s ʃ p iː l ə
glücksspieler	ɡ l ʏ k s ʃ p iː l ɐ
glücksspielerin	ɡ l ʏ k s ʃ p iː l ə ʁ ɪ n
glückwunsch	ɡ l ʏ k v ʊ n ʃ
glückwunsches	ɡ l ʏ k v ʊ n ʃ ə s
glückwunschkarte	ɡ l ʏ k v ʊ n ʃ k a ʁ t ə
glühbirne	ɡ l yː b ɪ ʁ n ə
glühbirnenwitz	ɡ l yː b ɪ ʁ n ə n v ɪ t͡s
glühen	ɡ l yː ə n
glühfaden	ɡ l yː f aː d n̩
glühfäden	ɡ l yː f ɛː d n̩
glühwein	ɡ l yː v a ɪ̯ n
glühweine	ɡ l yː v a ɪ̯ n ə
glühweinen	ɡ l yː v a ɪ̯ n ə n
glühweines	ɡ l yː v a ɪ̯ n ə s
glühweins	ɡ l yː v a ɪ̯ n s
glühwurm	ɡ l yː v ʊ ʁ m
glühwürmchen	ɡ l yː v ʏ ʁ m ç ə n
gmbh	ɡ eː ʔ ɛ m b eː h aː
gmund	ɡ m ʊ n t
gnade	ɡ n aː d ə
gnadenakt	ɡ n aː d n̩ ʔ a k t
gnadenbrot	ɡ n aː d n̩ b ʁ oː t
gnadengesuch	ɡ n aː d n ɡ e s uː x
gnadenschuss	ɡ n aː d ŋ̩ ʃ ʊ s
gnadenschuß	ɡ n aː d ŋ̩ ʃ ʊ s
gnadenstoß	ɡ n aː d ə n ʃ t oː s
gnadentod	ɡ n aː d n̩ t oː t
gnitze	ɡ n ɪ t͡s ə
gnocchi	n j ɔ k i
gnom	ɡ n oː m
gnoseologie	ɡ n oː z e o l o ɡ iː
gnosis	ɡ n oː z ɪ s
gnu	ɡ n uː
go	ɡ oː
goalie	ɡ oː l i
gobi	ɡ oː b i
gockel	ɡ ɔ k ə l
goetel	ɡ øː t ə l
goethe	ɡ øː t ə
gogel	ɡ oː ɡ l̩
goi	ɡ oː i
gold	ɡ ɔ l t
goldbecher	ɡ ɔ l t b ɛ ç ɐ
goldberg	ɡ ɔ l t b ɛ ʁ k
goldbergwerk	ɡ ɔ l t b ɛ ɐ̯ k v ɛ ɐ̯ k
goldblech	ɡ ɔ l t b l ɛ ç
goldblättchen	ɡ ɔ l t b l ɛ t ç n̩
goldbulle	ɡ ɔ l t b ʊ l ə
golddistel	ɡ ɔ l t d ɪ s t ə l
golddraht	ɡ ɔ l t d ʁ aː t
golddrahts	ɡ ɔ l t d ʁ aː t͡s
golddrähte	ɡ ɔ l t d ʁ ɛː t ə
goldfaden	ɡ ɔ l t f aː d n̩
goldfinger	ɡ ɔ l t f ɪ ŋ ɐ
goldfingers	ɡ ɔ l t f ɪ ŋ ɐ s
goldgrube	ɡ ɔ l t ɡ ʁ uː b ə
goldhalsband	ɡ ɔ l t h a l s b a n t
goldhalsbandes	ɡ ɔ l t h a l s b a n d ə s
goldhalsbands	ɡ ɔ l t h a l s b a n t s
goldhalsbänder	ɡ ɔ l t h a l s b ɛ n d ɐ
goldhochzeit	ɡ ɔ l t h ɔ x t s a ɪ̯ t
goldhochzeiten	ɡ ɔ l t h ɔ x t s a ɪ̯ t n̩
goldhähnchen	ɡ ɔ l t h ɛː n ç ə n
goldklumpen	ɡ ɔ l t k l ʊ m p ə n
goldkopflöwenäffchen	ɡ ɔ l t k ɔ p f l øː v n̩ ɛ f ç n̩
goldlagerstätte	ɡ ɔ l t l aː ɡ ɐ ʃ t ɛ t ə
goldlöffelchen	ɡ ɔ l t l œ f l̩ ç ə n
goldmedaille	ɡ ɔ l t m e d a l j ə
goldmedaillon	ɡ ɔ l t m e d a l j õː
goldmedaillons	ɡ ɔ l t m e d a l j õː s
goldmine	ɡ ɔ l t m iː n ə
goldmünze	ɡ ɔ l t m ʏ n t s ə
goldmünzen	ɡ ɔ l t m ʏ n t s n̩
goldrute	ɡ ɔ l t ʁ uː t ə
goldschatz	ɡ ɔ l t ʃ a t͡s
goldscheitelsittich	ɡ ɔ l t ʃ a ɪ̯ t l̩ z ɪ t ɪ ç
goldschmied	ɡ ɔ l t ʃ m iː t
goldschmiedin	ɡ ɔ l t ʃ m iː d ɪ n
goldschraube	ɡ ɔ l t ʃ ʁ a ʊ̯ b ə
goldschrauben	ɡ ɔ l t ʃ ʁ a ʊ̯ b ə n
goldwäscher	ɡ ɔ l t v ɛ ʃ ɐ
goldwäscherin	ɡ ɔ l t v ɛ ʃ ə ʁ ɪ n
golem	ɡ oː l ɛ m
golf	ɡ ɔ l f
golfkrieg	ɡ ɔ l f k ʁ iː k
golfkriegssyndrom	ɡ ɔ l f k ʁ iː k s z ʏ n d ʁ oː m
golftang	ɡ ɔ l f t a ŋ
gondellied	ɡ ɔ n d l̩ l iː t
gondelliede	ɡ ɔ n d l̩ l iː d ə
gondelliedern	ɡ ɔ n d l̩ l iː d ɐ n
gong	ɡ ɔ ŋ
google	ɡ uː ɡ ə l
googol	ɡ uː ɡ ɔ l
gorbatschow	ɡ ɔ ʁ b a t ʃ ɔ f
gorilla	ɡ o ʁ ɪ l a
gose	ɡ oː z ə
goslar	ɡ ɔ s l a ʁ
goth	ɡ ɔ f
gotha	ɡ oː t a
gothenburg	ɡ oː t ə n b ʊ r k
gotik	ɡ oː t ɪ k
gotsch	ɡ ɔ t͡ʃ
gotschlich	ɡ ɔ t͡ʃ l ɪ ç
gotschlig	ɡ ɔ t͡ʃ l ɪ ç
gotschling	ɡ ɔ t͡ʃ l ɪ ŋ
gott	ɡ ɔ t
gottesacker	ɡ ɔ t ə s ʔ a k ɐ
gottesanbeterin	ɡ ɔ t ə s a n b eː t ə ʁ ɪ n
gottesbeweis	ɡ ɔ t ə s b ə v a ɪ̯ s
gotteshaus	ɡ ɔ t ə s h a ʊ̯ s
gotteskrieger	ɡ ɔ t ə s k ʁ iː ɡ ɐ
gotteslästerung	ɡ ɔ t ə s l ɛ s t ə ʁ ʊ ŋ
gottesmutter	ɡ ɔ t ə s m ʊ t ɐ
gottessohn	ɡ ɔ t ə s z oː n
gottheit	ɡ ɔ t h a ɪ̯ t
gottklasse	ɡ ɔ t k l a s ə
gottlosigkeit	ɡ ɔ t l oː z ɪ ç k a ɪ̯ t
gottschalk	ɡ ɔ t ʃ a l k
gottschick	ɡ ɔ t ʃ ɪ k
gottschlich	ɡ ɔ t͡ʃ l ɪ ç
gottschlicht	ɡ ɔ t͡ʃ l ɪ ç t
gottschlick	ɡ ɔ t͡ʃ l ɪ k
gottschlig	ɡ ɔ t͡ʃ l ɪ ç
gottschligg	ɡ ɔ t͡ʃ l ɪ k
gottschlik	ɡ ɔ t͡ʃ l ɪ k
gottschling	ɡ ɔ t͡ʃ l ɪ ŋ
gottschlink	ɡ ɔ t͡ʃ l ɪ ŋ k
gottseligkeit	ɡ ɔ t z eː l ɪ ç k a ɪ̯ t
gouache	ɡ u̯ a ʃ
gouda	x a ʊ̯ d a
gourmet	ɡ ʊ ʁ m eː
gouvernement	ɡ u v ɛ ʁ n ə m ɑ̃ː
grab	ɡ ʁ a p
grabbeltisch	ɡ ʁ a b ə l t ɪ ʃ
graben	ɡ ʁ aː b n̩
grabenkampf	ɡ ʁ aː b n̩ k a m p f
graber	ɡ ʁ aː b ɐ
grablicht	ɡ ʁ aː p l ɪ ç t
grabmal	ɡ ʁ aː p m aː l
grabstein	ɡ ʁ aː p ʃ t a ɪ̯ n
gracht	ɡ r a x t
grad	ɡ ʁ aː t
graf	ɡ r aː f
grafen	ɡ ʁ aː f ə n
grafenegg	ɡ ʁ aː f ə n ɛ k
grafenschachen	ɡ ʁ aː f ə n ʃ a x ə n
grafenschachener	ɡ ʁ aː f ə n ʃ a x ə n ɐ
grafenschachens	ɡ ʁ aː f ə n ʃ a x ə n s
grafenwörth	ɡ ʁ aː f ə n v øː ɐ̯ t
graffitimaler	ɡ ʁ a f ɪ t i m aː l ɐ
graffitimalerin	ɡ ʁ a f ɪ t i m aː l ə ʁ ɪ n
graffitimalerinnen	ɡ ʁ a f ɪ t i m aː l ə ʁ ɪ n ə n
graffitimalers	ɡ ʁ a f ɪ t i m aː l ɐ s
grafikkarte	ɡ ʁ aː f ɪ k k a ʁ t ə
grafschaft	ɡ ʁ aː f ʃ a f t
gral	ɡ ʁ aː l
gram	ɡ ʁ aː m
grammatik	ɡ ʁ a m a t ɪ k
grammatikalisierung	ɡ ʁ a m a t ɪ k a l i z iː ʁ ʊ ŋ
grammatiker	ɡ ʁ a m a t ɪ k ɐ
grammatur	ɡ ʁ a m a t uː ɐ̯
grammophon	ɡ ʁ a m o f oː n
granatapfel	ɡ r a n aː t a p f ə l
granatsplitter	ɡ ʁ a n aː t ʃ p l ɪ t ɐ
granit	ɡ ʁ a n iː t
granitintrusion	ɡ ʁ a n iː t ʔ ɪ n t ʁ u z i̯ oː n
granitintrusionen	ɡ ʁ a n iː t ʔ ɪ n t ʁ u z i̯ oː n ə n
granne	ɡ ʁ a n ə
grapefruitlöffel	ɡ ʁ ɛ ɪ̯ p f ʁ uː t l œ f l̩
graph	ɡ ʁ aː f
graphem	ɡ ʁ a f eː m
grapheme	ɡ ʁ a f eː m ə
graphemen	ɡ ʁ a f eː m ə n
graphemik	ɡ ʁ a f eː m ɪ k
graphems	ɡ ʁ a f eː m s
graphen	ɡ ʁ a f eː n
graphentheorie	ɡ ʁ aː f n̩ t e o ʁ iː
graphit	ɡ ʁ a f iː t
grappa	ɡ ʁ a p a
gras	ɡ ʁ a s
grasdach	ɡ ʁ aː s d a χ
grashüpfer	ɡ ʁ aː s h ʏ p f ɐ
grasmücke	ɡ ʁ aː s m ʏ k ə
grasmücken	ɡ ʁ aː s m ʏ k n̩
grasschnitt	ɡ ʁ aː s ʃ n ɪ t
grassteppe	ɡ ʁ aː s ʃ t ɛ p ə
grassteppen	ɡ ʁ aː s ʃ t ɛ p n̩
graswurzel	ɡ ʁ aː s v ʊ ʁ t͡s l̩
graswurzeln	ɡ ʁ aː s v ʊ ʁ t͡s l̩ n
grat	ɡ ʁ aː t
gratin	ɡ ʁ a t ɛ̃ː
gratulation	ɡ ʁ a t u l a t͡s i̯ oː n
gratwanderung	ɡ ʁ aː t v a n d ə ʁ ʊ ŋ
grau	ɡ ʁ a ʊ̯
graubrot	ɡ ʁ a ʊ̯ b ʁ oː t
graubruststrandläufer	ɡ ʁ a ʊ̯ b ʁ ʊ s t ʃ t r a n t l ɔ ɪ̯ f ɐ
grauburgunder	ɡ ʁ a ʊ̯ b ʊ ʁ ɡ ʊ n d ɐ
graubünden	ɡ ʁ a ʊ̯ b ʏ n d ə n
grauchen	ɡ ʁ a ʊ̯ ç ə n
grauelb	ɡ ʁ a ʊ̯ ɛ l p
grauelben	ɡ ʁ a ʊ̯ ɛ l b ə n
graufuchs	ɡ ʁ a ʊ̯ f ʊ k s
graugans	ɡ ʀ a ʊ̯ ɡ a n s
graupe	ɡ ʁ a ʊ̯ p ə
graupel	ɡ ʁ a ʊ̯ p ə l
graureiher	ɡ ʁ a ʊ̯ ʁ a ɪ̯ ɐ
grauschnäpper	ɡ ʁ a ʊ̯ ʃ n ɛ p ɐ
grauschwarz	ɡ ʁ a ʊ̯ ʃ v a ʁ t͡s
grausen	ɡ ʁ a ʊ̯ z n̩
grauwasser	ɡ ʁ a ʊ̯ v a s ɐ
grauweiß	ɡ ʁ a ʊ̯ v a ɪ̯ s
gravidität	ɡ ʁ a v i d i t ɛː t
gravis	ɡ ʁ a v ɪ s
gravitas	ɡ ʁ aː v i t a s
gravitation	ɡ ʁ a v i t a t͡s ɪ̯ oː n
gravitationsfeld	ɡ ʁ a v i t a t͡s i̯ oː n s f ɛ l t
gravität	ɡ ʁ a v i t ɛː t
graz	ɡ ʁ aː t s
grazie	ɡ ʁ aː t͡s i̯ ə
green	ɡ ʁ iː n
greif	ɡ ʁ a ɪ̯ f
greifen	ɡ ʁ a ɪ̯ f ə n
greifswald	ɡ ʁ a ɪ̯ f s v a l t
greifvogel	ɡ r a ɪ̯ f f oː ɡ ə l
greisin	ɡ ʁ a ɪ̯ z ɪ n
greiz	ɡ ʁ a ɪ̯ t͡s
gremium	ɡ ʁ eː m i̯ ʊ m
grenada	ɡ ʁ e n aː d a
grenader	ɡ r e n aː d ɐ
grenoble	ɡ ʁ e n ɔ b ə l
grenzgebiet	ɡ ʁ ɛ n t͡s ɡ ə b iː t
grenzgänger	ɡ ʁ ɛ n t͡s ɡ ɛ ŋ ɐ
grenzkorrektur	ɡ ʁ ɛ n t͡s k ɔ ʁ ɛ k t uː ɐ̯
grenzlinie	ɡ ʁ ɛ n t͡s l iː n i̯ ə
grenzpendlern	ɡ ʁ ɛ n t͡s p ɛ n d l ɐ n
grenzpendlers	ɡ ʁ ɛ n t͡s p ɛ n d l ɐ s
grenzstadt	ɡ ʁ ɛ n t͡s ʃ t a t
grenzstein	ɡ ʁ ɛ n t͡s ʃ t a ɪ n
grenzstädtchen	ɡ ʁ ɛ n t͡s ʃ t ɛ t ç ə n
grenzstädtchens	ɡ ʁ ɛ n t͡s ʃ t ɛ t ç ə n s
grenzstädte	ɡ ʁ ɛ n t͡s ʃ t ɛ t ə
grenzstädten	ɡ ʁ ɛ n t͡s ʃ t ɛ t n̩
grenzstädtlein	ɡ ʁ ɛ n t͡s ʃ t ɛ t l a ɪ̯ n
grenzstädtleins	ɡ ʁ ɛ n t͡s ʃ t ɛ t l a ɪ̯ n s
grenzübertritt	ɡ ʁ ɛ n t͡s ʔ y b ɐ t ʁ ɪ t
gretchen	ɡ r eː t ç ə n
gretchenfrage	ɡ ʁ eː t ç ə n f ʁ aː ɡ ə
gretel	ɡ ʁ eː t l̩
grevenbroich	ɡ ʁ eː v n̩ b ʁ ɔ ʏ̯ ç
grevenbroicher	ɡ ʁ eː v n̩ b ʁ oː x ɐ
grevenbroicherin	ɡ ʁ eː v n̩ b ʁ oː x ə ʁ ɪ n
grevenbroicherinnen	ɡ ʁ eː v n̩ b ʁ oː x ə ʁ ɪ n ə n
grevenbroichers	ɡ ʁ eː v ə n b ʁ oː x ɐ s
grevenbroichs	ɡ ʁ eː v n̩ b ʁ oː x s
grevenerin	ɡ ʁ eː v n̩ ə ʁ ɪ n
grevenerinnen	ɡ ʁ eː v n̩ ə ʁ ɪ n ə n
griebe	ɡ ʁ iː b ə
griebenschmalz	ɡ ʁ iː b m̩ ʃ m a l t͡s
griebs	ɡ ʁ iː p s
grieche	ɡ r iː ç ə
griechenland	ɡ ʁ iː ç ə n l a n t
griechenlands	ɡ ʁ iː ç n̩ l a n t͡s
griechentum	ɡ ʁ iː ç n̩ t uː m
griesgram	ɡ ʁ iː s ɡ ʁ aː m
griessbrei	ɡ ʁ iː s b ʁ a ɪ̯
grieß	ɡ ʁ iː s
grießbrei	ɡ ʁ iː s b ʁ a ɪ̯
grießkloß	ɡ ʁ iː s k l oː s
grießklößchen	ɡ ʁ iː s k l øː s ç ə n
grießklößchensuppe	ɡ ʁ iː s k l øː s ç ə n z ʊ p ə
grießklößchensuppen	ɡ ʁ iː s k l øː s ç ə n z ʊ p ə n
grießkoch	ɡ ʁ iː s k ɔ x
grießnockerlsuppe	ɡ ʁ iː s n ɔ k ɐ l z ʊ p ə
grießnockerlsuppen	ɡ ʁ iː s n ɔ k ɐ l z ʊ p ə n
griff	ɡ ʁ ɪ f
griffel	ɡ ʁ ɪ f l̩
griffen	ɡ ʁ ɪ f n̩
grill	ɡ ʁ ɪ l
grille	ɡ ʁ ɪ l ə
grimasse	ɡ ʁ i m a s ə
grind	ɡ ʁ ɪ n t
grindel	ɡ ʁ ɪ n d l̩
grinsen	ɡ ʁ ɪ n z n̩
grippe	ɡ ʁ ɪ p ə
grippevirus	ɡ ʁ ɪ p ə v iː ʁ ʊ s
grips	ɡ ʁ ɪ p s
griss	ɡ̥ ʁ i s
grizzlybär	ɡ ʁ ɪ s l i b ɛː ɐ̯
grobian	ɡ r oː b i̯ aː n
grog	ɡ ʁ ɔ k
groko	ɡ ʁ oː k o
groll	ɡ ʁ ɔ l
grollen	ɡ ʁ ɔ l ə n
groningen	ɡ ʁ oː n ɪ ŋ ə n
groove	ɡ ɹ uː f
gropius	ɡ ʁ oː p i̯ u s
gropiusstadt	ɡ ʁ oː p i̯ u s ʃ t a t
gros	ɡ ʁ o s
groschen	ɡ r ɔ ʃ ə n
gross	ɡ r oː s
grosskatze	ɡ ʁ oː s k a t͡s ə
grossmacht	ɡ ʁ oː s m a x t
grossrechner	ɡ ʁ oː s ʁ ɛ ç n ɐ
groteske	ɡ ʁ o t ɛ s k ə
grotte	ɡ ʁ ɔ t ə
groß	ɡ r oː s
großaktionär	ɡ ʁ oː s ʔ a k t͡s i̯ o n ɛː ɐ̯
großbottwar	ɡ ʁ oː s b ɔ t v a ʁ
großbrand	ɡ ʁ oː s b ʁ a n t
großbritannien	ɡ ʁ oː s b ʁ ɪ t a n j ə n
