'n	m
exempel	ɛ k s ɛ m p ə l
exen	ɛ k s ə n
exequien	ɛ k s eː k v i ə n
exerzieren	ɛ k s ɛ ʁ t͡s iː ʁ ə n
exerzitium	ɛ k s ɛ r t͡s iː t͡s i̯ ʊ m
exi	ɛ k s i
exil	ɛ k s iː l
exilant	ɛ k s i l a n t
exilliteratur	ɛ k s iː l l ɪ t ə ʁ a t uː ɐ̯
exilregierung	ɛ k s iː l ʁ e ɡ iː ʁ ʊ ŋ
existent	ɛ k s ɪ s t ɛ n t
existentialist	ɛ k s ɪ s t ɛ n t͡s i̯ a l ɪ s t
existentialistinnen	ɛ k s ɪ s t ɛ n t͡s i̯ a l ɪ s t ɪ n ə n
existenz	ɛ k s ɪ s t ɛ n t͡s
existenzangst	ɛ k s ɪ s t ɛ n t͡s ʔ a ŋ s t
existenzgrundlage	ɛ k s ɪ s t ɛ n t͡s ɡ ʁ ʊ n t l aː ɡ ə
existenzgrundlagen	ɛ k s ɪ s t ɛ n t͡s ɡ ʁ ʊ n t l aː ɡ n̩
existenzrecht	ɛ k s ɪ s t ɛ n t s ʁ ɛ ç t
exitus	ɛ k s i t ʊ s
exkludieren	ɛ k s k l u d iː ʁ ə n
exkrement	ʔ ɛ k s k ʁ e m ɛ n t
exkremente	ʔ ɛ k s k ʁ e m ɛ n t ə
exmann	ɛ k s m a n
exobiologie	ɛ k s o b i o l o ɡ iː
exonym	ɛ k s o n yː m
exorzieren	ɛ k s ɔ ʁ t͡s iː ʁ ə n
exorzismus	ɛ k s ɔ ʁ t͡s ɪ s m ʊ s
exoskelett	ɛ k s o s k ə l ɛ t
exosphäre	ɛ k s o s f ɛː ʁ ə
exot	ɛ k s oː t
expansion	ɛ k s p a n z i̯ oː n
expedition	ʔ ɛ k s p e d i t s i̯ oː n
experiment	ɛ k s p e ʁ i m ɛ n t
expertenkommission	ɛ k s p ɛ ʁ t n̩ k ɔ m ɪ s i̯ oː n
expertin	ʔ ɛ k s p ɛ ɐ̯ t ɪ n
explizieren	ɛ k s p l i t͡s iː ʁ ə n
explizit	ɛ k s p l i t s ɪ t
explodieren	ɛ k s p l o d iː ʁ ə n
exploitieren	e k s p l o ɪ̯ t iː ʁ ə n
explosion	ɛ k s p l o z j oː n
explosionsartig	ɛ k s p l o z i̯ oː n s ʔ aː ɐ̯ t ɪ ç
explosionsfähig	ɛ k s p l o z i̯ oː n s f ɛː ɪ ç
explosiv	ɛ k s p l o z iː f
exponat	ɛ k s p o n aː t
exponent	ɛ k s p o n ɛ n t
exponentiell	ɛ k s p o n ɛ n t s j ɛ l
export	ɛ k s p ɔ r t
exporthafen	ɛ k s p ɔ ʁ t h aː f ə n
exportorientiert	ɛ k s p ɔ ʁ t ʔ o ʁ i̯ ɛ n t iː ɐ̯ t
expressiv	ɛ k s p ʁ ɛ s iː f
exquisit	ɛ k s k v i z iː t
extemporieren	ɛ k s t ɛ m p o ʁ iː ʁ ə n
extension	ɛ k s t ɛ n z i̯ oː n
extern	ɛ k s t ɛ ʁ n
externalität	ɛ k s t ɛ ʁ n a l i t ɛː t
extinkt	ɛ k s t ɪ ŋ k t
extralegal	ɛ k s t ʁ a l e ɡ aː l
extraordinär	ɛ k s t ʁ a ʔ ɔ ʁ d i n ɛː ʁ
extrem	ɛ k s t ʁ eː m
extremität	ɛ k s t ʁ e m i t ɛː t
extremitäten	ɛ k s t ʁ e m i t ɛː t ə n
extremum	ɛ k s t ʁ eː m ʊ m
extrinsisch	ɛ k s t ʁ ɪ n z ɪ ʃ
extrudieren	ɛ k s t ʁ u d iː ʁ ə n
exzerpt	ɛ k s t͡s ɛ ʁ p t
exzeß	ʔ ɛ k s t s ɛ s
ey	ɛ ɪ̯
eyeliner	a ɪ̯ l a ɪ̯ n ɐ
ezzes	ɛ t͡s e s
eßlingisch	ɛ s l ɪ ŋ ɪ ʃ
f	f
fabian	f aː b i a n
fabrikant	f a b ʁ i k a n t
fabrikbesitzer	f a b ʁ iː k b ə z ɪ t͡s ɐ
fabriken	f a b ʁ iː k ə n
fabriksirene	f a b ʁ iː k z i ʁ eː n ə
facebook	f ɛ ɪ̯ s b ʊ k
facebooken	f ɛ ɪ̯ s b ʊ k n̩
facebooks	f eː s b ʊ k s
facetten	f a s ɛ t n̩
facettenauge	f a s ɛ t ə n a ʊ̯ ɡ ə
facettenaugen	f a s ɛ t ə n a ʊ̯ ɡ ə n
facettenauges	f a s ɛ t ə n a ʊ̯ ɡ ə s
facettenreich	f a s ɛ t n̩ ʁ a ɪ̯ ç
facettenreicher	f a s ɛ t n̩ ʁ a ɪ̯ ç ɐ
facettenschliff	f a s ɛ t ə n ʃ l ɪ f
facettenschliffe	f a s ɛ t ə n ʃ l ɪ f ə
facettenschliffen	f a s ɛ t n̩ ʃ l ɪ f n̩
facettenschliffes	f a s ɛ t ə n ʃ l ɪ f ə s
facettenschliffs	f a s ɛ t ə n ʃ l ɪ f s
fachabi	f a χ a b i
fachausdruck	f a x ʔ a ʊ̯ s d ʁ ʊ k
fachausdruckes	f a x ʔ a ʊ̯ s d ʁ ʊ k ə s
fachausdrucks	f a x ʔ a ʊ̯ s d ʁ ʊ k s
fachausdrücke	f a x ʔ a ʊ̯ s d ʁ ʏ k ə
fachbegriff	f a x b ə ɡ ʁ ɪ f
fachbegriffes	f a x b ə ɡ ʁ ɪ f ə s
fachbegriffs	f a x b ə ɡ ʁ ɪ f s
fachbereich	f a x b ə ʁ a ɪ̯ ç
fachbereiche	f a x b ə ʁ a ɪ̯ ç ə
fachbereiches	f a x b ə ʁ a ɪ̯ ç ə s
fachbereichs	f a x b ə ʁ a ɪ̯ ç s
fachchinesisch	f a x ç i n eː z ɪ ʃ
fachchinesischs	f a x ç i n eː z ɪ ʃ s
fachen	f a x ə n
fachfrau	f a x f ʁ a ʊ̯
fachgebiet	f a x ɡ ə b iː t
fachjargon	f a x ʒ a ʁ ɡ ɔ ŋ
fachkenntnis	f a x k ɛ n t n ɪ s
fachkräftemangel	f a x k ʁ ɛ f t ə m a ŋ l̩
fachkundig	f a x k ʊ n d ɪ k
fachsimpeln	f a x z ɪ m p ə l n
fachsprachlich	f a x ʃ p ʁ aː x l ɪ ç
fachtrottel	f a χ t ʁ ɔ t l̩
fachunkundig	f a x ʔ ʊ n k ʊ n d ɪ ç
fachwerkhaus	f a x v ɛ ʁ k h a ʊ̯ s
fackelträger	f a k l̩ t ʁ ɛː ɡ ɐ
fackelträgerin	f a k l̩ t ʁ ɛː ɡ ə r ɪ n
fad	f aː t
faden	f aː d n̩
fadenscheinig	f aː d n̩ ʃ a ɪ̯ n ɪ ç
fadesse	f a d ɛ s
fadisieren	f a d i z iː ɐ̯ n
fadisiert	f a d i z iː ɐ̯ t
fagott	f a ɡ ɔ t
fahen	f aː n
fahnden	f aː n d ə n
fahnder	f aː n d ɐ
fahndung	f aː n d ʊ ŋ
fahne	f aː n ə
fahnenfluchten	f aː n ə n f l ʊ x t n̩
fahnenflüchtiger	f aː n ə n f l ʏ ç t ɪ ɡ ɐ
fahnenmast	f aː n ə n m a s t
fahnenstange	f aː n ə n ʃ t a ŋ ə
fahnenstangen	f aː n ə n ʃ t a ŋ ə n
fahnenträger	f aː n ə n t ʁ ɛː ɡ ɐ
fahnenträgerin	f aː n ə n t ʁ ɛː ɡ ə ʁ ɪ n
fahrausweis	f aː ɐ̯ ʔ a ʊ̯ s v a ɪ̯ s
fahrausweise	f aː ɐ̯ a ʊ̯ s v a ɪ z ə
fahrausweisen	f aː ɐ̯ a ʊ̯ s v a ɪ z n̩
fahrausweises	f aː ɐ̯ a ʊ̯ s v a ɪ z ə s
fahrbahnmarkierung	f aː ɐ̯ b aː n m a ʁ k iː ʁ ʊ ŋ
fahrdamm	f aː d a m
fahrend	f aː r ə n t
fahrenheit	f aː ʁ ə n h a ɪ̯ t
fahrer	f aː ʁ ɐ
fahrerlos	f aː ʁ ɐ l oː s
fahrgast	f aː ɐ̯ ɡ a s t
fahrgeld	f aː ɐ̯ ɡ ɛ l t
fahrgemeinschaft	f aː ɐ̯ ɡ ə m a ɪ̯ n ʃ a f t
fahrig	f aː ʁ ɪ k
fahrkunst	f aː ɐ̯ k ʊ n s t
fahrrad	f a r a t
fahrradfreundlich	f aː ɐ̯ ʁ aː t f ʁ ɔ ɪ̯ n t l ɪ ç
fahrradgepäckträger	f aː ɐ̯ ʁ aː t ɡ ə p ɛ k t ʁ ɛː ɡ ɐ
fahrradkette	f aː ɐ̯ ʁ aː t k ɛ t ə
fahrradparkplatz	f aː ɐ̯ ʁ a t p a ɐ̯ k p l a t͡s
fahrradreifen	f aː ɐ̯ ʁ aː t ʁ a ɪ̯ f n̩
fahrradschlauch	f aː ɐ̯ ʁ a t ʃ l a ʊ̯ x
fahrradschloss	f aː ɐ̯ ʁ aː t ʃ l ɔ s
fahrradschlösser	f aː ɐ̯ ʁ aː t ʃ l œ s ɐ
fahrradtour	f aː ɐ̯ r aː t t uː ɐ̯
fahrradweg	f aː ɐ̯ ʁ aː t v eː k
fahrräder	f aː ɐ̯ ʁ ɛː d ɐ
fahrschule	f aː ɐ̯ ʃ uː l ə
fahrstuhl	f aː ɐ̯ ʃ t uː l
fahrstuhls	f aː ɐ̯ ʃ t uː l s
fahrstühle	f aː ɐ̯ ʃ t yː l ə
fahrt	f aː r t
fahrten	f aː ɐ̯ t n̩
fahrtrichtung	f aː ɐ̯ t ʁ ɪ ç t ʊ ŋ
fahrtwind	f aː r t v ɪ n t
fahrwasser	f aː ɐ̯ v a s ɐ
fahrzeug	f aː t s ɔ ʏ̯ k
fahrzeuge	f aː ɐ̯ t͡s ɔ ɪ̯ ɡ ə
fahrzeuges	f aː ɐ̯ t͡s ɔ ɪ̯ ɡ ə s
fahrzeugführer	f aː r t s ɔ ʏ̯ k f yː r ə r
fahrzeugkolonne	f aː ɐ̯ t͡s ɔ ɪ̯ k k o l ɔ n ə
fahrzeuglenker	f aː r t s ɔ ʏ̯ k l ɛ ŋ k ə r
fahrzeugs	f aː ɐ̯ t͡s ɔ ɪ̯ k s
faible	f ɛ ɪ̯ b ə l
fair	f ɛː r
fairerweise	f ɛː ʁ ɐ v a ɪ̯ z ə
fairness	f ɛː ɐ̯ n ɛ s
fake	f e ɪ̯ k
faken	f eː k ə n
fakenews	f ɛ ɪ̯ k n j uː s
faktencheck	f a k t n̩ t͡ʃ ɛ k
faktion	f a k t͡s i̯ oː n
faktizität	f a k t i t͡s i t ɛː t
faktor	f a k t oː ɐ̯
faktorei	f a k t o ʁ a ɪ̯
faktotum	f a k t oː t ʊ m
fakultät	f a k ʊ l t ɛː t
falafel	f a l a f ə l
falbel	f a l b l̩
falkenberg	f a l k n̩ b ɛ ʁ k
falkenbergs	f a l k n̩ b ɛ ʁ k s
falkenhaube	f a l k ə n h a ʊ̯ b ə
falkensee	f a l k n̩ z eː
falkensees	f a l k n̩ z eː s
falkenstein	f a l k n̩ ʃ t a ɪ̯ n
falkner	f a l k n ə r
falknerei	f a l k n ə r a ɪ̯
fallbeil	f a l b a ɪ̯ l
fallen	f a l ə n
fallend	f a l n̩ t
fallensteller	f a l ə n ʃ t ɛ l ɐ
fallest	f a l ə s t
fallet	f a l ə t
fallgruben	f a l ɡ ʀ uː b n̩
fallieren	f a l iː ʁ ə n
fallingbostel	f a l ɪ ŋ b ɔ s t l̩
fallobst	f a l ʔ oː p s t
fallout	f ɔː l ʔ a ʊ̯ t
fallreep	f a l ʁ eː p
fallrohr	f a l ʁ oː ɐ̯
fallrückzieher	f a l r ʏ k t s iː ə r
falls	f a l s
fallschirm	f a l ʃ ɪ ʁ m
fallschirmjäger	f a l ʃ ɪ ʁ m j ɛː ɡ ɐ
fallstudie	f a l ʃ t uː d i̯ ə
fallsucht	f a l z ʊ χ t
fallsüchtig	f a l z ʏ ç t ɪ k
falschaussage	f a l ʃ ʔ a ʊ̯ s z aː ɡ ə
falschfahrer	f a l ʃ f aː ʁ ɐ
falschheit	f a l ʃ h a ɪ̯ t
falschliegen	f a l ʃ l iː ɡ n̩
falschschreibung	f a l ʃ ʃ ʁ a ɪ̯ b ʊ ŋ
falsett	f a l z ɛ t
faltenmagen	f a l t ə n m aː ɡ ə n
faltig	f a l t ɪ k
faltstuhl	f a l t ʃ t uː l
fame	f ɛ ɪ̯ m
familie	f a m iː l i̯ ə
familienangehörige	f a m iː l i̯ ə n a n ɡ ə h øː ʁ ɪ ɡ ə
familienangehörigen	f a m iː l i̯ ə n a n ɡ ə h øː ʁ ɪ ɡ ə n
familienangehöriger	f a m iː l i̯ ə n a n ɡ ə h øː ʁ ɪ ɡ ɐ
familienfoto	f a m iː l i̯ ə n f oː t o
familienhaus	f a m iː l i̯ ə n h a ʊ̯ s
familienhauses	f a m iː l i̯ ə n h a ʊ̯ z ə s
familienhäuser	f a m iː l i̯ ə n h ɔ ɪ̯ z ɐ
familienmensch	f a m iː l i̯ ə n m ɛ n ʃ
familiensprache	f a m iː l i̯ ə n ʃ p ʁ aː x ə
familienvater	f a m iː l i̯ ə n f aː t ɐ
familienwohnhaus	f a m iː l i̯ ə n v oː n h a ʊ̯ s
familienähnlichkeit	f a m iː l i̯ ə n ɛː n l ɪ ç k a ɪ̯ t
familiär	f a m i l i̯ eː ɐ̯
family	f ɛ m ɪ l i
famos	f a m oː s
famulieren	f a m u l iː ɐ̯ n
fanatisieren	f a n a t i z iː ʁ ə n
fancy	f ɛ n s i
fanden	f a n d n̩
fanfare	f a n f aː ʁ ə
fangzahn	f a ŋ t͡s aː n
fangzähne	f a ŋ t͡s ɛː n ə
fankurve	f ɛ n k ʊ ʁ v ə
fanmeile	f ɛ n m a ɪ̯ l ə
fanny	f a n i
fantakuchen	f a n t aː k uː x ə n
fantasielos	f a n t a z iː l oː s
fantastik	f a n t a s t iː k
fantasy	f ɛ n t ə s i
farbband	f a ʁ p b a n t
farbbild	f a ʁ p b ɪ l t
farbe	f a r b ə
farbenblind	f a ʁ b n̩ b l ɪ n t
farbenblindheit	f a ʁ b n̩ b l ɪ n t h a ɪ̯ t
farbenfroh	f a ʁ b n̩ f ʁ oː
farbenlehre	f a ʁ b m̩̩ l eː ʁ ə
farbenlehren	f a ʁ b m̩̩ l eː ʁ ə n
farbenpracht	f a ʁ b m̩̩ p ʁ a x t
farbenspiel	f a ʁ b n̩ ʃ p iː l
farbfilm	f a ʁ p f ɪ l m
farbgebung	f a ʁ p ɡ eː b ʊ ŋ
farbig	f a ʁ b ɪ k
farbige	f a ʁ b ɪ ɡ ə
farbiger	f a ʁ b ɪ ɡ ɐ
farbigkeit	f a ʁ b ɪ ç k a ɪ̯ t
farbintensität	f a ʁ p ʔ ɪ n t ɛ n z i t ɛː t
farbkombination	f a ʁ p k ɔ m b i n a t͡s i̯ oː n
farbkombinationen	f a ʁ p k ɔ m b i n a t͡s i̯ oː n ə n
farbraum	f a ʁ p ʁ a ʊ̯ m
farbschlüssel	f a ʁ p ʃ l ʏ s l̩
farbspektra	f a r p s p ɛ k t ʁ a
farbspektren	f a r p s p ɛ k t ʁ ə n
farbspektrum	f a r p s p ɛ k t ʁ ʊ m
farbspektrums	f a r p s p ɛ k t ʁ ʊ m s
farbstabilisator	f a ʁ p ʃ t a b i l i z aː t o ɐ̯
farbstift	f a ʁ p ʃ t ɪ f t
farbstiftkasten	f a ʁ b ʃ t ɪ f t k a s t n̩
farbstoff	f a ʁ p ʃ t ɔ f
farbstärke	f a ʁ p ʃ t ɛ r k ə
farbsättigung	f a ʁ p z ɛ t ɪ ɡ ʊ ŋ
farbänderung	f aː b ɛ n d ə ʁ ʊ ŋ
farm	f a r m
farme	f a ʁ m ə
farmend	f a ʁ m ə n t
farmest	f a ʁ m ə s t
farmet	f a ʁ m ə t
farmst	f a ʁ m s t
farmte	f a ʁ m t ə
farmten	f a ʁ m t n̩
farmtest	f a ʁ m t ə s t
farmtet	f a ʁ m t ə t
farn	f a r n
farnkraut	f a ʁ n k ʁ a ʊ̯ t
fas	f aː s
fasanengarten	f a z aː n ə n ɡ a ʁ t ə n
fasanengartens	f a z aː n ə n ɡ a ʁ t ə n s
fasanengärten	f a z aː n ə n ɡ ɛ ʁ t ə n
faschiertes	f a ʃ iː ɐ̯ t ə s
faschine	f a ʃ iː n ə
faschistoid	f a ʃ ɪ s t o iː t
fascho	f a ʃ o
fase	f aː z ə
faselei	f a s ɛ l a ɪ̯
faseln	f aː z l̩ n
fasen	f aː z n̩
faser	f aː z ə r
faserig	f aː z ə ʁ ɪ k
faserlaser	f aː z ə r l ɛ ɪ̯ z ə r
fashionable	f ɛ ʃ n ə b l
fassade	f a s aː d ə
fassbar	f a s b aː ɐ̯
fassbier	f a s b iː ɐ̯
fassbinder	f a s b ɪ n d ɐ
fassen	f a s ə n
fassetten	f a s ɛ t n̩
fassettenreich	f a s ɛ t n̩ ʁ a ɪ̯ ç
fasson	f a s oː n
fassung	f a s ʊ ŋ
fassungsvermögen	f a s ʊ ŋ s f ɛ ɐ̯ m øː ɡ n̩
fast	f a s t
faste	f a s t ə
fasten	f a s t n̩
fastenbier	f a s t ə n b iː r
fastenbrechen	f a s t n̩ b ʁ ɛ ç n̩
fastest	f a s t ə s t
fastet	f a s t ə t
fastfood	f aː s t f uː t
fastprimzahl	f a s t p ʁ iː m t͡s aː l
faszinieren	f a s t s i n iː r ə n
fatal	f a t aː l
fatum	f aː t ʊ m
fatwa	f a t v a
fatzke	f a t͡s k ə
fauchen	f a ʊ̯ x ə n
faul	f a ʊ̯ l
faulen	f a ʊ̯ l ə n
faulenzen	f a ʊ̯ l ɛ n s ə n
faulenzer	f a ʊ̯ l ɛ n t͡s ɐ
faulheit	f a ʊ̯ l h a ɪ̯ t
faulig	f a ʊ̯ l ɪ k
fault	f a ʊ̯ l t
faust	f a ʊ̯ s t
faustball	f a ʊ̯ s t b a l
faustdicker	f a ʊ̯ s t d ɪ k ɐ
fausthandschuh	f a ʊ̯ s t h a n t ʃ uː
faustkampf	f a ʊ̯ s t k a m p͡f
faustpfand	f a ʊ̯ s t p͡f a n t
faustschlag	f a ʊ̯ s t ʃ l aː k
fauteuil	f o t œ l
fauxpas	f o p a
favela	f a v eː l a
favelas	f a v eː l a s
favorit	f a v o ʁ iː t
faxe	f a k s ə
faxen	f a k s n̩
faxenmacher	f a k s ə n̩ m a x ə ʁ
faxgerät	f a k s ɡ ə ʁ ɛː t
fayence	f a j ɑ̃ː s
fazialisparese	f a t͡s i i̯ aː l ɪ s p a ʁ eː z ə
fazialisparesen	f a t͡s i i̯ aː l ɪ s p a ʁ eː z ə n
fazit	f aː t͡s iː t
faßbier	f a s b iː ɐ̯
fbi	ɛ f b i a ɪ̯
fdj	ɛ f d e j ɔ t
feature	f iː t͡ʃ ɐ
feber	f eː b ɐ
febril	f e b ʁ iː l
februar	f eː b r u aː r
fechser	f ɛ k s ɐ
fechten	f ɛ ç t n̩
fechterin	f ɛ ç t ɐ ʁ ɪ n
federballspielerin	f eː d ɐ b a l ʃ p iː l ə ʁ ɪ n
federbett	f eː d ɐ b ɛ t
federchen	f eː d ɐ ç ə n
federchens	f eː d ɐ ç ə n s
federgewicht	f eː d ɐ ɡ ə v ɪ ç t
federgewichtler	f eː d ɐ ɡ ə v ɪ ç t l ɐ
federhaus	f eː d ə ʁ h a ʊ̯ s
federkern	f eː d ə ʁ k ɛ ʁ n
federkiel	f eː d ɐ k iː l
federlesen	f eː d ɐ l eː z n̩
federmappe	f eː d ɐ m a p ə
federpennal	f eː d ɐ p ɛ n aː l
federstrich	f eː d ɐ ʃ t ʁ ɪ ç
federweiß	f eː d ə ʁ v a ɪ̯ s
federweißer	f eː d ə ʁ v a ɪ̯ s ə ʁ
federwolke	f eː d ɐ v ɔ l k ə
federzeichnung	f eː d ɐ t͡s a ɪ̯ ç n ʊ ŋ
feed	f iː d
feedback	f iː d b ɛ k
feedbacks	f iː t b ɛ k s
feeling	f iː l ɪ ŋ
feengleich	f eː ə n ɡ l a ɪ̯ ç
fegefeuer	f eː ɡ ə f ɔ ʏ̯ ɐ
fegen	f eː ɡ n̩
feger	f eː ɡ ɐ
feh	f eː
fehdehandschuh	f eː d ə h a n t ʃ uː
fehe	f eː ə
fehlanzeige	f eː l a n t s a ɪ̯ ɡ ə
fehlbar	f eː l b aː ɐ̯
fehlbezeichnung	f eː l b ə t s a ɪ̯ ç n ʊ ŋ
fehlbezeichnungen	f eː l b ə t s a ɪ̯ ç n ʊ ŋ ə n
fehleinschätzung	f eː l ʔ a ɪ̯ n ʃ ɛ t͡s ʊ ŋ
fehlentscheidung	f eː l ʔ ɛ n t ʃ a ɪ̯ d ʊ ŋ
fehlerbehebung	f eː l ɐ b ə h eː b ʊ ŋ
fehlermeldungen	f eː l ɐ m ɛ l d ʊ ŋ ə n
fehlerquelle	f eː l ɐ k v ɛ l ə
fehlfarbe	f eː l f a ʁ b ə
fehlgeburt	f eː l ɡ ə b uː r t
fehlgriff	f eː l ɡ r ɪ f
fehlinterpretieren	f eː l ʔ ɪ n t ɐ p ʁ e t iː ʁ ə n
fehlkommunikation	f eː l k ɔ m u n i k a t s j oː n
fehlleistung	f eː l l a ɪ̯ s t ʊ ŋ
fehlplanung	f eː l p l aː n ʊ ŋ
fehlschlag	f eː l ʃ l aː k
fehlschuss	f eː l ʃ ʊ s
fehlsichtig	f eː l z ɪ ç t ɪ ç
fehrbellin	f eː r b ɛ l iː n
fehs	f eː s
feien	f a ɪ̯ ə n
feier	f a̯ ɪ ɐ
feierabend	f a ɪ̯ ə r aː b ə n t
feierbiest	f a ɪ̯ ɐ b iː s t
feierlich	f a ɪ̯ ɐ l ɪ ç
feierlichkeit	f a ɪ̯ ɐ l ɪ ç k a ɪ̯ t
feiern	f a ɪ̯ ɐ n
feierstudium	f a ɪ̯ ɐ ʃ t uː d i̯ ʊ m
feiertag	f a ɪ ɐ̯ t a x
feig	f a ɪ̯ k
feige	f a ɪ̯ ɡ ə
feigenbaum	f a ɪ̯ ɡ ə n b a ʊ̯ m
feigenblatt	f a ɪ̯ ɡ n̩ b l a t
feigenblattes	f a ɪ̯ ɡ n̩ b l a t ə s
feigenblatts	f a ɪ̯ ɡ n̩ b l a t s
feigenblättchen	f a ɪ̯ ɡ n̩ b l ɛ t ç n̩
feigenblättchens	f a ɪ̯ ɡ ə n b l ɛ t ç ə n s
feigenblätter	f a ɪ̯ ɡ n̩ b l ɛ t ɐ
feigheit	f a ɪ̯ k a ɪ̯ t
feigling	f a ɪ̯ k l ɪ ŋ
feile	f a ɪ̯ l ə
feilhaben	f a ɪ̯ l h aː b n̩
feilhalten	f a ɪ̯ l h a l t ə n
feilschen	f a ɪ̯ l ʃ ə n
feim	f a ɪ̯ m
feime	f a ɪ̯ m ə
feimen	f a ɪ̯ m ə n
fein	f a ɪ̯ n
feind	f a ɪ̯ n t
feindin	f a ɪ̯ n d ɪ n
feindlich	f a ɪ̯ n t l ɪ ç
feindschaft	f a ɪ̯ n t ʃ a f t
feindselig	f a ɪ̯ n t z eː l ɪ ç
feinfühlig	f a ɪ̯ n f yː l ɪ ç
feinfühligkeit	f a ɪ̯ n f yː l ɪ ç k a ɪ̯ t
feingebäck	f a ɪ̯ n ɡ ə b ɛ k
feingliedrig	f a ɪ̯ n ɡ l iː d ʁ ɪ k
feinguss	f a ɪ̯ n ɡ ʊ s
feinkörnig	f a ɪ̯ n k œ ʁ n ɪ ç
feinmaschig	f a ɪ̯ n m a ʃ ɪ ç
feinporig	f a ɪ̯ n p oː ʁ ɪ ç
feinpulvrig	f a ɪ̯ n p ʊ l f ʁ ɪ ç
feinschliff	f a ɪ̯ n ʃ l ɪ f
feinschmecker	f a ɪ̯ n ʃ m ɛ k ɐ
feinspitz	f a ɪ̯ n ʃ p ɪ t͡s
feinsäge	f a ɪ̯ n z ɛː ɡ ə
feinsänger	f a ɪ̯ n z ɛ ŋ ɐ
feinsängers	f a ɪ̯ n z ɛ ŋ ɐ s
feist	f a ɪ̯ s t
feitel	f a ɪ̯ t ə l
felche	f ɛ l ç ə
felchen	f ɛ l ç n̩
feldberg	f ɛ l t b ɛ r k
feldblumenstrauß	f ɛ l t b l uː m ə n ʃ t r a ʊ̯ s
feldblumenstraußes	f ɛ l t b l uː m ə n ʃ t r a ʊ̯ s ə s
feldblumensträußchen	f ɛ l t b l uː m ə n ʃ t r ɔ ɪ̯ s ç ə n
feldblumensträuße	f ɛ l t b l uː m ə n ʃ t r ɔ ɪ̯ s ə
feldgurke	f ɛ l t ɡ ʊ ʁ k ə
feldhase	f ɛ l t h aː z ə
feldherr	f ɛ l t h ɛ ʁ
feldjäger	f ɛ l t j ɛː ɡ ɐ
feldlerche	f ɛ l t l ɛ ʁ ç ə
feldmaus	f ɛ l t m a ʊ̯ s
feldmäuse	f ɛ l t m ɔ ɪ̯ z ə
feldscher	f ɛ l t ʃ ɐ̯
feldscherer	f ɛ l t ʃ eː ʁ ɐ
feldschlacht	f ɛ l t ʃ l a x t
feldschwirl	f ɛ l t ʃ v ɪ ʁ l
feldschwirlen	f ɛ l t ʃ v ɪ ʁ l ə n
feldstein	f ɛ l t ʃ t a ɪ̯ n
feldzeichen	f ɛ l t t͡s a ɪ̯ ç n̩
feldzug	f ɛ l t t͡s uː k
felge	f ɛ l ɡ ə
felix	f eː l ɪ k s
fellache	f ɛ l a χ ə
fellachin	f ɛ l a χ ɪ n
fellatio	f ɛ l aː t s j o
fellbach	f ɛ l b a x
fellchen	f ɛ l ç ə n
fellhandschuh	f ɛ l h a n t ʃ uː
fellieren	f ɛ l iː ʁ ə n
felsblock	f ɛ l s b l ɔ k
felsboden	f ɛ l s b oː d n̩
felsbrocken	f ɛ l s b ʁ ɔ k n̩
felsenkluft	f ɛ l z ə n k l ʊ f t
felssporn	f ɛ l s ʃ p ɔ ʁ n
felsvorsprung	f ɛ l s f oː ɐ̯ ʃ p ʁ ʊ ŋ
femboy	f ɛ m b ɔ ɪ̯
feme	f eː m ə
feminin	f e m i n iː n
femininum	f eː m i n iː n ʊ m
feminismus	f e m i n ɪ s m ʊ s
feminist	f e m i n ɪ s t
femizid	f e m i t͡s iː t
femur	f eː m ʊ ʁ
fenchel	f ɛ n ç l̩
fenn	f ɛ n
fennek	f ɛ n ɛ k
fennich	f ɛ n ɪ ç
fenriswolf	f ɛ n ʁ ɪ s v ɔ l f
fensterbank	f ɛ n s t ɐ b a ŋ k
fensterbrett	f ɛ n s t ɐ b ʁ ɛ t
fensterglas	f ɛ n s t ɐ ɡ l aː s
fensterglase	f ɛ n s t ɐ ɡ l aː z ə
fensterkitt	f ɛ n s t ɐ k ɪ t
fensterln	f ɛ n s t ɐ l n
fensterlos	f ɛ n s t ɐ l oː s
fensterplatzes	f ɛ n s t ɐ p l a t s ə s
fensterplätze	f ɛ n s t ɐ p l ɛ t s ə
fensterraute	f ɛ n s t ɐ ʁ a ʊ̯ t ə
fensterscheibe	f ɛ n s t ɐ ʃ a ɪ̯ b ə
fenstersturz	f ɛ n s t ə r ʃ t ʊ r t s
fenstertag	f ɛ n s t ɐ t aː k
fentanyl	f ɛ n t a n yː l
ferdinand	f ɛ ʁ d i n a n t
ferge	f ɛ r ɡ ə
ferien	f eː r i̯ ə n
ferienhaus	f eː ʁ i ə n h a ʊ̯ s
ferienhauses	f eː ʁ i ə n h a ʊ̯ z ə s
ferienhäuschen	f eː ʁ i ə n h ɔ ɪ̯ s ç ə n
ferienhäuser	f eː ʁ i ə n h ɔ ɪ̯ z ɐ
ferienlager	f eː ʁ i ə n l aː ɡ ɐ
ferkel	f ɛ r k ə l
ferkelkraut	f ɛ ɐ̯ k ə l k r a ʊ̯ t
ferkelkraute	f ɛ ʁ k l̩ k ʁ a ʊ̯ t ə
ferkelkrautes	f ɛ ʁ k l̩ k ʁ a ʊ̯ t ə s
