'ch	χ
bygwl	b ə ɡ ʊ l
bygwth	b ə ɡ ʊ θ
bygythiol	b ə ɡ ə θ j ɔ l
bylchog	b ə l χ ɔ ɡ
byliau	b ə l j a i̯
byngalo	b ə ŋ ɡ a l ɔ
bynnag	b ə n a ɡ
bynnen	b ə n ɛ n
byns	b ə n z
bynsen	b ə n s ɛ n
byr	b ɪ r
byrbryd	b ə r b r ɪ d
byrddau	b ə r ð a i̯
byrddydd	b ə r ð ɪ ð
byrdra	b ə r d r a
byrgoes	b ə r ɡ ɔ i̯ s
byrhau	b ə r h a i̯
byrhoedlog	b ɪ r h ɔ i̯ d l ɔ ɡ
byrlymau	b ə r l ə m a i̯
byrlymu	b ə r l ə m i
byrma	b ə r m a
byrraf	b ə r a
byrstio	b ə r s d j ɔ
bys	b iː s
bysbrint	b ə s b r ɪ n t
bysedd	b ə s ɛ ð
bysell	b ə s ɛ ɬ
bysellfwrdd	b ə s ɛ ɬ v ʊ r ð
bysgod	b ə s ɡ ɔ d
bysgodyn	b ə s ɡ oː d ɪ n
bysgota	b ə s ɡ ɔ t a
bysys	b ə s ɪ z
byth	b ɪ θ
bythol	b ə θ ɔ l
bythynnod	b ə θ ə n ɔ d
byw	b ɪ u̯
bywgraffiadur	b ɪ u̯ ɡ r a f j a d ɪ r
bywiocáu	b ɪ u̯ j ɔ k a i̯
bywiog	b ɪ u̯ j ɔ ɡ
bywiogrwydd	b ɪ u̯ j ɔ ɡ r ʊ ɨ̯ ð
bywyd	b o u̯ ɪ d
bywydeg	b ə u̯ ə d ɛ ɡ
bywyn	b ɪ u̯ ɪ n
bàth	b a θ
bâr	b aː r
bêl	b eː l
bêr	b eː r
bòs	b ɔ s
bôm	b oː m
bôn	b oː n
bônt	b oː n t
bôr	b oː r
bûm	b iː m
bŵl	b uː l
bŵt	b uː t
bỳs	b ə s
c	ɛ k
ca	k aː
cablu	k a b l i
cabol	k aː b ɔ l
caboledig	k a b ɔ l eː d ɪ ɡ
caboli	k a b oː l i
cacen	k a k ɛ n
cacennau	k a k ɛ n a i̯
cach	k aː χ
cacha	k a χ a
cachai	k a χ a i̯
cachais	k a χ a i̯ s
cachan	k a χ a n
cachen	k a χ ɛ n
caches	k a χ ɛ s
cachet	k a χ ɛ t
cachgi	k a χ ɡ i
cachi	k a χ i
cachlwyth	k a χ l ʊ i̯ θ
cachu	k a χ i
cacs	k a k s
cactws	k a k t ʊ s
cacwn	k a k ʊ n
cacynen	k a k ə n ɛ n
cad	k aː d
cadach	k a d a χ
cadair	k a d a i̯ r
cadarn	k a d a r n
cadarnhaol	k a d a r n h aː ɔ l
cadarnhau	k a d a r n h a i̯
cadarnwedd	k a d a r n w ɛ ð
cadd	k aː ð
caddug	k a ð ɪ ɡ
cadechyn	k a d eː χ ɪ n
cadeiriau	k a d e i̯ r j a i̯
cadeirio	k a d e ɪ̯ r j ɔ
cadeiriol	k a d e i̯ r j ɔ l
cadeirlan	k a d e i̯ r l a n
cader	k a d ɛ r
cadernid	k a d ɛ r n ɪ d
cadfael	k a d v a i̯ l
cadlas	k a d l a s
cadmiwm	k a d m j ʊ m
cadnawes	k a d n a u̯ ɛ s
cadno	k a d n ɔ
cadnöes	k a d n oː ɛ s
cadoediad	k a d ɔ i̯ d j a d
cadr	k a d r
cadrwch	k a d r ʊ χ
cadw	k a d u
cadwaf	k a d w a v
cadwch	k a d w ʊ χ
cadwyn	k a d ʊ i̯ n
cae	k a i̯
caeaf	k e i̯ a
caeau	k e i̯ a i̯
caed	k a i̯ d
caeedig	k e i̯ eː d ɪ ɡ
caeir	k e i̯ ɪ r
cael	k a i̯ l
caem	k a i̯ m
caen	k a i̯ n
caent	k a i̯ n t
caer	k a i̯ r
caerau	k e i̯ r a i̯
caerdroea	k a i̯ r d r ɔ i̯ a
caerdydd	k a i̯ r d iː ð
caeredin	k a i̯ r eː d ɪ n
caerfaddon	k a i̯ r v a ð ɔ n
caerffili	k a i̯ r f ɪ l i
caerfyrddin	k a i̯ r v ə r ð ɪ n
caergaint	k a i̯ r ɡ a i̯ n t
caergrawnt	k a i̯ r ɡ r a u̯ n t
caergwrle	k a ɪ̯ r ɡ ʊ r l ɛ
caergybi	k a i̯ r ɡ ə b i
caerhirfryn	k a i̯ r h ɪ r v r ɪ n
caeriwrch	k e i̯ r j ʊ r χ
caerliwelydd	k a i̯ r l ɪ u̯ eː l ɪ ð
caerllion	k e i̯ r ɬ i ɔ n
caerloyw	k a i̯ r l ɔ i̯ u
caerlŷr	k a i̯ r l iː r
caernarfon	k a i r n a r v ɔ n
caersallog	k a i̯ r s a ɬ ɔ ɡ
caerwrangon	k a i̯ r w r a ŋ ɔ n
caerwynt	k a i̯ r w ɪ n t
caerwysg	k a i̯ r w ɪ s ɡ
caet	k a i̯ t
caeth	k a i̯ θ
caethgludiad	k e i̯ θ ɡ l ɪ d j a d
caethiwed	k e i̯ θ ɪ u̯ ɛ d
caethiwo	k e i̯ θ ɪ u̯ ɔ
caethoch	k e i̯ θ ɔ χ
caethon	k e i̯ θ ɔ n
caethwas	k e i̯ θ w a s
caethwasiaeth	k e i̯ θ w a s j a i̯ θ
caethweision	k e i̯ θ w e i̯ s j ɔ n
caf	k aː
cafall	k a v a ɬ
cafas	k a v a s
caffaeledig	k a f e i̯ l eː d ɪ ɡ
caffai	k a f a i̯
caffed	k a f ɛ d
caffel	k a f ɛ l
caffent	k a f ɛ n t
caffer	k a f ɛ r
caffi	k a f i
caffis	k a f i z
caffit	k a f ɪ t
cafflo	k a f l ɔ
caffîn	k a f iː n
cafiar	k a v j a r
cafiâr	k a v j aː r
cafn	k a v a n
cafod	k a v ɔ d
cafodd	k a v ɔ ð
cafon	k a v ɔ n
cafwyd	k a v ʊ i̯ d
caiff	k a i̯ f
caifn	k a i̯ v n
caill	k a i̯ ɬ
cain	k a i̯ n
cainc	k a i̯ ŋ k
caint	k a i̯ n t
cais	k a i̯ s
cait	k a i̯ t
cal	k a l
cala	k a l a
calan	k a l a n
calch	k a l χ
calchfaen	k a l χ v a i̯ n
caled	k a l ɛ d
caledi	k a l eː d i
caledu	k a l eː d i
caledwedd	k a l ɛ d w ɛ ð
calenigion	k a l ɛ n ɪ ɡ j ɔ n
calennig	k a l ɛ n ɪ ɡ
caleted	k a l ɛ t ɛ d
califforniwm	k a l ɪ f ɔ r n j ʊ m
call	k a ɬ
callestr	k a ɬ ɛ s d
callestrai	k a ɬ ɛ s d r a i̯
callio	k a ɬ j ɔ
callisto	k a l ɪ s t ɔ
calon	k a l ɔ n
calonnau	k a l ɔ n a i̯
calonogi	k a l ɔ n oː ɡ i
calsiwm	k a l s j ʊ m
cam	k a m
camamser	k a m a m s ɛ r
camamseriad	k a m a m s ɛ r j a d
camamserol	k a m a m s eː r ɔ l
camamseru	k a m a m s eː r i
camarwain	k a m a r w a i̯ n
camau	k a m a i̯
cambodia	k a m b ɔ d j a
cambodiad	k a m b ɔ d j a d
cambodiaid	k a m b ɔ d j a i̯ d
cambodiaidd	k a m b ɔ d j a i̯ ð
camddealltwriaeth	k a m ð ɛ a ɬ d ʊ r j a i̯ θ
camdreiglad	k a m d r e i̯ ɡ l a d
camdreiglo	k a m d r e i̯ ɡ l ɔ
camerŵn	k a m ɛ r uː n
camesgor	k a m ɛ s ɡ ɔ r
camesgoriad	k a m ɛ s ɡ oː r j a d
camfa	k a m v a
camgyfarwyddo	k a m ɡ ə v a r ʊ ɨ̯ ð ɔ
camgymeriad	k a m ɡ ə m ɛ r j a d
camhysbysu	k a m h ə s b ə s i
camlas	k a m l a s
camlesi	k a m l ɛ s i
camlwrw	k a m l uː r u
camlywodraeth	k a m l ə w ɔ d r a i̯ θ
camp	k a m p
campfa	k a m p v a
campus	k a m p ɪ s
campwaith	k a m p w a i̯ θ
campwr	k a m p ʊ r
camreolaeth	k a m r ɛ oː l a i̯ θ
camreoli	k a m r e oː l i
camsefyll	k a m s eː v ɪ ɬ
camsillafu	k a m s ɪ ɬ a v i
camsyniad	k a m s ə n j a d
camu	k a m i
camwedd	k a m w ɛ ð
camweinyddu	k a m w e i̯ n ə ð i
can	k a n
cana	k a n a
canada	k a n a d a
canadaidd	k a n a d a i̯ ð
canadiad	k a n a d j a d
canadiaid	k a n a d j a i̯ d
canaf	k a n a
canai	k a n a i̯
canais	k a n a i̯ s
canant	k a n a n t
canclwyf	k a n k l ʊ i̯ v
canddo	k a n ð ɔ
canem	k a n ɛ m
canen	k a n ɛ n
canent	k a n ɛ n t
caner	k a n ɛ r
canes	k a n ɛ s
canet	k a n ɛ t
caneuon	k a n e i̯ ɔ n
canfed	k a n v ɛ d
canfod	k a n v ɔ d
canfodydd	k a n v oː d ɪ ð
canfodyddion	k a n v ɔ d ə ð j ɔ n
canfyddadwy	k a n v ə ð a d ʊ i̯
canfyddiad	k a n v ə ð j a d
cangarŵ	k a ŋ ɡ a r uː
cangarŵod	k a ŋ ɡ a r uː ɔ d
cangell	k a ŋ ɛ ɬ
cangen	k a ŋ ɛ n
canghellor	k a ŋ h ɛ ɬ ɔ r
canghennau	k a ŋ h ɛ n a i̯
canghennog	k a ŋ h ɛ n ɔ ɡ
canhwyllau	k a n h ʊ i̯ ɬ a i̯
canhwyllbren	k a n h ʊ i̯ ɬ b r ɛ n
cani	k a n i
caniatáu	k a n j a t a i̯
caniatâd	k a n j a t aː d
caniau	k a n j a i̯
canit	k a n ɪ t
canllaw	k a n ɬ aː u̯
canlyn	k a n l ɪ n
canlyniad	k a n l ə n j a d
canlyniadau	k a n l ə n j a d a i̯
canlynol	k a n l ə n ɔ l
canmol	k a n m ɔ l
canmoladwy	k a n m ɔ l a d ʊ i̯
canmoliaeth	k a n m ɔ l j a i̯ θ
canmoliaethau	k a n m ɔ l j e i̯ θ a i̯
canmolwr	k a n m oː l ʊ r
canmolwyr	k a n m ɔ l w ɪ r
cannaid	k a n a i̯ d
cannu	k a n i
cannwyll	k a n ʊ i̯ ɬ
cannydd	k a n ɪ ð
cano	k a n ɔ
canol	k a n ɔ l
canolaf	k a n oː l a v
canolbarth	k a n ɔ l b a r θ
canolbarthau	k a n ɔ l b a r θ a i̯
canolfan	k a n ɔ l v a n
canoli	k a n oː l i
canolig	k a n oː l ɪ ɡ
canolog	k a n oː l ɔ ɡ
canolradd	k a n ɔ l r a ð
canolwr	k a n oː l ʊ r
canolwyr	k a n ɔ l w ɪ r
canon	k a n ɔ n
canrif	k a n r ɪ v
cansai	k a n s a i̯
cansen	k a n s ɛ n
canset	k a n s ɛ t
canslo	k a n s l ɔ
cant	k a n t
cantor	k a n t ɔ r
cantores	k a n t oː r ɛ s
cantorion	k a n t ɔ r j ɔ n
cantref	k a n t r ɛ v
canu	k a n i
canwr	k a ʊ r
canwraidd	k a n w r a i̯ ð
canwyllbrennau	k a n ʊ i̯ ɬ b r ɛ n a i̯
canwyr	k a n ʊ i̯ r
canyddion	k a n ə ð j ɔ n
capel	k a p ɛ l
capten	k a p t ɛ n
car	k a r
cara	k a r a
caracter	k a r a k t ɛ r
caradog	k a r a d ɔ ɡ
caraf	k a r a v
carafannau	k a r a v a n a i̯
carafán	k a r a v a n
carafáns	k a r a v a n z
carai	k a r a i̯
carais	k a r a i̯ s
caraist	k a r a i̯ s d
caran	k a r a n
carant	k a r a n t
carbon	k a r b ɔ n
carc	k a r k
carchar	k a r χ a r
carchardy	k a r χ a r d i
carchariad	k a r χ a r j a d
carcharor	k a r χ aː r ɔ r
carcharu	k a r χ a r i
carco	k a r k ɔ
carcus	k a r k ɪ s
card	k a r d
carddu	k a r ð i
cardiau	k a r d j a i̯
cardigan	k a r d ɪ ɡ a n
cardinal	k a r d ɪ n a l
cardinaliaid	k a r d ɪ n a l j a i̯ d
cardota	k a r d ɔ t a
cared	k a r ɛ d
caredig	k a r eː d ɪ ɡ
caredigrwydd	k a r ɛ d ɪ ɡ r ʊ i̯ ð
caregiad	k a r ɛ ɡ j a d
caregog	k a r eː ɡ ɔ ɡ
carem	k a r ɛ m
caren	k a r ɛ n
carent	k a r ɛ n t
carer	k a r ɛ r
cares	k a r ɛ s
carest	k a r ɛ s d
caret	k a r ɛ t
carew	k a r ɛ u̯
carfan	k a r v a n
carfil	k a r v ɪ l
cari	k a r i
cariad	k a r j a d
caribŵ	k a r ɪ b u
caridým	k a r ɪ d ɪ m
cariff	k a r ɪ f
cario	k a r j ɔ
carioci	k a r i ɔ k i
carit	k a r ɪ t
carith	k a r ɪ θ
cariwr	k a r j ʊ r
carn	k a r n
carnedd	k a r n ɛ ð
carneddau	k a r n eː ð a i̯
carneddi	k a r n eː ð i
caro	k a r ɔ
carom	k a r ɔ m
caron	k a r ɔ n
carped	k a r p ɛ d
carpiog	k a r p j ɔ ɡ
carrai	k a r a
carreg	k a r ɛ ɡ
carrog	k a r ɔ ɡ
carsen	k a r s ɛ n
carset	k a r s ɛ t
carsi	k a r s i
carth	k a r θ
carthbwll	k a r θ b ʊ ɬ
carthen	k a r θ ɛ n
carthennau	k a r θ ɛ n a i̯
carthenni	k a r θ ɛ n i
carthffos	k a r θ f ɔ s
carthu	k a r θ i
carthydd	k a r θ ɪ ð
cartre	k a r t r ɛ
cartref	k a r t r ɛ
caru	k a r i
carw	k a r u
carwr	k a r ʊ r
carwriaeth	k a r ʊ r j a i̯ θ
carwriaethol	k a r ʊ r j e i̯ θ ɔ l
carwsél	k a r ʊ s ɛ l
carwyn	k a r w ɪ n
carwyr	k a r w ɪ r
carys	k a r ɪ s
cas	k aː s
casach	k aː s a χ
cased	k aː s ɛ d
casg	k a s ɡ
casgen	k a s ɡ ɛ n
casgennu	k a s ɡ ɛ n i
casgliad	k a s ɡ l j a d
casglu	k a s ɡ l i
casglwr	k a s ɡ l ʊ r
casnewydd	k a s n ɛ u̯ ɪ ð
cast	k a s d
castan	k a s d a n
castanwydd	k a s d a n w ɪ ð
castanwydden	k a s d a n w iː ð ɛ n
castell	k a s d ɛ ɬ
castelli	k a s d ɛ ɬ i
castio	k a s t j ɔ
castiog	k a s d j ɔ ɡ
casul	k a s ɨ̞ l
casáu	k a s a i̯
casét	k a s ɛ t
catalydd	k a t a l ɪ ð
catalysis	k a t a l ɪ s ɪ s
catamarán	k a t a m a r a n
catapwlt	k a t a p ʊ l t
cath	k aː θ
cathan	k a θ a n
cathau	k a θ a i̯
cathbysgod	k a θ b ə s ɡ ɔ d
cathl	k a θ a l
cathod	k a θ ɔ d
catholig	k a θ oː l ɪ ɡ
catholigiaeth	k a θ ɔ l ɪ ɡ j a i̯ θ
cato	k a t ɔ
catrin	k a t r ɪ n
cau	k a i̯
caul	k a i̯ l
cawdel	k a u̯ d ɛ l
cawell	k a w ɛ ɬ
cawellog	k a u̯ ɛ ɬ ɔ ɡ
cawg	k a u̯ ɡ
cawl	k a u̯ l
cawlach	k a u̯ l a χ
cawn	k a u̯ n
cawna	k a u̯ n a
cawod	k a u̯ ɔ d
cawodi	k a w oː d i
cawr	k a u̯ r
caws	k a u̯ s
cbac	k b a k
ce	k eː
cebyst	k eː b ɪ s t
cebystr	k eː b ɪ s t
cecr	k ɛ k r
cecraeth	k ɛ k r a i̯ θ
cecren	k ɛ k r ɛ n
cecru	k ɛ k r i
cecrus	k ɛ k r ɪ s
cecryn	k ɛ k r ɪ n
cedechyn	k ɛ d eː χ ɪ n
cedor	k eː d ɔ r
cedr	k ɛ d r
cedrwydd	k ɛ d r ʊ i̯ ð
ceffyl	k ɛ f ɪ l
cefn	k eː v ɛ n
cefnau	k ɛ v n a i̯
cefnddu	k ɛ v n ð i
cefnder	k ɛ v n d ɛ r
cefnfor	k eː v ɛ n v ɔ r
cefngoch	k ɛ v n ɡ ɔ χ
cefnog	k ɛ v n ɔ ɡ
cefnogi	k ɛ v n ɔ ɡ i
cefnwyn	k ɛ v n w ɪ n
cefnwyrdd	k ɛ v n w ɪ r ð
ceg	k eː ɡ
cegid	k eː ɡ ɪ d
cegidaidd	k ɛ ɡ iː d a i̯ ð
cegidog	k ɛ ɡ iː d ɔ ɡ
cegin	k eː ɡ ɪ n
ceginfa	k ɛ ɡ ɪ n v a
cei	k e i̯
ceibio	k e i̯ b j ɔ
ceidw	k e i̯ d u
ceidwad	k e i̯ d w a d
ceidwadol	k e i̯ d w a d ɔ l
ceifn	k e i̯ v n
ceiliog	k e i̯ l j ɔ ɡ
ceillgwd	k e i ɬ ɡ ʊ d
ceimiad	k e i̯ m j a d
ceinach	k e i̯ n a χ
ceinioca	k e i̯ n j ɔ k a
ceiniocwr	k e i̯ n j ɔ k ʊ r
ceiniog	k e i̯ n j ɔ ɡ
ceinioglys	k e i̯ n j ɔ ɡ l ɪ s
ceir	k e i̯ r
ceirch	k e i̯ r χ
ceirios	k e i̯ r j ɔ s
ceirw	k e i̯ r u
ceisio	k e i̯ s j ɔ
ceisiodd	k e i̯ s j ɔ ð
ceislen	k e i̯ s l ɛ n
ceith	k e i̯ θ
celai	k eː l a i̯
celain	k ɛ l a i̯ n
celbren	k ɛ l b r ɛ n
celdy	k ɛ l d i
celen	k eː l ɛ n
celet	k eː l ɛ t
celfi	k ɛ l v i
celficyn	k ɛ l v ɪ k ɪ n
celfyddyd	k ɛ l v ə ð ɪ d
cell	k ɛ ɬ
cellbilen	k ɛ ɬ b iː l ɛ n
cellfur	k ɛ ɬ v ɪ r
celli	k ɛ ɬ i
celloedd	k ɛ ɬ ɔ ɨ̯ ð
cellog	k ɛ ɬ ɔ ɡ
celsan	k ɛ l s a n
celtiaid	k ɛ l t j a i̯ d
celu	k eː l i
celwrn	k e l ʊ r n
celwydd	k ɛ l w ɪ ð
celyn	k eː l ɪ n
celynna	k ɛ l ə n a
celynnen	k ɛ l ə n ɛ n
cemeg	k ɛ m ɛ ɡ
cen	k ɛ n
cenadeiniog	k ɛ n a d e i̯ n j ɔ ɡ
cenedl	k eː n ɛ d l
cenedlaethau	k ɛ n ɛ d l e i̯ θ a i̯
cenedlaethol	k ɛ n ɛ d l e i̯ θ ɔ l
cengl	k ɛ ŋ l
cengliadur	k ɛ ŋ l j a d ɪ r
cenhedlaeth	k ɛ n h ɛ d l a i̯ θ
cenhedlol	k ɛ n̥ ɛ d l ɔ l
cenhedlu	k ɛ n h ɛ d l i
cenhinen	k ɛ n h iː n ɛ n
ceni	k eː n i
cenllif	k ɛ n ɬ ɪ v
cenna	k ɛ n a
cennad	k ɛ n a d
cennin	k ɛ n ɪ n
cennog	k ɛ n ɔ ɡ
cer	k ɛ r
cerais	k eː r a i̯ s
ceraist	k eː r a i̯ s
cerbyd	k ɛ r b ɪ d
cerdd	k ɛ r ð
cerdded	k ɛ r ð ɛ d
cerddi	k ɛ r ð i
cerddin	k ɛ r ð ɪ n
cerddor	k ɛ r ð ɔ r
cerddorfa	k ɛ r ð ɔ r v a
cerddorfaol	k ɛ r ð ɔ r v aː ɔ l
cerddorfeydd	k ɛ r ð ɔ r v e i̯ ð
cerddoriaeth	k ɛ r ð ɔ r j a i̯ θ
cerddorion	k ɛ r ð ɔ r j ɔ n
cerddwr	k ɛ r ð ʊ r
cerdyn	k ɛ r d ɪ n
cerebrol	k ɛ r ɛ b r ɔ l
ceredigion	k ɛ r ɛ d ɪ ɡ j ɔ n
ceres	k eː r ɛ s
cerf	k ɛ r v
cerflun	k ɛ r v l ɪ n
cerfluniau	k ɛ r v l ɪ n j a i̯
ceri	k eː r i
ceriach	k ɛ r j a χ
cerir	k eː r ɪ r
ceriwm	k ɛ r j ʊ m
cernyw	k ɛ r n ɪ u̯
cernyweg	k ɛ r n ə u̯ ɛ ɡ
cerpyn	k ɛ r p ɪ n
cerrig	k ɛ r ɪ ɡ
certh	k ɛ r θ
cerwch	k eː r ʊ χ
cerwyn	k eː r u i̯ n
cerydd	k eː r ɪ ð
ceryddu	k ɛ r iː ð i
cerys	k eː r ɪ s
ces	k eː s
cesail	k ɛ s a i̯ l
cesair	k ɛ s a i̯ r
cesar	k ɛ s a r
cesiwm	k ɛ s j ʊ m
cest	k eː s d
cestyll	k ɛ s d ɪ ɬ
cethr	k ɛ θ r
cetsyp	k ɛ t͡ʃ ə p
ceubal	k e i̯ b a l
ceubren	k e i̯ b r ɛ n
ceubwll	k e i̯ b ʊ ɬ
ceudwll	k e i̯ d ʊ ɬ
ceuffon	k e i̯ f ɔ n
ceuffos	k e i̯ f ɔ s
ceulad	k e i̯ l a d
ceuled	k e i̯ l ɛ d
ceulfraen	k e i̯ l v r a i̯ n
ceulo	k e i̯ l ɔ
cewch	k ɛ u̯ χ
cewri	k ɛ u̯ r i
ch	ɛ χ
ch'mod	χ m ɔ d
chacen	χ a k ɛ n
chacha	χ a χ a
chachi	χ a χ i
chad	χ aː d
chadair	χ a d a i̯ r
chadeiriau	χ a d e i̯ r j a i̯
chadw	χ a d u
chae	χ a i̯
chael	χ a i̯ l
chaen	χ a i̯ n
chaeredin	χ a i̯ r eː d ɪ n
chaerfyrddin	χ e i̯ r f ə r ð ɪ n
chaeth	χ a i̯ θ
chaethoch	χ e i̯ θ ɔ χ
chaethon	χ e i̯ θ ɔ n
chaf	χ aː
chafas	χ a v a s
chaffed	χ a f ɛ d
chaffer	χ a f ɛ r
chaffi	χ a f i
chafodd	χ a v ɔ ð
chaiff	χ a i̯ f
chain	χ a i̯ n
chaint	χ a i̯ n t
chais	χ a i̯ s
chait	χ a i̯ t
chal	χ a l
chala	χ a l a
chalan	χ a l a n
chaled	χ a l ɛ d
chaledu	χ a l eː d i
chalenigion	χ a l ɛ n ɪ ɡ j ɔ n
chalennig	χ a l ɛ n ɪ ɡ
chaleted	χ a l ɛ t ɛ d
challio	χ a ɬ j ɔ
chalon	χ a l ɔ n
chambodia	χ a m b ɔ d j a
chambodiad	χ a m b ɔ d j a d
chambodiaid	χ a m b ɔ d j a i̯ d
chambodiaidd	χ a m b ɔ d j a i̯ ð
chamdreiglo	χ a m d r e i̯ ɡ l ɔ
chamerŵn	χ a m ɛ r uː n
chamlas	χ a m l a s
champion	t ʃ a m p j ɔ n
chana	χ a n a
chanada	χ a n a d a
chanadaidd	χ a n a d a i̯ ð
chanadiad	χ a n a d j a d
chanadiaid	χ a n a d j a i̯ d
chanes	χ a n ɛ s
chanfod	χ a n v ɔ d
chanfyddadwy	χ a n v ə ð a d ʊ i̯
changen	χ a ŋ ɛ n
chani	χ a n i
chanlyniad	χ a n l ə n j a d
chanlyniadau	χ a n l ə n j a d a i̯
chanolbarth	χ a n ɔ l b a r θ
chanolbarthau	χ a n ɔ l b a r θ a i̯
chanolradd	χ a n ɔ l r a ð
chansen	χ a n s ɛ n
chant	χ a n t
chantor	χ a n t ɔ r
chantorion	χ a n t ɔ r j ɔ n
chanu	χ a n i
chanwr	χ a n ʊ r
chanwyr	χ a n ʊ i̯ r
chapel	χ a p ɛ l
char	χ a r
chara	χ a r a
charafán	χ a r a v a n
charai	χ a r a i̯
charan	χ a r a n
charbon	χ a r b ɔ n
charchar	χ a r χ a r
charcharu	χ a r χ a r i
chardinal	χ a r d ɪ n a l
chardinaliaid	χ a r d ɪ n a l j a i̯ d
chared	χ a r ɛ d
chares	χ a r ɛ s
charet	χ a r ɛ t
chari	χ a r i
chariad	χ a r j a d
charo	χ a r ɔ
charreg	χ a r ɛ ɡ
charthen	χ a r θ ɛ n
charu	χ a r i
charwr	χ a r ʊ r
chas	χ aː s
chasglu	χ a s ɡ l i
chastell	χ a s d ɛ ɬ
chath	χ aː θ
chathod	χ a θ ɔ d
chatholig	χ a θ oː l ɪ ɡ
chato	χ a t ɔ
chaul	χ a i̯ l
chawl	χ a u̯ l
chawn	χ a u̯ n
chawod	χ a u̯ ɔ d
chaws	χ a u̯ s
chdi	χ d iː
cheffyl	χ ɛ f ɪ l
chefn	χ eː v ɛ n
chefnau	χ ɛ v n a i̯
chefnfor	χ eː v ɛ n v ɔ r
chegin	χ eː ɡ ɪ n
chei	χ e i̯
cheir	χ e i̯ r
cheisio	χ e i̯ s j ɔ
cheisiodd	χ e i̯ s j ɔ ð
cheith	χ e i̯ θ
chell	χ ɛ ɬ
chelyn	χ eː l ɪ n
chemeg	χ ɛ m ɛ ɡ
chenhinen	χ ɛ n h iː n ɛ n
cherdded	χ ɛ r ð ɛ d
cherddi	χ ɛ r ð i
cherddoriaeth	χ ɛ r ð ɔ r j a i̯ θ
cheri	χ eː r i
cherir	χ eː r ɪ r
cherrig	χ ɛ r ɪ ɡ
ches	χ eː s
chest	χ ɛ s t
chestyll	χ ɛ s d ɪ ɬ
chewch	χ ɛ u̯ χ
chi	χ iː
chibwts	χ ɪ b uː t s
chile	t ʃ ɪ l i
chimod	χ ɪ m ɔ d
chinio	χ ɪ n j ɔ
chist	χ ɪ s d
chithau	χ iː θ a i̯
chiwba	χ ɪ u̯ b a
chladdu	χ l a ð i
chlefyd	χ l eː v ɪ d
chloan	χ l oː a n
chloch	χ l oː χ
chlust	χ l ɪ s t
chlustdlws	χ l ɪ s d l ʊ s
chlwb	χ l ʊ b
chlwyfo	χ l ʊ i̯ v ɔ
chly	χ l iː
chlybiau	χ l ə b j a i̯
chlyw	χ l ɪ u̯
chlywed	χ l ə u̯ ɛ d
chlêr	χ l eː r
chnau	χ n a i̯
chneuen	χ n e i̯ ɛ n
chnoc	χ n ɔ k
chnoi	χ n ɔ i̯
chnwd	χ n uː d
choch	χ oː χ
chochlas	χ ɔ χ l a s
chodais	χ oː d a i̯ s
chodaist	χ oː d a i̯ s d
chodi	χ oː d i
chodoch	χ oː d ɔ χ
chododd	χ oː d ɔ ð
chodon	χ oː d ɔ n
choed	χ oː d
choeg	χ ɔ i̯ ɡ
chofio	χ ɔ v j ɔ
choginiais	χ ɔ ɡ ɪ n j a i̯ s
choginiaist	χ ɔ ɡ ɪ n j a i̯ s d
choginio	χ ɔ ɡ ɪ n j ɔ
choginioch	χ ɔ ɡ ɪ n j ɔ χ
choginiodd	χ ɔ ɡ ɪ n j ɔ ð
choginion	χ ɔ ɡ ɪ n j ɔ n
chogyddesau	χ ɔ ɡ ə ð ɛ s a i̯
cholli	χ ɔ ɬ i
cholombia	χ ɔ l ɔ m b j a
cholomen	χ ɔ l ɔ m ɛ n
chopa	χ ɔ p a
chor	χ ɔ r
chorea	χ ɔ r eː a
chorff	χ ɔ r f
chorn	χ ɔ r n
choronafeirws	χ ɔ r oː n a v e i̯ r ʊ s
chorrach	χ ɔ r a χ
chosyn	χ ɔ s ɪ n
chot	χ ɔ t
chowboi	χ o u̯ b ɔ i̯
chowbois	χ o u̯ b ɔ i̯ z
chrac	χ r a k
chraith	χ r a i̯ θ
christ	χ r ɪ s t
chroatia	χ r ɔ a t j a
chroes	χ r oː s
chroeso	χ r ɔ i̯ s ɔ
chrug	χ r iː ɡ
chrwban	χ r uː b a n
chrwth	χ r uː θ
chrwys	χ r ʊ ɪ̯ s
chrys	χ r iː s
chu	χ iː
chul	χ iː l
chusan	χ ɪ s a n
chusanau	χ ɪ s a n a i̯
chusanu	χ ɪ s aː n i
chut	χ ɪ t
chwa	χ w aː
chwadal	χ w a d a l
chwaer	w a i̯ r
chwaeth	χ w a i̯ θ
chwaethus	χ w e i̯ θ ɪ s
chwain	χ w a i̯ n
chwaith	χ w a i̯ θ
chwalfa	χ w a l v a
chwalu	χ w a l i
chwanegu	χ w a n eː ɡ i
chwannen	χ w a n ɛ n
chwannog	ʍ a n ɔ ɡ
chwant	χ w a n t
chwantus	χ w a n t ɪ s
chwarae	w a r ɛ
chwaraefa	χ w a r e i̯ v a
chwaraegar	χ w a r e i̯ ɡ a r
chwaraegarwch	χ w a r e i̯ ɡ a r ʊ χ
chwaraeon	χ w a r e i̯ ɔ n
chwaraewr	χ w a ɾ e i̯ ʊ r
chwarel	χ w a r ɛ l
chwarenglwyf	χ w a r ɛ ŋ ɡ l ʊ i̯ v
