aa	ɑː
loitern	l o i̯ tː ɐ n
lucki	l u kː i
lung	l u ŋ
lungan	l u ŋ ɐ n
låcha	l ɒː x ɐ
låchn	l ɔ x ŋ̩
lådn	l ɔː d n̩
låg	l ɔː ɡ̥
låmpn	l ɒ̃ m b̥ː ɱ̩
lånd	l ɒ̃ː n d̥
låssn	l ɔ s n̩
ma	m ɑ
maal	m a l
maasn	m ɑː s n̩
madl	m aː d̥ l̩
mah	m ɑ
mai	m a i̯
malad	m ɑ l ɑː d̥
manan	m ɑː n ɐ n
mari	m aː r i
marod	m ɑ r oː d̥
marün	m ɑ r yː n
masn	m ɑː s n̩
master	m ɑː s d̥ ɐ
mechtn	m e̞ x d̥ n̩
megn	m e̞ː ŋ
mei	m æː
meiner	m æː n ɐ
meisn	m æː s n̩
meu	m ɶː
mezzie	m e d̥ s iː
mia	m i ɐ̯
miachtln	m i ɐ̯ x d̥ l̩ n
miassn	m i ɐ̯ sː n̩
midwoch	m i d̥ v o̞ x
migga	m ɪ ɡ̊ ɐ
milli	m i l i
minga	m i ŋ ɐ
minutn	m i n uː d̥ n̩
mischn	m i ʃ n̩
mitfühn	m i d̥ f yː n
mitternåcht	m i d̥ː ɐ n ɔ x d̥
mittn	m i d̥ː n
mittåg	m i d̥ː ɔ ɡ̥
mo	m oː
moasta	m o ɐ̯ sː d̥ ɐ
moihn	m ɔ e̯ n
moin	m ɔ e̯ n
mondåg	m oː n d̥ ɔ ɡ̥
motorradl	m o d̥ ɔ ɐ̯ r ɑː d̥ l̩
muada	m u ɐ̯ d̥ ɐ
muadstrumm	m u ɐ̯ d̥ s d̥ r u m
muatta	m u ɐ̯ tː ɐ
muich	m u i̯ ç
murgn	m u ɐ ŋ
musi	m uː s i
må	m ɒ̃ː
måcha	m ɒː x ɐ
måchn	m ɔ x ŋ̩
mågn	m oː ŋ
måtschkern	m ɔ d̥ ʃ ɡ̥ ɐ n
mödn	m œː d̥ n̩
mödung	m œː d̥ u ŋ
möh	m œː
müch	m yː ç
naa	n ɑː
narrisch	n ɑˑ r i ʃ
nauf	n a u̯ f
naus	n a u̯ s
nebn	n eː m
ned	n eː d̥
nehman	n e̞ m ɐ n
neich	n a ɪ̯ x
nein	n æː n
net	n e d̥
netsch	n e d̥ ʃ
nia	n i ɐ̯
niachtern	n i ɐ̯ x t ɐ n
niatn	n i ɐ̯ d̥ː n̩
niederlåg	n iː d̥ ɐ l ɔː ɡ̥
nimmer	n i m ɐ
nix	n i k s
no	n o
noar	n ɔ ɐ̯
nudlaug	n u d̥ l̩ ɑ ɔ̯ ɡ̥
nutzviech	n u t s f iː ç
nå	n ɔ i̯
nåch	n ɔː x
nåcher	n ɔ x ɐ
nåchfün	n ɔː x f yː n
nåchmittåg	n ɔː x m i d̥ː ɔ ɡ̥
nåchsoizn	n ɔː x s ɔ e̯ d̥ s n̩
nåchspeis	n ɔ x ʃ b̥ æː s
nåcht	n ɔ x d̥
nåckert	n ɔ ɡ̥ ɐ d̥
någl	n ɔː ɡ̥ l̩
nåsn	n ɔˑ s n̩
nåss	n ɔ s
oa	o a̯
oachkatzl	ɔ ɐ χ kʰ ɑ d̥ s l̩
oachl	o a̯ x e
oans	ɔ ɐ̯ n s
oarg	ɔ ɐ̯ ɡ̥
oasch	ɔ ɐ̯ ʃ
oaschgrätzn	ɔ ɐ̯ ʃ ɡ̥ r e̞ː t͡s n̩
oaschgsicht	ɔ ɐ̯ ʃ ɡ̥ s i ç d̥
oaschkräuler	ɔ ɐ̯ ʃ ɡ̥ r ɶː l ɐ
oaschloch	ɔ ɐ̯ ʃ l ɔ χ
oaweitn	ɔ ɐ β ɑ ɛ̯ d̥ n̩
obrenna	oː b̥ r ɛ n ɐ
oid	ɔ e d̥
oida	ɔ e d̥ ɐ
ois	ɔ ɛ̯ s
oiter	ɔ e d̥ː ɐ
oiwei	ɔ ɛ̯ β ɑ ɛ̯
oransch	o r a n ʃ
packlrass	b̥ ɑ ɡ̊ l r ɑ s
pallawatsch	b̥ a l a β a d̥ ʃ
paläster	p a l ɛ s t a
palästern	p a l ɛ s t aː n
panier	b̥ ɑ n iː ɐ̯
paniern	b̥ ɑ n iː ɐ̯ n̩
paradeis	b̥ ɑ r ɑ d̥ æː s
paradeiser	b̥ ɑ r ɑ d̥ æː s ɐ
paradeisåpfe	b̥ ɑ r ɑ d̥ æː s ɔ b̥ː f œ
passn	b̥ ɑ s n̩
pedasü	b̥ ɛ d̥ ɐ s yː
pempern	b̥ ɛ m p ɐ n
pferd	b̥ f ɛ ɐ̯ d̥
pfinzda	p͡f i n t͡s d̥ ɐ
pflanzn	b̥ f l ɑ n d̥ s n̩
pfurz	p f ʊ ɐ̯ t s
pfurzn	p f ʊ ɐ̯ t s n̩
pick	b̥ i ɡ̥ː
pickig	b̥ i ɡ̥ i ɡ̥
pickn	b̥ i ɡ̥ː ɴ̩
picksiaß	b̥ i ɡ̥ː s i ɐ̯ s
pipn	b̥ i b̥ m̩
pischn	b̥ i ʃ n̩
pitschn	b̥ i d̥ ʃ n̩
plutzer	b̥ l u d̥ s ɐ
plågn	b̥ l ɔː ŋ
plåttn	b̥ l ɔ d̥ː n̩
poin	p ɔ ɪ n
popsch	b̥ o̞ b̥ ʃ
pracker	b̥ r ɑ ɡ̥ː ɐ
prackn	b̥ r ɑ ɡ̥ː ŋ
pråtzn	b̥ r ɔ d̥ s n̩
pudern	b̥ uː d̥ ɐ n
puffn	b̥ u f ɱ̩
puiver	b̥ u e ʋ ɐ
pumperer	b̥ u m b̥ː ɐ r ɐ
pumperlgsund	b̥ u m b̥ː ɐ l ɡ̥ s u n d̥
pumpern	b̥ u m b̥ː ɐ n
påscher	b̥ ɔ ʃ ɐ
påtschert	b̥ ɔ d̥ ʃ ɐ d̥
påtschn	b̥ ɔˑ d̥ ʃ n̩
påår	b̥ ɔ ɐ̯
pücher	b̥ yː ç ɐ
pülcher	b̥ yː ç ɐ
radl	r aː d̥ l̩
raffa	r a fː ɐ
rafn	r ɑ f ɱ̩
rama	r a m a
rass	r à s s
ratschn	r ɑː d̥ ʃ n̩
reahrl	r ɛ ɐ l
rearn	r e̞ ɐ̯ n
reckn	r e̞ ɡ̥ː ŋ̩
redn	r eː n
regn	r eː ŋ
regna	r e̞ː ŋ ɐ
regnan	r e̞ː ŋ ɐ n
reichn	r æː ç ɴ̩
reidig	r æː d ɪ k
reisn	r æː s n̩
reißn	r æː sː n̩
rengschburg	r e ŋ ʃ b̥ u ɐ̯ ɡ̊
rennan	r e̞ n ɐ n
rennradl	r e̞ n r ɑː d̥ l̩
ressl	r e sː l̩
riarn	r i ɐ̯ n
ribisl	r i b̥ i s l̩
richtn	r i ç d̥ː n̩
rindsbråtn	r i n d̥ s b̥ r ɔ d̥ n̩
ringlgspü	r i ŋ l̩ ɡ̥ ʃ b̥ yː
ringlspü	r i ŋ l̩ ʃ b̥ yː
roas	r o ɐ̯ s
roasn	r o ɐ̯ s n̩
rod	r o u̯ d̥
roin	r o e̯ n
rosa	r oː s ɐ
rosn	r o u̯ z n̩
rotzpipn	r o d̥͡s b̥ i b̥ː m̩
roud	r o u̯ d̥
roß	r o s
ruafn	r u ɐ f ɱ̩
ruah	r u ɐ
ruam	r ʊ ɐ m
ruckn	r u ɡ̥ː ŋ̩
råd	r ɔː d̥
rånd	r ɒ̃ː n d̥
råtz	r ɔ d̥ s
sabotage	s ɑ b̥ o d̥ ɑː ʃ
sackl	s ɑ ɡ̥ l̩
sacklpicker	s ɑ ɡ̥ː l̩ b̥ i ɡ̥ː ɐ
saf	s ɑː f
saftln	s ɑ f d̥ l̩ n
salettl	s ɑ l e̞ d̥ː l̩
samma	s a m ɐ
samsda	s ɔ m s d̥ ɐ
sandler	s ɑː n d̥ l ɐ
sandln	s ɑ n d̥ l̩ n
sau	s ɑ ɔ̯
saufa	s a u̯ f ɐ
saufn	s ɑ ɔ fː ɴ̩
schaman	ʃ ɑː m ɐ n
schandamarie	ʃ ɑ n d ɐ m ɑ r iː
schandi	ʃ ɑ n d i
schas	ʃ ɑː s
schasln	ʃ ɑː s l n̩
schaugn	ʃ ɑ ɔ̯ ŋ
schaun	ʃ ɑ ɔ̯ n
scheangln	ʃ ɛ ɐ̯ ŋ l̩ n
schedl	ʃ eː d l̩
schee	ʃ eː
scheibtruchn	ʃ a ɛ̯ b̥ː d̥ r u χ ŋ
scheißn	ʃ æː s n̩
schejßn	ʃ e i̯ s n̩
schelln	ʃ e i̯ n
schiabn	ʃ i ɐ m
schiach	ʃ i ɐ̯ x
schiagln	ʃ i ɐ̯ ɡ̥ l̩ n
schiaßn	ʃ i ɐ̯ s n̩
schichtradl	ʃ i ç d̥ r ɑː d̥ l̩
schimpl	ʃ i m b̥ː l̩
schimpln	ʃ i m b̥ː l̩ n
schinakl	ʃ i n ɑ ɡ̥ː l̩
schissl	ʃ i s l̩
schittn	ʃ i d̥ː n̩
schlapfa	ʃ l ɑ b̥ ʃ ɐ
schlapfn	ʃ l ɑ b̥ ʃ ɱ̩
schlatzn	ʃ l ɑ d̥ s n̩
schleichn	ʃ l æː ç ɴ̩
schlissl	ʃ l i s l̩
schlåffa	ʃ l ɒ fː ɐ
schlåfn	ʃ l ɔ f ɱ̩
schlåg	ʃ l ɔː ɡ̥
schlågn	ʃ l ɔː ŋ
schlågobers	ʃ l ɔ ɡ̥ o β ɐ s
schlåmpert	ʃ l ɒ̃ m b̥ː ɐ d̥
schlångan	ʃ l ɒ̃ ŋ ɐ n
schmattes	ʃ m ɑ t ɛ s
schmeißn	ʃ m a i̯ sː n̩
schmoan	ʃ m ɔ ɐ n
schmoi	ʃ m ɔ e
schmäh	ʃ m e̞ː
schmårrn	ʃ m ɒ r n
schnapsidee	ʃ n ɔ p s i t ɛ
schneck	ʃ n e̞ ɡ̥ː
schneckn	ʃ n e̞ ɡ̥ː ŋ
schnee	ʃ n ɛ i̯
schneibn	ʃ n æː m
schneidn	ʃ n æː n̪ː
schniarn	ʃ n i ɐ̯ n
schnoacha	ʃ n ɔ ɐ̯ x ɐ
schnoachn	ʃ n ɔ ɐ̯ x ŋ
schnåbl	ʃ n oː b̥ l̩
schnö	ʃ n œː
schof	ʃ ɔː f
schoin	ʃ ɔ e n
schoitn	ʃ ɔ e̯ d̥ː n̩
schoklad	ʃ o̞ ɡ̥ l ɑː d̥
schori	ʃ oː r i
schorsch	ʃ o ɐ̯ ʃ
schouf	ʃ ɔ u̯ f
schragl	ʃ r ɑː ɡ̥ l̩
schragn	ʃ r ɑː ɡ̥ n̩
schreibn	ʃ r æː m
schuach	ʃ ʊ ɐ χ
schucherl	ʃ u x ɐ l
schui	ʃ u e
schuid	ʃ u e d̥
schuiter	ʃ u e d̥ː ɐ
schul	ʃ uː l
schupfn	ʃ u b̥ f ɱ̩
schurl	ʃ u ɐ̯ l
schurli	ʃ u ɐ̯ l i
schwaar	ʃ ʋ aː
schwammerl	ʃ v ɑ m ɐ l
schwar	ʃ ʋ aː
schweinsbråtn	ʃ v ɑ ɛ̯ n s b̥ r ɔ d̥ n̩
schweißln	ʃ v æː s l̩ n
schwesta	ʃ β e s t ɐ
schwoarz	ʃ β o ɐ̯ t͡s
schwåch	ʃ v ɔ x
schwåmm	ʃ v ɒ̃ m
schåd	ʃ ɔ d̥
schåf	ʃ oː f
schåffn	ʃ ɔ f ɱ̩
schånd	ʃ ɒ̃ː n d̥
schön	ʃ œː n
seas	s e̞ ɐ̯ s
sechs	s e ɡ̊ s
sechser	s e̞ ɡ̥ s ɐ
see	s ɛ i̯
segn	s e̞ː ŋ
sei	s æː
seid	s æː d̥
seiner	s æː n ɐ
seitn	s a i̯ t n̩
sekundn	s e̞ ɡ̥ u n d̥ n̩
sepp	s ɛ p
servas	s e̞ ɐ̯ v ɑ s
serviettn	s e̞ ɐ̯ v j e̞ d̥ː n̩
servus	s e̞ ɐ̯ v u s
setzn	s e̞ d̥ s n̩
siaß	s i ɐ̯ s
siaßn	s i ɐ̯ sː n̩
sie	s i
siebaner	s iː β ɐ n ɐ
siebm	s iː m
singa	s i ŋ ɐ
sitzn	s i d̥ s n̩
soatn	s o ɐ̯ t n̩
sogn	s oː ŋ
sogår	s o̞ ɡ̥ ɔ ɐ̯
soiz	s ɔ e̯ d̥ s
soizn	s ɔ e̯ d̥ s n̩
spad	ʃ b̥ aː d̥
spechtler	ʃ b̥ e̞ ç d̥ l̩ ɐ
spechtln	ʃ b̥ e̞ ç d̥ l̩ n
spechtn	ʃ b̥ e̞ ç d̥ l n̩
speibm	ʃ b̥ æː m
speibn	ʃ b̥ æː m̩
speis	ʃ b̥ æː s
spiagl	ʃ b̥ i ɐ̯ ɡ̥ l̩
spiarn	ʃ b̥ i ɐ̯ n
spinna	ʃ b̥ i n ɐ
spitoi	ʃ b̥ i d̥ː ɔ e
språch	ʃ b̥ r ɔ χ
spuin	ʃ b̥ u i̯ n
spåd	ʃ b̥ ɔː d̥
spåtz	ʃ b̥ ɔː d̥ s
spün	ʃ b̥ yː n
staa	ʃ d̥ ɑː
stad	ʃ d̥ ɑˑ d̥
stampern	ʃ d̥ ɑ m b̥ː ɐ n
stanitzl	ʃ d̥ ɑː n i d̥ s l̩
stanzn	ʃ d̥ ɑ n d̥ː s n̩
stearn	ʃ d̥ e̞ ɐ̯ n
steh	ʃ d̥ eː
steinderl	ʃ d̥ æː n d̥ ɐ l
steindl	ʃ d̥ æː n d̥ l̩
sterbn	ʃ d̥ ɛ ɐ̯ m
stessn	ʃ d̥ ɛ sː n̩
stiagn	ʃ d̥ i ɐ ŋ
stick	ʃ d̥ i ɡ̥
stierln	ʃ d̥ i ɐ̯ l n̩
stimm	ʃ d̥ i m
stimman	ʃ d̥ i m ɐ n
stinga	ʃ d̥ i ŋ ɡ ɐ
stinkert	ʃ d̥ i ŋ ɡ̥ː ɐ d̥
stinkn	ʃ d̥ i ŋ ɡ̥ ɴ̩
stitzn	ʃ d̥ i d̥ s n̩
stitzradl	ʃ d̥ i d̥ s r ɑː d̥ l̩
stoa	ʃ d̥ o a̯
strafn	ʃ d̥ r ɑː f ɱ̩
strankalan	ʃ d̥ r ɑ ŋ ɡ̥ː ɐ l ɑ n
strawanzn	ʃ d̥ r ɑ β ɑ n t s n̩
stråfn	ʃ d̥ r ɔː f ɱ̩
stråßn	ʃ d̥ r ɔː s n̩
stund	ʃ d̥ u n d̥
stådt	ʃ d̥ ɔ d̥
stångan	ʃ d̥ ɒ̃ː ŋ ɐ n
stårk	ʃ d̥ ɔ ɐ̯ ɡ̥
stått	ʃ d̥ ɔ d̥
stö	ʃ d̥ œː
stöhn	ʃ d̥ œː n
stön	ʃ t œ n
suacha	s u ɐ x ɐ
suachn	s u ɐ x ŋ
suiber	s u i̯ β ɐ
summer	s u m ɐ
sun	s u n
sundåg	s u n d̥ ɔ ɡ̥
sunnda	s u n d̥ ɐ
suppn	s u b̥ː ɱ̩
surg	s u ɐ̯ ɡ̥
surgn	s u ɐ̯ ŋ
säi	s ə i̯
såch	s ɔ x
såft	s ɔ f d̥
såg	s ɔː ɡ̊
sågn	s oː ŋ
såmsdåg	s ɒ̃ m s d̥ ɔ ɡ̥
sånd	s ɒ̃ː n d̥
såtz	s ɔ d̥ s
söbe	s œ β e̞
söber	s œ β ɐ
süber	s y β ɐ
süwa	s y β ɐ
süwer	s y β ɐ
taag	d̥ ɑː ɡ̥
tackn	d̥ ɑ ɡ̥ː ɴ̩
tamma	d̥ ɑ m ɐ
tand	d̥ a n d̥
tandler	d̥ a n d̥ l ɐ
taugn	d̥ ɑ ɔ̯ ŋ
tee	d̥ ɛː
teier	d̥ æː ɐ
teifl	d̥ a ɛ̯ f l
teschek	d̥ e̞ ʃ e̞ k
tia	d̥ iː ɐ̯
tier	d̥ iː ɐ̯
tocker	d̥ ɔ ɡ̥ː ɐ
todln	d̥ oː d l̩ n
topfn	d̥ o b̥ f m̩
trauminet	d̥ r ɑ ɔ̯ m i n ɛ d̥
treffn	d̥ r e̞ f n̩
trennan	t r e̞ n ɐ n
tretn	d̥ r eː d̥ n̩
tretradl	d̥ r e d̥ r ɑː d̥ l̩
trickern	d̥ r i ɡ̥ː ɐ n
trinkn	d̥ r i ŋ ɡ̥ː ŋ
trumm	d̥ r u m
trutschn	d̥ r u d̥ ʃ n̩
trågn	d̥ r oː ŋ
tscheafl	d̥ ʃ e̞ ɐ f l̩
tschecherl	d̥ ʃ e̞ x ɐ l
tschesn	d̥ ʃ e̞ː s n̩
tschocherl	d̥ ʃ o̞ x ɐ l
tuan	d̥ u ɐ̯ n
tuatn	d̥ ʊ ɐ d̥ː n̩
tummln	d̥ u m l̩ n
täuln	d̥ ɶ ɫ n̩
tåg	d̥ ɔ ɡ̥
tånz	d̥ ɒ̃ n d̥͡s
tånzn	d̥ ɒ̃ː n d̥ s n̩
uawaschl	uː ɐ̯ v a ʃ l̩
ukraine	u k r a iː n ə
umadum	u m ɐ d̥ u m
umfün	u m f yː n
umma	u mː ɐ
umme	u mː ɛ
ummi	u mː i
und	u n t
unterflack	u n d̥ ɐ f l ɑ ɡ̥
unterflak	u n d̥ ɐ f l ɑ ɡ̥
ur	u ɐ̯
urblaad	u ɐ̯ b̥ l ɑː d̥
urblad	u ɐ̯ b̥ l ɑː d̥
urdeppert	u ɐ̯ d̥ ɛ b̥ː ɐ d̥
urdnung	u ɐ d̥ n u ŋ
urfad	u ɐ̯ f ɑː d̥
urguad	u ɐ̯ ɡ̥ u ɐ̯ d̥
urkla	u ɐ̯ ɡ̥ l ɑː
urklaa	u ɐ̯ ɡ̥ l ɑː
urkoid	u ɐ̯ kʰ ɔ e d̥
uroid	u ɐ̯ ɔ e d̥
urschiach	u ɐ̯ ʃ i ɐ̯ x
ursåch	u ɐ̯ s ɔ x
ursåchn	u ɐ̯ s ɔ x ɴ̩
urteier	u ɐ̯ d̥ æː ɐ
vadda	f ɒ t a
vej	f e i̯
verliern	f ɐ l iː ɐ̯ n̩
vernådern	f ɐ n ɔː d̥ ɐ n
verruckt	f ɐ r u ɡ̥ d̥
versiaßn	f ɐ s i ɐ̯ sː n̩
versoizn	f ɐ s ɔ e̯ d̥ s n̩
versteh	f ɐ ʃ d̥ eː
versåger	f ɑ s ɔ ɡ̥ ɐ
vertrickern	f ɐ d̥ r i ɡ̥ː ɐ n
viech	f iː ç
viechdokta	f iː ç d̥ o k t ɐ
vier	f i ɐ̯
vierer	f i ɐ̯ r ɐ
vif	v i f
violett	f i o l ɛ t
visage	ʋ i s aː ʃ
vo	f oː
voda	f ɔː d̥ ɐ
vogl	f oː ɡ̊ l̩
voi	f o e
voifün	f o e f yː n
voik	f o e ɡ̥ː
vuamittåg	f u ɐ̯ m i d̥ː ɔ ɡ̥
vuaspeis	f u ɐ̯ ʃ b̥ æː s
vui	f u i̯
våttan	f ɔ d̥ ɐ n
vü	f ʏ
waach	v ɑː x
waar	β aː
wach	v ɑː x
wadl	v ɑː d̥ l̩
wappler	v ɑ b̥ː l ɐ
war	ʋ aː
waschln	v ɑ ʃ l̩ n
waschlnåss	v a ʃ l̩ n ɒ s
wassa	v ɔ sː a
wast	β a s t
watschn	v aː d̥ ʃ n̩
wean	v e̞ ɐ̯ n
weckerl	v e ɡ̥ː ɐ l
weckn	v e ɡ̥ː ŋ
wegn	ʋ eː ŋ
weh	v eː
wei	v ɑ ɛ̯
weiß	v æː s
weng	ʋ e ŋ
weps	β ɛ b̥ s
wepsn	v e b̥ s n̩
wergln	β e ɐ̯ ɡ̊ l̩ n
wia	v i ɐ̯
wickl	v i ɡ̥ː l̩
wickln	v i ɡ̥ː l̩ n
wieder	v i d̥ ɐ
wien	ʋ iː n
wiesn	v iː s n̩
wind	v i n d̥
windradl	v i n d̥ r ɑː d̥ l̩
winschn	v i n ʃ n̩
wirkle	v i ɐ ɡ̥ l e̞
wirkli	v i ɐ ɡ̥ l e̞
wischn	v i ʃ n̩
wissen	v i s n̩
wissn	v i sː n̩
wo	v oː
woach	v ɑː x
woana	ʋ o ɐ̯ n ɐ
woar	v ɔ ɐ̯
woatn	v ɔ ɐ̯ d̥ n̩
wochn	v o̞ˑ x ɴ̩
woi	v o e
woid	v o̞ e d̥
woif	v o̞ e f
woifühn	v o e f yː n
woikn	v o e ɡ̥ː ŋ̩
woin	v o̞ e n
woiwodschoft	v ɔ ɪ v oː d ʃ ɔ f t
wos	v ɔː s
wossa	v ɔ sː a
wuascht	v u ɐ ʃ d̥
wurscht	v u ɐ ʃ d̥
wurt	v ʊ ɐ d̥
wäu	v ɶː
wåch	v ɒ x
wåchs	v ɔ ɡ̥ s
wåchsn	v ɔ ɡ̥ s n̩
wåffn	w ɔ fː ɱ̩
wåg	v ɔː ɡ̥
wågn	ʋ oː ŋ
wåmpert	v ɒ̃ m b̥ː ɐ d̥
wåmpn	v ɒ̃ m b̥ː m̩
wånd	w ɒ̃ n d̥
wånn	v ɒ̃ n
wår	v ɒː
wårm	v ɔ ɐ̯ m
wås	v ɔː s
wåschn	v ɔ ʃ n̩
wåsser	β ɒ sː ɐ
wöd	v œː d̥
wöhn	v œː n
wüd	v yː d̥
z'Fleiß	t͡s f l a ɛ̯ s
z'haus	t͡s ɑ ɔ̯ s
zaach	t͡s ɑː x
zach	t͡s ɑː x
zager	t͡s aː ɡ̥ ɐ
zagn	d̥ s ɑː ŋ
zamm	t s ɒ m
zawås	d̥ s ɐ β ɔ s
zeascht	t͡s ɛ ɐ̯ ʃ d̥
zechn	t s eː ç ŋ
zehn	t͡s e ɐ̯
zeid	d̥ s æː d̥
zerscht	t͡s ɛ ɐ̯ ʃ d̥
zezn	t͡s e t͡s n̩
ziagn	t͡s i ɐ̯ ŋ
zindln	d̥ s i n d l̩ n
zindn	d̥ s i n d̥ n̩
zletzt	t͡s l e̞ t͡s d̥
zniachtl	t͡s n iː ɐ ç d̥ l̩
zoagn	d̥ s ɔ ɐ̯ ŋ
zoin	d̥ s ɔ e n
zores	t͡s o ɐ̯ r ɛ s
zruck	d̥ s r u ɡ̥ː
zuadrahn	t͡s u ɐ̯ d̥ r ɑː n
zuafoi	d̥ s u ɐ̯ f ɔ e
zuan	d̥ s u ɐ̯ n
zund	t͡s u n d̥
zung	t s u ŋ
zurn	d̥ s u ɐ̯ n
zuwa	t͡s uˑ β ɐ
zuwe	t͡s uˑ β ɛ
zuwi	t͡s uˑ β i
zuzln	t͡s uː t͡s l̩ n
zwaa	t͡s v ɑː
zwarer	d̥ s v aː r ɐ
zwejf	d̥ s v ɛ e f
zwider	t͡s v iː d̥ ɐ
zwiefe	t͡s v iː β ɛ
zwiewe	t͡s v iː β ɛ
zwischen	t͡s β i ʃ n̩
zwoa	t͡s β ɔ ɐ̯
zwöfe	d̥ s v œː f ɛ
zwööf	d̥ s v œː f
zähnt	d̥ s e̞ː n d̥
zåhn	d̥ s ɒ̃ː n
zåhnradl	d̥ s ɒ̃ː n r ɑː d̥ l̩
zåmm	d̥ s ɒ̃ m
zåmmbringa	d̥ s ɒ̃ m b̥ r i ŋ ɐ
zåmmessn	d̥ s ɒ̃ m e sː n̩
zåmmfressn	d̥ s ɒ̃ m f r e sː n̩
zåmmredn	d̥ s ɒ̃ m r eː n
zåmmscheißn	d̥ s ɒ̃ m ʃ æː s n̩
zårt	t͡s ɔ a̯ t
zöhn	d̥ s œː n
zün	t͡s yː n
åbend	ɒ̃ː m b̥ d̥
åbrenna	ɒ̃ː b̥ r ɛ n ɐ
åcht	ɔ x t
åchter	ɔ x d̥ ɐ
ådrahn	ɔ d̥ r ɑː n
ådraht	ɔ d̥ r ɑː d̥
åff	ɔ f
åfäuln	ɒ̃ː f ɶː n
åfånga	ɒ̃ː f ɒ̃ ŋ ɐ
åfühn	ɒ̃ː f yː n
åfün	ɒ̃ː f yː n
ågriat	ɒ̃ː ɡ̥ r iː ɐ̯ d̥
ågråsl	ɔ ɡ̥ r ɔ s l̩
ågråsln	ɔ ɡ̥ r ɔ s l̩ n
åhaun	ɒ̃ː h ɒː n
åi	ɔ e̯
åkragln	ɔː ɡ̥ r ɑ ɡ̥ l̩ n
ålassig	ɒ̃ː l ɑ s i ɡ̥
ållawäu	ɔ l ɐ β ɑ ɛ̯
åm	ɒ̃ m
åmasn	ɒ̃ˑ m ɑː s n̩
åmeisn	ɒ̃ˑ m æː s n̩
ångscht	ɔ ŋ ɡ̥ ʃ d̥
ångst	ɒ̃ː ŋ ɡ̥ s d̥
åpfe	ɔ b̥ː f œ
årian	ɒ̃ː r iː ɐ̯ n
årt	ɔ ɐ̯ t
årwatn	o ɐ̯ β ɐ n
årzt	ɔ ɐ d̥ s d̥
åtmen	ɔ d̥ m ɐ n
åwa	ɒː ʋ ɐ
åwe	ɔː β̞ ɛ
åwi	ɔː β̞ e
öfe	œː f ɛ
ös	e s
östareich	øː s t ɐ ʁ a ɪ̯ ç
öß	e s
ööbogn	œː b̥ o̞ː ŋ
ööf	œː f
öön	œː n
öönbogn	œː n b̥ o̞ː ŋ
