aba	a b a
dekan	ɟ e k a n
dekapitácia	d e k a p i t aː t͡s i a
deklarovať	ɟ e k l a r ɔ v a c
deklarácia	d e k l a r aː t͡s i a
dekolonizovanie	d e k ɔ l ɔ n i z ɔ v a ɲ ɪ̯ e
dekolonizovať	ɟ e k ɔ l ɔ ɲ i z ɔ v a c
dekolonizácia	d e k ɔ l ɔ n i z aː t͡s i a
dekýš	ɟ e k iː ʃ
delaware	ɟ e l a v a r
delegácia	d e l e ɡ aː t͡s i a
delfinárium	d e l f i n aː r i u m
delfín	d e l f iː n
delia	ɟ e ʎ ɪ̯ a
delil	ɟ e ʎ i l
delila	ɟ e ʎ i l a
delič	ɟ e ʎ i t͡ʃ
deliť	ɟ e ʎ i c
delí	ɟ e ʎ iː
demarkácia	d e m a r k aː t͡s i a
demeter	d e m e t e r
demeš	ɟ e m e ʃ
demikát	d e m i k aː t
demilitarizovať	d e m i l i t a r i z ɔ v a c
demilitarizácia	d e m i l i t a r i z aː t͡s i a
deminutívum	ɟ e m i n u t iː v u m
demjanič	ɟ e m j a ɲ i t͡ʃ
demko	ɟ e m k ɔ
demografia	d e m ɔ ɡ r a f i a
demokracia	d e m ɔ k r a t͡s i a
demokratický	d e m ɔ k r a t i t͡s k iː
demokratizovať	d e m ɔ k r a t i z ɔ v a c
demokratizácia	d e m ɔ k r a t i z aː t͡s i a
demonštrácia	d e m ɔ n ʃ t r aː t͡s i a
demovič	ɟ e m ɔ v i t͡ʃ
dendrológia	d e n d r ɔ l ɔː ɡ i a
denis	d ɛ n i s
denisa	ɟ e ɲ i s a
denne	ɟ e n ɲ e
denník	ɟ e n ɲ iː k
denný	ɟ ɛ n n iː
denominatívum	d e n ɔ m i n a t iː v u m
denominácia	d e n ɔ m i n aː t͡s i a
denver	ɟ e n v e r
depo	ɟ e p ɔ
deportovať	ɟ e p ɔ r t ɔ v a c
deprivácia	d e p r i v aː t͡s i a
deregulácia	d e r e ɡ u l aː t͡s i a
dereš	ɟ e r e ʃ
derivatológia	d e r i v a t ɔ l ɔː ɡ i a
dermatológia	d e r m a t ɔ l ɔː ɡ i a
derviš	d e r v i ʃ
dervišský	ɟ e r v i ʃ s k iː
desať	ɟ e s a c
desaťboj	ɟ e s a ɟ b ɔ j
desaťsten	ɟ e s a t͡sː c e n
desaťtisíci	ɟ e s a cː i s iː t͡s i
desiata	ɟ e s ɪ̯ a t a
desiati	ɟ e s ɪ̯ a c i
desiatich	ɟ e s ɪ̯ a c i x
desiatim	ɟ e s ɪ̯ a c i m
desiatimi	ɟ e s ɪ̯ a c i m i
desiaty	ɟ e s ɪ̯ a t i
despotický	ɟ e s p ɔ c i t͡s k iː
despotizmu	d e s p ɔ t i z m u
despotizmus	d e s p ɔ t i z m u s
destabilizovanie	d e s t a b i l i z ɔ v a ɲ ɪ̯ e
destabilizovať	ɟ e s t a b i ʎ i z ɔ v a c
destabilizácia	d e s t a b i l i z aː t͡s i a
destilát	d e s t i l aː t
detailný	d e t a j l̩ n iː
determinant	d e t e r m i n a n t
determinácia	d e t e r m i n aː t͡s i a
deti	ɟ e c i
detské	ɟ e t͡s k eː
detský	ɟ e t͡s k iː
detstvo	ɟ e t͡s t v ɔ
detto	d e tː ɔ
detvai	d e t v a j
detí	ɟ ɛ c iː
deva	ɟ e v a
devastácia	d e v a s t aː t͡s i a
deverbatívum	d e v e r b a t iː v u m
deviati	ɟ e v ɪ̯ a c i
deviatich	ɟ e v ɪ̯ a c i x
deviatim	ɟ e v ɪ̯ a c i m
deviatimi	ɟ e v ɪ̯ a c i m i
deviaty	ɟ e v ɪ̯ a t i
deviel	ɟ e v ɪ̯ e l
devla	ɟ e v l a
devly	ɟ e v l i
devätnásti	ɟ e v æ t n aː s c i
devätnástich	ɟ e v æ t n aː s c i x
devätnástim	ɟ e v æ t n aː s c i m
devätnástimi	ɟ e v æ t n aː s c i m i
devätnásty	ɟ e v æ t n aː s t i
devätnásť	ɟ e v æ t n aː s c
deväť	ɟ e v æ c
deväťdesiat	ɟ e v æ ɟː e s ɪ̯ a t
deväťdesiaty	ɟ e v æ ɟː e s ɪ̯ a t i
deväťsil	ɟ e v æ t͡sː i l
deväťsto	ɟ e v æ t͡sː t ɔ
deväťstý	ɟ e v æ t͡sː t iː
devínskonovoveský	ɟ e v iː n s k ɔ n ɔ v ɔ v e s k iː
devínskonovovešťan	ɟ e v iː n s k ɔ n ɔ v ɔ v e ʃ c a n
devínskonovovešťanka	ɟ e v iː n s k ɔ n ɔ v ɔ v e ʃ c a n k a
dezertér	d e z e r t eː r
dezertérsky	d e z e r t eː r s k i
dezider	d e z i d e r
deň	ɟ e ɲ
deško	ɟ e ʃ k ɔ
dešpekt	d e ʃ p e k t
deštrukcia	d e ʃ t r u k t͡s i a
deštruktívnosť	ɟ e ʃ t r u k c iː v n ɔ s c
deštruktívny	ɟ e ʃ t r u k c iː v n i
deťmi	ɟ e c m i
deťoch	ɟ e c ɔ x
dežo	d ɛ ʒ ɔ
dháka	d ɦ aː k a
diabetický	d i a b e t i t͡s k iː
diabol	ɟ ɪ̯ a b ɔ l
diagnostický	d i a ɡ n ɔ s t i t͡s k iː
diagonálne	d i a ɡ ɔ n aː l ɲ e
diagonálny	d i a ɡ ɔ n aː l n i
diakon	d i a k ɔ n
diakonka	d i a k ɔ n k a
dialektický	d i a l e k t i t͡s k iː
dialektizmus	d i a l e k t i z m u s
dialektizmy	d i a l e k t i z m i
dialektológia	d i a l e k t ɔ l ɔː ɡ i a
diamant	d i a m a n t
diana	d i a n a
diaľka	ɟ ɪ̯ a ʎ k a
diaľkový	ɟ ɪ̯ a ʎ k ɔ v iː
diaľnica	ɟ ɪ̯ a ʎ ɲ i t͡s a
dibák	ɟ i b aː k
dichotómia	d i x ɔ t ɔː m i a
didaktický	ɟ i d a k c i t͡s k iː
didek	d i d e k
dido	d i d ɔ
diel	ɟ ɪ̯ e l
dielektrický	d i e l e k t r i t͡s k iː
dielo	ɟ i̯ ɛ ɫ ɔ
diera	ɟ ɪ̯ e r a
dietovať	d i e t ɔ v a c
dievka	ɟ ɪ̯ e v k a
dievča	ɟ ɪ̯ e v t͡ʃ a
dievčat	ɟ ɪ̯ e v t͡ʃ a t
dievčati	ɟ ɪ̯ e v t͡ʃ a c i
dievčatá	ɟ ɪ̯ e v t͡ʃ a t aː
dievčaťa	ɟ ɪ̯ e v t͡ʃ a c a
dievčaťom	ɟ ɪ̯ e v t͡ʃ a c ɔ m
dievčaťu	ɟ ɪ̯ e v t͡ʃ a c u
dievčencami	ɟ ɪ̯ e v t͡ʃ e n t͡s a m i
dievčence	ɟ ɪ̯ e v t͡ʃ e n t͡s e
dievčencoch	ɟ ɪ̯ e v t͡ʃ e n t͡s ɔ x
dievčencom	ɟ ɪ̯ e v t͡ʃ e n t͡s ɔ m
dievčeniec	ɟ ɪ̯ e v t͡ʃ e ɲ ɪ̯ e t͡s
dievčenský	ɟ ɪ̯ e v t͡ʃ e n s k iː
dievčinka	ɟ i̯ ɛ u̯ t͡ʃ i ŋ k a
dieťa	ɟ ɪ̯ e c a
dieťati	ɟ ɪ̯ e c a c i
dieťaťa	ɟ ɪ̯ e c a c a
dieťaťom	ɟ ɪ̯ e c a c ɔ m
dieťaťu	ɟ ɪ̯ e c a c u
dieža	ɟ ɪ̯ e ʒ a
diežka	ɟ ɪ̯ e ʃ k a
digitalizácia	d i ɡ i t a l i z aː t͡s i a
digoň	ɟ i ɡ ɔ ɲ
dikoš	ɟ i k ɔ ʃ
diktafón	d i k t a f ɔː n
diktafónu	ɟ i k t a f ɔː n u
diktát	d i k t aː t
diktátorský	ɟ i k t aː t ɔ r s k iː
dilino	ɟ i ʎ i n ɔ
dingo	d i n ɡ ɔ
dingovia	d i n ɡ ɔ v ɪ̯ a
dinosaurus	d i n ɔ s a u r u s
dionýz	d i o n iː s
diplomacia	d i p l ɔ m a t͡s i a
diplomatický	ɟ i p l ɔ m a c i t͡s k iː
dirgas	ɟ i r ɡ a s
diskografia	d i s k ɔ ɡ r a f i a
diskreditovanie	d i s k r e d i t ɔ v a ɲ ɪ̯ e
diskreditovať	ɟ i s k r e ɟ i t ɔ v a c
diskriminácia	d i s k r i m i n aː t͡s i a
diskvalifikovanie	d i s k v a l i f i k ɔ v a ɲ ɪ̯ e
diskvalifikovať	ɟ i s k v a ʎ i f i k ɔ v a c
diskvalifikácia	d i s k v a l i f i k aː t͡s i a
diskár	d i s k aː r
diskárka	ɟ i s k aː r k a
dislokácia	d i z l ɔ k aː t͡s i a
disneyovka	d i z n i ɔ v k a
disonancia	d i z ɔ n a n t͡s i a
dita	d i t a
diva	d i v a
divadlo	ɟ i v a d l ɔ
divergencia	d i v e r ɡ e n t͡s i a
diverzita	d i v e r z i t a
diviackonovovešťan	ɟ i v ɪ̯ a t͡s k ɔ n ɔ v ɔ v e ʃ c a n
diviackonovovešťanka	ɟ i v ɪ̯ a t͡s k ɔ n ɔ v ɔ v e ʃ c a n k a
diviak	ɟ i v ɪ̯ a k
divizionizmus	d i v i z i ɔ n i z m u s
diviš	ɟ i v i ʃ
divnejší	ɟ i v ɲ e j ʃ iː
divný	ɟ i v n iː
divo	ɟ i v ɔ
divokí	ɟ i v ɔ k iː
divoký	ɟ i v ɔ k iː
divozel	ɟ i v ɔ z e l
divácky	ɟ i v aː t͡s k i
divák	ɟ i v aː k
divý	ɟ i v iː
diéta	d i eː t a
dlaha	d l a ɦ a
dlane	d l a ɲ e
dlani	d l a ɲ i
dlaniach	d l a ɲ ɪ̯ a x
dlaniam	d l a ɲ ɪ̯ a m
dlaní	d l a ɲ iː
dlaň	d l a ɲ
dlaňami	d l a ɲ a m i
dlaňou	d l a ɲ ɔ v
dlh	d l̩ x
dlhoročný	d l̩ ɦ ɔ r ɔ t͡ʃ n iː
dlhový	d l̩ ɦ ɔ v iː
dlhá	d l̩ ɦ aː
dlhý	d l̩ ɦ iː
dlátko	d l aː t k ɔ
dláto	d l aː t ɔ
dlátový	d l aː t ɔ v iː
dlážka	d l aː ʃ k a
dlžoba	d l̩ ʒ ɔ b a
dlžobou	d l̩ ʒ ɔ b ɔ v
dlžobu	d l̩ ʒ ɔ b u
dlžoby	d l̩ ʒ ɔ b i
dlžtek	d l̩ ʃ c e k
dlžôb	d l̩ ʒ u̯ ɔ p
dna	d n a
dne	d ɲ ɛ
dnes	d ɲ ɛ s
dnešný	d ɲ e ʃ n iː
dni	d ɲ i
dnový	d n ɔ v iː
dnu	d n u
dní	d ɲ iː
do	d ɔ
dobaliť	d ɔ b a ʎ i c
dobeš	d ɔ b e ʃ
dobiela	d ɔ b ɪ̯ e l a
dobiť	d ɔ b i c
dobre	d ɔ b r ɛ
dobrej	d ɔ b r e j
dobro	d o b r o
dobrom	d ɔ b r ɔ m
dobromil	d ɔ b r ɔ m i l
dobromila	d ɔ b r ɔ m i l a
dobroslav	d ɔ b r ɔ s l a v
dobroslava	d ɔ b r ɔ s l a v a
dobrotka	d ɔ b r ɔ t k a
dobrou	d ɔ b r ɔ v
dobrovoľne	d ɔ b r ɔ v ɔ ʎ ɲ e
dobrovoľník	d ɔ b r ɔ v ɔ ʎ ɲ iː k
dobrovoľníčka	d ɔ b r ɔ v ɔ ʎ ɲ iː t͡ʃ k a
dobrovoľný	d ɔ b r ɔ v ɔ ʎ n iː
dobročinný	d ɔ b r ɔ t͡ʃ i nː iː
dobruša	d ɔ b r u ʃ a
dobrá	d ɔ b r aː
dobré	d ɔ b r eː
dobrého	d ɔ b r eː ɦ ɔ
dobrému	d ɔ b r eː m u
dobrí	d ɔ b r iː
dobrík	d ɔ b r iː k
dobrú	d ɔ b r uː
dobrý	d ɔ b r iː
dobrých	d ɔ b r iː x
dobrým	d ɔ b r iː m
dobrými	d ɔ b r iː m i
dobák	d ɔ b aː k
dobíjať	d ɔ b iː j a c
dobývať	d ɔ b iː v a c
dobšinský	d ɔ p ʃ i n s k iː
doda	d ɔ d a
dodatočný	d ɔ d a t ɔ t͡ʃ n iː
dodek	d ɔ ɟ e k
dofrasa	d ɔ v r a s a
dogmaticky	d ɔ ɡ m a c i t͡s k i
dogmatický	d ɔ ɡ m a c i t͡s k iː
dogmatizmus	d ɔ ɡ m a t i z m u s
dohodnutou	d ɔ ɦ ɔ d n u t ɔ v
dohodnutá	d ɔ ɦ ɔ d n u t aː
dohodnuté	d ɔ ɦ ɔ d n u t eː
dohodnutého	d ɔ ɦ ɔ d n u t eː ɦ ɔ
dohodnutému	d ɔ ɦ ɔ d n u t eː m u
dohodnutí	d ɔ ɦ ɔ d n u c iː
dohodnutý	d ɔ ɦ ɔ d n u t iː
dohodnutých	d ɔ ɦ ɔ d n u t iː x
dohodnutým	d ɔ ɦ ɔ d n u t iː m
dohodnutými	d ɔ ɦ ɔ d n u t iː m i
dojem	d ɔ j e m
dojemný	d ɔ j e m n iː
dojka	d ɔ j k a
dojnica	d ɔ j ɲ i t͡s a
dojnice	d ɔ j ɲ i t͡s e
dojča	d ɔ j t͡ʃ a
dojčan	d ɔ j t͡ʃ a n
dojčenský	d ɔ j t͡ʃ e n s k iː
dojčiť	d ɔ j t͡ʃ i c
doklad	d ɔ k l a t
dokonalý	d ɔ k ɔ n a l iː
dokráčať	d ɔ k r aː t͡ʃ a c
doktor	d ɔ k t ɔ r
doktora	d ɔ k t ɔ r a
doktormi	d ɔ k t ɔ r m i
doktoroch	d ɔ k t ɔ r ɔ x
doktorom	d ɔ k t ɔ r ɔ m
doktorov	d ɔ k t ɔ r ɔ u̯
doktorovi	d ɔ k t ɔ r ɔ v i
dokument	d ɔ k u m e n t
dokumentovať	d ɔ k u m e n t ɔ v a c
dokumentu	d ɔ k u m e n t u
dokumentácia	d ɔ k u m e n t aː t͡s i a
dokázať	d ɔ k aː z a c
doležaj	d ɔ ʎ e ʒ a j
doležal	d ɔ ʎ e ʒ a l
dolinôčka	d ɔ ʎ i n u̯ ɔ t͡ʃ k a
dolnosaský	d ɔ l n ɔ s a s k iː
dolník	d ɔ l ɲ iː k
dolu	d ɔ l u
dolák	d ɔ l aː k
dom	d ɔ m
doma	d ɔ m a
domami	d ɔ m a m i
domased	d ɔ m a s e t
domaseda	d ɔ m a s e d a
dome	d ɔ m e
domestikovať	d ɔ m e s c i k ɔ v a c
domestikácia	d ɔ m e s t i k aː t͡s i a
dominik	d ɔ m i ɲ i k
dominika	d ɔ m i n i k a
dominikánec	d ɔ m i ɲ i k aː ɲ e t͡s
dominikánka	d ɔ m i n i k aː n k a
dominikánsky	d ɔ m i n i k aː n s k i
dominoval	d ɔ m i n ɔ v a l
dominovala	d ɔ m i n ɔ v a l a
dominovať	d ɔ m i n ɔ v a c
dominuje	d ɔ m i n u j e
dominujú	d ɔ m i n u j uː
domnienka	d ɔ m ɲ ɪ̯ e n k a
domnievať	d ɔ m ɲ ɪ̯ e v a c
domoch	d ɔ m ɔ x
domom	d ɔ m ɔ m
domorodec	d ɔ m ɔ r ɔ ɟ e t͡s
domorodkyňa	d ɔ m ɔ r ɔ t k i ɲ a
domorák	d ɔ m ɔ r aː k
domov	d ɔ m ɔ v
domovina	d ɔ m ɔ v i n a
domu	d ɔ m u
domy	d ɔ m i
domáca	d ɔ m aː t͡s a
domáce	d ɔ m aː t͡s e
domáceho	d ɔ m aː t͡s e ɦ ɔ
domáci	d ɔ m aː t͡s i
domácimi	d ɔ m aː t͡s i m i
domácnosť	d ɔ m aː t͡s n ɔ s c
domček	d ɔ m t͡ʃ e k
donatizmu	d ɔ n a t i z m u
donatizmus	d ɔ n a t i z m u s
dongo	d ɔ n ɡ ɔ
donucovať	d ɔ n u t͡s ɔ v a c
dopamín	d ɔ p a m iː n
doparoma	d ɔ p a r ɔ m a
dopravník	d ɔ p r a v ɲ iː k
dopyt	d ɔ p i t
dorobiť	d ɔ r ɔ b i c
dorociak	d ɔ r ɔ t͡s ɪ̯ a k
dorota	d ɔ r ɔ t a
dorábať	d ɔ r aː b a c
dosiaľ	d ɔ s ɪ̯ a ʎ
doska	d ɔ s k a
doslova	d ɔ s l ɔ v a
doslovný	d ɔ s l ɔ v n iː
dospelosť	d ɔ s p e l ɔ s c
dospelý	d ɔ s p e l iː
dospieť	d ɔ s p ɪ̯ e c
dostatok	d ɔ s t a t ɔ k
dostavať	d ɔ s t a v a c
dostavba	d ɔ s t a v b a
dostaviť	d ɔ s t a v i c
dostavník	d ɔ s t a v ɲ iː k
dostavovať	d ɔ s t a v ɔ v a c
dostať	d ɔ s t a c
dostredivý	d ɔ s t r e ɟ i v iː
dostupnosť	d ɔ s t u p n ɔ s c
dostál	d ɔ s t aː l
dostávať	d ɔ s t aː v a c
dostáť	d ɔ s t aː c
dosť	d ɔ s c
doterajší	d ɔ t e r a j ʃ iː
doteraz	d ɔ t e r a s
dotvoriť	d ɔ t v ɔ r i c
dotvárať	d ɔ t v aː r a c
dovec	d ɔ v e t͡s
dovedna	d ɔ v e d n a
dovi	d ɔ v i
dovidenia	d ɔ v i ɟ e ɲ ɪ̯ a
dovičovič	d ɔ v i t͡ʃ ɔ v i t͡ʃ
dovolenka	d ɔ v ɔ ʎ e n k a
dozimeter	d ɔ z i m e c e r
dočiniť	d ɔ t͡ʃ i ɲ i c
dočitovať	d ɔ t͡ʃ i t ɔ v a c
dočolomanský	d ɔ t͡ʃ ɔ l ɔ m a n s k iː
dočítavať	d ɔ t͡ʃ iː t a v a c
dočítať	d ɔ t͡ʃ iː t a c
doša	d ɔ ʃ a
došiel	d ɔ ʃ ɪ̯ e l
došla	d ɔ ʃ l a
dragon	d r a ɡ ɔ n
dragula	d r a ɡ u l a
draguň	d r a ɡ u ɲ
dragún	d r a ɡ uː n
dragúň	d r a ɡ uː ɲ
draha	d r a ɦ a
drahami	d r a ɦ a m i
drahe	d r a ɦ e
draho	d r a ɦ ɔ
drahokam	d r a ɦ ɔ k a m
drahomír	d r a ɦ ɔ m iː r
drahomíra	d r a ɦ ɔ m iː r a
drahoslav	d r a ɦ ɔ s ɫ a u̯
drahoslava	d r a ɦ ɔ s l a v a
drahou	d r a ɦ ɔ v
drahovský	d r a ɦ ɔ v s k iː
drahoš	d r a ɦ ɔ ʃ
drahu	d r a ɦ u
drahuša	d r a ɦ u ʃ a
drahy	d r a ɦ i
drahí	d r a ɦ iː
drahú	d r a ɦ uː
drahý	d r a ɦ iː
drak	d r a k
drakonický	d r a k ɔ ɲ i t͡s k iː
dramaticky	d r a m a c i t͡s k i
dramatický	d r a m a c i t͡s k iː
dramatizovať	d r a m a c i z ɔ v a c
dramatizácia	d r a m a t i z aː t͡s i a
draslík	d r a s ʎ iː k
drasticky	d r a s c i t͡s k i
drastický	d r a s c i t͡s k iː
dratva	d r a t v a
dratvový	d r a t v ɔ v iː
dravecký	d r a v e t͡s k iː
dračiek	d r a t͡ʃ ɪ̯ e k
dračka	d r a t͡ʃ k a
dražoba	d r a ʒ ɔ b a
drbohlav	d r̩ b ɔ ɦ l a v
drbul	d r̩ b u l
drbúl	d r̩ b uː l
drc	d r̩ t͡s
dreva	d r e v a
drevami	d r e v a m i
dreve	d r e v e
drevo	d r ɛ v ɔ
drevom	d r e v ɔ m
drevorubač	d r e v ɔ r u b a t͡ʃ
drevu	d r e v u
drevá	d r e v aː
drevách	d r e v aː x
drevám	d r e v aː m
drez	d r e s
drezúr	d r e z uː r
drezúra	d r e z uː r a
drezúrny	d r e z uː r n i
drezúry	d r e z uː r i
dreň	d r e ɲ
driapať	d r ɪ̯ a p a c
driemať	d r ɪ̯ e m a c
drieme	d r ɪ̯ e m e
driemem	d r ɪ̯ e m e m
driemu	d r ɪ̯ e m u
drienovskonovovešťan	d r ɪ̯ e n ɔ v s k ɔ n ɔ v ɔ v e ʃ c a n
drienovskonovovešťanka	d r ɪ̯ e n ɔ v s k ɔ n ɔ v ɔ v e ʃ c a n k a
driev	d r i̯ e u̯
driečny	d r ɪ̯ e t͡ʃ n i
drieň	d r ɪ̯ e ɲ
drieť	d r ɪ̯ e c
drina	d r i n a
drine	d r i ɲ e
drinou	d r i n ɔ v
drinu	d r i n u
driny	d r i n i
drlička	d r̩ ʎ i t͡ʃ k a
drobec	d r ɔ b e t͡s
drobnohľad	d r ɔ b n ɔ ɦ ʎ a t
drogéria	d r ɔ ɡ eː r i a
drotár	d r ɔ t aː r
drozd	d r ɔ s t
drozdí	d r ɔ z ɟ iː
droždie	d r ɔ ʒ ɟ ɪ̯ e
druhej	d r u ɦ e j
druhom	d r u ɦ ɔ m
druhou	d r u ɦ ɔ v
druhá	d r u ɦ aː
druhé	d r u ɦ eː
druhí	d r u ɦ iː
druhú	d r u ɦ uː
druhý	d r u ɦ iː
drumbľa	d r u m b ʎ a
drv	d r̩ v
drviť	d r̩ v i c
drví	d r̩ v iː
dráb	d r aː p
dráfi	d r aː f i
dráh	d r aː x
dráha	d r aː ɦ a
dráčik	d r aː t͡ʃ i k
dráždec	d r aː ʒ ɟ e t͡s
drážďany	d r aː ʒ ɟ a n i
drôt	d r u̯ ɔ t
drúk	d r uː k
drúzga	d r uː z ɡ a
drúzgajú	d r uː z ɡ a j uː
drúzgal	d r uː z ɡ a l
drúzgala	d r uː z ɡ a l a
drúzgať	d r uː z ɡ a c
drška	d r̩ ʃ k a
drž	d r̩ ʃ
držať	d r̩ ʒ a c
držgroš	d r̩ ʒ ɡ r ɔ ʃ
držík	d r̩ ʒ iː k
dualizmus	d u a l i z m u s
dub	d u p
duba	d u b a
dubaj	d u b a j
dubašák	d u b a ʃ aː k
dube	d u b ɛ
dubleta	d u b ʎ e t a
dubletou	d u b ʎ e t ɔ v
dubletu	d u b ʎ e t u
dublety	d u b ʎ e t i
dubliet	d u b ʎ ɪ̯ e t
dublin	d u b ʎ i n
dubmi	d u b m i
dubnium	d u b n ɪ j ʊ m
duboch	d u b ɔ x
dubom	d u b ɔ m
dubov	d u b ɔ u̯
dubová	d u b ɔ v aː
dubové	d u b ɔ v eː
duboví	d u b ɔ v iː
dubový	d u b ɔ v iː
dubu	d u b u
duby	d u b i
dubák	d u b aː k
dubček	d u p t͡ʃ e k
duc	d u t͡s
duchne	d u x ɲ e
duchovnosť	d u x ɔ v n ɔ s c
duchovný	d u x ɔ v n iː
duchoň	d u x ɔ ɲ
ducko	d u t͡s k ɔ
ducký	d u t͡s k iː
duda	d u d a
dudaš	d u d a ʃ
dudek	d u d e k
dudo	d u d ɔ
dudok	d u d ɔ k
dudy	d u d i
dudáš	d u d aː ʃ
dugas	d u ɡ a s
dukát	d u k aː t
dula	d u l a
dulka	d u l k a
dulík	d u ʎ iː k
duna	d u n a
dunaj	d u n a j
dunajec	d u n a j ɛ t͡s
dunajskí	d u n a j s k iː
dunajský	d u n a j s k iː
dunka	d u n k a
dunčko	d u n t͡ʃ k ɔ
dunčo	d u n t͡ʃ ɔ
duplikovať	d u p ʎ i k ɔ v a c
duplikácia	d u p l i k aː t͡s i a
duplikát	d u p ʎ i k aː t
dur	d u r
duraj	d u r a j
durná	d u r n aː
durový	d u r ɔ v iː
durínsko	d u r iː n s k ɔ
dusík	d u s iː k
duňo	d u ɲ ɔ
duša	d u ʃ a
dušan	d u ʃ a n
dušana	d u ʃ a n a
dušanbe	d u ʃ a n b e
duše	d u ʃ e
dušek	d u ʃ e k
dušu	d u ʃ u
duší	d u ʃ iː
dužda	d u ʒ d a
dužina	d u ʒ i n a
dva	d v a
dvadsať	d v a t͡sː a c
dvadsaťjeden	d v a t͡sː a c j e d e n
dvadsiati	d v a t͡sː ɪ̯ a c i
dvadsiatich	d v a t͡sː ɪ̯ a c i x
dvadsiatim	d v a t͡sː ɪ̯ a c i m
dvadsiatimi	d v a t͡sː ɪ̯ a c i m i
dvadsiaty	d v a t͡sː ɪ̯ a t i
dvaja	d v a j a
dvakrát	d v a k r aː t
dvanásti	d v a n aː s c i
dvanástich	d v a n aː s c i x
dvanástim	d v a n aː s c i m
dvanástimi	d v a n aː s c i m i
dvanásty	d v a n aː s t i
dvanásť	d v a n aː s c
dvanásťročný	d v a n aː s c r ɔ t͡ʃ n iː
dve	d v ɛ
dvere	d v ɛ r ɛ
dvermi	d v e r m i
dvesto	d v e s t ɔ
dvetisíc	d v e c i s iː t͡s
dvier	d v ɪ̯ e r
dvoch	d v ɔ x
dvojbodka	d v ɔ j b ɔ t k a
dvojfarebný	d v ɔ j f a r e b n iː
dvojhláska	d v ɔ j ɦ l aː s k a
dvojitý	d v ɔ j i t iː
dvojjazyčný	d v ɔ j j a z i t͡ʃ n iː
dvojmocný	d v ɔ j m ɔ t͡s n iː
dvojplošník	d v ɔ j p l ɔ ʃ ɲ iː k
dvojstý	d v ɔ j s t iː
dvojtisíci	d v ɔ j c i s iː t͡s i
dvojtvar	d v ɔ j t v a r
dvojtvare	d v ɔ j t v a r e
dvojtvarom	d v ɔ j t v a r ɔ m
dvojtvaru	d v ɔ j t v a r u
dvojtvary	d v ɔ j t v a r i
dvojča	d v ɔ j t͡ʃ a
dvom	d v ɔ m
dvoma	d v ɔ m a
dvomi	d v ɔ m i
dvor	d v ɔ r
dvorský	d v ɔ r s k iː
dyba	d i b a
dych	d i x
dychový	d i x ɔ v iː
dym	d i m
dymami	d i m a m i
dyme	d i m ɛ
dymoch	d i m ɔ x
dymom	d i m ɔ m
dymov	d i m ɔ u̯
dymu	d i m u
dymy	d i m i
dynamicky	d i n a m i t͡s k i
dynamický	d i n a m i t͡s k iː
dynamit	d i n a m i t
dynastia	d i n a s t i a
dysgrafia	d i z ɡ r a f i a
dyskalkúlia	d i s k a l k uː l i a
dysplázia	d i s p l aː z i a
dysprózium	d i s p r ɔː z i u m
dystrofia	d i s t r ɔ f i a
dyzentéria	d i z e n t eː r i a
dz	t͡s
dzivý	d͡z i v iː
dzurik	d͡z u r i k
dzurilla	d͡z u r i lː a
dzurinda	d͡z u r i n d a
dzurjanin	d͡z u r j a ɲ i n
dzurko	d͡z u r k ɔ
dáma	d aː m a
dámsky	d aː m s k i
dán	d aː n
dánka	d aː n k a
dánsko	d aː n s k ɔ
dánsky	d aː n s k i
dánčina	d aː n t͡ʃ i n a
dárius	d aː r i u s
dátum	d aː t u m
dávať	d aː v a c
dávid	d aː v i t
dávny	d aː v n i
dáša	d aː ʃ a
dáždnik	d aː ʒ d ɲ i k
dážď	d aː ʃ c
dážďovka	d aː ʒ ɟ ɔ u̯ k a
dážďovník	d aː ʒ ɟ ɔ v ɲ iː k
déneš	d eː ɲ e ʃ
dérer	d eː r e r
dôjde	d u̯ ɔ j ɟ e
dôjdem	d u̯ ɔ j ɟ e m
dôjsť	d u̯ ɔ j s c
dôkladnejší	d u̯ ɔ k l a d ɲ e j ʃ iː
dôkladný	d u̯ ɔ k l a d n iː
dôležitý	d u̯ ɔ ʎ e ʒ i t iː
dôslednejší	d u̯ ɔ s ʎ e d ɲ e j ʃ iː
dôsledný	d u̯ ɔ s ʎ e d n iː
dôstojnejšia	d u̯ ɔ s t ɔ j ɲ e j ʃ ɪ̯ a
dôstojnejšie	d u̯ ɔ s t ɔ j ɲ e j ʃ ɪ̯ e
dôstojnejší	d u̯ ɔ s t ɔ j ɲ e j ʃ iː
dôstojnosť	d u̯ ɔ s t ɔ j n ɔ s c
dôstojník	d u̯ ɔ s t ɔ j ɲ iː k
dôstojníčka	d u̯ ɔ s t ɔ j ɲ iː t͡ʃ k a
dôstojný	d u̯ ɔ s t ɔ j n iː
dôverovať	d u̯ ɔ v e r ɔ v a c
dôvtip	d u̯ ɔ v c i p
dúbrava	d uː b r a v a
dúbravka	d uː b r a v k a
dúh	d uː x
dúha	d uː ɦ a
dúhe	d uː ɦ e
dúška	d uː ʃ k a
dúža	d uː ʒ a
dúže	d uː ʒ e
dúžek	d uː ʒ e k
dúži	d uː ʒ i
dýchanie	d iː x a ɲ ɪ̯ e
dýchať	d iː x a c
