't	ə t
verkoëme	v ə ʁ k o ə̯ m ə
verschett	v ə ʁ ʃ ɛ t
vertélle	v ə ʁ t e l ə
ve̩rprake̩ṣeere̩	v ə ʁ p ʁ a k ə z eː ʁ ə
vieh	v i ə̯
viich	v iː x
viire	v iː ʁ ə
virus	v iː ² ʀ ə s
vleege	v l eː ˦ ʝ ə
vlügel	v l y ə̯ ˨ ʝ ə l
vlǫǫr	v l ɔː ʁ
vogel	v oː ˨ ɣ ə l
voore	v oː ʁ ə
vorm	v o ʁ ə m
vormlus	v o ʁ ə m l u ə̯ s
voëgel	v ɔ ə̯ ɣ ə l
voëre	v ɔ ə̯ ʁ ə
vredepieël	v ʁ eː d ə p i ə̯ l
vro	v ʁ ɔː
vroumännsch	v ʁ ɔ u̯ m ɛ n ʃ
vrǫme̩sch	v ʁ ɔ m ə ʃ
vue̩r	v u ə̯ ʁ ˧
vugel	v u ə̯ ˨ ɣ ə l
vuus	v u ə̯ s
vuër	v u ə̯ ʁ
väl	v ɛ l
vännster	v ɛ n s t ə ʁ
värrep	v ɛ ʁ ə p
värtikaal	v ɛ ʁ t i k aː l
väärdech	v ɛː ʁ d ə ç
väësch	v ɛ ə̯ ʃ
väöle	v œː l ə
vélle	v e l ə
vésche	v e ʃ ə
vöël	v œ ə̯ l
vöër	v œ ə̯ ʁ
vöëraa	v œ ə̯ ʁ aː
vöëre	v œ ə̯ ʁ ə
vöët	v œ ə̯ t
vöüle	v ø y̯ l ə
vürsch	v y ə̯ ʃ
vǫlmǫǫnt	v ɔ l m ɔː n t
waac͜he̩l	ʋ aː ɣ ə l
waarde	ʋ aː ʁ d ə
waase̩	ʋ aː s ə
waasse	ʋ aː s ə
waater	ʋ aː t ə ʁ
walltse	ʋ a l t͡s ə
waïnt	ʋ a i̯ ˦ n t
waïnter	ʋ a i̯ n t ə ʁ
waïssele	ʋ a i̯ s ə l ə
weech	ʋ eː ç
wengkte̩rön	ʋ e ŋ k t ə ʁ ø n
wiif	ʋ iː f
wiin	ʋ iː n
wiit	ʋ iː t
wijjer	ʋ i j ə ʁ
wiki	w i ˦ k i ˨
wouv	ʋ ɔ u̯ f
woëch	ʋ ɔ ə̯ ç
woër	ʋ ɔ ə̯ ʁ
woërt	ʋ ɔ ə̯ ʁ t
woësch	ʋ ɔ ə̯ ʃ
wu	ʋ uː
wuune	ʋ u ə̯ n ə
wuë	ʋ u ə̯
wânsem	ʋ ɑː n s ə m
wännech	ʋ ɛ n ə ç
wärrem	ʋ ɛ ʁ ə m
wärrepe	ʋ ɛ ʁ ə p ə
wäärde	ʋ ɛː ʁ d ə
wéll	ʋ e l
wélle	ʋ e l ə
wéllekemm	ʋ e l ə k e m
wétt	ʋ e t
wéttfro	ʋ e t f ʁ oː
wéëk	ʋ e ə̯ k
wéëm	ʋ e ə̯ m
wéër	ʋ e ə̯ ˦ ʁ
wéërvräüsch	ʋ e ə̯ ʁ v ʁ ɔ ʏ̯ ʃ
wéët	ʋ e ə̯ t
wéïch	ʋ e i̯ ç
wéïte	ʋ e i̯ t ə
wöërtsbouk	ʋ œ ə̯ ʁ t͡s b ɔ u̯ k
wǫlbe̩r	ʋ ɔ l b ə ʁ
zaerem	z æː ʁ ə m
zarett	t͡s a ʀ ɜ t
zeef	z eː ¹ f
ächt	ɛ ç t
änne	ɛ n ə
ärrech	ɛ ʁ ə ç
ärrem	ɛ ʁ ə m
ärrent	ɛ ʁ ə n t
äsch	æ ʃ
äsche	æ ʃ ə
äsétte	ɛ z e t ə
äver	æ v ə ʁ
äärt	ɛː ʁ t
ääte	e ə̯ t ə
äätestiet	e ə̯ t ə s t iː t
äöf	œː f
äöje	œː j ə
äölentäöl	œː l ə n t œː l
égipte	e ɣ i p t ə
énnteeger	e n t eː ɣ ə ʁ
éëte	e ə̯ t ə
éëtesgetüüch	e ə̯ t ə s ɣ ə t yː ç
éëtestiit	e ə̯ t ə s t iː t
éï	e i̯
óffebek	o f ə b ɛ k
öle̩k	ø l ə k
ömm	ø m
önn	ø n
övver	ø v ə ʀ
övverléëge	ø v ə ʁ l e ə̯ ɣ ə
ṣon	z o n
ṣue̩rkie̩sch	z u ə̯ ʁ k i ə̯ ʃ
ṣöötkie̩sch	z øː t k i ə̯ ʃ
