't	ə t
schwämme	ʒ ʋ ɛ m ə
schwéëve	ʒ ʋ e ə̯ v ə
schännde	ʃ ɛ n d ə
schärrep	ʃ ɛ ʁ ə p
schéël	ʃ e ə̯ l
schéële	ʃ e ə̯ l ə
schéëte	ʃ e ə̯ t ə
schödde	ʃ ø d ə
schüreere	ʒ y ʁ eː ʁ ə
seek	z eː k
seeke	z eː k ə
segrèt	s ə ɣ ʀ ɜ t
seike	z ɛ i̯ k ə
sigrèt	s i ɣ ʀ ɜ t
sjaop	ʃ ɔː p
sjoeëtsj	ʃ uː ə t͡ʃ
sjouwer	ʃ ɔ u̯ ə ʀ
sjuutsj	ʃ yː t͡ʃ
slaope	s l ɔː p ə
slivvenhierebieske	s l ɪ v ə n iː ¹ ʀ ə b i s k ə
snierk	s n iː ʀ ə k
speke̩leere̩	s p e k ə l eː ʁ ə
spöle	s p øː l ə
suupe	z uː p ə
suë	z u ə̯
suër	z u ə̯ ʁ
sétte	z e t ə
séëne	z e ə̯ n ə
söss	z ø s
sövve	z ø v ə
söëke	z ø ə̯ k ə
söüt	z ø y̯ t
tand	t a n t
tanjd	t a ɲ t
terbrääke	t ə ʁ b ʁ e ə̯ k ə
tiee	t i ə̯
tompoeske	t ɔ m p u s k ə
trékke	t ʁ e k ə
tréë	t ʁ e ə̯
tsaubere	t͡s a u̯ b ə ʁ ə
tsigrèt	t͡s i ɣ ʀ ɜ t
twällef	t ʋ ɛ l ə f
twéï	t ʋ e i̯
télle	t e l ə
ureneere	u ʁ ə n eː ʁ ə
uutprake̩ṣeere̩	uː t p r a k ə z eː ʁ ə
uutschtee̩ke̩	uː t ʃ t e ə̯ k ə
uutschtääke̩	uː t ʃ t ɛː k ə
uutääte	uː t e ə̯ t ə
varrijaabel	v a ʁ i j aː b ə l
veer	v eː ʁ
verkammesöële	v ə ʁ k a m ə z œ ə̯ l e
verkoëme	v ə ʁ k o ə̯ m ə
vertélle	v ə ʁ t e l ə
ve̩rprake̩ṣeere̩	v ə ʁ p ʁ a k ə z eː ʁ ə
viire	v iː ʁ ə
virus	v iː ² ʀ ə s
vleege	v l eː ˦ ʝ ə
voore	v oː ʁ ə
vormlus	v o ʁ ə m l u ə̯ s
voëre	v ɔ ə̯ ʁ ə
värtikaal	v ɛ ʁ t i k aː l
väärdech	v ɛː ʁ d ə ç
vélle	v e l ə
vésche	v e ʃ ə
vöël	v œ ə̯ l
vöër	v œ ə̯ ʁ
vöëraa	v œ ə̯ ʁ aː
vöëre	v œ ə̯ ʁ ə
vöët	v œ ə̯ t
vöüle	v ø y̯ l ə
waarde	ʋ aː ʁ d ə
waase̩	ʋ aː s ə
waasse	ʋ aː s ə
walltse	ʋ a l t͡s ə
waïssele	ʋ a i̯ s ə l ə
wiit	ʋ iː t
wiki	w i ˦ k i ˨
woër	ʋ ɔ ə̯ ʁ
wu	ʋ uː
wuune	ʋ u ə̯ n ə
wuë	ʋ u ə̯
wännech	ʋ ɛ n ə ç
wärrem	ʋ ɛ ʁ ə m
wärrepe	ʋ ɛ ʁ ə p ə
wäärde	ʋ ɛː ʁ d ə
wéll	ʋ e l
wélle	ʋ e l ə
wéllekemm	ʋ e l ə k e m
wétt	ʋ e t
wéëm	ʋ e ə̯ m
wéïte	ʋ e i̯ t ə
zeef	z eː ¹ f
ärrem	ɛ ʁ ə m
ärrent	ɛ ʁ ə n t
äsch	æ ʃ
äsche	æ ʃ ə
äärt	ɛː ʁ t
ääte	e ə̯ t ə
äätestiet	e ə̯ t ə s t iː t
äöje	œː j ə
égipte	e ɣ i p t ə
éëte	e ə̯ t ə
éëtesgetüüch	e ə̯ t ə s ɣ ə t yː ç
éëtestiit	e ə̯ t ə s t iː t
éï	e i̯
óffebek	o f ə b ɛ k
öle̩k	ø l ə k
önn	ø n
ächt	ɛ ç t
änne	ɛ n ə
ärrech	ɛ ʁ ə ç
äsétte	ɛ z e t ə
äver	æ v ə ʁ
äöf	œː f
äölentäöl	œː l ə n t œː l
énnteeger	e n t eː ɣ ə ʁ
ömm	ø m
övver	ø v ə ʀ
övverléëge	ø v ə ʁ l e ə̯ ɣ ə
ṣon	z o n
ṣue̩rkie̩sch	z u ə̯ ʁ k i ə̯ ʃ
ṣöötkie̩sch	z øː t k i ə̯ ʃ
