'tain	t ɛ̃
assumât	a s y m a
assumâtes	a s y m a t
assumèrent	a s y m ɛ ʁ
assumé	a s y m e
assurantielle	a s y ʁ ɑ̃ s j ɛ l
assureur	a s y ʁ œ ʁ
assureuse	a s y ʁ ø z
assurfinance	a s y ʁ f i n ɑ̃ s
assuétude	a s ɥ e t y d
assyrien	a s i ʁ j ɛ̃
assyriologie	a s i ʁ j ɔ l ɔ ʒ i
assyriologue	a s i ʁ j ɔ l ɔ ɡ
assyrisante	a s i ʁ i z ɑ̃ t
astate	a s t a t
astates	a s t a t
asteur	a s t œ ʁ
asteure	a s t œ ʁ
astheure	a s t œ ʁ
asthmatique	a s m a t i k
asthénie	a s t e n i
asthénopie	a s t e n ɔ p i
asthénospermie	a s t e n ɔ s p ɛ ʁ m i
asthénospermies	a s t e n ɔ s p ɛ ʁ m i
asthénosphère	a s t e n ɔ s f ɛ ʁ
asti	a s t i
astic	a s t i k
asticoter	a s t i k ɔ t e
asticothérapie	a s t i k ɔ t e ʁ a p i
astigmatisme	a s t i ɡ m a t i s m
astié	a s t j e
astolphe	a s t ɔ l f
astragale	a s t ʁ a ɡ a l
astragalien	a s t ʁ a ɡ a l j ɛ̃
astragalienne	a s t ʁ a ɡ a l j ɛ n
astral	a s t ʁ a l
astralement	a s t ʁ a l m ɑ̃
astrictive	a s t ʁ i k t i v
astrifère	a s t ʁ i f ɛ ʁ
astringent	a s t ʁ ɛ̃ ʒ ɑ̃
astringente	a s t ʁ ɛ̃ ʒ ɑ̃ t
astroarchéologie	a s t ʁ ɔ a ʁ ʃ e ɔ l ɔ ʒ i
astrobiologie	a s t ʁ ɔ b j ɔ l ɔ ʒ i
astrogéologie	a s t ʁ o ʒ e ɔ l ɔ ʒ i
astrolabes	a s t ʁ ɔ l a b
astrologie	a s t ʁ ɔ l ɔ ʒ i
astrologies	a s t ʁ ɔ l ɔ ʒ i
astrologique	a s t ʁ ɔ l ɔ ʒ i k
astrologue	a s t ʁ ɔ l ɔ ɡ
astrolâtre	a s t ʁ ɔ l a t ʁ
astrolâtrie	a s t ʁ ɔ l a t ʁ i
astrolâtrique	a s t ʁ ɔ l a t ʁ i k
astromatériau	a s t ʁ ɔ m a t e ʁ j o
astromobile	a s t ʁ ɔ m ɔ b i l
astrométrie	a s t ʁ ɔ m e t ʁ i
astrométries	a s t ʁ ɔ m e t ʁ i
astronaute	a s t ʁ ɔ n o t
astronautiques	a s t ʁ o n o t i k
astronavale	a s t ʁ ɔ n a v a l
astronomies	a s t ʁ ɔ n ɔ m i
astrophysique	a s t ʁ ɔ f i z i k
astrophysiques	a s t ʁ ɔ f i z i k
astroïde	a s t ʁ ɔ i d
astruc	a s t ʁ y k
astucieusement	a s t y s j ø z m ɑ̃
asturien	a s t y ʁ j ɛ̃
asturienne	a s t y ʁ j ɛ n
asturiennes	a s t y ʁ j ɛ n
asturies	a s t y ʁ i
astéracée	a s t e ʁ a s e
astérion	a s t e ʁ j ɔ̃
astérisme	a s t e ʁ i s m
astérisque	a s t e ʁ i s k
astérisques	a s t e ʁ i s k
astérozoaire	a s t e ʁ o z ɔ ɛ ʁ
astéroïdes	a s t e ʁ ɔ i d
asymptomatique	a s ɛ̃ p t ɔ m a t i k
asymptote	a s ɛ̃ p t ɔ t
asymptotique	a s ɛ̃ p t ɔ t i k
asymptotiquement	a s ɛ̃ p t ɔ t i k m ɑ̃
asymptotisme	a s ɛ̃ p t ɔ t i s m
asymétriquement	a s i m e t ʁ i k m ɑ̃
asymétriques	a s i m e t ʁ i k
asynartète	a s i n a ʁ t ɛ t
asynchrone	a s ɛ̃ k ʁ o n
asynchronique	a s ɛ̃ k ʁ ɔ n i k
asynchroniquement	a s ɛ̃ k ʁ ɔ n i k m ɑ̃
asyndète	a s ɛ̃ d ɛ t
asynergie	a s i n ɛ ʁ ʒ i
asyntactique	a s ɛ̃ t a k t i k
asystolie	a s i s t ɔ l i
asystolique	a s i s t ɔ l i k
aséité	a s e i t e
asémantique	a s e m ɑ̃ t i k
asémique	a s e m i k
ataman	a t a m ɑ̃
atamans	a t a m ɑ̃
atambaïev	a t ɑ̃ b a j ɛ v
ataraxie	a t a ʁ a k s i
ataturkiste	a t a t y ʁ k i s t
atavique	a t a v i k
ataviques	a t a v i k
atavisme	a t a v i s m
ataxie	a t a k s i
atchou	a t ʃ u
atemporel	a t ɑ̃ p ɔ ʁ ɛ l
atemporelle	a t ɑ̃ p ɔ ʁ ɛ l
atemporelles	a t ɑ̃ p ɔ ʁ ɛ l
atemporels	a t ɑ̃ p ɔ ʁ ɛ l
ath	a t
athabascane	a t a b a s k a n
athanor	a t a n ɔ ʁ
athermochroïque	a t ɛ ʁ m ɔ k ʁ ɔ i k
athléchic	a t l e ʃ i k
athéisme	a t e i s m
athéiste	a t e i s t
athématique	a t e m a t i k
athéna	a t e n a
athénaïs	a t e n a i s
athéromateuse	a t e ʁ ɔ m a t ø z
athérure	a t e ʁ y ʁ
atimie	a t i m i
atlante	a t l ɑ̃ t
atlantisme	a t l ɑ̃ t i s m
atlantiste	a t l ɑ̃ t i s t
atlantosaure	a t l ɑ̃ t o z ɔ ʁ
atloïdien	a t l ɔ i d j ɛ̃
atloïdienne	a t l ɔ i d j ɛ n
atoca	a t ɔ k a
atoll	a t ɔ l
atomes	a t ɔ m
atomiques	a t ɔ m i k
atomiser	a t ɔ m i z e
atomiseur	a t ɔ m i z œ ʁ
atomiste	a t ɔ m i s t
atonal	a t ɔ n a l
atone	a t ɔ n
atonique	a t ɔ n i k
atoniques	a t ɔ n i k
atour	a t u ʁ
atourner	a t u ʁ n e
atrabile	a t ʁ a b i l
atrabilieuse	a t ʁ a b i l j ø z
atramentaire	a t ʁ a m ɑ̃ t ɛ ʁ
atriau	a t ʁ i j o
atrium	a t ʁ i j ɔ m
atropate	a t ʁ ɔ p a t
atropatie	a t ʁ ɔ p a s i
atropatien	a t ʁ ɔ p a s j ɛ̃
atropatès	a t ʁ ɔ p a t ɛ s
atrophier	a t ʁ ɔ f j e
atrophié	a t ʁ ɔ f j e
atropine	a t ʁ ɔ p i n
atsuko	a t s u k o
attabler	a t a b l e
attal	a t a l
attale	a t a l
attalie	a t a l i
attarder	a t a ʁ d e
attardée	a t a ʁ d e
atteignable	a t e ɲ a b l
atteleur	a t l œ ʁ
atteleurs	a t l œ ʁ
atteleuse	a t l ø z
atteleuses	a t l ø z
attenaient	a t n ɛ
attenais	a t n ɛ
attenait	a t n ɛ
attenant	a t n ɑ̃
attendrira	a t ɑ̃ d ʁ i ʁ a
attendrirai	a t ɑ̃ d ʁ i ʁ e
attendriraient	a t ɑ̃ d ʁ i ʁ ɛ
attendrirais	a t ɑ̃ d ʁ i ʁ ɛ
attendriras	a t ɑ̃ d ʁ i ʁ a
attendrirent	a t ɑ̃ d ʁ i ʁ
attendrirez	a t ɑ̃ d ʁ i ʁ e
attendririez	a t ɑ̃ d ʁ i ʁ j e
attendririons	a t ɑ̃ d ʁ i ʁ j ɔ̃
attendrirons	a t ɑ̃ d ʁ i ʁ ɔ̃
attendriront	a t ɑ̃ d ʁ i ʁ ɔ̃
attendrissaient	a t ɑ̃ d ʁ i s ɛ
attendrissais	a t ɑ̃ d ʁ i s ɛ
attendrisse	a t ɑ̃ d ʁ i s
attendrissent	a t ɑ̃ d ʁ i s
attendrisses	a t ɑ̃ d ʁ i s
attendrissez	a t ɑ̃ d ʁ i s e
attendrissiez	a t ɑ̃ d ʁ i s j e
attendrissions	a t ɑ̃ d ʁ i s j ɔ̃
attendrissons	a t ɑ̃ d ʁ i s ɔ̃
attendrit	a t ɑ̃ d ʁ i
attendrîmes	a t ɑ̃ d ʁ i m
attendrît	a t ɑ̃ d ʁ i
attendrîtes	a t ɑ̃ d ʁ i t
attenez	a t n e
atteniez	a t ə n j e
attenions	a t ə n j ɔ̃
attenir	a t n i ʁ
attenons	a t n ɔ̃
attenta	a t ɑ̃ t a
attentai	a t ɑ̃ t e
attentez	a t ɑ̃ t e
attentionnel	a t ɑ̃ s j ɔ n ɛ l
attentionnelle	a t ɑ̃ s j ɔ n ɛ l
attentisme	a t ɑ̃ t i s m
attentiste	a t ɑ̃ t i s t
attenté	a t ɑ̃ t e
attentée	a t ɑ̃ t e
attentées	a t ɑ̃ t e
attentés	a t ɑ̃ t e
attenu	a t n y
atterrant	a t e ʁ ɑ̃
atterrir	a t e ʁ i ʁ
atterrissage	a t e ʁ i s a ʒ
atterrissages	a t e ʁ i s a ʒ
attesta	a t ɛ s t a
attestai	a t ɛ s t e
attestais	a t ɛ s t ɛ
attestant	a t ɛ s t ɑ̃
attestas	a t ɛ s t a
attestasse	a t ɛ s t a s
attestassent	a t ɛ s t a s
attestasses	a t ɛ s t a s
attestassiez	a t ɛ s t a s j e
attestassions	a t ɛ s t a s j ɔ̃
attestation	a t ɛ s t a s j ɔ̃
attestera	a t ɛ s t ə ʁ a
attesterai	a t ɛ s t ə ʁ e
attesteraient	a t ɛ s t ə ʁ ɛ
attesterais	a t ɛ s t ə ʁ ɛ
attesterait	a t ɛ s t ə ʁ ɛ
attesteras	a t ɛ s t ə ʁ a
attesterez	a t ɛ s t ə ʁ e
attesteriez	a t ɛ s t ə ʁ j e
attesterions	a t ɛ s t ə ʁ j ɔ̃
attesterons	a t ɛ s t ə ʁ ɔ̃
attesteront	a t ɛ s t ə ʁ ɔ̃
attestes	a t ɛ s t
attestez	a t ɛ s t e
attestiez	a t ɛ s t j e
attestions	a t ɛ s t j ɔ̃
attestons	a t ɛ s t ɔ̃
attestâmes	a t ɛ s t a m
attestât	a t ɛ s t a
attestâtes	a t ɛ s t a t
attestèrent	a t ɛ s t ɛ ʁ
atticisme	a t i s i s m
attiendra	a t j ɛ̃ d ʁ a
attiendrai	a t j ɛ̃ d ʁ e
attiendraient	a t j ɛ̃ d ʁ ɛ
attiendrais	a t j ɛ̃ d ʁ ɛ
attiendrait	a t j ɛ̃ d ʁ ɛ
attiendras	a t j ɛ̃ d ʁ a
attiendrez	a t j ɛ̃ d ʁ e
attiendriez	a t j ɛ̃ d ʁ i j e
attiendrions	a t j ɛ̃ d ʁ i j ɔ̃
attiendrons	a t j ɛ̃ d ʁ ɔ̃
attiendront	a t j ɛ̃ d ʁ ɔ̃
attienne	a t j ɛ n
attiennent	a t j ɛ n
attiennes	a t j ɛ n
attiens	a t j ɛ̃
attient	a t j ɛ̃
attifer	a t i f e
attinrent	a t ɛ̃ ʁ
attins	a t ɛ̃
attinsse	a t ɛ̃ s
attinssent	a t ɛ̃ s
attinsses	a t ɛ̃ s
attinssiez	a t ɛ̃ s j e
attinssions	a t ɛ̃ s j ɔ̃
attint	a t ɛ̃
attique	a t i k
attirai	a t i ʁ ɛ
attirail	a t i ʁ a j
attirance	a t i ʁ ɑ̃ s
attirez	a t i ʁ e
attiser	a t i z e
attiédir	a t j e d i ʁ
attoampère	a t ɔ ɑ̃ p ɛ ʁ
attocandela	a t ɔ k ɑ̃ d e l a
attogramme	a t ɔ ɡ ʁ a m
attohm	a t o m
attokatal	a t ɔ k a t a l
attomètre	a t ɔ m ɛ t ʁ
atton	a t ɔ̃
attoseconde	a t ɔ s ə ɡ ɔ̃ d
attostéradian	a t ɔ s t e ʁ a d j ɑ̃
attoucha	a t u ʃ a
attouchai	a t u ʃ e
attouchaient	a t u ʃ ɛ
attouchais	a t u ʃ ɛ
attouchait	a t u ʃ ɛ
attouchant	a t u ʃ ɑ̃
attouchas	a t u ʃ a
attouchasse	a t u ʃ a s
attouchassent	a t u ʃ a s
attouchasses	a t u ʃ a s
attouchassiez	a t u ʃ a s j e
attouchassions	a t u ʃ a s j ɔ̃
attouche	a t u ʃ
attouchent	a t u ʃ
attoucher	a t u ʃ e
attouchera	a t u ʃ ə ʁ a
attoucherai	a t u ʃ ə ʁ e
attoucheraient	a t u ʃ ə ʁ ɛ
attoucherais	a t u ʃ ə ʁ ɛ
attoucherait	a t u ʃ ə ʁ ɛ
attoucheras	a t u ʃ ə ʁ a
attoucherez	a t u ʃ ə ʁ e
attoucheriez	a t u ʃ ə ʁ j e
attoucherions	a t u ʃ ə ʁ j ɔ̃
attoucherons	a t u ʃ ə ʁ ɔ̃
attoucheront	a t u ʃ ə ʁ ɔ̃
attouches	a t u ʃ
attouchez	a t u ʃ e
attouchiez	a t u ʃ j e
attouchions	a t u ʃ j ɔ̃
attouchons	a t u ʃ ɔ̃
attouchâmes	a t u ʃ a m
attouchât	a t u ʃ a
attouchâtes	a t u ʃ a t
attouchèrent	a t u ʃ ɛ ʁ
attouché	a t u ʃ e
attouchée	a t u ʃ e
attouchées	a t u ʃ e
attouchés	a t u ʃ e
attraiante	a t ʁ e j ɑ̃ t
attraire	a t ʁ ɛ ʁ
attrapeur	a t ʁ a p œ ʁ
attrayable	a t ʁ e j a b l
attrayant	a t ʁ e j ɑ̃
attribuable	a t ʁ i b ɥ a b l
attribuables	a t ʁ i b ɥ a b l
attribut	a t ʁ i b y
attributif	a t ʁ i b y t i f
attribution	a t ʁ i b y s j ɔ̃
attributive	a t ʁ i b y t i v
attributrice	a t ʁ i b y t ʁ i s
attriquer	a t ʁ i k e
attrister	a t ʁ i s t e
atténuant	a t e n ɥ ɑ̃
atténuations	a t e n ɥ a s j ɔ̃
atténuative	a t e n ɥ a t i v
attérir	a t e ʁ i ʁ
attînmes	a t ɛ̃ m
attînt	a t ɛ̃
attîntes	a t ɛ̃ t
atélophobie	a t e l ɔ f ɔ b i
atélophobies	a t e l ɔ f ɔ b i
atérienne	a t e ʁ j ɛ n
aubain	o b ɛ̃
aubergiste	o b ɛ ʁ ʒ i s t
auberjonois	o b ɛ ʁ ʒ ɔ n w a
aubette	o b ɛ t
auboise	o b w a z
auburnienne	o b y ʁ n j ɛ n
aubépine	o b e p i n
auch	o ʃ
aucoin	o k w ɛ̃
auctoriale	o k t ɔ ʁ j a l
audet	o d ɛ
audio	o d j o
audiomètre	o d j ɔ m ɛ t ʁ
audiomètres	o d j ɔ m ɛ t ʁ
audiométries	o d j ɔ m e t ʁ i
audiométrique	o d j ɔ m e t ʁ i k
audiovisuel	o d j o v i z ɥ ɛ l
auditif	o d i t i f
auditorium	o d i t ɔ ʁ j ɔ m
auditrices	o d i t ʁ i s
audrey	o d ʁ e
audric	o d ʁ i k
audréane	o d ʁ e a n
audréanne	o d ʁ e a n
audrée	o d ʁ e
audureau	o d y ʁ o
augeronne	o ʒ ʁ ɔ n
augite	o ʒ i t
augment	o ɡ m ɑ̃
augmentatif	o ɡ m ɑ̃ t a t i f
augmentation	o ɡ m ɑ̃ t a s j ɔ̃
augmentatrice	o ɡ m ɑ̃ t a t ʁ i s
augsbourg	o ɡ z b u ʁ
augurale	o ɡ y ʁ a l
auguras	o ɡ y ʁ a
augustale	o ɡ y s t a l
augustine	o ɡ y s t i n
augustinienne	o ɡ y s t i n j ɛ n
aujourd'hui	a ʒ ɔ d ‿ ɥ i
aulacode	o l a k ɔ d
aulnay	o l n ɛ
aulne	o l n
aulnes	o l n
aulx	o
aulétride	o l e t ʁ i d
aumaille	o m a j
aumond	o m ɔ̃
aumônerie	o m o n ʁ i
aumônes	o m o n
auna	o n a
aunai	o n e
aunaient	o n ɛ
aunais	o n ɛ
aunant	o n ɑ̃
aunas	o n a
aunasse	o n a s
aunassent	o n a s
aunasses	o n a s
aunassiez	o n a s j e
aunassions	o n a s j ɔ̃
aunent	o n
auner	o n e
aunera	o n ʁ a
aunerai	o n ʁ e
auneraient	o n ʁ ɛ
aunerais	o n ʁ ɛ
aunerait	o n ʁ ɛ
auneras	o n ʁ a
aunerez	o n ʁ e
auneriez	o n ə ʁ j e
aunerions	o n ə ʁ j ɔ̃
aunerons	o n ʁ ɔ̃
auneront	o n ʁ ɔ̃
aunez	o n e
auniez	o n j e
aunions	o n j ɔ̃
aunons	o n ɔ̃
aunâmes	o n a m
aunât	o n a
aunâtes	o n a t
aunèrent	o n ɛ ʁ
auné	o n e
aupaluk	a u p a l y k
aura	o ʁ a
aurai	ɔ ʁ e
auraient	ɔ ʁ ɛ
aurais	ɔ ʁ ɛ
aurait	ɔ ʁ ɛ
aural	o ʁ a l
aurale	ɔ ʁ a l
auranofine	o ʁ a n ɔ f i n
aurantiacé	o ʁ ɑ̃ t j a s e
aurantiacée	ɔ ʁ ɑ̃ t j a s e
aureux	o ʁ ø
aurez	ɔ ʁ e
auriane	o ʁ j a n
auriculaire	o ʁ i k y l ɛ ʁ
auricule	o ʁ i k y l
auriculiforme	o ʁ i k y l i f ɔ ʁ m
auriculoventriculaire	o ʁ i k y l ɔ v ɑ̃ t ʁ i k y l ɛ ʁ
auriez	ɔ ʁ j e
aurification	o ʁ i f i k a s j ɔ̃
aurifier	o ʁ i f j e
aurifique	o ʁ i f i k
auriforme	o ʁ i f ɔ ʁ m
aurifère	o ʁ i f ɛ ʁ
aurige	o ʁ i ʒ
aurignac	ɔ ʁ i ɲ a k
aurignacien	o ʁ i ɲ a s j ɛ̃
aurignacienne	ɔ ʁ i ɲ a s j ɛ n
aurigny	ɔ ʁ i ɲ i
auriol	o ʁ j ɔ l
aurions	ɔ ʁ j ɔ̃
auripenne	o ʁ i p ɛ n
aurique	o ʁ i k
auriverde	o ʁ i v ɛ ʁ d e
auroch	o ʁ ɔ k
aurochs	o ʁ ɔ k
aurone	ɔ ʁ ɔ n
aurons	ɔ ʁ ɔ̃
auront	ɔ ʁ ɔ̃
aurophile	o ʁ ɔ f i l
aurophilique	o ʁ ɔ f i l i k
aurore	o ʁ ɔ ʁ
aurure	o ʁ y ʁ
aurélien	ɔ ʁ e l j ɛ̃
auréoler	o ʁ e ɔ l e
auréolé	o ʁ e ɔ l e
auréomycine	o ʁ e ɔ m i s i n
auscitaine	o s i t ɛ n
auscultasse	o s k y l t a s
auscultatrice	o s k y l t a t ʁ i s
ausculter	o s k y l t e
auspice	o s p i s
auspices	o s p i s
auspicieuse	o s p i s j ø z
aussitte	o s i t
aussière	o s j ɛ ʁ
aussières	o s j ɛ ʁ
australasie	o s t ʁ a l a z i
australie	o s t ʁ a l i
austraux	o s t ʁ o
austroasiatique	o s t ʁ ɔ a z j a t i k
austère	o s t ɛː ʁ
austénien	o s t e n j ɛ̃
austérité	o s t e ʁ i t e
autaire	o t ɛ ʁ
autan	o t ɑ̃
autarchie	o t a ʁ ʃ i
autarchique	o t a ʁ ʃ i k
autarcie	o t a ʁ s i
autarcies	o t a ʁ s i
autarcique	o t a ʁ s i k
auteuil	o t œ j
auteuillois	o t œ j w a
auteuilloise	o t œ j w a z
auteuilloises	o t œ j w a z
auteure	o t œ ʁ
auteuse	o t ø z
auteuses	o t ø z
authenticité	o t ɑ̃ t i s i t e
authentification	o t ɑ̃ t i f i k a s j ɔ̃
authentifier	o t ɑ̃ t i f j e
authentiquement	o t ɑ̃ t i k m ɑ̃
authentiquer	o t ɑ̃ t i k e
authigène	o t i ʒ ɛ n
autisme	o t i s m
autiste	o t i s t
autistique	o t i s t i k
autoaccusation	o t ɔ a k y z a s j ɔ̃
autoadhésif	o t ɔ a d e z i f
autoadhésive	o t o a d e z i v
autoadjoint	o t ɔ a d ʒ w ɛ̃
autoadjointe	o t o a d ʒ w ɛ̃ t
autoallumage	o t ɔ a l y m a ʒ
autoanalyser	o t ɔ a n a l i z e
autoapprentissage	o t ɔ a p ʁ ɑ̃ t i s a ʒ
autoassemblage	o t ɔ a s ɑ̃ b l a ʒ
autoassimiler	o t ɔ a s i m i l e
autoberge	o t ɔ b ɛ ʁ ʒ
autobiographie	o t ɔ b j ɔ ɡ ʁ a f i
autobiographique	o t ɔ b j ɔ ɡ ʁ a f i k
autobiographiquement	o t ɔ b j ɔ ɡ ʁ a f i k m ɑ̃
autobloquant	o t ɔ b l ɔ k ɑ̃
autoboxing	o t ɔ b ɔ k s i ŋ
autobronzant	o t ɔ b ʁ ɔ̃ z ɑ̃
autocar	o t ɔ k a ʁ
autocassable	o t ɔ k a s a b l
autocatalytique	o t ɔ k a t a l i t i k
autocatégorisation	o t ɔ k a t e ɡ ɔ ʁ i z a s j ɔ̃
autocatégoriser	o t ɔ k a t e ɡ ɔ ʁ i z e
autocensure	o t ɔ s ɑ̃ s y ʁ
autocentré	o t ɔ s ɑ̃ t ʁ e
autochauffant	o t ɔ ʃ o f ɑ̃
autochauffante	o t ɔ ʃ o f ɑ̃ t
autochenille	o t ɔ ʃ n i j
autochore	o t ɔ k ɔ ʁ
autochorie	o t ɔ k ɔ ʁ i
autochtone	o t ɔ k t ɔ n
autocicatrisant	o t ɔ s i k a t ʁ i z ɑ̃
autocicatrisante	o t ɔ s i k a t ʁ i z ɑ̃ t
autocinétique	o t ɔ s i n e t i k
autoclassifier	o t ɔ k l a s i f j e
autoclave	o t ɔ k l a v
autocollant	o t ɔ k ɔ l ɑ̃
autocompactant	o t ɔ k ɔ̃ p a k t ɑ̃
autocompactante	o t ɔ k ɔ̃ p a k t ɑ̃ t
autocompiler	o t ɔ k ɔ̃ p i l e
autocompléter	o t ɔ k ɔ̃ p l e t e
autocondensation	o t ɔ k ɔ̃ d ɑ̃ s a s j ɔ̃
autoconsommation	o t ɔ k ɔ̃ s ɔ m a s j ɔ̃
autocontradiction	o t ɔ k ɔ̃ t ʁ a d i k s j ɔ̃
autocopiant	o t ɔ k ɔ p j ɑ̃
autocopiante	o t o k ɔ p j ɑ̃ t
autocopie	o t ɔ k ɔ p i
autocorriger	o t ɔ k ɔ ʁ i ʒ e
autocorrélation	o t ɔ k ɔ ʁ e l a s j ɔ̃
autocorrélogramme	o t ɔ k ɔ ʁ e l ɔ ɡ ʁ a m
autocrate	o t ɔ k ʁ a t
autocratie	o t ɔ k ʁ a s i
autocratique	o t ɔ k ʁ a t i k
autocratiquement	o t ɔ k ʁ a t i k m ɑ̃
autocritique	o t ɔ k ʁ i t i k
autocuiseur	o t ɔ k ɥ i z œ ʁ
autocéphale	o t ɔ s e f a l
autodafé	o t ɔ d a f e
autodescriptif	o t ɔ d ɛ s k ʁ i p t i f
autodescriptive	o t ɔ d ɛ s k ʁ i p t i v
autodestructeur	o t ɔ d ɛ s t ʁ y k t œ ʁ
autodestruction	o t ɔ d ɛ s t ʁ y k s j ɔ̃
autodestructrice	o t ɔ d ɛ s t ʁ y k t ʁ i s
autodidacte	o t ɔ d i d a k t
autodiffusion	o t ɔ d i f y z j ɔ̃
autodirecteur	o t ɔ d i ʁ ɛ k t œ ʁ
autodirectrice	o t ɔ d i ʁ ɛ k t ʁ i s
autodiscipline	o t ɔ d i s i p l i n
autodissolution	o t ɔ d i s ɔ l y s j ɔ̃
autodissoudre	o t ɔ d i s u d ʁ
autodiégétique	o t ɔ d j e ʒ e t i k
autodrome	o t ɔ d ʁ o m
autodualité	o t ɔ d ɥ a l i t e
autoduplication	o t o d y p l i k a s j ɔ̃
autodynamique	o t ɔ d i n a m i k
autodéclaré	o t ɔ d e k l a ʁ e
autodéclarée	o t ɔ d e k l a ʁ e
autodéfense	o t ɔ d e f ɑ̃ s
autodégradable	o t ɔ d e ɡ ʁ a d a b l
autodénommé	o t ɔ d e n ɔ m e
autodénommée	o t ɔ d e n ɔ m e
autodérision	o t ɔ d e ʁ i z j ɔ̃
autodétermination	o t ɔ d e t ɛ ʁ m i n a s j ɔ̃
autodéterminer	o t ɔ d e t ɛ ʁ m i n e
autodétruire	o t ɔ d e t ʁ ɥ i ʁ
autoentrepreneur	o t ɔ ɑ̃ t ʁ ə p ʁ ə n œ ʁ
autoentrepreneuse	o t ɔ ɑ̃ t ʁ ə p ʁ ə n ø z
autoextinguible	o t ɔ ɛ k s t ɛ̃ ɡ i b l
autofellation	o t ɔ f e l a s j ɔ̃
autofiction	o t ɔ f i k s j ɔ̃
autofictionnel	o t ɔ f i k s j ɔ n ɛ l
autofictionnelle	o t ɔ f i k s j ɔ n ɛ l
autofinancement	o t ɔ f i n ɑ̃ s m ɑ̃
autofinancer	o t ɔ f i n ɑ̃ s e
autofocus	o t ɔ f ɔ k y s
autoformation	o t ɔ f ɔ ʁ m a s j ɔ̃
autogame	o t ɔ ɡ a m
autogamie	o t ɔ ɡ a m i
autogestionnaire	o t ɔ ʒ ɛ s t j ɔ n ɛ ʁ
autogire	o t ɔ ʒ i ʁ
autoglorificateur	o t ɔ ɡ l ɔ ʁ i f i k a t œ ʁ
autoglorification	o t ɔ ɡ l ɔ ʁ i f i k a s j ɔ̃
autoglorificatrice	o t ɔ ɡ l ɔ ʁ i f i k a t ʁ i s
autographie	o t ɔ ɡ ʁ a f i
autographier	o t ɔ ɡ ʁ a f j e
autographique	o t ɔ ɡ ʁ a f i k
autoguidé	o t ɔ ɡ i d e
autogène	o t ɔ ʒ ɛ n
autogérer	o t ɔ ʒ e ʁ e
autoharpe	o t ɔ a ʁ p
autoinductance	o t ɔ ɛ̃ d y k t ɑ̃ s
autoinoculable	o t ɔ i n ɔ k y l a b l
autointoxication	o t ɔ ɛ̃ t ɔ k s i k a s j ɔ̃
autojustification	o t ɔ ʒ y s t i f i k a s j ɔ̃
autolavable	o t ɔ l a v a b l
autolavables	o t o l a v a b l
autolaveur	o t ɔ l a v œ ʁ
autolaçant	o t ɔ l a s ɑ̃
autolaçante	o t ɔ l a s ɑ̃ t
autolimitation	o t ɔ l i m i t a s j ɔ̃
autolissant	o t ɔ l i s ɑ̃
autolissante	o t ɔ l i s ɑ̃ t
autologique	o t ɔ l ɔ ʒ i k
autologue	o t ɔ l ɔ ɡ
autolubrifiant	o t ɔ l y b ʁ i f j ɑ̃
autolyse	o t ɔ l i z
autolâtre	o t ɔ l a t ʁ
autolâtrique	o t ɔ l a t ʁ i k
automagique	o t ɔ m a ʒ i k
automagiquement	o t ɔ m a ʒ i k m ɑ̃
automate	o t ɔ m a t
automaticien	o t ɔ m a t i s j ɛ̃
automaticienne	o t ɔ m a t i s j ɛ n
automaticité	o t ɔ m a t i s i t e
automation	o t ɔ m a s j ɔ̃
automatiquement	o t ɔ m a t i k m ɑ̃
automatiques	o t ɔ m a t i k
automatisa	o t ɔ m a t i z a
automatisable	o t ɔ m a t i z a b l
automatisai	o t ɔ m a t i z e
automatisaient	o t ɔ m a t i z ɛ
automatisais	o t ɔ m a t i z ɛ
automatisait	o t ɔ m a t i z ɛ
automatisant	o t ɔ m a t i z ɑ̃
automatisas	o t ɔ m a t i z a
automatisasse	o t ɔ m a t i z a s
automatisassent	o t ɔ m a t i z a s
automatisasses	o t ɔ m a t i z a s
automatisassiez	o t ɔ m a t i z a s j e
automatisassions	o t ɔ m a t i z a s j ɔ̃
automatisation	o t ɔ m a t i z a s j ɔ̃
automatise	o t ɔ m a t i z
automatisent	o t ɔ m a t i z
automatiser	o t ɔ m a t i z e
automatisera	o t ɔ m a t i z ʁ a
automatiserai	o t ɔ m a t i z ʁ e
automatiseraient	o t ɔ m a t i z ʁ ɛ
automatiserais	o t ɔ m a t i z ʁ ɛ
automatiserait	o t ɔ m a t i z ʁ ɛ
automatiseras	o t ɔ m a t i z ʁ a
automatiserez	o t ɔ m a t i z ʁ e
automatiseriez	o t ɔ m a t i z ə ʁ j e
automatiserions	o t ɔ m a t i z ə ʁ j ɔ̃
automatiserons	o t ɔ m a t i z ʁ ɔ̃
automatiseront	o t ɔ m a t i z ʁ ɔ̃
automatises	o t ɔ m a t i z
automatisez	o t ɔ m a t i z e
automatisiez	o t ɔ m a t i z j e
automatisions	o t ɔ m a t i z j ɔ̃
automatisme	o t ɔ m a t i s m
automatisons	o t ɔ m a t i z ɔ̃
automatisâmes	o t ɔ m a t i z a m
automatisât	o t ɔ m a t i z a
automatisâtes	o t ɔ m a t i z a t
automatisèrent	o t ɔ m a t i z ɛ ʁ
automatisé	o t ɔ m a t i z e
automatophone	o t ɔ m a t ɔ f ɔ n
automesurer	o t ɔ m z y ʁ e
