'tain	t ɛ̃
adossement	a d o s m ɑ̃
adossent	a d o s
adosser	a d o s e
adossera	a d ɔ s ʁ a
adosserai	a d ɔ s ʁ e
adosseraient	a d ɔ s ʁ ɛ
adosserais	a d ɔ s ʁ ɛ
adosserait	a d ɔ s ʁ ɛ
adosseras	a d ɔ s ʁ a
adosserez	a d ɔ s ʁ e
adosseriez	a d ɔ s ə ʁ j e
adosserions	a d ɔ s ə ʁ j ɔ̃
adosserons	a d ɔ s ʁ ɔ̃
adosseront	a d ɔ s ʁ ɔ̃
adosses	a d o s
adossez	a d ɔ s e
adossiez	a d ɔ s j e
adossions	a d ɔ s j ɔ̃
adossons	a d ɔ s ɔ̃
adossâmes	a d ɔ s a m
adossât	a d ɔ s a
adossâtes	a d ɔ s a t
adossèrent	a d ɔ s ɛ ʁ
adossé	a d o s e
adoube	a d u b
adoubement	a d u b m ɑ̃
adoubent	a d u b
adouber	a d u b e
adoubes	a d u b
adoubé	a d u b e
adouci	a d u s i
adoucie	a d u s i
adoucies	a d u s i
adoucir	a d u s i ʁ
adoucira	a d u s i ʁ a
adoucirai	a d u s i ʁ e
adouciraient	a d u s i ʁ ɛ
adoucirais	a d u s i ʁ ɛ
adoucirait	a d u s i ʁ ɛ
adouciras	a d u s i ʁ a
adoucirent	a d u s i ʁ
adoucirez	a d u s i ʁ e
adouciriez	a d u s i ʁ j e
adoucirions	a d u s i ʁ j ɔ̃
adoucirons	a d u s i ʁ ɔ̃
adouciront	a d u s i ʁ ɔ̃
adoucis	a d u s i
adoucissage	a d u s i s a ʒ
adoucissaient	a d u s i s ɛ
adoucissais	a d u s i s ɛ
adoucissait	a d u s i s ɛ
adoucissant	a d u s i s ɑ̃
adoucisse	a d u s i s
adoucissement	a d u s i s m ɑ̃
adoucissent	a d u s i s
adoucisses	a d u s i s
adoucisseur	a d u s i s œ ʁ
adoucissez	a d u s i s e
adoucissiez	a d u s i s j e
adoucissions	a d u s i s j ɔ̃
adoucissons	a d u s i s ɔ̃
adoucit	a d u s i
adoucîmes	a d u s i m
adoucît	a d u s i
adoucîtes	a d u s i t
adpositionnel	a d p o z i s j ɔ n ɛ l
adpositionnelle	a d p o z i s j ɔ n ɛ l
adragant	a d ʁ a ɡ ɑ̃
adressage	a d ʁ e s a ʒ
adressant	a d ʁ e s ɑ̃
adresse	a d ʁ ɛ s
adresser	a d ʁ e s e
adressera	a d ʁ e s ʁ a
adresses	a d ʁ ɛ s
adressé	a d ʁ e s e
adressée	a d ʁ e s e
adressées	a d ʁ e s e
adressés	a d ʁ e s e
adret	a d ʁ ɛ
adriatique	a d ʁ i j a t i k
adroit	a d ʁ w a
adroite	a d ʁ w a t
adroitement	a d ʁ w a t m ɑ̃
adroites	a d ʁ w a t
adroits	a d ʁ w a
adrénaline	a d ʁ e n a l i n
adrénergique	a d ʁ e n ɛ ʁ ʒ i k
adrézarach	a d ʁ e z a ʁ a k
adscrit	a t s k ʁ i
adscrite	a d s k ʁ i t
adscrites	a d s k ʁ i t
adscrits	a d s k ʁ i
adsorbant	a t s ɔ ʁ b ɑ̃
adsorbe	a d s ɔ ʁ b
adsorber	a t s ɔ ʁ b e
adsorbeur	a t s ɔ ʁ b œ ʁ
adsorboluminescence	a t s ɔ ʁ b o l y m i n e s ɑ̃ s
adsorption	a t s ɔ ʁ p s j ɔ̃
adstrat	a t s t ʁ a
adualiste	a d ɥ a l i s t
adula	a d y l a
adulai	a d y l e
adulaient	a d y l ɛ
adulaire	a d y l ɛ ʁ
adulais	a d y l ɛ
adulait	a d y l ɛ
adulant	a d y l ɑ̃
adulas	a d y l a
adulasse	a d y l a s
adulassent	a d y l a s
adulasses	a d y l a s
adulassiez	a d y l a s j e
adulassions	a d y l a s j ɔ̃
adulateur	a d y l a t œ ʁ
adulation	a d y l a s j ɔ̃
adulations	a d y l a t j ɔ̃
adulatoire	a d y l a t w a ʁ
adulatrice	a d y l a t ʁ i s
adule	a d y l
adulent	a d y l
aduler	a d y l e
adulera	a d y l ʁ a
adulerai	a d y l ʁ e
aduleraient	a d y l ʁ ɛ
adulerais	a d y l ʁ ɛ
adulerait	a d y l ʁ ɛ
aduleras	a d y l ʁ a
adulerez	a d y l ʁ e
aduleriez	a d y l ə ʁ j e
adulerions	a d y l ə ʁ j ɔ̃
adulerons	a d y l ʁ ɔ̃
aduleront	a d y l ʁ ɔ̃
adules	a d y l
adulescent	a d y l e s ɑ̃
adulez	a d y l e
aduliez	a d y l j e
adulions	a d y l j ɔ̃
adulons	a d y l ɔ̃
adulte	a d y l t
adultes	a d y l t
adultisme	a d y l t i s m
adultère	a d y l t ɛ ʁ
adultères	a d y l t ɛ ʁ
adultération	a d y l t e ʁ a s j ɔ̃
adultérer	a d y l t e ʁ e
adultérin	a d y l t e ʁ ɛ̃
adultérine	a d y l t e ʁ i n
adulâmes	a d y l a m
adulât	a d y l a
adulâtes	a d y l a t
adulèrent	a d y l ɛ ʁ
adulé	a d y l e
adulée	a d y l e
adulées	a d y l e
adulés	a d y l e
adustion	a d y s t j ɔ̃
advection	a d v ɛ k s j ɔ̃
advenable	a d v ə n a b l
advenaient	a d v ə n ɛ
advenait	a d v ə n ɛ
advenant	a d v ə n ɑ̃
advenir	a d v ə n i ʁ
adventice	a d v ɑ̃ t i s
adventif	a d v ɑ̃ t i f
adventiste	a d v ɑ̃ t i s t
adventive	a d v ɑ̃ t i v
advenu	a d v ə n y
adverbal	a d v ɛ ʁ b a l
adverbale	a d v ɛ ʁ b a l
adverbe	a d v ɛ ʁ b
adverbial	a d v ɛ ʁ b j a l
adverbiale	a d v ɛ ʁ b j a l
adverbialement	a d v ɛ ʁ b j a l m ɑ̃
adverbiales	a d v ɛ ʁ b j a l
adverbiaux	a d v ɛ ʁ b j o
advers	a d v ɛ ʁ
adversaire	a d v ɛ ʁ s ɛ ʁ
adversaires	a d v ɛ ʁ s ɛ ʁ
adversatif	a d v ɛ ʁ s a t i f
adversative	a d v ɛ ʁ s a t i v
adversativement	a d v ɛ ʁ s a t i v m ɑ̃
adverse	a d v ɛ ʁ s
adverses	a d v ɛ ʁ s
adversité	a d v ɛ ʁ s i t e
advertir	a d v ɛ ʁ t i ʁ
adviendra	a d v j ɛ̃ d ʁ a
adviendraient	a d v j ɛ̃ d ʁ ɛ
adviendrait	a d v j ɛ̃ d ʁ ɛ
adviendront	a d v j ɛ̃ d ʁ ɔ̃
advienne	a d v j ɛ n
adviennent	a d v j ɛ n
advient	a d v j ɛ̃
advinrent	a d v ɛ̃ ʁ
advinssent	a d v ɛ̃ s
advint	a d v ɛ̃
advînt	a d v ɛ̃
adynamie	a d i n a m i
adynamique	a d i n a m i k
adélopode	a d e l ɔ p ɔ d
adénite	a d e n i t
adénoassociée	a d e n ɔ a s ɔ s j e
adénocarcinome	a d e n ɔ k a ʁ s i n ɔ m
adénographie	a d e n ɔ ɡ ʁ a f i
adénomateuse	a d e n ɔ m a t ø z
adénomateux	a d e n ɔ m a t ø
adénomatose	a d e n ɔ m a t o z
adénome	a d e n o m
adénopathie	a d e n ɔ p a t i
adénopathies	a d e n ɔ p a t i
adénosine	a d e n o z i n
adénoviral	a d e n o v i ʁ a l
adénovirale	a d e n ɔ v i ʁ a l
adénoïde	a d e n ɔ i d
adénoïdes	a d e n ɔ i d
adénylique	a d e n i l i k
adéphage	a d e f a ʒ
adéquat	a d e k w a
adéquate	a d e k w a t
adéquatement	a d e k w a t m ɑ̃
adéquates	a d e k w a t
adéquation	a d e k w a s j ɔ̃
adéquats	a d e k w a
adéquiste	a d e k i s t
aerhydrique	a e ʁ i d ʁ i k
aeschne	ɛ s k n
affabilité	a f a b i l i t e
affabilités	a f a b i l i t e
affable	a f a b l
affablement	a f a b l ə m ɑ̃
affables	a f a b l
affabulateur	a f a b y l a t œ ʁ
affabulation	a f a b y l a s j ɔ̃
affabulatoire	a f a b y l a t w a ʁ
affabulatrice	a f a b y l a t ʁ i s
affabuler	a f a b y l e
affacturage	a f a k t y ʁ a ʒ
affacturer	a f a k t y ʁ e
affadir	a f a d i ʁ
affadissant	a f a d i s ɑ̃
affadisse	a f a d i s
affadissement	a f a d i s m ɑ̃
affadissent	a f a d i s
affadisses	a f a d i s
affaibli	a f e b l i
affaiblir	a f e b l i ʁ
affaiblissant	a f e b l i s ɑ̃
affaiblisse	a f e b l i s
affaiblissement	a f e b l i s m ɑ̃
affaiblissent	a f e b l i s
affaiblisses	a f e b l i s
affaire	a f ɛ ʁ
affairement	a f ɛ ʁ m ɑ̃
affairent	a f ɛ ʁ
affairer	a f e ʁ e
affaires	a f ɛ ʁ
affairisme	a f e ʁ i s m
affairiste	a f e ʁ i s t
affairé	a f e ʁ e
affairée	a f e ʁ e
affaisse	a f ɛ s
affaissement	a f ɛ s m ɑ̃
affaissent	a f ɛ s
affaisser	a f e s e
affaisses	a f ɛ s
affaissé	a f e s e
affaitement	a f ɛ t m ɑ̃
affaiter	a f e t e
affaiteur	a f e t œ ʁ
affalable	a f a l a b l
affale	a f a l
affalement	a f a l m ɑ̃
affalent	a f a l
affaler	a f a l e
affales	a f a l
affalé	a f a l e
affama	a f a m a
affamai	a f a m e
affamaient	a f a m ɛ
affamais	a f a m ɛ
affamait	a f a m ɛ
affamant	a f a m ɑ̃
affamas	a f a m a
affamasse	a f a m a s
affamassent	a f a m a s
affamasses	a f a m a s
affamassiez	a f a m a s j e
affamassions	a f a m a s j ɔ̃
affame	a f a m
affamement	a f a m ə m ɑ̃
affament	a f a m
affamer	a f a m e
affamera	a f a m ʁ a
affamerai	a f a m ʁ e
affameraient	a f a m ʁ ɛ
affamerais	a f a m ʁ ɛ
affamerait	a f a m ʁ ɛ
affameras	a f a m ʁ a
affamerez	a f a m ʁ e
affameriez	a f a m ə ʁ j e
affamerions	a f a m ə ʁ j ɔ̃
affamerons	a f a m ʁ ɔ̃
affameront	a f a m ʁ ɔ̃
affames	a f a m
affameur	a f a m œ ʁ
affameuse	a f a m ø z
affamez	a f a m e
affamiez	a f a m j e
affamions	a f a m j ɔ̃
affamons	a f a m ɔ̃
affamâmes	a f a m a m
affamât	a f a m a
affamâtes	a f a m a t
affamèrent	a f a m ɛ ʁ
affamé	a f a m e
affamée	a f a m e
affamées	a f a m e
affamés	a f a m e
affaneur	a f a n œ ʁ
affect	a f ɛ k t
affectable	a f ɛ k t a b l
affectant	a f ɛ k t ɑ̃
affectasses	a f ɛ k t a s
affectataire	a f ɛ k t a t ɛ ʁ
affectation	a f ɛ k t a s j ɔ̃
affecte	a f ɛ k t
affectent	a f ɛ k t
affecter	a f ɛ k t e
affectif	a f ɛ k t i f
affectifs	a f ɛ k t i f
affection	a f ɛ k s j ɔ̃
affectionnaient	a f ɛ k s j ɔ n ɛ
affectionne	a f ɛ k s j ɔ n
affectionner	a f ɛ k s j ɔ n e
affectionné	a f ɛ k s j ɔ n e
affectionnément	a f ɛ k s j ɔ n e m ɑ̃
affections	a f ɛ k s j ɔ̃
affective	a f ɛ k t i v
affectivement	a f ɛ k t i v m ɑ̃
affectives	a f ɛ k t i v
affectivité	a f ɛ k t i v i t e
affectuel	a f ɛ k t ɥ ɛ l
affectueuse	a f ɛ k t ɥ ø z
affectueusement	a f ɛ k t ɥ ø z m ɑ̃
affectueuses	a f ɛ k t ɥ ø z
affectueux	a f ɛ k t ɥ ø
affecté	a f ɛ k t e
affener	a f n e
affenpinscher	a f ə n p i n ʃ ə ʁ
affermable	a f ɛ ʁ m a b l
affermage	a f ɛ ʁ m a ʒ
afferme	a f ɛ ʁ m
afferment	a f ɛ ʁ m
affermer	a f ɛ ʁ m e
affermir	a f ɛ ʁ m i ʁ
affermisse	a f ɛ ʁ m i s
affermissement	a f ɛ ʁ m i s m ɑ̃
affermissent	a f ɛ ʁ m i s
affermisses	a f ɛ ʁ m i s
affetto	a f e t o
affettuoso	a f e t w o z o
affichable	a f i ʃ a b l
affichage	a f i ʃ a ʒ
affichages	a f i ʃ a ʒ
affiche	a f i ʃ
afficher	a f i ʃ e
affichette	a f i ʃ ɛ t
afficheur	a f i ʃ œ ʁ
afficheuse	a f i ʃ ø z
affichiste	a f i ʃ i s t
affiché	a f i ʃ e
affidavit	a f i d a v i t
affidé	a f i d e
affidée	a f i d e
affilage	a f i l a ʒ
affile	a f i l
affilent	a f i l
affiler	a f i l e
affiles	a f i l
affileur	a f i l œ ʁ
affiliation	a f i l j a s j ɔ̃
affilier	a f i l j e
affilié	a f i l j e
affiloir	a f i l w a ʁ
affilé	a f i l e
affilée	a f i l e
affin	a f ɛ̃
affinage	a f i n a ʒ
affine	a f i n
affinement	a f i n m ɑ̃
affinent	a f i n
affiner	a f i n e
affinerie	a f i n ʁ i
affines	a f i n
affineur	a f i n œ ʁ
affineuse	a f i n ø z
affinitaire	a f i n i t ɛ ʁ
affinité	a f i n i t e
affinités	a f i n i t e
affiné	a f i n e
affiquet	a f i k ɛ
affirma	a f i ʁ m a
affirmai	a f i ʁ m e
affirmaient	a f i ʁ m ɛ
affirmais	a f i ʁ m ɛ
affirmait	a f i ʁ m ɛ
affirmant	a f i ʁ m ɑ̃
affirmas	a f i ʁ m a
affirmasse	a f i ʁ m a s
affirmassent	a f i ʁ m a s
affirmasses	a f i ʁ m a s
affirmassiez	a f i ʁ m a s j e
affirmassions	a f i ʁ m a s j ɔ̃
affirmateur	a f i ʁ m a t œ ʁ
affirmatif	a f i ʁ m a t i f
affirmatifs	a f i ʁ m a t i f
affirmation	a f i ʁ m a s j ɔ̃
affirmative	a f i ʁ m a t i v
affirmativement	a f i ʁ m a t i v m ɑ̃
affirmatives	a f i ʁ m a t i v
affirmatrice	a f i ʁ m a t ʁ i s
affirme	a f i ʁ m
affirment	a f i ʁ m
affirmer	a f i ʁ m e
affirmera	a f i ʁ m ə ʁ a
affirmerai	a f i ʁ m ə ʁ e
affirmeraient	a f i ʁ m ə ʁ ɛ
affirmerais	a f i ʁ m ə ʁ ɛ
affirmerait	a f i ʁ m ə ʁ ɛ
affirmeras	a f i ʁ m ə ʁ a
affirmerez	a f i ʁ m ə ʁ e
affirmeriez	a f i ʁ m ə ʁ j e
affirmerions	a f i ʁ m ə ʁ j ɔ̃
affirmerons	a f i ʁ m ə ʁ ɔ̃
affirmeront	a f i ʁ m ə ʁ ɔ̃
affirmes	a f i ʁ m
affirmez	a f i ʁ m e
affirmiez	a f i ʁ m j e
affirmions	a f i ʁ m j ɔ̃
affirmons	a f i ʁ m ɔ̃
affirmâmes	a f i ʁ m a m
affirmât	a f i ʁ m a
affirmâtes	a f i ʁ m a t
affirmèrent	a f i ʁ m ɛ ʁ
affirmé	a f i ʁ m e
affirmée	a f i ʁ m e
affirmées	a f i ʁ m e
affirmés	a f i ʁ m e
affixa	a f i k s a
affixai	a f i k s e
affixaient	a f i k s ɛ
affixais	a f i k s ɛ
affixait	a f i k s ɛ
affixal	a f i k s a l
affixale	a f i k s a l
affixant	a f i k s ɑ̃
affixas	a f i k s a
affixasse	a f i k s a s
affixassent	a f i k s a s
affixasses	a f i k s a s
affixassiez	a f i k s a s j e
affixassions	a f i k s a s j ɔ̃
affixation	a f i k s a s j ɔ̃
affixe	a f i k s
affixent	a f i k s
affixer	a f i k s e
affixera	a f i k s ə ʁ a
affixerai	a f i k s ə ʁ e
affixeraient	a f i k s ə ʁ ɛ
affixerais	a f i k s ə ʁ ɛ
affixerait	a f i k s ə ʁ ɛ
affixeras	a f i k s ə ʁ a
affixerez	a f i k s ə ʁ e
affixeriez	a f i k s ə ʁ j e
affixerions	a f i k s ə ʁ j ɔ̃
affixerons	a f i k s ə ʁ ɔ̃
affixeront	a f i k s ə ʁ ɔ̃
affixes	a f i k s
affixez	a f i k s e
affixiez	a f i k s j e
affixions	a f i k s j ɔ̃
affixons	a f i k s ɔ̃
affixâmes	a f i k s a m
affixât	a f i k s a
affixâtes	a f i k s a t
affixèrent	a f i k s ɛ ʁ
affixé	a f i k s e
affleurant	a f l œ ʁ ɑ̃
affleure	a f l œ ʁ
affleurement	a f l œ ʁ m ɑ̃
affleurent	a f l œ ʁ
affleurer	a f l œ ʁ e
affleures	a f l œ ʁ
afflictif	a f l i k t i f
affliction	a f l i k s j ɔ̃
afflictive	a f l i k t i v
afflige	a f l i ʒ
affligea	a f l i ʒ a
affligeai	a f l i ʒ e
affligeaient	a f l i ʒ ɛ
affligeais	a f l i ʒ ɛ
affligeait	a f l i ʒ ɛ
affligeant	a f l i ʒ ɑ̃
affligeas	a f l i ʒ a
affligeasse	a f l i ʒ a s
affligeassent	a f l i ʒ a s
affligeasses	a f l i ʒ a s
affligeassiez	a f l i ʒ a s j e
affligeassions	a f l i ʒ a s j ɔ̃
affligent	a f l i ʒ
affligeons	a f l i ʒ ɔ̃
affliger	a f l i ʒ e
affligera	a f l i ʒ ʁ a
affligerai	a f l i ʒ ʁ e
affligeraient	a f l i ʒ ʁ ɛ
affligerais	a f l i ʒ ʁ ɛ
affligerait	a f l i ʒ ʁ ɛ
affligeras	a f l i ʒ ʁ a
affligerez	a f l i ʒ ʁ e
affligeriez	a f l i ʒ ə ʁ j e
affligerions	a f l i ʒ ə ʁ j ɔ̃
affligerons	a f l i ʒ ʁ ɔ̃
affligeront	a f l i ʒ ʁ ɔ̃
affliges	a f l i ʒ
affligez	a f l i ʒ e
affligeâmes	a f l i ʒ a m
affligeât	a f l i ʒ a
affligeâtes	a f l i ʒ a t
affligiez	a f l i ʒ j e
affligions	a f l i ʒ j ɔ̃
affligèrent	a f l i ʒ ɛ ʁ
affligé	a f l i ʒ e
affligée	a f l i ʒ e
affligés	a f l i ʒ e
afflouage	a f l u a ʒ
afflouer	a f l u e
affluant	a f l y ɑ̃
afflue	a f l y
affluence	a f l y ɑ̃ s
affluences	a f l y ɑ̃ s
affluent	a f l y
affluente	a f l y ɑ̃ t
affluentes	a f l y ɑ̃ t
affluents	a f l y ɑ̃
affluer	a f l y e
afflux	a f l y
affola	a f ɔ l a
affolai	a f ɔ l e
affolaient	a f ɔ l ɛ
affolais	a f ɔ l ɛ
affolait	a f ɔ l ɛ
affolant	a f ɔ l ɑ̃
affolas	a f ɔ l a
affolasse	a f ɔ l a s
affolassent	a f ɔ l a s
affolasses	a f ɔ l a s
affolassiez	a f ɔ l a s j e
affolassions	a f ɔ l a s j ɔ̃
affole	a f ɔ l
affolement	a f ɔ l m ɑ̃
affolent	a f ɔ l
affoler	a f ɔ l e
affolera	a f ɔ l ʁ a
affolerai	a f ɔ l ʁ e
affoleraient	a f ɔ l ʁ ɛ
affolerais	a f ɔ l ʁ ɛ
affolerait	a f ɔ l ʁ ɛ
affoleras	a f ɔ l ʁ a
affolerez	a f ɔ l ʁ e
affoleriez	a f ɔ l ə ʁ j e
affolerions	a f ɔ l ə ʁ j ɔ̃
affolerons	a f ɔ l ʁ ɔ̃
affoleront	a f ɔ l ʁ ɔ̃
affoles	a f ɔ l
affolez	a f ɔ l e
affoliez	a f ɔ l j e
affolions	a f ɔ l j ɔ̃
affolons	a f ɔ l ɔ̃
affolâmes	a f ɔ l a m
affolât	a f ɔ l a
affolâtes	a f ɔ l a t
affolèrent	a f ɔ l ɛ ʁ
affolé	a f ɔ l e
affordant	a f ɔ ʁ d ɑ̃
affordante	a f ɔ ʁ d ɑ̃ t
afforder	a f ɔ ʁ d e
afforester	a f ɔ ʁ ɛ s t e
afforesté	a f ɔ ʁ ɛ s t e
affouage	a f w a ʒ
affouche	a f u ʃ
affouille	a f u j
affouillement	a f u j m ɑ̃
affouiller	a f u j e
affouilles	a f u j
affourage	a f u ʁ a ʒ
affouragement	a f u ʁ a ʒ m ɑ̃
affourager	a f u ʁ a ʒ e
affourages	a f u ʁ a ʒ
affourche	a f u ʁ ʃ
affourcher	a f u ʁ ʃ e
affourché	a f u ʁ ʃ e
affranchi	a f ʁ ɑ̃ ʃ i
affranchir	a f ʁ ɑ̃ ʃ i ʁ
affranchissement	a f ʁ ɑ̃ ʃ i s m ɑ̃
affres	a f ʁ
affreuse	a f ʁ ø z
affreusement	a f ʁ ø z m ɑ̃
affreuses	a f ʁ ø z
affreux	a f ʁ ø
affriander	a f ʁ i j ɑ̃ d e
affriolant	a f ʁ i j ɔ l ɑ̃
affrioler	a f ʁ i j ɔ l e
affriquer	a f ʁ i k e
affriqué	a f ʁ i k e
affriquée	a f ʁ i k e
affriter	a f ʁ i t e
affront	a f ʁ ɔ̃
affrontable	a f ʁ ɔ̃ t a b l
affronte	a f ʁ ɔ̃ t
affrontement	a f ʁ ɔ̃ t m ɑ̃
affrontements	a f ʁ ɔ̃ t m ɑ̃
affrontent	a f ʁ ɔ̃ t
affronter	a f ʁ ɔ̃ t e
affrontera	a f ʁ ɔ̃ t ʁ a
affrontes	a f ʁ ɔ̃ t
affronts	a f ʁ ɔ̃
affronté	a f ʁ ɔ̃ t e
affruiter	a f ʁ ɥ i t e
affrèrement	a f ʁ ɛ ʁ m ɑ̃
affrètement	a f ʁ ɛ t m ɑ̃
affréter	a f ʁ e t e
affréteur	a f ʁ e t œ ʁ
affuble	a f y b l
affublement	a f y b l ə m ɑ̃
affublent	a f y b l
affubler	a f y b l e
affubles	a f y b l
affublé	a f y b l e
affure	a f y ʁ
affurer	a f y ʁ e
affusion	a f y z j ɔ̃
affuter	a f y t e
affuté	a f y t e
afféage	a f e a ʒ
afféager	a f e a ʒ e
afférent	a f e ʁ ɑ̃
afférente	a f e ʁ ɑ̃ t
afféterie	a f e t ʁ i
affété	a f e t e
affétée	a f e t e
affût	a f y
affûtage	a f y t a ʒ
affûte	a f y t
affûter	a f y t e
affûteur	a f y t œ ʁ
affûteuse	a f y t ø z
affûtiau	a f y t j o
affûté	a f y t e
afghanes	a f ɡ a n
afghans	a f ɡ ɑ̃
aficionado	a f i s j ɔ n a d o
afin	a f ɛ̃
afistoler	a f i s t ɔ l e
afocal	a f ɔ k a l
afocale	a f ɔ k a l
africanisant	a f ʁ i k a n i z ɑ̃
africanisation	a f ʁ i k a n i z a s j ɔ̃
africaniser	a f ʁ i k a n i z e
africanisme	a f ʁ i k a n i s m
africanissime	a f ʁ i k a n i s i m
africanissimes	a f ʁ i k a n i s i m
africaniste	a f ʁ i k a n i s t
africanisée	a f ʁ i k a n i z e
africanité	a f ʁ i k a n i t e
africanoïde	a f ʁ i k a n ɔ i d
afrikaans	a f ʁ i k a n s
afrikander	a f ʁ i k ɑ̃ d ɛ ʁ
afrikaner	a f ʁ i k a n ɛ ʁ
afro	a f ʁ o
afroasiatique	a f ʁ o a z j a t i k
afrocentrique	a f ʁ ɔ s ɑ̃ t ʁ i k
afrocentrisme	a f ʁ o s ɑ̃ t ʁ i s m
afrocolombien	a f ʁ o k ɔ l ɔ̃ b j ɛ̃
afrocolombienne	a f ʁ o k ɔ l ɔ̃ b j ɛ n
afroféministe	a f ʁ o f e m i n i s t
afrophobie	a f ʁ ɔ f ɔ b i
afrophone	a f ʁ ɔ f ɔ n
afropolitain	a f ʁ ɔ p ɔ l i t ɛ̃
afropolitaine	a f ʁ ɔ p ɔ l i t ɛ n
afroéquatorien	a f ʁ o e k w a t ɔ ʁ j ɛ̃
afroéquatorienne	a f ʁ o e k a t ɔ ʁ j ɛ n
aga	a ɡ a
agace	a ɡ a s
agacement	a ɡ a s m ɑ̃
agacent	a ɡ a s
agacer	a ɡ a s e
agacera	a ɡ a s ʁ a
agacerai	a ɡ a s ʁ e
agaceraient	a ɡ a s ʁ ɛ
agacerais	a ɡ a s ʁ ɛ
agacerait	a ɡ a s ʁ ɛ
agaceras	a ɡ a s ʁ a
agacerez	a ɡ a s ʁ e
agacerie	a ɡ a s ʁ i
agaceriez	a ɡ a s ə ʁ j e
agacerions	a ɡ a s ə ʁ j ɔ̃
agacerons	a ɡ a s ʁ ɔ̃
agaceront	a ɡ a s ʁ ɔ̃
agaces	a ɡ a s
agacez	a ɡ a s e
agaciez	a ɡ a s j e
agacions	a ɡ a s j ɔ̃
agacèrent	a ɡ a s ɛ ʁ
agacé	a ɡ a s e
agacée	a ɡ a s e
agacées	a ɡ a s e
agacés	a ɡ a s e
agaillardir	a ɡ a j a ʁ d i ʁ
agalactie	a ɡ a l a k t i
agalloche	a ɡ a l ɔ ʃ
agami	a ɡ a m i
agamie	a ɡ a m i
aganite	a ɡ a n i t
agapanthe	a ɡ a p ɑ̃ t
agape	a ɡ a p
agar	a ɡ a ʁ
agaric	a ɡ a ʁ i k
agariciforme	a ɡ a ʁ i s i f ɔ ʁ m
agas	a ɡ a
agate	a ɡ a t
agathachristien	a ɡ a t a k ʁ i s t j ɛ̃
agathachristienne	a ɡ a t a k ʁ i s t j ɛ n
agathodémon	a ɡ a t ɔ d e m ɔ̃
agathois	a ɡ a t w a
agatifiée	a ɡ a t i f j e
agatifère	a ɡ a t i f ɛ ʁ
agatiser	a ɡ a t i z e
agatisé	a ɡ a t i z e
agave	a ɡ a v
agavé	a ɡ a v e
agaça	a ɡ a s a
agaçai	a ɡ a s e
agaçaient	a ɡ a s ɛ
agaçais	a ɡ a s ɛ
agaçait	a ɡ a s ɛ
agaçant	a ɡ a s ɑ̃
agaçante	a ɡ a s ɑ̃ t
agaçantes	a ɡ a s ɑ̃ t
agaçants	a ɡ a s ɑ̃
agaças	a ɡ a s a
agaçasse	a ɡ a s a s
agaçassent	a ɡ a s a s
agaçasses	a ɡ a s a s
agaçassiez	a ɡ a s a s j e
agaçassions	a ɡ a s a s j ɔ̃
agaçons	a ɡ a s ɔ̃
agaçâmes	a ɡ a s a m
agaçât	a ɡ a s a
agaçâtes	a ɡ a s a t
age	a ʒ
agence	a ʒ ɑ̃ s
agencement	a ʒ ɑ̃ s m ɑ̃
agencent	a ʒ ɑ̃ s
agencer	a ʒ ɑ̃ s e
agences	a ʒ ɑ̃ s
agenceur	a ʒ ɑ̃ s œ ʁ
agenceuse	a ʒ ɑ̃ s ø z
agencé	a ʒ ɑ̃ s e
agenda	a ʒ ɑ̃ d a
agendas	a ʒ ɑ̃ d a
agenouille	a ʒ n u j
agenouillement	a ʒ n u j m ɑ̃
agenouillent	a ʒ n u j
agenouiller	a ʒ n u j e
agenouilles	a ʒ n u j
agenouilliste	a ʒ n u j i s t
agenouilloir	a ʒ n u j w a ʁ
agenouillé	a ʒ n u j e
agenre	a ʒ ɑ̃ ʁ
agent	a ʒ ɑ̃
agente	a ʒ ɑ̃ t
agentes	a ʒ ɑ̃ t
agents	a ʒ ɑ̃
agençable	a ʒ ɑ̃ s a b l
agençant	a ʒ ɑ̃ s ɑ̃
ageratum	a ʒ e ʁ a t ɔ m
ages	a ʒ
ageustie	a ʒ œ s t i
aggiornamento	a d ʒ ɔ ʁ n a m ɑ̃ t o
agglo	a ɡ l o
agglomérant	a ɡ l ɔ m e ʁ ɑ̃
agglomérat	a ɡ l ɔ m e ʁ a
agglomératif	a ɡ l ɔ m e ʁ a t i f
agglomération	a ɡ l ɔ m e ʁ a s j ɔ̃
agglomérations	a ɡ l ɔ m e ʁ a s j ɔ̃
agglomérative	a ɡ l ɔ m e ʁ a t i v
agglomérer	a ɡ l ɔ m e ʁ e
aggloméré	a ɡ l ɔ m e ʁ e
agglutina	a ɡ l y t i n a
agglutinant	a ɡ l y t i n ɑ̃
agglutinateur	a ɡ l y t i n a t œ ʁ
agglutinatif	a ɡ l y t i n a t i f
agglutinatifs	a ɡ l y t i n a t i f
agglutination	a ɡ l y t i n a s j ɔ̃
agglutinative	a ɡ l y t i n a t i v
agglutinatives	a ɡ l y t i n a t i v
agglutinatrice	a ɡ l y t i n a t ʁ i s
agglutiner	a ɡ l y t i n e
agglutineuse	a ɡ l y t i n ø z
agglutineux	a ɡ l y t i n ø
aggravant	a ɡ ʁ a v ɑ̃
aggravante	a ɡ ʁ a v ɑ̃ t
aggravation	a ɡ ʁ a v a s j ɔ̃
