a	ɐ
antidogmático	ɐ̃ t i d o ɡ i m ɐ t i k o
antidoméstico	ɐ̃ t i d o m e s t i k o
antidopagem	ɐ̃ t i d o p ɐ ʒ ẽ s
antidopaminérgico	ɐ̃ t i d o p ɐ m i n e ɹ ʒ i k u
antidoping	ɐ̃ t ʃ i d o p ĩ ɡ
antidotal	ɐ̃ t i d o t ɐ w
antidotar	ɐ̃ t i d o t ɐ
antidotário	ɐ̃ t i d o t ɐ ɾ i o
antidrama	ɐ̃ t i d ɾ ɐ m ɐ
antidroga	ɐ̃ t i d ɾ o ɡ ɐ
antidrogas	ɐ̃ t ʃ i d ɾ o ɡ ɐ s
antidromicamente	ɐ̃ t i d ɾ o m i k ɐ m ẽ t e
antidrômico	ɐ̃ t i d ɾ o m i k o
antidumping	ɐ̃ t ʃ i d ũ p ĩ ɡ
antiduna	ɐ̃ t i d u n ɐ
antidéficit	ɐ̃ t i d e f i s i t
antieclesiástico	ɐ̃ t i e k l e z i ɐ s t i k o
antieconômico	ɐ̃ t i e k o n o m i k o
antieducativo	ɐ̃ t i e d u k ɐ t i v o
antielite	ɐ̃ t i e l i t e
antielitismo	ɐ̃ t i e l i t i z m o
antielitista	ɐ̃ t i e l i t i s t ɐ
antiembaçante	ɐ̃ t i ĩ b ɐ s ɐ̃ t e
antiemocional	ɐ̃ t i e m o s i o n ɐ w
antiemotivo	ɐ̃ t i e m o t i v o
antiempirismo	ɐ̃ t i ĩ p i ɾ i z m o
antiempirista	ɐ̃ t i ĩ p i ɾ i s t ɐ
antiemprego	ɐ̃ t i ĩ p ɾ e ɡ o
antiempírico	ɐ̃ t i ĩ p i ɾ i k o
antiemético	ɐ̃ t i e m e t i k o
antienchente	ɐ̃ t i ĩ ʃ ẽ t e
antiencolhimento	ɐ̃ t i ĩ k o ʎ i m ẽ t o
antiendotoxina	ɐ̃ t i ẽ d o t o k s i n ɐ
antiendotóxico	ɐ̃ t i ẽ d o t o k s i k o
antientrópico	ɐ̃ t i ĩ t ɾ o p i k o
antienvelhecimento	ɐ̃ t i ĩ v e ʎ e s i m ẽ t o
antienxaqueca	ɐ̃ t i ĩ ʃ ɐ k e k ɐ
antiepiléptico	ɐ̃ t i e p i l e p t i k o
antiepilético	ɐ̃ t i e p i l e t i k o
antierosivo	ɐ̃ t i e ɾ o z i v o
antierosão	ɐ̃ t i e ɾ o z ɐ̃ ɐ̃w̃
antierótico	ɐ̃ t i e ɾ o t i k o
antiescola	ɐ̃ t i e s k o l ɐ
antiescolástico	ɐ̃ t i e s k o l ɐ s t i k o
antiescorbútico	ɐ̃ t i e s k o ɹ b u t i k u
antiescravista	ɐ̃ t i e s k ɾ ɐ v i s t ɐ
antiescrofuloso	ɐ̃ t i e s k ɾ o f u l o z o
antiespasmódico	ɐ̃ t i e s p ɐ z m o d i k o
antiespiritismo	ɐ̃ t i e s p i ɾ i t i z m o
antiespiritual	ɐ̃ t i e s p i ɾ i t u ɐ w
antiespiritualismo	ɐ̃ t i e s p i ɾ i t u ɐ l i z m o
antiesportivo	ɐ̃ t i e s p o ɹ t i v u
antiestabelecimento	ɐ̃ t i e s t ɐ b e l e s i m ẽ t o
antiestafilocócico	ɐ̃ t i e s t ɐ f i l o k o s i k o
antiestrela	ɐ̃ t i e s t ɾ e l ɐ
antiestresse	ɐ̃ t i e s t ɾ e s e
antiestético	ɐ̃ t i e s t e t i k o
antieuropeísmo	ɐ̃ t i e w ɾ o p e i z m o
antievangélico	ɐ̃ t i e v ɐ̃ ʒ e l i k o
antiexclusão	ɐ̃ t i e s k l u z ɐ̃ ɐ̃w̃
antiexperimentalismo	ɐ̃ t i e s p e ɾ i m ẽ t ɐ l i z m o
antiexploração	ɐ̃ t i e s p l o ɾ ɐ s ɐ̃ ɐ̃w̃
antiexportação	ɐ̃ t i e s p o ɹ t ɐ s ɐ̃ ɐ̃w̃
antiexpressionista	ɐ̃ t i e s p ɾ e s i o n i s t ɐ
antiexpressivo	ɐ̃ t i e s p ɾ e s i v o
antiextorsão	ɐ̃ t i e s t o ɹ s ɐ̃ ɐ̃w̃
antiextremismo	ɐ̃ t i e s t ɾ e m i z m o
antiextremista	ɐ̃ t i e s t ɾ e m i s t ɐ
antiexército	ɐ̃ t i e z e ɹ s i t u
antifadiga	ɐ̃ t i f ɐ d i ɡ ɐ
antifagocítica	ɐ̃ t i f ɐ ɡ o s i t i k ɐ
antifagocíticas	ɐ̃ t i f ɐ ɡ o s i t i k ɐ s
antifagocítico	ɐ̃ t i f ɐ ɡ o s i t i k o
antifagocíticos	ɐ̃ t i f ɐ ɡ o s i t i k o s
antifalsificação	ɐ̃ t i f ɐ w s i f i k ɐ s ɐ̃ ɐ̃w̃
antifamília	ɐ̃ t i f ɐ m i l i ɐ
antifascismo	ɐ̃ t i f ɐ s i z m o
antifascista	ɐ̃ t i f ɐ s i s t ɐ
antifase	ɐ̃ t i f ɐ z e
antifebril	ɐ̃ t i f e b ɾ i w
antifebrina	ɐ̃ t i f e b ɾ i n ɐ
antifederal	ɐ̃ t i f e d e ɾ ɐ w
antifederalismo	ɐ̃ t i f e d e ɾ ɐ l i z m o
antifederalista	ɐ̃ t i f e d e ɾ ɐ l i s t ɐ
antifeminino	ɐ̃ t i f e m i n i n o
antifeminismo	ɐ̃ t i f e m i n i z m o
antifeminista	ɐ̃ t i f e m i n i s t ɐ
antiferroelétrico	ɐ̃ t i f e ʁ o e l e t ɾ i k o
antiferromagneticamente	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t i k ɐ m ẽ t e
antiferromagnetismo	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t i z m o
antiferromagneto	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t o
antiferromagnética	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t i k ɐ
antiferromagnéticas	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t i k ɐ s
antiferromagnético	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t i k o
antiferromagnéticos	ɐ̃ t i f e ʁ o m ɐ ɡ i n e t i k o s
antiferroviário	ɐ̃ t i f e ʁ o v i ɐ ɾ i o
antiferrugem	ɐ̃ t i f e ʁ u ʒ ẽ s
antifertilidade	ɐ̃ t i f e ɹ t i l i d ɐ d i
antifeudal	ɐ̃ t i f e w d ɐ w
antifeudalismo	ɐ̃ t i f e w d ɐ l i z m o
antifibrina	ɐ̃ t i f i b ɾ i n ɐ
antifibrinolítico	ɐ̃ t i f i b ɾ i n o l i t i k o
antifibrose	ɐ̃ t i f i b ɾ o z e
antifibrótico	ɐ̃ t i f i b ɾ o t i k o
antifilme	ɐ̃ t i f i w m e
antifilosofia	ɐ̃ t i f i l o z o f i ɐ
antifilosófico	ɐ̃ t i f i l o z o f i k o
antifilósofo	ɐ̃ t i f i l o z o f o
antifinanceiro	ɐ̃ t i f i n ɐ̃ s e ɾ ɾ o
antiflatulento	ɐ̃ t i f l ɐ t u l ẽ t o
antiflatulência	ɐ̃ t i f l ɐ t u l ẽ s i ɐ
antiflogístico	ɐ̃ t i f l o ʒ i s t i k o
antifluoretação	ɐ̃ t i f l u o ɾ e t ɐ s ɐ̃ ɐ̃w̃
antifluxo	ɐ̃ t i f l u k s o
antifogo	ɐ̃ t i f o ɡ o
antifoguete	ɐ̃ t i f o ɡ e t e
antifoguetes	ɐ̃ t i f o ɡ e t e s
antifolato	ɐ̃ t i f o l ɐ t o
antifome	ɐ̃ t i f o m e
antifonal	ɐ̃ t i f o n ɐ w
antifonia	ɐ̃ t i f o n i ɐ
antifonicamente	ɐ̃ t i f o n i k ɐ m ẽ t e
antifonário	ɐ̃ t i f o n ɐ ɾ i o
antiforense	ɐ̃ t i f o ɾ ẽ s e
antiforma	ɐ̃ t i f o ɹ m ɐ
antiformal	ɐ̃ t i f o ɹ m ɐ w
antiformalismo	ɐ̃ t i f o ɹ m ɐ l i z m u
antiformalista	ɐ̃ t i f o ɹ m ɐ l i s t ɐ
antiformiga	ɐ̃ t i f o ɹ m i ɡ ɐ
antifosfolipídico	ɐ̃ t i f o s f o l i p i d i k o
antifosfolipídio	ɐ̃ t i f o s f o l i p i d i o
antifosfolípide	ɐ̃ t i f o s f o l i p i d e
antifragilidade	ɐ̃ t i f ɾ ɐ ʒ i l i d ɐ d e
antifrasticamente	ɐ̃ t i f ɾ ɐ s t i k ɐ m ẽ t e
antifraude	ɐ̃ t i f ɾ ɐ w d e
antifricção	ɐ̃ t i f ɾ i k s ɐ̃ ɐ̃w̃
antifrástico	ɐ̃ t i f ɾ ɐ s t i k o
antifumaça	ɐ̃ t i f u m ɐ s ɐ
antifumo	ɐ̃ t ʃ i f ũ m u
antifundacional	ɐ̃ t i f ũ d ɐ s i o n ɐ w
antifundacionalismo	ɐ̃ t i f ũ d ɐ s i o n ɐ l i z m o
antifundacionalista	ɐ̃ t i f ũ d ɐ s i o n ɐ l i s t ɐ
antifundacionismo	ɐ̃ t i f ũ d ɐ s i o n i z m o
antifundacionista	ɐ̃ t i f ũ d ɐ s i o n i s t ɐ
antifundamentalismo	ɐ̃ t i f ũ d ɐ m ẽ t ɐ l i z m o
antifundamentalista	ɐ̃ t i f ũ d ɐ m ẽ t ɐ l i s t ɐ
antifurto	ɐ̃ t ʃ i f u ɹ t u
antifusão	ɐ̃ t i f u z ɐ̃ ɐ̃w̃
antifutebol	ɐ̃ t i f u t i b o w
antifã	ɐ̃ t i f ɐ̃
antiférmion	ɐ̃ t i f e ɹ m i õ
antifóbico	ɐ̃ t i f o b i k o
antifólico	ɐ̃ t i f o l i k o
antifóton	ɐ̃ t i f o t õ
antifônico	ɐ̃ t i f o n i k o
antifúngico	ɐ̃ t i f ũ ʒ i k o
antiga	ɐ̃ t ʃ i ɡ ɐ
antigalha	ɐ̃ t i ɡ ɐ ʎ ɐ
antigaláxia	ɐ̃ t i ɡ ɐ l ɐ k s i ɐ
antigamente	ɐ̃ t ʃ i ɡ ɐ m ẽ t ʃ i
antigangue	ɐ̃ t i ɡ ɐ̃ ɡ e
antigangues	ɐ̃ t i ɡ ɐ̃ ɡ e s
antigas	ɐ̃ t ʃ i ɡ ɐ s
antigay	ɐ̃ t i ɡ e ɾ
antigeada	ɐ̃ t i ʒ e ɐ d ɐ
antigenemia	ɐ̃ t i ʒ e n e m i ɐ
antigengivite	ɐ̃ t i ʒ ẽ ʒ i v i t e
antigenicamente	ɐ̃ t i ʒ e n i k ɐ m ẽ t e
antigenicidade	ɐ̃ t i ʒ e n i s i d ɐ d e
antigenocídio	ɐ̃ t i ʒ e n o s i d i o
antigenoma	ɐ̃ t i ʒ e n o m ɐ
antigenômico	ɐ̃ t i ʒ e n o m i k o
antigerencial	ɐ̃ t i ʒ e ɾ ẽ s i ɐ w
antigerme	ɐ̃ t i ʒ e ɹ m i
antigermes	ɐ̃ t i ʒ e ɹ m i s
antigiro	ɐ̃ t i ʒ i ɾ o
antiglaucoma	ɐ̃ t i ɡ l ɐ w k o m ɐ
antiglaucomatoso	ɐ̃ t i ɡ l ɐ w k o m ɐ t o z o
antigliadina	ɐ̃ t i ɡ l i ɐ d i n ɐ
antiglicante	ɐ̃ t i ɡ l i k ɐ̃ t e
antiglicolítico	ɐ̃ t i ɡ l i k o l i t i k o
antiglobalista	ɐ̃ t i ɡ l o b ɐ l i s t ɐ
antiglobalização	ɐ̃ t i ɡ l o b ɐ l i z ɐ s ɐ̃ ɐ̃w̃
antiglobulina	ɐ̃ t i ɡ l o b u l i n ɐ
antignóstico	ɐ̃ t i ɡ i n o s t i k o
antigo	ɐ̃ t ʃ i ɡ u
antigolpe	ɐ̃ t i ɡ o w p e
antigonadotrofina	ɐ̃ t i ɡ o n ɐ d o t ɾ o f i n ɐ
antigonadotropina	ɐ̃ t i ɡ o n ɐ d o t ɾ o p i n ɐ
antigorita	ɐ̃ t i ɡ o ɾ i t ɐ
antigos	ɐ̃ t ʃ i ɡ u s
antigota	ɐ̃ t i ɡ o t ɐ
antigovernamental	ɐ̃ t i ɡ o v e ɹ n ɐ m ẽ t ɐ w
antigoverno	ɐ̃ t i ɡ o v e ɹ n u
antigramatical	ɐ̃ t i ɡ ɾ ɐ m ɐ t i k ɐ w
antigravidade	ɐ̃ t i ɡ ɾ ɐ v i d ɐ d e
antigravidez	ɐ̃ t i ɡ ɾ ɐ v i d e ɾ s
antigravitacional	ɐ̃ t i ɡ ɾ ɐ v i t ɐ s i o n ɐ w
antigreve	ɐ̃ t i ɡ ɾ e v e
antigreves	ɐ̃ t i ɡ ɾ e v e s
antigrevista	ɐ̃ t i ɡ ɾ e v i s t ɐ
antigripal	ɐ̃ t i ɡ ɾ i p ɐ w
antigua	ɐ̃ t ʃ i ɡ w ɐ
antigualha	ɐ̃ t i ɡ w ɐ ʎ ɐ
antiguamente	ɐ̃ t i ɡ w ɐ m ẽ t e
antiguana	ɐ̃ t i ɡ w ɐ n ɐ
antiguano	ɐ̃ t i ɡ w ɐ n o
antiguerreiro	ɐ̃ t i ɡ e ʁ e ɾ ɾ o
antiguerrilha	ɐ̃ t i ɡ e ʁ i ʎ ɐ
antiguerrilhas	ɐ̃ t i ɡ e ʁ i ʎ ɐ s
antiguerrilheiro	ɐ̃ t i ɡ e ʁ i ʎ e ɾ ɾ o
antigueto	ɐ̃ t i ɡ e t o
antiguidade	ɐ̃ t ʃ i ɡ j d ɐ d ʒ i
antiguidades	ɐ̃ t ʃ i ɡ j d ɐ d ʒ i s
antigás	ɐ̃ t i ɡ ɐ ɾ s
antigênico	ɐ̃ t i ʒ e n i k o
antihackers	ɐ̃ t i ʁ ɐ k e ɹ s
antiinflacionária	ɐ̃ t ʃ i ĩ f l ɐ s i o n ɐ ɾ i ɐ
antiinflacionárias	ɐ̃ t ʃ i ĩ f l ɐ s i o n ɐ ɾ i ɐ s
antiinflacionário	ɐ̃ t ʃ i ĩ f l ɐ s i o n ɐ ɾ i u
antiinflacionários	ɐ̃ t ʃ i ĩ f l ɐ s i o n ɐ ɾ i u s
antiinflamatórios	ɐ̃ t ʃ i ĩ f l ɐ m ɐ t ɔ ɾ i u s
antiinflação	ɐ̃ t ʃ i ĩ f l ɐ s ɐ̃w̃
antijacobino	ɐ̃ t i ʒ ɐ k o b i n o
antijaponês	ɐ̃ t i ʒ ɐ p o n e ɾ s
antijogo	ɐ̃ t ʃ i ʒ o ɡ u
antijudaico	ɐ̃ t i ʒ u d ɐ ɾ k o
antijudeu	ɐ̃ t i ʒ u d e w
antikáon	ɐ̃ t i k ɐ õ
antilavagem	ɐ̃ t i l ɐ v ɐ ʒ ẽ s
antilegal	ɐ̃ t i l e ɡ ɐ w
antilegislativo	ɐ̃ t i l e ʒ i z l ɐ t i v o
antilegomena	ɐ̃ t i l e ɡ o m e n ɐ
antileishmânia	ɐ̃ t i l i ʃ m ɐ n i ɐ
antilepra	ɐ̃ t i l e p ɾ ɐ
antileproso	ɐ̃ t i l e p ɾ o z o
antileprótico	ɐ̃ t i l e p ɾ o t i k o
antileucêmico	ɐ̃ t i l e w s e m i k o
antilhano	ɐ̃ t i ʎ ɐ n o
antilhas	ɐ̃ t ʃ i ʎ ɐ s
antiliberal	ɐ̃ t i l i b e ɾ ɐ w
antiliberalismo	ɐ̃ t i l i b e ɾ ɐ l i z m o
antiliberdade	ɐ̃ t i l i b e ɹ d ɐ d i
antilibertário	ɐ̃ t i l i b e ɹ t ɐ ɾ i u
antilinchamento	ɐ̃ t i l ĩ ʃ ɐ m ẽ t o
antilinear	ɐ̃ t i l i n e ɐ
antilipidêmico	ɐ̃ t i l i p i d e m i k o
antilipolítico	ɐ̃ t i l i p o l i t i k o
antilipêmico	ɐ̃ t i l i p e m i k o
antiliteratura	ɐ̃ t i l i t e ɾ ɐ t u ɾ ɐ
antiliterário	ɐ̃ t i l i t e ɾ ɐ ɾ i o
antilivro	ɐ̃ t i l i v ɾ o
antilivros	ɐ̃ t i l i v ɾ o s
antilocaprídeo	ɐ̃ t i l o k ɐ p ɾ i d e o
antilogaritmo	ɐ̃ t i l o ɡ ɐ ɾ i t i m u
antilogarítmico	ɐ̃ t i l o ɡ ɐ ɾ i t i m i k u
antilogia	ɐ̃ t i l o ʒ i ɐ
antilogismo	ɐ̃ t i l o ʒ i z m o
antiluética	ɐ̃ t i l u e t i k ɐ
antiluéticas	ɐ̃ t i l u e t i k ɐ s
antiluético	ɐ̃ t i l u e t i k o
antiluéticos	ɐ̃ t i l u e t i k o s
antilépton	ɐ̃ t i l e p i t õ
antilésbica	ɐ̃ t i l e z b i k ɐ
antilésbicas	ɐ̃ t i l e z b i k ɐ s
antilíngua	ɐ̃ t i l ĩ ɡ w ɐ
antilógica	ɐ̃ t i l o ʒ i k ɐ
antilógico	ɐ̃ t i l o ʒ i k o
antimaconha	ɐ̃ t i m ɐ k o ɲ ɐ
antimacrófago	ɐ̃ t i m ɐ k ɾ o f ɐ ɡ o
antimagia	ɐ̃ t i m ɐ ʒ i ɐ
antimagnético	ɐ̃ t i m ɐ ɡ i n e t i k o
antimajoritário	ɐ̃ t i m ɐ ʒ o ɾ i t ɐ ɾ i o
antimalware	ɐ̃ t i m ɐ w w e
antimalárico	ɐ̃ t i m ɐ l ɐ ɾ i k o
antimaníaco	ɐ̃ t i m ɐ n i ɐ k o
antimarcas	ɐ̃ t i m ɐ ɹ k ɐ s
antimarketing	ɐ̃ t i m ɐ ɹ k e t ĩ
antimarxista	ɐ̃ t i m ɐ ɹ k s i s t ɐ
antimasculino	ɐ̃ t i m ɐ s k u l i n o
antimasturbação	ɐ̃ t i m ɐ s t u ɹ b ɐ s ɐ̃ ɐ̃w̃
antimaterial	ɐ̃ t i m ɐ t e ɾ i ɐ w
antimaterialismo	ɐ̃ t i m ɐ t e ɾ i ɐ l i z m o
antimaterialista	ɐ̃ t i m ɐ t e ɾ i ɐ l i s t ɐ
antimaternal	ɐ̃ t i m ɐ t e ɹ n ɐ w
antimaterno	ɐ̃ t i m ɐ t e ɹ n u
antimatrimonial	ɐ̃ t i m ɐ t ɾ i m o n i ɐ w
antimatéria	ɐ̃ t i m ɐ t e ɾ i ɐ
antimaçonaria	ɐ̃ t i m ɐ s o n ɐ ɾ i ɐ
antimaçônico	ɐ̃ t i m ɐ s o n i k o
antimecanismo	ɐ̃ t i m e k ɐ n i z m o
antimecanização	ɐ̃ t i m e k ɐ n i z ɐ s ɐ̃ ɐ̃w̃
antimedo	ɐ̃ t i m e d o
antimendigo	ɐ̃ t ʃ ĩ m ẽ d ʒ i ɡ u
antimercado	ɐ̃ t i m e ɹ k ɐ d u
antimeria	ɐ̃ t i m e ɾ i ɐ
antimeridiano	ɐ̃ t i m e ɾ i d i ɐ n o
antimeritocrático	ɐ̃ t i m e ɾ i t o k ɾ ɐ t i k o
antimessiânico	ɐ̃ t i m e s i ɐ n i k o
antimetabólico	ɐ̃ t i m e t ɐ b o l i k o
antimetabólito	ɐ̃ t i m e t ɐ b o l i t o
antimetafísico	ɐ̃ t i m e t ɐ f i z i k o
antimetafórico	ɐ̃ t i m e t ɐ f o ɾ i k o
antimetastático	ɐ̃ t i m e t ɐ s t ɐ t i k o
antimetábole	ɐ̃ t i m e t ɐ b o l e
antimicina	ɐ̃ t i m i s i n ɐ
antimicobacteriano	ɐ̃ t i m i k o b ɐ k i t e ɾ i ɐ n u
antimicrobiano	ɐ̃ t i m i k ɾ o b i ɐ n o
antimicrotubular	ɐ̃ t i m i k ɾ o t u b u l ɐ ɹ
antimicrotúbulo	ɐ̃ t i m i k ɾ o t u b u l o
antimicrotúbulos	ɐ̃ t i m i k ɾ o t u b u l o s
antimicótico	ɐ̃ t i m i k o t i k o
antimieloma	ɐ̃ t i m i e l o m ɐ
antimigrante	ɐ̃ t i m i ɡ ɾ ɐ̃ t e
antimigração	ɐ̃ t i m i ɡ ɾ ɐ s ɐ̃ ɐ̃w̃
antimilitante	ɐ̃ t i m i l i t ɐ̃ t e
antimilitar	ɐ̃ t i m i l i t ɐ ɹ
antimilitarismo	ɐ̃ t i m i l i t ɐ ɾ i z m o
antimilitarista	ɐ̃ t i m i l i t ɐ ɾ i s t ɐ
antiminas	ɐ̃ t i m i n ɐ s
antimineração	ɐ̃ t i m i n e ɾ ɐ s ɐ̃ ɐ̃w̃
antiministerial	ɐ̃ t i m i n i s t e ɾ i ɐ w
antiminorias	ɐ̃ t i m i n o ɾ i ɐ s
antimiscigenação	ɐ̃ t i m i s i ʒ e n ɐ s ɐ̃ ɐ̃w̃
antimissionário	ɐ̃ t i m i s i o n ɐ ɾ i o
antimisógino	ɐ̃ t i m i z o ʒ i n o
antimito	ɐ̃ t i m i t o
antimitocondrial	ɐ̃ t i m i t o k õ d ɾ i ɐ w
antimitótico	ɐ̃ t i m i t o t i k o
antimoda	ɐ̃ t i m o d ɐ
antimodelo	ɐ̃ t i m o d e l o
antimodernidade	ɐ̃ t i m o d e ɹ n i d ɐ d i
antimodernismo	ɐ̃ t i m o d e ɹ n i z m u
antimodernista	ɐ̃ t i m o d e ɹ n i s t ɐ
antimodernização	ɐ̃ t i m o d e ɹ n i z ɐ s ɐ̃ ɐ̃w̃
antimoderno	ɐ̃ t i m o d e ɹ n u
antimofo	ɐ̃ t i m o f o
antimonarquismo	ɐ̃ t i m o n ɐ ɹ k i z m u
antimonarquista	ɐ̃ t i m o n ɐ ɹ k i s t ɐ
antimongoloide	ɐ̃ t i m õ ɡ o l o ɾ d e
antimoniado	ɐ̃ t i m o n i ɐ d o
antimonial	ɐ̃ t i m o n i ɐ w
antimoniato	ɐ̃ t i m o n i ɐ t o
antimonila	ɐ̃ t i m o n i l ɐ
antimonista	ɐ̃ t i m o n i s t ɐ
antimonita	ɐ̃ t i m o n i t ɐ
antimonopolismo	ɐ̃ t i m o n o p o l i z m o
antimonopolista	ɐ̃ t i m o n o p o l i s t ɐ
antimonopolo	ɐ̃ t i m o n o p o l o
antimonárquico	ɐ̃ t i m o n ɐ ɹ k i k u
antimonástico	ɐ̃ t i m o n ɐ s t i k o
antimonífero	ɐ̃ t i m o n i f e ɾ o
antimoral	ɐ̃ t i m o ɾ ɐ w
antimoralismo	ɐ̃ t i m o ɾ ɐ l i z m o
antimoralista	ɐ̃ t i m o ɾ ɐ l i s t ɐ
antimorte	ɐ̃ t i m o ɹ t i
antimoscas	ɐ̃ t i m o s k ɐ s
antimosquito	ɐ̃ t i m o s k i t o
antimosquitos	ɐ̃ t i m o s k i t o s
antimudança	ɐ̃ t i m u d ɐ̃ s ɐ
antimulher	ɐ̃ t i m u ʎ e ɹ
antimulheres	ɐ̃ t i m u ʎ e ɾ e s
antimulticultural	ɐ̃ t i m u w t i k u w t u ɾ ɐ w
antimundo	ɐ̃ t i m ũ d o
antimurino	ɐ̃ t i m u ɾ i n o
antimuscarínico	ɐ̃ t i m u s k ɐ ɾ i n i k o
antimuseu	ɐ̃ t i m u z e w
antimusical	ɐ̃ t i m u z i k ɐ w
antimutagênico	ɐ̃ t i m u t ɐ ʒ e n i k o
antimutantes	ɐ̃ t i m u t ɐ̃ t e s
antimutágeno	ɐ̃ t i m u t ɐ ʒ e n o
antimuçulmano	ɐ̃ t i m u s u w m ɐ n o
antimágico	ɐ̃ t i m ɐ ʒ i k o
antimãe	ɐ̃ t i m ɐ̃ s
antimédico	ɐ̃ t i m e d i k o
antimérico	ɐ̃ t i m e ɾ i k o
antiméson	ɐ̃ t i m e z õ
antimétrico	ɐ̃ t i m e t ɾ i k o
antimídia	ɐ̃ t i m i d i ɐ
antimísseis	ɐ̃ t i m i s e ɾ s
antimíssil	ɐ̃ t i m i s i w
antimônico	ɐ̃ t i m o n i k o
antimônio	ɐ̃ t i m o n i o
antimúon	ɐ̃ t i m u õ
antimúsica	ɐ̃ t i m u z i k ɐ
antimülleriano	ɐ̃ t i m u l e ɾ i ɐ n o
antinacional	ɐ̃ t i n ɐ s i o n ɐ w
antinacionalismo	ɐ̃ t i n ɐ s i o n ɐ l i z m o
antinacionalista	ɐ̃ t i n ɐ s i o n ɐ l i s t ɐ
antinarcótico	ɐ̃ t i n ɐ ɹ k o t i k u
antinarrativa	ɐ̃ t i n ɐ ʁ ɐ t i v ɐ
antinatalismo	ɐ̃ t i n ɐ t ɐ l i z m o
antinatalista	ɐ̃ t i n ɐ t ɐ l i s t ɐ
antinativista	ɐ̃ t i n ɐ t i v i s t ɐ
antinatural	ɐ̃ t i n ɐ t u ɾ ɐ w
antinaturalismo	ɐ̃ t i n ɐ t u ɾ ɐ l i z m o
antinaturalista	ɐ̃ t i n ɐ t u ɾ ɐ l i s t ɐ
antinatureza	ɐ̃ t i n ɐ t u ɾ e z ɐ
antinauseante	ɐ̃ t i n ɐ w z e ɐ̃ t e
antinavio	ɐ̃ t i n ɐ v i u
antinavios	ɐ̃ t i n ɐ v i u s
antinazista	ɐ̃ t ʃ ĩ n ɐ z i s t ɐ
antinefrítico	ɐ̃ t i n e f ɾ i t i k o
antinegrismo	ɐ̃ t i n e ɡ ɾ i z m o
antinegro	ɐ̃ t i n e ɡ ɾ o
antinegros	ɐ̃ t i n e ɡ ɾ o s
antinegócios	ɐ̃ t i n e ɡ o s i o s
antineoplaston	ɐ̃ t i n e o p l ɐ s t õ
antineoplástico	ɐ̃ t i n e o p l ɐ s t i k o
antinepotismo	ɐ̃ t i n e p o t i z m o
antinepotista	ɐ̃ t i n e p o t i s t ɐ
antineuronal	ɐ̃ t i n e w ɾ o n ɐ w
antineurálgico	ɐ̃ t i n e w ɾ ɐ w ʒ i k o
antineurítico	ɐ̃ t i n e w ɾ i t i k o
antineurótico	ɐ̃ t i n e w ɾ o t i k o
antineutrino	ɐ̃ t i n e w t ɾ i n o
antineutrofílico	ɐ̃ t i n e w t ɾ o f i l i k o
antineutrão	ɐ̃ t i n e w t ɾ ɐ̃ ɐ̃w̃
antineutrófilo	ɐ̃ t i n e w t ɾ o f i l o
antinevrálgico	ɐ̃ t i n e v ɾ ɐ w ʒ i k o
antinflamatório	ɐ̃ t ĩ f l ɐ m ɐ t o ɾ i o
antinicotina	ɐ̃ t i n i k o t i n ɐ
antinicotínico	ɐ̃ t i n i k o t i n i k o
antiniilismo	ɐ̃ t i n i i l i z m o
antiniilista	ɐ̃ t i n i i l i s t ɐ
antinobre	ɐ̃ t i n o b ɾ e
antinociceptivo	ɐ̃ t i n o s i s e p i t i v u
antinocicepção	ɐ̃ t i n o s i s e p i s ɐ̃ ɐ̃w̃
antinodal	ɐ̃ t i n o d ɐ w
antinodo	ɐ̃ t i n o d o
antinomia	ɐ̃ t i n o m i ɐ
antinomianismo	ɐ̃ t i n o m i ɐ n i z m o
antinomiano	ɐ̃ t i n o m i ɐ n o
antinomicamente	ɐ̃ t i n o m i k ɐ m ẽ t e
antinominalismo	ɐ̃ t i n o m i n ɐ l i z m o
antinominalista	ɐ̃ t i n o m i n ɐ l i s t ɐ
antinomismo	ɐ̃ t i n o m i z m o
antinomista	ɐ̃ t i n o m i s t ɐ
antinori	ɐ̃ t ʃ ĩ n o ɾ i
antinormatividade	ɐ̃ t i n o ɹ m ɐ t i v i d ɐ d i
antinormativo	ɐ̃ t i n o ɹ m ɐ t i v u
antinucleante	ɐ̃ t i n u k l e ɐ̃ t e
antinuclear	ɐ̃ t i n u k l e ɐ ɹ
antinucleação	ɐ̃ t i n u k l e ɐ s ɐ̃ ɐ̃w̃
antinutricional	ɐ̃ t i n u t ɾ i s i o n ɐ w
antinutriente	ɐ̃ t i n u t ɾ i ẽ t e
antinutritivo	ɐ̃ t i n u t ɾ i t i v o
antináusea	ɐ̃ t i n ɐ w z e ɐ
antinêutron	ɐ̃ t i n e w t ɾ õ
antinômico	ɐ̃ t i n o m i k o
antinúcleo	ɐ̃ t i n u k l e o
antinúcleon	ɐ̃ t i n u k l e õ
antiobesidade	ɐ̃ t i o b e z i d ɐ d e
