muy	m u ʝ
vasito	b a s i t o
venite	b e n i t e
videoconferencia	b i d e o k o m f e ɾ e n θ ʝ a
vilar	b i l a ɾ
voyage	b o ʝ a x e
wimbledon	wi m b l e d o n
xperia	k s p e ɾ ʝ a
zarate	θ a ɾ a t e
zuluaga	θ u l wa g a
adan	a d a n
afonso	a f o n s o
agra	a g ɾ a
airport	ai ɾ p o ɾ t
algu	a l g u
aliexpress	a l ʝ e k s p ɾ e s
andrada	a n d ɾ a d a
anguita	a n g i t a
antónio	a n t o n ʝ o
arab	a ɾ a b
baterias	b a t e ɾ ʝ a s
bau	b au
belen	b e l e n
berman	b e ɾ m a n
bia	b ʝ a
blank	b l a n k
boomer	b o o m e ɾ
bos	b o s
bosé	b o s e
bowen	b o we n
bécquer	b e k k e ɾ
caguas	k a g wa s
calabria	k a l a b ɾ ʝ a
calladito	k a ʎ a d i t o
carbó	k a ɾ b o
caribes	k a ɾ i b e s
castelli	k a s t e ʎ i
celis	θ e l i s
centers	θ e n t e ɾ s
cheddar	t͡ʃ e d d a ɾ
cherokee	t͡ʃ e ɾ o k e e
chocolatada	t͡ʃ o k o l a t a d a
chori	t͡ʃ o ɾ i
cientifico	θ ʝ e n t i f i k o
clarita	k l a ɾ i t a
cof	k o f
columnistas	k o l u m n i s t a s
compruébalo	k o m p ɾ we b a l o
continuan	k o n t i n wa n
controversiales	k o n t ɾ o b e ɾ s ʝ a l e s
corinthians	k o ɾ i n t ʝ a n s
cornelius	k o ɾ n e l ʝ u s
cronica	k ɾ o n i k a
cuban	k u b a n
depot	d e p o t
digame	d i g a m e
dirty	d i ɾ t i
dor	d o ɾ
doritos	d o ɾ i t o s
ebrard	e b ɾ a ɾ d
eclesial	e k l e s ʝ a l
emirato	e m i ɾ a t o
emitirse	e m i t i ɾ s e
encomiable	e n k o m ʝ a b l e
entropía	e n t ɾ o p i a
epub	e p u b
escandinavia	e s k a n d i n a b ʝ a
escríbeme	e s k ɾ i b e m e
espartaco	e s p a ɾ t a k o
everywhere	e b e ɾ i we ɾ e
fabricacion	f a b ɾ i k a θ ʝ o n
feels	f e e l s
fifth	f i f t
filipo	f i l i p o
fíjese	f i x e s e
gabilondo	g a b i l o n d o
gian	x ʝ a n
gila	x i l a
granger	g ɾ a n x e ɾ
gravitacional	g ɾ a b i t a θ ʝ o n a l
guernica	g e ɾ n i k a
hacias	a θ ʝ a s
hazard	a θ a ɾ d
hinduismo	i n d wi s m o
honorio	o n o ɾ ʝ o
horton	o ɾ t o n
hubble	u b b l e
inflamatoria	i m f l a m a t o ɾ ʝ a
interanual	i n t e ɾ a n wa l
intranet	i n t ɾ a n e t
invasivo	i m b a s i b o
investment	i m b e s t m e n t
irreconocible	i r e k o n o θ i b l e
irwin	i ɾ wi n
jal	x a l
jansen	x a n s e n
jens	x e n s
jonah	x o n a
kar	k a ɾ
kaufman	k au f m a n
keen	k e e n
landing	l a n d i n g
larson	l a ɾ s o n
llámalo	ʎ a m a l o
ludovico	l u d o b i k o
léelo	l e e l o
macedo	m a θ e d o
malandro	m a l a n d ɾ o
maruja	m a ɾ u x a
mejia	m e x ʝ a
mem	m e m
microfono	m i k ɾ o f o n o
minneapolis	m i n n e a p o l i s
monitoreando	m o n i t o ɾ e a n d o
motosierra	m o t o s ʝ e r a
mírala	m i ɾ a l a
nani	n a n i
niro	n i ɾ o
nj	n x
nuno	n u n o
nutella	n u t e ʎ a
ocultamiento	o k u l t a m ʝ e n t o
oooh	o o o
orán	o ɾ a n
outlet	ou t l e t
outlook	ou t l o o k
panceta	p a n θ e t a
pcia	p θ ʝ a
penta	p e n t a
peres	p e ɾ e s
picard	p i k a ɾ d
plastilina	p l a s t i l i n a
politizado	p o l i t i θ a d o
pondre	p o n d ɾ e
population	p o p u l a t ʝ o n
postguerra	p o s t g e r a
proveyó	p ɾ o b e ʝ o
puñetero	p u ɲ e t e ɾ o
quezada	k e θ a d a
recife	r e θ i f e
reservorio	r e s e ɾ b o ɾ ʝ o
resistance	r e s i s t a n θ e
resonante	r e s o n a n t e
robb	r o b b
rochester	r o t͡ʃ e s t e ɾ
sab	s a b
salian	s a l ʝ a n
santillán	s a n t i ʎ a n
saramago	s a ɾ a m a g o
scarlet	s k a ɾ l e t
scream	s k ɾ e a m
scripts	s k ɾ i p t s
shangai	s a n g ai
sheraton	s e ɾ a t o n
sirenita	s i ɾ e n i t a
slade	s l a d e
soli	s o l i
souvenir	s ou b e n i ɾ
stokes	s t o k e s
sua	s wa
subsidiar	s u b s i d ʝ a ɾ
summa	s u m m a
sura	s u ɾ a
tana	t a n a
tanner	t a n n e ɾ
tay	t a ʝ
temita	t e m i t a
tera	t e ɾ a
tone	t o n e
tuk	t u k
uan	wa n
urgel	u ɾ x e l
usina	u s i n a
vacacionales	b a k a θ ʝ o n a l e s
valentia	b a l e n t ʝ a
victorino	b i k t o ɾ i n o
wilkins	wi l k i n s
yaqui	ʝ a k i
yuanes	ʝ wa n e s
abrams	a b ɾ a m s
acp	a k p
administration	a d m i n i s t ɾ a t ʝ o n
adsense	a d s e n s e
aerea	a e ɾ e a
afan	a f a n
alburquerque	a l b u ɾ k e ɾ k e
anticapitalista	a n t i k a p i t a l i s t a
apo	a p o
aponte	a p o n t e
avril	a b ɾ i l
bano	b a n o
bedford	b e d f o ɾ d
berni	b e ɾ n i
betania	b e t a n ʝ a
bie	b ʝ e
birthday	b i ɾ t d a ʝ
bizkaia	b i θ k a ʝ a
blades	b l a d e s
bogotanos	b o g o t a n o s
boletin	b o l e t i n
boludeando	b o l u d e a n d o
bonadio	b o n a d ʝ o
branding	b ɾ a n d i n g
brass	b ɾ a s
búscame	b u s k a m e
cabros	k a b ɾ o s
cami	k a m i
caminito	k a m i n i t o
canis	k a n i s
cannon	k a n n o n
castell	k a s t e ʎ
ceará	θ e a ɾ a
celine	θ e l i n e
chandra	t͡ʃ a n d ɾ a
charter	t͡ʃ a ɾ t e ɾ
chelas	t͡ʃ e l a s
chichis	t͡ʃ i t͡ʃ i s
chingona	t͡ʃ i n g o n a
ciberespacio	θ i b e ɾ e s p a θ ʝ o
circus	θ i ɾ k u s
climate	k l i m a t e
cnel	k n e l
cocacola	k o k a k o l a
cocktail	k o k t ai l
cordelia	k o ɾ d e l ʝ a
critical	k ɾ i t i k a l
deusto	d eu s t o
deán	d e a n
diganme	d i g a m m e
dynamics	d i n a m i k s
egresada	e g ɾ e s a d a
electricos	e l e k t ɾ i k o s
environment	e m b i ɾ o m m e n t
ercilla	e ɾ θ i ʎ a
escúchame	e s k u t͡ʃ a m e
esposito	e s p o s i t o
espresso	e s p ɾ e s o
estár	e s t a ɾ
etarras	e t a r a s
extractiva	e k s t ɾ a k t i b a
farfán	f a ɾ f a n
feis	f ei s
feminazis	f e m i n a θ i s
ferris	f e r i s
finance	f i n a n θ e
flint	f l i n t
floridablanca	f l o ɾ i d a b l a n k a
flowers	f l o we ɾ s
gasoil	g a s oi l
helicoptero	e l i k o p t e ɾ o
hercules	e ɾ k u l e s
holder	o l d e ɾ
imbeciles	i m b e θ i l e s
inga	i n g a
intrascendente	i n t ɾ a s θ e n d e n t e
ituzaingó	i t u θ ai n g o
jeong	x e o n g
jillian	x i ʎ ʝ a n
joana	x o a n a
jocelyn	x o θ e l i n
joderte	x o d e ɾ t e
jodiste	x o d i s t e
joomla	x o o m l a
kern	k e ɾ n
kino	k i n o
ladies	l a d ʝ e s
lamb	l a m b
lazaro	l a θ a ɾ o
learn	l e a ɾ n
leoncio	l e o n θ ʝ o
lerner	l e ɾ n e ɾ
letizia	l e t i θ ʝ a
llanes	ʎ a n e s
llc	ʎ k
loft	l o f t
logico	l o x i k o
lower	l o we ɾ
macarthur	m a k a ɾ t u ɾ
maidana	m ai d a n a
mamés	m a m e s
marconi	m a ɾ k o n i
matte	m a t t e
maturín	m a t u ɾ i n
mejorcito	m e x o ɾ θ i t o
metropolitan	m e t ɾ o p o l i t a n
meu	m eu
mexiquense	m e k s i k e n s e
mob	m o b
mochis	m o t͡ʃ i s
monopoly	m o n o p o l i
montpellier	m o n t p e ʎ ʝ e ɾ
multidimensional	m u l t i d i m e n s ʝ o n a l
nasir	n a s i ɾ
niki	n i k i
noe	n o e
norbert	n o ɾ b e ɾ t
nouvelle	n ou b e ʎ e
olson	o l s o n
panelista	p a n e l i s t a
pars	p a ɾ s
password	p a s wo ɾ d
pearce	p e a ɾ θ e
pellicer	p e ʎ i θ e ɾ
pendrive	p e n d ɾ i b e
penthouse	p e n t ou s e
periodicos	p e ɾ ʝ o d i k o s
pili	p i l i
pim	p i m
plain	p l ai n
plugins	p l u x i n s
preferenciales	p ɾ e f e ɾ e n θ ʝ a l e s
pregúntenle	p ɾ e g u n t e n l e
preocupacion	p ɾ e o k u p a θ ʝ o n
prep	p ɾ e p
promise	p ɾ o m i s e
proveyendo	p ɾ o b e ʝ e n d o
pueblecito	p we b l e θ i t o
pulp	p u l p
querria	k e r ʝ a
quinceañera	k i n θ e a ɲ e ɾ a
rahul	r au l
recurrencia	r e k u r e n θ ʝ a
referia	r e f e ɾ ʝ a
retweets	r e t we e t s
riff	r i f
rionegro	r ʝ o n e g ɾ o
rojiblanco	r o x i b l a n k o
romney	r o m n e ʝ
sedesol	s e d e s o l
shazam	s a θ a m
siles	s i l e s
snape	s n a p e
solange	s o l a n x e
superclásico	s u p e ɾ k l a s i k o
sync	s i n k
sóla	s o l a
tacuba	t a k u b a
telf	t e l f
tendriamos	t e n d ɾ ʝ a m o s
term	t e ɾ m
tools	t o o l s
trasporte	t ɾ a s p o ɾ t e
trivia	t ɾ i b ʝ a
tríada	t ɾ i a d a
tuxpan	t u k s p a n
ues	we s
upon	u p o n
utopia	u t o p ʝ a
vance	b a n θ e
vanguardistas	b a n g wa ɾ d i s t a s
venture	b e n t u ɾ e
verda	b e ɾ d a
vichy	b i t͡ʃ i
vivien	b i b ʝ e n
wai	wai
warhol	wa ɾ o l
weona	we o n a
wikimedia	wi k i m e d ʝ a
yokohama	ʝ o k o a m a
yá	ʝ a
zelandia	θ e l a n d ʝ a
zodíaco	θ o d i a k o
aber	a b e ɾ
agricola	a g ɾ i k o l a
ais	ai s
aldama	a l d a m a
almonte	a l m o n t e
ambientalista	a m b ʝ e n t a l i s t a
armonia	a ɾ m o n ʝ a
astra	a s t ɾ a
atari	a t a ɾ i
atleti	a t l e t i
augustus	au g u s t u s
aureliano	au ɾ e l ʝ a n o
avistamientos	a b i s t a m ʝ e n t o s
ayo	a ʝ o
bab	b a b
bac	b a k
baltazar	b a l t a θ a ɾ
banjo	b a n x o
baradel	b a ɾ a d e l
barbastro	b a ɾ b a s t ɾ o
basica	b a s i k a
batres	b a t ɾ e s
behind	b ei n d
bife	b i f e
bioética	b ʝ o e t i k a
blanchard	b l a ɲ t͡ʃ a ɾ d
bottom	b o t t o m
bring	b ɾ i n g
briones	b ɾ ʝ o n e s
browser	b ɾ ow s e ɾ
cade	k a d e
cafecito	k a f e θ i t o
cangas	k a n g a s
cary	k a ɾ i
carísimo	k a ɾ i s i m o
castells	k a s t e ʎ s
cda	k d a
chagas	t͡ʃ a g a s
chamber	t͡ʃ a m b e ɾ
chanta	t͡ʃ a n t a
chimborazo	t͡ʃ i m b o ɾ a θ o
chiqui	t͡ʃ i k i
chou	t͡ʃ ou
ciclovía	θ i k l o b i a
clasicos	k l a s i k o s
clasificacion	k l a s i f i k a θ ʝ o n
clotilde	k l o t i l d e
corleone	k o ɾ l e o n e
cro	k ɾ o
cto	k t o
cuarón	k wa ɾ o n
cyborg	θ i b o ɾ g
cállese	k a ʎ e s e
davy	d a b ʝ
denisse	d e n i s e
dinamica	d i n a m i k a
diras	d i ɾ a s
dorotea	d o ɾ o t e a
ehm	e m
españas	e s p a ɲ a s
estalinista	e s t a l i n i s t a
event	e b e n t
exelente	e k s e l e n t e
exjugador	e k s x u g a d o ɾ
extractivas	e k s t ɾ a k t i b a s
fancy	f a n θ i
fantasias	f a n t a s ʝ a s
femme	f e m m e
fifi	f i f i
fotovoltaica	f o t o b o l t ai k a
futurama	f u t u ɾ a m a
garca	g a ɾ k a
gem	x e m
geolocalización	x e o l o k a l i θ a θ ʝ o n
gia	x ʝ a
gonza	g o n θ a
gorbachov	g o ɾ b a t͡ʃ o b
grimes	g ɾ i m e s
griselda	g ɾ i s e l d a
habilitante	a b i l i t a n t e
hermenegildo	e ɾ m e n e x i l d o
hezbollah	e θ b o ʎ a
himmler	i m m l e ɾ
honorem	o n o ɾ e m
import	i m p o ɾ t
inconcluso	i n k o n k l u s o
inge	i n x e
inspiracion	i n s p i ɾ a θ ʝ o n
inutiles	i n u t i l e s
ise	i s e
jace	x a θ e
jericho	x e ɾ i t͡ʃ o
johnston	x o n s t o n
juancho	x wa ɲ t͡ʃ o
kami	k a m i
kaos	k a o s
lantern	l a n t e ɾ n
lazy	l a θ i
lover	l o b e ɾ
lucie	l u θ ʝ e
lung	l u n g
magenta	m a x e n t a
mahal	m a a l
makoto	m a k o t o
marius	m a ɾ ʝ u s
mariátegui	m a ɾ ʝ a t e g i
marrero	m a r e ɾ o
martel	m a ɾ t e l
medvedev	m e d b e d e b
meghan	m e g a n
mendizábal	m e n d i θ a b a l
mepa	m e p a
mestalla	m e s t a ʎ a
meyers	m e ʝ e ɾ s
monarquia	m o n a ɾ k ʝ a
montemayor	m o n t e m a ʝ o ɾ
muchachito	m u t͡ʃ a t͡ʃ i t o
multimedios	m u l t i m e d ʝ o s
multitudinario	m u l t i t u d i n a ɾ ʝ o
mándale	m a n d a l e
naa	n a a
ney	n e ʝ
noi	n oi
nojoda	n o x o d a
némesis	n e m e s i s
oli	o l i
olvídense	o l b i d e n s e
pajaros	p a x a ɾ o s
panela	p a n e l a
panqueque	p a n k e k e
parrillada	p a r i ʎ a d a
partisanos	p a ɾ t i s a n o s
patti	p a t i
pegasus	p e g a s u s
pei	p ei
penelope	p e n e l o p e
pequeñitos	p e k e ɲ i t o s
petersen	p e t e ɾ s e n
pobla	p o b l a
polímero	p o l i m e ɾ o
pondria	p o n d ɾ ʝ a
ponme	p o m m e
porfiriato	p o ɾ f i ɾ ʝ a t o
priscilla	p ɾ i s θ i ʎ a
prize	p ɾ i θ e
proximas	p ɾ o k s i m a s
ptolomeo	p t o l o m e o
puñetas	p u ɲ e t a s
rainer	r ai n e ɾ
rarísimo	r a ɾ i s i m o
raspberry	r a s p b e r i
rave	r a b e
reese	r e e s e
remy	r e m ʝ
renegociar	r e n e g o θ ʝ a ɾ
rosetta	r o s e t t a
rostov	r o s t o b
safo	s a f o
sainte	s ai n t e
samurái	s a m u ɾ ai
saturday	s a t u ɾ d a ʝ
saudi	s au d i
sein	s ei n
selene	s e l e n e
servia	s e ɾ b ʝ a
silas	s i l a s
sinapsis	s i n a p s i s
sindicalizados	s i n d i k a l i θ a d o s
sixtina	s i k s t i n a
skywalker	s k i wa l k e ɾ
sobrepoblación	s o b ɾ e p o b l a θ ʝ o n
sorbona	s o ɾ b o n a
spaghetti	s p a g e t i
spiegel	s p ʝ e x e l
sprite	s p ɾ i t e
subsidiado	s u b s i d ʝ a d o
supergirl	s u p e ɾ x i ɾ l
surface	s u ɾ f a θ e
tacuarembó	t a k wa ɾ e m b o
taro	t a ɾ o
teles	t e l e s
terrier	t e r ʝ e ɾ
tiempito	t ʝ e m p i t o
ting	t i n g
tir	t i ɾ
torrelavega	t o r e l a b e g a
tracey	t ɾ a θ e ʝ
trudeau	t ɾ u d e au
trueba	t ɾ we b a
tuiter	t wi t e ɾ
télam	t e l a m
ubi	u b i
uhm	u m
updates	u p d a t e s
upn	u p n
valve	b a l b e
vans	b a n s
veria	b e ɾ ʝ a
viv	b i b
volvia	b o l b ʝ a
warwick	wa ɾ wi k
weed	we e d
williamson	wi ʎ ʝ a m s o n
woodward	wo d wa ɾ d
úbeda	u b e d a
abertzale	a b e ɾ t θ a l e
abrio	a b ɾ ʝ o
abstract	a b s t ɾ a k t
adc	a d k
agarrate	a g a r a t e
aha	a a
antidemocrática	a n t i d e m o k ɾ a t i k a
antifascistas	a n t i f a s θ i s t a s
ape	a p e
apodaca	a p o d a k a
aram	a ɾ a m
arms	a ɾ m s
arsenio	a ɾ s e n ʝ o
artemio	a ɾ t e m ʝ o
aslan	a s l a n
atresmedia	a t ɾ e s m e d ʝ a
average	a b e ɾ a x e
baco	b a k o
bajita	b a x i t a
barnett	b a ɾ n e t
berlanga	b e ɾ l a n g a
bibliotheca	b i b l ʝ o t e k a
bim	b i m
biocombustibles	b ʝ o k o m b u s t i b l e s
bistec	b i s t e k
bradford	b ɾ a d f o ɾ d
bran	b ɾ a n
brunéi	b ɾ u n ei
bunge	b u n x e
cagarte	k a g a ɾ t e
calamaro	k a l a m a ɾ o
caldwell	k a l d we ʎ
camden	k a m d e n
caniche	k a n i t͡ʃ e
carabanchel	k a ɾ a b a ɲ t͡ʃ e l
centrista	θ e n t ɾ i s t a
chamartín	t͡ʃ a m a ɾ t i n
chia	t͡ʃ ʝ a
chida	t͡ʃ i d a
chita	t͡ʃ i t a
chon	t͡ʃ o n
chuy	t͡ʃ u ʝ
cinc	θ i n k
cinturon	θ i n t u ɾ o n
circulacion	θ i ɾ k u l a θ ʝ o n
climax	k l i m a k s
cluster	k l u s t e ɾ
cochecito	k o t͡ʃ e θ i t o
complice	k o m p l i θ e
conocés	k o n o θ e s
cuates	k wa t e s
curul	k u ɾ u l
dalo	d a l o
decias	d e θ ʝ a s
depp	d e p p
desafiantes	d e s a f ʝ a n t e s
dojo	d o x o
dominus	d o m i n u s
dro	d ɾ o
duracion	d u ɾ a θ ʝ o n
dybala	d i b a l a
echale	e t͡ʃ a l e
egeo	e x e o
ejecucion	e x e k u θ ʝ o n
ender	e n d e ɾ
esteve	e s t e b e
exnovia	e k s n o b ʝ a
fadrique	f a d ɾ i k e
fallon	f a ʎ o n
feminazi	f e m i n a θ i
ferreiro	f e r ei ɾ o
fiaca	f ʝ a k a
filippo	f i l i p p o
foods	f o o d s
forget	f o ɾ x e t
fotosíntesis	f o t o s i n t e s i s
garantias	g a ɾ a n t ʝ a s
geisha	x ei s a
gertrude	x e ɾ t ɾ u d e
gopro	g o p ɾ o
grafitis	g ɾ a f i t i s
gunnar	g u n n a ɾ
haiku	ai k u
hartley	a ɾ t l e ʝ
hipocrita	i p o k ɾ i t a
homofóbicos	o m o f o b i k o s
humanoide	u m a n oi d e
huracan	u ɾ a k a n
ile	i l e
infinite	i m f i n i t e
influencer	i m f l we n θ e ɾ
innovation	i n n o b a t ʝ o n
inseminación	i n s e m i n a θ ʝ o n
institucionalizada	i n s t i t u θ ʝ o n a l i θ a d a
institucionalizado	i n s t i t u θ ʝ o n a l i θ a d o
insumo	i n s u m o
ite	i t e
joer	x o e ɾ
jovellanos	x o b e ʎ a n o s
kilometraje	k i l o m e t ɾ a x e
kruger	k ɾ u x e ɾ
lafuente	l a f we n t e
lear	l e a ɾ
leds	l e d s
lehman	l e m a n
leonidas	l e o n i d a s
linus	l i n u s
liquid	l i k i d
lizzie	l i θ θ ʝ e
locus	l o k u s
lucius	l u θ ʝ u s
marek	m a ɾ e k
marks	m a ɾ k s
marron	m a r o n
means	m e a n s
meier	m e ʝ e ɾ
melinda	m e l i n d a
meticulosamente	m e t i k u l o s a m e n t e
mija	m i x a
minitas	m i n i t a s
mixteca	m i k s t e k a
miyagi	m i ʝ a x i
montse	m o n t s e
morgana	m o ɾ g a n a
mou	m ou
multidisciplinario	m u l t i d i s θ i p l i n a ɾ ʝ o
naked	n a k e d
nascar	n a s k a ɾ
necesitás	n e θ e s i t a s
nope	n o p e
notarse	n o t a ɾ s e
olp	o l p
olvera	o l b e ɾ a
olympia	o l i m p ʝ a
origami	o ɾ i g a m i
palmarés	p a l m a ɾ e s
parce	p a ɾ θ e
parecian	p a ɾ e θ ʝ a n
parodi	p a ɾ o d i
perso	p e ɾ s o
pessoa	p e s o a
podiamos	p o d ʝ a m o s
pogo	p o g o
polly	p o ʎ i
preto	p ɾ e t o
proc	p ɾ o k
process	p ɾ o θ e s
proud	p ɾ ou d
psicoanalítica	p s i k o a n a l i t i k a
pásala	p a s a l a
quindío	k i n d i o
ramitas	r a m i t a s
rastas	r a s t a s
regalitos	r e g a l i t o s
reiki	r ei k i
repetto	r e p e t t o
revival	r e b i b a l
rollito	r o ʎ i t o
rudolph	r u d o l f
saito	s ai t o
salut	s a l u t
samaniego	s a m a n ʝ e g o
sancha	s a ɲ t͡ʃ a
sativa	s a t i b a
says	s a ʝ s
secretismo	s e k ɾ e t i s m o
sentinel	s e n t i n e l
sharma	s a ɾ m a
singapore	s i n g a p o ɾ e
sonya	s o ɲ ʝ a
sponsor	s p o n s o ɾ
subestimado	s u b e s t i m a d o
suk	s u k
superpoder	s u p e ɾ p o d e ɾ
tad	t a d
tahití	t ai t i
terranova	t e r a n o b a
traeme	t ɾ a e m e
trafalgar	t ɾ a f a l g a ɾ
transilvania	t ɾ a n s i l b a n ʝ a
trás	t ɾ a s
tudor	t u d o ɾ
uruapan	u ɾ wa p a n
valdes	b a l d e s
valdivieso	b a l d i b ʝ e s o
vease	b e a s e
villera	b i ʎ e ɾ a
waldorf	wa l d o ɾ f
walters	wa l t e ɾ s
weimar	wei m a ɾ
wilfred	wi l f ɾ e d
yet	ʝ e t
zabaleta	θ a b a l e t a
aang	a a n g
absurdamente	a b s u ɾ d a m e n t e
adrien	a d ɾ ʝ e n
agroquímicos	a g ɾ o k i m i k o s
alajuela	a l a x we l a
alcatel	a l k a t e l
alexia	a l e k s ʝ a
algodon	a l g o d o n
amina	a m i n a
amour	a m ou ɾ
antonella	a n t o n e ʎ a
aportantes	a p o ɾ t a n t e s
asu	a s u
atilio	a t i l ʝ o
auch	au t͡ʃ
authority	au t o ɾ i t i
avis	a b i s
awesome	a we s o m e
bajá	b a x a
bath	b a t
beef	b e e f
blunt	b l u n t
boko	b o k o
boricuas	b o ɾ i k wa s
botellita	b o t e ʎ i t a
botox	b o t o k s
branch	b ɾ a ɲ t͡ʃ
brave	b ɾ a b e
brook	b ɾ o o k
bullet	b u ʎ e t
byrne	b i ɾ n e
búscalo	b u s k a l o
cant	k a n t
carly	k a ɾ l i
cartier	k a ɾ t ʝ e ɾ
castelló	k a s t e ʎ o
chamanes	t͡ʃ a m a n e s
cieza	θ ʝ e θ a
cocaina	k o k ai n a
concientes	k o n θ ʝ e n t e s
conservation	k o n s e ɾ b a t ʝ o n
contextual	k o n t e k s t wa l
copper	k o p p e ɾ
correcaminos	k o r e k a m i n o s
cristi	k ɾ i s t i
créame	k ɾ e a m e
curie	k u ɾ ʝ e
dabi	d a b i
dade	d a d e
dandy	d a n d i
davenport	d a b e m p o ɾ t
deir	d ei ɾ
depre	d e p ɾ e
desaparecio	d e s a p a ɾ e θ ʝ o
desearia	d e s e a ɾ ʝ a
desregulación	d e s r e g u l a θ ʝ o n
deux	d eu k s
dicaprio	d i k a p ɾ ʝ o
dover	d o b e ɾ
dto	d t o
durban	d u ɾ b a n
easter	e a s t e ɾ
ecommerce	e k o m m e ɾ θ e
escorts	e s k o ɾ t s
espérate	e s p e ɾ a t e
estigmatización	e s t i g m a t i θ a θ ʝ o n
evangelion	e b a n x e l ʝ o n
expansion	e k s p a n s ʝ o n
facho	f a t͡ʃ o
falco	f a l k o
faraday	f a ɾ a d a ʝ
fco	f k o
feijóo	f ei x o o
felice	f e l i θ e
fenix	f e n i k s
fierros	f ʝ e r o s
figueres	f i g e ɾ e s
floor	f l o o ɾ
generos	x e n e ɾ o s
gervasio	x e ɾ b a s ʝ o
giacomo	x ʝ a k o m o
gideon	x i d e o n
goyeneche	g o ʝ e n e t͡ʃ e
gupta	g u p t a
haciendole	a θ ʝ e n d o l e
hebdo	e b d o
historical	i s t o ɾ i k a l
hooligans	o o l i g a n s
hur	u ɾ
ibidem	i b i d e m
imbabura	i m b a b u ɾ a
innombrable	i n n o m b ɾ a b l e
inv	i m b
ironia	i ɾ o n ʝ a
jajja	x a x x a
jennie	x e n n ʝ e
johansson	x o a n s o n
jorgito	x o ɾ x i t o
kee	k e e
khalil	k a l i l
kingsley	k i n g s l e ʝ
kt	k t
lante	l a n t e
larguísimo	l a ɾ g i s i m o
leela	l e e l a
leone	l e o n e
levin	l e b i n
lexington	l e k s i n g t o n
libaneses	l i b a n e s e s
lille	l i ʎ e
lillian	l i ʎ ʝ a n
lovato	l o b a t o
lucinda	l u θ i n d a
lugones	l u g o n e s
maguire	m a g i ɾ e
malawi	m a l a wi
marhuenda	m a ɾ we n d a
mecanica	m e k a n i k a
mercadolibre	m e ɾ k a d o l i b ɾ e
message	m e s a x e
michelena	m i t͡ʃ e l e n a
minis	m i n i s
montealegre	m o n t e a l e g ɾ e
moravia	m o ɾ a b ʝ a
motociclismo	m o t o θ i k l i s m o
mubarak	m u b a ɾ a k
muuy	m wu ʝ
muévete	m we b e t e
mystic	m i s t i k
naim	n ai m
nego	n e g o
neurológica	n eu ɾ o l o x i k a
nguyen	n g u ʝ e n
nome	n o m e
norwegian	n o ɾ we x ʝ a n
oka	o k a
ome	o m e
ortiva	o ɾ t i b a
paez	p a e θ
pajita	p a x i t a
palafox	p a l a f o k s
pauli	p au l i
pbro	p b ɾ o
pequeno	p e k e n o
perfeccionista	p e ɾ f e k θ ʝ o n i s t a
petitorio	p e t i t o ɾ ʝ o
players	p l a ʝ e ɾ s
proximamente	p ɾ o k s i m a m e n t e
purpose	p u ɾ p o s e
quesadillas	k e s a d i ʎ a s
renard	r e n a ɾ d
revisionismo	r e b i s ʝ o n i s m o
rift	r i f t
sade	s a d e
saenz	s a e n θ
seinfeld	s ei m f e l d
sellers	s e ʎ e ɾ s
sexi	s e k s i
sharia	s a ɾ ʝ a
teleserie	t e l e s e ɾ ʝ e
tem	t e m
tetris	t e t ɾ i s
torrevieja	t o r e b ʝ e x a
transicional	t ɾ a n s i θ ʝ o n a l
trucho	t ɾ u t͡ʃ o
tyrion	t i ɾ ʝ o n
ultraderechista	u l t ɾ a d e ɾ e t͡ʃ i s t a
urales	u ɾ a l e s
urtubey	u ɾ t u b e ʝ
vimeo	b i m e o
voip	b oi p
weir	wei ɾ
yucateco	ʝ u k a t e k o
zee	θ e e
zimmerman	θ i m m e ɾ m a n
almada	a l m a d a
alte	a l t e
annual	a n n wa l
anticoncepción	a n t i k o n θ e p θ ʝ o n
antioxidantes	a n t ʝ o k s i d a n t e s
aprobacion	a p ɾ o b a θ ʝ o n
asahi	a s ai
atañen	a t a ɲ e n
atenco	a t e n k o
atl	a t l
axl	a k s l
azerí	a θ e ɾ i
badoo	b a d o o
bajate	b a x a t e
bardean	b a ɾ d e a n
benji	b e n x i
ber	b e ɾ
blanes	b l a n e s
bloch	b l o t͡ʃ
bret	b ɾ e t
breton	b ɾ e t o n
brigitte	b ɾ i x i t t e
cachorrito	k a t͡ʃ o r i t o
calvino	k a l b i n o
camel	k a m e l
capcom	k a p k o m
cdo	k d o
cep	θ e p
chongo	t͡ʃ o n g o
chul	t͡ʃ u l
chungo	t͡ʃ u n g o
clarkson	k l a ɾ k s o n
clasismo	k l a s i s m o
colette	k o l e t t e
commercial	k o m m e ɾ θ ʝ a l
conor	k o n o ɾ
contactarte	k o n t a k t a ɾ t e
corazoncito	k o ɾ a θ o n θ i t o
corporate	k o ɾ p o ɾ a t e
cube	k u b e
cúal	k u a l
decima	d e θ i m a
dejémonos	d e x e m o n o s
district	d i s t ɾ i k t
domenech	d o m e n e t͡ʃ
dresden	d ɾ e s d e n
ejidos	e x i d o s
elcano	e l k a n o
envien	e m b ʝ e n
environmental	e m b i ɾ o m m e n t a l
escribia	e s k ɾ i b ʝ a
especificamente	e s p e θ i f i k a m e n t e
facilitadores	f a θ i l i t a d o ɾ e s
fallout	f a ʎ ou t
