حتى	ħ a t aː
أدائها	ʔ a d aː ʔ i h aː
أشكرك	ʔ a ʃ k a r a k
أصابك	ʔ a sˤ aː b a k a
أعمار	ʔ a ʕ m aː r
أماندا	ʔ a m aː n d aː
أنجيلو	ʔ a n d͡ʒ iː l uː
أنيتا	ʔ a n iː t aː
أوصي	ʔ a w sˤ i j j
إبرام	ʔ i b r aː m
إعلانا	ʔ i ʕ l aː n aː
إيف	ʔ iː f
اجتاحت	i d͡ʒ t aː ħ i t
اختبارا	i x t i b aː r aː
اصدقائي	i sˤ d i q aː ʔ i j j
اظهار	i ðˤ h aː r a
افغانستان	i f ɣ aː n i s t aː n
اقوي	i q w i j j
الأبرار	a l ʔ a b r aː r
الأخوين	a l ʔ a x w iː n
الأرمني	a l ʔ a r m a n i j j
الأشعري	a l ʔ a ʃ ʕ a r i j j
الإعلانية	a l ʔ i ʕ l aː n i j j a
الاساسي	a l aː s aː s i j j
الاساسية	a l aː s aː s i j j a
الامبراطورية	a l a m b a r aː tˤ uː r i j j a
الايميل	a l aː j m iː l
البدع	a l b a d a ʕ a
البربر	a l b a r b a r
البريدي	a l b a r iː d i j j
التحف	i l t a ħ a f a
التدوير	a t t a d w iː r
التذكارية	a t t i ð k aː r i j j a
التعميم	a t t a ʕ m iː m
التهابات	i l t i h aː b aː t
الجائر	a l d͡ʒ aː ʔ i r
الجهني	a l d͡ʒ a h a n i j j
الحاسوبية	a l ħ aː s uː b i j j a
الحلة	a l ħ a l a
الحمولة	a l ħ a m uː l a
الحمير	a l ħ a m iː r
الخرافات	a l x i r aː f aː t
الخيالي	a l x i j aː l i j j
الرجم	a r r a d͡ʒ a m a
الرجيم	a r r a d͡ʒ iː m
الزائفة	a z z aː ʔ i f a
الساخرة	a s s aː x i r a
الشائكة	a ʃ ʃ aː ʔ i k a
الصخرية	a sˤ sˤ a x r i j j a
الصلصة	a sˤ sˤ a l sˤ a
الطائره	a tˤ tˤ aː ʔ i r a h
العائدين	a l ʕ aː ʔ i d iː n
العمومي	a l ʕ a m uː m i j j
الغارديان	a l ɣ aː r d i j aː n
الفاخر	a l f aː x i r
الفزع	a l f a z a ʕ a
الفكاهة	a l f i k aː h a
القنب	a l q a n a b a
الكابوس	a l k aː b uː s
الكاكاو	a l k aː k aː w
الكعك	a l k a ʕ a k a
المتميزين	a l m u t a m iː z iː n
المتواضعة	a l m i t w aː dˤ i ʕ a
المجنونة	a l m a d͡ʒ n uː n a
المرفأ	a l m a r f a ʔ
المطروح	a l m a tˤ r uː ħ
المظلوم	a l m a ðˤ l uː m
المعكرونة	a l m a ʕ k a r uː n a
المقلية	a l m a q l i j j a
المناضل	a l m a n aː dˤ i l
الناخب	a n n aː x i b
النعيمي	a n n a ʕ iː m i j j
امامي	i m aː m i j j
انتظارك	i n t i ðˤ aː r i k
انتهيت	i n t a h iː t
ايجابية	iː d͡ʒ aː b i j j a
باحثة	b aː ħ i θ a
باطلاق	b aː tˤ i l aː q
بالدمام	b i d d i m aː m
بتمثيل	b i t a m θ iː l
بتوصيل	b a t uː sˤ iː l
بحقك	b a ħ q a k a
بشرح	b a ʃ r a ħ
تا	t aː
تبدا	t a b a d d aː
تجدهم	t a d͡ʒ a d h a m a
تجرأ	t a d͡ʒ a r r a ʔ a
تحجب	t a ħ a d͡ʒ d͡ʒ a b a
تخجل	t a x a d͡ʒ d͡ʒ a l a
تخرجه	t a x a r d͡ʒ a h a
تشعرون	t a ʃ a ʕ r uː n
تصرفاته	t a sˤ r a f aː t a h
تعارف	t a ʕ aː r a f a
تعرضهم	t a ʕ a r dˤ a h a m a
تعزيزات	t a ʕ z iː z aː t
تعقيدات	t a ʕ q iː d aː t
تقويض	t a q w iː dˤ
تمنحها	t a m a n ħ a h aː
تهبط	t a h a b b a tˤ a
تودي	t a w d i j j
توصلنا	t a w sˤ a l n aː
جالكسي	d͡ʒ aː l k i s i j j
حادا	ħ aː d aː
حاويات	ħ aː w i j j aː t
حفله	ħ a f l a h
حلقت	ħ a l a q t
حوش	ħ a w ʃ
خبرته	x a b a r t a h
خلطة	x a l tˤ a
دائرية	d aː ʔ i r i j j a
دبا	d a b b aː
روبرتو	r uː b a r t uː
ريتويت	r iː t w iː t
سا	s aː
ساعده	s aː ʕ a d a h a
سدى	s a d aː
سريره	s a r iː r a h
سيعرض	s a j ʕ a r a dˤ
سيفعل	s a j f a ʕ a l
شأنا	ʃ a ʔ n aː
شانيل	ʃ aː n iː l
شخصيتها	ʃ a x sˤ iː t e h aː
شربت	ʃ a r b a t
شقيقتها	ʃ a q iː q t e h aː
شكرك	ʃ a k r a k
شى	ʃ aː
ضغطا	dˤ a ɣ tˤ aː
ضيعت	dˤ a j ʕ a t
عارفين	ʕ aː r f iː n
عاري	ʕ aː r i j j
عبدالكريم	ʕ a b d aː l k a r iː m
عمدت	ʕ a m d a t
فائض	f aː ʔ i dˤ
فاعلا	f aː ʕ i l a n
فخرج	f a x r a d͡ʒ
فقدته	f a q a d t a h
فوالله	f a w aː lˤ lˤ aː h
قرأته	q a r ʔ a t a h
قرع	q a r a ʕ a
كئيب	k a ʔ iː b
كلمتي	k a l a m t i j j
لاخر	l aː x i r
لازمة	l aː z a m a
لروح	l a r uː ħ
للحملة	l a l a ħ m a l a
للنهوض	l a l a n h uː dˤ
للولاية	l a l uː l aː j a
لمراجعة	l a m r aː d͡ʒ i ʕ a
لمسلسل	l a m s a l s a l
مأساوية	m a ʔ s aː w i j j a
ماين	m aː j i n
مبتكر	m u b t a k a r
متبادل	m u t a b aː d i l
متوجها	m u t a w a d͡ʒ d͡ʒ a h aː
مدفوع	m a d f uː ʕ
مساحته	m u s aː ħ t i h
مشتعلة	m u ʃ t a ʕ l a
مصابون	m a sˤ aː b uː n
مضطرين	m a dˤ tˤ a r iː n
مقتنعا	m u q t a n a ʕ a n
مكشوفة	m a k ʃ uː f a
مواضع	m a w aː dˤ i ʕ
ناشطات	n aː ʃ i tˤ aː t
نانا	n aː n aː
نبكي	n a b a k i j j
نحنا	n a ħ n aː
نصفين	n a sˤ f iː n
نظرات	n a ðˤ r aː t
نيفادا	n iː f aː d aː
هاش	h aː ʃ a
هشة	h a ʃ ʃ a
همام	h a m aː m
هيروشيما	h iː r uː ʃ iː m aː
وأغلق	w a ʔ ɣ a l a q
وأقام	w a ʔ q aː m
وأقرب	w a ʔ q a r a b
وأنني	w a ʔ a n n i j j
واحصل	w aː ħ i sˤ i l
واخذ	w aː x i ð
واقعنا	w aː q i ʕ n aː
واقفة	w aː q i f a
والإسلامي	w a l ʔ i s l aː m i j j
والاختلاف	w aː l aː x t i l aː f
والجبن	w aː l d͡ʒ a b a n
وبطبيعة	w a b tˤ a b iː ʕ a
وبعث	w a b ʕ a θ a
وبن	w a b a n a
وتسلم	w a t s a l a m
وتوقفت	w a t uː q a f t
وخلف	w a x l a f
ورغبة	w a r ɣ a b a
وزوجتي	w a z uː d͡ʒ t i j j
وعشرة	w a ʕ ʃ a r a
وغرف	w a ɣ r a f
وفود	w a f uː d
وكأني	w a k ʔ a n i j j
ومجلة	w a m d͡ʒ a l a
ومد	w a m a d a
ونشاط	w a n ʃ aː tˤ
ويعلن	w a j ʕ a l a n
يتجول	j a t d͡ʒ uː l
يتخيل	j a t x iː l
يجتمعون	j a d͡ʒ t a m ʕ uː n
يشن	j a ʃ a n a
يعبرون	j a ʕ b a r uː n
يعطون	j a ʕ tˤ uː n
يمتص	j a m t a sˤ a
ينفجر	j a n f a d͡ʒ a r
digital	d i ɡ i t a l
museum	m u s e u m
old	o l d
plus	p l u s
أبدع	ʔ a b d a ʕ a
أبراهام	ʔ a b r aː h aː m
أخيك	ʔ a x iː k
أزيد	ʔ a z iː d
أسسه	ʔ a s s a h a
أصرت	ʔ a sˤ r a t a
أطفالي	ʔ a tˤ f aː l i j j
أعصاب	ʔ a ʕ sˤ aː b
أعقبت	ʔ a ʕ q a b t
أفرج	ʔ a f r a d͡ʒ
أقاموا	ʔ a q aː m u w aː
أكاد	ʔ a k aː d
أكدوا	ʔ a k d a w aː
أنقل	ʔ a n q a l a
أواسط	ʔ a w aː s i tˤ
إجتماعية	ʔ i d͡ʒ t i m aː ʕ i j j a
إطلاع	ʔ i tˤ l aː ʕ
إنجاب	ʔ i n d͡ʒ aː b
احترافي	i ħ t i r aː f i j j
اشتعال	i ʃ t i ʕ aː l
اصطياد	i sˤ tˤ i j aː d
اعترافا	i ʕ t i r aː f aː
اعتناق	i ʕ t i n aː q
الآذان	a l ʔ aː ð aː n
الأذهان	a l ʔ a ð h aː n
الأطوار	a l ʔ a tˤ w aː r
الأفضلية	a l ʔ a f dˤ a l i j j a
الألغاز	a l ʔ a l ɣ aː z
الإخلال	a l ʔ i x l aː l
الاستقلالية	a l i s t i q l aː l i j j a
الالوان	a l aː l a w aː n
الاميرة	a l aː m iː r a
الباجي	a l b aː d͡ʒ i j j
الباعة	a l b aː ʕ a
الباليه	a l b aː l iː h
البدن	a l b a d a n a
البط	a l b a tˤ tˤ a
التقصير	a t t a q sˤ iː r
التوطين	a t t a w tˤ iː n
الجبر	a l d͡ʒ a b a r a
الجذع	a l d͡ʒ a ð a ʕ a
الحاجب	a l ħ aː d͡ʒ i b
الحلاقة	a l ħ i l aː q a
الخالد	a l x aː l i d
الخروف	a l x a r uː f
الخطف	a l x a tˤ a f a
الخواطر	a l x a w aː tˤ i r
الديكتاتورية	a d d iː k t aː t uː r i j j a
الرامي	a r r aː m i j j
الستر	a s s a t a r a
السين	a s s iː n
الشهرين	a ʃ ʃ a h r iː n
الضريبية	a dˤ dˤ a r iː b i j j a
العمد	a l ʕ a m a d a
العواصم	a l ʕ a w aː sˤ i m
العيار	a l ʕ i j aː r
الغيار	a l ɣ i j aː r
الفراشات	a l f i r aː ʃ aː t
الكاريكاتير	a l k aː r iː k aː t iː r
الكنسية	a l k a n s i j j a
اللاهوت	a l l aː h uː t
المألوفة	a l m a ʔ l uː f a
المرفقة	a l m a r f a q a
المسبب	a l m a s b a b a
المشبوهة	a l m a ʃ b uː h a
المعجم	a l m a ʕ d͡ʒ a m
المنتجين	a l m a n t a d͡ʒ iː n
المنية	a l m a n i j j a
الناجحين	a n n aː d͡ʒ a ħ iː n
الناصري	a n n aː sˤ a r i j j
النهائيات	a n n i h aː ʔ i j j aː t
انتظرت	i n t a ðˤ r a t a
انتقاما	i n t i q aː m aː
اهانة	i h aː n a
بأفكار	b a ʔ a f k aː r
بالجنة	b aː l d͡ʒ a n a
بتقسيم	b i t a q s iː m
بتقول	b a t q uː l
بدبي	b a d a b i j j
بريق	b a r iː q
بزواج	b a z a w aː d͡ʒ
بضائع	b a dˤ aː ʔ i ʕ
بطون	b a tˤ uː n
بناه	b a n aː h
بهيئة	b a h iː ʔ a
بواحد	b a w aː ħ i d
بوادي	b a w aː d i j j
تبكين	t a b k iː n
تتجمع	t a t a d͡ʒ m a ʕ a
تحث	t a ħ a θ θ a
تحليلات	t a ħ l iː l aː t
تخطئ	t a x a tˤ tˤ i ʔ a
تركهم	t a r k a h a m a
تروح	t a r a w w a ħ a
تزن	t a z a n n a
تسكت	t a s a k k a t a
تشترى	t a ʃ t a r aː
تصميمات	t a sˤ m iː m aː t
تطمح	t a tˤ a m m a ħ a
تعاطف	t a ʕ aː tˤ a f a
تفكيره	t a f k iː r a h
تكريت	t a k r iː t
تلة	t a l l a
تلقاه	t a l q aː h
تلقيه	t a l q iː h
تليفون	t a l iː f uː n
تنصح	t a n a sˤ sˤ a ħ a
تنقص	t a n a q q a sˤ a
تهيمن	t a h a j m a n a
توضيحي	t a w dˤ iː ħ i j j
ثلاثمائة	θ a l aː θ a m aː ʔ a
جلالته	d͡ʒ a l aː l t a h
جمهوري	d͡ʒ a m h uː r i j j
حذفت	ħ a ð a f t
حطم	ħ a tˤ a m a
خاطفة	x aː tˤ i f a
خذها	x a ð h aː
داعم	d aː ʕ a m a
دبر	d a b a r a
ذنبك	ð a n b a k a
راحتك	r aː ħ t a k a
رديئة	r a d iː ʔ a
رمسيس	r a m s iː s
ستساعد	s i t s aː ʕ i d
ستقام	s i t q aː m
سفك	s a f a k a
سلامه	s a l aː m a h
شاق	ʃ aː q a
شعروا	ʃ a ʕ r a w aː
صخر	sˤ a x a r a
طفح	tˤ a f a ħ a
طلائع	tˤ a l aː ʔ i ʕ
عربيه	ʕ a r b iː h
عظيمه	ʕ a ðˤ iː m a h
علاقاتها	ʕ a l aː q aː t e h aː
عوائق	ʕ a w aː ʔ i q
فارقا	f aː r i q aː
فدية	f a d i j j a
فهمنا	f a h m a n aː
فيونا	f i j uː n aː
قرآنية	q a r ʔ aː n i j j a
قراري	q a r aː r i j j
قزم	q a z a m a
كونا	k uː n aː
لاتفاقية	l aː t i f aː q i j j a
لاتقل	l aː t a q a l a
لاجئين	l aː d͡ʒ i ʔ iː n
لاحتلال	l aː ħ t i l aː l
لغته	l a ɣ t a h a
لفتره	l a f t a r a h
لقبه	l a q b a h a
لقرون	l a q r uː n
لقضايا	l a q dˤ aː j aː
لكنت	l a k a n t
للتطوير	l a l t a tˤ w iː r
للجريمة	l a l d͡ʒ a r iː m a
للخير	l a l x iː r
للطلب	l a l tˤ a l a b
للماضي	l a l m aː dˤ i j j
لمعايير	l a m ʕ aː j iː r
لمين	l a m iː n
لونغ	l a w n a ɣ
ليحل	l a j ħ a l a
محاولتهم	m u ħ aː w a l t a h a m
محدثة	m a ħ d a θ a
محققة	m a ħ q a q a
مشاجرة	m a ʃ aː d͡ʒ i r a
مشروعها	m a ʃ r uː ʕ a h aː
مصرفية	m a sˤ r a f i j j a
معرفية	m a ʕ r a f i j j a
معطلة	m a ʕ tˤ a l a
معظمه	m a ʕ ðˤ a m a h
معلن	m a ʕ l a n
مقالاته	m u q aː l aː t i h
منفردا	m u n f a r d aː
مودي	m a w d i j j
نباتية	n a b aː t i j j a
نجما	n a d͡ʒ m aː
نحت	n a ħ t
نسق	n a s a q a
نظامنا	n a ðˤ aː m n aː
نعيشها	n a ʕ iː ʃ h aː
نوادي	n a w aː d i j j
هاتان	h aː t aː n
واعترف	w aː ʕ t a r a f
واقية	w aː q i j j a
والأهداف	w aː l ʔ a h d aː f
وبنت	w a b a n t
وتراجع	w a t r aː d͡ʒ i ʕ
وتعليق	w a t a ʕ l iː q
ورؤساء	w a r ʔ u s aː ʔ
ورحل	w a r ħ a l a
ورقي	w a r q i j j
وسعها	w a s ʕ a h aː
وسيارات	w a s j aː r aː t
وصندوق	w a sˤ a n d uː q
وضيق	w a dˤ iː q
وفتاة	w a f t aː h
وناس	w a n aː s
ويفضل	w a j f a dˤ a l
ويمنع	w a j m a n a ʕ
يتساقط	j a t s aː q i tˤ
يتعلمون	j a t ʕ a l a m uː n
يجف	j a d͡ʒ a f a
يختارون	j a x t aː r uː n
يخيب	j a x iː b
يذكرنا	j a ð k a r n aː
يزل	j a z a l a
يعوض	j a ʕ uː dˤ
يعي	j a ʕ i j j
يغادرون	j a ɣ aː d r uː n
يودون	j uː d uː n
air	a i r
last	l a s t
make	m a k e
november	n o v e m b e r
want	w a n t
أحدنا	ʔ a ħ d a n aː
أسفه	ʔ a s f a h a
أعشق	ʔ a ʕ ʃ a q a
أغانيه	ʔ a ɣ aː n iː h
أموالك	ʔ a m w aː l i k
أودي	ʔ a w d i j j
إبداعية	ʔ i b d aː ʕ i j j a
إحدي	ʔ i ħ d i j j
إختلاف	ʔ i x t i l aː f
إعتقال	ʔ i ʕ t i q aː l
إعداده	ʔ i ʕ d aː d a h
إهدار	ʔ i h d aː r
اتعلم	i t t a ʕ l a m a
اردوغان	i r d uː ɣ aː n
استوديو	i s t a w d i j uː
الأبجدية	a l ʔ a b d͡ʒ a d i j j a
الأبقار	a l ʔ a b q aː r
الأجناس	a l ʔ a d͡ʒ n aː s
الأحاسيس	a l ʔ a ħ aː s iː s
الأفراح	a l ʔ a f r aː ħ
الأكيد	a l ʔ a k iː d
الإحداثيات	a l ʔ i ħ d aː θ i j j aː t
الإصلاحي	a l ʔ i sˤ l aː ħ i j j
الإضرار	a l ʔ i dˤ r aː r
الباطنية	a l b aː tˤ i n i j j a
البحارة	a l b i ħ aː r a
البدلة	a l b a d a l a
البروفسور	a l b a r uː f s uː r
البريئة	a l b a r iː ʔ a
الجبان	a l d͡ʒ i b aː n
الجنرالات	a l d͡ʒ i n r aː l aː t
الحروق	a l ħ a r uː q
الحواس	a l ħ a w aː s
الخاسر	a l x aː s i r
الخالص	a l x aː l i sˤ
الخان	a l x aː n
الزيدية	a z z iː d i j j a
السباقات	a s s i b aː q aː t
السهلة	a s s a h l a
الشاطىء	a ʃ ʃ aː tˤ aː ʔ
الشيئ	a ʃ ʃ iː ʔ
الصالحات	a sˤ sˤ aː l a ħ aː t
الصدى	a sˤ sˤ a d aː
العجل	a l ʕ a d͡ʒ d͡ʒ a l a
العذب	a l ʕ a ð a b a
العيان	a l ʕ i j aː n
الفتوح	a l f a t uː ħ
القادرين	a l q aː d r iː n
القصيد	a l q a sˤ iː d
الكاراتيه	a l k aː r aː t iː h
الكورنيش	a l k uː r n iː ʃ
الكوني	a l k uː n i j j
المتاجرة	a l m i t aː d͡ʒ i r a
المراسم	a l m a r aː s i m
المعتدي	a l m a ʕ t a d i j j
المماليك	a l m a m aː l iː k
المهجورة	a l m a h d͡ʒ uː r a
المواشي	a l m a w aː ʃ i j j
الميم	a l m iː m
النمساوية	a n n i m s aː w i j j a
الهامش	a l h aː m i ʃ
الهلع	a l h a l a ʕ a
الهيدروجين	a l h iː d r uː d͡ʒ iː n
الودائع	a l w a d aː ʔ i ʕ
اهلها	i h l a h aː
بادرة	b aː d i r a
بارتداء	b aː r t i d aː ʔ
باستغلال	b aː s t i ɣ l aː l
بالأمراض	b i l ʔ a m r aː dˤ
بالمسجد	b i l m a s d͡ʒ i d
بتحديث	b i t a ħ d iː θ
بتحضير	b i t a ħ dˤ iː r
بحكومة	b a ħ k uː m a
بدك	b a d a k a
برجاء	b a r d͡ʒ aː ʔ
بريدا	b a r iː d aː
بريدية	b a r iː d i j j a
بسوق	b a s uː q
بعلاج	b a ʕ l aː d͡ʒ
بمبدأ	b a m b a d a ʔ
بنكهة	b a n k a h a
تأريخ	t a ʔ r iː x
تبالي	t a b aː l i j j
تجدون	t a d͡ʒ d uː n
تخلط	t a x a l l a tˤ a
تدوينة	t a d w iː n a
تصنيعها	t a sˤ n iː ʕ a h aː
تصوره	t a sˤ a w r a h a
تفسيرها	t a f s iː r h aː
تفصيلية	t a f sˤ iː l i j j a
تفوح	t a f a w w a ħ a
تمسح	t a m a s s a ħ a
تنشرها	t a n ʃ a r h aː
توجت	t a w a d͡ʒ d͡ʒ a t a
توخي	t a w x i j j
تيسر	t a j s a r a
جهته	d͡ʒ a h t a h a
حققوا	ħ a q q u w aː
حينه	ħ a j n a h
خائف	x aː ʔ i f
خلوي	x a l a w i j j
داري	d aː r i j j
دخلها	d a x l a h aː
دهن	d a h a n a
دهون	d a h uː n
ذمار	ð a m aː r
راسخة	r aː s i x a
رالي	r aː l i j j
رحيما	r a ħ iː m aː
رملية	r a m a l i j j a
زحام	z a ħ ħ aː m
سألتها	s a ʔ a l t a h aː
ساقه	s aː q a h a
سايمون	s aː j m uː n
ستيشن	s a t iː ʃ a n
سكرتيرة	s a k a r t iː r a
سليماني	s a l iː m aː n i j j
سماك	s a m aː k
سمعتهم	s a m a ʕ t a h a m
سنو	s a n uː
سيفوز	s a j f uː z
شرايين	ʃ a r aː j iː n
شكلوا	ʃ a k l a w aː
صدقيني	sˤ a d q iː n i j j
صرخ	sˤ a r a x a
صمد	sˤ a m a d a
صيفية	sˤ a j f i j j a
طاعته	tˤ aː ʕ t a h
طريقتي	tˤ a r iː q t i j j
طعمه	tˤ a ʕ m a h
طعمها	tˤ a ʕ m a h aː
عائق	ʕ aː ʔ i q
عاديه	ʕ aː d iː h
عبدو	ʕ a b d uː
عرشه	ʕ a r ʃ a h
عشائر	ʕ a ʃ aː ʔ i r
عقدين	ʕ a q d iː n
علاجات	ʕ a l aː d͡ʒ aː t
غارقة	ɣ aː r i q a
غولد	ɣ a w l a d
غولف	ɣ a w l a f
فاتنة	f aː t i n a
قارات	q aː r aː t
قداس	q a d aː s
قس	q a s s
قيما	q a j m aː
كاراكاس	k aː r aː k aː s
كوكو	k uː k uː
كينيث	k iː n iː θ
لأسابيع	l a ʔ s aː b iː ʕ
لتأتي	l a t a ʔ t i j j
لطبيب	l a tˤ b iː b
لقاءه	l a q aː ʔ a h
للاعتراف	l a l aː ʕ t i r aː f
للضوء	l a l dˤ uː ʔ
للقواعد	l a l q a w aː ʕ i d
للقول	l a l q uː l
للمعهد	l a l m a ʕ h a d
للهرب	l a l h a r a b
لليلة	l a l iː l a
لنقول	l a n q uː l
مؤرخ	m u ʔ r a x
ماتيو	m aː t j uː
مارتينيز	m aː r t iː n iː z
محرج	m a ħ r a d͡ʒ
مربحة	m a r b a ħ a
مستحضرات	m u s t a ħ dˤ a r aː t
مكسيكية	m a k s iː k i j j a
مملوءة	m a m l uː ʔ a
موسي	m a w s i j j
ميتشيل	m iː t ʃ iː l
ميريام	m iː r j aː m
نحبه	n a ħ b a h a
نحس	n a ħ a s a
نزلوا	n a z a l a w aː
نشب	n a ʃ a b a
هلك	h a l a k a
هيب	h a j j a b a
وأرسلت	w a ʔ r a s a l t
واردة	w aː r i d a
واستخراج	w aː s t i x r aː d͡ʒ
واقول	w aː q uː l
والأسواق	w aː l ʔ a s w aː q
والاستقلال	w aː l aː s t i q l aː l
والقاضي	w aː l q aː dˤ i j j
وتؤثر	w a t ʔ u θ r
وتخزين	w a t x a z iː n
وتغطي	w a t ɣ a tˤ i j j
وتمنح	w a t m a n a ħ
وتيسير	w a t iː s iː r
وجبال	w a d͡ʒ b aː l
وجرائم	w a d͡ʒ r aː ʔ i m
وداخل	w a d aː x i l
وردود	w a r d uː d
وساعد	w a s aː ʕ i d
وسياسيا	w a s j aː s i j aː
وعلقت	w a ʕ l a q t
وعمال	w a ʕ m aː l
وقدره	w a q d a r a h
وموت	w a m uː t
ونال	w a n aː l
ونحو	w a n ħ uː
ونزلت	w a n z a l t
ويقصد	w a j q a sˤ a d
يتزايد	j a t z aː j i d
يتعاون	j a t ʕ aː w a n
يدفعه	j a d f a ʕ a h
يرددون	j a r d a d uː n
يرقصون	j a r q a sˤ uː n
يطرد	j a tˤ r a d
يفرج	j a f r a d͡ʒ
يقتلوا	j a q t a l a w aː
يكتبه	j a k t a b a h
full	f u l l
her	h e r
law	l a w
listen	l i s t e n
need	n eː d
sport	s p o r t
أحباب	ʔ a ħ b aː b
أحتفظ	ʔ a ħ t a f a ðˤ a
أختيار	ʔ a x t i j aː r
أسره	ʔ a s r a h a
أشتري	ʔ a ʃ t a r i j j
أشيائي	ʔ a ʃ j aː ʔ i j j
أطنان	ʔ a tˤ n aː n
ألفيس	ʔ a l f iː s
ألق	ʔ a l a q a
ألقوا	ʔ a l q a w aː
أمريكان	ʔ a m r iː k aː n
أميري	ʔ a m iː r i j j
أنصحك	ʔ a n sˤ a ħ a k a
أنضم	ʔ a n dˤ a m a
أهو	ʔ a h w
إغاثة	ʔ i ɣ aː θ a
ابتدائية	i b t i d aː ʔ i j j a
اثق	i θ a q q a
اخبارية	i x b aː r i j j a
اسرة	i s r a
اشبه	i ʃ b a h a
اصعب	i sˤ ʕ a b b a
الآفات	a l ʔ aː f aː t
الأباء	a l ʔ a b aː ʔ
الأخيرين	a l ʔ a x iː r iː n
الأسعد	a l ʔ a s ʕ a d a
الأصناف	a l ʔ a sˤ n aː f
الأفغان	a l ʔ a f ɣ aː n
الأنمي	a l ʔ a n a m i j j
الإجرام	a l ʔ i d͡ʒ r aː m
الإستراتيجي	a l ʔ i s t a r aː t iː d͡ʒ i j j
الإستقلال	a l ʔ i s t i q l aː l
الإعتراف	a l ʔ i ʕ t r aː f
الإفلات	a l ʔ i f l aː t
الإكثار	a l ʔ i k θ aː r
الإمداد	a l ʔ i m d aː d
الإنشائية	a l ʔ i n ʃ aː ʔ i j j a
الاجتهاد	a l aː d͡ʒ t i h aː d
الارهابي	a l aː r h aː b i j j
الارواح	a l aː r a w aː ħ
الاستشهاد	a l i s t i ʃ h aː d
الاستيطان	a l i s t iː tˤ aː n
الاسلوب	a l aː s l uː b
الباري	a l b aː r i j j
التموين	a t t a m w iː n
الثائر	a θ θ aː ʔ i r
الجبناء	a l d͡ʒ i b n aː ʔ
الجذر	a l d͡ʒ a ð a r a
الجيتار	a l d͡ʒ iː t aː r
الحسينية	a l ħ a s iː n i j j a
الخاتمة	a l x aː t a m a
الدارسين	a d d aː r s iː n
الدنماركي	a d d i n m aː r k i j j
الديكور	a d d iː k uː r
الديناميكية	a d d iː n aː m iː k i j j a
السريانية	a s s i r j aː n i j j a
الشغف	a ʃ ʃ a ɣ a f a
الشمعة	a ʃ ʃ a m ʕ a
الشنقيطي	a ʃ ʃ a n q iː tˤ i j j
الصحفى	a sˤ sˤ a ħ f aː
الضائعة	a dˤ dˤ aː ʔ i ʕ a
الطائي	a tˤ tˤ aː ʔ i j j
الظلمات	a ðˤ ðˤ a l a m aː t
العكسي	a l ʕ a k s i j j
العمودي	a l ʕ a m uː d i j j
العنقودية	a l ʕ a n q uː d i j j a
الغاب	a l ɣ aː b
الفائتة	a l f aː ʔ i t a
الفيتو	a l f iː t uː
القطبي	a l q a tˤ a b i j j
اللافتة	a l l aː f t a
اللفظية	a l l a f ðˤ i j j a
المخفية	a l m a x f i j j a
المرفوعة	a l m a r f uː ʕ a
المرموقة	a l m a r m uː q a
المزاعم	a l m a z aː ʕ i m
المظلومين	a l m a ðˤ l uː m iː n
المعزول	a l m a ʕ z uː l
المغرد	a l m a ɣ r a d
الموزعة	a l m uː z a ʕ a
النبأ	a n n a b a ʔ a
النسل	a n n a s a l a
النهب	a n n a h a b a
الهوكي	a l h uː k i j j
الهيب	a l h iː b
امرأه	i m r a ʔ a h a
انام	i n aː m m a
باشرت	b aː ʃ i r t
بالخيانة	b i l x i j aː n a
بحادث	b a ħ aː d i θ
بدليل	b a d a l iː l
بسن	b a s a n a
بطلق	b a tˤ l a q
بفرح	b a f r a ħ
بقلبي	b a q l a b i j j
بلسان	b a l s aː n
بمعايير	b a m ʕ aː j iː r
بنائها	b a n aː ʔ i h aː
بيرت	b a j r a t
تبالغ	t a b aː l a ɣ a
تجعلهم	t a d͡ʒ a ʕ l a h a m a
تحذيرا	t a ħ ð iː r aː
تركيبها	t a r k iː b h aː
تسببها	t a s b a b h aː
تستطيعون	t a s t a tˤ iː ʕ uː n
تسر	t a s a r r a
تطبع	t a tˤ a b b a ʕ a
تعليقه	t a ʕ l iː q a h
تقفل	t a q a f f a l a
تكتيك	t a k t iː k
تهانينا	t a h aː n iː n aː
توصي	t a w sˤ i j j
ثقوب	θ u q uː b
جئنا	d͡ʒ i ʔ n aː
جري	d͡ʒ a r i j j
جزئين	d͡ʒ a z ʔ iː n
جغرافي	d͡ʒ a ɣ r aː f i j j
جميلات	d͡ʒ a m iː l aː t
جهده	d͡ʒ a h d a h a
حديدي	ħ a d iː d i j j
حققنا	ħ a q q a n aː
خصومات	x u sˤ uː m aː t
دريك	d a r iː k
دفاعي	d a f aː ʕ i j j
رسمه	r a s m a h
ريتشي	r iː t ʃ i j j
ريغان	r iː ɣ aː n
زورا	z a w r aː
ساب	s aː b a
ساركوزي	s aː r k uː z i j j
سبيرز	s a b iː r z
ستنتهي	s i t a n t a h i j j
سيث	s a j θ
سيرجيو	s iː r d͡ʒ i j uː
شومان	ʃ a w m aː n
صيحات	sˤ a j ħ aː t
طعامه	tˤ a ʕ aː m a h
ظللت	ðˤ a l l a t
عبدالوهاب	ʕ a b d aː l uː h aː b
عربيات	ʕ a r a b i j j aː t
