in	i n
leaders	l ɛː d ə r s
literary	l i t ə r a r i
mad	m a d
mohanlal	m o h a n l a l
muhammad	m u h a m m a d
pot	p o t
raju	r a d͡ʒ u
sin	s i n
vertical	v ɛ r t i k a l
அயன	ɐ j ɐ n ɐ
ஆசன	ɑː t͡ɕ ɐ n ɐ
dalit	d a l i t
dental	d ɛ n t a l
dept	d ɛ p t
henry	h ɛ n r i
lovers	l o v ə r s
mary	m a r i
relative	r e l a t i v e
baahubali	b aː h u b a l i
bat	b a t
bowl	b a w l
directory	d i r ɛ k t ɔ r i
edward	e d w a r d
feedback	f iː d b a k
graphics	ɡ r a f i k s
hybrid	h i b r i d
initiative	i n i t i a t i v e
ir	i r
itself	i t s ɛ l f
kind	k i n d
proposal	p r o p o s a l
rajan	r a d͡ʒ a n
raman	r a m a n
siddha	s i d d a
sis	s i s
syria	s i r i a
uses	u s e s
ஆம	ɑː m ɐ
ஒலக	o l ɐ ɡ ɐ
கழ	k ɐ ɻ ɐ
யம	j ɐ m ɐ
