km	k a ɛ m
comparatives	k ɔ̃ p a ʁ a t i v
complotiste	k ɔ̃ p l ɔ t i s t
compos	k ɔ̃ p o
compressé	k ɔ̃ p ʁ e s e
contraceptive	k ɔ̃ t ʁ a s ɛ p t i v
contré	k ɔ̃ t ʁ e
coopèrent	k ɔ ɔ p ɛ ʁ
copinage	k ɔ p i n a ʒ
coraniques	k ɔ ʁ a n i k
corrigent	k ɔ ʁ i ʒ
cortisone	k ɔ ʁ t i z ɔ n
couac	k w a k
courbis	k u ʁ b i
credits	k ʁ ə d i
decouvert	d ə k u v ɛ ʁ
delvaux	d ɛ l v o
dessinez	d e s i n e
diffamatoire	d i f a m a t w a ʁ
digeste	d i ʒ ɛ s t
dilemmes	d i l a m
drakkar	d ʁ a k a ʁ
duguay	d y ɡ ɛ
décapitée	d e k a p i t e
décoratrice	d e k ɔ ʁ a t ʁ i s
décriée	d e k ʁ i j e
déportations	d e p ɔ ʁ t a s j ɔ̃
désuète	d e z ɥ ɛ t
dévolution	d e v ɔ l y s j ɔ̃
efforçant	e f ɔ ʁ s ɑ̃
emojis	ə m ɔ ʒ i
encéphalite	ɑ̃ s e f a l i t
entendis	ɑ̃ t ɑ̃ d i
erc	ɛ ʁ k
excusent	ɛ k s k y z
exhumé	ɛ ɡ z y m e
exigez	ɛ ɡ z i ʒ e
exorciser	ɛ ɡ z ɔ ʁ s i z e
exportée	ɛ k s p ɔ ʁ t e
expérimentalement	ɛ k s p e ʁ i m ɑ̃ t a l m ɑ̃
fanta	f ɑ̃ t a
faramineux	f a ʁ a m i n ø
fascinantes	f a s i n ɑ̃ t
fatou	f a t u
ferrière	f ɛ ʁ j ɛ ʁ
forman	f ɔ ʁ m ɑ̃
fortifiés	f ɔ ʁ t i f j e
franque	f ʁ ɑ̃ k
frontistes	f ʁ ɔ̃ t i s t
germé	ʒ ɛ ʁ m e
geôles	ʒ o l
giselle	ʒ i z ɛ l
grenache	ɡ ʁ ə n a ʃ
guernesey	ɡ ɛ ʁ n ə z ɛ
guizot	ɡ i z o
génocidaire	ʒ e n ɔ s i d ɛ ʁ
géothermique	ʒ e ɔ t ɛ ʁ m i k
haltères	a l t ɛ ʁ
hani	a n i
hide	i d
hind	ɛ̃ d
hitachi	i t a ʃ i
hodge	ɔ d ʒ
horatio	ɔ ʁ a s j o
hornet	ɔ ʁ n ɛ
hortons	ɔ ʁ t ɔ̃
hurt	y ʁ
hyatt	j a t
ifrs	i f ʁ
iglesias	i ɡ l e z j a
incarnés	ɛ̃ k a ʁ n e
individualisé	ɛ̃ d i v i d ɥ a l i z e
initiations	i n i s j a s j ɔ̃
insubordination	ɛ̃ s y b ɔ ʁ d i n a s j ɔ̃
intestines	ɛ̃ t ɛ s t i n
ionisation	j ɔ n i z a s j ɔ̃
isolants	i z ɔ l ɑ̃
ivo	i v o
jugulaire	ʒ y ɡ y l ɛ ʁ
kale	k a l
kao	k a o
kato	k a t o
keating	k i t i ŋ
kirchner	k i ʁ k n e
kirkland	k i ʁ k l ɑ̃
konrad	k ɔ̃ ʁ a d
kou	k u
kyung	k j u ŋ
lacey	l a s ɛ
lahore	l a ɔ ʁ
lampard	l ɑ̃ p a ʁ
lancet	l ɑ̃ s ɛ
leung	l œ̃
libro	l i b ʁ o
lithographies	l i t ɔ ɡ ʁ a f i
logs	l ɔ ɡ
lpo	ɛ l p o
lucques	l y k
mads	m a d
malaysia	m a l ɛ z j a
marcotte	m a ʁ k ɔ t
marcy	m a ʁ s i
marini	m a ʁ i n i
marinière	m a ʁ i n j ɛ ʁ
maverick	m a v ʁ i k
maël	m a ɛ l
medley	m ɛ d l ɛ
meetup	m i t y p
mehmet	m e m ɛ
member	m ɑ̃ b e
mentionnez	m ɑ̃ s j ɔ n e
messidor	m e s i d ɔ ʁ
messmer	m ɛ s m e
meublés	m œ b l e
mitigées	m i t i ʒ e
modernisée	m ɔ d ɛ ʁ n i z e
morsi	m ɔ ʁ s i
mostra	m ɔ s t ʁ a
mégapixels	m e ɡ a p i k s ɛ l
narnia	n a ʁ n j a
nationalismes	n a s j ɔ n a l i s m
nodules	n ɔ d y l
nola	n ɔ l a
négros	n e ɡ ʁ o
obturateur	ɔ p t y ʁ a t œ ʁ
optimisée	ɔ p t i m i z e
panic	p a n i k
panzer	p ɑ̃ z e
paraboles	p a ʁ a b ɔ l
parachuté	p a ʁ a ʃ y t e
paysannerie	p ɛ j z a n ʁ i
penalties	p ə n a l t i
penne	p ɛ n
peuls	p œ l
pew	p j u
pigmentation	p i ɡ m ɑ̃ t a s j ɔ̃
plantain	p l ɑ̃ t ɛ̃
popotin	p ɔ p ɔ t ɛ̃
posologie	p ɔ z ɔ l ɔ ʒ i
postulants	p ɔ s t y l ɑ̃
prohibitif	p ʁ ɔ i b i t i f
précommande	p ʁ e k ɔ m ɑ̃ d
préfiguration	p ʁ e f i ɡ y ʁ a s j ɔ̃
prêchent	p ʁ ɛ ʃ
pécuniaires	p e k y n j ɛ ʁ
quesnel	k ɛ n ɛ l
randonneur	ʁ ɑ̃ d ɔ n œ ʁ
rappeuse	ʁ a p ø z
realiser	ʁ ə a l i z e
reconstructions	ʁ ə k ɔ̃ s t ʁ y k s j ɔ̃
recovery	ʁ ə k ɔ v ʁ i
recrutons	ʁ ə k ʁ y t ɔ̃
redemption	ʁ ə d ɑ̃ p s j ɔ̃
releveur	ʁ ə l ə v œ ʁ
repentigny	ʁ ə p ɑ̃ t i ɲ i
replient	ʁ ə p l i
roca	ʁ ɔ k a
roscoff	ʁ ɔ s k ɔ f
rotrou	ʁ ɔ t ʁ u
rpc	ɛ ʁ p e s e
réparatrice	ʁ e p a ʁ a t ʁ i s
réversibles	ʁ e v ɛ ʁ s i b l
salamanque	s a l a m ɑ̃ k
salvail	s a l v a j
sanskrit	s ɑ̃ s k ʁ i
saoudiennes	s u d j ɛ n
schématique	ʃ e m a t i k
scénaristique	s e n a ʁ i s t i k
seche	s ɛ ʃ
senat	s ə n a
sherpa	ʃ ɛ ʁ p a
simona	s i m ɔ n a
sly	s l i
somnifère	s ɔ m n i f ɛ ʁ
soudanaise	s u d a n ɛ z
sponsorisée	s p ɔ̃ s ɔ ʁ i z e
sprints	s p ʁ ɛ̃
staples	s t a p l
steeple	s t i p l
sté	s t e
subversive	s y b v ɛ ʁ s i v
suk	s y k
sunna	s y n a
supernova	s y p ɛ ʁ n ɔ v a
surpuissant	s y ʁ p ɥ i s ɑ̃
synchrone	s ɛ̃ k ʁ ɔ n
synonymie	s i n ɔ n i m i
synthétise	s ɛ̃ t e t i z
sédimentation	s e d i m ɑ̃ t a s j ɔ̃
séminaristes	s e m i n a ʁ i s t
technos	t ɛ k n o
tempère	t ɑ̃ p ɛ ʁ
terms	t ɛ ʁ m
terrorise	t ɛ ʁ ɔ ʁ i z
testa	t ɛ s t a
titille	t i t i j
toe	t o
trance	t ʁ ɑ̃ s
traçage	t ʁ a s a ʒ
triangulation	t ʁ i j ɑ̃ ɡ y l a s j ɔ̃
turkey	t y ʁ k ɛ
twa	t w a
tyrone	t i ʁ ɔ n
ultraviolets	y l t ʁ a v j ɔ l ɛ
uniformiser	y n i f ɔ ʁ m i z e
upton	y p t ɔ̃
utiliserais	y t i l i z ə ʁ ɛ
varin	v a ʁ ɛ̃
vibreur	v i b ʁ œ ʁ
vinicole	v i n i k ɔ l
voss	v ɔ s
wharton	w a ʁ t ɔ̃
yogi	j ɔ ʒ i
yosemite	j o z m i t
zayn	z ɛ̃
zouk	z u k
zénon	z e n ɔ̃
âprement	a p ʁ ə m ɑ̃
éditoriales	e d i t ɔ ʁ j a l
émoluments	e m ɔ l y m ɑ̃
énarque	e n a ʁ k
épidermique	e p i d ɛ ʁ m i k
accapare	a k a p a ʁ
accumulateurs	a k y m y l a t œ ʁ
actée	a k t e
ajourné	a ʒ u ʁ n e
amovibles	a m ɔ v i b l
annihilation	a n i i l a s j ɔ̃
appauvrir	a p o v ʁ i ʁ
appliqueront	a p l i k ə ʁ ɔ̃
armurerie	a ʁ m y ʁ ʁ i
arp	a ʁ p
asics	a z i k
assesseur	a s e s œ ʁ
atos	a t o
attentionnée	a t ɑ̃ s j ɔ n e
auditionner	o d i s j ɔ n e
automotive	o t ɔ m ɔ t i v
aérogare	a e ʁ ɔ ɡ a ʁ
bane	b a n
basale	b a z a l
bassam	b a s a m
berman	b ɛ ʁ m ɑ̃
beuve	b ø v
bissonnette	b i s ɔ n ɛ t
bizet	b i z ɛ
bjorn	b ʒ ɔ ʁ n
blaster	b l a s t e
businessman	b y z i n ɛ s m ɑ̃
byrne	b i ʁ n
béatification	b e a t i f i k a s j ɔ̃
caballero	k a b a l ə ʁ o
calogero	k a l ɔ ʒ ə ʁ o
calviniste	k a l v i n i s t
camouflé	k a m u f l e
cantate	k ɑ̃ t a t
capitulaire	k a p i t y l ɛ ʁ
carly	k a ʁ l i
carrement	k a ʁ m ɑ̃
cathodique	k a t ɔ d i k
centers	s ɑ̃ t e
certifiées	s ɛ ʁ t i f j e
chabert	ʃ a b ɛ ʁ
chah	ʃ a
chaleureuses	ʃ a l œ ʁ ø z
chansonnette	ʃ ɑ̃ s ɔ n ɛ t
cisaillement	s i z a j m ɑ̃
citera	s i t ə ʁ a
clancy	k l ɑ̃ s i
classics	k l a s i k
collatérales	k ɔ l a t e ʁ a l
collégienne	k ɔ l e ʒ j ɛ n
conflictuelles	k ɔ̃ f l i k t ɥ ɛ l
consommables	k ɔ̃ s ɔ m a b l
contraceptifs	k ɔ̃ t ʁ a s ɛ p t i f
contreplaqué	k ɔ̃ t ʁ ə p l a k e
convertibles	k ɔ̃ v ɛ ʁ t i b l
convoyeur	k ɔ̃ v w a j œ ʁ
copiée	k ɔ p j e
cuvées	k y v e
daf	d a f
darwinisme	d a ʁ w i n i s m
ddt	d e d e t e
diminués	d i m i n ɥ e
diocésains	d j ɔ s e z ɛ̃
diplo	d i p l o
dissolvant	d i s ɔ l v ɑ̃
documentariste	d ɔ k y m ɑ̃ t a ʁ i s t
domaniale	d ɔ m a n j a l
donnie	d ɔ n i
dopés	d ɔ p e
doxa	d ɔ k s a
dpj	d e p e ʒ e
draghi	d ʁ a ɡ i
dulcinée	d y l s i n e
duplication	d y p l i k a s j ɔ̃
décomplexé	d e k ɔ̃ p l ɛ k s e
démembré	d e m ɑ̃ b ʁ e
editor	e d i t ɔ ʁ
editorial	e d i t ɔ ʁ j a l
electeurs	e l ɛ k t œ ʁ
elm	ɛ l m
elmer	ɛ l m e
enemy	ɛ n m i
enroulement	ɑ̃ ʁ u l m ɑ̃
entraineurs	ɑ̃ t ʁ ɛ n œ ʁ
entériné	ɑ̃ t e ʁ i n e
envient	ɑ̃ v j ɛ̃
essayerais	e s ɛ j ə ʁ ɛ
evident	ə v i d
example	ɛ ɡ z ɑ̃ p l
excusant	ɛ k s k y z ɑ̃
exhorté	ɛ ɡ z ɔ ʁ t e
exploratrice	ɛ k s p l ɔ ʁ a t ʁ i s
expres	ɛ k s p ʁ
extrème	ɛ k s t ʁ ɛ m
fablab	f a b l a b
facultatives	f a k y l t a t i v
feb	f ɛ b
ffs	ɛ f
fibrose	f i b ʁ o z
fiotte	f j ɔ t
frappeurs	f ʁ a p œ ʁ
gagneraient	ɡ a ɲ ə ʁ ɛ
gamecube	ɡ a m k y b
gardiner	ɡ a ʁ d i n e
gea	ʒ a
germanophone	ʒ ɛ ʁ m a n ɔ f ɔ n
gicler	ʒ i k l e
gladiator	ɡ l a d j a t ɔ ʁ
godfrey	ɡ ɔ d f ʁ ɛ
gods	ɡ ɔ d
gq	ʒ e k e
gratton	ɡ ʁ a t ɔ̃
gruau	ɡ ʁ y o
hallelujah	a l l y ʒ a
halley	a l ɛ
herméneutique	ɛ ʁ m e n ø t i k
higher	i ɡ e
homologués	ɔ m ɔ l ɔ ɡ e
hormonale	ɔ ʁ m ɔ n a l
houda	u d a
hydratante	i d ʁ a t ɑ̃ t
hypertrophie	i p ɛ ʁ t ʁ ɔ f i
hébergent	e b ɛ ʁ ʒ
ignare	i ɲ a ʁ
imaginatif	i m a ʒ i n a t i f
impulse	ɛ̃ p y l s
inadéquate	i n a d e k a t
income	ɛ̃ k ɔ m
incorporées	ɛ̃ k ɔ ʁ p ɔ ʁ e
inculture	ɛ̃ k y l t y ʁ
infligent	ɛ̃ f l i ʒ
inondables	i n ɔ̃ d a b l
institutionnalisation	ɛ̃ s t i t y s j ɔ n a l i z a s j ɔ̃
interpose	ɛ̃ t ɛ ʁ p o z
intransigeante	ɛ̃ t ʁ ɑ̃ z i ʒ ɑ̃ t
introverti	ɛ̃ t ʁ ɔ v ɛ ʁ t i
iq	i k
irréalistes	i ʁ e a l i s t
ives	i v
jamy	ʒ a m i
janin	ʒ a n ɛ̃
jitsu	ʒ i t s y
jumping	ʒ œ̃ p i ŋ
jurassien	ʒ y ʁ a s j ɛ̃
jurisconsulte	ʒ y ʁ i s k ɔ̃ s y l t
jveux	ʒ v ø
katmandou	k a t m ɑ̃ d u
kelsey	k ɛ l s ɛ
kényane	k e n j a n
labellisée	l a b e l i z e
labrune	l a b ʁ y n
laminé	l a m i n e
larissa	l a ʁ i s a
lavrov	l a v ʁ ɔ v
laxatif	l a k s a t i f
lerner	l ɛ ʁ n e
limitera	l i m i t ə ʁ a
login	l ɔ ʒ ɛ̃
luthérienne	l y t e ʁ j ɛ n
lyautey	l j o t ɛ
machiste	m a ʃ i s t
magister	m a ʒ i s t e
majid	m a ʒ i d
manifestante	m a n i f ɛ s t ɑ̃ t
marabouts	m a ʁ a b u
maspero	m a s p ə ʁ o
mathilda	m a t i l d a
mckinley	m k ɛ̃ l ɛ
meneuse	m ə n ø z
mercis	m ɛ ʁ s i
micky	m i k i
militarisation	m i l i t a ʁ i z a s j ɔ̃
milon	m i l ɔ̃
mondaines	m ɔ̃ d ɛ n
moqués	m ɔ k e
morocco	m ɔ ʁ ɔ k o
mouai	m w ɛ
murielle	m y ʁ j ɛ l
mènes	m ɛ n
mélatonine	m e l a t ɔ n i n
nacho	n a ʃ o
nangis	n ɑ̃ ʒ i
numériser	n y m e ʁ i z e
nymphomane	n ɛ̃ f ɔ m a n
opprimer	ɔ p ʁ i m e
orientant	ɔ ʁ j ɑ̃ t ɑ̃
oscillateur	ɔ s i j a t œ ʁ
oû	u
pardo	p a ʁ d o
pariétal	p a ʁ j e t a l
patinoires	p a t i n w a ʁ
patisserie	p a t i s ʁ i
pdp	p e d e p e
photographiés	f ɔ t ɔ ɡ ʁ a f j e
phrasé	f ʁ a z e
pierrefonds	p j ɛ ʁ f ɔ̃
placage	p l a k a ʒ
planifiées	p l a n i f j e
playing	p l ɛ j i ŋ
plugins	p l y ʒ ɛ̃
poole	p u l
portante	p ɔ ʁ t ɑ̃ t
pradesh	p ʁ a d ɛ ʃ
premiére	p ʁ ə m j e ʁ
pressure	p ʁ e s y ʁ
promotionnels	p ʁ ɔ m ɔ s j ɔ n ɛ l
protocolaire	p ʁ ɔ t ɔ k ɔ l ɛ ʁ
préjudiciables	p ʁ e ʒ y d i s j a b l
purin	p y ʁ ɛ̃
quarter	k a ʁ t e
racle	ʁ a k l
radicaliser	ʁ a d i k a l i z e
radiologique	ʁ a d j ɔ l ɔ ʒ i k
rasées	ʁ a z e
rattrapés	ʁ a t ʁ a p e
recevabilité	ʁ ə s ə v a b i l i t e
recharges	ʁ ə ʃ a ʁ ʒ
rejoué	ʁ ə ʒ w e
relatés	ʁ ə l a t e
rement	ʁ ə m ɑ̃
représenteront	ʁ ə p ʁ e z ɑ̃ t ə ʁ ɔ̃
restaurées	ʁ ɛ s t ɔ ʁ e
retouchée	ʁ ə t u ʃ e
revendus	ʁ ə v ɑ̃ d y
revisitée	ʁ ə v i z i t e
rimini	ʁ i m i n i
rivard	ʁ i v a ʁ
ruel	ʁ ɥ ɛ l
régir	ʁ e ʒ i ʁ
réintègre	ʁ e ɛ̃ t ɛ ɡ ʁ
rétrogradation	ʁ e t ʁ ɔ ɡ ʁ a d a s j ɔ̃
sacra	s a k ʁ a
sadie	s a d i
sanford	s ɑ̃ f ɔ ʁ
sauvetages	s o v t a ʒ
sikh	s i k
soler	s ɔ l e
sometimes	s ɔ m t i m
sonorisation	s ɔ n ɔ ʁ i z a s j ɔ̃
soupçonnées	s u p s ɔ n e
staten	s t a t ɛ n
stib	s t i b
stl	ɛ s t e ɛ l
stérilet	s t e ʁ i l ɛ
suzeraineté	s y z ə ʁ ɛ n t e
tarik	t a ʁ i k
technical	t ɛ k n i k a l
technologiquement	t ɛ k n ɔ l ɔ ʒ i k m ɑ̃
tentais	t ɑ̃ t ɛ
thu	t y
tle	t l ə
tora	t ɔ ʁ a
tos	t o
travelling	t ʁ a v ɛ l i ŋ
tribaux	t ʁ i b o
troublantes	t ʁ u b l ɑ̃ t
upa	y p a
urètre	y ʁ ɛ t ʁ
vaillancourt	v a j ɑ̃ k u ʁ
versatile	v ɛ ʁ s a t i l
viau	v j o
virées	v i ʁ e
véridiques	v e ʁ i d i k
walther	w a l t e
wendel	w ɛ n d ɛ l
whale	w a l
wilcox	w i l k ɔ k s
yahya	j a j a
yeon	j ɔ̃
zag	z a ɡ
élancent	e l ɑ̃ s
électoraliste	e l ɛ k t ɔ ʁ a l i s t
épopées	e p ɔ p e
éradiqué	e ʁ a d i k e
ésotériques	e z ɔ t e ʁ i k
éspère	e s p ɛ ʁ
étayée	e t ɛ j e
abandonnons	a b ɑ̃ d ɔ n ɔ̃
abonnées	a b ɔ n e
abstenant	a p s t ə n ɑ̃
abusés	a b y z e
abécédaire	a b e s e d ɛ ʁ
accumulations	a k y m y l a s j ɔ̃
activant	a k t i v ɑ̃
adblock	a d b l ɔ k
adoptera	a d ɔ p t ə ʁ a
aero	ɛ ʁ o
aggravante	a ɡ ʁ a v ɑ̃ t
algarve	a l ɡ a ʁ v
alina	a l i n a
alizé	a l i z e
amiel	a m j ɛ l
amira	a m i ʁ a
amortisseur	a m ɔ ʁ t i s œ ʁ
anodins	a n ɔ d ɛ̃
anssi	ɑ̃ s i
antin	ɑ̃ t ɛ̃
aol	a ɔ l
aortique	a ɔ ʁ t i k
arbitré	a ʁ b i t ʁ e
arbois	a ʁ b w a
armageddon	a ʁ m a ʒ ɛ d ɔ̃
armin	a ʁ m ɛ̃
assemblent	a s ɑ̃ b l
assur	a s y ʁ
atterrissent	a t ɛ ʁ i s
autorisez	o t ɔ ʁ i z e
autosuffisance	o t o s y f i z ɑ̃ s
banshee	b ɑ̃ ʃ i
barberousse	b a ʁ b ə ʁ u s
birmane	b i ʁ m a n
brands	b ʁ ɑ̃
britain	b ʁ i t ɛ̃
bronche	b ʁ ɔ̃ ʃ
btc	b e t e s e
bunch	b œ̃ ʃ
cafouillage	k a f u j a ʒ
calling	k a l i ŋ
canberra	k ɑ̃ b ɛ ʁ a
canto	k ɑ̃ t o
canyons	k a ɲ ɔ̃
carolingienne	k a ʁ ɔ l ɛ̃ ʒ j ɛ n
carrington	k a ʁ ɛ̃ t ɔ̃
casus	k a z y
cfr	s e ɛ f ɛ ʁ
chasseuse	ʃ a s ø z
cip	s i p
collaboratifs	k ɔ l a b ɔ ʁ a t i f
colossaux	k ɔ l ɔ s o
comminges	k ɔ m ɛ̃ ʒ
comportementaux	k ɔ̃ p ɔ ʁ t ə m ɑ̃ t o
conclura	k ɔ̃ k l y ʁ a
conditionnent	k ɔ̃ d i s j ɔ n
confisquée	k ɔ̃ f i s k e
convers	k ɔ̃ v ɛ ʁ
convoquées	k ɔ̃ v ɔ k e
corogne	k ɔ ʁ ɔ ɲ
cov	k ɔ v
crescent	k ʁ ɛ s
crossfit	k ʁ ɔ s f i
crudités	k ʁ y d i t e
dabo	d a b o
danoises	d a n w a z
dern	d ɛ ʁ n
diez	d j e
domi	d ɔ m i
dompierre	d ɔ̃ p j ɛ ʁ
doublages	d u b l a ʒ
dust	d y s t
décousu	d e k u z y
défectueuses	d e f ɛ k t ɥ ø z
défilement	d e f i l m ɑ̃
dégringolade	d e ɡ ʁ ɛ̃ ɡ ɔ l a d
démantelée	d e m ɑ̃ t ə l e
désactivation	d e z a k t i v a s j ɔ̃
désintox	d e z ɛ̃ t ɔ k s
désister	d e z i s t e
détonateur	d e t ɔ n a t œ ʁ
dûe	d y
effraye	e f ʁ ɛ j
eight	ɛ j t
einer	ɛ n e
encensé	ɑ̃ s ɑ̃ s e
encouragez	ɑ̃ k u ʁ a ʒ e
endogène	ɑ̃ d ɔ ʒ ɛ n
entreposés	ɑ̃ t ʁ ə p o z e
entretuer	ɑ̃ t ʁ ə t ɥ e
entérine	ɑ̃ t e ʁ i n
envoûtante	ɑ̃ v u t ɑ̃ t
epsilon	ɛ p s i l ɔ̃
essay	e s ɛ
exaucer	ɛ ɡ z o s e
excitants	ɛ k s i t ɑ̃
expertes	ɛ k s p ɛ ʁ t
exposera	ɛ k s p o z ə ʁ a
eyrolles	ɛ ʁ ɔ l
fage	f a ʒ
fantastic	f ɑ̃ t a s t i k
fcpe	ɛ f s e p e
figées	f i ʒ e
filatures	f i l a t y ʁ
flagrantes	f l a ɡ ʁ ɑ̃ t
flour	f l u ʁ
fondèrent	f ɔ̃ d ɛ ʁ
francos	f ʁ ɑ̃ k o
frankfurt	f ʁ ɑ̃ k f œ ʁ
freezer	f ʁ i z e
fébriles	f e b ʁ i l
gallant	ɡ a l ɑ̃
ghazi	ɡ a z i
gift	ʒ i f t
gisors	ʒ i z ɔ ʁ
gladstone	ɡ l a d s t ɔ n
groix	ɡ ʁ w a
grow	ɡ ʁ o
génique	ʒ e n i k
günther	ɡ œ̃ t e
hamed	a m ɛ d
hayward	ɛ w a ʁ
herbicide	ɛ ʁ b i s i d
hombre	ɔ̃ b ʁ
huston	y s t ɔ̃
hydrocarbure	i d ʁ ɔ k a ʁ b y ʁ
hypoglycémie	i p ɔ ɡ l i s e m i
hésiterai	e z i t ə ʁ e
hétéroclites	e t e ʁ ɔ k l i t
idéalisée	i d e a l i z e
inadéquation	i n a d e k a s j ɔ̃
incinérateur	ɛ̃ s i n e ʁ a t œ ʁ
inconditionnels	ɛ̃ k ɔ̃ d i s j ɔ n ɛ l
install	ɛ̃ s t a l
instrumentales	ɛ̃ s t ʁ y m ɑ̃ t a l
interchangeable	ɛ̃ t ɛ ʁ ʃ ɑ̃ ʒ a b l
intergouvernemental	ɛ̃ t ɛ ʁ ɡ u v ɛ ʁ n ə m ɑ̃ t a l
intifada	ɛ̃ t i f a d a
intriguant	ɛ̃ t ʁ i ɡ ɑ̃
invoquées	ɛ̃ v ɔ k e
ipa	i p a
ird	i ʁ
irritabilité	i ʁ i t a b i l i t e
ismael	i s m a ɛ l
isoloir	i z ɔ l w a ʁ
jackets	ʒ a k ɛ
jama	ʒ a m a
jimenez	ʒ i m ə n e
joindra	ʒ w ɛ̃ d ʁ a
karina	k a ʁ i n a
kasper	k a s p e
kata	k a t a
kerviel	k ɛ ʁ v j ɛ l
kilian	k i l j ɑ̃
kimberley	k ɛ̃ b ɛ ʁ l ɛ
klopp	k l ɔ p
konami	k ɔ n a m i
lamente	l a m ɑ̃ t
lar	l a ʁ
legros	l e ɡ ʁ o
lemme	l ɛ m
libyennes	l i b j ɛ n
lively	l i v l i
logicielles	l ɔ ʒ i s j ɛ l
lombardo	l ɔ̃ b a ʁ d o
louison	l w i z ɔ̃
luchon	l y ʃ ɔ̃
malaisant	m a l ɛ z ɑ̃
managériale	m a n a ʒ e ʁ j a l
mandant	m ɑ̃ d ɑ̃
manor	m a n ɔ ʁ
marlowe	m a ʁ l ɔ w
marré	m a ʁ e
masquent	m a s k
matapédia	m a t a p e d j a
matérialisé	m a t e ʁ j a l i z e
mensualité	m ɑ̃ s ɥ a l i t e
meutre	m ø t ʁ
milla	m i j a
moura	m u ʁ a
muer	m ɥ e
méritées	m e ʁ i t e
naisse	n ɛ s
napa	n a p a
nazionale	n a z j ɔ n a l
nivernais	n i v ɛ ʁ n ɛ
nominatives	n ɔ m i n a t i v
odilon	ɔ d i l ɔ̃
oim	w ɛ̃
orton	ɔ ʁ t ɔ̃
pacers	p a s e
paddle	p a d l
palin	p a l ɛ̃
parias	p a ʁ j a
peso	p e z o
pickup	p i k y p
pmr	p e ɛ m ɛ ʁ
poir	p w a ʁ
pollueurs	p ɔ l ɥ œ ʁ
polémiquer	p ɔ l e m i k e
poméranie	p ɔ m e ʁ a n i
predators	p ʁ ə d a t ɔ ʁ
profiteur	p ʁ ɔ f i t œ ʁ
projects	p ʁ ɔ ʒ ɛ k t
prospecter	p ʁ ɔ s p ɛ k t e
proviendrait	p ʁ ɔ v j ɛ̃ d ʁ ɛ
préféreraient	p ʁ e f e ʁ ə ʁ ɛ
radial	ʁ a d j a l
ralentissements	ʁ a l ɑ̃ t i s m ɑ̃
realité	ʁ ə a l i t e
recuperer	ʁ ə k y p ə ʁ e
reginald	ʁ ə ʒ i n a l d
relogement	ʁ ə l ɔ ʒ m ɑ̃
renata	ʁ ə n a t a
richemont	ʁ i ʃ m ɔ̃
riffs	ʁ i f
rodage	ʁ ɔ d a ʒ
rolando	ʁ ɔ l ɑ̃ d o
ry	ʁ i
réagira	ʁ e a ʒ i ʁ a
réapparaissent	ʁ e a p a ʁ ɛ s
récipiendaires	ʁ e s i p j ɛ̃ d ɛ ʁ
récupérateur	ʁ e k y p e ʁ a t œ ʁ
réfrigérateurs	ʁ e f ʁ i ʒ e ʁ a t œ ʁ
sablon	s a b l ɔ̃
sadi	s a d i
safi	s a f i
salaam	s a l a a m
scotty	s k ɔ t i
seoul	s u l
septennat	s ɛ p t ɛ n a
septuagénaire	s ɛ p t ɥ a ʒ e n ɛ ʁ
sheryl	ʃ ɛ ʁ i l
sho	ʃ o
sind	s ɛ̃
soraya	s ɔ ʁ ɛ j a
soudures	s u d y ʁ
spread	s p ʁ i d
squeezie	s k i z i
superficies	s y p ɛ ʁ f i s i
surmenage	s y ʁ m ə n a ʒ
suse	s y z
sédation	s e d a s j ɔ̃
séjourna	s e ʒ u ʁ n a
séparateur	s e p a ʁ a t œ ʁ
taffer	t a f e
talonneur	t a l ɔ n œ ʁ
tartre	t a ʁ t ʁ
tavares	t a v a ʁ
ternie	t ɛ ʁ n i
thanos	t a n o
thériault	t e ʁ j o
tinto	t ɛ̃ t o
token	t ɔ k ɛ n
tomé	t ɔ m e
tories	t ɔ ʁ i
tortionnaires	t ɔ ʁ s j ɔ n ɛ ʁ
toscan	t ɔ s k ɑ̃
tournier	t u ʁ n j e
transcanada	t ʁ ɑ̃ s k a n a d a
transformez	t ʁ ɑ̃ s f ɔ ʁ m e
transposée	t ʁ ɑ̃ s p o z e
trapp	t ʁ a p
trompant	t ʁ ɔ̃ p ɑ̃
tvi	t v i
télescopique	t e l ɛ s k ɔ p i k
ucla	y k l a
urée	y ʁ e
valorisent	v a l ɔ ʁ i z
valorisées	v a l ɔ ʁ i z e
valparaiso	v a l p a ʁ ɛ z o
varois	v a ʁ w a
vigny	v i ɲ i
vilar	v i l a ʁ
véhiculées	v e i k y l e
vénétie	v e n e t i
wahl	w a l
wallet	w a l ɛ
webmarketing	w ɛ b m a ʁ k ə t i ŋ
wolves	w ɔ l v
wren	ʁ ɛ n
xm	k s ɛ m
yum	j ɔ m
yéménites	j e m e n i t
éclatés	e k l a t e
énumérées	e n y m e ʁ e
éprouvette	e p ʁ u v ɛ t
étirement	e t i ʁ m ɑ̃
évacuent	e v a k y
aba	a b a
abyssale	a b i s a l
accoutumance	a k u t y m ɑ̃ s
adoptions	a d ɔ p s j ɔ̃
adoraient	a d ɔ ʁ ɛ
advenant	a d v ə n ɑ̃
agripper	a ɡ ʁ i p e
ahl	a l
ains	ɛ̃
alarmistes	a l a ʁ m i s t
albertains	a l b ɛ ʁ t ɛ̃
