اس	ə s
یے	j eː
آوری	ɑː ʋ ɾ iː
ائی	ə iː
ارتکاب	ɪ ɾ t̪ ɪ k ɑː b
افتتاحی	ɪ f t̪ ɪ t̪ ɑː ɦ iː
اہلیت	ə ɦ l ɪ j ə t̪
بان	b ɑː n
بصری	b ə s ɾ iː
بلوم	b ə l uː m
توڑا	t̪ oː ɽ ɑː
جیک	d͡ʒ eː k
خطوں	x ə t̪ õː
خلاء	x ɪ l ɑː
دائمی	d̪ ɑː ɪ m iː
رینج	ɾ ɛː n d͡ʒ
ساغر	s ɑː ɣ ə ɾ
شادیوں	ʃ ɑː d̪ ɪ j õː
طلال	t̪ ə l ɑː l
عضب	ə z b
عینی	ɛː n iː
مائیں	m ɑː ẽː
ملیر	m ə l iː ɾ
مٹانے	m ə ʈ ɑː n eː
نسلیں	n ə s l ẽː
ننگے	n ə ŋ ɡ eː
وجوہ	ʋ ə d͡ʒ ʋ ɑ
وردی	ʋ ə ɾ d̪ iː
ورق	ʋ ə ɾ ə q
وطنی	ʋ ə t̪ n iː
ویزے	ʋ ɛː z eː
پہننے	p ə ɦ ə n n eː
چی	t͡ʃ iː
کردینا	k ə ɾ d̪ iː n ɑː
گجر	ɡ ə d͡ʒ ə ɾ
گرانے	ɡ ə ɾ ɑː n eː
گلوکارہ	ɡ l oː k ɑː ɾ ɑ
یاسین	j ɑː s iː n
یوپی	j oː p iː
آبادیوں	ɑː b ɑː d̪ ɪ j õː
آسکتی	ɑː s k ə t̪ iː
اثاثوں	ɪ s ɑː s õː
استاذ	ɪ s t̪ ɑː z
اسٹائل	ɪ s ʈ ɑː ɪ l
اشخاص	ɪ ʃ x ɑː s
اصطلاحات	ɪ s t̪ ɪ l ɑː ɦ ɑː t̪
امتزاج	ɪ m t̪ ɪ z ɑː d͡ʒ
بانٹ	b ɑ̃ː ʈ
بخشنے	b ə x ʃ n eː
بخود	b ə x uː d̪
تدبیر	t̪ ə d̪ b iː ɾ
تلہ	t̪ ə l l ɑ
تنصیبات	t̪ ə n s iː b ɑː t̪
جارہاہے	d͡ʒ ɑː ɾ ɦ ɑː ɦ eː
جیپ	d͡ʒ eː p
حصار	ɦ ə s ɑː ɾ
حصص	ɦ ə s s
دارانہ	d̪ ɑː ɾ ɑː n ɑ
دکھی	d̪ ə kʰ iː
رسوائی	ɾ ə s ʋ ɑː iː
رکے	ɾ ə k eː
ریٹرننگ	ɾ eː ʈ ɾ ə n ə ŋ ɡ
سرانجام	s ə ɾ ɑː n d͡ʒ ɑː m
سرشار	s ə ɾ ʃ ɑː ɾ
سم	s ə m
سنجیدگی	s ə n d͡ʒ iː d̪ ə ɡ iː
سپورٹس	s ə p uː ɾ ʈ ə s
صادر	s ɑː d̪ ə ɾ
صبا	s ə b ɑː
عاری	ɑː ɾ iː
عبادات	ɪ b ɑː d̪ ɑː t̪
عشرہ	ə ʃ ɾ ɑ
عشرے	ə ʃ ɾ eː
فٹبال	f ə ʈ b ɑː l
قبولیت	q ə b uː l ɪ j ə t̪
لاگ	l ɑː ɡ
لڑاکا	l ə ɽ ɑː k ɑː
مجدد	m ə d͡ʒ d̪ ə d̪
مرحومہ	m ə ɾ ɦ uː m ɑ
ملیشیا	m ə l iː ʃ ɪ j ɑː
منافقت	m ʊ n ɑː f ɪ q ə t̪
مولی	m oː l iː
نسخے	n ə s x eː
نواح	n ə ʋ ɑː ɦ
واک	ʋ ɑː k
ورکر	ʋ ə ɾ k ə ɾ
ٹسٹ	ʈ ə s ʈ
ٹیگ	ʈ eː ɡ
پائن	p ɑː ɪ n
کراتے	k ə ɾ ɑː t̪ eː
کرامت	k ə ɾ ɑː m ə t̪
کمشن	k ə m ʃ ə n
کیفیات	k ɛː f ɪ j ɑː t̪
کین	k ɛː n
گاہیں	ɡ ɑː ɦ ẽː
گرل	ɡ ə ɾ ə l
گزرنا	ɡ ʊ z ə ɾ n ɑː
گزینوں	ɡ ʊ z iː n õː
now	n oː
آجاتے	ɑː d͡ʒ ɑː t̪ eː
اڑانے	ə ɽ ɑː n eː
بدستور	b ə d̪ ə s t̪ uː ɾ
برآں	b ə ɾ ɑ̃ː
برحق	b ə ɾ ɦ ə q
بساط	b ə s ɑː t̪
بولو	b uː l oː
بکثرت	b ə k s ə ɾ ə t̪
بھون	bʱ uː n
بیانی	b ə j ɑː n iː
تاکید	t̪ ɑː k iː d̪
تخلیقات	t̪ ə x l iː q ɑː t̪
ترامیم	t̪ ə ɾ ɑː m iː m
تشیع	t̪ ə ʃ iː
تقی	t̪ ə q iː
تھپڑ	t̪ʰ ə p ə ɽ
جدیدیت	d͡ʒ ə d̪ iː d̪ ɪ j ə t̪
جلتے	d͡ʒ ə l t̪ eː
حلیم	ɦ ə l iː m
خانی	x ɑː n iː
خاور	x ɑː ʋ ə ɾ
دواں	d̪ ə ʋ ɑ̃ː
دکن	d̪ ə k ə n
دھونے	d̪ʱ uː n eː
دیار	d̪ ə j j ɑː ɾ
ریزی	ɾ eː z iː
زلمی	z ə l m iː
زوجہ	z oː d͡ʒ ɑ
ستی	s ə t̪ iː
سرجری	s ə ɾ d͡ʒ ə ɾ iː
سمری	s ə m ɾ iː
عاجز	ɑː d͡ʒ ɪ z
عرس	ə ɾ ə s
فاش	f ɑː ʃ
قطری	q ə t̪ ɾ iː
لغاری	l ə ɣ ɑː ɾ iː
لن	l ə n
لودھی	l oː d̪ʱ iː
لیوا	l ɛː ʋ ɑː
محی	m ə ɦ iː
مسخ	m ə s x
مشروط	m ə ʃ ɾ uː t̪
میگا	m eː ɡ ɑː
نجکاری	n ə d͡ʒ k ɑː ɾ iː
نومنتخب	n ɔː m ə n t̪ x ə b
نیوی	n ɪ j ʋ iː
ورکنگ	ʋ ə ɾ k ə ŋ ɡ
وفود	ʋ ə f uː d̪
ٹیکنیکل	ʈ eː k n eː k ə l
پابندیاں	p ɑː b ə n d̪ ɪ j ɑ̃ː
پاتی	p ɑː t̪ iː
پلاسٹک	p l ɑː s ʈ ə k
پو	p oː
پڑھانے	p ə ɽʱ ɑː n eː
پہچانا	p ə ɦ t͡ʃ ɑː n ɑː
پیدائشی	p ɛː d̪ ɑː ɪ ʃ iː
پیروکار	p ɛː ɾ oː k ɑː ɾ
چکن	t͡ʃ ə k ə n
چھتیس	t͡ʃʰ ə t̪ iː s
کشائی	k ə ʃ ɑː iː
کفن	k ə f ə n
کھلنے	kʰ ə l n eː
کہلائے	k ə ɦ l ɑː eː
کیرئیر	k ɛː ɾ ə iː ɾ
گندی	ɡ ə n d̪ iː
ہسپانوی	ɦ ə s p ɑː n ʋ iː
be	b eː
آلے	ɑː l eː
اخوان	ə x ʋ ɑː n
اسکواڈ	ɪ s k ʋ ɑː ɖ
اصولی	ə s uː l iː
اطالوی	ɪ t̪ ɑː l ʋ iː
العلوم	ə l ə l uː m
اکھاڑ	ɪ kʰ ɑː ɽ
ایجنسیاں	iː d͡ʒ ə n s ɪ j ɑ̃ː
ایٹ	eː ʈ
بابری	b ɑː b ɾ iː
بارودی	b ɑː ɾ uː d̪ iː
بناؤ	b ə n ɑː oː
جملوں	d͡ʒ ə m l õː
جنگیں	d͡ʒ ə ŋ ɡ ẽː
جڑا	d͡ʒ ə ɽ ɑː
حماس	ɦ ə m ɑː s
خریدی	x ə ɾ iː d̪ iː
خلیجی	x ə l iː d͡ʒ iː
خوشنودی	x oː ʃ n uː d̪ iː
دعویدار	d̪ ə ʋ eː d̪ ɑː ɾ
دیاہے	d̪ ə j ɑː ɦ eː
رائٹ	ɾ ɑː ɪ ʈ
روا	ɾ ə ʋ ɑː
رویوں	ɾ ə ʋ ɪ j õː
زریعے	z ə ɾ iː eː
زہرہ	z ə ɦ ɾ ɑ
سانحے	s ɑː n ɦ eː
سمارٹ	s ə m ɑː ɾ ɪ ʈ
سوئس	s uː ɪ s
طالبہ	t̪ ɑː l ɪ b ɑ
فراغت	f ə ɾ ɑː ɣ ə t̪
لگادی	l ə ɡ ɑː d̪ iː
لینن	l ɛː n ə n
معاشرت	m ʊ ɑː ʃ ə ɾ ə t̪
موٹے	m oː ʈ eː
نچلی	n ə t͡ʃ l iː
وارنٹ	ʋ ɑː ɾ ə n ʈ
ویو	ʋ ɪ j oː
ٹاس	ʈ ɑː s
ٹکٹوں	ʈ ə k ʈ õː
پڑھایا	p ə ɽʱ ɑː j ɑː
پک	p ə k
پھلوں	pʰ ə l õː
پھٹنے	pʰ ə ʈ n eː
ڈرتا	ɖ ə ɾ t̪ ɑː
کارناموں	k ɑː ɾ n ɑː m õː
کاوش	k ɑː ʋ ɪ ʃ
کفالت	k ə f ɑː l ə t̪
کوشاں	k oː ʃ ɑ̃ː
کیچ	k iː t͡ʃ
گئ	ɡ ə iː
گہرائیوں	ɡ ə ɦ ɾ ɑː ɪ j õː
ہریرہ	ɦ ə ɾ iː ɾ ɑ
ہینڈ	ɦ ɛː n ɖ
یونی	j uː n iː
do	d̪ oː
آبپاشی	ɑː b p ɑː ʃ iː
آندھرا	ɑː n d̪ʱ ɾ ɑː
اردگان	ə ɾ d̪ ɪ ɡ ɑː n
ازواج	ɪ z ʋ ɑː d͡ʒ
اسکالر	ɪ s k ɑː l ə ɾ
اواخر	ə ʋ ɑː x ɪ ɾ
اٹھیں	ə ʈʰ ẽː
بکھر	b ə kʰ ə ɾ
تقاریر	t̪ ə q ɑː ɾ iː ɾ
توقیر	t̪ ɔː q iː ɾ
جانسن	d͡ʒ ɑː n s ə n
جنوں	d͡ʒ ə n õː
جھڑپوں	d͡ʒʱ ə ɽ p õː
خشکی	x ə ʃ k iː
خطبات	x ə t̪ b ɑː t̪
دید	d̪ eː d̪
دیگرے	d̪ eː ɡ ɾ eː
رائل	ɾ ɑː ɪ l
رستے	ɾ ə s t̪ eː
روشناس	ɾ oː ʃ n ɑː s
سما	s ə m ɑː
سنیما	s ə n iː m ɑː
عادات	ɑː d̪ ɑː t̪
غزلوں	ɣ ə z l õː
فرحان	f ə ɾ ɦ ɑː n
فلور	f ə l uː ɾ
لہروں	l ə ɦ ɾ õː
ماخذ	m ɑː x ɪ z
مشاہد	m ʊ ʃ ɑː ɦ ɪ d̪
مقناطیسی	m ə q n ɑː t̪ iː s iː
ملٹی	m ə l ʈ iː
ناولوں	n ɑː ʋ ə l õː
واش	ʋ ɑː ʃ
واقفیت	ʋ ɑː q ɪ f ɪ j ə t̪
وہاب	ʋ ə ɦ ɑː b
پرزور	p ə ɾ z uː ɾ
پشتونوں	p ə ʃ t̪ uː n õː
پٹنہ	p ə ʈ n ɑ
پیداواری	p ɛː d̪ ɑː ʋ ɑː ɾ iː
چھوڑتے	t͡ʃʰ oː ɽ t̪ eː
کردیاگیا	k ə ɾ d̪ ɪ j ɑː ɡ ɪ j ɑː
کرس	k ə ɾ ə s
کیمرون	k ɛː m ɾ uː n
کےمطابق	k eː m t̪ ɑː b ə q
ہول	ɦ uː l
یکسر	j ə k s ə ɾ
آٹو	ɑː ʈ oː
اشتہاری	ɪ ʃ t̪ ɪ ɦ ɑː ɾ iː
اقصی	ə q s iː
اپر	ə p ə ɾ
باآسانی	b ɑː ɑː s ɑː n iː
بازوں	b ɑː z õː
بولیں	b uː l ẽː
تاحیات	t̪ ɑː ɦ ɪ j ɑː t̪
تارڑ	t̪ ɑː ɾ ə ɽ
تدریسی	t̪ ə d̪ ɾ iː s iː
تشبیہ	t̪ ə ʃ b ɪ j ɑ
ثمر	s ə m ə ɾ
جسکا	d͡ʒ ə s k ɑː
جوڑوں	d͡ʒ uː ɽ õː
حرمتی	ɦ ə ɾ m ə t̪ iː
حسنی	ɦ ə s n iː
خد	x ə d̪
دانے	d̪ ɑː n eː
دیشی	d̪ eː ʃ iː
دیوالی	d̪ eː ʋ ɑː l iː
راؤنڈ	ɾ ɑː ʊ n ɖ
رکشہ	ɾ ə k ʃ ɑ
زادہ	z ɑː d̪ ɑ
زنی	z ə n iː
سائنسز	s ɑː ɪ n s ɪ z
سوئے	s uː eː
سیاق	s ɪ j ɑː q
شفاعت	ʃ ə f ɑː ə t̪
ظالمانہ	z ɑː l m ɑː n ɑ
عافیت	ɑː f ɪ j ə t̪
عتیق	ə t̪ iː q
عماد	ə m ɑː d̪
غافل	ɣ ɑː f ɪ l
غزلیں	ɣ ə z l ẽː
فیضان	f ɛː z ɑː n
قل	q ə l
كہ	k ɑː
لم	l ə m
مزین	m ə z iː n
معاشروں	m ʊ ɑː ʃ ə ɾ õː
منقسم	m ə n q ə s ə m
مکین	m ə k iː n
میٹھی	m eː ʈʰ iː
میگاواٹ	m eː ɡ ɑː ʋ ɑː ʈ
نصر	n ə s ə ɾ
نقیب	n ə q iː b
پٹرولیم	p ə ʈ ɾ oː l iː m
پیشوا	p ɛː ʃ ʋ ɑː
چاہی	t͡ʃ ɑː ɦ iː
چڑھائی	t͡ʃ ə ɽʱ ɑː iː
چھری	t͡ʃʰ ə ɾ iː
ڈکٹیٹر	ɖ ə k ʈ eː ʈ ə ɾ
ڈھنگ	ɖʱ ə ŋ ɡ
ڈیڈ	ɖ eː ɖ
کریگی	k ə ɾ iː ɡ iː
کزن	k ə z ə n
کلامی	k ə l ɑː m iː
کوٹہ	k oː ʈ ɑ
کھوکھر	kʰ oː kʰ ə ɾ
کھیلی	kʰ eː l iː
کہلاتی	k ə ɦ l ɑː t̪ iː
کیبل	k eː b ə l
کیشنز	k eː ʃ ə n z
گارڈن	ɡ ɑː ɾ ɖ ə n
گرتے	ɡ ə ɾ t̪ eː
ہیئت	ɦ ɛː ə t̪
آنچ	ɑ̃ː t͡ʃ
اسمارٹ	ɪ s m ɑː ɾ ɪ ʈ
اسود	ə s uː d̪
اطہر	ə t̪ ɦ ə ɾ
انڈیکس	ə n ɖ eː k ə s
ایمبولینس	iː m b uː l ɛː n s
بائیو	b ɑː ɪ j oː
بسوں	b ə s õː
بلائے	b ə l ɑː eː
بوس	b uː s
بھولے	bʱ uː l eː
تبادلے	t̪ ə b ɑː d̪ l eː
تحریکیں	t̪ ə ɦ ɾ iː k ẽː
دیدہ	d̪ eː d̪ ɑ
رواداری	ɾ ə ʋ ɑː d̪ ɑː ɾ iː
رکنی	ɾ ə k n iː
زاویہ	z ɑː ʋ ɪ j ɑ
سائن	s ɑː ɪ n
سرداروں	s ə ɾ d̪ ɑː ɾ õː
سنگل	s ə ŋ ɡ ə l
سویا	s uː j ɑː
سہرا	s ə ɦ ɾ ɑː
عامل	ɑː m ɪ l
علامتی	ɪ l ɑː m ə t̪ iː
فنڈنگ	f ə n ɖ ə ŋ ɡ
فوٹیج	f oː ʈ iː d͡ʒ
مؤرخ	m ʊ ə ɾ ɾ ə x
مائیکروسافٹ	m ɑː iː k ɾ oː s ɑː f ə ʈ
مات	m ɑː t̪
ماخوذ	m ɑː x uː z
ماسک	m ɑː s ɪ k
مباحثہ	m ʊ b ɑː ɦ ɪ s ɑ
مزا	m ə z ɑː
مچ	m ə t͡ʃ
نبیوں	n ə b ɪ j õː
واٹ	ʋ ɑː ʈ
ٹال	ʈ ɑː l
ٹوکیو	ʈ oː k ɪ j oː
پریکٹس	p ɾ eː k ʈ ə s
چٹان	t͡ʃ ə ʈ ɑː n
چپکے	t͡ʃ ə p k eː
کلاسیکی	k ə l ɑː s iː k iː
کما	k ə m ɑː
گڈ	ɡ ə ɖ
گھٹ	ɡʱ ə ʈ
گھٹنے	ɡʱ ə ʈ n eː
گھیرے	ɡʱ eː ɾ eː
ہارس	ɦ ɑː ɾ ɪ s
ہٹایا	ɦ ə ʈ ɑː j ɑː
یس	j ə s
ابدی	ə b d̪ iː
افروز	ə f ɾ uː z
الذکر	ə l z ɪ k ə ɾ
امپائر	ə m p ɑː ɪ ɾ
انیسویں	ə n iː s ʋ ẽː
اڑایا	ə ɽ ɑː j ɑː
بمبار	b ə m b ɑː ɾ
بینر	b ɛː n ə ɾ
جاب	d͡ʒ ɑː b
دہلیز	d̪ ə ɦ l iː z
رائٹر	ɾ ɑː ɪ ʈ ə ɾ
رسوم	ɾ ə s uː m
رپورٹنگ	ɾ ə p uː ɾ ʈ ə ŋ ɡ
زمیں	z ə m ẽː
سڈنی	s ə ɖ n iː
شلوار	ʃ ɪ l ʋ ɑː ɾ
عددی	ə d̪ d̪ iː
علالت	ɪ l ɑː l ə t̪
فارمولا	f ɑː ɾ m uː l ɑː
لابی	l ɑː b iː
متوفی	m ʊ t̪ uː f iː
مسافت	m ʊ s ɑː f ə t̪
مفرور	m ə f ɾ uː ɾ
ملبوسات	m ə l b uː s ɑː t̪
مکتبہ	m ə k t̪ ə b ɑ
نالے	n ɑː l eː
ناں	n ɑ̃ː
وجے	ʋ ə d͡ʒ eː
پکی	p ə k iː
چرچا	t͡ʃ ə ɾ t͡ʃ ɑː
ڈائی	ɖ ɑː iː
کردو	k ə ɾ d̪ oː
کیوبا	k j uː b ɑː
ہراس	ɦ ə ɾ ɑː s
آفر	ɑː f ə ɾ
آمنے	ɑː m n eː
آٹے	ɑː ʈ eː
احرام	ɪ ɦ ɾ ɑː m
الجھن	ə l d͡ʒʱ ə n
امیج	ə m iː d͡ʒ
انگلیوں	ə ŋ ɡ l ɪ j õː
بااختیار	b ɑː x t̪ ɪ j ɑː ɾ
بابائے	b ɑː b ɑː eː
بخشے	b ə x ʃ eː
بدنامی	b ə d̪ n ɑː m iː
بلیو	b ə l ɪ j oː
بہنے	b ə ɦ n eː
تجزیے	t̪ ə d͡ʒ z ɪ j eː
تسخیر	t̪ ə s x iː ɾ
تمغہ	t̪ ə m ɣ ɑ
تواس	t̪ ə ʋ ɑː s
تھامے	t̪ʰ ɑː m eː
جدو	d͡ʒ ə d̪ oː
جوڑنے	d͡ʒ uː ɽ n eː
حفظہ	ɦ ə f z ɑ
حنبل	ɦ ə m b ə l
خاصیت	x ɑː s ɪ j ə t̪
خوارج	x ɑː ɾ ɪ d͡ʒ
داتا	d̪ ɑː t̪ ɑː
راجن	ɾ ɑː d͡ʒ ə n
رزلٹ	ɾ ə z l ə ʈ
سازوں	s ɑː z õː
سبیل	s ə b iː l
ست	s ə t̪
سرعام	s ə ɾ ɑː m
سٹور	s ə ʈ uː ɾ
سکینہ	s ə k iː n ɑ
شمارہ	ʃ ə m ɑː ɾ ɑ
صدمہ	s ə d̪ m ɑ
طلبا	t̪ ə l b ɑː
عرفات	ə ɾ f ɑː t̪
عنہم	ə n ɦ ə m
لبریشن	l ə b ɾ eː ʃ ə n
لک	l ə k
مائیک	m ɑː iː k
محصور	m ə ɦ s uː ɾ
مدینے	m ə d̪ iː n eː
مسیحیوں	m ə s iː ɦ ɪ j õː
معدوم	m ə d̪ uː m
نمازی	n ə m ɑː z iː
واضع	ʋ ɑː z eː
ورثے	ʋ ə ɾ s eː
وقتوں	ʋ ə q t̪ õː
ٹائون	ʈ ɑː uː n
ٹھاکر	ʈʰ ɑː k ə ɾ
ٹھیکہ	ʈʰ eː k ɑ
پہچانے	p ə ɦ t͡ʃ ɑː n eː
پیروکاروں	p ɛː ɾ oː k ɑː ɾ õː
پیٹر	p eː ʈ ə ɾ
کنٹینر	k ə n ʈ iː n ə ɾ
کھ	kʰ
کھدائی	kʰ ə d̪ ɑː iː
گرتی	ɡ ə ɾ t̪ iː
گمراہی	ɡ ʊ m ɾ ɑː ɦ iː
گولڈن	ɡ oː l ɖ ə n
گڑھے	ɡ ə ɽʱ eː
ہلچل	ɦ ə l t͡ʃ ə l
آرتھر	ɑː ɾ t̪ʰ ə ɾ
آزمائی	ɑː z m ɑː iː
آفاقی	ɑː f ɑː q iː
اعانت	ɪ ɑː n ə t̪
بکرے	b ə k ɾ eː
بھتیجے	bʱ ə t̪ iː d͡ʒ eː
تفریحی	t̪ ə f ɾ iː ɦ iː
تقاضہ	t̪ ə q ɑː z ɑ
جبریل	d͡ʒ ə b ɾ iː l
جلتا	d͡ʒ ə l t̪ ɑː
حاوی	ɦ ɑː ʋ iː
دھاتی	d̪ʱ ɑː t̪ iː
رسانی	ɾ ə s ɑː n iː
روایتوں	ɾ ə ʋ ɑː j ə t̪ õː
روشنیوں	ɾ oː ʃ n ɪ j õː
ریکارڈنگ	ɾ eː k ɑː ɾ ɖ ə ŋ ɡ
زیرصدارت	z ɛː ɾ s ɪ d̪ ɑː ɾ ə t̪
سجاوٹ	s ə d͡ʒ ɑː ʋ ə ʈ
سدھو	s ə d̪ʱ oː
شریفین	ʃ ə ɾ iː f iː n
نائیک	n ɑː iː k
نامیاتی	n ɑː m ɪ j ɑː t̪ iː
ناکافی	n ɑː k ɑː f iː
ٹاک	ʈ ɑː k
پتر	p ə t̪ ə ɾ
پربھی	p ə ɾ bʱ iː
پکے	p ə k eː
پھرتا	pʰ ə ɾ t̪ ɑː
پیز	p ɛː z
کارخانے	k ɑː ɾ x ɑː n eː
کاٹا	k ɑː ʈ ɑː
کھانوں	kʰ ɑː n õː
گٹھ	ɡ ə ʈʰ
گھومنے	ɡʱ uː m n eː
ہارنے	ɦ ɑː ɾ n eː
آئن	ɑː ɪ n
آخرکار	ɑː x ə ɾ k ɑː ɾ
آپریشنز	ɑː p ɾ eː ʃ ə n z
ابھر	ə bʱ ə ɾ
اجتناب	ɪ d͡ʒ t̪ ɪ n ɑː b
ار	ə ɾ
ارسال	ɪ ɾ s ɑː l
ارون	ə ɾ uː n
اقتصادیات	ɪ q t̪ ɪ s ɑː d̪ ɪ j ɑː t̪
انتقامی	ɪ n t̪ ɪ q ɑː m iː
اٹل	ə ʈ ə l
تذلیل	t̪ ə z l iː l
تقاریب	t̪ ə q ɑː ɾ iː b
جائیے	d͡ʒ ɑː ɪ j eː
حربے	ɦ ə ɾ b eː
حلیف	ɦ ə l iː f
خاکے	x ɑː k eː
دانی	d̪ ɑː n iː
دبے	d̪ ə b b eː
دفعات	d̪ ə f ɑː t̪
دھچکا	d̪ʱ ə t͡ʃ k ɑː
ذہنیت	z ə ɦ n ɪ j ə t̪
رغبت	ɾ ə ɣ b ə t̪
رکھوں	ɾ ə kʰ õː
رہن	ɾ ə ɦ ə n
سامراج	s ɑː m ɾ ɑː d͡ʒ
سبسڈی	s ə b s ɖ iː
سخاوت	s ə x ɑː ʋ ə t̪
سرکل	s ə ɾ k ə l
سعی	s ə iː
سلفی	s ə l f iː
سٹریٹ	s ə ʈ ɾ eː ʈ
سہولتیں	s ə ɦ uː l ə t̪ ẽː
سیراب	s iː ɾ ɑː b
سیٹلائٹ	s iː ʈ l ɑː ɪ ʈ
شناس	ʃ ɪ n ɑː s
عبدالستار	ɪ b d̪ ɑː l ɪ s t̪ ɑː ɾ
عقد	ə q d̪
غوری	ɣ uː ɾ iː
فحاشی	f ə ɦ ɑː ʃ iː
قدیمہ	q ə d̪ iː m ɑ
قصر	q ə s ə ɾ
قلبی	q ə l b iː
لوٹی	l oː ʈ iː
معاشیات	m ʊ ɑː ʃ ɪ j ɑː t̪
ملایا	m ə l ɑː j ɑː
میڈیم	m eː ɖ ɪ j ə m
نسواں	n ə s ʋ ɑ̃ː
نمائندگان	n ə m ɑː ɪ n d̪ ə ɡ ɑː n
وہابی	ʋ ə ɦ ɑː b iː
ٹھنڈے	ʈʰ ə n ɖ eː
ٹھہرایا	ʈʰ ə ɦ ɾ ɑː j ɑː
پاسداری	p ɑː s d̪ ɑː ɾ iː
پرے	p ə ɾ eː
پودا	p oː d̪ ɑː
پیمائش	p ɛː m ɑː ɪ ʃ
چاچا	t͡ʃ ɑː t͡ʃ ɑː
چھپنے	t͡ʃʰ ə p n eː
ڈائری	ɖ ɑː ɪ ɾ iː
ڈوبنے	ɖ oː b n eː
کانگو	k ɑː ŋ ɡ oː
کنال	k ə n ɑː l
کیاکہ	k ɪ j ɑː k ɑ
کیری	k ɛː ɾ iː
گوری	ɡ oː ɾ iː
گھومتی	ɡʱ uː m ə t̪ iː
ہٹلر	ɦ ə ʈ l ə ɾ
ہڈیاں	ɦ ə ɖ ɪ j ɑ̃ː
اتری	ə t̪ ɾ iː
اجمعین	ə d͡ʒ m ə iː n
امیتابھ	ə m iː t̪ ɑː bʱ
اٹیک	ə ʈ iː k
اکٹھی	ə k ʈʰ iː
باقیات	b ɑː q ɪ j ɑː t̪
باکسر	b ɑː k s ə ɾ
برسر	b ə ɾ s ə ɾ
بھوپال	bʱ uː p ɑː l
بینائی	b ɛː n ɑː iː
بیٹھتے	b eː ʈʰ ə t̪ eː
تالپور	t̪ ɑː l p uː ɾ
تنبیہ	t̪ ə m b ɪ j ɑ
توپوں	t̪ oː p õː
ثقہ	s ə q q ɑ
جوس	d͡ʒ uː s
جھڑپیں	d͡ʒʱ ə ɽ p ẽː
حدیبیہ	ɦ ə d̪ iː b ɪ j ɑ
رسد	ɾ ə s ə d̪
رومن	ɾ uː m ə n
سکونت	s ə k uː n ə t̪
شرٹ	ʃ ə ɾ ʈ
شکلوں	ʃ ɪ k l õː
صباح	s ə b ɑː ɦ
صدام	s ə d̪ ɑː m
طعن	t̪ ə n
طلبی	t̪ ə l b iː
عمرانی	ə m ɾ ɑː n iː
فائی	f ɑː iː
فارن	f ɑː ɾ ə n
مآب	m ə ɑː b
مجنوں	m ə d͡ʒ n õː
مذید	m ə z iː d̪
مظلوموں	m ə z l uː m õː
ملنی	m ə l n iː
مندوں	m ə n d̪ õː
مکینوں	m ə k iː n õː
میٹھے	m eː ʈʰ eː
میڈ	m eː ɖ
واجد	ʋ ɑː d͡ʒ ɪ d̪
وافر	ʋ ɑː f ɪ ɾ
وحشی	ʋ ə ɦ ʃ iː
ونڈ	ʋ ə n ɖ
ٹائٹل	ʈ ɑː ɪ ʈ ə l
ٹرن	ʈ ə ɾ ə n
ٹیپو	ʈ eː p oː
پسینے	p ə s iː n eː
پیچ	p iː t͡ʃ
چڑھنے	t͡ʃ ə ɽʱ n eː
چھان	t͡ʃʰ ɑː n
چھاپ	t͡ʃʰ ɑː p
کاہن	k ɑː ɦ ə n
کمالات	k ə m ɑː l ɑː t̪
کوئلے	k oː ɪ l eː
کورنگی	k oː ɾ ə ŋ ɡ iː
کٹھن	k ə ʈʰ ə n
کےبعد	k eː b ə d̪
یانگ	j ɑː ŋ ɡ
اسکاٹ	ɪ s k ɑː ʈ
اعزازی	ɪ z ɑː z iː
افواہیں	ə f ʋ ɑː ɦ ẽː
ایجادات	iː d͡ʒ ɑː d̪ ɑː t̪
بتاؤں	b ə t̪ ɑː õː
بنیادیں	b ə n j ɑː d̪ ẽː
بوری	b uː ɾ iː
بھیجتا	bʱ eː d͡ʒ t̪ ɑː
تہذیبوں	t̪ ə ɦ z iː b õː
جاہ	d͡ʒ ɑː ɦ
جلی	d͡ʒ ə l iː
جواں	d͡ʒ ə ʋ ɑ̃ː
حجاز	ɦ ə d͡ʒ ɑː z
حوالوں	ɦ ə ʋ ɑː l õː
ریحان	ɾ eː ɦ ɑː n
سائرہ	s ɑː ɪ ɾ ɑ
ساحر	s ɑː ɦ ɪ ɾ
سامراجی	s ɑː m ɾ ɑː d͡ʒ iː
سٹیل	s ə ʈ iː l
شاخیں	ʃ ɑː x ẽː
شبہات	ʃ ə b ɦ ɑː t̪
طاہرالقادری	t̪ ɑː ɦ ɾ ɑː l q ɑː d̪ ɾ iː
عزاداری	ɪ z ɑː d̪ ɑː ɾ iː
فریقوں	f ə ɾ iː q õː
قم	q ə m
لکھاری	l ɪ kʰ ɑː ɾ iː
متی	m ə t̪ iː
معزول	m ə z uː l
نبھانے	n ə bʱ ɑː n eː
نجانے	n ə d͡ʒ ɑː n eː
نوازی	n ə ʋ ɑː z iː
نگری	n ə ɡ ɾ iː
نیشن	n eː ʃ ə n
وزارتوں	ʋ ɪ z ɑː ɾ ə t̪ õː
وزنی	ʋ ə z n iː
پرکشش	p ə ɾ k ɪ ʃ ʃ
پطرس	p ə t̪ ɾ ə s
پنگ	p ə ŋ ɡ
