পর	p ɔ ɾ
ওরশ	o ɾ o ʃ
গরব	ɡ ɔ ɾ o b
বজ	b ɔ d͡ʒ
বলও	b ɔ l o
boot	b u t
moto	m o t o
nazi	n a z i
oppo	o p o
soap	s o a p
taki	t a k i
ts	t e s
estas	e s t a s
meta	m e t a
ones	o n e s
احمد	i ħ m a d
ঋক	r i k
profit	p ɾ o f i t
radha	r a d a
taste	t a s t e
troops	t ɾ u p s
на	n a
অপস	ɔ p o ʃ
আটঘর	a ʈ ɡʱ ɔ ɾ
এইই	e i̯ i
এমনসব	e m o n ʃ ɔ b
কড	k ɔ ɖ
কথ	k ɔ t̪ʰ
kofi	k o f i
فى	f a
আউফ	a u̯ f
এফআর	e f a ɾ
anal	a n a l
bible	b i b l e
dos	d o s
graphics	ɡ ɾ a f i k s
kit	k i t
mini	m i n i
node	n o d e
pretty	p ɾ e t i
sus	s u s
tie	t i
uc	u k
أن	ʔ a n
অনর	ɔ n o ɾ
আইএইএ	a i̯ e i̯ e
আইএফএ	a i̯ e f e
ইউএমএল	i u̯ e m e l
এলফ	e l f
এষ	e ʃ
চটপট	t͡ʃ ɔ ʈ p ɔ ʈ
চপল	t͡ʃ ɔ p o l
ভগ	bʱ ɔ ɡ
মক	m ɔ k
মথ	m ɔ t̪ʰ
dual	d u a l
eta	e t a
lucy	l u s i
miracle	m i ɾ a k l e
salute	s a l u t e
sat	s a t
আওন	a o̯ n
খট	kʰ ɔ ʈ
মরব	m ɔ ɾ o b
able	a b l e
ira	i ɾ a
mubarak	m u b a ɾ a k
sd	e s d e
আইএসএল	a i̯ e ʃ e l
এমআর	e m a ɾ
ওএসআই	o e ʃ a i̯
গহর	ɡ ɔ h o ɾ
বজবজ	b ɔ d͡ʒ b ɔ d͡ʒ
alo	a l o
kobita	k o b i t a
pr	p e ɾ e
আরএ	a ɾ e
আরএন	a ɾ e n
ইলন	i l o n
উইজ	u̯ i d͡ʒ
ওউ	o u̯
ভগত	bʱ ɔ ɡ o t̪
সতত	ʃ ɔ t̪ o t̪
marie	m a ɾ i
আরএসএফ	a ɾ e ʃ e f
এউ	e u̯
ঢক	ɖʱ ɔ k
clips	k l i p s
korea	k o ɾ e a
mustafa	m u s t a f a
quite	k i t e
sheet	ʃ i t
topic	t ɔ p i k
আইব	a i̯ b
আওফ	a o̯ f
আরএম	a ɾ e m
দন	d̪ ɔ n
বলস	b ɔ l o ʃ
academic	a k a d e m i k
cable	k a b l e
chris	k ɾ i s
deal	d e a l
este	e s t e
ini	i n i
libya	l i b j a
matlab	m a t l a b
supply	s u p l i
tumi	t u m i
إلا	ʔ i l a
এমএন	e m e n
গহন	ɡ ɔ h o n
জম	d͡ʒ ɔ m
ভবনও	bʱ ɔ b n o
সজন	ʃ ɔ d͡ʒ o n
faq	f a k
obra	o b ɾ a
ra	r a
shape	ʃ e j p
swami	s w a m i
কলড	k ɔ l o ɖ
খব	kʰ ɔ b
দরস	d̪ ɔ ɾ o ʃ
রঙও	r ɔ ŋ o
cash	k a ʃ
celebrity	s e l e b ɾ i t i
cop	k ɔ p
dash	d a ʃ
focus	f o k u s
lin	l i n
metro	m e t ɾ o
nude	n u d e
по	p o
আহরন	a h ɾ o n
ইআইএ	i̯ a i̯ e
এরউইন	e ɾ u̯ i n
ওটস	o ʈ o ʃ
চটক	t͡ʃ ɔ ʈ ɔ k
ছন	t͡ʃʰ ɔ n
তরক	t̪ ɔ ɾ o k
দলবদল	d̪ ɔ l b ɔ d̪ o l
নচ	n ɔ t͡ʃ
নছর	n ɔ t͡ʃʰ o ɾ
বদন	b ɔ d̪ o n
ভবণ	bʱ ɔ b o n
মরম	m ɔ ɾ o m
abul	a b u l
comics	k o m i k s
gogh	ɡ o ɡ
joy	d͡ʒ o j
leste	l e s t e
অও	ɔ o̯
বহণ	b ɔ h o n
adobe	a d o b e
dracula	d ɾ a k u l a
katha	k a t a
kerala	k e ɾ a l a
kicks	k i k s
lab	l a b
madame	m a d a m e
notes	n o t e s
sit	s i t
ti	t i
uma	u m a
এইম	e i̯ m
ওশ	o ʃ
কসর	k ɔ ʃ o ɾ
জলধর	d͡ʒ ɔ l d̪ʱ ɔ ɾ
নফস	n ɔ f o ʃ
পটস	p ɔ ʈ o ʃ
বকস	b ɔ k o ʃ
ভগৎ	bʱ ɔ ɡ o t̪
ভজ	bʱ ɔ d͡ʒ
সক	ʃ ɔ k
সপ	ʃ ɔ p
anime	a n i m e
classic	k l a s i k
pos	p o s
todo	t o d o
লব	l ɔ b
arab	a ɾ a b
carolina	k a ɾ o l i n a
desktop	d e s k t ɔ p
fabric	f a b ɾ i k
liga	l i ɡ a
swat	s w a t
switch	s w i t͡ʃ
unesco	u n e s k o
জনন	d͡ʒ ɔ n o n
জলও	d͡ʒ ɔ l o
তরণ	t̪ ɔ ɾ o n
বগস	b ɔ ɡ o ʃ
লভ	l ɔ bʱ
beta	b e t a
bp	b e p e
mommy	m o m i
nut	n u t
totally	t o t a l i
unable	u n a b l e
от	o t
ওরও	o ɾ o
af	a f
poet	p o e t
উইই	u̯ i i
একশরও	e k ʃ ɔ ɾ o
এহ	e h o
গরমও	ɡ ɔ ɾ m o
জলচর	d͡ʒ ɔ l t͡ʃ ɔ ɾ
সট	ʃ ɔ ʈ
graphic	ɡ ɾ a f i k
lock	l ɔ k
maps	m a p s
null	n u l
penny	p e n i
sura	s u ɾ a
tit	t i t
toll	t o l
tweet	t w i t
الرحمن	a r r a ħ m a n
অনম	ɔ n o m
আহহ	a h o h o
ইউআই	i u̯ a i̯
ওকস	o k o ʃ
ওমন	o m o n
কলরব	k ɔ l ɾ ɔ b
মউ	m o u̯
মশক	m ɔ ʃ o k
মহর	m ɔ h o ɾ
সরগম	ʃ ɔ ɾ ɡ ɔ m
años	a ɲ o s
bc	b e s e
binary	b i n a ɾ i
capacity	k a p a s i t i
kohli	k o l i
mis	m i s
از	i z
حسن	ħ a s a n
পদকসহ	p ɔ d̪ o k ʃ ɔ h o
লড	l ɔ ɖ
abs	a b s
approach	a p ɾ o a t͡ʃ
bari	b a ɾ i
none	n o n e
pune	p u n e
saddle	s a d l e
weeks	w i k s
رسول	r a s uː l
ওজনও	o d͡ʒ n o
বইএর	b o i̯ e ɾ
বকচর	b ɔ k t͡ʃ ɔ ɾ
ববস	b ɔ b o ʃ
ভগবত	bʱ ɔ ɡ b ɔ t̪
bdt	b e d e t e
dutch	d u t͡ʃ
mystery	m i s t e ɾ i
pakistani	p a k i s t a n i
sul	s u l
truly	t ɾ u l i
আরআর	a ɾ a ɾ
হরন	h ɔ ɾ o n
bio	b i o
esta	e s t a
flip	f l i p
kid	k i d
sas	s a s
sharif	ʃ a ɾ i f
আরবও	a ɾ b o
বহল	b ɔ h o l
রলফ	r ɔ l o f
সনম	ʃ ɔ n o m
arabia	a ɾ a b i a
là	l a
sha	ʃ a
shining	ʃ i n i ŋ
swimming	s w i m i ŋ
trick	t ɾ i k
محمود	m a ħ m uː d
অধ	ɔ d̪ʱ
আকল	a k o l
আটশত	a ʈ ʃ ɔ t̪
এফএইচএম	e f e i̯ t͡ʃ e m
এমত	e m o t̪
এলএলএম	e l e l e m
ওহম	o h o m
বখশ	b ɔ kʰ o ʃ
যথন	d͡ʒ ɔ t̪ʰ o n
areas	a ɾ e a s
bibi	b i b i
dolls	d o l s
guru	ɡ u ɾ u
ibm	i b e m
pub	p u b
لله	l a l a
কহন	k ɔ h o n
চলক	t͡ʃ ɔ l o k
ic	i k
itunes	i t u n e s
khulna	k u l n a
pacific	p a s i f i k
qa	k a
কটক	k ɔ ʈ ɔ k
বরফকল	b ɔ ɾ o f k ɔ l
রমণ	r ɔ m o n
সহন	ʃ ɔ h o n
amit	a m i t
dora	d o ɾ a
ebony	e b o n i
manipuri	m a n i p u ɾ i
mega	m e ɡ a
pu	p u
sell	s e l
toy	t o j
আক	a k
নমন	n ɔ m o n
নহর	n ɔ h o ɾ
হরমন	h ɔ ɾ m o n
ebooks	e b u k s
kali	k a l i
naomi	n a o m i
penis	p e n i s
shut	ʃ u t
telling	t e l i ŋ
আইএসএম	a i̯ e ʃ e m
করদ	k ɔ ɾ o d̪
bu	b u
buck	b u k
cli	k l i
cook	k u k
dd	d e d e
telugu	t e l u ɡ u
অহম	ɔ h o m
উইকড	u̯ i k ɔ ɖ
উদম	u d̪ o m
জইশ	d͡ʒ o i̯ ʃ
বউও	b o u̯ o
assets	a s e t s
keeps	k i p s
killing	k i l i ŋ
menu	m e n u
muscles	m u s k l e s
pi	p i
এআরএম	e a ɾ e m
এইটথ	e i̯ ʈ ɔ t̪ʰ
এফআই	e f a i̯
ওযর	o d͡ʒ o ɾ
কবজ	k ɔ b o d͡ʒ
গমণ	ɡ ɔ m o n
জবরদখল	d͡ʒ ɔ b o ɾ d̪ ɔ kʰ ɔ l
রইছ	r o i̯ t͡ʃʰ
db	d e b e
float	f l o a t
fully	f u l i
manna	m a n a
mes	m e s
sec	s ɛ k
إلى	ʔ i l a
الحديث	a l ħ a d iː s
আগম	a ɡ o m
আরআইএ	a ɾ a i̯ e
উতসব	u t̪ o ʃ ɔ b
bra	b ɾ a
italy	i t a l i
og	o ɡ
progress	p ɾ o ɡ ɾ e s
tunes	t u n e s
আরএসও	a ɾ e ʃ o
তখত	t̪ ɔ kʰ ɔ t̪
হলঘর	h ɔ l ɡʱ ɔ ɾ
হস	h ɔ ʃ
christopher	k ɾ i s t o f e
nil	n i l
prepare	p ɾ e p a ɾ e
roh	r o
ان	i n
আনউইন	a n u̯ i n
ইএফএফ	i e f e f
ঘণ	ɡʱ ɔ n
থটস	t̪ʰ ɔ ʈ o ʃ
মগধ	m ɔ ɡ o d̪ʱ
apa	a p a
bag	b a ɡ
flat	f l a t
ghost	ɡ o s t
ie	i
lasso	l a s o
oracle	o ɾ a k l e
pie	p i
publish	p u b l i ʃ
shoot	ʃ u t
suit	s u i t
summary	s u m a ɾ i
todos	t o d o s
toefl	t o e f e l
uno	u n o
wifi	w i f i
zia	z i a
أحمد	ʔ a ħ m a d
আরএইচ	a ɾ e i̯ t͡ʃ
এডস	e ɖ o ʃ
এলন	e l o n
গগ	ɡ ɔ ɡ
জনও	d͡ʒ ɔ n o
ঝরল	d͡ʒʱ ɔ ɾ o l
বরজ	b ɔ ɾ o d͡ʒ
বলন	b ɔ l o n
সতর	ʃ ɔ t̪ o ɾ
সৎপথ	ʃ ɔ t̪ p ɔ t̪ʰ
eg	e ɡ
lynn	l i n
shell	ʃ e l
ship	ʃ i p
surah	s u ɾ a
unite	u n i t e
আউন	a u̯ n
নসর	n ɔ ʃ o ɾ
যহন	d͡ʒ ɔ h o n
absolute	a b s o l u t e
anna	a n a
babri	b a b ɾ i
batch	b a t͡ʃ
bi	b i
dutta	d u t a
nicole	n i k o l e
opus	o p u s
إذا	ʔ i z a
إن	ʔ i n
الملك	a l m a l a k
এনএল	e n e l
মদও	m ɔ d̪ o
মপ	m ɔ p
ability	a b i l i t i
agua	a ɡ w a
canopy	k a n o p i
tcp	t e s e p e
toh	t o
الحمد	a l ħ a m a d
এচ	e t͡ʃ
করচ	k ɔ ɾ o t͡ʃ
ahmedabad	a m e d a b a d
benefit	b e n e f i t
bs	b e ɛ s
bug	b u ɡ
clock	k l ɔ k
cpi	k e p i
eric	e ɾ i k
gap	ɡ a p
nominees	n o m i n e e s
otros	o t ɾ o s
patch	p a t͡ʃ
teknaf	t e k n a f
আইইইই	a i̯ i̯ i
ইরম	i ɾ o m
এএনএম	e e n e m
এনআইএ	e n a i̯ e
এরম	e ɾ o m
এলআর	e l a ɾ
এলএম	e l e m
ওট	o ʈ
গৎ	ɡ ɔ t̪
নড	n ɔ ɖ
পদকও	p ɔ d̪ k o
পলস	p ɔ l o ʃ
মখমল	m ɔ kʰ m ɔ l
মহ	m ɔ h o
রশ	r ɔ ʃ
রসও	r ɔ ʃ o
লকআউট	l ɔ k a u̯ ʈ
bare	b a ɾ e
bg	b e ɡ e
bhi	b i
ceremony	s e ɾ e m o n i
desh	d e ʃ
ga	ɡ a
papa	p a p a
আইওআরএ	a i̯ o̯ a ɾ e
ডসন	ɖ ɔ ʃ o n
cb	s e b e
elite	e l i t e
guinea	ɡ i n e a
lola	l o l a
mack	m a k
mama	m a m a
shock	ʃ ɔ k
suv	s u b
صلاة	sˤ a l aː h
ইএম	i e m
ইজম	i d͡ʒ o m
গদর	ɡ ɔ d̪ o ɾ
bat	b a t
leone	l e o n e
lisa	l i s a
pero	p e ɾ o
sarah	s a ɾ a
selling	s e l i ŋ
আইআইএম	a i̯ a i̯ e m
আলকরণ	a l k ɔ ɾ o n
ইম	i m
এমএসএম	e m e ʃ e m
চরক	t͡ʃ ɔ ɾ o k
চরন	t͡ʃ ɔ ɾ o n
যওক	d͡ʒ ɔ o̯ k
রঙই	r ɔ ŋ o i̯
শশধর	ʃ ɔ ʃ d̪ʱ ɔ ɾ
cap	k a p
crop	k ɾ ɔ p
deny	d e n i
gonna	ɡ o n a
potato	p o t a t o
prefix	p ɾ e f i k s
preliminary	p ɾ e l i m i n a ɾ i
shit	ʃ i t
yatra	j a t ɾ a
আবর	a b o ɾ
আহতও	a h t̪ o
উৎসই	u t̪ ʃ o i̯
এজন	e d͡ʒ o n
এফএসএ	e f e ʃ e
এমএড	e m e ɖ
এরকমও	e ɾ k ɔ m o
গরল	ɡ ɔ ɾ o l
টনক	ʈ ɔ n o k
টনটন	ʈ ɔ n ʈ ɔ n
টহলরত	ʈ ɔ h l ɔ ɾ ɔ t̪
দশঘর	d̪ ɔ ʃ ɡʱ ɔ ɾ
ধল	d̪ʱ ɔ l
পলল	p ɔ l o l
রজম	r ɔ d͡ʒ o m
লবণও	l ɔ b o n o
শরথ	ʃ ɔ ɾ o t̪ʰ
হকও	h ɔ k o
americas	a m e ɾ i k a s
bootable	b u t a b l e
florida	f l o ɾ i d a
perú	p e ɾ u
tracking	t ɾ a k i ŋ
উমম	u m o m
এইত	e i̯ t̪
ওঠল	o ʈʰ ɔ l
কলমও	k ɔ l m o
মঙ	m ɔ ŋ
মট	m ɔ ʈ
tells	t e l s
yeh	j e
আরবই	a ɾ b o i̯
ইগল	i ɡ o l
এনএইচ	e n e i̯ t͡ʃ
করর	k ɔ ɾ o ɾ
দহল	d̪ ɔ h o l
সদ	ʃ ɔ d̪
হনর	h ɔ n o ɾ
asha	a ʃ a
brics	b ɾ i k s
cp	s e p e
monetary	m o n e t a ɾ i
rats	r a t s
sara	s a ɾ a
zi	z i
شهر	ʃ a h a r
পম	p ɔ m
সহজসরল	ʃ ɔ h o d͡ʒ ʃ ɔ ɾ o l
brush	b ɾ u ʃ
enable	e n a b l e
meri	m e ɾ i
nach	n a t͡ʃ
nano	n a n o
phones	f o n e s
plug	p l u ɡ
poll	p o l
techniques	t e k n i k e s
triple	t ɾ i p l e
truck	t ɾ u k
আফম	a f o m
আহম	a h o m
ইরর	i ɾ o ɾ
এবঙ	e b o ŋ
ওআর	o̯ a ɾ
খস	kʰ ɔ ʃ
ঘরও	ɡʱ ɔ ɾ o
তৎসহ	t̪ ɔ t̪ ʃ ɔ h o
সইফ	ʃ o i̯ f
akira	a k i ɾ a
anatomy	a n a t o m i
anne	a n e
deshi	d e ʃ i
glory	ɡ l o ɾ i
iraq	i ɾ a k
mia	m i a
winning	w i n i ŋ
بعد	b a ʕ d
كل	k a l
আওর	a o̯ ɾ
আচমত	a t͡ʃ m ɔ t̪
আজরফ	a d͡ʒ ɾ ɔ f
ইউএমএনও	i u̯ e m e n o
এলম	e l o m
ওগ	o ɡ
axis	a k s i s
belly	b e l i
cw	k u
enemy	e n e m i
guidelines	ɡ i d e l i n e s
ici	i s i
kota	k o t a
seek	s i k
takashi	t a k a ʃ i
এফএস	e f e ʃ
খক	kʰ ɔ k
তন	t̪ ɔ n
নগ	n ɔ ɡ
মড	m ɔ ɖ
সফ	ʃ ɔ f
codes	k o d e s
lap	l a p
matrix	m a t ɾ i k s
shake	ʃ e j k
رمضان	r a m dˤ aː n
আইর	a i̯ ɾ
আলবৎ	a l b ɔ t̪
এরপরপরই	e ɾ p ɔ ɾ p ɔ ɾ o i̯
করতল	k ɔ ɾ t̪ ɔ l
রকমও	r ɔ k m o
লগন	l ɔ ɡ o n
bis	b i s
emi	e m i
madani	m a d a n i
moni	m o n i
naruto	n a ɾ u t o
paddy	p a d i
sb	e s b e
semi	s e m i
webrip	w e b ɾ i p
woh	w o
উচ	u t͡ʃ
এএনএন	e e n e n
এফএফ	e f e f
বহ	b ɔ h o
মমস	m ɔ m o ʃ
arif	a ɾ i f
blo	b l o
brac	b ɾ a k
cf	s e ɛ f
cri	k ɾ i
dap	d a p
despite	d e s p i t e
epub	e p u b
fix	f i k s
ill	i l
khela	k e l a
lotus	l o t u s
mina	m i n a
pack	p a k
paragraph	p a ɾ a ɡ ɾ a f
på	p o
sera	s e ɾ a
tab	t a b
td	t e d e
اردو	i r d u
অহর	ɔ h o ɾ
আইএল	a i̯ e l
আচল	a t͡ʃ o l
আনআম	a n a m
এআইএফএফ	e a i̯ e f e f
এনআই	e n a i̯
ওএমআর	o e m a ɾ
কলপ	k ɔ l o p
কলব	k ɔ l o b
ঘনক	ɡʱ ɔ n o k
ঝন	d͡ʒʱ ɔ n
দফতরও	d̪ ɔ f t̪ ɔ ɾ o
নজম	n ɔ d͡ʒ o m
নফ	n ɔ f
ফলনও	f ɔ l n o
যঈফ	d͡ʒ o i̯ f
সওম	ʃ ɔ o̯ m
সরম	ʃ ɔ ɾ o m
সলমন	ʃ ɔ l m o n
alla	a l a
caste	k a s t e
ea	e a
fa	f a
ku	k u
meal	m e a l
nadu	n a d u
pak	p a k
patrick	p a t ɾ i k
এআইআর	e a i̯ a ɾ
চকমক	t͡ʃ ɔ k m ɔ k
ডলস	ɖ ɔ l o ʃ
নরটন	n ɔ ɾ ʈ ɔ n
bolo	b o l o
crusade	k ɾ u z a d e
filling	f i l i ŋ
kara	k a ɾ a
legacy	l e ɡ a s i
pluto	p l u t o
wing	w i ŋ
আইএনএফ	a i̯ e n e f
আইএমএ	a i̯ e m e
আউর	a u̯ ɾ
আহন	a h o n
ঈন	i n
ঝক	d͡ʒʱ ɔ k
acts	a k t s
amy	a m i
bt	b e t e
bulb	b u l b
grab	ɡ ɾ a b
leo	l e o
mh	m
pri	p ɾ i
أهل	ʔ a h a l
আবল	a b o l
এনআর	e n a ɾ
এনএসএফ	e n e ʃ e f
এমকম	e m k o m
ওউন	o u̯ n
জড	d͡ʒ ɔ ɖ
পরক	p ɔ ɾ o k
ভল	bʱ ɔ l
সনত	ʃ ɔ n o t̪
হতই	h ɔ t̪ o i̯
হবই	h ɔ b o i̯
adb	a d e b e
assist	a s i s t
bbq	b e b e k e
costa	k o s t a
ix	i k s
leg	l e ɡ
puri	p u ɾ i
separate	s e p a ɾ a t e
sheets	ʃ i t s
sunnah	s u n a
tales	t a l e s
waist	w a i s t
আইএসএফ	a i̯ e ʃ e f
আমই	a m o i̯
উইট	u̯ i ʈ
উৎকল	u t̪ k ɔ l
এমওই	e m o i̯
ডহর	ɖ ɔ h o ɾ
সরফ	ʃ ɔ ɾ o f
dell	d e l
iit	i i t
sari	s a ɾ i
এফআইএ	e f a i̯ e
এলএফ	e l e f
ওড	o ɖ
সহজও	ʃ ɔ h d͡ʒ o
bb	b e b e
cab	k a b
crack	k ɾ a k
creates	k ɾ e a t e s
dp	d e p e
drag	d ɾ a ɡ
frac	f ɾ a k
ide	i d e
natasha	n a t a ʃ a
patrika	p a t ɾ i k a
qazi	k a z i
qc	k e s e
quiz	k i s
seeking	s i k i ŋ
sie	s i
suzuki	s u z u k i
swing	s w i ŋ
tennis	t e n i s
tp	t e p e
tra	t ɾ a
مقالة	m a q aː l a
অথ	ɔ t̪ʰ
আইএলওর	a i̯ e l o ɾ
আছমত	a t͡ʃʰ m ɔ t̪
ইডকল	i ɖ k ɔ l
ইনস	i n o ʃ
উইড	u̯ i ɖ
উইদ	u̯ i d̪
উলদ	u l o d̪
এআরআই	e a ɾ a i̯
কবরও	k ɔ b ɾ o
গঠণ	ɡ ɔ ʈʰ o n
ঘটন	ɡʱ ɔ ʈ o n
ছম	t͡ʃʰ ɔ m
ডকস	ɖ ɔ k o ʃ
তবক	t̪ ɔ b o k
থন	t̪ʰ ɔ n
দলমত	d̪ ɔ l m ɔ t̪
নথ	n ɔ t̪ʰ
নফর	n ɔ f o ɾ
পশ	p ɔ ʃ
ফকর	f ɔ k o ɾ
বৎসল	b ɔ t̪ ʃ ɔ l
যর	d͡ʒ ɔ ɾ
রইজ	r o i̯ d͡ʒ
রর	r ɔ ɾ
সইব	ʃ o i̯ b
সফরই	ʃ ɔ f ɾ o i̯
সহর	ʃ ɔ h o ɾ
হরগজ	h ɔ ɾ ɡ ɔ d͡ʒ
epic	e p i k
erik	e ɾ i k
mae	m e
nis	n i s
passes	p a s e s
seal	s e a l
sheba	ʃ e b a
teri	t e ɾ i
tops	t ɔ p s
صحيح	sˤ a ħ iː ħ
উও	u̯ o
এনএফএফ	e n e f e f
গলন	ɡ ɔ l o n
হউ	h o u̯
atp	a t e p e
gary	ɡ a ɾ i
leaf	l e a f
país	p a i s
sweep	s w i p
tabari	t a b a ɾ i
আজর	a d͡ʒ o ɾ
উমমম	u m m ɔ m
খনক	kʰ ɔ n o k
ডলফ	ɖ ɔ l o f
danny	d a n i
maya	m a j a
nah	n a
uni	u n i
বমন	b ɔ m o n
রট	r ɔ ʈ
acm	a k m
ani	a n i
ayub	a j u b
daddy	d a d i
defined	d e f i n e d
peru	p e ɾ u
philip	f i l i p
poets	p o e t s
polytechnic	p o l i t ɛ k n i k
samay	s a m a j
swiss	s w i s
telephone	t e l e f o n e
ullah	u l a
со	s o
এআরএ	e a ɾ e
