de	d e
predominant	p r e d o m i n a n t
procedat	p r o t͡ʃ e d a t
progresiv	p r o ɡ r e s i v
proiecție	p r o j e k t͡s i e
publici	p u b l i t͡ʃʲ
puși	p u ʃʲ
păreau	p ə r e̯ a w
păunescu	p ə u n e s k u
radicală	r a d i k a l ə
randul	r a n d u
reala	r e̯ a l a
rebel	r e b e l
rebreanu	r e b r e̯ a n u
reducă	r e d u k ə
refugiaților	r e f u d͡ʒ i a t͡s i l o r
renunț	r e n u n t͡s
rezolvare	r e z o l v a r e
rezolvată	r e z o l v a t ə
rezultată	r e z u l t a t ə
ritualul	r i t u a l u
rotile	r o t i l e
ruperea	r u p e r e̯ a
ruptă	r u p t ə
rupă	r u p ə
rutina	r u t i n a
răspândită	r ə s p ɨ n d i t ə
schitul	s k i t u
scrisului	s k r i s u l u j
sectoarele	s e k t o̯ a r e l e
shannon	ʃ a n n o n
sigura	s i ɡ u r a
silit	s i l i t
sistematică	s i s t e m a t i k ə
socializare	s o t͡ʃ i a l i z a r e
soldatul	s o l d a t u
solicitarea	s o l i t͡ʃ i t a r e̯ a
sound	s a w n d
stabile	s t a b i l e
stațiuni	s t a t͡s i u nʲ
sucul	s u k u
suediei	s u e d i e j
superman	s u p e r m a n
suprafata	s u p r a f a t a
sânul	s ɨ n u
săpat	s ə p a t
tematica	t e m a t i k a
tendințele	t e n d i n t͡s e l e
timotei	t i m o t e j
toleranță	t o l e r a n t͡s ə
transmită	t r a n s m i t ə
trevor	t r e v o r
trupurile	t r u p u r i l e
turnuri	t u r n u rʲ
umedă	u m e d ə
urmezi	u r m e zʲ
vast	v a s t
vindece	v i n d e t͡ʃ e
vizionat	v i z i o n a t
voturilor	v o t u r i l o r
vârfurile	v ɨ r f u r i l e
wild	w i l d
zburătoare	z b u r ə t o̯ a r e
împărți	ɨ m p ə r t͡sʲ
îndemână	ɨ n d e m ɨ n ə
îndepărtată	ɨ n d e p ə r t a t ə
îndreptăm	ɨ n d r e p t ə m
înființează	ɨ n f i i n t͡s e̯ a z ə
însemnând	ɨ n s e m n ɨ n d
întrerupere	ɨ n t r e r u p e r e
întreținut	ɨ n t r e t͡s i n u t
ținte	t͡s i n t e
abundente	a b u n d e n t e
achiziționate	a k i z i t͡s i o n a t e
acute	a k u t e
ada	a d a
adolescență	a d o l e s t͡ʃ e n t͡s ə
albine	a l b i n e
antrenamentul	a n t r e n a m e n t u
anunțul	a n u n t͡s u
apropiem	a p r o p i e m
aradului	a r a d u l u j
artele	a r t e l e
ascensiune	a s t͡ʃ e n s i u n e
atingeți	a t i n d͡ʒ e t͡sʲ
așezări	a ʃ e z ə rʲ
bateriile	b a t e r i i l e
beneficiari	b e n e f i t͡ʃ i a rʲ
beverly	b e v e r l i
buck	b u k
bud	b u d
băncile	b ə n t͡ʃ i l e
bătrânii	b ə t r ɨ n i j
băutura	b ə u t u r a
cabina	k a b i n a
calculele	k a l k u l e l e
calibru	k a l i b r u
capcană	k a p k a n ə
caracteristica	k a r a k t e r i s t i k a
cartierele	k a r t i e r e l e
cavaleri	k a v a l e rʲ
ceo	t͡ʃ e̯ o
cercetătorilor	t͡ʃ e r t͡ʃ e t ə t o r i l o r
chemarea	k e m a r e̯ a
chile	k i l e
circulației	t͡ʃ i r k u l a t͡s i e j
cizme	t͡ʃ i z m e
clasificarea	k l a s i f i k a r e̯ a
colonelului	k o l o n e l u l u j
comercializarea	k o m e r t͡ʃ i a l i z a r e̯ a
complicate	k o m p l i k a t e
concediat	k o n t͡ʃ e d i a t
concentrată	k o n t͡ʃ e n t r a t ə
concurent	k o n k u r e n t
concurență	k o n k u r e n t͡s ə
conectează	k o n e k t e̯ a z ə
constau	k o n s t a w
consumatorilor	k o n s u m a t o r i l o r
convingerea	k o n v i n d͡ʒ e r e̯ a
corupției	k o r u p t͡s i e j
criminali	k r i m i n a lʲ
criteriul	k r i t e r i u
cuceri	k u t͡ʃ e rʲ
cultivate	k u l t i v a t e
cultivă	k u l t i v ə
cunoștința	k u n o ʃ t i n t͡s a
cursei	k u r s e j
daruri	d a r u rʲ
demoni	d e m o nʲ
demonstreze	d e m o n s t r e z e
desemnează	d e s e m n e̯ a z ə
desenat	d e s e n a t
dinti	d i n t i
dominantă	d o m i n a n t ə
domnii	d o m n i j
domnitorul	d o m n i t o r u
duel	d u e l
dânsul	d ɨ n s u
editură	e d i t u r ə
efectului	e f e k t u l u j
evolua	e v o l u a
exceptând	e k s t͡ʃ e p t ɨ n d
faimosul	f a j m o s u
favorizează	f a v o r i z e̯ a z ə
fațada	f a t͡s a d a
fiilor	f i i l o r
ființei	f i i n t͡s e j
filozofia	f i l o z o f i a
firmele	f i r m e l e
force	f o r t͡ʃ e
formând	f o r m ɨ n d
franco	f r a n k o
generată	d͡ʒ e n e r a t ə
generoasă	d͡ʒ e n e r o̯ a s ə
gibson	d͡ʒ i b s o n
gina	d͡ʒ i n a
gradului	ɡ r a d u l u j
greață	ɡ r e̯ a t͡s ə
grupei	ɡ r u p e j
hip	h i p
homosexuali	h o m o s e k s u a lʲ
ieșind	j e ʃ i n d
imaginez	i m a d͡ʒ i n e z
implicare	i m p l i k a r e
incendiilor	i n t͡ʃ e n d i i l o r
indivizii	i n d i v i z i j
influențată	i n f l u e n t͡s a t ə
inițierea	i n i t͡s i e r e̯ a
instrumentelor	i n s t r u m e n t e l o r
interpreți	i n t e r p r e t͡sʲ
iohannis	j o h a n n i s
javier	ʒ a v j e r
jucând	ʒ u k ɨ n d
judiciară	ʒ u d i t͡ʃ i a r ə
land	l a n d
lată	l a t ə
luc	l u k
lucrători	l u k r ə t o rʲ
luminează	l u m i n e̯ a z ə
mars	m a r s
martiri	m a r t i rʲ
mascul	m a s k u
mentală	m e n t a l ə
michel	m i k e l
minoritate	m i n o r i t a t e
minoră	m i n o r ə
misionar	m i s i o n a r
mode	m o d e
mutare	m u t a r e
mănuși	m ə n u ʃʲ
mărită	m ə r i t ə
neoficial	n e o f i t͡ʃ i a l
norii	n o r i j
numească	n u m e̯ a s k ə
observatorul	o b s e r v a t o r u
orchestră	o r k e s t r ə
osul	o s u
pacat	p a k a t
pact	p a k t
palmares	p a l m a r e s
parohie	p a r o h i e
paști	p a ʃ tʲ
pensionare	p e n s i o n a r e
pornire	p o r n i r e
portland	p o r t l a n d
prefectul	p r e f e k t u
preliminar	p r e l i m i n a r
proasta	p r o̯ a s t a
profesionistă	p r o f e s i o n i s t ə
programarea	p r o ɡ r a m a r e̯ a
provoace	p r o v o̯ a t͡ʃ e
pământurile	p ə m ɨ n t u r i l e
recomandată	r e k o m a n d a t ə
rector	r e k t o r
reformele	r e f o r m e l e
reluarea	r e l u a r e̯ a
reparat	r e p a r a t
repaus	r e p a w s
respinse	r e s p i n s e
resturile	r e s t u r i l e
rochii	r o k i j
role	r o l e
ronald	r o n a l d
ruby	r u b i
răcit	r ə t͡ʃ i t
rănite	r ə n i t e
răpit	r ə p i t
satelitul	s a t e l i t u
sensibile	s e n s i b i l e
sesiuni	s e s i u nʲ
setul	s e t u
somnului	s o m n u l u j
sp	s p
spectru	s p e k t r u
spike	s p a j k
sporită	s p o r i t ə
spusele	s p u s e l e
square	s k w a r e
stela	s t e l a
stelare	s t e l a r e
stiam	s t i a m
stresul	s t r e s u
stroe	s t r o e
studențesc	s t u d e n t͡s e s k
succesiune	s u k t͡ʃ e s i u n e
supraviețuitor	s u p r a v j e t͡s u i t o r
supună	s u p u n ə
suveranitatea	s u v e r a n i t a t e̯ a
tensiunile	t e n s i u n i l e
tentativa	t e n t a t i v a
toyota	t o j o t a
trecuta	t r e k u t a
turului	t u r u l u j
umplu	u m p l u
und	u n d
următori	u r m ə t o rʲ
utilitate	u t i l i t a t e
vaci	v a t͡ʃʲ
variabilă	v a r i a b i l ə
vecinul	v e t͡ʃ i n u
vehiculele	v e h i k u l e l e
versus	v e r s u s
vizitei	v i z i t e j
vizitezi	v i z i t e zʲ
zilnică	z i l n i k ə
împărați	ɨ m p ə r a t͡sʲ
înceteze	ɨ n t͡ʃ e t e z e
închisorii	ɨ n k i s o r i j
îndreptată	ɨ n d r e p t a t ə
întreprinderilor	ɨ n t r e p r i n d e r i l o r
înțeleasă	ɨ n t͡s e l e̯ a s ə
înțelesul	ɨ n t͡s e l e s u
șirul	ʃ i r u
abordări	a b o r d ə rʲ
adu	a d u
ajunși	a ʒ u n ʃʲ
ajutând	a ʒ u t ɨ n d
albumului	a l b u m u l u j
amazon	a m a z o n
antologie	a n t o l o d͡ʒ i e
anunta	a n u n t a
arhitectural	a r h i t e k t u r a l
ascuțite	a s k u t͡s i t e
aterizat	a t e r i z a t
aviv	a v i v
axat	a k s a t
balanța	b a l a n t͡s a
bartolomeu	b a r t o l o m e w
bega	b e ɡ a
bruscă	b r u s k ə
brânza	b r ɨ n z a
bunicului	b u n i k u l u j
burton	b u r t o n
caci	k a t͡ʃʲ
calibrul	k a l i b r u
capacități	k a p a t͡ʃ i t ə t͡sʲ
cavalerul	k a v a l e r u
cheltuiala	k e l t u j a l a
clima	k l i m a
colaboratorii	k o l a b o r a t o r i j
comprimat	k o m p r i m a t
compun	k o m p u n
concluzii	k o n k l u z i j
concordia	k o n k o r d i a
consemnează	k o n s e m n e̯ a z ə
considerabile	k o n s i d e r a b i l e
contesa	k o n t e s a
coroană	k o r o̯ a n ə
costumele	k o s t u m e l e
creare	k r e̯ a r e
crystal	k r i s t a l
cumpărată	k u m p ə r a t ə
câștigăm	k ɨ ʃ t i ɡ ə m
darwin	d a r w i n
denotă	d e n o t ə
desființat	d e s f i i n t͡s a t
dificultățile	d i f i k u l t ə t͡s i l e
difuzarea	d i f u z a r e̯ a
dima	d i m a
dinastia	d i n a s t i a
diplomat	d i p l o m a t
discursului	d i s k u r s u l u j
documentară	d o k u m e n t a r ə
editoriale	e d i t o r i a l e
edituri	e d i t u rʲ
elaborată	e l a b o r a t ə
elliot	e l l i o t
enormă	e n o r m ə
estetice	e s t e t i t͡ʃ e
exercitarea	e ɡ z e r t͡ʃ i t a r e̯ a
familiale	f a m i l i a l e
ferrari	f e r a rʲ
fictive	f i k t i v e
furtuni	f u r t u nʲ
gerald	d͡ʒ e r a l d
greene	ɡ r e e n e
greșesc	ɡ r e ʃ e s k
gărzile	ɡ ə r z i l e
handicap	h a n d i k a p
holly	h o l i
horațiu	h o r a t͡s i w
hotarele	h o t a r e l e
ieremia	j e r e m i a
incendiul	i n t͡ʃ e n d i u
instalațiile	i n s t a l a t͡s i i l e
interesului	i n t e r e s u l u j
intimă	i n t i m ə
iranian	i r a n i a n
justiția	ʒ u s t i t͡s i a
kyle	k a j l
laterală	l a t e r a l ə
leac	l e̯ a k
legitim	l e d͡ʒ i t i m
limitarea	l i m i t a r e̯ a
locui	l o k u j
magazinului	m a ɡ a z i n u l u j
magdalena	m a ɡ d a l e n a
marini	m a r i nʲ
melodiile	m e l o d i i l e
menit	m e n i t
mixtă	m i k s t ə
mișcărilor	m i ʃ k ə r i l o r
modeste	m o d e s t e
mona	m o n a
monitorizarea	m o n i t o r i z a r e̯ a
mrs	m r e s
mărășești	m ə r ə ʃ e ʃ tʲ
natală	n a t a l ə
nazist	n a z i s t
neașteptate	n e a ʃ t e p t a t e
nevada	n e v a d a
nigel	n i d͡ʒ e l
nordului	n o r d u l u j
normă	n o r m ə
operaționale	o p e r a t͡s i o n a l e
oswald	o s w a l d
paie	p a j e
paradă	p a r a d ə
parametrii	p a r a m e t r i j
pascal	p a s k a l
pasiv	p a s i v
patriarhia	p a t r i a r h i a
patricia	p a t r i t͡ʃ i a
paște	p a ʃ t e
pelicula	p e l i k u l a
phillips	f i l i p s
pitic	p i t i k
plasarea	p l a s a r e̯ a
pluton	p l u t o n
poetice	p o e t i t͡ʃ e
pom	p o m
pomi	p o m i
populari	p o p u l a rʲ
prelungită	p r e l u n d͡ʒ i t ə
pretextul	p r e t e k s t u
primeste	p r i m e s t e
prince	p r i n t͡ʃ e
promoția	p r o m o t͡s i a
pronunțată	p r o n u n t͡s a t ə
pronunță	p r o n u n t͡s ə
provocând	p r o v o k ɨ n d
proza	p r o z a
pulmonar	p u l m o n a r
păstrezi	p ə s t r e zʲ
reface	r e f a t͡ʃ e
refugiat	r e f u d͡ʒ i a t
refăcut	r e f ə k u t
reprezentați	r e p r e z e n t a t͡sʲ
respiră	r e s p i r ə
retrase	r e t r a s e
revoluționare	r e v o l u t͡s i o n a r e
rezist	r e z i s t
ridici	r i d i t͡ʃʲ
rosie	r o s i e
rosii	r o s i j
răzbune	r ə z b u n e
salută	s a l u t ə
satana	s a t a n a
scriem	s k r i e m
scurs	s k u r s
secolelor	s e k o l e l o r
secvența	s e k v e n t͡s a
sim	s i m
sintetic	s i n t e t i k
spele	s p e l e
speranta	s p e r a n t a
spermă	s p e r m ə
spiru	s p i r u
stella	s t e l l a
străbătut	s t r ə b ə t u t
sugera	s u d͡ʒ e r a
supraviețuirea	s u p r a v j e t͡s u i r e̯ a
suspectat	s u s p e k t a t
suspendare	s u s p e n d a r e
taină	t a j n ə
talentat	t a l e n t a t
tina	t i n a
tonuri	t o n u rʲ
topit	t o p i t
tradusă	t r a d u s ə
treburi	t r e b u rʲ
treptele	t r e p t e l e
trimitem	t r i m i t e m
trofee	t r o f e e
tura	t u r a
unanimitate	u n a n i m i t a t e
urat	u r a t
valorificare	v a l o r i f i k a r e
valoroasă	v a l o r o̯ a s ə
vamale	v a m a l e
vasiliu	v a s i l j u
veterinară	v e t e r i n a r ə
viermi	v j e r mʲ
vitregă	v i t r e ɡ ə
vorbitori	v o r b i t o rʲ
vroiam	v r o j a m
vulturul	v u l t u r u
vânzărilor	v ɨ n z ə r i l o r
văduva	v ə d u v a
way	w e j
zoologică	z o o l o d͡ʒ i k ə
încercau	ɨ n t͡ʃ e r k a w
încurajează	ɨ n k u r a ʒ e̯ a z ə
încărcătură	ɨ n k ə r k ə t u r ə
înțelepciunea	ɨ n t͡s e l e p t͡ʃ u n e̯ a
știrea	ʃ t i r e̯ a
țesutul	t͡s e s u t u
țăran	t͡s ə r a n
absolvirea	a b s o l v i r e̯ a
accesa	a k t͡ʃ e s a
acoperiți	a k o p e r i t͡sʲ
acs	a k s
admitere	a d m i t e r e
adâncimea	a d ɨ n t͡ʃ i m e̯ a
afecteze	a f e k t e z e
age	a d͡ʒ e
agenților	a d͡ʒ e n t͡s i l o r
agresiune	a ɡ r e s i u n e
alimentat	a l i m e n t a t
amânată	a m ɨ n a t ə
andrews	a n d r u s
ankara	a n k a r a
antoine	a n t o i n e
antreprenor	a n t r e p r e n o r
aprobare	a p r o b a r e
arhitecți	a r h i t e k t͡sʲ
artistei	a r t i s t e j
asiatică	a s i a t i k ə
atacate	a t a k a t e
atingere	a t i n d͡ʒ e r e
aviației	a v i a t͡s i e j
bo	b o
brandon	b r a n d o n
bull	b u l
burke	b u r k e
bușteni	b u ʃ t e nʲ
bărci	b ə r t͡ʃʲ
bătrâna	b ə t r ɨ n a
calcă	k a l k ə
camelia	k a m e l i a
casnice	k a s n i t͡ʃ e
cazinou	k a z i n o w
certificatul	t͡ʃ e r t i f i k a t u
chandler	k a n d l e r
chester	k e s t e r
citez	t͡ʃ i t e z
clarence	k l a r e n t͡ʃ e
cluburilor	k l u b u r i l o r
combinată	k o m b i n a t ə
comercianți	k o m e r t͡ʃ i a n t͡sʲ
completează	k o m p l e t e̯ a z ə
complexitatea	k o m p l e k s i t a t e̯ a
comunale	k o m u n a l e
consultativ	k o n s u l t a t i v
corespondența	k o r e s p o n d e n t͡s a
cos	k o s
criticilor	k r i t i t͡ʃ i l o r
cumpărarea	k u m p ə r a r e̯ a
cunostinta	k u n o s t i n t a
câștigând	k ɨ ʃ t i ɡ ɨ n d
câștigătoarea	k ɨ ʃ t i ɡ ə t o̯ a r e̯ a
decesului	d e t͡ʃ e s u l u j
delegați	d e l e ɡ a t͡sʲ
descoperirile	d e s k o p e r i r i l e
descopăr	d e s k o p ə r
descurcă	d e s k u r k ə
deșeuri	d e ʃ e u rʲ
dinăuntru	d i n ə u n t r u
distribuie	d i s t r i b u j e
dragonul	d r a ɡ o n u
emisie	e m i s i e
epoci	e p o t͡ʃʲ
etnografie	e t n o ɡ r a f i e
eviți	e v i t͡sʲ
excepțională	e k s t͡ʃ e p t͡s i o n a l ə
extraterestru	e k s t r a t e r e s t r u
falls	f o l s
fantasy	f a n t a s i
fibră	f i b r ə
fixează	f i k s e̯ a z ə
folcloric	f o l k l o r i k
formale	f o r m a l e
fotbalistul	f o t b a l i s t u
fotografi	f o t o ɡ r a fʲ
franz	f r a n z
fraze	f r a z e
frontului	f r o n t u l u j
fusta	f u s t a
generator	d͡ʒ e n e r a t o r
ghiță	ɡ i t͡s ə
ideală	i d e̯ a l ə
impunerea	i m p u n e r e̯ a
imunitatea	i m u n i t a t e̯ a
inițiative	i n i t͡s i a t i v e
integritatea	i n t e ɡ r i t a t e̯ a
jaf	ʒ a f
kw	k u
lectura	l e k t u r a
lex	l e k s
lipsea	l i p s e̯ a
livrate	l i v r a t e
logice	l o d͡ʒ i t͡ʃ e
loialitatea	l o j a l i t a t e̯ a
lăcaș	l ə k a ʃ
magnitudinea	m a ɡ n i t u d i n e̯ a
malurile	m a l u r i l e
manevre	m a n e v r e
matematice	m a t e m a t i t͡ʃ e
mobilizat	m o b i l i z a t
monitorizare	m o n i t o r i z a r e
naturali	n a t u r a lʲ
nemții	n e m t͡s i j
neobișnuită	n e o b i ʃ n u i t ə
nicidecum	n i t͡ʃ i d e k u m
numeste	n u m e s t e
oglinzi	o ɡ l i n zʲ
onorific	o n o r i f i k
operațiunii	o p e r a t͡s i u n i j
orgasm	o r ɡ a s m
originalul	o r i d͡ʒ i n a l u
parohii	p a r o h i j
permisă	p e r m i s ə
permiteți	p e r m i t e t͡sʲ
pintea	p i n t e̯ a
popularitatea	p o p u l a r i t a t e̯ a
prag	p r a ɡ
preocupare	p r e o k u p a r e
preocupările	p r e o k u p ə r i l e
pretențiile	p r e t e n t͡s i i l e
prezentăm	p r e z e n t ə m
principesa	p r i n t͡ʃ i p e s a
procentul	p r o t͡ʃ e n t u
programate	p r o ɡ r a m a t e
protejați	p r o t e ʒ a t͡sʲ
puținii	p u t͡s i n i j
părului	p ə r u l u j
păstrez	p ə s t r e z
rahat	r a h a t
realizând	r e a l i z ɨ n d
redactarea	r e d a k t a r e̯ a
relativă	r e l a t i v ə
reprezentativă	r e p r e z e n t a t i v ə
richter	r i k t e r
riley	r i l i
rugați	r u ɡ a t͡sʲ
râsul	r ɨ s u
rămăsese	r ə m ə s e s e
sacre	s a k r e
santiago	s a n t i a ɡ o
scap	s k a p
scapa	s k a p a
scările	s k ə r i l e
secunda	s e k u n d a
secțiunii	s e k t͡s i u n i j
servere	s e r v e r e
silvic	s i l v i k
slujbele	s l u ʒ b e l e
solidaritate	s o l i d a r i t a t e
soți	s o t͡sʲ
spaniole	s p a n i o l e
speciilor	s p e t͡ʃ i i l o r
stelară	s t e l a r ə
stimularea	s t i m u l a r e̯ a
store	s t o r e
străzilor	s t r ə z i l o r
subiectele	s u b j e k t e l e
sudică	s u d i k ə
sufragerie	s u f r a d͡ʒ e r i e
sărbătorile	s ə r b ə t o r i l e
sărbătorită	s ə r b ə t o r i t ə
taxelor	t a k s e l o r
terasă	t e r a s ə
tipice	t i p i t͡ʃ e
titus	t i t u s
tr	t r
traiesc	t r a j e s k
transmitem	t r a n s m i t e m
trezim	t r e z i m
unitară	u n i t a r ə
vascular	v a s k u l a r
vechimea	v e k i m e̯ a
visez	v i s e z
vita	v i t a
vizitatorii	v i z i t a t o r i j
vizualizări	v i z u a l i z ə rʲ
vocale	v o k a l e
vultur	v u l t u r
wimbledon	w i m b l e d o n
zeelandă	z e e l a n d ə
zidit	z i d i t
zâmbește	z ɨ m b e ʃ t e
împlinirii	ɨ m p l i n i r i j
încorporat	ɨ n k o r p o r a t
întreprins	ɨ n t r e p r i n s
actuali	a k t u a lʲ
acuzația	a k u z a t͡s i a
acționar	a k t͡s i o n a r
admisă	a d m i s ə
aduca	a d u k a
adversarul	a d v e r s a r u
agitat	a d͡ʒ i t a t
alexis	a l e k s i s
anal	a n a l
anexe	a n e k s e
anulate	a n u l a t e
arghezi	a r ɡ e zʲ
argumentele	a r ɡ u m e n t e l e
ariel	a r i e l
artistă	a r t i s t ə
astronomice	a s t r o n o m i t͡ʃ e
balaci	b a l a t͡ʃʲ
balul	b a l u
barajul	b a r a ʒ u
benzina	b e n z i n a
biblică	b i b l i k ə
blonda	b l o n d a
bomboane	b o m b o̯ a n e
burns	b u r n s
bătută	b ə t u t ə
cadrele	k a d r e l e
canadian	k a n a d i a n
christos	k r i s t o s
citim	t͡ʃ i t i m
colecției	k o l e k t͡s i e j
concertului	k o n t͡ʃ e r t u l u j
consideri	k o n s i d e rʲ
contat	k o n t a t
continentul	k o n t i n e n t u
continuitatea	k o n t i n u i t a t e̯ a
convenit	k o n v e n i t
crează	k r e̯ a z ə
crești	k r e ʃ tʲ
crișana	k r i ʃ a n a
cucerească	k u t͡ʃ e r e̯ a s k ə
cunoscuta	k u n o s k u t a
cunoscutul	k u n o s k u t u
curvă	k u r v ə
căldurii	k ə l d u r i j
călătorească	k ə l ə t o r e̯ a s k ə
călătorește	k ə l ə t o r e ʃ t e
dansează	d a n s e̯ a z ə
densitatea	d e n s i t a t e̯ a
depline	d e p l i n e
dex	d e k s
dezastrul	d e z a s t r u
direcțiile	d i r e k t͡s i i l e
discutie	d i s k u t i e
dizabilități	d i z a b i l i t ə t͡sʲ
dolar	d o l a r
echilibrului	e k i l i b r u l u j
edwards	e d w a r d s
elsa	e l s a
estică	e s t i k ə
examinarea	e ɡ z a m i n a r e̯ a
exploatării	e k s p l o̯ a t ə r i j
exprim	e k s p r i m
exprime	e k s p r i m e
filologie	f i l o l o d͡ʒ i e
folclorul	f o l k l o r u
fondatorii	f o n d a t o r i j
freddie	f r e d d i e
frumusete	f r u m u s e t e
galaxia	ɡ a l a k s i a
geo	d͡ʒ e̯ o
germana	d͡ʒ e r m a n a
glen	ɡ l e n
gratuite	ɡ r a t u i t e
hastings	h a s t i n ɡ s
hranei	h r a n e j
ierburi	j e r b u rʲ
implice	i m p l i t͡ʃ e
impresionante	i m p r e s i o n a n t e
imunitate	i m u n i t a t e
incendii	i n t͡ʃ e n d i j
incredibile	i n k r e d i b i l e
influenței	i n f l u e n t͡s e j
inițiatorul	i n i t͡s i a t o r u
intereseaza	i n t e r e s e̯ a z a
intrebarea	i n t r e b a r e̯ a
investițiilor	i n v e s t i t͡s i i l o r
ist	i s t
italienii	i t a l i e n i j
iubeste	j u b e s t e
jucăriile	ʒ u k ə r i i l e
lansări	l a n s ə rʲ
laureat	l a w r e̯ a t
lavinia	l a v i n i a
lecturi	l e k t u rʲ
libia	l i b i a
lily	l i l i
listate	l i s t a t e
listei	l i s t e j
localnicilor	l o k a l n i t͡ʃ i l o r
lovească	l o v e̯ a s k ə
manifest	m a n i f e s t
manifeste	m a n i f e s t e
manifestările	m a n i f e s t ə r i l e
manuscrise	m a n u s k r i s e
martorilor	m a r t o r i l o r
masculine	m a s k u l i n e
mase	m a s e
maxima	m a k s i m a
mecanismele	m e k a n i s m e l e
memorii	m e m o r i j
mențiuni	m e n t͡s i u nʲ
minerală	m i n e r a l ə
minimum	m i n i m u m
minori	m i n o rʲ
moaștele	m o̯ a ʃ t e l e
monștri	m o n ʃ t r i
naționalei	n a t͡s i o n a l e j
obișnuia	o b i ʃ n u j a
organismelor	o r ɡ a n i s m e l o r
pacientului	p a t͡ʃ i e n t u l u j
pakistan	p a k i s t a n
panama	p a n a m a
parada	p a r a d a
parut	p a r u t
pascu	p a s k u
paste	p a s t e
pereților	p e r e t͡s i l o r
piloți	p i l o t͡sʲ
planificate	p l a n i f i k a t e
porturile	p o r t u r i l e
potențiale	p o t e n t͡s i a l e
pregătea	p r e ɡ ə t e̯ a
prelungiri	p r e l u n d͡ʒ i rʲ
premiate	p r e m i a t e
prevederilor	p r e v e d e r i l o r
producătorilor	p r o d u k ə t o r i l o r
profitând	p r o f i t ɨ n d
publicațiile	p u b l i k a t͡s i i l e
pulbere	p u l b e r e
pumnii	p u m n i j
raporturile	r a p o r t u r i l e
referendumul	r e f e r e n d u m u
reformelor	r e f o r m e l o r
remarca	r e m a r k a
repararea	r e p a r a r e̯ a
respectăm	r e s p e k t ə m
rezervația	r e z e r v a t͡s i a
romilor	r o m i l o r
rostit	r o s t i t
răsturnat	r ə s t u r n a t
scadă	s k a d ə
scandalul	s k a n d a l u
schemă	s k e m ə
scoateți	s k o̯ a t e t͡sʲ
scopurile	s k o p u r i l e
scrieți	s k r i e t͡sʲ
scurgere	s k u r d͡ʒ e r e
shane	ʃ a n e
shirley	ʃ i r l i
siberia	s i b e r i a
sintagma	s i n t a ɡ m a
situri	s i t u rʲ
socialistă	s o t͡ʃ i a l i s t ə
socialiștilor	s o t͡ʃ i a l i ʃ t i l o r
sonor	s o n o r
spider	s p i d e r
stareț	s t a r e t͡s
stricte	s t r i k t e
strălucit	s t r ə l u t͡ʃ i t
supraviețuiască	s u p r a v j e t͡s u j a s k ə
suspendarea	s u s p e n d a r e̯ a
susținător	s u s t͡s i n ə t o r
sărbătorește	s ə r b ə t o r e ʃ t e
sărăciei	s ə r ə t͡ʃ i e j
taberei	t a b e r e j
tentative	t e n t a t i v e
teologică	t e o l o d͡ʒ i k ə
terorism	t e r o r i s m
tezaur	t e z a u r
tipului	t i p u l u j
town	t a w n
transportă	t r a n s p o r t ə
troy	t r o j
trădat	t r ə d a t
turcesc	t u r t͡ʃ e s k
tăiere	t ə j e r e
uitate	u j t a t e
uleiul	u l e j u
ultimelor	u l t i m e l o r
umblat	u m b l a t
umiditate	u m i d i t a t e
vanessa	v a n e s a
varietatea	v a r i e t a t e̯ a
vegetală	v e d͡ʒ e t a l ə
vehiculelor	v e h i k u l e l o r
vindem	v i n d e m
vip	v i p
vizat	v i z a t
votului	v o t u l u j
zboare	z b o̯ a r e
îndrăgostiți	ɨ n d r ə ɡ o s t i t͡sʲ
adiționale	a d i t͡s i o n a l e
adrese	a d r e s e
albu	a l b u
ambasadei	a m b a s a d e j
anastasia	a n a s t a s i a
apelurile	a p e l u r i l e
apostolilor	a p o s t o l i l o r
arbitraj	a r b i t r a ʒ
arse	a r s e
aruncăm	a r u n k ə m
așteptau	a ʃ t e p t a w
barieră	b a r i e r ə
bauer	b a w e r
biografia	b i o ɡ r a f i a
bunei	b u n e j
bănuit	b ə n u i t
cabină	k a b i n ə
cadavre	k a d a v r e
calificate	k a l i f i k a t e
capacitățile	k a p a t͡ʃ i t ə t͡s i l e
capra	k a p r a
cartofii	k a r t o f i j
cedeze	t͡ʃ e d e z e
cernavodă	t͡ʃ e r n a v o d ə
chance	k a n t͡ʃ e
churchill	k u r k i l
circulat	t͡ʃ i r k u l a t
clientii	k l i e n t i j
clive	k l i v e
coandă	k o̯ a n d ə
componentelor	k o m p o n e n t e l o r
concentrate	k o n t͡ʃ e n t r a t e
condamnată	k o n d a m n a t ə
conexiunea	k o n e k s i u n e̯ a
confirmare	k o n f i r m a r e
confiscat	k o n f i s k a t
constructorul	k o n s t r u k t o r u
continuitate	k o n t i n u i t a t e
contradictorii	k o n t r a d i k t o r i j
conving	k o n v i n ɡ
copenhaga	k o p e n h a ɡ a
coroanei	k o r o̯ a n e j
crețu	k r e t͡s u
crudă	k r u d ə
culese	k u l e s e
cuțitul	k u t͡s i t u
cămașa	k ə m a ʃ a
căutam	k ə u t a m
dawson	d a w s o n
democrată	d e m o k r a t ə
democraților	d e m o k r a t͡s i l o r
descoperim	d e s k o p e r i m
dinafară	d i n a f a r ə
dispun	d i s p u n
dubii	d u b i j
dutch	d u t k
duși	d u ʃʲ
ecou	e k o w
