να	n a
κόψουμε	k o p s u m e
λαχανικών	l a x a n i k o n
λειτουργούσαν	l i t u ɾ ɣ u s a n
λεπτέσ	l e p t e s
λόλα	l o l a
μαγείρεμα	m a ʝ i ɾ e m a
μηνα	m i n a
μοντάζ	m o n d a z
μουσείων	m u s i o n
μουσικη	m u s i c i
μπιγκ	b i ŋ ɡ
μπορουσε	b o ɾ u s e
νήμα	n i m a
νιάρχοσ	ɲ a ɾ x o s
νικολόπουλοσ	n i k o l o p u l o s
νομίζαμε	n o m i z a m e
νομικόσ	n o m i k o s
νονόσ	n o n o s
ντάλασ	d a l a s
ντανιέλ	d a ɲ e l
ντου	d u
νόμιμοσ	n o m i m o s
ξανακάνω	k s a n a k a n o
ξεπούλημα	k s e p u l i m a
ξύδι	k s i ð i
οδόν	o ð o n
οθωμανικήσ	o θ o m a n i c i s
ομολόγησε	o m o l o ʝ i s e
ορατά	o ɾ a t a
οριακά	o ɾ i a k a
πάφο	p a f o
παλάμη	p a l a m i
πανελλήνιου	p a n e l i ɲ u
πανσέληνο	p a n s e l i n o
παράνοια	p a ɾ a n i a
παράσιτα	p a ɾ a s i t a
παραχωρήσει	p a ɾ a x o ɾ i s i
παριστάνει	p a ɾ i s t a n i
πατώματα	p a t o m a t a
πείσουν	p i s u n
περιπολικό	p e ɾ i p o l i k o
πιστέψετε	p i s t e p s e t e
πιστό	p i s t o
ποδιού	p o ð ʝ u
πολεμιστήσ	p o l e m i s t i s
ποσότητασ	p o s o t i t a s
πρίγκηπασ	p ɾ i ŋ ɟ i p a s
προτιμήσεισ	p ɾ o t i m i s i s
προφυλακτικά	p ɾ o f i l a k t i k a
πρωτοβάθμια	p ɾ o t o v a θ m ɲ a
πρόσφεραν	p ɾ o s f e ɾ a n
πυλών	p i l o n
πυρομαχικά	p i ɾ o m a ç i k a
πωλητήσ	p o l i t i s
πύργουσ	p i ɾ ɣ u s
ραδιοφωνική	ɾ a ð i o f o n i c i
ρατσισμού	ɾ a t͡s i z m u
σερβίρει	s e ɾ v i ɾ i
σεργκέι	s e ɾ ɟ e i̯
σηκωθείσ	s i k o θ i s
σημαίασ	s i m e a s
σκληρότητα	s k l i ɾ o t i t a
σοβαροί	s o v a ɾ i
σπαθιά	s p a θ ç a
στέλιο	s t e ʎ o
σταρκ	s t a ɾ k
στρογγυλή	s t ɾ o ŋ ɟ i l i
συγκυβέρνηση	s i ŋ ɟ i v e ɾ n i s i
συμμετοχών	s i m e t o x o n
συμπατριώτεσ	s i m b a t ɾ i o t e s
συνέβαλαν	s i n e v a l a n
συνήλθε	s i n i l θ e
συνασπισμού	s i n a s p i z m u
συνομιλιών	s i n o m i ʎ o n
συντηρητική	s i n d i ɾ i t i c i
σωθούν	s o θ u n
σύγχρονοι	s i ŋ x ɾ o n i
ταγματάρχη	t a ɣ m a t a ɾ ç i
τρένου	t ɾ e n u
τραγουδώντασ	t ɾ a ɣ u ð o n d a s
τραγωδίεσ	t ɾ a ɣ o ð i e s
τροχό	t ɾ o x o
τρώγοντασ	t ɾ o ɣ o n d a s
τυφώνα	t i f o n a
τόσοσ	t o s o s
φιλέτο	f i l e t o
φυλάει	f i l a i
φωνάξω	f o n a k s o
φόνοσ	f o n o s
χαμένεσ	x a m e n e s
χειρουργικήσ	ç i ɾ u ɾ ʝ i c i s
χιλιοστών	ç i ʎ o s t o n
χιονιού	ç o ɲ u
χιόνια	ç o ɲ a
χρονου	x ɾ o n u
χτισμένο	x t i z m e n o
χωρίζονται	x o ɾ i z o n d e
χωρικών	x o ɾ i k o n
ψητό	p s i t o
ωραιο	o ɾ e o
όρισε	o ɾ i s e
hill	h i l
ice	a j s
limited	l i m i t e d
personal	p e ɾ s o n a l
politics	p o l i t i k s
touch	t u t͡ʃ
άγριοσ	a ɣ ɾ i o s
άπειρεσ	a p i ɾ e s
άφθονο	a f θ o n o
έλεγχό	e l e ŋ x o
έπαθαν	e p a θ a n
αίθουσασ	e θ u s a s
αγροτικού	a ɣ ɾ o t i k u
αγωνίστηκαν	a ɣ o n i s t i k a n
αδερφοί	a ð e ɾ f i
αδύναμο	a ð i n a m o
αιχμαλώτουσ	e x m a l o t u s
ακολουθούσαν	a k o l u θ u s a n
ακραίο	a k ɾ e o
αλλάζοντασ	a l a z o n d a s
αλόγου	a l o ɣ u
αμάξια	a m a k s ç a
ανέμων	a n e m o n
ανατροπήσ	a n a t ɾ o p i s
αναφέρετε	a n a f e ɾ e t e
ανοίγματα	a n i ɣ m a t a
ανοικτέσ	a n i k t e s
αντίστροφο	a n d i s t ɾ o f o
ανταρτών	a n d a ɾ t o n
απλών	a p l o n
αποκλεισμού	a p o k l i z m u
αποκλειστεί	a p o k l i s t i
αποκτήσουμε	a p o k t i s u m e
αποτρίχωση	a p o t ɾ i x o s i
απόλλωνασ	a p o l o n a s
απόπειρεσ	a p o p i ɾ e s
απόχρωση	a p o x ɾ o s i
αραβική	a ɾ a v i c i
αργολίδα	a ɾ ɣ o l i ð a
αριθ	a ɾ i θ
αριθμητική	a ɾ i θ m i t i c i
αρμόδιοσ	a ɾ m o ð i o s
ασταθήσ	a s t a θ i s
αυτοκόλλητα	a f t o k o l i t a
αυτονόητο	a f t o n o i t o
αυτοψία	a f t o p s i a
αυτόνομο	a f t o n o m o
αφαίρεσε	a f e ɾ e s e
βέτο	v e t o
βοιωτία	v i o t i a
βουλιαγμένησ	v u ʎ a ɣ m e n i s
γάλλου	ɣ a l u
γεεθα	ʝ e e θ a
γιορτάζεται	ʝ o ɾ t a z e t e
δέοσ	ð e o s
δείξετε	ð i k s e t e
διάβασεσ	ð i̯ a v a s e s
διάδρομοσ	ð i̯ a ð ɾ o m o s
διαλέγεισ	ð i̯ a l e ʝ i s
διαμέσου	ð i̯ a m e s u
διαρροέσ	ð i̯ a ɾ o e s
διηγήματα	ð i i ʝ i m a t a
διονύσιοσ	ð i o n i s i o s
διπλού	ð i p l u
δουλεύοντασ	ð u l e v o n d a s
δράκο	ð ɾ a k o
δράσεων	ð ɾ a s e o n
δώσατε	ð o s a t e
εγκριθεί	e ŋ ɡ ɾ i θ i
ειλικρινή	i l i k ɾ i n i
εκθέσεων	e k θ e s e o n
εκμεταλλεύεται	e k m e t a l e v e t e
ελέγξετε	e l e ŋ k s e t e
ελατε	e l a t e
ελεγκτέσ	e l e ŋ ɡ t e s
ενδεικτικό	e n ð i k t i k o
ενισχύεται	e n i s ç i e t e
ενωση	e n o s i
εξαπλώνεται	e k s a p l o n e t e
εξεταστική	e k s e t a s t i c i
εξορία	e k s o ɾ i a
επιμένεισ	e p i m e n i s
επιμελητηρίου	e p i m e l i t i ɾ i u
επιστρέψετε	e p i s t ɾ e p s e t e
επομενη	e p o m e n i
ερασιτέχνησ	e ɾ a s i t e x n i s
εργοδότεσ	e ɾ ɣ o ð o t e s
εστί	e s t i
ετοίμασε	e t i m a s e
ευχαριστημένοι	e f x a ɾ i s t i m e n i
εχθρική	e x θ ɾ i c i
ζητήματοσ	z i t i m a t o s
ηλεκτρικών	i l e k t ɾ i k o n
ημιχρόνου	i m i x ɾ o n u
θάμνουσ	θ a m n u s
θεμέλιο	θ e m e ʎ o
θεου	θ e u
θυμού	θ i m u
ιαπωνική	i a p o n i c i
ιατροί	i a t ɾ i
ιβ	i v
ισοτιμία	i s o t i m i a
κάηκαν	k a i k a n
κάτια	k a t ç a
κέρμα	c e ɾ m a
καίσαρασ	c e s a ɾ a s
καθίσταται	k a θ i s t a t e
κακάο	k a k a o
καμ	k a m
καταλήξαμε	k a t a l i k s a m e
κατανοώ	k a t a n o o
καταρράκτεσ	k a t a ɾ a k t e s
καταστήσει	k a t a s t i s i
κατασχέθηκαν	k a t a s ç e θ i k a n
κατηγορηθεί	k a t i ɣ o ɾ i θ i
κεελπνο	c e e l p n o
κηλίδεσ	c i l i ð e s
κοιμόμαστε	c i m o m a s t e
κονδύλια	k o n ð i ʎ a
κριθεί	k ɾ i θ i
κυμάτων	c i m a t o n
κυρίαρχοσ	c i ɾ i a ɾ x o s
κυριοσ	c i ɾ i o s
λέσβοσ	l e z v o s
λίθοσ	l i θ o s
λίτρο	l i t ɾ o
λαζάρου	l a z a ɾ u
λανθασμένα	l a n θ a z m e n a
λιβάδι	l i v a ð i
λυπούμαστε	l i p u m a s t e
μακρόχρονη	m a k ɾ o x ɾ o n i
μερικώσ	m e ɾ i k o s
μεσογείων	m e s o ʝ i o n
μετάλλαξη	m e t a l a k s i
μητρώου	m i t ɾ o u
μοίρασε	m i ɾ a s e
μπάζα	b a z a
μπάσο	b a s o
μπανάνεσ	b a n a n e s
μπιλμπάο	b i l b a o
μπλουζάκια	b l u z a c a
μπραβο	b ɾ a v o
μπόρισ	b o ɾ i s
μυθιστορήματα	m i θ i s t o ɾ i m a t a
ναυπάκτου	n a f p a k t u
νόρμαν	n o ɾ m a n
νόστιμη	n o s t i m i
ξεκινάνε	k s e c i n a n e
ξενώνα	k s e n o n a
ξηράσ	k s i ɾ a s
οίκουσ	i k u s
οδύσσεια	o ð i s i a
οθόνησ	o θ o n i s
οικισμών	i c i z m o n
ομιλητήσ	o m i l i t i s
ονειρεύονται	o n i ɾ e v o n d e
οσμή	o z m i
ουδέν	u ð e n
πάντειο	p a n d i o
πάσ	p a s
πένα	p e n a
παιδαγωγική	p e ð a ɣ o ʝ i c i
πανηγυρίζει	p a n i ʝ i ɾ i z i
παραδίδεται	p a ɾ a ð i ð e t e
παρακαλούνται	p a ɾ a k a l u n d e
παρακολουθήστε	p a ɾ a k o l u θ i s t e
παρομοίωσ	p a ɾ o m i o s
πατήσω	p a t i s o
πείθει	p i θ i
πεπρωμένο	p e p ɾ o m e n o
περούκα	p e ɾ u k a
πετρόπουλοσ	p e t ɾ o p u l o s
πολέμησαν	p o l e m i s a n
πορτογάλοσ	p o ɾ t o ɣ a l o s
πραγματικούσ	p ɾ a ɣ m a t i k u s
προέβη	p ɾ o e v i
προέδρων	p ɾ o e ð ɾ o n
προβλήθηκε	p ɾ o v l i θ i c e
προβληματα	p ɾ o v l i m a t a
προκριματικό	p ɾ o k ɾ i m a t i k o
προσγείωσησ	p ɾ o z ʝ i o s i s
προσωπο	p ɾ o s o p o
πρόβλημά	p ɾ o v l i m a
πτηνών	p t i n o n
πυρκαγιών	p i ɾ k a ʝ o n
πόντων	p o n d o n
ρέντη	ɾ e n d i
ρίξετε	ɾ i k s e t e
ρολό	ɾ o l o
ρωτήσουν	ɾ o t i s u n
ρώσο	ɾ o s o
σέντρα	s e n d ɾ a
σκεπτικό	s c e p t i k o
σκεύη	s c e v i
σκλάβουσ	s k l a v u s
σκοπού	s k o p u
σουν	s u n
σπονδυλική	s p o n ð i l i c i
στίβο	s t i v o
στηρίζουμε	s t i ɾ i z u m e
συναντηθούμε	s i n a n d i θ u m e
συνδρομητέσ	s i n ð ɾ o m i t e s
συνταγματικό	s i n d a ɣ m a t i k o
σχεδίασησ	s ç e ð i a s i s
τέταρτοσ	t e t a ɾ t o s
ταφή	t a f i
τεκμήριο	t e k m i ɾ i o
τρελάνει	t ɾ e l a n i
τσακαλώτοσ	t͡s a k a l o t o s
τυχαίνει	t i ç e n i
υδρογονανθράκων	i ð ɾ o ɣ o n a n θ ɾ a k o n
υδρογόνου	i ð ɾ o ɣ o n u
υπάρχεισ	i p a ɾ ç i s
υποκριτική	i p o k ɾ i t i c i
υποστήριζε	i p o s t i ɾ i z e
υπουργικού	i p u ɾ ʝ i k u
φάρο	f a ɾ o
φάσματοσ	f a z m a t o s
φα	f a
φανερά	f a n e ɾ a
φιλαδέλφειασ	f i l a ð e l f i a s
φιλελεύθεροι	f i l e l e f θ e ɾ i
φοβερόσ	f o v e ɾ o s
φροντίζουν	f ɾ o n d i z u n
φωνάζοντασ	f o n a z o n d a s
φωτισμού	f o t i z m u
χαμηλών	x a m i l o n
χαρακτηρισμόσ	x a ɾ a k t i ɾ i z m o s
χαφ	x a f
χολ	x o l
χοληστερίνη	x o l i s t e ɾ i n i
χορηγείται	x o ɾ i ʝ i t e
ψηφιακήσ	p s i f i a c i s
όργιο	o ɾ ʝ o
όριά	o ɾ ʝ a
amazon	a m a z o n
charlie	t͡ʃ a ɾ l i
he	h e
kit	k i t
things	θ i ŋ s
tony	t o n i
yo	j o
άσ	a s
άτυχοσ	a t i x o s
άφηναν	a f i n a n
άψογη	a p s o ʝ i
ίσεσ	i s e s
αβίβ	a v i v
αγαθό	a ɣ a θ o
αγγείων	a ŋ ɟ i o n
αδυνατεί	a ð i n a t i
αιωνιότητα	e o ɲ o t i t a
ακοήσ	a k o i s
ακολουθείτε	a k o l u θ i t e
ανίχνευσησ	a n i x n e f s i s
αναγκάσει	a n a ŋ ɡ a s i
αναγκάστηκαν	a n a ŋ ɡ a s t i k a n
αναγνωρίσουν	a n a ɣ n o ɾ i s u n
ανεξέλεγκτη	a n e k s e l e ŋ ɡ t i
αντιμέτωποι	a n d i m e t o p i
αντιπροσωπείασ	a n d i p ɾ o s o p i a s
απαλό	a p a l o
αποδείξουν	a p o ð i k s u n
αποκατασταθεί	a p o k a t a s t a θ i
αποκλείσει	a p o k l i s i
απορρίπτεται	a p o ɾ i p t e t e
αποστόλων	a p o s t o l o n
αποφασίσω	a p o f a s i s o
αποψε	a p o p s e
αρχίζοντασ	a ɾ ç i z o n d a s
αρωματικά	a ɾ o m a t i k a
βάλτο	v a l t o
βήχα	v i x a
βίγκαν	v i ŋ ɡ a n
βαλε	v a l e
βαρύσ	v a ɾ i s
βιασμού	v i a z m u
βομβαρδισμό	v o ɱ v a ɾ ð i z m o
βρετανούσ	v ɾ e t a n u s
βρισκεται	v ɾ i s c e t e
γιαννακόπουλοσ	ʝ a n a k o p u l o s
γράφτηκαν	ɣ ɾ a f t i k a n
γυναικων	ʝ i n e k o n
δένει	ð e n i
δαίμονα	ð e m o n a
δαβίδ	ð a v i ð
δεμένα	ð e m e n a
δημιουργήσεισ	ð i m i u ɾ ʝ i s i s
δημιουργηθούν	ð i m i u ɾ ʝ i θ u n
δημιουργού	ð i m i u ɾ ɣ u
διαγράμματα	ð i̯ a ɣ ɾ a m a t a
διαλέξτε	ð i̯ a l e k s t e
διαπράξει	ð i̯ a p ɾ a k s i
διασκεδάζει	ð i̯ a s c e ð a z i
δικα	ð i k a
δορυφορική	ð o ɾ i f o ɾ i c i
δυσάρεστη	ð i s a ɾ e s t i
δόκτωρ	ð o k t o ɾ
δύναται	ð i n a t e
εγκαταστάθηκε	e ŋ ɡ a t a s t a θ i c e
εγωισμό	e ɣ o i z m o
εικ	i k
εικαστικών	i k a s t i k o n
εισέβαλαν	i s e v a l a n
εκλογεσ	e k l o ʝ e s
εκρηκτική	e k ɾ i k t i c i
εκτέλεσε	e k t e l e s e
εκτελείται	e k t e l i t e
εκτιμήσει	e k t i m i s i
ενοικίαση	e n i c i a s i
ενστάσεισ	e n s t a s i s
εντάσσονται	e n d a s o n d e
εντάχθηκε	e n d a x θ i c e
εξέτασε	e k s e t a s e
εξέτασησ	e k s e t a s i s
εξαπλωθεί	e k s a p l o θ i
εξουσίεσ	e k s u s i e s
επένδυσησ	e p e n ð i s i s
επαφών	e p a f o n
επηρεαστεί	e p i ɾ e a s t i
επικοινωνούν	e p i c i n o n u n
επιλέγεισ	e p i l e ʝ i s
επιχειρηματικό	e p i ç i ɾ i m a t i k o
εραστήσ	e ɾ a s t i s
εργατικών	e ɾ ɣ a t i k o n
εργοδότη	e ɾ ɣ o ð o t i
ευρωμπάσκετ	e v ɾ o b a s c e t
ευτυχισμένα	e f t i ç i z m e n a
εφεύρεση	e f e v ɾ e s i
εχθρικό	e x θ ɾ i k o
ζητούμενο	z i t u m e n o
ηλικιών	i l i c o n
θαλασσινό	θ a l a s i n o
θεώ	θ e o
θρυλικό	θ ɾ i l i k o
ιδρυτή	i ð ɾ i t i
ιστορικούσ	i s t o ɾ i k u s
ιστών	i s t o n
κάστρα	k a s t ɾ a
καθεστώτα	k a θ e s t o t a
καθοριστική	k a θ o ɾ i s t i c i
καιρικών	c e ɾ i k o n
καναπέσ	k a n a p e s
καπετάν	k a p e t a n
καταγράψει	k a t a ɣ ɾ a p s i
καταπληκτικά	k a t a p l i k t i k a
κατασκευασμένα	k a t a s c e v a z m e n a
κατώτερο	k a t o t e ɾ o
καυτά	k a f t a
καφέδεσ	k a f e ð e s
κιθάρασ	c i θ a ɾ a s
κλασικήσ	k l a s i c i s
κλοντ	k l o n d
κολοκοτρώνη	k o l o k o t ɾ o n i
κομματάκια	k o m a t a c a
κοντεύει	k o n d e v i
κουνούπια	k u n u p ç a
κρίστι	k ɾ i s t i
κτίσμα	k t i z m a
κυβικά	c i v i k a
κυνηγήσει	c i n i ʝ i s i
κωνσταντινίδησ	k o n s t a n d i n i ð i s
λάρι	l a ɾ i
λίβανο	l i v a n o
λαυρίου	l a v ɾ i u
λεπτομερώσ	l e p t o m e ɾ o s
λιούισ	ʎ u i s
λύτρωση	l i t ɾ o s i
μάρκουσ	m a ɾ k u s
μίνα	m i n a
μαζεύονται	m a z e v o n d e
μαρ	m a ɾ
μαρίνοσ	m a ɾ i n o s
μεγάρου	m e ɣ a ɾ u
μεγαλώνεισ	m e ɣ a l o n i s
μετέχουν	m e t e x u n
μητροπολιτικό	m i t ɾ o p o l i t i k o
μοιρών	m i ɾ o n
μορίων	m o ɾ i o n
μοσχάρι	m o s x a ɾ i
μπάντασ	b a n d a s
μπαλόνι	b a l o n i
μπρούκλιν	b ɾ u k l i n
μωυσή	m o f s i
μόνιμοσ	m o n i m o s
νάντια	n a n d i a
ξένου	k s e n u
ξαναγίνει	k s a n a ʝ i n i
ξεπεράσεισ	k s e p e ɾ a s i s
ομορφη	o m o ɾ f i
ομοφυλόφιλοσ	o m o f i l o f i l o s
οντότητεσ	o n d o t i t e s
οργήσ	o ɾ ʝ i s
πέπλο	p e p l o
παλαιότερη	p a l e o t e ɾ i
παλικάρια	p a l i k a ɾ ʝ a
παραδείγματοσ	p a ɾ a ð i ɣ m a t o s
παρακολουθούσαν	p a ɾ a k o l u θ u s a n
παχύ	p a ç i
πεντε	p e n d e
περιουσιακά	p e ɾ i u s i a k a
πετύχαμε	p e t i x a m e
πηρα	p i ɾ a
πλήρεισ	p l i ɾ i s
πλαγιά	p l a ʝ a
ποιούσ	p i u s
πολύπλοκη	p o l i p l o c i
πορτρέτο	p o ɾ t ɾ e t o
ποτών	p o t o n
πουλάσ	p u l a s
πράσινεσ	p ɾ a s i n e s
πραγματοποιούν	p ɾ a ɣ m a t o p i u n
προορίζονται	p ɾ o o ɾ i z o n d e
προχωρήσουν	p ɾ o x o ɾ i s u n
προχωρούν	p ɾ o x o ɾ u n
πρότειναν	p ɾ o t i n a n
πωλητέσ	p o l i t e s
ραμόν	ɾ a m o n
ρόδεσ	ɾ o ð e s
ρόλων	ɾ o l o n
σάκη	s a c i
σέρβισ	s e ɾ v i s
σερβιτόροσ	s e ɾ v i t o ɾ o s
σημειο	s i m i o
σιγή	s i ʝ i
σκάι	s k a i
σκοπίων	s k o p i o n
σουλτάνοσ	s u l t a n o s
στέκονται	s t e k o n d e
σταματάμε	s t a m a t a m e
στενόσ	s t e n o s
στοματικό	s t o m a t i k o
συγκαταλέγεται	s i ŋ ɡ a t a l e ʝ e t e
συμβόλων	s i ɱ v o l o n
συμπαθείσ	s i m b a θ i s
συμπληρώνει	s i m b l i ɾ o n i
συμφωνιών	s i ɱ f o ɲ o n
συνήθεισ	s i n i θ i s
συναντάσ	s i n a n d a s
συνείδησή	s i n i ð i s i
συνεισφέρει	s i n i s f e ɾ i
συνεργαστούν	s i n e ɾ ɣ a s t u n
συχνοτήτων	s i x n o t i t o n
σχηματίζεται	s ç i m a t i z e t e
σύγχρονουσ	s i ŋ x ɾ o n u s
σύμμαχο	s i m a x o
σύμπτωμα	s i m p t o m a
τάσου	t a s u
τίμιο	t i m ɲ o
ταινια	t e ɲ a
τακούνια	t a k u ɲ a
ταμπού	t a m b u
ταχυδρομείου	t a ç i ð ɾ o m i u
τεύχη	t e f ç i
τηλεφωνίασ	t i l e f o n i a s
τοπικοί	t o p i c i
τοπικόσ	t o p i k o s
τουρκικόσ	t u ɾ c i k o s
τρέιλερ	t ɾ e i̯ l e ɾ
τρίποντα	t ɾ i p o n d a
τραυματιστεί	t ɾ a v m a t i s t i
τριαντάφυλλα	t ɾ i a n d a f i l a
τσαγιού	t͡s a ʝ u
υπόψιν	i p o p s i n
φίλαθλοι	f i l a θ l i
φακέλουσ	f a c e l u s
φαρμάκου	f a ɾ m a k u
φαρσάλων	f a ɾ s a l o n
φιλοσ	f i l o s
φιλόσοφοι	f i l o s o f i
φοίνικα	f i n i k a
φοίνιξ	f i n i k s
φορολόγηση	f o ɾ o l o ʝ i s i
χαμογελάει	x a m o ʝ e l a i
ψάξουν	p s a k s u n
όρασησ	o ɾ a s i s
όρθιο	o ɾ θ i o
chat	t͡ʃ a t
hit	h i t
mario	m a ɾ j o
sec	s ɛ k
spa	s p a
spd	e s p e d e
thessaloniki	t e s a l o n i k i
ufo	u f o
very	v e ɾ i
άφιξή	a f i k s i
έβρισκαν	e v ɾ i s k a n
έπιανε	e p ç a n e
έπινα	e p i n a
έρωτεσ	e ɾ o t e s
έφτιαχνε	e f t ç a x n e
αγγέλουσ	a ŋ ɟ e l u s
αγιο	a ʝ o
αγοράστε	a ɣ o ɾ a s t e
αγοραστή	a ɣ o ɾ a s t i
αγωγόσ	a ɣ o ɣ o s
αθηναίοσ	a θ i n e o s
αμέλεια	a m e ʎ a
αναγκαιότητα	a n a ŋ ɟ e o t i t a
ανακτήθηκε	a n a k t i θ i c e
ανακτήσει	a n a k t i s i
αναλογικά	a n a l o ʝ i k a
ανοικτού	a n i k t u
ανοιχτού	a n i x t u
αντέξω	a n d e k s o
αξιώσεισ	a k s i o s i s
αποσύρθηκε	a p o s i ɾ θ i c e
απόλαυσε	a p o l a f s e
αρθρογράφοσ	a ɾ θ ɾ o ɣ ɾ a f o s
αρχαιολογίασ	a ɾ ç e o l o ʝ i a s
ασύλου	a s i l u
αυθόρμητα	a f θ o ɾ m i t a
αυξημένα	a f k s i m e n a
αυτοκινητο	a f t o c i n i t o
βίσση	v i s i
βαγδάτη	v a ɣ ð a t i
βαθμίδεσ	v a θ m i ð e s
βενετίασ	v e n e t i a s
βυζαντίου	v i z a n d i u
γίγαντεσ	ʝ i ɣ a n d e s
γενετικό	ʝ e n e t i k o
γεωγραφικά	ʝ e o ɣ ɾ a f i k a
γινόμουν	ʝ i n o m u n
γκέτο	ɟ e t o
γκαρντ	ɡ a ɾ d
γνώμησ	ɣ n o m i s
γονίδιο	ɣ o n i ð i o
γουάιτ	ɣ u a i̯ t
γουέλσ	ɣ u e l s
δάσκαλε	ð a s k a l e
δένδρα	ð e n ð ɾ a
δέσμη	ð e z m i
δασικέσ	ð a s i c e s
δεσπόζει	ð e s p o z i
δεύτερεσ	ð e f t e ɾ e s
δημοσιότητασ	ð i m o s i o t i t a s
διάδοχο	ð i̯ a ð o x o
διάλογοι	ð i̯ a l o ʝ i
διαβάσουμε	ð i̯ a v a s u m e
διαδικτυακό	ð i̯ a ð i k t i a k o
διαθέσεισ	ð i̯ a θ e s i s
διαστημική	ð i̯ a s t i m i c i
διαταραχών	ð i̯ a t a ɾ a x o n
διεύρυνση	ð i e v ɾ i n s i
δοκιμασίεσ	ð o c i m a s i e s
δράκου	ð ɾ a k u
δυνατούσ	ð i n a t u s
δωσ	ð o s
εγγραφήσ	e ŋ ɣ r a f i s
ειδικα	i ð i k a
ειρωνικό	i ɾ o n i k o
εκπέμπουν	e k p e m b u n
ελάφρυνση	e l a f ɾ i n s i
ελέγχουμε	e l e ŋ x u m e
ελαστικά	e l a s t i k a
ελαστικών	e l a s t i k o n
ελεγε	e l e ʝ e
ελευθεροτυπία	e l e f θ e ɾ o t i p i a
ελληνικησ	e l i n i c i s
ελληνικοί	e l i n i c i
εμπάργκο	e m b a ɾ ɡ o
ενδιαφέρουσεσ	e n ð i̯ a f e ɾ u s e s
εννοω	e n o o
ενταχθούν	e n d a x θ u n
εντοπίζει	e n d o p i z i
ενωθούν	e n o θ u n
εξαιρετικήσ	e k s e ɾ e t i c i s
εορτάζει	e o ɾ t a z i
επιλεγμένα	e p i l e ɣ m e n a
επιλογών	e p i l o ɣ o n
επιτραπέζια	e p i t ɾ a p e z i a
επιχειρηματικότητασ	e p i ç i ɾ i m a t i k o t i t a s
εσασ	e s a s
εταιρεια	e t e ɾ i a
ευαίσθητα	e v e s θ i t a
ευγενικοί	e v ʝ e n i c i
ευλογημένη	e v l o ʝ i m e n i
θεραπευτικέσ	θ e ɾ a p e f t i c e s
θεώρημα	θ e o ɾ i m a
ιαπωνικά	i a p o n i k a
ιδιοκτήτρια	i ð i o k t i t ɾ i a
ινών	i n o n
καθορίζονται	k a θ o ɾ i z o n d e
καλημερα	k a l i m e ɾ a
καλλιτεχνικήσ	k a l i t e x n i c i s
καλλονή	k a l o n i
καλύπτοντασ	k a l i p t o n d a s
καρπενήσι	k a ɾ p e n i s i
καταβάλει	k a t a v a l i
κατακτητέσ	k a t a k t i t e s
καταλαμβάνουν	k a t a l a ɱ v a n u n
κατανόησησ	k a t a n o i s i s
καταραμένη	k a t a ɾ a m e n i
καταργεί	k a t a ɾ ʝ i
καταστροφικέσ	k a t a s t ɾ o f i c e s
καταστροφών	k a t a s t ɾ o f o n
κηδεμονία	c i ð e m o n i a
κηρύξει	c i ɾ i k s i
κουλουράκια	k u l u ɾ a c a
κρίσιμα	k ɾ i s i m a
κριστίν	k ɾ i s t i n
κριτήσ	k ɾ i t i s
κρυφέσ	k ɾ i f e s
κτίσματα	k t i z m a t a
λαγκάρντ	l a ŋ ɡ a ɾ d
λαμπερά	l a b e ɾ a
λειτουργήσουν	l i t u ɾ ʝ i s u n
λεσβία	l e z v i a
λογοσ	l o ɣ o s
μάκη	m a c i
μαχητών	m a ç i t o n
μεγαλώνοντασ	m e ɣ a l o n o n d a s
μερίδεσ	m e ɾ i ð e s
μερικα	m e ɾ i k a
μεσιέ	m e s ç e
μετάβασησ	m e t a v a s i s
μεταλλεία	m e t a l i a
μεταξάσ	m e t a k s a s
μετατόπιση	m e t a t o p i s i
μικ	m i k
μικτή	m i k t i
μπαλάκι	b a l a c i
μπλογκ	b l o ŋ ɡ
μπορέσετε	b o ɾ e s e t e
μπουκιά	b u c a
μόνιμοι	m o n i m i
νάνοσ	n a n o s
νεάπολη	n e a p o l i
νεοελληνικήσ	n e o e l i n i c i s
νερών	n e ɾ o n
νεφώσεισ	n e f o s i s
ντοκουμέντα	d o k u m e n d a
ξαφνικό	k s a f n i k o
ξεπεράσω	k s e p e ɾ a s o
οικογενείασ	i k o ʝ e n i a s
ολλανδίασ	o l a n ð i a s
οπλα	o p l a
ορφανοτροφείο	o ɾ f a n o t ɾ o f i o
ορχήστρασ	o ɾ ç i s t ɾ a s
παλεύουμε	p a l e v u m e
παραδοθούν	p a ɾ a ð o θ u n
παρατηρητέσ	p a ɾ a t i ɾ i t e s
παρωδία	p a ɾ o ð i a
περίπλοκο	p e ɾ i p l o k o
περιττά	p e ɾ i t a
πεύκα	p e f k a
πιλότοι	p i l o t i
πιρούνι	p i ɾ u n i
πλακάκια	p l a k a c a
πολέμων	p o l e m o n
πολιτικησ	p o l i t i c i s
πονοκέφαλοσ	p o n o c e f a l o s
πραγματικήσ	p ɾ a ɣ m a t i c i s
προήλθαν	p ɾ o i l θ a n
προβολείσ	p ɾ o v o l i s
προδοσίασ	p ɾ o ð o s i a s
προλάβουν	p ɾ o l a v u n
προσγειώθηκε	p ɾ o z ʝ i o θ i c e
προσωπικούσ	p ɾ o s o p i k u s
πρόθυμοσ	p ɾ o θ i m o s
πρόκρισησ	p ɾ o k ɾ i s i s
