the	t e
eclesiástica	e k l e z i a s t͡ʃ i k a
emitem	e m i t ẽ j̃
entraremos	ĩ t ɾ a ɾ e m o s
enviará	ĩ v i a ɾ a
evening	e v e n ĩ
exijo	e z i ʒ o
existo	e z i s t o
expandiu	e s p ɐ̃ d͡ʒ i w
exóticos	e z ɔ t͡ʃ i k o s
fatias	f a t͡ʃ i a s
ferrou	f e ʁ o
festiva	f e s t͡ʃ i v a
figurinos	f i ɡ u ɾ i n o s
filosofias	f i l o z o f i a s
focou	f o k o
forget	f o ɻ ʒ e
fuck	f u k e
fugitivos	f u ʒ i t͡ʃ i v o s
godoy	ɡ o d o j
guinness	ɡ i n e s
habitada	a b i t a d a
heidi	e j d͡ʒ i
hermann	e ɻ m ɐ̃ n
hermanos	e ɻ m ɐ̃ n u s
holden	o w d ẽ j̃
identifiquei	i d ẽ t͡ʃ i f i k e j
implicam	ĩ p l i k ɐ̃ w̃
imunda	i m ũ d a
indenizações	ĩ d e n i z a s õ j̃ s
irving	i ɻ v ĩ
isla	i z l a
islam	i z l ɐ̃ w̃
label	l a b ɛ w
landing	l ɐ̃ d͡ʒ ĩ
leone	l e o n e
liberadas	l i b e ɾ a d a s
louvores	l o v ɔ ɾ e s
lutero	l u t ɛ ɾ o
machucados	m a ʃ u k a d o s
marcelino	m a ɻ s e l ĩ n u
melhoraram	m e ʎ o ɾ a ɾ ɐ̃ w̃
mergulhadores	m e ɻ ɡ u ʎ a d o ɾ i s
meteoros	m e t e o ɾ o s
milhoes	m i ʎ o e s
milénio	m i l ɛ n i o
milênios	m i l e n i o s
minta	m ĩ t a
mission	m i s i õ
mobilizou	m o b i l i z o
modificando	m o d͡ʒ i f i k ɐ̃ d o
molhados	m o ʎ a d o s
movimentações	m o v i m ẽ t a s õ j̃ s
máximas	m a k s i m a s
napoli	n a p o l i
nuevo	n u ɛ v o
opus	o p u j s
ordenados	o ɻ d e n a d u s
origina	o ɾ i ʒ i n a
ovários	o v a ɾ i o s
partilhada	p a ɻ t͡ʃ i ʎ a d ɐ
partilhado	p a ɻ t͡ʃ i ʎ a d u
partos	p a ɻ t u s
perdê	p e ɻ d e
perturba	p e ɻ t u ɻ b ɐ
piscando	p i s k ɐ̃ d o
posa	p ɔ z a
possuído	p o s u i d o
preconceituosa	p ɾ e k õ s e j t u ɔ z a
preocupava	p ɾ e o k u p a v a
priori	p ɾ i o ɾ i
privilegiados	p ɾ i v i l e ʒ i a d o s
próspera	p ɾ ɔ s p e ɾ a
rasgou	ʁ a z ɡ o
rasos	ʁ a z o s
rastreador	ʁ a s t ɾ e a d o ɻ
resistências	ʁ e z i s t ẽ s i a s
respondida	ʁ e s p õ d͡ʒ i d a
responsabilizado	ʁ e s p õ s a b i l i z a d o
restando	ʁ e s t ɐ̃ d o
revertida	ʁ e v e ɻ t͡ʃ i d ɐ
rider	ʁ i d e
ridge	ʁ i d͡ʒ e
samir	s a m i
seguiria	s e ɡ i ɾ i a
sepultamento	s e p u w t a m ẽ t o
session	s e s i õ
setas	s ɛ t a s
sonhamos	s o ɲ ɐ m o s
suicidou	s u j s i d o
survivor	s u ɻ v i v o ɻ
sven	i z v ẽ j̃
taj	t a ʒ
tanaka	t a n a k a
tentáculos	t ẽ t a k u l o s
tocarem	t o k a ɾ ẽ j̃
toninho	t o n i ɲ o
torcem	t ɔ ɻ s ẽ j̃
tornarão	t o ɻ n a ɾ ɐ̃ w̃
torpedos	t o ɻ p e d u s
trail	t ɾ a j w
trincheiras	t ɾ ĩ ʃ e j ɾ a s
truman	t ɾ u m ɐ̃
ultrapassada	u w t ɾ a p a s a d a
unit	u n i t͡ʃ
vih	v i
violando	v i o l ɐ̃ d o
voyager	v o j a ʒ e
wire	w a j ɾ e
yin	j ĩ
abateu	a b a t e w
aceitá	a s e j t a
adultas	a d u w t a s
agregando	a ɡ ɾ e ɡ ɐ̃ d o
agrupamentos	a ɡ ɾ u p a m ẽ t o s
alcançados	a w k ɐ̃ s a d o s
ambulantes	ɐ̃ b u l ɐ̃ t e s
animadores	a n i m a d o ɾ e s
aniversario	a n i v e ɻ s a ɾ i u
apagam	a p a ɡ ɐ̃ w̃
aprox	a p ɾ ɔ k s
armazenada	a ɻ m a z e n a d ɐ
armazenadas	a ɻ m a z e n a d ɐ s
assaltada	a s a w t a d a
asseguram	a s e ɡ u ɾ ɐ̃ w̃
atuantes	a t u ɐ̃ t e s
auditivos	a w d͡ʒ i t͡ʃ i v o s
banida	b a n i d a
beneficiam	b e n e f i s i ɐ̃ w̃
bessa	b ɛ s a
boates	b o a t e s
bolton	b o w t õ
carajás	k a ɾ a ʒ a j s
castanhas	k a s t ɐ ɲ a s
castas	k a s t a s
chu	ʃ u
civic	s i v i k
cne	k i n e
comandados	k o m ɐ̃ d a d o s
comercializados	k o m e ɻ s i a l i z a d u s
competitivos	k õ p e t͡ʃ i t͡ʃ i v o s
comportamentais	k õ p o ɻ t a m ẽ t a j s
concebidos	k õ s e b i d o s
considerarmos	k õ s i d e ɾ a ɻ m u s
convenhamos	k õ v e ɲ ɐ m o s
corriam	k o ʁ i ɐ̃ w̃
cristalina	k ɾ i s t a l i n a
culpe	k u w p e
culpou	k u w p o
currículos	k u ʁ i k u l o s
damien	d a m i ẽ j̃
datafolha	d a t a f o ʎ a
defendi	d e f ẽ d͡ʒ i
deixassem	d e j ʃ a s ẽ j̃
deliberada	d e l i b e ɾ a d a
delícias	d e l i s i a s
desabou	d e z a b o
desconfia	d e s k õ f i a
desejei	d e z e ʒ e j
desgraças	d e z ɡ ɾ a s a s
desliguei	d e z l i ɡ e j
devastado	d e v a s t a d o
diminuem	d͡ʒ i m i n u ẽ j̃
dinheiros	d͡ʒ i ɲ e j ɾ o s
docas	d ɔ k a s
domicílios	d o m i s i l i o s
domino	d o m i n o
dormitórios	d o ɻ m i t ɔ ɾ i u s
editando	e d͡ʒ i t ɐ̃ d o
ef	ɛ f
elder	e w d e
elogiaram	e l o ʒ i a ɾ ɐ̃ w̃
encabeçada	ĩ k a b e s a d a
encontrasse	ĩ k õ t ɾ a s e
ensiná	ĩ s i n a
esqueletos	e s k e l e t o s
esqueças	e s k ɛ s a s
estavamos	e s t a v ɐ m o s
evangelhos	e v ɐ̃ ʒ e ʎ o s
explodiram	e s p l o d͡ʒ i ɾ ɐ̃ w̃
expulsá	e s p u w s a
fail	f a j w
false	f a w s e
foley	f o l e j
forjado	f o ɻ ʒ a d u
français	f ɾ ɐ̃ s a j s
fugi	f u ʒ i
geographic	ʒ e o ɡ ɾ a f i k
grampos	ɡ ɾ ɐ̃ p o s
gravam	ɡ ɾ a v ɐ̃ w̃
grite	ɡ ɾ i t e
grosseira	ɡ ɾ o s e j ɾ a
hare	a ɾ e
herdada	e ɻ d a d ɐ
ilícitas	i l i s i t a s
impulsionou	ĩ p u w s i o n o
incentivado	ĩ s ẽ t͡ʃ i v a d o
inconscientes	ĩ k õ s i ẽ t e s
industrializados	ĩ d u s t ɾ i a l i z a d o s
influenciando	ĩ f l u ẽ s i ɐ̃ d o
interveio	ĩ t e ɻ v e j u
issue	i s u e
jenner	ʒ e n e
jogadoras	ʒ o ɡ a d o ɾ a s
legisladores	l e ʒ i z l a d o ɾ e s
lilly	l i l i
ludmila	l u d͡ʒ i m i l a
machucam	m a ʃ u k ɐ̃ w̃
magras	m a ɡ ɾ a s
mamães	m a m ɐ̃ j̃ s
marítimos	m a ɾ i t͡ʃ i m o s
memoráveis	m e m o ɾ a v e j s
migalhas	m i ɡ a ʎ a s
millie	m i l i
milo	m i l o
miniaturas	m i n i a t u ɾ a s
minutes	m i n u t e s
motors	m o t o ɻ s
muse	m u z e
nascimentos	n a s i m ẽ t o s
nuances	n u ɐ̃ s e s
oficializada	o f i s i a l i z a d a
olive	o l i v e
pacíficos	p a s i f i k o s
percorrem	p e ɻ k o ʁ ẽ j̃
permanecia	p e ɻ m a n e s i ɐ
pescaria	p e s k a ɾ i a
precisávamos	p ɾ e s i z a v a m o s
preservados	p ɾ e z e ɻ v a d u s
presume	p ɾ e z u m e
processou	p ɾ o s e s o
prometemos	p ɾ o m e t e m o s
punida	p u n i d a
puxe	p u ʃ e
rampas	ʁ ɐ̃ p a s
recebesse	ʁ e s e b ɛ s e
redondas	ʁ e d õ d a s
rejeitados	ʁ e ʒ e j t a d o s
relatadas	ʁ e l a t a d a s
roses	ʁ ɔ z e s
rule	ʁ u l e
ryder	ʁ a j d e
régis	ʁ ɛ ʒ i s
sairam	s a j ɾ ɐ̃ w̃
segurei	s e ɡ u ɾ e j
selecione	s e l e s i o n e
sertões	s e ɻ t õ j̃ s
sig	s i ɡ e
sobraram	s o b ɾ a ɾ ɐ̃ w̃
solitárias	s o l i t a ɾ i a s
tabus	t a b u j s
tamil	t a m i w
tania	t a n i a
telefônicos	t e l e f o n i k o s
terminasse	t e ɻ m i n a s i
tetos	t ɛ t o s
thunder	t ũ d e
trent	t ɾ ẽ t͡ʃ
unity	u n i t͡ʃ i
uruguaios	u ɾ u ɡ w a j o s
vencedoras	v ẽ s e d o ɾ a s
vestia	v e s t͡ʃ i a
vigiando	v i ʒ i ɐ̃ d o
ze	z e
zoando	z o ɐ̃ d o
above	a b ɔ v e
abuse	a b u z e
afogamento	a f o ɡ a m ẽ t o
agarrou	a ɡ a ʁ o
alexa	a l ɛ k s a
algemado	a w ʒ e m a d o
alinhada	a l i ɲ a d a
alteradas	a w t e ɾ a d a s
analisada	a n a l i z a d a
andaram	ɐ̃ d a ɾ ɐ̃ w̃
andrey	ɐ̃ d ɾ e j
apagando	a p a ɡ ɐ̃ d o
apanhados	a p ɐ ɲ a d o s
aparecesse	a p a ɾ e s ɛ s e
apertei	a p e ɻ t e j
apoiavam	a p o j a v ɐ̃ w̃
apontava	a p õ t a v a
aponte	a p õ t e
apreendido	a p ɾ e ẽ d͡ʒ i d o
apresentei	a p ɾ e z ẽ t e j
armazenado	a ɻ m a z e n a d u
arrogantes	a ʁ o ɡ ɐ̃ t e s
asneiras	a z n e j ɾ a s
associam	a s o s i ɐ̃ w̃
atiram	a t͡ʃ i ɾ ɐ̃ w̃
auxiliando	a w k s i l i ɐ̃ d o
azeitonas	a z e j t o n a s
barton	b a ɻ t õ
bayer	b a j e
biomas	b i o m a s
blindada	b l ĩ d a d a
blogues	b l ɔ ɡ e s
bolsistas	b o w s i s t a s
bonsucesso	b õ s u s e s o
brock	b ɾ ɔ k e
bundas	b ũ d a s
burt	b u ɻ t͡ʃ
caminhou	k a m i ɲ o
cantigas	k ɐ̃ t͡ʃ i ɡ a s
capturadas	k a p i t u ɾ a d ɐ s
cardeais	k a ɻ d e a j s
carmem	k a ɻ m ẽ j̃
cassidy	k a s i d͡ʒ i
caótica	k a ɔ t͡ʃ i k a
charts	ʃ a ɻ t͡ʃ i s
chegadas	ʃ e ɡ a d a s
chutando	ʃ u t ɐ̃ d o
classificando	k l a s i f i k ɐ̃ d o
coletando	k o l e t ɐ̃ d o
colhendo	k o ʎ ẽ d o
comandando	k o m ɐ̃ d ɐ̃ d o
completada	k õ p l e t a d a
compreendidas	k õ p ɾ e ẽ d͡ʒ i d a s
comprovante	k õ p ɾ o v ɐ̃ t e
concentrou	k õ s ẽ t ɾ o
confiamos	k õ f i ɐ m o s
confundiu	k õ f ũ d͡ʒ i w
conservado	k õ s e ɻ v a d u
continentais	k õ t͡ʃ i n ẽ t a j s
contábeis	k õ t a b e j s
cooperativas	k o o p e ɾ a t͡ʃ i v a s
corram	k o ʁ ɐ̃ w̃
cresçam	k ɾ e s ɐ̃ w̃
custódio	k u s t ɔ d͡ʒ i o
decepções	d e s e p i s õ j̃ s
dedé	d e d ɛ
deliberativo	d e l i b e ɾ a t͡ʃ i v o
delírios	d e l i ɾ i o s
desativação	d e z a t͡ʃ i v a s ɐ̃ w̃
destinam	d e s t͡ʃ i n ɐ̃ w̃
devolvendo	d e v o w v ẽ d o
dio	d͡ʒ i u
dirija	d͡ʒ i ɾ i ʒ a
dolares	d o l a ɾ e s
dragons	d ɾ a ɡ õ s
due	d u e
dust	d u s t͡ʃ
eduarda	e d u a ɻ d ɐ
egg	ɛ ɡ e
entendê	ĩ t ẽ d e
error	e ʁ o ɻ
escapam	e s k a p ɐ̃ w̃
espinosa	e s p i n ɔ z a
européias	e w ɾ o p ɛ j a s
examinando	e z a m i n ɐ̃ d o
exercia	e z e ɻ s i ɐ
exigiam	e z i ʒ i ɐ̃ w̃
exigiram	e z i ʒ i ɾ ɐ̃ w̃
experimentaram	e s p e ɾ i m ẽ t a ɾ ɐ̃ w̃
exportadores	e s p o ɻ t a d o ɾ i s
fechamos	f e ʃ ɐ m o s
fede	f ɛ d e
firmas	f i ɻ m ɐ s
flocos	f l ɔ k o s
fraser	f ɾ a z e
fundido	f ũ d͡ʒ i d o
fármacos	f a ɻ m a k u s
gajas	ɡ a ʒ a s
ganhas	ɡ ɐ ɲ a s
gestantes	ʒ e s t ɐ̃ t e s
giselle	ʒ i z ɛ l e
guardadas	ɡ w a ɻ d a d ɐ s
guillaume	ɡ i l a w m e
horn	ɔ ɻ n
hyundai	j ũ d a j
iglesias	i ɡ l e z i a s
ilustradores	i l u s t ɾ a d o ɾ e s
imperfeições	ĩ p e ɻ f e j s õ j̃ s
indiretas	ĩ d͡ʒ i ɾ e t a s
inicie	i n i s i
inspirando	ĩ s p i ɾ ɐ̃ d o
intensifica	ĩ t ẽ s i f i k a
interpretadas	ĩ t e ɻ p ɾ e t a d ɐ s
isola	i z ɔ l a
jasper	ʒ a s p e
jure	ʒ u ɾ e
lanças	l ɐ̃ s a s
lao	l a w
lavigne	l a v i ɡ i n e
lembrados	l ẽ b ɾ a d o s
localizou	l o k a l i z o
loiros	l o j ɾ o s
lotus	l o t u j s
luka	l u k a
lutavam	l u t a v ɐ̃ w̃
lutem	l u t ẽ j̃
mann	m ɐ̃ n
marsh	m a ɻ ʃ
mascara	m a s k a ɾ a
mataria	m a t a ɾ i a
melhoram	m e ʎ o ɾ ɐ̃ w̃
mesquitas	m e s k i t a s
migraram	m i ɡ ɾ a ɾ ɐ̃ w̃
minúsculas	m i n u s k u l a s
mostrarem	m o s t ɾ a ɾ ẽ j̃
motora	m o t o ɾ a
mítica	m i t͡ʃ i k a
nic	n i k
nicky	n i k i
nueva	n u ɛ v a
ocasionando	o k a z i o n ɐ̃ d o
oq	ɔ k e
organizacionais	o ɻ ɡ a n i z a s i o n a j s
otimistas	o t͡ʃ i m i s t a s
otários	o t a ɾ i o s
paragens	p a ɾ a ʒ ẽ j̃ s
patinhas	p a t͡ʃ i ɲ a s
pedrosa	p e d ɾ ɔ z a
populacionais	p o p u l a s i o n a j s
posicionados	p o z i s i o n a d o s
pranchas	p ɾ ɐ̃ ʃ a s
pregos	p ɾ ɛ ɡ o s
prendê	p ɾ ẽ d e
presenciou	p ɾ e z ẽ s i o
presidiu	p ɾ e z i d͡ʒ i w
pretendendo	p ɾ e t ẽ d ẽ d o
primitivos	p ɾ i m i t͡ʃ i v o s
priscilla	p ɾ i s i l a
problemáticas	p ɾ o b l e m a t͡ʃ i k a s
protocol	p ɾ o t o k ɔ w
proxima	p ɾ o k s i m a
pólos	p ɔ l o s
raptada	ʁ a p i t a d ɐ
reafirma	ʁ e a f i ɻ m ɐ
rebeliões	ʁ e b e l i õ j̃ s
reconhecê	ʁ e k o ɲ e s e
recrutado	ʁ e k ɾ u t a d o
recrutados	ʁ e k ɾ u t a d o s
recrutou	ʁ e k ɾ u t o
reformados	ʁ e f o ɻ m a d u s
resistindo	ʁ e z i s t͡ʃ ĩ d o
resistiram	ʁ e z i s t͡ʃ i ɾ ɐ̃ w̃
resumos	ʁ e z u m o s
retomado	ʁ e t o m a d o
reuniam	ʁ e w n i ɐ̃ w̃
ribeirinha	ʁ i b e j ɾ i ɲ a
rigorosos	ʁ i ɡ o ɾ o z o s
salgados	s a w ɡ a d o s
serras	s ɛ ʁ a s
shi	ʃ i
sia	s i a
somados	s o m a d o s
subimos	s u b i m o s
sucederam	s u s e d e ɾ ɐ̃ w̃
surpresos	s u ɻ p ɾ e z u s
telma	t ɛ w m a
terapeutas	t e ɾ a p e w t a s
theresa	t e ɾ e z a
tú	t u
universe	u n i v ɛ ɻ s i
universitárias	u n i v e ɻ s i t a ɾ i ɐ s
vader	v a d e
veiculada	v e j k u l a d a
vevo	v e v o
vilarejos	v i l a ɾ e ʒ o s
viáveis	v i a v e j s
volts	v ɔ w t͡ʃ i s
abraçam	a b ɾ a s ɐ̃ w̃
aida	a j d a
alegada	a l e ɡ a d a
alternative	a w t e ɻ n a t͡ʃ i v i
antecipando	ɐ̃ t e s i p ɐ̃ d o
architecture	a ɻ ʃ i t e k i t u ɾ i
aw	a w
ayala	a j a l a
baja	b a ʒ a
baldes	b a w d e s
bert	b ɛ ɻ t͡ʃ
bial	b i a w
bimestre	b i m ɛ s t ɾ e
brendan	b ɾ ẽ d ɐ̃
brigamos	b ɾ i ɡ ɐ m o s
camden	k ɐ̃ d ẽ j̃
caminhava	k a m i ɲ a v a
camisinhas	k a m i z i ɲ a s
cardíacas	k a ɻ d͡ʒ i a k ɐ s
cassie	k a s i
cedric	s e d ɾ i k
chicken	ʃ i k ẽ j̃
clare	k l a ɾ e
clinica	k l i n i k a
cna	k i n a
colónias	k o l ɔ n i a s
compartimentos	k õ p a ɻ t͡ʃ i m ẽ t u s
comédias	k o m ɛ d͡ʒ i a s
concluídos	k õ k l u i d o s
condenadas	k õ d e n a d a s
conferiu	k õ f e ɾ i w
constata	k õ s t a t a
consultados	k õ s u w t a d o s
contraria	k õ t ɾ a ɾ i a
controladora	k õ t ɾ o l a d o ɾ a
convivem	k õ v i v ẽ j̃
coquetéis	k o k e t ɛ j s
cpc	s e p e s e
cronológica	k ɾ o n o l ɔ ʒ i k a
curadores	k u ɾ a d o ɾ e s
demonstrava	d e m õ s t ɾ a v a
descontentes	d e s k õ t ẽ t e s
desfilando	d e s f i l ɐ̃ d o
deslizamentos	d e z l i z a m ẽ t o s
despedidas	d e s p e d͡ʒ i d a s
dhabi	d a b i
discuto	d͡ʒ i s k u t o
dojo	d o ʒ o
dominaram	d o m i n a ɾ ɐ̃ w̃
duzentas	d u z ẽ t a s
día	d͡ʒ i a
eau	e a w
emi	e m i
emocionantes	e m o s i o n ɐ̃ t e s
empossado	ĩ p o s a d o
empregando	ĩ p ɾ e ɡ ɐ̃ d o
encantos	ĩ k ɐ̃ t o s
enfiou	ĩ f i o
entregamos	ĩ t ɾ e ɡ ɐ m o s
erin	e ɾ ĩ
escavações	e s k a v a s õ j̃ s
escravas	e s k ɾ a v a s
escritoras	e s k ɾ i t o ɾ a s
estragando	e s t ɾ a ɡ ɐ̃ d o
estéticas	e s t ɛ t͡ʃ i k a s
evitá	e v i t a
excluiu	e s k l u i w
extracção	e s t ɾ a k s ɐ̃ w̃
falados	f a l a d o s
faltaram	f a w t a ɾ ɐ̃ w̃
favorite	f a v o ɾ i t e
florais	f l o ɾ a j s
fogueiras	f o ɡ e j ɾ a s
forme	f ɔ ɻ m i
formei	f o ɻ m e j
furnas	f u ɻ n ɐ s
gavetas	ɡ a v e t a s
gemendo	ʒ e m ẽ d o
gl	ɡ e w
gorduras	ɡ o ɻ d u ɾ ɐ s
governista	ɡ o v e ɻ n i s t ɐ
grelhado	ɡ ɾ e ʎ a d o
hansen	ɐ̃ s ẽ j̃
hazel	a z ɛ w
heróico	e ɾ ɔ j k o
higgins	i ɡ ĩ s
higher	i ɡ e
homenageando	o m e n a ʒ e ɐ̃ d o
hostilidades	o s t͡ʃ i l i d a d e s
humoristas	u m o ɾ i s t a s
ic	i k e
infratores	ĩ f ɾ a t o ɾ e s
insatisfeitos	ĩ s a t͡ʃ i s f e j t o s
inscritas	ĩ s k ɾ i t a s
insira	ĩ s i ɾ a
institui	ĩ s t͡ʃ i t u j
insurgentes	ĩ s u ɻ ʒ ẽ t͡ʃ i s
interativas	ĩ t e ɾ a t͡ʃ i v a s
jace	ʒ a s e
jarvis	ʒ a ɻ v i s
jogarem	ʒ o ɡ a ɾ ẽ j̃
joguinhos	ʒ o ɡ i ɲ o s
jude	ʒ u d e
kathy	k a t i
katia	k a t͡ʃ i a
knock	k i n ɔ k e
lerem	l ɛ ɾ ẽ j̃
levariam	l e v a ɾ i ɐ̃ w̃
libertem	l i b ɛ ɻ t ẽ j̃
licitações	l i s i t a s õ j̃ s
litorânea	l i t o ɾ ɐ n e a
lukas	l u k a s
maddie	m a d͡ʒ i
magnum	m a ɡ i n ũ
malone	m a l o n e
malu	m a l u
maratonas	m a ɾ a t o n a s
maybe	m e j b e
meghan	m e ɡ ɐ̃
mena	m e n a
message	m e s a ʒ e
misture	m i s t u ɾ e
modernista	m o d e ɻ n i s t ɐ
nestlé	n e s t l ɛ
nestor	n e s t o ɻ
nomeia	n o m ɛ j a
numérica	n u m ɛ ɾ i k a
odair	o d a i
okinawa	o k i n a w a
orando	o ɾ ɐ̃ d o
ore	ɔ ɾ e
orgasmos	o ɻ ɡ a z m u s
paira	p a j ɾ a
paulistanos	p a w l i s t ɐ n o s
percebia	p e ɻ s e b i ɐ
personalizada	p e ɻ s o n a l i z a d ɐ
pesquisados	p e s k i z a d o s
piorando	p i o ɾ ɐ̃ d o
plantada	p l ɐ̃ t a d a
potentes	p o t ẽ t e s
preguiçosos	p ɾ e ɡ i s o z o s
preocupes	p ɾ e o k u p e s
presbiteriana	p ɾ e z b i t e ɾ i ɐ n a
profissionalizantes	p ɾ o f i s i o n a l i z ɐ̃ t e s
prolonga	p ɾ o l õ ɡ a
promise	p ɾ o m i z e
provocadas	p ɾ o v o k a d a s
psiquiatras	p i s i k i a t ɾ a s
pune	p u n e
recolheu	ʁ e k o ʎ e w
reconheci	ʁ e k o ɲ e s i
regatas	ʁ e ɡ a t a s
regulamentada	ʁ e ɡ u l a m ẽ t a d a
reparem	ʁ e p a ɾ ẽ j̃
representaram	ʁ e p ɾ e z ẽ t a ɾ ɐ̃ w̃
represento	ʁ e p ɾ e z ẽ t o
respeitadas	ʁ e s p e j t a d a s
responderá	ʁ e s p õ d e ɾ a
restritos	ʁ e s t ɾ i t o s
retiram	ʁ e t͡ʃ i ɾ ɐ̃ w̃
retorne	ʁ e t ɔ ɻ n i
runner	ʁ u n e
sandoval	s ɐ̃ d o v a w
senior	s e n i o ɻ
sinónimo	s i n ɔ n i m o
skinner	i s k i n e
superada	s u p e ɾ a d a
sustentando	s u s t ẽ t ɐ̃ d o
ternos	t ɛ ɻ n u s
tetra	t ɛ t ɾ a
texturas	t e s t u ɾ a s
tiroteios	t͡ʃ i ɾ o t e j o s
transfer	t ɾ ɐ̃ s f e
trash	t ɾ ɛ ʃ
valdivia	v a w d͡ʒ i v i a
valorizando	v a l o ɾ i z ɐ̃ d o
viegas	v i ɛ ɡ a s
xícaras	ʃ i k a ɾ a s
úmida	u m i d a
absorvida	a b i s o ɻ v i d ɐ
acelerando	a s e l e ɾ ɐ̃ d o
acomodações	a k o m o d a s õ j̃ s
acosta	a k ɔ s t a
acrescentam	a k ɾ e s ẽ t ɐ̃ w̃
advertiu	a d͡ʒ i v e ɻ t͡ʃ i w
aguentava	a ɡ ẽ t a v a
alteram	a w t ɛ ɾ ɐ̃ w̃
amarei	a m a ɾ e j
among	a m õ
analisamos	a n a l i z ɐ m o s
antecederam	ɐ̃ t e s e d e ɾ ɐ̃ w̃
anulada	a n u l a d a
aprofundada	a p ɾ o f ũ d a d a
apta	a p i t ɐ
archives	a ɻ ʃ i v i s
arias	a ɾ i a s
arquitetônicos	a ɻ k i t e t õ n i k u s
arrastou	a ʁ a s t o
arrependi	a ʁ e p ẽ d͡ʒ i
atreve	a t ɾ ɛ v e
atribuem	a t ɾ i b u ẽ j̃
atuaram	a t u a ɾ ɐ̃ w̃
axl	a k s e w
banidos	b a n i d o s
beatrice	b e a t ɾ i s e
blanche	b l ɐ̃ ʃ e
brenner	b ɾ e n e
bullock	b u l ɔ k e
caberia	k a b e ɾ i a
calcinhas	k a w s i ɲ a s
camara	k a m a ɾ a
carey	k a ɾ e j
carências	k a ɾ ẽ s i a s
castel	k a s t ɛ w
catalina	k a t a l i n a
certificações	s e ɻ t͡ʃ i f i k a s õ j̃ s
chambers	ʃ ɐ̃ b e ɻ s
chavez	ʃ a v e j s
ciclovias	s i k l o v i a s
cielo	s i ɛ l o
compreendeu	k õ p ɾ e ẽ d e w
concordei	k õ k o ɻ d e j
confins	k õ f ĩ s
constatado	k õ s t a t a d o
conturbada	k õ t u ɻ b a d ɐ
coreanas	k o ɾ e ɐ n a s
crane	k ɾ ɐ n e
crescerem	k ɾ e s e ɾ ẽ j̃
curt	k u ɻ t͡ʃ
dea	d e a
deboche	d e b ɔ ʃ e
decepcionada	d e s e p i s i o n a d a
decreta	d e k ɾ e t a
deixariam	d e j ʃ a ɾ i ɐ̃ w̃
demolidor	d e m o l i d o ɻ
desgraçada	d e z ɡ ɾ a s a d a
deslocam	d e z l ɔ k ɐ̃ w̃
destiny	d e s t͡ʃ i n i
discretas	d͡ʒ i s k ɾ e t a s
disponibilizando	d͡ʒ i s p o n i b i l i z ɐ̃ d o
diversificados	d͡ʒ i v e ɻ s i f i k a d u s
doidos	d o j d o s
draco	d ɾ a k o
duvide	d u v i d e
educadas	e d u k a d a s
encomendada	ĩ k o m ẽ d a d a
enforcado	ĩ f o ɻ k a d u
engane	ĩ ɡ ɐ n e
enjoado	ĩ ʒ o a d o
enterradas	ĩ t e ʁ a d a s
envolta	ĩ v ɔ w t a
escoteiros	e s k o t e j ɾ o s
esgotada	e z ɡ o t a d a
españa	e s p a ɲ a
esquentando	e s k ẽ t ɐ̃ d o
eternas	e t ɛ ɻ n ɐ s
evitem	e v i t ẽ j̃
exaustiva	e z a w s t͡ʃ i v a
expressivos	e s p ɾ e s i v o s
extensos	e s t ẽ s o s
facilitou	f a s i l i t o
fagner	f a ɡ i n e
federico	f e d e ɾ i k o
gerida	ʒ e ɾ i d a
golias	ɡ o l i a s
gravadores	ɡ ɾ a v a d o ɾ e s
guardava	ɡ w a ɻ d a v ɐ
herdado	e ɻ d a d u
hilary	i l a ɾ i
hindus	ĩ d u j s
importancia	ĩ p o ɻ t ɐ̃ s i ɐ
imprime	ĩ p ɾ i m e
informadas	ĩ f o ɻ m a d ɐ s
inquieta	ĩ k i e t a
intensiva	ĩ t ẽ s i v a
intrigado	ĩ t ɾ i ɡ a d o
introduzidos	ĩ t ɾ o d u z i d o s
investem	ĩ v ɛ s t ẽ j̃
ita	i t a
joanne	ʒ o ɐ n e
jorginho	ʒ o ɻ ʒ ĩ ɲ u
junina	ʒ u n i n a
karol	k a ɾ ɔ w
lagartos	l a ɡ a ɻ t u s
lajes	l a ʒ e s
lesionado	l e z i o n a d o
less	l ɛ s
levas	l ɛ v a s
liderava	l i d e ɾ a v a
lisos	l i z o s
maduras	m a d u ɾ a s
mamilos	m a m i l o s
manipula	m a n i p u l a
marian	m a ɾ i ɐ̃
marisol	m a ɾ i z ɔ w
marjorie	m a ɻ ʒ o ɾ i
maximo	m a k s i m o
meiga	m e j ɡ a
mestiços	m e s t͡ʃ i s o s
midi	m i d͡ʒ i
mineradora	m i n e ɾ a d o ɾ a
mort	m ɔ ɻ t͡ʃ
narinas	n a ɾ i n a s
negocia	n e ɡ o s i a
nikita	n i k i t a
obscuras	o b i s k u ɾ a s
olheiras	o ʎ e j ɾ a s
originado	o ɾ i ʒ i n a d o
orixás	o ɾ i ʃ a j s
ortodoxos	o ɻ t o d ɔ k s u s
osh	ɔ ʃ
pareceres	p a ɾ e s e ɾ e s
paterna	p a t ɛ ɻ n ɐ
patética	p a t ɛ t͡ʃ i k a
pcb	p e s e b e
peraí	p e ɾ a i
periferias	p e ɾ i f e ɾ i a s
plenos	p l e n o s
