να	n a
προχωράει	p ɾ o x o ɾ a i
πυροσβέστεσ	p i ɾ o z v e s t e s
πωλούνται	p o l u n d e
πώλησησ	p o l i s i s
ρθεισ	ɾ θ i s
ρωτάτε	ɾ o t a t e
σκούρα	s k u ɾ a
σταθερέσ	s t a θ e ɾ e s
στοιχείου	s t i ç i u
στόλοσ	s t o l o s
συγνωμη	s i ɣ n o m i
συναντάμε	s i n a n d a m e
συναντηθεί	s i n a n d i θ i
συντακτών	s i n d a k t o n
τέλειωσε	t e ʎ o s e
τίνοσ	t i n o s
ταυτίζεται	t a f t i z e t e
τοπικούσ	t o p i k u s
τούρκο	t u ɾ k o
τρομακτικό	t ɾ o m a k t i k o
τροπο	t ɾ o p o
υποθέτω	i p o θ e t o
υποκείμενο	i p o c i m e n o
υπολογισμούσ	i p o l o ʝ i z m u s
υποχρεωτικά	i p o x ɾ e o t i k a
φτωχόσ	f t o x o s
χαιρόμαστε	ç e ɾ o m a s t e
χαλκίδασ	x a l c i ð a s
χουμε	x u m e
χρησιμοποιήθηκαν	x ɾ i s i m o p i i θ i k a n
άρρωστοσ	a ɾ o s t o s
έκτη	e k t i
έμαθεσ	e m a θ e s
έπαιξαν	e p e k s a n
αβγά	a v ɣ a
αγώνισμα	a ɣ o n i z m a
αμερικάνικη	a m e ɾ i k a n i c i
ανεβάσει	a n e v a s i
ανησυχείσ	a n i s i ç i s
απέχουν	a p e x u n
απειλούν	a p i l u n
απορρίπτει	a p o ɾ i p t i
απόγνωση	a p o ɣ n o s i
αργή	a ɾ ʝ i
ασφαλιστικά	a s f a l i s t i k a
αυτοκτονήσει	a f t o k t o n i s i
βέλοσ	v e l o s
βαθμολογίασ	v a θ m o l o ʝ i a s
βαλίτσεσ	v a l i t͡s e s
βασισμένο	v a s i z m e n o
βράβευση	v ɾ a v e f s i
γενεθλίων	ʝ e n e θ l i o n
γινόμαστε	ʝ i n o m a s t e
γυναικείεσ	ʝ i n e c i e s
δανειστών	ð a n i s t o n
δημήτριο	ð i m i t ɾ i o
δημητριακά	ð i m i t ɾ i a k a
δημοσίωσ	ð i m o s i o s
διήμερο	ð i i m e ɾ o
διατήρησησ	ð i̯ a t i ɾ i s i s
δικαιώματά	ð i c e o m a t a
δολάριο	ð o l a ɾ i o
δολοφόνουσ	ð o l o f o n u s
εκδώσει	e k ð o s i
εκπαιδευτικοί	e k p e ð e f t i c i
εκπαιδευτικούσ	e k p e ð e f t i k u s
ελπίδασ	e l p i ð a s
ελπίζοντασ	e l p i z o n d a s
εξάπλωση	e k s a p l o s i
επαναστατικό	e p a n a s t a t i k o
επιβεβαιώνεται	e p i v e v e o n e t e
επιγραφή	e p i ɣ r a f i
επιτυχώσ	e p i t i x o s
ευχαριστημένοσ	e f x a ɾ i s t i m e n o s
εφέ	e f e
ζήσετε	z i s e t e
θεραπείεσ	θ e ɾ a p i e s
ιδανικά	i ð a n i k a
ισπανική	i s p a n i c i
καλεσμένουσ	k a l e z m e n u s
καλοκαιρινέσ	k a l o c e ɾ i n e s
καρπό	k a ɾ p o
κατάλαβαν	k a t a l a v a n
καφενείο	k a f e n i o
κινητήσ	c i n i t i s
κλιπ	k l i p
κουβέρτα	k u v e ɾ t a
κρατήσω	k ɾ a t i s o
κόμη	k o m i
κόπηκε	k o p i c e
λεπτα	l e p t a
λεωφορείου	l e o f o ɾ i u
ληφθεί	l i f θ i
λοιπά	l i p a
λουκάσ	l u k a s
μάνη	m a n i
μακρινό	m a k ɾ i n o
μείωσησ	m i o s i s
μεγαλα	m e ɣ a l a
μελετήσει	m e l e t i s i
μηχανικού	m i x a n i k u
μουσικούσ	m u s i k u s
μπολ	b o l
μπριζόλα	b ɾ i z o l a
νομικού	n o m i k u
νυχτερινό	n i x t e ɾ i n o
οδική	o ð i c i
οδυσσέα	o ð i s e a
οικισμόσ	i c i z m o s
ολύμπου	o l i m b u
οπτικό	o p t i k o
ορθοδοξίασ	o ɾ θ o ð o k s i a s
ουδείσ	u ð i s
πάρου	p a ɾ u
πέλαγοσ	p e l a ɣ o s
παλιούσ	p a ʎ u s
πανεπιστημίων	p a n e p i s t i m i o n
παντρευτείσ	p a n d ɾ e f t i s
παντόσ	p a n d o s
παρακολούθησε	p a ɾ a k o l u θ i s e
παραπέμπει	p a ɾ a p e m b i
παρατηρήσει	p a ɾ a t i ɾ i s i
πεποιθήσεισ	p e p i θ i s i s
πλήκτρα	p l i k t ɾ a
πολιτιστικέσ	p o l i t i s t i c e s
πουλιών	p u ʎ o n
προάλλεσ	p ɾ o a l e s
προσφέροντασ	p ɾ o s f e ɾ o n d a s
προσφορα	p ɾ o s f o ɾ a
προχώρησαν	p ɾ o x o ɾ i s a n
πυρετόσ	p i ɾ e t o s
πύλησ	p i l i s
σπάρτησ	s p a ɾ t i s
στέφαν	s t e f a n
συμβολίζει	s i ɱ v o l i z i
συμβούλια	s i ɱ v u ʎ a
συνεχίστηκε	s i n e ç i s t i c e
συνεχούσ	s i n e x u s
συνοδεύει	s i n o ð e v i
συνωμοσία	s i n o m o s i a
σχεδιο	s ç e ð i o
σωματίδια	s o m a t i ð ʝ a
σώζει	s o z i
τίθεται	t i θ e t e
τετραγωνικά	t e t ɾ a ɣ o n i k a
υπερβολικό	i p e ɾ v o l i k o
φαινομένου	f e n o m e n u
φασίστεσ	f a s i s t e s
φτάνουμε	f t a n u m e
φτωχή	f t o ç i
φύλακασ	f i l a k a s
χαμό	x a m o
χαράλαμποσ	x a ɾ a l a m b o s
χαρέσ	x a ɾ e s
χαρα	x a ɾ a
χουάν	x u a n
ωδείο	o ð i o
όλιβερ	o l i v e ɾ
όχθη	o x θ i
άγνωστεσ	a ɣ n o s t e s
έμποροι	e m b o ɾ i
έντι	e n d i
αγαπούσε	a ɣ a p u s e
αισθάνεστε	e s θ a n e s t e
αισθητήρεσ	e s θ i t i ɾ e s
ακαδημαϊκό	a k a ð i m a i k o
ακούγοντασ	a k u ɣ o n d a s
ακύρωση	a c i ɾ o s i
αλήτη	a l i t i
αμερικανό	a m e ɾ i k a n o
αναλόγωσ	a n a l o ɣ o s
αναπτύσσει	a n a p t i s i
αντιδράσεων	a n d i ð ɾ a s e o n
αντιπροσωπεύουν	a n d i p ɾ o s o p e v u n
αντιπροσώπων	a n d i p ɾ o s o p o n
αντρεσ	a n d ɾ e s
αξίωμα	a k s i o m a
αποδίδεται	a p o ð i ð e t e
αποκαλύφθηκε	a p o k a l i f θ i c e
αποκτήσεισ	a p o k t i s i s
αποκτήσετε	a p o k t i s e t e
αποτύχει	a p o t i ç i
αποφύγεισ	a p o f i ʝ i s
απόλυση	a p o l i s i
αργήσει	a ɾ ʝ i s i
ασκούν	a s k u n
αυτην	a f t i n
βασικούσ	v a s i k u s
βιβλιοθήκεσ	v i v l i o θ i c e s
βυθό	v i θ o
γεννήθηκεσ	ʝ e n i θ i c e s
γεύσεισ	ʝ e f s i s
γουίλιαμσ	ɣ u i ʎ a m s
δείσ	ð i s
δησυ	ð i s i
διαβούλευση	ð i̯ a v u l e f s i
διαφορετικόσ	ð i̯ a f o ɾ e t i k o s
διευθύνσεισ	ð i e f θ i n s i s
δωρο	ð o ɾ o
εβραίων	e v ɾ e o n
εγκατασταθεί	e ŋ ɡ a t a s t a θ i
ελλ	e l
ελλείψεισ	e l i p s i s
ενδιαφέρονται	e n ð i̯ a f e ɾ o n d e
ενημερώσουμε	e n i m e ɾ o s u m e
εννοούσα	e n o u s a
επιδημία	e p i ð i m i a
επιθετικό	e p i θ e t i k o
επισκεφτεί	e p i s c e f t i
επιστρέψουμε	e p i s t ɾ e p s u m e
επιτυχημένο	e p i t i ç i m e n o
εσενα	e s e n a
ευρωβουλευτήσ	e v ɾ o v u l e f t i s
εφκα	e f k a
εφυγε	e f i ʝ e
ηθελε	i θ e l e
ισλαμικού	i s l a m i k u
καταλάβαμε	k a t a l a v a m e
καταναλωτέσ	k a t a n a l o t e s
κεφαλήσ	c e f a l i s
κινήματα	c i n i m a t a
κλάματα	k l a m a t a
κοπέλασ	k o p e l a s
κοπεί	k o p i
κορυδαλλού	k o ɾ i ð a l u
κράτησησ	k ɾ a t i s i s
κρίνεισ	k ɾ i n i s
κρασιά	k ɾ a s ç a
κυψέλη	c i p s e l i
λάρνακασ	l a ɾ n a k a s
λένιν	l e n i n
λαοσ	l a o s
λεγόμενη	l e ɣ o m e n i
λόρδοσ	l o ɾ ð o s
μάθηση	m a θ i s i
μάρκετινγκ	m a ɾ c e t i ŋ ɡ
μαγείασ	m a ʝ i a s
μαγειρική	m a ʝ i ɾ i c i
μεθόδου	m e θ o ð u
μεσαίο	m e s e o
μεσαίωνα	m e s e o n a
μουσικού	m u s i k u
μουσουλμάνουσ	m u s u l m a n u s
μουστάκι	m u s t a c i
ξεκίνα	k s e c i n a
οικογενειακά	i k o ʝ e n i a k a
ολυμπιονίκησ	o l i m b i o n i c i s
ομώνυμο	o m o n i m o
ορίστηκε	o ɾ i s t i c e
οργάνου	o ɾ ɣ a n u
ορεινά	o ɾ i n a
πάθεισ	p a θ i s
πάμπλο	p a m b l o
πάχοσ	p a x o s
πέσ	p e s
παίξε	p e k s e
πανικόσ	p a n i k o s
παράταξησ	p a ɾ a t a k s i s
περιορισμένο	p e ɾ i o ɾ i z m e n o
πηγαινε	p i ʝ e n e
πιάσεισ	p ç a s i s
πορτ	p o ɾ t
προστατεύουν	p ɾ o s t a t e v u n
πυρήνασ	p i ɾ i n a s
πυρηνικό	p i ɾ i n i k o
πόκερ	p o c e ɾ
ραλφ	ɾ a l f
σκοπεύει	s k o p e v i
σκοτεινά	s k o t i n a
σκοτώσουν	s k o t o s u n
σπουδάσει	s p u ð a s i
στάθησ	s t a θ i s
συμβάλλει	s i ɱ v a l i
συμπεριλαμβάνεται	s i m b e ɾ i l a ɱ v a n e t e
συνοικία	s i n i c i a
συντονισμού	s i n d o n i z m u
σχολικήσ	s x o l i c i s
σόδα	s o ð a
σύλληψησ	s i l i p s i s
σύρο	s i ɾ o
τελικήσ	t e l i c i s
τερματισμό	t e ɾ m a t i z m o
τετάρτησ	t e t a ɾ t i s
τρένα	t ɾ e n a
τραγωδίασ	t ɾ a ɣ o ð i a s
τσανγκ	t͡s a ŋ ɡ
τυριά	t i ɾ ʝ a
υπέγραψαν	i p e ɣ r a p s a n
φετινό	f e t i n o
φιλοδοξίεσ	f i l o ð o k s i e s
φορντ	f o ɾ d
φορτίου	f o ɾ t i u
φρίκη	f ɾ i c i
φροντίστε	f ɾ o n d i s t e
φυσικούσ	f i s i k u s
φωνάζεισ	f o n a z i s
φωτογραφική	f o t o ɣ r a f i c i
χουν	x u n
χρειαζεται	x ɾ i a z e t e
χρειαστούν	x ɾ i a s t u n
όμηρο	o m i ɾ o
όροφοσ	o ɾ o f o s
άνεμοι	a n e m i
άξιοσ	a k s i o s
άσπρα	a s p ɾ a
έβλεπαν	e v l e p a n
έπαθα	e p a θ a
ήπειροσ	i p i ɾ o s
αγροτικά	a ɣ ɾ o t i k a
αθλήματα	a θ l i m a t a
ακολουθείσ	a k o l u θ i s
ακου	a k u
αλλάζεισ	a l a z i s
αλλοι	a l i
ανέκδοτο	a n e k ð o t o
αναμετρήσεισ	a n a m e t ɾ i s i s
αναστασίου	a n a s t a s i u
αντέχουν	a n d e x u n
ανταγωνισμού	a n d a ɣ o n i z m u
αντιπάλων	a n d i p a l o n
αντρέα	a n d ɾ e a
αξιωματικό	a k s i o m a t i k o
απείλησε	a p i l i s e
ασχολήθηκε	a s x o l i θ i c e
ασχοληθώ	a s x o l i θ o
αυξημένο	a f k s i m e n o
αφετηρία	a f e t i ɾ i a
βιομηχανικήσ	v i o m i x a n i c i s
βλάκεσ	v l a c e s
γέροντα	ʝ e ɾ o n d a
γλιτώσει	ɣ l i t o s i
γλυκόσ	ɣ l i k o s
γνωρίσουμε	ɣ n o ɾ i s u m e
γνωστήσ	ɣ n o s t i s
γνωστών	ɣ n o s t o n
δελτιο	ð e l t i o
διαρκέσει	ð i̯ a ɾ c e s i
διεργασίεσ	ð i e ɾ ɣ a s i e s
διευθυντέσ	ð i e f θ i n d e s
δικού	ð i k u
δραχμέσ	ð ɾ a x m e s
εβδομάδων	e v ð o m a ð o n
εγκλημάτων	e ŋ ɡ l i m a t o n
εγκληματίεσ	e ŋ ɡ l i m a t i e s
εισάγει	i s a ʝ i
εκαβ	e k a v
εκπαιδευτικόσ	e k p e ð e f t i k o s
ελπίζει	e l p i z i
ενοχή	e n o ç i
εντόπισε	e n d o p i s e
εξι	e k s i
εοκ	e o k
επηρέασε	e p i ɾ e a s e
επιθεωρητήσ	e p i θ e o ɾ i t i s
ερ	e ɾ
ερμηνεύει	e ɾ m i n e v i
ευρωζώνησ	e v ɾ o z o n i s
ευρωλίγκα	e v ɾ o l i ŋ ɡ a
ζωησ	z o i s
ζωντανοί	z o n d a n i
ζώου	z o u
ηλικίεσ	i l i c i e s
ισχυρούσ	i s ç i ɾ u s
κατάλληλοσ	k a t a l i l o s
κατάρτιση	k a t a ɾ t i s i
κατασκευάστηκε	k a t a s c e v a s t i c e
καταστρέφουν	k a t a s t ɾ e f u n
κεφαλιού	c e f a ʎ u
κινέζοσ	c i n e z o s
κινήσεων	c i n i s e o n
κοινών	c i n o n
κουλτούρασ	k u l t u ɾ a s
κυβέρνησή	c i v e ɾ n i s i
κόστισε	k o s t i s e
λίγοσ	l i ɣ o s
λογω	l o ɣ o
λόφουσ	l o f u s
μάρσαλ	m a ɾ s a l
μήλα	m i l a
μίγμα	m i ɣ m a
μίσουσ	m i s u s
μετ	m e t
μετατρέπει	m e t a t ɾ e p i
μηδενική	m i ð e n i c i
μπότεσ	b o t e s
ξερα	k s e ɾ a
οικογένειέσ	i k o ʝ e n i e s
οικονομικόσ	i k o n o m i k o s
ομαδικό	o m a ð i k o
ονειρεύομαι	o n i ɾ e v o m e
ορίζονται	o ɾ i z o n d e
οσ	o s
οσοι	o s i
οτα	o t a
πελατών	p e l a t o n
περίφημη	p e ɾ i f i m i
περιστερίου	p e ɾ i s t e ɾ i u
πηγαίναμε	p i ʝ e n a m e
πλαστικά	p l a s t i k a
πλησίασε	p l i s i a s e
πολεμικήσ	p o l e m i c i s
ποντίκια	p o n d i c a
πράματα	p ɾ a m a t a
προβολέσ	p ɾ o v o l e s
προσφέρεται	p ɾ o s f e ɾ e t e
προσωρινό	p ɾ o s o ɾ i n o
ρένα	ɾ e n a
ρήγα	ɾ i ɣ a
σκοράρει	s k o ɾ a ɾ i
σολ	s o l
σπιτιών	s p i t ç o n
στέλνεισ	s t e l n i s
συμβαινει	s i ɱ v e n i
συνθέτησ	s i n θ e t i s
συχνότητεσ	s i x n o t i t e s
σχεση	s ç e s i
τερέζα	t e ɾ e z a
τόνων	t o n o n
υγιή	i ʝ i i
υιοθετήσει	i o θ e t i s i
υπεξ	i p e k s
υποδεικνύει	i p o ð i k n i i
φιλ	f i l
φοράτε	f o ɾ a t e
φυλακών	f i l a k o n
φωτό	f o t o
φύλων	f i l o n
χαμογελάσ	x a m o ʝ e l a s
χαρίζει	x a ɾ i z i
χρυσέσ	x ɾ i s e s
χωρητικότητασ	x o ɾ i t i k o t i t a s
ψυχολογίασ	p s i x o l o ʝ i a s
ύμνοσ	i m n o s
άθροισμα	a θ ɾ i z m a
άνεμο	a n e m o
άνθρωπε	a n θ ɾ o p e
άργησε	a ɾ ʝ i s e
έκαψε	e k a p s e
έλθει	e l θ i
έντυπα	e n d i p a
έπεφτε	e p e f t e
έρθετε	e ɾ θ e t e
ήμισυ	i m i s i
αβεβαιότητα	a v e v e o t i t a
αγγεία	a ŋ ɟ i a
αγγλικό	a ŋ ɡ l i k o
αγροτικών	a ɣ ɾ o t i k o n
αδελφούσ	a ð e l f u s
ακούν	a k u n
αλήτησ	a l i t i s
αμα	a m a
ανάκαμψη	a n a k a m p s i
αναγνωρίζεται	a n a ɣ n o ɾ i z e t e
ανακαίνιση	a n a c e n i s i
ανακοινώθηκαν	a n a c i n o θ i k a n
ανταγωνισμόσ	a n d a ɣ o n i z m o s
αντιπρόεδρο	a n d i p ɾ o e ð ɾ o
αξιωματούχοσ	a k s i o m a t u x o s
απαγορεύει	a p a ɣ o ɾ e v i
αρκούν	a ɾ k u n
αρχηγούσ	a ɾ ç i ɣ u s
αρχιεπισκόπου	a ɾ ç i e p i s k o p u
ασθενειών	a s θ e n i o n
ασκείται	a s c i t e
βίβλο	v i v l o
βίκτωρ	v i k t o ɾ
βενιζέλο	v e n i z e l o
βραδυ	v ɾ a ð i
βυζαντινήσ	v i z a n d i n i s
βόλοσ	v o l o s
βύρωνα	v i ɾ o n a
γαμπρό	ɣ a m b ɾ o
γκαρσία	ɡ a ɾ s i a
δημιουργίεσ	ð i m i u ɾ ʝ i e s
δημοτικόσ	ð i m o t i k o s
δημοφιλείσ	ð i m o f i l i s
διαβίωσησ	ð i̯ a v i o s i s
διαφορα	ð i̯ a f o ɾ a
διεξάγονται	ð i e k s a ɣ o n d e
δικαστή	ð i k a s t i
εκδίδει	e k ð i ð i
εκδοθεί	e k ð o θ i
εκκαθάριση	e k a θ a ɾ i s i
ελληνισμόσ	e l i n i z m o s
ενισχύει	e n i s ç i i
εντάσεισ	e n d a s i s
εξετάσει	e k s e t a s i
επίπεδη	e p i p e ð i
επεμβάσεισ	e p e ɱ v a s i s
επισκεφθεί	e p i s c e f θ i
επιτίθενται	e p i t i θ e n d e
επιτεθούν	e p i t e θ u n
ζωντανέσ	z o n d a n e s
ηθικά	i θ i k a
θαυμασμό	θ a v m a z m o
κήπουσ	c i p u s
καταδίωξη	k a t a ð i o k s i
καταστεί	k a t a s t i
κατηγορούμενοσ	k a t i ɣ o ɾ u m e n o s
κατηγορούν	k a t i ɣ o ɾ u n
κεράσω	c e ɾ a s o
κοιμηθούμε	c i m i θ u m e
κομοτηνήσ	k o m o t i n i s
κρατούμενοι	k ɾ a t u m e n i
κρυφή	k ɾ i f i
κόστα	k o s t a
κόψουν	k o p s u n
λατινικά	l a t i n i k a
λατρείασ	l a t ɾ i a s
λατρεύει	l a t ɾ e v i
ληστέσ	l i s t e s
λογαριασμοί	l o ɣ a ɾ ʝ a z m i
μεθυσμένοσ	m e θ i z m e n o s
μεμονωμένα	m e m o n o m e n a
μετατρέψει	m e t a t ɾ e p s i
μεταφέρθηκαν	m e t a f e ɾ θ i k a n
μικρότεροσ	m i k ɾ o t e ɾ o s
μονάχου	m o n a x u
μονοσ	m o n o s
μουν	m u n
μπ	b
μπουσ	b u s
μποφόρ	b o f o ɾ
μύθουσ	m i θ u s
νομίσματοσ	n o m i z m a t o s
ξεχάσουμε	k s e x a s u m e
οικονομικούσ	i k o n o m i k u s
ομιλητέσ	o m i l i t e s
πάνο	p a n o
παίδεσ	p e ð e s
παλαιών	p a l e o n
πανεπιστημιακό	p a n e p i s t i m i a k o
παρουσιάστηκαν	p a ɾ u s i a s t i k a n
παρουσιαστήσ	p a ɾ u s i a s t i s
πατριαρχείο	p a t ɾ i a ɾ ç i o
πειθαρχία	p i θ a ɾ ç i a
περιβάλλοντα	p e ɾ i v a l o n d a
περιπτωση	p e ɾ i p t o s i
πράξησ	p ɾ a k s i s
προεκλογική	p ɾ o e k l o ʝ i c i
προσέλαβε	p ɾ o s e l a v e
προσέξει	p ɾ o s e k s i
προτείνουν	p ɾ o t i n u n
πυκνότητα	p i k n o t i t a
πυροβολισμούσ	p i ɾ o v o l i z m u s
ρεπόρτερ	ɾ e p o ɾ t e ɾ
σάμο	s a m o
ση	s i
σημερινού	s i m e ɾ i n u
σκάνδαλα	s k a n ð a l a
σκαφών	s k a f o n
σκούπα	s k u p a
σταύρο	s t a v ɾ o
στεριά	s t e ɾ ʝ a
στοπ	s t o p
συμβούν	s i ɱ v u n
συναλλαγών	s i n a l a ɣ o n
συντάκτησ	s i n d a k t i s
συσκευών	s i s c e v o n
σώσουμε	s o s u m e
ταμείου	t a m i u
ταυτότητά	t a f t o t i t a
τελικα	t e l i k a
τζόζεφ	d͡z o z e f
τοίχοι	t i ç i
τούτη	t u t i
τρέχοντασ	t ɾ e x o n d a s
τραγουδά	t ɾ a ɣ u ð a
υπηρέτησε	i p i ɾ e t i s e
υποδηλώνει	i p o ð i l o n i
φέτεσ	f e t e s
φορέσω	f o ɾ e s o
φύλακεσ	f i l a c e s
χρήσιμεσ	x ɾ i s i m e s
χτίσει	x t i s i
ψυχολόγοσ	p s i x o l o ɣ o s
όμηροσ	o m i ɾ o s
άκουσαν	a k u s a n
άρθρων	a ɾ θ ɾ o n
έδρεσ	e ð ɾ e s
έκτακτο	e k t a k t o
έτρεχε	e t ɾ e ç e
αγάπησε	a ɣ a p i s e
αθλήτριεσ	a θ l i t ɾ i e s
αλεπού	a l e p u
ανάβει	a n a v i
αναχώρηση	a n a x o ɾ i s i
ανθρωπιστική	a n θ ɾ o p i s t i c i
ανταποκρίνεται	a n d a p o k ɾ i n e t e
αντιγόνη	a n d i ɣ o n i
ανώτεροσ	a n o t e ɾ o s
απαγωγή	a p a ɣ o ʝ i
απεργίεσ	a p e ɾ ʝ i e s
αρνήθηκαν	a ɾ n i θ i k a n
αρχιεπίσκοπο	a ɾ ç i e p i s k o p o
αυξανόμενη	a f k s a n o m e n i
αυτου	a f t u
αφήσαμε	a f i s a m e
αφαιρεθεί	a f e ɾ e θ i
βέβαιοσ	v e v e o s
βέλη	v e l i
βιταμίνεσ	v i t a m i n e s
βραχιόλι	v ɾ a ç o l i
γαμήσω	ɣ a m i s o
γυρίσουν	ʝ i ɾ i s u n
γυρνάσ	ʝ i ɾ n a s
διατίθεται	ð i̯ a t i θ e t e
δικηγόρου	ð i c i ɣ o ɾ u
διονυσίου	ð i o n i s i u
διπλωματική	ð i p l o m a t i c i
δοκιμών	ð o c i m o n
δολοφόνησε	ð o l o f o n i s e
δουμε	ð u m e
δούκισσα	ð u c i s a
δωδεκανήσου	ð o ð e k a n i s u
ειδησεισ	i ð i s i s
εισέρχεται	i s e ɾ ç e t e
εορτασμόσ	e o ɾ t a z m o s
επιθυμούν	e p i θ i m u n
επιρροέσ	e p i ɾ o e s
επισκέπτονται	e p i s c e p t o n d e
επιτρέπονται	e p i t ɾ e p o n d e
εφαρμόζει	e f a ɾ m o z i
εφηβεία	e f i v i a
εφικτή	e f i k t i
ηλεία	i l i a
θησαυρό	θ i s a v ɾ o
ιδίου	i ð i u
ιερόσ	i e ɾ o s
ιθαγενείσ	i θ a ʝ e n i s
ικανότητέσ	i k a n o t i t e s
κέντρων	c e n d ɾ o n
καθιστώντασ	k a θ i s t o n d a s
καλοκαιρινό	k a l o c e ɾ i n o
καμμένου	k a m e n u
κατακτήσεισ	k a t a k t i s i s
καταστάσεων	k a t a s t a s e o n
κεφ	c e f
κλινικέσ	k l i n i c e s
κοινωνικόσ	c i n o n i k o s
κοιτάνε	c i t a n e
κοιτάξεισ	c i t a k s i s
κωστή	k o s t i
κόμησ	k o m i s
λίμνεσ	l i m n e s
λαβή	l a v i
λεωφορείων	l e o f o ɾ i o n
λιμανιού	l i m a ɲ u
λοίμωξη	l i m o k s i
μάγκα	m a ŋ ɡ a
μάγοσ	m a ɣ o s
μάθατε	m a θ a t e
μαζεύει	m a z e v i
μακεδόνεσ	m a c e ð o n e s
μετάλλων	m e t a l o n
μεταξά	m e t a k s a
μηχανικήσ	m i x a n i c i s
μπε	b e
μπόνουσ	b o n u s
μπόρεσα	b o ɾ e s a
νεαρά	n e a ɾ a
νικόλασ	n i k o l a s
νομοθετικού	n o m o θ e t i k u
οθόνεσ	o θ o n e s
οικονομολόγοσ	i k o n o m o l o ɣ o s
ομορφιέσ	o m o ɾ f ç e s
ονομαστική	o n o m a s t i c i
ουδέποτε	u ð e p o t e
ουκρανίασ	u k ɾ a n i a s
ούρα	u ɾ a
πάση	p a s i
παλαιού	p a l e u
πανέμορφα	p a n e m o ɾ f a
πανε	p a n e
παραιτείται	p a ɾ e t i t e
παρτίδα	p a ɾ t i ð a
περιείχε	p e ɾ i i ç e
περιττό	p e ɾ i t o
πετάμε	p e t a m e
πιλότο	p i l o t o
πλεον	p l e o n
ποινήσ	p i n i s
πολιτιστικά	p o l i t i s t i k a
πολιτιστικών	p o l i t i s t i k o n
πρίζα	p ɾ i z a
προλάβω	p ɾ o l a v o
προοπτικέσ	p ɾ o o p t i c e s
προσπαθήσω	p ɾ o s p a θ i s o
προσωπικών	p ɾ o s o p i k o n
προφήτη	p ɾ o f i t i
προωθήσει	p ɾ o o θ i s i
προώθησησ	p ɾ o o θ i s i s
πυρηνικά	p i ɾ i n i k a
ρήγασ	ɾ i ɣ a s
σερβίασ	s e ɾ v i a s
σηκωθώ	s i k o θ o
σημαινει	s i m e n i
σημαντικοί	s i m a n d i c i
σκόνησ	s k o n i s
σταμάτη	s t a m a t i
στηρίξει	s t i ɾ i k s i
συγκεκριμένων	s i ŋ ɟ e k ɾ i m e n o n
συλλυπητήρια	s i l i p i t i ɾ i a
συμφέρει	s i ɱ f e ɾ i
συναλλαγή	s i n a l a ʝ i
σύμμαχοσ	s i m a x o s
τέτοιοι	t e t i i
τίσ	t i s
ταυτόχρονη	t a f t o x ɾ o n i
τείνουν	t i n u n
τερματοφύλακα	t e ɾ m a t o f i l a k a
τούνελ	t u n e l
τραβάσ	t ɾ a v a s
υποθέσω	i p o θ e s o
υποστηρίζοντασ	i p o s t i ɾ i z o n d a s
υποσχεθεί	i p o s ç e θ i
υποταγή	i p o t a ʝ i
φανερώνει	f a n e ɾ o n i
φράγκα	f ɾ a ŋ ɡ a
φρούτο	f ɾ u t o
φύλλων	f i l o n
χάρολντ	x a ɾ o l d
χείλοσ	ç i l o s
χρυσόστομοσ	x ɾ i s o s t o m o s
ψήφιση	p s i f i s i
ύπαιθρο	i p e θ ɾ o
άγγιξε	a ŋ ɟ i k s e
άγιαξ	a ʝ a k s
άντι	a n d i
άρεσαν	a ɾ e s a n
άσκησε	a s c i s e
έκρινε	e k ɾ i n e
έλειψε	e l i p s e
ένοχοσ	e n o x o s
έπαθεσ	e p a θ e s
έτρεξε	e t ɾ e k s e
αγάλματα	a ɣ a l m a t a
αγνή	a ɣ n i
αθλητικού	a θ l i t i k u
αλίκη	a l i c i
αμεα	a m e a
αμερικανού	a m e ɾ i k a n u
ανάθεση	a n a θ e s i
ανέκαθεν	a n e k a θ e n
ανέμουσ	a n e m u s
ανακαλύπτει	a n a k a l i p t i
αντέδρασε	a n d e ð ɾ a s e
αξίζεισ	a k s i z i s
απεγνωσμένα	a p e ɣ n o z m e n a
αποσυρθεί	a p o s i ɾ θ i
απόστολο	a p o s t o l o
απόφοιτοσ	a p o f i t o s
αρένα	a ɾ e n a
αραβικά	a ɾ a v i k a
αριστερών	a ɾ i s t e ɾ o n
ασύρματο	a s i ɾ m a t o
αυξάνουν	a f k s a n u n
βαφή	v a f i
γεμίζουν	ʝ e m i z u n
γκάμπριελ	ɡ a m b ɾ i e l
γνωριμίεσ	ɣ n o ɾ i m i e s
γονίδια	ɣ o n i ð ʝ a
γύρουσ	ʝ i ɾ u s
δείχνοντασ	ð i x n o n d a s
δηλώσεων	ð i l o s e o n
διέλυσε	ð i e l i s e
διαλυθεί	ð i̯ a l i θ i
διετία	ð i e t i a
διπλήσ	ð i p l i s
δραπέτευσε	ð ɾ a p e t e f s e
ειρηνικό	i ɾ i n i k o
εκμετάλλευσησ	e k m e t a l e f s i s
εκπα	e k p a
ελληνικα	e l i n i k a
ενωμένοι	e n o m e n i
ενώσεων	e n o s e o n
εξάρτηση	e k s a ɾ t i s i
επέτρεπε	e p e t ɾ e p e
επιβεβαιώθηκε	e p i v e v e o θ i c e
επιθυμείτε	e p i θ i m i t e
επικίνδυνοι	e p i c i n ð i n i
επιλέξεισ	e p i l e k s i s
