af	a f
kede	k eː ð ə
kids	k i s
klienter	k l i ɛ n t ə r
kravet	k r aː v ə ð
laboratorium	l a b o r a t oː r i ɔ m
letter	l ɛ t ə r
lovende	l ɔ v ə n ə
lykkelige	l ø k ə l i ə
mærkes	m ɛ r k ə s
ovennævnte	ɔ v ə n ɛ v n t ə
pokkers	p ɔ k ə r s
punk	p o n k
påske	p ɔ s k ə
påstande	p ɔ s t a n ə
regnes	r a j n ə s
resterne	r ɛ s t ə r n ə
rick	r e k
rocky	r ɔ k i
run	r uː n
russell	r u s ɛ l
rydder	r y ð ə r
salat	s a l aː t
semifinalen	s e m i f i n aː l ə n
senator	s e n aː t ə r
slikke	s l e k ə
small	s m a l
standse	s t a n s ə
stifter	s t e f t ə r
styrtede	s t y r t ə ð ə
summen	s o m ə n
tiders	t iː d ə r s
tiltrækker	t e l t r ɛ k ə r
topscorer	t ɔ p s k oː r ə r
vellykket	v ɛ l ø k ə ð
videnskaben	v iː ð ə n s k aː b ə n
vinduerne	v e n d u ə r n ə
warren	v a r ə n
åbenhed	ɔː b ə n h e ðˀ
absolutte	a b s o l u t ə
begrænser	b e ɡ r ɛ n s ə r
beholdt	b e h ɔ l t
besættelse	b e s ɛ t ə l s ə
biografer	b i o ɡ r aː f ə r
bolde	b ɔ l ə
bremser	b r ɛ m s ə r
chaufføren	s j o f øː r ə n
dallas	d a l a s
dyrket	d y r k ə ð
dømmer	d œ m ə r
eksplosion	ɛ k s p l o s j oː n
erklærer	ɛ r k l ɛː r ə r
flasken	f l a s k ə n
flotteste	f l ɔ t ə s t ə
forest	f ɔ r ɛ s t
forklares	f ɔ r k l aː r ə s
fremlagt	f r ɛ m l a ɡ t
fuglen	f uː l ə n
føltes	f ø l t ə s
giftes	ɡ i f t ə s
halloween	h a l ɔ w eː n
hand	h a nˀ
hjemmesider	j ɛ m ə s iː d ə r
hollandske	h ɔ l a n s k ə
hugo	h uː ɡ o
inter	e n t ə r
jeps	j ɛ p s
keder	k eː d ə r
knapt	k n a p t
koncernen	k ɔ n s ɛ r n ə n
kontrollerer	k ɔ n t r ɔ l eː r ə r
lands	l a n s
ligemeget	l iː ə m a j ə ð
lovlig	l ɔ v l i
lyve	l yː v ə
magic	m a ɡ i k
marc	m a r k
margaret	m a r ɡ a r ɛ t
markante	m a r k a n t ə
obligatorisk	ɔ b l i ɡ a t oː r i s k
opfordre	ɔ p f ɔ r d r ə
osse	ɔ s ə
palæstina	p a l ɛ s t iː n a
rare	r aː r ə
redegørelse	r eː ð ə ɡ øː r ə l s ə
rutine	r u t iː n ə
sjæle	s j ɛː l ə
skiftende	s k e f t ə n ə
snakken	s n a k ə n
stormen	s t ɔ r m ə n
sædet	s ɛː ð ə ð
sænk	s ɛ n k
terry	t ɛ r i
tilfældig	t e l f ɛ l d i
triste	t r e s t ə
umulig	u m uː l i
urter	u r t ə r
valuta	v a l u t a
vestergaard	v ɛ s t ə r ɡ ɔː r
visioner	v i s j oː n ə r
væsener	v ɛː s ə n ə r
wars	v a r s
ørerne	øː r ə r n ə
angives	a n ɡ iː v ə s
antibiotika	a n t i b i oː t i k a
arbejdsløshed	a r b a j d s l øː s h e ðˀ
behøvede	b e h øː v ə ð ə
betegnes	b e t a j n ə s
bevægelsen	b e v ɛː ɡ ə l s ə n
bidt	b i t
carter	k a r t ə r
drak	d r a k
dækkede	d ɛ k ə ð ə
ebeltoft	eː b ə l t ɔ f t
fastholde	f a s t h ɔ l ə
fedeste	f eː ð ə s t ə
forhøjet	f ɔ r h ø j ə ð
forlaget	f ɔ r l aː ɣ ə ð
forvirrende	f ɔ r v i r ə n ə
fremhæve	f r ɛ m h ɛː v ə
førstepladsen	f œ r s t ə p l a s ə n
golden	ɡ ɔ l ə n
grise	ɡ r iː s ə
herlig	h ɛ r l i
historiens	h i s t o r i ɛ n s
hits	h i t s
husene	h uː s ə n ə
indbygget	e n b ø ɡ ə t
indse	e n s ə
jakken	j a k ə n
jenny	j ɛ n i
kennedy	k ɛ n ə d yː
koder	k oː d ə r
krige	k r iː ə
landsbyer	l a n s b yː ə r
leon	l eː ɔ n
lis	l iː s
litterære	l i t ə r ɛː r ə
lykken	l ø k ə n
lånt	l ɔ n t
løve	l øː v ə
manhattan	m a n h a t a n
masker	m a s k ə r
monica	m o n i k a
måles	m ɔː l ə s
nedgang	n e d ɡ a n ɡ
nødvendighed	n ø ð v ɛ n d i h e ðˀ
opstart	ɔ p s t a r t
optages	ɔ p t aː ɡ ə s
overgår	ɔ v ə r ɡ ɔː r
overvejede	ɔ v ə r v a j ə ð ə
placeres	p l a s eː r ə s
points	p o e n t s
putter	p u t ə r
rammes	r a m ə s
roll	r ɔ l
romerske	r oː m ə r s k ə
rygtet	r ø k t ə ð
rykkede	r ø k ə ð ə
seattle	s e a t l ə
skriger	s k r iː ə r
sløret	s l øː r ə ð
smelter	s m ɛ l t ə r
sokker	s ɔ k ə r
solskin	s oː l s k iː n
step	s t ɛ p
stjernerne	s t j ɛ r n ə r n ə
stjæler	s t j ɛː l ə r
strenge	s t r ɛ n ɡ ə
striber	s t r iː b ə r
sving	s v e n ɡ
tortur	t ɔ r t uː r
trang	t r a n ɡ
trives	t r iː v ə s
træffer	t r ɛ f ə r
udgive	u d ɡ iː v ə
udløser	u d l øː s ə r
vintage	v e n t aː ɡ ə
ørkenen	œ r k ə n ə n
afd	a f d
afgive	a f ɡ iː v ə
afsluttede	a f s l u t ə ð ə
ark	a r k
atmosfæren	a t m o s f ɛː r ə n
badet	b aː d ə ð
barry	b a r i
barsel	b a r s ə l
basel	b aː s ə l
betragte	b e t r a k t ə
betydelige	b e t yː d ə l i ə
bevares	b e v aː r ə s
colin	k o l iː n
datters	d a t ə r s
dawn	d a w n
delen	d eː l ə n
figuren	f i ɡ yː r ə n
fis	f iː s
forbinde	f ɔ r b e n ə
fornyelse	f ɔ r n yː ə l s ə
fragt	f r a k t
frankrigs	f r a n k r iː s
frugter	f r o k t ə r
garanterer	ɡ a r a n t eː r ə r
genskabe	ɡ ɛ n s k aː b ə
gin	ɡ iː n
halvvejs	h a l v a jˀ s
helen	h eː l ə n
holmes	h ɔ l m ə s
hope	h oː p ə
hyldest	h y l ə s t
indefra	e n ə f r a
indsamle	e n s a m l ə
involverer	e n v ɔ l v ə r ə r
juul	j uː l
kirk	k i r k
knive	k n iː v ə
koner	k oː n ə r
leonard	l e o n a r
libanon	l i b a n oː n
made	m aː d ə
mikrofon	m i k r o f oː n
mindede	m e n ə ð ə
mols	m ɔ l s
nattens	n a t ə n s
nært	n ɛ r t
objekt	ɔ b j ɛ k t
opfattes	ɔ p f a t ə s
opfylder	ɔ p f y l ə r
optog	ɔ p t ɔ ɡ
planten	p l a n t ə n
retssagen	r ɛ t s aː ɣ ə n
rich	r i s
sanne	s a n ə
sats	s a t s
sitet	s i t eː t
skaffede	s k a f ə ð ə
skandinavien	s k a n d i n a v iː ə n
skuffe	s k o f ə
smagte	s m a k t ə
smerten	s m ɛ r t ə n
snyd	s n yː d
spider	s p iː d ə r
sprøjte	s p r ø j t ə
stan	s t a n
stemmerne	s t ɛ m ə r n ə
stilles	s t e l ə s
stinker	s t e n k ə r
støttede	s t ø t ə ð ə
søgen	s øː j ə n
tilpasse	t e l p a s ə
torino	t o r iː n o
tæsk	t ɛ s k
undergang	o n ə r ɡ a n ɡ
undskylde	o n s k y l ə
ødelæggelse	øː ð ə l ɛ ɡ ə l s ə
øjeblikkelig	ø j ə b l e k ə l i
aar	aː r
afløser	a f l øː s ə r
alfa	a l f a
allé	a l e
arrangerer	a r a n ɡ eː r ə r
ba	b a
basen	b aː s ə n
birthe	b i r t ə
buddy	b u d i
challenge	s j a l ɛ n ɡ ə
costa	k ɔ s t a
diabetes	d i a b eː t ə s
dong	d ɔ n ɡ
forsvundne	f ɔ r s v o n ə
frække	f r ɛ k ə
handsker	h a n s k ə r
havne	h a v n ə
hundene	h o n ə n ə
inddrage	e n d r aː ɣ ə
ip	i p
jørn	j œ r n
klaver	k l aː v ə r
komedie	k o m eː d i ə
kommentere	k ɔ m ə n t eː r ə
kontorer	k ɔ n t oː r ə r
kuffert	k o f ə r t
kursen	k u r s ə n
lommen	l ɔ m ə n
lortet	l ɔ r t ə ð
mentale	m ɛ n t aː l ə
neil	n ɛ jˀ l
opgiver	ɔ p ɡ iː v ə r
opskrifter	ɔ p s k r e f t ə r
putte	p u t ə
savage	s a v aː ɡ ə
senatet	s e n a t eː t
senge	s ɛ n ɡ ə
sletter	s l ɛ t ə r
soft	s ɔ f t
stiftstidende	s t e f t s t iː d ə n ə
støtten	s t ø t ə n
såfremt	s ɔ f r ɛ m t
sænker	s ɛ n k ə r
taknemmelig	t a k n ɛ m ə l i
tasken	t a s k ə n
tasker	t a s k ə r
thompson	t ɔ m p s ɔ n
trailer	t r a j l ə r
trappen	t r a p ə n
trænede	t r ɛː n ə ð ə
tørrer	t œ r ə r
uddanne	u d a n ə
udsætte	u d s ɛ t ə
valley	v a l i
vanløse	v a n l øː s ə
voldtaget	v ɔ l t aː ɣ ə ð
væddemål	v ɛ ð ə m ɔː l
walker	v a l k ə r
whisky	v i s k yː
åbenlyst	ɔː b ə n l ø s t
arbejdsløse	a r b a j d s l øː s ə
arrangementet	a r a n ɡ ə m a n t ə t
barnets	b a r n ɛ t s
beskrivelser	b e s k r iː v ə l s ə r
bål	b ɔː l
deadline	d e a d l iː n ə
dominerer	d o m i n eː r ə r
eksemplar	ɛ k s ɛ m p l a r
embedsmænd	ɛ m b e d s m ɛ n d
erhvervs	ɛ r v ɛ r v s
erklærede	ɛ r k l ɛː r ə ð ə
fjernsynet	f j ɛ r n s yː n ə ð
flammer	f l a m ə r
forløbet	f ɔ r l øː b ə ð
forårsage	f ɔ r ɔ r s aː ɡ ə
frekvens	f r ɛ k v ɛ n s
friday	f r i d æ j
future	f u t yː r ə
gonna	ɡ ɔ n a
hobby	h ɔ b i
homer	h oː m ə r
homoseksuelle	h o m o s ɛ k s u ɛ l ə
hp	h oː p eː
hunter	h o n t ə r
håndværkere	h ɔ n v ɛ r k ə r ə
hælder	h ɛ l ə r
ikast	i k a s t
indhente	e n h ɛ n t ə
individer	e n d i v iː d ə r
indtægt	e n t ɛ ɡ t
infektion	e n f ɛ k s j oː n
ironisk	i r oː n i s k
its	i t s
jesse	j ɛ s ə
karantæne	k a r a n t ɛː n ə
knep	k n eː p
kommission	k ɔ m i s j oː n
kontekst	k ɔ n t ɛ k s t
korsør	k ɔ r s øː r
kur	k uː r
lena	l eː n a
les	l eː s
lettelse	l ɛ t ə l s ə
låse	l ɔː s ə
madame	m a d aː m ə
miner	m iː n ə r
profit	p r o f i t
psykiatri	s y k i a t r iː
rex	r ɛ k s
riget	r iː ə ð
rystet	r ø s t ə ð
rørende	r øː r ə n ə
skatte	s k a t ə
slapper	s l a p ə r
sunget	s o n ɡ ə ð
svinet	s v iː n ə ð
tavlen	t a v l ə n
tjekkiet	t j ɛ k i ə ð
tæer	t ɛː ə r
varmer	v a r m ə r
vera	v eː r a
våbenhvile	v ɔː b ə n v iː l ə
ånder	ɔ n ə r
admiral	a d m i r aː l
afkast	a f k a s t
aftalte	a f t a l t ə
animation	a n i m a ɕ oˀ n
annonce	a n ɔ n s ə
banks	b a n k s
batman	b a t m aː n
blodige	b l oː d i ə
brygge	b r ø ɡ ə
børnebørn	b œ r n ə b œ r n
centre	s ɛ n t r ə
chase	s j aː s ə
cyklen	s y k l ə n
dernede	d ɛ r n eː ð ə
destinationer	d ɛ s t i n a ɕ oˀ n ə r
dirigent	d i r i ɡ ɛ n t
div	d iːˀ v
domme	d ɔ m ə
dommerne	d ɔ m ə r n ə
domstol	d ɔ m s t ɔ l
dortmund	d ɔ r t m o n d
filmens	f i l m ɛ n s
finansloven	f i n a n s l ɔ vˀ ə n
gemte	ɡ ɛ m t ə
genetisk	ɡ e n eː t i s k
gennemsnitligt	ɡ ɛ n ə m s n i t l i t
gitte	ɡ i t ə
haha	h a h a
helikopter	h e l i k ɔ p t ə r
herrens	h ɛ r ə n s
hong	h ɔ n ɡ
invasion	e n v a s j oː n
jet	j ɛ t
justitsminister	j u s t i t s m i n i s t ə r
jæger	j ɛː ɣ ə r
klap	k l a p
konkurrere	k ɔ n k u r eː r ə
kundeservice	k o n ə s ɛ r v iː s ə
kurve	k o r v ə
købet	k øː b ə ð
lejede	l a j ə ð ə
login	l o ɡ iː n
mappe	m a p ə
marx	m a r k s
mi	m iː
opererer	ɔ p ə r eː r ə r
pastor	p a s t ɔ r
propaganda	p r o p a ɡ a n d a
pølse	p ø l s ə
rotter	r ɔ t ə r
rund	r o nˀ
skipper	s k e p ə r
somme	s ɔ m ə
soul	s uː l
sportsgrene	s p ɔ r t s ɡ r eː n ə
stabilitet	s t a b i l i t eː t
statsborgere	s t a t s b ɔ r ɡ eː r ə
stemmen	s t ɛ m ə n
stoppes	s t ɔ p ə s
student	s t u d ɛ n t
svarene	s v aː r ə n ə
sønder	s ø n ə r
talen	t aː l ə n
tempel	t ɛ m p ə l
tronen	t r oː n ə n
tråden	t r ɔː ð ə n
uniform	u n i f ɔ r m
villet	v i l ə ð
abu	a b u
afslappet	a f s l a p ə t
ana	aː n a
annie	a n i ə
bade	b aː d ə
beskrev	b e s k r eːˀ v
blogindlæg	b l ɔ ɡ e n l ɛ ɡ
buck	b o k
bue	b uː ə
drake	d r aː k ə
drøfte	d r œ f t ə
falck	f a l k
fangerne	f a n ɡ ə r n ə
finans	f i n a n s
finansminister	f i n a n s m i n i s t ə r
fordomme	f ɔ r d ɔ m ə
forever	f ɔ r ɛː v ə r
fraværende	f r a v ɛː r ə n ə
gennemgik	ɡ ɛ n ə m ɡ i k
hentes	h ɛ n t ə s
hoppede	h ɔ p ə ð ə
hæk	h ɛ k
indblik	e n b l e k
intenst	e n t ɛ n s t
ios	i oː s
jøderne	j øː ð ə r n ə
knibe	k n iː b ə
langsomme	l a n ɡ s ɔ m ə
low	l ɔ w
loyalitet	l ø j a l i t eː t
meld	m ɛ lˀ
moren	m oː r ə n
motel	m o t ɛ l
mægtige	m ɛ ɡ t i ə
mærkede	m ɛ r k ə ð ə
nancy	n a n s i
nate	n aː t ə
officerer	ɔ f i s eː r ə r
olympiske	o l ø m p i s k ə
opførelse	ɔ p f øː r ə l s ə
owen	ɔ w ə n
passion	p a s j oː n
planterne	p l a n t ə r n ə
porte	p ɔ r t ə
præmier	p r ɛ m iː ə r
ralph	r a l f
rammerne	r a m ə r n ə
romaner	r o m aː n ə r
shirts	s j i r t s
skyldtes	s k y l t ə s
slæbe	s l ɛː b ə
struer	s t r uː ə r
strålende	s t r ɔː l ə n ə
styrede	s t yː r ə ð ə
superliga	s u p ə r l i ɡ a
såmænd	s ɔ m ɛ n d
tilstede	t e l s t eː ð ə
town	t ɔ w n
trådt	t r ɔ t
tømt	t œ m t
tørklæde	t œ r k l ɛː ð ə
udsalg	u d s a lˀ ɣ
ulemper	u l ɛ m p ə r
vask	v a s k
venedig	v eː n ə ð i
watson	v a t s ɔ n
wide	v iː ð ə
ærø	ɛ r øː
øvet	øː v ə ð
administrerende	a d m i n i s t r eː r ə n ə
afsluttende	a f s l u t ə n ə
aktører	a k t øː r ə r
ambitiøse	a m b i s j øː s ə
ap	a p
beck	b ɛ k
bier	b iː ə r
cigaretter	s i ɡ a r ɛ t ə r
cole	k oː l ə
dannede	d a n ə ð ə
derby	d ɛ r b yː
dimension	d i m ɛ n s j oː n
ergo	ɛ r ɡ o
eye	a j ə
faser	f aː s ə r
fastsat	f a s t s a t
forfølger	f ɔ r f œ l j ə r
frækt	f r ɛ k t
førtidspension	f œ r t i d s p ɛ n s j oː n
grande	ɡ r a n ə
inderst	e n ə r s t
investerer	e n v ɛ s t eː r ə r
jessica	j ɛ s i k a
lucy	l u s i
løbere	l øː b ə r ə
middelalderen	m i d ə l a l d eː r ə n
musikalsk	m u s i k aː l s k
navigation	n a v i ɡ a ɕ oˀ n
nydelse	n yː d ə l s ə
omsider	ɔ m s iː d ə r
opholdet	ɔ p h ɔ l ə ð
overholde	ɔ v ə r h ɔ l ə
porter	p ɔ r t ə r
prioritet	p r i o r i t eː t
præsentation	p r ɛ s ə n t a ɕ oˀ n
påstå	p ɔ s t ɔ
rapper	r a p ə r
skuffer	s k o f ə r
skyldige	s k y l d i ə
smæk	s m ɛ k
spencer	s p ɛ n s ə r
spids	s p i s
stifte	s t e f t ə
stjernen	s t j ɛ r n ə n
straffes	s t r a f ə s
telefoner	t e l ə f oː n ə r
tottenham	t ɔ t ə n h a m
uddannede	u d a n ə ð ə
vasker	v a s k ə r
wallace	v a l a s ə
yder	yː d ə r
zoom	s oː m
øerne	øː ə r n ə
almene	a l m eː n ə
audi	a v d i
babe	b aː b ə
bander	b a n ə r
bas	b aː s
bluse	b l uː s ə
busk	b u s k
change	s j a n ɡ ə
china	s j iː n a
ejes	a j ə s
facaden	f a k aː d ə n
fashion	f a s j oː n
fisken	f e s k ə n
forebygge	f ɔ r ə b ø ɡ ə
formelle	f ɔ r m ɛ l ə
fuldført	f u l f ø r t
genrer	ɡ ɛ n r ə r
gensyn	ɡ ɛ n s yː n
grækerne	ɡ r ɛː k ə r n ə
grønlands	ɡ r œ n l a n s
hastigheder	h a s t i h eː d ə r
hemmeligheder	h ɛ m ə l i h eː d ə r
hærværk	h ɛ r v ɛ r k
ingeniører	e n ɡ ə n j øː r ə r
karin	k a r iː n
knuste	k n o s t ə
knytter	k n ø t ə r
konklusioner	k ɔ n k l u s j oː n ə r
kontanter	k ɔ n t a n t ə r
kredse	k r ɛ s ə
leipzig	l a j p s i
lp	ɛ l p eː
lukkes	l o k ə s
lyser	l yː s ə r
låner	l ɔː n ə r
madonna	m a d ɔ n a
majs	m a jˀ s
mandat	m a n d a t
marilyn	m a r i l yː n
markerer	m a r k eː r ə r
masken	m a s k ə n
morgenmaden	m ɔ r ə n m aː d ə n
musiker	m uː s i k ə r
opdraget	ɔ p d r aː ɣ ə ð
opfinder	ɔ p f e n ə r
overtale	ɔ v ə r t aː l ə
parametre	p a r a m eː t r ə
pung	p o n ɡ
reparation	r ɛ p a r a ɕ oˀ n
retfærdig	r ɛ t f ɛ r d i
rettede	r ɛ t ə ð ə
rider	r iː d ə r
ritzau	r i t s a w
rytme	r ø t m ə
satellit	s a t ə l i t
sherlock	s j ɛ r l ɔ k
skandale	s k a n d aː l ə
skyer	s k yː ə r
slanger	s l a n ɡ ə r
snacks	s n a k s
solens	s o l ɛ n s
sovs	s ɔ vˀ s
spredes	s p r eː ð ə s
sølle	s ø l ə
text	t ɛ k s t
tilslutte	t e l s l u t ə
transportere	t r a n s p ɔ r t eː r ə
udløber	u d l øː b ə r
udstiller	u d s t e l ə r
uheldige	u h ɛ l d i ə
ultimate	u l t i m aː t ə
ulve	u l v ə
usandsynligt	u s a n s yː n l i t
varmere	v a r m eː r ə
værløse	v ɛ r l øː s ə
wolf	v ɔ l f
ødelæggende	øː ð ə l ɛ ɡ ə n ə
aha	a h a
alpha	a l f a
anette	a n ɛ t ə
annoncer	a n ɔ n s ə r
ass	a s
axel	a k s ə l
benet	b eː n ə ð
bilulykke	b i l u l ø k ə
bokser	b ɔ k s ə r
cyklister	s y k l i s t ə r
derind	d e r e n d
duft	d o f t
dyrkede	d y r k ə ð ə
enterprise	ɛ n t ə r p r iː s ə
farvet	f a r v ə ð
ferrari	f ɛ r a r iː
forbandelse	f ɔ r b a n ə l s ə
gravide	ɡ r a v iː ð ə
half	h a l f
herovre	h ɛ r ɔ v r ə
hills	h e l s
human	h u m aː n
image	i m aː ɡ ə
jess	j ɛ s
jægere	j ɛː ɣ ə r ə
kanin	k a n iː n
kanoner	k a n oː n ə r
kloster	k l ɔ s t ə r
knækker	k n ɛ k ə r
kunstneren	k o n s t n eː r ə n
kvindes	k v e n ə s
liget	l iː ə ð
lindholm	l e n h ɔ l m
lynge	l ø n ɡ ə
lægemidler	l ɛː ɣ ə m i d l ə r
løkken	l ø k ə n
merlin	m ɛ r l iː n
michelsen	m i s ə l s ə n
mona	m oː n a
most	m ɔ s t
multi	m u l t i
murphy	m u r f yː
ofrene	ɔ f r eː n ə
opdatere	ɔ p d a t eː r ə
organisere	ɔ r ɡ a n i s eː r ə
passerede	p a s eː r ə ð ə
placerer	p l a s eː r ə r
pletter	p l ɛ t ə r
posen	p oː s ə n
potentielle	p o t ə n s j ɛ l ə
price	p r iː s ə
ringere	r e n ɡ eː r ə
satans	s a t a n s
screen	s k r eː ə n
sejlet	s a j l ə ð
semi	s e m iː
skalaen	s k a l aː ə n
skræmt	s k r ɛ m t
smadrede	s m a d r eː ð ə
sparta	s p a r t a
specifik	s p e s i f i k
stave	s t aː v ə
stejle	s t a j l ə
still	s t e l
stråler	s t r ɔː l ə r
stuart	s t u a r t
styrelse	s t yː r ə l s ə
taktisk	t a k t i s k
teknologien	t ɛ k n o l o ɡ iː ə n
teologi	t e o l o ɡ iː
teoretiske	t e o r eː t i s k ə
tilføjede	t e l f ø j ə ð ə
truslen	t r u s l ə n
umiddelbar	u m i d ə l b a r
ut	u t
varierende	v a r i eː r ə n ə
vasken	v a s k ə n
vojens	v ɔ j ə n s
årsagerne	ɔ r s aː ɣ ə r n ə
aktioner	a k s j oː n ə r
angela	a n ɡ ə l a
arrangeres	a r a n ɡ eː r ə s
barns	b a r n s
bass	b a s
billigste	b i l i s t ə
bunke	b o n k ə
buske	b u s k ə
båndet	b ɔ n ə ð
domkirke	d ɔ m k i r k ə
driller	d r e l ə r
drømt	d r œ m t
duer	d uː ə r
erhvervsliv	ɛ r v ɛ r v s l iː v
etiopien	e t i o p iː ə n
fanen	f aː n ə n
feb	f eː b
flinke	f l e n k ə
flyselskab	f l yː s ə l s k aː b
forandret	f ɔ r a n d r ɛ t
forpligtelser	f ɔ r p l e ɡ t ə l s ə r
foster	f ɔ s t ə r
fotografier	f o t o ɡ r a f iː ə r
gavner	ɡ a v n ə r
gennemføres	ɡ ɛ n ə m f øː r ə s
glatte	ɡ l a t ə
gro	ɡ r oːˀ
havner	h a v n ə r
hidtidige	h i d t iː d i ə
indset	e n s ɛ t
influenza	e n f l u ɛ n s a
instruktion	e n s t r u k s j oː n
instruktioner	e n s t r u k s j oː n ə r
iranske	i r aː n s k ə
islands	i s l a n s
kane	k aː n ə
klassikere	k l a s i k eː r ə
konkurrent	k ɔ n k u r ɛ n t
kærligt	k ɛ r l i t
landskamp	l a n s k a m p
lionel	l i o n ɛ l
lunde	l o n ə
maja	m a j a
malcolm	m a l k ɔ l m
massere	m a s eː r ə
ministerium	m i n i s t eː r i ɔ m
moment	m o m ɛ n t
nakke	n a k ə
nicole	n i k oː l ə
nægtet	n ɛ ɡ t ə ð
opdragelse	ɔ p d r aː ɣ ə l s ə
opfindelse	ɔ p f e n ə l s ə
opskriften	ɔ p s k r e f t ə n
optik	ɔ p t i k
overtrædelse	ɔ v ə r t r ɛː d ə l s ə
piper	p iː p ə r
påsken	p ɔ s k ə n
raw	r a w
renter	r ɛ n t ə r
resulterer	r ɛ s u l t eː r ə r
rygterne	r ø k t ə r n ə
rystede	r ø s t ə ð ə
sanders	s a n ə r s
sandra	s a n d r a
sejlads	s a j l a s
sexede	s ɛ k s ə ð ə
sluge	s l uː ə
smitte	s m e t ə
spejle	s p a j l ə
statistisk	s t a t i s t i s k
sut	s u t
syne	s yː n ə
sæbe	s ɛː b ə
teknikken	t ɛ k n e k ə n
them	t ɛ mˀ
tilfældige	t e l f ɛ l d i ə
trans	t r a n s
ubåd	u b ɔː d
uld	u lˀ
universiteterne	u n i v ɛ r s i t eː t ə r n ə
usynlige	u s yː n l i ə
utrolige	u t r oː l i ə
villige	v i l i ə
vådt	v ɔ t
accept	a k s ɛ p t
afløst	a f l ø s t
aggressiv	a ɡ r ɛ s iː v
allerød	a l ə r øː d
amatører	a m a t øː r ə r
automatiske	a v t o m aː t i s k ə
aviserne	a v iː s ə r n ə
bangkok	b a n ɡ k ɔ k
bestemmelse	b e s t ɛ m ə l s ə
better	b ɛ t ə r
bilder	b i l ə r
borg	b ɔ r v
butler	b u t l ə r
dal	d a l
dude	d uː d ə
egner	a j n ə r
elevator	e l ə v aː t ə r
fyrværkeri	f y r v ɛ r k ə r iː
gebyr	ɡ e b yː r
gennemsnitlig	ɡ ɛ n ə m s n i t l i
glædet	ɡ l ɛː ð ə ð
ideelle	i d e ɛ l ə
indfødte	e n f ø t ə
inventar	e n v ɛ n t a r
josé	j o s e
kanter	k a n t ə r
kjolen	k j oː l ə n
konfirmation	k ɔ n f i r m a ɕ oˀ n
kristendommen	k r e s t ə n d ɔ m ə n
kristoffer	k r i s t ɔ f ə r
kronen	k r oː n ə n
kyssede	k y s ə ð ə
landsret	l a n s r ɛ t
latter	l a t ə r
logget	l ɔ ɡ ə ð
mann	m a n
meddeler	m ɛ ð ə l ə r
medina	m e d iː n a
mildt	m i l t
muslim	m u s l iː m
nominerede	n o m i n eː r ə ð ə
omverdenen	ɔ m v ɛ r d ə n ə n
oprørere	ɔ p r ø r eː r ə
optimale	ɔ p t i m aː l ə
organ	ɔ r ɡ aː n
pan	p a n
parkere	p a r k eː r ə
partnerskab	p a r t n ə r s k aː b
pisk	p e s k
præstationer	p r ɛ s t a ɕ oˀ n ə r
racisme	r a s i s m ə
robbie	r ɔ b i ə
sangene	s a n ɡ ə n ə
skåle	s k ɔː l ə
smadrer	s m a d r ə r
stabile	s t a b iː l ə
straffen	s t r a f ə n
sædvanligt	s ɛ d v a n l i t
tegneserie	t a j n ə s eː r i ə
tidsrum	t i d s r ɔ m
tilmelde	t e l m ɛ l ə
tomater	t o m aː t ə r
trøjer	t r ø j ə r
tu	t uːˀ
udløste	u d l ø s t ə
udskudt	u d s k u t
undslap	o n s l a p
vandre	v a n d r ə
varetager	v aː r ə t aː ɣ ə r
vester	v ɛ s t ə r
why	v yːˀ
airport	ɛ r p ɔ r t
aktivister	a k t i v i s t ə r
andrea	a n d r eː a
atp	a t eː p eː
blokke	b l ɔ k ə
bænken	b ɛ n k ə n
claire	k l ɛː r ə
ekstraordinært	ɛ k s t r a ɔ r d i n ɛ r t
ella	ɛ l a
facade	f a k aː d ə
fo	f oːˀ
frelse	f r ɛ l s ə
fremsat	f r ɛ m s a t
fødes	f øː ð ə s
følsom	f ø l s ɔ m
garantere	ɡ a r a n t eː r ə
gårde	ɡ ɔ r d ə
gåtur	ɡ ɔ t uː r
handlet	h a n l ə ð
hektar	h ɛ k t a r
humoristisk	h u m o r i s t i s k
hæver	h ɛː v ə r
inddraget	e n d r aː ɣ ə ð
indehaver	e n ə h aː v ə r
iso	iː s o
jammerbugt	j a m ə r b o k t
jules	j uː l ə s
jævne	j ɛ v n ə
kendetegn	k ɛ n ə t a j n
kiks	k i k s
kredit	k r e d i t
kronik	k r o n i k
kulden	k u l ə n
kunstigt	k o n s t e k t
kviklån	k v i k l ɔː n
kyle	k yː l ə
kønt	k ø n t
landene	l a n ə n ə
landsretten	l a n s r ɛ t ə n
ledet	l eː ð ə ð
lommer	l ɔ m ə r
lovens	l ɔ v ə n s
markus	m a r k u s
marvin	m a r v iː n
medicinen	m e d i s iː n ə n
mobilitet	m o b i l i t eː t
mænds	m ɛ n s
nemmeste	n ɛ m ə s t ə
nytorv	n y t ɔ r v
observationer	ɔ b s ɛ r v a ɕ oˀ n ə r
overdraget	ɔ v ə r d r aː ɣ ə ð
overladt	ɔ v ə r l a t
parfume	p a r f uː m ə
paven	p aː v ə n
politifolk	p o l i t i f ɔ l k
sfo	s f oːˀ
skræmme	s k r ɛ m ə
skyerne	s k yː ə r n ə
slam	s l a m
sniger	s n iː ə r
støvet	s t øː v ə ð
trek	t r ɛ k
udtrykt	u d t r ø k t
urban	u r b aː n
