ovat	o ʋ ɑ t
edullisia	e d u lː i s i ɑ
edustamaan	e d u s t ɑ m ɑː n
eläimille	e l æ i̯ m i lː eˣ
elämästäni	e l æ m æ s t æ n i
emily	e m i l y
erilaiselta	e r i l ɑ i̯ s e l t ɑ
erotetaan	e r o t e t ɑː n
esimiehen	e s i m i e̯ h e n
esitykseen	e s i t y k s eː n
faneille	f ɑ n e i̯ lː eˣ
fu	f u
haastattelua	h ɑː s t ɑ tː e l u ɑˣ
haettava	h ɑ e tː ɑ ʋ ɑ
hakattu	h ɑ k ɑ tː u
harhaanjohtavaa	h ɑ r h ɑː n j o h t ɑ ʋ ɑː
harrastuksen	h ɑ rː ɑ s t u k s e n
helpottaisi	h e l p o tː ɑ i̯ s i
henriksson	h e n r i k sː o n
häihin	h æ i̯ h i n
hämärän	h æ m æ r æ n
ilmaisi	i l m ɑ i̯ s i
ilmapiiriä	i l m ɑ p iː r i æ
independent	i n d eˣ p e n d e n t
itkin	i t k i n
jamesin	j ɑ m e s i n
julkaisut	j u l k ɑ i̯ s u t
jumalasta	j u m ɑ l ɑ s t ɑ
järkeen	j æ r k eː n
jääneitä	j æː n e i̯ t æ
kaipaisi	k ɑ i̯ p ɑ i̯ s i
kanadaan	k ɑ n ɑ d ɑː n
kannattaakin	k ɑ nː ɑ tː ɑː k i n
kansalliseen	k ɑ n s ɑ lː i s eː n
katossa	k ɑ t o sː ɑ
kaudelta	k ɑ u̯ d e l t ɑ
kaupallisen	k ɑ u̯ p ɑ lː i s e n
kaupunkilaisten	k ɑ u̯ p u ŋ k i l ɑ i̯ s t e n
keltaiset	k e l t ɑ i̯ s e t
kieltäytynyt	k i e̯ l t æ y̯ t y n y t
kirjainta	k i r j ɑ i̯ n t ɑ
kiss	k i sː
koet	k o e t
kohdallani	k o h d ɑ lː ɑ n i
kokeilun	k o k e i̯ l u n
kopioi	k o p i o i̯
kotiisi	k o t iː s i
kulmaan	k u l m ɑː n
kulujen	k u l u j e n
kuluneen	k u l u n eː n
kylmään	k y l m æː n
kyydin	k yː d i n
kämpän	k æ m p æ n
käskyjä	k æ s k y j æ
kävele	k æ ʋ e l eˣ
kääntänyt	k æː n t æ n y t
laajalla	l ɑː j ɑ lː ɑ
laboratoriossa	l ɑ b o r ɑ t o r i o sː ɑ
laittoman	l ɑ i̯ tː o m ɑ n
lasken	l ɑ s k e n
laskivat	l ɑ s k i ʋ ɑ t
leikkasi	l e i̯ kː ɑ s i
lihaksia	l i h ɑ k s i ɑ
liikutaan	l iː k u t ɑː n
lisään	l i s æː n
lohkossa	l o h k o sː ɑ
luettiin	l u e tː iː n
luokkien	l u o̯ kː i e n
luoneet	l u o̯ n eː t
luonnonvarojen	l u o̯ nː o n ʋ ɑ r o j e n
luovutaan	l u o̯ ʋ u t ɑː n
mahdolliseen	m ɑ h d o lː i s eː n
makasi	m ɑ k ɑ s i
maksettua	m ɑ k s e tː u ɑˣ
malleissa	m ɑ lː e i̯ sː ɑ
martinin	m ɑ r t i n i n
menikin	m e n i k i n
mitalit	m i t ɑ l i t
mona	m o n ɑ
monilta	m o n i l t ɑ
mustana	m u s t ɑ n ɑ
muutamissa	m uː t ɑ m i sː ɑ
myymälässä	m yː m æ l æ sː æ
neljäntenä	n e l j æ n t e n æ
nimellään	n i m e lː æː n
nora	n o r ɑ
nostaisi	n o s t ɑ i̯ s i
nostamassa	n o s t ɑ m ɑ sː ɑ
note	n o t eˣ
nurmijärven	n u r m i j æ r ʋ e n
näytteli	n æ y̯ tː e l i
oikeudenkäynnissä	o i̯ k e u̯ d e n k æ y̯ nː i sː æ
ol	o l
olekkaan	o l e kː ɑː n
olivatko	o l i ʋ ɑ t k o
ominaista	o m i n ɑ i̯ s t ɑˣ
onkos	o ŋ k o s
onnettomuuksia	o nː e tː o m uː k s i ɑ
oppilaista	o pː i l ɑ i̯ s t ɑˣ
palkkansa	p ɑ l kː ɑ n s ɑ
palkkion	p ɑ l kː i o n
pelastakaa	p e l ɑ s t ɑ k ɑː
pelillä	p e l i lː æ
pelinsä	p e l i n s æ
pen	p e n
perheeni	p e r h eː n i
perustuslakia	p e r u s t u s l ɑ k i ɑ
pettymyksen	p e tː y m y k s e n
pitäisikin	p i t æ i̯ s i k i n
postiin	p o s t iː n
puheista	p u h e i̯ s t ɑˣ
punnan	p u nː ɑ n
puree	p u r eː
puskee	p u s k eː
pysyneet	p y s y n eː t
päätän	p æː t æ n
päätöksessä	p æː t ø k s e sː æ
raamattua	r ɑː m ɑ tː u ɑˣ
rannassa	r ɑ nː ɑ sː ɑ
rasismin	r ɑ s i s m i n
reissussa	r e i̯ sː u sː ɑ
republikaanien	r e p u b l i k ɑː n i e n
rex	r e k s
rikosilmoituksen	r i k o s i l m o i̯ t u k s e n
rikotaan	r i k o t ɑː n
rikottu	r i k o tː u
romeo	r o m e o
rumaa	r u m ɑː
ruvetaan	r u ʋ e t ɑː n
saapuessa	s ɑː p u e sː ɑ
saarelta	s ɑː r e l t ɑ
saliin	s ɑ l iː n
sanokaa	s ɑ n o k ɑː
saunaa	s ɑ u̯ n ɑː
sellaiselle	s e lː ɑ i̯ s e lː eˣ
selvänä	s e l ʋ æ n æ
siirtolaisten	s iː r t o l ɑ i̯ s t e n
sisällöt	s i s æ lː ø t
soininvaara	s o i̯ n i n ʋ ɑː r ɑ
sosiaaliturvan	s o s i ɑː l i t u r ʋ ɑ n
speed	s p eː d
suosioon	s u o̯ s i oː n
suunnittelin	s uː nː i tː e l i n
suurempaan	s uː r e m p ɑː n
synnytyksen	s y nː y t y k s e n
syntynyttä	s y n t y n y tː æ
syömistä	s y ø̯ m i s t æˣ
säilyttämään	s æ i̯ l y tː æ m æː n
särkee	s æ r k eː
takasi	t ɑ k ɑ s i
taloudelle	t ɑ l o u̯ d e lː eˣ
tekijöille	t e k i j ø i̯ lː eˣ
tekin	t e k i n
terveydenhuollossa	t e r ʋ e y̯ d e n h u o̯ lː o sː ɑ
tiedekunnan	t i e̯ d eˣ k u nː ɑ n
toimittajaa	t o i̯ m i tː ɑ j ɑː
toistuvat	t o i̯ s t u ʋ ɑ t
toteutui	t o t e u̯ t u i̯
tuhottu	t u h o tː u
tuomarina	t u o̯ m ɑ r i n ɑ
tuomassa	t u o̯ m ɑ sː ɑ
turvalliseen	t u r ʋ ɑ lː i s eː n
tyhjät	t y h j æ t
työnsi	t y ø̯ n s i
työskentelyä	t y ø̯ s k e n t e l y æˣ
työttömän	t y ø̯ tː ø m æ n
täyttyvät	t æ y̯ tː y ʋ æ t
vaaleilla	ʋ ɑː l e i̯ lː ɑˣ
vaatimusten	ʋ ɑː t i m u s t e n
vaikutusten	ʋ ɑ i̯ k u t u s t e n
vakuutuksen	ʋ ɑ k uː t u k s e n
val	ʋ ɑ l
valkoisella	ʋ ɑ l k o i̯ s e lː ɑˣ
valmistellaan	ʋ ɑ l m i s t e lː ɑː n
valvonnassa	ʋ ɑ l ʋ o nː ɑ sː ɑ
valvontaan	ʋ ɑ l ʋ o n t ɑː n
vartalon	ʋ ɑ r t ɑ l o n
varustettuja	ʋ ɑ r u s t e tː u j ɑ
vastuulle	ʋ ɑ s t uː lː eˣ
vaurioitui	ʋ ɑ u̯ r i o i̯ t u i̯
versiona	ʋ e r s i o n ɑ
viipurin	ʋ iː p u r i n
virheiden	ʋ i r h e i̯ d e n
virkamiehen	ʋ i r k ɑ m i e̯ h e n
värien	ʋ æ r i e n
works	w o r k s
yhdistykset	y h d i s t y k s e t
yhen	y h e n
yhteisöä	y h t e i̯ s ø æˣ
ystäviensä	y s t æ ʋ i e̯ n s æ
aasiaan	ɑː s i ɑː n
aikuiseksi	ɑ i̯ k u i̯ s e k s i
ajatukseen	ɑ j ɑ t u k s eː n
ajautuu	ɑ j ɑ u̯ t uː
aka	ɑ k ɑ
akkuja	ɑ kː u j ɑ
antamassa	ɑ n t ɑ m ɑ sː ɑ
autosi	ɑ u̯ t o s i
chelsean	t ʃ e l s e ɑ n
columbus	k o l u m b u s
danske	d ɑ n s k eˣ
demokraattien	d e m o k r ɑː tː i e n
dokumentteja	d o k u m e n tː e j ɑ
edistä	e d i s t æˣ
edistävät	e d i s t æ ʋ æ t
einstein	e i̯ n s t e i̯ n
elämyksiä	e l æ m y k s i æˣ
elävänä	e l æ ʋ æ n æ
ennakoi	e nː ɑ k o i̯
entisessä	e n t i s e sː æ
epäili	e p æ i̯ l i
erosivat	e r o s i ʋ ɑ t
espanjasta	e s p ɑ n j ɑ s t ɑ
eteläisen	e t e l æ i̯ s e n
evans	e ʋ ɑ n s
evil	e ʋ i l
fa	f ɑ
fair	f ɑ i̯ r
haastattelut	h ɑː s t ɑ tː e l u t
haasteena	h ɑː s t eː n ɑ
hajuakaan	h ɑ j u ɑ k ɑː n
hakijoita	h ɑ k i j o i̯ t ɑ
hand	h ɑ n d
hankintaa	h ɑ ŋ k i n t ɑːˣ
heikommin	h e i̯ k o mː i n
hiiren	h iː r e n
hoidettiin	h o i̯ d e tː iː n
hylännyt	h y l æ nː y t
hyödy	h y ø̯ d y
ihanalta	i h ɑ n ɑ l t ɑ
ikäisen	i k æ i̯ s e n
ilmastonmuutokseen	i l m ɑ s t o n m uː t o k s eː n
isänmaan	i s æ n m ɑː n
itsekseni	i t s e k s e n i
jakamalla	j ɑ k ɑ m ɑ lː ɑ
japanilaisen	j ɑ p ɑ n i l ɑ i̯ s e n
jenkkien	j e ŋ kː i e n
juovat	j u o̯ ʋ ɑ t
kaadetaan	k ɑː d eˣ t ɑː n
kaarinan	k ɑː r i n ɑ n
kalevalan	k ɑ l eˣ ʋ ɑ l ɑ n
kalliin	k ɑ lː iː n
kaluston	k ɑ l u s t o n
karin	k ɑ r i n
kassaan	k ɑ sː ɑː n
kasvattavat	k ɑ s ʋ ɑ tː ɑ ʋ ɑ t
katsoessa	k ɑ t s o e sː ɑ
kaupunginosassa	k ɑ u̯ p u ŋː i n o s ɑ sː ɑ
kehitysmaiden	k e h i t y s m ɑ i̯ d e n
kelloja	k e lː o j ɑ
keskiluokan	k e s k i l u o̯ k ɑ n
kielteisen	k i e̯ l t e i̯ s e n
kiinnostui	k iː nː o s t u i̯
kilpailuihin	k i l p ɑ i̯ l u i̯ h i n
kirjeessä	k i r j eː sː æ
kirjoittamalla	k i r j o i̯ tː ɑ m ɑ lː ɑ
kohonnut	k o h o nː u t
kolmion	k o l m i o n
koonnut	k oː nː u t
korjasi	k o r j ɑ s i
kremlin	k r e m l i n
kuljetuksen	k u l j e t u k s e n
kustannuksiin	k u s t ɑ nː u k s iː n
kuultuaan	k uː l t u ɑː n
kuvattuna	k u ʋ ɑ tː u n ɑ
kylmäksi	k y l m æ k s i
kylät	k y l æ t
kysele	k y s e l eˣ
kyselin	k y s e l i n
kysykää	k y s y k æː
kyvyt	k y ʋ y t
kännykkään	k æ nː y kː æː n
käsikirjoituksen	k æ s i k i r j o i̯ t u k s e n
käsissään	k æ s i sː æː n
käytävällä	k æ y̯ t æ ʋ æ lː æ
kääntyvät	k æː n t y ʋ æ t
laatikkoon	l ɑː t i kː oː n
laivaa	l ɑ i̯ ʋ ɑː
lauletaan	l ɑ u̯ l e t ɑː n
lautakunnan	l ɑ u̯ t ɑ k u nː ɑ n
lentokentältä	l e n t o k e n t æ l t æ
lindgren	l i n d ɡ r e n
linjasi	l i n j ɑ s i
logiikan	l o ɡ iː k ɑ n
loppusuoralla	l o pː u s u o̯ r ɑ lː ɑ
luomassa	l u o̯ m ɑ sː ɑ
luovuttanut	l u o̯ ʋ u tː ɑ n u t
luut	l uː t
luvussa	l u ʋ u sː ɑ
lähimpään	l æ h i m p æː n
maajoukkueeseen	m ɑː j o u̯ kː u eː s eː n
maapalloa	m ɑː p ɑ lː o ɑˣ
maksuun	m ɑ k s uː n
matalampi	m ɑ t ɑ l ɑ m p i
menettivät	m e n e tː i ʋ æ t
merkinnyt	m e r k i nː y t
metsähallituksen	m e t s æ h ɑ lː i t u k s e n
mielenosoituksia	m i e̯ l e n o s o i̯ t u k s i ɑ
mind	m i n d
mitattiin	m i t ɑ tː iː n
muistathan	m u i̯ s t ɑ t h ɑ n
mukavampi	m u k ɑ ʋ ɑ m p i
mul	m u l
muodostamaan	m u o̯ d o s t ɑ m ɑː n
musaa	m u s ɑː
myöntämään	m y ø̯ n t æ m æː n
nautit	n ɑ u̯ t i t
neljänneksellä	n e l j æ nː e k s e lː æˣ
nimitettiin	n i m i t e tː iː n
ohjelmalla	o h j e l m ɑ lː ɑ
oikeudenkäyntiä	o i̯ k e u̯ d e n k æ y̯ n t i æ
olevissa	o l e ʋ i sː ɑ
olitko	o l i t k o
onnettomuuteen	o nː e tː o m uː t eː n
opetettiin	o p e t e tː iː n
orpon	o r p o n
osallistujia	o s ɑ lː i s t u j i ɑ
osuudet	o s uː d e t
osuvat	o s u ʋ ɑ t
paikkakunnalle	p ɑ i̯ kː ɑ k u nː ɑ lː eˣ
paitaan	p ɑ i̯ t ɑː n
pakon	p ɑ k o n
palanneet	p ɑ l ɑ nː eː t
palautuu	p ɑ l ɑ u̯ t uː
palloliiton	p ɑ lː o l iː t o n
parantanut	p ɑ r ɑ n t ɑ n u t
pellolle	p e lː o lː eˣ
pidempää	p i d e m p æː
pieneltä	p i e̯ n e l t æ
pieninä	p i e̯ n i n æ
pistein	p i s t e i̯ n
pointtia	p o i̯ n tː i ɑˣ
porukkaan	p o r u kː ɑː n
pussin	p u sː i n
pääkaupunkiseudulle	p æː k ɑ u̯ p u ŋ k i s e u̯ d u lː eˣ
päätyneet	p æː t y n eː t
ra	r ɑ
raivoa	r ɑ i̯ ʋ o ɑˣ
rasvan	r ɑ s ʋ ɑ n
rikkain	r i kː ɑ i̯ n
rintaan	r i n t ɑː n
ryhtynyt	r y h t y n y t
saamelaisten	s ɑː m e l ɑ i̯ s t e n
saavuttaneet	s ɑː ʋ u tː ɑ n eː t
sairautta	s ɑ i̯ r ɑ u tː ɑ
salpausselän	s ɑ l p ɑ u s s e l æ n
seitsemänneksi	s e i̯ t s e m æ nː e k s i
seitsemään	s e i̯ t s e m æː n
selitykset	s e l i t y k s e t
sellaiselta	s e lː ɑ i̯ s e l t ɑ
selvittänyt	s e l ʋ i tː æ n y t
silmistä	s i l m i s t æˣ
siltikin	s i l t i k i n
sipoon	s i p oː n
sitoutuu	s i t o u̯ t uː
solujen	s o l u j e n
store	s t o r eˣ
suhteensa	s u h t eː n s ɑ
suuhuni	s uː h u n i
suunniteltua	s uː nː i t e l t u ɑˣ
sytytti	s y t y tː i
syöksyi	s y ø̯ k s y i̯
taipui	t ɑ i̯ p u i̯
takapenkillä	t ɑ k ɑ p e ŋ k i lː æ
tapettu	t ɑ p e tː u
tarkoittavan	t ɑ r k o i̯ tː ɑ ʋ ɑ n
taulukossa	t ɑ u̯ l u k o sː ɑ
teemalla	t eː m ɑ lː ɑ
tekemisessä	t e k e m i s e sː æ
telakan	t e l ɑ k ɑ n
teoista	t e o i̯ s t ɑˣ
teollisuudessa	t e o lː i s uː d e sː ɑ
testien	t e s t i e n
tiedettiin	t i e̯ d e tː iː n
tiedoilla	t i e̯ d o i̯ lː ɑˣ
tiedostoja	t i e̯ d o s t o j ɑ
tippunut	t i pː u n u t
toimijoille	t o i̯ m i j o i̯ lː eˣ
toimintatapoja	t o i̯ m i n t ɑ t ɑ p o j ɑ
toipunut	t o i̯ p u n u t
toistaan	t o i̯ s t ɑː n
toteutuvat	t o t e u̯ t u ʋ ɑ t
tuollaiseen	t u o̯ lː ɑ i̯ s eː n
turvapaikan	t u r ʋ ɑ p ɑ i̯ k ɑ n
turvapaikkaa	t u r ʋ ɑ p ɑ i̯ kː ɑːˣ
tytöillä	t y t ø i̯ lː æˣ
tädin	t æ d i n
tähdistä	t æ h d i s t æˣ
tärkeistä	t æ r k e i̯ s t æˣ
tässäkö	t æ sː æ k ø
ulkomaisen	u l k o m ɑ i̯ s e n
uralle	u r ɑ lː eˣ
uudenlaisia	uː d e n l ɑ i̯ s i ɑ
vaalikaudella	ʋ ɑː l i k ɑ u̯ d e lː ɑˣ
vaikeinta	ʋ ɑ i̯ k e i̯ n t ɑ
vaikuttavaa	ʋ ɑ i̯ k u tː ɑ ʋ ɑː
vainajan	ʋ ɑ i̯ n ɑ j ɑ n
vakuuttanut	ʋ ɑ k uː tː ɑ n u t
valmistelun	ʋ ɑ l m i s t e l u n
valtiossa	ʋ ɑ l t i o sː ɑ
varovaisia	ʋ ɑ r o ʋ ɑ i̯ s i ɑ
varustettuna	ʋ ɑ r u s t e tː u n ɑ
vastaaviin	ʋ ɑ s t ɑː ʋ iː n
vastaisi	ʋ ɑ s t ɑ i̯ s i
veikkausliigassa	ʋ e i̯ kː ɑ u s l iː ɡ ɑ sː ɑ
vetämässä	ʋ e t æ m æ sː æ
viereisessä	ʋ i e̯ r e i̯ s e sː æ
vihaisia	ʋ i h ɑ i̯ s i ɑ
voittojen	ʋ o i̯ tː o j e n
vuokralla	ʋ u o̯ k r ɑ lː ɑ
vuorovaikutusta	ʋ u o̯ r o ʋ ɑ i̯ k u t u s t ɑ
väkisinkin	ʋ æ k i s i ŋ k i n
välisellä	ʋ æ l i s e lː æˣ
välttämättömiä	ʋ æ l tː æ m æ tː ø m i æ
yhtiöön	y h t i øː n
ylimmän	y l i mː æ n
ylläpitämään	y lː æ p i t æ m æː n
yläasteen	y l æ ɑ s t eː n
ymmärryksen	y mː æ rː y k s e n
yrittäjille	y r i tː æ j i lː eˣ
äänessä	æː n e sː æ
adams	ɑ d ɑ m s
aiempaan	ɑ i̯ e m p ɑː n
ajatuksiaan	ɑ j ɑ t u k s i ɑː n
altaaseen	ɑ l t ɑː s eː n
arktisen	ɑ r k t i s e n
arvosanan	ɑ r ʋ o s ɑ n ɑ n
asevelvollisuuden	ɑ s eˣ ʋ e l ʋ o lː i s uː d e n
avioeron	ɑ ʋ i o e r o n
blog	b l o ɡ
box	b o k s
camp	k ɑ m p
demokraattisen	d e m o k r ɑː tː i s e n
eh	e h
epäiltyjä	e p æ i̯ l t y j æ
faith	f ɑ i̯ t
för	f ø r
geenit	ɡ eː n i t
haastatteli	h ɑː s t ɑ tː e l i
haistakaa	h ɑ i̯ s t ɑ k ɑː
harjoitteluun	h ɑ r j o i̯ tː e l uː n
harmitti	h ɑ r m i tː i
harrastavat	h ɑ rː ɑ s t ɑ ʋ ɑ t
harrison	h ɑ rː i s o n
hauskempaa	h ɑ u̯ s k e m p ɑː
helpot	h e l p o t
helpottavat	h e l p o tː ɑ ʋ ɑ t
herättävät	h e r æ tː æ ʋ æ t
hevosvoimaa	h e ʋ o s ʋ o i̯ m ɑː
hiljaisuudessa	h i l j ɑ i̯ s uː d e sː ɑ
housuissa	h o u̯ s u i̯ sː ɑ
hullut	h u lː u t
huonolta	h u o̯ n o l t ɑ
ideologiaa	i d e o l o ɡ i ɑː
innostuu	i nː o s t uː
isaac	i s ɑː k
isien	i s i e n
isoihin	i s o i̯ h i n
isänä	i s æ n æ
je	j eˣ
johtunut	j o h t u n u t
johtuuko	j o h t uː k o
joy	j o i̯
juurensa	j uː r e n s ɑ
jäitä	j æ i̯ t æˣ
järjestöjä	j æ r j e s t ø j æ
järveen	j æ r ʋ eː n
jäänyttä	j æː n y tː æ
kahdeksassa	k ɑ h d e k s ɑ sː ɑ
kalliossa	k ɑ lː i o sː ɑ
kaltaisten	k ɑ l t ɑ i̯ s t e n
kantaan	k ɑ n t ɑː n
katotaan	k ɑ t o t ɑː n
kehitettiin	k e h i t e tː iː n
keinona	k e i̯ n o n ɑ
keksineet	k e k s i n eː t
kertoimet	k e r t o i̯ m e t
kevyet	k e ʋ y e t
kiinteän	k iː n t e æ n
kiireessä	k iː r eː sː æ
kilpailijan	k i l p ɑ i̯ l i j ɑ n
kilpailijoiden	k i l p ɑ i̯ l i j o i̯ d e n
kitaran	k i t ɑ r ɑ n
kiveen	k i ʋ eː n
kivien	k i ʋ i e n
kokonaista	k o k o n ɑ i̯ s t ɑˣ
kolarin	k o l ɑ r i n
kolmosen	k o l m o s e n
kopioita	k o p i o i̯ t ɑ
korjasin	k o r j ɑ s i n
kumpuaa	k u m p u ɑː
kunnialla	k u nː i ɑ lː ɑ
kurssien	k u r sː i e n
kusee	k u s eː
kutsuivat	k u t s u i̯ ʋ ɑ t
kuuban	k uː b ɑ n
kuudelta	k uː d e l t ɑ
kuudenneksi	k uː d e nː e k s i
käsitteet	k æ s i tː eː t
käyttäytymisen	k æ y̯ tː æ y̯ t y m i s e n
laidan	l ɑ i̯ d ɑ n
laittaisin	l ɑ i̯ tː ɑ i̯ s i n
laittamalla	l ɑ i̯ tː ɑ m ɑ lː ɑ
lankaa	l ɑ ŋ k ɑː
lapseen	l ɑ p s eː n
lattian	l ɑ tː i ɑ n
laukoo	l ɑ u̯ k oː
lehmät	l e h m æ t
leikit	l e i̯ k i t
leikitään	l e i̯ k i t æː n
lentojen	l e n t o j e n
leonardo	l e o n ɑ r d o
liitot	l iː t o t
lionel	l i o n e l
loppuisi	l o pː u i̯ s i
luettavaksi	l u e tː ɑ ʋ ɑ k s i
lukijoiden	l u k i j o i̯ d e n
luokitellaan	l u o̯ k i t e lː ɑː n
lämpenee	l æ m p e n eː
löyty	l ø y̯ t y
maaperän	m ɑː p e r æ n
magnus	m ɑ ŋ n u s
mahtuisi	m ɑ h t u i̯ s i
maksamalla	m ɑ k s ɑ m ɑ lː ɑ
mama	m ɑ m ɑ
merkkien	m e r kː i e n
mick	m i k
mittarit	m i tː ɑ r i t
munkin	m u ŋ k i n
muuttamassa	m uː tː ɑ m ɑ sː ɑ
nauroi	n ɑ u̯ r o i̯
nelosella	n e l o s e lː ɑˣ
nimeni	n i m e n i
nimettiin	n i m e tː iː n
numerosta	n u m e r o s t ɑ
nyk	n y k
oluet	o l u e t
omenoita	o m e n o i̯ t ɑ
otettaisiin	o t e tː ɑ i̯ s iː n
paikkakunnan	p ɑ i̯ kː ɑ k u nː ɑ n
paikkasi	p ɑ i̯ kː ɑ s i
painajaisia	p ɑ i̯ n ɑ j ɑ i̯ s i ɑ
pakkasella	p ɑ kː ɑ s e lː ɑˣ
paljastunut	p ɑ l j ɑ s t u n u t
palvellut	p ɑ l ʋ e lː u t
parantavat	p ɑ r ɑ n t ɑ ʋ ɑ t
parhaaseen	p ɑ r h ɑː s eː n
peterson	p e t e r s o n
pietariin	p i e̯ t ɑ r iː n
piisaa	p iː s ɑːˣ
pitikin	p i t i k i n
portaita	p o r t ɑ i̯ t ɑ
prisman	p r i s m ɑ n
projektit	p r o j e k t i t
pron	p r o n
puista	p u i̯ s t ɑˣ
puolueelle	p u o̯ l u eː lː eˣ
puolustavat	p u o̯ l u s t ɑ ʋ ɑ t
putket	p u t k e t
päästäisiin	p æː s t æ i̯ s iː n
rahastot	r ɑ h ɑ s t o t
rahoitetaan	r ɑ h o i̯ t eˣ t ɑː n
reikää	r e i̯ k æːˣ
rentoa	r e n t o ɑˣ
roomaan	r oː m ɑː n
rs	e r e s
runon	r u n o n
ruotsinkieliset	r u o̯ t s i n k i e̯ l i s e t
sakon	s ɑ k o n
serie	s e r i eˣ
sisäministeriön	s i s æ m i n i s t e r i ø n
sotilaallisen	s o t i l ɑː lː i s e n
still	s t i lː
suunnittelevat	s uː nː i tː e l e ʋ ɑ t
suurimpaan	s uː r i m p ɑː n
sävyjä	s æ ʋ y j æ
sääntelyn	s æː n t e l y n
taistellaan	t ɑ i̯ s t e lː ɑː n
taistelusta	t ɑ i̯ s t e l u s t ɑ
taitojen	t ɑ i̯ t o j e n
tarvitaanko	t ɑ r ʋ i t ɑː ŋ k o
tasapainon	t ɑ s ɑ p ɑ i̯ n o n
tavallisella	t ɑ ʋ ɑ lː i s e lː ɑˣ
tavattoman	t ɑ ʋ ɑ tː o m ɑ n
tekonsa	t e k o n s ɑ
telkkarista	t e l kː ɑ r i s t ɑ
text	t e k s t
tililtä	t i l i l t æ
toteuttamiseen	t o t e u tː ɑ m i s eː n
tukensa	t u k e n s ɑ
tukevan	t u k e ʋ ɑ n
tukevia	t u k e ʋ i ɑ
tunnustanut	t u nː u s t ɑ n u t
tuomiosta	t u o̯ m i o s t ɑ
tykkäsi	t y kː æ s i
tyyppistä	t yː pː i s t æˣ
työnnä	t y ø̯ nː æ
työttömille	t y ø̯ tː ø m i lː eˣ
täällähän	t æː lː æ h æ n
unohdit	u n o h d i t
useimmille	u s e i̯ mː i lː eˣ
vaalipiirissä	ʋ ɑː l i p iː r i sː æ
valkoisessa	ʋ ɑ l k o i̯ s e sː ɑ
vallannut	ʋ ɑ lː ɑ nː u t
valmiin	ʋ ɑ l m iː n
valmistamaan	ʋ ɑ l m i s t ɑ m ɑː n
valtaansa	ʋ ɑ l t ɑː n s ɑ
varasi	ʋ ɑ r ɑ s i
varastosta	ʋ ɑ r ɑ s t o s t ɑ
vastarintaa	ʋ ɑ s t ɑ r i n t ɑːˣ
vastarintaliikkeen	ʋ ɑ s t ɑ r i n t ɑ l iː kː eː n
vastauksena	ʋ ɑ s t ɑ u k s e n ɑ
venäjäksi	ʋ e n æ j æ k s i
verrattavissa	ʋ e rː ɑ tː ɑ ʋ i sː ɑ
viisautta	ʋ iː s ɑ u tː ɑ
viljan	ʋ i l j ɑ n
villin	ʋ i lː i n
vitamiinin	ʋ i t ɑ m iː n i n
voisitteko	ʋ o i̯ s i tː e k o
voittamalla	ʋ o i̯ tː ɑ m ɑ lː ɑ
voitteko	ʋ o i̯ tː e k o
vähentänyt	ʋ æ h e n t æ n y t
väität	ʋ æ i̯ t æ t
väärälle	ʋ æː r æ lː eˣ
ydinvoimaa	y d i n ʋ o i̯ m ɑː
yksittäistä	y k s i tː æ i̯ s t æˣ
yleisemmin	y l e i̯ s e mː i n
ylläpitoon	y lː æ p i t oː n
äitiään	æ i̯ t i æː n
aaltosen	ɑː l t o s e n
abortin	ɑ b o r t i n
aidot	ɑ i̯ d o t
ajatuksista	ɑ j ɑ t u k s i s t ɑ
ajoa	ɑ j o ɑˣ
artisteja	ɑ r t i s t eˣ j ɑ
arvotaan	ɑ r ʋ o t ɑː n
asemiin	ɑ s e m iː n
auttaako	ɑ u̯ tː ɑː k o
ava	ɑ ʋ ɑ
avaan	ɑ ʋ ɑː n
barack	b ɑ r ɑ k
dawn	d ɑ u̯ n
derek	d e r e k
eksynyt	e k s y n y t
eläkkeet	e l æ kː eː t
ensimmäisissä	e n s i mː æ i̯ s i sː æ
epidemian	e p i d e m i ɑ n
eroista	e r o i̯ s t ɑˣ
erät	e r æ t
esitellyt	e s i t e lː y t
eta	e t ɑ
excel	e k s e l
fashion	f ɑ ʃ i o n
hank	h ɑ ŋ k
hankalaksi	h ɑ ŋ k ɑ l ɑ k s i
harkitsen	h ɑ r k i t s e n
harmia	h ɑ r m i ɑ
harrastan	h ɑ rː ɑ s t ɑ n
harrasti	h ɑ rː ɑ s t iˣ
henkilökohtaiseen	h e ŋ k i l ø k o h t ɑ i̯ s eː n
henkilöllisyyden	h e ŋ k i l ø lː i s yː d e n
herkkiä	h e r kː i æˣ
hevosella	h e ʋ o s e lː ɑˣ
hiilidioksidia	h iː l i d i o k s i d i ɑ
hinnoista	h i nː o i̯ s t ɑˣ
huipentuu	h u i̯ p e n t uː
huonojen	h u o̯ n o j e n
hurjat	h u r j ɑ t
huutoa	h uː t o ɑˣ
häiden	h æ i̯ d e n
hävinneet	h æ ʋ i nː eː t
ikkunassa	i kː u n ɑ sː ɑ
ikäisten	i k æ i̯ s t e n
ilmiönä	i l m i ø n æ
ilmoittaudu	i l m o i̯ tː ɑ u̯ d u
inflaation	i n f l ɑː t i o n
itki	i t k i
jaksavat	j ɑ k s ɑ ʋ ɑ t
java	j ɑ ʋ ɑ
johdatti	j o h d ɑ tː i
