bil	b íː l
povečal	p ɔ ʋ ɛ t͡ʃ áː l
površin	p ɔ ʋ ə́ r ʃ i n
pripeljal	p r i p ɛ l j áː l
prisotni	p r i s óː t n i
razvila	r a z ʋ ìː l a
reviji	r ɛ ʋ ìː j i
sestanek	s ɛ s t áː n ə k
sklad	s k l áː t
služil	s l u ʒ íː l
sodelovati	s ɔ d ɛ l ɔ ʋ àː t i
stavbo	s t áː ʋ b ɔ
steno	s t ɛ̀ː n ɔ
tradicionalni	t r a d i t͡s i ɔ n áː l n i
trdijo	t ə̀ r d i j ɔ
ukvarjajo	u k ʋ a r j áː j ɔ
umetniške	u m éː t n i ʃ k ɛ
umetno	u m éː t n ɔ
urediti	u r ɛ d ìː t i
uspešna	u s p éː ʃ n a
vanjo	ʋ àː n j ɔ
varnostni	ʋ a r n óː s t n i
vozniki	ʋ óː z n i k i
zbrali	z b r àː l i
zgornje	z ɡ óː r n j ɛ
značilna	z n a t͡ʃ íː l n a
akcija	àː k t͡s i j a
angela	a n ɡ éː l a
arhiv	a r x íː ʋ
banki	b áː n k i
dovolil	d ɔ ʋ ɔ l íː l
družinski	d r u ʒ íː n s k i
ekonomski	ɛ k ɔ n óː m s k i
izdelali	i z d ɛ l àː l i
jan	j áː n
južno	j ùː ʒ n ɔ
korenine	k ɔ r ɛ n ìː n ɛ
koristi	k ɔ r ìː s t i
kritike	k r ìː t i k ɛ
madžarske	m a d͡ʒ áː r s k ɛ
medsebojno	m ɛ t s ɛ b óː j n ɔ
mehanizem	m ɛ x a n ìː z ə m
minilo	m i n ìː l ɔ
motiv	m ɔ t íː ʋ
nadalje	n a d áː l j ɛ
nadaljevali	n a d a l j ɛ ʋ àː l i
najpogostejši	n á j p ɔ ɡ óː s t ɛ j ʃ i
narejen	n a r ɛ́ː j ə n
nasilje	n a s íː l j ɛ
nastopila	n a s t ɔ p ìː l a
nekem	n èː k ə m
novinarji	n ɔ ʋ i n áː r j i
obleko	ɔ b l èː k ɔ
oblikovanju	ɔ b l i k ɔ ʋ áː n j u
občinski	ɔ p t͡ʃ íː n s k i
oglasi	ɔ ɡ l àː s i
omejitev	ɔ m ɛ j ìː t ə ʋ
poglavje	p ɔ ɡ l áː ʋ j ɛ
pojavila	p ɔ j a ʋ ìː l a
pomembnejših	p ɔ m èː m b n ɛ j ʃ i x
postajo	p ɔ s t áː j ɔ
poudarja	p ɔ u d áː r j a
povečuje	p ɔ ʋ ɛ t͡ʃ úː j ɛ
pridobiti	p r i d ɔ b ìː t i
pripravite	p r i p r a ʋ ìː t ɛ
pripravlja	p r i p r áː ʋ l j a
prizorišče	p r i z ɔ r ìː ʃ t͡ʃ ɛ
proizvodnji	p r ɔ i z ʋ óː d n j i
pustil	p u s t íː l
raziskovalno	r a z i s k ɔ ʋ áː l n ɔ
rusije	r ùː s i j ɛ
rusijo	r ùː s i j ɔ
sledilo	s l ɛ d ìː l ɔ
temeljijo	t ɛ m ɛ l j ìː j ɔ
trdno	t ə̀ r d n ɔ
trdo	t ə̀ r d ɔ
uči	ùː t͡ʃ i
vesolja	ʋ ɛ s óː l j a
založba	z a l óː ʒ b a
zgodila	z ɡ ɔ d ìː l a
člane	t͡ʃ l àː n ɛ
afriki	a f r ìː k i
dejala	d ɛ j àː l a
deklica	d ɛ k l ìː t͡s a
direktorja	d i r ɛ k t óː r j a
dobrodošli	d ɔ b r ɔ d óː ʃ l i
dodali	d ɔ d àː l i
domača	d ɔ m àː t͡ʃ a
dopust	d ɔ p úː s t
državljani	d ə r ʒ a ʋ l j àː n i
enaki	ɛ n àː k i
evrov	ɛ̀ː ʋ r ɔ ʋ
finalu	f i n áː l u
generala	ɡ ɛ n ɛ r áː l a
izid	i z íː t
izvedla	i z ʋ éː d l a
lokacijo	l ɔ k a t͡s íː j ɔ
man	m áː n
mačke	m àː t͡ʃ k ɛ
množice	m n ɔ ʒ ìː t͡s ɛ
mrežo	m r èː ʒ ɔ
nadstropju	n a t s t r óː p j u
narodni	n a r óː d n i
nastaja	n a s t áː j a
nastopili	n a s t ɔ p ìː l i
nekaterimi	n ɛ k a t ɛ r ìː m i
novinar	n ɔ ʋ ìː n a r
ozemlja	ɔ z éː m l j a
poimenovali	p ɔ i m ɛ n ɔ ʋ àː l i
poudarek	p ɔ u d áː r ə k
predhodno	p r ɛ d x óː d n ɔ
pripelje	p r i p éː l j ɛ
priročnik	p r i r óː t͡ʃ n i k
pričakovali	p r i t͡ʃ a k ɔ ʋ àː l i
profil	p r ɔ f íː l
rešili	r ɛ ʃ ìː l i
sestavlja	s ɛ s t áː ʋ l j a
slej	s l ɛ́ː j
spoštovanja	s p ɔ ʃ t ɔ ʋ áː n j a
srečanja	s r ɛ t͡ʃ áː n j a
tovarne	t ɔ ʋ áː r n ɛ
tradicije	t r a d ìː t͡s i j ɛ
tradicionalne	t r a d i t͡s i ɔ n áː l n ɛ
uporabljala	u p ɔ r a b l j áː l a
zakoni	z a k òː n i
zgodnje	z ɡ óː d n j ɛ
zmagi	z m àː ɡ i
znatno	z n áː t n ɔ
črke	t͡ʃ ə̀ r k ɛ
žive	ʒ ìː ʋ ɛ
aktivni	a k t íː ʋ n i
ameriko	a m ɛ r ìː k ɔ
avstrijo	àː ʋ s t r i j ɔ
bruce	b r ùː t͡s ɛ
dejanj	d ɛ̀ː j a n
delitev	d ɛ l ìː t ə ʋ
dvorane	d ʋ ɔ r àː n ɛ
elektronski	ɛ l ɛ k t r óː n s k i
king	k íː n k
lastniki	l áː s t n i k i
lepše	l èː p ʃ ɛ
letnik	l èː t n i k
liste	l ìː s t ɛ
listov	l ìː s t ɔ ʋ
marije	m àː r i j ɛ
materi	m a t èː r i
mišice	m ìː ʃ i t͡s ɛ
načrtih	n a t͡ʃ ə̀ r t i x
neba	n èː b a
novimi	n ɔ ʋ ìː m i
obdelava	ɔ b d ɛ l áː ʋ a
odide	ɔ d ìː d ɛ
odpravil	ɔ t p r a ʋ íː l
okriljem	ɔ k r ìː l j ɛ m
okvir	ɔ k ʋ ìː r
osnovo	ɔ s n ɔ́ː ʋ ɔ
osvojili	ɔ s ʋ ɔ j ìː l i
označuje	ɔ z n a t͡ʃ úː j ɛ
petimi	p ɛ t ìː m i
pozabili	p ɔ z a b ìː l i
pridobili	p r i d ɔ b ìː l i
prijazna	p r i j áː z n a
prvim	p ə́ r ʋ i m
sloga	s l óː ɡ a
stike	s t ìː k ɛ
stopil	s t ɔ p íː l
stroški	s t r óː ʃ k i
ubili	u b ìː l i
uničen	u n ìː t͡ʃ ə n
uradna	u r áː d n a
uradne	u r áː d n ɛ
ustanovili	u s t a n ɔ ʋ ìː l i
vase	ʋ àː s ɛ
vira	ʋ ìː r a
vire	ʋ ìː r ɛ
vmes	ʋ m éː s
zahodne	z a x óː d n ɛ
zavoda	z a ʋ óː d a
zmanjšuje	z m a n ʃ úː j ɛ
zvoka	z ʋ óː k a
čista	t͡ʃ íː s t a
božji	b óː ʒ j i
brown	b r ɔ́ː ʋ n
celi	t͡s èː l i
dejavnik	d ɛ j áː ʋ n i k
denimo	d ɛ n ìː m ɔ
dokument	d ɔ k u m éː n t
dolgih	d ɔ̀ː ʋ ɡ i x
določi	d ɔ l òː t͡ʃ i
domačem	d ɔ m àː t͡ʃ ə m
finančnih	f i n áː n t͡ʃ n i x
fotografijo	f ɔ t ɔ ɡ r a f íː j ɔ
gleda	ɡ l èː d a
gospodarskih	ɡ ɔ s p ɔ d áː r s k i x
graditi	ɡ r a d ìː t i
izdelana	i z d ɛ l áː n a
izraža	i z r áː ʒ a
kandidat	k a n d i d áː t
katalog	k a t a l óː k
lastni	l áː s t n i
linijo	l ìː n i j ɔ
lokalna	l ɔ k áː l n a
madžarskem	m a d͡ʒ áː r s k ɛ m
mladino	m l a d ìː n ɔ
motorji	m ɔ t óː r j i
napadu	n a p áː d u
nasilja	n a s íː l j a
nevarne	n ɛ ʋ áː r n ɛ
nivo	n ìː ʋ ɔ
nivoju	n i ʋ óː j u
odgovorni	ɔ d ɡ ɔ ʋ óː r n i
opisal	ɔ p i s áː l
osnove	ɔ s n ɔ́ː ʋ ɛ
oznake	ɔ z n àː k ɛ
pijačo	p i j àː t͡ʃ ɔ
pokrajine	p ɔ k r a j ìː n ɛ
populacije	p ɔ p u l àː t͡s i j ɛ
prejeli	p r ɛ j èː l i
razlik	r àː z l i k
reakcije	r ɛ àː k t͡s i j ɛ
resnico	r ɛ s n ìː t͡s ɔ
sporazuma	s p ɔ r a z ùː m a
stori	s t òː r i
tebe	t ɛ̀ː b ɛ
temelj	t ɛ̀ː m ə l
upoštevati	u p ɔ ʃ t ɛ ʋ àː t i
uvršča	u ʋ ə́ r ʃ t͡ʃ a
verjame	ʋ ɛ r j àː m ɛ
vključen	ʋ k l j ùː t͡ʃ ə n
vlog	ʋ l óː k
zahtevajo	z a x t ɛ ʋ áː j ɔ
značilnost	z n a t͡ʃ íː l n ɔ s t
časti	t͡ʃ àː s t i
čudovite	t͡ʃ u d ɔ ʋ ìː t ɛ
španiji	ʃ p àː n i j i
alp	áː l p
beljakovin	b ɛ l j a k ɔ ʋ íː n
big	b íː k
borili	b ɔ r ìː l i
delavnice	d ɛ l áː ʋ n i t͡s ɛ
dogajalo	d ɔ ɡ a j àː l ɔ
dogodkih	d ɔ ɡ óː t k i x
dokumentov	d ɔ k u m éː n t ɔ ʋ
hrbtu	x ə̀ r p t u
id	i t
imenovane	i m ɛ n ɔ ʋ áː n ɛ
izdelave	i z d ɛ l áː ʋ ɛ
jane	j àː n ɛ
japonskem	j a p óː n s k ɛ m
jure	j ùː r ɛ
lewis	l ɛ ʋ íː s
likovno	l i k ɔ́ː ʋ n ɔ
logično	l ɔ ɡ ìː t͡ʃ n ɔ
mamo	m àː m ɔ
martina	m a r t ìː n a
milj	m íː l
moškim	m óː ʃ k i m
napovedal	n a p ɔ ʋ ɛ d áː l
nesrečo	n ɛ s r èː t͡ʃ ɔ
odpre	ɔ̀ː t p r ɛ
odraža	ɔ d r áː ʒ a
odsek	óː t s ə k
pokriva	p ɔ k r ìː ʋ a
ponosni	p ɔ n óː s n i
postavila	p ɔ s t a ʋ ìː l a
postavljen	p ɔ s t áː ʋ l j ɛ n
povzročilo	p ɔ ʋ z r ɔ t͡ʃ ìː l ɔ
počuti	p ɔ t͡ʃ ùː t i
pravljice	p r a ʋ l j ìː t͡s ɛ
prepričanje	p r ɛ p r i t͡ʃ áː n j ɛ
preselila	p r ɛ s ɛ l ìː l a
prevzeli	p r ɛ ʋ z èː l i
ravne	r àː ʋ n ɛ
razvija	r àː z ʋ i j a
razvijati	r a z ʋ ìː j a t i
redne	r èː d n ɛ
rekord	r ɛ k óː r t
ročno	r óː t͡ʃ n ɔ
seriji	s ɛ r ìː j i
slovenščine	s l ɔ ʋ èː n ʃ t͡ʃ i n ɛ
srednjih	s r èː d n j i x
stranski	s t r áː n s k i
strokovna	s t r ɔ k ɔ́ː ʋ n a
takem	t àː k ə m
vodne	ʋ óː d n ɛ
vzhodne	ʋ z x óː d n ɛ
zabavne	z a b áː ʋ n ɛ
zagotovil	z a ɡ ɔ t ɔ ʋ íː l
zagotoviti	z a ɡ ɔ t ɔ ʋ ìː t i
zamenjati	z a m ɛ n j àː t i
zavesti	z a ʋ èː s t i
človeška	t͡ʃ l ɔ ʋ éː ʃ k a
ženi	ʒ èː n i
župnik	ʒ ùː p n i k
albert	a l b ɛ́ː r t
britaniji	b r i t àː n i j i
devetih	d ɛ ʋ èː t i x
dodatnih	d ɔ d áː t n i x
finance	f i n áː n t͡s ɛ
francoskega	f r a n t͡s ɔ s k éː ɡ a
gimnaziji	ɡ i m n àː z i j i
guverner	ɡ u ʋ èː r n ɛ r
intervju	i n t ɛ̀ː r ʋ j u
italijanske	i t a l i j áː n s k ɛ
izpred	i s p r éː t
koroške	k ɔ r óː ʃ k ɛ
motorjem	m ɔ t óː r j ɛ m
nasproti	n a s p r òː t i
naučil	n a u t͡ʃ íː l
nina	n ìː n a
nizke	n ìː s k ɛ
norman	n ɔ r m áː n
odpadkov	ɔ t p áː t k ɔ ʋ
omogočilo	ɔ m ɔ ɡ ɔ t͡ʃ ìː l ɔ
podlaga	p ɔ d l áː ɡ a
podpora	p ɔ t p óː r a
prahu	p r àː x u
prebivalstvo	p r ɛ b i ʋ áː l s t ʋ ɔ
predstavljal	p r ɛ t s t a ʋ l j áː l
prepoved	p r ɛ p ɔ ʋ éː t
pripeljali	p r i p ɛ l j àː l i
prispeval	p r i s p ɛ ʋ áː l
pristal	p r i s t áː l
proizvaja	p r ɔ i z ʋ áː j a
prosti	p r òː s t i
pustite	p u s t ìː t ɛ
samostojna	s a m ɔ s t ɔ̀ː j n a
slabi	s l àː b i
stil	s t íː l
storili	s t ɔ r ìː l i
stroške	s t r óː ʃ k ɛ
tina	t ìː n a
tistimi	t i s t ìː m i
uničenje	u n i t͡ʃ éː n j ɛ
utrip	u t r íː p
vede	ʋ èː d ɛ
vojaškega	ʋ ɔ j àː ʃ k ɛ ɡ a
volilni	ʋ ɔ l íː l n i
vozi	ʋ òː z i
vrednote	ʋ r ɛ d n óː t ɛ
vstopi	ʋ s t òː p i
zaključni	z a k l j ùː t͡ʃ n i
zaloge	z a l óː ɡ ɛ
zastonj	z a s t óː n
zate	z àː t ɛ
zgled	z ɡ l éː t
zobe	z òː b ɛ
češ	t͡ʃ éː ʃ
župana	ʒ u p áː n a
akcije	àː k t͡s i j ɛ
aktivna	a k t íː ʋ n a
bližnjem	b l ìː ʒ n j ɛ m
današnjem	d a n áː ʃ n j ɛ m
definitivno	d ɛ f i n i t íː ʋ n ɔ
denarjem	d ɛ n áː r j ɛ m
dostopno	d ɔ s t óː p n ɔ
filmi	f íː l m i
filmski	f íː l m s k i
finančne	f i n áː n t͡ʃ n ɛ
formule	f ɔ r m ùː l ɛ
helikopter	x ɛ l i k óː p t ə r
imenovana	i m ɛ n ɔ ʋ áː n a
izobrazbo	i z ɔ b r áː z b ɔ
kolegi	k ɔ l èː ɡ i
komunikacije	k ɔ m u n i k àː t͡s i j ɛ
koncentracije	k ɔ n t͡s ɛ n t r àː t͡s i j ɛ
kratka	k r áː t k a
krize	k r ìː z ɛ
ladij	l àː d i j
letalske	l ɛ t áː l s k ɛ
množico	m n ɔ ʒ ìː t͡s ɔ
množično	m n ɔ ʒ ìː t͡ʃ n ɔ
najdeš	n á j d ɛ ʃ
odstraniti	ɔ t s t r a n ìː t i
oliver	ɔ l ìː ʋ ə r
osemdesetih	ɔ s ɛ m d ɛ s èː t i x
pelje	p ɛ̀ː l j ɛ
pisarne	p i s áː r n ɛ
plan	p l áː n
plačo	p l àː t͡ʃ ɔ
posadka	p ɔ s áː t k a
posnetke	p ɔ s n éː t k ɛ
posode	p ɔ s óː d ɛ
posvečen	p ɔ s ʋ èː t͡ʃ ə n
potrdila	p ɔ t ə r d ìː l a
potrebuješ	p ɔ t r ɛ b úː j ɛ ʃ
prebral	p r ɛ b r áː l
pro	p r óː
prodali	p r ɔ d àː l i
rabo	r àː b ɔ
razvije	r àː z ʋ i j ɛ
roy	r óː j
sedanji	s ɛ d àː n j i
splošnem	s p l óː ʃ n ɛ m
spodbuja	s p ɔ d b úː j a
spola	s p ɔ̀ː l a
stavbi	s t áː ʋ b i
stroškov	s t r óː ʃ k ɔ ʋ
svobodno	s ʋ ɔ b óː d n ɔ
verjel	ʋ ɛ r j éː ʋ
vplivala	ʋ p l i ʋ áː l a
zahtevali	z a x t ɛ ʋ àː l i
zasnovan	z a s n ɔ ʋ áː n
zbral	z b r áː l
znamke	z n áː m k ɛ
članke	t͡ʃ l áː n k ɛ
bitko	b íː t k ɔ
dogajajo	d ɔ ɡ a j áː j ɔ
dvojni	d ʋ óː j n i
ekonomske	ɛ k ɔ n óː m s k ɛ
imenoval	i m ɛ n ɔ ʋ áː l
intenzivno	i n t ɛ n z íː ʋ n ɔ
izdali	i z d àː l i
izhod	i z x óː t
izhodišče	i z x ɔ d ìː ʃ t͡ʃ ɛ
izpit	i s p íː t
izvedba	i z ʋ éː d b a
jedi	j èː d i
jekla	j èː k l a
kartice	k a r t ìː t͡s ɛ
kopru	k óː p r u
laško	l áː ʃ k ɔ
ljubi	l j ùː b i
milijard	m i l i j áː r t
mislimo	m i s l ìː m ɔ
mladine	m l a d ìː n ɛ
morale	m ɔ r àː l ɛ
moška	m óː ʃ k a
možna	m óː ʒ n a
namerava	n a m ɛ r áː ʋ a
nekomu	n ɛ k óː m u
njenim	n j ɛ n ìː m
nudi	n ùː d i
obale	ɔ b àː l ɛ
obiskovalcev	ɔ b i s k ɔ ʋ áː l t͡s ɛ ʋ
oblikuje	ɔ b l i k úː j ɛ
občinstva	ɔ p t͡ʃ íː n s t ʋ a
odsotnosti	ɔ t s óː t n ɔ s t i
okvare	ɔ k ʋ àː r ɛ
organizira	ɔ r ɡ a n i z ìː r a
orožjem	ɔ r óː ʒ j ɛ m
ozemlje	ɔ z éː m l j ɛ
piva	p ìː ʋ a
pomenijo	p ɔ m èː n i j ɔ
posadke	p ɔ s áː t k ɛ
posla	p ɔ̀ː s l a
posnetki	p ɔ s n éː t k i
predsednica	p r ɛ t s éː d n i t͡s a
predstavljati	p r ɛ t s t a ʋ l j àː t i
pridobitev	p r i d ɔ b ìː t ə ʋ
prišle	p r ìː ʃ l ɛ
progi	p r òː ɡ i
razstavo	r a s s t áː ʋ ɔ
razširjena	r a s ʃ i r j éː n a
strank	s t r áː n k
televizijo	t ɛ l ɛ ʋ ìː z i j ɔ
teorijo	t ɛ ɔ r íː j ɔ
tipi	t ìː p i
ubit	u b íː t
ugled	u ɡ l éː t
uporabimo	u p ɔ r a b ìː m ɔ
upravljanja	u p r a ʋ l j áː n j a
uredili	u r ɛ d ìː l i
us	úː s
ustavili	u s t a ʋ ìː l i
uvod	u ʋ óː t
vodili	ʋ ɔ d ìː l i
vzhodno	ʋ z x óː d n ɔ
založbi	z a l óː ʒ b i
zamenjali	z a m ɛ n j àː l i
znašel	z n àː ʃ ə ʋ
časopisu	t͡ʃ a s ɔ p ìː s u
časovni	t͡ʃ a s ɔ́ː ʋ n i
čustev	t͡ʃ ùː s t ə ʋ
škode	ʃ k òː d ɛ
živega	ʒ i ʋ éː ɡ a
alex	a l éː k s
alice	a l ìː t͡s ɛ
alpe	àː l p ɛ
bitka	b íː t k a
bogate	b ɔ ɡ àː t ɛ
bogati	b ɔ ɡ àː t i
clark	t͡s l áː r k
damo	d àː m ɔ
dana	d áː n a
dodatni	d ɔ d áː t n i
družinsko	d r u ʒ íː n s k ɔ
filme	f íː l m ɛ
formalno	f ɔ r m áː l n ɔ
gradcu	ɡ r áː t t͡s u
hitri	x ìː t r i
igralka	i ɡ r áː l k a
jožeta	j ɔ ʒ éː t a
kevin	k ɛ ʋ íː n
klubov	k l ùː b ɔ ʋ
kraji	k r àː j i
krajine	k r a j ìː n ɛ
ljubljansko	l j u b l j áː n s k ɔ
loči	l òː t͡ʃ i
mami	m àː m i
najstarejših	n á j s t a r ɛ́ː j ʃ i x
najvišjo	n á j ʋ ìː ʃ j ɔ
napadla	n a p áː d l a
narodno	n a r óː d n ɔ
notranjega	n ɔ t r a n j éː ɡ a
oceni	ɔ t͡s èː n i
ognja	óː ɡ n j a
ostanki	ɔ s t áː n k i
paziti	p a z ìː t i
plošči	p l óː ʃ t͡ʃ i
poezije	p ɔ èː z i j ɛ
poglejmo	p ɔ ɡ l ɛ́ː j m ɔ
položaje	p ɔ l ɔ ʒ áː j ɛ
posledic	p ɔ s l èː d i t͡s
postaj	p ɔ s t áː j
poznate	p ɔ z n àː t ɛ
počnejo	p ɔ t͡ʃ n ɛ́ː j ɔ
pravimo	p r a ʋ ìː m ɔ
prebivalce	p r ɛ b i ʋ áː l t͡s ɛ
predstavljala	p r ɛ t s t a ʋ l j áː l a
predstavnikov	p r ɛ t s t áː ʋ n i k ɔ ʋ
prehrano	p r ɛ x r àː n ɔ
pridobi	p r i d òː b i
prikazujejo	p r i k a z u j ɛ́ː j ɔ
prispeva	p r i s p éː ʋ a
proizvajalec	p r ɔ i z ʋ a j áː l ə t͡s
raziskava	r a z i s k áː ʋ a
računa	r a t͡ʃ ùː n a
reprezentanca	r ɛ p r ɛ z ɛ n t áː n t͡s a
republiko	r ɛ p u b l ìː k ɔ
sodniki	s óː d n i k i
sredine	s r ɛ d ìː n ɛ
srčni	s ə́ r t͡ʃ n i
teles	t ɛ̀ː l ɛ s
televiziji	t ɛ l ɛ ʋ ìː z i j i
tvoji	t ʋ òː j i
uničena	u n i t͡ʃ éː n a
vodilnih	ʋ ɔ d íː l n i x
zamisel	z a m íː s ə ʋ
zaposlitev	z a p ɔ s l ìː t ə ʋ
čaja	t͡ʃ áː j a
art	áː r t
bazi	b àː z i
cilja	t͡s íː l j a
davkov	d áː ʋ k ɔ ʋ
drugačno	d r u ɡ àː t͡ʃ n ɔ
društvu	d r úː ʃ t ʋ u
električnega	ɛ l ɛ k t r ìː t͡ʃ n ɛ ɡ a
formula	f ɔ r m ùː l a
glasbenega	ɡ l a z b ɛ n éː ɡ a
gospoda	ɡ ɔ s p óː d a
izvajali	i z ʋ a j àː l i
jajca	j áː j t͡s a
jennifer	j ɛ n n ìː f ə r
kapitala	k a p i t áː l a
kontrolo	k ɔ n t r óː l ɔ
kratki	k r áː t k i
lastnega	l áː s t n ɛ ɡ a
mame	m àː m ɛ
mandata	m a n d áː t a
maribora	m a r i b óː r a
mešanica	m ɛ ʃ áː n i t͡s a
minuto	m i n ùː t ɔ
nacionalnega	n a t͡s i ɔ n áː l n ɛ ɡ a
natanko	n a t áː n k ɔ
obnove	ɔ b n ɔ́ː ʋ ɛ
odkriti	ɔ t k r ìː t i
ohranitev	ɔ x r a n ìː t ə ʋ
para	p àː r a
paula	p áː u l a
podrobno	p ɔ d r óː b n ɔ
prakse	p r àː k s ɛ
pravici	p r a ʋ ìː t͡s i
predstavila	p r ɛ t s t a ʋ ìː l a
princa	p r íː n t͡s a
priprava	p r i p r áː ʋ a
prizadevanja	p r i z a d ɛ ʋ áː n j a
pričakoval	p r i t͡ʃ a k ɔ ʋ áː l
psov	p s ɔ́ː ʋ
razprava	r a s p r áː ʋ a
računalniški	r a t͡ʃ u n áː l n i ʃ k i
sedeža	s ɛ d éː ʒ a
sestanku	s ɛ s t áː n k u
simptomov	s i m p t ɔ̀ː m ɔ ʋ
smučanje	s m ùː t͡ʃ a n j ɛ
steni	s t èː n i
street	s t r ɛ̀ː t
tisočletja	t i s ɔ t͡ʃ l éː t j a
trajala	t r a j áː l a
upravni	u p r áː ʋ n i
vaje	ʋ àː j ɛ
varnostne	ʋ a r n óː s t n ɛ
verige	ʋ ɛ r ìː ɡ ɛ
verjamejo	ʋ ɛ r j a m ɛ́ː j ɔ
vsakih	ʋ s àː k i x
vzorci	ʋ z óː r t͡s i
zamenjala	z a m ɛ n j áː l a
zanimivosti	z a n i m i ʋ óː s t i
zapisov	z a p ìː s ɔ ʋ
zaporu	z a p ɔ̀ː r u
zasnova	z a s n ɔ́ː ʋ a
zemljišča	z ɛ m l j ìː ʃ t͡ʃ a
častni	t͡ʃ áː s t n i
all	áː l
anthony	a n t x óː n i
avtu	áː ʋ t u
baze	b àː z ɛ
bombe	b óː m b ɛ
duhovno	d u x ɔ́ː ʋ n ɔ
enoti	ɛ n òː t i
finančni	f i n áː n t͡ʃ n i
hodi	x òː d i
iskal	i s k áː l
izdelal	i z d ɛ l áː l
izdelavi	i z d ɛ l àː ʋ i
jeter	j èː t ə r
južne	j ùː ʒ n ɛ
kompleks	k ɔ m p l éː k s
konja	k óː n j a
kriza	k r ìː z a
ml	m ə́ l
mladinskih	m l a d íː n s k i x
nadaljevati	n a d a l j ɛ ʋ àː t i
nadaljnji	n a d áː l n j i
nafte	n áː f t ɛ
nameraval	n a m ɛ r a ʋ áː l
nastanku	n a s t áː n k u
nebi	n èː b i
nižjo	n ìː ʒ j ɔ
not	n óː t
obiskala	ɔ b i s k áː l a
obljubil	ɔ b l j u b íː l
odvija	ɔ d ʋ íː j a
parlamentu	p a r l a m éː n t u
pisala	p i s áː l a
planeta	p l a n éː t a
plačal	p l a t͡ʃ áː l
poroke	p ɔ r óː k ɛ
potreb	p ɔ t r éː p
potreboval	p ɔ t r ɛ b ɔ ʋ áː l
pošljite	p ɔ ʃ l j ìː t ɛ
prevzeti	p r ɛ ʋ z èː t i
prijazni	p r i j áː z n i
pripadniki	p r i p áː d n i k i
pripeljala	p r i p ɛ l j áː l a
prošnjo	p r óː ʃ n j ɔ
prsi	p ə́ r s i
ranjen	r àː n j ə n
raziskavah	r a z i s k áː ʋ a x
ross	r óː s
suha	s ùː x a
temeljito	t ɛ m ɛ l j ìː t ɔ
tradicionalnih	t r a d i t͡s i ɔ n áː l n i x
trudi	t r ùː d i
zahodno	z a x óː d n ɔ
zapustili	z a p u s t ìː l i
zaupanja	z a u p áː n j a
zavest	z a ʋ éː s t
zavzema	z a ʋ z éː m a
začetni	z a t͡ʃ éː t n i
združili	z d r u ʒ ìː l i
značilne	z n a t͡ʃ íː l n ɛ
četrt	t͡ʃ ɛ t ə́ r t
črto	t͡ʃ ə̀ r t ɔ
škofja	ʃ k óː f j a
živih	ʒ ìː ʋ i x
ann	áː n
antona	a n t óː n a
besedi	b ɛ s èː d i
bolniki	b ɔ̀ː ʋ n i k i
daljše	d áː l ʃ ɛ
današnjih	d a n áː ʃ n j i x
davis	d àː ʋ i s
določenega	d ɔ l ɔ t͡ʃ ɛ n éː ɡ a
elektronske	ɛ l ɛ k t r óː n s k ɛ
franca	f r áː n t͡s a
italijanskega	i t a l i j áː n s k ɛ ɡ a
izrazi	i z r àː z i
ključno	k l j ùː t͡ʃ n ɔ
končna	k óː n t͡ʃ n a
kraljico	k r a l j ìː t͡s ɔ
kritično	k r ìː t i t͡ʃ n ɔ
kriv	k r íː ʋ
linija	l ìː n i j a
ljubeznijo	l j u b èː z n i j ɔ
mišic	m ìː ʃ i t͡s
možgane	m ɔ ʒ ɡ àː n ɛ
naselij	n a s èː l i j
neskončno	n ɛ s k óː n t͡ʃ n ɔ
nižjih	n ìː ʒ j i x
njihovim	n j i x ɔ ʋ ìː m
nogometni	n ɔ ɡ ɔ m éː t n i
okoliških	ɔ k ɔ l ìː ʃ k i x
pete	p èː t ɛ
pobegniti	p ɔ b èː ɡ n i t i
poje	p ɔ̀ː j ɛ
poroča	p ɔ r óː t͡ʃ a
posadko	p ɔ s áː t k ɔ
poslala	p ɔ s l áː l a
preprečuje	p r ɛ p r ɛ t͡ʃ úː j ɛ
resne	r èː s n ɛ
rimu	r ìː m u
rokami	r ɔ k àː m i
sanj	s áː n
slabih	s l àː b i x
smučarski	s m u t͡ʃ áː r s k i
spremljal	s p r ɛ m l j áː l
sprožil	s p r ɔ ʒ íː l
srednjem	s r èː d n j ɛ m
stalni	s t áː l n i
storite	s t ɔ r ìː t ɛ
strehe	s t r èː x ɛ
tank	t áː n k
terenu	t ɛ r èː n u
upravne	u p r áː ʋ n ɛ
ustvariti	u s t ʋ àː r i t i
vesolju	ʋ ɛ s óː l j u
vojake	ʋ ɔ j àː k ɛ
zagotavljanje	z a ɡ ɔ t a ʋ l j áː n j ɛ
zahtevala	z a x t ɛ ʋ áː l a
zanesljivo	z a n ɛ s l j ìː ʋ ɔ
zdravstveni	z d r a ʋ s t ʋ èː n i
značaj	z n a t͡ʃ áː j
širi	ʃ ìː r i
širitev	ʃ i r ìː t ə ʋ
albuma	a l b ùː m a
anderson	a n d ɛ r s óː n
der	d ɛ́ː r
devetdesetih	d ɛ ʋ èː d d ɛ s ɛ t i x
dogovora	d ɔ ɡ ɔ ʋ óː r a
dovoli	d ɔ ʋ òː l i
dravi	d r àː ʋ i
