seg	s æ ɪ̯
produsentene	p r ʊ d ʉ s ɛ n t ə n ə
prosjektene	p r ʊ ʃ ɛ k t ə n ə
psykiater	p s yː k ɪ ɑː t ə r
psykiatrisk	p s yː k ɪ ɑː t r ɪ s k
pub	p ʉː b
revisjon	r ɛ ʋ ɪ ʃ uː n
sek	s eː k
setet	s eː t ə
smykker	s m ʏ kː ə r
sprang	s p r ɑ ŋː
spøker	s p øː k ə r
svømmer	s ʋ œ mː ə r
take	t ɑː k ə
togene	t uː ɡ ə n ə
ukers	ʉː k ə ʁ s
ukes	ʉː k ə s
vansker	ʋ ɑ n s k ə r
vedta	ʋ eː t ɑ
yo	j uː
yte	² yː t ə
arten	ɑ ʁ t n̩
avbrutt	ɑː ʋ b r ʉ t
begrepene	b ə ɡ r eː p ə n ə
beskyttes	b ə ʃ ʏ tː ə s
bruno	b r ʉː n ʊ
brutale	b r ʉ t ɑː l ə
bt	b eː t eː
bullshit	b ʉ l ʃ iː t
dataspill	d ɑː t a s p ɪ l
ere	eː r ə
farer	f ɑː r ə r
flater	f l ɑː t ə r
forsinkelser	f ɔ ʂ ɪ ŋ k ə l s ə r
forstyrret	f ɔ ʂ t ʏ rː ə
fredet	f ɾ eː d ə
fult	f ʉ l t
gap	ɡ ɑː p
hd	h oː d eː
joachim	j uː a t͡ʃ iː m
karsten	k a ʁ s t n̩
korrigere	k ɔ r ɪ ɡ eː r ə
lastebiler	l ɑ s t ə b iː l ə r
malta	m ɑ l t ɑ
mikael	m i k a eː l
myte	² m yː t ə
net	n eː t
overlegen	oː ʋ ə ɾ l eː ɡ n̩
passasjerene	p a s a ʃ eː r ə n ə
påfyll	p oː f ʏ l
rick	r ɪ kː
skoger	s k uː ɡ ə r
skuldre	s k ʉ l d r ə
spa	s p ɑː
stop	s t uː p
stoppes	s t ɔ pː ə s
storebror	s t uː r ə b r uː r
støttespillere	s t œ tː ə s p ɪ lː ə r ə
sørensen	s øː r ɛ n s n̩
teppe	t ɛ pː ə
tyde	t yː d ə
tøffere	t œ fː ə r ə
vif	ʋ iː f
aksepterte	a k s ɛ p t eː ʁ t ə
berit	b ə r iː t
betinget	b eː t ɪ ŋ ə
bislett	b ɪ s l ɛ t
båret	b oː ɾ ə
christer	k r ɪ s t ə r
dusje	d ʉ ʃː ə
ekteparet	ɛ k t ə p ɑː r ə
english	ɛ ŋ l ɪ ʃ
erklære	e r k l æː r e
etterforske	ɛ tː ə r f ɔ ʂ k ə
forfall	f ɔ r f ɑ l
forsket	f ɔ ʂ k ə
forvaltningen	f ɔ r ʋ ɑ l t n ɪ ŋ n̩
fristet	f r ɪ s t ə
gassen	ɡ a sː n̩
gled	ɡ l eː
heh	h eː
hever	h eː ʋ ə r
hills	h ɪ l s
hole	h uː l ə
husdyr	h ʉː s d yː r
innsjøen	ɪ n ʃ øː n̩
institusjonen	ɪ n s t ɪ t ʉ ʃ uː n n̩
irritere	ɪ r ɪ t eː r ə
job	j uː b
kansas	k a n s a s
kjip	ç iː p
kjoler	ç uː l ə r
kjæledyr	ç æː l ə d yː r
libanon	l iː b a n uː n
logg	l ɔ ɡː
mildere	m ɪ l d ə r ə
møkk	m œ kː
nettbutikker	n ɛ t b ʉ t ɪ kː ə r
omsetningen	ɔ m s ɛ t n ɪ ŋ n̩
provoserende	p r ʊ ʋ ʊ s eː r ə n d ə
saft	s a f t
saks	s a k s
sevilla	s ə ʋ ɪ lː a
skyve	² ʃ yː ʋ ə
sovet	s oː ʋ ə
spade	s p ɑː d ə
stad	s t ɑː
sårt	s oː ʈ
søket	s øː k ə
tilfeldighet	t ɪ l f ɛ l d ɪ h eː t
toten	t uː t n̩
trangt	t r ɑ ŋ t
watson	v a t s uː n
øvelsene	øː ʋ ə l s ə n ə
aktivister	a k t ɪ ʋ ɪ s t ə r
aktørene	a k t øː r ə n ə
ana	ɑː n ɑ
besøket	b ə s øː k ə
brutal	b r ʉ t ɑː l
dc	d eː s eː
ever	eː ʋ ə r
family	f a m ɪ l yː
fjerning	f j æː ɳ ɪ ŋ
forbrukeren	f ɔ r b r ʉː k ə r n̩
foregående	f ɔ r ə ɡ oː ə n d ə
forstyrre	f ɔ ʂ t ʏ rː ə
forvirrende	f ɔ r ʋ ɪ rː ə n d ə
franklin	f r ɑ ŋ k l iː n
haster	h a s t ə r
hensikter	h ɛ n s ɪ k t ə r
hunter	h ʉ n t ə r
håndfull	h ɔ n f ʉ l
identiteten	ɪ d ɛ n t ɪ t eː t n̩
innfører	ɪ nː f øː r ə r
innføringen	ɪ nː f øː r ɪ ŋ n̩
inter	ɪ n t ə r
lader	l ɑː d ə r
likheter	l iː k h eː t ə r
munch	m ʉ n t͡ʃ
nedi	n eː d ɪ
nt	ɛ n t
oppholder	ɔ p h ɔ l d ə r
overlate	oː ʋ ə ɾ l ɑː t ə
sagene	s ɑː ɡ ə n ə
skjønnheten	ʃ œ n h eː t n̩
skulder	s k ʉ l d ə r
smal	s m ɑː l
stan	s t ɑː n
svir	s ʋ iː r
såpe	s oː p ə
usedvanlig	ʉː s ə d ʋ ɑː n l ɪ
vingene	ʋ ɪ ŋː ə n ə
akademia	a k a d eː m ɪ a
anja	ɑ n j ɑ
beregninger	b ə r æ ɪ n ɪ ŋ ə r
besteforeldre	b ɛ s t ə f uː r ɛ l d r ə
blør	b l øː r
boligprisene	b uː l ɪ p r iː s ə n ə
bomull	b u m ʉ l
bremser	b r ɛ m s ə r
dating	d ɑː t ɪ ŋ
delstaten	d ɛ l s t ɑː t n̩
direktøren	d ɪ r ɛ k t øː r n̩
doblet	d uː b l ə
ekstern	ɛ k s t æ ɳ
englands	ɛ ŋ l ɑ n s
ensidig	ɛ n s iː d ɪ
ensomhet	ɛ n s ɔ m h eː t
fengsler	f ɛ ŋ s l ə r
ferdes	f æ ɾ d ə s
forslagene	f ɔ ʂ l ɑː ɡ ə n ə
færreste	f æ rː ə s t ə
hiphop	h iː p h u p
hvaler	ʋ ɑː l ə r
idioten	ɪ d ɪ uː t n̩
instruksjoner	ɪ n s t r ʉ k ʃ uː n ə r
introdusere	ɪ n t r ʊ d ʉ s eː r ə
juks	j ʉ k s
kniver	k n iː ʋ ə r
kopper	k ɔ pː ə r
krigere	k r iː ɡ ə r ə
kunnskaper	k ʉ n s k ɑː p ə r
kurven	k ʉ r ʋ n̩
lekene	l eː k ə n ə
liket	l iː k ə
lås	l oː s
maser	m ɑː s ə r
megler	m æ ɪ̯ l ə r
mønsteret	m œ n s t ə r ə
nasjonalisme	n a ʃ ʊ n a l ɪ s m ə
nøtter	n œ tː ə r
okkupasjonen	ɔ kː ʉ p a ʃ uː n n̩
okt	ɔ k t
oppholde	ɔ p h ɔ l d ə
oppsummerer	ɔ p s ʉ m ə r ə r
pasta	p a s t a
po	p uː
poker	p uː k ə r
preger	p r eː ɡ ə r
rekkefølgen	r ɛ kː ə f œ l ɡ n̩
rense	r ɛ n s ə
renten	r ɛ n t n̩
returnerer	r ə t ʉː ɳ eː r ə r
samantha	s a m a n t h a
snuten	s n ʉː t n̩
spark	s p ɑ r k
sti	s t iː
stiv	s t iː ʋ
stoffene	s t ɔ fː ə n ə
text	t ɛ k s t
torp	t ɔ r p
typ	t yː p
ve	ʋ eː
vik	ʋ iː k
yrkesfag	² ʏ r k ə s f ɑː ɡ
øde	øː d ə
adresseavisen	a d r ɛ sː ə a ʋ iː s n̩
anmeldte	a n m ɛ l t ə
askim	ɑ ʃ iː m
collins	k ɔ l ɪ n s
døende	d øː ə n d ə
edvard	eː d ʋ ɑː r
eksploderte	ɛ k s p l uː d eː ʁ t ə
elliot	ɛ l j uː t
enger	ɛ ŋ ə r
folkehøgskole	f ɔ l k ə h øː ɡ s k uː l ə
folkeslag	f ɔ l k ə s l ɑː ɡ
fordelingen	f ɔ ɾ d eː l ɪ ŋ n̩
forfølge	f ɔ r f œ l ɡ ə
forventning	f ɔ r ʋ ɛ n t n ɪ ŋ
fossen	f ɔ sː n̩
fullfører	f ʉ l f øː r ə r
gaven	ɡ ɑː ʋ n̩
givende	j iː ʋ ə n d ə
gjerdet	j æː ɾ ə
groruddalen	ɡ r uː r ʉ d ɑː l n̩
had	h ɑː
halvannen	h a l ʋ a nː n̩
hendte	h ɛ n t ə
illegale	ɪ lː ə ɡ ɑː l ə
innledende	ɪ nː l eː d ə n d ə
iver	iː ʋ ə r
justert	j ʉ s t eː ʁ t
justis	j ʉ s t ɪ s
justisministeren	j ʉ s t ɪ s m ɪ n ɪ s t ə r n̩
kassen	k a sː n̩
kjemp	ç ɛ m p
kniven	k n iː ʋ n̩
kok	k uː k
lidenskap	l iː d n̩ s k ɑː p
menns	m ɛ n s
metoo	m ɛ t uː
musikalske	m ʉ s ɪ k ɑː l s k ə
myter	m yː t ə r
oppholdet	ɔ p h ɔ l d ə
pekte	p ɛ k t ə
pulsen	p ʉ l s n̩
pynt	p yː n t
rundene	r ʉ n d ə n ə
sammenbrudd	s a mː ə n b r ʉ d
skadelige	s k ɑː d ə l ɪ ə
slaveri	ʂ l ɑ ʋ ə r iː
slips	ʂ l ɪ p s
smelter	s m ɛ l t ə r
sovner	s ɔ ʋ n ə r
spyr	s p yː r
starta	s t a ʁ t a
statsråden	s t a t s r oː d n̩
stillingene	s t ɪ lː ɪ ŋ ə n ə
strukturer	s t r ʉ k t ʉː r ə r
suksessen	s ʉ k s ɛ sː n̩
svensker	s ʋ ɛ n s k ə r
timing	t iː m ɪ ŋ
use	ʉː s ə
utgaver	ʉː t ɡ ɑː ʋ ə r
val	ʋ ɑː l
valen	ʋ ɑː l n̩
valper	ʋ ɑ l p ə r
vandrer	ʋ ɑ n d r ə r
varianten	ʋ a r ɪ a n t n̩
vestby	ʋ ɛ s t b yː
vurderingen	ʋ ʉ ɖ eː r ɪ ŋ n̩
ål	oː l
avsatt	ɑː ʋ s ɑ t
avstå	ɑː ʋ s t oː
berntsen	b æ ɳ t s n̩
bestilling	b ə s t ɪ lː ɪ ŋ
bet	b eː t
bin	b iː n
bjarne	b j ɑː ɳ ə
brooklyn	b r uː k l yː n
daler	d ɑː l ə r
dammen	d a mː n̩
dark	d ɑ r k
drapene	d r ɑː p ə n ə
fiasko	f i a s k u
forbeholdt	f ɔ r b ə h ɔ l t
ft	f t
fuktighet	f ʉ k t ɪ h eː t
gym	j ʏ m
hjemmesider	j ɛ mː ə s iː d ə r
idiotene	ɪ d ɪ uː t ə n ə
innebære	ɪ nː ə b æː r ə
inntok	ɪ nː t uː k
insisterte	ɪ n s ɪ s t eː ʁ t ə
jesper	j ɛ s p ə r
kanon	k a n uː n
kjeden	ç eː d n̩
kostbart	k ɔ s t b ɑ ʁ t
kraftigere	k r a f t ɪ ɡ eː r ə
krets	k r ɛ t s
kroppens	k r ɔ pː ɛ n s
kvart	k ʋ ɑ ʈ
lev	l eː ʋ
likeså	l iː k ə s oː
linn	l ɪ nː
lysten	l ʏ s t n̩
lønnsomt	l œ n s ɔ m t
maleri	m ɑ l ə r iː
margin	m ɑ r ɡ iː n
maur	m æ ʉ̯ r
mobilitet	m u b ɪ l ɪ t eː t
need	n eː d
never	n eː ʋ ə r
oljeprisen	ɔ l j ə p r iː s n̩
pausen	p æ ʉ s n̩
penga	p ɛ ŋ a
presisjon	p r ɛ s ɪ ʃ uː n
promotere	p r ʊ m ʊ t eː r ə
rip	r iː p
råvarer	r oː ʋ ɑː r ə r
samhold	s a m h ɔ l
seksjonen	s ɛ k ʃ uː n n̩
selgere	s ɛ l ɡ ə r ə
skattene	s k a tː ə n ə
skitten	ʃ ɪ tː n̩
skiver	ʃ iː ʋ ə r
skryt	s k r yː t
stammen	s t a mː n̩
systematiske	s ʏ s t ə m ɑː t ɪ s k ə
tullinger	t ʉ lː ɪ ŋ ə r
tøv	t øː ʋ
ubegrenset	ʉː b ə ɡ r ɛ n s ə
unionen	ʉ n ɪ uː n n̩
ur	ʉː r
venstreside	ʋ ɛ n s t r ɛ s iː d ə
yoga	j uː ɡ a
ak	ɑː k
aksjoner	a k ʃ uː n ə r
anlagt	ɑː n l ɑ k t
arnold	ɑː ɳ ɔ l
aston	a s t uː n
avbryte	ɑː ʋ b r yː t ə
belønnet	b ə l œ nː ə
besvare	b ɛ s ʋ ɑː r ə
chips	t͡ʃ ɪ p s
ef	eː f
etterlyst	ɛ tː ə ɾ l ʏ s t
fana	f ɑː n ɑ
forhindret	f ɔ r h ɪ n d r ə
glir	ɡ l iː r
gullruten	ɡ ʉ l r ʉː t n̩
idéen	ɪ d eː n̩
illusjon	ɪ l ʉ ʃ uː n
imorgen	ɪ m ɔ r ɡ n̩
infeksjoner	ɪ n f ɛ k ʃ uː n ə r
inklusive	ɪ n k l ʉ s iː ʋ ə
irritasjon	ɪ rː ɪ t a ʃ uː n
jernbaneverket	j æː ɳ b ɑː n ə ʋ æ r k ə
kjemikalier	ç ɛ m ɪ k ɑː l ɪ ə r
kjølvannet	ç øː l ʋ a nː ə
ladet	l ɑː d ə
lit	l iː t
markering	m ɑ r k eː r ɪ ŋ
mekaniske	m ə k ɑː n ɪ s k ə
misforståelser	m ɪ s f ɔ ʂ t oː ə l s ə r
mix	m ɪ k s
para	p ɑː r ɑ
planten	p l ɑ n t n̩
profiler	p r ʊ f iː l ə r
rapportene	r a p ɔ ʁ t ə n ə
realistiske	r ɛ a l ɪ s t ɪ s k ə
reker	r eː k ə r
rest	r eː s t
sta	s t ɑː
suspendert	s ʉ s p ɛ n d eː ʁ t
taiwan	t ɑ ɪ̯ ʋ ɑ n
tynset	t ʏ n s ə
tyr	t yː r
urter	ʉ ʈ ə r
utholdenhet	ʉː t h ɔ l d n̩ h eː t
utløse	ʉː t l øː s ə
uønskede	ʉː œ n s k ə d ə
vandre	ʋ ɑ n d r ə
vandret	ʋ ɑ n d r ə
vara	ʋ ɑː r ɑ
vinkler	ʋ ɪ ŋ k l ə r
visepresident	ʋ iː s ə p r ɛ s ɪ d ɛ n t
vått	ʋ ɔ tː
yrket	² ʏ r k ə
adoptert	a d ɔ p t eː ʁ t
amatører	a m a t øː r ə r
asiatisk	a s ɪ ɑː t ɪ s k
auksjon	æ ʉ k ʃ uː n
berger	b æ r ɡ ə r
betalingsmur	b ə t ɑː l ɪ ŋ s m ʉː r
blink	b l ɪ ŋ k
bryn	b r yː n
byttes	b ʏ tː ə s
cool	k uː l
drinker	d r ɪ ŋ k ə r
duck	d ʉ k
etappen	eː t a pː n̩
farsund	f a ʁ s ʉ n
fasen	f ɑː s n̩
flyplasser	f l yː p l a sː ə r
forbeholder	f ɔ r b ə h ɔ l d ə r
framgang	f r a m ɡ a ŋ
fyrer	f yː r ə r
gjerning	j æː ɳ ɪ ŋ
godtatt	ɡ u t a t
gummi	ɡ ʉ mː ɪ
hent	h ɛ n t
hjemmel	j ɛ mː ə l
hjulene	j ʉː l ə n ə
hvitløk	ʋ iː t l øː k
indianere	ɪ n d ɪ ɑː n ə r ə
innebar	ɪ nː ə b ɑː r
innovative	ɪ nː ɔ ʋ a t iː ʋ ə
inntekten	ɪ nː t ɛ k t n̩
itunes	ɪ t ʉː n ə s
josef	j uː s ə f
kampanjer	k a m p a n j ə r
kanin	k a n iː n
kunstneriske	k ʉ n s t n eː r ɪ s k ə
lapper	l ɑ pː ə r
laser	l ɑː s ə r
lita	l iː t ɑ
løken	l øː k n̩
lønnsom	l œ n s ɔ m
malin	m ɑ l iː n
marka	m ɑ r k ɑ
masker	m a s k ə r
mason	m a s uː n
mills	m ɪ l s
ministre	m ɪ n ɪ s t r ə
misforstår	m ɪ s f ɔ ʂ t oː r
motsetninger	m uː t s ɛ t n ɪ ŋ ə r
musikalsk	m ʉ s ɪ k ɑː l s k
norrønt	n ɔ rː œ n t
oppholdt	ɔ p h ɔ l t
oppsikt	ɔ p s ɪ k t
partileder	p a ʁ t ɪ l eː d ə r
reed	r eː d
rights	r i t s
rørende	r øː r ə n d ə
spores	s p uː r ə s
tilpasses	t ɪ l p a sː ə s
tvillinger	t ʋ ɪ lː ɪ ŋ ə r
tvilsomt	t ʋ iː l s ɔ m t
tyve	t yː ʋ ə
vaner	ʋ ɑː n ə r
vart	ʋ ɑ ʈ
verb	ʋ æ r b
visdom	ʋ iː s d ɔ m
vokter	ʋ ɔ k t ə r
voss	ʋ ɔ sː
year	j eː ɑ r
årsmøtet	ôː ɾ s m øː t ə
after	a f t ə r
artige	ɑ ʁ t ɪ ə
avviste	ɑː ʋ ɪ s t ə
blomstrer	b l ɔ m s t r ə r
box	b ɔ k s
brydd	b r y d
bålet	b oː l ə
deep	d iː p
divisjonen	d ɪ ʋ ɪ ʃ uː n n̩
edderkopper	ɛ dː ə r k ɔ pː ə r
eksplosjonen	ɛ k s p l ʊ ʃ uː n n̩
fact	f a k t
falskt	f a l s k t
feller	f ɛ lː ə r
forhindrer	f ɔ r h ɪ n d r ə r
fryd	f r yː
gustav	ɡ ʉ s t ɑː ʋ
hendt	h ɛ n t
hevdes	h ɛ ʋ d ə s
jus	j ʉː s
kloster	k l ɔ s t ə r
knull	k n ʉ l
kristiania	k r ɪ s t ɪ ɑː n ɪ a
len	l eː n
lojal	l ʊ ʃ ɑː l
lytt	l y t
moh	m uː
myten	m yː t n̩
nytelse	n yː t ə l s ə
organiserer	ɔ r ɡ a n ɪ s eː r ə r
overkjørt	oː ʋ ə r ç øː ʁ t
peak	p iː k
piloten	p ɪ l uː t n̩
pol	p uː l
samene	s ɑː m ə n ə
selvforsvar	s ɛ l f ɔ ʂ ʋ ɑː r
selvstendighet	s ɛ l s t ɛ n d ɪ h eː t
siktede	s ɪ k t ə d ə
skryter	s k r yː t ə r
sotsji	s u t ʃ iː
spider	s p iː d ə r
stats	s t a t s
statsråder	s t a t s r oː d ə r
stay	s t æ ɪ̯
strukturen	s t r ʉ k t ʉː r n̩
søksmål	s øː k s m oː l
tragiske	t r ɑː ɡ ɪ s k ə
uvitenhet	ʉː ʋ ɪ t n̩ h eː t
ventetid	ʋ ɛ n t ə t iː
verker	ʋ æ r k ə r
veteran	ʋ ɛ t ə r ɑː n
weed	v iː d
akademikere	a k a d eː m ɪ k ə r ə
archer	ɑ r t͡ʃ ə r
ari	ɑː r ɪ
avsnittet	ɑː ʋ s n ɪ tː ə
bankid	b ɑ ŋ k iː
bevæpning	b ə ʋ æː p n ɪ ŋ
blackburn	b l a k b ʉː ɳ
brenn	b r ɛ nː
bring	b r ɪ ŋ
broer	b r uː ə r
bøyer	b œ ʏ̯ ə r
café	k a f eː
diktatur	d ɪ k t ɑ t ʉː r
droner	d r uː n ə r
dublin	d ʉ b l iː n
fasiliteter	f a s ɪ l ɪ t eː t ə r
festning	f ɛ s t n ɪ ŋ
fjeset	f j eː s ə
formel	f ɔ r m ə l
forske	f ɔ ʂ k ə
føl	f øː l
gadd	ɡ a dː
gahr	ɡ ɑː r
gror	ɡ r uː r
hip	h iː p
hurtigruten	h ʉ ʈ ɪ ɡ r ʉː t n̩
høstens	h œ s t ɛ n s
illustrasjoner	ɪ l ʉ s t r a ʃ uː n ə r
iq	iː k
jager	j ɑː ɡ ə r
jorge	j ɔ r ɡ ə
kaliber	k a l iː b ə r
kasta	k a s t a
klovn	k l ɔ ʋ n
krem	k r ɛ m
krigens	k r iː ɡ ɛ n s
leicester	l æ ɪ s ɛ s t ə r
logget	l ɔ ɡː ə
lørdagen	l øː ɾ d ɑː ɡ n̩
magic	m ɑː ɡ ɪ k
messen	m ɛ sː n̩
ocean	uː s ə a n
oppfølgeren	ɔ p f œ l ɡ ə r n̩
oppløst	u p l ø s t
oppnådde	u p n o d ə
ops	ɔ p s
piper	p iː p ə r
place	p l ɑː s
realisere	r ɛ a l ɪ s eː r ə
rikets	r iː k ə t s
room	r uː m
run	r ʉː n
samer	s ɑː m ə r
sjarm	ʃ ɑ r m
southampton	s uː t h a m p t uː n
svik	s ʋ iː k
temaene	t ɛ m ɑː ə n ə
tilfeldigheter	t ɪ l f ɛ l d ɪ h eː t ə r
troppene	t r ɔ pː ə n ə
ullern	ʉ lː æ ɳ
usunt	ʉː s ʉ n t
uvanlige	ʉː ʋ ɑː n l ɪ ə
vesener	ʋ eː s n̩ ə r
visum	ʋ iː s ʉ m
avtalte	ɑː ʋ t ɑː l t ə
bensinstasjon	b ɛ n s ɪ n s t a ʃ uː n
bevisste	b ə ʋ ɪ s t ə
brødet	b r øː d ə
bystyre	b ʏ s t yː r ə
ding	d ɪ ŋ
dir	d iː r
dopet	d uː p ə
esel	eː s ə l
feires	f æ ɪ r ə s
fella	f ɛ lː ɑ
festivaler	f ɛ s t ɪ ʋ ɑː l ə r
fiskere	f ɪ s k ə r ə
gni	ɡ n iː
guden	ɡ ʉː d n̩
harrison	h a r ɪ s uː n
heat	h iː t
heltid	h ɛ l t iː
indonesia	ɪ n d ʊ n eː s ɪ a
invadert	ɪ n ʋ ɑ d eː ʁ t
joshua	j uː s h ʉː a
kinas	ç iː n ɑ s
koblingen	k uː b l ɪ ŋ n̩
kysser	ç ʏ sː ə r
lanka	l ɑ ŋ k ɑ
lionel	l j u n eː l
listet	l ɪ s t ə
låten	l oː t n̩
mais	m ɑ ɪ̯ s
makan	m ɑ k ɑː n
mali	m ɑː l ɪ
modern	m uː d æ ɳ
morgendagens	m ɔ r ɡ ə n d ɑː ɡ ɛ n s
musa	m ʉː s ɑ
mønstre	m œ n s t r ə
niels	n iː ə l s
notat	n u t ɑː t
oddsen	ɔ d s n̩
pater	p ɑː t ə r
pia	p iː a
rop	r uː p
ruset	r ʉː s ə
sakens	s ɑː k ə n s
signalet	s ɪ ŋ n ɑː l ə
skjerp	ʃ æ r p
slapper	ʂ l ɑ pː ə r
smeller	s m ɛ lː ə r
spekulasjoner	s p e k ʉ l a ʃ uː n ə r
sund	s ʉ n
tilsatt	t ɪ l s a t
tå	t oː
tøy	t œ ʏ̯
uber	ʉː b ə r
uttak	ʉː t t ɑː k
viner	ʋ iː n ə r
våget	ʋ oː ɡ ə
ada	ɑː d ɑ
austin	æ ʉ s t iː n
betraktet	b ə t r a k t ə
bevisstløs	b ə ʋ ɪ s t l øː s
bly	b l yː
com	k ɔ m
dems	d ɛ m s
did	d iː
diktator	d ɪ k t ɑː t ʊ r
eksportere	ɛ k s p ɔ ʁ t eː r ə
enslig	ɛ n s l ɪ
foreldres	f ɔ ɾ ɛ l d r ə s
forlenge	f ɔ ɾ l ɛ ŋ ə
forræderi	f ɔ r æː d ə r iː
gb	ɡ eː b eː
gjerninger	j æː ɳ ɪ ŋ ə r
gli	ɡ l iː
guri	ɡ ʉː r ɪ
hils	h ɪ l s
historiens	h ɪ s t uː r ɪ ɛ n s
homer	h uː m ə r
importere	ɪ m p ɔ ʁ t eː r ə
influensa	ɪ n f l ʉ ɛ n s a
inneha	ɪ nː ə h a
jobbes	j ɔ bː ə s
joker	j uː k ə r
kandidatene	k a n d ɪ d ɑː t ə n ə
klatret	k l ɑ t r ə
kostbar	k ɔ s t b ɑː r
kvinnens	k ʋ ɪ nː ɛ n s
lønnsomme	l œ n s ɔ mː ə
martine	m a ʁ t iː n ə
massene	m a sː ə n ə
meldes	m ɛ l d ə s
meningsløs	m eː n ɪ ŋ s l øː s
mett	m ɛ tː
nordpolen	n uː r p uː l n̩
nova	n oː ʋ ɑ
oppgang	ɔ p ɡ ɑ ŋ
partikler	p a ʁ t ɪ k l ə r
piloter	p ɪ l uː t ə r
pine	p iː n ə
playstation	p l æ ʏ s t a ɧ uː n
plus	p l ʉː s
rasjonelle	r a ʃ ʊ n ɛ lː ə
rister	r ɪ s t ə r
rockefeller	r ɔ kː ə f ɛ lː ə r
ruta	r ʉː t ɑ
sannsynlige	s a n s yː n l ɪ ə
sel	s eː l
skinnende	ʃ ɪ nː ə n d ə
skytes	ʃ yː t ə s
slutta	ʂ l ʉ tː a
sovjetiske	s ɔ ʋ j eː t ɪ s k ə
stasjonene	s t a ʃ uː n ə n ə
step	s t eː p
støt	s t øː t
tastatur	t a s t a t ʉː r
trygd	t r ʏ ɡ d
turneringer	t ʉː ɳ eː r ɪ ŋ ə r
tømt	t œ m t
ugyldig	ʉː ɡ ʏ l d ɪ
utformingen	ʉː t f ɔ r m ɪ ŋ n̩
utgir	ʉː t j iː r
utifra	ʉː t ɪ f r a
utland	ʉː t l ɑ n
østlig	ø s t l i
aftenpostens	a f t n̩ p ɔ s t ɛ n s
allmennheten	ɑ l m ɛ n h eː t n̩
angsten	ɑ ŋ s t n̩
antakeligvis	ɑ n t ɑː k ə l ɪ ɡ ʋ iː s
apollo	a p ɔ lː ʊ
aug	æ ʉ̯
avgi	ɑː ʋ j ɪ
besitter	b ə s ɪ tː ə r
bremse	b r ɛ m s ə
bærekraft	b æː r ə k r a f t
celle	s ɛ lː ə
chuck	t͡ʃ ʉ k
cricket	k r ɪ kː ə
duger	d ʉː ɡ ə r
engler	ɛ ŋ l ə r
eter	eː t ə r
farmor	f a r m u r
formulert	f ɔ r m ʉ l eː ʁ t
forstås	f ɔ ʂ t oː s
frafall	f r a f a l
fremtredende	f r ɛ m t r eː d ə n d ə
gjor	j uː r
glans	ɡ l ɑ n s
hefte	h ɛ f t ə
henvendelser	h ɛ n ʋ ɛ n d ə l s ə r
hits	h ɪ t s
hoste	h ʊ s t ə
hygiene	h yː ɡ ɪ ə n ə
identiske	ɪ d ɛ n t ɪ s k ə
informerte	ɪ n f ɔ r m eː ʁ t ə
inspirere	ɪ n s p ɪ r eː r ə
judas	j ʉː d ɑ s
kjønnsorganer	ç œ n s ɔ r ɡ ɑː n ə r
kokt	k ɔ k t
krenkende	k r ɛ ŋ k ə n d ə
kunstverk	k ʉ n s t ʋ æ r k
mal	m ɑː l
marker	m ɑ r k ə r
mega	m eː ɡ a
mista	m ɪ s t a
mobiler	m uː b ɪ l ə r
motorveien	m u t u r ʋ æ ɪ n̩
noter	n uː t ə r
omgir	ɔ m j iː r
ovenfra	oː ʋ ə n f r a
panna	p a nː a
potet	p u t eː t
protesterer	p r ʊ t ɛ s t eː r ə r
romantikk	r u m a n t i k
rust	r ʉ s t
sivilisasjon	s ɪ ʋ ɪ l ɪ s a ʃ uː n
spises	s p iː s ə s
språklig	s p r oː k l i
statkraft	s t ɑː t k r ɑ f t
stirrer	s t ɪ rː ə r
tegningen	t æ ɪ̯ n ɪ ŋ n̩
toppene	t ɔ pː ə n ə
torres	t ɔ rː ə s
veronica	ʋ ɛ r uː n ɪ k a
voks	ʋ ɔ k s
xbox	k s b ɔ k s
bakerste	b ɑː k ə ʁ s t ə
belyse	b ə l yː s ə
better	b ɛ tː ə r
boende	b uː ə n d ə
bombingen	b ʊ m b ɪ ŋ n̩
bon	b uː n
bærekraftige	b æː r ə k r a f t ɪ ə
diskusjonene	d ɪ s k ʉ ʃ uː n ə n ə
dramatikk	d r a m a t i k
feiringen	f æ ɪ r ɪ ŋ n̩
fiendtlige	f i ɛ n t l ɪ ə
filen	f iː l n̩
fjes	f j eː s
fordele	f ɔ ɾ d eː l ə
fremstilles	f r ɛ m s t ɪ lː ə s
frigjort	f r iː j u ʈ
fusjon	f ʉ ʃ uː n
geit	j æ ɪ̯ t
helsetjenester	h ɛ l s ə ç ə n ɛ s t ə r
julenissen	j ʉː l ə n ɪ sː n̩
kandidaten	k a n d ɪ d ɑː t n̩
karantene	k a r a n t ə n ə
karer	k ɑː r ə r
kartlagt	k a ʁ t l a k t
kur	k ʉː r
kysset	ç ʏ sː ə
lærebøker	l æː r ə b øː k ə r
løpene	l øː p ə n ə
løven	l øː ʋ n̩
martinsen	m a ʁ t ɪ n s n̩
mjøsa	m j øː s ɑ
museer	m ʉ s eː ə r
nike	² n iː k ə
niklas	n iː k l ɑː s
nobels	n uː b ə l s
omgangen	ɔ m ɡ ɑ ŋ n̩
opptakene	ɔ p t ɑː k ə n ə
paulsen	p æ ʉ l s n̩
