ها	h ɒː
هايي	h ɒː j iː
هرکسی	h æ ɾ k æ s iː
هفتمین	h o f t æ m iː n
پوشاک	p uː ʃ ɒː k
پژو	p æ ʒ uː
چندانی	t͡ʃ æ n d ɒː n iː
کربن	k æ ɾ b æ n
کمه	k æ m e̞
کنارش	k e̞ n ɒː ɾ e̞ ʃ
گردو	g æ ɾ d uː
گنبد	g o n b æ d
یگانه	j e̞ g ɒː n e̞
be	b eː
this	t iː s
آزادگان	ɒː z ɒː d e̞ g ɒː n
آف	ɒː f
آينده	ɒː j æ n d e̞
اورژانس	o ɾ ʒ ɒː n e̞ s
بعضا	b e̞ ʔ z ɒː
تعطیلی	t æ ʔ t iː l iː
تقی	t æ ɢ iː
تنیس	t æ n iː s
توابع	t æ v ɒː b e̞ ʔ
تولیدات	t uː l iː d ɒː t
حسادت	h e̞ s ɒː d æ t
حول	h o l
حیدر	h iː d æ ɾ
خانوما	x ɒː n uː m ɒː
خواهرش	x ɒː h e̞ ɾ e̞ ʃ
دستیار	d æ s t j ɒː ɾ
دویست	d æ v iː s t
رحیم	ɾ æ h iː m
شناسه	ʃ e̞ n ɒː s e̞
صریح	s æ ɾ iː h
طوسی	t uː s iː
فرمانداری	f æ ɾ m ɒː n d ɒː ɾ iː
قدمت	ɢ æ d æ m æ t
قرون	ɢ o ɾ uː n
لیلی	l iː l iː
مدیری	m æ d iː ɾ iː
مچ	m æ t͡ʃ
میدون	m iː d æ v æ n
میدونستم	m iː d uː n e̞ s t æ m
ناپدید	n ɒː p æ d iː d
نرسیده	n æ ɾ æ s iː d e̞
نشین	n e̞ ʃ iː n
نمایان	n æ m ɒː j ɒː n
هال	h ɒː l
همگانی	h æ m g ɒː n iː
وسیعی	v æ s iː ʔ iː
وین	v iː n
پخته	p o x t e̞
پراکنده	p æ ɾ ɒː k æ n d e̞
پراید	p æ ɾ ɒː j æ d
پورت	p uː ɾ æ t
چرب	t͡ʃ æ ɾ b
ژاک	ʒ ɒː k
ژنتیک	ʒ æ n t iː k
گرافیکی	g e̞ ɾ ɒː f iː k iː
آپ	ɒː p
آکادمی	ɒː k ɒː d æ m iː
انگور	æ n g uː ɾ
اوکی	o k iː
برآورده	b æ ɾ ɒː v æ ɾ d e̞
بروس	b e̞ ɾ uː s
تدریج	t æ d æ ɾ iː d͡ʒ
تسخیر	t æ s x iː ɾ
تصاویری	t æ s ɒː v iː ɾ iː
جابجایی	d͡ʒ ɒː b e̞ d͡ʒ ɒː j iː
حدودی	h o d uː d iː
حیدری	h iː d æ ɾ iː
خودی	x o d iː
داشتنی	d ɒː ʃ t æ n iː
دستبند	d æ s t æ b æ n d
دوگانه	d uː g ɒː n e̞
زیتون	z iː t uː n
سيستم	s iː s t æ m
سیزدهم	s iː z æ d æ h æ m
سین	s iː n
شركت	ʃ e̞ ɾ æ k t
علل	æ l æ l
فلان	f æ l ɒː n
قفسه	ɢ æ f s e̞
قيمت	ɢ e̞ j m æ t
كسي	k æ s iː
لوک	l uː k
ماساژ	m ɒː s ɒː ʒ
مبانی	m æ b ɒː n iː
متوالی	m æ t æ v ɒː l iː
مداخله	m æ d ɒː x e̞ l e̞
مطالبات	m æ t ɒː l æ b ɒː t
موثر	m uː s æ ɾ
ناخن	n ɒː x æ n
نگهبانان	n æ g o h b ɒː n ɒː n
هارد	h ɒː ɾ æ d
هرکاری	h æ ɾ k ɒː ɾ iː
پنجه	p e̞ n d͡ʒ e̞
پوستی	p uː s t iː
کبوتر	k o b uː t æ ɾ
کوره	k uː ɾ e̞
کول	k uː l
کوی	k uː j
کیبورد	k iː b uː ɾ æ d
گلزار	g o l z ɒː ɾ
my	m iː
آجر	ɒː d͡ʒ æ ɾ
امامی	æ m ɒː m iː
امیری	æ m iː ɾ iː
اولين	o l iː n
باردار	b ɒː ɾ d ɒː ɾ
بازتاب	b ɒː z t ɒː b
بتونن	b e̞ t uː n æ n
برچسب	b æ ɾ t͡ʃ æ s b
بزودی	b e̞ z uː d iː
بلایی	b e̞ l ɒː j iː
بمیره	b e̞ m iː ɾ e̞
بيرون	b e̞ j ɾ æ v æ n
بیفته	b iː j o f t e̞
تخیلی	t æ x iː l iː
تنه	t æ n e̞
جاي	d͡ʒ ɒː j
حامل	h ɒː m e̞ l
خدایان	x æ d ɒː j ɒː n
درختی	d e̞ ɾ æ x t iː
دوز	d uː z
دومی	d uː m iː
دوک	d uː k
دیپلم	d iː p æ l æ m
سلطانی	s æ l t ɒː n iː
سوزان	s uː z ɒː n
شتر	ʃ e̞ t o ɾ
علي	æ l iː
لاریجانی	l ɒː ɾ iː d͡ʒ ɒː n iː
لای	l ɒː j
لیبرال	l iː b o ɾ ɒː l
مساجد	m æ s ɒː d͡ʒ æ d
معارف	m æ ʔ ɒː ɾ e̞ f
مقادیر	m æ ɢ ɒː d iː ɾ
میخوره	m iː x o ɾ e̞
میلان	m iː l ɒː n
ناخواسته	n ɒː x ɒː s t e̞
ناقص	n ɒː ɢ e̞ s
نزده	n æ z æ d e̞
نوکیا	n uː k j ɒː
هشتمین	h e̞ ʃ t æ m iː n
وال	v ɒː l
پیشه	p iː ʃ e̞
چاک	t͡ʃ ɒː k
کرسی	k æ ɾ s iː
کشاورز	k e̞ ʃ ɒː v æ ɾ z
کلامی	k e̞ l ɒː m iː
کوفه	k uː f e̞
گزیده	g o z iː d e̞
گی	g iː
آسیاب	ɒː s j ɒː b
بامداد	b ɒː m æ d ɒː d
بزرگه	b e̞ z æ ɾ g e̞
بشریت	b e̞ ʃ o ɾ iː t
بنت	b æ n t
بنیادی	b e̞ n æ j ɒː d iː
تحسین	t æ h s iː n
تکذیب	t e̞ k z iː b
تیز	t iː z
جادویی	d͡ʒ ɒː d uː j iː
جنگنده	d͡ʒ æ n g æ n d e̞
خالق	x ɒː l e̞ ɢ
خانوار	x ɒː n æ v ɒː ɾ
خمیر	x æ m iː ɾ
خوشبخت	x o ʃ b æ x t
خوشت	x o ʃ t
داران	d ɒː ɾ ɒː n
رسالت	ɾ e̞ s ɒː l æ t
روباه	ɾ uː b ɒː h
ریلی	ɾ iː l iː
زوده	z uː d e̞
سانتی	s ɒː n t iː
سوپ	s uː p
شعری	ʃ e̞ ʔ ɾ iː
عناوین	æ n ɒː v iː n
عکسی	æ k s iː
قواعد	ɢ æ v ɒː ʔ æ d
لاتین	l ɒː t iː n
لوح	l uː h
لک	l e̞ k
ماری	m ɒː ɾ iː
مالیاتی	m ɒː l iː j ɒː t iː
مرطوب	m æ ɾ t uː b
مریض	m æ ɾ iː z
منتقدان	m æ n t æ ɢ d ɒː n
میرن	m iː ɾ æ n
نمیشم	n e̞ m iː ʃ æ m
هرچقدر	h æ ɾ t͡ʃ æ ɢ d æ ɾ
واکسن	v ɒː k e̞ s æ n
وفادار	v æ f ɒː d ɒː ɾ
وو	v o
پیری	p iː ɾ iː
پین	p e̞ j n
چسب	t͡ʃ æ s b
کلر	k e̞ l æ ɾ
کوشش	k uː ʃ e̞ ʃ
آمازون	ɒː m ɒː z uː n
آنی	ɒː n iː
آها	ɒː h ɒː
ارواح	æ ɾ v ɒː h
اعتقادات	iː ʔ t æ ɢ ɒː d ɒː t
اندر	æ n d æ ɾ
اندی	æ n d iː
اونایی	o n ɒː j iː
بتمن	b e̞ t æ m æ n
بزرگسالان	b e̞ z æ ɾ g o s ɒː l ɒː n
تایم	t ɒː j æ m
تذکر	t æ z k æ ɾ
ترمز	t æ ɾ m æ z
تونستم	t uː n e̞ s t æ m
توییتر	t uː j iː t æ ɾ
جیم	d͡ʒ iː m
حسين	h e̞ s iː n
دزدان	d o z d ɒː n
دستمزد	d æ s t æ m z æ d
دنی	d æ n iː
دیپلماسی	d iː p æ l m ɒː s iː
روحانیت	ɾ uː h ɒː n iː t
رک	ɾ e̞ k
سبد	s æ b æ d
سرای	s o ɾ ɒː j
سرتون	s o ɾ t uː n
شال	ʃ ɒː l
شناسنامه	ʃ e̞ n ɒː s n ɒː m e̞
صمیمی	s æ m iː m iː
عبادت	æ b ɒː d æ t
عقاب	æ ɢ ɒː b
لانگ	l ɒː n g
متوسطه	m æ t uː s t e̞
محرمانه	m æ h æ ɾ m ɒː n e̞
مرادی	m æ ɾ ɒː d iː
مردگان	m æ ɾ d e̞ g ɒː n
مزیت	m æ z iː t
معاویه	m æ ʔ ɒː v iː j e̞
منتظری	m æ n t æ z æ ɾ iː
منتقد	m æ n t æ ɢ æ d
ناخودآگاه	n ɒː x o d ɒː g ɒː h
ناشناخته	n ɒː ʃ e̞ n ɒː x t e̞
نمودن	n o m uː d æ n
نگین	n æ g iː n
هفتگی	h o f t g iː
وزیری	v æ z iː ɾ iː
پات	p ɒː t
پارلمانی	p ɒː ɾ l æ m ɒː n iː
پاکسازی	p ɒː k s ɒː z iː
پنبه	p e̞ n b e̞
پیغام	p e̞ j ɢ ɒː m
چابهار	t͡ʃ ɒː b e̞ h ɒː ɾ
چنده	t͡ʃ æ n d e̞
کالای	k ɒː l ɒː j
کشیش	k e̞ ʃ iː ʃ
کلسیم	k æ l s iː m
کوچ	k uː t͡ʃ
گواهینامه	g o v ɒː h iː n ɒː m e̞
یادگار	j ɒː d e̞ g ɒː ɾ
یکسال	j e̞ k s ɒː l
ائمه	æ ʔ m e̞
ارزشی	æ ɾ z e̞ ʃ iː
الکساندر	a l k e̞ s ɒː n d æ ɾ
امری	æ m o ɾ iː
اونجایی	o n d͡ʒ ɒː j iː
باکتری	b ɒː k t æ ɾ iː
بگیم	b e̞ g iː m
بیاری	b iː j ɒː ɾ iː
تساوی	t æ s ɒː v iː
تغییری	t æ ɢ j iː ɾ iː
تکان	t e̞ k ɒː n
جادوگر	d͡ʒ ɒː d uː g æ ɾ
جاوا	d͡ʒ ɒː v ɒː
جیب	d͡ʒ iː b
دستاوردهای	d æ s t ɒː v æ ɾ d e̞ iː
دستشویی	d æ s t e̞ ʃ uː j iː
روال	ɾ æ v ɒː l
روایتی	ɾ æ v ɒː j æ t iː
روضه	ɾ uː z e̞
زنا	z æ n ɒː
سازماندهی	s ɒː z m ɒː n d æ h iː
ساک	s ɒː k
سیصد	s iː s æ d
فال	f ɒː l
فرزاد	f æ ɾ z ɒː d
فعاليت	f e̞ ʔ ɒː l iː t
قبیله	ɢ æ b iː l e̞
قر	ɢ æ ɾ
لاغر	l ɒː ɢ o ɾ
لرزه	l æ ɾ z e̞
لکه	l e̞ k e̞
ماهر	m ɒː h e̞ ɾ
معصوم	m æ ʔ s uː m
موتوری	m uː t uː ɾ iː
ناپذیر	n ɒː p æ z iː ɾ
نشریات	n æ ʃ o ɾ j ɒː t
نمیدم	n e̞ m iː d æ m
نوازنده	n æ v ɒː z æ n d e̞
همدلی	h æ m d æ l iː
پدری	p æ d æ ɾ iː
پروین	p æ ɾ v iː n
پستی	p æ s t iː
پک	p o k
کنيد	k o n iː d
کهگیلویه	k æ h g iː l uː j e̞
کودتای	k uː d t ɒː j
کوک	k uː k
گرمه	g æ ɾ m e̞
گلم	g o l æ m
یاس	j ɒː s
آدام	ɒː d ɒː m
آزمایشگاهی	ɒː z m ɒː j e̞ ʃ g ɒː h iː
آشام	ɒː ʃ ɒː m
اهدای	æ h d ɒː j
بدونن	b e̞ d uː n æ n
برگرفته	b æ ɾ g e̞ ɾ e̞ f t e̞
بشید	b e̞ ʃ iː d
بطری	b e̞ t æ ɾ iː
بلندی	b e̞ l æ n d iː
بهنام	b e̞ h n ɒː m
بگیرن	b e̞ g iː ɾ æ n
بیانگر	b iː j ɒː n g æ ɾ
بیچاره	b iː t͡ʃ ɒː ɾ e̞
تراکم	t æ ɾ ɒː k æ m
تضعیف	t æ z ʔ iː f
تعلیم	t æ ʔ l iː m
تناسلی	t æ n ɒː s æ l iː
حمايت	h æ m ɒː j æ t
خداحافظ	x æ d ɒː h ɒː f æ z
خزانه	x æ z ɒː n e̞
دلخواه	d æ l x ɒː h
ديگران	d iː g e̞ ɾ ɒː n
رازی	ɾ ɒː z iː
راهکار	ɾ ɒː h k ɒː ɾ
رویال	ɾ uː j ɒː l
زمونه	z o m uː n e̞
سفرهای	s o f ɾ e̞ iː
شیری	ʃ iː ɾ iː
عامه	ɒː m e̞
غلظت	ɢ æ l z æ t
مت	m æ t
مردا	m o ɾ d ɒː
مغناطیسی	m æ ɢ n ɒː t iː s iː
ملحق	m æ l h æ ɢ
مناظره	m æ n ɒː z e̞ ɾ e̞
مود	m uː d
میلیاردی	m iː l j ɒː ɾ d iː
میگذره	m iː g o z æ ɾ e̞
نازل	n ɒː z e̞ l
نامگذاری	n ɒː m æ g o z ɒː ɾ iː
نذار	n æ z ɒː ɾ
نمیخوای	n e̞ m iː x ɒː j
نوا	n æ v ɒː
هرحال	h æ ɾ h ɒː l
هما	h æ m ɒː
وات	v ɒː t
وجدان	v æ d͡ʒ d ɒː n
وزنه	v æ z n e̞
ولز	v æ l z
ویلا	v iː l ɒː
کارای	k ɒː ɾ ɒː j
کلاغ	k e̞ l ɒː ɢ
آش	ɒː ʃ
آنهایی	ɒː n æ h ɒː j iː
آهنگی	ɒː h æ n g iː
اموزش	æ m uː z e̞ ʃ
ایدز	iː d o z
بزرگوار	b e̞ z æ ɾ g o v ɒː ɾ
بعداز	b e̞ ʔ d ɒː z
تصفیه	t æ s f iː j e̞
حسینیه	h æ s iː n iː j e̞
خرگوش	x æ ɾ g uː ʃ
خل	x æ l
خیره	x iː ɾ e̞
دزفول	d o z f uː l
دستورات	d æ s t uː ɾ ɒː t
ديگري	d iː g e̞ ɾ iː
رسيد	ɾ æ s iː d
زهره	z æ h ɾ e̞
زین	z iː n
شونه	ʃ uː n e̞
صدمه	s æ d æ m e̞
عرفانی	æ ɾ f ɒː n iː
عمارت	æ m ɒː ɾ æ t
فردوس	f æ ɾ d uː s
فرعی	f æ ɾ ʔ iː
قالی	ɢ ɒː l iː
كشور	k e̞ ʃ uː ɾ
لنز	l æ n z
لیتر	l iː t æ ɾ
لیورپول	l iː v æ ɾ p uː l
ماها	m ɒː h ɒː
مسافت	m æ s ɒː f t
ميگه	m iː g e̞
میثم	m iː s æ m
میفته	m iː f t e̞
میکردن	m iː k æ ɾ d æ n
هرچیزی	h æ ɾ t͡ʃ iː z iː
همجنس	h æ m d͡ʒ æ n s
هیأت	h iː ʔ æ t
ولتاژ	v æ l t ɒː ʒ
پدربزرگ	p æ d æ ɾ b e̞ z æ ɾ g
پسته	p æ s t e̞
پوشیدن	p uː ʃ iː d æ n
کاغذی	k ɒː ɢ z iː
کوبا	k uː b ɒː
آفرینش	ɒː f æ ɾ iː n e̞ ʃ
آگوست	ɒː g uː s t
ارمغان	æ ɾ m æ ɢ ɒː n
افتضاح	o f t e̞ z ɒː h
افسرده	æ f s o ɾ d e̞
بدنبال	b e̞ d o n b ɒː l
بیابان	b iː j ɒː b ɒː n
بیژن	b iː ʒ æ n
تالاب	t ɒː l ɒː b
جراح	d͡ʒ o ɾ ɒː h
جلوتر	d͡ʒ o l uː t æ ɾ
جنون	d͡ʒ o n uː n
جهاني	d͡ʒ æ h ɒː n iː
جهانگیری	d͡ʒ æ h ɒː n g iː ɾ iː
حاد	h ɒː d
حفره	h æ f ɾ e̞
دربار	d æ ɾ b ɒː ɾ
دهندگان	d æ h æ n d e̞ g ɒː n
دون	d æ v æ n
ذاتی	z ɒː t iː
راجر	ɾ ɒː d͡ʒ æ ɾ
راهش	ɾ ɒː h e̞ ʃ
روزگاری	ɾ uː z g ɒː ɾ iː
ریش	ɾ iː ʃ
سالیان	s ɒː l j ɒː n
ستم	s e̞ t æ m
سوت	s uː t
شلاق	ʃ o l ɒː ɢ
شیب	ʃ iː b
شید	ʃ iː d
غافل	ɢ ɒː f e̞ l
فرصتی	f e̞ ɾ e̞ s t iː
فستیوال	f æ s t iː v ɒː l
فلفل	f æ l f æ l
قرارگاه	ɢ æ ɾ ɒː ɾ g ɒː h
قوای	ɢ æ v ɒː j
لامپ	l ɒː m æ p
لزوما	l o z uː m ɒː
مریخ	m æ ɾ iː x
مزاحمت	m æ z ɒː h æ m æ t
منظر	m æ n z æ ɾ
مگ	m æ g
مینا	m iː n ɒː
نتونه	n æ t uː n e̞
نشونه	n æ ʃ uː n e̞
نوت	n æ v æ t
هوس	h uː s
وزير	v æ z iː ɾ
وضعيت	v æ z ʔ iː t
پشتی	p o ʃ t iː
کارآگاه	k ɒː ɾ ɒː g ɒː h
کشورش	k e̞ ʃ uː ɾ e̞ ʃ
کمد	k æ m æ d
کیو	k e̞ j o
گناهان	g o n ɒː h ɒː n
آسایش	ɒː s ɒː j e̞ ʃ
ابلاغ	æ b l ɒː ɢ
امامت	æ m ɒː m æ t
ایمن	iː m æ n
بادام	b ɒː d ɒː m
بای	b ɒː j
بخونه	b e̞ x o n e̞
بشدت	b e̞ ʃ o d æ t
بیات	b iː j ɒː t
ترش	t o ɾ ʃ
تولدش	t uː l æ d e̞ ʃ
توکلی	t uː k æ l iː
تیک	t iː k
جد	d͡ʒ æ d
جف	d͡ʒ o f
جورایی	d͡ʒ uː ɾ ɒː j iː
خامه	x ɒː m e̞
خونین	x o n iː n
خیس	x iː s
درام	d æ ɾ ɒː m
دریچه	d æ ɾ iː t͡ʃ e̞
دستام	d æ s t ɒː m
سازگاری	s ɒː z g ɒː ɾ iː
شرت	ʃ o ɾ t
صورتم	s uː ɾ æ t æ m
عن	æ n
عنایت	æ n ɒː j æ t
غریبه	ɢ o ɾ ɾ iː b e̞
فراموشی	f æ ɾ ɒː m uː ʃ iː
فکرش	f e̞ k e̞ ɾ e̞ ʃ
قراردادی	ɢ æ ɾ ɒː ɾ d ɒː d iː
قوا	ɢ æ v ɒː
محرومیت	m æ h ɾ uː m iː t
نامزدی	n ɒː m æ z d iː
هربار	h æ ɾ b ɒː ɾ
همگان	h æ m g ɒː n
واحدی	v ɒː h e̞ d iː
پلاستیکی	p æ l ɒː s t iː k iː
پوتین	p uː t iː n
چهارده	t͡ʃ æ h ɒː ɾ d e̞
چي	t͡ʃ iː
کارآفرین	k ɒː ɾ ɒː f æ ɾ iː n
کارلوس	k ɒː ɾ l uː s
کرک	k æ ɾ k
کریس	k æ ɾ iː s
کشنده	k e̞ ʃ æ n d e̞
آستان	ɒː s t ɒː n
آشوب	ɒː ʃ o b
اتم	æ t æ m
اله	ɒː l e̞
باباش	b ɒː b ɒː ʃ
بهاره	b e̞ h ɒː ɾ e̞
بکشن	b e̞ k e̞ ʃ æ n
بیداری	b iː d ɒː ɾ iː
تفاوتی	t æ f ɒː v æ t iː
تل	t æ l
تلفظ	t æ l f æ z
تمومه	t æ m uː m e̞
خدایی	x æ d ɒː j iː
خوابگاه	x ɒː b e̞ g ɒː h
ديده	d iː d e̞
دیزنی	d iː z æ n iː
رادار	ɾ ɒː d ɒː ɾ
رنگین	ɾ æ n g iː n
روحش	ɾ uː h e̞ ʃ
روسری	ɾ uː s o ɾ iː
زغال	z æ ɢ ɒː l
زمستون	z æ m æ s t uː n
سازندگان	s ɒː z n æ d e̞ g ɒː n
سالشه	s ɒː l e̞ ʃ e̞
سپر	s e̞ p o ɾ
شرطی	ʃ o ɾ t iː
صحرا	s æ h ɾ ɒː
عجیبه	æ d͡ʒ iː b e̞
غلام	ɢ æ l ɒː m
فرهنگیان	f æ ɾ h æ n g j ɒː n
لفظ	l æ f z
لیبی	l iː b iː
مدیریتی	m æ d iː ɾ iː t iː
مزمن	m æ z m æ n
مسواک	m æ s v ɒː k
مطبوعاتی	m æ t b uː ʔ ɒː t iː
میخواین	m iː x ɒː j æ n
میدونیم	m iː d uː n iː m
میله	m iː l e̞
میکس	m iː k o s
نابغه	n ɒː b e̞ ɢ e̞
ناچار	n ɒː t͡ʃ ɒː ɾ
نجومی	n æ d͡ʒ uː m iː
ندادن	n æ d ɒː d æ n
نهاده	n æ h ɒː d e̞
نیس	n iː s
نیمکت	n æ j ɒː m æ k t
وانت	v ɒː n æ t
وبا	v æ b ɒː
پایینی	p ɒː j iː n iː
پرهیز	p æ ɾ h iː z
پز	p æ z
پسند	p æ s æ n d
پیروان	p iː ɾ æ v ɒː n
ژنتیکی	ʒ æ n t iː k iː
کات	k ɒː t
کال	k ɒː l
کمکم	k æ m k æ m
کوله	k uː l e̞
گرون	g e̞ ɾ æ v æ n
یقین	j æ ɢ iː n
آرای	ɒː ɾ ɒː j
ادا	æ d ɒː
اميد	æ m iː d
اواسط	æ v ɒː s e̞ t
اینتر	iː n t æ ɾ
بارانی	b ɒː ɾ ɒː n iː
باورهای	b ɒː v æ ɾ e̞ iː
بخشیدن	b æ x ʃ iː d æ n
بذارید	b e̞ z ɒː ɾ iː d
برگشتن	b æ ɾ g æ ʃ t æ n
بریده	b e̞ ɾ iː d e̞
بمون	b e̞ m uː n
بیلی	b iː l iː
بیننده	b iː j ɒː n æ n d e̞
تجلیل	t æ d͡ʒ l iː l
تخصیص	t æ x s iː s
تطبیق	t æ t b iː ɢ
تغییراتی	t æ ɢ j iː ɾ ɒː t iː
توفیق	t uː f iː ɢ
تیتر	t iː t æ ɾ
جاسوس	d͡ʒ ɒː s uː s
جر	d͡ʒ æ ɾ
جنرال	d͡ʒ o n ɾ ɒː l
جهادی	d͡ʒ æ h ɒː d iː
خلیل	x æ l iː l
خوبن	x o b æ n
درشت	d e̞ ɾ e̞ ʃ t
دستکاری	d æ s t e̞ k ɒː ɾ iː
راسته	ɾ ɒː s t e̞
رحیمی	ɾ æ h iː m iː
رویدادهای	ɾ æ v iː d ɒː d e̞ iː
زیرزمینی	z iː ɾ z æ m iː n iː
سازي	s ɒː z iː
سجاد	s e̞ d͡ʒ ɒː d
سنین	s æ n iː n
سوسک	s uː s k
سپیده	s e̞ p iː d e̞
شدیدی	ʃ o d iː d iː
علمي	æ l æ m iː
عوام	æ v ɒː m
فدا	f o d ɒː
كننده	k æ n æ n d e̞
ماسه	m ɒː s e̞
ماشینی	m ɒː ʃ iː n iː
محيط	m æ h iː t
محکومیت	m æ h k uː m iː t
معدود	m æ ʔ d uː d
معلق	m æ ʔ l æ ɢ
معلول	m æ ʔ l uː l
ناتوانی	n ɒː t æ v ɒː n iː
نوش	n uː ʃ
هاوس	h ɒː v æ s
هرمز	h æ ɾ m æ z
هستيم	h æ s t iː m
وبه	v æ b e̞
پولش	p uː l e̞ ʃ
پژوهشگر	p æ ʒ uː h e̞ ʃ g æ ɾ
چراکه	t͡ʃ æ ɾ ɒː k e̞
گانه	g ɒː n e̞
گن	g æ n
یادمه	j ɒː d æ m e̞
بازنده	b ɒː z n æ d e̞
بذر	b e̞ z æ ɾ
بیاریم	b iː j ɒː ɾ iː m
تاک	t ɒː k
تبار	t æ b ɒː ɾ
تردد	t æ ɾ d æ d
ترمیم	t æ ɾ m iː m
تصحیح	t æ s h iː h
تعيين	t æ ʔ j iː n
تهوع	t æ h uː ʔ
ثالث	s ɒː l e̞ s
خروس	x o ɾ uː s
خوشبختی	x o ʃ b æ x t iː
خوک	x o k
دادا	d ɒː d ɒː
دهنش	d æ h n e̞ ʃ
ربوده	ɾ o b uː d e̞
رساله	ɾ e̞ s ɒː l e̞
رصد	ɾ æ s æ d
ریک	ɾ iː k
زیباست	z iː b ɒː s t
سلولی	s o l uː l iː
سکونت	s e̞ k uː n æ t
شدیدا	ʃ o d iː d ɒː
ضربات	z æ ɾ b ɒː t
ضربان	z æ ɾ b ɒː n
طلبان	t æ l æ b ɒː n
عوضش	uː z e̞ ʃ
لاین	l ɒː j æ n
مارول	m ɒː ɾ uː l
ماهانه	m ɒː h ɒː n e̞
مبادله	m æ b ɒː d e̞ l e̞
محلات	m æ h l ɒː t
معنایی	m æ ʔ n ɒː j iː
ممتاز	m æ m t ɒː z
میمون	m iː m uː n
میوفته	m iː v o f t e̞
نبی	n æ b iː
نر	n æ ɾ
نقاش	n æ ɢ ɒː ʃ
نميشه	n e̞ m iː ʃ e̞
نمیدونستم	n e̞ m iː d uː n e̞ s t æ m
نمیگم	n e̞ m iː g æ m
هرم	h æ ɾ æ m
هضم	h æ z æ m
هندوستان	h æ n d uː s t ɒː n
هیچگونه	h iː t͡ʃ e̞ g uː n e̞
وفاداری	v æ f ɒː d ɒː ɾ iː
ویکی	v iː k iː
يکي	j e̞ k iː
پارتی	p ɒː ɾ t iː
پارسا	p ɒː ɾ s ɒː
چيزي	t͡ʃ iː z iː
ژانویه	ʒ ɒː n e̞ v iː j e̞
کا	k ɒː
کاظمی	k ɒː z m iː
کجای	k e̞ d͡ʒ ɒː j
کشاورزان	k e̞ ʃ ɒː v æ ɾ z ɒː n
یونانی	j o n ɒː n iː
آستین	ɒː s t iː n
اربعین	æ ɾ b e̞ ʔ iː n
امینی	æ m iː n iː
ایا	iː j ɒː
بلاخره	b e̞ l ɒː x æ ɾ e̞
بنگاه	b e̞ n e̞ g ɒː h
تحقیر	t æ h ɢ iː ɾ
حراست	h æ ɾ ɒː s t
حواسش	h æ v ɒː s e̞ ʃ
حکمی	h e̞ k æ m iː
خریدار	x æ ɾ iː d ɒː ɾ
دريافت	d æ ɾ j ɒː f t
دیو	d e̞ j o
رادیکال	ɾ ɒː d iː k ɒː l
راستا	ɾ ɒː s t ɒː
زنبور	z o n b uː ɾ
زنجانی	z æ n d͡ʒ ɒː n iː
زهر	z æ h ɾ
ساقه	s ɒː ɢ e̞
سرب	s o ɾ b
سپاس	s e̞ p ɒː s
صوت	s uː t
طراحي	t æ ɾ ɒː h iː
عذرخواهی	æ z ɾ æ x ɒː h iː
عینی	iː n iː
فراگیر	f æ ɾ ɒː g iː ɾ
فنا	f æ n ɒː
فیروز	f iː ɾ uː z
كل	k æ l
مبارکه	m æ b ɒː ɾ k e̞
مداحی	m æ d ɒː h iː
مریوان	m æ ɾ iː v ɒː n
مصرفی	m æ s ɾ æ f iː
معیارهای	m æ ʔ j ɒː ɾ e̞ iː
میتونستم	m iː t uː n e̞ s t æ m
نساجی	n æ s ɒː d͡ʒ iː
نهفته	n æ h o f t e̞
نوزدهم	n æ v æ z d æ h æ m
هرکدام	h æ ɾ k e̞ d ɒː m
پرتقال	p æ ɾ t æ ɢ ɒː l
پهلوان	p æ h l æ v ɒː n
ژان	ʒ ɒː n
کارآمد	k ɒː ɾ ɒː m æ d
کاشانی	k ɒː ʃ ɒː n iː
کتابهای	k e̞ t ɒː b e̞ iː
کرمانی	k æ ɾ m ɒː n iː
افسران	æ f s o ɾ ɒː n
بازهم	b ɒː z h æ m
باشکوه	b ɒː ʃ k uː h
بغلم	b e̞ ɢ æ l æ m
تحریر	t æ h ɾ iː ɾ
تهویه	t æ h v iː j e̞
تیرماه	t iː ɾ æ m ɒː h
جایگزینی	d͡ʒ ɒː j g o z iː n iː
جوراب	d͡ʒ uː ɾ ɒː b
حفاری	h æ f ɒː ɾ iː
حواشی	h æ v ɒː ʃ iː
خوشی	x uː ʃ iː
درماني	d æ ɾ m ɒː n iː
دونی	d uː n iː
ذوق	z uː ɢ
راهبردی	ɾ ɒː h b o ɾ d iː
رایت	ɾ ɒː j æ t
ردیابی	ɾ æ d j ɒː b iː
رویای	ɾ uː j ɒː j
زا	z ɒː
سون	s uː n
صدف	s æ d æ f
عازم	ɒː z æ m
عایق	ɒː j e̞ ɢ
فری	f æ ɾ iː
متنی	m æ t æ n iː
مرکب	m æ ɾ k æ b
مصداق	m æ s d ɒː ɢ
معمار	m æ ʔ m ɒː ɾ
منظره	m æ n z æ ɾ e̞
مکزیک	m æ k z iː k
میبره	m iː b o ɾ e̞
میش	m iː ʃ
نخبه	n æ x æ b e̞
نزديك	n æ z o d iː k
نصیب	n æ s iː b
نوسان	n uː s ɒː n
نوشتار	n e̞ v e̞ ʃ t ɒː ɾ
نگاهش	n æ g ɒː h e̞ ʃ
هاشو	h ɒː ʃ o
هرگاه	h æ ɾ g ɒː h
وقفه	v æ ɢ f e̞
