the	t eː
toegepaste	t u ɣ ə p ɑ s t ə
toekennen	t u k ɛ n ə
trail	t r eː l
transparant	t r ɑ n s p aː r ɑ n t
twitteraars	t ʋ ɪ t ə r aː r s
vargas	v ɑ r ɣ ɑ s
vegetariër	v eː ɣ ə t aː r i ə r
verduren	v ə r d yː r ə
vereisten	v ə r ɛ i̯ s t ə
verstappen	v ə r s t ɑ p ə
verwelkomt	v ə r ʋ ɛ l k ɔ m t
verwijzingen	v ə r ʋ ɛ i̯ z ɪ ŋ ə
viii	v iː i
vijandelijke	v ɛ i̯ ɑ n d ə l ə k ə
vloeiend	v l u i̯ ə n t
voorspel	v oː r s p ɛ l
vuurwapens	v yː r ʋ aː p ə n s
waalse	ʋ aː l s ə
werelderfgoed	ʋ eː r ə l d ɛ r f x u t
wish	ʋ ɪ ʃ
abonnees	aː b ɔ n eː s
achtergebleven	ɑ x t ə r ɣ ə b l eː v ə
achtervolgd	ɑ x t ə r v ɔ l x t
afgesneden	ɑ f x ə s n eː d ə
afvalwater	ɑ f ɑ l ʋ aː t ə r
bedrogen	b ə d r oː ɣ ə
bemoeit	b ə m u i̯ t
berecht	b ə r ɛ x t
bessen	b ɛ s ə
bloeiende	b l u i̯ ə n d ə
bootjes	b oː t j ə s
bundesliga	b ʏ n d ə s l i ɣ aː
cars	k ɑ r s
catharina	k aː t aː r i n aː
core	k oː r ə
cristina	k r ɪ s t i n aː
culinair	k y l i n ɛː r
degelijke	d eː ɣ ə l ə k ə
developer	d eː v ə l oː p ə r
diemen	d i m ə
disciplines	d ɪ s i p l i n ɛ s
dorpelingen	d ɔ r p ə l ɪ ŋ ə
echtgenoten	ɛ x t x ə n oː t ə
edit	eː d ɪ t
explorer	ɛ k s p l oː r ə r
fe	f eː
geboeid	ɣ ə b u i̯ t
gehangen	ɣ ə ɦ ɑ ŋ ə
geschenken	ɣ ə s x ɛ ŋ k ə
getweet	ɣ ə t ʋ eː t
gevarieerd	ɣ ə v aː r i eː r t
huurwoningen	ɦ yː r ʋ oː n ɪ ŋ ə
industrial	ɪ n d ʏ s t r i ɑ l
jaya	j aː j aː
jj	j eː
julius	j y l i ʏ s
kings	k ɪ ŋ s
klasgenoten	k l ɑ s x ə n oː t ə
kouder	k ɑ u̯ d ə r
landskampioen	l ɑ n t s k ɑ m p i u n
leslie	l ɛ s l i
merkwaardige	m ɛ r k ʋ aː r d ə ɣ ə
mertens	m ɛ r t ə n s
naleving	n aː l eː v ɪ ŋ
negers	n eː ɣ ə r s
olaf	oː l ɑ f
ondervraging	ɔ n d ə r v r aː ɣ ɪ ŋ
ongelofelijke	ɔ ŋ ɣ ə l oː f ə l ə k ə
ontwikkelaars	ɔ n t ʋ ɪ k ə l aː r s
opgedoken	ɔ p x ə d oː k ə
outs	ɑ u̯ t s
overgaat	oː v ə r ɣ aː t
overhandigd	oː v ə r ɦ ɑ n d ə x t
overheerlijke	oː v ə r ɦ eː r l ə k ə
peggy	p ɛ ɣ i
percy	p ɛ r s i
plagen	p l aː ɣ ə
posts	p ɔ s t s
queens	k ʋ eː n s
radboud	r ɑ t b ɑ u̯ t
rechtvaardige	r ɛ x t f aː r d ə ɣ ə
regenachtige	r eː ɣ ə n ɑ x t ə ɣ ə
reguleren	r eː ɣ y l eː r ə
residentie	r eː z i d ɛ n s i
retro	r eː t r oː
ronaldo	r oː n ɑ l d oː
schrikt	s x r ɪ k t
seven	s eː v ə
slakken	s l ɑ k ə
sprinter	s p r ɪ n t ə r
strenger	s t r ɛ ŋ ə r
strijdt	s t r ɛ i̯ t
tesla	t ɛ s l aː
thea	t eː aː
topje	t ɔ p j ə
toscane	t ɔ s k aː n ə
twijfelde	t ʋ ɛ i̯ f ə l d ə
uitgezonderd	œ y̯ t x ə z ɔ n d ə r t
uitwerken	œ y̯ t ʋ ɛ r k ə
user	y z ə r
variaties	v aː r i aː s i s
verbouwingen	v ə r b ɑ u̯ ɪ ŋ ə
vermijd	v ə r m ɛ i̯ t
vernielen	v ə r n i l ə
verouderd	v ə r ɑ u̯ d ə r t
versnellingen	v ə r s n ɛ l ɪ ŋ ə
verstaat	v ə r s t aː t
verwaarloosd	v ə r ʋ aː r l oː s t
voetsporen	v u t s p oː r ə
vreesde	v r eː s d ə
vulkanische	v ʏ l k aː n i s ə
wachtend	ʋ ɑ x t ə n t
wegwezen	ʋ ɛ x ʋ eː z ə
zwemmers	z ʋ ɛ m ə r s
angels	ɑ ŋ ə l s
beschaafde	b ə s x aː f d ə
beveiligers	b ə v ɛ i̯ l ə ɣ ə r s
bijgewoond	b ɛ i̯ ɣ ə ʋ oː n t
blondje	b l ɔ n t j ə
bootje	b oː t j ə
canal	k aː n ɑ l
carrie	k ɑ r i
casper	k ɑ s p ə r
cold	k ɔ l t
concepten	k ɔ n s ɛ p t ə
cotton	k ɔ t ɔ n
curriculum	k ʏ r i k y l ʏ m
dexter	d ɛ k s t ə r
domeinen	d oː m ɛ i̯ n ə
doo	d oː
draagbare	d r aː x b aː r ə
düsseldorf	d ʏ s ə l d ɔ r f
engineer	ɛ ŋ i n eː r
filialen	f i l i aː l ə
friend	f r i n t
ganzen	ɣ ɑ n z ə
garrett	ɣ ɑ r ɛ t
gebruikersnaam	ɣ ə b r œ y̯ k ə r s n aː m
gemeenteraadsverkiezingen	ɣ ə m eː n t ə r aː t s f ə r k i z ɪ ŋ ə
gevarieerde	ɣ ə v aː r i eː r d ə
grondlegger	ɣ r ɔ n t l ɛ ɣ ə r
ground	ɣ r ɑ u̯ n t
hakim	ɦ aː k ɪ m
hammond	ɦ ɑ m ɔ n t
handdoeken	ɦ ɑ n d u k ə
hemelse	ɦ eː m ə l s ə
hokje	ɦ ɔ k j ə
ibrahim	i b r aː ɦ ɪ m
inname	ɪ n aː m ə
ivy	i v i
kara	k aː r aː
kijkcijfers	k ɛ i̯ k s ɛ i̯ f ə r s
klassiekers	k l ɑ s i k ə r s
kruip	k r œ y̯ p
kustwacht	k ʏ s t ʋ ɑ x t
kwaadaardige	k ʋ aː t aː r d ə ɣ ə
lion	l i ɔ n
ls	ɛ l ɛ s
ltd	ɛ l t eː d eː
mantelzorgers	m ɑ n t ə l z ɔ r ɣ ə r s
medeoprichter	m eː d ə oː p r ɪ x t ə r
mir	m i r
morse	m ɔ r s ə
movement	m oː v ə m ɛ n t
ng	ɛ ŋ
niklaas	n ɪ k l aː s
nipt	n ɪ p t
nissan	n ɪ s ɑ n
ondernemende	ɔ n d ə r n eː m ə n d ə
ondersteunde	ɔ n d ə r s t øː n d ə
ontkende	ɔ n t k ɛ n d ə
onvoorwaardelijk	ɔ n v oː r ʋ aː r d ə l ə k
oproept	ɔ p r u p t
overleef	oː v ə r l eː f
overschreden	oː v ə r s x r eː d ə
overtuigde	oː v ə r t œ y̯ x d ə
overweldigend	oː v ə r ʋ ɛ l d ə ɣ ə n t
platformen	p l ɑ t f ɔ r m ə
radiozender	r aː d i oː z ɛ n d ə r
rapportages	r ɑ p ɔ r t aː ʒ ə s
rescue	r ɛ s k y
samenleven	s aː m ə l eː v ə
schaamt	s x aː m t
screening	s k r eː n ɪ ŋ
shannon	ʃ ɑ n ɔ n
sjoerd	ʃ u r t
slam	s l ɑ m
snellere	s n ɛ l ə r ə
solid	s oː l ɪ t
spionnen	s p i ɔ n ə
sprekend	s p r eː k ə n t
stef	s t ɛ f
sterf	s t ɛ r f
stromingen	s t r oː m ɪ ŋ ə
terugkwam	t ə r ʏ x k ʋ ɑ m
tm	t eː ɛ m
trager	t r aː ɣ ə r
troosten	t r oː s t ə
uitdagend	œ y̯ d aː ɣ ə n t
uitgeschreven	œ y̯ t x ə s x r eː v ə
uitlatingen	œ y̯ t l aː t ɪ ŋ ə
uitval	œ y̯ t f ɑ l
vastgezet	v ɑ s t x ə z ɛ t
veranderden	v ə r ɑ n d ə r d ə
verdomd	v ə r d ɔ m t
verhoren	v ə r ɦ oː r ə
verzette	v ə r z ɛ t ə
visual	v i z y ɑ l
voorgenomen	v oː r ɣ ə n oː m ə
voorkeuren	v oː r k øː r ə
vroegtijdig	v r u x t ɛ i̯ d ə x
wanhopige	ʋ ɑ n ɦ oː p ə ɣ ə
wenste	ʋ ɛ n s t ə
zakte	z ɑ k t ə
afgevraagd	ɑ f x ə v r aː x t
alison	aː l i z ɔ n
ariel	aː r i l
armin	ɑ r m ɪ n
baasje	b aː ʃ ə
bandleden	b ɑ n t l eː d ə
bespaart	b ə s p aː r t
bespreek	b ə s p r eː k
besprekingen	b ə s p r eː k ɪ ŋ ə
besteedde	b ə s t eː d ə
bijgestaan	b ɛ i̯ ɣ ə s t aː n
bindt	b ɪ n t
binnenkwam	b ɪ n ə k ʋ ɑ m
bonnie	b ɔ n i
bs	b eː ɛ s
buck	b ʏ k
bulgaren	b ʏ l ɣ aː r ə
coco	k oː k oː
corporaties	k ɔ r p oː r aː s i s
diane	d i aː n ə
draadloze	d r aː t l oː z ə
drums	d r ʏ m s
feature	f eː aː t yː r ə
fijner	f ɛ i̯ n ə r
folder	f ɔ l d ə r
franz	f r ɑ n s
fresh	f r ɛ ʃ
gaming	ɣ aː m ɪ ŋ
geallieerden	ɣ ə ɑ l i eː r d ə
gedanst	ɣ ə d ɑ n s t
gekende	ɣ ə k ɛ n d ə
geleide	ɣ ə l ɛ i̯ d ə
gelijkwaardige	ɣ ə l ɛ i̯ k ʋ aː r d ə ɣ ə
ger	ɣ ɛ r
gewoonten	ɣ ə ʋ oː n t ə
gletsjers	ɣ l ɛ t ʃ ə r s
government	ɣ oː v ə r n m ɛ n t
grondige	ɣ r ɔ n d ə ɣ ə
grondwater	ɣ r ɔ n t ʋ aː t ə r
heerlijkheid	ɦ eː r l ə k ɦ ɛ i̯ t
hondjes	ɦ ɔ n t j ə s
iconische	i k oː n i s ə
innovaties	ɪ n oː v aː s i s
instructeur	ɪ n s t r ʏ k t øː r
jihadisten	j i ɦ aː d ɪ s t ə
kettingen	k ɛ t ɪ ŋ ə
klinische	k l i n i s ə
lichaamsdelen	l ɪ x aː m s d eː l ə
luider	l œ y̯ d ə r
margot	m ɑ r ɣ ɔ t
meegewerkt	m eː ɣ ə ʋ ɛ r k t
mein	m ɛ i̯ n
mirror	m ɪ r ɔ r
mobieltjes	m oː b i l t j ə s
moedigen	m u d ə ɣ ə
naoorlogse	n aː oː r l ɔ x s ə
nash	n ɑ ʃ
nevada	n eː v aː d aː
noteer	n oː t eː r
ondervonden	ɔ n d ə r v ɔ n d ə
openbaarheid	oː p ə b aː r ɦ ɛ i̯ t
opheldering	ɔ p ɦ ɛ l d ə r ɪ ŋ
opschieten	ɔ p s x i t ə
opschrijven	ɔ p s x r ɛ i̯ v ə
overall	oː v ə r ɑ l
overdekte	oː v ə r d ɛ k t ə
overgeleverd	oː v ə r ɣ ə l eː v ə r t
overneemt	oː v ə r n eː m t
patterson	p ɑ t ə r s ɔ n
pay	p eː
peel	p eː l
pikt	p ɪ k t
productief	p r oː d ʏ k t i f
protection	p r oː t ɛ k ʃ ɔ n
psycho	p s i x oː
publieksprijs	p y b l i k s p r ɛ i̯ s
respectvol	r ɛ s p ɛ k t f ɔ l
rokers	r oː k ə r s
rolt	r ɔ l t
ruige	r œ y̯ ɣ ə
rutger	r ʏ t ɣ ə r
samenwerkt	s aː m ə n ʋ ɛ r k t
spelregels	s p ɛ l r eː ɣ ə l s
studeer	s t y d eː r
sue	s y
taferelen	t aː f ə r eː l ə
tax	t ɑ k s
terechtkomt	t ə r ɛ x t k ɔ m t
teruggestuurd	t ə r ʏ ɣ ə s t yː r t
ti	t i
tijgers	t ɛ i̯ ɣ ə r s
toonden	t oː n d ə
troffen	t r ɔ f ə
tweeps	t ʋ eː p s
uitstaan	œ y̯ t s t aː n
uitvaart	œ y̯ t f aː r t
uitweg	œ y̯ t ʋ ɛ x
vd	v eː d eː
veelbelovende	v eː l b ə l oː v ə n d ə
vegetarische	v eː ɣ ə t aː r i s ə
vergaan	v ə r ɣ aː n
verhuis	v ə r ɦ œ y̯ s
verpleging	v ə r p l eː ɣ ɪ ŋ
verwoord	v ə r ʋ oː r t
videoclips	v i d eː oː k l ɪ p s
voorin	v oː r ɪ n
voorspelde	v oː r s p ɛ l d ə
voorwaardelijke	v oː r ʋ aː r d ə l ə k ə
vriendschappen	v r i n t s x ɑ p ə
waartegen	ʋ aː r t eː ɣ ə
warner	ʋ ɑ r n ə r
watt	ʋ ɑ t
weddenschap	ʋ ɛ d ə n s x ɑ p
wiskundige	ʋ ɪ s k ʏ n d ə ɣ ə
yamaha	j aː m aː ɦ aː
yorkse	j ɔ r k s ə
zongen	z ɔ ŋ ə
échte	eː x t ə
absurde	ɑ p s ʏ r d ə
assistenten	ɑ s i s t ɛ n t ə
bestuurt	b ə s t yː r t
betaalden	b ə t aː l d ə
blinden	b l ɪ n d ə
bonden	b ɔ n d ə
bouwden	b ɑ u̯ d ə
brandstoffen	b r ɑ n t s t ɔ f ə
buitengebied	b œ y̯ t ə n ɣ ə b i t
bundels	b ʏ n d ə l s
burkina	b ʏ r k i n aː
capaciteiten	k aː p aː s i t ɛ i̯ t ə
cliff	k l ɪ f
cockpit	k ɔ k p ɪ t
commons	k ɔ m ɔ n s
dani	d aː n i
darts	d ɑ r t s
dekt	d ɛ k t
dingetjes	d ɪ ŋ ə t j ə s
douwe	d ɑ u̯ ə
dubieuze	d y b i øː z ə
dwergen	d ʋ ɛ r ɣ ə
electro	eː l ɛ k t r oː
elementaire	eː l ə m ɛ n t ɛː r ə
factory	f ɑ k t oː r i
faso	f aː z oː
follow	f ɔ l oː
frequenties	f r eː k ʋ ɛ n s i s
gaatjes	ɣ aː t j ə s
gem	ɣ ɛ m
gemanipuleerd	ɣ ə m aː n i p y l eː r t
gerda	ɣ ɛ r d aː
gerry	ɣ ɛ r i
getrapt	ɣ ə t r ɑ p t
geïnteresseerden	ɣ ə ɪ n t ə r ɛ s eː r d ə
gmail	ɣ m eː l
hervormde	ɦ ɛ r v ɔ r m d ə
integrale	ɪ n t ə ɣ r aː l ə
jessie	j ɛ s i
kandidatuur	k ɑ n d i d aː t yː r
kenmerkt	k ɛ m ɛ r k t
kirk	k ɪ r k
klanken	k l ɑ ŋ k ə
liesbeth	l i s b ɛ t
menig	m eː n ə x
milton	m ɪ l t ɔ n
misgaat	m ɪ s x aː t
neerhalen	n eː r ɦ aː l ə
noteren	n oː t ə r ə
observaties	ɔ p s ɛ r v aː s i s
omgedoopt	ɔ m ɣ ə d oː p t
onderhoudt	ɔ n d ə r ɦ ɑ u̯ t
onrustig	ɔ n r ʏ s t ə x
ontsnapping	ɔ n t s n ɑ p ɪ ŋ
ontwaakt	ɔ n t ʋ aː k t
ontwikkelingslanden	ɔ n t ʋ ɪ k ə l ɪ ŋ s l ɑ n d ə
opeenvolgende	oː p eː n v ɔ l ɣ ə n d ə
ou	ɑ u̯
patty	p ɑ t i
pieters	p i t ə r s
reading	r eː aː d ɪ ŋ
regulier	r eː ɣ y l iː r
rogers	r oː ɣ ə r s
russia	r ʏ s i aː
schattingen	s x ɑ t ɪ ŋ ə
scheidt	s x ɛ i̯ t
scherper	s x ɛ r p ə r
schultz	s x ʏ l t s
serena	s eː r ə n aː
staatsbosbeheer	s t aː t s b ɔ s b ə ɦ eː r
stadions	s t aː d i ɔ n s
states	s t aː t ə s
tegengestelde	t eː ɣ ə n ɣ ə s t ɛ l d ə
thor	t ɔ r
tiny	t i n i
toepasselijk	t u p ɑ s ə l ə k
trapt	t r ɑ p t
trendy	t r ɛ n d i
uitgebroken	œ y̯ t x ə b r oː k ə
uitoefening	œ y̯ t u f ə n ɪ ŋ
verdeeldheid	v ə r d eː l t ɦ ɛ i̯ t
verdiensten	v ə r d i n s t ə
verlang	v ə r l ɑ ŋ
vermengd	v ə r m ɛ ŋ t
vermoedde	v ə r m u d ə
verslavend	v ə r s l aː v ə n t
verving	v ə r v ɪ ŋ
verzekert	v ə r z eː k ə r t
verzending	v ə r z ɛ n d ɪ ŋ
verzoekt	v ə r z u k t
vince	v ɪ n s
volbracht	v ɔ l b r ɑ x t
voorgelezen	v oː r ɣ ə l eː z ə
voorkoming	v oː r k oː m ɪ ŋ
waarbinnen	ʋ aː r b ɪ n ə
waarheden	ʋ aː r ɦ eː d ə
wide	ʋ i d ə
wijkt	ʋ ɛ i̯ k t
wilma	ʋ ɪ l m aː
achterlaat	ɑ x t ə r l aː t
arriveerden	ɑ r i v eː r d ə
balletje	b ɑ l ə t j ə
beck	b ɛ k
bekritiseerd	b ə k r i t i z eː r t
berry	b ɛ r i
bim	b ɪ m
bladzijden	b l ɑ t s ɛ i̯ d ə
bro	b r oː
broertjes	b r u r t j ə s
buitenste	b œ y̯ t ə n s t ə
buitenzijde	b œ y̯ t ə n z ɛ i̯ d ə
carel	k aː r ə l
catalaanse	k aː t aː l aː n s ə
centen	s ɛ n t ə
clay	k l eː
coffee	k ɔ f eː
cycling	s i k l ɪ ŋ
daddy	d ɑ d i
denkbeelden	d ɛ ŋ k b eː l d ə
dikte	d ɪ k t ə
dl	d eː ɛ l
dome	d oː m ə
domino	d oː m i n oː
eervolle	eː r v ɔ l ə
fanatieke	f aː n aː s i k ə
fikse	f ɪ k s ə
friday	f r i d eː
fritz	f r ɪ t s
gardens	ɣ ɑ r d ə n s
gebrekkige	ɣ ə b r ɛ k ə ɣ ə
geheimzinnige	ɣ ə ɦ ɛ i̯ m z ɪ n ə ɣ ə
gekeerd	ɣ ə k eː r t
gekraakt	ɣ ə k r aː k t
gekte	ɣ ɛ k t ə
gemaild	ɣ ə m eː l t
gesitueerd	ɣ ə z i t y eː r t
gewijzigde	ɣ ə ʋ ɛ i̯ z ə x d ə
gezant	ɣ ə z ɑ n t
geïnteresseerde	ɣ ə ɪ n t ə r ɛ s eː r d ə
halfuur	ɦ ɑ l f yː r
highway	ɦ ɪ x ʋ eː
huurde	ɦ yː r d ə
kathy	k aː t i
keurmerk	k øː r m ɛ r k
kuala	k y aː l aː
labels	l aː b ə l s
luchtvaartmaatschappijen	l ʏ x t f aː r t m aː t s x ɑ p ɛ i̯ ə
luchtwegen	l ʏ x t ʋ eː ɣ ə
malaria	m aː l aː r i aː
mandela	m ɑ n d ə l aː
masterclass	m ɑ s t ə r k l ɑ s
med	m ɛ t
misleid	m ɪ s l ɛ i̯ t
mississippi	m ɪ s i s ɪ p i
mp	ɛ m p eː
nairobi	n ɛː r oː b i
nodigde	n oː d ə x d ə
obsessie	ɔ p s ɛ s i
omstanders	ɔ m s t ɑ n d ə r s
onbedoeld	ɔ n b ə d u l t
ondeugend	ɔ n d øː ɣ ə n t
opereert	oː p ə r eː r t
organiseerden	ɔ r ɣ aː n i z eː r d ə
outfits	ɑ u̯ t f ɪ t s
parc	p ɑ r k
paso	p aː z oː
pgb	p eː ɣ eː b eː
ping	p ɪ ŋ
pont	p ɔ n t
productieproces	p r oː d ʏ k s i p r oː s ɛ s
quinn	k ʋ ɪ n
reorganisatie	r eː ɔ r ɣ aː n i z aː s i
reynolds	r ɛ i̯ n ɔ l t s
rising	r i z ɪ ŋ
seculiere	s eː k y l iː r ə
shirley	ʃ ɪ r l i
slaagden	s l aː x d ə
snelst	s n ɛ l s t
snoepjes	s n u p j ə s
sporadisch	s p oː r aː d i s
sportclub	s p ɔ r t k l ʏ p
stark	s t ɑ r k
stephan	s t ɛ p ɦ ɑ n
stilaan	s t i l aː n
symboliseert	s ɪ m b oː l i z eː r t
taarten	t aː r t ə
tegenstellingen	t eː ɣ ə n s t ɛ l ɪ ŋ ə
tennessee	t ɛ n ə s eː
toekomstig	t u k ɔ m s t ə x
tracy	t r aː s i
trading	t r aː d ɪ ŋ
transformeren	t r ɑ n s f ɔ r m eː r ə
tube	t y b ə
twitteraccount	t ʋ ɪ t ə r ɑ k ɑ u̯ n t
vanop	v aː n ɔ p
vasthoudt	v ɑ s t ɦ ɑ u̯ t
verbruikt	v ə r b r œ y̯ k t
verdiept	v ə r d i p t
verdomde	v ə r d ɔ m d ə
vergelijkingen	v ə r ɣ ə l ə k ɪ ŋ ə
verlangens	v ə r l ɑ ŋ ə n s
vermindert	v ə r m ɪ n d ə r t
versierde	v ə r z iː r d ə
vinci	v ɪ n s i
volstaat	v ɔ l s t aː t
voorbehoud	v oː r b ə ɦ ɑ u̯ t
voorgangers	v oː r ɣ ɑ ŋ ə r s
vreedzaam	v r eː t s aː m
waarnemer	ʋ aː r n eː m ə r
wachttijden	ʋ ɑ x t ɛ i̯ d ə
zintuigen	z ɪ n t œ y̯ ɣ ə
zwakker	z ʋ ɑ k ə r
abstracte	ɑ p s t r ɑ k t ə
adviseer	ɑ t f i z eː r
afspraakjes	ɑ f s p r aː k j ə s
ago	aː ɣ oː
alba	ɑ l b aː
arbeidsrecht	ɑ r b ɛ i̯ t s r ɛ x t
bedrijfsnaam	b ə d r ɛ i̯ f s n aː m
begraafplaatsen	b ə ɣ r aː f p l aː t s ə
begroet	b ə ɣ r u t
berichtjes	b ə r ɪ x t j ə s
besmette	b ə s m ɛ t ə
bestseller	b ɛ s t s ɛ l ə r
bestuurde	b ə s t yː r d ə
bewapend	b ə ʋ aː p ə n t
bezetters	b ə z ɛ t ə r s
biljetten	b ɪ l j ɛ t ə
bisschoppen	b ɪ s x ɔ p ə
boekte	b u k t ə
burgos	b ʏ r ɣ ɔ s
chantage	ʃ ɑ n t aː ʒ ə
collection	k ɔ l ɛ k ʃ ɔ n
competitiewedstrijd	k ɔ m p ə t i s i ʋ ɛ t s t r ɛ i̯ t
deelneemt	d eː l n eː m t
denkers	d ɛ ŋ k ə r s
dictators	d ɪ k t aː t ɔ r s
doorgemaakt	d oː r ɣ ə m aː k t
elegante	eː l ə ɣ ɑ n t ə
eo	eː oː
fact	f ɑ k t
federation	f eː d ə r aː ʃ ɔ n
feliciteert	f eː l i s i t eː r t
frankie	f r ɑ ŋ k i
friet	f r i t
frustraties	f r ʏ s t r aː s i s
geboorteland	ɣ ə b oː r t ə l ɑ n t
gedomineerd	ɣ ə d oː m i n eː r t
geplakt	ɣ ə p l ɑ k t
geproefd	ɣ ə p r u f t
geruime	ɣ ə r œ y̯ m ə
gina	ɣ i n aː
gl	ɣ eː ɛ l
glen	ɣ l ɛ n
grensoverschrijdende	ɣ r ɛ n s oː v ə r s x r ɛ i̯ d ə n d ə
hamburgers	ɦ ɑ m b ʏ r ɣ ə r s
handjes	ɦ ɑ n t j ə s
harlem	ɦ ɑ r l ə m
hilde	ɦ ɪ l d ə
historici	ɦ ɪ s t oː r i s i
hold	ɦ ɔ l t
hoopvol	ɦ oː p f ɔ l
horloges	ɦ ɔ r l oː ɣ ə s
huilend	ɦ œ y̯ l ə n t
indie	ɪ n d i
inspireerde	ɪ n s p i r eː r d ə
inzittenden	ɪ n z ɪ t ə n d ə
jin	j ɪ n
kardinalen	k ɑ r d i n aː l ə
killing	k ɪ l ɪ ŋ
kiss	k ɪ s
klaagde	k l aː x d ə
kwetst	k ʋ ɛ t s t
leicester	l ɛ i̯ s ɛ s t ə r
leverden	l eː v ə r d ə
loont	l oː n t
magnus	m ɑ x n ʏ s
mandje	m ɑ n t j ə
martini	m ɑ r t i n i
mascotte	m ɑ s k ɔ t ə
maxi	m ɑ k s i
mclaren	m ə k l aː r ə
nacional	n aː ʃ oː n ɑ l
naderhand	n aː d ə r ɦ ɑ n t
natuurgebieden	n aː t yː r ɣ ə b i d ə
nostalgische	n ɔ s t ɑ l ɣ i s ə
onderschept	ɔ n d ə r s x ɛ p t
openden	oː p ə n d ə
otis	oː t ɪ s
overwonnen	oː v ə r ʋ ɔ n ə
pact	p ɑ k t
parlementsleden	p ɑ r l ə m ɛ n t s l eː d ə
phantom	f ɑ n t ɔ m
productions	p r oː d ʏ k ʃ ɔ n s
reageerden	r eː aː ɣ eː r d ə
registreert	r eː ɣ ɪ s t r eː r t
reid	r ɛ i̯ t
reisden	r ɛ i̯ s d ə
reportages	r eː p ɔ r t aː ʒ ə s
roelof	r u l ɔ f
roth	r ɔ t
round	r ɑ u̯ n t
ruimteschip	r œ y̯ m t ə s x ɪ p
santo	s ɑ n t oː
schildpadden	s x ɪ l t p ɑ d ə
specialiteiten	s p eː ʃ aː l i t ɛ i̯ t ə
sterling	s t ɛ r l ɪ ŋ
stoffelijke	s t ɔ f ə l ə k ə
sunny	s ʏ n i
suzuki	s y z y k i
tekenden	t eː k ə n d ə
television	t eː l ə v i z j ɔ n
telling	t ɛ l ɪ ŋ
teresa	t eː r eː z aː
tobago	t oː b aː ɣ oː
treffers	t r ɛ f ə r s
tussenstand	t ʏ s ə n s t ɑ n t
uitgehaald	œ y̯ t x ə ɦ aː l t
uitgelezen	œ y̯ t x ə l eː z ə
uitgeroeid	œ y̯ t x ə r u i̯ t
uitroeien	œ y̯ t r u i̯ ə
verbijsterd	v ə r b ɛ i̯ s t ə r t
verdeelde	v ə r d eː l d ə
versteld	v ə r s t ɛ l t
verteller	v ə r t ɛ l ə r
verveel	v ə r v eː l
verwijderde	v ə r ʋ ɛ i̯ d ə r d ə
vie	v i
voorover	v oː r oː v ə r
voorschot	v oː r s x ɔ t
waarschijnlijke	ʋ aː r s x ɛ i̯ n l ə k ə
weesp	ʋ eː s p
westers	ʋ ɛ s t ə r s
woo	ʋ oː
wouters	ʋ ɑ u̯ t ə r s
xu	k s y
yale	j aː l ə
achterliet	ɑ x t ə r l i t
archeologen	ɑ r x eː oː l oː ɣ ə
arriva	ɑ r i v aː
arrogante	ɑ r oː ɣ ɑ n t ə
bermuda	b ɛ r m y d aː
besten	b ɛ s t ə
beweringen	b ə ʋ eː r ɪ ŋ ə
blikje	b l ɪ k j ə
bloedingen	b l u d ɪ ŋ ə
bouwjaar	b ɑ u̯ j aː r
bowl	b oː l
circle	s ɪ r k ə l
citroën	s i t r oː ə
cox	k ɔ k s
customer	k ʏ s t oː m ə r
darwin	d ɑ r ʋ ɪ n
dell	d ɛ l
deskundigheid	d ɛ s k ʏ n d ə x ɦ ɛ i̯ t
deugt	d øː x t
dirty	d ɪ r t i
elle	ɛ l ə
ellendige	ɛ l ɛ n d ə ɣ ə
fed	f ɛ t
fiscus	f ɪ s k ʏ s
fungeert	f ʏ ŋ eː r t
gaandeweg	ɣ aː n d ə ʋ ɛ x
gekookte	ɣ ə k oː k t ə
gekropen	ɣ ə k r oː p ə
generation	ɣ eː n ə r aː ʃ ɔ n
gezworen	ɣ ə z ʋ oː r ə
goddelijk	ɣ ɔ d ə l ə k
goldman	ɣ ɔ l t m ɑ n
gone	ɣ oː n ə
grietje	ɣ r i t j ə
hagen	ɦ aː ɣ ə
his	ɦ ɪ s
hoezeer	ɦ u z eː r
holiday	ɦ oː l i d eː
hospital	ɦ ɔ s p i t ɑ l
ideologische	i d eː oː l oː ɣ i s ə
inzage	ɪ n z aː ʒ ə
italie	i t aː l i
joep	j u p
kiki	k i k i
kleurtje	k l øː r t j ə
kolonisatie	k oː l oː n i z aː s i
kp	k aː p eː
kritieke	k r i t i k ə
lance	l ɑ n s
luidsprekers	l œ y̯ t s p r eː k ə r s
machthebbers	m ɑ x t ɦ ɛ b ə r s
making	m aː k ɪ ŋ
marilyn	m aː r i l ɪ n
medewerkster	m eː d ə ʋ ɛ r k s t ə r
mercy	m ɛ r s i
neergestort	n eː r ɣ ə s t ɔ r t
nieuwsberichten	n i u̯ s b ə r ɪ x t ə
noodgevallen	n oː t x ə v ɑ l ə
noodlot	n oː t l ɔ t
nord	n ɔ r t
ny	n i
ondergedoken	ɔ n d ə r ɣ ə d oː k ə
onderwezen	ɔ n d ə r ʋ eː z ə
onschuldigen	ɔ n s x ʏ l d ə ɣ ə
opengesteld	oː p ə n ɣ ə s t ɛ l t
overbodige	oː v ə r b oː d ə ɣ ə
peilingen	p ɛ i̯ l ɪ ŋ ə
