að	aː ð
bankastjóri	p a u ŋ̊ k a s t j o uː r ɪ
breiðum	p r e iː ð ʏ m
brekku	p r ɛ h k ʏ
but	p ʏː t
bága	p a uː a
bönkum	p ø y ŋ̊ k ʏ m
búsettir	p uː s ɛ h t ɪ r
desmond	t ɛː s m ɔ n t
drekkur	t r ɛ h k ʏ r
einstakar	e i n s t aː k a r
elena	ɛː l ɛː n a
elskaði	ɛ l s k aː ð ɪ
engri	e i ŋ k r ɪ
ferðina	f ɛ r ð ɪ n a
festir	f ɛ s t ɪ r
finnar	f ɪ nː a r
fjórðungi	f j o u r ð u ɲ c ɪ
flatt	f l a h t
flottu	f l ɔ h t ʏ
foreldrarnir	f ɔː r ɛ l t r a r t n ɪ r
frambjóðenda	f r a m p j o uː ð ɛ n t a
framleiddur	f r a m l e i tː ʏ r
frásögnum	f r a uː s œ k n ʏ m
fréttablaðsins	f r j ɛ h t a p l a ð s ɪ n s
fréttina	f r j ɛ h t ɪ n a
fróða	f r o uː ð a
fullkomnu	f ʏ t l̥ kʰ ɔ m n ʏ
fylkir	f ɪ l̥ c ɪ r
fáeinar	f a uː e iː n a r
fínar	f iː n a r
fötlun	f œ h t l ʏ n
garðabær	k a r ð a p a iː r
general	c ɛː n ɛː r aː l
gibbs	c ɪ p s
glugganum	k l ʏ kː a n ʏ m
gullfoss	k ʏ t l f ɔ sː
gólfinu	k o u l v ɪː n ʏ
hafstein	h a v s t e iː n
handleiðslu	h a n t l e i ð s t l ʏ
haraldsdóttir	h aː r a l t s t o u h t ɪ r
harðari	h a r ð a r ɪ
has	h aː s
heillar	h e i t l a r
heilögu	h e iː l œː ɣ ʏ
hellu	h ɛ t l ʏ
helmingurinn	h ɛ l m i ŋ k ʏ r ɪ nː
heppnast	h ɛ h p n a s t
hjörvar	ç œ r v a r
hreinni	r̥ e i t n ɪ
hugsaði	h ʏ x s aː ð ɪ
hári	h a uː r ɪ
hásæti	h a uː s a iː t ɪ
héraðsdómi	ç ɛː r a ð s t o uː m ɪ
höttur	h œ h t ʏ r
keisara	cʰ e iː s aː r a
kenndar	cʰ ɛ n t a r
klassískum	kʰ l a sː i s k ʏ m
kveikti	kʰ v e i x t ɪ
kynnum	cʰ ɪ nː ʏ m
lagalega	l aː ɣ a l ɛː ɣ a
landspítalans	l a n t s p iː tʰ a l a n s
lauslega	l ø yː s l ɛː ɣ a
leikjunum	l e iː c ʏ n ʏ m
lækkun	l a i h k ʏ n
lærðu	l a i r ð ʏ
léttum	l j ɛ h t ʏ m
lögfræðinga	l œ ɣ f r a iː ð i ŋ k a
löglegt	l œ ɣ l ɛ x t
maggie	m a cː ɪ
mba	m p aː
miranda	m ɪː r a n t a
miðuð	m ɪː ð ʏ ð
moses	m ɔː s ɛː s
moss	m ɔ sː
mættum	m a i h t ʏ m
möguleikann	m œː ɣ ʏ l e iː kʰ a nː
niðurstöðurnar	n ɪː ð ʏ r s t œː ð ʏ r t n a r
námsefni	n a u m s ɛ p n ɪ
náðum	n a uː ð ʏ m
nægt	n a i x t
nígeríu	n iː c ɛː r i j ʏ
ofninum	ɔ p n ɪ n ʏ m
people	pʰ ɛː ɔ h p l ɛ
rannsóknarstofu	r a nː s o u h k n a r s t ɔː v ʏ
raunverulegu	r ø y n v ɛː r ʏ l ɛː ɣ ʏ
rex	r ɛ k s
rusli	r ʏ s t l ɪ
ráðs	r a u ð s
ráðstefnan	r a u ð s t ɛ p n a n
ríkisvaldið	r iː c ɪ s v a l t ɪ ð
röðun	r œː ð ʏ n
sagnir	s a k n ɪ r
samningaviðræður	s a m n i ŋ k a v ɪ ð r a iː ð ʏ r
skjala	s c aː l a
skrefum	s k r ɛː v ʏ m
skyld	s c ɪ l t
spanna	s p a nː a
stefnunnar	s t ɛ p n ʏ nː a r
sterkan	s t ɛ r̥ k a n
stjórnmálamönnum	s t j o u r t n m a uː l a m œ nː ʏ m
straumsvík	s t r ø y m s v iː k
stéttarfélag	s t j ɛ h t a r f j ɛː l aː ɣ
sveiflur	s v e i p l ʏ r
sólarhringinn	s o uː l a r r̥ i ɲ c ɪ n
sýninga	s iː n i ŋ k a
takmörkun	tʰ aː k m œ r̥ k ʏ n
taks	tʰ a k s
text	tʰ ɛ k s t
torgi	tʰ ɔ r c ɪ
töfrandi	tʰ œ v r a n t ɪ
veika	v e iː k a
veikir	v e iː c ɪ r
veiran	v e iː r a n
verðlaunum	v ɛ r ð l ø yː n ʏ m
vesturlanda	v ɛ s t ʏ r l a n t a
villur	v ɪ t l ʏ r
vind	v ɪ n t
virðing	v ɪ r ð i ŋ k
viðurkenndur	v ɪː ð ʏ r cʰ ɛ n t ʏ r
vopnin	v ɔ h p n ɪ n
áhyggjuefni	a uː h ɪ cː ʏ ɛ p n ɪ
ævinlega	a iː v ɪ n l ɛː ɣ a
æðsti	a i ð s t ɪ
óvenjuleg	o uː v ɛ n j ʏ l ɛː ɣ
úrvinnslu	u r v ɪ n s t l ʏ
úthlutun	uː t l̥ ʏː t ʏ n
þung	θ u ŋ k
þétta	θ j ɛ h t a
þórhildur	θ o uː r h ɪ l t ʏ r
afkomu	a v kʰ ɔː m ʏ
alexis	aː l ɛ k s ɪ s
almennrar	a l m ɛ nː r a r
alvarlegar	a l v a r l ɛː ɣ a r
arf	a r v
arnardóttir	a r t n a r t o u h t ɪ r
atvinnulífi	aː t v ɪ nː ʏ l iː v ɪ
aðskilin	a ð s c ɪː l ɪ n
aðstæðna	a ð s t a i ð n a
baldurs	p a l t ʏ r̥ s
burke	p ʏ r̥ c ɛ
búseta	p uː s ɛː t a
dagarnir	t aː ɣ a r t n ɪ r
deep	t ɛː p
det	t ɛː t
donna	t ɔ nː a
dublin	t ʏ p l ɪː n
dælt	t a i l̥ t
eiginmanns	e iː j ɪ n m a nː s
fatnað	f a h t n a ð
fengnir	f e i ŋ k n ɪ r
festast	f ɛ s t a s t
fjárlög	f j a uː r l œː ɣ
flóa	f l o uː a
friðhelgi	f r ɪː ð h ɛ l c ɪ
frægir	f r a iː j ɪ r
fræjum	f r a iː j ʏ m
fullyrðingu	f ʏ t l ɪ r ð i ŋ k ʏ
færslu	f a i r̥ s t l ʏ
gengin	c e i ɲ c ɪ n
glitni	k l ɪ h t n ɪ
glæpir	k l a iː p ɪ r
grjót	k r j o uː t
gul	k ʏː l
guðanna	k v ʏː ð a nː a
hamborgara	h a m p ɔ r k aː r a
hannaðar	h a nː a ð a r
happy	h a h p ɪ
har	h aː r
hegðunar	h ɛ ɣ ð ʏ n a r
heilir	h e iː l ɪ r
heiðmörk	h e i ð m œ r̥ k
hjalta	ç a l̥ t a
hjónanna	ç o uː n a nː a
hlakkar	l̥ a h k a r
hlutabréfa	l̥ ʏː t a p r j ɛː v a
hlutabréfum	l̥ ʏː t a p r j ɛː v ʏ m
hlutafélag	l̥ ʏː t a f j ɛː l aː ɣ
hníf	n̥ iː v
hringurinn	r̥ i ŋ k ʏ r ɪ nː
hugsanleg	h ʏ x s a n l ɛː ɣ
háskólar	h a uː s k o uː l a r
indónesíu	ɪ n t o uː n ɛː s iː j ʏ
inngang	ɪ n k a u ŋ k
innleiða	ɪ nː l e iː ð a
jakobs	j aː kʰ ɔ p s
just	j ʏ s t
kannaði	kʰ a nː a ð ɪ
kant	kʰ a n̥ t
kastalann	kʰ a s t a l a nː
kettir	cʰ ɛ h t ɪ r
keyrði	cʰ e i r ð ɪ
klifra	kʰ l ɪ v r a
kröftum	kʰ r œ f t ʏ m
kynferðislegu	cʰ ɪ n f ɛ r ð ɪ s l ɛː ɣ ʏ
körfu	kʰ œ r v ʏ
kúbu	kʰ uː p ʏ
landað	l a n t a ð
landsliði	l a n t s t l ɪː ð ɪ
leikfélagi	l e iː k f j ɛː l aː j ɪ
leó	l ɛː o uː
ll	t l
lokast	l ɔː k a s t
losar	l ɔː s a r
lísu	l iː s ʏ
lögmálum	l œ ɣ m a uː l ʏ m
markaðir	m a r̥ k a ð ɪ r
marx	m a r̥ k s
meistaradeildinni	m e i s t a r a t e i l t ɪ nː ɪ
metal	m ɛː tʰ aː l
mynni	m ɪ nː ɪ
mældur	m a i l t ʏ r
mögulegum	m œː ɣ ʏ l ɛː ɣ ʏ m
nefið	n ɛː v ɪ ð
nefni	n ɛ p n ɪ
nina	n ɪː n a
nútímanum	n uː tʰ iː m aː n ʏ m
orðræðu	ɔ r ð r a iː ð ʏ
over	ɔː v ɛ r
peningarnir	pʰ ɛː n i ŋ k a r t n ɪ r
pisa	pʰ ɪː s a
prenti	pʰ r ɛ n̥ t ɪ
prufa	pʰ r ʏː v a
reykvíkinga	r e iː k v iː c i ŋ k a
riddarinn	r ɪ tː a r ɪ nː
ráðgefandi	r a u ð c ɛː v a n t ɪ
ráðherrum	r a uː ð h ɛ rː ʏ m
samtíma	s a m tʰ iː m a
secret	s ɛː k r ɛː t
sigurvegarar	s ɪː ɣ ʏ r v ɛː ɣ a r a r
simone	s ɪː m ɔː n ɛ
skandinavíu	s k a n t ɪ n a v iː j ʏ
skilum	s c ɪː l ʏ m
skriðu	s k r ɪː ð ʏ
skráða	s k r a uː ð a
sleit	s t l e iː t
sluppu	s t l ʏ h p ʏ
sniði	s t n ɪː ð ɪ
snorrason	s t n ɔ rː a s ɔː n
spilla	s p ɪ t l a
stangast	s t a u ŋ k a s t
staðist	s t aː ð ɪ s t
stjórnanda	s t j o u r t n a n t a
styrkleika	s t ɪ r̥ k l e iː k a
styttra	s t ɪ h t r a
systurnar	s ɪ s t ʏ r t n a r
sólu	s o uː l ʏ
sömdu	s œ m t ʏ
sönnunargögn	s œ nː ʏ n a r k œ k n
teiknað	tʰ e i h k n a ð
tilfinningunni	tʰ ɪ l f ɪ nː i ŋ k ʏ nː ɪ
tilvonandi	tʰ ɪ l v ɔː n a n t ɪ
toronto	tʰ ɔː r ɔ n̥ t ɔ
tékka	tʰ j ɛ h k a
umdeild	ʏ m t e i l t
uppnámi	ʏ h p n a uː m ɪ
uppreisnarmenn	ʏ h p r e i s t n a r m ɛ nː
vallarins	v a t l a r ɪ n s
verksmiðjunnar	v ɛ r̥ k s m ɪ ð j ʏ nː a r
versnandi	v ɛ r̥ s t n a n t ɪ
verðlaunanna	v ɛ r ð l ø yː n a nː a
vetrum	v ɛː t r ʏ m
vænst	v a i n s t
vélarinnar	v j ɛː l a r ɪ nː a r
war	v aː r
wendy	v ɛ n t ɪ
word	v ɔ r t
ystu	ɪ s t ʏ
ágrip	a uː k r ɪː p
áttatíu	a u h t a tʰ iː j ʏ
ættingjar	a i h t i ɲ c a r
óskir	o u s c ɪ r
öðlaðist	œ ð l a ð ɪ s t
útivistarsvæði	uː t ɪ v ɪ s t a r s v a iː ð ɪ
þakkir	θ a h c ɪ r
þat	θ aː t
þekktastur	θ ɛ h k tʰ a s t ʏ r
þjóðvegi	θ j o u ð v e iː j ɪ
þorra	θ ɔ rː a
þýsk	θ i s k
abby	a pː ɪ
afmælið	a v m a iː l ɪ ð
alvin	a l v ɪː n
aumingja	ø yː m i ɲ c a
berjum	p ɛ r j ʏ m
blautt	p l ø y h t
brúa	p r uː a
bílarnir	p iː l a r t n ɪ r
bílastæði	p iː l a s t a iː ð ɪ
chili	cʰ ɪː l ɪ
dagblöðum	t a ɣ p l œː ð ʏ m
dómkirkjunni	t o u m cʰ ɪ r̥ c ʏ nː ɪ
eistlandi	e i s t l a n t ɪ
elti	ɛ l̥ t ɪ
endanleg	ɛ n t a n l ɛː ɣ
evrópsk	ɛ v r o u p s k
fjölbrautaskóla	f j œ l p r ø yː t a s k o uː l a
flestu	f l ɛ s t ʏ
flæðir	f l a iː ð ɪ r
frammistaða	f r a mː ɪ s t aː ð a
friðlýst	f r ɪ ð l i s t
fróðleikur	f r o u ð l e iː k ʏ r
frönsk	f r œ n s k
fullar	f ʏ t l a r
fullvalda	f ʏ t l v a l t a
fáanleg	f a uː a n l ɛː ɣ
gilt	c ɪ l̥ t
gjöra	c œː r a
gluggum	k l ʏ kː ʏ m
greinst	k r e i n s t
gróflega	k r o uː v l ɛː ɣ a
gíslingu	c i s t l i ŋ k ʏ
hafs	h a f s
hagvöxt	h a ɣ v œ k s t
hal	h aː l
haraldi	h aː r a l t ɪ
hauks	h ø y k s
heimilið	h e iː m ɪ l ɪː ð
helgadóttur	h ɛ l k a t o u h t ʏ r
hi	h ɪː
hrygg	r̥ ɪ kː
hvata	kʰ v aː t a
hápunktur	h a uː pʰ u ŋ̊ k t ʏ r
högni	h œ k n ɪ
inu	ɪː n ʏ
jazz	j a t s
kannabis	kʰ a nː a p ɪː s
keisarans	cʰ e iː s a r a n s
ki	cʰ ɪː
klippingu	kʰ l ɪ h p i ŋ k ʏ
kljást	kʰ l j a u s t
klæddur	kʰ l a i tː ʏ r
korter	kʰ ɔ r̥ t ɛ r
krónum	kʰ r o uː n ʏ m
kveiktu	kʰ v e i x t ʏ
kvöldinu	kʰ v œ l t ɪ n ʏ
kvölds	kʰ v œ l t s
kynlífi	cʰ ɪ n l iː v ɪ
kynntu	cʰ ɪ n̥ t ʏ
kynslóðar	cʰ ɪ n s t l o uː ð a r
lesenda	l ɛː s ɛ n t a
ljóss	l j o u sː
loðnu	l ɔ ð n ʏ
luigi	l ʏ iː j ɪ
lyklar	l ɪ h k l a r
lánum	l a uː n ʏ m
lægi	l a iː j ɪ
lífrænt	l iː v r a i n̥ t
lífsgæði	l i v s c a iː ð ɪ
líkari	l iː k a r ɪ
löggiltur	l œ cː ɪ l̥ t ʏ r
lögmanns	l œ ɣ m a nː s
mamman	m a mː a n
manning	m a nː i ŋ k
meiðsla	m e i ð s t l a
metallica	m ɛː tʰ a t l ɪː k a
meðlima	m ɛ ð l ɪː m a
nanna	n a nː a
norðurlöndin	n ɔ r ð ʏ r l œ n t ɪ n
náunga	n a uː u ŋ k a
percy	pʰ ɛ r̥ s ɪ
persónurnar	pʰ ɛ r̥ s o uː n ʏ r t n a r
prósentum	pʰ r o uː s ɛ n̥ t ʏ m
pönnukökur	pʰ œ nː ʏ kʰ œː k ʏ r
reki	r ɛː c ɪ
restin	r ɛ s t ɪ n
reykingar	r e iː c i ŋ k a r
rolling	r ɔ t l i ŋ k
ráðstefnunnar	r a u ð s t ɛ p n ʏ nː a r
ræktunar	r a i x t ʏ n a r
rósu	r o uː s ʏ
rúman	r uː m a n
samanstóð	s aː m a n s t o uː ð
sameining	s aː m e iː n i ŋ k
sendiráðið	s ɛ n t ɪ r a uː ð ɪ ð
sjálfrar	s j a u l v r a r
sjónarhóli	s j o uː n a r h o uː l ɪ
sjónvarpsins	s j o u n v a r̥ p s ɪ n s
skipulagðar	s c ɪː p ʏ l a ɣ ð a r
skipulögðu	s c ɪː p ʏ l œ ɣ ð ʏ
skjótt	s c o u h t
skynjar	s c ɪ n j a r
spratt	s p r a h t
stefnumál	s t ɛ p n ʏ m a uː l
steikt	s t e i x t
sterklega	s t ɛ r̥ k l ɛː ɣ a
stoppar	s t ɔ h p a r
streymir	s t r e iː m ɪ r
sturlu	s t ʏ r t l ʏ
stuðningsmanna	s t ʏ ð n i ŋ k s m a nː a
sunna	s ʏ nː a
sveppi	s v ɛ h p ɪ
sættu	s a i h t ʏ
símans	s iː m a n s
söngkonan	s ø y ŋ k kʰ ɔː n a n
tilfinningalega	tʰ ɪ l f ɪ nː i ŋ k a l ɛː ɣ a
tilfinninguna	tʰ ɪ l f ɪ nː i ŋ k ʏː n a
tjöldin	tʰ j œ l t ɪ n
tott	tʰ ɔ h t
veri	v ɛː r ɪ
verðgildi	v ɛ r ð c ɪ l t ɪ
viðmót	v ɪ ð m o uː t
viðskiptin	v ɪ ð s c ɪ f t ɪ n
víkinga	v iː c i ŋ k a
víni	v iː n ɪ
vísindalegum	v iː s ɪ n t a l ɛː ɣ ʏ m
yfirburði	ɪː v ɪ r p ʏ r ð ɪ
ábyrgist	a uː p ɪ r c ɪ s t
átak	a uː tʰ aː k
áætlunarinnar	a uː a i h t l ʏ n a r ɪ nː a r
æfingum	a iː v i ŋ k ʏ m
ævintýrið	a iː v ɪ n tʰ iː r ɪ ð
ítarlegri	iː tʰ a r l ɛ ɣ r ɪ
óvissa	o uː v ɪ sː a
ökumenn	œː k ʏ m ɛ nː
örvandi	œ r v a n t ɪ
þuríði	θ ʏː r iː ð ɪ
þórði	θ o u r ð ɪ
alva	a l v a
austurhluta	ø y s t ʏ r l̥ ʏː t a
aðhyllast	aː ð h ɪ t l a s t
aþenu	aː θ ɛː n ʏ
beinin	p e iː n ɪ n
bleika	p l e iː k a
bleiku	p l e iː k ʏ
borgaranna	p ɔ r k a r a nː a
boyd	p ɔ iː t
búninga	p uː n i ŋ k a
búðardal	p uː ð a r t aː l
dauð	t ø yː ð
demókrata	t ɛː m o uː kʰ r aː t a
dragast	t r aː ɣ a s t
einangrað	e iː n a u ŋ k r aː ð
eiríkssonar	e iː r i k s s ɔː n a r
eitri	e iː t r ɪ
erfiðari	ɛ r v ɪː ð a r ɪ
eyðilagt	e iː ð ɪ l a x t
farþegum	f a r θ ɛː ɣ ʏ m
ferðalögum	f ɛ r ð a l œː ɣ ʏ m
flatarmáli	f l aː t a r m a uː l ɪ
frelsun	f r ɛ l s ʏ n
frey	f r e iː
fróði	f r o uː ð ɪ
fulls	f ʏ t l s
fylgjendur	f ɪ l c ɛ n t ʏ r
fyndist	f ɪ n t ɪ s t
félagsfræði	f j ɛː l a x s f r a iː ð ɪ
gavin	k aː v ɪ n
gerry	c ɛ rː ɪ
geymsla	c e i m s t l a
gold	k ɔ l t
gáfum	k a uː v ʏ m
gólfi	k o u l v ɪ
hagstofu	h a x s t ɔː v ʏ
hallgríms	h a t l k r i m s
hannesar	h a nː ɛː s a r
harald	h aː r a l t
hatt	h a h t
heimahúsum	h e iː m a h uː s ʏ m
hellti	h ɛ l̥ t ɪ
heyrst	h e i r̥ s t
hitanum	h ɪː t a n ʏ m
hlutann	l̥ ʏː tʰ a nː
hollt	h ɔ l̥ t
horf	h ɔ r v
hræðilegt	r̥ a iː ð ɪ l ɛ x t
hvorugur	kʰ v ɔː r ʏː ɣ ʏ r
hyggju	h ɪ cː ʏ
hæfileikar	h a iː v ɪ l e iː k a r
höfin	h œː v ɪ n
ill	ɪ t l
japana	j aː pʰ aː n a
josé	j ɔː s j ɛː
joyce	j ɔ iː s ɛ
judy	j ʏː t ɪ
kata	kʰ aː t a
kaþólska	kʰ aː θ o u l s k a
keppenda	cʰ ɛ h p ɛ n t a
klassísk	kʰ l a sː i s k
klær	kʰ l a iː r
krabbameins	kʰ r a pː a m e i n s
kvænast	kʰ v a iː n a s t
leigubíl	l e iː ɣ ʏ p iː l
leyfilegt	l e iː v ɪ l ɛ x t
ljósmyndum	l j o uː s m ɪ n t ʏ m
luku	l ʏː k ʏ
luna	l ʏː n a
líkið	l iː c ɪ ð
lóðrétt	l o u ð r j ɛ h t
mannlegt	m a nː l ɛ x t
margfalt	m a r k f a l̥ t
mb	ɛ m p
meistaragráðu	m e i s t a r a k r a uː ð ʏ
merkileg	m ɛ r̥ c ɪ l ɛː ɣ
nashville	n aː s kʰ v ɪ t l ɛ
neðstu	n ɛ ð s t ʏ
nora	n ɔː r a
nákvæma	n a uː kʰ v a iː m a
næga	n a iː ɣ a
orkugjafa	ɔ r̥ k ʏ c aː v a
orsakast	ɔ r̥ s a kʰ a s t
papa	pʰ aː p a
paula	pʰ ø yː l a
pizzu	pʰ ɪ t s ʏ
pólitískri	pʰ o uː l ɪ tʰ i s k r ɪ
riddarar	r ɪ tː a r a r
ráðstefnum	r a u ð s t ɛ p n ʏ m
réttinum	r j ɛ h t ɪ n ʏ m
rústum	r u s t ʏ m
samböndum	s a m p œ n t ʏ m
samgangna	s a m k a u ŋ k n a
samkomulaginu	s a m kʰ ɔː m ʏ l aː j ɪ n ʏ
samþykkis	s a m θ ɪ h c ɪ s
sjómaður	s j o uː m aː ð ʏ r
sjóðnum	s j o u ð n ʏ m
skoðar	s k ɔː ð a r
skrúfa	s k r uː v a
skárra	s k a u rː a
sparar	s p aː r a r
sprengju	s p r e i ɲ c ʏ
springur	s p r i ŋ k ʏ r
stafað	s t aː v a ð
staðsettar	s t a ð s ɛ h t a r
stjórnarskrána	s t j o u r t n a r s k r a uː n a
stuðningsmönnum	s t ʏ ð n i ŋ k s m œ nː ʏ m
styrktar	s t ɪ r̥ k t a r
stöðvað	s t œ ð v aː ð
sveini	s v e iː n ɪ
sádi	s a uː t ɪ
sérkenni	s j ɛ r̥ cʰ ɛ nː ɪ
síðir	s iː ð ɪ r
síðum	s iː ð ʏ m
sófa	s o uː v a
súðavík	s uː ð a v iː k
sýsla	s i s t l a
tesla	tʰ ɛ s t l a
tilkynnir	tʰ ɪ l cʰ ɪ nː ɪ r
trénu	tʰ r j ɛː n ʏ
tímabilum	tʰ iː m a p ɪː l ʏ m
usb	ʏ s p
veggir	v ɛ cː ɪ r
veljum	v ɛ l j ʏ m
venju	v ɛ n j ʏ
vestrænum	v ɛ s t r a iː n ʏ m
vonin	v ɔː n ɪ n
víðidal	v iː ð ɪ t aː l
yfirráðum	ɪː v ɪ r r a uː ð ʏ m
ábyrg	a uː p ɪ r k
áfalli	a uː f a t l ɪ
áfangi	a uː f a u ɲ c ɪ
ásökunum	a uː s œː k ʏ n ʏ m
óskum	o u s k ʏ m
óspart	o uː s p a r̥ t
útflutningi	uː t f l ʏ h t n i ɲ c ɪ
útfrá	uː t f r a uː
þjóðverjum	θ j o u ð v ɛ r j ʏ m
þættina	θ a i h t ɪ n a
þýski	θ i s c ɪ
þýskum	θ i s k ʏ m
adolf	aː t ɔ l v
afmarkað	a v m a r̥ k a ð
andre	a n t r ɛː
andstaða	a n t s t aː ð a
andstæðingum	a n t s t a iː ð i ŋ k ʏ m
bankarnir	p a u ŋ̊ k a r t n ɪ r
beygt	p e i x t
breskra	p r ɛ s k r a
brosir	p r ɔː s ɪ r
brosti	p r ɔ s t ɪ
buddy	p ʏ tː ɪ
bárðarbungu	p a u r ð a r p u ŋ k ʏ
bóluefni	p o uː l ʏ ɛ p n ɪ
bökkum	p œ h k ʏ m
böðvar	p œ ð v a r
búsett	p uː s ɛ h t
býð	p iː ð
capacent	kʰ aː p a s ɛ n̥ t
claude	kʰ l ø yː t ɛ
cnn	kʰ ɛ nː
diskurinn	t ɪ s k ʏ r ɪ nː
dog	t ɔː ɣ
dæmigerð	t a iː m ɪ c ɛ r ð
dómstólum	t o u m s t o uː l ʏ m
dóu	t o uː ʏ
dökkt	t œ x t
einfaldan	e i n f a l t a n
einfaldri	e i n f a l t r ɪ
eldingu	ɛ l t i ŋ k ʏ
eyjarinnar	e iː j a r ɪ nː a r
fingrum	f i ŋ k r ʏ m
framburði	f r a m p ʏ r ð ɪ
frumum	f r ʏː m ʏ m
fáa	f a uː a
gagnrýnendur	k a k n r iː n ɛ n t ʏ r
geira	c e iː r a
glasi	k l aː s ɪ
gosinu	k ɔː s ɪː n ʏ
grande	k r a n t ɛ
gullna	k ʏ t l n a
hafnarborg	h a p n a r p ɔ r k
hafðar	h a v ð a r
hefi	h ɛː v ɪ
heimsækir	h e i m s a iː c ɪ r
hellisheiði	h ɛ t l ɪ s h e iː ð ɪ
hip	h ɪː p
hluturinn	l̥ ʏː t ʏ r ɪ nː
hlýtt	l̥ i h t
horfnar	h ɔ r p n a r
hrifnir	r̥ ɪ p n ɪ r
human	h ʏː m a n
hvammi	kʰ v a mː ɪ
höfundi	h œː v ʏ n t ɪ
illan	ɪ t l a n
ivan	ɪː v a n
jump	j ʏ m̥ p
karlsdóttir	kʰ a r t l s t o u h t ɪ r
kjörgengi	cʰ œ r c e i ɲ c ɪ
koll	kʰ ɔ t l
kreppan	kʰ r ɛ h p a n
krúnunnar	kʰ r uː n ʏ nː a r
landamæra	l a n t a m a iː r a
leikararnir	l e iː k a r a r t n ɪ r
leitið	l e iː t ɪ ð
leysist	l e iː s ɪ s t
ljósa	l j o uː s a
ljóðin	l j o uː ð ɪ n
lois	l ɔ iː s
lögfræðingar	l œ ɣ f r a iː ð i ŋ k a r
lögðust	l œ ɣ ð ʏ s t
lúðvík	l u ð v iː k
mail	m a iː l
massachusetts	m a sː a x ʏ s ɛ h t s
maxwell	m a x s v ɛ t l
meistaraflokkur	m e i s t a r a f l ɔ h k ʏ r
menntavísindasvið	m ɛ n̥ t a v iː s ɪ n t a s v ɪː ð
málm	m a u l m
mælingum	m a iː l i ŋ k ʏ m
mílna	m i l n a
pólitískur	pʰ o uː l ɪ tʰ i s k ʏ r
rauðan	r ø yː ð a n
refsað	r ɛ f s aː ð
ráðuneytis	r a uː ð ʏ n e iː t ɪ s
rýma	r iː m a
samanburð	s aː m a n p ʏ r ð
sameiginlegur	s aː m e iː j ɪ n l ɛː ɣ ʏ r
sameinar	s aː m e iː n a r
samfleytt	s a m f l e i h t
samráð	s a m r a uː ð
seldist	s ɛ l t ɪ s t
serbíu	s ɛ r p iː j ʏ
setji	s ɛː t j ɪ
sigmund	s ɪ ɣ m ʏ n t
sigvaldi	s ɪ ɣ v a l t ɪ
silicon	s ɪː l ɪ kʰ ɔː n
sjávarútvegur	s j a uː v a r uː t v ɛː ɣ ʏ r
skilgreindur	s c ɪ l k r e i n t ʏ r
skoðaði	s k ɔː ð a ð ɪ
slíks	s t l i k s
slógu	s t l o uː ʏ
sprottið	s p r ɔ h t ɪ ð
spurningarnar	s p ʏ r t n i ŋ k a r t n a r
stjórnenda	s t j o u r t n ɛ n t a
stjórnmálanna	s t j o u r t n m a uː l a nː a
stofuhita	s t ɔː v ʏ h ɪː t a
stól	s t o uː l
sugar	s ʏː ɣ a r
svei	s v e iː
sviptur	s v ɪ f t ʏ r
svokallaður	s v ɔː k a t l aː ð ʏ r
sýnileg	s iː n ɪ l ɛː ɣ
talsverða	tʰ a l s v ɛ r ð a
thelma	tʰ ɛ l m a
tilheyri	tʰ ɪː l h e iː r ɪ
tilvísanir	tʰ ɪ l v iː s aː n ɪ r
tjáði	tʰ j a uː ð ɪ
tvímælalaust	tʰ v iː m a iː l a l ø y s t
tækist	tʰ a iː c ɪ s t
tímasetning	tʰ iː m a s ɛ h t n i ŋ k
uk	ʏː k
varning	v a r t n i ŋ k
vellíðan	v ɛ t l iː ð a n
venjulegar	v ɛ n j ʏ l ɛː ɣ a r
verðir	v ɛ r ð ɪ r
verðmætum	v ɛ r ð m a iː t ʏ m
vinnubrögð	v ɪ nː ʏ p r œ ɣ ð
viðburðum	v ɪ ð p ʏ r ð ʏ m
vísindamönnum	v iː s ɪ n t a m œ nː ʏ m
yfirbragð	ɪː v ɪ r p r a ɣ ð
yfirlýsingar	ɪː v ɪ r l iː s i ŋ k a r
yfirmanni	ɪː v ɪ r m a nː ɪ
ábendingu	a uː p ɛ n t i ŋ k ʏ
ósáttur	o uː s a u h t ʏ r
útfæra	uː t f a iː r a
úthluta	uː t l̥ ʏː t a
þjóðunum	θ j o uː ð ʏ n ʏ m
þorláksson	θ ɔ r l a u k s s ɔː n
þáttarins	θ a u h t a r ɪ n s
þórhallsson	θ o uː r h a t l s s ɔː n
aðferða	a ð f ɛ r ð a
bakgrunnur	p aː k k r ʏ nː ʏ r
baðst	p a ð s t
berin	p ɛː r ɪ n
bindur	p ɪ n t ʏ r
bit	p ɪː t
breytum	p r e iː t ʏ m
brugðust	p r ʏ ɣ ð ʏ s t
búningum	p uː n i ŋ k ʏ m
cassidy	kʰ a sː ɪ t ɪ
drykkju	t r ɪ h c ʏ
dvergar	t v ɛ r k a r
dömur	t œː m ʏ r
edmund	ɛ t m ʏ n t
empire	ɛ m̥ p ɪː r ɛ
englendingar	e i ŋ k l ɛ n t i ŋ k a r
entist	ɛ n̥ t ɪ s t
fatnaður	f a h t n a ð ʏ r
fljótir	f l j o uː t ɪ r
flúði	f l uː ð ɪ
