finns	f ɪ n s
volymer	v ʊ l 'yː m ɛ r
återkom	²'oː t ɛ r k ɔ m
öar	²'øː a r
dansare	²d 'a n s a r ɛ
dödliga	²d 'øː d l ɪ ɡ a
ekologiskt	ɛ k ʊ l 'oː ɡ ɪ s k t
frön	f r øː n
förbättras	f œ r b 'ɛ t r a s
förändringen	f œ r 'ɛ n d r ɪ ŋ ɛ n
handskar	²h 'a n d s k a r
hjärnor	²j 'ɛː n ʊ r
hälsan	²h 'ɛ l s a n
inställningen	²'ɪ n s t ɛ l n ɪ ŋ ɛ n
itunes	ɪ t ɵ n 'eː s
lappen	²l 'a p ɛ n
nås	n oː s
ofattbart	²'uː f a t b ɑː t
oljan	²'ɔ l j a n
osäkerhet	²'uː s ɛː k ɛ r h eː t
rekrytering	r ɛ k r ʏ t 'eː r ɪ ŋ
ropade	²r 'uː p a d ɛ
skatterna	²s k 'a t ɛ n a
slängt	s l ɛ ŋ t
tillför	²t 'ɪ l f øː r
tolkningar	²t 'ɔ l k n ɪ ŋ a r
vargen	²v 'a r j ɛ n
vimmerby	²v 'ɪ m ɛ r b yː
ögonblicket	²'øː ɡ ɔ n b l ɪ k ɛ t
allsvenska	²'a l s v ɛ n s k a
ambitioner	a m b ɪ ɧ 'uː n ɛ r
biträdande	²b 'iː t r ɛː d a n d ɛ
brevlådan	²b r 'eː v l oː d a n
edition	ɛ d ɪ ɧ 'uː n
extremism	ɛ k s t r ɛ m 'ɪ s m
fega	²f 'eː ɡ a
festivaler	f ɛ s t ɪ v 'ɑː l ɛ r
fight	f a j t
fittan	²f 'ɪ t a n
fuktigt	²f 'ɵ k t ɪ k t
förknippas	f œ r k n 'ɪ p a s
förtjänade	f œ r ɕ 'ɛː n a d ɛ
galningar	²ɡ 'ɑː l n ɪ ŋ a r
hemlandet	²h 'ɛ m l a n d ɛ t
hållbara	²h 'ɔ l b ɑː r a
inombords	²'ɪ n ɔ m b uː d ɕ
insatsen	²'ɪ n s a t s ɛ n
jordgubbar	²j 'uː d ɡ ɵ b a r
kommittén	k ɔ m ɪ t 'eː n
misshandlad	²m 'ɪ s h a n d l a d
naglar	²n 'ɑː ɡ l a r
näe	²n 'ɛː ɛ
obegripligt	²'uː b ɛ ɡ r iː p l ɪ k t
rickard	²r 'ɪ k a d
spänningen	²s p 'ɛ n ɪ ŋ ɛ n
talanger	t a l 'a ŋ ɛ r
tillkommer	²t 'ɪ l k ɔ m ɛ r
tillväxten	²t 'ɪ l v ɛ k s t ɛ n
tillåt	²t 'ɪ l oː t
upplägg	²'ɵ p l ɛ ɡ
väckt	v ɛ k t
ärlighet	²'ɛː l ɪ ɡ h eː t
alma	²'a l m a
ansöker	²'a n s øː k ɛ r
avvikande	²'ɑː v iː k a n d ɛ
behandlad	b ɛ h 'a n d l a d
byggandet	²b 'ʏ ɡ a n d ɛ t
deprimerande	d ɛ p r ɪ m 'eː r a n d ɛ
diamond	d ɪ a m 'ɔ n d
ekologisk	ɛ k ʊ l 'oː ɡ ɪ s k
flugor	²f l 'ʉː ɡ ʊ r
fullständiga	²f 'ɵ l s t ɛ n d ɪ ɡ a
fångade	²f 'ɔ ŋ a d ɛ
förfäder	f œ r f 'ɛː d ɛ r
förändrat	f œ r 'ɛ n d r a t
höjda	²h 'œ j d a
inbjuden	²'ɪ n b j ʉː d ɛ n
intrycket	²'ɪ n t r ʏ k ɛ t
iron	ɪ r 'uː n
kvalitén	k v a l ɪ t 'eː n
kvotering	k v ʊ t 'eː r ɪ ŋ
lagliga	²l 'ɑː ɡ l ɪ ɡ a
libanon	l ɪ b a n 'uː n
manuellt	m a n ɵ 'ɛ l t
mätningar	²m 'ɛː t n ɪ ŋ a r
nordens	n ʊ d 'ɛ n s
noveller	n ʊ v 'ɛ l ɛ r
näven	²n 'ɛː v ɛ n
renovering	r ɛ n ʊ v 'eː r ɪ ŋ
samlingen	²s 'a m l ɪ ŋ ɛ n
satsade	²s 'a t s a d ɛ
sänkte	²s 'ɛ ŋ k t ɛ
talen	²t 'ɑː l ɛ n
träffats	²t r 'ɛ f a t s
utredare	²'ʉː t r eː d a r ɛ
utrustningen	²'ʉː t r ɵ s t n ɪ ŋ ɛ n
uttalas	²'ʉː t ɑː l a s
våldtog	²v 'ɔ l d t uː ɡ
anställde	²'a n s t ɛ l d ɛ
avsnitten	²'ɑː v s n ɪ t ɛ n
avstår	²'ɑː v s t oː r
begränsas	b ɛ ɡ r 'ɛ n s a s
bell	b ɛ l
bjud	b j ʉː d
blandas	²b l 'a n d a s
ersätts	²'eː ɕ ɛ t s
färgade	²f 'ɛ r j a d ɛ
handläggare	²h 'a n d l ɛ ɡ a r ɛ
inspirerade	ɪ n s p ɪ r 'eː r a d ɛ
jepp	j ɛ p
kallare	²k 'a l a r ɛ
kullen	²k 'ɵ l ɛ n
lämpliga	²l 'ɛ m p l ɪ ɡ a
mega	²m 'eː ɡ a
moraliska	m ʊ r 'ɑː l ɪ s k a
målningar	²m 'oː l n ɪ ŋ a r
mördaren	²m 'øː d a r ɛ n
nazistiska	n a s 'ɪ s t ɪ s k a
next	n ɛ k s t
norrbottens	²n 'ɔ r b ɔ t ɛ n s
packade	²p 'a k a d ɛ
patetiska	p a t 'eː t ɪ s k a
pizzan	²p 'ɪ t s a n
sexism	s ɛ k s 'ɪ s m
skakade	²s k 'ɑː k a d ɛ
skärgården	²ɧ 'ɛː r ɡ oː d ɛ n
snabbast	²s n 'a b a s t
socialdemokratisk	²s ʊ s ɪ 'ɑː l d ɛ m ʊ k r ɑː t ɪ s k
störningar	²s t 'øː n ɪ ŋ a r
svenske	²s v 'ɛ n s k ɛ
tagga	²t 'a ɡ a
tillståndet	²t 'ɪ l s t ɔ n d ɛ t
trender	t r 'ɛ n d ɛ r
utmärkta	²'ʉː t m a r k t a
utnyttjade	²'ʉː t n ʏ t j a d ɛ
visats	²v 'iː s a t s
världsklass	²v 'ɛː d ɕ k l a s
västerländska	²v 'ɛ s t ɛ l ɛ n d s k a
användbart	²'a n v ɛ n d b ɑː t
ap	ɑː p
beskedet	b ɛ ɧ 'eː d ɛ t
dax	d a k s
deep	d iː p
drivande	²d r 'iː v a n d ɛ
duktigt	²d 'ɵ k t ɪ k t
ferrari	f a r a r 'iː
förorter	f œ r 'oː t ɛ r
försvarets	f œ ɕ v 'ɑː r ɛ t s
försöket	f œ ɕ 'øː k ɛ t
granskas	²ɡ r 'a n s k a s
hamburg	²h 'a m b ɵ r j
hemstad	²h 'ɛ m s t ɑː d
häftiga	²h 'ɛ f t ɪ ɡ a
hälsosamt	²h 'ɛ l s ʊ s a m t
kaptenen	k a p t 'eː n ɛ n
klänningen	²k l 'ɛ n ɪ ŋ ɛ n
konkurrenter	k ɔ ŋ k ɵ r 'ɛ n t ɛ r
liknade	²l 'iː k n a d ɛ
madison	m a d ɪ s 'uː n
mjölken	²m j 'œ l k ɛ n
motivet	m ʊ t ɪ v 'eː t
nyttiga	²n 'ʏ t ɪ ɡ a
oroande	²'uː r uː a n d ɛ
påminde	²p 'oː m ɪ n d ɛ
rånad	²r 'oː n a d
självförsvar	²ɧ 'ɛ l v f œ ɕ v ɑː r
skött	ɧ œ t
sorgliga	²s 'ɔ r j l ɪ ɡ a
spindlar	²s p 'ɪ n d l a r
statistiskt	s t a t 'ɪ s t ɪ s k t
störde	²s t 'øː d ɛ
synliga	²s 'yː n l ɪ ɡ a
tanten	²t 'a n t ɛ n
tillverkare	²t 'ɪ l v a r k a r ɛ
uppges	²'ɵ p j eː s
vagnar	²v 'a ŋ n a r
valrörelsen	²v 'ɑː l r øː r ɛ l s ɛ n
vanligast	²v 'ɑː n l ɪ ɡ a s t
walk	v a l k
chill	ɕ ɪ l
content	k ɔ n t 'ɛ n t
ding	d ɪ ŋ
flygbolag	²f l 'yː ɡ b uː l ɑː ɡ
flyktingbarn	²f l 'ʏ k t ɪ ŋ b ɑː n
färdigheter	²f 'ɛː d ɪ ɡ h eː t ɛ r
genomsnittliga	²j 'eː n ɔ m s n ɪ t l ɪ ɡ a
inledande	²'ɪ n l eː d a n d ɛ
jättefint	²j 'ɛ t ɛ f ɪ n t
korsningen	²k 'ɔ ɕ n ɪ ŋ ɛ n
kramfors	²k r 'a m f ɔ ɕ
krångligt	²k r 'ɔ ŋ l ɪ k t
lönerna	²l 'øː n ɛ n a
matsalen	²m 'ɑː t s ɑː l ɛ n
milda	²m 'ɪ l d a
omgiven	²'ɔ m j iː v ɛ n
postnord	²p 'ɔ s t n uː d
påståendet	²p 'oː s t oː ɛ n d ɛ t
regleras	r ɛ ɡ l 'eː r a s
riktas	²r 'ɪ k t a s
sajten	²s 'a j t ɛ n
skamligt	²s k 'a m l ɪ k t
slutgiltiga	²s l 'ʉː t j ɪ l t ɪ ɡ a
tillgången	²t 'ɪ l ɡ ɔ ŋ ɛ n
tunneln	²t 'ɵ n ɛ l n
utförd	²'ʉː t f øː d
utsläppen	²'ʉː t s l ɛ p ɛ n
värdefullt	²v 'ɛː d ɛ f ɵ l t
accepteras	a k s ɛ p t 'eː r a s
anklagas	²'a n k l ɑː ɡ a s
attraktivt	a t r a k t 'iː v t
besparingar	b ɛ s p 'ɑː r ɪ ŋ a r
erkänn	²'eː r ɕ ɛ n
existerade	ɛ k s ɪ s t 'eː r a d ɛ
farligare	²f 'ɑː l ɪ ɡ a r ɛ
framställs	²f r 'a m s t ɛ l s
förenade	f œ r 'eː n a d ɛ
företagande	²f 'øː r ɛ t ɑː ɡ a n d ɛ
förstärker	f œ ɕ t 'ɛ r k ɛ r
harvard	²h 'a r v ɑː d
idrotten	²'iː d r ɔ t ɛ n
införs	²'ɪ n f œ ɕ
inlåst	²'ɪ n l oː s t
kajsa	²k 'a j s a
klagade	²k l 'ɑː ɡ a d ɛ
loggar	²l 'ɔ ɡ a r
luckan	²l 'ɵ k a n
lyckade	²l 'ʏ k a d ɛ
manhattan	²m 'a n h a t a n
milt	m ɪ l t
misshandlade	²m 'ɪ s h a n d l a d ɛ
misstänks	²m 'ɪ s t ɛ ŋ k s
moa	²m 'uː a
motståndsrörelsen	²m 'uː t s t ɔ n d s r øː r ɛ l s ɛ n
noterade	n ʊ t 'eː r a d ɛ
obehagliga	²'uː b ɛ h ɑː ɡ l ɪ ɡ a
omslaget	²'ɔ m s l ɑː ɡ ɛ t
omvänd	²'ɔ m v ɛ n d
pappor	²p 'a p ʊ r
perspektivet	p a ɕ p ɛ k t 'iː v ɛ t
pluggade	²p l 'ɵ ɡ a d ɛ
producerade	p r ʊ d ɵ s 'eː r a d ɛ
påstås	²p 'oː s t oː s
påverkad	²p 'oː v a r k a d
regelverk	²r 'eː ɡ ɛ l v a r k
rip	r iː p
strategiskt	s t r a t 'eː ɡ ɪ s k t
sänkta	²s 'ɛ ŋ k t a
tillgänglighet	²t 'ɪ l j ɛ ŋ l ɪ ɡ h eː t
trumps	t r ɵ m p s
utformning	²'ʉː t f ɔ r m n ɪ ŋ
utvecklad	²'ʉː t v ɛ k l a d
valfritt	²v 'ɑː l f r ɪ t
varade	²v 'ɑː r a d ɛ
åtskilliga	²'oː t ɧ ɪ l ɪ ɡ a
automatik	a ʊ t ʊ m a t 'iː k
besöket	b ɛ s 'øː k ɛ t
boenden	²b 'uː ɛ n d ɛ n
donken	²d 'ɔ ŋ k ɛ n
dramatiska	d r a m 'ɑː t ɪ s k a
exklusivt	ɛ k s k l ɵ s 'iː v t
freden	²f r 'eː d ɛ n
förfärligt	f œ r f 'ɛː l ɪ k t
försiktiga	f œ ɕ 'ɪ k t ɪ ɡ a
hatbrott	²h 'ɑː t b r ɔ t
helheten	²h 'eː l h eː t ɛ n
hellström	²h 'ɛ l s t r œ m
ideologiska	ɪ d ɛ ʊ l 'oː ɡ ɪ s k a
individens	ɪ n d ɪ v ɪ d 'ɛ n s
inledningen	²'ɪ n l eː d n ɪ ŋ ɛ n
innebörden	²'ɪ n ɛ b øː d ɛ n
invändningar	²'ɪ n v ɛ n d n ɪ ŋ a r
känslomässigt	²ɕ 'ɛ n s l ʊ m ɛ s ɪ k t
let	l eː t
minimera	m ɪ n ɪ m 'eː r a
mohammed	²m 'uː h a m ɛ d
nästintill	²n 'ɛ s t ɪ n t ɪ l
portal	p ʊ t 'ɑː l
prioriteras	p r ɪ ʊ r ɪ t 'eː r a s
processer	p r ʊ s 'ɛ s ɛ r
pär	p ɛː r
riktat	r ɪ k t 'ɑː t
sagts	s a k t s
sanningar	²s 'a n ɪ ŋ a r
shopping	²ɧ 'ɔ p ɪ ŋ
skarpa	²s k 'a r p a
spisen	²s p 'iː s ɛ n
stötte	²s t 'œ t ɛ
sändningen	²s 'ɛ n d n ɪ ŋ ɛ n
teoretiska	t ɛ ʊ r 'eː t ɪ s k a
tårarna	²t 'oː r ɑː n a
utses	²'ʉː t s eː s
verkställande	²v 'ɛ r k s t ɛ l a n d ɛ
afs	a f s
ak	ɑː k
anpassade	²'a n p a s a d ɛ
beräkningar	b ɛ r 'ɛː k n ɪ ŋ a r
bredband	²b r 'eː d b a n d
brytt	b r ʏ t
degerfors	²d 'eː ɡ ɛ r f ɔ ɕ
finnar	²f 'ɪ n a r
fuktiga	²f 'ɵ k t ɪ ɡ a
förens	f œ r 'ɛ n s
genomgått	²j 'eː n ɔ m ɡ ɔ t
gulliga	²ɡ 'ɵ l ɪ ɡ a
hansen	²h 'a n s ɛ n
inställt	²'ɪ n s t ɛ l t
java	²j 'ɑː v a
klyftor	²k l 'ʏ f t ʊ r
kontrolleras	k ɔ n t r ɔ l 'eː r a s
könen	²ɕ 'øː n ɛ n
linn	l ɪ n
ludvig	²l 'ʉː d v ɪ ɡ
lyckligare	²l 'ʏ k l ɪ ɡ a r ɛ
mali	m a l 'iː
most	m ɔ s t
motståndaren	²m 'uː t s t ɔ n d a r ɛ n
möjliggör	²m 'œ j l ɪ ɡ j øː r
pedofiler	p ɛ d ʊ f 'iː l ɛ r
personens	p a ɕ ʊ n 'ɛ n s
rörigt	²r 'øː r ɪ k t
samlingar	²s 'a m l ɪ ŋ a r
setts	s ɛ t s
sommarjobb	²s 'ɔ m a r j ɔ b
storlekar	²s t 'uː l eː k a r
straffen	²s t r 'a f ɛ n
sunda	²s 'ɵ n d a
teckningar	²t 'ɛ k n ɪ ŋ a r
uppnått	²'ɵ p n ɔ t
utlänningar	²'ʉː t l ɛ n ɪ ŋ a r
villor	²v 'ɪ l ʊ r
vintertid	²v 'ɪ n t ɛ t iː d
översättningen	²'øː v ɛ ɕ ɛ t n ɪ ŋ ɛ n
anläggningar	²'a n l ɛ ɡ n ɪ ŋ a r
anpassad	²'a n p a s a d
ansökningar	²'a n s øː k n ɪ ŋ a r
arbetande	²'a r b eː t a n d ɛ
drottninggatan	²d r 'ɔ t n ɪ ŋ ɡ ɑː t a n
dödad	²d 'øː d a d
erat	ɛ r 'ɑː t
evigheter	²'eː v ɪ ɡ h eː t ɛ r
flytten	²f l 'ʏ t ɛ n
förbättringar	f œ r b 'ɛ t r ɪ ŋ a r
förseningar	f œ ɕ 'eː n ɪ ŋ a r
host	h ʊ s t
införandet	²'ɪ n f øː r a n d ɛ t
konstigheter	²k 'ɔ n s t ɪ ɡ h eː t ɛ r
kontinenten	k ɔ n t ɪ n 'ɛ n t ɛ n
käre	²ɕ 'ɛː r ɛ
olagliga	²'uː l ɑː ɡ l ɪ ɡ a
ritat	r ɪ t 'ɑː t
räddas	²r 'ɛ d a s
räkningen	²r 'ɛː k n ɪ ŋ ɛ n
samlats	²s 'a m l a t s
självständiga	²ɧ 'ɛ l v s t ɛ n d ɪ ɡ a
städade	²s t 'ɛː d a d ɛ
svider	s v 'iː d ɛ r
tanter	t 'a n t ɛ r
tillåtas	²t 'ɪ l oː t a s
tårtan	²t 'oː t a n
utförda	²'ʉː t f øː d a
utsattes	²'ʉː t s a t ɛ s
värdigt	²v 'ɛː d ɪ k t
bajen	²b 'a j ɛ n
baken	²b 'ɑː k ɛ n
belönas	b ɛ l 'øː n a s
beväpnad	b ɛ v 'ɛː p n a d
feministiskt	f ɛ m ɪ n 'ɪ s t ɪ s k t
förbjud	f œ r b j 'ʉː d
hemligheter	²h 'ɛ m l ɪ ɡ h eː t ɛ r
hälso	²h 'ɛ l s ʊ
höjt	h œ j t
imperiet	ɪ m p ɛ r ɪ 'eː t
invigningen	²'ɪ n v iː ɡ n ɪ ŋ ɛ n
medverkande	²m 'eː d v a r k a n d ɛ
målgrupp	²m 'oː l ɡ r ɵ p
oavgjort	²'uː ɑː v j uː t
ordföranden	²'uː d f øː r a n d ɛ n
placerat	p l a s ɛ r 'ɑː t
rex	r ɛ k s
skadligt	²s k 'ɑː d l ɪ k t
snubbar	²s n 'ɵ b a r
stella	²s t 'ɛ l a
syften	²s 'ʏ f t ɛ n
tipsen	²t 'ɪ p s ɛ n
tullen	²t 'ɵ l ɛ n
uppfattningar	²'ɵ p f a t n ɪ ŋ a r
uppmärksammat	²'ɵ p m a r k s a m a t
utsikten	²'ʉː t s ɪ k t ɛ n
utsätter	²'ʉː t s ɛ t ɛ r
viken	²v 'iː k ɛ n
avancerat	a v a n s ɛ r 'ɑː t
avsedda	²'ɑː v s ɛ d a
betyget	b ɛ t 'yː ɡ ɛ t
bloggare	²b l 'ɔ ɡ a r ɛ
byggande	²b 'ʏ ɡ a n d ɛ
ekologiska	ɛ k ʊ l 'oː ɡ ɪ s k a
elfsborg	²'ɛ l f s b ɔ r j
förstörda	f œ ɕ t 'øː d a
förvirrade	f œ r v 'ɪ r a d ɛ
fött	f œ t
gärningar	²j 'ɛː n ɪ ŋ a r
höjning	²h 'œ j n ɪ ŋ
its	ɪ t s
kritiseras	k r ɪ t ɪ s 'eː r a s
kumla	²k 'ɵ m l a
link	l ɪ ŋ k
militärer	m ɪ l ɪ t 'ɛː r ɛ r
rick	r ɪ k
ritningar	²r 'iː t n ɪ ŋ a r
ryskt	r ʏ s k t
skitkul	²ɧ 'iː t k ʉː l
smittade	²s m 'ɪ t a d ɛ
småsaker	²s m 'oː s ɑː k ɛ r
stabilitet	s t a b ɪ l ɪ t 'eː t
stressade	²s t r 'ɛ s a d ɛ
tryggheten	²t r 'ʏ ɡ h eː t ɛ n
turnén	t ɵ n 'eː n
uppdateringar	²'ɵ p d a t eː r ɪ ŋ a r
vetskapen	²v 'eː t s k ɑː p ɛ n
vågor	²v 'oː ɡ ʊ r
åberg	²'oː b a r j
åtalad	²'oː t ɑː l a d
aron	a r 'uː n
avbryter	²'ɑː v b r yː t ɛ r
belyser	b ɛ l 'yː s ɛ r
blodtryck	²b l 'uː d t r ʏ k
byts	b ʏ t s
colin	k ʊ l 'iː n
draken	²d r 'ɑː k ɛ n
fascister	f a ɧ 'ɪ s t ɛ r
fish	f ɪ ɧ
färskt	f a ɕ k t
fäst	f ɛ s t
förts	f œ t ɕ
förvaras	f œ r v 'ɑː r a s
give	²j 'iː v ɛ
gösta	²j 'œ s t a
heligt	²h 'eː l ɪ k t
hjälten	²j 'ɛ l t ɛ n
holmberg	²h 'ɔ l m b a r j
huvudsaken	²h 'ʉː v ɵ d s ɑː k ɛ n
höjde	²h 'œ j d ɛ
isländska	²'iː s l ɛ n d s k a
kycklingen	²ɕ 'ʏ k l ɪ ŋ ɛ n
lekar	²l 'eː k a r
levereras	l ɛ v ɛ r 'eː r a s
likasinnade	²l 'iː k a s ɪ n a d ɛ
löna	²l 'øː n a
ministern	m ɪ n ɪ s t 'ɛː n
nash	n a ɧ
oroad	²'uː r uː a d
professionellt	p r ʊ f ɛ ɧ ʊ n 'ɛ l t
rättare	²r 'ɛ t a r ɛ
salen	²s 'ɑː l ɛ n
skjortan	²ɧ 'uː t a n
skämtade	²ɧ 'ɛ m t a d ɛ
sonja	²s 'ɔ n j a
speltid	²s p 'eː l t iː d
stadsdelen	²s t 'a t s d eː l ɛ n
tecknad	²t 'ɛ k n a d
teoretiskt	t ɛ ʊ r 'eː t ɪ s k t
tjuvar	²ɕ 'ʉː v a r
type	²t 'yː p ɛ
tände	²t 'ɛ n d ɛ
upplevelsen	²'ɵ p l eː v ɛ l s ɛ n
uppmärksamheten	²'ɵ p m a r k s a m h eː t ɛ n
uppnår	²'ɵ p n oː r
varumärket	²v 'ɑː r ɵ m a r k ɛ t
århundraden	²'oː r h ɵ n d r a d ɛ n
överlägsna	²'øː v ɛ l ɛː ɡ s n a
amatörer	a m a t 'øː r ɛ r
andliga	²'a n d l ɪ ɡ a
blogga	²b l 'ɔ ɡ a
bostaden	²b 'uː s t ɑː d ɛ n
dialekter	d ɪ a l 'ɛ k t ɛ r
fantasin	f a n t a s 'iː n
fatt	f a t
fången	²f 'ɔ ŋ ɛ n
förbjudas	f œ r b j 'ʉː d a s
förtryckta	f œ t r 'ʏ k t a
hämtad	²h 'ɛ m t a d
israeliska	ɪ s r a 'eː l ɪ s k a
kammaren	²k 'a m a r ɛ n
klienter	k l ɪ 'ɛ n t ɛ r
krafterna	²k r 'a f t ɛ n a
kryddor	²k r 'ʏ d ʊ r
mejla	²m 'ɛ j l a
meningslösa	²m 'eː n ɪ ŋ s l øː s ɛ r
mottagaren	²m 'uː t ɑː ɡ a r ɛ n
målningen	²m 'oː l n ɪ ŋ ɛ n
nuet	n ɵ 'eː t
observationer	ɔ b s a r v a ɧ 'uː n ɛ r
planeras	p l a n 'eː r a s
player	p l 'ɛ j ɛ r
pricken	²p r 'ɪ k ɛ n
ribban	²r 'ɪ b a n
samarbeten	²s 'a m a r b eː t ɛ n
sandberg	²s 'a n d b a r j
skådespelaren	²s k 'oː d ɛ s p eː l a r ɛ n
stadsdelar	²s t 'a t s d eː l a r
starkast	²s t 'a r k a s t
susan	²s 'ʉː s a n
sändningar	²s 'ɛ n d n ɪ ŋ a r
sångaren	²s 'ɔ ŋ a r ɛ n
tröttnade	²t r 'œ t n a d ɛ
tvättstugan	²t v 'ɛ t s t ʉː ɡ a n
tävlande	²t 'ɛː v l a n d ɛ
utgjorde	²'ʉː t j uː d ɛ
variabler	v a r ɪ 'ɑː b l ɛ r
variationer	v a r ɪ a ɧ 'uː n ɛ r
våldtäktsman	²v 'ɔ l d t ɛ k t s m a n
äldreomsorgen	²'ɛ l d r ɛ ɔ m s ɔ r j ɛ n
åldrar	²'ɔ l d r a r
alicia	a l ɪ s 'iː a
användande	²'a n v ɛ n d a n d ɛ
bomben	²b 'ɔ m b ɛ n
bostadsrätter	²b 'uː s t ɑː d s r ɛ t ɛ r
byten	²b 'yː t ɛ n
cirkeln	²s 'ɪ r k ɛ l n
genomförd	²j 'eː n ɔ m f øː d
kasst	k a s t
lastbilen	²l 'a s t b iː l ɛ n
läckert	l 'ɛ k ɛ t
läktaren	²l 'ɛ k t a r ɛ n
mäktigt	²m 'ɛ k t ɪ k t
märk	m a r k
målvakten	²m 'oː l v a k t ɛ n
orimliga	²'uː r ɪ m l ɪ ɡ a
oron	²'uː r uː n
osmakligt	²'uː s m ɑː k l ɪ k t
otänkbart	²'uː t ɛ ŋ k b ɑː t
pressade	²p r 'ɛ s a d ɛ
påmind	²p 'oː m ɪ n d
riktningen	²r 'ɪ k t n ɪ ŋ ɛ n
rosenberg	²r 'uː s ɛ n b a r j
satsningen	²s 'a t s n ɪ ŋ ɛ n
sedlar	²s 'eː d l a r
simning	²s 'ɪ m n ɪ ŋ
skickliga	²ɧ 'ɪ k l ɪ ɡ a
skönare	²ɧ 'øː n a r ɛ
skönheten	²ɧ 'øː n h eː t ɛ n
snott	s n ɔ t
socialister	s ʊ s ɪ a l 'ɪ s t ɛ r
soligt	²s 'uː l ɪ k t
soppan	²s 'ɔ p a n
sträckte	²s t r 'ɛ k t ɛ
sålänge	²s 'oː l ɛ ŋ ɛ
tilläggas	²t 'ɪ l ɛ ɡ a s
träffen	²t r 'ɛ f ɛ n
tänd	t ɛ n d
utmärkelsen	²'ʉː t m a r k ɛ l s ɛ n
vibbar	²v 'ɪ b a r
vinn	v ɪ n
återvänt	²'oː t ɛ r v ɛ n t
arbetstillfällen	²'a r b eː t s t ɪ l f ɛ l ɛ n
bah	b ɑː
befogenheter	b ɛ f 'uː ɡ ɛ n h eː t ɛ r
beskriv	b ɛ s k r 'iː v
bestämmelser	b ɛ s t 'ɛ m ɛ l s ɛ r
bruden	²b r 'ʉː d ɛ n
bryggan	²b r 'ʏ ɡ a n
brösten	²b r 'œ s t ɛ n
cap	k ɑː p
chatten	²ɕ 'a t ɛ n
con	k ɔ n
definitioner	d ɛ f ɪ n ɪ ɧ 'uː n ɛ r
diktaturer	d ɪ k t a t 'ʉː r ɛ r
drastiskt	d r 'a s t ɪ s k t
dublin	d ɵ b l 'iː n
evans	ɛ v 'a n s
fångat	²f 'ɔ ŋ a t
gråa	²ɡ r 'oː a
gömde	²j 'œ m d ɛ
inställningar	²'ɪ n s t ɛ l n ɪ ŋ a r
isolerade	ɪ s ʊ l 'eː r a d ɛ
julklappar	²j 'ʉː l k l a p a r
katterna	²k 'a t ɛ n a
klickade	²k l 'ɪ k a d ɛ
kraftfull	²k r 'a f t f ɵ l
känts	ɕ ɛ n t s
mass	m a s
minderåriga	²m 'ɪ n d ɛ r oː r ɪ ɡ a
minoriteter	m ɪ n ʊ r ɪ t 'eː t ɛ r
nigeria	n ɪ ɧ 'eː r ɪ a
nämndes	²n 'ɛ m d ɛ s
polismyndigheten	²p ʊ l 'iː s m ʏ n d ɪ ɡ h eː t ɛ n
rid	r iː d
sambandet	²s 'a m b a n d ɛ t
sinnen	²s 'ɪ n ɛ n
skattesänkningar	²s k 'a t ɛ s ɛ ŋ k n ɪ ŋ a r
skicklighet	²ɧ 'ɪ k l ɪ ɡ h eː t
skjortor	²ɧ 'uː t ʊ r
skägget	²ɧ 'ɛ ɡ ɛ t
slarvigt	²s l 'a r v ɪ k t
slitna	²s l 'iː t n a
spränger	s p r 'ɛ ŋ ɛ r
varningar	²v 'ɑː n ɪ ŋ a r
vassa	²v 'a s a
välkomnande	²v 'ɛː l k ɔ m n a n d ɛ
värnplikten	²v 'ɛː n p l ɪ k t ɛ n
ån	oː n
överenskommelsen	²'øː v ɛ r ɛ n s k ɔ m ɛ l s ɛ n
övergången	²'øː v ɛ r ɡ ɔ ŋ ɛ n
abu	a b 'ʉː
anstränger	²'a n s t r ɛ ŋ ɛ r
farsta	²f 'a ɕ t a
fastlandet	²f 'a s t l a n d ɛ t
flaggor	²f l 'a ɡ ʊ r
försenade	f œ ɕ 'eː n a d ɛ
giftiga	²j 'ɪ f t ɪ ɡ a
hederliga	²h 'eː d ɛ l ɪ ɡ a
högen	²h 'øː ɡ ɛ n
inkompetens	ɪ n k ɔ m p ɛ t 'ɛ n s
komponenter	k ɔ m p ʊ n 'ɛ n t ɛ r
kraschade	²k r 'a ɧ a d ɛ
kurvan	²k 'ɵ r v a n
länders	l 'ɛ n d ɛ ɕ
mobbad	²m 'ɔ b a d
mästaren	²m 'ɛ s t a r ɛ n
nörd	n øː d
omröstningen	²'ɔ m r œ s t n ɪ ŋ ɛ n
pressad	²p r 'ɛ s a d
psykiatrin	p s ʏ k ɪ a t r 'iː n
realistiska	r ɛ a l 'ɪ s t ɪ s k a
rånade	²r 'oː n a d ɛ
sammanhängande	²s 'a m a n h ɛ ŋ a n d ɛ
sammanställning	²s 'a m a n s t ɛ l n ɪ ŋ
slutliga	²s l 'ʉː t l ɪ ɡ a
stinker	s t 'ɪ ŋ k ɛ r
stökigt	²s t 'øː k ɪ k t
susanne	²s 'ʉː s a n ɛ
tipsade	²t 'ɪ p s a d ɛ
upplägget	²'ɵ p l ɛ ɡ ɛ t
uppsatta	²'ɵ p s a t a
utgick	²'ʉː t j ɪ k
varierad	v a r ɪ 'eː r a d
önskas	²'œ n s k a s
överraskningar	²'øː v ɛ r a s k n ɪ ŋ a r
anlänt	²'a n l ɛ n t
