to	t ɔ
maľované	m a ʎ ɔ v a n eː
mechanických	m e x a ɲ i t͡s k iː x
mediálny	m e ɟ i aː l n i
mh	m x
miláčik	m i l aː t͡ʃ i k
modelmi	m ɔ ɟ e l m i
modrou	m ɔ d r ɔ v
mol	m ɔ l
montgomery	m ɔ n d ɡ ɔ m e r i
motýle	m ɔ t iː ʎ e
move	m ɔ v e
mozgových	m ɔ z ɡ ɔ v iː x
možnosťami	m ɔ ʒ n ɔ s c a m i
možnú	m ɔ ʒ n uː
mriežky	m r ɪ̯ e ʃ k i
médiami	m eː d i a m i
najmenším	n a j m e n ʃ iː m
najobľúbenejšia	n a j ɔ b ʎ uː b e ɲ e j ʃ ɪ̯ a
najúspešnejším	n a j uː s p e ʃ ɲ e j ʃ iː m
nakúpiť	n a k uː p i c
naplní	n a p l̩ ɲ iː
necíti	ɲ e t͡s iː c i
nedostanete	ɲ e d ɔ s t a ɲ e c e
nemčine	ɲ e m t͡ʃ i ɲ e
nepočula	ɲ e p ɔ t͡ʃ u l a
nerobila	ɲ e r ɔ b i l a
nešla	ɲ e ʃ l a
nešťastný	ɲ e ʃ c a s t n iː
nobelovej	n ɔ b e l ɔ v e j
nosenie	n ɔ s e ɲ ɪ̯ e
nováky	n ɔ v aː k i
nálezov	n aː ʎ e z ɔ v
náznaky	n aː z n a k i
obdiv	ɔ b ɟ i v
oblúkom	ɔ b l uː k ɔ m
ocenená	ɔ t͡s e ɲ e n aː
ochraňuje	ɔ x r a ɲ u j e
ocitli	ɔ t͡s i t ʎ i
odkazom	ɔ t k a z ɔ m
odrazom	ɔ d r a z ɔ m
odrôd	ɔ d r u̯ ɔ t
operáciách	ɔ p e r aː t͡s i aː x
operátorov	ɔ p e r aː t ɔ r ɔ v
opevnenia	ɔ p e v ɲ e ɲ ɪ̯ a
opustená	ɔ p u s c e n aː
orientácii	ɔ r ɪ̯ e n t aː t͡s i i
oslabenie	ɔ s l a b e ɲ ɪ̯ e
osídlenia	ɔ s iː d ʎ e ɲ ɪ̯ a
otvormi	ɔ t v ɔ r m i
pevnou	p e v n ɔ v
plagáty	p l a ɡ aː t i
plánoch	p l aː n ɔ x
podnetu	p ɔ d ɲ e t u
podávajú	p ɔ d aː v a j uː
pohlavné	p ɔ ɦ l a v n eː
politickou	p ɔ ʎ i c i t͡s k ɔ v
pomenované	p ɔ m e n ɔ v a n eː
ponúkne	p ɔ n uː k ɲ e
popisu	p ɔ p i s u
poradcom	p ɔ r a t͡sː ɔ m
portálom	p ɔ r t aː l ɔ m
postihnutý	p ɔ s c i ɦ n u t iː
postoja	p ɔ s t ɔ j a
povieš	p ɔ v ɪ̯ e ʃ
povolená	p ɔ v ɔ ʎ e n aː
pozemné	p ɔ z e m n eː
poznávanie	p ɔ z n aː v a ɲ ɪ̯ e
počúvajú	p ɔ t͡ʃ uː v a j uː
pracovisku	p r a t͡s ɔ v i s k u
prebrala	p r e b r a l a
predpokladali	p r e t p ɔ k l a d a ʎ i
prehliadača	p r e ɦ ʎ ɪ̯ a d a t͡ʃ a
prepis	p r e p i s
preplnené	p r e p l̩ ɲ e n eː
presvedčila	p r e s v e t͡ʃː i l a
preukázali	p r e u k aː z a ʎ i
pripojili	p r i p ɔ j i ʎ i
prispôsobený	p r i s p u̯ ɔ s ɔ b e n iː
privítať	p r i v iː t a c
programové	p r ɔ ɡ r a m ɔ v eː
protestov	p r ɔ c e s t ɔ v
protilátky	p r ɔ c i l aː t k i
publicista	p u b ʎ i t͡s i s t a
rakúske	r a k uː s k e
ramenách	r a m e n aː x
ranený	r a ɲ e n iː
rebel	r e b e l
reforiem	r e f ɔ r ɪ̯ e m
reformu	r e f ɔ r m u
reprezentačný	r e p r e z e n t a t͡ʃ n iː
riadkov	r ɪ̯ a t k ɔ v
rom	r ɔ m
rovina	r ɔ v i n a
rovnakými	r ɔ v n a k iː m i
rozbehla	r ɔ z b e ɦ l a
rozhodcov	r ɔ z ɦ ɔ t͡sː ɔ v
rozklad	r ɔ s k l a t
rozmach	r ɔ z m a x
rozmiestnené	r ɔ z m ɪ̯ e s t ɲ e n eː
rozpoznať	r ɔ s p ɔ z n a c
rozpätie	r ɔ s p æ c ɪ̯ e
ročníkom	r ɔ t͡ʃ ɲ iː k ɔ m
rôznou	r u̯ ɔ z n ɔ v
security	s e t͡s u r i t i
severnú	s e v e r n uː
shell	ʃ e lː
signálom	s i ɡ n aː l ɔ m
ski	s k i
sklom	s k l ɔ m
skoku	s k ɔ k u
skvelí	s k v e ʎ iː
small	s m a lː
smokovec	s m ɔ k ɔ v e t͡s
snímkach	s ɲ iː m k a x
spermie	s p e r m ɪ̯ e
spiš	s p i ʃ
spozná	s p ɔ z n aː
sprche	s p r̩ x e
spustený	s p u s c e n iː
spôsobovať	s p u̯ ɔ s ɔ b ɔ v a c
srdečne	s r̩ ɟ e t͡ʃ ɲ e
staršími	s t a r ʃ iː m i
stiahnuté	s c ɪ̯ a ɦ n u t eː
stravu	s t r a v u
stúpol	s t uː p ɔ l
svah	s v a x
sviatkom	s v ɪ̯ a t k ɔ m
symbolické	s i m b ɔ ʎ i t͡s k eː
taške	t a ʃ k e
tep	c e p
tlačia	t l a t͡ʃ ɪ̯ a
trafiť	t r a f i c
trans	t r a n s
trikov	t r i k ɔ v
tropických	t r ɔ p i t͡s k iː x
tráve	t r aː v e
tuneli	t u ɲ e ʎ i
turistickým	t u r i s c i t͡s k iː m
turn	t u r n
tvorcu	t v ɔ r t͡s u
udržala	u d r̩ ʒ a l a
ukážkou	u k aː ʃ k ɔ v
uplatňujú	u p l a t ɲ u j uː
uskutoční	u s k u t ɔ t͡ʃ ɲ iː
usporiadaní	u s p ɔ r ɪ̯ a d a ɲ iː
uverejnené	u v e r e j ɲ e n eː
uverili	u v e r i ʎ i
valné	v a l n eː
varoval	v a r ɔ v a l
vaňu	v a ɲ u
vchodu	f x ɔ d u
vedúcou	v e d uː t͡s ɔ v
verdikt	v e r ɟ i k t
verila	v e r i l a
veľvyslanca	v e ʎ v i s l a n t͡s a
vinohrady	v i n ɔ ɦ r a d i
vk	f k
vlka	v l̩ k a
vložené	v l ɔ ʒ e n eː
vošla	v ɔ ʃ l a
vošli	v ɔ ʃ ʎ i
vstupných	f s t u p n iː x
vtedajších	f c e d a j ʃ iː x
vyberám	v i b e r aː m
vyhlásilo	v i ɦ l aː s i l ɔ
vyjadrovať	v i j a d r ɔ v a c
vykurovanie	v i k u r ɔ v a ɲ ɪ̯ e
vypadlo	v i p a d l ɔ
vypne	v i p ɲ e
vypočul	v i p ɔ t͡ʃ u l
vyrastá	v i r a s t aː
vyrovnanie	v i r ɔ v n a ɲ ɪ̯ e
vyrábaných	v i r aː b a n iː x
vysokoškolských	v i s ɔ k ɔ ʃ k ɔ l s k iː x
vysokému	v i s ɔ k eː m u
vytvoríme	v i t v ɔ r iː m e
víza	v iː z a
výraznej	v iː r a z ɲ e j
wa	v a
yo	j ɔ
zaradení	z a r a ɟ e ɲ iː
zaraďujú	z a r a ɟ u j uː
zasadnutie	z a s a d n u c ɪ̯ e
zastúpená	z a s t uː p e n aː
zberateľov	z b e r a c e ʎ ɔ v
zdedil	z ɟ e ɟ i l
zdvihla	z d v i ɦ l a
zhode	z ɦ ɔ ɟ e
zjednotiť	z j e d n ɔ c i c
zlatými	z l a t iː m i
zložitá	z l ɔ ʒ i t aː
zorganizovali	z ɔ r ɡ a ɲ i z ɔ v a ʎ i
zoznámte	z ɔ z n aː m c e
zverejnená	z v e r e j ɲ e n aː
zverejnení	z v e r e j ɲ e ɲ iː
zvukového	z v u k ɔ v eː ɦ ɔ
éra	eː r a
údajmi	uː d a j m i
úrody	uː r ɔ d i
ústredným	uː s t r e d n iː m
čata	t͡ʃ a t a
čelí	t͡ʃ e ʎ iː
ľudskosti	ʎ u t͡s k ɔ s c i
škaredé	ʃ k a r e d eː
špinavých	ʃ p i n a v iː x
štúrovo	ʃ t uː r ɔ v ɔ
ťažisko	c a ʒ i s k ɔ
žiadala	ʒ ɪ̯ a d a l a
agentúru	a ɡ e n t uː r u
aku	a k u
alt	a l t
anders	a n ɟ e r s
apod	a p ɔ t
aspektov	a s p e k t ɔ v
atrakciou	a t r a k t͡s i ɔ v
autorita	a u t ɔ r i t a
bankou	b a n k ɔ v
batohu	b a t ɔ ɦ u
beauty	b e a u t i
bezpečnej	b e s p e t͡ʃ ɲ e j
biblické	b i b ʎ i t͡s k eː
bibliu	b i b ʎ ɪ̯ u
božích	b ɔ ʒ iː x
bravo	b r a v ɔ
bánovce	b aː n ɔ v t͡s e
bômb	b u̯ ɔ m p
celosvetový	t͡s e l ɔ s v e t ɔ v iː
cením	t͡s e ɲ iː m
chemická	x e m i t͡s k aː
chko	x k ɔ
chovateľov	x ɔ v a c e ʎ ɔ v
databázu	d a t a b aː z u
dlhšej	d l̩ x ʃ e j
dokumentáciu	d ɔ k u m e n t aː t͡s i u
dopraviť	d ɔ p r a v i c
dynastie	d i n a s c ɪ̯ e
falošných	f a l ɔ ʃ n iː x
flóry	f l ɔː r i
funkčne	f u n k t͡ʃ ɲ e
funkčnosť	f u n k t͡ʃ n ɔ s c
gerard	ɡ e r a r t
god	ɡ ɔ t
gore	ɡ ɔ r e
gotický	ɡ ɔ c i t͡s k iː
hardvéru	ɦ a r d v eː r u
hector	ɦ e t͡s t ɔ r
henri	ɦ e n r i
hokejové	ɦ ɔ k e j ɔ v eː
hosťovanie	ɦ ɔ s c ɔ v a ɲ ɪ̯ e
hradby	ɦ r a d b i
hrebeňom	ɦ r e b e ɲ ɔ m
human	ɦ u m a n
indický	i n ɟ i t͡s k iː
iq	i c
javu	j a v u
jedince	j e ɟ i n t͡s e
jesus	j e s u s
jura	j u r a
kabelke	k a b e l k e
kameni	k a m e ɲ i
kaplnku	k a p l̩ n k u
kolekciu	k ɔ ʎ e k t͡s i̯ u
kompresor	k ɔ m p r e s ɔ r
kravy	k r a v i
kristovho	k r i s t ɔ v ɦ ɔ
krstné	k r̩ s t n eː
kráska	k r aː s k a
krásneho	k r aː s ɲ e ɦ ɔ
kt	k t
kúrenie	k uː r e ɲ ɪ̯ e
kčs	k t͡ʃ s
lavičke	l a v i t͡ʃ k e
lekárne	ʎ e k aː r ɲ e
mafie	m a f ɪ̯ e
memorandum	m e m ɔ r a n d u m
michalom	m i x a l ɔ m
miestnou	m ɪ̯ e s t n ɔ v
miláne	m i l aː ɲ e
mind	m i n t
minul	m i n u l
modernými	m ɔ ɟ e r n iː m i
modre	m ɔ d r e
must	m u s t
málokedy	m aː l ɔ k e d i
máriou	m aː r i ɔ v
módu	m ɔː d u
nabité	n a b i t eː
nacisti	n a t͡s i s c i
nadväzujú	n a d v æ z u j uː
nat	n a t
nathan	n a d ɦ a n
nba	n b a
necítila	ɲ e t͡s iː c i l a
nemuselo	ɲ e m u s e l ɔ
nepovie	ɲ e p ɔ v ɪ̯ e
nepriame	ɲ e p r ɪ̯ a m e
neskutočný	ɲ e s k u t ɔ t͡ʃ n iː
nevoľnosť	ɲ e v ɔ ʎ n ɔ s c
nezabudli	ɲ e z a b u d ʎ i
nezabudnem	ɲ e z a b u d ɲ e m
nezávislým	ɲ e z aː v i s l iː m
nešli	ɲ e ʃ ʎ i
niekdajší	ɲ ɪ̯ e ɡ d a j ʃ iː
nieto	ɲ ɪ̯ e t ɔ
nosiča	n ɔ s i t͡ʃ a
nosíte	n ɔ s iː c e
nutkanie	n u t k a ɲ ɪ̯ e
náboženský	n aː b ɔ ʒ e n s k iː
námorníci	n aː m ɔ r ɲ iː t͡s i
nápadne	n aː p a d ɲ e
nástupcom	n aː s t u p t͡s ɔ m
obdobiu	ɔ b d ɔ b ɪ̯ u
obdobne	ɔ b d ɔ b ɲ e
obecnom	ɔ b e t͡s n ɔ m
objavené	ɔ b j a v e n eː
obsahujúcich	ɔ p s a ɦ u j uː t͡s i x
obývačky	ɔ b iː v a t͡ʃ k i
ochrannú	ɔ x r a nː uː
ohlásil	ɔ ɦ l aː s i l
opisu	ɔ p i s u
optimálne	ɔ p c i m aː l ɲ e
oslobodené	ɔ s l ɔ b ɔ ɟ e n eː
otis	ɔ c i s
ovládajú	ɔ v l aː d a j uː
padák	p a d aː k
percy	p e r t͡s i
piliere	p i ʎ ɪ̯ e r e
pixel	p i k s e l
plachta	p l a x t a
podplukovník	p ɔ t p l u k ɔ v ɲ iː k
podľahla	p ɔ d ʎ a ɦ l a
pohrebu	p ɔ ɦ r e b u
pohľadávky	p ɔ ɦ ʎ a d aː v k i
poistku	p ɔ i s t k u
pokožka	p ɔ k ɔ ʃ k a
policajných	p ɔ ʎ i t͡s a j n iː x
pomenovaný	p ɔ m e n ɔ v a n iː
pomôcok	p ɔ m u̯ ɔ t͡s ɔ k
porozprával	p ɔ r ɔ s p r aː v a l
postarala	p ɔ s t a r a l a
postojom	p ɔ s t ɔ j ɔ m
potlačenie	p ɔ t l a t͡ʃ e ɲ ɪ̯ e
potravou	p ɔ t r a v ɔ v
počúvajte	p ɔ t͡ʃ uː v a j c e
počúvame	p ɔ t͡ʃ uː v a m e
poľana	p ɔ ʎ a n a
pošte	p ɔ ʃ c e
pravdivosť	p r a v ɟ i v ɔ s c
preboha	p r e b ɔ ɦ a
predpismi	p r e t p i s m i
prekonanie	p r e k ɔ n a ɲ ɪ̯ e
premiéry	p r e m i eː r i
prepad	p r e p a t
prepojený	p r e p ɔ j e n iː
pridáme	p r i d aː m e
priemernou	p r ɪ̯ e m e r n ɔ v
priemernú	p r ɪ̯ e m e r n uː
problem	p r ɔ b ʎ e m
protivníka	p r ɔ c i v ɲ iː k a
právnička	p r aː v ɲ i t͡ʃ k a
právomocí	p r aː v ɔ m ɔ t͡s iː
prípravné	p r iː p r a v n eː
páchateľa	p aː x a c e ʎ a
pápežom	p aː p e ʒ ɔ m
rastislava	r a s c i s l a v a
rastlinách	r a s t ʎ i n aː x
redakcii	r e d a k t͡s i i
riadená	r ɪ̯ a ɟ e n aː
richter	r i x c e r
riešil	r ɪ̯ e ʃ i l
riziku	r i z i k u
rodia	r ɔ ɟ ɪ̯ a
rogers	r ɔ ɡ e r s
rohom	r ɔ ɦ ɔ m
rozkazu	r ɔ s k a z u
rozoberať	r ɔ z ɔ b e r a c
rozsiahlych	r ɔ sː ɪ̯ a ɦ l i x
rímskych	r iː m s k i x
samej	s a m e j
samu	s a m u
sara	s a r a
satelitu	s a c e ʎ i t u
sexuálnych	s e k s u aː l n i x
sira	s i r a
skutočnými	s k u t ɔ t͡ʃ n iː m i
skál	s k aː l
slim	s ʎ i m
slobodou	s l ɔ b ɔ d ɔ v
slávností	s l aː v n ɔ s c iː
snem	s ɲ e m
snina	s ɲ i n a
sopky	s ɔ p k i
spojenom	s p ɔ j e n ɔ m
spolkovej	s p ɔ l k ɔ v e j
spoločensko	s p ɔ l ɔ t͡ʃ e n s k ɔ
sprej	s p r e j
stand	s t a n t
starala	s t a r a l a
stolici	s t ɔ ʎ i t͡s i
stresom	s t r e s ɔ m
subjektom	s u b j e k t ɔ m
svietivosť	s v ɪ̯ e c i v ɔ s c
svorky	s v ɔ r k i
svätou	s v æ t ɔ v
svätyne	s v æ t i ɲ e
symbolu	s i m b ɔ l u
sériové	s eː r i ɔ v eː
sústredili	s uː s t r e ɟ i ʎ i
tajomstva	t a j ɔ m s t v a
teplotami	c e p l ɔ t a m i
terra	c e rː a
tesné	c e s n eː
textové	c e k s t ɔ v eː
textový	c e k s t ɔ v iː
thajsku	d ɦ a j s k u
them	d ɦ e m
timi	c i m i
tito	c i t ɔ
toky	t ɔ k i
tretích	t r e c iː x
triedou	t r ɪ̯ e d ɔ v
tričku	t r i t͡ʃ k u
trofeje	t r ɔ f e j e
trup	t r u p
tyran	t i r a n
tónu	t ɔː n u
túžim	t uː ʒ i m
udeliť	u ɟ e ʎ i c
utiekla	u c ɪ̯ e k l a
utrpeli	u t r̩ p e ʎ i
uzáverom	u z aː v e r ɔ m
vchode	f x ɔ ɟ e
vernosti	v e r n ɔ s c i
vesmírne	v e s m iː r ɲ e
vezmeme	v e z m e m e
vhod	v ɦ ɔ t
viedenskej	v ɪ̯ e ɟ e n s k e j
vince	v i n t͡s e
viva	v i v a
vlkov	v l̩ k ɔ v
vodcovia	v ɔ t͡sː ɔ v ɪ̯ a
vozidle	v ɔ z i d ʎ e
vtipy	f c i p i
vybojovali	v i b ɔ j ɔ v a ʎ i
vydajte	v i d a j c e
vyhradené	v i ɦ r a ɟ e n eː
vylepšený	v i ʎ e p ʃ e n iː
vyskytnúť	v i s k i t n uː c
vyslal	v i s l a l
vystúpi	v i s t uː p i
vytlačené	v i t l a t͡ʃ e n eː
vzbura	v z b u r a
vzdelávacieho	v z ɟ e l aː v a t͡s ɪ̯ e ɦ ɔ
vzorca	v z ɔ r t͡s a
vážnych	v aː ʒ n i x
východne	v iː x ɔ d ɲ e
výšok	v iː ʃ ɔ k
well	v e lː
zabezpečený	z a b e s p e t͡ʃ e n iː
zabráni	z a b r aː ɲ i
zachytili	z a x i c i ʎ i
zachytávajú	z a x i t aː v a j uː
zadržali	z a d r̩ ʒ a ʎ i
zamestnať	z a m e s t n a c
zapojený	z a p ɔ j e n iː
zastúpenia	z a s t uː p e ɲ ɪ̯ a
zavádza	z a v aː d͡z a
zdobia	z d ɔ b ɪ̯ a
združením	z d r u ʒ e ɲ iː m
zhodné	z ɦ ɔ d n eː
zlikvidovať	z ʎ i k v i d ɔ v a c
zmrzliny	z m r̩ z ʎ i n i
zrodila	z r ɔ ɟ i l a
zručností	z r u t͡ʃ n ɔ s c iː
zvedaví	z v e d a v iː
zvrátiť	z v r aː c i c
zvukovej	z v u k ɔ v e j
zvykov	z v i k ɔ v
zväzov	z v æ z ɔ v
zvýšenou	z v iː ʃ e n ɔ v
záznamoch	z aː z n a m ɔ x
zúčastnené	z uː t͡ʃ a s t ɲ e n eː
ére	eː r e
údery	uː ɟ e r i
ústrety	uː s t r e t i
čiastočný	t͡ʃ ɪ̯ a s t ɔ t͡ʃ n iː
šiesteho	ʃ ɪ̯ e s c e ɦ ɔ
špiny	ʃ p i n i
štvrtým	ʃ t v r̩ t iː m
švajčiarskej	ʃ v a j t͡ʃ ɪ̯ a r s k e j
šťastným	ʃ c a s t n iː m
žiadosťou	ʒ ɪ̯ a d ɔ s c ɔ v
živnostník	ʒ i v n ɔ s t ɲ iː k
again	a ɡ a i n
aka	a k a
akademických	a k a ɟ e m i t͡s k iː x
aktu	a k t u
analýz	a n a l iː s
angličania	a n ɡ ʎ i t͡ʃ a ɲ ɪ̯ a
antoine	a n t ɔ i ɲ e
apartmánu	a p a r t m aː n u
atentát	a c e n t aː t
baltimore	b a l c i m ɔ r e
banský	b a n s k iː
bradavky	b r a d a v k i
brett	b r e tː
brezne	b r e z ɲ e
bubeník	b u b e ɲ iː k
bylín	b i ʎ iː n
byron	b i r ɔ n
chemikálie	x e m i k aː ʎ ɪ̯ e
coca	t͡s ɔ t͡s a
czech	t͡ʃ e x
dac	d a t͡s
daisy	d a i s i
dedinke	ɟ e ɟ i n k e
dediča	ɟ e ɟ i t͡ʃ a
dlhodobým	d l̩ ɦ ɔ d ɔ b iː m
dolinu	d ɔ ʎ i n u
dolly	d ɔ lː i
domovskej	d ɔ m ɔ v s k e j
dona	d ɔ n a
doniesol	d ɔ ɲ ɪ̯ e s ɔ l
dopadnúť	d ɔ p a d n uː c
dopravnú	d ɔ p r a v n uː
dorastá	d ɔ r a s t aː
dost	d ɔ s t
dvojici	d v ɔ j i t͡s i
dôkazu	d u̯ ɔ k a z u
elegantné	e l e ɡ a n t n eː
elán	e l aː n
experimentálne	e k s p e r i m e n t aː l ɲ e
fan	f a n
farebne	f a r e b ɲ e
farský	f a r s k iː
filozofické	f i l ɔ z ɔ f i t͡s k eː
fletcher	f ʎ e t x e r
fo	f ɔ
fotografov	f ɔ t ɔ ɡ r a f ɔ v
galante	ɡ a l a n c e
galériu	ɡ a l eː r i u
globálneho	ɡ l ɔ b aː l ɲ e ɦ ɔ
going	ɡ ɔ i n k
gonna	ɡ ɔ nː a
gréckych	ɡ r eː t͡s k i x
heslom	ɦ e s l ɔ m
hocikedy	ɦ ɔ t͡s i k e d i
horskom	ɦ ɔ r s k ɔ m
horúčky	ɦ ɔ r uː t͡ʃ k i
hroby	ɦ r ɔ b i
hádzanej	ɦ aː d͡z a ɲ e j
individuálny	i n d i v i d u aː l n i
interpretáciu	i n t e r p r e t aː t͡s i u
investícia	i n v e s c iː t͡s i a
inzulínu	i n z u ʎ iː n u
inžinieri	i n ʒ i ɲ ɪ̯ e r i
jadrové	j a d r ɔ v eː
jadrového	j a d r ɔ v eː ɦ ɔ
jaskyňu	j a s k i ɲ u
jasnú	j a s n uː
karibiku	k a r i b i k u
knižka	k ɲ i ʃ k a
kolesami	k ɔ ʎ e s a m i
koncentráciou	k ɔ n t͡s e n t r aː t͡s i ɔ v
koncepty	k ɔ n t͡s e p t i
konfliktom	k ɔ n f ʎ i k t ɔ m
kontrolného	k ɔ n t r ɔ l n eː ɦ ɔ
kratšia	k r a t͡ʃː ɪ̯ a
krehké	k r e x k eː
kremnici	k r e m ɲ i t͡s i
kresťanom	k r e s c a n ɔ m
križovatku	k r i ʒ ɔ v a t k u
kroniky	k r ɔ ɲ i k i
krstiteľa	k r̩ s c i c e ʎ a
krátkou	k r aː t k ɔ v
kráčal	k r aː t͡ʃ a l
krížovej	k r iː ʒ ɔ v e j
kŕče	k r̩ː t͡ʃ e
laboratórne	l a b ɔ r a t ɔː r ɲ e
leskom	ʎ e s k ɔ m
lodiach	l ɔ ɟ ɪ̯ a x
lost	l ɔ s t
majetkové	m a j e t k ɔ v eː
matrix	m a t r i k s
mačiatko	m a t͡ʃ ɪ̯ a t k ɔ
metropoly	m e t r ɔ p ɔ l i
mine	m i ɲ e
mliečna	m ʎ ɪ̯ e t͡ʃ n a
momentom	m ɔ m e n t ɔ m
mozaiky	m ɔ z a i k i
nabrať	n a b r a c
nadávať	n a d aː v a c
nainštalované	n a i n ʃ t a l ɔ v a n eː
nasledovný	n a s ʎ e d ɔ v n iː
nechajme	ɲ e x a j m e
nechcelo	ɲ e x t͡s e l ɔ
nejasné	ɲ e j a s n eː
nenachádzajú	ɲ e n a x aː d͡z a j uː
nenápadne	ɲ e n aː p a d ɲ e
neprijateľné	ɲ e p r i j a c e ʎ n eː
nerovnosti	ɲ e r ɔ v n ɔ s c i
nervové	ɲ e r v ɔ v eː
neutrálny	ɲ e u t r aː l n i
neviditeľné	ɲ e v i ɟ i c e ʎ n eː
nevráti	ɲ e v r aː c i
nezabudla	ɲ e z a b u d l a
nezažil	ɲ e z a ʒ i l
neznáša	ɲ e z n aː ʃ a
nocou	n ɔ t͡s ɔ v
náboje	n aː b ɔ j e
nádhera	n aː d ɦ e r a
náhodu	n aː ɦ ɔ d u
nákladnej	n aː k l a d ɲ e j
námestovo	n aː m e s t ɔ v ɔ
nápisy	n aː p i s i
násilné	n aː s i l n eː
návštev	n aː v ʃ c e v
nízkeho	ɲ iː s k e ɦ ɔ
objektoch	ɔ b j e k t ɔ x
obrancov	ɔ b r a n t͡s ɔ v
obrazovka	ɔ b r a z ɔ v k a
obvody	ɔ b v ɔ d i
obytnej	ɔ b i t ɲ e j
občianskym	ɔ p t͡ʃ ɪ̯ a n s k i m
odchádzali	ɔ t x aː d͡z a ʎ i
odd	ɔ dː
odhaľuje	ɔ d ɦ a ʎ u j e
odohrať	ɔ d ɔ ɦ r a c
odpovedali	ɔ t p ɔ v e d a ʎ i
odvetviach	ɔ d v e t v ɪ̯ a x
otroctva	ɔ t r ɔ t͡s t v a
ovládol	ɔ v l aː d ɔ l
očakávala	ɔ t͡ʃ a k aː v a l a
pamiatkami	p a m ɪ̯ a t k a m i
pamätné	p a m æ t n eː
pamätnú	p a m æ t n uː
parlamentom	p a r l a m e n t ɔ m
patriace	p a t r ɪ̯ a t͡s e
pesničiek	p e s ɲ i t͡ʃ ɪ̯ e k
pijú	p i j uː
platňa	p l a t ɲ a
pleciach	p ʎ e t͡s ɪ̯ a x
plnenia	p l̩ ɲ e ɲ ɪ̯ a
poctu	p ɔ t͡s t u
podniknúť	p ɔ d ɲ i k n uː c
podobnou	p ɔ d ɔ b n ɔ v
podozrivý	p ɔ d ɔ z r i v iː
podporovaný	p ɔ t p ɔ r ɔ v a n iː
podriadených	p ɔ d r ɪ̯ a ɟ e n iː x
pokúšala	p ɔ k uː ʃ a l a
pokúšať	p ɔ k uː ʃ a c
položená	p ɔ l ɔ ʒ e n aː
pomstiť	p ɔ m s c i c
popravy	p ɔ p r a v i
porozumenia	p ɔ r ɔ z u m e ɲ ɪ̯ a
postavením	p ɔ s t a v e ɲ iː m
postupovali	p ɔ s t u p ɔ v a ʎ i
posunu	p ɔ s u n u
posádke	p ɔ s aː t k e
potlesk	p ɔ t ʎ e s k
potrubí	p ɔ t r u b iː
prameňom	p r a m e ɲ ɔ m
pravdivý	p r a v ɟ i v iː
prebiehajúce	p r e b ɪ̯ e ɦ a j uː t͡s e
prechádzke	p r e x aː t͡s k e
predchádzajúca	p r e t x aː d͡z a j uː t͡s a
prehrávanie	p r e ɦ r aː v a ɲ ɪ̯ e
prekladom	p r e k l a d ɔ m
prekvapujúco	p r e k v a p u j uː t͡s ɔ
premyslieť	p r e m i s ʎ ɪ̯ e c
prepadol	p r e p a d ɔ l
presnosti	p r e s n ɔ s c i
presunula	p r e s u n u l a
prince	p r i n t͡s e
pripravovala	p r i p r a v ɔ v a l a
prispôsobenie	p r i s p u̯ ɔ s ɔ b e ɲ ɪ̯ e
pristúpil	p r i s t uː p i l
pristúpiť	p r i s t uː p i c
profesionáli	p r ɔ f e s i ɔ n aː ʎ i
prstoch	p r̩ s t ɔ x
prudké	p r u t k eː
písaná	p iː s a n aː
pôsobilo	p u̯ ɔ s ɔ b i l ɔ
rakovinou	r a k ɔ v i n ɔ v
reagovali	r e a ɡ ɔ v a ʎ i
registrované	r e ɡ i s t r ɔ v a n eː
reportáže	r e p ɔ r t aː ʒ e
reprezentanti	r e p r e z e n t a n c i
revolučné	r e v ɔ l u t͡ʃ n eː
rockovej	r ɔ t͡s k ɔ v e j
rodinnom	r ɔ ɟ i nː ɔ m
rovnováhe	r ɔ v n ɔ v aː ɦ e
rozmanité	r ɔ z m a ɲ i t eː
ruským	r u s k iː m
rádiové	r aː ɟ i ɔ v eː
rímsko	r iː m s k ɔ
rýchlych	r iː x l i x
sadzby	s a d͡z b i
saudskej	s a u t͡s k e j
silnému	s i l n eː m u
skoky	s k ɔ k i
skúmaní	s k uː m a ɲ iː
slabých	s l a b iː x
slobodní	s l ɔ b ɔ d ɲ iː
slušná	s l u ʃ n aː
službami	s l u ʒ b a m i
smernica	s m e r ɲ i t͡s a
smrteľne	s m r̩ c e ʎ ɲ e
sociálnymi	s ɔ t͡s i aː l n i m i
sodíka	s ɔ ɟ iː k a
spa	s p a
speváci	s p e v aː t͡s i
spodného	s p ɔ d n eː ɦ ɔ
spoločenskom	s p ɔ l ɔ t͡ʃ e n s k ɔ m
spoznáte	s p ɔ z n aː c e
spočítať	s p ɔ t͡ʃ iː t a c
spracováva	s p r a t͡s ɔ v aː v a
sprava	s p r a v a
správal	s p r aː v a l
správali	s p r aː v a ʎ i
spustená	s p u s c e n aː
spávať	s p aː v a c
spätná	s p æ t n aː
spôsobilosť	s p u̯ ɔ s ɔ b i l ɔ s c
stalin	s t a ʎ i n
stavebnú	s t a v e b n uː
stiahla	s c ɪ̯ a ɦ l a
still	s c i lː
stovku	s t ɔ v k u
stánok	s t aː n ɔ k
svetovými	s v e t ɔ v iː m i
sťažuje	s c a ʒ u j e
tablet	t a b ʎ e t
tanečníci	t a ɲ e t͡ʃ ɲ iː t͡s i
tatranský	t a t r a n s k iː
