אבל	a v a l
ריטה	ʁ i t a
ריקות	ʁ i k u t
רשומות	ʁ e ʃ u m u t
רשומים	ʁ e ʃ u m i m
שבנו	ʃ a v a n u
שבתוך	ʃ a v t u χ
שהו	ʃ a h u
שלד	ʃ a l a d
שסיים	ʃ a s a j i m
שפר	ʃ a f a ʁ
שרידים	ʃ ʁ i d i m
שרית	ʃ a ʁ i t
תהנה	t a h a n a
תחמושת	t a χ m u ʃ e t
תשב	t a ʃ a v
אבטלה	a v t a l a
אדני	a d a n i
אדריכלות	a d ʁ i χ l u t
איתור	i t u ʁ
אמריקנים	a m ʁ i k a n i m
ארנון	a ʁ n o n
אשכנזים	a ʃ χ a n z i m
בגופו	b a ɡ u f u
בוז	b u z
בוטל	b o t e l
בחילה	b e χ i l a
במימון	b e m i m o n
בריאיון	b ʁ i j o n
בריצה	b ʁ i t͡s a
בתביעה	b i t b i a
גרר	ɡ a ʁ a ʁ
דיאנה	d i a n a
דנו	d a n u
דרגה	d a ʁ a ɡ a
האבל	h e e v e l
הבחינות	h i v χ i n u t
המחקרים	h i m χ a k a ʁ i m
המטפל	h i m t a p e l
המלאכים	h i m l a χ i m
המקביל	h i m k a v i l
הסכין	h i s k i n
הספרותי	h i s p a ʁ u t i
העממי	e e m e m i
העתירה	e e t i ʁ a
הפשרה	h i f ʃ a ʁ a
הצריכה	h i t͡s ʁ i χ a
הקלות	h i k l u t
הרבנית	h i ʁ b a n i t
הריבית	h a ʁ i v i t
הרץ	h a ʁ a t͡s
השמונה	h i ʃ m o n a
ויהודים	v i h u d i m
ולבן	v a l b a n
וממש	v i m m e ʃ
ומעט	v i m a t
ורע	v a ʁ a
ושמונה	v i ʃ m o n a
חיפשו	χ i p ʃ u
חנניה	χ a n a n j a
חשמלית	χ a ʃ m a l i t
חשפה	χ a ʃ p a
טרוריסטים	t ʁ o ʁ i s t i m
יוביל	j o v i l
יוסטון	j o s t o n
ימני	j a m a n i
יעדים	j a a d i m
כומר	k o m e ʁ
כחולה	k a χ u l a
כרוכה	k ʁ u χ a
לארבעה	l e a ʁ b a a
לדורות	l a d u ʁ u t
להתחשב	l e h i t χ a ʃ e v
להתייצב	l e h i t j a t͡s e v
לטבע	l i t b a
לידיה	l i d j a
ליחידה	l i χ i d a
לעצמאות	l e a t͡s m a u t
לצעירים	l i t͡s i ʁ i m
לקחנו	l i k χ a n u
לרשימה	l a ʁ ʃ i m a
לתפקד	l i t p e k e d
מדידה	m a d i d a
מדף	m a d a f
מחליפים	m a χ l i f i m
ממס	m a m a s
ממתינים	m a m t i n i m
מצר	m a t͡s a ʁ
משווה	m i ʃ v a
משמעי	m i ʃ m a i
מתחילות	m i t χ i l u t
מתמקד	m i t m a k e d
נדון	n a d o n
נכללו	n i χ l a l u
נרחבים	n i ʁ χ a v i m
נשאו	n i ʃ a u
סוהר	s o a ʁ
סותר	s o t e ʁ
סטון	s a t o n
עדנה	a d a n a
עמר	a m a ʁ
עתירה	a t i ʁ a
פג	p a ɡ
פוסטר	p o s t e ʁ
פיזור	p i z u ʁ
פינות	p i n u t
פרד	p a ʁ a d
צריכת	t͡s ʁ i χ e t
קופות	k o f u t
קלאב	k a l a v
קמו	k a m u
רכיבה	ʁ e χ i v a
שדי	ʃ a d i
שופטת	ʃ o f t e t
שירצה	ʃ i ʁ t͡s a
שרצו	ʃ a ʁ a t͡s u
תקינה	t k i n a
תקראי	t a k ʁ a j
אביבי	a v i v i
אדומות	a d u m u t
אדלר	a d l a ʁ
אוהדים	o h a d i m
אלפרד	a l p a ʁ a d
אקראי	a k ʁ a j
אריות	a ʁ j u t
באווירה	b e a v i ʁ a
בחקר	b a χ k a ʁ
בטי	b a t i
בינונית	b i n o n i t
בכירי	b e χ i ʁ i
בפילוסופיה	b e f i l o s o f j a
גולדמן	ɡ o l d a m a n
גולני	ɡ o l a n i
גלבוע	ɡ a l b u a
הבטחות	h i v t a χ u t
הבטחתי	h i v t a χ t i
הדגש	h i d ɡ e ʃ
הדרישות	h i d ʁ i ʃ u t
הורד	h o ʁ e d
הטבות	h i t b u t
המבקש	h i m b e k e ʃ
המתיחות	h i m t i χ u t
הנטייה	h i n t i j a
הנקבה	h i n k a v a
הקצרה	h i k t͡s a ʁ a
השוער	h i ʃ u a ʁ
השילוב	h i ʃ i l u v
השריפה	h i ʃ ʁ i f a
השרירים	h i ʃ ʁ i ʁ i m
התהילה	h i t h i l a
התועלת	h i t u a l e t
התשוקה	h i t ʃ u k a
התשתית	h i t ʃ a t i t
ודוד	v a d u d
וחברים	v a χ b a ʁ i m
וחמישה	v a χ m i ʃ a
זזה	z a z a
זנב	z a n a v
חגיגית	χ a ɡ i ɡ i t
חוששת	χ o ʃ e ʃ e t
חשיבותה	χ a ʃ i v u t a
יידיש	j i d i ʃ
ישובים	j e ʃ u v i m
כג	k a ɡ
להאזין	l e h a z i n
להגדלת	l e h i ɡ d e l e t
להירדם	l e h i ʁ d e m
להסתיים	l e h i s t a j i m
להתיישבות	l e h i t j a ʃ e v u t
לזיהוי	l i z j a h u j
לנבחרת	l i n b a χ a ʁ e t
לע	l a
מוערך	m o a ʁ a χ
מלאכותי	m a l a χ u t i
מלה	m a l a
מסלולי	m a s l u l i
מקלות	m a k l u t
משלושה	m i ʃ l u ʃ a
משפיעים	m i ʃ p i i m
משקפי	m i ʃ k a f i
מתגורר	m i t ɡ o ʁ e ʁ
נהנו	n a h a n u
נוקשה	n o k ʃ a
נוראה	n o ʁ a
נורמלית	n o ʁ m a l i t
נחשון	n a χ ʃ o n
נישאר	n i ʃ a ʁ
נלהב	n i l h a v
נתגלו	n i t ɡ a l u
סגנונות	s a ɡ n o n u t
סומכים	s o m χ i m
סוער	s o a ʁ
סירות	s i ʁ u t
עלולות	a l u l u t
עמרם	a m ʁ a m
פונקציה	p o n k a t͡s j a
פורסמה	p o ʁ s e m a
פלוני	p a l o n i
פנויה	p n u j a
קורת	k o ʁ e t
קיסריה	k i s ʁ i j a
קליטת	k l i t e t
קשישים	k ʃ i ʃ i m
רינה	ʁ i n a
שבאים	ʃ a v a i m
שיפוט	ʃ i p u t
שלמדתי	ʃ a l m a d t i
שמונים	ʃ a m u n i m
שתינו	ʃ a t i n u
big	b i ɡ
home	h o m e
אמורות	a m u ʁ u t
אמירת	a m i ʁ e t
אמשיך	a m ʃ i χ
בביטוי	b e v i t u j
בביקור	b e v i k o ʁ
בהתבסס	b e h i t b e s e s
בחלב	b a χ l a v
בילה	b i l a
בלק	b a l a k
בם	b a m
במירוץ	b e m i ʁ u t͡s
בקש	b a k a ʃ
בראד	b a ʁ a d
בתפילה	b i t f i l a
גונב	ɡ o n e v
גלות	ɡ a l u t
דהן	d a h a n
דייב	d a j a v
דילן	d i l e n
האמנה	h e e m a n a
הדרקון	h i d ʁ a k o n
ההודעות	h e h u d a u t
הוק	h o k
היומית	h i j u m i t
היצורים	h i t͡s u ʁ i m
המדד	h i m d e d
המדרכה	h i m d a ʁ χ a
המחיה	h i m χ i j a
המלכותי	h i m l a χ u t i
הספיקה	h i s p i k a
הצידה	h i t͡s i d a
הצעדים	h i t͡s a d i m
הקדומים	h i k d u m i m
הקיבוצית	h i k i b u t͡s i t
השיווק	h i ʃ i v e k
השפל	h i ʃ p e l
התהליכים	h i t h a l i χ i m
התובעת	h i t u b a a t
התכניות	h i t k a n j u t
ויתור	v i t u ʁ
ושלח	v i ʃ l a χ
ותו	v a t u
זיוף	z i j u f
זמינה	z a m i n a
חרוד	χ a ʁ u d
יזיק	j a z i k
ייכנס	j i χ n e s
יפול	j a f u l
ירק	j a ʁ a k
כלשהם	k a l a ʃ a m
לוועדה	l a v a d a
לוועדת	l a v a d e t
ליטל	l i t e l
לייחס	l a j a χ a s
לכנות	l i χ n u t
למוח	l a m u a χ
למין	l a m i n
לצדדים	l i t͡s d a d i m
מדווחים	m a d v a χ i m
מהרגיל	m e a ʁ ɡ i l
מזהים	m i z h i m
מצדו	m a t͡s d u
מקבילה	m a k b i l a
מרגיע	m a ʁ ɡ i a
ניצחונות	n i t͡s χ o n u t
נכתבה	n i χ t a v a
נמרוד	n i m ʁ u d
נעם	n a a m
נצליח	n i t͡s l i a χ
סיכם	s i χ e m
סלים	s a l i m
עצרה	a t͡s a ʁ a
פרדי	p a ʁ d i
פרות	p a ʁ u t
רונית	ʁ o n i t
שאוהבים	ʃ e o h a v i m
שדים	ʃ a d i m
שהתרחש	ʃ e h i t ʁ a χ e ʃ
שטות	ʃ a t u t
שיווי	ʃ i v i
שיכולתי	ʃ i χ u l t i
שמנים	ʃ a m a n i m
שנפתח	ʃ i n p a t e a χ
שרירי	ʃ ʁ i ʁ i
תתחילו	t a t χ i l u
dna	d n a
do	d o
have	h a v e
אברמוביץ	a v ʁ a m u v i t͡s
אורלינס	o ʁ l i n s
אלימים	a l i m i m
אעלה	a a l a
אתכן	a t χ a n
באין	b a i n
בוועידת	b a v i d e t
בוץ	b u t͡s
ביץ	b i t͡s
בעט	b a a t
ברצון	b a ʁ a t͡s o n
ברצועה	b a ʁ t͡s u a
גופם	ɡ o f e m
גזית	ɡ a z i t
גירושין	ɡ i ʁ u ʃ i n
גלובס	ɡ l u v a s
האווירית	h e e v i ʁ i t
הבניינים	h i v n a j a n i m
הוצג	h o t͡s e ɡ
הושלמה	h o ʃ l a m a
הותיר	h o t i ʁ
הזמינה	h i z m i n a
החזקת	h i χ z e k e t
היכולות	h i χ u l u t
הכדורים	h i χ d u ʁ i m
הכיסוי	h i χ i s u j
הלבוש	h i l b u ʃ
הממוצעת	h i m m u t͡s a a t
המשפחתית	h i m ʃ p a χ t i t
העבירות	h e e v i ʁ u t
העלות	h e e l u t
הפסל	h i f s e l
הקבצים	h i k b a t͡s i m
השגחה	h i ʃ ɡ a χ a
השדים	h i ʃ d i m
השליחים	h i ʃ l i χ i m
התקרב	h i t k a ʁ e v
התרגיל	h i t ʁ a ɡ i l
ודם	v a d a m
והיתה	v e h i t a
וודקה	v a d a k a
וילסון	v i l s o n
ורציתי	v a ʁ t͡s i t i
ורשה	v a ʁ ʃ a
חגים	χ a ɡ i m
חיתוך	χ i t u χ
חליפות	χ a l i f u t
חמות	χ a m u t
חפירות	χ a f i ʁ u t
חקלאיים	χ a k l a j i m
טונה	t o n a
ידיך	j a d i χ
יוונית	j a v a n i t
כובש	k o v e ʃ
כשני	k a ʃ a n i
לאיתור	l e i t u ʁ
לגזור	l i ɡ z o ʁ
להעניש	l e h a n i ʃ
לחמם	l a χ m a m
לירידה	l i ʁ i d a
לכתב	l i χ t e v
לעידוד	l a i d u d
לעיירה	l a a j a ʁ a
לעץ	l a a t͡s
לרוח	l a ʁ u a χ
לתנאי	l i t n a j
לתקופות	l i t k o f u t
מגעים	m a ɡ i m
מוזכר	m u z k a ʁ
מיתוס	m i t u s
מכניסים	m a χ n i s i m
מסבירים	m a s b i ʁ i m
מסים	m a s i m
מקים	m a k i m
מרשם	m a ʁ ʃ a m
משדה	m i ʃ d a
מתבקש	m i t b a k e ʃ
מתקשרים	m i t k a ʃ a ʁ i m
נחשפו	n a χ ʃ a f u
ניסינו	n i s i n u
נכדו	n i χ d u
נעימות	n e i m u t
נפגעת	n i f ɡ a a t
נקראה	n i k ʁ a
נשרף	n i ʃ ʁ e f
סודה	s o d a
סלון	s a l o n
סמדר	s a m d a ʁ
עמרי	a m ʁ i
ענקי	a n k i
עשירי	a ʃ i ʁ i
עתידה	a t i d a
פגישת	p a ɡ i ʃ e t
פגשה	p a ɡ ʃ a
צבאיות	t͡s a v a j u t
צבר	t͡s a v a ʁ
קלמן	k a l m a n
קראנו	k a ʁ a n u
ריקי	ʁ i k i
שאתן	ʃ e a t e n
שהיהודים	ʃ e h i h u d i m
שלפחות	ʃ i l p a χ u t
שמכיר	ʃ i m k i ʁ
שנפטר	ʃ i n p a t e ʁ
שעלינו	ʃ a a l i n u
תדיר	t a d i ʁ
תדעו	t a d a u
תהילה	t e h i l a
תובעת	t o v a a t
תרצי	t a ʁ a t͡s i
el	e l
get	ɡ e t
hd	h a d e
אהובי	a h u v i
אנימציה	a n i m a t͡s j a
אסר	a s a ʁ
אשמים	a ʃ m i m
בלעדית	b a l a a d i t
בנידון	b e n i d o n
בקיום	b a k j u m
בריכות	b ʁ i χ u t
גמרתי	ɡ a m a ʁ t i
האימה	h e i m a
הגאה	h i ɡ a
הגודל	h i ɡ u d e l
הגמל	h i ɡ m e l
הדלקת	h i d l e k e t
ההישג	h e h i ʃ e ɡ
הוכיחה	h o χ i χ a
הוריהם	h o ʁ j a m
הזיהוי	h i z j a h u j
הכהונה	h i χ h o n a
הכנרת	h i χ n e ʁ e t
הכשרות	h i χ ʃ a ʁ u t
הלר	h a l a ʁ
המתנדבים	h i m t a n d e v i m
העצומה	e e t͡s u m a
העשרה	e e ʃ a ʁ a
הפסדים	h i f s e d i m
הפצועים	h i f t͡s u i m
הקטעים	h i k t a i m
הרבני	h i ʁ b a n i
השביל	h i ʃ b i l
השכבות	h i ʃ k a v u t
השכנה	h i ʃ k a n a
השפות	h i ʃ p u t
השפיעו	h i ʃ p i u
התעוררה	h i t o ʁ a ʁ a
התפרסם	h i t p a ʁ s e m
וליצור	v e l i t͡s o ʁ
זוז	z u z
זריז	z a ʁ i z
חאן	χ a a n
חיקוי	χ i k u j
חמישית	χ a m i ʃ i t
חשים	χ a ʃ i m
טיפולי	t i p u l i
יוגה	j o ɡ a
ייעשה	j i a ʃ a
כיסאות	k i s a u t
לבם	l a v a m
לבעלה	l i v a l a
להסדר	l e h a s d e ʁ
להסתתר	l e h i s t a t e ʁ
להעלים	l e h a l i m
להתיישב	l e h i t j a ʃ e v
להתקין	l e h i t k i n
ליאם	l i a m
ליתן	l i t e n
לכלבים	l i χ l a v i m
לסין	l a s i n
לקיחת	l e k i χ e t
מאחל	m e a χ a l
מבלה	m a v l a
מוניות	m o n j u t
מונעים	m o n a i m
ממד	m a m a d
ממקומות	m a m k o m u t
מסמכי	m a s m a χ i
מקבלות	m a k b a l u t
מרחם	m a ʁ χ a m
מתמודדת	m i t m u d e d e t
מתעסק	m i t a s e k
נבחן	n i v χ a n
נוגה	n o ɡ a
נופים	n o f i m
נושם	n o ʃ e m
נזכרים	n i z k a ʁ i m
נמנים	n i m n i m
נספח	n i s p a χ
נפרדו	n i f ʁ a d u
סינים	s i n i m
עונים	o n i m
עיניה	i n j a
עצומים	a t͡s u m i m
פולי	p o l i
פומבית	p o m b i t
פיגועים	p i ɡ u i m
פיסת	p i s e t
פיצול	p i t͡s u l
פסטה	p a s t a
צירים	t͡s i ʁ i m
קדומה	k a d u m a
קיש	k i ʃ
קעקוע	k a a k u a
קשיי	k a ʃ a j
רכשו	ʁ a χ ʃ u
שהבן	ʃ a h a v a n
שחלקם	ʃ a χ l a k a m
שיודעים	ʃ j o d a i m
שיווקי	ʃ i v k i
שיעלה	ʃ i a l a
שיקבל	ʃ i k b e l
שיראו	ʃ i ʁ a u
שתו	ʃ a t u
תקע	t a k a
תרזה	t a ʁ z a
תשכחי	t i ʃ k a χ i
die	d i
live	l i v e
us	u s
windows	w i n d o w s
אוכלוסיה	u χ l o s j a
אוכלוסיות	u χ l o s j u t
אורית	o ʁ i t
איכותיים	i χ u t a j i m
אממ	a m a m
אמנותית	a m n u t i t
באפשרות	b e a f ʃ a ʁ u t
בידיהם	b i d j a m
ביערות	b i a ʁ u t
בכוכב	b e χ u χ e v
במוזיקה	b e m u z i k a
בעיצומה	b e i t͡s u m a
בשבתות	b i ʃ b a t u t
גנטי	ɡ a n t i
דמה	d a m a
האפשרית	h e e f ʃ a ʁ i t
הבינוני	h i b i n o n i
הגשמים	h i ɡ ʃ e m i m
הוגשה	h o ɡ ʃ a
הוכרז	h o χ ʁ e z
הול	h o l
הולי	h o l i
הוספתי	h o s p a t i
הורביץ	h o ʁ b i t͡s
הורגים	h o ʁ ɡ i m
הורגת	h o ʁ e ɡ e t
הזהיר	h i z h i ʁ
הזולת	h i z u l e t
הזקנים	h i z k a n i m
הלהיט	h i l h i t
המחברת	h i m χ a v a ʁ e t
המחנות	h i m χ a n u t
המלים	h i m l i m
המעלה	h i m a l a
המשימות	h i m ʃ i m u t
הסבא	h i s b a
העליונים	e e l j o n i m
העתיקים	h e e t i k i m
הפתח	h i f t e a χ
הצבאיים	h i t͡s b a j i m
הצלחות	h i t͡s l a χ u t
הרצף	h i ʁ t͡s e f
הרשו	h a ʁ ʃ u
השכירות	h i ʃ k i ʁ u t
השלטת	h i ʃ l a t e t
השלימה	h i ʃ l i m a
וואן	w a n
וורד	v a ʁ a d
וידוע	v i d u a
ורוח	v a ʁ u a χ
ושירותים	v e ʃ i ʁ u t i m
זהבה	z a h a v a
חולף	χ o l e f
חפצי	χ a f a t͡s i
טורים	t o ʁ i m
טילי	t i l i
טמון	t a m o n
ידידו	j a d i d u
יודה	j o d a
יומית	j o m i t
ייראה	j i ʁ a
יקנה	j a k a n a
יתברר	j i t b a ʁ e ʁ
כמיטב	k a m i t e v
לבך	l a v a χ
לברכה	l i v ʁ a χ a
לגרסה	l i ɡ ʁ a s a
להגברת	l e h i ɡ v e ʁ e t
להזדהות	l e h i z d a h u t
להישמע	l e h i ʃ m a
להשכרה	l e h i ʃ k a ʁ a
להתגורר	l e h i t ɡ o ʁ e ʁ
להתפשט	l e h i t p e ʃ e t
ליעד	l i a d
לכלכלה	l i χ l a χ l a
למבחן	l i m b a χ a n
לר	l a ʁ
לשחקנים	l i ʃ χ a k a n i m
לשמירת	l i ʃ m i ʁ e t
לתוכן	l a t u χ a n
מוס	m o s
מחזק	m a χ z a k
מלווים	m a l v i m
מסה	m a s a
משגיח	m i ʃ ɡ i a χ
משגע	m i ʃ ɡ a
מתנגדי	m i t n a ɡ a d i
נגה	n a ɡ a
נמלים	n i m l i m
סה	s a
סורי	s o ʁ i
סירה	s i ʁ a
סמלים	s a m a l i m
עיניהם	i n j a m
עלויות	a l u j u t
עמותה	a m u t a
עצבנית	a t͡s b a n i t
פוטבול	p o t b u l
פלד	p a l a d
פסים	p a s i m
פריחה	p ʁ i χ a
פריים	p a ʁ a j i m
צעצועים	t͡s a a t͡s u i m
צעקה	t͡s a a k a
קוביות	k o v j u t
קיבוצי	k i b u t͡s i
קרוז	k a ʁ u z
קשוח	k a ʃ u a χ
רוזנברג	ʁ o z a n b a ʁ a ɡ
רחם	ʁ a χ a m
שחרית	ʃ a χ ʁ i t
שיחקה	ʃ i χ k a
שישב	ʃ i ʃ e v
שליליים	ʃ l i l a j i m
שקיפות	ʃ k i f u t
שקע	ʃ a k a
שריפת	ʃ ʁ i f e t
שרץ	ʃ a ʁ a t͡s
תגלה	t a ɡ l a
תדמית	t a d m i t
תוסיף	t o s i f
תוריד	t o ʁ i d
תקראו	t a k ʁ a u
תשאלו	t i ʃ a l u
אהובתי	a h u v t i
אחותך	a χ u t e χ
אחרית	a χ ʁ i t
אכנס	a χ n a s
אלחנן	a l χ a n a n
אלמד	a l m a d
באחרונה	b e a χ ʁ o n a
בוטנים	b o t a n i m
בושם	b o ʃ e m
גורמות	ɡ o ʁ m u t
האדיר	h e e d i ʁ
האדריכל	h e e d ʁ i χ e l
האתיקה	h e e t i k a
הבלוג	h i v l u ɡ
הדרוזים	h i d ʁ u z i m
ההעברה	h e e v a ʁ a
ההשפעות	h e h i ʃ p a u t
הטעמים	h i t a m i m
המשכורת	h i m ʃ k o ʁ e t
הנגיד	h i n ɡ i d
הנהגה	h i n h a ɡ a
העדויות	e e d u j u t
העירה	e i ʁ a
העשן	e e ʃ e n
הפגנה	h i f ɡ a n a
הפקיד	h i f k i d
הצירים	h i t͡s i ʁ i m
הקונה	h a k o n a
הקרנות	h i k ʁ a n u t
הרולד	h a ʁ u l a d
השטיח	h i ʃ t i a χ
התקשרה	h i t k a ʃ a ʁ a
ויעקב	v i a k e v
וערבים	v e a ʁ b i m
זריקת	z a ʁ i k e t
חביבה	χ a v i v a
חגיגי	χ a ɡ i ɡ i
חשאי	χ a ʃ a j
טורקי	t o ʁ k i
יאמין	j e a m i n
כריתת	k ʁ i t e t
כשרון	k a ʃ ʁ o n
להיערך	l e h i a ʁ e χ
להעלאת	l e h a l a t
להתאפק	l e h i t a p e k
לידך	l i d e χ
ליפשיץ	l i p ʃ i t͡s
לכמות	l i χ m u t
לנחות	l i n χ u t
מאמצי	m e a m t͡s i
מינויו	m i n u j u
ממצאי	m a m t͡s a j
מסוק	m a s u k
מעלי	m a a l i
מקשיבה	m a k ʃ i v a
מקשיבים	m a k ʃ i v i m
מתחתנים	m i t χ a t a n i m
נדרשו	n i d ʁ a ʃ u
נורמן	n o ʁ m a n
נינה	n i n a
נקט	n a k a t
נתקע	n i t k a
סילבר	s i l b e ʁ
עדר	a d a ʁ
עירית	i ʁ i t
עליזה	a l i z a
פאן	p a a n
פגעתי	p a ɡ a t i
פקח	p a k a χ
פרקליט	p a ʁ k l i t
צהובה	t͡s a h u v a
צעקות	t͡s a a k u t
קדומות	k a d u m u t
קהילתי	k e h i l t i
קרקעית	k a ʁ k a i t
רכבי	ʁ a χ a v i
שאחרים	ʃ e a χ a ʁ i m
שבמשך	ʃ a v m a ʃ a χ
שבעלי	ʃ a v a l i
שיכון	ʃ i χ o n
שנוצרה	ʃ n u t͡s a ʁ a
שעיר	ʃ a i ʁ
תיקי	t i k i
תלויות	t a l u j u t
תמוז	t a m u z
if	i f
music	m u s i k
אמריקנית	a m ʁ i k a n i t
בגלות	b a ɡ l u t
בירידה	b i ʁ i d a
בראשם	b a ʁ a ʃ e m
בשערי	b i ʃ a ʁ i
גישות	ɡ i ʃ u t
האוטובוסים	h e o t o v o s i m
האמבטיה	h e e m b a t j a
הבנאדם	h i v n a d e m
הדוגמאות	h i d u ɡ m a u t
הזירה	h i z i ʁ a
הזמני	h i z m a n i
הימי	h i m i
הישנות	h i ʃ n u t
הלפרין	h i l p a ʁ i n
המהות	h i m h u t
הנגיף	h i n ɡ i f
הנובעת	h i n u v a a t
הנשיאות	h i n ʃ i u t
הסתה	h i s t a
הפכת	h i f χ e t
הפלוגה	h i f l u ɡ a
הקבועה	h i k b u a
הרגישה	h i ʁ ɡ i ʃ a
השבעה	h i ʃ b a a
השגרירות	h i ʃ ɡ ʁ i ʁ u t
השדות	h i ʃ d u t
השוואת	h i ʃ v a t
השחקנית	h i ʃ χ a k a n i t
השמדת	h i ʃ m e d e t
השתיקה	h i ʃ t i k a
התבוננות	h i t b o n a n u t
התרחשה	h i t ʁ a χ ʃ a
וא	v a
ואיני	v e i n i
והחיים	v e h a j i m
וינה	v i n a
ועידה	v e i d a
זאבי	z e e v i
חומוס	χ o m o s
חיכה	χ i χ a
חתנו	χ a t a n u
טומאה	t o m a
טיפוח	t i p u a χ
כישורים	k i ʃ u ʁ i m
להציץ	l e h a t͡s i t͡s
לובשים	l o v ʃ i m
לחשוד	l a χ ʃ u d
ללדת	l a l a d e t
לצוד	l a t͡s u d
לצעוד	l i t͡s o d
מורן	m o ʁ a n
מיטות	m i t u t
מלים	m a l i m
ממלאים	m a m l a j i m
מקבילים	m a k b i l i m
נלסון	n i l s o n
נמשכים	n i m ʃ a χ i m
סדיר	s a d i ʁ
סוחרי	s o χ a ʁ i
סירבו	s i ʁ b u
עבודתי	a v u d a t i
עישון	i ʃ o n
צוותים	t͡s a v a t i m
קומדיה	k o m a d j a
קלטתי	k a l t a t i
רגישה	ʁ a ɡ i ʃ a
רובים	ʁ o v i m
ריפוי	ʁ i p u j
רכות	ʁ a χ u t
שגרירות	ʃ a ɡ ʁ i ʁ u t
שיאים	ʃ i i m
שירד	ʃ i ʁ e d
שנותנים	ʃ n u t a n i m
ששמע	ʃ i ʃ m a
ששר	ʃ a ʃ a ʁ
שתוק	ʃ a t u k
תובנות	t o v a n u t
תיכונית	t i χ o n i t
תסביר	t a s b i ʁ
not	n o t
אגוזים	a ɡ u z i m
אדריכלים	a d ʁ i χ l i m
אלהיך	a l h i χ
אלמנט	a l m a n t
אמנותי	a m n u t i
ארט	a ʁ a t
בדירוג	b e d i ʁ u ɡ
בחלקם	b a χ l a k a m
ביה	b i j a
בימיו	b i m j u
בעייה	b a i j a
בפ	b a f
בצו	b a t͡s u
ברמן	b a ʁ m a n
בשורת	b e ʃ u ʁ e t
בשלל	b i ʃ l e l
געגועים	ɡ a a ɡ u i m
געש	ɡ a a ʃ
דמעה	d i m a
האיזון	h e i z o n
האכילה	h e e χ i l a
הבור	h a v u ʁ
הזוכים	h i z u χ i m
היחסי	h i χ s i
היתרונות	h i t ʁ o n u t
המגילה	h i m ɡ i l a
המעט	h i m a t
המעטה	h i m a t a
המעסיק	h i m a s i k
הסברתי	h i s b a ʁ t i
הסטטוס	h i s t a t o s
הספינות	h i s p i n u t
הפלאפון	h i f l a f o n
הפלישה	h i f l i ʃ a
הצהוב	h i t͡s h o v
הצנחנים	h i t͡s n a χ a n i m
הקבע	h i k b a
השרה	h i ʃ ʁ a
התומכים	h i t u m k i m
התכוונו	h i t k a v a n u
התקרה	h i t k a ʁ a
חושפת	χ o ʃ e f e t
חזי	χ a z i
חפשי	χ a f ʃ i
יבחר	j i v χ a ʁ
ידידיה	j a d i d j a
ינצח	j a n t͡s a χ
ישיג	j e ʃ i ɡ
ישפיע	j e ʃ p i a
כלבי	k a l a v i
כריסטינה	k ʁ i s t i n a
לותר	l o t e ʁ
לסרטים	l i s ʁ a t i m
לעיתון	l a i t o n
לתחילת	l i t χ i l e t
לתלמידי	l i t l a m i d i
מגי	m a ɡ i
מימיו	m i m j u
מינו	m i n u
ניתנות	n i t a n u t
נמנעת	n i m n a a t
נתמנה	n i t m a n a
סוני	s o n i
סימפסון	s i m p a s o n
עתידי	a t i d i
פאק	p a a k
פיתחה	p i t χ a
פלוגה	p l u ɡ a
פרצופים	p a ʁ t͡s o f i m
צה	t͡s a
צווי	t͡s a v i
קולין	k o l i n
קומץ	k o m e t͡s
קרבי	k a ʁ b i
רובו	ʁ o v o
רייס	ʁ a j a s
שבעיר	ʃ a v i ʁ
שחבר	ʃ a χ b a ʁ
שידורי	ʃ i d u ʁ i
שיושב	ʃ i j u ʃ e v
שכירות	ʃ χ i ʁ u t
שמוליק	ʃ m u l i k
שמורה	ʃ a m u ʁ a
שמחזיק	ʃ i m χ a z i k
שפורסמו	ʃ p o ʁ s e m o
שתדעו	ʃ i t d a u
תוחלת	t o χ e l e t
תיפול	t i p u l
תמי	t a m i
תנסו	t a n s u
תפוס	t a f u s
תקלות	t a k l u t
תרבותיים	t a ʁ b u t a j i m
תשרי	t i ʃ ʁ i
תתחילי	t a t χ i l i
tel	t e l
was	w a s
אורגני	o ʁ ɡ a n i
אמיצה	a m i t͡s a
אנטוניו	a n t o n j u
אפשריות	a f ʃ a ʁ j u t
אקבל	a k b a l
בידך	b i d e χ
בילד	b i l e d
בלבוש	b a l b u ʃ
בלונדינית	b l o n d i n i t
בענן	b a a n a n
בעצמנו	b a a t͡s m a n u
ברגליים	b a ʁ ɡ a l a j i m
ברעיון	b a ʁ a j o n
בשיער	b e ʃ i a ʁ
גומר	ɡ o m e ʁ
דוחף	d o χ e f
דוכן	d o χ a n
דלה	d a l a
הוה	h o v a
הוקרה	h o k a ʁ a
היפני	h i p a n i
היתומים	h i t u m i m
הלנה	h a l a n a
המשרדים	h i m ʃ a ʁ d i m
המתחרים	h i m t a χ a ʁ i m
הנדון	h i n d o n
הנדרשים	h i n d a ʁ ʃ i m
הנהיגה	h i n h i ɡ a
הנו	h a n u
הנציגים	h i n t͡s i ɡ i m
הסדרות	h i s d a ʁ u t
התקופות	h i t k o f u t
וינסנט	v i n s a n t
ויצירת	v i t͡s i ʁ e t
ויצר	v i t͡s e ʁ
ויקי	v i k i
וכותב	v e χ u t e v
זרקו	z a ʁ a k o
חפש	χ a f a ʃ
