de	d e
genişletilmiş	ɟ e n i ʃ l e t i l m i ʃ
getirsin	ɟ e t i ɾ s i n
gitsek	ɟ i t s e c
gönderdik	ɟ ø n d e ɾ d i c
görüşüyorum	ɟ ø ɾ y ʃ y j o ɾ u m
gözaltında	ɟ ø z a ɫ t ɯ n d a
göğe	ɟ ø e
gültekin	ɟ y l t e c i n
habertürk	h a b e ɾ t y ɾ c
hapisten	h a p i s t ɛ n
harekatı	h a ɾ e k a t ɯ
harikalar	h a ɾ i k a l a ɾ
harikaydı	h a ɾ i k a j d ɯ
hastaneden	h a s t a n e d e n
hastanenin	h a s t a n e n i n
havalar	h a v a l a ɾ
havalimanında	h a v a l i m a n ɯ n d a
hazırda	h a z ɯ ɾ d a
hazırlama	h a z ɯ ɾ ɫ a m a
hiçbirini	h i t͡ʃ b i ɾ i n i
hudson	h u d s o n
ibret	i b ɾ e t
inancım	i n a n d͡ʒ ɯ m
iplik	i p l i c
isimlerle	i s i m l e ɾ l e
istatistiksel	i s t a t i s t i c s e l
istedin	i s t e d i n
iyileştirmek	i j i l e ʃ t i ɾ m e c
içeriden	i t͡ʃ e ɾ i d e n
kaldıracak	k a ɫ d ɯ ɾ a d͡ʒ a k
kapısının	k a p ɯ s ɯ n ɯ n
kardeşimi	k a ɾ d e ʃ i m i
kazandığını	k a z a n d ɯ ɯ n ɯ
kazanmanın	k a z a n m a n ɯ n
kestim	c e s t i m
konuşmada	k o n u ʃ m a d a
korumalı	k o ɾ u m a ɫ ɯ
koçu	k o t͡ʃ u
kullanıldığında	k u ɫ ɫ a n ɯ ɫ d ɯ ɯ n d a
kurak	k u ɾ a k
kurtulur	k u ɾ t u ɫ u ɾ
kısmından	k ɯ s m ɯ n d a n
lahana	l a h a n a
len	l e n
leziz	l e z i z
macar	m a d͡ʒ a ɾ
mad	m a d
maddesine	m a d d e s i n e
maggie	m a ɟ ɟ i
manço	m a n t͡ʃ o
maurice	m a u ɾ i d͡ʒ e
meleği	m e l e i
mesafesi	m e s aː f e s iː
meyvesi	m e j v e s i
mutluluğun	m u t ɫ u ɫ u u n
müdürlüğüne	m y d y ɾ l y j y n e
müzede	m y z e d e
nike	n i c e
olaylarda	o ɫ a j ɫ a ɾ d a
olmanıza	o ɫ m a n ɯ z a
olucak	o ɫ u d͡ʒ a k
oluştuğunu	o ɫ u ʃ t u u n u
orkestrası	o ɾ c e s t ɾ a s ɯ
panda	p a n d a
parmağını	p a ɾ m a ɯ n ɯ
parçanın	p a ɾ t͡ʃ a n ɯ n
peşini	p e ʃ i n i
planlanmış	p ɫ a n ɫ a n m ɯ ʃ
po	p o
rahatlatıcı	ɾ a h a t ɫ a t ɯ d͡ʒ ɯ
rejiminin	ɾ e ʒ i m i n i n
retro	ɾ e t ɾ o
robinson	ɾ o b i n s o n
saka	s a k a
saniyelik	s aː n i j e l i c
sağladık	s aː ɫ a d ɯ k
seneki	s e n e c i
sesinin	s e s i n i n
sevmiştim	s e v m i ʃ t i m
seyyar	s e j j a ɾ
sisteminden	s i s t e m i n d e n
sivilce	s i v i l d͡ʒ e
siyasetçiler	s i j aː s e t t͡ʃ i l e ɾ
soruna	s o ɾ u n a
söylemiştim	s ø j l e m i ʃ t i m
söylüyordu	s ø j l y j o ɾ d u
süresini	s y ɾ e s i n i
sütlü	s y t l y
sıfatıyla	s ɯ f a t ɯ j ɫ a
sıralaması	s ɯ ɾ a ɫ a m a s ɯ
tamamlanması	t a m a m ɫ a n m a s ɯ
tankı	t a n k ɯ
taraflar	t a ɾ a f l a ɾ
teftiş	t e f t i ʃ
temsilciliği	t e m s i l d͡ʒ i l i j ɪ
tepkisini	t e p c i s i n i
testere	t e s t e ɾ e
there	t e ɾ e
titiz	t i t i z
tohumu	t o h u m u
trafikte	t ɾ a f i c t e
turunda	t u ɾ u n d a
tüik	t y i c
tümünü	t y m y n y
türbesi	t y ɾ b e s i
türkçeye	t y ɾ c t͡ʃ e j e
türküler	t y ɾ c y l æ ɾ
türünden	t y ɾ y n d e n
türünü	t y ɾ y n y
umudunu	u m u d u n u
utangaç	u t a n ɡ a t͡ʃ
uyandıran	u j a n d ɯ ɾ a n
uyanın	u j a n ɯ n
uykuda	u j k u d a
varlığından	v a ɾ ɫ ɯ ɯ n d a n
vermesine	v e ɾ m e s i n e
versen	v e ɾ s e n
viktor	v i c t o ɾ
vol	v o ɫ
yahudilerin	j a h u d i l e ɾ i n
yalanı	j a ɫ a n ɯ
yapsınlar	j a p s ɯ n l a ɾ
yapılıp	j a p ɯ ɫ ɯ p
yardımcımız	j a ɾ d ɯ m d͡ʒ ɯ m ɯ z
yatsın	j a t s ɯ n
yazdığını	j a z d ɯ ɯ n ɯ
yaşamaktan	j a ʃ a m a k t a n
yaşım	j a ʃ ɯ m
yaşıma	j a ʃ ɯ m a
yetkin	j e t c i n
yollarına	j o ɫ ɫ a ɾ ɯ n a
ysk	j s k
yüzen	j y z e n
yıllığına	j ɯ ɫ ɫ ɯ ɯ n a
zorluyor	z o ɾ ɫ u j o ɾ
çalışalım	t͡ʃ a ɫ ɯ ʃ a ɫ ɯ m
çalışılan	t͡ʃ a ɫ ɯ ʃ ɯ ɫ a n
çekerim	t͡ʃ e c e ɾ i m
çözme	t͡ʃ ø z m e
çıkacaktır	t͡ʃ ɯ k a d͡ʒ a k t ɯ ɾ
çıkartma	t͡ʃ ɯ k a ɾ t m a
ölmez	ø l m e z
ölmüştür	ø l m y ʃ t y ɾ
öğrencilerimiz	øː ɾ e n d͡ʒ i l e ɾ i m i z
öğrenimini	øː ɾ e n i m i n i
şekerleme	ʃ e c e ɾ l e m e
şeklidir	ʃ e c l i d i ɾ
şeridi	ʃ e ɾ i d i
şeytana	ʃ e j t a n a
şifreleme	ʃ i f ɾ e l e m e
adamda	a d a m d a
adrese	a d ɾ e s e
adımını	a d ɯ m ɯ n ɯ
afrikalı	a f ɾ i k a ɫ ɯ
akgün	a k ɟ y n
alabilecek	a ɫ a b i l e d͡ʒ e c
aldırma	a ɫ d ɯ ɾ m a
alemdar	a l e m d a ɾ
almamız	a ɫ m a m ɯ z
alsa	a ɫ s a
alçı	a ɫ t͡ʃ ɯ
alışılmadık	a ɫ ɯ ʃ ɯ ɫ m a d ɯ k
anayasası	a n a j a s a s ɯ
anlamadığım	a n ɫ a m a d ɯ ɯ m
anlaşılabilir	a n ɫ a ʃ ɯ ɫ a b i l i ɾ
anlıyorsun	a n ɫ ɯ j o ɾ s u n
araması	a ɾ a m a s ɯ
arenada	a ɾ e n a d a
arkadaki	a ɾ k a d a c i
arkadaşımı	a ɾ k a d a ʃ ɯ m ɯ
arnold	a ɾ n o ɫ d
ateşleme	a t e ʃ l e m e
audi	a u d i
aşina	a ʃ i n aː
aşçı	a ʃ t͡ʃ ɯ
babadan	b a b a d a n
barosu	b a ɾ o s u
basa	b a s a
bekliyordum	b e c l i j o ɾ d u m
bekçi	b e c t͡ʃ i
benimsin	b e n i m s i n
benz	b ɛ n z
bulana	b u ɫ a n a
bulunuyoruz	b u ɫ u n u j o ɾ u z
bursu	b u ɾ s u
bütçesi	b y t t͡ʃ e s i
büyümeye	b y j y m e j e
carmen	d͡ʒ a ɾ m e n
cebinden	d͡ʒ e b i n d e n
cihad	d͡ʒ i h a d
cinayetleri	d͡ʒ i n aː j e t l e ɾ i
cümleyi	d͡ʒ y m l e j i
darbeye	d a ɾ b e j e
demişler	d e m i ʃ l e ɾ
demiştin	d e m i ʃ t i n
dergilerde	d e ɾ ɟ i l e ɾ d e
dersem	d e ɾ s e m
detayı	d e t a j ɯ
değiştiriyor	d e i ʃ t i ɾ i j o ɾ
diledi	d i l e d i
dimdik	d i m d i c
dinden	d i n d e n
dokunmayın	d o k u n m a j ɯ n
dolaşım	d o ɫ a ʃ ɯ m
doğruladı	d oː ɾ u ɫ a d ɯ
doğumu	d o u m u
duyduğumuz	d u j d u u m u z
duyurusunda	d u j u ɾ u s u n d a
düzenini	d y z e n i n i
düşündük	d y ʃ y n d y c
düşürme	d y ʃ y ɾ m e
edit	e d i t
ekleme	e c l e m e
elemanlar	e l e m a n l a ɾ
ermiş	e ɾ m i ʃ
eroin	e ɾ o i n
etkisinde	e t c i s i n d e
farkın	f a ɾ k ɯ n
filtre	f i l t ɾ e
firmalar	f i ɾ m a l a ɾ
futbolcuların	f u t b o ɫ d͡ʒ u ɫ a ɾ ɯ n
fırında	f ɯ ɾ ɯ n d a
geliriz	ɟ e l i ɾ i z
gelirleri	ɟ e l i ɾ l e ɾ i
gelişimine	ɟ e l i ʃ i m i n e
gelmesin	ɟ e l m e s i n
gemisinin	ɟ e m i s i n i n
geneli	ɟ e n e l i
geçirmesi	ɟ e t͡ʃ i ɾ m e s i
giderdi	ɟ i d e ɾ d i
gil	ɟ i l
giyecek	ɟ i j e d͡ʒ e c
giyme	ɟ i j m e
görse	ɟ ø ɾ s e
görüşe	ɟ ø ɾ y ʃ e
görüşüne	ɟ ø ɾ y ʃ y n e
görüşüyor	ɟ ø ɾ y ʃ y j o ɾ
gösterime	ɟ ø s t e ɾ i m e
gözüken	ɟ ø z y c e n
günümde	ɟ y n y m d e
güçle	ɟ y t͡ʃ l e
hababam	h a b a b a m
hapı	h a p ɯ
hastalıktır	h a s t a ɫ ɯ k t ɯ ɾ
hastalığının	h a s t a ɫ ɯ ɯ n ɯ n
hayranım	h a j ɾ a n ɯ m
heba	h e b aː
helikopteri	h e l i k ɔ p t e ɾ i
hm	h ɛ m
hope	h o p e
hot	h o t
hurda	h u ɾ d a
ilişkilerde	i l i ʃ c i l e ɾ d e
imparatoru	i m p a ɾ a t o ɾ u
insanlardır	i n s a n ɫ a ɾ d ɯ ɾ
istanbulda	i s t a n b u ɫ d a
istemektedir	i s t e m e c t e d i ɾ
istemişti	i s t e m i ʃ t i
japonlar	ʒ a p o n l a ɾ
kabiliyeti	k a b i l i j e t i
kahvaltısı	k a h v a ɫ t ɯ s ɯ
kalktım	k a ɫ k t ɯ m
kapanır	k a p a n ɯ ɾ
karagöz	k a ɾ a ɟ ø z
karakterlerin	k a ɾ a k t e ɾ l e ɾ i n
karşılaştım	k a ɾ ʃ ɯ ɫ a ʃ t ɯ m
kazaları	k a z a ɫ a ɾ ɯ
kediyi	c e d i j i
kendisidir	c e n d i s i d i ɾ
kertenkele	c e ɾ t e n c e l e
kesilmesi	c e s i l m e s i
kimsiniz	c i m s i n i z
kitaplarda	c i t a p l a ɾ d a
komşusu	k o m ʃ u s u
konağı	k o n a ɯ
koro	k o ɾ o
korudu	k o ɾ u d u
kurtarıldı	k u ɾ t a ɾ ɯ ɫ d ɯ
kurultay	k u ɾ u ɫ t a j
kuşun	k u ʃ u n
kökten	c ø c t e n
kölelik	c ø l e l i c
kürk	c y ɾ c
kırgızistan	k ɯ ɾ ɡ ɯ z i s t a n
kışı	k ɯ ʃ ɯ
last	l a s t
liam	l i a m
limiti	l i m i t i
luther	l u t h ɛ ɾ
madison	m a d i s o n
manhattan	m a n h a t t a n
memleketin	m e m l e c e t i n
mesafeden	m e s aː f e d e n
misafirler	m i s aː f i ɾ l e ɾ
motivasyon	m o t i v a s j ɔ n
nano	n a n o
norm	n o ɾ m
olayının	o ɫ a j ɯ n ɯ n
oluşturulmuştur	o ɫ u ʃ t u ɾ u ɫ m u ʃ t u ɾ
ortasından	o ɾ t a s ɯ n d a n
oynaması	o j n a m a s ɯ
oynanır	o j n a n ɯ ɾ
pascal	p a s d͡ʒ a ɫ
pisti	p i s t i
planına	p ɫ a n ɯ n a
referandumu	ɾ e f e ɾ a n d u m u
reklamları	ɾ e c l a m l a ɾ ɯ
rekorları	ɾ e k o ɾ ɫ a ɾ ɯ
reşat	ɾ e ʃ a t
rita	ɾ i t aː
sanmıştım	s a n m ɯ ʃ t ɯ m
satılıyor	s a t ɯ ɫ ɯ j o ɾ
sayıdaki	s a j ɯ d a c i
sesim	s e s i m
sezai	s e z aː iː
sezonunu	s e z o n u n u
seçimin	s e t͡ʃ i m i n
seçmeli	s e t͡ʃ m e l i
siki	s i c i
sistemle	s i s t e m l e
solar	s o ɫ a ɾ
sondaj	s o n d a ʒ
sonucudur	s o n u d͡ʒ u d u ɾ
stark	s t a ɾ k
süregelen	s y ɾ e ɟ e l e n
sürmüş	s y ɾ m y ʃ
sıkıntıya	s ɯ k ɯ n t ɯ j a
talat	t a ɫ a t
tamamında	t a m a m ɯ n d a
tanıştığı	t a n ɯ ʃ t ɯ ɯ
taraması	t a ɾ a m a s ɯ
tarıma	t a ɾ ɯ m a
tatlıses	t a t ɫ ɯ s e s
taşımacılığı	t a ʃ ɯ m a d͡ʒ ɯ ɫ ɯ ɯ
tepede	t e p e d e
texas	t e k s a s
toplantısını	t o p ɫ a n t ɯ s ɯ n ɯ
tuzağa	t u z aː
ucunu	u d͡ʒ u n u
ulaşılabilir	u ɫ a ʃ ɯ ɫ a b i l i ɾ
unuttu	u n u t t u
vatandaşlarının	v a t a n d a ʃ ɫ a ɾ ɯ n ɯ n
veliaht	v e l i a h t
vermeniz	v e ɾ m e n i z
vermiştim	v e ɾ m i ʃ t i m
viski	v i s c i
yakacak	j a k a d͡ʒ a k
yapamadım	j a p a m a d ɯ m
yaptıklarının	j a p t ɯ k ɫ a ɾ ɯ n ɯ n
yargılanan	j a ɾ ɡ ɯ ɫ a n a n
yatağın	j a t a ɯ n
yazıda	j a z ɯ d a
yazının	j a z ɯ n ɯ n
yaşanabilir	j a ʃ a n a b i l i ɾ
yaşayın	j a ʃ a j ɯ n
yaştan	j a ʃ t a n
yeditepe	j e d i t e p e
yenir	j e n i ɾ
yersiz	j e ɾ s i z
yeryüzünün	j e ɾ j y z y n y n
yiyerek	j i j e ɾ e c
yunanca	j u n a n d͡ʒ a
yürütmek	j y ɾ y t m e c
yığın	j ɯ ɯ n
zirvesinde	z i ɾ v e s i n d e
zordu	z o ɾ d u
çektiğini	t͡ʃ e c t i i n i
çıkarttı	t͡ʃ ɯ k a ɾ t t ɯ
çıkışını	t͡ʃ ɯ k ɯ ʃ ɯ n ɯ
öldürmeyi	ø l d y ɾ m e j i
öldürüldüğünü	ø l d y ɾ y l d y j y n y
ölçekte	ø l t͡ʃ e c t e
özlüyor	ø z l y j o ɾ
öğreniyorum	øː ɾ e n i j o ɾ u m
üncü	y n d͡ʒ y
şampuan	ʃ a m p u a n
şebeke	ʃ e b e c e
abraham	a b ɾ a h a m
abu	a b u
adamlarına	a d a m ɫ a ɾ ɯ n a
adobe	a d o b e
aileyiz	a i l e j i z
aklınızda	a k ɫ ɯ n ɯ z d a
akışına	a k ɯ ʃ ɯ n a
alpay	a ɫ p a j
alındığını	a ɫ ɯ n d ɯ ɯ n ɯ
analog	a n a l o ɡ
anka	a n k a
anlaşmalar	a n ɫ a ʃ m a l a ɾ
arasinda	a ɾ a s i n d a
artacak	a ɾ t a d͡ʒ a k
artmaktadır	a ɾ t m a k t a d ɯ ɾ
arttırır	a ɾ t t ɯ ɾ ɯ ɾ
atmıştır	a t m ɯ ʃ t ɯ ɾ
ayaklarına	a j a k ɫ a ɾ ɯ n a
ayağım	a j a ɯ m
açıkladığı	a t͡ʃ ɯ k ɫ a d ɯ ɯ
barışa	b a ɾ ɯ ʃ a
bayanın	b a j a n ɯ n
bağlayıp	b aː ɫ a j ɯ p
biliyorduk	b i l i j o ɾ d u k
birikmiş	b i ɾ i c m i ʃ
bitirdik	b i t i ɾ d i c
borçluyuz	b o ɾ t͡ʃ ɫ u j u z
bostancı	b o s t a n d͡ʒ ɯ
bozulması	b o z u ɫ m a s ɯ
br	b ɯ ɾ
bulmaca	b u ɫ m a d͡ʒ a
bulunma	b u ɫ u n m a
böcekleri	b ø d͡ʒ e c l e ɾ i
büyüyünce	b y j y j y n d͡ʒ e
bı	b ɯ
canınız	d͡ʒ a n ɯ n ɯ z
cumhurbaşkanımızın	d͡ʒ u m h u ɾ b a ʃ k a n ɯ m ɯ z ɯ n
danışmanları	d a n ɯ ʃ m a n l a ɾ ɯ
dağıldı	d a ɯ ɫ d ɯ
dee	d e e
deneyi	d e n e j i
dengesini	d e n ɟ e s i n i
denince	d e n i n d͡ʒ e
derslere	d e ɾ s l e ɾ e
devrinde	d e v ɾ i n d e
değişmeyen	d e i ʃ m e j e n
diane	d i aː n e
dinlerken	d i n l e ɾ c e n
dinleyip	d i n l e j i p
dokunur	d o k u n u ɾ
dolan	d o ɫ a n
doğuyor	d o u j o ɾ
duncan	d u n d͡ʒ a n
durgun	d u ɾ ɡ u n
durumum	d u ɾ u m u m
duygularımı	d u j ɡ u ɫ a ɾ ɯ m ɯ
duyurmak	d u j u ɾ m a k
duyurulur	d u j u ɾ u ɫ u ɾ
dördü	d ø ɾ d y
eczacılık	e d͡ʒ z a d͡ʒ ɯ ɫ ɯ k
edemezsin	e d e m e z s i n
edenleri	e d e n l e ɾ i
edilmesinin	e d i l m e s i n i n
ekibe	e c i b e
erbil	e ɾ b i l
esed	e s e d
evimize	e v i m i z e
evlerini	e v l e ɾ i n i
feragat	f e ɾ a ɡ a t
ferrari	f e ɾ ɾ a ɾ i
filmine	f i l m i n e
firmaları	f i ɾ m a l a ɾ ɯ
fosil	f o s i l
futbolda	f u t b o ɫ d a
gazetecileri	ɡ a z e t e d͡ʒ i l e ɾ i
gazeteye	ɡ a z e t e j e
gerekenleri	ɟ e ɾ e c e n l e ɾ i
getirmektedir	ɟ e t i ɾ m e c t e d i ɾ
gezerken	ɟ e z e ɾ c e n
geziyor	ɟ e z i j o ɾ
geçirdiler	ɟ e t͡ʃ i ɾ d i l e ɾ
geçtiğinde	ɟ e t͡ʃ t i i n d e
gidilir	ɟ i d i l i ɾ
gomez	ɡ o m e z
grevi	ɡ ɾ e v iː
gönderip	ɟ ø n d e ɾ i p
göstergesidir	ɟ ø s t e ɾ ɟ e s i d i ɾ
gösteriş	ɟ ø s t e ɾ i ʃ
güller	ɟ y l l e ɾ
güveniyor	ɟ y v e n i j o ɾ
hakkından	h a k k ɯ n d a n
hamilton	h a m i l t o n
hapishanede	h a p i s h aː n e d e
haritalar	h a ɾ i t a l a ɾ
hatunu	h a t u n u
hazırlamış	h a z ɯ ɾ ɫ a m ɯ ʃ
hazırlayıp	h a z ɯ ɾ ɫ a j ɯ p
hikâyeler	h i c aː j e l e ɾ
hukukçu	h u k u k t͡ʃ u
hırsızlığı	h ɯ ɾ s ɯ z ɫ ɯ ɯ
ilgiyi	i l ɟ i j ɪ
illere	i l l e ɾ e
incelemeler	i n d͡ʒ e l e m e l e ɾ
incelemeye	i n d͡ʒ e l e m e j e
isabetli	i s aː b e t l i
iskoç	i s k o t͡ʃ
izlenir	i z l e n i ɾ
içimizden	i t͡ʃ i m i z d e n
işidir	i ʃ i d i ɾ
jedi	ʒ e d i
joey	ʒ o e j
jonas	ʒ o n a s
juliet	ʒ u l i e t
kabin	k a b i n
kadin	k a d i n
kalmaktadır	k a ɫ m a k t a d ɯ ɾ
kampında	k a m p ɯ n d a
kapanmıştır	k a p a n m ɯ ʃ t ɯ ɾ
kaplayan	k a p ɫ a j a n
karakol	k a ɾ a k o ɫ
karşına	k a ɾ ʃ ɯ n a
katılımcıların	k a t ɯ ɫ ɯ m d͡ʒ ɯ ɫ a ɾ ɯ n
kenarları	c e n a ɾ ɫ a ɾ ɯ
kenny	c e n n j
kesiyor	c e s i j o ɾ
kiev	c i e v
kişilerde	c i ʃ i l e ɾ d e
klima	c l i m aː
komando	k o m a n d o
konudan	k o n u d a n
korkmuyorum	k o ɾ k m u j o ɾ u m
kurs	k u ɾ s
kutuları	k u t u ɫ a ɾ ɯ
kuzeyindeki	k u z e j i n d e c i
köprüden	c ø p ɾ y d e n
ları	l a ɾ ɯ
liseyi	l i s e j i
logan	l o ɡ a n
mabel	m a b e l
makinenin	m a c i n e n i n
mesajın	m e s a ʒ ɯ n
meselesini	m e s e l e s i n i
milletine	m i l l e t i n e
mütevazi	m y t e v aː z iː
nas	n a s
neşet	n e ʃ e t
nişanlısı	n i ʃ a n ɫ ɯ s ɯ
numaramı	n u m a ɾ a m ɯ
odayı	o d a j ɯ
okulunu	o k u ɫ u n u
olmasıydı	o ɫ m a s ɯ j d ɯ
olmuşlardır	o ɫ m u ʃ ɫ a ɾ d ɯ ɾ
olsaydık	o ɫ s a j d ɯ k
oluşumunu	o ɫ u ʃ u m u n u
omuza	o m u z a
onaylı	o n a j ɫ ɯ
onuru	o n u ɾ u
operasyona	o p e ɾ a s j o n a
ordudan	o ɾ d u d a n
ormanın	o ɾ m a n ɯ n
oynayın	o j n a j ɯ n
paramı	p a ɾ a m ɯ
pi	p i
pişirme	p i ʃ i ɾ m e
planının	p ɫ a n ɯ n ɯ n
pornosu	p o ɾ n o s u
rakipleri	ɾ a c i p l e ɾ i
rakı	ɾ a k ɯ
rasyonel	ɾ a s j ɔ n ɛ l
rengine	ɾ e n ɟ i n e
rex	ɾ e c
ruby	ɾ u b j
sahipsiz	s aː h i p s i z
sakatlığı	s a k a t ɫ ɯ ɯ
saklama	s a k ɫ a m a
sally	s a ɫ l j
sandığa	s a n d ɯ a
savunuyor	s a v u n u j o ɾ
sayfasına	s a j f a s ɯ n a
sayfaya	s a j f a j a
sayılabilecek	s a j ɯ ɫ a b i l e d͡ʒ e c
sergileyen	s e ɾ ɟ i l e j e n
sihir	s i h i ɾ
sinin	s i n i n
sistemdir	s i s t e m d i ɾ
sistemlerine	s i s t e m l e ɾ i n e
skoru	s k o ɾ u
sokaktan	s o k a k t a n
sonbaharda	s o n b a h a ɾ d a
sorup	s o ɾ u p
sorusunun	s o ɾ u s u n u n
soğuktan	s o u k t a n
stoper	s t o p ɛ ɾ
sularda	s u ɫ a ɾ d a
suçlamasıyla	s u t͡ʃ ɫ a m a s ɯ j ɫ a
söylemiyorum	s ø j l e m i j o ɾ u m
sözcü	s ø z d͡ʒ y
süsü	s y s y
sınavını	s ɯ n a v ɯ n ɯ
sırasına	s ɯ ɾ a s ɯ n a
sırtından	s ɯ ɾ t ɯ n d a n
tabakası	t a b a k a s ɯ
takı	t a k ɯ
tanımaya	t a n ɯ m a j a
tanımlayan	t a n ɯ m ɫ a j a n
tapu	t a p u
tebliğ	t e b l iː
tesbih	t e s b i h
they	t e j
tipine	t i p i n e
topluluğun	t o p ɫ u ɫ u u n
toplumunun	t o p ɫ u m u n u n
türkeş	t y ɾ c e ʃ
umuduyla	u m u d u j ɫ a
unutmamak	u n u t m a m a k
uzaklıktadır	u z a k ɫ ɯ k t a d ɯ ɾ
uğraşıyorum	uː ɾ a ʃ ɯ j o ɾ u m
vadede	v aː d e d e
veremiyorum	v e ɾ e m i j o ɾ u m
way	w a j
yakalayıp	j a k a ɫ a j ɯ p
yanlarına	j a n ɫ a ɾ ɯ n a
yapacağımı	j a p a d͡ʒ a ɯ m ɯ
yapamazsın	j a p a m a z s ɯ n
yapmadığı	j a p m a d ɯ ɯ
yapımcılığını	j a p ɯ m d͡ʒ ɯ ɫ ɯ ɯ n ɯ
yaradı	j a ɾ a d ɯ
yayılması	j a j ɯ ɫ m a s ɯ
yayımladığı	j a j ɯ m ɫ a d ɯ ɯ
yemem	j e m e m
yeşili	j e ʃ i l i
yiyecekleri	j i j e d͡ʒ e c l e ɾ i
yokluğunda	j o k ɫ u u n d a
yüzeyinde	j y z e j i n d e
yüzlerini	j y z l e ɾ i n i
yıkılmış	j ɯ k ɯ ɫ m ɯ ʃ
zihni	z i h n i
çalıştırmak	t͡ʃ a ɫ ɯ ʃ t ɯ ɾ m a k
çatışmaya	t͡ʃ a t ɯ ʃ m a j a
çağrısında	t͡ʃ aː ɾ ɯ s ɯ n d a
çevirir	t͡ʃ e v i ɾ i ɾ
çocuklu	t͡ʃ o d͡ʒ u k ɫ u
çölde	t͡ʃ ø l d e
çıkarsın	t͡ʃ ɯ k a ɾ s ɯ n
ödülüne	ø d y l y n e
öldürecek	ø l d y ɾ e d͡ʒ e c
önderlik	ø n d e ɾ l i c
üzereyken	y z e ɾ e j c e n
ını	ɯ n ɯ
şarabı	ʃ a ɾ a b ɯ
şartsız	ʃ a ɾ t s ɯ z
adaylığını	a d a j ɫ ɯ ɯ n ɯ
ailelerinin	a i l e l e ɾ i n i n
akrabası	a k ɾ a b a s ɯ
aktarılan	a k t a ɾ ɯ ɫ a n
alemde	a l e m d e
alemi	a l e m i
alışkın	a ɫ ɯ ʃ k ɯ n
andıran	a n d ɯ ɾ a n
arasın	a ɾ a s ɯ n
arasını	a ɾ a s ɯ n ɯ
arazisi	a ɾ a z i s i
atları	a t ɫ a ɾ ɯ
auto	a u t o
aydemir	a j d e m i ɾ
açılıp	a t͡ʃ ɯ ɫ ɯ p
aıds	a ɯ d s
aşamaya	a ʃ a m a j a
bacağı	b a d͡ʒ a ɯ
bakteriler	b a k t e ɾ i l e ɾ
başardık	b a ʃ a ɾ d ɯ k
başarmıştır	b a ʃ a ɾ m ɯ ʃ t ɯ ɾ
başbaşa	b a ʃ b a ʃ a
başlarım	b a ʃ ɫ a ɾ ɯ m
beverly	b e v e ɾ l j
bileşik	b i l e ʃ i c
binmek	b i n m e c
biran	b i ɾ a n
biçimidir	b i t͡ʃ i m i d i ɾ
bozar	b o z a ɾ
bulacaksınız	b u ɫ a d͡ʒ a k s ɯ n ɯ z
bulursunuz	b u ɫ u ɾ s u n u z
bölünme	b ø l y n m e
büyüdükçe	b y j y d y c t͡ʃ e
cennetten	d͡ʒ e n n e t t e n
class	d͡ʒ l a s
coşkulu	d͡ʒ o ʃ k u ɫ u
coşkuyla	d͡ʒ o ʃ k u j ɫ a
darbeyi	d a ɾ b e j i
dağıtılan	d a ɯ t ɯ ɫ a n
derslerini	d e ɾ s l e ɾ i n i
değişikliklere	d e i ʃ i c l i c l e ɾ e
dinlemeyi	d i n l e m e j i
dokunan	d o k u n a n
doldurup	d o ɫ d u ɾ u p
dolmabahçe	d o ɫ m a b a h t͡ʃ e
donmuş	d o n m u ʃ
doğruları	d oː ɾ u ɫ a ɾ ɯ
duvarlara	d u v a ɾ ɫ a ɾ a
duvarların	d u v a ɾ ɫ a ɾ ɯ n
duygusunu	d u j ɡ u s u n u
döküp	d ø c y p
döndüğünü	d ø n d y j y n y
dönemler	d ø n e m l e ɾ
düşürür	d y ʃ y ɾ y ɾ
edinme	e d i n m e
elektriksel	e l e c t ɾ i c s e l
eserinde	e s e ɾ i n d e
etkisinden	e t c i s i n d e n
etmedik	e t m e d i c
evliliğin	e v l i l i j i n
ez	e z
eşin	e ʃ i n
gelmem	ɟ e l m e m
gelmesinden	ɟ e l m e s i n d e n
gence	ɟ e n d͡ʒ e
gerekti	ɟ e ɾ e c t i
gerilimi	ɟ e ɾ i l i m i
getirilerek	ɟ e t i ɾ i l e ɾ e c
getirmişti	ɟ e t i ɾ m i ʃ t i
geçemez	ɟ e t͡ʃ e m e z
geçimini	ɟ e t͡ʃ i m i n i
gidenler	ɟ i d e n l e ɾ
gidi	ɟ i d i
girdin	ɟ i ɾ d i n
girelim	ɟ i ɾ e l i m
girmesiyle	ɟ i ɾ m e s i j l e
gönlünü	ɟ ø n l y n y
gözlerle	ɟ ø z l e ɾ l e
gündüzleri	ɟ y n d y z l e ɾ i
güçlere	ɟ y t͡ʃ l e ɾ e
hakimiyeti	h a c i m i j e t i
hangisinin	h a n ɟ i s i n i n
hannah	h a n n a h
hanı	h a n ɯ
hastaya	h a s t a j a
haydarpaşa	h a j d a ɾ p a ʃ a
hazırlanması	h a z ɯ ɾ ɫ a n m a s ɯ
hediyeleri	h e d i j e l e ɾ i
hikâyenin	h i c aː j e n i n
hizmetçi	h i z m e t t͡ʃ i
hughes	h u ɟ h e s
hükmünde	h y c m y n d e
ibadete	i b aː d e t e
ilinin	i l i n i n
ilişkilerinin	i l i ʃ c i l e ɾ i n i n
