deus	d ew s
judeia	ʒ u d ej ɐ
judocas	ʒ u d o k ɐ s
jugular	ʒ u ɡ u l ɐ ɹ
kao	k ɐw
kirill	k i ɾ iw w
kraken	k ɾ ɐ k ẽ
kuririn	k u ɾ i ɾ ĩ
kyi	k j i
latimer	l ɐ t ʃ ĩ m e ɹ
lavá	l ɐ v ɐ
lenovo	l e n o v u
letónia	l e t ɔ n i ɐ
lissa	l i s ɐ
locos	l o k u s
lomé	l o m ɛ
lorelai	l o ɾ e l ɐj
lund	l ũ d ʒ
maioritário	m ɐj o ɾ i t ɐ ɾ i u
mandarei	m ɐ̃ d ɐ ɾ ej
maxila	m ɐ ʃ i l ɐ
medicamente	m e d ʒ i k ɐ m ẽ t ʃ i
medular	m e d u l ɐ ɹ
megapixels	m e ɡ ɐ p i ʃ ew s
mereci	m e ɾ e s i
messala	m e s ɐ l ɐ
metabólico	m e t ɐ b ɔ l i k u
mireille	m i ɾ ej w l i
mita	m i t ɐ
monotrilho	m o n o t ɾ i ʎ u
montmartre	m õ t ʃ m ɐ ɹ t ɾ i
mooney	m o õ n e i
mouraria	m ow ɾ ɐ ɾ i ɐ
mov	m o v
mpa	m p ɐ
mpl	m p w
mya	m j ɐ
nag	n ɐ ɡ
namoraram	n ɐ m o ɾ ɐ ɾ ɐ̃w̃
neha	n e ɐ
nicaragua	n i k ɐ ɾ ɐ ɡ w ɐ
nie	n i
nini	n ĩ n i
nutriente	n u t ɾ i ẽ t ʃ i
occitano	o k s i t ɐ̃ n u
orangotango	o ɾ ɐ̃ ɡ o t ɐ̃ ɡ u
orbitando	o ʁ b i t ɐ̃ d u
orcas	o ɹ k ɐ s
ott	o t ʃ t ʃ
partnership	p ɐ ɹ t ʃ n e ɹ ʃ i p
pedes	p e d ʒ i s
peek	p e e k
perillo	p e ɾ iw l u
persuadido	p e ɹ s u ɐ d ʒ i d u
pickup	p i k k u p
piggy	p i ɡ ɡ i
pius	p iw s
poke	p o k i
polígonos	p o l i ɡ o n u s
popularizaram	p o p u l ɐ ɾ i z ɐ ɾ ɐ̃w̃
portado	p o ɹ t ɐ d u
postulados	p o s t u l ɐ d u s
pov	p o v
prentice	p ɾ ẽ t ʃ i s i
prescreveu	p ɾ e s k ɾ e v ew
pretinha	p ɾ e t ʃ ĩ ɲ ɐ
produced	p ɾ o d u s e d ʒ
professionals	p ɾ o f e s i o n ɐw s
pólipos	p ɔ l i p u s
querubim	k e ɾ u b ĩ
quites	k j t ʃ i s
rabeca	ʁ ɐ b e k ɐ
ralada	ʁ ɐ l ɐ d ɐ
rasgam	ʁ ɐ z ɡ ɐ̃w̃
rds	ʁ d ʒ s
realocados	ʁ e ɐ l o k ɐ d u s
reassentamento	ʁ e ɐ s ẽ t ɐ m ẽ t u
recatada	ʁ e k ɐ t ɐ d ɐ
redemoinhos	ʁ e d e m o ĩ ɲ u s
referenciados	ʁ e f e ɾ ẽ s i ɐ d u s
repercutindo	ʁ e p e ɹ k u t ʃ ĩ d u
replicado	ʁ e p l i k ɐ d u
representation	ʁ e p ɾ e z ẽ t ɐ t ʃ i õ
reverberação	ʁ e v e ʁ b e ɾ ɐ s ɐ̃w̃
rian	ʁ i ɐ̃
rija	ʁ i ʒ ɐ
rijo	ʁ i ʒ u
risa	ʁ i z ɐ
roja	ʁ o ʒ ɐ
rolas	ʁ o l ɐ s
ronson	ʁ õ s õ
ryo	ʁ j u
rê	ʁ e
sacarose	s ɐ k ɐ ɾ o z i
sarin	s ɐ ɾ ĩ
savio	s ɐ v i u
scs	s k s
seb	s e b
sensitiva	s ẽ s i t ʃ i v ɐ
seri	s e ɾ i
setting	s e t ʃ t ʃ ĩ ɡ
shiki	ʃ i k i
shining	ʃ ĩ n ĩ ɡ
sins	s ĩ s
slideshow	s l i d e ʃ ow
sont	s õ t ʃ
southeast	s ow t e ɐ s t ʃ
span	s p ɐ̃
srp	s ɹ p
stocks	s t o k k s
stoke	s t o k i
subsariana	s u b s ɐ ɾ i ɐ̃ n ɐ
sudaneses	s u d ɐ n e z i s
swarm	s w ɐ ʁ m
sybil	s i b iw
tacoma	t ɐ k õ m ɐ
tactical	t ɐ k t ʃ i k ɐw
takeda	t ɐ k e d ɐ
talho	t ɐ ʎ u
taurino	t ɐw ɾ ĩ n u
tere	t e ɾ i
tokens	t o k ẽ s
trairi	t ɾ ɐj ɾ i
transcendem	t ɾ ɐ̃ s ẽ d ẽj̃
transmissora	t ɾ ɐ̃ z m i s o ɾ ɐ
transportaram	t ɾ ɐ̃ s p o ɹ t ɐ ɾ ɐ̃w̃
trastes	t ɾ ɐ s t ʃ i s
trataremos	t ɾ ɐ t ɐ ɾ ẽ m u s
tunel	t ũ n ɛw
turns	t u ʁ n s
tátil	t ɐ t ʃ iw
téla	t ɛ l ɐ
udesc	u d e s k
uou	u ow
usurpadora	u z u ɹ p ɐ d o ɾ ɐ
vaibrasil	v ɐj b ɾ ɐ z iw
vid	v i d ʒ
vishnu	v i ʃ n u
wallpaper	w ɐw w p ɐ p e ɹ
wap	w ɐ p
weyden	w e i d ẽ
widescreen	w i d e s k ɾ e ẽ
wilmer	w iw m e ɹ
zedong	z e d õ ɡ
zenfone	z ẽ f õ n i
úmero	u m e ɾ u
abstracto	ɐ b s t ɾ ɐ k t u
acendo	ɐ s ẽ d u
acharão	ɐ ʃ ɐ ɾ ɐ̃w̃
advice	ɐ d ʒ v i s i
afecções	ɐ f e k s õj̃ s
afeminado	ɐ f e m ĩ n ɐ d u
aggie	ɐ ɡ ʒ i
agite	ɐ ʒ i t ʃ i
aipim	ɐj p ĩ
ajoelhada	ɐ ʒ o e ʎ ɐ d ɐ
alcácer	ɐw k ɐ s e ɹ
amaciante	ɐ m ɐ s i ɐ̃ t ʃ i
amiúde	ɐ m i u d ʒ i
androides	ɐ̃ d ɾ oj d ʒ i s
angu	ɐ̃ ɡ u
aniversariantes	ɐ n i v e ɹ s ɐ ɾ i ɐ̃ t ʃ i s
ankara	ɐ̃ k ɐ ɾ ɐ
análogos	ɐ n ɐ l o ɡ u s
apedrejamento	ɐ p e d ɾ e ʒ ɐ m ẽ t u
apresentável	ɐ p ɾ e z ẽ t ɐ v ew
arif	ɐ ɾ i f
arrais	ɐ ʁ ɐj s
asap	ɐ z ɐ p
ashby	ɐ ʃ b i
atençao	ɐ t ẽ s ɐw
auscultadores	ɐw s k u w t ɐ d o ɾ i s
automatizados	ɐw t o m ɐ t ʃ i z ɐ d u s
avenged	ɐ v ẽ ʒ e d ʒ
aver	ɐ v e ɹ
aza	ɐ z ɐ
bananeiras	b ɐ n ɐ n ej ɾ ɐ s
basel	b ɐ z ɛw
benfeitores	b ẽ f ej t o ɾ i s
berkley	b e ɹ k l e i
bertie	b e ɹ t ʃ i
betancourt	b e t ɐ̃ k ow ɹ t ʃ
bgs	b ɡ s
bolseiros	b ow s ej ɾ u s
bombay	b õ b ɐ i
bru	b ɾ u
bucetas	b u s e t ɐ s
buff	b u f f
caieiras	k ɐj ej ɾ ɐ s
cantarolando	k ɐ̃ t ɐ ɾ o l ɐ̃ d u
capitao	k ɐ p i t ɐw
cardigan	k ɐ ʁ d ʒ i ɡ ɐ̃
cares	k ɐ ɾ i s
caridosa	k ɐ ɾ i d ɔ z ɐ
carimbada	k ɐ ɾ ĩ b ɐ d ɐ
carrascos	k ɐ ʁ ɐ s k u s
caóticas	k ɐ ɔ t ʃ i k ɐ s
celtic	s ew t ʃ i k
cerva	s e ʁ v ɐ
chorões	ʃ o ɾ õj̃ s
cinemark	s ĩ n e m ɐ ɹ k
civilizatório	s i v i l i z ɐ t ɔ ɾ i u
civitas	s i v i t ɐ s
codificador	k o d ʒ i f i k ɐ d o ɹ
comanche	k o m ɐ̃ ʃ i
compass	k õ p ɐ s
compota	k õ p o t ɐ
concerning	k õ s e ʁ n ĩ ɡ
contents	k õ t ẽ t ʃ s
convivo	k õ v i v u
corinthiano	k o ɾ ĩ t i ɐ̃ n u
cortical	k o ɹ t ʃ i k ɐw
cosan	k ɔ z ɐ̃
criticism	k ɾ i t ʃ i s i z m
danadinha	d ɐ n ɐ d ʒ ĩ ɲ ɐ
deanna	d e ɐ̃ n ɐ
desamparado	d e z ɐ̃ p ɐ ɾ ɐ d u
descodificar	d e s k o d ʒ i f i k ɐ ɹ
descolagem	d e s k o l ɐ ʒ ẽj̃
desconectada	d e s k o n e k t ɐ d ɐ
descrevemos	d e s k ɾ e v ẽ m u s
desejoso	d e z e ʒ o z u
despachada	d e s p ɐ ʃ ɐ d ɐ
destemidos	d e s t e m i d u s
desvie	d e z v i
diabete	d ʒ i ɐ b e t ʃ i
directório	d ʒ i ɾ e k t ɔ ɾ i u
diâmetros	d ʒ i ɐ̃ m e t ɾ u s
donut	d õ n u t ʃ
dunkirk	d ũ k i ɹ k
dye	d ʒ j i
eclesial	e k l e z i ɐw
educacao	e d u k ɐ k ɐw
eloise	e l oj z i
encorajaram	ẽ k o ɾ ɐ ʒ ɐ ɾ ɐ̃w̃
enel	e n ɛw
enganadores	ẽ ɡ ɐ n ɐ d o ɾ i s
enguias	ẽ ɡ j ɐ s
enrolei	ẽ ɾ o l ej
envergonho	ẽ v e ʁ ɡ õ ɲ u
esbarrei	e z b ɐ ʁ ej
escoliose	e s k o l i o z i
estara	e s t ɐ ɾ ɐ
estivesses	e s t ʃ i v e s i s
estiveste	e s t ʃ i v e s t ʃ i
ewbank	ew b ɐ̃ k
expetativas	e s p e t ɐ t ʃ i v ɐ s
falhará	f ɐ ʎ ɐ ɾ ɐ
fervorosos	f e ʁ v o ɾ o z u s
filter	f iw t e ɹ
finals	f ĩ n ɐw s
foderam	f o d e ɾ ɐ̃w̃
foliar	f o l i ɐ ɹ
francófonos	f ɾ ɐ̃ k ɔ f o n u s
frisando	f ɾ i z ɐ̃ d u
funkeira	f ũ k ej ɾ ɐ
für	f w ɹ
gabrielly	ɡ ɐ b ɾ i ew w i
gaucho	ɡ ɐw ʃ u
genio	ʒ e n i u
gentalha	ʒ ẽ t ɐ ʎ ɐ
gostosura	ɡ o s t o z u ɾ ɐ
gramíneas	ɡ ɾ ɐ m i n e ɐ s
gravo	ɡ ɾ ɐ v u
grávido	ɡ ɾ ɐ v i d u
gshow	ɡ ʃ ow
gwyneth	ɡ w i n e t ʃ
hail	ɐj w
hanlon	ɐ̃ l õ
heartbreaker	e ɐ ɹ t ʃ b ɾ e ɐ k e ɹ
himself	ĩ s ew f
hás	ɐ s
ik	i k
ildis	iw d ʒ i j s
iman	ĩ m ɐ̃
implacavelmente	ĩ p l ɐ k ɐ v ew m ẽ t ʃ i
importavam	ĩ p o ɹ t ɐ v ɐ̃w̃
inalienáveis	ĩ n ɐ l i e n ɐ v ej s
inapropriadas	ĩ n ɐ p ɾ o p ɾ i ɐ d ɐ s
incentivamos	ĩ s ẽ t ʃ i v ɐ̃ m u s
infestada	ĩ f e s t ɐ d ɐ
informatica	ĩ f o ʁ m ɐ t ʃ i k ɐ
infracções	ĩ f ɾ ɐ k s õj̃ s
inga	ĩ ɡ ɐ
initial	ĩ n i t ʃ i ɐw
inspetora	ĩ s p e t o ɾ ɐ
instituídas	ĩ s t ʃ i t u i d ɐ s
interactivo	ĩ t e ɾ ɐ k t ʃ i v u
intrigou	ĩ t ɾ i ɡ ow
irónica	i ɾ ɔ n i k ɐ
izabela	i z ɐ b ɛ l ɐ
jacket	ʒ ɐ k k e t ʃ
jacuípe	ʒ ɐ k u i p i
jews	ʒ ew s
jmj	ʒ m ʒ
josy	ʒ o s i
judéia	ʒ u d ɛj ɐ
juicy	ʒ uj k i
junction	ʒ ũ k t ʃ i õ
junções	ʒ ũ s õj̃ s
kabul	k ɐ b u w
kadafi	k ɐ d ɐ f i
kauan	k ɐw ɐ̃
kyoko	k j o k u
lac	l ɐ k
lagar	l ɐ ɡ ɐ ɹ
lamechas	l ɐ m e ʃ ɐ s
lary	l ɐ ɹ i
lega	l e ɡ ɐ
leopardos	l e o p ɐ ʁ d u s
lesionar	l e z i o n ɐ ɹ
lexi	l e k s i
lica	l i k ɐ
lvl	w v w
machel	m ɐ ʃ ɛw
majin	m ɐ ʒ ĩ
manteigas	m ɐ̃ t ej ɡ ɐ s
maracaju	m ɐ ɾ ɐ k ɐ ʒ u
mascaras	m ɐ s k ɐ ɾ ɐ s
mathew	m ɐ t ew
mação	m ɐ s ɐ̃w̃
mcavoy	m k ɐ v o i
mercenária	m e ɹ s e n ɐ ɾ i ɐ
metabólicos	m e t ɐ b ɔ l i k u s
mijou	m i ʒ ow
modulares	m o d u l ɐ ɾ i s
movimiento	m o v ĩ m i ẽ t u
multiplataforma	m u w t ʃ i p l ɐ t ɐ f o ʁ m ɐ
mundão	m ũ d ɐ̃w̃
mércia	m ɛ ɹ s i ɐ
nasceste	n ɐ s e s t ʃ i
neighborhood	n ej ɡ b o ʁ o o d ʒ
neptune	n e p t ũ n i
neuer	n ew e ɹ
nica	n i k ɐ
oceanic	o s e ɐ n i k
odm	o d ʒ m
offset	o f f s e t ʃ
ohm	o m
oréal	o ɾ ɛ ɐw
package	p ɐ k k ɐ ʒ i
palabras	p ɐ l ɐ b ɾ ɐ s
palmadas	p ɐw m ɐ d ɐ s
panico	p ɐ n i k u
paparazzo	p ɐ p ɐ ɾ ɐ z z u
papillon	p ɐ p iw l õ
parasitária	p ɐ ɾ ɐ z i t ɐ ɾ i ɐ
parentais	p ɐ ɾ ẽ t ɐj s
partilharem	p ɐ ɹ t ʃ i ʎ ɐ ɾ ẽj̃
pasteis	p ɐ s t ej s
pde	p d ʒ i
penalizações	p e n ɐ l i z ɐ s õj̃ s
pequenininha	p e k e n ĩ n ĩ ɲ ɐ
piccadilly	p i k k ɐ d ʒ iw w i
pilhar	p i ʎ ɐ ɹ
polarizado	p o l ɐ ɾ i z ɐ d u
ppa	p p ɐ
praticas	p ɾ ɐ t ʃ i k ɐ s
prestigiadas	p ɾ e s t ʃ i ʒ i ɐ d ɐ s
proerd	p ɾ o e ʁ d ʒ
pulsando	p u w s ɐ̃ d u
puppy	p u p p i
pyle	p i l i
quant	k w ɐ̃ t ʃ
quien	k j ẽ
raccoon	ʁ ɐ k k o õ
radeon	ʁ ɐ d e õ
rastreado	ʁ ɐ s t ɾ e ɐ d u
recem	ʁ e s ẽj̃
recitando	ʁ e s i t ɐ̃ d u
regard	ʁ e ɡ ɐ ʁ d ʒ
regulamentadoras	ʁ e ɡ u l ɐ m ẽ t ɐ d o ɾ ɐ s
relé	ʁ e l ɛ
rendida	ʁ ẽ d ʒ i d ɐ
restelo	ʁ e s t ɛ l u
ricciardo	ʁ i k s i ɐ ʁ d u
roza	ʁ o z ɐ
samanta	s ɐ m ɐ̃ t ɐ
saqueadas	s ɐ k e ɐ d ɐ s
screenshot	s k ɾ e ẽ ʃ o t ʃ
seem	s e ẽj̃
seletor	s e l e t o ɹ
sensatos	s ẽ s ɐ t u s
serao	s e ɾ ɐw
servico	s e ʁ v i k u
sexualização	s e k s u ɐ l i z ɐ s ɐ̃w̃
shakhtar	ʃ ɐ k t ɐ ɹ
shells	ʃ ew w s
shelter	ʃ ew t e ɹ
shippuden	ʃ i p p u d ẽ
shower	ʃ ow e ɹ
simplismente	s ĩ p l i z m ẽ t ʃ i
sistólica	s i s t ɔ l i k ɐ
smackdown	s m ɐ k k d ow n
smell	s m ew w
sns	s n s
sober	s o b e ɹ
societies	s o s i e t ʃ i i s
solubilidade	s o l u b i l i d ɐ d ʒ i
spacex	s p ɐ s e k s
str	s t ɹ
suelen	s u e l ẽ
suh	s u
sumam	s ũ m ɐ̃w̃
suzie	s u z i
súplicas	s u p l i k ɐ s
taha	t ɐ ɐ
tarawa	t ɐ ɾ ɐw ɐ
tartaristão	t ɐ ɹ t ɐ ɾ i s t ɐ̃w̃
tash	t ɐ ʃ
tecle	t e k l i
terciário	t e ɹ s i ɐ ɾ i u
therese	t e ɾ e z i
tmb	t ʃ m b
tpa	t ʃ p ɐ
traumatizante	t ɾ ɐ ũ m ɐ t ʃ i z ɐ̃ t ʃ i
trojan	t ɾ o ʒ ɐ̃
tuan	t u ɐ̃
tupperware	t u p p e ɹ w ɐ ɾ i
tuíta	t u i t ɐ
uriel	u ɾ i ɛw
utilizável	u t ʃ i l i z ɐ v ew
valhalla	v ɐ ʎ ɐw l ɐ
vasilhas	v ɐ z i ʎ ɐ s
veganos	v e ɡ ɐ̃ n u s
velhote	v e ʎ o t ʃ i
vittoria	v i t ʃ t o ɾ i ɐ
voi	v oj
vom	v õ
wesson	w e s õ
wheaton	w e ɐ t õ
wheel	w e ɛw
whistle	w i s t l i
williamsburg	w iw l i ɐ̃ z b u ʁ ɡ
yeshua	j e ʃ u ɐ
zambézia	z ɐ̃ b ɛ z i ɐ
accounts	ɐ k k ow n t ʃ s
acendi	ɐ s ẽ d ʒ i
acessou	ɐ s e s ow
actes	ɐ k t ʃ i s
activismo	ɐ k t ʃ i v i z m u
adormecidas	ɐ d o ʁ m e s i d ɐ s
adro	ɐ d ɾ u
alamo	ɐ l ɐ̃ m u
alfragide	ɐw f ɾ ɐ ʒ i d ʒ i
algué	ɐw ɡ ɛ
align	ɐ l i ɡ n
alinho	ɐ l ĩ ɲ u
almedina	ɐw m e d ʒ ĩ n ɐ
amassa	ɐ m ɐ s ɐ
analises	ɐ n ɐ l i z i s
andará	ɐ̃ d ɐ ɾ ɐ
ansiando	ɐ̃ s i ɐ̃ d u
ansiava	ɐ̃ s i ɐ v ɐ
antananarivo	ɐ̃ t ɐ n ɐ n ɐ ɾ i v u
apaches	ɐ p ɐ ʃ i s
apertadinho	ɐ p e ɹ t ɐ d ʒ ĩ ɲ u
apoiadora	ɐ p oj ɐ d o ɾ ɐ
araruna	ɐ ɾ ɐ ɾ ũ n ɐ
aráveis	ɐ ɾ ɐ v ej s
assistisse	ɐ s i s t ʃ i s i
balísticos	b ɐ l i s t ʃ i k u s
barbuda	b ɐ ʁ b u d ɐ
beep	b e e p
beijem	b ej ʒ ẽj̃
beiras	b ej ɾ ɐ s
besiktas	b e z i k t ɐ s
blanchett	b l ɐ̃ ʃ e t ʃ t ʃ
bout	b ow t ʃ
brea	b ɾ e ɐ
bulgaria	b u w ɡ ɐ ɾ i ɐ
burnout	b u ʁ n ow t ʃ
cago	k ɐ ɡ u
cancros	k ɐ̃ k ɾ u s
canoinhas	k ɐ n o ĩ ɲ ɐ s
carrington	k ɐ ʁ ĩ ɡ t õ
caucus	k ɐw k uj s
caçava	k ɐ s ɐ v ɐ
ceara	s e ɐ ɾ ɐ
cefaleia	s e f ɐ l ej ɐ
celorico	s e l o ɾ i k u
censuradas	s ẽ s u ɾ ɐ d ɐ s
cero	s e ɾ u
chevalier	ʃ e v ɐ l i e ɹ
cilíndrica	s i l ĩ d ɾ i k ɐ
cincos	s ĩ k u s
clico	k l i k u
clinical	k l ĩ n i k ɐw
coala	k o ɐ l ɐ
cocheiro	k o ʃ ej ɾ u
comet	k o m e t ʃ
cond	k õ d ʒ
conectava	k o n e k t ɐ v ɐ
confidence	k õ f i d ẽ s i
conforte	k õ f o ɹ t ʃ i
contorcendo	k õ t o ɹ s ẽ d u
contract	k õ t ɾ ɐ k t ʃ
corrosivos	k o ʁ o z i v u s
cortarem	k o ɹ t ɐ ɾ ẽj̃
cortejos	k o ɹ t e ʒ u s
criptografar	k ɾ i p t o ɡ ɾ ɐ f ɐ ɹ
cypher	k i f e ɹ
cística	s i s t ʃ i k ɐ
cônico	k o n i k u
côrte	k o ɹ t ʃ i
dari	d ɐ ɾ i
demito	d e m i t u
demorem	d e m o ɾ ẽj̃
denominaram	d e n o m ĩ n ɐ ɾ ɐ̃w̃
derreta	d e ʁ e t ɐ
desacelera	d e z ɐ s e l e ɾ ɐ
descontinuado	d e s k õ t ʃ ĩ n u ɐ d u
descontroladamente	d e s k õ t ɾ o l ɐ d ɐ m ẽ t ʃ i
desejosa	d e z e ʒ ɔ z ɐ
desiludiu	d e z i l u d ʒ iw
deviamos	d e v i ɐ̃ m u s
diligentemente	d ʒ i l i ʒ ẽ t e m ẽ t ʃ i
disforia	d ʒ i s f o ɾ i ɐ
dod	d o d ʒ
doidinha	d oj d ʒ ĩ ɲ ɐ
domestica	d o m e s t ʃ i k ɐ
dominá	d o m ĩ n ɐ
dormisse	d o ʁ m i s i
downton	d ow n t õ
druida	d ɾ uj d ɐ
eazy	e ɐ z i
efectuados	e f e k t u ɐ d u s
egocentrismo	e ɡ o s ẽ t ɾ i z m u
einar	e ĩ n ɐ ɹ
eliminei	e l ĩ m ĩ n ej
emblem	ẽ b l ẽj̃
empadão	ẽ p ɐ d ɐ̃w̃
emuladores	e m u l ɐ d o ɾ i s
encantando	ẽ k ɐ̃ t ɐ̃ d u
encrencas	ẽ k ɾ ẽ k ɐ s
endócrino	ẽ d ɔ k ɾ ĩ n u
eriksen	e ɾ i k s ẽ
escher	e s ʃ e ɹ
espectroscopia	e s p e k t ɾ o s k o p i ɐ
estalos	e s t ɐ l u s
estrategia	e s t ɾ ɐ t e ʒ i ɐ
ewan	ew ɐ̃
expanda	e s p ɐ̃ d ɐ
fakes	f ɐ k i s
falharem	f ɐ ʎ ɐ ɾ ẽj̃
farmiga	f ɐ ʁ m i ɡ ɐ
fatalidades	f ɐ t ɐ l i d ɐ d ʒ i s
fdr	f d ɹ
fec	f e k
fibrilação	f i b ɾ i l ɐ s ɐ̃w̃
fir	f i ɹ
fong	f õ ɡ
fragatas	f ɾ ɐ ɡ ɐ t ɐ s
franguinho	f ɾ ɐ̃ ɡ ĩ ɲ u
freeze	f ɾ e e z i
frigorifico	f ɾ i ɡ o ɾ i f i k u
frog	f ɾ o ɡ
funkeiro	f ũ k ej ɾ u
gaio	ɡ ɐj u
gara	ɡ ɐ ɾ ɐ
girão	ʒ i ɾ ɐ̃w̃
git	ʒ i t ʃ
gori	ɡ o ɾ i
gorman	ɡ o ʁ m ɐ̃
helix	e l i k s
hex	e k s
hodgkin	o d ʒ ɡ k ĩ
hussain	u s ɐ ĩ
hyuna	j ũ n ɐ
iai	i ɐj
ibuprofeno	i b u p ɾ o f ẽ n u
iee	i e i
imploram	ĩ p l o ɾ ɐ̃w̃
intercalares	ĩ t e ɹ k ɐ l ɐ ɾ i s
interceptações	ĩ t e ɹ s e p t ɐ s õj̃ s
intergovernamentais	ĩ t e ʁ ɡ o v e ʁ n ɐ m ẽ t ɐj s
ionização	i o n i z ɐ s ɐ̃w̃
isaacs	i z ɐ ɐ k s
itau	i t ɐw
jaguarão	ʒ ɐ ɡ w ɐ ɾ ɐ̃w̃
jararaca	ʒ ɐ ɾ ɐ ɾ ɐ k ɐ
jeanine	ʒ e ɐ n ĩ n i
jhonny	ʒ õ n i
jumentos	ʒ ũ m ẽ t u s
kamel	k ɐ m ɛw
karoline	k ɐ ɾ o l ĩ n i
kcal	k k ɐw
kingsman	k ĩ ɡ z m ɐ̃
krav	k ɾ ɐ v
kubo	k u b u
lacinho	l ɐ s ĩ ɲ u
lad	l ɐ d ʒ
laine	l ɐ ĩ n i
largest	l ɐ ʁ ʒ e s t ʃ
lazar	l ɐ z ɐ ɹ
legitimo	l e ʒ i t ʃ ĩ m u
lifetime	l i f e t ʃ ĩ m i
loading	l o ɐ d ʒ ĩ ɡ
loot	l o o t ʃ
lucília	l u s i l i ɐ
lyme	w i m i
macaíba	m ɐ k ɐ i b ɐ
magnificência	m ɐ ɡ n i f i s ẽ s i ɐ
maitland	m ɐj t l ɐ̃ d ʒ
maluquinha	m ɐ l u k ĩ ɲ ɐ
manche	m ɐ̃ ʃ i
mayday	m ɐ i d ɐ i
mediocre	m e d ʒ i o k ɾ i
megumi	m e ɡ ũ m i
meliante	m e l i ɐ̃ t ʃ i
miga	m i ɡ ɐ
moni	m o n i
montagner	m õ t ɐ ɡ n e ɹ
moray	m o ɾ ɐ i
morfológica	m o ɹ f o l ɔ ʒ i k ɐ
naiara	n ɐj ɐ ɾ ɐ
natsu	n ɐ t ʃ s u
niles	n i l i s
notting	n o t ʃ t ʃ ĩ ɡ
nut	n u t ʃ
náufrago	n ɐw f ɾ ɐ ɡ u
objectividade	o b ʒ e k t ʃ i v i d ɐ d ʒ i
ocitocina	o s i t o s ĩ n ɐ
olímpiadas	o l ĩ p i ɐ d ɐ s
omitida	o m i t ʃ i d ɐ
oruro	o ɾ u ɾ u
ourique	ow ɾ i k i
ourivesaria	ow ɾ i v e z ɐ ɾ i ɐ
palabra	p ɐ l ɐ b ɾ ɐ
pancreatite	p ɐ̃ k ɾ e ɐ t ʃ i t ʃ i
paraguaçu	p ɐ ɾ ɐ ɡ w ɐ s u
pareci	p ɐ ɾ e s i
passer	p ɐ s e ɹ
passinho	p ɐ s ĩ ɲ u
patenteada	p ɐ t ẽ t e ɐ d ɐ
peluche	p e l u ʃ i
pensares	p ẽ s ɐ ɾ i s
pepeca	p e p e k ɐ
percebermos	p e ɹ s e b e ʁ m u s
permaneço	p e ʁ m ɐ n e s u
pertencendo	p e ɹ t ẽ s ẽ d u
pestanas	p e s t ɐ̃ n ɐ s
petrolão	p e t ɾ o l ɐ̃w̃
pirada	p i ɾ ɐ d ɐ
pity	p i t ʃ i
portagem	p o ɹ t ɐ ʒ ẽj̃
pradaria	p ɾ ɐ d ɐ ɾ i ɐ
provavel	p ɾ o v ɐ v ɛw
provider	p ɾ o v i d e ɹ
pss	p s
publicarem	p u b l i k ɐ ɾ ẽj̃
punheteiro	p ũ ɲ e t ej ɾ u
pélvis	p ɛw v i s
quartz	k w ɐ ɹ t ʃ s
quebrá	k e b ɾ ɐ
quiseste	k j z e s t ʃ i
rabinos	ʁ ɐ b ĩ n u s
relogio	ʁ e l o ʒ i u
remington	ʁ e m ĩ ɡ t õ
reportem	ʁ e p o ɹ t ẽj̃
reunem	ʁ e ũ n ẽj̃
risque	ʁ i s k i
rochefort	ʁ o ʃ e f o ɹ t ʃ
roddy	ʁ o d ʒ d ʒ i
salisbury	s ɐ l i z b u ɹ i
secondary	s e k õ d ɐ ɹ i
sedentários	s e d ẽ t ɐ ɾ i u s
selênio	s e l e n i u
sham	ʃ ɐ̃w̃
shinigami	ʃ ĩ n i ɡ ɐ m i
shotgun	ʃ o t ʃ ɡ ũ
skynet	s k i n e t ʃ
slack	s l ɐ k k
souk	s ow k
staying	s t ɐj ĩ ɡ
stewie	s t ew i
stout	s t ow t ʃ
suspirando	s u s p i ɾ ɐ̃ d u
sustainable	s u s t ɐ ĩ n ɐ b l i
tactics	t ɐ k t ʃ i k s
tahrir	t ɐ ɾ i ɹ
telling	t ew l ĩ ɡ
tencent	t ẽ s ẽ t ʃ
tereis	t e ɾ ej s
trabajo	t ɾ ɐ b ɐ ʒ u
tralhas	t ɾ ɐ ʎ ɐ s
traze	t ɾ ɐ z i
tsu	t ʃ s u
ubá	u b ɐ
ulla	u w l ɐ
unc	ũ k
upps	u p p s
usain	u z ɐ ĩ
valois	v ɐ l oj s
verbena	v e ʁ b ẽ n ɐ
vetoriais	v e t o ɾ i ɐj s
vindouras	v ĩ d ow ɾ ɐ s
voucher	v ow ʃ e ɹ
wechat	w e ʃ ɐ t ʃ
whale	w ɐ l i
wicca	w i k k ɐ
willoughby	w iw l ow ɡ b i
yann	j ɐ̃ n
été	ɛ t ɛ
abaixado	ɐ b ɐj ʃ ɐ d u
acalorada	ɐ k ɐ l o ɾ ɐ d ɐ
adir	ɐ d ʒ i ɹ
admiravam	ɐ d ʒ m i ɾ ɐ v ɐ̃w̃
adrenal	ɐ d ɾ e n ɐw
alinhe	ɐ l ĩ ɲ i
almeirim	ɐw m ej ɾ ĩ
alternadas	ɐw t e ʁ n ɐ d ɐ s
amit	ɐ m i t ʃ
amônio	ɐ m o n i u
anglófonos	ɐ̃ ɡ l ɔ f o n u s
