de	d e
maquina	m a k i n a
narra	n a r a
oido	o i d o
pal	p a l
paneles	p a n e l e s
papás	p a p a s
pudiese	p u d j e s e
quedarán	k e d a ɾ a n
radica	r a d i k a
recorre	r e k o r e
refirió	r e f i ɾ j o
requerimientos	r e k e ɾ i m j e n t o s
reunieron	r e u n j e ɾ o n
rituales	r i t w a l e s
ropas	r o p a s
stone	e s t o n e
sufrieron	s u f ɾ j e ɾ o n
supermercados	s u p e ɾ m e ɾ k a d o s
supiera	s u p j e ɾ a
venció	b e n s j o
verguenza	b e ɾ ɡ e n s a
vulnerables	b u l n e ɾ a b l e s
acepte	a s e b t e
aclara	a k l a ɾ a
aerolíneas	a e ɾ o l i n e a s
allen	a ʝ e n
antepasados	a n t e p a s a d o s
arcos	a ɾ k o s
atendiendo	a t e n d j e n d o
bacterias	b a ɡ t e ɾ j a s
basan	b a s a n
cambiará	k a m b j a ɾ a
carter	k a ɾ t e ɾ
colinas	k o l i n a s
colocó	k o l o k o
conductas	k o n d u ɡ t a s
consiguiendo	k o n s i ɡ j e n d o
convoca	k o m b o k a
coruña	k o ɾ u ɲ a
cuernos	k w e ɾ n o s
desconoce	d e s k o n o s e
desperté	d e s p e ɾ t e
determinó	d e t e ɾ m i n o
discute	d i s k u t e
distingue	d i s t i n ɡ e
dragon	d ɾ a ɡ o n
echan	e t͡ʃ a n
emite	e m i t e
envían	e m b i a n
equivoco	e k i b o k o
escuchamos	e s k u t͡ʃ a m o s
eua	e w a
extras	e ɡ s t ɾ a s
fantástica	f a n t a s t i k a
felicito	f e l i s i t o
garcia	ɡ a ɾ s j a
genes	x e n e s
haciéndolo	a s j e n d o l o
hallazgos	a ʝ a s ɡ o s
hip	i p
invitamos	i m b i t a m o s
island	i s l a n d
jeff	x e f
jurídicas	x u ɾ i d i k a s
llegaban	ʝ e ɡ a b a n
llegaría	ʝ e ɡ a ɾ i a
mandando	m a n d a n d o
marinos	m a ɾ i n o s
minorías	m i n o ɾ i a s
orientales	o ɾ j e n t a l e s
parados	p a ɾ a d o s
pareces	p a ɾ e s e s
perdemos	p e ɾ d e m o s
permitiría	p e ɾ m i t i ɾ i a
pertenecía	p e ɾ t e n e s i a
project	p ɾ o x e ɡ t
raymond	r e i m o n d
regímenes	r e x i m e n e s
rehenes	r e e n e s
revoluciones	r e b o l u s j o n e s
reza	r e s a
ross	r o s
sant	s a n t
soñando	s o ɲ a n d o
sp	e s p e
sugieren	s u x j e ɾ e n
superó	s u p e ɾ o
ted	t e d
tomes	t o m e s
turísticos	t u ɾ i s t i k o s
tuviese	t u b j e s e
utilizaron	u t i l i s a ɾ o n
vitales	b i t a l e s
volverán	b o l b e ɾ a n
volveré	b o l b e ɾ e
actuó	a ɡ t w o
acusan	a k u s a n
admito	a d m i t o
aparecía	a p a ɾ e s i a
asistieron	a s i s t j e ɾ o n
avisos	a b i s o s
bang	b a n
baratas	b a ɾ a t a s
bell	b e l
bio	b j o
cafe	k a f e
cancer	k a n s e ɾ
compatriotas	k o m p a t ɾ j o t a s
desarrolladores	d e s a r o ʝ a d o ɾ e s
describen	d e s k ɾ i b e n
desee	d e s e e
entras	e n t ɾ a s
escuchen	e s k u t͡ʃ e n
estúpidos	e s t u p i d o s
existió	e ɡ s i s t j o
formaron	f o ɾ m a ɾ o n
get	x e t
hierbas	ʝ e ɾ b a s
humanitaria	u m a n i t a ɾ j a
huyendo	u ʝ e n d o
ilustraciones	i l u s t ɾ a s j o n e s
imagenes	i m a x e n e s
incentivos	i n s e n t i b o s
indicios	i n d i s j o s
infraestructuras	i n f ɾ a e s t ɾ u ɡ t u ɾ a s
institucionales	i n s t i t u s j o n a l e s
integra	i n t e ɡ ɾ a
jay	x a i
jun	x u n
karl	k a ɾ l
llevarán	ʝ e b a ɾ a n
mandaron	m a n d a ɾ o n
marchó	m a ɾ t͡ʃ o
merecía	m e ɾ e s i a
moon	m u n
movistar	m o b i s t a ɾ
nombró	n o m b ɾ o
opone	o p o n e
paren	p a ɾ e n
part	p a ɾ t
pides	p i d e s
portales	p o ɾ t a l e s
preparan	p ɾ e p a ɾ a n
quitan	k i t a n
ra	r a
redujo	r e d u x o
relativos	r e l a t i b o s
reparaciones	r e p a ɾ a s j o n e s
representando	r e p ɾ e s e n t a n d o
road	r o a d
sabrás	s a b ɾ a s
saluda	s a l u d a
sobrevivientes	s o b ɾ e b i b j e n t e s
tiran	t i ɾ a n
traten	t ɾ a t e n
viceversa	b i s e b e ɾ s a
acompañan	a k o m p a ɲ a n
acordó	a k o ɾ d o
acusó	a k u s o
agresiones	a ɡ ɾ e s j o n e s
angela	a n x e l a
asumiendo	a s u m j e n d o
añadiendo	a ɲ a d j e n d o
bordes	b o ɾ d e s
chabon	t͡ʃ a b o n
dedicarse	d e d i k a ɾ s e
definiciones	d e f i n i s j o n e s
deliciosa	d e l i s j o s a
desnudos	d e s n u d o s
devuelve	d e b w e l b e
escapó	e s k a p o
estes	e s t e s
estructurales	e s t ɾ u ɡ t u ɾ a l e s
favores	f a b o ɾ e s
fijos	f i x o s
huyó	u ʝ o
im	i m
injusta	i n x u s t a
interacciones	i n t e ɾ a ɡ s j o n e s
inventó	i m b e n t o
llenan	ʝ e n a n
manejando	m a n e x a n d o
maniobras	m a n j o b ɾ a s
mayoria	m a ʝ o ɾ j a
muestre	m w e s t ɾ e
necesitaban	n e s e s i t a b a n
norteamérica	n o ɾ t e a m e ɾ i k a
obligan	o b l i ɡ a n
obtuvieron	o b t u b j e ɾ o n
pensaron	p e n s a ɾ o n
percibe	p e ɾ s i b e
perdimos	p e ɾ d i m o s
prohíbe	p ɾ o i b e
putin	p u t i n
recupera	r e k u p e ɾ a
regrese	r e ɡ ɾ e s e
riendo	r j e n d o
romeo	r o m e o
ruidos	r w i d o s
russell	r u s e l
ríe	r i e
sanchez	s a n t͡ʃ e s
sellos	s e ʝ o s
sigas	s i ɡ a s
sms	e s e m e s
sonriendo	s o n r j e n d o
sonríe	s o n r i e
sugirió	s u x i ɾ j o
tb	t e b e
trajeron	t ɾ a x e ɾ o n
varían	b a ɾ i a n
vendrán	b e n d ɾ a n
vivan	b i b a n
voten	b o t e n
acuerdas	a k w e ɾ d a s
afectó	a f e ɡ t o
aprox	a p ɾ o ɡ s
apuntan	a p u n t a n
arquitectos	a ɾ k i t e ɡ t o s
ayudaron	a ʝ u d a ɾ o n
bajan	b a x a n
ball	b a l
calificó	k a l i f i k o
cameron	k a m e ɾ o n
carnes	k a ɾ n e s
cat	k a t
cerraron	s e r a ɾ o n
clark	k l a ɾ k
concejales	k o n s e x a l e s
conseguí	k o n s e ɡ i
consejeros	k o n s e x e ɾ o s
conservan	k o n s e ɾ b a n
continuaron	k o n t i n w a ɾ o n
contradicciones	k o n t ɾ a d i ɡ s j o n e s
convenciones	k o m b e n s j o n e s
convenios	k o m b e n j o s
convocó	k o m b o k o
dave	d a b e
decirse	d e s i ɾ s e
dependientes	d e p e n d j e n t e s
die	d i
disfrutan	d i s f ɾ u t a n
dure	d u ɾ e
einstein	e i n s t e i n
eleva	e l e b a
eligen	e l i x e n
empezaba	e m p e s a b a
encargó	e n k a ɾ ɡ o
entraba	e n t ɾ a b a
entregas	e n t ɾ e ɡ a s
er	e ɾ
estatuas	e s t a t w a s
expuso	e ɡ s p u s o
fallecidos	f a ʝ e s i d o s
fernandez	f e ɾ n a n d e s
guy	ɡ u i
hop	o p
imagínate	i m a x i n a t e
inmobiliaria	i m m o b i l j a ɾ j a
insisto	i n s i s t o
introdujo	i n t ɾ o d u x o
jan	x a n
jodan	x o d a n
jovenes	x o b e n e s
llevara	ʝ e b a ɾ a
maten	m a t e n
mediático	m e d j a t i k o
metiendo	m e t j e n d o
millonarios	m i ʝ o n a ɾ j o s
mixta	m i ɡ s t a
nba	e m b a
neo	n e o
nombra	n o m b ɾ a
oea	o e a
olviden	o l b i d e n
organizan	o ɾ ɡ a n i s a n
oxford	o ɡ s f o ɾ d
perez	p e ɾ e s
planeando	p l a n e a n d o
porto	p o ɾ t o
presentará	p ɾ e s e n t a ɾ a
prevé	p ɾ e b e
regulaciones	r e ɡ u l a s j o n e s
resiste	r e s i s t e
sacrificios	s a k ɾ i f i s j o s
saliera	s a l j e ɾ a
simpatizantes	s i m p a t i s a n t e s
tenerla	t e n e ɾ l a
trampas	t ɾ a m p a s
viajan	b j a x a n
acompañados	a k o m p a ɲ a d o s
aleja	a l e x a
ann	a n
apaga	a p a ɡ a
aprovechó	a p ɾ o b e t͡ʃ o
aumentaron	a u m e n t a ɾ o n
bue	b w e
chinas	t͡ʃ i n a s
comercios	k o m e ɾ s j o s
company	k o m p a n i
contenía	k o n t e n i a
contribuyen	k o n t ɾ i b u ʝ e n
cómplices	k o m p l i s e s
dejaré	d e x a ɾ e
descubrimientos	d e s k u b ɾ i m j e n t o s
destruyó	d e s t ɾ u ʝ o
diseñadores	d i s e ɲ a d o ɾ e s
disfruten	d i s f ɾ u t e n
dispararon	d i s p a ɾ a ɾ o n
echaron	e t͡ʃ a ɾ o n
enseñando	e n s e ɲ a n d o
estudian	e s t u d j a n
existiendo	e ɡ s i s t j e n d o
grabó	ɡ ɾ a b o
hacerlas	a s e ɾ l a s
ignorantes	i ɡ n o ɾ a n t e s
imposibles	i m p o s i b l e s
intenté	i n t e n t e
interesadas	i n t e ɾ e s a d a s
interpreta	i n t e ɾ p ɾ e t a
jin	x i n
magistrados	m a x i s t ɾ a d o s
manhattan	m a n a t a n
mares	m a ɾ e s
martinez	m a ɾ t i n e s
mintiendo	m i n t j e n d o
moviendo	m o b j e n d o
nula	n u l a
olvidé	o l b i d e
parker	p a ɾ k e ɾ
pensaban	p e n s a b a n
probando	p ɾ o b a n d o
proporcionan	p ɾ o p o ɾ s j o n a n
proporciones	p ɾ o p o ɾ s j o n e s
pudiste	p u d i s t e
pág	p a ɡ
quo	k w o
regresan	r e ɡ ɾ e s a n
representaba	r e p ɾ e s e n t a b a
residencial	r e s i d e n s j a l
soporta	s o p o ɾ t a
suene	s w e n e
sólidos	s o l i d o s
torneos	t o ɾ n e o s
tácticas	t a ɡ t i k a s
uk	u k
version	b e ɾ s j o n
vivieron	b i b j e ɾ o n
about	a b u t
admitió	a d m i t j o
adquirió	a d k i ɾ j o
agarró	a ɡ a r o
agrada	a ɡ ɾ a d a
ajenos	a x e n o s
analistas	a n a l i s t a s
apareciendo	a p a ɾ e s j e n d o
asiste	a s i s t e
benjamin	b e n x a m i n
buscaban	b u s k a b a n
califica	k a l i f i k a
cambiemos	k a m b j e m o s
camp	k a m p
ceremonias	s e ɾ e m o n j a s
concentraciones	k o n s e n t ɾ a s j o n e s
continúe	k o n t i n u e
convirtiéndose	k o m b i ɾ t j e n d o s e
cooper	k o o p e ɾ
cortó	k o ɾ t o
creamos	k ɾ e a m o s
cueste	k w e s t e
cuestion	k w e s t j o n
defensas	d e f e n s a s
denuncian	d e n u n s j a n
desaparecen	d e s a p a ɾ e s e n
desaparecieron	d e s a p a ɾ e s j e ɾ o n
descripciones	d e s k ɾ i b s j o n e s
docenas	d o s e n a s
eligieron	e l i x j e ɾ o n
enfrentó	e n f ɾ e n t o
enterarse	e n t e ɾ a ɾ s e
ep	e p
evitarlo	e b i t a ɾ l o
franklin	f ɾ a n k l i n
frenos	f ɾ e n o s
futbolistas	f u d b o l i s t a s
globos	ɡ l o b o s
grabando	ɡ ɾ a b a n d o
habra	a b ɾ a
happy	x a p i
humanidades	u m a n i d a d e s
impidió	i m p i d j o
informaron	i n f o ɾ m a ɾ o n
inspira	i n s p i ɾ a
insumos	i n s u m o s
intentamos	i n t e n t a m o s
inversa	i m b e ɾ s a
jordi	x o ɾ d i
jurídicos	x u ɾ i d i k o s
khan	k a n
land	l a n d
latin	l a t i n
lenguajes	l e n ɡ w a x e s
levanto	l e b a n t o
libera	l i b e ɾ a
lu	l u
marcan	m a ɾ k a n
misterios	m i s t e ɾ j o s
municiones	m u n i s j o n e s
máscaras	m a s k a ɾ a s
nancy	n a n s i
novias	n o b j a s
olvidan	o l b i d a n
parezco	p a ɾ e s k o
people	p e o p l e
petersburgo	p e t e ɾ s b u ɾ ɡ o
poblacion	p o b l a s j o n
protestantes	p ɾ o t e s t a n t e s
provisiones	p ɾ o b i s j o n e s
refiriéndose	r e f i ɾ j e n d o s e
relativas	r e l a t i b a s
relojes	r e l o x e s
ricky	r i k i
semifinales	s e m i f i n a l e s
society	s o s j e t i
subieron	s u b j e ɾ o n
superan	s u p e ɾ a n
superficies	s u p e ɾ f i s j e s
terminen	t e ɾ m i n e n
traiga	t ɾ a i ɡ a
tratos	t ɾ a t o s
velocidades	b e l o s i d a d e s
aduanas	a d w a n a s
ajustes	a x u s t e s
almacenes	a l m a s e n e s
aportan	a p o ɾ t a n
bank	b a n k
cambien	k a m b j e n
cohetes	k o e t e s
combatientes	k o m b a t j e n t e s
comience	k o m j e n s e
contribuyó	k o n t ɾ i b u ʝ o
convertirá	k o m b e ɾ t i ɾ a
cruzando	k ɾ u s a n d o
danny	d a n i
dean	d e a n
diciéndole	d i s j e n d o l e
disponen	d i s p o n e n
disturbios	d i s t u ɾ b j o s
dudes	d u d e s
entendiendo	e n t e n d j e n d o
entere	e n t e ɾ e
esten	e s t e n
fibras	f i b ɾ a s
first	f i ɾ s t
frescos	f ɾ e s k o s
gemelos	x e m e l o s
hi	i
ideologías	i d e o l o x i a s
ingresa	i n ɡ ɾ e s a
inversionistas	i m b e ɾ s j o n i s t a s
ipad	i p a d
jodida	x o d i d a
kate	k a t e
manejan	m a n e x a n
manuales	m a n w a l e s
marshall	m a ɾ ʃ a l
miré	m i ɾ e
modalidades	m o d a l i d a d e s
mártires	m a ɾ t i ɾ e s
nina	n i n a
paralela	p a ɾ a l e l a
pautas	p a u t a s
pegó	p e ɡ o
pieles	p j e l e s
pierdan	p j e ɾ d a n
ponernos	p o n e ɾ n o s
presenten	p ɾ e s e n t e n
provocan	p ɾ o b o k a n
publicando	p u b l i k a n d o
recordaba	r e k o ɾ d a b a
respetan	r e s p e t a n
respira	r e s p i ɾ a
riquezas	r i k e s a s
sacaste	s a k a s t e
sirviendo	s i ɾ b j e n d o
stanley	e s t a n l e i
sucios	s u s j o s
superman	s u p e ɾ m a n
tenias	t e n j a s
trabaje	t ɾ a b a x e
vincent	b i n s e n
visitando	b i s i t a n d o
wi	w i
acompañó	a k o m p a ɲ o
adoptó	a d o b t o
alegando	a l e ɡ a n d o
amables	a m a b l e s
analizando	a n a l i s a n d o
anunciaron	a n u n s j a ɾ o n
aspirantes	a s p i ɾ a n t e s
bachelet	b a t͡ʃ e l e t
bellos	b e ʝ o s
cabron	k a b ɾ o n
celu	s e l u
champions	t͡ʃ a m p j o n s
combates	k o m b a t e s
confirman	k o n f i ɾ m a n
congresos	k o n ɡ ɾ e s o s
conocían	k o n o s i a n
contaron	k o n t a ɾ o n
cuadernos	k w a d e ɾ n o s
decis	d e s i s
dei	d e i
dí	d i
empiezas	e m p j e s a s
entiendan	e n t j e n d a n
entregan	e n t ɾ e ɡ a n
escribes	e s k ɾ i b e s
estaria	e s t a ɾ j a
explota	e ɡ s p l o t a
expresarse	e ɡ s p ɾ e s a ɾ s e
formatos	f o ɾ m a t o s
galaxy	ɡ a l a ɡ s i
habitan	a b i t a n
impiden	i m p i d e n
influye	i n f l u ʝ e
lagunas	l a ɡ u n a s
lanzan	l a n s a n
late	l a t e
lider	l i d e ɾ
mb	e m b e
norman	n o ɾ m a n
núcleos	n u k l e o s
oponerse	o p o n e ɾ s e
patadas	p a t a d a s
planteó	p l a n t e o
preparativos	p ɾ e p a ɾ a t i b o s
prestan	p ɾ e s t a n
quisieran	k i s j e ɾ a n
quitaron	k i t a ɾ o n
realice	r e a l i s e
refuerzos	r e f w e ɾ s o s
rejas	r e x a s
resultando	r e s u l t a n d o
sabría	s a b ɾ i a
sindicales	s i n d i k a l e s
skype	e s k a i p
transferencias	t ɾ a n s f e ɾ e n s j a s
traía	t ɾ a i a
viví	b i b i
aa	a a
accesibles	a ɡ s e s i b l e s
arregla	a r e ɡ l a
asiáticos	a s j a t i k o s
ban	b a n
barranquilla	b a r a n k i ʝ a
brooklyn	b ɾ u k l i n
business	b u s i n e s
but	b u t
cejas	s e x a s
centenares	s e n t e n a ɾ e s
comités	k o m i t e s
cuenten	k w e n t e n
dejaban	d e x a b a n
descargas	d e s k a ɾ ɡ a s
detuvieron	d e t u b j e ɾ o n
direccion	d i ɾ e ɡ s j o n
dispuso	d i s p u s o
eficaces	e f i k a s e s
emergentes	e m e ɾ x e n t e s
encontrarán	e n k o n t ɾ a ɾ a n
esferas	e s f e ɾ a s
estabamos	e s t a b a m o s
estableciendo	e s t a b l e s j e n d o
exigiendo	e ɡ s i x j e n d o
fascistas	f a s i s t a s
france	f ɾ a n s e
frances	f ɾ a n s e s
frecuencias	f ɾ e k w e n s j a s
fred	f ɾ e d
gestiones	x e s t j o n e s
graciosa	ɡ ɾ a s j o s a
gritó	ɡ ɾ i t o
guido	ɡ i d o
harris	a r i s
huye	u ʝ e
inmediaciones	i m m e d j a s j o n e s
inquietudes	i n k j e t u d e s
internacionalmente	i n t e ɾ n a s j o n a l m e n t e
jerry	x e r i
ladrillos	l a d ɾ i ʝ o s
lomas	l o m a s
mitre	m i t ɾ e
mud	m u d
objetiva	o b x e t i b a
old	o l d
organizadores	o ɾ ɡ a n i s a d o ɾ e s
otorgó	o t o ɾ ɡ o
pagará	p a ɡ a ɾ a
participaciones	p a ɾ t i s i p a s j o n e s
planteamiento	p l a n t e a m j e n t o
promociones	p ɾ o m o s j o n e s
proyecciones	p ɾ o ʝ e ɡ s j o n e s
registraron	r e x i s t ɾ a ɾ o n
roman	r o m a n
rompieron	r o m p j e ɾ o n
saltó	s a l t o
sentirte	s e n t i ɾ t e
significó	s i ɡ n i f i k o
solicitando	s o l i s i t a n d o
state	e s t a t e
subo	s u b o
suponen	s u p o n e n
tatuajes	t a t w a x e s
tc	t e s e
temores	t e m o ɾ e s
tesoros	t e s o ɾ o s
tips	t i b s
triunfos	t ɾ j u n f o s
ab	a b
acudió	a k u d j o
agresiva	a ɡ ɾ e s i b a
alberga	a l b e ɾ ɡ a
alcanzaron	a l k a n s a ɾ o n
alteraciones	a l t e ɾ a s j o n e s
aprendan	a p ɾ e n d a n
arrancó	a r a n k o
asciende	a s j e n d e
asentamientos	a s e n t a m j e n t o s
barbara	b a ɾ b a ɾ a
barry	b a r i
brilla	b ɾ i ʝ a
buscarlo	b u s k a ɾ l o
cambiaría	k a m b j a ɾ i a
colabora	k o l a b o ɾ a
confunde	k o n f u n d e
consistía	k o n s i s t i a
controlan	k o n t ɾ o l a n
cortinas	k o ɾ t i n a s
dejarme	d e x a ɾ m e
discípulos	d i s i p u l o s
dragones	d ɾ a ɡ o n e s
dylan	d i l a n
emplean	e m p l e a n
enciende	e n s j e n d e
espirituales	e s p i ɾ i t w a l e s
espías	e s p i a s
esquemas	e s k e m a s
esquinas	e s k i n a s
estimaciones	e s t i m a s j o n e s
gallinas	ɡ a ʝ i n a s
ignorando	i ɡ n o ɾ a n d o
infecciones	i n f e ɡ s j o n e s
inspiró	i n s p i ɾ o
ken	k e n
maletas	m a l e t a s
manifiestan	m a n i f j e s t a n
meterme	m e t e ɾ m e
metí	m e t i
mp	e m p e
márgenes	m a ɾ x e n e s
navegador	n a b e ɡ a d o ɾ
ocultos	o k u l t o s
parecería	p a ɾ e s e ɾ i a
perderse	p e ɾ d e ɾ s e
pinos	p i n o s
podrias	p o d ɾ j a s
precauciones	p ɾ e k a u s j o n e s
produzca	p ɾ o d u s k a
provee	p ɾ o b e e
querría	k e r i a
reduciendo	r e d u s j e n d o
repiten	r e p i t e n
spotify	e s p o t i f i
suenan	s w e n a n
sugiero	s u x j e ɾ o
suscriptores	s u s k ɾ i b t o ɾ e s
thompson	t o m b s o n
tiburones	t i b u ɾ o n e s
trabajaban	t ɾ a b a x a b a n
yang	ʝ a n
abran	a b ɾ a n
aceptando	a s e b t a n d o
amarillas	a m a ɾ i ʝ a s
anécdotas	a n e ɡ d o t a s
ayudarme	a ʝ u d a ɾ m e
carajos	k a ɾ a x o s
comenzará	k o m e n s a ɾ a
composiciones	k o m p o s i s j o n e s
consumen	k o n s u m e n
correctas	k o r e ɡ t a s
creyeron	k ɾ e ʝ e ɾ o n
criticó	k ɾ i t i k o
cs	s e s e
cuchillos	k u t͡ʃ i ʝ o s
destacando	d e s t a k a n d o
dispuestas	d i s p w e s t a s
emily	e m i l i
entregaron	e n t ɾ e ɡ a ɾ o n
eramos	e ɾ a m o s
escucharlo	e s k u t͡ʃ a ɾ l o
especificaciones	e s p e s i f i k a s j o n e s
existiera	e ɡ s i s t j e ɾ a
ferias	f e ɾ j a s
fumando	f u m a n d o
funcionaba	f u n s j o n a b a
fósiles	f o s i l e s
ganados	ɡ a n a d o s
gonzalez	ɡ o n s a l e s
got	ɡ o t
grabados	ɡ ɾ a b a d o s
guardan	ɡ w a ɾ d a n
interes	i n t e ɾ e s
intervino	i n t e ɾ b i n o
involucra	i m b o l u k ɾ a
josh	x o ʃ
levantan	l e b a n t a n
llegarán	ʝ e ɡ a ɾ a n
llegues	ʝ e ɡ e s
marítima	m a ɾ i t i m a
metieron	m e t j e ɾ o n
miento	m j e n t o
moscas	m o s k a s
neuronas	n e u ɾ o n a s
noticiero	n o t i s j e ɾ o
notó	n o t o
nov	n o b
obteniendo	o b t e n j e n d o
ofrecía	o f ɾ e s i a
pagaron	p a ɡ a ɾ o n
paginas	p a x i n a s
phil	f i l
philip	f i l i p
porcentajes	p o ɾ s e n t a x e s
productivos	p ɾ o d u ɡ t i b o s
regaló	r e ɡ a l o
ritmos	r i d m o s
sabias	s a b j a s
sacarlo	s a k a ɾ l o
sao	s a o
servía	s e ɾ b i a
sonrisas	s o n r i s a s
spanish	e s p a n i ʃ
store	e s t o ɾ e
tardó	t a ɾ d o
tercios	t e ɾ s j o s
trabajaron	t ɾ a b a x a ɾ o n
votan	b o t a n
ósea	o s e a
aaron	a a ɾ o n
accede	a ɡ s e d e
acompañando	a k o m p a ɲ a n d o
alfred	a l f ɾ e d
apunto	a p u n t o
atractivos	a t ɾ a ɡ t i b o s
atravesando	a t ɾ a b e s a n d o
bebes	b e b e s
bestias	b e s t j a s
bin	b i n
bloquea	b l o k e a
camaradas	k a m a ɾ a d a s
caracterizan	k a ɾ a ɡ t e ɾ i s a n
charlotte	t͡ʃ a ɾ l o t
chelsea	t͡ʃ e l s e a
conste	k o n s t e
construyeron	k o n s t ɾ u ʝ e ɾ o n
cubriendo	k u b ɾ j e n d o
dead	d e a d
dejarán	d e x a ɾ a n
dennis	d e n n i s
deshacerse	d e s a s e ɾ s e
duermo	d w e ɾ m o
east	e a s t
elegí	e l e x i
embarcaciones	e m b a ɾ k a s j o n e s
english	e n ɡ l i ʃ
enseñaron	e n s e ɲ a ɾ o n
entenderlo	e n t e n d e ɾ l o
esp	e s p e
esperen	e s p e ɾ e n
estalló	e s t a ʝ o
finaliza	f i n a l i s a
formula	f o ɾ m u l a
grace	ɡ ɾ a s e
gratuitos	ɡ ɾ a t w i t o s
gray	ɡ ɾ e i
hadas	a d a s
imaginaba	i m a x i n a b a
injusticias	i n x u s t i s j a s
intentas	i n t e n t a s
leido	l e i d o
llevarla	ʝ e b a ɾ l a
mineras	m i n e ɾ a s
molinos	m o l i n o s
muñecas	m u ɲ e k a s
notificaciones	n o t i f i k a s j o n e s
paran	p a ɾ a n
pasarán	p a s a ɾ a n
pasiones	p a s j o n e s
pastores	p a s t o ɾ e s
pidan	p i d a n
pongamos	p o n ɡ a m o s
presume	p ɾ e s u m e
prime	p ɾ i m e
progresiva	p ɾ o ɡ ɾ e s i b a
promotores	p ɾ o m o t o ɾ e s
pronunció	p ɾ o n u n s j o
rachel	r a t͡ʃ e l
recomendó	r e k o m e n d o
reseñas	r e s e ɲ a s
seguiría	s e ɡ i ɾ i a
sobrevivió	s o b ɾ e b i b j o
terry	t e r i
traerá	t ɾ a e ɾ a
transformó	t ɾ a n s f o ɾ m o
trasladó	t ɾ a s l a d o
tratas	t ɾ a t a s
volviera	b o l b j e ɾ a
élites	e l i t e s
aceptamos	a s e b t a m o s
aconseja	a k o n s e x a
acuerdan	a k w e ɾ d a n
amenazó	a m e n a s o
ansias	a n s j a s
arrepiento	a r e p j e n t o
atributos	a t ɾ i b u t o s
avila	a b i l a
ayudarnos	a ʝ u d a ɾ n o s
book	b u k
celebraron	s e l e b ɾ a ɾ o n
combinaciones	k o m b i n a s j o n e s
comentan	k o m e n t a n
comprarme	k o m p ɾ a ɾ m e
concentra	k o n s e n t ɾ a
continentes	k o n t i n e n t e s
contrató	k o n t ɾ a t o
corresponda	k o r e s p o n d a
cortan	k o ɾ t a n
dejaran	d e x a ɾ a n
disfruto	d i s f ɾ u t o
division	d i b i s j o n
enteró	e n t e ɾ o
equivoca	e k i b o k a
estables	e s t a b l e s
expensas	e ɡ s p e n s a s
ganaba	ɡ a n a b a
guardo	ɡ w a ɾ d o
hamilton	a m i l t o n
herederos	e ɾ e d e ɾ o s
huéspedes	w̝ e s p e d e s
hábiles	a b i l e s
identifican	i d e n t i f i k a n
ignoran	i ɡ n o ɾ a n
ilegalmente	i l e ɡ a l m e n t e
inauguró	i n a u ɡ u ɾ o
institute	i n s t i t u t e
llevarte	ʝ e b a ɾ t e
london	l o n d o n
magos	m a ɡ o s
mercenarios	m e ɾ s e n a ɾ j o s
merecemos	m e ɾ e s e m o s
molestias	m o l e s t j a s
mueran	m w e ɾ a n
multinacionales	m u l t i n a s j o n a l e s
net	n e t
nose	n o s e
ofrezco	o f ɾ e s k o
picos	p i k o s
plantean	p l a n t e a n
preferiría	p ɾ e f e ɾ i ɾ i a
probarlo	p ɾ o b a ɾ l o
príncipes	p ɾ i n s i p e s
pusimos	p u s i m o s
qe	k e
rd	e ɾ d e
reclaman	r e k l a m a n
reir	r e i ɾ
robinson	r o b i n s o n
satélites	s a t e l i t e s
segmentos	s e ɡ m e n t o s
sensores	s e n s o ɾ e s
sky	e s k i
sosteniendo	s o s t e n j e n d o
suponiendo	s u p o n j e n d o
suroeste	s u ɾ o e s t e
susan	s u s a n
techos	t e t͡ʃ o s
tramos	t ɾ a m o s
trolls	t ɾ o l s
yacimientos	ʝ a s i m j e n t o s
ángulos	a n ɡ u l o s
ancestros	a n s e s t ɾ o s
anotó	a n o t o
anuncian	a n u n s j a n
april	a p ɾ i l
asocia	a s o s j a
candidaturas	k a n d i d a t u ɾ a s
cimientos	s i m j e n t o s
colaboró	k o l a b o ɾ o
competentes	k o m p e t e n t e s
confiesa	k o n f j e s a
contaban	k o n t a b a n
contarle	k o n t a ɾ l e
contenedores	k o n t e n e d o ɾ e s
conté	k o n t e
crezca	k ɾ e s k a
dallas	d a ʝ a s
desarrollarse	d e s a r o ʝ a ɾ s e
detienen	d e t j e n e n
detras	d e t ɾ a s
embajadores	e m b a x a d o ɾ e s
empecemos	e m p e s e m o s
equivalentes	e k i b a l e n t e s
escalas	e s k a l a s
escribieron	e s k ɾ i b j e ɾ o n
especifica	e s p e s i f i k a
estereotipos	e s t e ɾ e o t i p o s
feas	f e a s
flechas	f l e t͡ʃ a s
formaban	f o ɾ m a b a n
fotógrafos	f o t o ɡ ɾ a f o s
fé	f e
guardianes	ɡ w a ɾ d j a n e s
hans	a n s
huelgas	w̝ e l ɡ a s
human	u m a n
impactos	i m p a ɡ t o s
influyentes	i n f l u ʝ e n t e s
ingresó	i n ɡ ɾ e s o
innovaciones	i n n o b a s j o n e s
iso	i s o
jacques	x a k e s
jajajaj	x a x a x a x
jejeje	x e x e x e
jodas	x o d a s
kurt	k u ɾ t
llenó	ʝ e n o
luchó	l u t͡ʃ o
lucy	l u s i
mandos	m a n d o s
