abad	a b a d
dialektik	d i a l e k t i k
diam	d i a m
diari	d a j r i
dibaguskan	d i b a ɡ o s k a n
dibaharui	d i b a h a r u i
dibahas	d i b a h a s
dibahaskan	d i b a h a s k a n
dibayar	d i b a j a
dibincangkan	d i b i n t͡ʃ a ŋ k a n
dibundarkan	d i b u n d a k a n
dicipta	d i t͡ʃ i p t a
dicontoh	d i t͡ʃ o n t o h
dicontohi	d i t͡ʃ o n t o h i
dicontohkan	d i t͡ʃ o n t o h k a n
didik	d i d e k
didiskriminasikan	d i d i s k r i m i n a s i k a n
diduduki	d i d u d o k i
diem	d i ə m
difikir	d i f i k e
diglosia	d i ɡ l o s i a
digosok	d i ɡ o s o k
digraf	d i ɡ r a f
diimplementasikan	d i i m p l e m e n t a s i k a n
diinsafi	d i ʔ i n s a f i
diinsafkan	d i ʔ i n s a f k a n
dijawab	d i d͡ʒ a w a b
dijengah	d i d͡ʒ ə ŋ a h
dijepunkan	d i d͡ʒ ə p u n k a n
dijustifikasikan	d i d͡ʒ a s t i f i k a s i k a n
dik	d e k
dikamuskan	d i k a m o s k a n
dikata	d i k a t a
dikau	d i k a w
dikedutkan	d i k ə d u t k a n
dikit	d i k i t
dikurniakan	d i k u r n i a k a n
dilabuhkan	d i l a b o h k a n
dilakukan	d i l a k u k a n
dilancarkan	d i l a n t͡ʃ a k a n
dilarang	d i l a r a ŋ
dilepaskan	d i l ə p a s k a n
dilestarikan	d i l e s t a r i k a n
diletakkan	d i l ə t a k k a n
dilokap	d i l o k a p
dimakan	d i m a k a n
dimampankan	d i m a m p a n k a n
dimasukkan	d i m a s o k k a n
dimelayukan	d i m ə l a j u k a n
dimengerti	d i m ə ŋ ə r t i
dimeterai	d i m ə t ə r a j
dimisalkan	d i m i s a l k a n
dimungkinkan	d i m u ŋ k e n k a n
din	d i n
dinamik	d i n a m i k
dinasti	d i n a s t i
dinda	d i n d a
dingin	d i ŋ e n
diorang	d i o r a ŋ
dipalingkan	d i p a l e ŋ k a n
dipecut	d i p ə t͡ʃ u t
dipegang	d i p ə ɡ a ŋ
dipekakkan	d i p ə k a k k a n
dipeningkan	d i p ə n i ŋ k a n
diperbaharu	d i p ə r b a h a r u
dipercontohkan	d i p ə r t͡ʃ o n t o h k a n
dipersembahkan	d i p ə r s ə m b a h k a n
dipertontonkan	d i p ə r t o n t o n k a n
dipertuan	d i p ə r t u a n
dipinta	d i p i n t a
dipotong	d i p o t o ŋ
diraja	d i r a d͡ʒ a
diregas	d i r ə ɡ a s
diregat	d i r ə ɡ a t
diri	d i r i
dirumikan	d i r u m e k a n
disajikan	d i s a d͡ʒ i k a n
disembah	d i s ə m b a h
disembahkan	d i s ə m b a h k a n
disesali	d i s ə s a l i
disesalkan	d i s ə s a l k a n
diseterika	d i s ə t ə r i k a
diskaun	d i s k a o n
diskriminasi	d i s k r i m i n a s i
diskriminasikan	d i s k r i m i n a s i k a n
disulam	d i s u l a m
disurat	d i s u r a t
disurati	d i s u r a t i
disuratkan	d i s u r a t k a n
disusurgalurkan	d i s u s o r ɡ a l o k a n
diswastakan	d i s u a s t a k a n
ditangkap	d i t a ŋ k a p
ditelefon	d i t e l i f o n
ditengok	d i t e ŋ o k
diterima	d i t ə r i m a
ditinjau	d i t i n d͡ʒ a u̯
ditipu	d i t i p u
ditonton	d i t o n t o n
divideokan	d i v i d e o k a n
divisyen	d i v i ʃ ə n
doa	d o a
dogol	d o ɡ o l
dokong	d o k o ŋ
doktor	d o k t o r
dokumentari	d o k u m e n t a r i
domestik	d o m e s t i k
dompet	d o m p e t
donat	d o n a t
dongak	d o ŋ a k
dongok	d o ŋ o k
dorong	d o r o ŋ
dosa	d o s a
drebar	d r e b a r
dsai	d i e s e j a j
dua	d u a
dubnium	d u b n i o m
dubur	d u b u r
duda	d u d a
duduk	d u d o k
duduki	d u d o k i
duga	d u ɡ a
dugong	d u ɡ o ŋ
duit	d u i t
duk	d o k
dukun	d u k o n
dulang	d u l a ŋ
duli	d u l i
dulu	d u l u
dungu	d u ŋ u
dunia	d u n i a
duodesilion	d u o d ɛ s i l i o n
duovigintilion	d u o v i ɡ i n t i l i o n
dupa	d u p a
duri	d u r i
durian	d u r i a n
duriat	d u r i a t
duyung	d u j o ŋ
dwi	d u i
edisi	e d i s i
ef	e f
ejek	e d͡ʒ e k
ejen	e d͡ʒ e n
eka	e k a
ekadasa	e k a d a s a
ekologi	e k o l o ɡ i
ekor	e k o
ekstremis	ɛ k s t r i m i s
elak	e l a k
elang	ə l a ŋ
elektrik	e l e k t r i k
elektron	e l ɛ k t r ɔ n
elit	e l i t
emak	ə m a k
emas	ə m a s
embacang	e m b a t͡ʃ a ŋ
emban	ə m b a n
embun	ə m b o n
emosi	e m o s i
emosional	e m o s i o n a l
empang	ə m p a ŋ
empangan	ə m p a ŋ a n
empat	ə m p a t
empayar	e m p a j a
empedal	ə m p ə d a l
emperit	ə m p ə r e t
empu	ə m p u
empulur	ə m p u l u r
empunya	ə m p u ɲ a
enak	e n a ʔ
enam	ə n a m
enau	ə n a w
encik	ə n t͡ʃ e k
endak	ə n d a ʔ
enggan	ə ŋ ɡ a n
engkau	ə ŋ k a u̯
engko	ə ŋ k o
engsel	e ŋ s e l
ensiklopedia	e n s a j k l o p i d i a
entah	ə n t a h
entak	ə n t a ʔ
erat	ə r a t
eru	ə r u
es	e s
esa	e s a
esok	e s o k
ewah	e w a h
faham	f a h a m
fahami	f a h a m i
fakta	f a k t a
faktor	f a k t o
falak	f a l a k
falsafah	f a l s a f a h
famili	f a m i l i
farisi	f a r i s i
fasal	f a s a l
fatah	f a t a h
fatimah	f a t i m a h
fatwa	f a t w a
feminis	f e m i n i s
feri	f e r i
fesyen	f e ʃ ə n
fidah	f i d a h
fiil	f ɪ ʕ l
fikir	f i k i r
fikiri	f i k e r i
fikirkan	f i k i r k a n
fikologi	f i k o l o ɡ i
filem	f i l ə m
filipina	f i l i p i n a
filologi	f i l o l o ɡ i
filpen	f i l p e n
fisiologi	f i s i o l o d͡ʒ i
fitoterapi	f a j t o t e r ə p i
fluorin	f l u ɔ r ɪ n
fly	f l a j
fonologi	f o n o l o d͡ʒ i
formal	f o m a l
forsep	f o s e p
fosfor	f o s f o
fosforus	f o s f o r o s
fransium	f r a n s i o m
frekuensi	f r ə k u ə n s i
fungsi	f u ŋ s i
futanari	f u t a n a r i
fuyoh	f u j oː
gaban	ɡ a b a n
gading	ɡ a d e ŋ
gaduh	ɡ a d o
gadung	ɡ a d ʊ ŋ
gagah	ɡ a ɡ a h
gagak	ɡ a ɡ a k
gahara	ɡ a h a r a
gajah	ɡ a d͡ʒ a h
gak	ɡ a k
galah	ɡ a l a h
gali	ɡ a l i
galian	ɡ a l i a n
galium	ɡ a l i o m
gamat	ɡ a m a t
gambar	ɡ a m b a
gambir	ɡ a m b e
gambus	ɡ a m b u s
gamelan	ɡ a m e l a n
gamer	ɡ a m ə r
ganar	ɡ a n a r
ganas	ɡ a n a s
gandum	ɡ a n d o m
gangga	ɡ a ŋ ɡ a
ganggang	ɡ a ŋ ɡ a ŋ
gangguan	ɡ a ŋ ɡ u a n
gangsa	ɡ a ŋ s a
ganjat	ɡ a n d͡ʒ a t
ganjil	ɡ a n d͡ʒ i l
gantang	ɡ a n t a ŋ
gantung	ɡ a n t u ŋ
ganu	ɡ a n u
garaj	ɡ a r a d͡ʒ
garang	ɡ a r a ŋ
garasi	ɡ a r a s i
garau	ɡ a r a u̯
gari	ɡ a r i
garing	ɡ a r i ŋ
garis	ɡ a r e s
garpu	ɡ a r p u
garu	ɡ a r u
gas	ɡ a s
gatai	ɡ a t a j
gatal	ɡ a t a
gayung	ɡ a j u ŋ
gbs	d͡ʒ i b i e s
gebar	ɡ ə b a r
gedang	ɡ ə d a ŋ
gedegang	ɡ ə d ə ɡ a ŋ
gegana	ɡ ə ɡ a n a
gegantung	ɡ ə ɡ a n t u ŋ
gegat	ɡ ə ɡ a t
gegelung	ɡ ə ɡ ə l u ŋ
gejala	ɡ ə d͡ʒ a l a
gelak	ɡ ə l a k
gelam	ɡ ə l a m
gelang	ɡ ə l a ŋ
gelanggang	ɡ ə l a ŋ ɡ a ŋ
gelap	ɡ ə l a p
gelar	ɡ ə l a
gelas	ɡ ə l a s
gelemat	ɡ ə l ə m a t
gelen	ɡ e l e n
gelenggang	ɡ ə l e ŋ ɡ a ŋ
gelinggang	ɡ ə l i ŋ ɡ a ŋ
gelisah	ɡ ə l i s a h
gelombang	ɡ ə l o m b a ŋ
gelora	ɡ ə l o r a
gelung	ɡ ə l o ŋ
gem	ɡ e m
gema	ɡ e m a
gembala	ɡ ə m b a l a
gembira	ɡ ə m b i r ə
gemilang	ɡ ə m i l a ŋ
geming	ɡ ə m e ŋ
gempak	ɡ ə m p a k
gemuk	ɡ ə m o k
gemulah	ɡ ə m u l a h
gen	ɡ e n
genang	ɡ ə n a ŋ
genap	ɡ ə n a p
generasi	d͡ʒ ə n ə r a s i
geng	ɡ e ŋ
genggam	ɡ ə ŋ ɡ a m
genggang	ɡ ə ŋ ɡ a ŋ
gentian	ɡ ə n t i a n
geografi	ɡ e o ɡ r a f i
gera	ɡ ə r a
gerabak	ɡ ə r a b a k
gerai	ɡ ə r a j
gerakan	ɡ ə r a k a n
geran	ɡ ə r a n
gereja	ɡ ə r e d͡ʒ a
gerek	ɡ e r e ʔ
gergasi	ɡ ə r ɡ a s i
gerhana	ɡ ə h a n ə
gerigi	ɡ ə r i ɡ i
gering	ɡ ə r i ŋ
getah	ɡ ə t a h
gewang	ɡ e w a ŋ
gi	ɡ i
giang	ɡ i a ŋ
gigi	ɡ i ɡ i
gigil	ɡ i ɡ i l
gigit	ɡ i ɡ e t
gimam	ɡ i m a m
gincu	ɡ i n t͡ʃ u
gingam	ɡ i ŋ a m
ginjal	ɡ i n d͡ʒ a l
gita	ɡ i t a
gitar	ɡ i t a
gitau	ɡ i t a w
globalisasi	ɡ l o b a l i s a s i
godam	ɡ o d a m
golok	ɡ o l o ʔ
gomen	ɡ o m e n
gong	ɡ o ŋ
gonggong	ɡ o ŋ ɡ o ŋ
goreng	ɡ o r e ŋ
gosok	ɡ o s o k
gostan	ɡ o s t a n
goyang	ɡ o j a ŋ
gps	d͡ʒ i p i e s
graduasi	ɡ r a d u a s i
graha	ɡ r a h a
gramatis	ɡ r a m a t i s
gratis	ɡ r a t i s
grs	d͡ʒ i a r ə s
grup	ɡ r u p
gua	ɡ u a
guam	ɡ u a m
guar	ɡ u a r
gubra	ɡ ä b r äː
gudang	ɡ u d a ŋ
gugur	ɡ u ɡ o
gula	ɡ u l a
gulai	ɡ u l a j
guli	ɡ u l i
guling	ɡ u l e ŋ
gulung	ɡ u l u ŋ
gulungan	ɡ u l u ŋ a n
gumpal	ɡ u m p a l
guna	ɡ u n a
guni	ɡ u n i
gunting	ɡ u n t e ŋ
guntur	ɡ u n t o
gunung	ɡ u n o ŋ
gurau	ɡ u r a w
gurita	ɡ u r i t a
guruh	ɡ u r u h
gurun	ɡ u r o n
gus	ɡ u s
haba	h a b a
habis	h a b e s
habuan	h a b u a n
had	h a d
hadang	h a d a ŋ
hadap	h a d a p
hadapan	h a d a p a n
hadir	h a d i r
hahnium	h a h n i o m
hai	h a i̯
haid	h a j d
hairan	h a i r a n
haiwan	h a i w a n
hajat	h a d͡ʒ a t
haji	h a d͡ʒ i
hak	h a k
hakim	h a k e m
hakis	h a k i s
hal	h a l
halaju	h a l a d͡ʒ u
halaman	h a l a m a n
halang	h a l a ŋ
halau	h a l a u̯
halia	h a l i a
halilintar	h a l i l i n t a
halkum	h a l k u m
halusinasi	h a l u s i n a s i
halwa	h a l w a
hambar	h a m b a r
hamil	h a m e l
hampar	h a m p a
hampas	h a m p a s
hampeh	h a m p e h
hampir	h a m p e
handal	h a n d a l
hang	h a ŋ
hangat	h a ŋ a t
hangit	h a ŋ e t
hantar	h a n t a
hantu	h a n t u
hanya	h a ɲ a
hanyir	h a ɲ e
hanyut	h a ɲ o t
hapus	h a p u s
harap	h a r a p
harga	h a r ɡ a
hari	h a r i
harimau	h a r i m a w
haron	h a r o n
harta	h a r t a
hartal	h a r t a l
haruan	h a r u a n
harun	h a r o n
harung	h a r o ŋ
hasta	h a s t a
hati	h a t i
hatur	h a t o
haus	h a o s
hawa	h a w a
hayam	h a j a m
hayun	h a j u n
hebat	h e b a t
hec	h e t͡ʃ
hela	h e l a
helai	h ə l a i
helang	h ə l a ŋ
helium	h e l i o m
hembus	h ə m b u s
hempedal	h ə m p ə d a l
hempedu	h ə m p ə d u
hendak	h ə n d a k
hensem	h e n s ə m
hentak	h ə n t a k
hentam	h ə n t a m
henti	h ə n t i
henyak	h ə ɲ a k
herbivor	h ə r b i v o r
hering	h ə r e ŋ
hias	h i a s
hiasan	h i j ä s ä n
hiatus	h i a t u s
hibernasi	h a j b ə n a s i
hibira	h i b i r a
hibur	h i b o
hiburan	h i b u r a n
hidap	h i d a p
hidraulik	h i d r a u l i k
hidrogen	h i d r o ɡ ə n
hidrologi	h a j d r o l o d͡ʒ i
hidu	h i d u
hidung	h i d o ŋ
hidup	h i d o p
hierarki	h i r a r k i
hikayat	h i k a j a t
hilang	h i l a ŋ
hilir	h i l i r
himar	h i m a
himpun	h i m p o n
hina	h i n a
hinggap	h i ŋ ɡ a p
hingget	h i ŋ ɡ e t
hingus	h i ŋ u s
hipotermia	h a j p o t ə m i a
hirau	h i r a w
hirup	h i r u p
hitam	h i t a m
hitung	h i t o ŋ
hitungan	h i t u ŋ a n
hiu	h i w
hoi	h o i
hoki	h o k i
holanda	h o l a n d a
hon	h o n
hormat	h o r m a t
hospital	h o s p i t a l
hubungan	h u b u ŋ a n
hujan	h u d͡ʒ a n
hujung	h u d͡ʒ o ŋ
hukum	h u k u m
hulu	h u l u
hulur	h u l u r
huma	h u m a
hungary	h u ŋ ɡ ə r i
hunus	h u n u s
huruf	h u r o f
huski	h u s k i
hutan	h u t a n
hutang	h u t a ŋ
ialah	j a l a h
iau	i a u̯
iban	i b a n
ibu	i b u
ibus	i b u s
ichibos	i t͡ʃ i b o s
icibos	i t͡ʃ i b o s
idea	a j d i ə
idealisme	a j d i ə l i s m a
ijat	i d͡ʒ a t
ijazah	i d͡ʒ a z a h
ijok	i d͡ʒ o ʔ
ijuk	i d͡ʒ o k
ikan	i k a n
ikat	i k a t
ikhtiar	i x t i a r
iklan	i k l a n
ikut	i k ʊ t
ilah	i l a h
ilham	i l h a m
imadiyat	i m a d i j a t
imaginatif	i m a d͡ʒ i n a t i f
iman	i m a n
imarah	i m a r a h
imbas	i m b a s
imej	i m ɛ d͡ʒ
imejan	i m ɛ d͡ʒ a n
imigresen	i m i ɡ r e s e n
imigresyen	i m i ɡ r ə ʃ ə n
imperatif	i m p e r a t i f
impi	i m p i
implementasi	i m p l e m e n t a s i
implementasikan	i m p l e m e n t a s i k a n
import	i m p o t
ina	i n a
inap	i n a p
indera	i n d ə r a
indogsial	i n d o ɡ s i a l
indon	i n d o n
indonesia	i n d o n e s i a
inersia	i n ə r s i a
inflasi	i n f l a s i
infrabunyi	i n f r a b u ɲ i
inframerah	i n f r a m e r a h
infrastruktur	i n f r a s t r u k t o
ingat	i ŋ a t
ingin	i ŋ i n
ingsun	i ŋ s o n
ini	i n i
inisiatif	i n i s i a t i f
injap	i n d͡ʒ a p
insaf	i n s a f
insafi	i n s a f i
insafkan	i n s a f k a n
insan	i n s a n
insolvensi	i n s o l v ə n s i
intan	i n t a n
interaksi	i n t ə a k s i
internet	i n t ə n e t
intertrigo	i n t ə r t r i ɡ o
invois	i n v o i s
iolls	a j o l s
ipoh	i p o h
ipuh	i p o h
iran	i r a n
iring	i r i ŋ
iritasi	i r i t a s i
isekai	i s e k a j
isi	i s i
isih	i s i h
isim	i s e m
isnin	i s n e n
isteri	i s t ə r i
istiadat	ɪ s t i a d a t̚
istimewa	i s t i m e w a
isy	i ʃ
isyak	i ʃ a ʔ
itali	i t a l i
itam	i t a m
itik	i t e k
itu	i t u
jadah	d͡ʒ a d a h
jadi	d͡ʒ a d i
jadual	d͡ʒ a d u a l
jaga	d͡ʒ a ɡ a
jagat	d͡ʒ a ɡ a t
jaguar	d͡ʒ a ɡ u a
jagung	d͡ʒ a ɡ o ŋ
jahat	d͡ʒ a h a t
jahit	d͡ʒ a h i t
jais	d͡ʒ a i s
jajah	d͡ʒ a d͡ʒ a h
jajahan	d͡ʒ a d͡ʒ a h a n
jakarta	d͡ʒ a k a r t a
jakim	d͡ʒ a k i m
jakoa	d͡ʒ a k o a
jala	d͡ʒ a l a
jalan	d͡ʒ a l a n
jalang	d͡ʒ a l a ŋ
jalur	d͡ʒ a l o
jam	d͡ʒ a m
jamban	d͡ʒ a m b a n
jambu	d͡ʒ a m b u
jamin	d͡ʒ a m i n
jampi	d͡ʒ a m p i
jamung	d͡ʒ a m u ŋ
janda	d͡ʒ a n d a
jangak	d͡ʒ a ŋ a k
jangan	d͡ʒ a ŋ a n
janggi	d͡ʒ a ŋ ɡ i
jangka	d͡ʒ a ŋ k a
jangkit	d͡ʒ a ŋ k e t
jangkitan	d͡ʒ a ŋ k i t a n
janji	d͡ʒ a n d͡ʒ i
jantan	d͡ʒ a n t a n
jantung	d͡ʒ a n t o ŋ
jap	d͡ʒ a p
jarak	d͡ʒ a r a k
jarang	d͡ʒ a r a ŋ
jargon	d͡ʒ a r ɡ o n
jari	d͡ʒ a r i
jaring	d͡ʒ a r i ŋ
jaringan	d͡ʒ a r e ŋ a n
jarum	d͡ʒ a r u m
jasad	d͡ʒ a s a d
jasmani	j a s m a n i
jata	d͡ʒ a t a
jati	d͡ʒ a t i
jatuh	d͡ʒ a t o h
jauh	d͡ʒ a o h
jauhkan	d͡ʒ a o h k a n
jawab	d͡ʒ a w a b
jawaban	d͡ʒ a w a b a n
jawapan	d͡ʒ a w a p a n
jawatan	d͡ʒ a w a t a n
jawatankuasa	d͡ʒ a w a t a n k u a s a
jawi	d͡ʒ a w i
jaya	d͡ʒ a j a
jb	d͡ʒ e j b i
jbpm	d͡ʒ ə j b i p i e m
je	d͡ʒ e
jeda	d͡ʒ e d a
jejak	d͡ʒ ə d͡ʒ a ʔ
jejawi	d͡ʒ ə d͡ʒ a w i
jeladeri	d͡ʒ ə l a d ə r i
jelai	d͡ʒ ə l a i̯
jelak	d͡ʒ ə l a k
jelapang	d͡ʒ ə l a p a ŋ
jelata	d͡ʒ ə l a t a
jelatang	d͡ʒ ə l a t a ŋ
jeling	d͡ʒ ə l ɪ ŋ
jeluang	d͡ʒ ə l u a ŋ
jelutong	d͡ʒ ə l u t o ŋ
jelutung	d͡ʒ ə l u t u ŋ
jemaah	d͡ʒ ə m a ʔ a h
jempana	d͡ʒ ə m p a n a
jemur	d͡ʒ ə m o
jenaka	d͡ʒ ə n a k a
jenama	d͡ʒ ə n a m a
jenawi	d͡ʒ ə n a w i
jenazah	d͡ʒ ə n a z a h
jendela	d͡ʒ ə n d e l a
jeneral	d͡ʒ ə n ə r a l
jengah	d͡ʒ ə ŋ a h
jengkal	d͡ʒ ə ŋ k a l
jenguk	d͡ʒ ə ŋ o k
jenis	d͡ʒ e n i s
jentera	d͡ʒ ə n t ə r a
jentik	d͡ʒ ə n t e k
jenuh	d͡ʒ ə n o h
jepang	d͡ʒ ə p a ŋ
jepun	d͡ʒ ə p o n
jepunkan	d͡ʒ ə p u n k a n
jerangau	d͡ʒ ə r a ŋ a w
jerantut	d͡ʒ ə r a n t u t
jerawat	d͡ʒ ə r a w a t
jerebu	d͡ʒ ə r ə b u
jerman	d͡ʒ ə m a n
jesselton	d͡ʒ e s e l t o n
jeti	d͡ʒ e t i
ji	d͡ʒ i
jidar	d͡ʒ i d a r
jijik	d͡ʒ i d͡ʒ e k
jika	d͡ʒ i k a
jikalau	d͡ʒ i k a l a u̯
jim	d͡ʒ e a j e m
jingga	d͡ʒ i ŋ ɡ a
jiran	d͡ʒ i r a n
jirat	d͡ʒ i r a t
jirim	d͡ʒ i r e m
jitra	d͡ʒ i t ə r a
jitu	d͡ʒ i t u
jiwa	d͡ʒ i w a
jiwang	d͡ʒ i w a ŋ
jkkn	d͡ʒ ə j k ə j k ə j ə n
jkns	d͡ʒ e k e e n e s
jkr	d͡ʒ e k e a r
johan	d͡ʒ o h a n
johor	d͡ʒ o h o
jolok	d͡ʒ o l o k
jom	d͡ʒ o m
jong	d͡ʒ o ŋ
jongkok	d͡ʒ o ŋ k o ʔ
jpm	d͡ʒ e p i e m
jpn	d͡ʒ e p i e n
jual	d͡ʒ u a l
juang	d͡ʒ u a ŋ
juara	d ʒ u a r a
juga	d͡ʒ u ɡ a
jugak	d͡ʒ u ɡ a k
jujur	d͡ʒ u d͡ʒ o
julang	d͡ʒ u l a ŋ
juling	d͡ʒ u l e ŋ
jumaat	d͡ʒ u m a a t
jumlah	d͡ʒ u m l a h
jun	d͡ʒ u n
junjung	d͡ʒ u ɲ d͡ʒ u ŋ
jurong	d͡ʒ u r o ŋ
juru	d͡ʒ u r u
jurubahasa	d͡ʒ u r u b a h a s a
juruh	d͡ʒ u r u h
jurusaji	d͡ʒ u r u s a d͡ʒ i
jurusurat	d͡ʒ u r u s u r a t
jus	d͡ʒ u s
jusa	d͡ʒ u s a
justifikasi	d͡ʒ a s t i f i k a s i
justifikasikan	d͡ʒ a s t i f i k a s i k a n
juta	d͡ʒ u t a
juvenil	d͡ʒ u v e n i l
juz	d͡ʒ u z
juzuk	d͡ʒ u z u k
kaba	k a b a
kabung	k a b u ŋ
kabur	k a b o
kabus	k a b o s
kabut	k a b o t
kaca	k a t͡ʃ a
kacang	k a t͡ʃ a ŋ
kacau	k a t͡ʃ a w
kacu	k a t͡ʃ u
kacukan	k a t͡ʃ u k a n
kad	k a d
kadar	k a d a r
kadaran	k a d a r a n
kaedah	k a e d a h
kafir	k a f e
kafirkan	k a f e k a n
kagum	k a ɡ o m
kahkah	k a h k a h
kainsal	k a i n s a l
kaisar	k a j s a r
kajang	k a d͡ʒ a ŋ
kaji	k a d͡ʒ i
kak	k a k
kakak	k a k a ʔ
kakaktua	k a k a k t u a
kakanda	k a k a n d a
kakang	k a k a ŋ
kaki	k a k i
kakitangan	k a k i t a ŋ a n
kala	k a l a
kalah	k a l a h
kalamin	k a l a m e n
kalau	k a l a w
kalendar	k a l e n d a r
kaler	k a l ə
kali	k a l i
kalimah	k a l i m a h
kalimat	k a l i m a t
kalkulator	k a l k u l a t o r
kalung	k a l o ŋ
kambing	k a m b e ŋ
kami	k a m i
kamis	k a m e s
kampanye	k a m p a ɲ ə
kampung	k a m p o ŋ
kampus	k a m p u s
kamsia	k a m s j a
kamsiah	k a m s j a
kamu	k a m u
kamus	k a m o s
kamuskan	k a m o s k a n
kan	k a n
kanak	k a n a k
kanan	k a n a n
kancah	k a n t͡ʃ a h
kancing	k a n t͡ʃ e ŋ
kanda	k a n d a
kandang	k a n d a ŋ
kandung	k a n d o ŋ
kandungan	k a n d u ŋ a n
kang	k a ŋ
kangar	k a ŋ a r
kanggaru	k e ŋ ɡ ə r u
kangkung	k a ŋ k o ŋ
kangmas	k a ŋ m a s
kanin	k a n i n
kanta	k a n t a
kantoi	k a n t o j
kantonis	k a n t o n i s
kantuk	k a n t o k
kapal	k a p a l
kapas	k a p a s
kapasiti	k a p a s i t i
kapel	k a p ə l
kapitalisme	k a p i t a l i s m ə
kapitan	k a p i t a n
kapten	k e p t ə n
kapuk	k a p o ʔ
kapur	k a p o
karang	k a r a ŋ
karapas	k a ɾ a p a s
karat	k a r a t
karbon	k a r b o n
kardiologi	k a d i o l o d͡ʒ i
karet	k a r e t
kari	k a r i
kariah	k a r i a h
karipap	k a r i p a p
karnivor	k a r n i v o r
karsinogen	k a r s i n o ɡ ə n
karsinogenik	k a r s i n o ɡ e n i k
karya	k a j ə
kasar	k a s a r
kasau	k a s a w
kasi	k a s i
kasih	k a s e h
kasihan	k a s e h h a n
kasino	k a s i n o
kasuari	k a s u a r i
kasut	k a s u t
kasyaf	k a ʃ a f
kata	k a t a
katai	k a t a j
katak	k a t a ʔ
katerer	k a t ə r ə r
katering	k a t ə r i ŋ
kati	k a t i
katib	k a t i b
katil	k a t i l
katir	k a t i r
katung	k a t u ŋ
kau	k a w
kauki	k a w k i
kaula	k a w l a
kawah	k a w a h
kawal	k a w a l
kawalan	k a w a l a n
kawan	k a w a n
kawasan	k a w a s a n
kawat	k a w a t
kawula	k a w l ə
kaya	k a j a
kayangan	k a j a ŋ a n
kayau	k a j a w
kayu	k a j u
kayuh	k a y u h
kd	k e d i
kdb	k e d i b i
kdn	k e d i ʔ e n
ke	k e
keagresifan	k ə a ɡ r e s i f a n
keamanan	k ə a m a n a n
kebagusan	k ə b a ɡ o s a n
kebaharuan	k ə b a h a r u a n
kebaikan	k ə b a i k a n
keban	k ə b a n
kebaratan	k ə b a r a t a n
kebasi	k ə b a s i
kebebasan	k ə b e b a s a n
kebenaran	k ə b ə n a r a n
kebenuaan	k ə b ə n u a a n
kebetulan	k ə b ə t o l a n
kebingungan	k ə b e ŋ o ŋ a n
kebun	k ə b o n
kecai	k ə t͡ʃ a j
kecanggungan	k ə t͡ʃ a ŋ ɡ u ŋ a n
kecantikan	k ə t͡ʃ a n t e k k a n
kecemasan	k ə t͡ʃ ə m a s a n
kecendekiawanan	k ə t͡ʃ ə n d ə k i a w a n a n
kecepatan	k ə t͡ʃ ə p a t a n
kecil	k ə t͡ʃ i l
kecuali	k ə t͡ʃ u a l i
kecurian	k ə t͡ʃ u r i a n
kedaerahan	k ə d a ʔ e r a h a n
kedah	k ə d a h
kedai	k ə d a i̯
kedamaian	k ə d a m a j a n
kedatangan	k ə d a t a ŋ a n
kedatuan	k ə d a t u a n
kedekut	k ə d ə k o t
kedelai	k ə d ə l a j
kedip	k ə d e p
kedoktoran	k ə d o k t o r a n
kedua	k ə d u a
kedudukan	k ə d u d o k a n
kedut	k ə d o t
kedutan	k ə d u t a n
kedutkan	k ə d u t k a n
keemasan	k ə ə m a s a n
keempat	k ə ə m p a t
keenam	k ə ə n a m
kegramatisan	k ə ɡ r a m a t i s a n
kegunaan	k ə ɡ u n a a n
kehamilan	k ə h a m i l a n
kehilangan	k ə h i l a ŋ a n
kehormat	k ə h o r m a t
kehutanan	k ə h u t a n a n
keinsafan	k ə ʔ i n s a f a n
kejam	k ə d͡ʒ a m
kejap	k ə d͡ʒ a p̚
kejohanan	k ə d͡ʒ o h a n a n
keju	k e d͡ʒ u
kejuruteraan	k ə d͡ʒ u r u t ə r a a n
kejut	k ə d͡ʒ u t
kejutan	k ə d͡ʒ u t a n
kek	k e k
kekabu	k ə k a b u
kekanda	k ə k a n d a
kekasih	k ə k a s i h
kekejaman	k ə k ə d͡ʒ a m a n
kekek	k e k e k
kekeliruan	k ə k ə l i r u a n
kekerapan	k ə k ə r a p a n
kekunci	k ə k u n t͡ʃ i
kekurangan	k ə k u r a ŋ a n
kekwa	k ə k u a
kelabu	k ə l a b u
keladi	k ə l a d i
kelak	k ə l a ʔ
kelakar	k ə l a k a r
kelalang	k ə l a l a ŋ
kelambir	k ə l a m b i r
kelambu	k ə l a m b u
kelang	k ə l a ŋ
kelantan	k ə l a n t a n
kelapa	k ə l a p a
kelapan	k ə l a p a n
kelarutan	k ə l a r u t a n
kelas	k ə l a s
kelawar	k ə l a w a r
keldai	k ə l d a i̯
kelebaran	k ə l e b a r a n
kelebihan	k ə l ə b e h h a n
keledut	k ə l ə d u t
kelek	k e l e ʔ
kelelawar	k ə l ə l a w a
kelemahan	k ə l ə m a h a n
kelemari	k ə l ə m a r i
kelembapan	k ə l ə m b a p a n
kelemumur	k ə l ə m u m o
kelengkeng	k ə l e ŋ k e ŋ
kelepir	k ə l ə p e
kelestarian	k ə l e s t a r i a n
