अ	ɐ
काञ्जिक	k ɑː ɲ d͡ʑ i k ɐ
काञ्जी	k ɑː ɲ d͡ʑ iː
काट	k ɑː ʈ ɐ
काण	k ɑː ɳ ɐ
काण्ड	k ɑː ɳ ɖ ɐ
कातर	k ɑː t̪ ɐ ɾ ɐ
कादम्ब	k ɑː d ɐ m b ɐ
कानन	k ɑː n ɐ n ɐ
कान्त	k ɑː n̪ t̪ ɐ
कान्ति	k ɑː n t i
कान्तिकर	k ɑː n t i k ɐ ɾ ɐ
कान्तिद	k ɑː n t i d ɐ
कान्तिमत्	k ɑː n t i m ɐ t
कान्तिहर	k ɑː n t i ɦ ɐ ɾ ɐ
कान्यकुब्ज	k ɑː n j ɐ k u b d͡ʑ ɐ
काफी	k ɑː pʰ iː
काम	k ɑː m ɐ
कामकेलि	k ɑː m ɐ k eː l̪ i
कामग	k ɑː m ɐ ɡ ɐ
कामचार	k ɑː m ɐ t͡ɕ ɑː ɾ ɐ
कामचारिन्	k ɑː m ɐ t͡ɕ ɑː ɾ i n
कामद	k ɑː m ɐ d ɐ
कामदेव	k ɑː m ɐ d̪ eː ʋ ɐ
कामना	k ɑː m ɐ n ɑː
कामबद्ध	k ɑː m ɐ b ɐ d dʱ ɐ
कामबल	k ɑː m ɐ b ɐ l ɐ
कामबाण	k ɑː m ɐ b ɑː ɳ ɐ
कामबिन्दु	k ɑː m ɐ b i n d u
कामभोग	k ɑː m ɐ bʱ oː ɡ ɐ
कामलता	k ɑː m ɐ l ɐ t ɑː
कामलम्पट	k ɑː m ɐ l ɐ m p ɐ ʈ ɐ
कामशास्त्र	k ɑː m ɐ ɕ ɑː s t ɾ ɐ
कामसूत्र	k ɑː m ɐ s̪ uː t̪ ɾ ɐ
कामाक्षी	k ɑː m ɑː k ʂ iː
कामुक	k ɑː m u k ɐ
काम्बोज	k ɑː m b oː d͡ʑ ɐ
काम्य	k ɑː m j ɐ
काम्यति	k ɑː m j ɐ t i
काय	k ɑː j ɐ
कार	k ɑː ɾ ɐ
कारक	k ɑː ɾ ɐ k ɐ
कारण	k ɑː ɾ ɐ ɳ ɐ
कारयति	k ɑː ɾ ɐ j ɐ t̪ i
कारयते	k ɑː ɾ ɐ j ɐ t̪ eː
कारयान	k ɑː ɾ ɐ j ɑː n̪ ɐ
कारवेल्ल	k ɑː ɾ ɐ ʋ eː l̪ l̪ ɐ
कारा	k ɑː ɾ ɑː
कारागार	k ɑː ɾ ɑː ɡ ɑː ɾ ɐ
कार्त्तिक	k ɑː ɾ t t i k ɐ
कार्त्तिकेय	k ɑː ɾ t t i k ɐ j j ɐ
कार्दम	k ɑː ɾ d̪ ɐ m ɐ
कार्पण्य	k ɑː ɾ p ɐ ɳ j ɐ
कार्पास	k ɑː ɾ p ɑː s ɐ
कार्पूर	k ɑː ɾ p uː ɾ ɐ
कार्य	k ɑː ɾ j ɐ
कार्यान	k ɑː ɾ j ɑː n̪ ɐ
कार्षीवण	k ɑː ɾ ʂ iː ʋ ɐ ɳ ɐ
काल	k ɑː l ɐ́
कालक्षेप	k ɑː l ɐ k ʂ ɐ j p ɐ
कालचक्र	k ɑː l̪ ɐ t͡ɕ ɐ k ɾ ɐ
कालभैरव	k ɑː l ɐ bʱ ɑː j ɾ ɐ ʋ ɐ
कालम्	k ɑː l ɐ́ m
कालयति	k ɑː l ɐ́ j ɐ t i
काला	k ɑː l ɑː
कालिका	k ɑː l i k ɑː
कालिदास	k ɑː l̪ i d̪ ɑː s̪ ɐ
कालिय	k ɑː l i j ɐ
काली	k ɑː l iː
कालीन	k ɑː l iː n ɐ
कालेय	k ɑː l ɐ j j ɐ
काल्पनिक	k ɑː l p ɐ n i k ɐ
काल्य	k ɑː l j ɐ
काल्यम्	k ɑː l j ɐ m
काल्याम्	k ɑː l j ɑː m
कावेरी	k ɑː ʋ eː ɾ iː
काव्य	k ɑː ʋ j ɐ
काश	k ɑː ɕ ɐ
काशति	k ɑː ɕ ɐ t i
काशते	k ɑː ɕ ɐ t̪ eː
काशि	k ɑː ɕ i
काशी	k ɑː ɕ iː
काश्	k ɑː ɕ
काश्चन	k ɑː ɕ t͡ɕ ɐ n ɐ
काश्मीर	k ɑː ɕ m iː ɾ ɐ
काश्यप	k ɑː ɕ j ɐ p ɐ
काषण	k ɑː ʂ ɐ ɳ ɐ
काषाय	k ɑː ʂ ɑː j ɐ
काषायी	k ɑː ʂ ɑː j iː
काष्ठ	k ɑː ʂ ʈʰ ɐ
काष्ठतक्षक	k ɑː ʂ ʈʰ ɐ t ɐ k ʂ ɐ k ɐ
काष्ठमय	k ɑː ʂ ʈʰ ɐ m ɐ j ɐ
कासते	k ɑː s̪ ɐ t̪ eː
कासर	k ɑː s ɐ ɾ ɐ
कास्	k ɑː s
किंचिद्	k i ɲ t͡ɕ i d̪
किंनर	k i n n ɐ ɾ ɐ
किकि	k i k i
किङ्किणी	k i ŋ k i ɳ iː
किट	k i ʈ ɐ
किटि	k i ʈ i
किट्	k i ʈ
किट्ट	k i ʈ ʈ ɐ
किण	k i ɳ ɐ
कितव	k i t ɐ ʋ ɐ́
किन्तु	k i n t u
किन्नर	k i n n ɐ ɾ ɐ
किमर्थं	k i m ɐ ɾ tʰ ɐ m
किमर्थम्	k i m ɐ ɾ t̪ʰ ɐ m
किमीदिन्	k i m iː d í n
किम्	k i m
किम्पुरुष	k i m p u ɾ u ʂ ɐ
कियत्	k i j ɐ t
कियाम्बु	k i j ɑː m b u
किरण	k i ɾ ɐ ɳ ɐ
किरति	k i ɾ ɐ t̪ i
किरीट	k i ɾ iː ʈ ɐ
किल	k i l̪ ɐ
किलकिलाय	k i l ɐ k i l ɑː j ɐ
किलास	k i l ɑː s ɐ
किशोर	k i ɕ oː ɾ ɐ
किशोरी	k i ɕ oː ɾ iː
किस्	k i s̪
कीकि	k iː k i
कीट	k iː ʈ ɐ
कीदृश	k iː d ŕ̩ ɕ ɐ
कीदृशस्	k iː d r̩ ɕ ɐ s
कीदृश्	k iː d ŕ̩ ɕ
कीनाश	k iː n ɑː ɕ ɐ
कीर	k iː ɾ ɐ
कीर्ति	k iː ɾ t í
कीलाल	k iː l ɑː l ɐ́
कु	k u
कुक्कुट	k u k k u ʈ ɐ
कुक्कुटस्	k u k k u ʈ ɐ s̪
कुक्कुटान्	k u k k u ʈ ɑː n
कुक्कुटी	k u k k u ʈ iː
कुक्कुर	k u k k u ɾ ɐ
कुक्षि	k u k ʂ i
कुख्याति	k u kʰ j ɑː t i
कुङ्कुम	k u ŋ k u m ɐ
कुच	k u t͡ɕ ɐ
कुचाग्र	k u t͡ɕ ɑː ɡ ɾ ɐ
कुच्	k u t͡ɕ
कुज	k u d͡ʑ ɐ
कुञ्चिका	k u ɲ t͡ɕ i k ɑː
कुञ्ज	k u ɲ d͡ʑ ɐ
कुञ्जर	k u ɲ d͡ʑ ɐ ɾ ɐ
कुटि	k u ʈ i
कुटिल	k u ʈ i l ɐ
कुटी	k u ʈ iː
कुटीर	k u ʈ iː ɾ ɐ
कुटुम्ब	k u ʈ u m b ɐ
कुटुम्बक	k u ʈ u m b ɐ k ɐ
कुटुम्बकम्	k u ʈ u m b ɐ k ɐ m
कुटुम्बिक	k u ʈ u m b i k ɐ
कुट्	k u ʈ
कुट्टयति	k u ʈ ʈ ɐ j ɐ t̪ i
कुट्ट्	k u ʈ ʈ
कुठार	k u ʈʰ ɑː ɾ ɐ
कुड्मल	k u ɖ m ɐ l̪ ɐ
कुड्य	k u ɖ j ɐ
कुण्ठ	k u ɳ ʈʰ ɐ
कुण्ड	k u ɳ ɖ ɐ
कुण्डलिनी	k u ɳ ɖ ɐ l̪ i n̪ iː
कुण्डी	k u ɳ ɖ iː
कुतस्	k u t̪ ɐ s̪
कुत्र	k u t̪ ɾ ɐ
कुत्रत्य	k u t ɾ ɐ t j ɐ
कुत्रापि	k u t ɾ ɑː p i
कुत्सयति	k u t s ɐ j ɐ t i
कुत्सा	k u t s ɑː
कुत्स्	k u t s
कुन्ती	k u n t iː
कुन्द	k u n̪ d̪ ɐ
कुन्दुरुक	k u n d u ɾ u k ɐ
कुपित	k u p i t ɐ
कुप्	k u p
कुबेर	k u b eː ɾ ɐ
कुब्ज	k u b d͡ʑ ɐ
कुभा	k u bʱ ɑː
कुमार	k u m ɑː ɾ ɐ
कुमारी	k u m ɑː ɾ iː
कुम्बीर	k u m b iː ɾ ɐ
कुम्भ	k u m bʱ ɐ
कुम्भकर्ण	k u m bʱ ɐ k ɐ ɾ ɳ ɐ
कुम्भकार	k u m bʱ ɐ k ɑː ɾ ɐ
कुम्भाण्ड	k u m bʱ ɑː ɳ ɖ ɐ
कुम्भाण्डी	k u m bʱ ɑː ɳ ɖ iː
कुरति	k u ɾ ɐ t̪ i
कुरु	k u ɾ u
कुरुक्षेत्र	k u ɾ u k ʂ eː t̪ ɾ ɐ
कुरुतस्	k u ɾ u t ɐ s
कुरुष्	k u ɾ u ʂ
कुर्कुट	k u ɾ k u ʈ ɐ
कुर्कुर	k u ɾ k u ɾ ɐ
कुर्वत्	k u ɾ ʋ ɐ t̪
कुल	k u l̪ ɐ
कुलञ्जन	k u l ɐ ɲ d͡ʑ ɐ n ɐ
कुलत्थ	k u l ɐ t tʰ ɐ
कुलत्थक	k u l ɐ t tʰ ɐ k ɐ
कुलत्थिका	k u l ɐ t tʰ i k ɑː
कुलाय	k u l ɑː j ɐ
कुलाल	k u l̪ ɑː l̪ ɐ
कुलिश	k u l̪ i ɕ ɐ
कुलीन	k u l iː n ɐ
कुल्फ	k u l pʰ ɐ́
कुल्या	k u l j ɑː
कुल्व	k u l ʋ ɐ
कुवेर	k u ʋ eː ɾ ɐ
कुश	k u ɕ ɐ
कुशल	k u ɕ ɐ l̪ ɐ
कुशलेन	k u ɕ ɐ l̪ eː n̪ ɐ
कुशीलव	k u ɕ iː l̪ ɐ ʋ ɐ
कुषाण	k u ʂ ɑː ɳ ɐ
कुष्ठ	k u ʂ ʈʰ ɐ
कुष्माण्ड	k u ʂ m ɑː ɳ ɖ ɐ
कुसृति	k u s r̩ t i
कुस्तुम्बरी	k u s t u m b ɐ ɾ iː
कुह	k u ɦ ɐ
कू	k uː
कूच	k uː t͡ɕ ɐ
कूट	k uː ʈ ɐ
कूप	k uː p ɐ
कूपी	k uː p iː
कूर्च	k uː ɾ t͡ɕ ɐ
कूर्दति	k uː ɾ d̪ ɐ t̪ i
कूर्द्	k uː ɾ d
कूर्म	k uː ɾ m ɐ
कूल	k uː l ɐ
कृ	k r̩
कृकर	k r̩ k ɐ ɾ ɐ
कृकलास	k r̩ k ɐ l ɑː s ɐ
कृच्छ्र	k r̩ t t͡ɕʰ ɾ ɐ́
कृच्छ्रम्	k r̩ t t͡ɕʰ ɾ ɐ́ m
कृच्छ्रे	k r̩ t t͡ɕʰ ɾ ɐ j
कृणत्ति	k r̩ ɳ ɐ t̪ t̪ i
कृणुहि	k r̩ ɳ u ɦ i
कृणोति	k r̩ ɳ oː t̪ i
कृत	k r̩ t ɐ́
कृतघ्न	k r̩ t ɐ́ ɡʱ n ɐ
कृतवत्	k r̩ t ɐ́ ʋ ɐ t
कृता	k r̩ t ɑː
कृति	k r̩ t í
कृतिका	k r̩ t i k ɑː
कृत्त	k r̩ t t ɐ
कृत्ति	k r̩ t̪ t̪ i
कृत्तिका	k r̩ t̪ t̪ i k ɑː
कृत्य	k r̩ t̪ j ɐ
कृत्वा	k r̩ t ʋ ɑ́ː
कृदन्त	k r̩ d ɐ n t ɐ
कृन्ततस्	k r̩ n t ɐ t ɐ s
कृन्तति	k r̩ n t ɐ́ t i
कृन्तन्ति	k r̩ n t ɐ n t i
कृपया	k r̩ p ɐ j ɑː
कृपा	k r̩ p ɑː
कृपाः	k r̩ p ɑː h
कृपाभिः	k r̩ p ɑː bʱ i h
कृपाम्	k r̩ p ɑː m
कृपायाः	k r̩ p ɑː j ɑː h
कृपायाम्	k r̩ p ɑː j ɑː m
कृपायै	k r̩ p ɑː j ɑ j
कृप्	k r̩ p
कृमि	k r̩ m i
कृश	k r̩ ɕ ɐ
कृषक	k r̩ ʂ ɐ k ɐ
कृषि	k r̩ ʂ i
कृषीष्ट	k r̩ ʂ iː ʂ ʈ ɐ
कृष्	k r̩ ʂ
कृष्ट	k r̩ ʂ ʈ ɐ
कृष्ण	k r̩ ʂ ɳ ɐ
कृष्णव्याल	k r̩ ʂ ɳ ɐ ʋ j ɑː l ɐ
कृष्णस्	k r̩ ʂ ɳ ɐ s
कृष्णा	k r̩ ʂ ɳ ɑː
कृष्णायस्	k r̩ ʂ ɳ ɑː j ɐ s
कृष्णी	k r̩ ʂ ɳ iː
कॄ	k r̩ː
के	k eː
केकर	k eː k ɐ ɾ ɐ
केका	k eː k ɑː
केत	k eː t̪ ɐ
केतक	k eː t̪ ɐ k ɐ
केतु	k eː t̪ u
केदार	k eː d̪ ɑː ɾ ɐ
केनडा	k eː n̪ ɐ ɖ ɑː
केन्द्र	k eː n̪ d̪ ɾ ɐ
केम्बुक	k eː m b u k ɐ
केलि	k eː l̪ i
केले	k eː l̪ eː
केल्	k eː l̪
केवर्त	k eː ʋ ɐ ɾ t̪ ɐ
केवल	k eː ʋ ɐ l̪ ɐ
केवलम्	k eː ʋ ɐ l̪ ɐ m
केश	k eː ɕ ɐ
केशव	k eː ɕ ɐ ʋ ɐ
केशिन्	k eː ɕ i n̪
केसर	k eː s̪ ɐ ɾ ɐ
कैकेयी	k ɑ j k eː j iː
कैटभ	k ɑ j ʈ ɐ bʱ ɐ
कैरव	k ɑ j ɾ ɐ ʋ ɐ
कैलास	k ɑ j l̪ ɑː s̪ ɐ
कैवल्य	k ɑ j ʋ ɐ l̪ j ɐ
कोक	k oː k ɐ
कोकिल	k oː k i l̪ ɐ
कोङ्कण	k oː ŋ k ɐ ɳ ɐ
कोट	k oː ʈ ɐ
कोटर	k oː ʈ ɐ ɾ ɐ
कोटि	k oː ʈ i
कोटितीर्थ	k oː ʈ i t̪ iː ɾ t̪ʰ ɐ
कोण	k oː ɳ ɐ
कोदण्ड	k oː d̪ ɐ ɳ ɖ ɐ
कोप	k oː p ɐ
कोमल	k oː m ɐ l̪ ɐ
कोलाहल	k oː l̪ ɑː ɦ ɐ l̪ ɐ
कोलिक	k oː l̪ i k ɐ
कोश	k oː ɕ ɐ
कोशवती	k oː ɕ ɐ ʋ ɐ t̪ iː
कोष्ठ	k oː ʂ ʈʰ ɐ
कोष्ठागार	k oː ʂ ʈʰ ɑː ɡ ɑː ɾ ɐ
कोष्ठागारिक	k oː ʂ ʈʰ ɑː ɡ ɑː ɾ i k ɐ
कोसल	k oː s̪ ɐ l̪ ɐ
कौ	k ɑ w
कौटिल्य	k ɑ w ʈ i l̪ j ɐ
कौतुकिन्	k ɑ w t̪ u k i n̪
कौरव	k ɑ w ɾ ɐ ʋ ɐ
कौर्पि	k ɑ w ɾ p i
कौशल	k ɑ w ɕ ɐ l̪ ɐ
कौशल्या	k ɑ w ɕ ɐ l̪ j ɑː
कौसल्या	k ɑ w s̪ ɐ l̪ j ɑː
क्याकु	k j ɑː k u
क्रकच	k ɾ ɐ k ɐ t͡ɕ ɐ
क्रक्ष्यति	k ɾ ɐ k ʂ j ɐ t̪ i
क्रतु	k ɾ ɐ t̪ u
क्रन्दति	k ɾ ɐ n̪ d̪ ɐ t̪ i
क्रन्दन	k ɾ ɐ n d ɐ n ɐ
क्रन्दनु	k ɾ ɐ n d ɐ n ú
क्रन्दस्	k ɾ ɐ n̪ d̪ ɐ s̪
क्रन्द्	k ɾ ɐ n d
क्रम	k ɾ ɐ m ɐ
क्रमुक	k ɾ ɐ m u k ɐ
क्रम्	k ɾ ɐ m
क्रयाणक	k ɾ ɐ j ɑː ɳ ɐ k ɐ
क्रय्य	k ɾ eː j ɐ
क्रविस्	k ɾ ɐ ʋ i s̪
क्रव्य	k ɾ ɐ ʋ j ɐ
क्रान्ति	k ɾ ɑː n̪ t̪ i
क्रामति	k ɾ ɑː m ɐ t̪ i
क्रियते	k ɾ i j ɐ t̪ eː
क्रिया	k ɾ i j ɑː
क्रियात्	k ɾ i j ɑː t̪
क्रियाविशेषण	k ɾ i j ɑː ʋ i ɕ eː ʂ ɐ ɳ ɐ
क्री	k ɾ iː
क्रीड	k ɾ iː ɖ ɐ
क्रीडक	k ɾ iː ɖ ɐ k ɐ
क्रीडति	k ɾ iː ɖ ɐ t̪ i
क्रीडन	k ɾ iː ɖ ɐ n ɐ
क्रीडनक	k ɾ iː ɖ ɐ n ɐ k ɐ
क्रीडा	k ɾ iː ɖ ɑː
क्रीडाङ्गण	k ɾ iː ɖ ɑː ŋ ɡ ɐ ɳ ɐ
क्रीडाङ्गन	k ɾ iː ɖ ɑː ŋ ɡ ɐ n̪ ɐ
क्रीडारत्न	k ɾ iː ɖ ɑː ɾ ɐ t n ɐ
क्रीडिका	k ɾ iː ɖ i k ɑː
क्रीड्	k ɾ iː ɖ
क्रीणाति	k ɾ iː ɳ ɑː t̪ i
क्रीणीतस्	k ɾ iː ɳ iː t ɐ s
क्रीत	k ɾ iː t ɐ́
क्रीळ	k ɾ iː ɭ̆ ɐ
क्रीळति	k ɾ iː ɭ̆ ɐ t̪ i
क्रुञ्च्	k ɾ u ɲ t͡ɕ
क्रुद्ध	k ɾ u d dʱ ɐ́
क्रुध्	k ɾ u dʱ
क्रुध्यति	k ɾ u d̪ʱ j ɐ t̪ i
क्रुमु	k ɾ u m u
क्रुश्	k ɾ u ɕ
क्रूर	k ɾ uː ɾ ɐ
क्रेता	k ɾ eː t̪ ɑː
क्रेतृ	k ɾ eː t̪ r̩
क्रेय	k ɾ eː j ɐ
क्रोड	k ɾ oː ɖ ɐ
क्रोध	k ɾ oː d̪ʱ ɐ
क्रोधनीय	k ɾ oː d̪ʱ ɐ n̪ iː j ɐ
क्रोश	k ɾ oː ɕ ɐ
क्रोशति	k ɾ oː ɕ ɐ t̪ i
क्रोष्टु	k ɾ oː ʂ ʈ u
क्रोष्टृ	k ɾ oː ʂ ʈ r̩
क्रौञ्च	k ɾ ɑ w ɲ t͡ɕ ɐ
क्रौर्य	k ɾ ɑ w ɾ j ɐ
क्लन्द्	k l ɐ n d
क्लान्त	k l ɑː n t ɐ
क्लान्तमनस्	k l ɑː n t ɐ m ɐ n ɐ s
क्लान्ति	k l ɑː n t i
क्लिद्	k l i d
क्लिन्दताम्	k l i n d ɐ t ɑː m
क्लिन्द्	k l i n d
क्लिश्	k l i ɕ
क्लेश	k l ɐ j ɕ ɐ
क्लैब्य	k l ɑ́ː j b j ɐ
क्लोमन्	k l ɐ́ w m ɐ n
क्व	k ú ʋ ɐ
क्वत्य	k ʋ ɐ t j ɐ
क्वथते	k ʋ ɐ t̪ʰ ɐ t̪ eː
क्वथन	k ʋ ɐ tʰ ɐ n ɐ
क्वथित	k ʋ ɐ tʰ i t ɐ
क्वथ्	k ʋ ɐ tʰ
क्वाथ	k ʋ ɑː tʰ ɐ́
क्षण	k ʂ ɐ ɳ ɐ
क्षण्	k ʂ ɐ ɳ
क्षति	k ʂ ɐ t i
क्षत्र	k ʂ ɐ t ɾ ɐ́
क्षत्रप	k ʂ ɐ t̪ ɾ ɐ p ɐ
क्षत्रिय	k ʂ ɐ t ɾ í j ɐ
क्षत्री	k ʂ ɐ t ɾ iː
क्षद्	k ʂ ɐ d
क्षन्	k ʂ ɐ n
क्षपयति	k ʂ ɐ p ɐ j ɐ t i
क्षपा	k ʂ ɐ p ɑː
क्षप्	k ʂ ɐ p
क्षमते	k ʂ ɐ m ɐ t̪ eː
क्षमा	k ʂ ɐ m ɑː
क्षम्	k ʂ ɐ m
क्षय	k ʂ ɐ j ɐ
क्षयरोग	k ʂ ɐ j ɐ ɾ oː ɡ ɐ
क्षयर्ष	k ʂ ɐ j ɐ ɾ ʂ ɐ
क्षर	k ʂ ɐ ɾ ɐ
क्षरति	k ʂ ɐ ɾ ɐ t̪ i
क्षर्	k ʂ ɐ ɾ
क्षान्ति	k ʂ ɑː n t i
क्षापयति	k ʂ ɑː p ɐ j ɐ t̪ i
क्षाम	k ʂ ɑː m ɐ
क्षार	k ʂ ɑː ɾ ɐ
क्षालन	k ʂ ɑː l ɐ n ɐ
क्षालयति	k ʂ ɑː l ɐ j ɐ t i
क्षालित	k ʂ ɑː l i t ɐ
क्षास्	k ʂ ɑː s̪
क्षि	k ʂ i
क्षिणाति	k ʂ i ɳ ɑː t̪ i
क्षिण्	k ʂ i ɳ
क्षित	k ʂ i t ɐ́
क्षिति	k ʂ i t í
क्षितिगर्भ	k ʂ i t i ɡ ɐ ɾ bʱ ɐ
क्षितिज	k ʂ i t i d͡ʑ ɐ
क्षिपति	k ʂ i p ɐ t̪ i
क्षिप्	k ʂ i p
क्षिप्यति	k ʂ i p j ɐ t i
क्षिप्र	k ʂ i p ɾ ɐ
क्षीण	k ʂ iː ɳ ɐ
क्षीयते	k ʂ iː j ɐ t̪ eː
क्षीर	k ʂ iː ɾ ɐ
क्षीरद	k ʂ iː ɾ ɐ d̪ ɐ
क्षीरान्न	k ʂ iː ɾ ɑː n n ɐ
क्षीराब्धि	k ʂ iː ɾ ɑː b dʱ i
क्षु	k ʂ u
क्षुण्ण	k ʂ u ɳ ɳ ɐ
क्षुत्	k ʂ u t̪
क्षुद्	k ʂ u d
क्षुद्र	k ʂ u d ɾ ɐ́
क्षुद्रक	k ʂ u d ɾ ɐ k ɐ
क्षुधा	k ʂ u dʱ ɑː
क्षुध्	k ʂ u d̪ʱ
क्षुप	k ʂ u p ɐ
क्षुब्ध	k ʂ u b dʱ ɐ
क्षुभित	k ʂ u bʱ i t ɐ
क्षुभ्	k ʂ u bʱ
क्षुम्प	k ʂ u m p ɐ
क्षुर	k ʂ u ɾ ɐ
क्षुरति	k ʂ u ɾ ɐ t̪ i
क्षुल्ल	k ʂ u l l ɐ
क्षुल्लक	k ʂ u l l ɐ k ɐ́
क्षेति	k ʂ eː t̪ i
क्षेत्र	k ʂ eː t̪ ɾ ɐ
क्षेत्रनाम	k ʂ eː t̪ ɾ ɐ n̪ ɑː m ɐ
क्षेप	k ʂ eː p ɐ
क्षेपयति	k ʂ eː p ɐ j ɐ t̪ i
क्षेम	k ʂ eː m ɐ
क्षेमिन्	k ʂ eː m i n̪
क्षेषत्	k ʂ eː ʂ ɐ t̪
क्षै	k ʂ ɑ j
क्षोटयति	k ʂ oː ʈ ɐ j ɐ t̪ i
क्षोट्	k ʂ oː ʈ
क्षोदस्	k ʂ oː d̪ ɐ s̪
क्षोभ	k ʂ oː bʱ ɐ
क्षौर	k ʂ ɑ w ɾ ɐ
क्षौरी	k ʂ ɑ w ɾ iː
क्ष्णुत	k ʂ ɳ u t ɐ́
क्ष्णोत्र	k ʂ ɳ oː t̪ ɾ ɐ
क्ष्णौति	k ʂ ɳ ɑ w t̪ i
क्ष्वेड	k ʂ ʋ eː ɖ ɐ
क्ष्वेडित	k ʂ ʋ eː ɖ i t̪ ɐ
कॢप्	k l̩ p
कॢप्त	k l̩ p t ɐ́
कॢप्ति	k l̩ p t̪ í
ख	kʰ ɐ
खकार	kʰ ɐ k ɑː ɾ ɐ
खग	kʰ ɐ ɡ ɐ
खगोल	kʰ ɐ ɡ oː l̪ ɐ
खट	kʰ ɐ ʈ ɐ
खटक्किका	kʰ ɐ ʈ ɐ k k i k ɑː
खट्ट	kʰ ɐ ʈ ʈ ɐ
खट्वा	kʰ ɐ ʈ ʋ ɑː
खडक	kʰ ɐ ɖ ɐ k ɐ
खड्ग	kʰ ɐ ɖ ɡ ɐ
खणखणाय	kʰ ɐ ɳ ɐ kʰ ɐ ɳ ɑː j ɐ
खणखणायते	kʰ ɐ ɳ ɐ kʰ ɐ ɳ ɑː j ɐ t ɐ j
खण्ड	kʰ ɐ ɳ ɖ ɐ
खण्डते	kʰ ɐ ɳ ɖ ɐ t̪ eː
खण्डन	kʰ ɐ ɳ ɖ ɐ n ɐ
खण्डयति	kʰ ɐ ɳ ɖ ɐ j ɐ t̪ i
खदिर	kʰ ɐ d i ɾ ɐ́
खदिरक	kʰ ɐ d i ɾ ɐ́ k ɐ
खद्	kʰ ɐ d
खद्योत	kʰ ɐ d̪ j oː t̪ ɐ
खद्योतस्	kʰ ɐ d̪ j oː t̪ ɐ s̪
खनक	kʰ ɐ n ɐ k ɐ
खनति	kʰ ɐ n̪ ɐ t̪ i
खनन	kʰ ɐ n ɐ n ɐ
खनि	kʰ ɐ n í
खनिज	kʰ ɐ n i d͡ʑ ɐ
खनिता	kʰ ɐ n i t ɑː
खनित्र	kʰ ɐ n i t ɾ ɐ
खनित्रम्	kʰ ɐ n í t ɾ ɐ m
खनित्राणि	kʰ ɐ n i t ɾ ɑː ɳ i
खनित्रिम	kʰ ɐ n̪ i t̪ ɾ i m ɐ
खनिष्यति	kʰ ɐ n i ʂ j ɐ t i
खन्यात्	kʰ ɐ n j ɑː t
खर	kʰ ɐ ɾ ɐ
खरोष्टी	kʰ ɐ ɾ oː ʂ ʈ iː
खरोष्ठी	kʰ ɐ ɾ oː ʂ ʈʰ iː
खर्जु	kʰ ɐ ɾ d͡ʑ u
खर्जूर	kʰ ɐ ɾ d͡ʑ uː ɾ ɐ
खर्व	kʰ ɐ ɾ ʋ ɐ
खल	kʰ ɐ l̪ ɐ
खलति	kʰ ɐ l ɐ t í
खलु	kʰ ɐ l̪ u
खल्ल	kʰ ɐ l l ɐ
खश	kʰ ɐ ɕ ɐ
खष्प	kʰ ɐ ʂ p ɐ
खस	kʰ ɐ s ɐ
खा	kʰ ɑː
खात	kʰ ɑː t ɐ́
खादति	kʰ ɑː d̪ ɐ t̪ i
खादन	kʰ ɑː d ɐ n ɐ
खादित	kʰ ɑː d i t ɐ́
खाद्	kʰ ɑː d
खाद्य	kʰ ɑː d j ɐ
खान	kʰ ɑː n ɐ
खानक	kʰ ɑː n̪ ɐ k ɐ
खानि	kʰ ɑː n i
खान्य	kʰ ɑː n j ɐ
खायात्	kʰ ɑː j ɑː t
खिच्चा	kʰ i t t͡ɕ ɑː
खिट्	kʰ i ʈ
खिद्	kʰ i d
खिन्न	kʰ i n n ɐ
खिल	kʰ i l ɐ
खिलकाण्ड	kʰ i l ɐ k ɑː ɳ ɖ ɐ
खुद्	kʰ u d
खुर	kʰ u ɾ ɐ
खेट	kʰ eː ʈ ɐ
खेटित	kʰ eː ʈ i t̪ ɐ
खेद	kʰ eː d̪ ɐ
खेदः	kʰ eː d̪ ɐ h
खेदम्	kʰ eː d̪ ɐ m
खेदस्य	kʰ eː d̪ ɐ s̪ j ɐ
खेदाः	kʰ eː d̪ ɑː h
खेदात्	kʰ eː d̪ ɑː t̪
खेदानाम्	kʰ eː d̪ ɑː n̪ ɑː m
खेदान्	kʰ eː d̪ ɑː n̪
खेदाय	kʰ eː d̪ ɑː j ɐ
खेदे	kʰ eː d̪ eː
खेदेन	kʰ eː d̪ eː n̪ ɐ
खेदेभ्यः	kʰ eː d̪ eː bʱ j ɐ h
खेदेषु	kʰ eː d̪ eː ʂ u
खेदैः	kʰ eː d̪ ɑ j h
खेल	kʰ eː l̪ ɐ
खेलति	kʰ eː l̪ ɐ t̪ i
खेलन	kʰ eː l̪ ɐ n̪ ɐ
खेलना	kʰ eː l̪ ɐ n̪ ɑː
खेला	kʰ eː l̪ ɑː
खेल्	kʰ eː l̪
खोर	kʰ oː ɾ ɐ
खोलि	kʰ oː l̪ i
ख्या	kʰ j ɑː
ख्यात	kʰ j ɑː t ɐ
ख्याति	kʰ j ɑː t i
गकार	ɡ ɐ k ɑː ɾ ɐ
गगन	ɡ ɐ ɡ ɐ n̪ ɐ
गङ्गा	ɡ ɐ ŋ ɡ ɑː
गङ्गाधर	ɡ ɐ ŋ ɡ ɑː d̪ʱ ɐ ɾ ɐ
