ͷ	t͡s
δέει	d e i
δέειν	d e i n
δέεσθε	d e e s tʰ e
δέεσι	d e e s i
δέεσιν	d e e s i n
δέη	d e e̝
δέησθε	d e e̝ s tʰ e
δέησον	d e e̝ s o n
δέηται	d e e̝ t ɛ
δέκα	d e k a
δέκατος	d e k a t o s
δέκελος	d e k e l o s
δέκτης	d e k t e̝ s
δέλλις	d e l l i s
δέλτα	d e l t a
δέλτος	d e l t o s
δέλφαξ	d e l pʰ a k s
δέμα	d e m a
δέμας	d e m a s
δέμνι'	d e m n i
δέμνια	d e m n i a
δέμνιον	d e m n i o n
δέμω	d e m o
δέν	d e n
δένδρα	d e n d r a
δένδρεα	d e n d r e a
δένδρεον	d e n d r e o n
δένδρινος	d e n d r i n o s
δένδροιν	d e n d r y n
δένδροιο	d e n d r y o
δένδροις	d e n d r y s
δένδροισι	d e n d r y s i
δένδροισιν	d e n d r y s i n
δένδροιϊν	d e n d r y i n
δένδρον	d e n d r o n
δένδροο	d e n d r o o
δένδρου	d e n d r u
δένδρω	d e n d r o
δένδρων	d e n d r o n
δένδρῳ	d e n d r o
δέξαι	d e k s ɛ
δέξασθαι	d e k s a s tʰ ɛ
δέξατο	d e k s a t o
δέξει	d e k s i
δέξεσθε	d e k s e s tʰ e
δέξεται	d e k s e t ɛ
δέξιππος	d e k s i p p o s
δέξομαι	d e k s o m ɛ
δέξονται	d e k s o n t ɛ
δέξῃ	d e k s e̝
δέοι	d e y
δέοιντο	d e y n t o
δέοιο	d e y o
δέοις	d e y s
δέοισθε	d e y s tʰ e
δέοιτο	d e y t o
δέομαι	d e o m ɛ
δέομεν	d e o m e n
δέον	d e o n
δέοντα	d e o n t a
δέονται	d e o n t ɛ
δέοντας	d e o n t a s
δέοντες	d e o n t e s
δέοντι	d e o n t i
δέοντος	d e o n t o s
δέος	d e o s
δέου	d e u
δέους	d e u s
δέουσα	d e u s a
δέουσαι	d e u s ɛ
δέουσαν	d e u s a n
δέουσι	d e u s i
δέουσιν	d e u s i n
δέπας	d e p a s
δέπαστρον	d e p a s t r o n
δέπαϊ	d e p a i
δέραιον	d e r ɛ o n
δέρβη	d e r b e̝
δέργμα	d e r ɡ m a
δέρδας	d e r d a s
δέρδου	d e r d u
δέρδᾳ	d e r d a
δέρειον	d e r i o n
δέρη	d e r e̝
δέρκομαι	d e r k o m ɛ
δέρμα	d e r m a
δέρμασι	d e r m a s i
δέρμασιν	d e r m a s i n
δέρματε	d e r m a t e
δέρματι	d e r m a t i
δέρριον	d e r r i o n
δέρρις	d e r r i s
δέρτρον	d e r t r o n
δέρω	d e r o
δέσις	d e s i s
δέσποθ'	d e s p o tʰ
δέσποινα	d e s p y n a
δέσποιναν	d e s p y n a n
δέσποτ'	d e s p o t
δέσποτα	d e s p o t a
δέφω	d e pʰ o
δέχει	d e kʰ i
δέχεσθαι	d e kʰ e s tʰ ɛ
δέχεσθε	d e kʰ e s tʰ e
δέχεσθον	d e kʰ e s tʰ o n
δέχεται	d e kʰ e t ɛ
δέχησθε	d e kʰ e̝ s tʰ e
δέχηται	d e kʰ e̝ t ɛ
δέχθαι	d e kʰ tʰ ɛ
δέχοιντο	d e kʰ y n t o
δέχοιο	d e kʰ y o
δέχοισθε	d e kʰ y s tʰ e
δέχοιτο	d e kʰ y t o
δέχομαι	d e kʰ o m ɛ
δέχονται	d e kʰ o n t ɛ
δέχου	d e kʰ u
δέχωμαι	d e kʰ o m ɛ
δέχωνται	d e kʰ o n t ɛ
δέχῃ	d e kʰ e̝
δέω	d e o
δέωμαι	d e o m ɛ
δέων	d e o n
δέωνται	d e o n t ɛ
δέῃ	d e e̝
δή	d e̝
δήεις	d e̝ i s
δήθ'	d e̝ tʰ
δήκτης	d e̝ k t e̝ s
δήλα	d e̝ l a
δήλαιν	d e̝ l ɛ n
δήλαις	d e̝ l ɛ s
δήλας	d e̝ l a s
δήλη	d e̝ l e̝
δήλην	d e̝ l e̝ n
δήλης	d e̝ l e̝ s
δήλια	d e̝ l i a
δήλιος	d e̝ l i o s
δήλοιν	d e̝ l y n
δήλοις	d e̝ l y s
δήλου	d e̝ l u
δήλους	d e̝ l u s
δήλω	d e̝ l o
δήλων	d e̝ l o n
δήλωσις	d e̝ l o s i s
δήλῃ	d e̝ l e̝
δήλῳ	d e̝ l o
δήμητερ	d e̝ m e̝ t e r
δήμητρα	d e̝ m e̝ t r a
δήμητρι	d e̝ m e̝ t r i
δήμητρος	d e̝ m e̝ t r o s
δήμιος	d e̝ m i o s
δήμοιν	d e̝ m y n
δήμοις	d e̝ m y s
δήμου	d e̝ m u
δήμους	d e̝ m u s
δήμω	d e̝ m o
δήμων	d e̝ m o n
δήμῳ	d e̝ m o
δήν	d e̝ n
δήνεα	d e̝ n e a
δήξ	d e̝ k s
δήξεσι	d e̝ k s e s i
δήξεσιν	d e̝ k s e s i n
δήξεων	d e̝ k s e o n
δήξεως	d e̝ k s e o s
δήξομαι	d e̝ k s o m ɛ
δήπου	d e̝ p u
δήσαντας	d e̝ s a n t a s
δήσαντες	d e̝ s a n t e s
δήσας	d e̝ s a s
δήω	d e̝ o
δήϊον	d e̝ i o n
δήϊος	d e̝ i o s
δί	d i
δί'	d i
δία	d i a
δίαιν	d i ɛ n
δίαις	d i ɛ s
δίαισι	d i ɛ s i
δίαισιν	d i ɛ s i n
δίαιτα	d i ɛ t a
δίαιται	d i ɛ t ɛ
δίαιταν	d i ɛ t a n
δίαιϊν	d i ɛ i n
δίαν	d i a n
δίας	d i a s
δίγαμμα	d i ɡ a m m a
δίδιος	d i d i o s
δίδομαι	d i d o m ɛ
δίδοσο	d i d o s o
δίδου	d i d u
δίδυμα	d i d y m a
δίδυμε	d i d y m e
δίδυμοι	d i d y m y
δίδυμος	d i d y m o s
δίδω	d i d o
δίδωμι	d i d o m i
δίδωσι	d i d o s i
δίδωσιν	d i d o s i n
δίε	d i e
δίεμαι	d i e m ɛ
δίεν	d i e n
δίεσθαι	d i e s tʰ ɛ
δίζημαι	d i z e̝ m ɛ
δίη	d i e̝
δίην	d i e̝ n
δίης	d i e̝ s
δίηται	d i e̝ t ɛ
δίκα	d i k a
δίκαι	d i k ɛ
δίκαια	d i k ɛ a
δίκαιαι	d i k ɛ ɛ
δίκαιε	d i k ɛ e
δίκαιν	d i k ɛ n
δίκαιοι	d i k ɛ y
δίκαιον	d i k ɛ o n
δίκαιος	d i k ɛ o s
δίκαις	d i k ɛ s
δίκας	d i k a s
δίκελλα	d i k e l l a
δίκη	d i k e̝
δίκην	d i k e̝ n
δίκης	d i k e̝ s
δίκροος	d i k r o o s
δίκροτος	d i k r o t o s
δίκταμνον	d i k t a m n o n
δίκτη	d i k t e̝
δίκτυννα	d i k t y n n a
δίκτυον	d i k t y o n
δίκῃ	d i k e̝
δίλημμα	d i l e̝ m m a
δίλογος	d i l o ɡ o s
δίμορφος	d i m o r pʰ o s
δίνα	d i n a
δίναιν	d i n ɛ n
δίναις	d i n ɛ s
δίναιϊν	d i n ɛ i n
δίνας	d i n a s
δίνδυμον	d i n d y m o n
δίνη	d i n e̝
δίνην	d i n e̝ n
δίνης	d i n e̝ s
δίνῃ	d i n e̝
δίνῃς	d i n e̝ s
δίνῃσι	d i n e̝ s i
δίνῃσιν	d i n e̝ s i n
δίοδε	d i o d e
δίοδοι	d i o d y
δίοδος	d i o d o s
δίοιν	d i y n
δίοιο	d i y o
δίοις	d i y s
δίοισι	d i y s i
δίοισιν	d i y s i n
δίοιϊν	d i y i n
δίοο	d i o o
δίοπος	d i o p o s
δίου	d i u
δίους	d i u s
δίοψις	d i o p s i s
δίπαια	d i p ɛ a
δίπλακα	d i p l a k a
δίπλαξ	d i p l a k s
δίπλωμα	d i p l o m a
δίπολις	d i p o l i s
δίπτερος	d i p t e r o s
δίπτυχα	d i p t y kʰ a
δίπτυχος	d i p t y kʰ o s
δίπυλον	d i p y l o n
δίρκη	d i r k e̝
δίρφυς	d i r pʰ y s
δίς	d i s
δίσκος	d i s k o s
δίστιχον	d i s t i kʰ o n
δίστιχος	d i s t i kʰ o s
δίφθογγα	d i pʰ tʰ o ŋ ɡ a
δίφθογγε	d i pʰ tʰ o ŋ ɡ e
δίφθογγοι	d i pʰ tʰ o ŋ ɡ y
δίφθογγον	d i pʰ tʰ o ŋ ɡ o n
δίφθογγος	d i pʰ tʰ o ŋ ɡ o s
δίφιλος	d i pʰ i l o s
δίφρε	d i pʰ r e
δίφροι	d i pʰ r y
δίφροιν	d i pʰ r y n
δίφροιο	d i pʰ r y o
δίφροις	d i pʰ r y s
δίφροισι	d i pʰ r y s i
δίφροισιν	d i pʰ r y s i n
δίφροιϊν	d i pʰ r y i n
δίφρον	d i pʰ r o n
δίφροο	d i pʰ r o o
δίφρος	d i pʰ r o s
δίφρου	d i pʰ r u
δίφρους	d i pʰ r u s
δίφρω	d i pʰ r o
δίφρων	d i pʰ r o n
δίφρῳ	d i pʰ r o
δίχα	d i kʰ a
δίψα	d i p s a
δίψαι	d i p s ɛ
δίψαιν	d i p s ɛ n
δίψαις	d i p s ɛ s
δίψακος	d i p s a k o s
δίψαν	d i p s a n
δίψης	d i p s e̝ s
δίψῃ	d i p s e̝
δίω	d i o
δίων	d i o n
δίωξις	d i o k s i s
δίϝα	d i a
δίᾳ	d i a
δίῃ	d i e̝
δίῃς	d i e̝ s
δίῃσι	d i e̝ s i
δίῃσιν	d i e̝ s i n
δίῳ	d i o
δαΐ	d a i
δαΐδας	d a i d a s
δαΐζω	d a i z o
δαΐζων	d a i z o n
δαΐς	d a i s
δαΐσι	d a i s i
δαΐφρονα	d a i pʰ r o n a
δαΐφρονι	d a i pʰ r o n i
δαΐφρονος	d a i pʰ r o n o s
δαΐφρων	d a i pʰ r o n
δαήμεναι	d a e̝ m e n ɛ
δαήρ	d a e̝ r
δαί	d ǎ i̯
δαίδαλα	d ǎ i̯ d a l a
δαίδαλος	d ǎ i̯ d a l o s
δαίμονα	d ǎ i̯ m o n a
δαίμονας	d ǎ i̯ m o n a s
δαίμονε	d ǎ i̯ m o n e
δαίμονες	d ǎ i̯ m o n e s
δαίμονι	d ǎ i̯ m o n i
δαίμονος	d ǎ i̯ m o n o s
δαίμοσι	d ǎ i̯ m o s i
δαίμοσιν	d ǎ i̯ m o s i n
δαίμων	d ǎ i̯ m ɔː n
δαίνυ	d ǎ i̯ n yː
δαίνυμι	d ǎ i̯ n yː m i
δαίνυντ'	d ǎ i̯ n y n t
δαίνυντο	d ǎ i̯ n y n t o
δαίομαι	d ǎ i̯ o m a i̯
δαίς	d ǎ i̯ s
δαίσιος	d ǎ i̯ s i o s
δαίω	d ǎ i̯ ɔː
δαβίδ	d a b i d
δαβίδης	d a b i d e̝ s
δαβίδου	d a b i d u
δαβείδ	d a b i d
δαγκάνω	d a ŋ k a n o
δαδάκης	d a d a k e̝ s
δαδάστανα	d a d a s t a n a
δαδύσσομαι	d a d y s s o m ɛ
δαείω	d a i o
δαιδάλεος	d a i̯ d á l e o s
δαιδάλλω	d a i̯ d á l l ɔː
δαιδαλέου	d a i̯ d a l é uː
δαιμονίη	d a i̯ m o n í ɛː
δαιμονιακός	d a i̯ m o n i a k ó s
δαιμονικός	d a i̯ m o n i k ó s
δαιμόνι'	d a i̯ m ó n i
δαιμόνιε	d a i̯ m ó n i e
δαιμόνιον	d a i̯ m ó n i o n
δαιμόνιος	d a i̯ m ó n i o s
δαιμόνοιν	d a i̯ m ó n o i̯ n
δαιμόνων	d a i̯ m ó n ɔː n
δαινυμένους	d a i̯ n y m é n uː s
δαινύμενοι	d a i̯ n ý m e n o i̯
δαινύμενος	d a i̯ n ý m e n o s
δαισί	d a i̯ s í
δαιτί	d a i̯ t í
δαιτροσύνη	d a i̯ t r o s ý n ɛː
δαιτρός	d a i̯ t r ó s
δαιτυμόνων	d a i̯ t y m ó n ɔː n
δαιτυμών	d a i̯ t y m ɔ̌ː n
δαιτός	d a i̯ t ó s
δακία	d a k i a
δακρυόεις	d a k r y o i s
δακρυόεσσα	d a k r y o e s s a
δακρυόφι	d a k r y o pʰ i
δακρύεσσι	d a k r y e s s i
δακρύεσσιν	d a k r y e s s i n
δακρύοιν	d a k r y y n
δακρύοιο	d a k r y y o
δακρύοις	d a k r y y s
δακρύοισι	d a k r y y s i
δακρύοισιν	d a k r y y s i n
δακρύοιϊν	d a k r y y i n
δακρύοο	d a k r y o o
δακρύου	d a k r y u
δακρύουσα	d a k r y u s a
δακρύσας	d a k r y s a s
δακρύσασα	d a k r y s a s a
δακρύω	d a k r y o
δακρύων	d a k r y o n
δακρύῳ	d a k r y o
δακρῦον	d a k r y o n
δακρῦσαν	d a k r y s a n
δακτυλίου	d a k t y l i u
δακτυλίους	d a k t y l i u s
δακτυλίων	d a k t y l i o n
δακτυλιοθήκη	d a k t y l i o tʰ e̝ k e̝
δακτυλοειδής	d a k t y l o eː d ɛ̌ː s
δακτυλόπους	d a k t y l o p u s
δακτύλιε	d a k t y l i e
δακτύλιοι	d a k t y l i y
δακτύλιος	d a k t y l i o s
δακτύλοιν	d a k t y l y n
δακτύλοις	d a k t y l y s
δακτύλου	d a k t y l u
δακτύλους	d a k t y l u s
δακτύλω	d a k t y l o
δακτύλων	d a k t y l o n
δακτύλῳ	d a k t y l o
δαλιλᾶ	d a l i l a
δαλματία	d a l m a t i a
δαμάζομαι	d a m a z o m ɛ
δαμάζω	d a m a z o
δαμάλης	d a m a l e̝ s
δαμάρτεσι	d a m a r t e s i
δαμάρτεσιν	d a m a r t e s i n
δαμάρτεσσι	d a m a r t e s s i
δαμάρτεσσιν	d a m a r t e s s i n
δαμάρτοιν	d a m a r t y n
δαμάρτοιϊν	d a m a r t y i n
δαμάρτων	d a m a r t o n
δαμάστιον	d a m a s t i o n
δαμάσῃ	d a m a s e̝
δαμάτηρ	d a m a t e̝ r
δαμέν	d a m e n
δαμέντα	d a m e n t a
δαμέντες	d a m e n t e s
δαμήμεναι	d a m e̝ m e n ɛ
δαμασίθυμος	d a m a s i tʰ y m o s
δαμασκηνός	d a m a s k e̝ n o s
δαμασκός	d a m a s k o s
δαμασπία	d a m a s p i a
δαμείη	d a m i e̝
δαμείς	d a m i s
δαμιανός	d a m i a n o s
δαμνάω	d a m n a o
δαμοκλῆς	d a m o k l e̝ s
δαμοκρατία	d a m o k r a t i a
δαμᾷ	d a m a
δαμῆναι	d a m e̝ n ɛ
δαμῇ	d a m e̝
δανάβη	ð a n a v i
δανάη	d a n a e̝
δανάης	d a n a e̝ s
δανάκη	d a n a k e̝
δαναΐδης	d a n a i d e̝ s
δαναΐς	d a n a i s
δαναοί	d a n a y
δαναούς	d a n a u s
δαναοῖς	d a n a y s
δαναοῖσι	d a n a y s i
δαναοῖσιν	d a n a y s i n
δαναός	d a n a o s
δαναῶν	d a n a o n
δανδάκη	d a n d a k e̝
δανειστής	d a n eː s t ɛ̌ː s
δανθηλῆται	d a n tʰ e̝ l e̝ t ɛ
δανιήλ	d a n i e̝ l
δαπάνα	d a p a n a
δαπάναι	d a p a n ɛ
δαπάναιν	d a p a n ɛ n
δαπάναις	d a p a n ɛ s
δαπάνας	d a p a n a s
δαπάνη	d a p a n e̝
δαπάνην	d a p a n e̝ n
δαπάνης	d a p a n e̝ s
δαπάνῃ	d a p a n e̝
δαπέδοιν	d a p e d y n
δαπέδοις	d a p e d y s
δαπέδου	d a p e d u
δαπέδω	d a p e d o
δαπέδων	d a p e d o n
δαπέδῳ	d a p e d o
δαπανάω	d a p a n a o
δαπανῶν	d a p a n o n
δαρδάπτω	d a r d a p t o
δαρδαίνει	d a r d ǎ i̯ n eː
δαρδανίδαο	d a r d a n i d a o
δαρδανίδης	d a r d a n i d e̝ s
δαρδανεύς	d a r d a n e ʍ s
δαρείου	d a r i u
δαρεικός	d a r i k o s
δαρεῖος	d a r i o s
δαρεῖται	d a r i t ɛ
δαρθάνω	d a r tʰ a n o
δαρτός	d a r t o s
δασέα	d a s e a
δασέε	d a s e e
δασέοιν	d a s e y n
δασέος	d a s e o s
δασέσι	d a s e s i
δασέσιν	d a s e s i n
δασέων	d a s e o n
δασεία	d a s i a
δασείαιν	d a s i ɛ n
δασείαις	d a s i ɛ s
δασείας	d a s i a s
δασείᾳ	d a s i a
δασειῶν	d a s eː ɔ̂ː n
δασεῖ	d a s i
δασεῖα	d a s i a
δασεῖαι	d a s i ɛ
δασεῖαν	d a s i a n
δασεῖς	d a s i s
δασκύλειον	d a s k y l i o n
δασκύλιον	d a s k y l i o n
δασσάμενοι	d a s s a m e n y
δασσάμενος	d a s s a m e n o s
δασύ	d a s y
δασύμαλλος	d a s y m a l l o s
δασύν	d a s y n
δασύπους	d a s y p u s
δασύς	d a s y s
δασύστερνος	d a s y s t e r n o s
δασύτερος	d a s y t e r o s
δασύτης	d a s y t e̝ s
δατάμης	d a t a m e̝ s
δατέομαι	d a t e o m ɛ
δαταφέρνης	d a t a pʰ e r n e̝ s
δατός	d a t o s
δαυΐδ	d a u̯ ǐː d
δαυΐδης	d a u̯ ǐː d ɛː s
δαυΐδου	d a u̯ ǐː d uː
δαυείδ	d a u̯ ěː d
δαυλίς	d a u̯ l í s
δαυρίσης	d a u̯ r í s ɛː s
δαφναί	d a pʰ n ǎ i̯
δαφνοῦς	d a pʰ n u s
δαφνῖτις	d a pʰ n i t i s
δαφνῶν	d a pʰ n o n
δαφοινοί	d a pʰ o i̯ n ǒ i̯
δαφοινούς	d a pʰ o i̯ n ǔː s
δαφοινοῖς	d a pʰ o i̯ n ô i̯ s
δαφοινοῦ	d a pʰ o i̯ n ûː
δαφοινόν	d a pʰ o i̯ n ó n
δαφοινός	d a pʰ o i̯ n ó s
δαφοινῶν	d a pʰ o i̯ n ɔ̂ː n
δαφοινῷ	d a pʰ o i̯ n ɔ̂ː i̯
δαψιλής	d a p s i l e̝ s
δαῖμον	d â i̯ m o n
δαῖτ'	d â i̯ t
δαῖτα	d â i̯ t a
δαῖτας	d â i̯ t a s
δαῦκος	d a ʍ k o s
δεΐ	d e i
δεέσθω	d e e s tʰ o
δεήσαι	d e e̝ s ɛ
δεήσει	d e e̝ s i
δεήσειε	d e e̝ s i e
δεήσειεν	d e e̝ s i e n
δεήσεις	d e e̝ s i s
δεήσεσθαι	d e e̝ s e s tʰ ɛ
δεήσεσθε	d e e̝ s e s tʰ e
δεήσεται	d e e̝ s e t ɛ
δεήσετε	d e e̝ s e t e
δεήσομαι	d e e̝ s o m ɛ
δεήσομεν	d e e̝ s o m e n
δεήσονται	d e e̝ s o n t ɛ
δεήσουσι	d e e̝ s u s i
δεήσουσιν	d e e̝ s u s i n
δεήσω	d e e̝ s o
δεήσῃ	d e e̝ s e̝
δείγμασι	d i ɡ m a s i
δείγμασιν	d i ɡ m a s i n
δείγματε	d i ɡ m a t e
δείγματι	d i ɡ m a t i
δείγματος	d i ɡ m a t o s
δείδια	d i d i a
δείδοικα	d i d y k a
δείδω	d i d o
δείκνυμαι	d i k n y m ɛ
δείκνυμεν	d i k n y m e n
δείκνυμι	d i k n y m i
δείκνυνται	d i k n y n t ɛ
δείκνυς	d i k n y s
δείκνυσαι	d i k n y s ɛ
δείκνυσθαι	d i k n y s tʰ ɛ
δείκνυσθε	d i k n y s tʰ e
δείκνυσι	d i k n y s i
δείκνυται	d i k n y t ɛ
δείκνυτε	d i k n y t e
δείλ'	d i l
δείλη	d i l e̝
δείλομαι	d i l o m ɛ
δείμου	d i m u
δείμῳ	d i m o
δείνα	d i n a
δείναρχος	d i n a r kʰ o s
δείξαντα	d i k s a n t a
δείξαντες	d i k s a n t e s
δείξαντι	d i k s a n t i
δείξαντος	d i k s a n t o s
δείξας	d i k s a s
δείξασα	d i k s a s a
δείξασαι	d i k s a s ɛ
δείξασι	d i k s a s i
δείξασιν	d i k s a s i n
δείξει	d i k s i
δείξεις	d i k s i s
δείξετε	d i k s e t e
δείξετον	d i k s e t o n
δείξομεν	d i k s o m e n
δείξουσιν	d i k s u s i n
δείξω	d i k s o
δείπνοιν	d i p n y n
δείπνοις	d i p n y s
δείπνω	d i p n o
δείπνῳ	d i p n o
δείσαντες	d i s a n t e s
δείσας	d i s a s
δείσθω	d i s tʰ o
δεβελτός	d e b e l t o s
δεδέξομαι	d e d e k s o m ɛ
δεδήλωκας	d e d e̝ l o k a s
δεδήλωκεν	d e d e̝ l o k e n
δεδήλωται	d e d e̝ l o t ɛ
δεδαϊγμένον	d e d a i ŋ m é n o n
δεδαϊγμένος	d e d a i ŋ m é n o s
δεδεγμένοι	d e d e ŋ m é n o i̯
δεδεγμένος	d e d e ŋ m é n o s
δεδειγμένος	d e d eː ŋ m é n o s
δεδειπνήκειν	d e d eː p n ɛ̌ː k eː n
δεδιός	d e d i o s
δεδιότες	d e d i o t e s
δεδιώς	d e d i o s
δεδιῄτηκα	d e d i e̝ t e̝ k a
δεδιῄτημαι	d e d i e̝ t e̝ m ɛ
δεδμημένοι	d e d m e̝ m e n y
δεδμημένος	d e d m e̝ m e n o s
δεδομένα	d e d o m e n a
δεδομέναι	d e d o m e n ɛ
δεδομέναις	d e d o m e n ɛ s
δεδομένας	d e d o m e n a s
δεδομένη	d e d o m e n e̝
δεδομένην	d e d o m e n e̝ n
δεδομένης	d e d o m e n e̝ s
δεδομένοι	d e d o m e n y
δεδομένοις	d e d o m e n y s
δεδομένον	d e d o m e n o n
δεδομένος	d e d o m e n o s
δεδομένου	d e d o m e n u
δεδομένους	d e d o m e n u s
δεδομένων	d e d o m e n o n
δεδομένῃ	d e d o m e n e̝
δεδομένῳ	d e d o m e n o
δεδουλωμένος	d e d u l o m e n o s
δεδουλωμένους	d e d u l o m e n u s
δεδώνη	d e d o n e̝
δεηθέν	d e e̝ tʰ e n
δεηθέντα	d e e̝ tʰ e n t a
δεηθέντας	d e e̝ tʰ e n t a s
δεηθέντες	d e e̝ tʰ e n t e s
δεηθέντι	d e e̝ tʰ e n t i
δεηθέντος	d e e̝ tʰ e n t o s
δεηθέντων	d e e̝ tʰ e n t o n
δεηθείς	d e e̝ tʰ i s
δεηθείσαις	d e e̝ tʰ i s ɛ s
δεηθείσας	d e e̝ tʰ i s a s
δεηθείσης	d e e̝ tʰ i s e̝ s
δεηθείσῃ	d e e̝ tʰ i s e̝
δεηθεισῶν	d e e̝ tʰ i s o n
δεηθεῖσα	d e e̝ tʰ i s a
δεηθεῖσαι	d e e̝ tʰ i s ɛ
δεηθεῖσαν	d e e̝ tʰ i s a n
δεηθεῖσι	d e e̝ tʰ i s i
δεηθεῖσιν	d e e̝ tʰ i s i n
δεηθῆναι	d e e̝ tʰ e̝ n ɛ
δεησομένους	d e e̝ s o m e n u s
δεησόμεθα	d e e̝ s o m e tʰ a
δεησόμενοι	d e e̝ s o m e n y
δεησόμενος	d e e̝ s o m e n o s
δειγμάτοιν	d eː ŋ m á t o i̯ n
δειγματίζω	d eː ŋ m a t í z d ɔː
δειδιότες	d eː d i ó t e s
δειδιώς	d eː d i ɔ̌ː s
δειδώ	d eː d ɔ̌ː
δεικνυμέναις	d eː k n y m é n a i̯ s
δεικνυμένη	d eː k n y m é n ɛː
δεικνυμένην	d eː k n y m é n ɛː n
δεικνυμένης	d eː k n y m é n ɛː s
δεικνυμένοις	d eː k n y m é n o i̯ s
δεικνυμένου	d eː k n y m é n uː
δεικνυμένους	d eː k n y m é n uː s
δεικνυμένων	d eː k n y m é n ɔː n
δεικνυμένῃ	d eː k n y m é n ɛː i̯
δεικνυμένῳ	d eː k n y m é n ɔː i̯
δεικνυσῶν	d eː k n yː s ɔ̂ː n
δεικνύασι	d eː k n ý aː s i
δεικνύμεθα	d eː k n ý m e tʰ a
δεικνύμενα	d eː k n ý m e n a
δεικνύμεναι	d eː k n ý m e n a i̯
δεικνύμενοι	d eː k n ý m e n o i̯
δεικνύμενον	d eː k n ý m e n o n
δεικνύμενος	d eː k n ý m e n o s
δεικνύν	d eː k n ý n
δεικνύντα	d eː k n ý n t a
δεικνύντας	d eː k n ý n t a s
δεικνύντε	d eː k n ý n t e
δεικνύντες	d eː k n ý n t e s
δεικνύντι	d eː k n ý n t i
δεικνύντοιν	d eː k n ý n t o i̯ n
δεικνύντος	d eː k n ý n t o s
δεικνύντων	d eː k n ý n t ɔː n
δεικνύς	d eː k n y̌ː s
δεικνύσα	d eː k n y̌ː s aː
δεικνύσαιν	d eː k n y̌ː s a i̯ n
δεικνύσαις	d eː k n y̌ː s a i̯ s
δεικνύσας	d eː k n y̌ː s aː s
δεικνύσης	d eː k n y̌ː s ɛː s
δεικνύσῃ	d eː k n y̌ː s ɛː i̯
δεικνύω	d eː k n ý ɔː
δεικνῦσα	d eː k n ŷː s a
δεικνῦσαι	d eː k n ŷː s a i̯
δεικνῦσαν	d eː k n ŷː s a n
δεικνῦσι	d eː k n ŷː s i
δεικνῦσιν	d eː k n ŷː s i n
δεικτικός	d eː k t i k ó s
δειλά	d eː l á
δειλάς	d eː l ǎː s
δειλέ	d eː l é
δειλή	d eː l ɛ̌ː
δειλήν	d eː l ɛ̌ː n
δειλία	d eː l í aː
δειλαί	d eː l ǎ i̯
δειλαῖν	d eː l â i̯ n
δειλαῖς	d eː l â i̯ s
δειλοί	d eː l ǒ i̯
δειλούς	d eː l ǔː s
δειλοῖν	d eː l ô i̯ n
δειλοῖο	d eː l ô i̯ o
δειλοῖς	d eː l ô i̯ s
δειλοῖσι	d eː l ô i̯ s i
δειλοῦ	d eː l ûː
δειλόν	d eː l ó n
δειλός	d eː l ó s
δειλότης	d eː l ó t ɛː s
δειλώ	d eː l ɔ̌ː
δειλῆς	d eː l ɛ̂ː s
δειλῇ	d eː l ɛ̂ː i̯
δειλῶν	d eː l ɔ̂ː n
δειλῷ	d eː l ɔ̂ː i̯
δειμέ	d eː m é
δειματόω	d eː m a t ó ɔː
δειμοί	d eː m ǒ i̯
δειμούς	d eː m ǔː s
δειμοῖν	d eː m ô i̯ n
δειμοῖς	d eː m ô i̯ s
δειμοῦ	d eː m ûː
δειμόν	d eː m ó n
δειμός	d eː m ó s
δειμώ	d eː m ɔ̌ː
δειμῶν	d eː m ɔ̂ː n
δειμῷ	d eː m ɔ̂ː i̯
δεινά	d eː n á
δεινάς	d eː n ǎː s
δεινάων	d eː n ǎː ɔː n
δεινέ	d eː n é
δεινέων	d eː n é ɔː n
δεινή	d eː n ɛ̌ː
δεινήν	d eː n ɛ̌ː n
δειναί	d eː n ǎ i̯
δειναῖν	d eː n â i̯ n
δειναῖς	d eː n â i̯ s
δειναῖϊν	d eː n â i̯ i n
δεινοί	d eː n ǒ i̯
δεινοκράτης	d eː n o k r á t ɛː s
δεινοσθένης	d eː n o s tʰ é n ɛː s
δεινοτάτα	d eː n o t á t aː
δεινοτάταιν	d eː n o t á t a i̯ n
δεινοτάταις	d eː n o t á t a i̯ s
δεινοτάταιϊν	d eː n o t á t a i̯ i n
δεινοτάτας	d eː n o t á t aː s
δεινοτάτη	d eː n o t á t ɛː
δεινοτάτην	d eː n o t á t ɛː n
δεινοτάτης	d eː n o t á t ɛː s
δεινοτάτοιν	d eː n o t á t o i̯ n
δεινοτάτοιο	d eː n o t á t o i̯ o
δεινοτάτοις	d eː n o t á t o i̯ s
δεινοτάτοισι	d eː n o t á t o i̯ s i
δεινοτάτοισιν	d eː n o t á t o i̯ s i n
δεινοτάτοιϊν	d eː n o t á t o i̯ i n
δεινοτάτοο	d eː n o t á t o o
δεινοτάτου	d eː n o t á t uː
δεινοτάτους	d eː n o t á t uː s
δεινοτάτω	d eː n o t á t ɔː
δεινοτάτων	d eː n o t á t ɔː n
δεινοτάτῃ	d eː n o t á t ɛː i̯
δεινοτάτῃς	d eː n o t á t ɛː i̯ s
δεινοτάτῃσι	d eː n o t á t ɛː i̯ s i
δεινοτάτῃσιν	d eː n o t á t ɛː i̯ s i n
