achab	aː k a b
capacite	k a p a s i t eː
capcioun	k a p s i uː n
capitain	k a p i t æ i̯ n
capitainerie	k a p t i n r iː
capitainship	k a p t i n ʃ i p
capoun	k a p u n
cappe	k a p
cappen	k a p ə n
capper	k a p ə r
cappynge	k a p i n ɡ
capston	k a p s t ɔ̝ː n
captif	k a p t i f
captivite	k a p t i v i t eː
caraway	k a r w iː
carbuncle	k a r b u k ə l
care	k aː r
caren	k aː r ə n
carfukes	k a r f u k
carien	k a r iː ə n
carole	k a r oː l
caroyne	k a r i n
carpe	k a r p
carpenter	k a r p ɛ n t eː r
carpentrie	k a r p ɛ n t r iː
carpette	k a r p ɛ t
carre	k a r
carvi	k a r v iː
case	k a s
casere	k a z ə r
cassen	k a s ə n
castel	k a s t ə l
cat	k a t
cataract	k a t ə r a k
cathedral	k a t ɛ d r a l
cauce	k a u̯ s eː
caudel	k a u̯ d ɛ l
caudroun	k a u̯ d r u n
causen	k a u̯ z ə n
cave	k aː v
caven	k aː v ə n
caverne	k a v ɛ r n
cavernous	k a v ɛ r n u s
cedre	s ɛː d r ə
cedule	s ɛ d i u̯ l
celle	s ɛ l
cenacle	s ɛ n aː k l ə
cenyth	s ɛ n i t
cerebrum	s ɛ r ə b r u m
certeyn	s ɛ r t i n
certeynly	s ɛ r t i n l iː
cerymonial	s ɛ r i m ɔ n i aː l
cerymonye	s ɛ r i m ɔ n iː
chaf	k a f
chaffare	t͡ʃ a f aː r
chaffaren	t͡ʃ a f aː r ə n
chaft	t͡ʃ a f t
chafur	t͡ʃ a f ə r
chalenge	t͡ʃ a l a n d͡ʒ
chalengeable	t ʃ a l a n d͡ʒ aː b ə l
chalengen	t ʃ a l a n d ʒ ə n
chalengere	t ʃ a l a n d ʒ u r
chalengynge	t ʃ a l a n d ʒ i n ɡ
chalis	k a l i s
chalk	k a l k
chambre	t ʃ a m b r ə
champioun	k a m p i uː n
chape	t͡ʃ aː p
chapele	t͡ʃ a p ə l
chapeleyn	t͡ʃ a p l i n
chapitre	t͡ʃ a p i t r ə
chapman	t͡ʃ a p m a n
charjous	t ʃ a r d ʒ u s
charme	t͡ʃ a r m
charmen	t͡ʃ a r m ə n
charmer	t͡ʃ a r m eː r
charmynge	t͡ʃ a r m i n ɡ
chartre	t͡ʃ a r t r ə
chaudoun	t͡ʃ a u̯ d u n
chaufen	t͡ʃ a u̯ f ə n
chaufour	t͡ʃ a f uː r
chaunce	t͡ʃ a n s
chauncen	t͡ʃ a n s ə n
chaundeler	t͡ʃ a n d l eː r
chaunge	t͡ʃ a n d͡ʒ
chaungeable	t͡ʃ a u̯ n d͡ʒ a b ə l
chaungen	t͡ʃ a n d͡ʒ ə n
chaungere	t͡ʃ a u̯ n d͡ʒ u r
chauntement	t͡ʃ a n t m ɛ n t
chaunten	t͡ʃ a n t ə n
chaunteresse	t͡ʃ a n t ə r ɛ s
chaunterie	t͡ʃ a n t r iː
chauntour	t͡ʃ a n t u r
chauntynge	t͡ʃ a n t i n ɡ
chavel	t͡ʃ a v ə l
chaye	t͡ʃ æ i̯
chayere	a i̯
chef	t͡ʃ eː f
chefly	t͡ʃ eː f l iː
chek	t͡ʃ ɛ k
cheke	t͡ʃ eː k
cheker	t͡ʃ ɛ k eː r
chekmat	t͡ʃ ɛ k m aː t
chelde	k eː l d
chele	t͡ʃ i l
chemise	t͡ʃ ɛ m iː z
cheri	t ʃ i r iː
cherl	t͡ʃ ɛ r l
chervell	t ʃ ɛ r v ɛ l
cherven	t͡ʃ ɛ r v ə n
ches	t͡ʃ ɛ s
chese	t͡ʃ eː z
chesen	t͡ʃ eː z ə n
chesible	t͡ʃ ɛ z i b l ə
chesoun	t͡ʃ ɛː z u n
chest	t͡ʃ ɛː s t
cheste	k i s t
chesteyne	t͡ʃ a s t æ i̯ n
chet	t͡ʃ eː t
chete	t͡ʃ eː t
chetour	t͡ʃ ɛː t u r
chevese	t͡ʃ eː v i s
cheveteyn	t͡ʃ eː f t i n
chewen	t͡ʃ i u̯ ə n
chewet	t͡ʃ i u̯ ɛ t
chewynge	t͡ʃ i u̯ i n ɡ
cheyne	t͡ʃ iː n
cheynen	t͡ʃ iː n
chibolle	t͡ʃ i b ɔ l
chiken	t͡ʃ eː k
child	t͡ʃ iː l d
childberyng	t ʃ iː l d b ɛː r i n ɡ
childen	t ʃ iː l d ə n
childhode	t ʃ iː l d h oː d
childing	t ʃ iː l d i n ɡ
childissh	t ʃ iː l d i ʃ
childles	t͡ʃ iː l d l ɛ̝ː s
childly	t͡ʃ iː l d l i t͡ʃ
childwyte	t ʃ iː l d w iː t
chippe	t͡ʃ i p
chirche	k i r k
chirm	t͡ʃ a r m
chirmen	t͡ʃ i r m ə n
chis	t͡ʃ iː s
chisel	t͡ʃ eː z ɛ l
chiterlyng	t͡ʃ i t ə r l i n ɡ
chivaler	t͡ʃ i v a l eː r
chivalerie	t͡ʃ i v a l r iː
chivalerous	t͡ʃ i v a l r u s
chois	t͡ʃ ɔ i̯ s
choisly	t͡ʃ ɔ i̯ s l iː
choken	t͡ʃ eː k ə n
choppen	t͡ʃ a p ə n
chosling	t͡ʃ oː z l i n ɡ
chymbe	t͡ʃ i m
chymben	t͡ʃ i m b ə n
chymeneye	t͡ʃ i m i n æ i̯
chyn	t͡ʃ i n
chyne	t͡ʃ eː n
chynen	t͡ʃ i n ə n
chyrne	k i r n
chyrnen	t͡ʃ i r n ə n
chyrnynge	t͡ʃ i r n i n ɡ
chyvachie	t͡ʃ i v a t͡ʃ iː
cifre	s i f r ə
cipre	s i p r ə
cipres	s i p r ɛ s
circumspeccioun	s i r k u m s p ɛ k s i uː n
ciromancie	s i r ɔ m a n s iː
cirurgical	s i r u r d͡ʒ i k a l
cirurgie	s i r u r d͡ʒ iː
cirurgien	s i r u r d ʒ i n
ciser	s i s ə r
cisterne	s i s t ɛ r n
cite	s i t eː
citeseyn	s i t i z æ i̯ n
citrine	s i t r iː n
clam	k l aː m
clappe	k l a p
clappen	k l a p ə n
clappynge	k l a p i n ɡ
claret	k l a r ɛ t
clause	k l a u̯ z
clawe	k l a u̯
clawen	k l a u̯ ə n
clawynge	k l a u̯ i n ɡ
cle	k l ɛ̝ː
clemen	k l ɛ̝ː m ə n
clensen	k l a n z iː
clepen	k l eː p ə n
clete	k l oː t
clethe	k l ɛː θ
clethen	k l ɛː ð ə n
clething	k l ɛː ð i n ɡ
cleve	k l eː v
cleven	k l eː v ə n
clevere	k l eː v ə r
clevynge	k l eː v i n ɡ
clewe	k l i u̯
cley	k l æ i̯
cleyed	i k l æ i̯ ə d
cleyen	k l æ i̯ ə n
cleyere	k l æ i̯ ə r
cleyy	k l æ i̯ iː
clicchinge	k l i t͡ʃ i n ɡ
clift	k l i f t
clingen	k l i n ɡ ə n
clod	k l ɔ d
clodden	k l ɔ d ə n
cloddre	k l u d ə r
clodred	k l ɔ d r ɛ d
cloistre	k l ɔ i̯ s t ə r
cloke	k l oː k
clokke	k l ɔ k
clokken	k l ɔ k ə n
clompe	k l u m p
clot	k l ɔ t
cloth	k l ɑː θ
clothen	k l ɔː ð i ə n
clother	k l ɔː ð j ə r
clothing	k l aː ð i n ɡ
clothles	k l ɔ̝ː ð l ɛ̝ː s
cloud	k l uː d
cloudy	k l uː d iː
clough	k l uː x
clout	k l uː t
clouten	k l uː t ə n
clouting	k l uː t i n ɡ
clove	k l ɔː v
cloven	i k l ɔː v ə
clovere	k l ɔː v r ə
clowe	k l ɔ u̯
clowter	k l uː t ə r
cloystrer	k l ɔ i̯ s t r eː r
clubbe	k l u b
clubber	k l u b ə r
clubbyd	k l u b i d
clyf	k l eː f
clymben	k l eː m b ə n
clymbere	k l i m b ə r
clymbynge	k l i m b i n ɡ
clyngyng	k l i n ɡ i n ɡ
coaccioun	k ɔː a k s i uː n
cocatrice	k ɔ k ə t r iː s
cod	k ɔ d
code	k oː d
coffyn	k ɔ f i n
cofre	k ɔ f r ə
cofrer	k ɔ f r eː r
cok	k oː k
coker	k ɔ k ə r
coket	k ɔ k ɛ t
cokke	k ɔ k
cokkou	k u k uː
cokswain	k ɔ k s w æ i̯ n
col	k aː l
cold	k aː l d
colden	k ɔ̝ː l d ə n
coldnesse	k aː l d n ɛ s
cole	k oː l
colee	k ɔ l eː
coler	k ɔ l eː r
colerik	k ɔ l r i k
colk	k ɔ l k
college	k ɔ l aː d͡ʒ
collegial	k ɔ l ɛ d͡ʒ i a l
collegian	k ɔ l ɛː d͡ʒ i a n
collegiate	k ɔ l ɛ d ʒ i aː t
collusioun	k ɔ l i u̯ z i uː n
collyng	k ɔ l i n ɡ
colour	k u l u r
colt	k ɔ l t
columpne	k ɔ l i u̯ m
comaundable	k u m a n d aː b ə l
comaunde	k u m a n d
comaundement	k u m a n d i m ɛ n t
comaunden	k u m a n d ə n
comaundour	k u m a n d u r
comb	k aː m
come	k oː m
comelen	k u m b l ə n
comen	k u m ə n
comfort	k u m f ɔ r t
comforten	k u m f ɔ r t ə n
commendable	k u m ɛ n d aː b ə l
commendably	k u m ɛ n d aː b l iː
commendacioun	k ɔ m ɛ n d aː s i uː n
commenden	k u m ɛ n d ə n
commendynge	k u m ɛ n d i n ɡ
companye	k u m p a n iː
comparable	k ɔ m p a r aː b l ə
comparatif	k ɔ m p a r a t i f
comparen	k ɔ m p aː r ə n
comparisoun	k ɔ m p a r i z u n
comparisounen	k ɔ m p a r i z u n ə n
compas	k u m p a s
compassement	k u m p a s m ɛ n t
compassen	k u m p a s ə n
compassioun	k ɔ m p a s i uː n
compassynge	k u m p a s i n ɡ
compleet	k ɔ m p l ɛː t
completen	k ɔ m p l ɛː t ə n
composicioun	k ɔ m p ɔ z i s i uː n
computacioun	k ɔ m p i u̯ t aː s i uː n
comun	k ɔ m i u̯ n
comunal	k ɔ m i u̯ n a l
comunalite	k ɔ m i u̯ n a l i t eː
comunalte	k ɔ m i u̯ n a l t eː
comunen	k ɔ m i u̯ n ə n
comuner	k ɔ m i u̯ n eː r
comunicacioun	k ɔ m i u̯ n i k aː s i uː n
comunioun	k ɔ m i u̯ n i uː n
comunly	k ɔ m i u̯ n l iː
comyn	k u m i n
concepcioun	k ɔ n s ɛ p s i uː n
conceyte	k ɔ n s æ i̯ t
conceyven	k ɔ n s æ i̯ v ə n
conceyvynge	k ɔ n s æ i̯ v i n ɡ
concubine	k ɔ n k i u̯ b iː n
condempnacioun	k ɔ n d ɛ m n aː s i u n
condempnen	k ɔ n d ɛ m n ə n
condigne	k ɔ n d i n ɡ
confermement	k ɔ n f ɛ r m i m ɛ n t
confermen	k u n f ɛ r m ə n
confermynge	k ɔ n f ɛ r m i n ɡ
confirmacioun	k ɔ n f i r m aː s i uː n
conformen	k ɔ n f u r m ə n
congelen	k ɔ n d ʒ ɛ l ə n
congregacioun	k ɔ n ɡ r ɛ ɡ aː s i uː n
conjuracioun	k u n d ʒ i u̯ r aː s i uː n
conjuren	k u n d͡ʒ i u̯ r ə n
conjurer	k u n d ʒ i u̯ r ə r
conjurisoun	k u n d͡ʒ i u̯ r i z u n
conqueren	k u n k w ə r ə n
conquerour	k u n k w ə r u r
conquest	k ɔ n k w ɛ s t
constable	k u n s t a b l ə
constitucioun	k ɔ n s t i t i u̯ s i uː n
construen	k ɔ n s t r i u̯ ə n
contenten	k ɔ n t ɛ n t ə n
contraccioun	k ɔ n t r a k s i uː n
contre	k u n t r eː
controllen	k ɔ n t r ɔ l ə n
conventicle	k ɔ n v ɛ n t i k l
cook	k oː k
cop	k ɔ p
cope	k aː p
coper	k ɔ p ə r
coperose	k ɔ p r ɔ s
corde	k ɔ r d
core	k ɔː r
coriandre	k ɔ l i a n d r ə
corn	k oː r n
corne	k oː r n
corner	k ɔ r n eː r
cornered	k ɔ r n eː r i d
cornet	k ɔ r n i t
corny	k oː r n iː
coronacioun	k ɔ r u n aː s i uː n
coronal	k r uː n a l
coronement	k r uː n m ɛ n t
coroner	k r uː n eː r
coroune	k r uː n
corounen	k r uː n ə n
cos	k i s
costrel	k ɔ s t r ɛ l
costret	k ɔ s t r ɛ t
cosyn	k oː z i n
cosynage	k oː z i n aː d͡ʒ
cote	k oː t
coteler	k u t l ə r
cothe	k ɔː ð
cotlif	k ɔ t l iː f
coton	k ɔ t u n
couchant	k uː t ʃ a n t
couche	k uː t ʃ
couchen	k uː t ʃ ə n
coucher	k uː t ʃ uː r
couchynge	k uː t͡ʃ i n ɡ
cough	k ɔ u̯
coughen	k ɔ u̯ x ə n
coule	k u v ə l
counseil	k u n s iː l
counseilen	k u n s æ i̯ l ə n
counseiler	k uː n s æ i̯ l eː r
counte	k uː n t
counten	k uː n t ə n
countesse	k u n t ɛ s
countour	k uː n t u r
coupe	k uː p
couple	k uː p l ə
couplen	k u p l ə n
couplynge	k u p l i n ɡ
couren	k uː r ə n
cours	k u r s
courser	k u r s eː r
coursly	k uː r s l iː
court	k uː r t
courteour	k uː r t i u r
covel	k u v ə l
covent	k u v ɛ n t
cover	k u v ə r
coveren	k u v r ə n
cow	k uː
coward	k uː a r d
cowardie	k uː a r d iː
cowardise	k uː a r d iː z
cowardly	k uː a r d l iː
cowardnesse	k uː a r d n ɛ s
cowherde	k uː h eː r d
cowschote	k u ʃ ɔ t
coyn	k u i̯ n
coynage	k u i̯ n aː d ʒ
coynen	k u i̯ n ə n
coynour	k u i̯ n u r
coynynge	k u i̯ n i n ɡ
crabbe	k r a b
crabbed	k r a b i d
crabbednes	k r a b i d n ɛ s
crabbidly	k r a b d l iː
cradel	k r aː d ə l
craft	k r a f t
crag	k r a ɡ
craker	k r a k ə r
crakynge	k r a k i n ɡ
cranage	k r aː n aː d͡ʒ
crane	k r a n
crappe	k r a p
crasen	k r aː z ə n
cravant	k r aː v a n t
craven	k r aː v ə n
creacion	k r ɛː aː s j u n
creat	k r ɛː aː t
createn	k r ɛː aː t ə n
creatour	k r ɛː a t u r
creature	k r aː t i u̯ r
creaunce	k r ɛː a n s
creauncen	k r ɛː a n s ə n
creaunsour	k r ɛː a n s u r
creaunt	k r i a n t
crede	k r eː d
credence	k r ɛː d ɛ n s
credible	k r ɛ d i b ə l
creditour	k r ɛ d i t u r
credo	k r ɛː d oː
crele	k r eː l
creme	k r ɛː m
cremesyn	k r i m i z i n
crengen	k r eː n d͡ʒ ə n
crepel	k r eː p ə l
crepen	k r eː p ə n
creper	k r eː p ə r
crepynge	k r eː p i n ɡ
cresen	k r ɛ s ə n
cressaunt	k r ɛ s a u̯ n t
cresset	k r ɛ s ɛ t
crevis	k r ɛ v i s
crien	k r iː ə n
criour	k r iː u r
crismatorie	k r i z m a t ɔː r iː
crisme	k r i z m ə
crisp	k r i p s
crispen	k r i s p ə n
cristened	k r iː s t n ə d
cristenen	k r i s t n ə n
cristenly	k r i s t ə n l iː
cristenynge	k r i s t n i n ɡ
crochet	k r ɔ t͡ʃ ɛ t
croft	k r ɔ f t
croh	k r oː x
croken	k r oː k ə n
croket	k r ɔ k ɛ t
crokke	k r ɔ k
crokynge	k r oː k i n ɡ
crome	k r u m
cromen	k r i m ə n
cronk	k r ɔ n k
cronyng	k r uː n i n ɡ
croper	k r u p eː r
cropoun	k r u p u n
croppe	k r ɔ p
croppen	k r ɔ p ə n
cross	k r ɔ s
crouche	k r uː t͡ʃ
crouchen	k r u t ʃ ə n
crouden	k r uː d ə n
croudewayn	k r uː d w æ i̯ n
crouken	k r uː k ə n
croupe	k r uː p
crowde	k r uː d
crowdere	k r uː d ə r
crowdyng	k r uː d i n ɡ
crowe	k r ɑ u̯
crowen	k r ɑ u̯ ə n
crownynge	k r uː n i n ɡ
crowynge	k r ɔ u̯ i n ɡ
croys	k r ɔ i̯ s
crucche	k r u t͡ʃ
crucifien	k r i u̯ s i f iː ə n
crucifier	k r i u̯ s i f iː ə r
crucifix	k r i u̯ s i f i k s
crudde	k r u d
crudden	k r u d ə n
cruddynge	k r u d i n ɡ
crude	k r i u̯ d
crudelite	k r i u̯ d ɛ l i t eː
cruel	k r i u̯ ə l
cruelheed	k r i u̯ ə l h ɛː d
cruelly	k r i u̯ ə l iː
cruelnesse	k r i u̯ ə l n ɛ s
cruelte	k r i u̯ a l t eː
cruste	k r u s t
cry	k r iː
crykke	k r i k
cryme	k r iː m
cryminal	k r i m i n a l
crymynatour	k r i m i n a t uː r
crymynous	k r iː m i n uː s
cubite	k i u̯ b i t
cucumer	k u k u m b ə r
culter	k u l t r ə
culvere	k u l v ə r
culvert	k u l v ɛ r t
culveryne	k u l v ə r iː n
cunnen	k u n ə n
cunte	k u n t
cuppeborde	k u b oː r d
curfu	k u r f i u̯
curlew	k u r l i u̯
curre	k u r
cursed	k u r s ɛ d
curteis	k u r t i s
curteisie	k u r t i z iː
curteisly	k u r t i s l iː
curtilage	k u r l a d͡ʒ
custume	k u s t i u̯ m
custumer	k u s t u m eː r
cynk	s i n k
cyve	s iː v
cyvee	s i v eː
dabbe	d a b
dafftelike	d a f t l iː k
dale	d a l
dalke	d a l k
dam	d a m
damage	d a m a d͡ʒ
damagen	d a m a d͡ʒ ə n
damasyn	d a m z i n
dame	d a m
damey	d a m æ i̯
dampnable	d a m n aː b l ə
dampnablely	d a m n aː b l iː
dampnacioun	d a m n aː s i u n
dampnen	d a m n ə n
dampnynge	d a m i n ɡ
dan	d a n
dart	d a r t
darten	d a r t ə n
dasch	d a ʃ
daschen	d a s ə n
dasshyng	d a ʃ i n ɡ
daunce	d a n s
dauncen	d a n s ə n
dauncynge	d a u̯ n s i n ɡ
daunten	d a n t ə n
dauntynge	d a u̯ n t i n ɡ
dawen	d a u̯ ə n
dawnen	d a u̯ n ə n
dawnynge	d a u̯ n i n ɡ
dawynge	d a u̯ i i n ɡ
day	d a j
dayly	d æ i̯ l iː
decepcioun	d ɛ s ɛ p s i uː n
deceyte	d ɛ s ɛː t
deceyvable	d ɛː s æ i̯ v aː b ə l
deceyvably	d ɛː s æ i̯ v aː b l iː
deceyvaunce	d ɛː s æ i̯ v a n s
deceyven	d ɛː s æ i̯ v ə n
deceyvour	d ɛː s æ i̯ v u r
deceyvynge	d ɛː s æ i̯ v i n ɡ
dechen	d eː t͡ʃ ə n
deciden	d ɛː s iː d ə n
declin	d ɛ k l iː n
declinacioun	d ɛ k l i n aː s i uː n
declinen	d ɛ k l iː n ə n
declinson	d ɛ k l i n z u n
decre	d ɛː k r eː
dedly	d ɛ d l iː
dee	d eː
deed	d ɛ̝ː d
deeth	d ɛ̝ː θ
def	d ɛ̝ː f
defaute	d ɛː f a u̯ t
defferent	d ɛ f ɛ r ɛ n t
defnesse	d ɛ̝ː f n ɛ s
deformen	d ɛː f u r m ə n
deformite	d ɛː f ɔ r m i t eː
defoul	d ɛ f uː l
defoulen	d ɛ f uː l ə n
defte	d a f t
degre	d ɛː ɡ r eː
deis	d æ i̯ s
deken	d ɛ̝ː k n ə
del	d ɛː l
delare	d ɛː l ə r
dele	d ɛː l
delen	d ɛː l ə n
delf	d ɛ l f
delitabilite	d ɛ l i t a b i l i t eː
delitable	d ɛ l i t aː b ə l
delitably	d eː l iː t aː b l iː
delite	d eː l iː t
deliten	d eː l iː t ə n
delityng	d eː l iː t i n ɡ
delle	d ɛ l
delphyn	d ɔ l f i n
deluden	d ə l i u̯ d ə n
deluge	d ɛː l i u̯ d ʒ
delven	d ɛ l v ə n
delvere	d ɛ l v ə r
delvynge	d ɛ l v i n ɡ
delynge	d ɛː l i n ɡ
demaunde	d ɛː m a n d
demaunden	d ɛː m a n d ə n
demere	d eː m ə r
demon	d ɛː m ɔː n
demure	d ɛː m eː r
demurely	d ɛː m i u̯ r l iː
demuren	d ɛː m eː r ə n
den	d ɛ n
dene	d eː n
denyen	d ɛː n iː ə n
dep	d eː p
depen	d eː p ə n
deply	d eː p l i t͡ʃ
depnesse	d eː p n ɛ s
deposicion	d ɛ p ɔ z i s j u n
depthe	d eː p θ
der	d eː r
dere	d eː r
derelyng	d eː r l i n ɡ
deren	d ɛ̞ː r ə n
dereyne	d ɛ r æ i̯ n
dereynen	d ɛ r æ i̯ n ə n
derk	d ɛ r k
derkly	d ɛ r k l i t͡ʃ
derknesse	d ɛ r k n ɛ s
dernen	d ɛ r n ə n
derthe	d a r θ
desert	d ɛ z ɛ r t
desirous	d ɛ z iː r u s
despeyringe	d eː s p æ i̯ r i n ɡ
destroyen	d ɛ s t r i u̯ ə n
destroyour	d ɛː s t r i u̯ ə r
destruccioun	d ɛ s t r u k s i uː n
dette	d ɛ t
dettour	d ɛ t u r
detty	d ɛ t iː
devel	d eː l
develiche	d eː v l iː t ʃ
develissh	d eː v ə l i ʃ
develrye	d eː v ə l r iː
devely	d eː v ə l iː
deven	d ɛ̝ː v ə n
devouren	d ɛː v uː r ə n
devourere	d ɛː v uː r ə r
dew	d ɛ u̯
dewe	d i u̯
dewen	d ɛ u̯ ə n
dewy	d ɛ u̯ iː
dewynge	d ɛ u̯ i n ɡ
deye	d e i̯
deyen	d e i̯
deyerie	d æ i̯ r iː
deyne	d æ i̯ n
deynen	d æ i̯ n ə n
deynous	d æ i̯ n u s
deynously	d æ i̯ n u s l iː
deynte	d æ i̯ n t eː
deyntely	d æ i̯ n t eː l iː
deynteth	d æ i̯ n t eː θ
deyntevous	d æ i̯ n t eː uː s
deyntevously	d æ i̯ n t i u s l iː
diademe	d iː a d eː m
diall	d iː a l
dialog	d iː a l ɔ ɡ
difference	d i f ɛ r ɛ n s
different	d i f ɛ r ɛ n t
differently	d i f ɛ r ɛ n t l iː
differren	d i f ɛ r ə n
differryng	d i f ɛ r i n ɡ
difficult	d i f i k u l t
difficulte	d i f i k u l t eː
digge	d i ɡ
dighten	d i x t ə n
digit	d i d ʒ i t
digne	d i n ɡ
dignely	d i n ɡ n l iː
dignyte	d i n ɡ n i t eː
dile	d i l
dingen	d i n ɡ ə n
dint	d i n t
dinten	d i n t ə n
dirige	d i r d͡ʒ eː
disapoynten	d i z a p u i̯ n t ə n
disavauncen	d i s a v a u̯ n s ə n
disch	d i ʃ
discres	d i s k r ɛ s
discresen	d i s k r ɛ s ə n
disdeyne	d i s d æ i̯ n
disdeynen	d i s d æ i̯ n ə n
disdeynous	d i s d æ i̯ n u s
disheritaunce	d i s ɛ r i t a n s
dishoneste	d i s ɔ n ɛ s t
dishonestly	d i s ɔ n ɛ s t l iː
disparage	d i s p a r a d͡ʒ
disparagen	d i s p a r a d͡ʒ
displayen	d i s p l æ i̯ ə n
disporten	d i s p ɔː r t ə n
disposicioun	d i s p ɔː s j u n
dissimulacioun	d i s i m i l aː s j u n
dissimulen	d i s i m i u̯ l ə n
dissimulour	d i s i m i l ə r
dissolucioun	d i s ɔ l i u̯ s i uː n
dissolven	d i s s ɔ l v ə n
distaf	d i s t a f
distroublen	d i s t r u b l ə n
diverse	d i v ə r s
diversite	d i v ə r s i t eː
divisioun	d i v i z i uː n
do	d aː
doer	d oː ə r
doffen	d ɔ f ə n
dogge	d ɔ ɡ
dogged	d ɔ ɡ ɛ d
dogh	d ɔ u̯ x
doghter	d ɔ u̯ x t ə r
dok	d ɔ k
doke	d oː k
dokeling	d oː k l i n ɡ
dokke	d ɔ k
dokkyn	d ɔ k ə n
dol	d ɔː l
dole	d oː l
dombenesse	d u m b n ɛ s
don	d oː n
donge	d u n d͡ʒ
dongeoun	d u n d ʒ u n
doom	d oː m
dore	d oː r
dorry	d ɔ r iː
doseyne	d u z i n
dosk	d u s k
dotacion	d ɔː t aː s j uː n
dotage	d ɔː t a d͡ʒ
dotard	d ɔː t a r d
dote	d ɔː t
doten	d ɔ̞ː t ə n
dotynge	d ɔː t i n ɡ
douce	d uː s
doucen	d uː s ə n
doucet	d u l s i t
douen	d uː ə n
dought	d u x t
doughty	d u x t iː
doughtyly	d u x t i l iː
doughtynesse	d u x t i n ɛ s
douken	d uː k ə n
doun	d uː n
dousour	d uː s u r
douthe	d u ɣ ə ð
douve	d uː
dovehouse	d uː f h uː s
dowarye	d uː a r iː
dowen	d uː ə n
dower	d uː ə r
dragoun	d r a ɡ u n
drake	d r aː k
drane	d r aː n
draught	d r a u̯ x t
drawebrigge	d r a u̯ b r i d͡ʒ
drawen	d r a u̯ ə n
drawer	d r a u̯ ə r
dred	d r eː d
dreden	d r eː d ə n
dredful	d r ɛ d f u l
dredfully	d r ɛ d f u l iː
dredfulnesse	d r ɛ d f u l n ɛ s
dredles	d r ɛ d l ɛ̝ː s
drednesse	d r ɛ d n ɛ s
dredy	d r ɛ̝ː d iː
dregh	d r e i̯ x
dreghly	d r eː l iː
drem	d r ɛ̝ː m
dremels	d r ɛ̝ː m l ə s
dremen	d r eː m ə n
dremere	d r ɛ̝ː m ə r
dremynge	d r eː m i n ɡ
drenchen	d r i n t͡ʃ ə n
dreng	d r i n d͡ʒ
drepen	d r eː p ə n
drerily	d r eː r i l iː
drerimod	d r eː r iː m oː d
drery	d r eː r iː
dreryhed	d r eː r iː h ɛː d
drerynesse	d r eː r iː n ɛ s
dresen	d r eː z ə n
dressen	d r ɛ s ə n
dresser	d r ɛ s ə r
dressour	d r ɛ s i u̯ r
dressynge	d r ɛ s i n ɡ
drighte	d r i x t
drit	d r i t
driven	d r iː v ə n
dronkelewe	d r u n k l ɛ u̯
drope	d r ɔ p
droppen	d r ɔ p ə n
droughte	d r u x t
drounen	d r uː n ə n
droupen	d r uː p ə n
druggen	d r u d͡ʒ ə n
drullen	d r u l ə n
drye	d r iː
dryenesse	d r iː n ɛ s
dubler	d u b l eː r
duche	d u t ʃ eː
duchesse	d u t͡ʃ ɛ s
duely	d i u̯ l iː
duete	d i u̯ t eː
duk	d i u̯ k
dukdom	d i u̯ k d oː m
dul	d u l
dumb	d u m
dumben	d u m b ə n
duracioun	d i u̯ r aː s i uː n
durren	d u r ə n
dusken	d u s k ə n
dust	d u s t
dusty	d u s t iː
dwale	d w aː l
dwalen	d w aː l ə n
dwele	d w œ l
dwelen	d w ɛ l ə n
dwelle	d w ɛ l
dwellen	d w ɛ l ə n
dweller	d w ɛ l ə r
dwellynge	d w ɛ l i n ɡ
dwergh	d w a r x
dwynen	d w iː n ə n
dyamaunt	d iː a m a n t
dyaper	d iː a p r ə
dyapren	d iː a p r ə n
dyggar	d i ɡ ə r
dyne	d eː n
dynen	d i n ə n
dyner	d i n eː r
dysy	d eː z iː
ebbe	ɛ b
ebben	ɛ b ə n
eccho	ɛ k oː
ech	i l k
eche	eː t͡ʃ
edre	ɛː d ɾ ə
edy	ɛ d iː
ee	ɛ̝ː
eft	ɛ f t
eg	ɛ ɡ
egal	ɛ ɡ aː l
egerly	ɛː ɡ ə r l iː
egernesse	ɛː ɡ ə r n ɛ s
egge	ɛ d ʒ
egged	i ɛ d ʒ i d
eggement	ɛ ɡ m ɛ n t
eggen	ɛ ɡ ə n
eggyng	ɛ ɡ i n ɡ
egle	ɛː ɡ l ə
eglenter	ɛ ɡ l ɛ n t eː r
egre	ɛː ɡ r ə
egren	ɛː ɡ r ə n
egurdouce	ɛː ɡ ə r d uː s
eighte	a u̯ x t
eightetene	a u̯ x t eː n
eightetenthe	æ i̯ x t t eː n ð
eightetethe	æ i̯ x t t eː ð
eightethe	æ i̯ x t
eightetithe	æ i̯ x t i ð
eightety	a u̯ x t t iː
eilen	æ i̯ l ə n
eiliche	æ i̯ l i t͡ʃ
either	iː ð ə r
ek	ɛ̝ː k
el	eː l
elat	ɛː l aː t
elbowe	ɛ l b ɔ u̯
eldefader	e l d ə f aː d e r
ele	iː l
elen	ɛ̞ː l ə n
elenge	ɛ l eː n d͡ʒ
elengely	ɛ l eː n d͡ʒ l iː
elengenesse	ɛ l eː n d͡ʒ n ɛ s
elf	ɛ l f
elk	ɛ l k
ellefte	ɛ l ɛ f t
ellern	ɛ l ə r n
elles	ɛ l s
elleven	ɛ l ɛ v ə n
elleventhe	ɛ l ɛ v ə n d
