a	ɐ
bolinha	b o l ĩ ɲ ɐ
bolinhas	b o l ĩ ɲ ɐ s
bolinho	b o l ĩ ɲ u
bolinhos	b o l ĩ ɲ u s
bolivar	b o l i v ɐ ɹ
bolivia	b o l i v i ɐ
boliviana	b o l i v i ɐ̃ n ɐ
bolivianas	b o l i v i ɐ̃ n ɐ s
boliviano	b o l i v i ɐ̃ n u
bolivianos	b o l i v i ɐ̃ n u s
bolla	b ɔ w l ɐ
bolle	b ɔ w l i
bollocks	b ow l o k k s
bolo	b o l u
bologna	b o l o ɡ n ɐ
bolonha	b o l õ ɲ ɐ
bolonhesa	b o l o ɲ e z ɐ
bolor	b o l o ɹ
bolorento	b o l o ɾ ẽ t u
bolos	b o l u s
bolou	b o l ow
bolsa	b ɔ w s ɐ
bolsas	b ɔ w s ɐ s
bolshoi	b ɔ w ʃ oj
bolsinha	b ow s ĩ ɲ ɐ
bolsista	b ow s i s t ɐ
bolsistas	b ow s i s t ɐ s
bolso	b ɔ w s u
bolsonaro	b ow s o n ɐ ɾ u
bolsos	b ɔ w s u s
bolsão	b ow s ɐ̃w̃
bolsões	b ow s õj̃ s
bolão	b o l ɐ̃w̃
bolívar	b o l i v ɐ ɹ
bolívares	b o l i v ɐ ɾ i s
bolívia	b o l i v i ɐ
bom	b õ
bomba	b õ b ɐ
bombaim	b õ b ɐ ĩ
bombardeada	b õ b ɐ ʁ d e ɐ d ɐ
bombardeadas	b õ b ɐ ʁ d e ɐ d ɐ s
bombardeado	b õ b ɐ ʁ d e ɐ d u
bombardeados	b õ b ɐ ʁ d e ɐ d u s
bombardeando	b õ b ɐ ʁ d e ɐ̃ d u
bombardear	b õ b ɐ ʁ d e ɐ ɹ
bombardearam	b õ b ɐ ʁ d e ɐ ɾ ɐ̃w̃
bombardeia	b õ b ɐ ʁ d ej ɐ
bombardeiam	b õ b ɐ ʁ d ej ɐ̃w̃
bombardeio	b õ b ɐ ʁ d ej u
bombardeios	b õ b ɐ ʁ d ej u s
bombardeiro	b õ b ɐ ʁ d ej ɾ u
bombardeiros	b õ b ɐ ʁ d ej ɾ u s
bombardeou	b õ b ɐ ʁ d e ow
bombas	b õ b ɐ s
bombeamento	b õ b e ɐ m ẽ t u
bombear	b õ b e ɐ ɹ
bombeiro	b õ b ej ɾ u
bombeiros	b õ b ej ɾ u s
bombinha	b õ b ĩ ɲ ɐ
bombom	b õ b õ
bombons	b õ b õ s
bombril	b õ b ɾ iw
bombástica	b õ b ɐ s t ʃ i k ɐ
bombásticas	b õ b ɐ s t ʃ i k ɐ s
bomfim	b õ f ĩ
bon	b õ
bonadio	b o n ɐ d ʒ i u
bonadona	b õ n ɐ d õ n ɐ
bonalume	b o n ɐ l ũ m i
bonamigo	b o n ɐ m i ɡ u
bonanza	b o n ɐ̃ z ɐ
bonança	b o n ɐ̃ s ɐ
bonaparte	b o n ɐ p ɐ ɹ t ʃ i
bonassa	b o n ɐ s ɐ
bonassi	b o n ɐ s i
bonavides	b o n ɐ v i d ʒ i s
bond	b õ d ʒ
bondade	b õ d ɐ d ʒ i
bonde	b õ d ʒ i
bondes	b õ d ʒ i s
bondinho	b õ d ʒ ĩ ɲ u
bondinhos	b õ d ʒ ĩ ɲ u s
bondoso	b õ d o z u
bonds	b õ d ʒ s
bonduki	b õ d u k i
bone	b õ n i
boneca	b o n e k ɐ
bonecas	b o n e k ɐ s
boneco	b o n e k u
bonecos	b o n e k u s
bonengel	b o n ẽ ʒ ɛw
bonequinha	b o n e k ĩ ɲ ɐ
bonequinhos	b o n e k ĩ ɲ u s
bonfiglioli	b õ f i ɡ l i o l i
bonfim	b õ f ĩ
bonfá	b õ f ɐ
bongô	b õ ɡ o
bonham	b õ ɲ ɐ̃w̃
boni	b o n i
bonificação	b o n i f i k ɐ s ɐ̃w̃
bonifácio	b o n i f ɐ s i u
bonilha	b o n i ʎ ɐ
bonini	b o n ĩ n i
boninsegna	b o n ĩ s e ɡ n ɐ
bonita	b o n i t ɐ
bonitas	b o n i t ɐ s
bonitinha	b o n i t ʃ ĩ ɲ ɐ
bonitinhas	b o n i t ʃ ĩ ɲ ɐ s
bonitinho	b o n i t ʃ ĩ ɲ u
bonito	b o n i t u
bonitos	b o n i t u s
bonitão	b o n i t ɐ̃w̃
bonn	b õ n
bonner	b õ n e ɹ
bonnie	b õ n i
bono	b õ n u
bononi	b o n o n i
bons	b õ s
bonsaglia	b õ s ɐ ɡ l i ɐ
bonsucesso	b õ s u s e s u
bontempo	b õ t ẽ p u
bonvicino	b õ v i s ĩ n u
bonzinho	b õ z ĩ ɲ u
bonzinhos	b õ z ĩ ɲ u s
boné	b o n ɛ
bonés	b o n ɛ s
boogie	b o o ʒ i
book	b o o k
books	b o o k s
booksellers	b o o k s ew l e ɹ s
bookshelf	b o o k ʃ ew f
bookshop	b o o k ʃ o p
bookstore	b o o k s t o ɾ i
boom	b o õ
booth	b o o t ʃ
booz	b o ɔj s
bop	b o p
bope	b o p i
bophuthatswana	b o f u t ɐ t ʃ s w ɐ̃ n ɐ
boqueiros	b o k ej ɾ u s
boqueirão	b o k ej ɾ ɐ̃w̃
boquiaberto	b o k j ɐ b e ɹ t u
boquinha	b o k ĩ ɲ ɐ
bora	b o ɾ ɐ
borba	b o ʁ b ɐ
borboleta	b o ʁ b o l e t ɐ
borboletas	b o ʁ b o l e t ɐ s
borboletear	b o ʁ b o l e t e ɐ ɹ
borbulhante	b o ʁ b u ʎ ɐ̃ t ʃ i
borda	b o ʁ d ɐ
bordado	b o ʁ d ɐ d u
bordados	b o ʁ d ɐ d u s
bordar	b o ʁ d ɐ ɹ
bordas	b o ʁ d ɐ s
bordeaux	b o ʁ d e ɐw k s
bordel	b o ʁ d ɛw
borden	b o ʁ d ẽ
bordo	b o ʁ d u
bordoada	b o ʁ d o ɐ d ɐ
bordon	b o ʁ d õ
bordão	b o ʁ d ɐ̃w̃
bordéis	b o ʁ d ɛj s
borel	b o ɾ ɛw
borelli	b o ɾ ew l i
borg	b o ʁ ɡ
borges	b o ʁ ʒ i s
borghi	b o ʁ ɡ i
borgonha	b o ʁ ɡ õ ɲ ɐ
boris	b o ɾ i j s
borislav	b o ɾ i s l ɐ v
borja	b o ʁ ʒ ɐ
borland	b o ɹ l ɐ̃ d ʒ
borlaug	b o ɹ l ɐw ɡ
born	b o ʁ n
bornemisza	b o ʁ n e m i z z ɐ
bornhausen	b o ʁ ɲ ɐw z ẽ
bornia	b o ʁ n i ɐ
boro	b o ɾ u
borodin	b o ɾ o d ʒ ĩ
borodiuk	b o ɾ o d ʒ iw k
borra	b o ʁ ɐ
borracha	b o ʁ ɐ ʃ ɐ
borracharia	b o ʁ ɐ ʃ ɐ ɾ i ɐ
borrachas	b o ʁ ɐ ʃ ɐ s
borracheiro	b o ʁ ɐ ʃ ej ɾ u
borrachudos	b o ʁ ɐ ʃ u d u s
borralheira	b o ʁ ɐ ʎ ej ɾ ɐ
borrar	b o ʁ ɐ ɹ
borrasca	b o ʁ ɐ s k ɐ
borrelli	b o ʁ ew l i
borrifar	b o ʁ i f ɐ ɹ
borrifo	b o ʁ i f u
borrão	b o ʁ ɐ̃w̃
bortot	b o ɹ t o t ʃ
borussia	b o ɾ u s i ɐ
borçato	b o ɹ s ɐ t u
bosanska	b ɔ z ɐ̃ s k ɐ
bosch	b o s ʃ
bosco	b o s k u
boscoli	b o s k o l i
boseggia	b o z e ɡ ʒ i ɐ
bosi	b o z i
bosna	b o z n ɐ
bosque	b o s k i
bosques	b o s k i s
boss	b o s
bossa	b o s ɐ
bossi	b o s i
bosta	b o s t ɐ
boston	b o s t õ
boswell	b o s w ew w
bota	b o t ɐ
botafogo	b o t ɐ f o ɡ u
botafoguense	b o t ɐ f o ɡ ẽ s i
botafoguenses	b o t ɐ f o ɡ ẽ s i s
botam	b o t ɐ̃w̃
botando	b o t ɐ̃ d u
botar	b o t ɐ ɹ
botaram	b o t ɐ ɾ ɐ̃w̃
botas	b o t ɐ s
botava	b o t ɐ v ɐ
bote	b o t ʃ i
boteco	b o t e k u
botei	b o t ej
botelho	b o t e ʎ u
botequim	b o t e k ĩ
botequins	b o t e k ĩ s
botero	b o t e ɾ u
botes	b o t ʃ i s
botey	b o t e i
boticário	b o t ʃ i k ɐ ɾ i u
botijão	b o t ʃ i ʒ ɐ̃w̃
botijões	b o t ʃ i ʒ õj̃ s
botinas	b o t ʃ ĩ n ɐ s
boto	b o t u
botos	b o t u s
botou	b o t ow
botsuana	b o t ʃ s u ɐ̃ n ɐ
botta	b o t ʃ t ɐ
botti	b o t ʃ t ʃ i
botticelli	b o t ʃ t ʃ i s ew l i
bottino	b o t ʃ t ʃ ĩ n u
botton	b o t ʃ t õ
bottons	b o t ʃ t õ s
botucatu	b o t u k ɐ t u
botânica	b o t ɐ̃ n i k ɐ
botânico	b o t ɐ̃ n i k u
botânicos	b o t ɐ̃ n i k u s
botão	b o t ɐ̃w̃
botões	b o t õj̃ s
bouchez	b ow ʃ ej s
boucinhas	b ow s ĩ ɲ ɐ s
bouer	b ow e ɹ
boulevard	b ow l e v ɐ ʁ d ʒ
boulez	b ow l ej s
bourbon	b ow ʁ b õ
bourgogne	b ow ʁ ɡ o ɡ n i
bousquet	b ow s k e t ʃ
boutade	b ow t ɐ d ʒ i
boutique	b ow t ʃ i k i
boutros	b ow t ɾ u s
boutsen	b ow t ʃ s ẽ
bouvier	b ow v i e ɹ
bovary	b o v ɐ ɹ i
boveri	b o v e ɾ i
bovespa	b o v e s p ɐ
bovina	b o v ĩ n ɐ
bovinas	b o v ĩ n ɐ s
bovino	b o v ĩ n u
bovinos	b o v ĩ n u s
bowe	b ow i
bowers	b ow e ɹ s
bowie	b ow i
bowl	b ow w
bowles	b ow l i s
bowling	b ow l ĩ ɡ
box	b o k s
boxe	b o k s i
boxeador	b o k s e ɐ d o ɹ
boxeadores	b o k s e ɐ d o ɾ i s
boxer	b o k s e ɹ
boxes	b o ʃ i s
boy	b o i
boyd	b o i d ʒ
boyer	b oj e ɹ
boyle	b o i l i
boys	b o i s
bozano	b o z ɐ̃ n u
bozzano	b o z z ɐ̃ n u
bozó	b o z ɔ
boêmia	b o e m i ɐ
boêmio	b o e m i u
boêmios	b o e m i u s
bp	b p
bpm	b p m
bps	b p s
br	b ɹ
bra	b ɾ ɐ
brabham	b ɾ ɐ b ɐ̃w̃
bracci	b ɾ ɐ k s i
bracelete	b ɾ ɐ s e l e t ʃ i
brache	b ɾ ɐ ʃ i
bracher	b ɾ ɐ ʃ e ɹ
brad	b ɾ ɐ d ʒ
bradar	b ɾ ɐ d ɐ ɹ
bradesco	b ɾ ɐ d e s k u
bradford	b ɾ ɐ d ʒ f o ʁ d ʒ
bradley	b ɾ ɐ d l e i
brado	b ɾ ɐ d u
brados	b ɾ ɐ d u s
bradou	b ɾ ɐ d ow
brady	b ɾ ɐ d ʒ i
braford	b ɾ ɐ f o ʁ d ʒ
braga	b ɾ ɐ ɡ ɐ
bragantino	b ɾ ɐ ɡ ɐ̃ t ʃ ĩ n u
bragança	b ɾ ɐ ɡ ɐ̃ s ɐ
bragato	b ɾ ɐ ɡ ɐ t u
braguilha	b ɾ ɐ ɡ j ʎ ɐ
braguinha	b ɾ ɐ ɡ ĩ ɲ ɐ
brahma	b ɾ ɐ m ɐ
brahms	b ɾ ɐ m s
braido	b ɾ ɐj d u
braile	b ɾ ɐj l i
braille	b ɾ ɐj w l i
brain	b ɾ ɐ ĩ
brainstorming	b ɾ ɐ ĩ s t o ʁ m ĩ ɡ
brake	b ɾ ɐ k i
bram	b ɾ ɐ̃w̃
bramar	b ɾ ɐ m ɐ ɹ
bramatti	b ɾ ɐ m ɐ t ʃ t ʃ i
bramido	b ɾ ɐ m i d u
branagh	b ɾ ɐ̃ n ɐ ɡ
branavaí	b ɾ ɐ n ɐ v ɐ i
branca	b ɾ ɐ̃ k ɐ
brancaleone	b ɾ ɐ̃ k ɐ l e õ n i
brancas	b ɾ ɐ̃ k ɐ s
branco	b ɾ ɐ̃ k u
brancos	b ɾ ɐ̃ k u s
brancura	b ɾ ɐ̃ k u ɾ ɐ
brancusi	b ɾ ɐ̃ k u z i
brand	b ɾ ɐ̃ d ʒ
branda	b ɾ ɐ̃ d ɐ
brandalise	b ɾ ɐ̃ d ɐ l i z i
brandas	b ɾ ɐ̃ d ɐ s
brande	b ɾ ɐ̃ d ʒ i
brandemburgo	b ɾ ɐ̃ d ẽ b u ʁ ɡ u
brandindo	b ɾ ɐ̃ d ʒ ĩ d u
brandir	b ɾ ɐ̃ d ʒ i ɹ
brando	b ɾ ɐ̃ d u
brandolin	b ɾ ɐ̃ d o l ĩ
brandon	b ɾ ɐ̃ d õ
brandos	b ɾ ɐ̃ d u s
brands	b ɾ ɐ̃ d ʒ s
brandt	b ɾ ɐ̃ d ʒ t ʃ
brandura	b ɾ ɐ̃ d u ɾ ɐ
brandão	b ɾ ɐ̃ d ɐ̃w̃
branford	b ɾ ɐ̃ f o ʁ d ʒ
brangus	b ɾ ɐ̃ ɡ uj s
branquear	b ɾ ɐ̃ k e ɐ ɹ
branquinha	b ɾ ɐ̃ k ĩ ɲ ɐ
brant	b ɾ ɐ̃ t ʃ
braque	b ɾ ɐ k i
brasa	b ɾ ɐ z ɐ
brasas	b ɾ ɐ z ɐ s
brasbanco	b ɾ ɐ z b ɐ̃ k u
brascan	b ɾ ɐ s k ɐ̃
braseg	b ɾ ɐ z e ɡ
brasif	b ɾ ɐ z i f
brasiguaios	b ɾ ɐ z i ɡ w ɐj u s
brasil	b ɾ ɐ z iw
brasileira	b ɾ ɐ z i l ej ɾ ɐ
brasileiras	b ɾ ɐ z i l ej ɾ ɐ s
brasileiro	b ɾ ɐ z i l ej ɾ u
brasileiros	b ɾ ɐ z i l ej ɾ u s
brasileirão	b ɾ ɐ z i l ej ɾ ɐ̃w̃
brasilia	b ɾ ɐ z i l i ɐ
brasiliana	b ɾ ɐ z i l i ɐ̃ n ɐ
brasilianista	b ɾ ɐ z i l i ɐ n i s t ɐ
brasilidad	b ɾ ɐ z i l i d ɐ d ʒ
brasilidade	b ɾ ɐ z i l i d ɐ d ʒ i
brasiliense	b ɾ ɐ z i l i ẽ s i
brasilienses	b ɾ ɐ z i l i ẽ s i s
brasilis	b ɾ ɐ z i l i j s
brasilit	b ɾ ɐ z i l i t ʃ
brasilll	b ɾ ɐ z iw w w
brasilpar	b ɾ ɐ z iw p ɐ ɹ
brasilprev	b ɾ ɐ z iw p ɾ e v
brasilsat	b ɾ ɐ z iw s ɐ t ʃ
brasilton	b ɾ ɐ z iw t õ
brasilândia	b ɾ ɐ z i l ɐ̃ d ʒ i ɐ
brasis	b ɾ ɐ z i j s
brasiu	b ɾ ɐ z iw
brasmotor	b ɾ ɐ z m o t o ɹ
brasoft	b ɾ ɐ z o f t ʃ
brasoftware	b ɾ ɐ z o f t ʃ w ɐ ɾ i
braspérola	b ɾ ɐ s p ɛ ɾ o l ɐ
brass	b ɾ ɐ s
brasserie	b ɾ ɐ s e ɾ i
brastemp	b ɾ ɐ s t ẽ p
brasão	b ɾ ɐ z ɐ̃w̃
brasília	b ɾ ɐ z i l i ɐ
brasíliae	b ɾ ɐ z i l i ɐj
brasílio	b ɾ ɐ z i l i u
brat	b ɾ ɐ t ʃ
bratke	b ɾ ɐ t ʃ k i
bratseth	b ɾ ɐ t ʃ s e t ʃ
braudel	b ɾ ɐw d ɛw
braun	b ɾ ɐ ũ
brauner	b ɾ ɐ ũ n e ɹ
brava	b ɾ ɐ v ɐ
bravata	b ɾ ɐ v ɐ t ɐ
bravatas	b ɾ ɐ v ɐ t ɐ s
braveheart	b ɾ ɐ v e e ɐ ɹ t ʃ
bravo	b ɾ ɐ v u
bravos	b ɾ ɐ v u s
bravura	b ɾ ɐ v u ɾ ɐ
braz	b ɾ ɐj s
brazil	b ɾ ɐ z iw
brazilian	b ɾ ɐ z i l i ɐ̃
braziliense	b ɾ ɐ z i l i ẽ s i
brazuca	b ɾ ɐ z u k ɐ
brazucas	b ɾ ɐ z u k ɐ s
braçada	b ɾ ɐ s ɐ d ɐ
braçadeira	b ɾ ɐ s ɐ d ej ɾ ɐ
braço	b ɾ ɐ s u
braços	b ɾ ɐ s u s
brcko	b ɹ k k u
bread	b ɾ e ɐ d ʒ
break	b ɾ e ɐ k
breakfast	b ɾ e ɐ k f ɐ s t ʃ
breaks	b ɾ e ɐ k s
breakspeare	b ɾ e ɐ k s p e ɐ ɾ i
breast	b ɾ e ɐ s t ʃ
breca	b ɾ e k ɐ
brecar	b ɾ e k ɐ ɹ
brecha	b ɾ e ʃ ɐ
brechas	b ɾ e ʃ ɐ s
brecheret	b ɾ e ʃ e ɾ e t ʃ
brecht	b ɾ e ʃ t ʃ
brechó	b ɾ e ʃ ɔ
breckenridge	b ɾ e k k ẽ ɾ i d ʒ ʒ i
brecker	b ɾ e k k e ɹ
breda	b ɾ e d ɐ
breeders	b ɾ e e d e ɹ s
brega	b ɾ e ɡ ɐ
bregas	b ɾ e ɡ ɐ s
bregy	b ɾ e ɡ i
brehme	b ɾ e m i
brejeiro	b ɾ e ʒ ej ɾ u
brejnev	b ɾ e ʒ n e v
brejo	b ɾ e ʒ u
bremen	b ɾ e m ẽ
brenda	b ɾ ẽ d ɐ
brendan	b ɾ ẽ d ɐ̃
brennand	b ɾ ẽ n ɐ̃ d ʒ
breno	b ɾ ẽ n u
brent	b ɾ ẽ t ʃ
brenta	b ɾ ẽ t ɐ
breque	b ɾ e k i
brescia	b ɾ e s i ɐ
bressan	b ɾ e s ɐ̃
bressane	b ɾ e s ɐ̃ n i
bresser	b ɾ e s e ɹ
bresson	b ɾ e s õ
bret	b ɾ e t ʃ
bretanha	b ɾ e t ɐ̃ ɲ ɐ
breton	b ɾ e t õ
brett	b ɾ e t ʃ t ʃ
bretton	b ɾ e t ʃ t õ
bretão	b ɾ e t ɐ̃w̃
breu	b ɾ ew
breuer	b ɾ ew e ɹ
breve	b ɾ e v i
brevemente	b ɾ e v e m ẽ t ʃ i
breves	b ɾ e v i s
brevidade	b ɾ e v i d ɐ d ʒ i
breyer	b ɾ ej e ɹ
bria	b ɾ i ɐ
brian	b ɾ i ɐ̃
briatore	b ɾ i ɐ t o ɾ i
brickmann	b ɾ i k k m ɐ̃ n
brida	b ɾ i d ɐ
bridge	b ɾ i d ʒ ʒ i
bridges	b ɾ i d ʒ ʒ i s
bridget	b ɾ i d ʒ ʒ e t ʃ
briefing	b ɾ i e f ĩ ɡ
brig	b ɾ i ɡ
briga	b ɾ i ɡ ɐ
brigada	b ɾ i ɡ ɐ d ɐ
brigadas	b ɾ i ɡ ɐ d ɐ s
brigadeiro	b ɾ i ɡ ɐ d ej ɾ u
brigado	b ɾ i ɡ ɐ d u
brigagão	b ɾ i ɡ ɐ ɡ ɐ̃w̃
brigam	b ɾ i ɡ ɐ̃w̃
brigamos	b ɾ i ɡ ɐ̃ m u s
brigando	b ɾ i ɡ ɐ̃ d u
brigar	b ɾ i ɡ ɐ ɹ
brigaram	b ɾ i ɡ ɐ ɾ ɐ̃w̃
brigas	b ɾ i ɡ ɐ s
brigatti	b ɾ i ɡ ɐ t ʃ t ʃ i
brigava	b ɾ i ɡ ɐ v ɐ
brigavam	b ɾ i ɡ ɐ v ɐ̃w̃
brighton	b ɾ i ɡ t õ
brigitte	b ɾ i ʒ i t ʃ t ʃ i
brigou	b ɾ i ɡ ow
briguei	b ɾ i ɡ ej
briguento	b ɾ i ɡ ẽ t u
brigão	b ɾ i ɡ ɐ̃w̃
brilha	b ɾ i ʎ ɐ
brilham	b ɾ i ʎ ɐ̃w̃
brilhando	b ɾ i ʎ ɐ̃ d u
brilhante	b ɾ i ʎ ɐ̃ t ʃ i
brilhantemente	b ɾ i ʎ ɐ̃ t e m ẽ t ʃ i
brilhantes	b ɾ i ʎ ɐ̃ t ʃ i s
brilhantina	b ɾ i ʎ ɐ̃ t ʃ ĩ n ɐ
brilhantismo	b ɾ i ʎ ɐ̃ t ʃ i z m u
brilhar	b ɾ i ʎ ɐ ɹ
brilharam	b ɾ i ʎ ɐ ɾ ɐ̃w̃
brilhava	b ɾ i ʎ ɐ v ɐ
brilhavam	b ɾ i ʎ ɐ v ɐ̃w̃
brilho	b ɾ i ʎ u
brilhos	b ɾ i ʎ u s
brilhou	b ɾ i ʎ ow
brim	b ɾ ĩ
brinca	b ɾ ĩ k ɐ
brincadeira	b ɾ ĩ k ɐ d ej ɾ ɐ
brincadeiras	b ɾ ĩ k ɐ d ej ɾ ɐ s
brincalhão	b ɾ ĩ k ɐ ʎ ɐ̃w̃
brincam	b ɾ ĩ k ɐ̃w̃
brincando	b ɾ ĩ k ɐ̃ d u
brincar	b ɾ ĩ k ɐ ɹ
brincaram	b ɾ ĩ k ɐ ɾ ɐ̃w̃
brincava	b ɾ ĩ k ɐ v ɐ
brincavam	b ɾ ĩ k ɐ v ɐ̃w̃
brinco	b ɾ ĩ k u
brincos	b ɾ ĩ k u s
brincou	b ɾ ĩ k ow
brinda	b ɾ ĩ d ɐ
brindado	b ɾ ĩ d ɐ d u
brindados	b ɾ ĩ d ɐ d u s
brindam	b ɾ ĩ d ɐ̃w̃
brindar	b ɾ ĩ d ɐ ɹ
brinde	b ɾ ĩ d ʒ i
brindes	b ɾ ĩ d ʒ i s
brindisi	b ɾ ĩ d ʒ i z i
brindou	b ɾ ĩ d ow
brink	b ɾ ĩ k
brinks	b ɾ ĩ k s
brinque	b ɾ ĩ k i
brinquedo	b ɾ ĩ k e d u
brinquedos	b ɾ ĩ k e d u s
brioche	b ɾ i o ʃ i
brios	b ɾ i u s
brisa	b ɾ i z ɐ
brisas	b ɾ i z ɐ s
brisola	b ɾ i z o l ɐ
brissac	b ɾ i s ɐ k
bristol	b ɾ i s t ɔ w
brita	b ɾ i t ɐ
britadeira	b ɾ i t ɐ d ej ɾ ɐ
britain	b ɾ i t ɐ ĩ
britannica	b ɾ i t ɐ̃ n i k ɐ
brith	b ɾ i t ʃ
british	b ɾ i t ʃ i ʃ
brito	b ɾ i t u
brittan	b ɾ i t ʃ t ɐ̃
brittania	b ɾ i t ʃ t ɐ n i ɐ
britto	b ɾ i t ʃ t u
britton	b ɾ i t ʃ t õ
britânica	b ɾ i t ɐ̃ n i k ɐ
britânicas	b ɾ i t ɐ̃ n i k ɐ s
britânico	b ɾ i t ɐ̃ n i k u
britânicos	b ɾ i t ɐ̃ n i k u s
brizio	b ɾ i z i u
brizola	b ɾ i z o l ɐ
brizolismo	b ɾ i z o l i z m u
brizolista	b ɾ i z o l i s t ɐ
brizolistas	b ɾ i z o l i s t ɐ s
brno	b ʁ n u
broa	b ɾ o ɐ
broadcasting	b ɾ o ɐ d ʒ k ɐ s t ʃ ĩ ɡ
broadway	b ɾ o ɐ d ʒ w ɐ i
broca	b ɾ o k ɐ
brocado	b ɾ o k ɐ d u
broche	b ɾ o ʃ i
broches	b ɾ o ʃ i s
brochura	b ɾ o ʃ u ɾ ɐ
brock	b ɾ o k k
broderbund	b ɾ o d e ʁ b ũ d ʒ
broderick	b ɾ o d e ɾ i k k
brodie	b ɾ o d ʒ i
brodkey	b ɾ o d ʒ k e i
brodsky	b ɾ o d ʒ s k i
broken	b ɾ o k ẽ
brolin	b ɾ o l ĩ
bromélias	b ɾ o m ɛ l i ɐ s
bronca	b ɾ õ k ɐ
broncas	b ɾ õ k ɐ s
bronco	b ɾ õ k u
bronie	b ɾ o n i
bronquite	b ɾ õ k j t ʃ i
bronson	b ɾ õ s õ
bronx	b ɾ õ k s
bronze	b ɾ õ z i
bronzeada	b ɾ õ z e ɐ d ɐ
bronzeado	b ɾ õ z e ɐ d u
bronzeador	b ɾ õ z e ɐ d o ɹ
bronzeadores	b ɾ õ z e ɐ d o ɾ i s
bronzeamento	b ɾ õ z e ɐ m ẽ t u
bronzes	b ɾ õ z i s
broodthaers	b ɾ o o d ʒ t ɐj ɹ s
brook	b ɾ o o k
brooke	b ɾ o o k i
brooklin	b ɾ o o k l ĩ
brooklyn	b ɾ o o k w i n
brooks	b ɾ o o k s
brooksfield	b ɾ o o k s f i ew d ʒ
brooksville	b ɾ o o k z v iw l i
bropa	b ɾ o p ɐ
bros	b ɾ uj s
brosnan	b ɾ o z n ɐ̃
bross	b ɾ o s
brossa	b ɾ o s ɐ
brossard	b ɾ o s ɐ ʁ d ʒ
brota	b ɾ o t ɐ
brotam	b ɾ o t ɐ̃w̃
brotando	b ɾ o t ɐ̃ d u
brotar	b ɾ o t ɐ ɹ
brotas	b ɾ o t ɐ s
brother	b ɾ o t e ɹ
brothers	b ɾ o t e ɹ s
broto	b ɾ o t u
brotos	b ɾ o t u s
brotou	b ɾ o t ow
broussard	b ɾ ow s ɐ ʁ d ʒ
brown	b ɾ ow n
browning	b ɾ ow n ĩ ɡ
broxa	b ɾ o ʃ ɐ
broz	b ɾ ɔj s
bruce	b ɾ u s i
bruckner	b ɾ u k k n e ɹ
bruddenbrooks	b ɾ u d ʒ d ẽ b ɾ o o k s
bruguera	b ɾ u ɡ e ɾ ɐ
bruhns	b ɾ u n s
brum	b ɾ ũ
brumado	b ɾ ũ m ɐ d u
brumer	b ɾ ũ m e ɹ
bruna	b ɾ ũ n ɐ
brunch	b ɾ ũ ʃ
brundle	b ɾ ũ d l i
brundtland	b ɾ ũ d ʒ t l ɐ̃ d ʒ
brunei	b ɾ ũ n ej
brunella	b ɾ ũ n ɛw l ɐ
brunet	b ɾ ũ n e t ʃ
brunetti	b ɾ ũ n e t ʃ t ʃ i
bruni	b ɾ ũ n i
brunini	b ɾ ũ n ĩ n i
brunner	b ɾ ũ n e ɹ
bruno	b ɾ ũ n u
brunoro	b ɾ ũ n o ɾ u
brunswick	b ɾ ũ s w i k k
brusca	b ɾ u s k ɐ
bruscamente	b ɾ u s k ɐ m ẽ t ʃ i
bruscas	b ɾ u s k ɐ s
brusco	b ɾ u s k u
bruscos	b ɾ u s k u s
brusque	b ɾ u s k i
brut	b ɾ u t ʃ
bruta	b ɾ u t ɐ
brutais	b ɾ u t ɐj s
brutal	b ɾ u t ɐw
brutalidade	b ɾ u t ɐ l i d ɐ d ʒ i
brutalmente	b ɾ u t ɐw m ẽ t ʃ i
brutas	b ɾ u t ɐ s
bruto	b ɾ u t u
brutos	b ɾ u t u s
brutus	b ɾ u t uj s
bruxa	b ɾ u ʃ ɐ
bruxaria	b ɾ u ʃ ɐ ɾ i ɐ
bruxas	b ɾ u ʃ ɐ s
bruxelas	b ɾ u ʃ e l ɐ s
bruxinha	b ɾ u ʃ ĩ ɲ ɐ
bruxo	b ɾ u ʃ u
bruxos	b ɾ u ʃ u s
bruços	b ɾ u s u s
bryan	b ɹ j ɐ̃
bryant	b ɹ j ɐ̃ t ʃ
brás	b ɾ ɐ s
bráulio	b ɾ ɐw l i u
bréscia	b ɾ ɛ s i ɐ
brício	b ɾ i s i u
brígida	b ɾ i ʒ i d ɐ
brócolis	b ɾ ɔ k o l i s
brócolos	b ɾ ɔ k o l u s
bsn	b z n
bt	b t ʃ
bta	b t ɐ
btn	b t ʃ n
buairide	b u ɐj ɾ i d ʒ i
buaiz	b u ɐj j s
buarque	b u ɐ ɹ k i
bubka	b u b k ɐ
bubônica	b u b o n i k ɐ
bucal	b u k ɐw
bucareste	b u k ɐ ɾ e s t ʃ i
bucci	b u k s i
bucha	b u ʃ ɐ
buchada	b u ʃ ɐ d ɐ
buchenrode	b u ʃ ẽ ɾ o d ʒ i
buchenwald	b u ʃ ẽ w ɐw d ʒ
bucho	b u ʃ u
buchwald	b u ʃ w ɐw d ʒ
bucicleide	b u s i k l ej d ʒ i
buck	b u k k
buckingham	b u k k ĩ ɡ ɐ̃w̃
bucks	b u k k s
buckshot	b u k k ʃ o t ʃ
