a	aː
schneemann	ʃ n eː m a n
schnees	ʃ n eː s
schneid	ʃ n a ɪ̯ t
schneider	ʃ n a ɪ̯ r ɐ
schnips	ʃ n i p s
schnire	ʃ n iː r ə
schnitt	ʃ n i t
schnorres	ʃ n ɔ r ə s
schnuer	ʃ n uː a
schnuppe	ʃ n u p ə
schnut	ʃ n uː t
schnute	ʃ n uː t ə
schof	ʃ oː f
schokolaat	ʃ o k o l ɔː t
schopp	ʃ o p
schoppe	ʃ o p ə
schos	ʃ oː s
schot	ʃ oː t
schote	ʃ oː t ə
schrank	ʃ r a ŋ k
schraub	ʃ r a ʊ̯ p
schreck	ʃ r e k
schrift	ʃ r i f t
schritt	ʃ r i t
schritte	ʃ r i t ə
schuh	ʃ uː
schul	ʃ uː l
schuld	ʃ u l t
schule	ʃ uː l ə
schundiaa	ʃ u n t i ɔː
schuping	ʃ u p i ŋ
schuppe	ʃ u p ə
schuss	ʃ u s
schuster	ʃ u ʃ t ɐ
schutz	ʃ u t͡s
schutzengel	ʃ u t͡s ɛ ŋ l̩
schwaart	ʃ v ɔː t
schwaarte	ʃ v ɔː t ə
schwamm	ʃ v a m
schwanz	ʃ v a n s
schwarz	ʃ v a t͡s
schwarzbier	ʃ v a t͡s p iː ɐ
schwefel	ʃ v eː f l̩
schwein	ʃ v a ɪ̯ n
schweinerei	ʃ v a ɪ̯ n ə r a ɪ̯
schweiz	ʃ v a ɪ̯ t͡s
schweizer	ʃ v a ɪ̯ t͡s a
schwellung	ʃ v e l u ŋ
schwimmer	ʃ v i m a
schwitz	ʃ v i t͡s
schwong	ʃ v o ŋ
sechseck	s e k s e k
seck	s e k
seckel	s e k l̩
see	s eː
seel	s eː l
seele	s eː l ə
seh	s eː
sehe	s eː ə
sehn	s eː n
sei	s a ɪ̯
seid	s a ɪ̯ t
seie	s a ɪ̯ ə
seif	s a ɪ̯ f
seife	s a ɪ̯ f ə
seit	s a ɪ̯ t
seite	s a ɪ̯ t ə
sekund	s e k u n t
send	s ɛ n t
senger	s ɛ ŋ ɐ
september	s eː p t ɛ m p a
setz	s e t͡s
sichel	s i ç l̩
sicht	s i ç t
sichte	s i ç t ə
siedkorea	s iː t kʰ o r eː a
siegh	s iː ç
sies	s iː s
siete	s iː t ə
siffer	s i f ɐ
silver	s i l v ɐ
simbol	s i m p o l
simp	s i m p
sind	s i n t
sinfonie	s i n f o n iː
sinne	s i n ə
sinner	s i n ɐ
sinonim	s i n oː n i m
siria	s iː r i a
sirje	s iː r j ə
sistem	s i s t eː m
skelett	ʃ k e l e t
skorpion	ʃ k o r p i oː n
soda	s oː t a
sofa	s o f aː
sofas	s o f aː s
sofá	s o f aː
sohl	s oː l
sohle	s oː l ə
sohn	s oː n
soja	s oː ʃ a
soje	s oː ʃ ə
soldaat	s o l t ɔː t
some	s oː m ə
sommer	s ɔ m a
sonn	s ɔ n
soot	s oː t
sorte	s ɔ t ə
sorvett	s o r v e t
sos	s oː s
sose	s oː s ə
sozieteet	s o t͡s i ə t eː t
spaad	ʃ p ɔː t
spaan	ʃ p ɔː n
spanje	ʃ p a n j ə
sparre	ʃ p a r ə
spass	ʃ p a s
spatze	ʃ p a t͡s ə
speck	ʃ p e k
speen	ʃ p eː n
speicher	ʃ p a ɪ̯ ç ɐ
spess	ʃ p e s
spiel	ʃ p iː l
spieler	ʃ p iː l ɐ
spinn	ʃ p i n
spinne	ʃ p i n ə
spiss	ʃ p i s
spitaal	ʃ p i t ɔː l
spitz	ʃ p i t͡s
spitze	ʃ p i t͡s ə
spoer	ʃ p oː ɐ
spott	ʃ p o t
sprecher	ʃ p r e ç ɐ
sprecherei	ʃ p r e ç ə r a ɪ̯
sprich	ʃ p r i ç
spring	ʃ p r i ŋ
spritz	ʃ p r i t͡s
spritze	ʃ p r i t͡s ə
sproch	ʃ p r o x
spruch	ʃ p r u x
sprung	ʃ p r u ŋ
spuck	ʃ p u k
spul	ʃ p uː l
spule	ʃ p uː l ə
staab	ʃ t ɔː p
staal	ʃ t ɔː l
staat	ʃ t ɔː t
staate	ʃ t ɔː t ə
stachel	ʃ t a x l̩
stall	ʃ t a l
stamm	ʃ t a m
stamper	ʃ t a m p ɐ
stang	ʃ t a ŋ
stange	ʃ t a ŋ ə
stanze	ʃ t a n t͡s ə
statt	ʃ t a t
steck	ʃ t e k
steel	ʃ t eː l
steen	ʃ t eː n
steier	ʃ t a ɪ̯ a
stell	ʃ t e l
stempel	ʃ t ɛ m p l̩
stengel	ʃ t ɛ ŋ ə l
stern	ʃ t ɛ n
sterne	ʃ t ɛ n ə
sterz	ʃ t ɛ t͡s
stett	ʃ t e t
stetter	ʃ t e t ɐ
stich	ʃ t i ç
stick	ʃ t i k
sticker	ʃ t i k ɐ
stiefbruder	ʃ t iː f p r uː r ɐ
stiefkind	ʃ t iː f kʰ i n t
stiefmutter	ʃ t iː f m u t a
stiefsohn	ʃ t iː f s oː n
stiel	ʃ t iː l
stier	ʃ t iː ɐ
stift	ʃ t i f t
stihl	ʃ t iː l
stimme	ʃ t i m ə
stinkdier	ʃ t i ŋ k t iː ɐ
stock	ʃ t o k
stolper	ʃ t o l p ɐ
storz	ʃ t ɔ t͡s
strauch	ʃ t r a ʊ̯ ç
straus	ʃ t r a ʊ̯ s
streck	ʃ t r e k
strecke	ʃ t r e k ə
streicher	ʃ t r a ɪ̯ ç ɐ
streife	ʃ t r a ɪ̯ f ə
strem	ʃ t r eː m
strich	ʃ t r i ç
strick	ʃ t r i k
strimp	ʃ t r i m p
strof	ʃ t r oː f
strofe	ʃ t r o f ə
stroh	ʃ t r oː
strom	ʃ t r oː m
stros	ʃ t r oː s
stross	ʃ t r o s
strump	ʃ t r u m p
struz	ʃ t r uː t͡s
studente	ʃ t u t ɛ n t ə
stuhl	ʃ t uː l
suco	s u k o
sump	s u m p
sunn	s u n
supp	s u p
suppe	s u p ə
sërvett	s e r v e t
talent	tʰ a l ɛ n t
tamburin	tʰ a m p u r iː n
tante	tʰ a n t ə
tappes	tʰ a p ə s
tasch	tʰ a ʃ
tasche	tʰ a ʃ ə
tass	tʰ a s
tasse	tʰ a s ə
tattu	tʰ a t u
tausendfus	tʰ a ʊ̯ s n̩ t f uː s
taxi	tʰ a k s i
taxis	tʰ a k s i s
tee	tʰ eː
teekann	tʰ eː kʰ a n
teekanne	tʰ eː kʰ a n ə
teepump	tʰ eː pʰ u m p
tema	tʰ eː m a
teme	tʰ eː m ə
tempel	tʰ ɛ m p l̩
terreno	tʰ e r eː n o
terrenos	tʰ e r eː n o s
text	tʰ e k s t
texte	tʰ e k s t ə
tickutick	tʰ i k u t i k
tigher	tʰ iː ç a
tint	tʰ i n t
tinte	tʰ i n t ə
tirol	tʰ i r oː l
tomatt	t o m a t
tomatte	t o m a t ə
torrem	tʰ ɔ r ə m
torte	tʰ ɔ t ə
traira	t r a iː r a
traire	t r a iː r ə
traub	t r a ʊ̯ p
treppe	t r e p ə
tritt	t r i t
troost	t r oː ʃ t
trupp	t r u p
truppe	t r u p ə
tumoer	t u m oː a
tëlevisong	t e l ə v i s ɔ ŋ
uersach	uː ɐ s a x
uerwald	uː ɐ v a l t
uher	uː a
uherzeid	uː ɐ t͡s a ɪ̯ t
uhre	uː r ə
unfall	u n f a l
unglick	u n k l i c k
unschuld	u n ʃ u l t
urin	u r iː n
vaas	v ɔː s
vasos	v aː s o s
velorio	v ə l o r ɪ̯ o
violin	v i o l iː n
violine	v i o l iː n ə
viëtnam	v i e t n a m
waal	v ɔː l
waan	v ɔː n
waar	v ɔː
wach	v a x
wache	v a x ə
wachs	v a k s
waff	v a f
waffe	v a f ə
waffle	v a f l ə
walse	v a l s ə
wand	v a n t
wasser	v a s a
wassre	v a s r ə
watt	v a t
watte	v a t ə
weck	v e k
wecker	v e k a
weeler	v eː l a
weelerin	v eː l ə r i n
ween	v eː n
weert	v eː ɐ t
weh	v eː
weib	v a ɪ̯ p
weid	v a ɪ̯ t
wein	v a ɪ̯ n
weinachte	v a ɪ̯ n a x t ə
weinachtsbaam	v a ɪ̯ n a x t s p ɔː m
weinflasche	v a ɪ̯ n f l a ʃ ə
weis	v a ɪ̯ s
weisbrod	v a ɪ̯ s p r oː t
weize	v a ɪ̯ t͡s ə
well	v e l
welle	v e l ə
wellef	v e l ə f
welt	v e l t
welte	v e l t ə
wend	v e n t
werklichkeet	v e r k l i ç kʰ eː t
werst	v ɛ ʃ t
werter	v ɛ t a
wesch	v e ʃ
wesche	v e ʃ ə
wespe	v e ʃ p ə
weste	v e ʃ t ə
wette	v e t ə
wetter	v e t ɐ
wever	v eː v ɐ
wichs	v i k s
wicke	v i k ə
wille	v i l ə
wimper	v i m p ɐ
wind	v i n t
windmihl	v i n t m iː l
winter	v i n t a
witz	v i t͡s
woch	v o x
woche	v o x ə
wocheenn	v o x ə ɛ n
woh	v oː
wohe	v oː ə
woherheet	v oː ɐ h eː t
woherheit	v oː ɐ h a ɪ̯ t
woll	v o l
wolle	v o l ə
wollef	v o l ə f
wollek	v o l k
worst	v ɔ ʃ t
wort	v ɔ t
worte	v ɔ t ə
wortschatz	v ɔ t ʃ a t͡s
wuchs	v u k s
wund	v u n t
wunner	v u n a
wunsch	v u n ʃ
wut	v uː t
wutz	v u t͡s
wutze	v u t͡s ə
zaal	t͡s ɔː l
zaan	t͡s ɔː n
zang	t͡s a ŋ
zange	t͡s a ŋ ə
zaum	t͡s a ʊ̯ m
zaun	t͡s a ʊ̯ n
zebra	t͡s eː p r a
zebras	t͡s eː p r a s
zecke	t͡s e k ə
zeen	t͡s eː n
zeh	t͡s eː
zehe	t͡s eː ə
zeich	t͡s a ɪ̯ ç
zeichnung	t͡s a ɪ̯ ç n u ŋ
zeid	t͡s a ɪ̯ t
zein	t͡s a ɪ̯ n
zell	t͡s e l
zelle	t͡s e l ə
zentrum	t͡s ɛ n t r u m
zepp	t͡s e p
zettel	t͡s e t l̩
ziel	t͡s iː l
zimmer	t͡s i m a
zimmermann	t͡s i m ɐ m a n
zimmet	t͡s i m ə t
zink	t͡s i ŋ k
zinn	t͡s i n
zins	t͡s i n s
zinse	t͡s i n s ə
zipp	t͡s i p
zippe	t͡s i p ə
zitron	t͡s i t r oː n
zitrone	t͡s i t r oː n ə
zopp	t͡s o p
zucker	t͡s u k a
zung	t͡s u ŋ
zunge	t͡s u ŋ ə
zweck	t͡s v e k
zweifel	t͡s v a ɪ̯ f ə l
zwern	t͡s v ɛ n
zwieback	t͡s v iː p a k
zwilling	t͡s v i l i ŋ
zwiwel	t͡s v i v l̩
aach	ɔː x
aam	ɔː m
aan	ɔː n
aananner	ɔː n a n a
aanannerbappe	ɔː n a n a p a p ə
aanannerbinne	ɔː n a n a p i n ə
aanannergehn	ɔː n a n a k eː n
aanbacke	ɔː n p a k ə
aanbappe	ɔː n p a p ə
aanbasse	ɔː n p a s ə
aanbiede	ɔː n p iː r ə
aanbinne	ɔː n p i n ə
aandun	ɔː n t uː n
aarich	ɔː r i ç
abhengich	a p h ɛ ŋ i ç
abiotisch	a p i oː t i ʃ
acht	a x t
achtzen	a x t͡s ə n
akaschu	a k a ʃ uː
all	a l
allmechtich	a l m e ç t i ç
als	a l s
anner	a n a
arschentin	a r ʃ ə n t iː n
arschentinisch	a r ʃ ə n t iː n i ʃ
aussihn	a ʊ̯ s s iː n
awer	a v ə ɾ
baade	p ɔː r ə
beise	p a ɪ̯ s ə
benutze	p ə n u t͡s ə
bleive	p l a ɪ̯ v ə
blo	p l oː
blude	p l uː t ə
brauche	p r a ʊ̯ x ə
breid	p r a ɪ̯ t
brenne	p r ɛ n ə
brille	p r i l ə
brumme	p r u m ə
chineesisch	ʃ i n eː s i ʃ
daab	t ɔː p
daaghs	t ɔː x s
dart	t a t
das	t a s
de	t ə
dein	t a ɪ̯ n
deitsche	t a ɪ̯ t͡ʃ ə
deitschem	t a ɪ̯ t͡ʃ ə m
deitscher	t a ɪ̯ t͡ʃ a
deitsches	t a ɪ̯ t͡ʃ ə s
denne	t ɛ n ə
der	t ɐ
dich	t i ç
dick	t i k
die	t i
dieser	t iː s ɐ
dinn	t i n
do	t oː
dorrich	t ɔ ɪ ç
drehe	t r eː ə
drei	t r a ɪ̯
dreime	t r a ɪ̯ m ə
dreive	t r a ɪ̯ v ə
dreizen	t r a ɪ̯ t͡s ə n
drinke	t r i ŋ k ə
drock	t r o k
du	t uː
dulle	t u l ə
dun	t oː n
där	t ɛː
eb	eː p
een	eː n
eenem	eː n ə m
eener	eː n a
eer	eː ɐ
eherlich	eː ɐ l i ç
ellef	e l ə f
en	eː n
ennre	ɛ n r ə
er	ɛ ɐ
es	e s
faare	f ɔː r ə
faarichsjoher	f ɔː r i ç s j oː a
faul	f a ʊ̯ l
ferbasse	f ɐ p a s ə
ferzen	f ɛ t͡s ə n
fiel	f iː l
fier	f iː a
finnef	f i n ə f
finnefzen	f i n ə f t͡s n̩
fix	f i k s
fixe	f i k s ə
fixem	f i k s ə m
fixer	f i k s a
fixes	f i k s ə s
fixest	f i k s ə ʃ t
freiwillich	f r a ɪ̯ v i l i ç
fresse	f r e s ə
fufzen	f u f t͡s ə n
fum	f u m
fun	f u n
gehn	k eː n
gern	k ɛ n
gesetzlich	k ə s e t͡s l i ç
gester	k e ʃ t a
gesund	k ə s u n t
gezwung	k ə t͡s v u ŋ
glaave	k l ɔː v ə
glicklich	k l i k l i ç
gros	k r oː s
grávida	k r aː v i t a
gucke	k u k ə
gud	k uː t
gude	k uː t ə
heilich	h a ɪ̯ l i ç
heit	h a ɪ̯ t
hellfe	h e l f ə
hesslich	h e s l i ç
hie	h iː
hier	h iː a
hon	h ɔ n
hunnerd	h u n a t
ich	i ç
ihm	iː m
ihn	iː n
ihns	iː n s
immer	i m a
iwich	i v i ç
kaue	kʰ a ʊ̯ ə
keen	kʰ eː n
keime	kʰ a ɪ̯ m ə
kemme	kʰ ɛ m ə
kenne	kʰ ɛ n ə
kiel	kʰ iː l
kiele	kʰ iː l ə
kitzle	kʰ i t͡s l ə
klappre	k l a p r ə
klatsche	k l a t͡ʃ ə
kleen	k l eː n
kleene	k l eː n ə
kleener	k l eː n a
kleenest	k l eː n ə ʃ t
klemme	k l ɛ m ə
klettre	k l e t r ə
kloppe	k l o p ə
knapp	k n a p
kneppe	k n e p ə
knippe	k n i p ə
koche	kʰ o x ə
komisch	kʰ oː m i ʃ
konfus	kʰ o n f uː s
konsumiere	k o n s u m iː r ə
korz	kʰ ɔ t͡s
koste	kʰ o ʃ t ə
kotze	kʰ o t͡s ə
krache	k r a x ə
krank	k r a ŋ k
kratze	k r a t͡s ə
kraule	k r a ʊ̯ l ə
kreische	k r a ɪ̯ ʃ ə
kritisch	k r iː t i ʃ
kritisiere	k r i t i s iː r ə
kumplett	kʰ u m p l e t
laafe	l ɔː f ə
laam	l ɔː m
lande	l a n t ə
lang	l a ŋ
lateinisch	l a t a ɪ̯ n i ʃ
lechle	l e ç l ə
lecke	l e k ə
leen	l eː n
lehe	l eː ə
leicht	l a ɪ̯ ç t
leide	l a ɪ̯ r ə
leider	l a ɪ̯ t ɐ
leie	l a ɪ̯ ə
lengst	l ɛ ŋ ʃ t
lenke	l ɛ ŋ k ə
lerne	l ɛ n ə
lockre	l o k r ə
lohne	l oː n ə
losse	l o s ə
love	l oː v ə
lutsche	l u t͡ʃ ə
läer	l eː a
maale	m ɔː l ə
mache	m a x ə
massiv	m a s iː f
massive	m a s iː v ə
mechde	m e ç t ə
mein	m a ɪ̯ n
melke	m e l k ə
mennlich	m æ n l i ç
menschlich	m ɛ n ʃ l i ç
mer	m ɐ
meue	m ɔ ɪ̯ ə
mich	m i ç
mied	m iː t
misse	m i s ə
mit	m i t
mitbringe	m i t p ɾ i ŋ ə
mitkomme	m i t kʰ ɔ m ə
mitmache	m i t m a x ə
mitsinge	m i t s i ŋ ə
mitspiele	m i t ʃ p iː l ə
modern	m o t ɛ n
moie	m o ɪ̯ ə
monatlich	m oː n a t l i ç
motze	m o t͡s ə
munizippal	m u n i t͡s i p aː l
munter	m u n t a
nackich	n a k i ç
nass	n a s
nativ	n a t iː f
naus	n a ʊ̯ s
nazisdisch	n a t͡s i s t i ʃ
nedich	n eː r i ç
nee	n eː
neere	n eː r ə
nei	n a ɪ̯
nein	n a ɪ̯ n
neint	n a ɪ̯ n t
neinzen	n a ɪ̯ n t͡s n̩
neinzich	n a ɪ̯ n t͡s i ç
nemme	n ɛ m ə
nenne	n ɛ n ə
net	n e t
nichter	n i ç t ɐ
nie	n iː
nin	n i n
nitter	n i t ɐ
noch	n o x
nodwennich	n oː t v ɛ n i ç
nommol	n ɔ m oː
nore	n oː r ə
normal	n o r m aː l
nuff	n u f
null	n u l
nunner	n u n ɐ
ob	oː p
obwohl	oː p v oː l
odder	o r ɐ
oft	o f t
ohne	oː n ə
opfre	o p f r ə
ordne	ɔ t n ə
packe	pʰ a k ə
partikulaar	pʰ a t i k u l ɔː
partikular	p a t i k u l aː r
petze	pʰ e t͡s ə
picke	pʰ i k ə
pisse	pʰ i s ə
platt	p l a t
platze	p l a t͡s ə
poliere	p o l iː r ə
politisch	p o l iː t i ʃ
polnisch	p o l n i ʃ
praktisch	p r a k t i ʃ
problematisch	p r o p l ə m aː t i ʃ
puer	pʰ uː a
quatsche	k w a t͡ʃ ə
quele	k w eː l ə
rangle	r a ŋ l ə
rappe	r a p ə
rau	r a ʊ̯
rauche	r a ʊ̯ x ə
rausche	r a ʊ̯ ʃ ə
rechne	r e ç n ə
rechts	r e ç t͡s
reffe	r e f ə
rehne	r eː n ə
reiche	r a ɪ̯ ç ə
reichre	r a ɪ̯ ç r ə
reide	r a ɪ̯ r ə
reife	r a ɪ̯ f ə
reise	r a ɪ̯ s ə
reive	r a ɪ̯ v ə
renne	r ɛ n ə
repple	r e p l ə
rette	r e t ə
richte	r i ç t ə
rieche	r iː ç ə
riwle	r i v l ə
rode	r oː r ə
roh	r oː
romantik	r o m a n t i k
roppe	r o p ə
rufe	r uː f ə
ruhe	r uː ə
russisch	r u s i ʃ
rëghiere	r e ç iː r ə
rëstrinschiere	r e ʃ t r i n ʃ iː r ə
saan	s ɔː n
salsich	s a l s i ç
sammle	s a m l ə
saufe	s a ʊ̯ f ə
sauver	s a ʊ̯ v ɐ
schaaref	ʃ ɔː r ə f
schaffe	ʃ a f ə
schalle	ʃ a l ə
scheen	ʃ eː n
scheene	ʃ eː n ə
scheenem	ʃ eː n ə m
scheener	ʃ eː n a
scheenes	ʃ eː n ə s
scheenest	ʃ eː n ə ʃ t
scheine	ʃ a ɪ̯ n ə
scheise	ʃ a ɪ̯ s ə
scheme	ʃ eː m ə
schenke	ʃ ɛ ŋ k ə
schicke	ʃ i k ə
schlachte	ʃ l a x t ə
schlank	ʃ l a ŋ k
schlau	ʃ l a ʊ̯
schlecht	ʃ l e ç t
schleppe	ʃ l e p ə
schlicke	ʃ l i k ə
schliese	ʃ l iː s ə
schlofe	ʃ l oː f ə
schmaal	ʃ m ɔː l
schmecke	ʃ m e k ə
schmelze	ʃ m e l t͡s ə
schneide	ʃ n a ɪ̯ r ə
schnell	ʃ n e l
schnelle	ʃ n e l ə
schneller	ʃ n e l a
schnellest	ʃ n e l ə ʃ t
schnuffle	ʃ n u f l ə
schone	ʃ oː n ə
schrappe	ʃ r a p ə
schrecke	ʃ r e k ə
schrecklich	ʃ r e k l i ç
schun	ʃ u n
schutze	ʃ u t͡s ə
schwach	ʃ v a x
schwanger	ʃ v a ŋ a
schwelle	ʃ v e l ə
schwetze	ʃ v e t͡s ə
schwimme	ʃ v i m ə
schwitze	ʃ v i t͡s ə
schwäer	ʃ v ɛː ɐ
sechs	s e k s
sechzen	s e ç t͡s n̩
sechzich	s e ç t͡s i ç
sein	s a ɪ̯ n
setze	s e t͡s ə
sibzen	s i p t͡s n̩
sicher	s i ç a
sicherlich	s i ç ɐ l i ç
sie	s iː
sieve	s iː v ə
sihn	s iː n
sin	s i n
sinfonisch	s i n f oː n i ʃ
singe	s i ŋ ə
sinke	s i ŋ k ə
sitze	s i t͡s ə
solle	s o l ə
spanne	ʃ p a n ə
sped	ʃ p e t
sperre	ʃ p ɛ r ə
spiele	ʃ p iː l ə
spreche	ʃ p r e ç ə
springe	ʃ p r i ŋ ə
spucke	ʃ p u k ə
stampe	ʃ t a m p ə
statts	ʃ t a t͡s
steche	ʃ t e ç ə
stecke	ʃ t e k ə
steenich	ʃ t eː n i ç
steere	ʃ t eː r ə
stehle	ʃ t eː l ə
stehn	ʃ t eː n
steie	ʃ t a ɪ̯ ə
steif	ʃ t a ɪ̯ f
stelle	ʃ t e l ə
sterrve	ʃ t ɛ r v ə
sterze	ʃ t ɛ t͡s ə
sticke	ʃ t i k ə
still	ʃ t i l
stinke	ʃ t i ŋ k ə
stolpre	ʃ t o l p r ə
stols	ʃ t o l s
stoppe	ʃ t o p ə
streiche	ʃ t r a ɪ̯ ç ə
streichle	ʃ t r a ɪ̯ ç l ə
stricke	ʃ t r i k ə
strome	ʃ t r oː m ə
stumm	ʃ t u m
stump	ʃ t u m p
suche	s u x ə
suckle	s u k l ə
suttle	s u t l ə
sërviere	s e r v iː r ə
tausend	tʰ a ʊ̯ s ə n t
tirolisch	tʰ i r oː l i ʃ
toych	t ɔ j x
trample	t r a m p l ə
traue	t r a ʊ̯ ə
trede	t r eː r ə
treffe	t r e f ə
trenne	t r ɛ n ə
trieb	t r iː p
trieve	t r iː v ə
tunke	tʰ u ŋ k ə
uff	u f
uffem	u f ə m
uffs	u f s
um	u m
umfalle	u m f a l ə
umsonst	u m s ɔ n ʃ t
un	u n
unbekannt	u n p ə kʰ a n t
ungesund	u n k ə s u n t
uns	u n s
unsicher	u n s i ç ɐ
unzufried	u n t͡s u f r iː t
wachse	v a k s ə
wackle	v a k l ə
wann	v a n
was	v a s
wech	v e ç
weche	v e ç ə
wechsle	v e k s l ə
weele	v eː l ə
weiblich	v a ɪ̯ p l i ç
weider	v a ɪ̯ r ɐ
weie	v a ɪ̯ ə
weinrod	v a ɪ̯ n r oː t
weise	v a ɪ̯ s ə
weisem	v a ɪ̯ s ə m
weiser	v a ɪ̯ s a
weises	v a ɪ̯ s ə s
weisest	v a ɪ̯ s ə ʃ t
wenichstens	v eː n i ç ʃ t ə n s
wenn	v ɛ n
wer	v ɛ ɐ̯
werklich	v ɛ r k l i ç
werre	v ɛ r ə
weve	v eː v ə
wichse	v i k s ə
wichtich	v i ç t i ç
wickle	v i k l ə
wie	v iː
wiest	v iː ʃ t
wild	v i l t
willich	v i l i ç
winsche	v i n ʃ ə
wische	v i ʃ ə
wisse	v i s ə
wittichnannerrenne	v i t i ç n a n a r ɛ n ə
wo	v oː
wohne	v oː n ə
wäär	v eː a
xloych	ʃ l ɔ j x
zaam	t͡s ɔː m
zaart	t͡s ɔː t
zanke	t͡s a ŋ k ə
zeche	t͡s e ç ə
zehn	t͡s eː n
zeichne	t͡s a ɪ̯ ç n ə
zeidich	t͡s a ɪ̯ r i ç
zentraal	t͡s n̩ t r ɔː l
ziehe	t͡s iː ə
zittre	t͡s i t r ə
zu	t͡s uː
zuckre	t͡s u k r ɐ
zufried	t͡s u f r iː t
zum	t͡s uː m
zumache	t͡s uː m a x ə
zwanzich	t͡s v a n t͡s i ç
zweifle	t͡s v a ɪ̯ f l ə
zwellef	t͡s v e l ə f
zwett	t͡s v e t
zweu	t͡s v ɔ ɪ̯
zwing	t͡s v i ŋ
zwingd	t͡s v i ŋ t
zwinge	t͡s v i ŋ ə
zwingst	t͡s v i ŋ ʃ t
äerd	ɛː a t
äerdbeer	ɛː a t p eː a
äerdbeere	ɛː a t p eː r ə
äerde	ɛː a t ə
äärem	ɛː r ə m
äärsch	ɛː ʃ
ëukalipt	e ʊ̯ k a l i p t
ëukaliptbaam	e ʊ̯ k a l i p t p ɔː m
ëuropa	e ʊ̯ r oː p a
ëuropäer	e ʊ̯ r o p ɛː a
ëuropäisch	e ʊ̯ r o p ɛː i ʃ
ëuropäische	e ʊ̯ r o p ɛː i ʃ ə
ëuropäischem	e ʊ̯ r o p ɛː i ʃ ə m
ëuropäischer	e ʊ̯ r o p ɛː i ʃ a
ëuropäisches	e ʊ̯ r o p ɛː i ʃ ə s
