a	aː
persche	pʰ ɛ ʃ ə
person	pʰ ɛ s oː n
persone	pʰ ɛ s oː n ə
pest	pʰ e ʃ t
petze	pʰ e t͡s ə
piano	p i a n o
pianos	p i a n o s
picke	pʰ i k ə
piff	pʰ i f
pihl	pʰ iː l
pill	pʰ i l
pille	pʰ i l ə
pinguin	pʰ i ŋ k u iː n
pisin	p i s iː n
piss	pʰ i s
pisse	pʰ i s ə
pitange	p i t a ŋ k ə
pitangebaam	p i t a ŋ k ə p ɔː m
pitsch	pʰ i t͡ʃ
pizza	p i t͡s a
pizzas	p i t͡s a s
planet	p l a n eː t
planete	p l a n eː t ə
planz	p l a n s
platt	p l a t
platte	p l a t ə
platz	p l a t͡s
platze	p l a t͡s ə
pnëu	p n e ʊ̯
polack	p o l a k
polacke	p o l a k ə
pole	pʰ oː l ə
polente	p o l ɛ n t ə
poliere	p o l iː r ə
politik	p o l i t iː k
politiker	p o l iː t i k ɐ
politisch	p o l iː t i ʃ
polnisch	p o l n i ʃ
pomata	p o m aː t a
portugal	p o r t u k a l
portugees	p o r t u k eː s
portugeese	p o r t u k eː s ə
portugies	p o r t u k iː s
portugiese	p o r t u k iː s ə
portugiesin	p o r t u k iː s i n
portugiesisch	p o r t u k iː s i ʃ
possdeantes	pʰ o s t ə a n t ə s
poste	pʰ o ʃ t ə
praia	p r a ɪ̯ a
praias	p r a ɪ̯ a s
praktisch	p r a k t i ʃ
preis	p r a ɪ̯ s
preso	p r eː s o
priester	p r iː ʃ t a
prim	p r iː m
prime	p r iː m ə
prinz	p r i n s
prinzessin	p r i n t͡s e s i n
prisong	p r i s ɔ ŋ
problem	p r o p l eː m
problematisch	p r o p l ə m aː t i ʃ
profeet	p r o f eː t
pronome	p r o n oː m ə
prozent	p r o t͡s ɛ n t
prozess	p r o t͡s e s
prunkel	p r u ŋ k ə l
puer	pʰ uː a
puff	pʰ u f
puffe	pʰ u f ə
puhl	pʰ uː l
puliss	p u l i s
pulisse	p u l i s ə
pulver	pʰ u l v ɐ
pumpe	pʰ u m p ə
punkt	pʰ u ŋ k t
putsch	pʰ u t͡ʃ
putting	p u t i ŋ
quarz	k w a t͡s
quatsche	k w a t͡ʃ ə
quatti	k w a t iː
quele	k w eː l ə
quelle	k w e l ə
radio	r aː t i̯ o
radios	r aː t i̯ o s
rand	r a n t
rang	r a ŋ
range	r a ŋ ə
rangel	r a ŋ ə l
rangle	r a ŋ l ə
ransch	r a n ʃ
ranschegelleb	r a n ʃ ə k e l ə p
rappe	r a p ə
rass	r a s
rasse	r a s ə
ratt	r a t
ratte	r a t ə
rau	r a ʊ̯
raub	r a ʊ̯ p
rauche	r a ʊ̯ x ə
raucher	r a ʊ̯ x a
raum	r a ʊ̯ m
raume	r a ʊ̯ m ə
rausche	r a ʊ̯ ʃ ə
reb	r eː p
rechne	r e ç n ə
rechnung	r e ç n u ŋ
recht	r e ç t
rechts	r e ç t͡s
reck	r e k
rees	r eː s
reese	r eː s ə
reffe	r e f ə
reh	r eː
rehn	r eː n
rehne	r eː n ə
rei	r a ɪ̯
reiche	r a ɪ̯ ç ə
reichre	r a ɪ̯ ç r ə
reide	r a ɪ̯ r ə
reif	r a ɪ̯ f
reife	r a ɪ̯ f ə
reim	r a ɪ̯ m
reis	r a ɪ̯ s
reise	r a ɪ̯ s ə
reive	r a ɪ̯ v ə
renne	r ɛ n ə
renner	r e n ɐ
repple	r e p l ə
rest	r e ʃ t
rester	r e ʃ t ɐ
rette	r e t ə
retter	r e t ɐ
rettung	r e t u ŋ
richte	r i ç t ə
richter	r i ç t ɐ
richtung	r i ç t u ŋ
ricke	r i k ə
rieche	r iː ç ə
rind	r i n t
rindfleisch	r i n t f l a ɪ̯ ʃ
ring	r i ŋ
ringfinger	r i ŋ f i ŋ a
rinner	r i n ɐ
rio	r iː o
rios	r iː o s
ripp	r i p
rippe	r i p ə
riss	r i s
ritz	r i t͡s
ritze	r i t͡s ə
riwle	r i v l ə
rock	r o k
rod	r oː t
rode	r oː r ə
rodomee	r o t o m eː
rodwein	r oː t v a ɪ̯ n
roh	r oː
roll	r o l
rolle	r o l ə
romantik	r o m a n t i k
roppe	r o p ə
ros	r oː s
rosch	r o ʃ
rose	r oː s ə
rosell	r o s e l
roselle	r o s e l ə
roserod	r oː z ə r oː t
ross	r o s
rosse	r o s ə
rost	r o ʃ t
rotz	r o t͡s
ruf	r uː f
rufe	r uː f ə
ruh	r uː
ruhe	r uː ə
ruin	r u i n
ruine	r u i n ə
russ	r u s
russe	r u s ə
russisch	r u s i ʃ
russland	r u s l a n t
rut	r uː t
rute	r uː t ə
rëghiere	r e ç iː r ə
rëghierung	r e ç iː r u ŋ
rëghion	r e ç i oː n
rëghione	r e ç i oː n ə
rëlighion	r e l i ç i̯ o n
rëmorss	r e m ɔ s
rëstrinschiere	r e ʃ t r i n ʃ iː r ə
saan	s ɔː n
sach	s a x
sache	s a x ə
sack	s a k
sacolas	s a k o l a s
safran	s a f r a n
sakrament	s a k r a m ɛ n t
sals	s a l s
salse	s a l s e
salsich	s a l s i ç
sammle	s a m l ə
sammlung	s a m l u ŋ
sand	s a n t
sandaalja	s a n t ɔː l j a
sandfloh	s a n t f l oː
sardin	s a t iː n
sardine	s a t iː n ə
satellit	s a t ə l iː t
satellite	s a t ə l iː t ə
sattel	s a t l̩
satz	s a t͡s
sau	s a ʊ̯
sauer	s a ʊ̯ a
saufe	s a ʊ̯ f ə
saure	s a ʊ̯ r ə
sauver	s a ʊ̯ v ɐ
scha	ʃ aː
schaal	ʃ ɔː l
schaam	ʃ ɔː m
schaaref	ʃ ɔː r ə f
schabuticaave	ʃ a p u t i k ɔː v ə
schabutikaab	ʃ a p u t i k ɔː p
schach	ʃ a x
schachtel	ʃ a x t ə l
schaffe	ʃ a f ə
schakaree	ʃ a k a r eː
schakoh	ʃ a k oː
schakrakack	ʃ a k r a k a k
schakrakacke	ʃ a k r a k a k ə
schall	ʃ a l
schalle	ʃ a l ə
schaponees	ʃ a p o n eː s
schaponeese	ʃ a p o n eː s ə
schapong	ʃ a p ɔ ŋ
scharack	ʃ a r a k
scharacke	ʃ a r a k ə
schatte	ʃ a t ə
schatz	ʃ a t͡s
schaum	ʃ a ʊ̯ m
scheed	ʃ eː t
scheele	ʃ eː l ə
scheen	ʃ eː n
scheene	ʃ eː n ə
scheenem	ʃ eː n ə m
scheener	ʃ eː n a
scheenes	ʃ eː n ə s
scheenest	ʃ eː n ə ʃ t
schein	ʃ a ɪ̯ n
scheine	ʃ a ɪ̯ n ə
scheis	ʃ a ɪ̯ s
scheise	ʃ a ɪ̯ s ə
schell	ʃ e l
schelle	ʃ e l ə
scheme	ʃ eː m ə
schenke	ʃ ɛ ŋ k ə
schenker	ʃ ɛ ŋ k ɐ
scherz	ʃ ɛ t͡s
scherze	ʃ ɛ t͡s ə
sches	ʃ eː s
schesje	ʃ e s j ə
schetz	ʃ e t͡s
schicht	ʃ i ç t
schichte	ʃ i ç t ə
schicke	ʃ i k ə
schiff	ʃ i f
schild	ʃ i l t
schiller	ʃ i l a
schimarong	ʃ i m a r ɔ ŋ
schipp	ʃ i p
schippe	ʃ i p ə
schiraff	ʃ i r a f
schiraffe	ʃ i r a f ə
schiss	ʃ i s
schissel	ʃ i s l̩
schisser	ʃ i s ɐ
schissle	ʃ i s l ə
schlaa	ʃ l ɔː
schlachte	ʃ l a x t ə
schlachtung	ʃ l a x t u ŋ
schlang	ʃ l a ŋ
schlange	ʃ l a ŋ ə
schlank	ʃ l a ŋ k
schlapp	ʃ l a p
schlappe	ʃ l a p ə
schlau	ʃ l a ʊ̯
schlecht	ʃ l e ç t
schleier	ʃ l a ɪ̯ a
schleim	ʃ l a ɪ̯ m
schlepp	ʃ l e p
schleppe	ʃ l e p ə
schlesser	ʃ l e s a
schlick	ʃ l i k
schlicke	ʃ l i k ə
schliese	ʃ l iː s ə
schlitz	ʃ l i t͡s
schlitze	ʃ l i t͡s ə
schlof	ʃ l oː f
schlofe	ʃ l oː f ə
schloss	ʃ l o s
schlott	ʃ l o t
schluck	ʃ l u k
schmaal	ʃ m ɔː l
schmecke	ʃ m e k ə
schmelze	ʃ m e l t͡s ə
schmetterling	ʃ m e t ɐ l i ŋ
schmier	ʃ m iː ɐ
schmitt	ʃ m i t
schmuck	ʃ m u k
schmutz	ʃ m u t͡s
schnall	ʃ n a l
schnalle	ʃ n a l ə
schnaps	ʃ n a p s
schneck	ʃ n e k
schnecke	ʃ n e k ə
schnee	ʃ n eː
schneemann	ʃ n eː m a n
schnees	ʃ n eː s
schneid	ʃ n a ɪ̯ t
schneide	ʃ n a ɪ̯ r ə
schneider	ʃ n a ɪ̯ r ɐ
schnell	ʃ n e l
schnelle	ʃ n e l ə
schneller	ʃ n e l a
schnellest	ʃ n e l ə ʃ t
schnips	ʃ n i p s
schnire	ʃ n iː r ə
schnitt	ʃ n i t
schnorres	ʃ n ɔ r ə s
schnuer	ʃ n uː a
schnuffle	ʃ n u f l ə
schnuppe	ʃ n u p ə
schnut	ʃ n uː t
schnute	ʃ n uː t ə
schof	ʃ oː f
schokolaat	ʃ o k o l ɔː t
schone	ʃ oː n ə
schopp	ʃ o p
schoppe	ʃ o p ə
schos	ʃ oː s
schot	ʃ oː t
schote	ʃ oː t ə
schrank	ʃ r a ŋ k
schrappe	ʃ r a p ə
schraub	ʃ r a ʊ̯ p
schreck	ʃ r e k
schrecke	ʃ r e k ə
schrecklich	ʃ r e k l i ç
schrift	ʃ r i f t
schritt	ʃ r i t
schritte	ʃ r i t ə
schuh	ʃ uː
schul	ʃ uː l
schuld	ʃ u l t
schule	ʃ uː l ə
schun	ʃ u n
schundiaa	ʃ u n t i ɔː
schuping	ʃ u p i ŋ
schuppe	ʃ u p ə
schuss	ʃ u s
schuster	ʃ u ʃ t ɐ
schutz	ʃ u t͡s
schutze	ʃ u t͡s ə
schutzengel	ʃ u t͡s ɛ ŋ l̩
schwaart	ʃ v ɔː t
schwaarte	ʃ v ɔː t ə
schwach	ʃ v a x
schwamm	ʃ v a m
schwanger	ʃ v a ŋ a
schwanz	ʃ v a n s
schwarz	ʃ v a t͡s
schwarzbier	ʃ v a t͡s p iː ɐ
schwefel	ʃ v eː f l̩
schwein	ʃ v a ɪ̯ n
schweinerei	ʃ v a ɪ̯ n ə r a ɪ̯
schweiz	ʃ v a ɪ̯ t͡s
schweizer	ʃ v a ɪ̯ t͡s a
schwelle	ʃ v e l ə
schwellung	ʃ v e l u ŋ
schwetze	ʃ v e t͡s ə
schwimme	ʃ v i m ə
schwimmer	ʃ v i m a
schwitz	ʃ v i t͡s
schwitze	ʃ v i t͡s ə
schwong	ʃ v o ŋ
schwäer	ʃ v ɛː ɐ
sechs	s e k s
sechseck	s e k s e k
sechzen	s e ç t͡s n̩
sechzich	s e ç t͡s i ç
seck	s e k
seckel	s e k l̩
see	s eː
seel	s eː l
seele	s eː l ə
seh	s eː
sehe	s eː ə
sehn	s eː n
sei	s a ɪ̯
seid	s a ɪ̯ t
seie	s a ɪ̯ ə
seif	s a ɪ̯ f
seife	s a ɪ̯ f ə
sein	s a ɪ̯ n
seit	s a ɪ̯ t
seite	s a ɪ̯ t ə
sekund	s e k u n t
send	s ɛ n t
senger	s ɛ ŋ ɐ
september	s eː p t ɛ m p a
setz	s e t͡s
setze	s e t͡s ə
sibzen	s i p t͡s n̩
sichel	s i ç l̩
sicher	s i ç a
sicherlich	s i ç ɐ l i ç
sicht	s i ç t
sichte	s i ç t ə
sie	s iː
siedkorea	s iː t kʰ o r eː a
siegh	s iː ç
sies	s iː s
siete	s iː t ə
sieve	s iː v ə
siffer	s i f ɐ
sihn	s iː n
silver	s i l v ɐ
simbol	s i m p o l
simp	s i m p
sin	s i n
sind	s i n t
sinfonie	s i n f o n iː
sinfonisch	s i n f oː n i ʃ
singe	s i ŋ ə
sinke	s i ŋ k ə
sinne	s i n ə
sinner	s i n ɐ
sinonim	s i n oː n i m
siria	s iː r i a
sirje	s iː r j ə
sistem	s i s t eː m
sitze	s i t͡s ə
skelett	ʃ k e l e t
skorpion	ʃ k o r p i oː n
soda	s oː t a
sofa	s o f aː
sofas	s o f aː s
sofá	s o f aː
sohl	s oː l
sohle	s oː l ə
sohn	s oː n
soja	s oː ʃ a
soje	s oː ʃ ə
soldaat	s o l t ɔː t
solle	s o l ə
some	s oː m ə
sommer	s ɔ m a
sonn	s ɔ n
soot	s oː t
sorte	s ɔ t ə
sorvett	s o r v e t
sos	s oː s
sose	s oː s ə
sozieteet	s o t͡s i ə t eː t
spaad	ʃ p ɔː t
spaan	ʃ p ɔː n
spanje	ʃ p a n j ə
spanne	ʃ p a n ə
sparre	ʃ p a r ə
spass	ʃ p a s
spatze	ʃ p a t͡s ə
speck	ʃ p e k
sped	ʃ p e t
speen	ʃ p eː n
speicher	ʃ p a ɪ̯ ç ɐ
sperre	ʃ p ɛ r ə
spess	ʃ p e s
spiel	ʃ p iː l
spiele	ʃ p iː l ə
spieler	ʃ p iː l ɐ
spinn	ʃ p i n
spinne	ʃ p i n ə
spiss	ʃ p i s
spitaal	ʃ p i t ɔː l
spitz	ʃ p i t͡s
spitze	ʃ p i t͡s ə
spoer	ʃ p oː ɐ
spott	ʃ p o t
spreche	ʃ p r e ç ə
sprecher	ʃ p r e ç ɐ
sprecherei	ʃ p r e ç ə r a ɪ̯
sprich	ʃ p r i ç
spring	ʃ p r i ŋ
springe	ʃ p r i ŋ ə
spritz	ʃ p r i t͡s
spritze	ʃ p r i t͡s ə
sproch	ʃ p r o x
spruch	ʃ p r u x
sprung	ʃ p r u ŋ
spuck	ʃ p u k
spucke	ʃ p u k ə
spul	ʃ p uː l
spule	ʃ p uː l ə
staab	ʃ t ɔː p
staal	ʃ t ɔː l
staat	ʃ t ɔː t
staate	ʃ t ɔː t ə
stachel	ʃ t a x l̩
stall	ʃ t a l
stamm	ʃ t a m
stampe	ʃ t a m p ə
stamper	ʃ t a m p ɐ
stang	ʃ t a ŋ
stange	ʃ t a ŋ ə
stanze	ʃ t a n t͡s ə
statt	ʃ t a t
statts	ʃ t a t͡s
steche	ʃ t e ç ə
steck	ʃ t e k
stecke	ʃ t e k ə
steel	ʃ t eː l
steen	ʃ t eː n
steenich	ʃ t eː n i ç
steere	ʃ t eː r ə
stehle	ʃ t eː l ə
stehn	ʃ t eː n
steie	ʃ t a ɪ̯ ə
steier	ʃ t a ɪ̯ a
steif	ʃ t a ɪ̯ f
stell	ʃ t e l
stelle	ʃ t e l ə
stempel	ʃ t ɛ m p l̩
stengel	ʃ t ɛ ŋ ə l
stern	ʃ t ɛ n
sterne	ʃ t ɛ n ə
sterrve	ʃ t ɛ r v ə
sterz	ʃ t ɛ t͡s
sterze	ʃ t ɛ t͡s ə
stett	ʃ t e t
stetter	ʃ t e t ɐ
stich	ʃ t i ç
stick	ʃ t i k
sticke	ʃ t i k ə
sticker	ʃ t i k ɐ
stiefbruder	ʃ t iː f p r uː r ɐ
stiefkind	ʃ t iː f kʰ i n t
stiefmutter	ʃ t iː f m u t a
stiefsohn	ʃ t iː f s oː n
stiel	ʃ t iː l
stier	ʃ t iː ɐ
stift	ʃ t i f t
stihl	ʃ t iː l
still	ʃ t i l
stimme	ʃ t i m ə
stinkdier	ʃ t i ŋ k t iː ɐ
stinke	ʃ t i ŋ k ə
stock	ʃ t o k
stolper	ʃ t o l p ɐ
stolpre	ʃ t o l p r ə
stols	ʃ t o l s
stoppe	ʃ t o p ə
storz	ʃ t ɔ t͡s
strauch	ʃ t r a ʊ̯ ç
straus	ʃ t r a ʊ̯ s
streck	ʃ t r e k
strecke	ʃ t r e k ə
streiche	ʃ t r a ɪ̯ ç ə
streicher	ʃ t r a ɪ̯ ç ɐ
streichle	ʃ t r a ɪ̯ ç l ə
streife	ʃ t r a ɪ̯ f ə
strem	ʃ t r eː m
strich	ʃ t r i ç
strick	ʃ t r i k
stricke	ʃ t r i k ə
strimp	ʃ t r i m p
strof	ʃ t r oː f
strofe	ʃ t r o f ə
stroh	ʃ t r oː
strom	ʃ t r oː m
strome	ʃ t r oː m ə
stros	ʃ t r oː s
stross	ʃ t r o s
strump	ʃ t r u m p
struz	ʃ t r uː t͡s
studente	ʃ t u t ɛ n t ə
stuhl	ʃ t uː l
stumm	ʃ t u m
stump	ʃ t u m p
suche	s u x ə
suckle	s u k l ə
suco	s u k o
sump	s u m p
sunn	s u n
supp	s u p
suppe	s u p ə
suttle	s u t l ə
sërvett	s e r v e t
sërviere	s e r v iː r ə
talent	tʰ a l ɛ n t
tamburin	tʰ a m p u r iː n
tante	tʰ a n t ə
tappes	tʰ a p ə s
tasch	tʰ a ʃ
tasche	tʰ a ʃ ə
tass	tʰ a s
tasse	tʰ a s ə
tattu	tʰ a t u
tausend	tʰ a ʊ̯ s ə n t
tausendfus	tʰ a ʊ̯ s n̩ t f uː s
taxi	tʰ a k s i
taxis	tʰ a k s i s
tee	tʰ eː
teekann	tʰ eː kʰ a n
teekanne	tʰ eː kʰ a n ə
teepump	tʰ eː pʰ u m p
tema	tʰ eː m a
teme	tʰ eː m ə
tempel	tʰ ɛ m p l̩
terreno	tʰ e r eː n o
terrenos	tʰ e r eː n o s
text	tʰ e k s t
texte	tʰ e k s t ə
tickutick	tʰ i k u t i k
tigher	tʰ iː ç a
tint	tʰ i n t
tinte	tʰ i n t ə
tirol	tʰ i r oː l
tirolisch	tʰ i r oː l i ʃ
tomatt	t o m a t
tomatte	t o m a t ə
torrem	tʰ ɔ r ə m
torte	tʰ ɔ t ə
toych	t ɔ j x
traira	t r a iː r a
traire	t r a iː r ə
trample	t r a m p l ə
traub	t r a ʊ̯ p
traue	t r a ʊ̯ ə
trede	t r eː r ə
treffe	t r e f ə
trenne	t r ɛ n ə
treppe	t r e p ə
trieb	t r iː p
trieve	t r iː v ə
tritt	t r i t
troost	t r oː ʃ t
trupp	t r u p
truppe	t r u p ə
tumoer	t u m oː a
tunke	tʰ u ŋ k ə
tëlevisong	t e l ə v i s ɔ ŋ
uersach	uː ɐ s a x
uerwald	uː ɐ v a l t
uff	u f
uffem	u f ə m
uffs	u f s
uher	uː a
uherzeid	uː ɐ t͡s a ɪ̯ t
uhre	uː r ə
um	u m
umfalle	u m f a l ə
umsonst	u m s ɔ n ʃ t
un	u n
unbekannt	u n p ə kʰ a n t
unfall	u n f a l
ungesund	u n k ə s u n t
unglick	u n k l i c k
uns	u n s
unschuld	u n ʃ u l t
unsicher	u n s i ç ɐ
unzufried	u n t͡s u f r iː t
urin	u r iː n
vaas	v ɔː s
vasos	v aː s o s
velorio	v ə l o r ɪ̯ o
violin	v i o l iː n
violine	v i o l iː n ə
viëtnam	v i e t n a m
waal	v ɔː l
waan	v ɔː n
waar	v ɔː
wach	v a x
wache	v a x ə
wachs	v a k s
wachse	v a k s ə
wackle	v a k l ə
waff	v a f
waffe	v a f ə
waffle	v a f l ə
walse	v a l s ə
wand	v a n t
wann	v a n
was	v a s
wasser	v a s a
wassre	v a s r ə
watt	v a t
watte	v a t ə
wech	v e ç
weche	v e ç ə
wechsle	v e k s l ə
weck	v e k
wecker	v e k a
weele	v eː l ə
weeler	v eː l a
weelerin	v eː l ə r i n
ween	v eː n
weert	v eː ɐ t
weh	v eː
weib	v a ɪ̯ p
weiblich	v a ɪ̯ p l i ç
weid	v a ɪ̯ t
weider	v a ɪ̯ r ɐ
weie	v a ɪ̯ ə
wein	v a ɪ̯ n
weinachte	v a ɪ̯ n a x t ə
weinachtsbaam	v a ɪ̯ n a x t s p ɔː m
weinflasche	v a ɪ̯ n f l a ʃ ə
weinrod	v a ɪ̯ n r oː t
weis	v a ɪ̯ s
weisbrod	v a ɪ̯ s p r oː t
weise	v a ɪ̯ s ə
weisem	v a ɪ̯ s ə m
weiser	v a ɪ̯ s a
weises	v a ɪ̯ s ə s
weisest	v a ɪ̯ s ə ʃ t
weize	v a ɪ̯ t͡s ə
well	v e l
welle	v e l ə
wellef	v e l ə f
welt	v e l t
welte	v e l t ə
wend	v e n t
wenichstens	v eː n i ç ʃ t ə n s
wenn	v ɛ n
wer	v ɛ ɐ̯
werklich	v ɛ r k l i ç
werklichkeet	v e r k l i ç kʰ eː t
werre	v ɛ r ə
werst	v ɛ ʃ t
werter	v ɛ t a
wesch	v e ʃ
wesche	v e ʃ ə
wespe	v e ʃ p ə
weste	v e ʃ t ə
wette	v e t ə
wetter	v e t ɐ
weve	v eː v ə
wever	v eː v ɐ
wichs	v i k s
wichse	v i k s ə
wichtich	v i ç t i ç
wicke	v i k ə
wickle	v i k l ə
wie	v iː
wiest	v iː ʃ t
wild	v i l t
wille	v i l ə
willich	v i l i ç
wimper	v i m p ɐ
wind	v i n t
windmihl	v i n t m iː l
winsche	v i n ʃ ə
winter	v i n t a
wische	v i ʃ ə
wisse	v i s ə
wittichnannerrenne	v i t i ç n a n a r ɛ n ə
witz	v i t͡s
wo	v oː
woch	v o x
woche	v o x ə
wocheenn	v o x ə ɛ n
woh	v oː
wohe	v oː ə
woherheet	v oː ɐ h eː t
woherheit	v oː ɐ h a ɪ̯ t
wohne	v oː n ə
woll	v o l
wolle	v o l ə
wollef	v o l ə f
wollek	v o l k
worst	v ɔ ʃ t
wort	v ɔ t
worte	v ɔ t ə
wortschatz	v ɔ t ʃ a t͡s
wuchs	v u k s
wund	v u n t
wunner	v u n a
wunsch	v u n ʃ
wut	v uː t
wutz	v u t͡s
wutze	v u t͡s ə
wäär	v eː a
xloych	ʃ l ɔ j x
zaal	t͡s ɔː l
zaam	t͡s ɔː m
zaan	t͡s ɔː n
zaart	t͡s ɔː t
zang	t͡s a ŋ
zange	t͡s a ŋ ə
zanke	t͡s a ŋ k ə
zaum	t͡s a ʊ̯ m
zaun	t͡s a ʊ̯ n
zebra	t͡s eː p r a
zebras	t͡s eː p r a s
zeche	t͡s e ç ə
zecke	t͡s e k ə
zeen	t͡s eː n
zeh	t͡s eː
zehe	t͡s eː ə
zehn	t͡s eː n
zeich	t͡s a ɪ̯ ç
zeichne	t͡s a ɪ̯ ç n ə
zeichnung	t͡s a ɪ̯ ç n u ŋ
zeid	t͡s a ɪ̯ t
zeidich	t͡s a ɪ̯ r i ç
zein	t͡s a ɪ̯ n
zell	t͡s e l
zelle	t͡s e l ə
zentraal	t͡s n̩ t r ɔː l
zentrum	t͡s ɛ n t r u m
zepp	t͡s e p
zettel	t͡s e t l̩
ziehe	t͡s iː ə
ziel	t͡s iː l
zimmer	t͡s i m a
zimmermann	t͡s i m ɐ m a n
zimmet	t͡s i m ə t
zink	t͡s i ŋ k
zinn	t͡s i n
zins	t͡s i n s
zinse	t͡s i n s ə
zipp	t͡s i p
zippe	t͡s i p ə
zitron	t͡s i t r oː n
zitrone	t͡s i t r oː n ə
zittre	t͡s i t r ə
zopp	t͡s o p
zu	t͡s uː
zucker	t͡s u k a
zuckre	t͡s u k r ɐ
zufried	t͡s u f r iː t
zum	t͡s uː m
zumache	t͡s uː m a x ə
zung	t͡s u ŋ
zunge	t͡s u ŋ ə
zwanzich	t͡s v a n t͡s i ç
zweck	t͡s v e k
zweifel	t͡s v a ɪ̯ f ə l
zweifle	t͡s v a ɪ̯ f l ə
zwellef	t͡s v e l ə f
zwern	t͡s v ɛ n
zwett	t͡s v e t
zweu	t͡s v ɔ ɪ̯
zwieback	t͡s v iː p a k
zwilling	t͡s v i l i ŋ
zwing	t͡s v i ŋ
zwingd	t͡s v i ŋ t
zwinge	t͡s v i ŋ ə
zwingst	t͡s v i ŋ ʃ t
zwiwel	t͡s v i v l̩
äerd	ɛː a t
äerdbeer	ɛː a t p eː a
äerdbeere	ɛː a t p eː r ə
äerde	ɛː a t ə
äärem	ɛː r ə m
äärsch	ɛː ʃ
ëukalipt	e ʊ̯ k a l i p t
ëukaliptbaam	e ʊ̯ k a l i p t p ɔː m
ëuropa	e ʊ̯ r oː p a
ëuropäer	e ʊ̯ r o p ɛː a
ëuropäisch	e ʊ̯ r o p ɛː i ʃ
ëuropäische	e ʊ̯ r o p ɛː i ʃ ə
ëuropäischem	e ʊ̯ r o p ɛː i ʃ ə m
ëuropäischer	e ʊ̯ r o p ɛː i ʃ a
ëuropäisches	e ʊ̯ r o p ɛː i ʃ ə s
