't	t
ierger	i e̯ ʁ e ʀ
ierwen	i e̯ v e n
iesel	i e̯ z e l
iessen	i e̯ s e n
iessläffel	i e̯ s l æ f e l
iesszëmmer	i e̯ s t s e m e ʀ
iewen	i e̯ v e n
igel	i ʁ e l
imaginatioun	i m a ʒ i n a s j e u̯ n
improvisatioun	æ̃ p ʀ o v i z a s j e u̯ n
indien	i n d i e n
infektioun	i n f æ k s j o ʊ̯ n
ingenieur	æ̃ ʒ e n j øː e ʀ
insekt	i n z æ k t
insel	i n z e l
inspekter	i n s p æ k t ɐ
installateur	i n s t ɑ l ɑ t øː ɐ̯
int	i n t
ir	iː ʀ
iwwel	i v e l
iwwerfall	i v e ʀ f a l
iwwerfloss	i v e ʀ f l o s
jach	j a χ
jackett	ʒ a k æ t
jalousie	ʒ a l u z i
japanesch	j a p aː n e ʃ
jatt	ʒ a t
jeans	d ʒ iː n s
jo	j o
joer	j oː e r
joerdausend	j oː e ʀ d a u̯ z e n t
joerhonnert	j oː e ʀ h o n e ʀ t
joerzéngt	j oː e ʀ t s e ŋ t
joffer	j o f e ʀ
jomer	j oː m e ʀ
jong	j o ŋ
jongfra	j o ŋ f ʀ aː
joreszäit	j oː ʀ e s t s æ i̯ t
juck	j u k
judd	j u t
jugend	j u ʁ e n t
jugendchômage	j uː ʁ e n t ʃ oː m aː ʃ
juli	j uː l i
juni	j uː n i
jupe	ʒ y p
jus	ʒ y
jéngelchen	j e ŋ e l χ e n
kaalwer	k aː l v e r
kaarp	k aː ʀ p
kaart	k aː t
kaascht	k aː ʃ t
kabes	k aː b e s
kachkéis	k a χ k e i̯ s
kachmaschinn	k a χ m a ʃ i n
kadaster	k a d a s t e ʀ
kaffi	k a f i
kalbass	k a l b a s
kalenner	k a l æ n e ʀ
kallef	k a l e f
kalleffleesch	k a l e f f l eː ʃ
kallek	k a l e k
kammoud	k a m e u̯ t
kamp	k a m p
kaméidi	k a m e i̯ d i
kan	k aː n
kanal	k ɑ n aː l
kanner	k ɑ n ɐ
kanoun	k ɑ n ə ʊ̯ n
kanton	k ɑ n t oː n
kanäl	k ɑ n æ l
kanéil	k ɑ n ɜ ɪ̯ l
kap	k aː p
kapell	k ɑ p æ l
kapellen	k ɑ p æ l ə n
kapitel	k ɑ p i t ə l
kapp	k a p
kappball	k ɑ b b ɑ l
kapsel	k ɑ p s ə l
kar	k aː ʀ
karaff	k ɑ ʁ ɑ f
karamell	k a ʀ a m æ l
karausch	k ɑ ʀ ɑ ʊ̯ ʃ
karo	k aː ʀ oː
kascht	k ɑ ʃ t
katz	k ɑ t s
kaul	k a u̯ l
kauzekapp	k ɑ ʊ̯ t͡s ə k ɑ p
kauzekäpp	k ɑ ʊ̯ t͡s ə k æ p
kaweechelchen	k aː v eː ɕ ə l ɕ ə n
kaweechelcher	k aː v eː ɕ ə l ɕ ɐ
kaz	k aː t s
kazena	k aː t s ə n aː
keel	k eː l
keelt	k eː l t
keeser	k eː z ɐ
keess	k eː s
keim	k ɑ ɪ̯ m
keller	k æ l ɐ
kess	k æ s
kessel	k æ s ə l
ketten	k æ t ə n
kichelchen	k i χ e l χ e n
kichen	k i χ e n
kierbiischt	k iː ə̯ b iː ʃ t
kierch	k iː ə̯ ɕ
kierchelidd	k iː ə̯ ɕ ə l i t
kierfmécher	k i e̯ ʀ f m e χ e ʀ
kiermes	k iː ə̯ m ə s
kierper	k iː ə̯ p ɐ
kierwel	k iː ə̯ v ə l
kiewerlek	k i e̯ v e r l e k
kiewerleken	k i e̯ v e r l e k e n
kiischt	k iː ʃ t
kilometer	k i l o m eː t ɐ
kinnek	k i n e k
kinneken	k i n e k e n
kinnekräich	k i n e ɡ ʁ æː ɪ̯ ɕ
kinnigin	k i n i ɡ i n
klam	k l aː m
klamer	k l aː m ɐ
klang	k l ɑ ŋ
klapp	k l ɑ p
klarinett	k l ɑ ʀ i n æ t
klass	k l ɑ s
kleed	k l eː t
klett	k l æ t
klierf	k l i e̯ f
klouschter	k l ə ʊ̯ ʃ t ɐ
kläckelchen	k l æ k e l χ e n
kléi	k l ɜ ɪ̯
kléng	k l e ŋ
klëppel	k l ə p ə l
knachen	k n ɑ χ ə n
knall	k n ɑ l
knapp	k n a p
knascht	k n ɑ ʃ t
kniddel	k n i d ə l
kniecht	k n i e̯ χ t
kniet	k n i ə t
knippchen	k n i p χ e n
kniwweler	k n i v ə l ɐ
knoll	k n o l
knuet	k n u ə̯ t
knuewelek	k n u ə̯ v ə l ə k
knuppert	k n u p ɐ t
knäckebrout	k n æ k ə b ʀ ə ʊ̯ t
knäip	k n æː ɪ̯ p
knäpp	k n æ p
knäppchen	k n æ p χ e n
knéchel	k n ə ɕ ə l
knéischeif	k n ɜ ɪ̯ ʃ ɑ ɪ̯ f
koffer	k o f ɐ
koiné	k o i̯ n eː
kokosnoss	k o k o s n o s
kokosnëss	k o k o s n ə s
koll	k o l
kolleeg	k o l eː χ
kolleegen	k o l eː ʁ e n
komma	k o m ɑ
kompetitioun	k o m p e t i s j ə ʊ̯ n
koméit	k o m ɜ ɪ̯ t
konn	k o n
konscht	k o n ʃ t
konstellatioun	k o n s t æ l ɑ s j ə ʊ̯ n
konstitutioun	k o n s t i t u s j o u̯ n
kont	k o n t
kontroll	k o n t ʁ o l
konzentratioun	k o n t͡s æ n t ʀ ɑ s j ə ʊ̯ n
kopp	k o p
kork	k o χ k
kornischong	k o ʁ n i ʃ o ŋ
korruptioun	k o ʁ u p s i ə ʊ n
koschter	k o ʃ t ɐ
koseng	k o z e ŋ
kosengen	k o z e ŋ e n
kotteng	k o t e ŋ
kou	k e u̯
koumëllech	k ə ʊ m ə l ə ɕ
kraaft	k ʀ aː f t
krack	k ʀ ɑ k
kraidchen	k r a i̯ t χ e n
kraider	k r a i̯ d e r
krall	k ʀ ɑ l
kramp	k ʀ ɑ m p
kran	k ʀ aː n
kranz	k ʀ ɑ n t͡s
krapp	k ʀ ɑ p
kraut	k r æ u̯ t
krawatt	k ʀ ɑ v ɑ t
krazert	k ʀ aː t͡s ɐ t
krees	k ʀ eː s
kreesch	k ʀ eː ʃ
kreesverkéier	k r eː s f ə r k e i̯ e r
kriibs	k ʀ iː p s
krimi	k ʀ i m i
kristall	k ʁ i s t ɑ l
krokodil	k ʁ o k o d iː l
krom	k ʀ oː m
kromm	k ʀ o m
krou	k ʀ ə ʊ̯
kroun	k r e u̯ n
krunn	k ʀ u n
kräiz	k r æ i̯ t s
kräizer	k r æ i̯ t s e r
kräizwuerträtsel	k ʁ æː ɪ̯ d͡z v uː ə̯ d ʁ æ t͡s ə l
krämp	k ʀ æ m p
kréchel	k ʁ ə ɕ ə l
kréi	k ʀ ɜ ɪ̯
kréiena	k ʀ ɜ ɪ̯ ə n aː
krëpp	k ʀ ə p
krëppchen	k ʀ ə p ɕ ə n
krëppebësser	k ʀ ə p ə b ə s ɐ
krëppel	k ʀ ə p ə l
krësch	k ʀ ə ʃ
kuch	k u χ
kuddelfleck	k u d ə l f l æ k
kueberei	k u ə b ə ʀ ɑ ɪ̯
kueder	k u ə̯ d ɐ
kuel	k u ə l
kuelestoff	k u ə l ə ʃ t o f
kuer	k uː r
kueren	k uː r e n
kupplung	k u p l u ŋ
kurv	k u r f
kusin	k u z i n
kusinnen	k u z i n e n
kutsch	k u t͡ʃ
kuuscht	k uː ʃ t
käerz	k eː r t s
käfeg	k eː f ə ɕ
källefchen	k æ l e f χ e n
känguru	k æ ŋ ɡ u ʁ u
käppchen	k æ p χ e n
kär	k eː r
kärel	k ɛː ʀ ə l
käscht	k æ ʃ t
käschtebam	k æ ʃ t ə b aː m
kätzchen	k æ t͡s ɕ ə n
kätzercher	k æ t͡s e ʀ χ e ʀ
kéier	k ɜ ɪ̯ ɐ
kéiseker	k e i̯ z e k e r
kéng	k e ŋ
këndchen	k ə n t ɕ ə n
kënn	k ə n
kënnercher	k ə n ɐ ɕ ɐ
këscht	k ə ʃ t
këssen	k ə s ə n
kürbis	k ʏ r b ɪ s
küst	k y s t
laach	l aː χ
laangfësch	l aː ŋ f ə ʃ
laangfëschmudder	l aː ŋ f ə ʃ m u d ɐ
laascht	l aː ʃ t
lack	l ɑ k
laf	l aː f
lag	l aː χ
lagen	l aː ʁ ə n
lais	l a i̯ s
laitue	l e t yː
lamm	l ɑ m
land	l ɑ n t
landstrooss	l ɑ n t ʃ t ʀ oː s
lann	l a n
lanter	l ɑ n t ɐ
lanz	l ɑ n t s
lat	l aː t
lauer	l ɑ ʊ̯ ɐ
laus	l æ u̯ s
laut	l æː ʊ̯ t
lavendel	l ɑ v æ n d ə l
lawin	l ɑ v i n
lazert	l aː t͡s ɐ t
lee	l eː
leed	l eː t
leeder	l eː d e r
leefer	l eː f ɐ
leem	l eː m
leescht	l eː ʃ t
leeschten	l eː ʃ t ə n
leeschtung	l eː ʃ t u ŋ
leif	l a i̯ f
leit	l ɑ ɪ̯ t
lektioun	l æ k s j ə ʊ n
libell	l i b æ l
lidd	l i t
lieder	l i e̯ d e r
liewen	l i ə̯ v ə n
liewer	l i e̯ v e r
liibling	l iː b l i ŋ
liicht	l iː ɕ t
liichttuerm	l iː χ t t u ə̯ m
limburgesch	l i m b u ə̯ j ə ʃ
limonad	l i m o n aː t
linn	l i n
lissabon	l i s ɑ b o n
living	l i v i ŋ
liwwerung	l i v ə ʁ u ŋ
lo	l oː
locher	l o χ ɐ
loft	l o f t
lomp	l o m p
long	l o ŋ
lorber	l o ʁ b ɐ
lorberblat	l o ʁ b ɐ b l aː t
loscht	l o ʃ t
loun	l e u̯ n
luchs	l u k s
lued	l u ə̯ t
luef	l u ə̯ f
lupp	l u p
luucht	l uː χ t
luuss	l uː s
luxus	l u k s u s
lycée	l i s e
lycéesschüler	l i s eː s ʃ yː l e r
lycéeën	l i s eː ə n
lächer	l æ χ e r
läffel	l æ f ə l
läif	l æ i̯ f
läim	l æː ɪ̯ m
läimer	l æː ɪ̯ m ɐ
längt	l æ ŋ t
léier	l ɜ ɪ̯ ɐ
léift	l e ɪ̯ f t
léisung	l ɜ ɪ̯ z u ŋ
léiw	l e i̯ f
léngt	l e ŋ t
lëns	l ə n s
lëppestëft	l ə p ə ʃ t ə f t
lëps	l ə p s
lëscht	l e ʃ t
lëtzebuerger	l e t s e b u e̯ ʁ e r
lëtzebuergesch	l e t s e b u e̯ ʁ e ʃ
maach	m aː χ
maandel	m aː n d ə l
maart	m aː χ t
maascht	m aː ʃ t
magie	m ɑ ʒ iː
makréil	m ɑ k ʀ ɜ ɪ̯ l
mall	m ɑ l
malz	m ɑ l t͡s
mamendéier	m aː m ə n d ɜ ɪ̯ ɐ
mamm	m ɑ m
mango	m ɑ ŋ ɡ oː
mann	m ɑ n
mantel	m ɑ n t ə l
mapp	m ɑ p
margréitchen	m a ʁ ɡ ʁ ɜ ɪ̯ t ɕ ə n
marionett	m ɑ ʀ j o n æ t
markéierstëft	m ɑ ʀ k ɜ ɪ̯ ɐ ʃ t ə f t
maroun	m ɑ ʀ ə ʊ̯ n
marqueur	m ɑ ʀ k øː ʀ
masch	m ɑ ʃ
maschinn	m ɑ ʃ i n
massendénger	m ɑ s ə n d e ŋ ɐ
matt	m ɑ t
mattant	m ɑ t ɑ n t
mauer	m ɑ ʊ̯ e ʀ
maul	m æː ʊ̯ l
maulef	m ɑ ʊ̯ l ə f
maulefskoup	m ɑ ʊ̯ l ə f s k ə ʊ̯ p
maus	m æ u̯ s
mecanicien	m e k ɑ n i s j ɛ̃ː
mee	m eː
meedchen	m eː d ɕ ə n
meefësch	m eː f ə ʃ
meenung	m eː n u ŋ
mees	m eː s
meeschter	m eː ʃ t ɐ
meeschtesch	m eː ʃ t ə ʃ
meil	m ɑ ɪ̯ l
meldung	m æ l d u ŋ
meloun	m ə l ə ʊ̯ n
member	m ɑ̃ː b ɐ
memoire	m e m w aː ʀ
messer	m æ s ɐ
metall	m e t ɑ l
middel	m i d ə l
miel	m i ə̯ l
mielda	m i ə̯ l d aː
mier	m iː ə̯
miersch	m iː ə̯ ʃ
mierschwéngchen	m i ə̯ ʃ w e ŋ ɕ ə n
millen	m ɪ l ə n
millioun	m i l j ə ʊ̯ n
mineral	m i n ə ʀ aː l
mineralogie	m i n e ʀ ɑ l o ʒ iː
mineralwaasser	m iː n ə ʁ aː l v aː s ɐ
mineur	m i n øː ɐ̯
minn	m i n
minutt	m i n u t
mirabell	m i ʁ a b æ l
misär	m i z ɛː ə̯
mitock	m iː t o k
miwwel	m i v ə l
mo	m oː
mod	m oː t
modell	m o d æ l
moff	m o f
mol	m oː l
molbier	m oː l b iː ə̯
mond	m o n t
monni	m o n i
monsieur	m e s j ø
monsieuren	m e s j ø e n
moolzecht	m oː l t͡s ə ɕ t
moos	m oː s
mooss	m oː s
moschter	m o ʃ t e r
moschwier	m oː ʃ w iː ə̯
moss	m o s
moto	m oː t oː
motocyclist	m oː t o s i k l i s t
motorrad	m oː t o ʀ ʀ aː t
motorsee	m oː t o ʁ z eː
moud	m ə ʊ̯ t
moul	m ə ʊ̯ l
mound	m ə ʊ̯ n t
mount	m ə ʊ̯ n t
mous	m ə ʊ̯ s
mudder	m u d ɐ
muerch	m uː ə̯ ɕ
muerd	m uː ə̯ t
mueren	m uː r e n
mull	m u l
multiplikatioun	m u l t i p l i k ɑ s j ə ʊ̯ n
mupp	m u p
musek	m u z e k
museker	m u z e k e r
musekerin	m u z e k e r i n
muskel	m u s k ə l
mutt	m u t
muttwëll	m u d v ə l
muuss	m uː s
mäerder	m ɛː ə̯ d ɐ
mäert	m ɛː ɐ̯ t
méck	m e k
méckefänkert	m e k ə f æ ŋ k ɐ t
méi	m ɜ ɪ
méint	m ɜ ɪ̯ n t
méiw	m e i̯ f
mëlz	m ə l t͡s
mënsch	m e n ʃ
mënschlechkeet	m e n ʃ l e χ k eː t
mënz	m ə n t͡s
mësch	m ə ʃ
mëscht	m e ʃ t
mëschtgreef	m ə ʃ t ɡ ʀ eː f
mëspel	m ə s p ə l
mëssel	m ə s ə l
mëtsch	m ə t ʃ
mëtt	m ə t
mëtteg	m e t e χ
mëtteger	m e t e ʁ e r
mëttegiessen	m ə t ə ʑ i ə̯ s ə n
mëttel	m ə t ə l
mëttelfeldspiller	m e t e l f æ l t ʃ p i l ɐ
mëtten	m e t e n
mëtternuecht	m ə t ɐ n u ə̯ ɕ t
mëttwoch	m e t v o χ
naachen	n aː χ e n
naivitéit	n ɑ i v i t ɜ ɪ̯ t
nanzeg	n ɑ n t͡s ə ɕ
napp	n ɑ p
narziss	n ɑ χ t͡s i s
nascht	n ɑ ʃ t
nationalitéit	n ɑ t͡s j o n ɑ l i t ɜ ɪ̯ t
neelcheskapp	n eː l ɕ ə s k ɑ p
neiegkeet	n ɑ ɪ̯ ə ɕ k eː t
neimound	n ɑ ɪ̯ m ə ʊ̯ n t
neiséiland	n ɑ ɪ̯ z ɜ ɪ̯ l ɑ n t
nervesee	n æ ʀ v ə z eː
netz	n æ t͡s
netzwierk	n æ t͡s v i ə̯ ʀ k
neveu	n e v ø
neveuen	n e v ø e n
nidderkuer	n i d ɐ k uː ə̯
nidderlanden	n i d e ʀ l a n d ə n
nidderträchtegkeet	n i d ɐ t ʀ æ ɕ t ə ɕ k eː t
niess	n i e̯ s
niessen	n i e̯ s e n
niewefloss	n i ə v ə f l o s
nilpäerd	n iː l p ɛː ə t
nimm	n i m
nitt	n i t
nodeel	n oː d eː l
nohëllef	n oː h ə l ə f
nol	n oː l
nomëtteg	n oː m ə t ə ɕ
nonn	n o n
noper	n oː p e r
noperen	n oː p e r e n
nopesch	n oː p e ʃ
norden	n o r d e n
noriicht	n oː ʀ iː ɕ t
norwegen	n o ʀ v eː ʑ ə n
noss	n o s
nott	n o t
notten	n o t ə n
notzen	n o t͡s ə n
nout	n ə ʊ̯ t
nouvelle	n u v æ l
nuddel	n u d ə l
nuecht	n u e̯ χ t
nuef	n u ə f
nuesen	n u ə z ə n
nuesschnappech	n u ə̯ s ʃ n ɑ p ə ɕ
null	n u l
numm	n u m
nummer	n u m ɐ
nächsteléift	n æ k s t ə l ɜ ɪ̯ f t
näid	n æː ɪ̯ t
néckel	n e k ə l
néiesch	n ɜ ɪ̯ ə ʃ
nénga	n e ŋ aː
nëssert	n ə s ɐ t
nëwwi	n e v i
nëwwien	n e v i e n
ochs	o k s
odermëllech	oː d ɐ m ə l ə ɕ
offall	o f f ɑ l
offer	o f ɐ
offloss	o f f l o s
offlëss	o f f l ə s
offäll	o f f æ l
oflaf	o f l aː f
ofleef	o f l eː f
ofstamung	o f ʃ t aː m u ŋ
oliv	o l iː f
olivenueleg	o l iː v e n u e̯ l e χ
onbaarmhäerzegkeet	o n b aː m h ɛː ə̯ t͡s ə ɕ k e t
ongedold	o n ɡ ə d o l t
ongléck	o ŋ ɡ l e k
onkraut	o ŋ k ʀ æː ʊ̯ t
onrecht	o n ʀ æ ɕ t
onuerdnung	o n uː ə̯ d n u ŋ
oochen	oː χ e n
ootmung	oː t m u ŋ
opfaassung	o p f aː s u ŋ
oprou	o p ʀ ə ʊ̯
opsaz	o p z aː t͡s
optrieden	o p t ʀ i ə̯ d ə n
optrëtt	o p t ʀ ə t
orange	o ʁ ɑ̃ː ʃ
orangëbam	o ʁ ɑ̃ː ʃ ə b aː m
orientéierungslaf	o ʀ j ə n t ɜ ɪ̯ ə ʀ u ŋ z l aː f
origine	o ʀ i ʒ i n
osten	o s t ə n
otem	oː t ə m
owend	oː v ə n t
owendiessen	oː v ə n d i ə̯ s ə n
ozean	oː t͡s e aː n
paangech	p aː ŋ e χ
pabeier	p ɑ b ɜ ɪ̯ ɐ
pad	p aː t
paf	p aː f
pai	p ɑ ɪ̯
pak	p aː k
palais	p ɑ l eː
pampelmousse	p ɑ m p ə l m u s
pampelmuss	p ɑ m p ə l m u s
pan	p aː n
pand	p ɑ n t
pandemie	p ɑ n d e m iː
panech	p aː n e χ
panewippchen	p aː n ə v i p ɕ ə n
pankech	p ɑ ŋ k e χ
pankuch	p aː ŋ k u χ
pann	p ɑ n
panz	p ɑ n t͡s
panéil	p ɑ n ɜ ɪ l
pap	p aː p
papagei	p ɑ p ɑ ɡ ɑ ɪ̯
papp	p ɑ p
paprika	p ɑ p ʀ i k aː
par	p aː r
parréck	p ɑ ʀ e k
parzell	p a ʁ t s æ l
paschtouer	p ɑ ʃ t ə ʊ̯ ɐ
pass	p ɑ s
passiounsfruucht	p ɑ s j ə ʊ̯ n s f ʁ uː χ t
patent	p ɑ t æ n t
pawee	p ɑ v eː
pech	p æ ɕ
pechband	p æ ʑ b ɑ n t
pechbänner	p æ ʑ b æ n ɐ
pedagogik	p eː d a ɡ o ʒ iː k
peepst	p eː p s t
peffer	p æ f ɐ
peffermënz	p æ f ɐ m ə n t͡s
peiler	p a i̯ l e r
pennek	p æ n e k
personal	p æ ʀ z o n aː l
persoun	p e r z e u̯ n
pescht	p æ ʃ t
peschtvull	p æ ʃ t f u l
phar	f aː ʀ
phas	f aː s
physik	f i z i k
piipsert	p iː p s ɐ t
piisch	p iː ʃ
pijen	p iː ʒ ə n
pilger	p i l ʑ ɐ
pilgerfaart	p i l ʑ ɐ f aː χ t
pill	p i l
pimpampel	p i m p ɑ m p ə l
pinguin	p i ŋ ɡ u iː n
pissblumm	p i z b l u m
pistoul	p i s t ə ʊ̯ l
piwitsch	p iː v i t͡ʃ
pizzasdeeg	p i t s aː s d eː ɕ
plafong	p l ɑ f o ŋ
plage	p l aː ʃ
plang	p l ɑ ŋ
planz	p l ɑ n t s
plastik	p l ɑ s t iː k
plaum	p l a u̯ m
plo	p l oː
plomm	p l o m
plott	p l o t
plou	p l e u̯
pluriel	p l u ʀ i æ l
pläng	p l æ ŋ
poker	p oː k ɐ
pol	p oː l
polarbier	p oː l aː b i ə̯
polen	p oː l ə n
police	p o l i s
politiker	p o l i t i k ɐ
polizist	p o l i t͡s i s t
polizistin	p o l i t͡s i s t i n
polver	p o l f e r
pompjeesgefier	p o m p j eː z ɡ ə f iː ə̯
pond	p o n t
poopst	p oː p s t
popp	p o p
por	p oː r
pornographie	p o ʁ n o ɡ ʁ a f iː
porrett	p o ʀ æ t
portal	p o χ t aː l
portier	p o ʀ t j eː
portmonni	p o χ t m o n i
posch	p o ʃ
post	p o s t
pouk	p ə ʊ̯ k
poul	p ə ʊ̯ l
pout	p ə ʊ̯ t
praff	p ʀ ɑ f
praum	p ʀ a u̯ m
priedeger	p ʀ i ə̯ d e ʁ e ʀ
priedegt	p ʀ i ə̯ d e χ t
primmel	p ʀ i m ə l
prisong	p r i z ɔ ŋ
problem	p ʁ o b l æ m
programm	p ʀ o ɡ ʀ ɑ m
promenad	p ʀ o m ə n aː t
promm	p ʀ o m
prouf	p ʀ ə ʊ̯ f
provënz	p ʁ oː v ə n t͡s
pruecht	p r u e̯ χ t
präis	p ʀ æː ɪ̯ s
publikatioun	p u b l i k ɑ s j ə ʊ̯ n
puer	p u ɐ
pull	p u l
punkt	p ʊ ŋ k t
puppelchen	p u p e l χ e n
päerd	p eː r t
päerdsbier	p eː r t s b iː r
päerdscourse	p ɛː ə̯ t s k u ʀ s
päif	p æː ɪ̯ f
päifint	p æː ɪ̯ v i n t
päinetsch	p æː ɪ̯ n ə t͡ʃ
päiperlek	p æː ɪ̯ p ɐ l e k
pällem	p æ l ə m
pärel	p ɛː ʀ ə l
péil	p ɜ ɪ̯ l
péis	p ɜ ɪ̯ s
péng	p e ŋ
pëll	p e l
pëppel	p ə p ə l
pëtz	p e t s
quecksëlwer	k v æ k z e l v e ʀ
quell	k v æ l
quetsch	k v æ t ʃ
rack	r a k
rad	r aː t
radio	ʀ aː d j o
radioaktivitéit	ʀ aː d j o ɑ k t i v i t ɜ ɪ̯ t
radiowell	ʀ aː d j oː v æ l
raf	ʀ aː f
raim	r a i̯ m
rakéit	ʀ ɑ k ɜ ɪ̯ t
ram	ʀ aː m
ramm	ʀ ɑ m
rampli	ʀ ɑ m p l i
rand	ʀ ɑ n t
rank	ʀ ɑ ŋ k
rapfen	ʀ ɑ p f ə n
rapp	ʀ ɑ p
rass	ʀ ɑ s
rat	r aː t
raum	r æ u̯ m
raup	ʀ æː ʊ̯ p
raut	r æ u̯ t
rauten	r æ u̯ t e n
realisatioun	ʀ e ɑ l i z ɑ s j ə ʊ̯ n
recht	ʀ æ ɕ t
rechteck	ʀ æ ɕ t æ k
reck	ʀ æ k
reebou	r eː b e u̯
reeboufrell	ʀ eː b ə ʊ̯ f ʀ æ l
reebéi	ʀ eː b ɜ ɪ̯
reef	ʀ eː f
reegel	r eː ʁ e l
reemantel	ʀ eː m ɑ n t ə l
reemäntel	ʀ eː m æ n t ə l
reen	ʀ eː n
reendrëps	ʀ eː n d ʀ ə p s
rees	ʀ eː s
reeschauer	ʀ eː ʃ ɑ ʊ̯ ɐ
reewaasser	r eː v aː s e r
reewierm	ʀ eː v iː ə̯ m
reewollek	ʀ eː v o l e k
reewuerm	ʀ eː v uː ə̯ m
rei	ʀ ɑ ɪ̯
reider	ʀ ɑ ɪ̯ d ɐ
rekolt	ʀ e k o l t
rendéier	ʀ æ n d ɜ ɪ̯ ɐ
revolutioun	ʀ e v o l u s j ə ʊ̯ n
rhäin	r æ i̯ n
ribb	ʀ i p
ridd	ʀ i t
rido	ʀ iː d oː
ried	ʀ i ə t
riedelen	ʀ i ə̯ d ə l ə n
riedner	ʀ i ə d n ɐ
riednerin	ʀ i ə d n ə ʀ i n
rief	ʀ i ə f
riichter	ʀ iː χ t e ʀ
rill	ʀ i l
rimm	ʀ i m
ris	ʀ iː s
riselen	ʀ iː z ə l ə n
rock	ʀ o k
roff	ʀ o f
roll	ʀ o l
rollschong	ʀ o l ʃ o ŋ
rong	ʀ o ŋ
ronn	ʀ o n
ros	ʀ oː s
roserei	ʀ oː z ə ʀ ɑ ɪ̯
rot	ʀ oː t
rou	ʀ ə ʊ
roum	ʀ ə ʊ m
rous	ʀ ə ʊ̯ s
rousekranz	ʀ ə ʊ̯ z ə k ʀ ɑ n t͡s
rousemaräin	ʀ ə ʊ̯ z ə m ɑ ʀ æː ɪ̯ n
rousenueleg	ʀ ə ʊ̯ z ə n u ə̯ l ə ɕ
routa	r e u̯ t aː
routbrëschtchen	ʀ ə ʊ̯ d b ʀ ə ʃ t ɕ ə n
routdréischel	ʀ ə ʊ̯ d d ʀ ɜ ɪ̯ ʃ ə l
routfieder	ʀ ə ʊ̯ t f i ə̯ d ɐ
routschwanz	ʀ ə ʊ̯ t ʃ w ɑ n t͡s
rubbel	ʀ u b ə l
rudder	ʀ u d ɐ
ruff	ʀ u f
rugby	ʀ ɑ ɡ b iː
rull	ʀ u l
rumeur	r y m øː r
rumeuren	r y m øː r e n
rumm	ʀ u m
russ	ʁ u s
rutt	ʀ u t
räer	ʀ ɛː ə
räich	ʀ æː ɪ̯ ɕ
räif	ʀ æː ɪ̯ f
réck	r e k
réckstrank	ʀ e k ʃ t ʀ ɑ ŋ k
réi	r e i̯
réidchen	ʀ ɛ ɪ̯ t ɕ ə n
réiden	ʀ ɜ ɪ̯ d ə n
réimech	ʀ ɜ ɪ̯ m ə ɕ
réng	ʀ e ŋ
réngglott	ʀ e ŋ ɡ l o t
rëmeleng	ʀ e m e l e ŋ
rëndfleesch	ʀ ə n t f l eː ʃ
rëndvéi	ʀ ə n t f ɜ ɪ̯
rëpp	r e p
rëppen	r e p e n
rëpper	r e p e r
rëtsch	ʀ ə t ʃ
saach	z aː χ
saaft	z aː f t
saier	z ɑ ɪ̯ ɐ
sail	z a i̯ l
sak	z aː k
sakgaass	z aː ɡ ɡ aː s
salami	s ɑ l aː m i
salem	z aː l ə m
sall	z ɑ l
sallef	z ɑ l ə f
salut	s ɑ l yː
salz	z ɑ l t͡s
sam	z aː m
samett	z ɑ m æ t
samschdeg	z ɑ m ʃ d e χ
sand	z ɑ n t
sandal	s ɑ n d aː l
sau	z æː ʊ̯
sauer	z ɑ ʊ̯ ɐ
sauerampel	z ɑ ʊ̯ ɐ ɑ m p ə l
sauermous	z ɑ ʊ̯ ɐ m ə ʊ̯ s
sauerstoff	z ɑ ʊ̯ ɐ ʃ t o f
saumon	s oː m õː
saz	z aː t s
schach	ʃ ɑ χ
schachfigur	ʃ ɑ χ f i ɡ u ə̯
schaf	ʃ aː f
schaffner	ʃ ɑ f n ɐ
schal	ʃ aː l
schall	ʃ ɑ l
schallott	ʃ ɑ l o t
schan	ʃ aː n
schank	ʃ ɑ ŋ k
schantjen	ʃ ɑ n t χ e n
scharlach	ʃ ɑ ʀ l ɑ χ
schauer	ʃ ɑ ʊ̯ ɐ
schaum	ʃ æː ʊ̯ m
scheed	ʃ eː t
scheedenagank	ʃ eː d ə n ɑ ɡ ɑ ŋ k
scheedung	ʃ eː d u ŋ
scheek	ʃ eː k
scheekefruucht	ʃ eː k ə f ʀ uː χ t
scheet	ʃ eː t
scheif	ʃ a i̯ f
schell	ʃ æ l
schenkel	ʃ æ ŋ k ə l
schiertech	ʃ iː ʀ t e χ
schifer	ʃ iː f e r
schimt	ʃ i m t
schimtlëps	ʃ i m d l ə p s
schinn	ʃ i n
schlaang	ʃ l aː ŋ
schlag	ʃ l aː χ
schlak	ʃ l aː k
schlaken	ʃ l aː k ə n
schlamm	ʃ l ɑ m
schlapp	ʃ l ɑ p
schlass	ʃ l a s
schlei	ʃ l ɑ ɪ̯
schleider	ʃ l ɑ ɪ d ɐ
schlitt	ʃ l i t
schlo	ʃ l oː
schlof	ʃ l oː f
schloff	ʃ l o f
schluecht	ʃ l u ə ɕ t
schluechtfeld	ʃ l u ə̯ ɕ t f æ l t
schluechthaus	ʃ l u ə̯ ɕ t h æː ʊ̯ s
schluet	ʃ l u ə̯ t
schluss	ʃ l u s
schläich	ʃ l æː ɪ̯ ɕ
