ཀ	* k a
བདེ་ཐང	* b d e tʰ a ŋ
བདེ་བ	* b d e b a
བདེ་འབྱུང	* b d eᵐ bʲ u ŋ
བདེ་ལེགས	* b d e l e k s
བདེ་སྐྱིད	* b d e s kʲ i t
བདེན	* b d e n
བདེན་པ	* b d e n p a
བབས་ཆུ	* b a p s t͡ɕʰ u
བཙན་པོ	* p t͡s a n p o
བཙལ	* p t͡s a l
བཙོང	* p t͡s o ŋ
བཙོད	* p t͡s o t
བཙོན་པ	* p t͡s o n p a
བཞག	* b ʑ a k
བཞད	* b ʑ a t
བཞི	* b ʑ i
བཞི་པ	* b ʑ i p a
བཞི་བཅུ	* b ʑ i p t͡ɕ u
བཞིན	* b ʑ i n
བཟང	* b z a ŋ
བཟང་ངན	* b z a ŋ ŋ a n
བཟང་ཞན	* b z a ŋ ʑ a n
བཟོ	* b z o
བཟོ་གྲྭ	* b z o g rʷ a
བཟོ་པ	* b z o p a
བཟླས་བརྗོད	* b z l a s b r d͡ʑ o t
བར་དོ	* b a r d o
བརྒྱ	* b r ɡʲ a
བརྒྱད	* b r ɡʲ a t
བརྒྱད་ཅུ	* b r ɡʲ a t t͡ɕ u
བརྒྱད་པ	* b r ɡʲ a t p a
བརྒྱུད	* b r ɡʲ u t
བརྗེད	* b r d͡ʑ e t
བརྗེད་བྱང	* b r d͡ʑ e t bʲ a ŋ
བརྙན	* b r ȵ a n
བརྙན་ཐུང	ȵ ɛ̃ ˥˥ tʰ u ŋ ˥˥
བརྙན་འཕྲིན	ȵ ɛ̃ ˥˥ ʈ͡ʂʰ ĩ ˥˥
བརྡ	* b r d a
བརྡ་རྙིང	* b r d a r ȵ i ŋ
བརྡ་སྤྲོད་ཀྱི་གཞུང	* b r d a s p r o t kʲ i g ʑ u ŋ
བརྩེ	* p r t͡s e
བརྩོན་འགྲུས	* p r t͡s o nᵑ ɡ r u s
བརླ་ཤ	* b r l a ɕ a
བལ	* b a l
བལྟ	* p l t a
བལྟས	* p l t a s
བཤད	* p ɕ a t
བསམ་བློ	* p s a m b l o
བསམ་བློ་ཀུན་སྤྱོད	* p s a m b l o k u n s pʲ o t
བསམ་ཚུལ	* p s a m t͡sʰ u l
བསམས	* p s a m s
བསེ	* p s e
བསོད་ནམས	* p s o t n a m s
བསོད་ནམས་དཔལ་འཛོམས	* p s o t n a m s t p a lⁿ d͡z o m s
བསྐུལ་བ	* p s k u l b a
བསྟན	* p s t a n
བསྟན་པ	* p s t a n p a
བསྟན་འཛིན	* p s t a nⁿ d͡z i n
བསྟན་སྐྱོང	* p s t a n s kʲ o ŋ
བསྡུ	* b z d u
བསྣན་ཚིག	n ɛ̃ ˥˥ t͡sʰ i ˥˨
བུ	* b u
བུ་མོ	* b u m o
བུ་རམ	* b u r a m
བུད་དྷ	* b u t t h a
བུད་མེད	* b u t m e t
བུམ་པ	* b u m p a
བོང་ང	* b o ŋ ŋ a
བོང་ང་དཀར་པོ	* b o ŋ ŋ a t k a r p o
བོང་ང་སེར་པོ	* b o ŋ ŋ a s e r p o
བོད	* b o t
བོད་ཇ	* b o t d͡ʑ a
བོད་པ	* b o t p a
བོད་བརྒྱུད་ནང་བསྟན	* b o t b r ɡʲ u t n a ŋ p s t a n
བོད་ཚེས	* b o t t͡sʰ e s
བོད་ཡིག	* b o t j i k
བོད་རང་སྐྱོང་ལྗོངས	* b o t r a ŋ s kʲ o ŋ l d͡ʑ o ŋ s
བོད་རིགས	* b o t r i k s
བོད་ལྗོངས	* b o t l d͡ʑ o ŋ s
བོད་སྐད	* b o t s k a t
བོན	* b o n
བོན་པོ	* b o n p o
བྱ	* bʲ a
བྱ་གཏོར	* bʲ a k t o r
བྱ་ཚིག	* bʲ a t͡sʰ i k
བྱ་རྒོད	* bʲ a r ɡ o t
བྱང	* bʲ a ŋ
བྱང་ཆུབ	* bʲ a ŋ t͡ɕʰ u p
བྱང་ཐང	* bʲ a ŋ tʰ a ŋ
བྱང་བུ	* bʲ a ŋ b u
བྱམས་པ	* bʲ a m s p a
བྱམས་བརྩེ	* bʲ a m s p r t͡s e
བྱི་བ	* bʲ i b a
བྱི་རིལ	* bʲ i r i l
བྱི་རུག	* bʲ i r u k
བྱི་རུག་པ	* bʲ i r u k p a
བྱེ	* bʲ e
བྱེ་ཐང	* bʲ e tʰ a ŋ
བྱེ་བ	* bʲ e b a
བྱེ་མ	* bʲ e m a
བྱེད	* bʲ e t
བྲ་བོ	* b r a b o
བྲག	* b r a k
བྲང	* b r a ŋ
བྲང་ཁ	* b r a ŋ kʰ a
བྲང་ཁོག	* b r a ŋ kʰ o k
བྲན	* b r a n
བྲན་གཡོག	* b r a n ɡ j o k
བྲིས	* b r i s
བླ	* b l a
བླ་གཡུ	* b l a ɡ j u
བླ་མ	* b l a m a
བླ་རི	* b l a r i
བློ	* b l o
བློ་ཁོག	* b l o kʰ o k
བློ་གྲོས	* b l o ɡ r o s
བློ་བཟང	* b l o b z a ŋ
བློ་མཐུན	* b l o m tʰ u n
མ	* m a
མ་བྱན	* m a bʲ a n
མ་འོངས་པ	* m a ɣ o ŋ s p a
མཁན་དཀར	* m kʰ a n t k a r
མཁན་དམར	* m kʰ a n d m a r
མཁན་ནག	* m kʰ a n n a k
མཁན་པ	* m kʰ a n p a
མཁན་པོ	* m kʰ a n p o
མཁན་སྐྱ	* m kʰ a n s kʲ a
མཁའ	* m kʰ a
མཁའ་དབྱིངས	* m kʰ a d bʲ i ŋ s
མཁར	* m kʰ a r
མཁས་གྲུབ	* m kʰ a s ɡ r u p
མཁོ	* m kʰ o
མཁོ་བ	* m kʰ o b a
མཁྱེན	* m kʰʲ e n
མཁྱེན་པ	* m kʰʲ e n p a
མཁྲིས་ཁུ	* m kʰ r i s kʰ u
མཁྲིས་པ	* m kʰ r i s p a
མག་པ	* m a k p a
མགུར་མ	* m ɡ u r m a
མགུལ	* m ɡ u l
མགོ	* m ɡ o
མགྲིན་པ	* m ɡ r i n p a
མགྲོན་ཁང	* m ɡ r o n kʰ a ŋ
མང་པོ	* m a ŋ p o
མངའ་ཐང	* m ŋ a tʰ a ŋ
མངའ་འབངས	* m ŋ a ɣᵐ b a ŋ s
མངའ་རིས	* m ŋ a r i s
མངར་མོ	* m ŋ a r m o
མངོན་བརྗོད	* m ŋ o n b r d͡ʑ o t
མངོན་བརྗོད་མཛོད	* m ŋ o n b r d͡ʑ o t m d͡z o t
མཆུ	* m t͡ɕʰ u
མཆོད	* m t͡ɕʰ o t
མཆོད་རྟེན	* m t͡ɕʰ o t r t e n
མཇུག	* m d͡ʑ u k
མཇུག་བསྡོམས	* m d͡ʑ u k b z d o m s
མཇུག་མ	* m d͡ʑ u k m a
མཇུག་སྒྲིལ	* m d͡ʑ u k z ɡ r i l
མཉམ་དུ	* m ȵ a m d u
མཉམ་འབྲེལ་རྒྱལ་ཚོགས	ȵ a m ˥˥ ʈ͡ʂ eː ˥˥ c ɛː ˩˨ t͡sʰ o ˥˨
མཐའ	* m tʰ a
མཐའ་མ	* m tʰ a m a
མཐའ་མཇུག	* m tʰ a m d͡ʑ u k
མཐེ་པོ	* m tʰ e p o
མཐེ་བོ	* m tʰ e b o
མཐེ་བོང	* m tʰ e b o ŋ
མཐེབ	* m tʰ e p
མཐེབ་གཞོང	tʰ e p̚ ˥˥ ɕ o ŋˑ
མཐོང	* m tʰ o ŋ
མདའ	* m d a
མདུང	* m d u ŋ
མདུང་དར	* m d u ŋ d a r
མདུན	* m d u n
མདེའུ	t i u ˩˨
མདོང་མོ	* m d o ŋ m o
མནའ་མ	* m n a m a
མཚན	* m t͡sʰ a n
མཚམས	* m t͡sʰ a m s
མཚམས་པ	* m t͡sʰ a m s p a
མཚམས་འདྲི	* m t͡sʰ a m sⁿ d r i
མཚར་གཟུགས་ལྟ་ཤེལ	* m t͡sʰ a r g z u k s l t a ɕ e l
མཚུན	* m t͡sʰ u n
མཚོ	* m t͡sʰ o
མཚོ་གླིང	* m t͡sʰ o g l i ŋ
མཛེས	* m d͡z e s
མཛེས་པོ	* m d͡z e s p o
མཛེས་ལྗོངས	* m d͡z e s l d͡ʑ o ŋ s
མཛེས་ལྗོངས་ཁུལ	* m d͡z e s l d͡ʑ o ŋ s kʰ u l
མཛེས་ལྗོངས་སྲུང་ཁུལ	* m d͡z e s l d͡ʑ o ŋ s s r u ŋ kʰ u l
མཛོ	* m d͡z o
མཛོ་ཕོ	* m d͡z o pʰ o
མཛོ་མོ	* m d͡z o m o
མར	* m a r
མར་གད	* m a r ɡ a t
མི	* m i
མི་གཤིས	* m i k ɕ i s
མི་དམངས	* m i d m a ŋ s
མི་ཚང	* m i t͡sʰ a ŋ
མི་རིགས	* m i r i k s
མི་རྟག་པ	* m i r t a k p a
མིག	* m i k
མིག་ཆུ	* m i k t͡ɕʰ u
མིག་དམར	* m i k d m a r
མིག་འབྲས	* m i kᵐ b r a s
མིག་ཤེལ	* m i k ɕ e l
མིང	* m i ŋ
མིང་ཚབ	* m i ŋ t͡sʰ a p
མིང་ཚིག	* m i ŋ t͡sʰ i k
མིད་པ	* m i t p a
མིན	* m i n
མུ་མེན	* m u m e n
མུ་སྟེགས་པ	* m u s t e k s p a
མུན་པ	* m u n p a
མེ	* m e
མེ་ཏོག	* m e t o k
མེ་མདའ	* m e m d a
མེ་འཁོར	m e ˩˨ kʰ oː ˥˥
མེ་ལོང	* m e l o ŋ
མེད	* m e t
མོ	* m o
མོ་ཊ	m o ˩˨ ʈ͡ʂ a ˥˨
མོག་མོག	m o ˩˨ m o ˥˨
མོས་པ	* m o s p a
མྱུ་གུ་འབུས་པ	* mʲ u ɡ uᵐ b u s p a
མྱོང	* mʲ o ŋ
ཙ	* t͡s a
ཙི་ཙི	* t͡s i t͡s i
ཙུང་ཐུང	t͡s u ŋ ˥˥ tʰ u ŋ ˥˥
ཙུང་ལི	t͡s u ŋ ˥˥ l i ˥˨
ཙོང	* t͡s o ŋ
ཚ	* t͡sʰ a
ཚ་པོ	* t͡sʰ a p o
ཚ་བོ	* t͡sʰ a b o
ཚ་ལུ་མ	* t͡sʰ a l u m a
ཚག་པར	* t͡sʰ a k p a r
ཚགས	* t͡sʰ a k s
ཚང	* t͡sʰ a ŋ
ཚན་རིག	t͡sʰ ɛ̃ ˥˥ ʐ i ˥˨
ཚན་རིག་པ	t͡sʰ ɛ̃ ˥˥ ʐ i ˥˨ p aˑ
ཚབ་རྩིས	* t͡sʰ a p r t͡s i s
ཚལ་མ	* t͡sʰ a l m a
ཚིག	* t͡sʰ i k
ཚིག་གཞུང	* t͡sʰ i k g ʑ u ŋ
ཚིག་ཐོ	* t͡sʰ i k tʰ o
ཚིག་མཛོད	* t͡sʰ i k m d͡z o t
ཚིགས	* t͡sʰ i k s
ཚིལ	* t͡sʰ i l
ཚིལ་བུ	* t͡sʰ i l b u
ཚིལ་ལུ	* t͡sʰ i l l u
ཚུལ་ཁྲིམས	* t͡sʰ u l kʰ r i m s
ཚེ་བརྟན	* t͡sʰ e p r t a n
ཚེ་རིང	* t͡sʰ e r i ŋ
ཚེ་སྲོག	* t͡sʰ e s r o k
ཚེག	* t͡sʰ e k
ཚེས	* t͡sʰ e s
ཚེས་ཁ	* t͡sʰ e s kʰ a
ཚེས་གཅིག	* t͡sʰ e s k t͡ɕ i k
ཚེས་གཉིས	* t͡sʰ e s g ȵ i s
ཚེས་གསུམ	* t͡sʰ e s k s u m
ཚེས་དྲུག	* t͡sʰ e s d r u k
ཚེས་པ	* t͡sʰ e s p a
ཚེས་བཅུ	* t͡sʰ e s p t͡ɕ u
ཚེས་བརྒྱད	* t͡sʰ e s b r ɡʲ a t
ཚོགས་ཞིང	* t͡sʰ o k s ʑ i ŋ
ཚོགས་སྡེ	* t͡sʰ o k s z d e
ཚོང	* t͡sʰ o ŋ
ཚོང་པ	* t͡sʰ o ŋ p a
ཚྭ	* t͡sʰʷ a
ཛ	* d͡z a
ཛ་ཏི	* d͡z a t i
ཝ	* w a
ཝ་མོ	* w a m o
ཞ	* ʑ a
ཞ་སྨྱུག	* ʑ a z mʲ u k
ཞག	* ʑ a k
ཞང	* ʑ a ŋ
ཞང་པོ	* ʑ a ŋ p o
ཞང་པོའི	ɕ a ŋ ˩˨ p øːˑ
ཞབས	* ʑ a p s
ཞབས་ཀྱུ	* ʑ a p s kʲ u
ཞབས་བྲོ	* ʑ a p s b r o
ཞལ	* ʑ a l
ཞི་བདེ	* ʑ i b d e
ཞི་ཧུང་ཧྲི	ɕ i ˥˥ h u ŋˑ ʂ iˑ
ཞིང	* ʑ i ŋ
ཞིང་ཆེན	* ʑ i ŋ t͡ɕʰ e n
ཞེ་དྲག	* ʑ e d r a k
ཞེ་ས	* ʑ e s a
ཞོ	* ʑ o
ཞོ་ཤ	* ʑ o ɕ a
ཞོགས	* ʑ o k s
ཞོགས་ཇ	* ʑ o k s d͡ʑ a
ཞོགས་པ	* ʑ o k s p a
ཟ	* z a
ཟ་ཁང	* z a kʰ a ŋ
ཟངས	* z a ŋ s
ཟན	* z a n
ཟབ་པོ	* z a p p o
ཟས	* z a s
ཟིང་སྐྱ	* z i ŋ s kʲ a
ཟིལ་བ	* z i l b a
ཟུམ	* z u m
ཟླ	* z l a
ཟླ་བ	* z l a b a
ཟླ་བོ	* z l a b o
འ	* ɣ a
འཁོར	*ᵑ kʰ o r
འཁོར་ལོ	*ᵑ kʰ o r l o
འཁྱག	*ᵑ kʰʲ a k
འཁྱགས	*ᵑ kʰʲ a k s
འཁྱགས་ཀླུང	*ᵑ kʰʲ a k s k l u ŋ
འཁྱགས་སྒམ	cʰ a ˥˥ k a mˑ
འཁྲིད	*ᵑ kʰ r i t
འཁྲིད་སྟོན	*ᵑ kʰ r i t s t o n
འཁྲུངས་སྐར	*ᵑ kʰ r u ŋ s s k a r
འཁྲུད	*ᵑ kʰ r u t
འཁྲོལ	*ᵑ kʰ r o l
འག་ཚོམ	* ɣ a k t͡sʰ o m
འགས་པ	*ᵑ ɡ a s p a
འགོག	*ᵑ ɡ o k
འགོང	*ᵑ ɡ o ŋ
འགོང་པོ	*ᵑ ɡ o ŋ p o
འགོད	*ᵑ ɡ o t
འགྱུར་མེད	*ᵑ ɡʲ u r m e t
འགྱོད་པ	*ᵑ ɡʲ o t p a
འགྱོད་བཅོས	*ᵑ ɡʲ o t p t͡ɕ o s
འགྱོད་བཤགས	*ᵑ ɡʲ o t p ɕ a k s
འགྲམ་པ	*ᵑ ɡ r a m p a
འགྲིམ་འགྲུལ	*ᵑ ɡ r i mᵑ ɡ r u l
འགྲུབ	*ᵑ ɡ r u p
འགྲེང་པོ	*ᵑ ɡ r e ŋ p o
འགྲེང་བུ	*ᵑ ɡ r e ŋ b u
འགྲོ	*ᵑ ɡ r o
འགྲོ་བ	*ᵑ ɡ r o b a
འཆད	*ⁿ t͡ɕʰ a t
འཆར་གཞི	*ⁿ t͡ɕʰ a r g ʑ i
འཆི	*ⁿ t͡ɕʰ i
འཆིང་ཡིག	t͡ɕ i ŋ ˥˥ j i k̚ˀ ˥˨
འཆུ	*ⁿ t͡ɕʰ u
འཇག་མ	*ⁿ d͡ʑ a k m a
འཇའ	*ⁿ d͡ʑ a
འཇིག	*ⁿ d͡ʑ i k
འཇིགས་མེད	*ⁿ d͡ʑ i k s m e t
འཇིབ	*ⁿ d͡ʑ i p
འཐག	*ⁿ tʰ a k
འཐུང	*ⁿ tʰ u ŋ
འཐུམ	*ⁿ tʰ u m
འདབ་མ	*ⁿ d a p m a
འདས་པ	*ⁿ d a s p a
འདི	*ⁿ d i
འདིང	*ⁿ d i ŋ
འདུ	*ⁿ d u
འདུན་པ	*ⁿ d u n p a
འདེབས	*ⁿ d e p s
འདོད་པ	*ⁿ d o t p a
འདོད་པ་བ	*ⁿ d o t p a b a
འདོན	*ⁿ d o n
འདྲ་གཟུགས	*ⁿ d r a g z u k s
འདྲེ	*ⁿ d r e
འདྲེ་དམག	*ⁿ d r e d m a k
འདྲེ་ཤིག	*ⁿ d r e ɕ i k
འདྲེས	*ⁿ d r e s
འཕུར	*ᵐ pʰ u r
འབབ	*ᵐ b a p
འབབ་ཚུགས	*ᵐ b a p t͡sʰ u k s
འབའ	*ᵐ b a
འབུ	*ᵐ b u
འབུམ	*ᵐ b u m
འབྱང	*ᵐ bʲ a ŋ
འབྱར	*ᵐ bʲ a r
འབྱུང་ཁམས	*ᵐ bʲ u ŋ kʰ a m s
འབྱུང་ཁུངས	*ᵐ bʲ u ŋ kʰ u ŋ s
འབྱེ	*ᵐ bʲ e
འབྱེད	*ᵐ bʲ e t
འབྱོར	*ᵐ bʲ o r
འབྲ་གོ	*ᵐ b r a ɡ o
འབྲས	*ᵐ b r a s
འབྲས་བུ	*ᵐ b r a s b u
འབྲས་མོ་ལྗོངས	*ᵐ b r a s m o l d͡ʑ o ŋ s
འབྲས་ལྗོངས	*ᵐ b r a s l d͡ʑ o ŋ s
འབྲས་ལྗོངས་སྐད	*ᵐ b r a s l d͡ʑ o ŋ s s k a t
འབྲི	*ᵐ b r i
འབྲི་ཆུ	*ᵐ b r i t͡ɕʰ u
འབྲུ	*ᵐ b r u
འབྲུ་མར	*ᵐ b r u m a r
འབྲུག	*ᵐ b r u k
འབྲུག་གྲགས	*ᵐ b r u k ɡ r a k s
འབྲུག་པ	*ᵐ b r u k p a
འབྲུག་མོ	*ᵐ b r u k m o
འབྲུག་ཚགས	ʈ͡ʂ u ˩˨ t͡sʰ a k̚ˀˑ
འབྲུག་ཡུལ	*ᵐ b r u k j u l
འབྲུག་སྐད	*ᵐ b r u k s k a t
འབྲུག་སྐད་རྒྱག	*ᵐ b r u k s k a t r ɡʲ a k
འབྲུལ	*ᵐ b r u l
འབྲོག་པ	*ᵐ b r o k p a
འབྲོང	*ᵐ b r o ŋ
འཚོ་བ	*ⁿ t͡sʰ o b a
འཛམ་གླིང	*ⁿ d͡z a m g l i ŋ
འཛིན	*ⁿ d͡z i n
འཛུད	*ⁿ d͡z u t
འཛུམ	*ⁿ d͡z u m
འཛུམས	*ⁿ d͡z u m s
འི	* ɣ i
འུ	* ɣ u
འུ་ལག	* ɣ u l a k
འུ་སུ	* ɣ u s u
འུག་པ	* ɣ u k p a
འོ་ཇ	* ɣ o d͡ʑ a
འོ་ན	* ɣ o n a
འོ་མ	* ɣ o m a
འོ་སེ	* ɣ o s e
འོག་མ	* ɣ o k m a
འོང	* ɣ o ŋ
འོང་སྐོར	* ɣ o ŋ s k o r
འོངས	* ɣ o ŋ s
འོད	* ɣ o t
འོད་ལྡན	* ɣ o t l d a n
འོད་སྡེར	* ɣ o t z d e r
ཡ	* j a
ཡག་པོ	* j a k p o
ཡང	* j a ŋ
ཡབ	* j a p
ཡར་ཀླུངས་གཙང་པོ	* j a r k l u ŋ s k t͡s a ŋ p o
ཡར་རྒྱས	* j a r r ɡʲ a s
ཡི་གེ	* j i ɡ e
ཡི་དམ	* j i d a m
ཡི་དྭགས	* j i dʷ a k s
ཡི་ཙི	* j i t͡s i
ཡིག་བརྙན	* j i k b r ȵ a n
ཡིག་ཚང	* j i k t͡sʰ a ŋ
ཡིག་ཚིགས	* j i k t͡sʰ i k s
ཡིག་ཚིགས་ཐེར་འབུམ	* j i k t͡sʰ i k s tʰ e rᵐ b u m
ཡིག་ཚིགས་ས་ཡ	* j i k t͡sʰ i k s s a j a
ཡིག་ཚིགས་སྟོང	* j i k t͡sʰ i k s s t o ŋ
ཡིག་འབྲུ	* j i kᵐ b r u
ཡིག་རིགས	* j i k r i k s
ཡིག་སྐད	* j i k s k a t
ཡིད་བཞིན་ནོར་བུ	* j i t b ʑ i n n o r b u
ཡིན	* j i n
ཡུང་བ	* j u ŋ b a
ཡུངས་དཀར	* j u ŋ s t k a r
ཡུངས་ནག	* j u ŋ s n a k
ཡུན་ནན་ཞིང་ཆེན	* j u n n a n ʑ i ŋ t͡ɕʰ e n
ཡུལ	* j u l
ཡུལ་གོར་སྐད	* j u l ɡ o r s k a t
ཡུལ་ཏོ་པི་ཡ	* j u l t o p i j a
ཡུལ་སྐད	* j u l s k a t
ཡེ་ཤེས	* j e ɕ e s
ཡོང	* j o ŋ
ཡོད	* j o t
ར	* r a
རག	* r a k
རག་ལས	* r a k l a s
རང	* r a ŋ
རང་དབང	* r a ŋ d b a ŋ
རང་བྱུང	* r a ŋ bʲ u ŋ
རང་བྱུང་ཁམས	* r a ŋ bʲ u ŋ kʰ a m s
རང་རྟོགས	* r a ŋ r t o k s
རང་སྐྱོང	* r a ŋ s kʲ o ŋ
རང་སྐྱོང་ཁུལ	ʐ a ŋ ˩˨ c o ŋˑ kʰ yː ˥˥
རང་སྐྱོང་ལྗོངས	* r a ŋ s kʲ o ŋ l d͡ʑ o ŋ s
རབ་གནས	* r a p g n a s
རབ་བཀྲམ	* r a p b k r a m
རབ་བཀྲམ་ཆེན་པོ	* r a p b k r a m t͡ɕʰ e n p o
རབས	* r a p s
རམས	* r a m s
རལ་གྲི	* r a l ɡ r i
རི	* r i
རི་བོ	* r i b o
རི་མོ	* r i m o
རི་རྒྱུད	* r i r ɡʲ u t
རི་ལི	ʐ i ˩˨ l i ˥˥
རིག་གནས	* r i k g n a s
རིག་པ	* r i k p a
རིགས	* r i k s
རིགས་རྒྱུད	* r i k s r ɡʲ u t
རིང་བསྲེལ	* r i ŋ b s r e l
རིང་ལུགས	* r i ŋ l u k s
རིན་ཆེན	* r i n t͡ɕʰ e n
རིན་ཐང	* r i n tʰ a ŋ
རིན་པོ་ཆེ	* r i n p o t͡ɕʰ e
རིམས་ནད	ʐ i m ˩˧˨ n ɛː ˥˨
རིས	* r i s
རུ	* r u
རེ	* r e
རེ་བ	* r e b a
རེད	* r e t
རེས་གཟའ	* r e s g z a
རོ	* r o
རོ་སྒམ	* r o z ɡ a m
རོལ	* r o l
རོལ་གཞས	* r o l g ʑ a s
རོལ་ཆ	* r o l t͡ɕʰ a
རོལ་མོ	* r o l m o
རྐང	* r k a ŋ
རྐང་པ	* r k a ŋ p a
རྐང་བ	* r k a ŋ b a
རྐང་ཚིགས	* r k a ŋ t͡sʰ i k s
རྐང་འཁོར	k a ŋ ˥˥ kʰ oːˑ
རྐང་རྩེད་སྤོ་ལོ	* r k a ŋ r t͡s e t s p o l o
རྐུ	* r k u
རྐུན་མ	* r k u n m a
རྐྱང	* r kʲ a ŋ
རྐྱལ་རྒྱག	* r kʲ a l r ɡʲ a k
རྒ	* r ɡ a
རྒན	* r ɡ a n
རྒན་པོ	* r ɡ a n p o
རྒལ	* r ɡ a l
རྒུན	* r ɡ u n
རྒུན་ཆང	* r ɡ u n t͡ɕʰ a ŋ
རྒུན་འབྲུམ	* r ɡ u nᵐ b r u m
རྒོད	* r ɡ o t
རྒྱ	* r ɡʲ a
རྒྱ་གར	* r ɡʲ a ɡ a r
རྒྱ་ནག	* r ɡʲ a n a k
རྒྱ་མཚོ	* r ɡʲ a m t͡sʰ o
རྒྱ་མི	* r ɡʲ a m i
རྒྱ་ཤུག	* r ɡʲ a ɕ u k
རྒྱ་སེར	* r ɡʲ a s e r
རྒྱ་སྐད	* r ɡʲ a s k a t
རྒྱག	* r ɡʲ a k
རྒྱགས་པ	* r ɡʲ a k s p a
རྒྱང་འཕེན་པ	* r ɡʲ a ŋᵐ pʰ e n p a
རྒྱན	* r ɡʲ a n
རྒྱན་ཚིག	* r ɡʲ a n t͡sʰ i k
རྒྱན་སྤྲས	* r ɡʲ a n s p r a s
རྒྱལ	* r ɡʲ a l
རྒྱལ་ཁབ	* r ɡʲ a l kʰ a p
རྒྱལ་གླུ	* r ɡʲ a l g l u
རྒྱལ་པོ	* r ɡʲ a l p o
རྒྱལ་བ	* r ɡʲ a l b a
རྒྱལ་མོ	* r ɡʲ a l m o
རྒྱལ་འབྲེལ	c ɛ̃ ˩˨ ʈ͡ʂ eːˑ
རྒྱལ་རབས	* r ɡʲ a l r a p s
རྒྱལ་རྩེ	* r ɡʲ a l r t͡s e
རྒྱལ་སྲིད	* r ɡʲ a l s r i t
རྒྱུ་དཀར	* r ɡʲ u t k a r
རྒྱུ་ནག	* r ɡʲ u n a k
རྒྱུ་མ	* r ɡʲ u m a
རྒྱུ་མཚན	* r ɡʲ u m t͡sʰ a n
རྒྱུད	* r ɡʲ u t
རྒྱུད་སྐུད	* r ɡʲ u t s k u t
རྔུལ	* r ŋ u l
རྔུལ་ཆུ	* r ŋ u l t͡ɕʰ u
རྔུལ་ནག	* r ŋ u l n a k
རྗེ	* r d͡ʑ e
རྗེ་བླས	* r d͡ʑ e b l a s
རྗེས་དྲན	* r d͡ʑ e s d r a n
རྗེས་མ	* r d͡ʑ e s m a
རྗེས་འཇུག	* r d͡ʑ e sⁿ d͡ʑ u k
རྗོད	* r d͡ʑ o t
རྙིང	* r ȵ i ŋ
རྙིང་པ	* r ȵ i ŋ p a
རྙེད	* r ȵ e t
རྙོག་སློང	* r ȵ o k z l o ŋ
རྟ	* r t a
རྟགས	* r t a k s
རྟགས་མ	* r t a k s m a
རྟོག	* r t o k
རྡུལ་ཕྲན	* r d u l pʰ r a n
རྡོ	* r d o
རྡོ་རྒྱུས	* r d o r ɡʲ u s
རྡོ་རྗེ	* r d o r d͡ʑ e
རྡོ་རྗེ་ཐེག་པ	* r d o r d͡ʑ e tʰ e k p a
རྣ	* r n a
རྣ་བ	* r n a b a
རྣ་མཆོག	* r n a m t͡ɕʰ o k
རྣ་རྒྱན	* r n a r ɡʲ a n
རྣ་ལོང	* r n a l o ŋ
རྣམ	* r n a m
རྣམ་ཐར	* r n a m tʰ a r
རྣམ་དབྱེ	* r n a m d bʲ e
རྣམ་པ	* r n a m p a
རྣམ་རྒྱལ	* r n a m r ɡʲ a l
རྣམ་ཤེས	* r n a m ɕ e s
རྣམས	* r n a m s
རྣལ་འབྱོར་པ	* r n a lᵐ bʲ o r p a
རྣལ་འབྱོར་མ	* r n a lᵐ bʲ o r m a
རྨ་ཁ	* r m a kʰ a
རྨ་བྱ	m a p̚ ˥˥ t͡ɕ a ˥˥
རྨང	* r m a ŋ
རྨོ་མོ	* r m o m o
རྨོག	* r m o k
རྩ	* r t͡s a
རྩ་བ	* r t͡s a b a
རྩ་བའི་བླ་མ	t͡s a ˥˥ w ɛːˑ l a ˥˥ m a ˥˥
རྩམ་པ	* r t͡s a m p a
རྩི	* r t͡s i
རྩི་ཤིང	* r t͡s i ɕ i ŋ
རྩི་ཤིང་རིག་པ	* r t͡s i ɕ i ŋ r i k p a
རྩིག	* r t͡s i k
རྩིག་པ	* r t͡s i k p a
རྩེ	* r t͡s e
རྩེད	* r t͡s e t
རྩེད་མོ	* r t͡s e t m o
རྩོམ	* r t͡s o m
རྩོམ་པ་པོ	* r t͡s o m p a p o
རྩོམ་མཁན	* r t͡s o m m kʰ a n
རྩྭ	* r t͡sʷ a
རྫ	* r d͡z a
རྫ་ཆུ	* r d͡z a t͡ɕʰ u
རྫ་རྡོ	* r d͡z a r d o
རྫས	* r d͡z a s
རྫོགས་ཆེན	* r d͡z o k s t͡ɕʰ e n
རྫོང	* r d͡z o ŋ
རྭ	* rʷ a
རླངས	* r l a ŋ s
རླབས	* r l a p s
རླབས་ཆེན	* r l a p s t͡ɕʰ e n
རླུང	* r l u ŋ
རླུང་གཡབ	* r l u ŋ ɡ j a p
རླུང་རྟ	* r l u ŋ r t a
ལ	* l a
ལ་དྭགས	* l a dʷ a k s
ལ་ཕུག	* l a pʰ u k
ལག་པ	* l a k p a
ལགས	* l a k s
ལང	* l a ŋ
ལན	* l a n
ལན་རྒྱག	* l a n r ɡʲ a k
ལམ	* l a m
ལམ་ཀ	* l a m k a
ལམ་ཐག	* l a m tʰ a k
ལས་འཆར	* l a sⁿ t͡ɕʰ a r
ལི	* l i
ལི་ཙི	* l i t͡s i
