-al	a l
infiltrovat	ɪ n f ɪ l t r o v a t
infinitiv	ɪ n f ɪ n ɪ t ɪ f
inflace	ʔ ɪ n f l a t͡s ɛ
infopanel	ɪ n f o p a n ɛ l
infopanele	ɪ n f o p a n ɛ l ɛ
infopanelech	ɪ n f o p a n ɛ l ɛ x
infopanelem	ɪ n f o p a n ɛ l ɛ m
infopanelu	ɪ n f o p a n ɛ l u
infopanely	ɪ n f o p a n ɛ l ɪ
infopanelů	ɪ n f o p a n ɛ l uː
infopanelům	ɪ n f o p a n ɛ l uː m
informace	ɪ n f o r m a t͡s ɛ
informaci	ɪ n f o r m a t͡s ɪ
informací	ɪ n f o r m a t͡s iː
informatický	ɪ n f o r m a t ɪ t͡s k iː
informatika	ɪ n f o r m a t ɪ k a
informační	ɪ n f o r m a t͡ʃ ɲ iː
informoval	ɪ n f o r m o v a l
informovaný	ɪ n f o r m o v a n iː
informovat	ɪ n f o r m o v a t
informovati	ɪ n f o r m o v a c ɪ
informován	ɪ n f o r m o v aː n
informováno	ɪ n f o r m o v aː n o
informují	ɪ n f o r m u j iː
informátory	ɪ n f o r m aː t o r ɪ
infostánek	ɪ n f o s t aː n ɛ k
infra	ɪ n f r a
infrapanel	ɪ n f r a p a n ɛ l
infrastruktury	ɪ n f r a s t r u k t u r ɪ
infratonzilární	ɪ n f r a t o n z ɪ l aː r ɲ iː
infravytápění	ɪ n f r a v ɪ t aː p j ɛ ɲ iː
infračervený	ɪ n f r a t͡ʃ ɛ r v ɛ n iː
infulovaný	ɪ n f u l o v a n iː
ingolstadtský	ɪ n ɡ o l ʃ t a t t s k iː
ingot	ɪ n ɡ o t
ingredience	ʔ ɪ n ɡ r ɛ d ɪ j ɛ n t͡s ɛ
ingrid	ɪ n ɡ r ɪ t
ingrie	ɪ n ɡ r ɪ j ɛ
ingrosace	ɪ n ɡ r o s a t͡s ɛ
inhalace	ɪ n ɦ a l a t͡s ɛ
inhibice	ɪ n ɦ ɪ b ɪ t͡s ɛ
iniciativa	ɪ n ɪ t͡s ɪ j a t ɪ v a
iniciativní	ʔ ɪ n ɪ t͡s ɪ j a t ɪ v ɲ iː
iniciativy	ɪ n ɪ t͡s ɪ j a t ɪ v ɪ
iniciovat	ɪ n ɪ t͡s ɪ j o v a t
injekce	ɪ n j ɛ k t͡s ɛ
inka	ɪ n k a
inkasovala	ɪ n k a s o v a l a
inkasovat	ɪ n k a s o v a t
inkluzionistce	ʔ ɪ n k l u z ɪ j o n ɪ s t t͡s ɛ
inkluziv	ɪ n k l u z ɪ f
inkontinence	ɪ n k o n t ɪ n ɛ n t͡s ɛ
inkoust	ɪ n k ou̯ s t ɪ n ɡ ou̯ s t
inkrementace	ɪ n k r ɛ m ɛ n t a t͡s ɛ
inkubace	ɪ n k u b a t͡s ɛ
inkubátor	ɪ n k u b aː t o r
inkvizitor	ɪ n k v ɪ z ɪ t o r
inn	ɪ n
inokulum	ɪ n o k u l u m
inovace	ɪ n o v a t͡s ɛ
inovovat	ɪ n o v o v a t
insekticid	ɪ n s ɛ k t ɪ t͡s ɪ t
insolvence	ɪ n s o l v ɛ n t͡s ɛ
insolventní	ɪ n s o l v ɛ n t ɲ iː
insomnie	ɪ n s o m n ɪ ɛ
inspekce	ɪ n s p ɛ k t͡s ɛ
inspekcí	ɪ n s p ɛ k t͡s iː
inspektor	ʔ ɪ n s p ɛ k t o r
inspektory	ʔ ɪ n s p ɛ k t o r ɪ
inspirace	ʔ ɪ n s p ɪ r a t͡s ɛ
inspirovala	ɪ n s p ɪ r o v a l a
inspirován	ɪ n s p ɪ r o v aː n
instagramové	ɪ n s t a ɡ r a m o v ɛː
instagramový	ɪ n s t a ɡ r a m o v iː
instagramových	ɪ n s t a ɡ r a m o v iː x
instalatér	ɪ n s t a l a t ɛː r
instalačku	ʔ ɪ n s t a l a t͡ʃ k u
instalovat	ɪ n s t a l o v a t
instance	ɪ n s t a n t͡s ɛ
instinkt	ʔ ɪ n s t ɪ n k t
instituce	ɪ n s t ɪ t u t͡s ɛ
institucionalizace	ɪ n s t ɪ t u t͡s ɪ j o n a l ɪ z a t͡s ɛ
institucionální	ʔ ɪ n s t ɪ t u t s ɪ o n aː l ɲ iː
institucí	ʔ ɪ n s t ɪ t u t͡s iː
institut	ɪ n s t ɪ t u t
instrument	ɪ n s t r u m ɛ n t
instrumentál	ʔ ɪ n s t r u m ɛ n t aː l
instrumentální	ɪ n s t r u m ɛ n t aː l ɲ iː
intaglie	ɪ n t a l j ɛ
intaktní	ʔ ɪ n t a k t ɲ iː
integrace	ɪ n t ɛ ɡ r a t͡s ɛ
integrita	ɪ n t ɛ ɡ r ɪ t a
integrovaný	ɪ n t ɛ ɡ r o v a n iː
integrál	ɪ n t ɛ ɡ r aː l
integráč	ʔ ɪ n t ɛ ɡ r aː t͡ʃ
intelekt	ɪ n t ɛ l ɛ k t
intelektualizovat	ʔ ɪ n t ɛ l ɛ k t u a l ɪ z o v a t
intelektuální	ɪ n t ɛ l ɛ k t u aː l ɲ iː
inteligence	ɪ n t ɛ l ɪ ɡ ɛ n t͡s ɛ
inteligent	ʔ ɪ n t ɛ l ɪ ɡ ɛ n t
inteligentní	ɪ n t ɛ l ɪ ɡ ɛ n t ɲ iː
intendance	ɪ n t ɛ n d a n t͡s ɛ
intensitě	ɪ n t ɛ n z ɪ c ɛ
intenzita	ɪ n t ɛ n z ɪ t a
intenzity	ɪ n t ɛ n z ɪ t ɪ
intenzivní	ɪ n t ɛ n z ɪ v ɲ iː
intenzivněji	ɪ n t ɛ n z ɪ v ɲ ɛ j ɪ
intenzívní	ɪ n t ɛ n z iː v ɲ iː
interagovat	ɪ n t ɛ r a ɡ o v a t
interakce	ɪ n t ɛ r a k t͡s ɛ
intercelulární	ɪ n t ɛ r t͡s ɛ l u l aː r ɲ iː
interdisciplinární	ʔ ɪ n t ɛ r d ɪ s t͡s ɪ p l ɪ n aː r ɲ iː
interimní	ɪ n t ɛ r ɪ m ɲ iː
interiéry	ɪ n t ɛ r ɪ j ɛː r ɪ
interjekce	ɪ n t ɛ r j ɛ k t͡s ɛ
interlig	ɪ n t ɛ r l ɪ k
interliga	ɪ n t ɛ r l ɪ ɡ a
interligami	ɪ n t ɛ r l ɪ ɡ a m ɪ
interligo	ɪ n t ɛ r l ɪ ɡ o
interligou	ɪ n t ɛ r l ɪ ɡ ou̯
interligový	ɪ n t ɛ r l ɪ ɡ o v iː
interligu	ɪ n t ɛ r l ɪ ɡ u
interligy	ɪ n t ɛ r l ɪ ɡ ɪ
interligách	ɪ n t ɛ r l ɪ ɡ aː x
interligám	ɪ n t ɛ r l ɪ ɡ aː m
interlingua	ɪ n t ɛ r l ɪ n ɡ u a
interlize	ʔ ɪ n t ɛ r l ɪ z ɛ
intermetalický	ɪ n t ɛ r m ɛ t a l ɪ t͡s k iː
internacionalistický	ʔ ɪ n t ɛ r n a t͡s ɪ j o n a l ɪ s t ɪ t͡s k iː
internet	ɪ n t ɛ r n ɛ t
internetový	ɪ n t ɛ r n ɛ t o v iː
internetových	ɪ n t ɛ r n ɛ t o v iː x
internát	ɪ n t ɛ r n aː t
interpelace	ɪ n t ɛ r p ɛ l a t͡s ɛ
interpret	ɪ n t ɛ r p r ɛ t
interrupce	ɪ n t ɛ r u p t͡s ɛ
interstelární	ɪ n t ɛ r s t ɛ l aː r ɲ iː
interval	ɪ n t ɛ r v a l
intervence	ɪ n t ɛ r v ɛ n t͡s ɛ
intervencionistek	ʔ ɪ n t ɛ r v ɛ n t͡s ɪ j o n ɪ s t t ɛ k
intervenční	ɪ n t ɛ r v ɛ n t͡ʃ ɲ iː
interview	ɪ n t ɛ r v j uː
interviewovat	ɪ n t ɛ r v j uː o v a t ɪ n t ɛ r v j uː v o v a t
interviewovati	ɪ n t ɛ r v j uː o v a c ɪ ɪ n t ɛ r v j uː v o v a c ɪ
intifáda	ɪ n t ɪ f aː d a
intima	ɪ n t ɪ m a
intimidace	ɪ n t ɪ m ɪ d a t͡s ɛ
intimita	ɪ n t ɪ m ɪ t a
intimní	ɪ n t ɪ m ɲ iː
intimních	ɪ n t ɪ m ɲ iː x
intimního	ɪ n t ɪ m ɲ iː ɦ o
intimními	ɪ n t ɪ m ɲ iː m ɪ
intracelulární	ɪ n t r a t͡s ɛ l u l aː r ɲ iː
intrakraniální	ɪ n t r a k r a n ɪ j aː l ɲ iː
intramuskulární	ɪ n t r a m u s k u l aː r ɲ iː
intranet	ɪ n t r a n ɛ t
intranzitivní	ɪ n t r a n z ɪ t ɪ v ɲ iː
intravaskulární	ʔ ɪ n t r a v a s k u l aː r ɲ iː
intravenózní	ɪ n t r a v ɛ n oː z ɲ iː
intravilán	ɪ n t r a v ɪ l aː n
intronizace	ɪ n t r o n ɪ z a t͡s ɛ
introvert	ɪ n t r o v ɛ r t
intráda	ɪ n t r aː d a
intubace	ɪ n t u b a t͡s ɛ
intubací	ɪ n t u b a t͡s iː
intuice	ɪ n t u ɪ t͡s ɛ
intuici	ɪ n t u ɪ t͡s ɪ
inu	ɪ n u
inundace	ɪ n u n d a t͡s ɛ
invalida	ɪ n v a l ɪ d a
invalidita	ɪ n v a l ɪ d ɪ t a
invalidním	ɪ n v a l ɪ d ɲ iː m
invaze	ɪ n v a z ɛ
inventura	ɪ n v ɛ n t uː r a
inventář	ɪ n v ɛ n t aː r̝
investic	ɪ n v ɛ s t ɪ t͡s
investice	ɪ n v ɛ s t ɪ t͡s ɛ
investigativní	ʔ ɪ n v ɛ s t ɪ ɡ a t ɪ v ɲ iː ʔ ɪ n v ɛ s t ɪ ɡ a t iː v ɲ iː
investiční	ʔ ɪ n v ɛ s t ɪ t ʃ ɲ iː
investor	ɪ n v ɛ s t o r
investora	ɪ n v ɛ s t o r a
investorem	ɪ n v ɛ s t o r ɛ m
investorův	ɪ n v ɛ s t o r uː f
investovalo	ɪ n v ɛ s t o v a l o
investovat	ɪ n v ɛ s t o v a t
investovány	ɪ n v ɛ s t o v aː n ɪ
investujete	ɪ n v ɛ s t u j ɛ t ɛ
inzerent	ɪ n z ɛ r ɛ n t
inzerát	ɪ n z ɛ r aː t
inzulin	ɪ n z u l iː n
inzulín	ɪ n z u l iː n
inženýr	ɪ n ʒ ɛ n iː r
io	ʔ ɪ o
ion	j o n
ionosféra	j o n o s f ɛː r a
iont	j o n t
ionťák	j o n c aː k
iowa	a j o v a
iowě	a j o v j ɛ
ipsace	ɪ p s a t͡s ɛ
ir	ɪ r
irbis	ɪ r b ɪ s
ire	ɪ r ɛ
irena	ɪ r ɛ n a
ireverzibilní	ɪ r ɛ v ɛ r z ɪ b ɪ l ɲ iː
iridium	ɪ r iː d ɪ j u m
iris	ɪ r ɪ s
iritující	ɪ r ɪ t u j iː t͡s iː
irka	ɪ r k a
ironický	ɪ r o n ɪ t͡s k iː
ironie	ɪ r o n ɪ j ɛ
irska	ɪ r s k a
irsko	ɪ r s k o
irsky	ɪ r s k ɪ
irské	ɪ r s k ɛː
irský	ɪ r s k iː
irtyš	ɪ r t ɪ ʃ
irácký	ɪ r aː t͡s k iː
irák	ɪ r aː k
iráčanka	ɪ r aː t͡ʃ a n k a
irčan	ɪ r t͡ʃ a n
irština	ɪ r ʃ c ɪ n a
ischia	ɪ s x ɪ a
islamismus	ɪ s l a m ɪ s m u s
islamista	ɪ s l a m ɪ s t a
islamistce	ʔ ɪ s l a m ɪ s t t͡s ɛ
islamistek	ʔ ɪ s l a m ɪ s t ɛ k
islamistů	ɪ s l a m ɪ s t uː
islamobijec	ɪ s l a m o b ɪ j ɛ t s
island	ɪ s l a n t
islandsky	ɪ s l a n t͡s k ɪ
islandský	ɪ s l a n t͡s k iː ɪ s l a n t s k iː
islandština	ɪ s l a n t͡ʃ c ɪ n a
islanďan	ɪ s l a n ɟ a n
islanďanka	ɪ s l a n ɟ a n k a
islám	ɪ s l aː m
islámem	ʔ ɪ s l aː m ɛ m
islámský	ɪ s l aː m s k iː
islámskými	ɪ s l aː m s k iː m ɪ
islámu	ɪ s l aː m u
islámábád	ɪ s l aː m aː b aː t
islámštější	ʔ ɪ s l aː m ʃ c ɛ j ʃ iː
isobara	ɪ z o b a r a
isobatha	ɪ z o b aː t a
isodiametrický	ɪ z o d ɪ j a m ɛ t r ɪ t s k iː
isohelie	ɪ z o ɦ ɛː l ɪ j ɛ
isohypsa	ɪ z o ɦ ɪ p s a
isolinie	ɪ z o l iː n ɪ j ɛ
isoterma	ɪ z o t ɛ r m a
isp	iː ɛ s p ɛː
istanbul	ɪ s t a m b u l
istanbulský	ɪ s t a m b u l s k iː
istanbulu	ɪ s t a m b u l u
ister	ɪ s t ɛ r
istrie	ɪ s t r ɪ j ɛ
ital	ɪ t a l
italka	ɪ t a l k a
italové	ɪ t a l o v ɛː
italsky	ʔ ɪ t a l s k ɪ
italské	ɪ t a l s k ɛː
italském	ɪ t a l s k ɛː m
italský	ɪ t a l s k iː
italských	ɪ t a l s k iː x
italským	ɪ t a l s k iː m
italy	ɪ t a l ɪ
italštin	ɪ t a l ʃ c ɪ n
italština	ɪ t a l ʃ c ɪ n a
italštinami	ɪ t a l ʃ c ɪ n a m ɪ
italštino	ɪ t a l ʃ c ɪ n o
italštinou	ɪ t a l ʃ c ɪ n ou̯
italštinu	ɪ t a l ʃ c ɪ n u
italštiny	ɪ t a l ʃ c ɪ n ɪ
italštinách	ɪ t a l ʃ c ɪ n aː x
italštinám	ɪ t a l ʃ c ɪ n aː m
italštině	ɪ t a l ʃ c ɪ ɲ ɛ
italští	ɪ t a l ʃ c iː
italů	ɪ t a l uː
italův	ɪ t a l uː f
ithaka	ɪ t a k a
itálie	ɪ t aː l ɪ j ɛ
itálii	ɪ t aː l ɪ j ɪ
itálií	ɪ t aː l ɪ j iː
iv	ɪ f
iva	ɪ v a
ivan	ʔ ɪ v a n
ivana	ɪ v a n a
ivanův	ɪ v a n uː f
ivi	ɪ v ɪ
ivo	ɪ v o
ivona	ɪ v o n a
ivovi	ɪ v o v ɪ
izalobara	ɪ z a l o b a r a
izer	ɪ z ɛ r
izera	ɪ z ɛ r a
izobara	ɪ z o b a r a
izobáta	ʔ ɪ z o b aː t a
izochiona	ɪ z o x ɪ o n a
izohypsa	ɪ z o ɦ ɪ p s a
izohélie	ɪ z o ɦ ɛː l ɪ j ɛ
izolace	ɪ z o l a t͡s ɛ
izolacionistce	ʔ ɪ z o l a t͡s ɪ j o n ɪ s t t͡s ɛ
izolacionistek	ʔ ɪ z o l a t͡s ɪ j o n ɪ s t t ɛ k
izolinie	ɪ z o l iː n ɪ j ɛ
izomer	ɪ z o m ɛ r
izomorfní	ɪ z o m o r f ɲ iː
izopropylalkohol	ɪ z o p r o p ɪ l a l k o ɦ o l
izoterma	ɪ z o t ɛ r m a
izotop	ɪ z o t o p
izovolumický	ɪ z o v o l u m ɪ t͡s k iː
izrael	ɪ z r a ɛ l
izraelec	ɪ z r a ɛ l ɛ t͡s
izraelitský	ɪ z r a ɛ l ɪ t͡s k iː
izraelka	ɪ z r a ɛ l k a
izraelský	ɪ z r a ɛ l s k iː
izvoščik	ʔ ɪ z v o ʃ t͡ʃ ɪ k
iškariotský	ɪ ʃ k a r ɪ j o t s k iː
ižorština	ɪ ʒ o r ʃ c ɪ n a
jablečník	j a b l ɛ t͡ʃ ɲ iː k
jablečný	j a b l ɛ t͡ʃ n iː
jablko	j a b l k o
jablkovice	j a b l k o v ɪ t͡s ɛ
jablkový	j a b l k o v iː
jablonecký	j a b l o n ɛ t͡s k iː
jabloň	j a b l o ɲ
jabloňový	j a b l o ɲ o v iː
jablunkov	j a b l u n k o f
jablunkovsko	j a b l u n k o f s k o
jablíčko	j a b l iː t͡ʃ k o
jablíčkový	j a b l iː t͡ʃ k o v iː
jachetní	j a x ɛ t ɲ iː
jacht	j a x t
jachta	j a x t a
jachtařka	j a x t a r̝ k a
jack	d͡ʒ ɛ k
jacques	ʒ a k
jadernou	j a d ɛ r n ou̯
jaderný	j a d ɛ r n iː
jadran	j a d r a n
jagellonský	j a ɡ ɛ l o n s k iː
jagoš	j a ɡ o ʃ
jaguár	j a ɡ u aː r
jaguáří	j a ɡ u aː r̝ iː
jahelný	j a ɦ ɛ l n iː
jahoda	j a ɦ o d a
jahodník	j a ɦ o d ɲ iː k
jahodový	j a ɦ o d o v iː
jahůdka	j a ɦ uː t k a
jak	j a k
jakarta	d͡ʒ a k a r t a ɟ a k a r t a
jakeš	ɪ a k ɛ ʃ
jakešův	j a k ɛ ʃ uː f
jakkoli	j a k ʔ k o l ɪ
jakkoliv	j a k k o l ɪ f
jakmile	j a k m ɪ l ɛ
jako	j a k o
jakoby	j a k o b ɪ
jakost	j a k o s t
jakou	j a k ou̯
jakoukoli	j a k ou̯ k o l ɪ
jakový	j a k o v iː
jakožto	j a k o ʃ t o
jaks	j a k s
jaksi	j a k s ɪ
jakub	j a k u p
jakubka	j a k u p k a
jakubův	j a k u b uː f
jaké	j a k ɛː
jakéhokoli	j a k ɛː ɦ o k o l ɪ
jakékoli	j a k ɛː k o l ɪ
jaký	j a k iː
jakýkoli	j a k iː k o l ɪ
jakýkoliv	j a k iː k o l ɪ f
jakýsi	j a k iː s ɪ
jakžtakž	j a k ʃ t a k ʃ
jalovcový	j a l o f t͡s o v iː
jalovec	j a l o v ɛ t͡s
jalovice	j a l o v ɪ t͡s ɛ
jalovička	j a l o v ɪ t͡ʃ k a
jalta	j a l t a
jaltský	j a l t s k iː
jaltě	j a l c ɛ
jam	d͡ʒ a m
jamajka	j a m a j k a
jamajský	j a m a j s k iː
jamajčan	j a m a j t͡ʃ a n
jamb	j a m p
jambe	j a m b ɛ
james	d͡ʒ ɛ j m s
jamka	j a m k a
jamu	j a m u
jan	j a n
jana	j a n a
jane	j a n ɛ
janin	j a ɲ ɪ n
janička	j a ɲ ɪ t͡ʃ k a
jano	j a n o
janov	j a n o f
janova	j a n o v a
janovec	j a n o v ɛ t͡s
janově	j a n o v j ɛ
janoš	j a n o ʃ
jantar	j a n t a r
jantarový	j a n t a r o v iː
janu	j a n u
janukovyč	j a n u k o v ɪ t͡ʃ
janukovyče	j a n u k o v ɪ t͡ʃ ɛ
janukovyčově	j a n u k o v ɪ t͡ʃ o v j ɛ
janukovyčův	j a n u k o v ɪ t͡ʃ uː f
jany	j a n ɪ
janáček	j a n aː t͡ʃ ɛ k
janáčkovi	ɪ a n aː t͡ʃ k o v ɪ
jančíková	j a n t͡ʃ iː k o v aː
janů	j a n uː
janův	j a n uː f
jao	j a o
japanizmus	j a p a n ɪ z m u s
japanologie	j a p a n o l o ɡ ɪ j ɛ
japanoložka	j a p a n o l o ʃ k a
japanoložčin	j a p a n o l o ʃ t͡ʃ ɪ n
japonec	j a p o n ɛ t͡s
japonka	j a p o n k a
japonska	j a p o n s k a
japonsko	j a p o n s k o
japonsku	j a p o n s k u
japonsky	j a p o n s k ɪ
japonské	j a p o n s k ɛː
japonský	j a p o n s k iː
japonština	j a p o n ʃ c ɪ n a
japsanka	j a p s a n k a
jar	j a r
jarda	j a r d a
jardech	j a r d ɛ x
jardo	j a r d o
jardou	j a r d ou̯
jardovi	j a r d o v ɪ
jardové	j a r d o v ɛː
jardu	j a r d u
jardy	j a r d ɪ
jardů	j a r d uː
jardům	j a r d uː m
jarem	j a r ɛ m
jarka	j a r k a
jarmara	j a r m a r a
jarmarečník	j a r m a r ɛ t͡ʃ ɲ iː k
jarmark	j a r m a r k
jarmil	j a r m ɪ l
jarmila	j a r m ɪ l a
jarmo	j a r m o
jarní	j a r ɲ iː
jarního	j a r ɲ iː ɦ o
jaro	j a r o
jaromír	j a r o m iː r
jaromírův	j a r o m iː r uː f
jaroslav	j a r o s l a f
jaroš	j a r o ʃ
jarý	j a r iː
jas	j a s
jasan	j a s a n
jasanový	j a s a n o v iː
jasanu	j a s a n u
jasmín	j a s m iː n
jasno	j a s n o
jasnovidec	j a s n o v ɪ d ɛ t͡s
jasnovidecký	j a s n o v ɪ d ɛ t͡s k iː
jasnovidectví	j a s n o v ɪ d ɛ t͡s t v iː
jasná	j a s n aː
jasné	j a s n ɛː
jasný	j a s n iː
jasně	j a s ɲ ɛ
jaspis	j a s p ɪ s
jaspisový	j a s p ɪ s o v iː
jatagan	j a t a ɡ a n
jaterní	j a t ɛ r ɲ iː
jaterník	j a t ɛ r ɲ iː k
jatka	j a t k a
jatky	j a t k ɪ
jau	j au̯
jauvajs	j au̯ v a j s
javor	j a v o r
javorník	j a v o r ɲ iː k
javorový	j a v o r o v iː
javánec	j a v aː n ɛ t͡s
javánka	j a v aː n k a
javánsky	j a v aː n s k ɪ
javánský	j a v aː n s k iː
jaw	j aː v
jazyce	j a z ɪ t͡s ɛ
jazyk	j a z ɪ k
jazyka	j a z ɪ k a
jazykovka	j a z ɪ k o f k a
jazykové	j a z ɪ k o v ɛː
jazykový	j a z ɪ k o v iː
jazykověda	j a z ɪ k o v j ɛ d a
jazykovědkyně	j a z ɪ k o v j ɛ t k ɪ ɲ ɛ
jazykovědný	j a z ɪ k o v j ɛ d n iː
jazylka	j a z ɪ l k a
jazz	d͡ʒ ɛ s
jazzový	t ʒ ɛ z o v iː
jaře	j a r̝ ɛ
jařem	j a r̝ ɛ m
jařmo	j a r̝ m o
jda	j d a
jde	d ɛ
jdeme	j d ɛ m ɛ
jdete	j d ɛ t ɛ
jdeš	d ɛ ʃ j d ɛ ʃ
jdi	j ɟ ɪ
jdou	d ou̯ j d ou̯
jdouc	j d ou̯ t͡s
jdoucí	j d ou̯ t͡s iː
jdu	d u j d u
jděme	j ɟ ɛ m ɛ ɟ ɛ m ɛ
je	j ɛ
jebat	j ɛ b a t
jebačka	j ɛ b a t͡ʃ k a
jebák	j ɛ b aː k
jed	j ɛ t
jeda	j ɛ d a
jede	j ɛ d ɛ
jedem	j ɛ d ɛ m
jeden	j ɛ d ɛ n
jedenadvacet	j ɛ d ɛ n a d v a t͡s ɛ t
jedenatřicetiletého	j ɛ d ɛ n a t r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː ɦ o
jedenatřicetiletý	j ɛ d ɛ n a t r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
jedenačtyřicetiletý	j ɛ d ɛ n a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
jedenašedesát	j ɛ d ɛ n a ʃ ɛ d ɛ s aː t
jedenmecítma	j ɛ d ɛ n m ɛ t͡s iː t m a
jedenáct	j ɛ d ɛ n aː t͡s t
jedenácti	j ɛ d ɛ n aː t͡s c ɪ
jedenáctidenní	j ɛ d ɛ n aː t͡s c ɪ d ɛ ɲ iː
jedenáctikilometrového	j ɛ d ɛ n aː t͡s c ɪ k ɪ l o m ɛ t r o v ɛː ɦ o
jedenáctikilometrový	j ɛ d ɛ n aː t͡s c ɪ k ɪ l o m ɛ t r o v iː
jedenáctiletka	j ɛ d ɛ n aː t͡s c ɪ l ɛ t k a
jedenáctiletou	j ɛ d ɛ n aː t͡s c ɪ l ɛ t ou̯
jedenáctiletého	j ɛ d ɛ n aː t͡s c ɪ l ɛ t ɛː ɦ o
jedenáctiletý	j ɛ d ɛ n aː t͡s c ɪ l ɛ t iː
jedenáctiměsíční	j ɛ d ɛ n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː
jedenáctinásobný	j ɛ d ɛ n aː t͡s c ɪ n aː s o b n iː
jedenáctipatrové	j ɛ d ɛ n aː t͡s c ɪ p a t r o v ɛː
jedenáctipatrový	j ɛ d ɛ n aː t͡s c ɪ p a t r o v iː
jedenáctistovka	j ɛ d ɛ n a t͡s c ɪ s t o f k a
jedenáctistovkou	j ɛ d ɛ n a t͡s c ɪ s t o f k ou̯
jedenáctiúhelník	j ɛ d ɛ n aː t s c ɪ uː ɦ ɛ l ɲ iː k
jedenácté	j ɛ d ɛ n aː t͡s t ɛː
jedenáctý	j ɛ d ɛ n aː t͡s t iː
jedení	j ɛ d ɛ ɲ iː
jedete	j ɛ d ɛ t ɛ
jedinec	j ɛ ɟ ɪ n ɛ t͡s
jedinečnou	j ɛ ɟ ɪ n ɛ t͡ʃ n o u
jedinečný	j ɛ ɟ ɪ n ɛ t͡ʃ n iː
jedinkrát	j ɛ ɟ ɪ n k r aː t
jedinou	j ɛ ɟ ɪ n ou̯
jediná	j ɛ ɟ ɪ n aː
jediné	j ɛ ɟ ɪ n ɛː
jediný	j ɛ ɟ ɪ n iː
jediným	j ɛ ɟ ɪ n iː m
jedině	j ɛ ɟ ɪ ɲ ɛ
jedle	j ɛ d l ɛ
jedli	j ɛ d l ɪ
jedlička	j ɛ d l ɪ t͡ʃ k a
jedlový	j ɛ d l o v iː
jedlánek	j ɛ d l aː n ɛ k
jedlí	j ɛ d l iː
jedlý	j ɛ d l iː
jedna	j ɛ d n a
jednacím	j ɛ d n a t͡s iː m
jednadvacet	j ɛ d n a d v a t͡s ɛ t
jednadvacetiletou	j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t ou̯
jednadvacetiletá	j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t aː
jednadvacetiletého	j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ o
jednadvacetiletý	j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t iː
jednak	j ɛ d n a k
jednal	j ɛ d n a l
jednala	j ɛ d n a l a
jednasedmdesátiletý	j ɛ d n a s ɛ d m d ɛ s aː c ɪ l ɛ t iː j ɛ d n a s ɛ d u m d ɛ s aː c ɪ l ɛ t iː
jednat	j ɛ d n a t
jednatřicetiletá	j ɛ d n a t r̝ ɪ t͡s ɛ c ɪ l ɛ t aː
jednatřicetileté	j ɛ d n a t r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː
jednatřicetiletému	j ɛ d n a t r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː m u
jednatřicetiletý	j ɛ d n a t r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
jednačtyřicetiletý	j ɛ d n a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
jednašedesátiletý	j ɛ d n a ʃ ɛ d ɛ s aː c ɪ l ɛ t iː
jednička	j ɛ d ɲ ɪ t͡ʃ k a
jedničky	j ɛ d ɲ ɪ t͡ʃ k ɪ
jedničkář	j ɛ d ɲ ɪ t ʃ k aː r̝
jednobuněčný	j ɛ d n o b u ɲ ɛ t͡ʃ n iː
jednoduchý	j ɛ d n o d u x iː
jednoduše	j ɛ d n o d u ʃ ɛ
jednoduší	j ɛ d n o d u ʃ iː
jednodušší	j ɛ d n o d u ʃ iː
jednoděložný	j ɛ d n o ɟ ɛ l o ʒ n iː
jednohlasné	j ɛ d n o ɦ l a s n ɛː
jednohlasný	j ɛ d n o ɦ l a s n iː
jednohlavý	j ɛ d n o ɦ l a v iː
jednoho	j ɛ d n o ɦ o
jednohubka	j ɛ d n o ɦ u p k a
jednokolejné	j ɛ d n o k o l ɛ j n ɛː
jednokolejný	j ɛ d n o k o l ɛ j n iː
jednokomorové	j ɛ d n o k o m o r o v ɛː
jednokomorový	j ɛ d n o k o m o r o v iː
jednokřídlý	j ɛ d n o k r̝ iː d l iː
jednokřídlých	j ɛ d n o k r̝ iː d l iː x
jednoletka	j ɛ d n o l ɛ t k a
jednom	j ɛ d n o m
jednooký	j ɛ d n o ʔ o k iː
jednopatrový	j ɛ d n o p a t r o v iː
jednopatrovými	j ɛ d n o p a t r o v iː m ɪ
jednoprocentní	j ɛ d n o p r o t͡s ɛ n t ɲ iː
jednorohý	j ɛ d n o r o ɦ iː
jednorožec	j ɛ d n o r o ʒ ɛ t͡s
jednoruký	j ɛ d n o r u k iː
jednorázový	j ɛ d n o r aː z o v iː
jednoslabičný	j ɛ d n o s l a b ɪ t͡ʃ n iː
