на	n a
пре	p rʲ ɛ
простори	p r ɔ s t ɔ r i
радив	r a d i v
рана	r a n a
томосу	t ɔ m ɔ s u
тотальна	t ɔ t a lʲ n a
трасу	t r a s u
ходіть	x ɔ d i tʲ
цифрових	t͡sʰ i f r ɔ v i x
mac	m ɑː d͡ʒ
апостолів	a p ɔ s t ɔ l i v
банд	b a n d
барна	b a r n a
білик	b i l i k
гоп	ɡ ɔ p
залишимо	z a l i ɕ i m o
звичку	z ʋ i t͡ʃ k u
мерт	m ɛ r t
нададуть	n a d a d u tʲ
наданням	n a d a n nʲ a m
намисто	n a m i s t ɔ
низу	n i z u
обом	ɔ b ɔ m
посадить	p ɔ s a d i tʲ
правим	p r a vʲ i m
піском	p i s k ɔ m
рану	r a n u
симона	s i m ɔ n a
таня	t a nʲ a
фарб	f a r b
франциска	f r a n t͡sʰ i s k a
чорною	t͡ɕ ɔ r n ɔ j u
face	f ɑː d͡ʒ ɛ
opel	o p ɛ l
view	v i ɛ w
ада	a d a
азоту	a z ɔ t u
апетит	a pʲ ɛ tʲ i t
апк	a p k
броні	b r ɔ n i
геї	ɡ ɛ j
готов	ɡ ɔ t ɔ v
гриб	ɡ r i b
дорожні	d ɔ r ɔ ʑ n i
жирних	ʒ i r n i x
захисником	z a x i s n i k ɔ m
зниклих	z n i k l i x
зросте	z r ɔ s tʲ ɛ
монтян	m ɔ n tʲ a n
муз	m ʊ z
міна	m i n a
наново	n a n ɔ v ɔ
особин	ɔ s ɔ b i n
парижу	p a r i ʒ u
пилип	p i l i p
порожнини	p ɔ r ɔ ʑ n i n i
пох	p ɔ x
рибою	r i b ɔ j u
синім	s i n i m
собi	s ɔ b i
становило	s t a n ɔ v i l o
статуя	s t a t u j a
талановиті	t a ɮ a n ɔ v i tʲ i
шрифтом	ʃ r i f t ɔ m
щораз	ɕ ɔ r a z
язиком	j a z i k ɔ m
case	d͡ʒ ɑː s ɛ
grand	ɡ ɾ ɑ n d
set	s ɛ t
united	ʊ n ɪ t ɛ d
банер	b a nʲ ɛ r
бот	b ɔ t
бронза	b r ɔ n z a
бронзу	b r ɔ n z u
важкому	v a ʒ k ɔ m u
гаазі	ɡ aː z i
гидота	ɡ i d ɔ t a
графа	ɡ r a f a
грози	ɡ r ɔ z i
даром	d a r ɔ m
демо	d ɛ m ɔ
доза	d ɔ z a
затока	z a tʰ ɔ k a
зонд	z ɔ n d
кашу	k a ɕ u
кролика	k r ɔ l i k a
лимон	l i m ɔ n
моді	m ɔ d i
однакова	ɔ d n a k ɔ v a
опіку	ɔ p i k u
пишет	p i ɕ ɛ t
прикрашають	p r i k r a ɕ a j u tʲ
реверс	r ɛ v ɛ r s
розгону	r ɔ z ɡ ɔ n u
стоит	s t ɔ j i t
столи	s t ɔ l i
хабаря	x a b a rʲ a
travel	t ɾ ɑː v ɛ l
андерс	a n dʲ ɛ r s
базова	b a z ɔ v a
баку	b a k u
бідним	b i d n i m
заборон	z a b ɔ r ɔ n
заз	z a z
заявок	z a j a v ɔ k
змусить	z m ʊ s i tʲ
кодів	k ɔ d i v
маркус	m a r k ʊ s
масив	m a s i v
мет	m ɛ t
міцних	m i t͡sʰ n i x
наса	n a s a
особливому	ɔ s ɔ b l i v ɔ m u
паливом	p a l i v ɔ m
поглинання	p ɔ ɡ l i n a n nʲ a
попи	p ɔ p i
правилом	p r a vʲ i l ɔ m
припини	p r i p i n i
розробника	r ɔ z r ɔ b n i k a
сес	s ɛ s
страхом	s t r a x ɔ m
табу	t a b u
томаш	t ɔ m a ɕ
фарба	f a r b a
фашизму	f a ɕ i z m u
фен	f ɛ n
цитату	t͡sʰ i t a t u
яма	j a m a
capital	d͡ʒ ɑ p ɪ t ɑː l
ha	h ɑː
арка	a r k a
брате	b r a tʲ ɛ
дені	d ɛ n i
заплатять	z a p ɮ a tʲ a tʲ
здасть	z d a s tʲ
канаду	k a n a d u
листом	l i s t ɔ m
майте	m ɛː tʲ ɛ
мапу	m a p u
нацизмом	n a t͡sʰ i z m ɔ m
покривають	p ɔ k r i v a j u tʲ
полякам	p ɔ lʲ a k a m
помощь	p ɔ m ɔ ɕ t͡ɕ
помру	p ɔ m r u
потоком	p ɔ t ɔ k ɔ m
розкопки	r ɔ z k ɔ p k i
спа	s p a
фонді	f ɔ n d i
фотографа	f ɔ t ɔ ɡ r a f a
храмах	x r a m a x
fest	f ɛ s t
pl	p eː l
silver	s ɪ l v ɛ ɾ
van	v ɑ n
ал	a ɮ
бер	b ɛ r
бик	b i k
гост	ɡ ɔ s t
дурним	d ʊ r n i m
зад	z a d
зірвати	z i r v a tʲ i
кавою	k a v ɔ j u
кину	k i n u
конотоп	k ɔ n ɔ t ɔ p
корму	k ɔ r m u
купап	k u p a p
лось	l ɔ s ɪ
мен	m ɛ n
нагадала	n a ɣ a d a ɮ a
надбання	n a d b a n nʲ a
обраним	ɔ b r a n i m
опори	ɔ p ɔ r i
пасту	p a s t u
посмішкою	p ɔ s m i ɕ k ɔ j u
работы	r a b ɔ t i
розпал	r ɔ z p a l
салати	s a ɮ a tʲ i
труд	t r ʊ d
фари	f a r i
фотка	f ɔ t k a
фізику	f i z i k u
чесне	t͡ɕ ɛ s n ɛ
dark	d ɑ ɾ k
film	f ɪ l m
test	t ɛ s t
адмін	a d m i n
багаж	b a ɣ a ʒ
банду	b a n d u
бетон	b ɛ t ɔ n
бостон	b ɔ s t ɔ n
годинами	ɡ ɔ d i n a m i
готово	ɡ ɔ t ɔ v ɔ
дер	d ɛ r
ест	j ɛ s t
леви	l ɛ v i
миску	m i s k u
подача	p ɔ d a t͡ʃ a
позі	p ɔ z i
посмішку	p ɔ s m i ɕ k u
проживали	p r ɔ ʑ i v a l i
рас	r a s
раян	r a j a n
родинами	r ɔ d i n a m i
руб	r ʊ b
смуг	s m ʊ ɡ
статья	s t a tʲ j a
стопи	s t ɔ p i
страну	s t r a n u
форс	f ɔ r s
фред	f rʲ ɛ d
цифрами	t͡sʰ i f r a m i
щити	ɕ i tʲ i
яскравою	j a s k r a v ɔ j u
care	d͡ʒ ɑː ɾ ɛ
west	w ɛ s t
беззаконня	b ɛ z z a k ɔ n nʲ a
броди	b r ɔ d i
данину	d a n i n u
додатком	d ɔ d a t k ɔ m
дорогами	d ɔ r ɔ ɡ a m i
дір	d i r
закона	z a k ɔ n a
зросту	z r ɔ s t u
кока	k ɔ k a
мастер	m a s tʲ ɛ r
монахи	m ɔ n a x i
мост	m ɔ s t
наземних	n a z ɛ m n i x
наказали	n a k a z a l i
народами	n a r ɔ d a m i
панас	p a n a s
подолі	p ɔ d ɔ l i
покарань	p ɔ k a r a nʲ
помірно	p ɔ m i r n o
постом	p ɔ s t ɔ m
природною	p r i r ɔ d n ɔ j u
прози	p r ɔ z i
рига	r i ɡ a
роми	r ɔ m i
русло	r ʊ s ɮ ɔ
сири	s i r i
статьи	s t a tʲ i
ціх	t͡sʰ i x
number	n ʊ m b ɛ ɾ
аб	a b
аграрних	a ɡ r a r n i x
амністію	a m n i s tʰ i j u
гриф	ɡ r i f
задню	z a d nʲ u
заднім	z a d n i m
закритому	z a k r i t ɔ m u
коридору	k ɔ r i d ɔ r u
крон	k r ɔ n
мандри	m a n d r i
масову	m a s ɔ v u
межею	m ɛ ʒ ɛ j u
морським	m ɔ r s ɪ k i m
насмерть	n a s mʲ ɛ r tʲ
незалежними	n ɛ z a lʲ ɛ ʑ n i m i
низьку	n i z ɪ k u
нок	n ɔ k
однакову	ɔ d n a k ɔ v u
поляка	p ɔ lʲ a k a
порвала	p ɔ r v a l a
пра	p r a
раньше	r a nʲ ɕ ɛ
рози	r ɔ z i
сет	s ɛ t
сліду	s ɫ i d u
сорту	s ɔ r t u
фазі	f a z i
hand	h ɑ n d
божі	b ɔ ʒ i
бомб	b ɔ m b
бос	b ɔ s
галас	ɡ a ɮ a s
доказами	d ɔ k a z a m i
дослівно	d ɔ s l i v n o
евро	j ɛ v r ɔ
кацапами	k a t͡sʰ a p a m i
комісара	k ɔ m i s a r a
крилом	k r i l ɔ m
макрон	m a k r ɔ n
мартіна	m a r tʰ i n a
машинами	m a ɕ i n a m i
мог	m ɔ ɡ
монстри	m ɔ n s t r i
морському	m ɔ r s ɪ k ɔ m u
нападають	n a p a d a j u tʲ
нариси	n a r i s i
нижні	n i ʒ n i
пилипа	p i l i p a
подробиць	p ɔ d r ɔ b i t͡sʲ
пожити	p ɔ ʑ i tʲ i
показання	p ɔ k a z a n nʲ a
приспів	p r i s p i v
програмних	p r ɔ ɡ r a m n i x
піна	p i n a
радикалів	r a d i k a l i v
скриньку	s k r i nʲ k u
ставкою	s t a w k ɔ j u
трамваю	t r a m v a j u
чашку	t͡ɕ a ɕ k u
bar	b ɑː ɾ
ta	t ɑː
асада	a s a d a
баррі	b a r r
забіг	z a bʲ ə ɡ
залежні	z a lʲ ɛ ʒ n i
зимову	z i m ɔ v u
кацапську	k a t͡sʰ a p sʲ k u
козаками	k ɔ z a k a m i
маразм	m a r a z m
маск	m a s k
мери	m ɛ r i
набором	n a b ɔ r ɔ m
нану	n a n u
напрямками	n a p rʲ a m k a m i
нинішньому	n i n i ɕ nʲ ɔ m u
нитка	n i t k a
нозі	n ɔ z i
описи	ɔ p i s i
пози	p ɔ z i
прощу	p r ɔ ɕ t͡ɕ u
рима	r i m ɑ
рут	r ʊ t
сьомому	s j ɔ m ɔ m u
танок	t a n ɔ k
хардкор	x a r t k ɔ r
части	t͡ɕ a s tʲ i
чашка	t͡ɕ a ɕ k a
шк	ʃ k
cool	d͡ʒ uː l
date	d ɑː t ɛ
disney	d ɪ s n ɛ j
mind	m ɪ n d
per	p ɛ ɾ
same	s ɑː m ɛ
st	s t
step	s t ɛ p
адамс	a d a m s
бика	b i k a
болісно	b ɔ l i s n o
бро	b r ɔ
газова	ɡ a z ɔ v a
гнатюк	ɡ n a tʲ u k
гор	ɡ ɔ r
дал	d a ɮ
далi	d a l i
дзвонили	d͡z ʋ ɔ n i l i
заводом	z a v ɔ d ɔ m
задають	z a d a j u tʲ
запасних	z a p a s n i x
засад	z a s a d
збірною	z b i r n ɔ j u
збірок	z b i r ɔ k
зриву	z r i v u
касу	k a s u
кипіння	k i p i n nʲ a
компромат	k ɔ m p r ɔ m a t
которых	k ɔ t ɔ r i x
краз	k r a z
маркова	m a r k ɔ v a
митну	m i t n u
мокра	m ɔ k r a
низкою	n i z k ɔ j u
обзор	ɔ b z ɔ r
пацана	p a t͡sʰ a n a
покази	p ɔ k a z i
пошани	p ɔ ɕ a n i
праве	p r a vʲ ɛ
призери	p r i z ɛ r i
псих	p s i x
піхви	p i x v i
радбезу	r a d bʲ ɛ z u
ракетних	r a kʲ ɛ t n i x
синдромом	s i n d r ɔ m ɔ m
фасади	f a s a d i
француз	f r a n t͡sʰ u z
цінним	t͡sʰ i n n i m
album	ɑ l b ʊ m
band	b ɑ n d
ca	d͡ʒ ɑː
far	f ɑː ɾ
iншi	i n ʃ i
since	s ɪ n d͡ʒ ɛ
states	s t ɑː t ɛ s
баб	b a b
бабка	b a b k a
батяр	b a tʲ a r
бонда	b ɔ n d a
бостона	b ɔ s t ɔ n a
важкою	v a ʒ k ɔ j u
гал	ɡ a ɮ
заходь	z a x ɔ dʲ
крива	k r i v a
мар	m a r
наданих	n a d a n i x
нащадками	n a ɕ t͡ɕ a t k a m i
парах	p a r a x
погрозами	p ɔ ɡ r ɔ z a m i
показана	p ɔ k a z a n a
попадання	p ɔ p a d a n nʲ a
попасти	p ɔ p a s tʲ i
поштову	p ɔ ɕ t ɔ v u
правопис	p r a v ɔ p i s
розгромили	r ɔ z ɡ r ɔ m i l i
ростом	r ɔ s t ɔ m
скрипаль	s k r i p a lʲ
смутку	s m ʊ t k ʊ
сьогоднi	s j ɔ ɡ ɔ d n i
тзов	t z ɔ v
часопису	t͡ɕ a s ɔ p i s u
eu	e u
find	f ɪ n d
rover	r oː v ɛ ɾ
банани	b a n a n i
гаю	ɡ a j u
горою	ɡ ɔ r ɔ j u
джонса	d͡ʒ ɔ n s a
дном	d n ɔ m
доходами	d ɔ x ɔ d a m i
дунаю	d u n a j u
епізоди	j ɛ p i z ɔ d i
жид	ʒ i d
жирним	ʒ i r n i m
занепаду	z a nʲ ɛ p a d u
захистила	z a x i s tʲ i ɮ a
злітно	z ɫ i t n o
каркас	k a r k a s
координат	k oː r d i n a t
митним	m i t n i m
позаяк	p ɔ z a j a k
попу	p ɔ p u
пригоду	p r i ɡ ɔ d u
призером	p r i z ɛ r ɔ m
радикали	r a d i k a l i
рингу	r i ŋ ɡ u
ром	r ɔ m
сей	s ɛ j
стець	s tʲ ɛ t͡sʲ
транс	t r a n s
фраз	f r a z
garden	ɡ ɑː ɾ d ɛ n
kind	c ɪ n d
miss	m ɪ s
азія	a z i j a
апу	a p u
банан	b a n a n
гадюка	ɡ a dʲ u k a
дарина	d a r i n a
джудіт	d͡ʒ u d i t
дитино	d i t i n o
ердоган	j ɛ r d ɔ ɡ a n
ехо	j ɛ x ɔ
жар	ʒ a r
жорстку	ʒ ɔ r s t k u
залишать	z a l i ɕ a tʲ
змішаних	z m i ɕ a n i x
знаходиш	z n a x ɔ d i ɕ
знижкою	z n i ʒ k ɔ j u
знищать	z n i ɕ t͡ɕ a tʲ
конвою	k ɔ n v ɔ j u
косова	k ɔ s ɔ v a
красна	k r a s n a
махно	m a x n o
между	m ɛ ʒ d u
мор	m ɔ r
мури	m ʊ r i
наданий	n a d a n iː
нинішню	n i n i ɕ nʲ u
прикрашали	p r i k r a ɕ a l i
піцу	p i t͡sʰ u
роги	r ɔ ɡ i
скрипник	s k r i p n i k
спромоглися	s p r ɔ m ɔ ɡ l i s j a
троль	t r ɔ lʲ
языка	j a z i k a
planet	p l ɑː n ɛ t
za	z ɑː
баха	b a x a
гур	ɡ ʊ r
епізоду	j ɛ p i z ɔ d u
ер	j ɛ r
жнива	ʒ n i v a
змінні	z m i n n i
канадою	k a n a d ɔ j u
кондратюк	k ɔ n d r a tʲ u k
корми	k ɔ r m i
крадіжок	k r a d i ʒ ɔ k
крапку	k r a p k u
лизати	l i z a tʲ i
могилою	m ɔ ɡ i l ɔ j u
моль	m ɔ lʲ
морда	m ɔ r d a
народними	n a r ɔ d n i m i
низ	n i z
нк	n k
поправок	p ɔ p r a v ɔ k
постать	p ɔ s t a tʲ
природна	p r i r ɔ d n a
піхота	p i x ɔ t a
піци	p i t͡sʰ i
рапорт	r a p ɔ r t
розгром	r ɔ z ɡ r ɔ m
синод	s i n oː d
страву	s t r a v u
травою	t r a v ɔ j u
цимбалюк	t͡sʰ i m b a ɮʲ u k
шашок	ɕ a ɕ ɔ k
ag	ɑː ɡ
fifa	f iː f ɑː
se	s e
telegram	t ɛ l ɛ ɡ ɾ ɑː m
trust	t ɾ ʊ s t
берк	b ɛ r k
боба	b ɔ b a
газпромом	ɡ a z p r ɔ m ɔ m
галичину	ɡ a ɮ i t͡ɕʰ i n u
гуру	ɡ ʊ r ʊ
дис	d i s
діди	d i d i
дік	d i k
зараза	z a r a z a
зелень	z ɛ l ɛ n ɪ
знаходжу	z n a x ɔ d͡ʑ u
канд	k a n d
кар	k a r
кас	k a s
кризі	k r i z i
мал	m a ɮ
мис	m i s
множини	m n ɔ ʑ i n i
оргазм	ɔ r ɡ a z m
паркану	p a r k a n u
пом	p ɔ m
потраплять	p ɔ t r a p ɮʲ a tʲ
поту	p ɔ t u
похоронах	p ɔ x ɔ r ɔ n a x
прибирають	p r i b i r a j u tʲ
природними	p r i r ɔ d n i m i
радар	r a d a r
сас	s a s
тризубом	t r i z u b ɔ m
secret	s ɛ d͡ʒ ɾ ɛ t
бурю	b ʊ rʲ u
журн	ʒ ʊ r n
законы	z a k ɔ n i
захищала	z a x i ɕ t͡ɕ a ɮ a
кадирова	k a d i r ɔ v a
коді	k ɔ d i
комбат	k ɔ m b a t
коханим	k ɔ x a n i m
коханою	k ɔ x a n ɔ j u
крав	k r a v
крана	k r a n a
кримському	k r i m s ɪ k ɔ m u
манер	m a nʲ ɛ r
матрац	m a tʰ r a t͡sʰ
нацизму	n a t͡sʰ i z m u
незнання	n ɛ z n a n nʲ a
няня	nʲ a nʲ a
описана	ɔ p i s a n a
поема	p ɔ j ɛ m ɑ
поляна	p ɔ lʲ a n a
прапору	p r a p ɔ r u
продана	p r ɔ d a n a
продасть	p r ɔ d a s tʲ
проза	p r ɔ z a
просп	p r ɔ s p
рабом	r a b ɔ m
род	r ɔ d
родов	r ɔ d ɔ v
розкрито	r ɔ z k r i t ɔ
розрізі	r ɔ z r i z i
сарай	s a r ɛː
срок	s r ɔ k
циклів	t͡sʰ i k l i v
ac	ɑː d͡ʒ
amg	ɑ m ɡ
core	d͡ʒ oː ɾ ɛ
fast	f ɑ s t
had	h ɑː d
je	ʒ ɛ
аш	a ɕ
графу	ɡ r a f u
данні	d a n n i
дона	d ɔ n a
ек	j ɛ k
жене	ʒ ɛ n ɛ
забава	z a b a v a
забобони	z a b ɔ b ɔ n i
заощадити	z a ɔ ɕ t͡ɕ a d i tʲ i
запахи	z a p a xʲ
змішана	z m i ɕ a n a
зростала	z r ɔ s t a ɮ a
зібраних	z i b r a n i x
командно	k ɔ m a n d n o
коник	k ɔ n i k
красиву	k r a s i v u
лози	l ɔ z i
міністрами	m i n i s t r a m i
наверное	n a vʲ ɛ r n ɔ j ɛ
норман	n ɔ r m a n
папу	p a p u
погодних	p ɔ ɡ ɔ d n i x
поранили	p ɔ r a n i l i
рама	r a m a
рк	r k
страшних	s t r a ɕ n i x
тарасу	t a r a s u
хаха	x a x a
хмарами	x m a r a m i
хохол	x ɔ x ɔ l
христу	x r i s t u
ba	b ɑː
den	d ɛ n
past	p ɑ s t
son	s o n
ансамблі	a n s a m b l i
атом	a t ɔ m
бойз	b ɔ j z
грипу	ɡ r i p u
груз	ɡ r ʊ z
дум	d ʊ m
ернст	j ɛ r n s t
жара	ʒ a r a
зазнають	z a z n a j u tʲ
записують	z a p i s u j u tʲ
захарова	z a x a r ɔ v a
захисний	z a x i s n iː
зашкодить	z a ɕ k ɔ d i tʲ
зятя	z j a tʲ a
каком	k a k ɔ m
кароліна	k a r ɔ l i n a
кацапська	k a t͡sʰ a p sʲ k a
корд	k ɔ r d
корисною	k ɔ r i s n ɔ j u
коса	k ɔ s a
маскою	m a s k ɔ j u
мона	m ɔ n a
нон	n ɔ n
нот	n ɔ t
опорних	ɔ p ɔ r n i x
охоронних	ɔ x ɔ r ɔ n n i x
палацом	p a ɮ a t͡sʰ ɔ m
поль	p ɔ lʲ
полякова	p ɔ lʲ a k ɔ v a
попитом	p ɔ p i t ɔ m
придбано	p r i d b a n o
приходиш	p r i x ɔ d i ɕ
простором	p r ɔ s t ɔ r ɔ m
псом	p s ɔ m
рики	r i k i
рико	r i k o
родинних	r ɔ d i n n i x
рост	r ɔ s t
стрию	s t r i j u
топі	t ɔ p i
фах	f a x
фашизм	f a ɕ i z m
хист	x i s t
худ	x ʊ d
церковь	t͡sʰ ɛ r k ɔ vʲ ɪ
rome	r oː m ɛ
seo	s e o
urban	ʊ ɾ b ɑː n
азот	a z ɔ t
базах	b a z a x
баня	b a nʲ a
бахмут	b a x m ʊ t
богданом	b ɔ ɡ d a n ɔ m
брест	b rʲ ɛ s t
гордона	ɡ ɔ r d ɔ n a
добром	d ɔ b r ɔ m
дозрівання	d ɔ z r i v a n nʲ a
жодні	ʒ ɔ d n i
заберу	z a bʲ ɛ r u
запал	z a p a ɮ
заснованих	z a s n ɔ v a n i x
захар	z a x a r
захаров	z a x a r ɔ v
козир	k ɔ z i r
мадрид	m a d r i d
марков	m a r k ɔ v
нахилу	n a x i ɮ u
ной	n ɔ j
носи	n ɔ s i
пироги	p i r ɔ ɡ i
погодились	p ɔ ɡ ɔ d i l i s ɪ
прах	p r a x
работу	r a b ɔ t u
сема	s ɛ m ɑ
симптом	s i m p t ɔ m
фазу	f a z u
цитат	t͡sʰ i t a t
maps	m ɑ p s
аарон	aː r ɔ n
брама	b r a m a
горбатюк	ɡ ɔ r b a tʲ u k
грец	ɡ rʲ ɛ t͡sʰ
дамби	d a m b i
дев	d ɛ v
джип	d͡ʒ i p
домагання	d ɔ m a ɣ a n nʲ a
дрон	d r ɔ n
жару	ʒ a r u
жири	ʒ i r i
зах	z a x
збираю	z b i r a j u
зниклі	z n i k l i
кохану	k ɔ x a n u
красуню	k r a s u nʲ u
левом	l ɛ v ɔ m
мое	m ɔ j ɛ
надану	n a d a n u
надаю	n a d a j u
називала	n a z i v a l a
нарис	n a r i s
отакі	ɔ t a kʲ
поганими	p ɔ ɡ a n i m i
поговорила	p ɔ ɡ ɔ v ɔ r i l a
погонах	p ɔ ɡ ɔ n a x
покриву	p ɔ k r i v u
помсту	p ɔ m s t u
придбана	p r i d b a n a
розгадати	r ɔ z ɡ a d a tʲ i
розкрили	r ɔ z k r i l i
тара	t a r a
фотошоп	f ɔ t ɔ ɕ ɔ p
ask	ɑ s k
бидлом	b i d l ɔ m
бонні	b ɔ n n i
брок	b r ɔ k
дап	d a p
дожити	d ɔ ʑ i tʲ i
зібрана	z i b r a n a
карлика	k a r ɮ i k a
клич	k l i t͡ʃ
которую	k ɔ t ɔ r u j u
кракова	k r a k ɔ v a
маг	m a ɡ
мамай	m a m ɛː
махна	m a x n a
однаковим	ɔ d n a k ɔ v i m
опора	ɔ p ɔ r a
питома	p i t ɔ m a
подив	p ɔ d i v
позику	p ɔ z i k u
посадова	p ɔ s a d ɔ v a
приносили	p r i n ɔ s i l i
прозорих	p r ɔ z ɔ r i x
пікнік	p i k n i k
розправи	r ɔ z p r a vʲ i
ромни	r ɔ m n i
селу	s ɛ l u
трамвая	t r a m v a j a
щасти	ɕ a s tʲ i
cars	d͡ʒ ɑ ɾ s
ed	ɛ d
self	s ɛ l f
shell	ʃ ɛ l
wild	w ɪ l d
бака	b a k a
бат	b a t
бет	b ɛ t
боби	b ɔ b i
братья	b r a tʲ j a
гоління	ɡ ɔ l i n nʲ a
дней	d n ɛ j
кабан	k a b a n
казимира	k a z i m i r a
красота	k r a s ɔ t a
маком	m a k ɔ m
мирну	m i r n u
мозком	m ɔ z k ɔ m
мух	m ʊ x
міхал	m i x a ɮ
нещасні	n ɛ ɕ t͡ɕ a s n i
нкре	n k rʲ ɛ
плавають	p ɮ a v a j u tʲ
позичити	p ɔ z i t͡ɕ i tʲ i
показника	p ɔ k a z n i k a
приватною	p r i v a t n ɔ j u
приносила	p r i n ɔ s i l a
проб	p r ɔ b
проникли	p r ɔ n i k l i
расизм	r a s i z m
романо	r ɔ m a n o
рось	r ɔ s ɪ
сергей	s ɛ r ɡ ɛ j
тан	t a n
щосили	ɕ ɔ s i l i
cry	d͡ʒ ɾ iː
em	ɛ m
hill	h ɪ l
si	s iː
wind	w ɪ n d
газон	ɡ a z ɔ n
грифом	ɡ r i f ɔ m
даша	d a ɕ a
жартома	ʒ a r tʰ ɔ m a
завше	z a w ɕ ɛ
заможних	z a m ɔ ʑ n i x
зламаний	z ɮ a m a n iː
магазина	m a ɣ a z i n a
масок	m a s ɔ k
найму	n ɛː m ʊ
наркомана	n a r k ɔ m a n a
нді	n d i
неважко	n ɛ v a ʒ k ɔ
осаду	ɔ s a d u
острозі	ɔ s t r ɔ z i
оформили	ɔ f ɔ r m i l i
памяти	p a mʲ a tʲ i
пед	p ɛ d
поговорить	p ɔ ɡ ɔ v ɔ r i tʲ
погроз	p ɔ ɡ r ɔ z
подана	p ɔ d a n a
позика	p ɔ z i k a
помада	p ɔ m a d a
поток	p ɔ t ɔ k
потоп	p ɔ t ɔ p
рава	r a v a
роди	r ɔ d i
слухавку	s ɮ ʊ x a w̜ k ʊ
смог	s m ɔ ɡ
стажу	s t a ʒ u
трас	t r a s
троха	t r ɔ x a
хмарах	x m a r a x
яну	j a n u
ясного	j a s n ɔ ɡ ɔ
fun	f ʊ n
hit	h ɪ t
spa	s p ɑː
stand	s t ɑ n d
swift	s w ɪ f t
аз	a z
дать	d a tʲ
дмитру	d m i t r u
додасть	d ɔ d a s tʲ
додаю	d ɔ d a j u
допомог	d ɔ p ɔ m ɔ ɡ
дострокових	d ɔ s t r ɔ k ɔ v i x
жестів	ʒ ɛ s t i v
заводить	z a v ɔ d i tʲ
зрадником	z r a d n i k ɔ m
кадром	k a d r ɔ m
казимир	k a z i m i r
карман	k a r m a n
кару	k a r u
кая	k a j a
лижі	l i ʒ i
мит	m i t
морди	m ɔ r d i
мінфіну	m i n f i n u
нагодою	n a ɣ ɔ d ɔ j u
напою	n a p ɔ j u
незаконною	n ɛ z a k ɔ n n ɔ j u
нора	n ɔ r a
пасок	p a s ɔ k
пилосос	p i l ɔ s ɔ s
попів	p ɔ p i v
порадили	p ɔ r a d i l i
поховано	p ɔ x ɔ v a n o
приладу	p r i ɮ a d u
ригами	r i ɡ a m i
розказуй	r ɔ z k a z u j
россию	r ɔ s i j u
скидання	s k i d a n nʲ a
скорик	s k ɔ r i k
соль	s ɔ lʲ
справити	s p r a vʲ i tʲ i
страхова	s t r a x ɔ v a
торгову	t ɔ r ɡ ɔ v u
фразою	f r a z ɔ j u
ходів	x ɔ d i v
яки	j a k i
яни	j a n i
яп	j a p
animal	ɑː n ɪ m ɑː l
cold	d͡ʒ o l d
medical	m ɛ d ɪ d͡ʒ ɑː l
аг	a ɡ
алана	a ɮ a n a
ана	a n a
бабин	b a b i n
браму	b r a m u
говоря	ɡ ɔ v ɔ rʲ a
гормони	ɡ ɔ r m ɔ n i
дей	d ɛ j
забави	z a b a vʲ i
забороняв	z a b ɔ r ɔ nʲ a v
зором	z ɔ r ɔ m
мук	m ʊ k
насрать	n a s r a tʲ
нацради	n a t͡sʰ r a d i
офшор	ɔ f ʃ ɔ r
пал	p a ɮ
пардон	p a r d ɔ n
планами	p ɮ a n a m i
посадою	p ɔ s a d ɔ j u
проба	p r ɔ b a
пью	p j u
раціону	r a t͡sʰ j ɔ n ʊ
роси	r ɔ s i
росса	r ɔ s s a
салом	s a ɮ ɔ m
смоли	s m ɔ l i
хакери	x a kʲ ɛ r i
alfa	ɑ l f ɑː
lab	l ɑː b
net	n ɛ t
save	s ɑː v ɛ
shadow	ʃ ɑː d o w
try	t ɾ iː
аграрна	a ɡ r a r n a
аманда	a m a n d a
бабок	b a b ɔ k
батон	b a t ɔ n
гриба	ɡ r i b a
дорн	d ɔ r n
дощок	d ɔ ɕ ɔ k
жана	ʒ a n a
задня	z a d nʲ a
заявляю	z a j a v ɮʲ a j u
зиск	z i s k
знімаю	z n i m a j u
зрадити	z r a d i tʲ i
кайдани	k ɛː d a n i
канзас	k a n z a s
книжкою	k n i ʒ k ɔ j u
криком	k r i k ɔ m
кристалів	k r i s t a l i v
марна	m a r n a
нашкодити	n a ɕ k ɔ d i tʲ i
овен	ɔ ʋ ɛ n
островом	ɔ s t r ɔ v ɔ m
парком	p a r k ɔ m
подібною	p ɔ d i b n ɔ j u
позу	p ɔ z u
показать	p ɔ k a z a tʲ
посилить	p ɔ s i l i tʲ
приводи	p r i v ɔ d i
приказка	p r i k a z k a
примусили	p r i m u s i l i
прозоро	p r ɔ z ɔ r o
прописки	p r ɔ p i s k i
прот	p r ɔ t
пташок	p t a ɕ ɔ k
ритму	r i t m u
родів	r ɔ d i v
розганяти	r ɔ z ɡ a nʲ a tʲ i
руд	r ʊ d
смакота	s m a k ɔ t a
стравами	s t r a v a m i
странно	s t r a n n o
фарс	f a r s
франс	f r a n s
хи	x i
цінними	t͡sʰ i n n i m i
чорноморський	t͡ɕ ɔ r n ɔ m ɔ r s ɪ k iː
lot	l o t
wars	w ɑ ɾ s
бон	b ɔ n
дос	d ɔ s
доход	d ɔ x ɔ d
едем	j ɛ d ɛ m
експертом	j ɛ k s p ɛ r t ɔ m
жадана	ʒ a d a n a
