iš	i ʃ
betono	b e t o n o
bomba	b o m b a
david	d a v i d
dokumento	d o k u m e n t o
dviguba	d v i ɡ u b a
galimos	ɡ a l i m o s
gold	ɡ o l t
honda	h o n d a
imta	i m t a
inspekcijos	i n s p e k t͡ʃ i j o s
klinikos	k l i n i k o s
maro	m a r o
merginas	m e r d͡ʒ i n a s
metal	m e t a l
metinis	m e t i n i s
moterimis	m o t e r i m i s
moteriškos	m o t e r i ʃ k o s
nulio	n u l j o
persikelti	p e r s i k e l t i
pirminis	p i r m i n i s
pradedi	p r a d e d i
pratybos	p r a t i b o s
principo	p r i n t͡ʃ i p o
reformatų	r e f o r m a t o
stuburo	s t u b u r o
suktis	s u k t i s
sumos	s u m o s
teorijų	t e o r i j o
tipus	t i p u s
ts	t͡s
venecijos	v e n e t͡ʃ i j o s
vera	v e r a
vidinio	v i d i n j o
šitai	ʃ i t a i
baltica	b a l t i k a
butkevičius	b u t k e v i t͡ʃ i u s
dama	d a m a
dušo	d u ʃ o
ekonominį	e k o n o m i n i
fiba	f i b a
gumos	ɡ u m o s
ideali	i d e a l i
ingrida	i n ɡ r i d a
ištiko	i ʃ t i k o
kepti	k e p t i
kitokio	k i t o k i o
komitete	k o m i t e t e
linų	l i n o
lipti	l i p t i
magnio	m a ɲ ɲ o
men	m ɛ n
meninio	m e n i n j o
mokslinis	m o k s l i n i s
nesuprato	n e z u p r a t o
numesti	n u m e s t i
pigus	p i ɡ u s
plinta	p l i n t a
polo	p o l o
populiacijos	p o p u l j a t͡ʃ i j o s
pulko	p u l k o
ragino	r a d͡ʒ i n o
rimti	r i m t i
ritulio	r i t u l j o
rodomi	r o d o m i
seserimi	s e z e r i m i
studijoms	s t u d i j ɔ m s
sukūręs	s u k uː r ɛ n s
trim	t r i m
trio	t r i o
valdant	v a l d a n t
vgtu	v e ɡ t u
volkswagen	v o l k s w aː ɣ ə n
žada	ʒ a d a
akcentas	a k t͡ʃ ɛ n t a s
apyvarta	a p i v a r t a
bruno	b r u n o
būtum	b uː t u m
dalyviams	d a l i v j a m s
dan	d a n
gimdymo	ɡ i m d i m o
ginklu	ɡ i ŋ k l u
kopijų	k o p i j o
ku	k u
neptūno	n e p t uː n o
pradedamas	p r a d e d a m a s
renata	r e n a t a
rima	r i m a
skųstis	s k o s t i s
testo	t e s t o
vertinti	v e r t i n t i
vita	v i t a
švyturio	ʃ v i t u r j o
ano	a n o
beliko	b e l i k o
bendrijų	b e n d r i j o
delegacijos	d e l e ɡ a t͡ʃ i j o s
ego	e ɡ o
global	ɡ l o b a l
ho	h o
iniciatyvos	i n i t͡ʃ a t i v o s
iškovoti	i ʃ k o v o t i
jonava	j o n a v a
kitokį	k i t o k i
kunigu	k u n i ɡ u
light	l a j t
lygūs	l i ɡ uː s
manyje	m a n i j ə
medijų	m e d i j o
nedomina	n e d o m i n a
nerijos	n e r i j o s
nida	n i d a
off	ɔ f
oficialios	o f i t͡ʃ a l j o s
pacientus	p a t͡ʃ ɛ n t u s
perpus	p ə r p u s
požymius	p o ʒ i m i u s
praradimas	p r a r a d i m a s
prisiminkite	p r i z i m i n k i t e
profesionali	p r o f e z j o n a l i
senato	s e n a t o
sugrįš	s u ɡ r i ʃ
suvokimo	s u v o k i m o
tikybos	t i k i b o s
vip	v i p
viršijo	v i r ʃ i j o
centrinę	t͡ʃ ɛ n t r i n ɛ
dalyku	d a l i k u
gretas	ɡ r e t a s
leonidas	l e o n i d a s
minsko	m i n s k o
nedirba	n e d i r b a
neo	n e o
parodytas	p a r o d i t a s
punsko	p u n s k o
sekimo	s e k i m o
svetur	z v e t u r
tobulinti	t o b u l i n t i
vadyba	v a d i b a
viktoro	v i k t o r o
škotijos	ʃ k o t i j o s
brigados	b r i ɡ a d o s
denis	d e n i s
dešimtis	d e ʃ i m t i s
issn	i s n
išrado	i ʃ r a d o
kirtimo	k i r t i m o
kitko	k i t k o
nevalia	n e v a l j a
onos	o n o s
prevencijos	p r e v e n t͡ʃ i j o s
rimto	r i m t o
rūko	r uː k o
rūpesčiu	r uː p e s t͡ʃ i u
sex	s ɛ k s
stiprumo	s t i p r u m o
tęsinys	t ɛ n s i n i s
vydūno	v i d uː n o
abiturientų	a b i t u r j ɛ n t o
ac	a k
akcinė	a k t͡ʃ i n i
atsargūs	a t͡s a r ɡ uː s
gintis	ɡ i n t i s
giria	d͡ʒ i r j a
golden	ɡ o l d ə n
grunto	ɡ r u n t o
gryno	ɡ r i n o
intel	i n t ɛ l
interesams	i n t e ʀ e z a m s
išimti	i ʃ i m t i
jubiliejų	j u b i l j e j o
kopijos	k o p i j o s
licencijos	l i t͡ʃ e n t͡ʃ i j o s
ligonis	l i ɡ o n i s
lubos	l u b o s
metis	m e t i s
pab	p a p
propaganda	p r o p a ɡ a n d a
registracijos	r e d͡ʒ i s t r a t͡ʃ i j o s
ritmo	r i t m o
specialiu	s p e t͡ʃ a l j u
techninis	t e k n i n i s
um	u m
viktorijos	v i k t o r i j o s
šri	ʃ r i
židinio	ʒ i d i n j o
afganistano	a f ɡ a n i s t a n o
alga	a l ɡ a
darom	d a ʀ o m
dirbtinio	d i r p t i n j o
diskusijos	d i s k u z i j o s
gilus	ɡ i l u s
gim	ɡ i m
ilsisi	i l s i z i
ki	k i
kompetencijos	k o m p e t e n t͡ʃ i j o s
melioracijos	m e l j o r a t͡ʃ i j o s
nemano	n e m a n o
nesutiko	n e z u t i k o
nustoti	n u s t o t i
olimpinio	o l i m p i n j o
originali	o r i d͡ʒ i n a l i
pilni	p i l n i
smetonos	z m e t o n o s
socialinį	s o t͡ʃ a l i n i
sumanymas	s u m a n i m a s
tobulinimo	t o b u l i n i m o
šūkis	ʃ uː k i s
žengti	ʒ e ŋ t i
animacijos	a n i m a t͡ʃ i j o s
bo	b o
brolijos	b r o l i j o s
but	b u t
dekanas	d e k a n a s
emocijos	e m o t͡ʃ i j o s
ex	ɛ k s
galinis	ɡ a l i n i s
gravitacijos	ɡ r a v i t a t͡ʃ i j o s
išlikimo	i ʃ l i k i m o
klubus	k l u b u s
kūriniu	k uː r i n j u
manim	m a n i m
medalio	m e d a l j o
minimos	m i n i m o s
mirusio	m i r u z j o
mudu	m u d u
netiki	n e t i k i
perteklius	p e r t e k l i u s
požymis	p o ʒ i m i s
sunkių	s u ŋ k i o
sutikimo	s u t i k i m o
tamsa	t a m s a
čikaga	t͡ʃ i k a ɡ a
на	n a
būtybių	b uː t i b i o
dažni	d a ʒ n i
dešiniajame	d e ʃ i n j a j a m e
dviratis	d v i r a t i s
dykumos	d i k u m o s
estetikos	e s t e t i k o s
filmu	f i l m u
gimtojo	ɡ i m t o j o
kipro	k i p r o
klebono	k l e b o n o
kontoros	k o n t o r o s
košę	k o ʃ ɛ
kūnus	k uː n u s
lino	l i n o
mokslinę	m o k s l i n ɛ
nebijokite	n e b i j o k i t e
pirmu	p i r m u
pirtis	p i r t i s
pridurti	p r i d u r t i
profilio	p r o f i l j o
publikos	p u b l i k o s
ram	r a m
re	ʀ e
regionus	r e d͡ʒ o n u s
riko	r i k o
rytis	r i t i s
sekcijos	s e k t͡ʃ i j o s
silicio	s i l i t͡ʃ o
sutiks	s u t i k s
teroristų	t e r o r i s t o
testus	t e s t u s
tešlos	t e ʃ l o s
užims	u ʒ i m s
verkti	v e r k t i
arabijos	a r a b i j o s
didvyrio	d i d v i r j o
dokumente	d o k u m ɛ n t e
džiunglių	d͡ʒ i u ŋ l i o
general	d͡ʒ e n ə ʀ a l
he	h e
indas	i n d a s
inovacijų	i n o v a t͡ʃ i j o
kontaktų	k o n t a k t o
kulto	k u l t o
kultūrinius	k u l t uː r i n i u s
livonijos	l i v o n i j o s
luko	l u k o
lytinio	l i t i n j o
miltus	m i l t u s
moku	m o k u
nulis	n u l i s
paciento	p a t͡ʃ ɛ n t o
pagerino	p a d͡ʒ e r i n o
picos	p i k o s
pirmenybę	p i r m e n i b ɛ
pono	p o n o
profesionalas	p r o f e z j o n a l a s
radio	r a d j o
raganos	r a ɡ a n o s
sent	s ɛ n t
simona	s i m o n a
susidūrimo	s u z i d uː r i m o
sustiprino	s u s t i p r i n o
tendencijos	t e n d e n t͡ʃ i j o s
twitter	t w i t ə ʀ
tylus	t i l u s
viršelio	v i r ʃ e l j o
šiluvos	ʃ i l u v o s
boso	b o z o
box	b o k s
cento	t͡ʃ ɛ n t o
dalinio	d a l i n j o
depresijos	d e p r e z i j o s
dokumentinis	d o k u m e n t i n i s
king	k i ŋ
kolonijos	k o l o n i j o s
kostiumą	k o s t i u m ɔ w̃
kūrinyje	k uː r i n i j ə
mišinio	m i ʃ i n j o
pilietinio	p i l j e t i n j o
plisti	p l i s t i
stebuklus	s t e b u k l u s
studio	s t u d j o
tekste	t ɛ k s t ə
tiltu	t i l t u
toronto	t o r o n t o
trukmę	t r u k m ɛ
virdžinijos	v i r d͡ʒ i n i j o s
virs	v i r s
čempione	t͡ʃ e m p j o n e
žvejoti	ʒ v e j o t i
ba	b a
didis	d i d i s
diplomatijos	d i p l o m a t i j o s
imasi	i m a z i
ip	i p
išlipti	i ʃ l i p t i
kišenę	k i ʃ e n ɛ
konfliktus	k o n f l i k t u s
literatų	l i t e r a t o
medijos	m e d i j o s
minijos	m i n i j o s
mylima	m i l i m a
nutolusi	n u t o l u z i
pragyvenimo	p r a ɡ i v e n i m o
ryt	r i t
sedos	s e d o s
senis	s e n i s
telefonus	t e l e f o n u s
tradicinį	t r a d i t͡ʃ i n i
vidinį	v i d i n i
vidurinio	v i d u r i n j o
šonus	ʃ o n u s
aha	a h a
balio	b a l j o
begalę	b e ɡ a l ɛ
bin	b i n
buvusiu	b u v u z j u
dalykams	d a l i k a m s
gabija	ɡ a b i j a
galimo	ɡ a l i m o
habil	h a b i l
how	h o w
iliustracijos	i l j u s t r a t͡ʃ i j o s
kritimo	k r i t i m o
ledus	l e d u s
lukiškių	l u k i ʃ k i o
lydi	l i d i
medalis	m e d a l i s
mino	m i n o
mokslinį	m o k s l i n i
nedideliu	n e d i d e l j u
orientacijos	o r j e n t a t͡ʃ i j o s
romo	r o m o
sebastianas	s e b a s t j a n a s
skirtumus	s k i r t u m u s
spintos	s p i n t o s
supratote	s u p r a t o t e
sutuoktinis	s u t u o k t i n i s
sušikti	s u ʃ i k t i
teresa	t e ʀ e z a
tiko	t i k o
titano	t i t a n o
viršutinio	v i r ʃ u t i n j o
vytenis	v i t e n i s
adolfo	a d o l f o
atiteks	a t i t ɛ k s
dvigubo	d v i ɡ u b o
fermentų	f e r m e n t o
fi	f i
fon	f o n
forumo	f o r u m o
individualūs	i n d i v i d u a l uː s
kišenes	k i ʃ e n e s
kojom	k o j o m
kriterijų	k r i t e r i j o
kunigus	k u n i ɡ u s
leonardo	l e o n a r d o
lopšelis	l o p ʃ e l i s
matrica	m a t r i k a
mina	m i n a
miss	m i s
mišku	m i ʃ k u
pirkimo	p i r k i m o
pobūdis	p o b uː d i s
pokytis	p o k i t i s
politiko	p o l i t i k o
priprasti	p r i p r a s t i
prisijunkite	p r i z i j u ŋ k i t e
pristatymo	p r i s t a t i m o
ramina	r a m i n a
savybę	s a v i b ɛ
stebina	s t e b i n a
stebuklo	s t e b u k l o
stokos	s t o k o s
sutiktų	s u t i k t o
tebūnie	t e b uː n i
versti	v e r s t i
žiniomis	ʒ i n j o m i s
žodyno	ʒ o d i n o
žudyti	ʒ u d i t i
žygių	ʒ i ɡ i o
asmenybę	a z m e n i b ɛ
biografijos	b i o ɡ r a f i j o s
buvus	b u v u s
dabarties	d a b a r t i s
dedamas	d e d a m a s
didikų	d i d i k o
dirbi	d i r b i
filosofo	f i l o z o f o
generolu	d͡ʒ e n e ʀ o l u
ketvirtos	k e t v i r t o s
mokate	m o k a t e
nacionaliniai	n a t͡ʃ o n a l i n j a i
nemoku	n e m o k u
obligacijų	o b l i ɡ a t͡ʃ i j o
pi	p i
procento	p r o t͡ʃ ɛ n t o
studentus	s t u d ɛ n t u s
sukimo	s u k i m o
teroro	t e r o r o
tušti	t u ʃ t i
užtikrino	u ʃ t i k r i n o
vengti	v e ŋ t i
či	t͡ʃ i
šunims	ʃ u n i m s
žymūs	ʒ i m uː s
bilieto	b i l j e t o
com	k o m
dedami	d e d a m i
donas	d o n a s
fifa	f i f a
gili	ɡ i l i
grįžtu	ɡ r i ʃ t u
indo	i n d o
iškilus	i ʃ k i l u s
ištikimi	i ʃ t i k i m i
keletu	k e l e t u
knygomis	k n i ɡ o m i s
kolumbijos	k o l u m b i j o s
ledi	l e d i
look	l oː k
mena	m e n a
mokinius	m o k i n i u s
moneta	m o n e t a
next	n ɛ k s t
nutiks	n u t i k s
plus	p l u s
postus	p o s t u s
pragaro	p r a ɡ a r o
pries	p r i s
reti	r e t i
silpnos	s i l p n o s
suderinti	s u d e r i n t i
sukūrę	s u k uː r ɛ
sužinos	s u ʒ i n o s
tina	t i n a
universitetu	u n i v e r s i t e t u
užimtumo	u ʒ i m t u m o
vedybos	v e d i b o s
viduj	v i d u j
vištos	v i ʃ t o s
acto	a k t o
ekonomikoje	e k o n o m i k o j e
ilgu	i l ɡ u
imi	i m i
individuali	i n d i v i d u a l i
ištikimybę	i ʃ t i k i m i b ɛ
justino	j u s t i n o
kodus	k o d u s
kolonos	k o l o n o s
lenino	l e n i n o
metimo	m e t i m o
ministerijų	m i n i s t e r i j o
mokomi	m o k o m i
nuvežti	n u v e ʃ t i
nuvyko	n u v i k o
reputacijos	r e p u t a t͡ʃ i j o s
sistemomis	s i s t e m o m i s
smulkmenos	z m u l k m e n o s
sritimi	s r i t i m i
stepono	s t e p o n o
sudužo	s u d u ʒ o
surinktų	s u r i ŋ k t o
tikimybę	t i k i m i b ɛ
turintį	t u r i n t i
viskio	v i s k j o
šešerius	ʃ e ʃ e r i u s
šunimis	ʃ u n i m i s
žinokite	ʒ i n o k i t e
benedikto	b e n e d i k t o
bilis	b i l i s
biomedicinos	b i o m e d i t͡ʃ i n o s
debiutinis	d e b i u t i n i s
išnyks	i ʃ n i k s
ketvirtį	k e t v i r t i
kostiumus	k o s t i u m u s
madam	m a d a m
magic	m a d͡ʒ i k
milicijos	m i l i t͡ʃ i j o s
molis	m o l i s
musu	m u z u
originalo	o r i d͡ʒ i n a l o
pirminio	p i r m i n j o
prekę	p r e k ɛ
premijų	p r e m i j o
sidabras	s i d a b r a s
telkinio	t e l k i n j o
užpulti	u ʃ p u l t i
šildymo	ʃ i l d i m o
šilo	ʃ i l o
šypsenos	ʃ i p s e n o s
alina	a l i n a
bio	b i o
citrinos	t͡ʃ i t r i n o s
dmitrijus	d m i t r i j u s
dvejetų	d v e j e t o
džinsus	d͡ʒ i n s u s
finišo	f i n i ʃ o
gripo	ɡ r i p o
ilona	i l o n a
intensyvumo	i n t e n s i v u m o
inter	i n t e r
kuklus	k u k l u s
kūrybinio	k uː r i b i n j o
medžioklę	m e d͡ʒ i o k l ɛ
metodikos	m e t o d i k o s
mišinį	m i ʃ i n i
ohajo	o h a j o
pensijos	p e n s i j o s
pink	p i ŋ k
poskyrio	p o s k i r j o
pristatomi	p r i s t a t o m i
profsąjungų	p r o f s ɔ j u ŋ ɡ ɔ
pušis	p u ʃ i s
reformacijos	r e f o r m a t͡ʃ i j o s
smulkius	z m u l k i u s
susirado	s u z i r a d o
tvirti	t v i r t i
virbalio	v i r b a l j o
virti	v i r t i
šiukšlės	ʃ i u k ʃ l ɛ s
apriboti	a p r i b o t i
dabartiniu	d a b a r t i n j u
disciplinos	d i ʃ ʃ i p l i n o s
ekonomines	e k o n o m i n e s
elenos	e l e n o s
fišeris	f i ʃ e r i s
gavybos	ɡ a v i b o s
istoriniu	i s t o r i n j u
kolos	k o l o s
netruko	n e t r u k o
perkūno	p e r k uː n o
pristatoma	p r i s t a t o m a
pylimo	p i l i m o
skylę	s k i l ə
stebint	s t e b i n t
sutriuškino	s u t r i u ʃ k i n o
vaida	v a i d a
viršutinę	v i r ʃ u t i n ɛ
šitame	ʃ i t a m e
atradimo	a t r a d i m o
dabartis	d a b a r t i s
debiutinį	d e b i u t i n i
dekoratyvinis	d e k o r a t i v i n i s
din	d i n
fu	f u
gimti	ɡ i m t i
grafiko	ɡ r a f i k o
individas	i n d i v i d a s
išgirdęs	i ʒ ɡ i r d ɛ n s
lady	l a d i
mario	m a r j o
meninis	m e n i n i s
minos	m i n o s
mušti	m u ʃ t i
pirminį	p i r m i n i
politiniu	p o l i t i n j u
repo	r e p o
simptomus	s i m p t o m u s
skiriant	s k i r j a n t
sofijos	s o f i j o s
soul	s u l
sukurto	s u k u r t o
topo	t o p o
tvyro	t v i ʀ o
apygarda	a p i ɡ a r d a
atidaro	a t i d a r o
bilas	b i l a s
body	b o d i
dengti	d e ŋ t i
faina	f a i n a
forum	f o r u m
gp	d͡ʒ e p e
iliustracijų	i l j u s t r a t͡ʃ i j o
inksto	i ŋ k s t o
išlikusi	i ʃ l i k u z i
išvijo	i ʃ v i j o
klysti	k l y s t i
konditerijos	k o n d i t e r i j o s
krepšinį	k r e p ʃ i n i
kūrybinis	k uː r i b i n i s
ligonio	l i ɡ o n j o
litro	l i t r o
matys	m a t i s
mirusi	m i r u z i
motyvus	m o t i v u s
nacionaliniam	n a t͡ʃ o n a l i n j a m
pekino	p e k i n o
perima	p e r i m a
pilki	p i l k i
pilno	p i l n o
pilys	p i l i s
rungtis	ʁ u ŋ t i s
sesijos	s e s i j o s
sukūrusi	s u k uː r u z i
sutrikimo	s u t r i k i m o
sutrikimus	s u t r i k i m u s
vidun	v i d u n
vynu	v i n u
beni	b e n i
butkus	b u t k u s
būnu	b uː n u
dalinys	d a l i n i s
deguonis	d e ɡ w o n i s
dušu	d u ʃ u
ema	e m a
fonas	f o n a s
ilgomis	i l ɡ o m i s
imu	i m u
ketinimus	k e t i n i m u s
komiksų	k o m i k s o
ligoniams	l i ɡ o n j a m s
magnetinio	m a ɲ ɲ e t i n j o
moldovos	m o l d o v o s
netektis	n e t ɛ k t i s
olimpinis	o l i m p i n i s
party	p a r t i
pikti	p i k t i
profesinę	p r o f e z i n ɛ
progomis	p r o ɡ o m i s
programinę	p r o ɡ r a m i n ɛ
protokolo	p r o t o k o l o
silpni	s i l p n i
sojos	s o j o s
sol	s o l
sukimosi	s u k i m o s i
surinktus	s u r i ŋ k t u s
sūrių	s uː r i o
tigro	t i ɡ r o
tvirtos	t v i r t o s
tęstis	t ɛ n s t i s
vikipedijos	v i k i p e d i j o s
vilki	v i l k i
šitam	ʃ i t a m
šitoje	ʃ i t o j e
žinok	ʒ i n o k
žinos	ʒ i n o s
agento	a d͡ʒ ɛ n t o
ben	b ɛ n
britas	b r i t a s
budizmo	b u d i z m o
demonas	d e m o n a s
dideliam	d i d e l j a m
dvigubos	d v i ɡ u b o s
eksperimentų	e k s p e r i m e n t o
gaminys	ɡ a m i n i s
grasino	ɡ r a z i n o
imsis	i m s i s
incidento	i n t͡ʃ i d ɛ n t o
išorinį	i ʃ o r i n i
kepenis	k e p e n i s
kontora	k o n t o r a
kūrybinį	k uː r i b i n i
lape	l a p e
lu	l u
ly	l i
manyta	m a n i t a
matilda	m a t i l d a
medikų	m e d i k o
medinį	m e d i n i
mokinio	m o k i n j o
mokymus	m o k i m u s
neviltį	n e v i l t i
obama	o b a m a
ola	o l a
pijus	p i j u s
pritaria	p r i t a r j a
procentus	p r o s ɛ n t u s
skiriu	s k i r j u
smūgius	z m uː ɡ i u s
sukurtus	s u k u r t u s
sultis	s u l t i s
tekti	t e k t i
tonis	t o n i s
ventiliacijos	v e n t i l j a t͡ʃ i j o s
šunimi	ʃ u n i m i
žinomus	ʒ i n o m u s
basic	b a z i k
būsimos	b uː z i m o s
dešinysis	d e ʃ i n i s i s
florida	f l o r i d a
galintys	ɡ a l i n t i s
garantijų	ɡ a r a n t i j o
geležis	ɡ e l e ʒ i s
gražinti	ɡ r a ʒ i n t i
intensyvi	i n t e n s i v i
intensyvus	i n t ɛ n s i v u s
iškils	i ʃ k i l s
išliks	i ʃ l i k s
jones	j o n ɛ s
kištis	k i ʃ t i s
kubą	k u b ɔ w̃
lūžis	l uː ʒ i s
mada	m a d a
nesusiję	n e z u z i j ɛ
penkiolikos	p e ŋ k i o l i k o s
personažo	p e r s o n a ʒ o
praradęs	p r a r a d ɛ n s
rutulio	r u t u l j o
sedanas	s e d a n a s
shaw	ʃ a w
sklido	s k l i d o
smuko	z m u k o
sudomino	s u d o m i n o
surašyti	s u r a ʃ i t i
technikų	t e k n i k o
tekę	t e k ɛ
tell	t ɛ l
terminalo	t e r m i n a l o
tommy	t o m m i
turinčiu	t u r i n t͡ʃ j u
turistus	t u r i s t u s
upelis	u p e l i s
valentina	v a l e n t i n a
vilis	v i l i s
virimo	v i r i m o
šeduvos	ʃ e d u v o s
bi	b i
boy	b ɔ j
dzin	d͡z i n
emi	e m i
erius	e r i u s
gabalas	ɡ a b a l a s
garden	ɡ a ʁ d ə n
gilyn	ɡ i l i n
grasina	ɡ r a z i n a
hobis	h o b i s
im	i m
likučius	l i k u t͡ʃ i u s
motociklo	m o t o t͡ʃ i k l o
motociklu	m o t o t͡ʃ i k l u
mylintis	m i l i n t i s
namams	n a m a m s
nešioju	n e ʃ j o j u
nustebino	n u s t e b i n o
olimpines	o l i m p i n e s
penktasis	p e ŋ k t a z i s
pica	p i k a
pilnu	p i l n u
plytos	p l i t o s
pristatytos	p r i s t a t i t o s
putino	p u t i n o
spinduliu	s p i n d u l j u
thing	t i ŋ
tikrinti	t i k r i n t i
tiltus	t i l t u s
uždegti	u ʒ d e k t i
užpildo	u ʃ p i l d o
viltimi	v i l t i m i
vsd	v e z d e
čili	t͡ʃ i l i
švino	ʃ v i n o
žudo	ʒ u d o
administracinę	a d m i n i s t r a t͡ʃ i n ɛ
atrama	a t r a m a
balys	b a l i s
bobas	b o b a s
citrina	t͡ʃ i t r i n a
elektrinio	e l e k t r i n j o
family	f a m i l i
full	f u l
ginčus	ɡ i n t͡ʃ u s
jadvyga	j a d v i ɡ a
klinikų	k l i n i k o
law	l a w
lituanica	l i t u a n i k a
lygmenį	l i ɡ m e n i
made	m a d e
magnetas	m a ɲ ɲ e t a s
mobiliojo	m o b i l j o j o
ol	o l
padidinta	p a d i d i n t a
politiniame	p o l i t i n j a m e
pone	p o n e
rekomendacijos	r e k o m e n d a t͡ʃ i j o s
represijų	r e p r e z i j o
site	s i t e
sonata	s o n a t a
specifinis	s p e t͡ʃ i f i n i s
th	t
užimtos	u ʒ i m t o s
vadovams	v a d o v a m s
vilos	v i l o s
viršelis	v i r ʃ e l i s
šituo	ʃ i t u o
atrasta	a t r a s t a
buda	b u d a
būtis	b uː t i s
cilindro	t͡ʃ i l i n d r o
dave	d aː v e
dubenį	d u b e n i
fontanas	f o n t a n a s
gadina	ɡ a d i n a
individualus	i n d i v i d u a l u s
individualų	i n d i v i d u a l o
intelektualų	i n t e l e k t u a l o
išpirkti	i ʃ p i r k t i
išplito	i ʃ p l i t o
kids	k i t͡s
konsultacijų	k o n s u l t a t͡ʃ i j o
koto	k o t o
krikštytojo	k r i k ʃ t i t o j o
kultūriniu	k u l t uː r i n j u
kūrybinę	k uː r i b i n ɛ
lena	l e n a
minta	m i n t a
motor	m o t o r
močiutę	m o t͡ʃ j u t ɛ
nugali	n u ɡ a l i
pirmosiomis	p i r m o z j o m i s
remtis	r e m t i s
retos	r e t o s
rikis	r i k i s
sidabrinis	s i d a b r i n i s
spynos	s p i n o s
užmušti	u ʒ m u ʃ t i
viršyti	v i r ʃ i t i
žinomu	ʒ i n o m u
akcentu	a k t͡ʃ ɛ n t u
badas	b a d a s
bagdonas	b a ɡ d o n a s
capital	k a p i t a l
debesies	d e b e z i s
dokumentinio	d o k u m e n t i n j o
dovydo	d o v i d o
efektus	e f ɛ k t u s
eu	øː
fondus	f o n d u s
fuck	f u k
galimus	ɡ a l i m u s
homo	h o m o
kablys	k a b l i s
kilometrus	k i l o m e t r u s
klebonu	k l e b o n u
kodu	k o d u
loterijos	l o t e r i j o s
netektų	n e t e k t o
neturinti	n e t u r i n t i
niko	n i k o
ns	ɛ n s
objektams	o b j ɛ k t a m s
peter	p e t e r
piko	p i k o
pirminę	p i r m i n ɛ
potencialas	p o t e n t͡ʃ a l a s
pritarimo	p r i t a r i m o
rimtos	r i m t o s
senovinis	s e n o v i n i s
sklypo	s k l i p o
stebimi	s t e b i m i
stiprinimo	s t i p r i n i m o
strateginis	s t r a t e d͡ʒ i n i s
sukosi	s u k o s i
sunkvežimis	s u ŋ k v e ʒ i m i s
teatru	t e a t r u
vidurinį	v i d u r i n i
viltys	v i l t i s
viršutinį	v i r ʃ u t i n i
visiško	v i z i ʃ k o
štabe	ʃ t a b e
bato	b a t o
bokštų	b o k ʃ t o
būrius	b uː r i u s
būrių	b uː r i o
civilinis	t͡ʃ i v i l i n i s
danas	d a n a s
deguonimi	d e ɡ w o n i m i
dešimtmetis	d e ʃ i m t m e t i s
dešinioji	d e ʃ i n j o j i
doktrina	d o k t r i n a
dumblo	d u m b l o
elektroniniu	e l ɛ k t r o n i n j u
emigravo	e m i ɡ r a v o
galimybėmis	ɡ a l i m i b i m i s
globoti	ɡ l o b o t i
gretimos	ɡ r e t i m o s
helen	h e l e n
his	h i s
išnykimo	i ʃ n i k i m o
judesį	j u d e s i
lenda	l ɛ n d a
lizdus	l i z d u s
milžiniškos	m i l ʒ i n i ʃ k o s
mičigano	m i t͡ʃ i ɡ a n o
mišelis	m i ʃ e l i s
moon	m oː n
nematoma	n e m a t o m a
nemiga	n e m i ɡ a
never	n e v e r
oficialiame	o f i t͡ʃ a l j a m e
optikos	o p t i k o s
original	o r i d͡ʒ i n a l
pen	p ɛ n
pistoleto	p i s t o l e t o
prarasta	p r a r a s t a
riboto	r i b o t o
ribotos	r i b o t o s
ryklys	r i k l i s
rytinis	r i t i n i s
sabonis	s a b o n i s
simbolio	s i m b o l j o
stebiu	s t e b j u
stipriu	s t i p r i u
stos	s t o s
suburti	s u b u r t i
surišti	s u r i ʃ t i
sustabdyta	s u s t a b d i t a
svetimi	z v e t i m i
timo	t i m o
tobulos	t o b u l o s
viršūnes	v i r ʃ uː n e s
yo	j o
čiulpti	t͡ʃ i u l p t i
šimtu	ʃ i m t u
šituos	ʃ i t u o s
abipus	a b i p u s
administracinį	a d m i n i s t r a t͡ʃ i n i
animacinis	a n i m a t͡ʃ i n i s
april	a p r i l
avys	a v i s
dalytis	d a l i t i s
dick	d i k
eksperimento	e k s p e r i m e n t o
elite	e l i t e
federalinio	f e d e r a l i n j o
ginčo	ɡ i n t͡ʃ o
girti	ɡ i r t i
hitu	h i t u
intervencijos	i n t e r v e n t͡ʃ i j o s
išstumti	i ʃ s t u m t i
joniškis	j o n i ʃ k i s
keletos	k e l e t o s
kolorado	k o l o r a d o
kubos	k u b o s
kūrimu	k uː r i m u
lygu	l i ɡ u
maxima	m a k s i m a
mirusios	m i r u z j o s
originalas	o r i d͡ʒ i n a l a s
otto	o t t o
pipirų	p i p i r o
profesijų	p r o f e z i j o
sodos	s o d o s
stovintis	s t o v i n t i s
svetimus	z v e t i m u s
tikslumu	t i k s l u m u
triumfo	t r i u m f o
vega	v e ɡ a
virsti	v i r s t i
vo	v o
žymę	ʒ i m ɛ
agentu	a d͡ʒ ɛ n t u
būtini	b uː t i n i
ca	k a
centimetrų	t͡ʃ e n t i m e t r o
dėtis	d i t i s
gabalus	ɡ a b a l u s
gimdo	ɡ i m d o
instrumento	i n s t r u m e n t o
kolegijų	k o l e ɡ i j o
leono	l e o n o
limited	l i m i t e d
lydinio	l i d i n j o
milžiniški	m i l ʒ i n i ʃ k i
prezervatyvų	p r e z e r v a t i v o
skubus	s k u b u s
sprinto	s p r i n t o
toki	t o k i
tokijo	t o k i j o
tonos	t o n o s
