de	d e
demostrada	d e m o s t ɾ a d a
directives	d i ɾ e k t i v e s
dublin	d u b l i n
dubtosa	d u b t o s a
duke	d u k e
efectuades	e f e k t w a d e s
egon	e ɡ ɔ n
elba	ɛ l b a
esclatat	e s k l a t a t
escrutini	e s k ɾ u t i n i
estimi	e s t i m i
estudiava	e s t u d j a v a
festiva	f e s t i v a
fluids	f l u i d s
generi	d͡ʒ e n e ɾ i
genètics	d͡ʒ e n ɛ t i k s
gina	d͡ʒ i n a
governi	ɡ o v e ɾ n i
greixos	ɡ ɾ e j ʃ o s
immediats	i m m e d j a t s
immòbil	i m m ɔ b i l
imperials	i m p e ɾ j a l s
ingenuïtat	i n d͡ʒ e n u i t a t
insulars	i n s u l a ɾ s
intestinal	i n t e s t i n a l
iraquians	i ɾ a k j a n s
jungla	ʒ u ŋ l a
levi	l e v i
magrana	m a ɡ ɾ a n a
manava	m a n a v a
mind	m i n d
ministerial	m i n i s t e ɾ j a l
mostassa	m o s t a s s a
multi	m u l t i
nate	n a t e
negava	n e ɡ a v a
occitana	o t t͡ʃ i t a n a
omplin	o m p l i n
oportunes	o p o ɾ t u n e s
ordenats	o ɾ d e n a t s
oviedo	o v j e d o
panses	p a n s e s
paràgrafs	p a ɾ a ɡ ɾ a f s
penúltim	p e n u l t i m
poti	p o t i
prometedor	p ɾ o m e t e d o ɾ
provocarà	p ɾ o v o k a ɾ a
puré	p u ɾ e
píndoles	p i n d o l e s
racionalitat	r a t͡ʃ o n a l i t a t
raja	ɾ a ʒ a
read	r e a d
referim	r e f e ɾ i m
ridícules	r i d i k u l e s
samba	s a m b a
satisfactòria	s a t i s f a k t ɔ ɾ j a
satíric	s a t i ɾ i k
save	s a v e
secretaris	s e k ɾ e t a ɾ i s
selectiu	s e l e k t j u
senior	s e n j o ɾ
sentirà	s e n t i ɾ a
seven	s e v ɛ n
sibèria	s i b ɛ ɾ j a
soja	s o ʒ a
submarina	s u b m a ɾ i n a
sòria	s ɔ ɾ j a
tag	t a ɡ
tango	t a n ɡ o
toscana	t o s k a n a
trinxera	t ɾ i n ʃ e ɾ a
tus	t u s
uniformats	u n i f o ɾ m a t s
vallbona	v a l b o n a
valldigna	v a l d i ɲ ɲ a
veneçolà	v e n e s o l a
vilaseca	v i l a s e k a
voto	v o t o
wales	w a l e s
adoptades	a d o p t a d e s
adrenalina	a d ɾ e n a l i n a
aliada	a l j a d a
alimentats	a l i m e n t a t s
alpí	a l p i
anal	a n a l
aniversaris	a n i v e ɾ s a ɾ i s
anomeni	a n o m e n i
aqueixa	a k e j ʃ a
arqueològics	a ɾ k e o l ɔ d͡ʒ i k s
barbeta	b a ɾ b e t a
begues	b e ɡ e s
bloquejats	b l o k e ʒ a t s
brad	b ɾ a d
clavegueres	k l a v e ɡ e ɾ e s
competitiva	k o m p e t i t i v a
consten	k o n s t ɛ n
culmina	k u l m i n a
danesos	d a n e s o s
dinat	d i n a t
drones	d ɾ o n e s
emmarcat	e m m a ɾ k a t
equilibris	e k i l i b ɾ i s
escapi	e s k a p i
escrúpols	e s k ɾ u p o l s
estamos	e s t a m o s
feel	f i l
fenòmen	f e n ɔ m e n
filosòfica	f i l o s ɔ f i k a
flexibles	f l e k s i b l e s
french	f ɾ ɛ̃ ʃ
fums	f u m s
geographic	d͡ʒ e o ɡ ɾ a f i k
gestapo	d͡ʒ e s t a p o
gimnastes	d͡ʒ i m n a s t e s
gironina	d͡ʒ i ɾ o n i n a
gresca	ɡ ɾ e s k a
habitades	a b i t a d e s
havaneres	a v a n e ɾ e s
heredia	e ɾ e d j a
ictus	i k t u s
idoni	i d o n i
images	i m a d͡ʒ e s
impresos	i m p ɾ e s o s
inestimable	i n e s t i m a b l e
informin	i n f o ɾ m i n
integrals	i n t e ɡ ɾ a l s
interminable	i n t e ɾ m i n a b l e
janine	ʒ a n i n e
jedi	ʒ e d i
jons	ʒ ɔ̃ s
lobo	l o b o
locomotora	l o k o m o t o ɾ a
lícula	l i k u l a
mamut	m a m u t
manxa	m a n ʃ a
marginats	m a ɾ d͡ʒ i n a t s
marxo	m a ɾ ʃ o
meridiana	m e ɾ i d j a n a
miriam	m i ɾ j a m
nativa	n a t i v a
nuevo	n w e v o
nuvi	n u v i
otto	o t t o
paritat	p a ɾ i t a t
pinós	p i n ɔ s
piques	p i k e s
pivot	p i v o t
planetari	p l a n e t a ɾ i
podría	p o d ɾ i a
polígons	p o l i ɡ o n s
preludi	p ɾ e l u d i
punto	p u n t o
pòstum	p ɔ s t u m
quiròfan	k i ɾ ɔ f a n
rebecca	r e b e k k a
recordarem	r e k o ɾ d a ɾ e m
resolta	r e s ɔ l t a
rueda	r w e d a
saba	s a b a
santamaría	s a n t a m a ɾ i a
sardà	s a ɾ d a
saura	s a u ɾ a
semana	s e m a n a
singularitat	s i n ɡ u l a ɾ i t a t
site	s i t e
sofisticada	s o f i s t i k a d a
soft	s o f t
sorgides	s o ɾ d͡ʒ i d e s
sorprendria	s o ɾ p ɾ e n d ɾ j a
suspesos	s u s p e s o s
takahashi	t a k a h a ʃ i
talaia	t a l a j a
teixidor	t e j ʃ i d o ɾ
thiago	t j a ɡ o
tisores	t i s o ɾ e s
torturadors	t o ɾ t u ɾ a d o ɾ s
trobis	t ɾ ɔ b i s
und	u n d
uni	u n i
uss	u s
venudes	v e n u d e s
wa	w a
yes	j e s
àgora	a ɡ o ɾ a
adopten	a d o p t ɛ n
alcoià	a l k o j a
alive	a l i v e
arcades	a ɾ k a d e s
artesa	a ɾ t e s a
artés	a ɾ t e s
arxivat	a ɾ ʃ i v a t
autonòmics	a w t o n ɔ m i k s
betlem	b e t l e m
bonus	b o n u s
botswana	b o t s w a n a
brama	b ɾ a m a
cactus	k a k t u s
camells	k a m ɛ l s
compacta	k o m p a k t a
comín	k o m i n
coneixedors	k o n e j ʃ e d o ɾ s
creuats	k ɾ e w a t s
dahl	d a l
dep	d e p
diluvi	d i l u v i
dino	d i n o
discrepància	d i s k ɾ e p a n t͡ʃ a
distribuïdes	d i s t ɾ i b u i d e s
elias	e l j a s
emilia	e m i l j a
enciam	e n t͡ʃ a m
escampats	e s k a m p a t s
estafador	e s t a f a d o ɾ
estoneta	e s t o n e t a
estudio	e s t u d j o
estás	e s t a s
farigola	f a ɾ i ɡ o l a
fest	f ɛ s t
guanyada	ɡ w a n j a d a
hemeroteca	e m e ɾ o t ɛ k a
hiverns	i v ɛ ɾ n s
iguala	i ɡ w a l a
inactivitat	i n a k t i v i t a t
infinitat	i n f i n i t a t
informava	i n f o ɾ m a v a
ingesta	i n d͡ʒ e s t a
iniesta	i n j e s t a
intrusió	i n t ɾ u s j ɔ
iss	i s
jakob	ʒ a k o b
karim	k a ɾ i m
ko	k o
lapsus	l a p s u s
licors	l i k o ɾ s
lugo	l u ɡ o
malawi	m a l a w i
maltractat	m a l t ɾ a k t a t
mancava	m a n k a v a
mediador	m e d j a d o ɾ
membrana	m e m b ɾ a n a
meses	m e s e s
minas	m i n a s
multiplica	m u l t i p l i k a
nba	m b a
nouveau	n u v o
obligarà	o b l i ɡ a ɾ a
occitans	o t t͡ʃ i t a n s
oman	o m a n
ompli	o m p l i
palmes	p a l m e s
paternitat	p a t e ɾ n i t a t
pedals	p e d a l s
polseres	p o l s e ɾ e s
precoç	p ɾ e k o s
produirà	p ɾ o d ɥ i ɾ a
rars	r a ɾ s
rat	ɾ a t
reactors	r e a k t o ɾ s
santíssim	s a n t i s s i m
sebastián	s e b a s t j a n
self	s ɛ l f
shin	ʃ i n
start	s t a ɾ t
sàvia	s a v j a
tenis	t e n i s
tocaven	t o k a v ɛ n
today	t o d a j
traduïdes	t ɾ a d u i d e s
tributari	t ɾ i b u t a ɾ i
tropicals	t ɾ o p i k a l s
uniu	u n j u
xicota	ʃ i k o t a
àhmad	a m a d
ètics	ɛ t i k s
acostumem	a k o s t u m e m
afectava	a f e k t a v a
agraïr	a ɡ ɾ a i ɾ
animadors	a n i m a d o ɾ s
apòstols	a p ɔ s t o l s
aquàtica	a k w a t i k a
artesanal	a ɾ t e s a n a l
autonomista	a w t o n o m i s t a
años	a ɲ o s
benvingudes	b e n v i n ɡ u d e s
bestiari	b e s t j a ɾ i
bibliotecaris	b i b l j o t e k a ɾ i s
bilateral	b i l a t e ɾ a l
bit	b i t
boss	b ɔ s
búlgara	b u l ɡ a ɾ a
cafeïna	k a f e i n a
camell	k a m ɛ l
cardíac	k a ɾ d i a k
catherine	k a t e ɾ i n e
chase	ʃ a s e
competitives	k o m p e t i t i v e s
considerarà	k o n s i d e ɾ a ɾ a
constatat	k o n s t a t a t
contrasenyes	k o n t ɾ a s e n j e s
corbs	k o ɾ b s
cosas	k o s a s
crazy	k ɾ a z i
creuades	k ɾ e w a d e s
decidí	d e θ i d i
dedicatòria	d e d i k a t ɔ ɾ j a
diferenciat	d i f e ɾ e n t͡ʃ a t
dojo	d o ʒ o
encantarà	e n k a n t a ɾ a
esclafar	e s k l a f a ɾ
evan	e v a n
falsedat	f a l s e d a t
formativa	f o ɾ m a t i v a
fortí	f o ɾ t i
fúnebre	f u n e b ɾ e
ganivets	ɡ a n i v e t s
ic	i k
imaginaris	i m a d͡ʒ i n a ɾ i s
immediates	i m m e d j a t e s
infinits	i n f i n i t s
innegable	i n n e ɡ a b l e
insinua	i n s i n u a
intentaran	i n t e n t a ɾ a n
intermediari	i n t e ɾ m e d j a ɾ i
islandès	i s l a n d ɛ s
karma	k a ɾ m a
kid	k i d
lagos	l a ɡ o s
lar	l a ɾ
lesbos	l e z b o s
logan	l o ɡ a n
líquida	l i k i d a
mafiós	m a f j o s
maluc	m a l u k
mancada	m a n k a d a
manises	m a n i s e s
marxin	m a ɾ ʃ i n
matrimonial	m a t ɾ i m o n j a l
mañana	m a ɲ a n a
mecàniques	m e k a n i k e s
micos	m i k o s
mim	m i m
mocadors	m o k a d o ɾ s
modifica	m o d i f i k a
monetària	m o n e t a ɾ j a
monolítica	m o n o l i t i k a
montoro	m o n t o ɾ o
navals	n a v a l s
novè	n o v ɛ
nòmada	n ɔ m a d a
odissea	o d i s s e a
ondara	o n d a ɾ a
oportuna	o p o ɾ t u n a
paradeta	p a ɾ a d e t a
paraigua	p a ɾ a j ɡ w a
parèntesi	p a ɾ ɛ n t e s i
parés	p a ɾ e s
peníscola	p e n i s k o l a
pogué	p o ɡ e
polars	p o l a ɾ s
polit	p o l i t
prefix	p ɾ e f i k s
prest	p ɾ e s t
prestat	p ɾ e s t a t
promulgar	p ɾ o m u l ɡ a ɾ
punxa	p u n ʃ a
ramal	r a m a l
ratafia	r a t a f j a
rebombori	r e b o m b o ɾ i
reixa	r e j ʃ a
remat	r e m a t
repetida	r e p e t i d a
satisfà	s a t i s f a
satírica	s a t i ɾ i k a
serietat	s e ɾ j e t a t
solta	s o l t a
sords	s o ɾ d s
superava	s u p e ɾ a v a
tanto	t a n t o
temptador	t e m p t a d o ɾ
topologia	t o p o l o d͡ʒ i a
tractarà	t ɾ a k t a ɾ a
transformen	t ɾ a n s f o ɾ m e n
ts	t s
uf	u f
verbs	v e ɾ b s
vietnamites	v j e t n a m i t e s
voltor	v o l t o ɾ
vulgars	v u l ɡ a ɾ s
xipre	ʃ i p ɾ e
abadal	a b a d a l
absolta	a b s o l t a
acusava	a k u s a v a
acústic	a k u s t i k
afeccionats	a f e t t͡ʃ o n a t s
afegiran	a f e d͡ʒ i ɾ a n
alacantí	a l a k a n t i
alp	a l p
api	a p i
aproximat	a p ɾ o ʃ i m a t
ari	a ɾ i
arquers	a ɾ k e ɾ s
así	a s i
autocrítica	a w t o k ɾ i t i k a
automàtiques	a w t o m a t i k e s
bacteri	b a k t e ɾ i
bagà	b a ɡ a
baiona	b a j o n a
bernabé	b e ɾ n a b e
bingo	b i n ɡ o
bono	b o n o
botiguers	b o t i ɡ e ɾ s
britània	b ɾ i t a n j a
caca	k a k a
camperol	k a m p e ɾ ɔ l
carteres	k a ɾ t e ɾ e s
catalanitat	k a t a l a n i t a t
cavalcada	k a v a l k a d a
cementeri	t͡ʃ e m e n t e ɾ i
complau	k o m p l a w
confonen	k o n f o n ɛ n
contractista	k o n t ɾ a k t i s t a
cridòria	k ɾ i d ɔ ɾ j a
crònic	k ɾ ɔ n i k
definia	d e f i n j a
descrivia	d e s k ɾ i v j a
desfet	d e s f e t
desplega	d e s p l e ɡ a
despulles	d e s p u l l e s
detractors	d e t ɾ a k t o ɾ s
dicta	d i k t a
din	d i n
disputava	d i s p u t a v a
entraran	e n t ɾ a ɾ a n
escampa	e s k a m p a
escudero	e s k u d e ɾ o
estigueren	e s t i ɡ e ɾ ɛ n
estigué	e s t i ɡ e
estival	e s t i v a l
estrenarà	e s t ɾ e n a ɾ a
fagi	f a d͡ʒ i
filmoteca	f i l m o t ɛ k a
formatives	f o ɾ m a t i v e s
francesca	f ɾ a n t͡ʃ e s k a
francesco	f ɾ a n t͡ʃ e s k o
frec	f ɾ ɛ k
fundà	f u n d a
gambit	ɡ a m b i t
gente	d͡ʒ ɛ n t e
gestionada	d͡ʒ e s t j o n a d a
guiats	ɡ j a t s
hidalgo	i d a l ɡ o
inadequada	i n a d e k w a d a
inequívoca	i n e k i v o k a
informadors	i n f o ɾ m a d o ɾ s
irlandesos	i ɾ l a n d e s o s
lupa	l u p a
lviv	l v i v
marcades	m a ɾ k a d e s
martino	m a ɾ t i n o
marxisme	m a ɾ ʃ i z m e
mexico	m e ʃ i k o
monàrquic	m o n a ɾ k i k
monòlegs	m o n ɔ l e ɡ s
monòlit	m o n ɔ l i t
morfologia	m o ɾ f o l o d͡ʒ i a
mors	m o ɾ s
multilingüe	m u l t i l i n ɡ w e
nooo	n o o
odiós	o d j ɔ s
ordes	o ɾ d e s
palesa	p a l e s a
partisans	p a ɾ t i s a n s
pens	p ɛ n s
perdura	p e ɾ d u ɾ a
pico	p i k o
pocavergonya	p o k a v e ɾ ɡ o n j a
portalada	p o ɾ t a l a d a
prototips	p ɾ o t o t i p s
pujava	p u ʒ a v a
purs	p u ɾ s
quartes	k w a ɾ t e s
quilo	k i l o
radial	r a d j a l
refresc	r e f ɾ e s k
santana	s a n t a n a
sentís	s e n t i s
simulacre	s i m u l a k ɾ e
sistemàtic	s i s t e m a t i k
ska	s k a
sonors	s o n o ɾ s
soy	s o j
stan	s t a n
subvencionat	s u b v e n t͡ʃ o n a t
torà	t o ɾ a
transporten	t ɾ a n s p o ɾ t ɛ n
tòxica	t ɔ k s i k a
ultimàtum	u l t i m a t u m
vanitat	v a n i t a t
vares	v a ɾ e s
vasos	v a s o s
verdú	v e ɾ d u
veterinaris	v e t e ɾ i n a ɾ i s
virgínia	v i ɾ d͡ʒ i n j a
yuri	j u ɾ i
yusuf	j u s u f
abdominal	a b d o m i n a l
acabaré	a k a b a ɾ e
aixopluc	a j ʃ o p l u k
aldo	a l d o
ametllers	a m e t l e ɾ s
apareguda	a p a ɾ e ɡ u d a
aranès	a ɾ a n ɛ s
atacaven	a t a k a v ɛ n
atenen	a t e n ɛ n
augmenti	a u ɡ m e n t i
cabrils	k a b ɾ i l s
cardiovascular	k a ɾ d j o v a s k u l a ɾ
carulla	k a ɾ u l l a
cisco	t͡ʃ i s k o
colonials	k o l o n j a l s
combinats	k o m b i n a t s
comparses	k o m p a ɾ s e s
continuà	k o n t i n w a
contradiu	k o n t ɾ a d j u
cool	k u l
cànons	k a n ɔ̃ s
demanin	d e m a n i n
denunciats	d e n u n t͡ʃ a t s
despistat	d e s p i s t a t
dràcula	d ɾ a k u l a
dugui	d u ɡ i
educadora	e d u k a d o ɾ a
encesos	e n θ e s o s
equivocada	e k i v o k a d a
esperis	e s p e ɾ i s
espiga	e s p i ɡ a
etimologia	e t i m o l o d͡ʒ i a
figueroa	f i ɡ e ɾ o a
flexibilitat	f l e k s i b i l i t a t
fotografía	f o t o ɡ ɾ a f i a
gama	ɡ a m a
genital	d͡ʒ e n i t a l
gitanes	d͡ʒ i t a n e s
governada	ɡ o v e ɾ n a d a
grises	ɡ ɾ i s e s
guaiana	ɡ w a j a n a
hispània	i s p a n j a
inactiu	i n a k t j u
indult	i n d u l t
inimaginable	i n i m a d͡ʒ i n a b l e
ions	j ɔ̃ s
itunes	i t u n e s
lange	l a n d͡ʒ e
logístic	l o d͡ʒ i s t i k
luca	l u k a
malavella	m a l a v ɛ l l a
malmès	m a l m ɛ s
matalassos	m a t a l a s s o s
medes	m e d e s
metropolitans	m e t ɾ o p o l i t a n s
middle	m i d d l e
millo	m i l l o
mirin	m i ɾ i n
mun	m u n
mística	m i s t i k a
necessitarà	n e θ e s s i t a ɾ a
necessitis	n e θ e s s i t i s
nunca	n u n k a
opositor	o p o s i t o ɾ
papua	p a p u a
partitures	p a ɾ t i t u ɾ e s
penat	p e n a t
permesa	p e ɾ m e s a
pictòrica	p i k t ɔ ɾ i k a
pinxo	p i n ʃ o
portador	p o ɾ t a d o ɾ
prof	p ɾ ɔ f
provocades	p ɾ o v o k a d e s
recordaré	r e k o ɾ d a ɾ e
repetia	r e p e t i a
sabors	s a b o ɾ s
saldo	s a l d o
sardanista	s a ɾ d a n i s t a
sardina	s a ɾ d i n a
seqüeles	s e k w e l e s
serial	s e ɾ j a l
servida	s e ɾ v i d a
silvio	s i l v j o
simultànies	s i m u l t a n j e s
sindicatura	s i n d i k a t u ɾ a
sobrenatural	s o b ɾ e n a t u ɾ a l
somiem	s o m j ɛ m
sony	s o n i
substrat	s u b s t ɾ a t
subtils	s u b t i l s
sumem	s u m e m
sweet	s w i t
sèrum	s ɛ ɾ u m
talibans	t a l i b a n s
tetes	t e t e s
tigres	t i ɡ ɾ e s
tin	t i n
tivissa	t i v i s s a
toquin	t o k i n
vestidors	v e s t i d o ɾ s
vingudes	v i n ɡ u d e s
violades	v i o l a d e s
vulga	v u l ɡ a
vàlides	v a l i d e s
wu	w u
xe	ʃ e
aborden	a b o ɾ d ɛ n
aca	a k a
adversos	a d v e ɾ s o s
aguanten	a ɡ w a n t ɛ n
anja	a n ʒ a
aprendrà	a p ɾ e n d ɾ a
augmentarà	a u ɡ m e n t a ɾ a
barco	b a ɾ k o
bates	b a t e s
bibliotecari	b i b l j o t e k a ɾ i
bombeta	b o m b e t a
calvià	k a l v j a
capses	k a p s e s
castel	k a s t ɛ l
columnista	k o l u m n i s t a
comparsa	k o m p a ɾ s a
confirmades	k o n f i ɾ m a d e s
cosmos	k o z m o s
costura	k o s t u ɾ a
covardia	k o v a ɾ d j a
criats	k ɾ i a t s
culpes	k u l p e s
datat	d a t a t
decisius	d e θ i z j u s
defensives	d e f e n s i v e s
demane	d e m a n e
denominada	d e n o m i n a d a
deposat	d e p o s a t
desavantatge	d e s a v a n t a t d͡ʒ e
desfés	d e s f e s
dics	d i k s
dofí	d o f i
duplicat	d u p l i k a t
embolcall	e m b o l k a l
enuig	e n ɥ i ɡ
equivocava	e k i v o k a v a
escudella	e s k u d ɛ l l a
eslògans	e s l ɔ ɡ a n s
faena	f a e n a
falangistes	f a l a n d͡ʒ i s t e s
feixes	f e j ʃ e s
gingebre	d͡ʒ i n d͡ʒ e b ɾ e
glorieta	ɡ l o ɾ j e t a
golden	ɡ o l d ɛ n
holandesos	o l a n d e s o s
homòfob	o m ɔ f o b
hospitalària	o s p i t a l a ɾ j a
hotelers	o t e l e ɾ s
hípica	i p i k a
imperis	i m p e ɾ i s
inclinat	i n k l i n a t
infidels	i n f i d e l s
israelianes	i z r a e l j a n e s
llàgrima	l l a ɡ ɾ i m a
maleïdes	m a l e i d e s
manifestava	m a n i f e s t a v a
meme	m e m e
memoràndum	m e m o ɾ a n d u m
meteorològic	m e t e o ɾ o l ɔ d͡ʒ i k
moc	m o k
mogoda	m o ɡ o d a
molsa	m o l s a
mossegada	m o s s e ɡ a d a
mubarak	m u b a ɾ a k
mudat	m u d a t
navàs	n a v a s
oculars	o k u l a ɾ s
ocupaven	o k u p a v ɛ n
ocupem	o k u p e m
omplirà	o m p l i ɾ a
parlades	p a ɾ l a d e s
pelvis	p e l v i s
pisa	p i s a
pizzes	p i t t͡s e s
podrida	p o d ɾ i d a
porque	p o ɾ k e
porsche	p o ɾ s k e
prelitoral	p ɾ e l i t o ɾ a l
pròspera	p ɾ ɔ s p e ɾ a
pues	p w e s
punxat	p u n ʃ a t
put	p u t
quirúrgica	k i ɾ u ɾ d͡ʒ i k a
raj	ɾ a ʒ
redactada	r e d a k t a d a
reposa	r e p o s a
sabina	s a b i n a
salten	s a l t ɛ n
sardines	s a ɾ d i n e s
satanàs	s a t a n a s
saxo	s a ʃ o
silla	s i l l a
sionista	s j o n i s t a
somniat	s o m n j a t
substituts	s u b s t i t u t s
subtítol	s u b t i t o l
suposades	s u p o s a d e s
sylvia	s i l v j a
telefònic	t e l e f ɔ n i k
testos	t e s t o s
tríptic	t ɾ i p t i k
usuàries	u z w a ɾ j e s
valira	v a l i ɾ a
veneçolana	v e n e s o l a n a
veterinària	v e t e ɾ i n a ɾ j a
vichy	v i ʃ i
òptima	ɔ p t i m a
abatre	a b a t ɾ e
acomiadats	a k o m j a d a t s
agustín	a ɡ u s t i n
ant	a n t
apòstol	a p ɔ s t o l
baldoví	b a l d o v i
bogdan	b o ɡ d a n
cantaven	k a n t a v ɛ n
cantàbria	k a n t a b ɾ j a
casernes	k a s e ɾ n e s
celebrà	θ e l e b ɾ a
clint	k l i n t
cognitiu	k o ɲ ɲ i t j u
compartirem	k o m p a ɾ t i ɾ e m
compri	k o m p ɾ i
consoles	k o n s o l e s
contamina	k o n t a m i n a
cristóbal	k ɾ i s t ɔ b a l
curvatura	k u ɾ v a t u ɾ a
cúbics	k u b i k s
desapercebuda	d e s a p e ɾ θ e b u d a
desperten	d e s p e ɾ t e n
due	d u e
eliminatòries	e l i m i n a t ɔ ɾ j e s
entrenadora	e n t ɾ e n a d o ɾ a
estaba	e s t a b a
fotògrafa	f o t ɔ ɡ ɾ a f a
frodo	f ɾ o d o
fun	f u n
gelada	d͡ʒ e l a d a
getafe	d͡ʒ e t a f e
gnu	ɲ u
gralla	ɡ ɾ a l l a
grata	ɡ ɾ a t a
greta	ɡ ɾ e t a
iberia	i b e ɾ j a
jeje	ʒ e ʒ e
jugui	ʒ u ɡ i
laborista	l a b o ɾ i s t a
latitud	l a t i t u d
lona	l o n a
lydia	l i d j a
maldonado	m a l d o n a d o
maldà	m a l d a
mariscal	m a ɾ i s k a l
marxeu	m a ɾ ʃ e w
matadepera	m a t a d e p e ɾ a
menyspreat	m e n i s p ɾ e a t
migcampista	m i ɡ k a m p i s t a
montesa	m o n t e s a
mànigues	m a n i ɡ e s
mèrida	m ɛ ɾ i d a
native	n a t i v e
nedadors	n e d a d o ɾ s
nine	n i n e
noè	n o ɛ
nules	n u l e s
obriran	o b ɾ i ɾ a n
ocultes	o k u l t e s
oposava	o p o s a v a
paramilitars	p a ɾ a m i l i t a ɾ s
patum	p a t u m
pelat	p e l a t
pelis	p e l i s
persiana	p e ɾ s j a n a
pervers	p e ɾ v e ɾ s
preferiu	p ɾ e f e ɾ j u
prestigiosos	p ɾ e s t i d͡ʒ o s o s
prometo	p ɾ o m e t o
reagan	r e a ɡ a n
representarà	r e p ɾ e s e n t a ɾ a
reuniran	r e u n i ɾ a n
saladí	s a l a d i
samurai	s a m u ɾ a j
saquejos	s a k e ʒ o s
selectivitat	s e l e k t i v i t a t
sensorial	s e n s o ɾ j a l
seràn	s e ɾ a n
sintètica	s i n t ɛ t i k a
sobren	s o b ɾ ɛ n
solc	s o l k
still	s t i l
tancava	t a n k a v a
trueta	t ɾ u e t a
viñas	v i ɲ a s
volador	v o l a d o ɾ
òperes	ɔ p e ɾ e s
abdominals	a b d o m i n a l s
acreditats	a k ɾ e d i t a t s
afiliat	a f i l j a t
afronten	a f ɾ o n t ɛ n
ajusta	a ʒ u s t a
albada	a l b a d a
alcalá	a l k a l a
alienes	a l j e n e s
andre	a n d ɾ e
anestèsia	a n e s t ɛ s j a
anticossos	a n t i k o s s o s
apatia	a p a t i a
arquitectòniques	a ɾ k i t e k t ɔ n i k e s
borbònic	b o ɾ b ɔ n i k
bruna	b ɾ u n a
bufanda	b u f a n d a
burke	b u ɾ k e
caminem	k a m i n e m
cantor	k a n t o ɾ
capitol	k a p i t ɔ l
conten	k o n t ɛ n
culta	k u l t a
cunyada	k u n j a d a
càlides	k a l i d e s
dakota	d a k o t a
dario	d a ɾ j o
defensi	d e f ɛ n s i
deltebre	d e l t e b ɾ e
desagradables	d e s a ɡ ɾ a d a b l e s
desnonats	d e s n o n a t s
disputada	d i s p u t a d a
dolçor	d o l s o ɾ
editats	e d i t a t s
elies	e l j e s
emeses	e m e s e s
ermites	e ɾ m i t e s
esquís	e s k i s
estirada	e s t i ɾ a d a
evolutiva	e v o l u t i v a
formo	f o ɾ m o
forçades	f o ɾ s a d e s
fractures	f ɾ a k t u ɾ e s
generades	d͡ʒ e n e ɾ a d e s
genoa	d͡ʒ e n o a
glop	ɡ l ɔ p
grades	ɡ ɾ a d e s
honestos	o n e s t o s
hostalric	o s t a l r i k
identificades	i d e n t i f i k a d e s
imposts	i m p o s t s
improvisat	i m p ɾ o v i z a t
jané	ʒ a n e
judicatura	ʒ u d i k a t u ɾ a
justificat	ʒ u s t i f i k a t
kirk	k i ɾ k
michelin	m i ʃ e l i n
mones	m o n e s
monumentals	m o n u m e n t a l s
moragues	m o ɾ a ɡ e s
motí	m o t i
muga	m u ɡ a
míriam	m i ɾ j a m
neue	n e w e
nuvis	n u v i s
orlando	o ɾ l a n d o
pedraforca	p e d ɾ a f o ɾ k a
pelegrins	p e l e ɡ ɾ i n s
penetra	p e n e t ɾ a
peralta	p e ɾ a l t a
permetis	p e ɾ m e t i s
perpetua	p e ɾ p e t u a
popa	p o p a
primitius	p ɾ i m i t j u s
prometen	p ɾ o m e t ɛ n
psib	p s i b
putada	p u t a d a
recomanada	r e k o m a n a d a
recreativa	r e k ɾ e a t i v a
reformada	r e f o ɾ m a d a
retocs	r e t o k s
riuada	ɾ i w a d a
sabre	s a b ɾ e
sals	s a l s
sería	s e ɾ i a
sha	ʃ a
sono	s o n o
sultan	s u l t a n
tarat	t a ɾ a t
tasta	t a s t a
tiri	t i ɾ i
tobago	t o b a ɡ o
trobadors	t ɾ o b a d o ɾ s
trobà	t ɾ o b a
turkmenistan	t u ɾ k m e n i s t a n
tímida	t i m i d a
univ	u n i v
utah	u t a
ventilador	v e n t i l a d o ɾ
verdad	v e ɾ d a d
vilamajor	v i l a m a ʒ o ɾ
virginitat	v i ɾ d͡ʒ i n i t a t
voten	v o t ɛ n
xirinacs	ʃ i ɾ i n a k s
yucatán	j u k a t a n
acm	a k m
adhesiu	a d e s j u
adoptiu	a d o p t j u
agroalimentari	a ɡ ɾ o a l i m e n t a ɾ i
angels	a n d͡ʒ ɛ l s
apareixeran	a p a ɾ e j ʃ e ɾ a n
aragonés	a ɾ a ɡ o n e s
arnes	a ɾ n e s
bali	b a l i
bastió	b a s t j ɔ
biòleg	b j ɔ l e ɡ
blindat	b l i n d a t
boadella	b o a d ɛ l l a
bugaderia	b u ɡ a d e ɾ j a
buscaré	b u s k a ɾ e
cansa	k a n s a
ceràmiques	θ e ɾ a m i k e s
clavada	k l a v a d a
click	k l i k
climàtica	k l i m a t i k a
coleman	k o l e m a n
comesa	k o m e s a
compreses	k o m p ɾ e s e s
conducte	k o n d u k t e
conductora	k o n d u k t o ɾ a
contrastada	k o n t ɾ a s t a d a
contrastos	k o n t ɾ a s t o s
coordina	k o o ɾ d i n a
cosmètica	k o z m ɛ t i k a
definint	d e f i n i n
degli	d e ɡ l i
desfavorits	d e s f a v o ɾ i t s
dialèctica	d i a l ɛ k t i k a
difosa	d i f o s a
diva	d i v a
empresonada	e m p ɾ e s o n a d a
empresària	e m p ɾ e s a ɾ j a
