un	u n
noslēpumi	n o s l eː p u m i
pievienojot	p i e v i e n o j o t
pilsonis	p i l s o n i s
simbolizē	s i m b o l i z eː
stipru	s t i p r u
uk	u k
ēdu	eː d u
īsteno	iː s t e n o
šinī	ʃ i n iː
šķidrumu	ʃ t͡ʃ i d r u m u
blue	b l u e
ceļo	t͡s e ʎ o
cienu	t͡s i e n u
dzimst	d͡z i m s t
en	e n
kungi	k u n ɡ i
mest	m e s t
noguris	n o ɡ u r i s
pieminēt	p i e m i n eː t
posmi	p o s m i
resursi	r e s u r s i
spīd	s p iː d
sūdi	s uː d i
termiņš	t e r m i ɲ ʃ
triks	t r i k s
tukšs	t u k ʃ s
īsziņu	iː s z i ɲ u
būtību	b uː t iː b u
cilts	t͡s i l t s
diskusiju	d i s k u s i j u
dzimuši	d͡z i m u ʃ i
et	e t
free	f r eː
izeju	i z e j u
lepnums	l e p n u m s
mēsli	m eː s l i
mēsls	m eː s l s
mīļoto	m iː ʎ o t o
mīļš	m iː ʎ ʃ
neredzēju	n e r e d͡z eː j u
pieņemti	p i e ɲ e m t i
pirkstus	p i r k s t u s
politiski	p o l i t i s k i
profilu	p r o f i l u
putekļu	p u t e k ʎ u
putnus	p u t n u s
siltumu	s i l t u m u
sirdis	s i r d i s
skūpstu	s k uː p s t u
veidus	v e i d u s
viņs	v i ɲ s
vēroju	v eː r o j u
četrdesmit	t͡ʃ e t r d e s m i t
ceļus	t͡s e ʎ u s
dikti	d i k t i
du	d u
interviju	i n t e r v i j u
joslu	j o s l u
kredīts	k r e d iː t s
krēsls	k r eː s l s
mačs	m ɑ t͡ʃ s
muskuļi	m u s k u ʎ i
norit	n o r i t
nozīmīgi	n o z iː m iː ɡ i
piekrīt	p i e k r iː t
pieņems	p i e ɲ e m s
produkts	p r o d u k t s
prēmiju	p r eː m i j u
sūtījumu	s uː t iː j u m u
teiks	t e i k s
us	u s
ciklu	t͡s i k l u
delfi	d e l f i
devējs	d e v eː j s
dzen	d͡z e n
ebreji	e b r e j i
gribēt	ɡ r i b eː t
grēks	ɡ r eː k s
kritums	k r i t u m s
minimums	m i n i m u m s
mēru	m eː r u
opel	o p e l
pielikt	p i e l i k t
pozitīvs	p o z i t iː v s
profils	p r o f i l s
pērle	p eː r l e
pētīt	p eː t iː t
romiešu	r o m i e ʃ u
runu	r u n u
upuris	u p u r i s
vergu	v e r ɡ u
vīrusu	v iː r u s u
cepures	t͡s e p u r e s
kompleksu	k o m p l e k s u
kritiski	k r i t i s k i
modernās	m o d e r n ɑː s
mīklu	m iː k l u
republiku	r e p u b l i k u
resns	r e s n s
sekundēs	s e k u n d eː s
senioru	s e n i o r u
studēt	s t u d eː t
suņus	s u ɲ u s
sīki	s iː k i
treniņš	t r e n i ɲ ʃ
veiks	v e i k s
vietnes	v i e t n e s
vērsts	v eː r s t s
zemēm	z e m eː m
bus	b u s
drīkstu	d r iː k s t u
dzīvojošo	d͡z iː v o j o ʃ o
grēkus	ɡ r eː k u s
kristīgo	k r i s t iː ɡ o
krustu	k r u s t u
līgumus	l iː ɡ u m u s
mute	m u t e
pievērst	p i e v eː r s t
rio	r i o
slepus	s l e p u s
superīgi	s u p e r iː ɡ i
svinīgi	s v i n iː ɡ i
teksti	t e k s t i
tornī	t o r n iː
uzņēmumus	u z ɲ eː m u m u s
veselīgi	v e s e l iː ɡ i
vieglu	v i eˀ ɡ l u
vienāds	v i e n ɑː d s
virsu	v i r s u
cepumus	t͡s e p u m u s
džeki	d͡ʒ e k i
firmu	f i r m u
gulbenē	ɡ u l b e n eː
ieguldīt	i e ɡ u l d iː t
izturību	i z t u r iː b u
kilometri	k i l o m e t r i
konkurences	k o n k u r e n t͡s e s
kritiku	k r i t i k u
les	l e s
like	l i k e
liku	l i k u
nezinām	n e z i n ɑː m
nogurusi	n o ɡ u r u s i
nopērc	n o p eː r t͡s
noteikto	n o t e i k t o
novēlu	n o v eː l u
novērtējums	n o v eː r t eː j u m s
ozoliņš	o z o l i ɲ ʃ
pelnījusi	p e l n iː j u s i
pieteikumu	p i e t e i k u m u
pētījumus	p eː t iː j u m u s
rsu	r s u
senā	s e n ɑː
senāk	s e n ɑː k
turpinu	t u r p i n u
unesco	u n e s t͡s o
uzveikt	u z v e i k t
viesus	v i e s u s
cēsīm	t͡s eː s iː m
dvīņi	d v iː ɲ i
dziļums	d͡z i ʎ u m s
grēku	ɡ r eː k u
klāj	k l ɑː j
komplekti	k o m p l e k t i
kopīgu	k o p iː ɡ u
krist	k r i s t
kristu	k r i s t u
krusts	k r u s t s
minēto	m i n eː t o
mozus	m o z u s
mēli	m eː l i
nee	n eː
neietekmē	n e i e t e k m eː
nemitīgi	n e m i t iː ɡ i
nolēmis	n o l eː m i s
nonākt	n o n ɑː k t
piespēles	p i e s p eː l e s
pretim	p r e t i m
priekšmetus	p r i e k ʃ m e t u s
puišu	p u i ʃ u
pīle	p iː l e
regulē	r e ɡ u l eː
sekojot	s e k o j o t
ti	t i
tiksi	t i k s i
tērps	t eː r p s
tērpu	t eː r p u
zems	z e m s
zilo	z i l o
bull	b u lː
dzimtenē	d͡z i m t e n eː
guļu	ɡ u ʎ u
hes	h e s
ievēl	i e v eː l
institūtu	i n s t i t uː t u
kopu	k o p u
kopums	k o p u m s
kurts	k u r t s
mezglu	m e z ɡ l u
pele	p e l e
pieminekļu	p i e m i n e k ʎ u
pilotu	p i l o t u
stiklu	s t i k l u
stīvs	s t iː v s
svētību	s v eː t iː b u
veļu	v e ʎ u
zemēs	z e m eː s
čūsku	t͡ʃ uː s k u
būtisku	b uː t i s k u
cēlonis	t͡s eː l o n i s
he	h e
ilgus	i l ɡ u s
izveidoti	i z v e i d o t i
juristi	j u r i s t i
jēziņ	j eː z i ɲ
konferenču	k o n f e r e n t͡ʃ u
kurp	k u r p
līmenim	l iː m e n i m
melu	m e l u
ministriju	m i n i s t r i j u
nonāks	n o n ɑː k s
nopietnu	n o p i e t n u
objektus	o b j e k t u s
out	o u t
pieminekli	p i e m i n e k l i
pozitīvo	p o z i t iː v o
skrīveru	s k r iː v e r u
spēlējis	s p eː l eː j i s
ugunsgrēku	u ɡ u n s ɡ r eː k u
uzbūvēt	u z b uː v eː t
vējonis	v eː j o n i s
ziņojumus	z i ɲ o j u m u s
cepure	t͡s e p u r e
institūciju	i n s t i t uː t͡s i j u
juridisko	j u r i d i s k o
koši	k o ʃ i
krūts	k r uː t s
likmi	l i k m i
likvidēt	l i k v i d eː t
logus	l o ɡ u s
modeļus	m o d e ʎ u s
māk	m ɑː k
novēro	n o v eː r o
objektīvi	o b j e k t iː v i
piekļuve	p i e k ʎ u v e
pilnvērtīgi	p i l n v eː r t iː ɡ i
pretējo	p r e t eː j o
principi	p r i n t͡s i p i
stūri	s t uː r i
sēdēs	s eː d eː s
tour	t o u r
toņi	t o ɲ i
treniņi	t r e n i ɲ i
trio	t r i o
turciju	t u r t͡s i j u
vedīs	v e d iː s
vizītē	v i z iː t eː
ben	b e n
cukuru	t͡s u k u r u
iznāks	i z n ɑː k s
klinšu	k l i n ʃ u
lepni	l e p n i
liecību	l i e t͡s iː b u
likts	l i k t s
locekļus	l o t͡s e k ʎ u s
neteiktu	n e t e i k t u
nūju	n uː j u
piekļuvi	p i e k ʎ u v i
pieņemu	p i e ɲ e m u
pirksts	p i r k s t s
pusfināls	p u s f i n ɑː l s
se	s e
serveri	s e r v e r i
sugām	s u ɡ ɑː m
tuksnesī	t u k s n e s iː
veselīgu	v e s e l iː ɡ u
vest	v e s t
vilis	v i l i s
vēlā	v eː l ɑː
but	b u t
cukurs	t͡s u k u r s
endrū	e n d r uː
jurists	j u r i s t s
konkursi	k o n k u r s i
liktu	l i k t u
līderu	l iː d e r u
ozolu	o z o l u
peles	p e l e s
piekļuves	p i e k ʎ u v e s
reāls	r e ɑː l s
sesto	s e s t o
sirsnīgi	s i r s n iː ɡ i
smuki	s m u k i
sveicu	s v e i t͡s u
sēklu	s eː k l u
tulkojumu	t u l k o j u m u
tumsu	t u m s u
turpini	t u r p i n i
uzspēlēt	u z s p eː l eː t
zemeņu	z e m e ɲ u
ziņojumi	z i ɲ o j u m i
zīmējumi	z iː m eː j u m i
zūd	z uː d
šreks	ʃ r e k s
gulēju	ɡ u l eː j u
ikreiz	i k r e i z
jūdzes	j uː d͡z e s
kolekciju	k o l e k t͡s i j u
medī	m e d iː
minēju	m i n eː j u
mitrums	m i t r u m s
nogurums	n o ɡ u r u m s
nopirkšu	n o p i r k ʃ u
pirts	p i r t s
pretestību	p r e t e s t iː b u
profesionāls	p r o f e s i o n ɑː l s
reisu	r e i s u
robotu	r o b o t u
rupji	r u p j i
rūpnīcu	r uː p n iː t͡s u
sekundi	s e k u n d i
stulbums	s t u l b u m s
tērpi	t eː r p i
veikusi	v e i k u s i
vietnieku	v i e t n i e k u
vēsti	v eː s t i
zemo	z e m o
ūdeņi	uː d e ɲ i
dzelteno	d͡z e l t e n o
dzinēji	d͡z i n eː j i
dzēris	d͡z eː r i s
eksperimentu	e k s p e r i m e n t u
hosē	h o s eː
ieteikums	i e t e i k u m s
izdzēst	i z d͡z eː s t
izvērtēt	i z v eː r t eː t
kļūšu	k ʎ uː ʃ u
līmeņu	l iː m e ɲ u
minēti	m i n eː t i
mēbelēm	m eː b e l eː m
mēbeļu	m eː b e ʎ u
neilgi	n e i l ɡ i
neliek	n e l i e k
netiktu	n e t i k t u
numuri	n u m u r i
peru	p e r u
putekļi	p u t e k ʎ i
pūles	p uː l e s
rotu	r o t u
skolēns	s k o l eː n s
solījumu	s o l iː j u m u
soļi	s o ʎ i
stulbu	s t u l b u
sveces	s v e t͡s e s
tims	t i m s
zolitūdes	z o l i t uː d e s
zīmējums	z iː m eː j u m s
šmits	ʃ m i t s
bilžu	b i l ʒ u
dibenu	d i b e n u
dzirdēts	d͡z i r d eː t s
efektīvi	e f e k t iː v i
ekonomiski	e k o n o m i s k i
ievilkt	i e v i l k t
lopu	l o p u
mi	m i
motociklu	m o t o t͡s i k l u
mēle	m eː l e
nometņu	n o m e t ɲ u
pielietojumu	p i e l i e t o j u m u
pilni	p iˀ l n i
piloti	p i l o t i
presē	p r e s eː
pērles	p eː r l e s
smits	s m i t s
sodīt	s o d iː t
stipendiju	s t i p e n d i j u
tekstus	t e k s t u s
trūkumi	t r uː k u m i
upju	u p j u
veikli	v e i k l i
zirgus	z i r ɡ u s
zobenu	z o b e n u
šoseju	ʃ o s e j u
disks	d i s k s
dziļu	d͡z i ʎ u
gēnu	ɡ eː n u
hokejists	h o k e j i s t s
kosmētiku	k o s m eː t i k u
krietnu	k r i e t n u
muižu	m u i ʒ u
nēsā	n eː s ɑː
perfektu	p e r f e k t u
pievienoti	p i e v i e n o t i
premjers	p r e m j e r s
procesus	p r o t͡s e s u s
puiku	p u i k u
pēteri	p eː t e r i
senu	s e n u
singlu	s i n ɡ l u
svešu	s v e ʃ u
sēdēju	s eː d eː j u
sēne	s eː n e
uzcelt	u z t͡s e l t
veseli	v e s e l i
visums	v i s u m s
vērtīgu	v eː r t iː ɡ u
zīmējumu	z iː m eː j u m u
ņemu	ɲ e m u
ši	ʃ i
ceturksnī	t͡s e t u r k s n iː
dvīņu	d v iː ɲ u
dzeru	d͡z e r u
dž	d͡ʒ
iezīmē	i e z iː m eː
komiteju	k o m i t e j u
krīzi	k r iː z i
mirstu	m i r s t u
modē	m o d eː
nebūsi	n e b uː s i
nepieņem	n e p i e ɲ e m
netrūkst	n e t r uː k s t
neveiksmi	n e v e i k s m i
noteikums	n o t e i k u m s
personību	p e r s o n iː b u
piemērotu	p i e m eː r o t u
pulks	p u l k s
pults	p u l t s
respektīvi	r e s p e k t iː v i
sekošu	s e k o ʃ u
slimo	s l i m o
slēpt	s l eː p t
svētie	s v eː t i e
vēlās	v eː l ɑː s
zinību	z i n iː b u
čehu	t͡ʃ e h u
dzejolis	d͡z e j o l i s
ego	e ɡ o
gudru	ɡ u d r u
impulsu	i m p u l s u
interesēs	i n t e r e s eː s
izdevējs	i z d e v eː j s
izdevību	i z d e v iː b u
kluss	k l u sː
klusumu	k l u s u m u
kristieši	k r i s t i e ʃ i
krūmu	k r uː m u
likumīgi	l i k u m iː ɡ i
momentu	m o m e n t u
mēslus	m eː s l u s
nebūsim	n e b uː s i m
nils	n i l s
nosūtīju	n o s uː t iː j u
pietiktu	p i e t i k t u
pieņemsim	p i e ɲ e m s i m
puišus	p u i ʃ u s
purnu	p u r n u
purvu	p u r v u
putins	p u t i n s
pušu	p u ʃ u
sižetu	s i ʒ e t u
tulkojums	t u l k o j u m s
uzlikts	u z l i k t s
uzņemts	u z ɲ e m t s
veltīt	v e l t iː t
ver	v e r
vā	v ɑː
vērtējums	v eː r t eː j u m s
šūnām	ʃ uː n ɑː m
ūdeņu	uː d e ɲ u
fonā	f o n ɑː
guvusi	ɡ u v u s i
iezīme	i e z iː m e
jostu	j o s t u
klusēt	k l u s eː t
komentēt	k o m e n t eː t
krēms	k r eː m s
ložu	l o ʒ u
lēnāk	l eː n ɑː k
mets	m e t s
nepilnu	n e p i l n u
nespētu	n e s p eː t u
prese	p r e s e
profesiju	p r o f e s i j u
putniņš	p u t n i ɲ ʃ
rīkli	r iː k l i
rūpēm	r uː p eː m
senču	s e n t͡ʃ u
septembri	s e p t e m b r i
tipiski	t i p i s k i
tūkst	t uː k s t
zinās	z i n ɑː s
bin	b i n
cepumi	t͡s e p u m i
ciems	t͡s i eˀ m s
derēt	d e r eː t
deviņu	d e v i ɲ u
džims	d͡ʒ i m s
ievieš	i e v i e ʃ
ieņēmumus	i e ɲ eː m u m u s
ilūkstes	i l uː k s t e s
izvērtē	i z v eː r t eː
kluso	k l u s o
likšu	l i k ʃ u
meklēs	m e k l eː s
metu	m e t u
mēteli	m eː t e l i
mīts	m iː t s
niku	n i k u
nopirktu	n o p i r k t u
pieteikt	p i e t e i k t
projektus	p r o j e k t u s
pusotru	p u s o t r u
pusēs	p u s eː s
sirdīs	s i r d iː s
sist	s i s t
soļiem	s o ʎ i eˀ m
sāksi	s ɑː k s i
upītes	u p iː t e s
virspusē	v i r s p u s eː
vizīte	v i z iː t e
zemā	z e m ɑː
ērtu	eː r t u
bēru	b eː r u
dīvāns	d iː v ɑː n s
elite	e l i t e
girl	ɡ i r l
idioti	i d i o t i
joko	j o k o
klepus	k l e p u s
krūmiņš	k r uː m i ɲ ʃ
lēts	l eː t s
maisā	m ɑ i s ɑː
mirt	m i r t
nedrīkstu	n e d r iː k s t u
nomest	n o m e s t
noris	n o r i s
numurus	n u m u r u s
piekrīti	p i e k r iː t i
pīļu	p iː ʎ u
spogulī	s p o ɡ u l iː
spējis	s p eː j i s
spēlētu	s p eː l eː t u
strēlnieks	s t r eː l n i e k s
summer	s u mː e r
tilpums	t i l p u m s
treneru	t r e n e r u
treniņus	t r e n i ɲ u s
upei	u p e i
vēji	v eː j i
vēstulē	v eː s t u l eː
vētru	v eː t r u
vīni	v iː n i
zvēru	z v eː r u
devusi	d e v u s i
devīze	d e v iː z e
drēbju	d r eː b j u
filozofiju	f i l o z o f i j u
jokus	j o k u s
jūliju	j uː l i j u
komponistu	k o m p o n i s t u
line	l i n e
netīrs	n e t iː r s
novērojumi	n o v eː r o j u m i
nožēlo	n o ʒ eː l o
nožēloju	n o ʒ eː l o j u
pelnu	p e l n u
pieteikumus	p i e t e i k u m u s
poliju	p o l i j u
pīles	p iː l e s
pūš	p uː ʃ
reitingu	r e i t i n ɡ u
rīkojums	r iː k o j u m s
segums	s e ɡ u m s
seksīgi	s e k s iː ɡ i
simboli	s i m b o l i
stīgu	s t iː ɡ u
suši	s u ʃ i
telšu	t e l ʃ u
tūristi	t uː r i s t i
vēls	v eː l s
vēstuļu	v eː s t u ʎ u
zīle	z iː l e
čili	t͡ʃ i l i
bo	b o
dodu	d o d u
konstrukciju	k o n s t r u k t͡s i j u
liverpool	l i v e r p oː l
mirušie	m i r u ʃ i e
nemelo	n e m e l o
nespēšu	n e s p eː ʃ u
neveiksmes	n e v e i k s m e s
nolūku	n o l uː k u
nomiris	n o m i r i s
nonākusi	n o n ɑː k u s i
okeāns	o k e ɑː n s
pieteikums	p i e t e i k u m s
poļi	p o ʎ i
principus	p r i n t͡s i p u s
protokoli	p r o t o k o l i
putekļus	p u t e k ʎ u s
reitings	r e i t i n ɡ s
rezervē	r e z e r v eː
rīks	r iː k s
senči	s e n t͡ʃ i
shēmu	ʃ eː m u
strenču	s t r e n t͡ʃ u
uzturs	u z t u r s
vecītis	v e t͡s iː t i s
vērojot	v eː r o j o t
zemju	z e m j u
bumbiņu	b u m b i ɲ u
burti	b u r t i
cimdus	t͡s i m d u s
den	d e n
diskutēt	d i s k u t eː t
dzēst	d͡z eː s t
first	f i r s t
hugo	h u ɡ o
iesit	i e s i t
izlido	i z l i d o
knicks	k n i t͡s k s
kubu	k u b u
luīze	l u iː z e
meklējumi	m e k l eː j u m i
mierīgu	m i e r iː ɡ u
muskuļus	m u s k u ʎ u s
māc	m ɑː t͡s
mēdzu	m eː d͡z u
nenotiktu	n e n o t i k t u
nometnēs	n o m e t n eː s
nopelnījis	n o p e l n iː j i s
novērš	n o v eː r ʃ
nozīmēt	n o z iː m eː t
perfekts	p e r f e k t s
pielietot	p i e l i e t o t
piemin	p i e m i n
pluss	p l u sː
plūdu	p l uː d u
pūlēm	p uː l eː m
redzēšu	r e d͡z eː ʃ u
rīku	r iː k u
strīdu	s t r iː d u
tipisks	t i p i s k s
tituls	t i t u l s
tomu	t o m u
true	t r u e
tūrisms	t uː r i s m s
veel	v eː l
vilcieni	v i l t͡s i eˀ n i
vērtīgi	v eː r t iː ɡ i
vēsturisks	v eː s t u r i s k s
zoss	z o sː
ēnā	eː n ɑː
īru	iː r u
cietums	t͡s i e t u m s
cietuši	t͡s i e t u ʃ i
dukurs	d u k u r s
filmēt	f i l m eː t
fāzes	f ɑː z e s
gaišā	ɡ ɑ i ʃ ɑː
iesist	i e s i s t
kretīns	k r e t iː n s
kritis	k r i t i s
litru	l i t r u
lomās	l o m ɑː s
miesu	m i e s u
mīksts	m iː k s t s
nedzīvo	n e d͡z iː v o
nespēlē	n e s p eː l eː
netieši	n e t i e ʃ i
nodoti	n o d o t i
notis	n o t i s
nozīmētu	n o z iː m eː t u
op	o p
ph	p h
prognozē	p r o ɡ n o z eː
pulku	p u l k u
pūces	p uː t͡s e s
romeo	r o m e o
sodīts	s o d iː t s
spīdumu	s p iː d u m u
stulbo	s t u l b o
svētī	s v eː t iː
sēru	s eː r u
sīko	s iː k o
tukšums	t u k ʃ u m s
veltījums	v e l t iː j u m s
york	j o r k
īri	iː r i
īso	iː s o
collu	t͡s o lː u
deep	d eː p
dzejoļus	d͡z e j o ʎ u s
filips	f i l i p s
ieteiktu	i e t e i k t u
indiešu	i n d i e ʃ u
izkļūt	i z k ʎ uː t
jutu	j u t u
klintis	k l i n t i s
komunisti	k o m u n i s t i
konstitūciju	k o n s t i t uː t͡s i j u
linu	l i n u
litri	l i t r i
nemeklē	n e m e k l eː
nopircis	n o p i r t͡s i s
noteiks	n o t e i k s
novērtēju	n o v eː r t eː j u
nāksi	n ɑː k s i
oil	o i l
pelēks	p e l eː k s
pievērs	p i e v eː r s
pilis	p i l i s
postu	p o s t u
retums	r e t u m s
sekām	s e k ɑː m
siliņš	s i l i ɲ ʃ
tēt	t eː t
upurus	u p u r u s
vāks	v ɑː k s
vākt	v ɑː k t
burtus	b u r t u s
esošu	e s o ʃ u
gūtu	ɡ uː t u
hip	h i p
ieguvi	i e ɡ u v i
iegūsti	i e ɡ uː s t i
iepirkumu	i e p i r k u m u
ievietot	i e v i e t o t
ieņēmumu	i e ɲ eː m u m u
juristu	j u r i s t u
konvenciju	k o n v e n t͡s i j u
meloji	m e l o j i
mēn	m eː n
nezināms	n e z i n ɑː m s
noliku	n o l i k u
pelēko	p e l eː k o
pieauguši	p i e ɑ u ɡ u ʃ i
policistu	p o l i t͡s i s t u
pērc	p eː r t͡s
retu	r e t u
riteņu	r i t e ɲ u
romieši	r o m i e ʃ i
tuk	t u k
tīklus	t iː k l u s
tūliņ	t uː l i ɲ
uzturētu	u z t u r eː t u
veste	v e s t e
vienoti	v i e n o t i
vientuļi	v i e n t u ʎ i
viesītes	v i e s iː t e s
zīmēt	z iː m eː t
ēriku	eː r i k u
cerēsim	t͡s e r eː s i m
cirvi	t͡s i r v i
endijs	e n d i j s
joe	j o e
korī	k o r iː
kostīmu	k o s t iː m u
lietotu	l i e t o t u
lugu	l u ɡ u
miks	m i k s
mītnes	m iː t n e s
mūžību	m uː ʒ iː b u
nesīs	n e s iː s
nieki	n i e k i
nokļūtu	n o k ʎ uː t u
nomāc	n o m ɑː t͡s
per	p e r
piekritīs	p i e k r i t iː s
point	p o i n t
rīsu	r iː s u
spilvenu	s p i l v e n u
sīku	s iː k u
sīkumi	s iː k u m i
teikumu	t e i k u m u
ventspili	v e n t s p i l i
vijoli	v i j o l i
vizītes	v i z iː t e s
vēsā	v eː s ɑː
bils	b i l s
bonusu	b o n u s u
buus	b uː s
cilvēci	t͡s i l v eː t͡s i
dusmu	d u s m u
dušu	d u ʃ u
est	e s t
fermu	f e r m u
full	f u lː
ienācis	i e n ɑː t͡s i s
impēriju	i m p eː r i j u
intelekts	i n t e l e k t s
izjust	i z j u s t
ju	j u
lukturi	l u k t u r i
līcis	l iː t͡s i s
murgi	m u r ɡ i
mīnus	m iː n u s
nelikumīgi	n e l i k u m iː ɡ i
neseko	n e s e k o
norisi	n o r i s i
novietot	n o v i e t o t
renē	r e n eː
riktīgi	r i k t iː ɡ i
ritms	r i t m s
rotko	r o t k o
sektoru	s e k t o r u
septīto	s e p t iː t o
simtus	s i m t u s
skumstu	s k u m s t u
sūdus	s uː d u s
uzbrukumi	u z b r u k u m i
veciem	v e t͡s i eˀ m
visumu	v i s u m u
vāc	v ɑː t͡s
vērti	v eː r t i
ņems	ɲ e m s
burts	b u r t s
būrī	b uː r iː
cietumu	t͡s i e t u m u
cietusi	t͡s i e t u s i
edīte	e d iː t e
frāzi	f r ɑː z i
fāze	f ɑː z e
guvuši	ɡ u v u ʃ i
infekciju	i n f e k t͡s i j u
jonu	j o n u
komentē	k o m e n t eː
korim	k o r i m
korpusu	k o r p u s u
kučinskis	k u t͡ʃ i n s k i s
leonīds	l e o n iː d s
mūri	m uː r i
neietilpst	n e i e t i l p s t
neveikli	n e v e i k l i
pii	p iː
procedūru	p r o t͡s e d uː r u
pulveri	p u l v e r i
pupu	p u p u
reizei	r e i z e i
ritenis	r i t e n i s
sūdīgi	s uː d iː ɡ i
tiko	t i k o
trikus	t r i k u s
zilu	z i l u
zvērestu	z v eː r e s t u
zīmogu	z iː m o ɡ u
brīžus	b r iː ʒ u s
budžetu	b u d͡ʒ e t u
cieti	t͡s i e t i
dzejoli	d͡z e j o l i
dziļš	d͡z i ʎ ʃ
dzīvojuši	d͡z iː v o j u ʃ i
fiksēts	f i k s eː t s
gulbju	ɡ u l b j u
gulējis	ɡ u l eː j i s
gūs	ɡ uː s
ieteikumu	i e t e i k u m u
izdoto	i z d o t o
izdzert	i z d͡z e r t
iznācis	i z n ɑː t͡s i s
iztīrīt	i z t iː r iː t
klīst	k l iː s t
kontrolēju	k o n t r o l eː j u
kopumu	k o p u m u
krēmu	k r eː m u
lēto	l eː t o
nejūtu	n e j uː t u
nonākuši	n o n ɑː k u ʃ i
novērtēs	n o v eː r t eː s
other	o t h e r
pelnīt	p e l n iː t
piekritējs	p i e k r i t eː j s
rezervju	r e z e r v j u
simbolus	s i m b o l u s
spēlītes	s p eː l iː t e s
studē	s t u d eː
svešs	s v e ʃ s
sēnēm	s eː n eː m
sīpolu	s iː p o l u
teikums	t e i k u m s
trepēm	t r e p eː m
trusis	t r u s i s
turbo	t u r b o
tūre	t uː r e
veikumu	v e i k u m u
vēstulēm	v eː s t u l eː m
vēstījums	v eː s t iː j u m s
ņemšu	ɲ e m ʃ u
cept	t͡s e p t
cepumu	t͡s e p u m u
cilvēk	t͡s i l v eː k
des	d e s
devuši	d e v u ʃ i
figūru	f i ɡ uː r u
grozījumus	ɡ r o z iː j u m u s
guru	ɡ u r u
ie	i e
iznākt	i z n ɑː k t
izīrēts	i z iː r eː t s
jūdžu	j uː d͡ʒ u
klintīm	k l i n t iː m
kolu	k o l u
kļūsi	k ʎ uː s i
likumprojekts	l i k u m p r o j e k t s
mēris	m eː r i s
mīlēji	m iː l eː j i
neliks	n e l i k s
notikuši	n o t i k u ʃ i
novērtējumu	n o v eː r t eː j u m u
nozieguma	n o z i e ɡ u m ɑ
oho	o h o
pistoli	p i s t o l i
putru	p u t r u
simboliski	s i m b o l i s k i
tēvi	t eː v i
uzbūvi	u z b uː v i
vienmērīgi	v i e n m eː r iː ɡ i
vienotību	v i e n o t iː b u
vēsāks	v eː s ɑː k s
zonās	z o n ɑː s
zudums	z u d u m s
šūnās	ʃ uː n ɑː s
ciemiņi	t͡s i e m i ɲ i
finansiālo	f i n ɑ n s i ɑː l o
hitu	h i t u
hokeju	h o k e j u
izdevīgu	i z d e v iː ɡ u
iztērēt	i z t eː r eː t
konkurēt	k o n k u r eː t
korekti	k o r e k t i
kredīti	k r e d iː t i
kundzi	k u n d͡z i
kurpju	k u r p j u
lēns	l eː n s
lūzums	l uː z u m s
meklētu	m e k l eː t u
neilgu	n e i l ɡ u
nejūt	n e j uː t
nokrīt	n o k r iː t
nopērk	n o p eː r k
nosūtīti	n o s uː t iː t i
pieteiktos	p i e t e i k t o s
pieņemtu	p i e ɲ e m t u
pieņēmumu	p i e ɲ eː m u m u
pilsonību	p i l s o n iː b u
polo	p o l o
pūt	p uː t
rīki	r iː k i
solists	s o l i s t s
soļu	s o ʎ u
vērtēt	v eː r t eː t
на	n a
biržu	b i r ʒ u
buru	b u r u
butu	b u t u
ceļojumi	t͡s e ʎ o j u m i
cilvēce	t͡s i l v eː t͡s e
dzimums	d͡z i m u m s
dzirde	d͡z i r d e
film	f i l m
forumu	f o r u m u
iin	iː n
izvirzīt	i z v i r z iː t
jūdu	j uː d u
kontrolei	k o n t r o l e i
kopēju	k o p eː j u
kundzes	k u n d͡z e s
men	m e n
milzīgi	m i l z iː ɡ i
noguruši	n o ɡ u r u ʃ i
nokļuvis	n o k ʎ u v i s
novilkt	n o v i l k t
novirzīt	n o v i r z iː t
piemiņu	p i e m i ɲ u
piezīmju	p i e z iː m j u
presi	p r e s i
pērļu	p eː r ʎ u
regulējumu	r e ɡ u l eː j u m u
rekur	r e k u r
reperis	r e p e r i s
sets	s e t s
smiltīm	s m i l t iː m
smuks	s m u k s
stirnu	s t i r n u
su	s u
tonis	t o n i s
tukši	t u k ʃ i
ups	u p s
uzturu	u z t u r u
vins	v i n s
vēstis	v eː s t i s
vīrus	v iː r u s
vīziju	v iː z i j u
zero	z e r o
zināsi	z i n ɑː s i
dzeltenu	d͡z e l t e n u
dziļumu	d͡z i ʎ u m u
eglītes	e ɡ l iː t e s
here	h e r e
iztēle	i z t eː l e
kings	k i n ɡ s
komiksu	k o m i k s u
krūze	k r uː z e
lepns	l e p n s
liepu	l i e p u
līkumu	l iː k u m u
medīt	m e d iː t
mītu	m iː t u
netiksi	n e t i k s i
neveiksme	n e v e i k s m e
okei	o k e i
peļu	p e ʎ u
pieteikumi	p i e t e i k u m i
pirtī	p i r t iː
politisku	p o l i t i s k u
prototips	p r o t o t i p s
ripu	r i p u
riskē	r i s k eː
segu	s e ɡ u
slepeno	s l e p e n o
spoguli	s p o ɡ u l i
touch	t o u x
tīk	t iː k
tīrību	t iː r iː b u
veltītu	v e l t iː t u
zemāks	z e m ɑː k s
zīmuli	z iː m u l i
boy	b o j
buču	b u t͡ʃ u
bušs	b u ʃ s
ciklā	t͡s i k l ɑː
cirks	t͡s i r k s
