ra	r ɑ
deal	d e ɑ̯ l
gô	ɡ oː
hwan	h w ɑ n
inuyasha	i n u j ɑ ʃ ɑ
jared	j ɑ r e d
lia	l i ɑ̯
lumia	l u m i ɑ̯
lùm	l uː m
mar	m ɑ r
nhót	n h oː t
papa	p ɑ p ɑ
phuket	f u k e t
remote	r e m o t e
rú	r uː
saito	s ɑ i̯ t o
stokes	s t o k e s
sulu	s u l u
vogel	v o ɡ e l
wc	w ə s eː
wiki	w i k i
ava	ɑ v ɑ
belarus	b e l ɑ r u s
dot	d o t
esther	e s t h e r
gien	ɡ i e̯ n
jaime	j ɑ i̯ m æ
lite	l i t e
magazine	m ɑ ɡ ɑ z i n e
most	m o s t
oxit	o k s i t
peters	p e t e r s
ringo	r i ŋ ɡ o
sur	s u r
violin	v i o l i n
wichita	w i t͡ʃ i t ɑ
đĩ	d͡ʒ eː
dakota	d ɑ k o t ɑ
dăm	d ə m
gui	ɡ u i̯
history	h i s t o r i
irina	i r i n ɑ
jericho	j e r i t͡ʃ o
maldives	m ɑ l d i v e s
marilyn	m ɑ r i l y n
meet	m eː t
miura	m i u̯ r ɑ
monte	m o n t e
mịt	m ɪ̃ t
nhúm	n h uː m
phen	f e n
pv	p eː v eː
santana	s ɑ n t ɑ n ɑ
sik	s i k
tate	t ɑ t e
trip	t r i p
tyson	t y s o n
zidane	z i d ɑ n e
alison	ɑ l i s o n
baldwin	b ɑ l d w iː n
bible	b i b l e
hoe	h o e
kind	k i n d
lõa	l ɤ ɑ̯
nebraska	n e b r ɑ s k ɑ
nikki	n i kː i
nora	n o r ɑ
odin	o d i n
perseus	p e r s e u̯ s
rica	r i t͡s ɑ
step	s t e p
titus	t i t u s
ufo	u f o
én	e n
đom	d͡ʒ o m
arya	ɑ r j ɑ
bel	b e l
bim	b i m
dos	d o s
eli	e l i
giovanni	ɡ i o v ɑ nː i
goi	ɡ o i̯
haha	h ɑ h ɑ
hank	h ɑ ŋ k
havana	h ɑ v ɑ n ɑ
hub	h u b
kagome	k ɑ ɡ o m e
loki	l o k i
lôn	l oː n
node	n o d e
pia	p i ɑ̯
platinum	p l ɑ t i n u m
pos	p o s
reno	r e n o
rider	r i d e r
sid	s i d
snape	s n ɑ p e
stevie	s t e v i e̯
trám	t r ɑː m
tòi	t ɔ i̯
vani	v ɑ n i
venus	v e n u s
vó	v oː
bart	b ɑ r t
cham	t͡ʃ ɑ m
chief	t͡ʃ i e̯ f
cũi	t͡ʃ o i̯
drop	d r o p
dua	d u ɑ̯
emile	e m i l e
grimes	ɡ r i m e s
hiro	h i r o
lana	l ɑ n ɑ
lazio	l ɑ z i o
lupin	l u p i n
lù	l uː
naraku	n ɑ r ɑ k u
pb	p eː b eː
print	p r i n t
rat	r ɑ t
rin	r i n
sap	s ɑ p
suk	s u k
und	u n d
until	u n t i l
ames	ɑ m e s
asen	ɑ s e n
bun	b u n
disk	d i s k
emil	e m i l
ivy	i v y
kao	k ɑ o̯
late	l ɑ t e
mĩm	m e m
nikolai	n i k o l ɑ i̯
optimus	o p t i m u s
paso	p ɑ s o
plan	p l ɑ n
poly	p o l y
pool	p oː l
put	p u t
què	k w ɛ
raw	r ɑ u̯
russo	r u sː o
selen	s e l e n
sleep	s l eː p
spam	s p ɑ m
spartan	s p ɑ r t ɑ n
tool	t oː l
vega	v e ɡ ɑ
virgil	v i r ɡ i l
yusuf	j u s u f
epa	e p ɑ
ernesto	e r n e s t o
est	e s t
gavin	ɡ ɑ v i n
gemini	ɡ e m i n i
giles	ɡ i l e s
inches	i n t͡ʃ e s
io	i o
joanna	j o ɑ̯ nː ɑ
marsh	m ɑ r ʃ
mohamed	m o h ɑ m e d
mú	m uː
perkins	p e r k i n s
philips	f i l i p s
photos	f o t o s
rate	r ɑ t e
saladin	s ɑ l ɑ d i n
sat	s ɑ t
shizuka	ʃ i z u k ɑ
sonata	s o n ɑ t ɑ
trust	t r u s t
ul	u l
una	u n ɑ
area	ɑ r e ɑ̯
az	ɑ z
bien	b i e̯ n
bv	b eː v eː
cincinnati	t͡ʃ i n t͡s i nː ɑ t i
diva	d i v ɑ
fulham	f u l h ɑ m
giulia	ɡ i u̯ l i ɑ̯
guido	ɡ u i̯ d o
hiu	h i u̯
hulk	h u l k
ib	i b
kanji	k ɑ n j i
kumar	k u m ɑ r
label	l ɑ b e l
lenin	l e n i n
lola	l o l ɑ
lú	l uː
marek	m ɑ r e k
mori	m o r i
ost	o s t
pepsi	p e p s i
silk	s i l k
vietnamnet	v i e̯ t n ɑ m n e t
на	n a
gina	ɡ i n ɑ
gáp	ɡ ɑː p
hart	h ɑ r t
higgins	h i ɡː i n s
ju	j u
kazakhstan	k ɑ z ɑ k s t ɑ n
mas	m ɑ s
moto	m o t o
ontario	o n t ɑ r i o
oskar	o s k ɑ r
phantom	f ɑ n t o m
sal	s ɑ l
simone	s i m o n e
săm	s ə m
taliban	t ɑ l i b ɑ n
tulip	t u l i p
ub	u b
vin	v i n
also	ɑ l s o
alvin	ɑ l v i n
armando	ɑ r m ɑ n d o
bose	b o s e
brom	b r o m
chihiro	t͡ʃ i h i r o
ef	e f
fabio	f ɑ b i o
hua	h u ɑ̯
ira	i r ɑ
japanese	j ɑ p ɑ n e s e
lac	l ɑ k
mata	m ɑ t ɑ
mumbai	m u m b ɑ i̯
okinawa	o k i n ɑ w ɑ
portal	p o r t ɑ l
romano	r o m ɑ n o
rupee	r u p eː
salvatore	s ɑ l v ɑ t o r e
santos	s ɑ n t o s
solid	s o l i d
somalia	s o m ɑ l i ɑ̯
spark	s p ɑ r k
síp	s iː p
umm	u mː
viva	v i v ɑ
aziz	ɑ z i z
bahamas	b ɑ h ɑ m ɑ s
bonus	b o n u s
din	d i n
dolores	d o l o r e s
dota	d o t ɑ
duo	d u o̯
hiroshima	h i r o ʃ i m ɑ
hokkaido	h o kː ɑ i̯ d o
hurt	h u r t
investment	i n v e s t m e n t
kontum	k o n t u m
lies	l i e̯ s
lina	l i n ɑ
liz	l i z
luiz	l u i̯ z
miu	m i u̯
parkinson	p ɑ r k i n s o n
paulo	p ɑ u̯ l o
penelope	p e n e l o p e
petra	p e t r ɑ
registry	r e ɡ i s t r y
rĩ	r eː
seki	s e k i
slam	s l ɑ m
solar	s o l ɑ r
sputnik	s p u t n i k
tanya	t ɑ n j ɑ
tăn	t ə n
ursula	u r s u l ɑ
vivo	v i v o
zara	z ɑ r ɑ
aaa	ɑː ɑ
ara	ɑ r ɑ
beer	b eː r
bone	b o n e
child	t͡ʃ i l d
gestapo	ɡ e s t ɑ p o
hý	h iː
katrina	k ɑ t r i n ɑ
luisa	l u i̯ s ɑ
lux	l u k s
mayo	m ɑ j o
medusa	m e d u s ɑ
monitor	m o n i t o r
mõ	m ɤ
nathaniel	n ɑ t h ɑ n i e̯ l
panda	p ɑ n d ɑ
reese	r eː s e
serial	s e r i ɑ l
sometimes	s o m e t i m e s
spot	s p o t
trek	t r e k
adele	ɑ d e l e
bones	b o n e s
dino	d i n o
fat	f ɑ t
gaga	ɡ ɑ ɡ ɑ
greer	ɡ r eː r
gustavo	ɡ u s t ɑ v o
hwa	h w ɑ
kristen	k r i s t e n
mate	m ɑ t e
mel	m e l
milo	m i l o
miriam	m i r i ɑ m
misa	m i s ɑ
nagoya	n ɑ ɡ o j ɑ
niken	n i k e n
panorama	p ɑ n o r ɑ m ɑ
para	p ɑ r ɑ
pilar	p i l ɑ r
poe	p o e
properties	p r o p e r t i e̯ s
rank	r ɑ ŋ k
rodrigo	r o d r i ɡ o
sand	s ɑ n d
sprint	s p r i n t
trumpet	t r u m p e t
vat	v ɑ t
ala	ɑ l ɑ
ares	ɑ r e s
arm	ɑ r m
baptiste	b ɑ p t i s t e
chibi	t͡ʃ i b i
domino	d o m i n o
elaine	e l ɑ i̯ n æ
elip	e l i p
gregor	ɡ r e ɡ o r
lit	l i t
magnus	m ɑ ɡ n u s
mal	m ɑ l
nhó	n h oː
nsa	n s ɑ
petrov	p e t r o v
phăng	f ə n ɡ
plugin	p l u ɡ i n
pod	p o d
porto	p o r t o
praha	p r ɑ h ɑ
rafael	r ɑ f ɑ e l
siu	s i u̯
such	s u x
virgin	v i r ɡ i n
amos	ɑ m o s
bua	b u ɑ̯
casa	t͡ʃ ɑ s ɑ
ir	i r
johanna	j o h ɑ nː ɑ
mil	m i l
paper	p ɑ p e r
rama	r ɑ m ɑ
serena	s e r e n ɑ
sven	s v e n
truân	t r u ɑː n
trĩu	t r e u̯
ago	ɑ ɡ o
alps	ɑ l p s
amoled	ɑ m o l e d
baku	b ɑ k u
bet	b e t
blind	b l i n d
bug	b u ɡ
chin	t͡ʃ i n
clint	k l i n t
eliza	e l i z ɑ
feed	f eː d
gustav	ɡ u s t ɑ v
hazel	h ɑ z e l
hilton	h i l t o n
kobe	k o b e
kpop	k p o p
lima	l i m ɑ
linus	l i n u s
loi	l o i̯
lose	l o s e
mag	m ɑ ɡ
neal	n e ɑ̯ l
norris	n o rː i s
nán	n ɑː n
omaha	o m ɑ h ɑ
pain	p ɑ i̯ n
pd	p eː d eː
poole	p oː l e
puma	p u m ɑ
raj	r ɑ j
reza	r e z ɑ
romero	r o m e r o
rosen	r o s e n
svetlana	s v e t l ɑ n ɑ
tor	t o r
trees	t r eː s
zola	z o l ɑ
babe	b ɑ b e
dũ	d oː
enigma	e n i ɡ m ɑ
haven	h ɑ v e n
kaufman	k ɑ u̯ f m ɑ n
lét	l eː t
musk	m u s k
nine	n i n e
nou	n o u̯
nylon	n y l o n
pali	p ɑ l i
panel	p ɑ n e l
phenol	f e n o l
psi	p s i
silic	s i l i t͡s
tap	t ɑ p
tomas	t o m ɑ s
ama	ɑ m ɑ
asano	ɑ s ɑ n o
birds	b i r d s
heroes	h e r o e s
jasmine	j ɑ s m i n e
kimono	k i m o n o
lie	l i e̯
major	m ɑ j o r
mali	m ɑ l i
mars	m ɑ r s
midi	m i d i
norma	n o r m ɑ
nur	n u r
pit	p i t
prix	p r i k s
rada	r ɑ d ɑ
serotonin	s e r o t o n i n
sos	s o s
tres	t r e s
tron	t r o n
trót	t r oː t
turks	t u r k s
đak	d͡ʒ ɑ k
akira	ɑ k i r ɑ
bios	b i o s
bogotá	b o ɡ o t ɑː
bonaparte	b o n ɑ p ɑ r t e
bora	b o r ɑ
cesar	t͡ʃ e s ɑ r
das	d ɑ s
edited	e d i t e d
gột	ɡ ɔ t
hydrogen	h y d r o ɡ e n
lazarus	l ɑ z ɑ r u s
luka	l u k ɑ
marcelo	m ɑ r t͡s e l o
marks	m ɑ r k s
meg	m e ɡ
oval	o v ɑ l
pham	f ɑ m
pot	p o t
rest	r e s t
rules	r u l e s
sama	s ɑ m ɑ
seed	s eː d
seem	s eː m
silvia	s i l v i ɑ̯
som	s o m
somali	s o m ɑ l i
spanish	s p ɑ n i ʃ
tanaka	t ɑ n ɑ k ɑ
tráp	t r ɑː p
vp	v eː p eː
anten	ɑ n t e n
ari	ɑ r i
arkansas	ɑ r k ɑ n s ɑ s
artist	ɑ r t i s t
basel	b ɑ s e l
basil	b ɑ s i l
bazan	b ɑ z ɑ n
desire	d e s i r e
dt	d eː t eː
haas	h ɑː s
haw	h ɑ u̯
heidi	h e i̯ d i
kin	k i n
láp	l ɑː p
mojo	m o j o
natalia	n ɑ t ɑ l i ɑ̯
nemo	n e m o
olaf	o l ɑ f
pam	p ɑ m
par	p ɑ r
patch	p ɑ t͡ʃ
patel	p ɑ t e l
pic	p i t͡ʃ
plo	p l o
retro	r e t r o
sina	s i n ɑ
sup	s u p
telegraph	t e l e ɡ r ɑ f
toni	t o n i
uav	u ɑ̯ v
ups	u p s
yokohama	j o k o h ɑ m ɑ
đùn	d͡ʒ uː n
bath	b ɑ θ
brutus	b r u t u s
fans	f ɑ n s
fiat	f i ɑ̯ t
jar	j ɑ r
mateo	m ɑ t e o
memories	m e m o r i e̯ s
piranha	p i r ɑ n h ɑ
push	p u ʃ
python	p y t h o n
rfi	r f i
rush	r u ʃ
siri	s i r i
summit	s u mː i t
upload	u p l o ɑ̯ d
vegeta	v e ɡ e t ɑ
visit	v i s i t
void	v o i̯ d
anakin	ɑ n ɑ k i n
attila	ɑ tː i l ɑ
chiu	t͡ʃ i u̯
ebola	e b o l ɑ
ez	e z
filip	f i l i p
flint	f l i n t
horik	h o r i k
jamal	j ɑ m ɑ l
kaplan	k ɑ p l ɑ n
lamborghini	l ɑ m b o r ɡ i n i
listen	l i s t e n
lothar	l o t h ɑ r
lum	l u m
lun	l u n
lúp	l uː p
marko	m ɑ r k o
mũm	m o m
oak	o ɑ̯ k
oct	o k t
ottoman	o tː o m ɑ n
pegasus	p e ɡ ɑ s u s
peso	p e s o
plug	p l u ɡ
proton	p r o t o n
rfa	r f ɑː
salsa	s ɑ l s ɑ
sava	s ɑ v ɑ
sida	s i d ɑ
siro	s i r o
spin	s p i n
taj	t ɑ j
trôm	t r oː m
tucson	t u k s o n
vinyl	v i n y l
amp	ɑ m p
aryan	ɑ r j ɑ n
astrid	ɑ s t r i d
bristol	b r i s t o l
bõ	b ɤ
demi	d e m i
greta	ɡ r e t ɑ
gus	ɡ u s
hin	h i n
jojo	j o j o
kilo	k i l o
kubo	k u b o
mako	m ɑ k o
milano	m i l ɑ n o
minute	m i n u t e
mizuki	m i z u k i
nov	n o v
pasha	p ɑ ʃ ɑ
rambo	r ɑ m b o
regis	r e ɡ i s
selene	s e l e n e
shiva	ʃ i v ɑ
soyuz	s o j u z
yamaha	j ɑ m ɑ h ɑ
deportivo	d e p o r t i v o
estate	e s t ɑ t e
fukushima	f u k u ʃ i m ɑ
gideon	ɡ i d e o n
gum	ɡ u m
jude	j u d e
kô	k oː
melinda	m e l i n d ɑ
nhú	n h uː
pak	p ɑ k
pie	p i e̯
portman	p o r t m ɑ n
sloan	s l o ɑ̯ n
tot	t o t
véo	v e o
yakuza	j ɑ k u z ɑ
yg	y ɡ
astro	ɑ s t r o
audi	ɑ u̯ d i
banana	b ɑ n ɑ n ɑ
bud	b u d
chihuahua	t͡ʃ i h u ɑ h u ɑ
devon	d e v o n
dmitri	d m i t r i
dp	d eː p eː
eta	e t ɑ
fiona	f i o n ɑ
giant	ɡ i ɑ n t
guam	ɡ u ɑ̯ m
helius	h e l i u s
hitachi	h i t ɑ t͡ʃ i
holy	h o l y
honduras	h o n d u r ɑ s
method	m e t h o d
mimi	m i m i
minutes	m i n u t e s
mono	m o n o
nate	n ɑ t e
obi	o b i
photpho	f o t f o
pioneer	p i o n eː r
reeves	r eː v e s
riva	r i v ɑ
rám	r ɑː m
sabine	s ɑ b i n e
sentinel	s e n t i n e l
studios	s t u d i o s
subaru	s u b ɑ r u
survival	s u r v i v ɑ l
tôma	t oː m ɑ
vita	v i t ɑ
yet	j e t
zip	z i p
ami	ɑ m i
argos	ɑ r ɡ o s
baba	b ɑ b ɑ
finch	f i n t͡ʃ
fukuoka	f u k u o̯ k ɑ
gis	ɡ i s
granada	ɡ r ɑ n ɑ d ɑ
ipo	i p o
judas	j u d ɑ s
justine	j u s t i n e
kaiser	k ɑ i̯ s e r
kaito	k ɑ i̯ t o
koga	k o ɡ ɑ
mak	m ɑ k
near	n e ɑ̯ r
ones	o n e s
pictures	p i k t u r e s
riot	r i o t
sahara	s ɑ h ɑ r ɑ
sar	s ɑ r
soho	s o h o
spartacus	s p ɑ r t ɑ t͡s u s
toe	t o e
turin	t u r i n
vie	v i e̯
vigo	v i ɡ o
yamamoto	j ɑ m ɑ m o t o
amara	ɑ m ɑ r ɑ
asahi	ɑ s ɑ h i
asiad	ɑ s i ɑ̯ d
ask	ɑ s k
chỉa	t͡ʃ ɔː
det	d e t
enid	e n i d
faw	f ɑ u̯
hagrid	h ɑ ɡ r i d
harlan	h ɑ r l ɑ n
horst	h o r s t
isis	i s i s
katana	k ɑ t ɑ n ɑ
lán	l ɑː n
metropolis	m e t r o p o l i s
mili	m i l i
minsk	m i n s k
nami	n ɑ m i
neu	n e u̯
niu	n i u̯
oral	o r ɑ l
santo	s ɑ n t o
seen	s eː n
tori	t o r i
via	v i ɑ̯
vun	v u n
ùn	uː n
úa	u ɑ̯
almost	ɑ l m o s t
atom	ɑ t o m
bis	b i s
butch	b u t͡ʃ
devil	d e v i l
digimon	d i ɡ i m o n
dima	d i m ɑ
dior	d i o r
glory	ɡ l o r i
hashtag	h ɑ ʃ t ɑ ɡ
hom	h o m
hùa	h u ɑ̯
isp	i s p
janus	j ɑ n u s
kohl	k o h l
kop	k o p
maduro	m ɑ d u r o
mor	m o r
ozone	o z o n e
phin	f i n
pops	p o p s
rây	r ɑː j
sep	s e p
sonar	s o n ɑ r
states	s t ɑ t e s
streets	s t r eː t͡s
sít	s iː t
takashi	t ɑ k ɑ ʃ i
ando	ɑ n d o
aram	ɑ r ɑ m
bebop	b e b o p
dublin	d u b l i n
dumas	d u m ɑ s
ezra	e z r ɑ
falco	f ɑ l t͡s o
gee	ɡ eː
genoa	ɡ e n o ɑ̯
goal	ɡ o ɑ̯ l
horton	h o r t o n
iss	i sː
item	i t e m
joachim	j o ɑ̯ t͡ʃ i m
kayak	k ɑ j ɑ k
lat	l ɑ t
manor	m ɑ n o r
nak	n ɑ k
nazi	n ɑ z i
nest	n e s t
noo	n oː
oem	o e m
ops	o p s
origin	o r i ɡ i n
paint	p ɑ i̯ n t
rem	r e m
rene	r e n e
rôn	r oː n
servo	s e r v o
spirit	s p i r i t
toshiba	t o ʃ i b ɑ
valve	v ɑ l v æ
aden	ɑ d e n
ani	ɑ n i
ant	ɑ n t
bitch	b i t͡ʃ
bosnia	b o s n i ɑ̯
cerberus	t͡s e r b e r u s
chipset	t͡ʃ i p s e t
davies	d ɑ v i e̯ s
dei	d e i̯
dieter	d i e̯ t e r
dimitri	d i m i t r i
dustin	d u s t i n
eminem	e m i n e m
eur	e u̯ r
ezekiel	e z e k i e̯ l
hem	h e m
ig	i ɡ
indo	i n d o
insider	i n s i d e r
kata	k ɑ t ɑ
katniss	k ɑ t n i sː
ket	k e t
liquid	l i k w i d
lop	l o p
luck	l u k
mandarin	m ɑ n d ɑ r i n
mombasa	m o m b ɑ s ɑ
movies	m o v i e̯ s
nagasaki	n ɑ ɡ ɑ s ɑ k i
nhíp	n h iː p
poor	p oː r
pyramid	p y r ɑ m i d
pù	p uː
rí	r iː
shiro	ʃ i r o
sparks	s p ɑ r k s
suu	s uː
taipei	t ɑ i̯ p e i̯
tsubasa	t͡s u b ɑ s ɑ
tĩu	t e u̯
zapata	z ɑ p ɑ t ɑ
angola	ɑ ŋ ɡ o l ɑ
báp	b ɑː p
chũi	t͡ʃ o i̯
dina	d i n ɑ
gif	ɡ i f
int	i n t
kris	k r i s
nas	n ɑ s
peninsula	p e n i n s u l ɑ
qa	k ɑ
rip	r i p
shrek	ʃ r e k
siam	s i ɑ̯ m
sus	s u s
trum	t r u m
zona	z o n ɑ
đă	d͡ʒ ə
alien	ɑ l i e n
anatoly	ɑ n ɑ t o l y
apps	ɑ p s
chinook	t͡ʃ i n oː k
darth	d ɑ r θ
dm	d eː ɛ m
dopamine	d o p ɑ m i n e
eliot	e l i o t
faa	f ɑː
ghém	ɡ eː m
given	ɡ i v e n
harv	h ɑ r v
het	h e t
idaho	i d ɑ h o
josef	j o s e f
kenton	k e n t o n
kimi	k i m i
kip	k i p
koch	k o x
latvia	l ɑ t v i ɑ̯
levi	l e v i
liza	l i z ɑ
nero	n e r o
pad	p ɑ d
pai	p ɑ i̯
pavel	p ɑ v e l
peel	p eː l
photon	f o t o n
pussy	p u sː i
siem	s i e̯ m
sumo	s u m o
taki	t ɑ k i
torino	t o r i n o
truck	t r u k
yamato	j ɑ m ɑ t o
yves	y v e s
andreas	ɑ n d r e ɑ̯ s
bam	b ɑ m
bono	b o n o
breed	b r eː d
christi	k r i s t i
ci	t͡ʃ i
dv	d eː v eː
erika	e r i k ɑ
fin	f i n
flip	f l i p
formula	f o r m u l ɑ
industries	i n d u s t r i e̯ s
jam	j ɑ m
joint	j o i̯ n t
jura	j u r ɑ
kabuki	k ɑ b u k i
mut	m u t
neto	n e t o
nos	n o s
oaks	o ɑ̯ k s
ole	o l e
osama	o s ɑ m ɑ
past	p ɑ s t
pepe	p e p e
photoshop	f o t o ʃ o p
riu	r i u̯
sino	s i n o
strabo	s t r ɑ b o
tamara	t ɑ m ɑ r ɑ
ter	t e r
uno	u n o
voss	v o sː
yuko	j u k o
ansi	ɑ n s i
barbados	b ɑ r b ɑ d o s
bìu	b i u̯
denis	d e n i s
hamas	h ɑ m ɑ s
hóm	h oː m
ivo	i v o
ivory	i v o r i
jarvis	j ɑ r v i s
judo	j u d o
juno	j u n o
lak	l ɑ k
lama	l ɑ m ɑ
lugo	l u ɡ o
manual	m ɑ n u ɑ l
mustafa	m u s t ɑ f ɑ
natalya	n ɑ t ɑ l y ɑ
nhép	n h eː p
nola	n o l ɑ
oasis	o ɑ̯ s i s
pal	p ɑ l
sapa	s ɑ p ɑ
spurs	s p u r s
taekwondo	t ɑ e̯ k w o n d o
takes	t ɑ k e s
td	t eː d eː
tobin	t o b i n
tripoli	t r i p o l i
viper	v i p e r
asp	ɑ s p
diet	d i e̯ t
drum	d r u m
duk	d u k
edo	e d o
hemoglobin	h e m o ɡ l o b i n
hui	h u i̯
jen	j e n
johor	j o h o r
kar	k ɑ r
komatsu	k o m ɑ t͡s u
lap	l ɑ p
lines	l i n e s
nomad	n o m ɑ d
papua	p ɑ p u ɑ̯
pisa	p i s ɑ
ros	r o s
sng	s ɛ n ɡ
stories	s t o r i e̯ s
timer	t i m e r
vga	v ɡ ɑː
vidal	v i d ɑ l
vôn	v oː n
