на	n a
закроют	z a k r ɔ j u t
закрытым	z a kʰ r i tʰ i m
западнее	z a p a d nʲ ɛ j ɛ
зонд	z ɔ n d
индийские	i n d iː s k i j ɛ
картошка	k a r tʰ ɔ ɕ k a
кладут	k l a d u t
кокаин	k ɔ k a j i n
консул	k ɔ n s u l
копать	k ɔ p a tʲ
крючок	k rʲ u t͡ɕ ɔ k
куст	k u s t
лабораторией	l a b ɔ r a tʰ ɔ r i j ɛ j
мадонна	m a d ɔ n n a
мелочей	m ɛ l ɔ t͡ɕ ɛ j
мифологии	m i f ɔ l ɔ ɡ i j
музыкально	m u z i k a lʲ n o
наблюдаю	n a b ɮʲ u d a j u
низших	n i z ɕ i x
облаках	ɔ b l a k a x
орды	ɔ r d i
оригинальная	ɔ r i ɡ i n a lʲ n a j a
поднятия	p ɔ d nʲ a tʲ i j a
подходил	p ɔ d x ɔ d i l
поздние	p ɔ z d n i j ɛ
познакомить	p ɔ z n a k ɔ m i tʲ
познать	p ɔ z n a tʲ
поймете	p ɔ j mʲ ɛ tʲ ɛ
полете	p ɔ lʲ ɛ tʲ ɛ
положите	p ɔ l ɔ ʑ i tʲ ɛ
полюса	p ɔ lʲ u s a
попросит	p ɔ p r ɔ s i t
поразил	p ɔ r a z i l
прекратите	p rʲ ɛ k r a tʲ i tʲ ɛ
приму	p r i m u
принятым	p r i nʲ a t i m
прицел	p r i t͡sʲ ɛ l
причастность	p r i t͡ɕ a s t n o s tʲ
продана	p r ɔ d a n a
проданы	p r ɔ d a n i
продаю	p r ɔ d a j u
протестующих	p r ɔ tʲ ɛ s t u j u ɕ t͡ɕ i x
публичное	p u b l i t͡ɕ n o j ɛ
пугают	p u ɣ a j u t
пустыня	p u s t i nʲ a
разрушен	r a z r u ɕ ɛ n
разрушена	r a z r u ɕ ɛ n a
россиянка	r ɔ s i j a ŋ k a
рулём	r u ɮʲ ɔ m
свободную	s ʋ ɔ b ɔ d n u j u
сводный	s ʋ ɔ d n i j
сейма	s ɛ j m ɑ
синее	s i n ɛ j ɛ
сломали	s ɮ ɔ m a l i
сработала	s r a b ɔ t a ɮ a
стоящие	s t ɔ j a ɕ t͡ɕ i j ɛ
строке	s t r ɔ kʲ ɛ
суки	s u kʲ
сыграем	s i ɡ r a j ɛ m
сьерра	s j ɛ r r ɑ
телами	tʲ ɛ l a mʲ i
терминала	tʲ ɛ r m i n a l a
техасе	tʲ ɛ x ɑ sʲ ɛ
убери	u bʲ ɛ r i
узком	u z k ɔ m
указана	u k a z a n a
утверждено	u t ʋ ɛ r ʑ d͡ʑ ɛ n o
фри	f r i
хутор	x u t ɔ r
ци	t͡sʰ i
чудесные	t͡ɕ u dʲ ɛ s n i j ɛ
чую	t͡ɕ u j u
чёрное	t͡ɕ j ɔ r n ɔ j ɛ
эн	e n
этике	e tʲ i kʲ ɛ
god	ɡ o d
only	o n l i
reuters	r e u t e r s
албании	a ɮ b a n i j
бена	b ɛ n a
бессмертие	b ɛ s s m ɛ r tʲ i j ɛ
бобы	b ɔ b i
будущую	b u d u ɕ u j u
ведьм	ʋ ɛ d ɪ m
вечернее	ʋ ɛ t͡ɕ ɛ r n ɛ j ɛ
вечерние	ʋ ɛ t͡ɕ ɛ r n i j ɛ
визуально	ʋ i z u a lʲ n o
возродить	ʋ ɔ z r ɔ d i tʲ
воспринял	ʋ ɔ s p r i nʲ a l
выбирая	ʋ i b i r a j a
вывоза	ʋ i ʋ ɔ z a
гадать	ɡ a d a tʲ
ганс	ɡ a n s
динамике	d i n a m i kʲ ɛ
дуба	d u b a
емкость	j ɛ m k ɔ s tʲ
забора	z a b ɔ r a
заботятся	z a b ɔ tʲ a tʲ sʲ a
задняя	z a d nʲ a j a
заинтересована	z a j i n tʲ ɛ rʲ ɛ s ɔ ʋ a n a
закуски	z a kʰ u s kʲ
зарубежными	z a r u bʲ ɛ ʑ n i m i
знакомое	z n a k ɔ m ɔ j ɛ
значат	z n a t͡ɕ a t
изделие	j z dʲ ɛ l i j ɛ
кило	k i l o
кола	k ɔ l a
компас	k ɔ m p a s
лина	l i n a
линда	l i n d a
ложью	l ɔ ʑ j u
лось	l ɔ s ɪ
минимально	m i n i m a lʲ n o
минимуму	m i n i m u m u
мотора	m ɔ t ɔ r a
напала	n a p a ɮ a
напряжением	n a p rʲ a ʑ ɛ n i j ɛ m
начнёт	n a t͡ɕ nʲ ɔ t
нежные	n ɛ ʑ n i j ɛ
незаконной	n ɛ z a k ɔ n n ɔ j
некрасова	n ɛ k r a s ɔ ʋ a
несу	n ɛ s u
носило	n ɔ s i l o
ношение	n ɔ ɕ ɛ n i j ɛ
отразить	ɔ t r a z i tʲ
оформил	ɔ f ɔ r m i l
позволяя	p ɔ z ʋ ɔ lʲ a j a
попадал	p ɔ p a d a l
порох	p ɔ r ɔ x
починить	p ɔ t͡ɕ i n i tʲ
преданности	p rʲ ɛ d a n n o s tʲ i
призер	p r i z ɛ r
проведенные	p r ɔ ʋ ɛ d ɛ n n i j ɛ
птичка	p tʲ i t͡ɕ k a
разборки	r a z b ɔ r kʲ
разумом	r a z u m ɔ m
ричи	r i t͡ɕ i
световой	s ʋ ɛ t ɔ ʋ ɔ j
светской	s ʋ ɛ t s k ɔ j
свидании	s ʋ i d a n i j
седьмое	s ɛ d ɪ m ɔ j ɛ
селфи	s ɛ l f i
семинара	s ɛ m i n a r a
серы	s ɛ r i
сибирские	s i b i r s k i j ɛ
смешные	s m ɛ ɕ n i j ɛ
солист	s ɔ l i s t
стань	s t a nʲ
стая	s t a j a
съем	s j ɛ m
сэра	s e r a
терроризм	tʲ ɛ r r ɔ r i z m
тора	t ɔ r a
тумана	t u m a n a
тянь	tʲ a nʲ
упустить	u p u s tʲ i tʲ
чаши	t͡ɕ a ɕ i
юбку	j u b k u
юрием	j u r i j ɛ m
party	p a r t i
two	t w o
vol	v o l
азбука	a z b u k a
африканской	a f r i k a n s k ɔ j
балкона	b a ɮ k ɔ n a
банкир	b a ŋ kʲ i r
баню	b a nʲ u
бис	b i s
блоком	b l ɔ k ɔ m
бокам	b ɔ k a m
брошу	b r ɔ ɕ u
бумажных	b u m a ʑ n i x
бурно	b u r n o
бурятия	b u rʲ a tʲ i j a
веку	ʋ ɛ k u
верны	ʋ ɛ r n i
верных	ʋ ɛ r n i x
вирусы	ʋ i r u s i
возить	ʋ ɔ z i tʲ
возникать	ʋ ɔ z n i k a tʲ
выдвинуть	ʋ i d ʋ i n u tʲ
выигрывать	ʋ i j i ɡ r i ʋ a tʲ
голосе	ɡ ɔ l ɔ s ɛ
грина	ɡ r i n a
деннис	d ɛ n n i s
документом	d ɔ k u mʲ ɛ n t ɔ m
дорожно	d ɔ r ɔ ʑ n o
есенин	j ɛ s ɛ n i n
занялась	z a nʲ a ɮ a sʲ
запроса	z a p r ɔ s a
зил	z i l
изучая	j z u t͡ɕ a j a
козел	k ɔ z ɛ l
комы	k ɔ m i
корт	k ɔ r t
краям	k r a j a m
лифта	l i f t a
ложись	l ɔ ʑ i s ɪ
лоренцо	l ɔ rʲ ɛ n t͡sʰ ɔ
марией	m a r i j ɛ j
мерфи	m ɛ r f i
нe	n e
названные	n a z ʋ a n n i j ɛ
натуральных	n a tʰ u r a ɮʲ n i x
незаконным	n ɛ z a k ɔ n n i m
немецкую	n ɛ m ɛ t͡sʰ k u j u
обнаружение	ɔ b n a r u ʑ ɛ n i j ɛ
обсуждению	ɔ b s u ʑ d͡ʑ ɛ n i j u
опаснее	ɔ p a s nʲ ɛ j ɛ
основаниях	ɔ s n ɔ ʋ a n i j a x
ошиблись	ɔ ɕ i b l i s ɪ
петух	pʲ ɛ t u x
побить	p ɔ b i tʲ
подвержены	p ɔ d ʋ ɛ r ʑ ɛ n i
поднимают	p ɔ d n i m a j u t
поднимаются	p ɔ d n i m a j u t sʲ a
подножия	p ɔ d n ɔ ʑ i j a
подростком	p ɔ d r ɔ s t k ɔ m
полках	p ɔ l k a x
получением	p ɔ l u t͡ɕ ɛ n i j ɛ m
пороха	p ɔ r ɔ x a
потрясающие	p ɔ t rʲ a s a j u ɕ t͡ɕ i j ɛ
пре	p rʲ ɛ
прессу	p rʲ ɛ s s u
проба	p r ɔ b a
прятать	p rʲ a tʲ a tʲ
пузыря	p u z i rʲ a
пуска	p u s k a
пустом	p u s t ɔ m
расширять	r a s ɕ i rʲ a tʲ
сельский	s ɛ l ɪ s k i j
советников	s ɔ ʋ ɛ t n i k ɔ ʋ
согласии	s ɔ ɡ l a s i j
создало	s ɔ z d a l o
техникум	tʲ ɛ x n i k u m
трансфер	t r a n s fʲ ɛ r
трудную	t r u d n u j u
трупа	t r u p a
тётя	tʲ ɔ tʲ a
уберите	u b ɛ r i tʲ ɛ
угодить	u ɡ ɔ d i tʲ
утки	u t kʲ
уходите	u x ɔ d i tʲ ɛ
фары	f a r i
фсин	f s i n
чеченской	t͡ɕ ɛ t͡ɕ ɛ n s k ɔ j
чипсы	t͡ɕ i p s i
эдгар	e d ɡ a r
ясности	j a s n ɔ s tʲ i
fe	f e
made	m a d e
phone	f o n e
pop	p o p
азс	a z s
аи	a j
бад	b a d
вклада	w̜ k l a d a
восьмое	ʋ ɔ s ɪ m ɔ j ɛ
выяснять	ʋ i j a s nʲ a tʲ
гад	ɡ a d
ганы	ɡ a n i
голосованием	ɡ ɔ l ɔ s ɔ ʋ a n i j ɛ m
дн	d ə n
добры	d ɔ b r i
доложить	d ɔ l ɔ ʑ i tʲ
дополнить	d ɔ p ɔ l n i tʲ
драматургии	d r a m a tʰ u r ɡ i j
дураком	d u r a k ɔ m
естественная	j ɛ s tʲ ɛ s t ʋ ɛ n n a j a
загрязнение	z a ɡ rʲ a z nʲ ɛ n i j ɛ
заклинание	z a k l i n a n i j ɛ
зинаида	z i n a j i d a
керчь	kʲ ɛ r t͡ɕ
кораблях	k ɔ r a b ɮʲ a x
корр	k ɔ r r
коэн	k o e n
кредитная	k rʲ ɛ d i t n a j a
куска	k u s k a
лечению	l ɛ t͡ɕ ɛ n i j u
марихуаны	m a r i x u a n i
мега	m ɛ ɡ a
мех	m ɛ x
мишени	m i ɕ ɛ n i
наблюдала	n a b ɮʲ u d a ɮ a
наборы	n a b ɔ r i
обряды	ɔ b rʲ a d i
обучать	ɔ b u t͡ɕ a tʲ
осло	ɔ s l ɔ
ошиблась	ɔ ɕ i b l a sʲ
падал	p a d a l
пищей	p i ɕ t͡ɕ ɛ j
платные	p l a tʰ n i j ɛ
плода	p l ɔ d a
плоскость	p l ɔ s k ɔ s tʲ
позе	p ɔ z ɛ
показалась	p ɔ k a z a ɮ a sʲ
помешал	p ɔ mʲ ɛ ɕ a l
постарше	p ɔ s t a r ɕ ɛ
постой	p ɔ s t ɔ j
постоять	p ɔ s t ɔ j a tʲ
пофиг	p ɔ f i ɡ
праздникам	p r a z d n i k a m
прессой	p rʲ ɛ s s ɔ j
преступность	p rʲ ɛ s t u p n o s tʲ
придают	p r i d a j u t
признаю	p r i z n a j u
принцем	p r i n t͡sʲ ɛ m
природным	p r i r ɔ d n i m
присвоение	p r i s ʋ ɔ j ɛ n i j ɛ
прожила	p r ɔ ʑ i l a
прозрачной	p r ɔ z r a t͡ɕʰ n ɔ j
прокуратуру	p r ɔ k u r a tʰ u r u
профсоюз	p r ɔ f s ɔ j u z
пруда	p r u d a
пуст	p u s t
рекламной	rʲ ɛ k l a m n ɔ j
саид	s a j i d
сахалинской	s a x a ɮ i n s k ɔ j
сводить	s ʋ ɔ d i tʲ
серией	s ɛ r i j ɛ j
системного	s i s tʲ ɛ m n o ɡ o
соком	s ɔ k ɔ m
супа	s u p a
сухое	s u x ɔ j ɛ
трусики	t r u s i kʲ i
тук	t u k
упоминал	u p ɔ m i n a l
усилиям	u s i l i j a m
фа	f a
финн	f i n
храмах	x r a m a x
хуйня	x u i nʲ a
энни	e n n i
эрнст	e r n s t
японское	j a p ɔ n s k ɔ j ɛ
first	f i r s t
london	l o n d o n
mars	m a r s
morning	m o r n i ŋ
атома	a tʰ ɔ m a
белому	b ɛ l ɔ m u
блога	b l ɔ ɡ a
бородина	b ɔ r ɔ d i n a
брук	b r u k
брюшной	b rʲ u ɕ n ɔ j
валенсии	ʋ a ɮʲ ɛ n s i j
весы	ʋ ɛ s i
внимательнее	ʋ n i m ɑ tʲ ɛ l ɪ n ɛ j ɛ
воссоздать	ʋ ɔ s s ɔ z d a tʲ
восхищение	ʋ ɔ s x i ɕ t͡ɕ ɛ n i j ɛ
восхождение	ʋ ɔ s x ɔ ʑ d͡ʑ ɛ n i j ɛ
выбил	ʋ i b i l
газу	ɡ a z u
гипотезу	ɡ i p ɔ tʲ ɛ z u
грегори	ɡ rʲ ɛ ɡ ɔ r i
дверях	d ʋ ɛ r j ɑ x
джанет	d͡ʑ a nʲ ɛ t
добр	d ɔ b r
драму	d r a m u
заложил	z a ɮ ɔ d͡ʑ i l
знати	z n a tʲ i
инди	j i n d i
искренность	i s k rʲ ɛ n n o s tʲ
исходить	j i s x ɔ d i tʲ
кин	k i n
ккал	k k a l
командной	k ɔ m a n d n ɔ j
корне	k ɔ r nʲ ɛ
котла	k ɔ t l a
крупному	k r u p n o m u
крышку	k r i ɕ k u
курю	k u rʲ u
лирика	l i r i k a
меньшую	m ɛ n ɪ ɕ u j u
менялись	m ɛ n j a l i s ɪ
мечте	m ɛ t͡ɕ tʲ ɛ
минском	m i n s k ɔ m
мягкое	mʲ a ɡ k ɔ j ɛ
никола	n i k ɔ l a
ноту	n ɔ t u
обсудит	ɔ b s u d i t
одинокая	ɔ d i n o k a j a
окончанием	ɔ k ɔ n t͡ɕ a n i j ɛ m
опросы	ɔ p r ɔ s i
особенная	ɔ s ɔ b ɛ n n a j a
песке	p ɛ s kʲ ɛ
печальная	pʲ ɛ t͡ɕ a lʲ n a j a
подаст	p ɔ d a s t
подробные	p ɔ d r ɔ b n i j ɛ
помех	p ɔ mʲ ɛ x
попадут	p ɔ p a d u t
портит	p ɔ r tʲ i t
продам	p r ɔ d a m
пропускной	p r ɔ p u s k n ɔ j
прошедшем	p r ɔ ɕ ɛ d ɕ ɛ m
радикальной	r a d i k a lʲ n ɔ j
риском	r i s k ɔ m
розыске	r ɔ z i s kʲ ɛ
рэнди	r e n d i
сдают	s d a j u t
смелые	s m ɛ l i j ɛ
снос	s n ɔ s
согласование	s ɔ ɡ l a s ɔ ʋ a n i j ɛ
стрел	s t rʲ ɛ l
сэма	s e m a
технологиям	tʲ ɛ x n ɔ l ɔ ɡ i j a m
туристических	t u r i s tʲ i t͡ɕʲ ɛ s k i x
улыбнись	u ɮ i b n i s ɪ
утешение	u tʲ ɛ ɕ ɛ n i j ɛ
учебная	u t͡ɕ ɛ b n a j a
фермеры	f ɛ r m ɛ r i
фрс	f r a s
фунт	f u n t
черте	t͡ɕ ɛ r tʲ ɛ
ын	i n
эдит	e d i t
яр	j a r
got	ɡ o t
lexus	l e k s u s
road	r o a d
арсен	a r s ɛ n
бейкер	b ɛ j kʲ ɛ r
беркут	b ɛ r k u t
везёт	ʋ ɛ z j ɔ t
вен	ʋ ɛ n
венера	ʋ ɛ n ɛ r ɑ
взыскания	ʋ z i s k a n i j a
видных	ʋ i d n i x
византии	ʋ i z a n tʲ i j
вип	ʋ i p
водным	ʋ ɔ d n i m
возникающие	ʋ ɔ z n i k a j u ɕ t͡ɕ i j ɛ
возражать	ʋ ɔ z r a ʑ a tʲ
восхищаюсь	ʋ ɔ s x i ɕ t͡ɕ a j u sʲ
вскрытия	ʋ s k r i tʲ i j a
вскрыть	ʋ s k r i tʲ
вспять	ʋ s pʲ a tʲ
выберут	ʋ i b ɛ r u t
выгода	ʋ i ɡ ɔ d a
выгодные	ʋ i ɡ ɔ d n i j ɛ
выдвинут	ʋ i d ʋ i n u t
выплате	ʋ i p l a tʲ ɛ
выпустит	ʋ i p u s tʲ i t
гвинеи	ɡ ʋ i n ɛ j
горения	ɡ ɔ rʲ ɛ n i j a
десятого	d ɛ s j a t ɔ ɡ ɔ
дискуссию	d i s k u s s i j u
доверить	d ɔ ʋ ɛ r i tʲ
домике	d ɔ m i kʲ ɛ
закончатся	z a k ɔ n t͡ɕ a tʲ sʲ a
звезде	z ʋ ɛ z d ɛ
знанием	z n a n i j ɛ m
измерить	j z mʲ ɛ r i tʲ
имения	j i m ɛ n i j a
исламской	i s l a m s k ɔ j
класть	k l a s tʲ
книжных	k n i ʑ n i x
колониях	k ɔ l ɔ n i j a x
кресты	k rʲ ɛ s t i
круиз	k r u j z
лав	l a w
ленинском	l ɛ n i n s k ɔ m
линдси	l i n d s i
лир	l i r
луком	l u k ɔ m
матрос	m a tʰ r ɔ s
медь	m ɛ d ɪ
монография	m ɔ n ɔ ɡ r a f i j a
музею	m u z ɛ j u
мыса	m i s a
мэн	m e n
наградой	n a ɡ r a d ɔ j
наст	n a s t
нес	n ɛ s
николя	n i k ɔ lʲ a
нины	n i n i
обер	ɔ b ɛ r
обилие	ɔ b i l i j ɛ
объясняя	ɔ b j a s nʲ a j a
объятиях	ɔ b j a tʲ i j a x
окр	ɔ k r
олимп	ɔ l i m p
орудием	ɔ r u d i j ɛ m
осуждены	ɔ s u ʑ d͡ʑ ɛ n i
павлу	p a w ɮ u
панелей	p a nʲ ɛ lʲ ɛ j
парку	p a r k u
письменные	p i s ɪ m ɛ n n i j ɛ
погасить	p ɔ ɡ a s i tʲ
подумают	p ɔ d u m a j u t
пониманию	p ɔ n i m a n i j u
попадаются	p ɔ p a d a j u t sʲ a
порою	p ɔ r ɔ j u
прекратит	p rʲ ɛ k r a tʲ i t
прикрыть	p r i k r i tʲ
пробка	p r ɔ b k a
промысла	p r ɔ m i s l a
проснулись	p r ɔ s n u l i s ɪ
прохладно	p r ɔ x ɮ a d n o
прощаю	p r ɔ ɕ t͡ɕ a j u
пулю	p u lʲ u
путать	p u t a tʲ
пух	p u x
работником	r a b ɔ t n i k ɔ m
разделы	r a z dʲ ɛ l i
рассчитаны	r a s t͡ɕʰ i t a n i
риску	r i s k u
ритма	r i t m a
рожу	r ɔ ʑ u
сведению	s ʋ ɛ d ɛ n i j u
секретно	s ɛ k rʲ ɛ t n o
сем	s ɛ m
сеньора	s ɛ n j ɔ r ɑ
склоны	s k l ɔ n i
скопление	s k ɔ p lʲ ɛ n i j ɛ
смежных	s m ɛ ʑ n i x
собираю	s ɔ b i r a j u
соседний	s ɔ s ɛ d n i j
спросят	s p r ɔ s j a t
степь	s tʲ ɛ p ɪ
стихия	s tʲ i x i j a
стойкость	s t ɔ j k ɔ s tʲ
страдала	s t r a d a ɮ a
течёт	tʲ ɛ t͡ɕ j ɔ t
убеждены	u b ɛ ʑ d͡ʑ ɛ n i
угадал	u ɣ a d a ɮ
удобные	u d ɔ b n i j ɛ
указала	u k a z a ɮ a
уместно	u mʲ ɛ s t n o
упц	u p t͡sʰ
уронил	u r ɔ n i l
фар	f a r
физику	f i z i k u
чешский	t͡ɕ ɛ ɕ s k i j
чешской	t͡ɕ ɛ ɕ s k ɔ j
чины	t͡ɕ i n i
чума	t͡ɕ u m a
эээ	eː
falcon	f a l k o n
happy	h a p i
note	n o t e
run	r u n
аналогичную	a n a ɮ ɔ ɡ i t͡ɕʰ n u j u
асад	a s a d
балки	b a ɮ kʲ
бросились	b r ɔ s i l i s ɪ
будапеште	b u d a pʲ ɛ ɕ tʲ ɛ
бутерброд	b u tʲ ɛ r b r ɔ d
бьёт	b j ɔ t
вертикальной	ʋ ɛ r tʰ i k a lʲ n ɔ j
возбудить	ʋ ɔ z b u d i tʲ
возведения	ʋ ɔ z ʋ ɛ d ɛ n i j a
въезде	ʋ j ɛ z dʲ ɛ
выйдешь	ʋ i j dʲ ɛ ɕ ɪ
вынужденно	ʋ i n u ʑ d͡ʑ ɛ n n o
гала	ɡ a l a
говорящий	ɡ ɔ ʋ ɔ rʲ a ɕ t͡ɕ i j
гра	ɡ r a
даму	d a m u
двойную	d ʋ ɔ j n u j u
джастина	d͡ʑ a s tʲ i n a
диета	d i j ɛ t a
екатерине	j ɛ k a tʲ ɛ r i nʲ ɛ
желтая	ʒ ɛ l t a j a
забудут	z a b u d u t
захар	z a x a r
изобразить	j z ɔ b r a z i tʲ
инженерные	i n ʑ ɛ n ɛ r n i j ɛ
канадской	k a n a d s k ɔ j
капсулы	k a p s u ɮ i
касалось	k a s a ɮ ɔ sʲ
каша	k a ɕ a
кая	k a j a
клинок	k l i n o k
командиру	k ɔ m a n d i r u
компаниях	k ɔ m p a n i j a x
кукуруза	k u k u r u z a
кэрри	k e r r i
лана	l a n a
лиз	l i z
мирному	m i r n o m u
монитор	m ɔ n i t ɔ r
моррис	m ɔ r r i s
музеем	m u z ɛ j ɛ m
надежных	n a dʲ ɛ ʑ n i x
надоели	n a d ɔ j ɛ l i
нормандии	n ɔ r m a n d i j
ночную	n ɔ t͡ɕ n u j u
осужденного	ɔ s u ʑ d͡ʑ ɛ n n o ɡ o
отвезли	ɔ t ʋ ɛ z l i
питанием	p i t a n i j ɛ m
платных	p l a tʰ n i x
погодных	p ɔ ɡ ɔ d n i x
погоня	p ɔ ɡ ɔ nʲ a
пожилая	p ɔ ʑ i l a j a
полосой	p ɔ l ɔ s ɔ j
почтить	p ɔ t͡ɕ tʲ i tʲ
предлог	p rʲ ɛ d l o ɡ
предмету	p rʲ ɛ d mʲ ɛ t u
приедешь	p r i j ɛ d ɛ ɕ ɪ
промежуточных	p r ɔ mʲ ɛ ʑ u t ɔ t͡ɕʰ n i x
протоколе	p r ɔ t ɔ k ɔ lʲ ɛ
прощать	p r ɔ ɕ t͡ɕ a tʲ
размещена	r a z mʲ ɛ ɕ t͡ɕ ɛ n a
разряду	r a z rʲ a d u
раскрытие	r a s k r i tʲ i j ɛ
рвать	r ʋ a tʲ
рискуя	r i s k u j a
рояль	r ɔ j a lʲ
сбросил	s b r ɔ s i l
сдох	s d ɔ x
сид	s i d
сингапур	s i ŋ ɡ a p u r
скотина	s k ɔ tʲ i n a
смита	s m i t a
сними	s n i m i
снимут	s n i m u t
станете	s t a nʲ ɛ tʲ ɛ
съемка	s j ɛ m k a
теплого	tʲ ɛ p l ɔ ɡ ɔ
торрес	t ɔ r rʲ ɛ s
угрозами	u ɡ r ɔ z a mʲ i
уму	u m u
уроды	u r ɔ d i
фгуп	f ɡ u p
чита	t͡ɕ i t a
шишка	ɕ i ɕ k a
яда	j a d a
ясна	j a s n a
du	d u
est	e s t
let	l e t
ne	n e
over	o v e r
she	ʃ e
sim	s i m
system	s i s t e m
аборт	a b ɔ r tʰ
алжир	a ɮ d͡ʑ i r
арсения	a r s ɛ n i j a
арх	a r x
атом	a tʰ ɔ m
аэродроме	a e r ɔ d r ɔ mʲ ɛ
близкое	b l i z k ɔ j ɛ
боку	b ɔ k u
бросал	b r ɔ s a l
вах	ʋ a x
ведра	ʋ ɛ d r ɑ
величайший	ʋ ɛ l i t͡ɕ ɛː ɕ iː
венеры	ʋ ɛ n ɛ r i
верни	ʋ ɛ r n i
водоснабжение	ʋ ɔ d ɔ s n a b ʑ ɛ n i j ɛ
вредит	ʋ rʲ ɛ d i t
выпуском	ʋ i p u s k ɔ m
гонкам	ɡ ɔ n k a m
горкома	ɡ ɔ r k ɔ m a
губу	ɡ u b u
диеты	d i j ɛ t i
добру	d ɔ b r u
дурно	d u r n o
дымом	d i m ɔ m
елену	j ɛ l ɛ n u
избиение	j z bʲ i j ɛ n i j ɛ
киргизской	k i r ɡ i z s k ɔ j
кисть	k i s tʲ
кор	k ɔ r
корзины	k ɔ r z i n i
кормит	k ɔ r m i t
кредиту	k rʲ ɛ d i t u
крокодил	k r ɔ k ɔ d i l
ксении	k s ɛ n i j
курорте	k u r ɔ r tʲ ɛ
лгать	ɮ ɡ a tʲ
лик	l i k
лишена	l i ɕ ɛ n a
локальные	l ɔ k a lʲ n i j ɛ
машинам	m a ɕ i n a m
миссией	m i s s i j ɛ j
модно	m ɔ d n o
мстить	m s tʲ i tʲ
назначают	n a z n a t͡ɕ a j u t
наукам	n a u k a m
небесного	n ɛ b ɛ s n o ɡ o
неприлично	n ɛ p r i l i t͡ɕ n o
обряда	ɔ b rʲ a d a
одинокой	ɔ d i n o k ɔ j
окраску	ɔ k r a s k u
орех	ɔ rʲ ɛ x
отдаю	ɔ t d a j u
отказалось	ɔ t k a z a ɮ ɔ sʲ
патрон	p a tʰ r ɔ n
площадкой	p l ɔ ɕ t͡ɕ a t k ɔ j
подругами	p ɔ d r u ɡ a mʲ i
полез	p ɔ lʲ ɛ z
полезная	p ɔ lʲ ɛ z n a j a
поляны	p ɔ lʲ a n i
попаду	p ɔ p a d u
порядки	p ɔ rʲ a d kʲ i
посещений	p ɔ s ɛ ɕ t͡ɕ ɛ n i j
предать	p rʲ ɛ d a tʲ
престижных	p rʲ ɛ s tʲ i ʑ n i x
прикладных	p r i k l a d n i x
притяжения	p r i tʲ a ʒ ɛ n i j a
птицей	p tʲ i t͡sʲ ɛ j
разрез	r a z rʲ ɛ z
сандра	s a n d r a
симфонии	s i m f ɔ n i j
скрытых	s k r i tʰ i x
снятии	s nʲ a tʲ i j
создаем	s ɔ z d a j ɛ m
союзы	s ɔ j u z i
станки	s t a ŋ kʲ
талантом	t a ɮ a n t ɔ m
татарской	t a tʰ a r s k ɔ j
театрах	tʲ ɛ a tʰ r a x
трона	t r ɔ n a
удобным	u d ɔ b n i m
узор	u z ɔ r
украсить	u k r a s i tʲ
упк	u p k
фасада	f a s a d a
финские	f i n s k i j ɛ
французскую	f r a n t͡sʰ u z s k u j u
ходы	x ɔ d i
щи	ɕ i
эпох	e p ɔ x
яркость	j a r k ɔ s tʲ
color	k o l o r
com	k o m
server	s e r v e r
te	t e
why	w i
алисы	a l i s i
атмосферных	a tʰ m ɔ s fʲ ɛ r n i x
борису	b ɔ r i s u
бородой	b ɔ r ɔ d ɔ j
будда	b u d d a
верная	ʋ ɛ r n a j a
верху	ʋ ɛ r x u
весенние	ʋ ɛ s ɛ n n i j ɛ
весёлая	ʋ ɛ s j ɔ l a j a
вечерней	ʋ ɛ t͡ɕ ɛ r n ɛ j
вороны	ʋ ɔ r o n i
вывезли	ʋ i ʋ ɛ z l i
гнать	ɡ n a tʲ
грузин	ɡ r u z i n
диске	d i s kʲ ɛ
длинную	d l i n n u j u
дозор	d ɔ z ɔ r
доле	d ɔ lʲ ɛ
допускают	d ɔ p u s k a j u t
едины	j ɛ d i n i
елене	j ɛ l ɛ n ɛ
заботой	z a b ɔ tʰ ɔ j
запросу	z a p r ɔ s u
зуба	z u b a
избрать	j z b r a tʲ
карате	k a r a tʲ ɛ
кати	k a tʲ i
командующим	k ɔ m a n d u j u ɕ t͡ɕ i m
комик	k ɔ m i k
кубу	k u b u
куры	k u r i
кэт	k e t
ламп	l a m p
либеральных	l i b ɛ r a ɮʲ n i x
лошадях	l ɔ ɕ a dʲ a x
магией	m a ɡ i j ɛ j
меньшего	m ɛ n ɪ ɕ ɛ ɡ ɔ
мехико	m ɛ x i k ɔ
минусы	m i n u s i
моисей	m ɔ j i s ɛ j
моральных	m ɔ r a ɮʲ n i x
морскому	m ɔ r s k ɔ m u
моск	m ɔ s k
муку	m u k u
намерением	n a mʲ ɛ rʲ ɛ n i j ɛ m
небесных	n ɛ b ɛ s n i x
нежная	n ɛ ʑ n a j a
обладатели	ɔ b l a d a tʲ ɛ l i
обязал	ɔ bʲ a z a l
обязать	ɔ bʲ a z a tʲ
озеру	ɔ z ɛ r u
омская	ɔ m s k a j a
онф	ɔ n f
падению	p a dʲ ɛ n i j u
паши	p a ɕ i
петли	pʲ ɛ t l i
планка	p l a ŋ k a
плоские	p l ɔ s k i j ɛ
погодой	p ɔ ɡ ɔ d ɔ j
полдня	p ɔ l d nʲ a
полость	p ɔ l ɔ s tʲ
